ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			秘められし民の想い							
遺体なくして、いかに弔うのかと思うやもしれんが、ここ東方には物に魂が宿るという思想があってな。生前に使っていた遺品を安置しようと思う。			遺体なくして、いかに弔うのかと思うやもしれんが、ここ東方には物に魂が宿るという思想があってな。生前に使っていた遺品を安置しようと思う。			遺品に宿る魂							
すでに、国葬の開催について触れも出しておる。遺族からは賛同の声も多く、遺品の用意も進み始めているのだ。			すでに、国葬の開催について触れも出しておる。遺族からは賛同の声も多く、遺品の用意も進み始めているのだ。			遺品に宿る魂							
これより、遺品の受け取りに向かうのだが……同時に持ち主の逸話を聞いて回るつもりだ。			これより、遺品の受け取りに向かうのだが……同時に持ち主の逸話を聞いて回るつもりだ。			遺品に宿る魂							
いかに生き、いかに想われていたのかを知り、語り継ぐことこそ、死者への供養となり、遺族の慰めにもなろう。			いかに生き、いかに想われていたのかを知り、語り継ぐことこそ、死者への供養となり、遺族の慰めにもなろう。			遺品に宿る魂							
どうかそなたも、わしとともに同行してくれぬか？解放の英雄の記憶に刻まれるとあらば、喜ぶ者もいよう。			どうかそなたも、わしとともに同行してくれぬか？解放の英雄の記憶に刻まれるとあらば、喜ぶ者もいよう。			遺品に宿る魂							
ユウギリは、イサリ村を頼む。ゴウセツは……			ユウギリは、イサリ村を頼む。ゴウセツは……			遺品に宿る魂							
拙者は、野暮用がありますれば……。			拙者は、野暮用がありますれば……。			遺品に宿る魂							
あいわかった。では、Forenameよ、わしとそなたで、ナマイ村へ向かおうぞ。			あいわかった。では、Forenameよ、わしとそなたで、ナマイ村へ向かおうぞ。			遺品に宿る魂							
遺品を用意しました。ヒエン様にお渡ししたいと思います。			遺品を用意しました。ヒエン様にお渡ししたいと思います。			遺品に宿る魂							
遺品をガンエン廟に安置してくださるとは……有難き幸せに存じまする。			遺品をガンエン廟に安置してくださるとは……有難き幸せに存じまする。			遺品に宿る魂							
重かったけど、遺品を用意したよ。			重かったけど、遺品を用意したよ。			遺品に宿る魂							
遺品の受け取りは、わしがやろう。そなたは遺族たちの話に耳を傾けてくれるだけでいい。			遺品の受け取りは、わしがやろう。そなたは遺族たちの話に耳を傾けてくれるだけでいい。			遺品に宿る魂							
ひとつだけ断っておきたいのだが、大切な遺品を預かる手前、わしは魔物との戦いを避けたい。			ひとつだけ断っておきたいのだが、大切な遺品を預かる手前、わしは魔物との戦いを避けたい。			遺品に宿る魂							
遺品には故人の魂が宿っているという。丁重に扱いたいのはもちろん、戦闘で殺気立ってしまうと、彼らの安らかな眠りを妨げることになるのだ。			遺品には故人の魂が宿っているという。丁重に扱いたいのはもちろん、戦闘で殺気立ってしまうと、彼らの安らかな眠りを妨げることになるのだ。			遺品に宿る魂							
ゆえに、もし魔物に襲われても、わしは戦うことができぬので、そのつもりでいてほしい……。では遺族たちのもとへゆこう。			ゆえに、もし魔物に襲われても、わしは戦うことができぬので、そのつもりでいてほしい……。では遺族たちのもとへゆこう。			遺品に宿る魂							
何をする？			何をする？			遺品に宿る魂							
話す			話す			遺品に宿る魂							
同行状態を解除する			同行状態を解除する			遺品に宿る魂							
キャンセル			キャンセル			遺品に宿る魂							
遺品には故人の魂が宿っているという。なればこそ、丁重に扱わねばな。			遺品には故人の魂が宿っているという。なればこそ、丁重に扱わねばな。			遺品に宿る魂							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			遺品に宿る魂							
用があるのならば致し方ない。わしは「ナマイ村」で待っておるぞ。			用があるのならば致し方ない。わしは「ナマイ村」で待っておるぞ。			遺品に宿る魂							
用が済んだのなら、遺族の元へ向かおう。遺品はわしが回収するので、そなたは彼らの話に耳を傾けてくれるだけでいい。			用が済んだのなら、遺族の元へ向かおう。遺品はわしが回収するので、そなたは彼らの話に耳を傾けてくれるだけでいい。			遺品に宿る魂							
このクエストを進行させるには、ヒエンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ヒエンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			遺品に宿る魂							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			遺品に宿る魂							
遺品を用意いたしました。帝国に徴兵されていって帰ってこなかった夫、マロヤの代わりに、この「筆」を霊廟に安置してください。			遺品を用意いたしました。帝国に徴兵されていって帰ってこなかった夫、マロヤの代わりに、この「筆」を霊廟に安置してください。			遺品に宿る魂							
マロヤの逸話があれば、聞かせてくれぬか？			マロヤの逸話があれば、聞かせてくれぬか？			遺品に宿る魂							
マロヤは大人しい人で、絵を描くことを好みました。野良仕事にまで、その筆を持ち込んで、暇さえあればヤンサの美しい風景を描いていたものです。			マロヤは大人しい人で、絵を描くことを好みました。野良仕事にまで、その筆を持ち込んで、暇さえあればヤンサの美しい風景を描いていたものです。			遺品に宿る魂							
いつかクガネに渡って、水墨画家として生きていけたらと願っていたようです。			いつかクガネに渡って、水墨画家として生きていけたらと願っていたようです。			遺品に宿る魂							
徴用兵として連れていかれてからも、しばらくは異国で描いた風景画が送られてきましたが、それもぱったりと途絶えてしまって……。			徴用兵として連れていかれてからも、しばらくは異国で描いた風景画が送られてきましたが、それもぱったりと途絶えてしまって……。			遺品に宿る魂							
きっと、夫は異国よりも遠い世界に行ってしまったのでしょう。願わくば美しい場所にいてもらいたいです。			きっと、夫は異国よりも遠い世界に行ってしまったのでしょう。願わくば美しい場所にいてもらいたいです。			遺品に宿る魂							
マロヤはきっと美しいところにいるだろう。この筆を安置して、彼に届けてやろう。			マロヤはきっと美しいところにいるだろう。この筆を安置して、彼に届けてやろう。			遺品に宿る魂							
ひとまず、ナマイ村で受け取る予定の遺品は、これですべてだ。棚田の方で、少し一服することにしよう。			ひとまず、ナマイ村で受け取る予定の遺品は、これですべてだ。棚田の方で、少し一服することにしよう。			遺品に宿る魂							
マロヤの筆の安置、何卒よろしくお願いします。			マロヤの筆の安置、何卒よろしくお願いします。			遺品に宿る魂							
ヒエン様、私のひとり息子、モトスエの「刀」を安置してくだされ。			ヒエン様、私のひとり息子、モトスエの「刀」を安置してくだされ。			遺品に宿る魂							
よければ、モトスエの逸話を聞かせてほしい。			よければ、モトスエの逸話を聞かせてほしい。			遺品に宿る魂							
拙者は、お父君に仕える侍衆のひとりだったのですが、帝国侵攻時の戦傷で、隠居を余儀なくされました。			拙者は、お父君に仕える侍衆のひとりだったのですが、帝国侵攻時の戦傷で、隠居を余儀なくされました。			遺品に宿る魂							
戦に破れ、侍の時代は終わったと嘆く拙者を、誰よりも強く励ましてくれたのが、息子のモトスエでした。			戦に破れ、侍の時代は終わったと嘆く拙者を、誰よりも強く励ましてくれたのが、息子のモトスエでした。			遺品に宿る魂							
息子は、その刀で鍛練を続け、いつかドマの侍となり、家を復興してみせると……。ですが、帝国軍に徴用されてしまった。			息子は、その刀で鍛練を続け、いつかドマの侍となり、家を復興してみせると……。ですが、帝国軍に徴用されてしまった。			遺品に宿る魂							
息子だけなら、帝国軍から逃げ、独立運動の烈士となることもできたでしょう。しかし、拙者に累が及ぶことを避けるため、犠牲となったのです。			息子だけなら、帝国軍から逃げ、独立運動の烈士となることもできたでしょう。しかし、拙者に累が及ぶことを避けるため、犠牲となったのです。			遺品に宿る魂							
ご子息のモトスエは、孝行者にして忠臣だったようだ。この刀はドマ侍衆のひとりの愛刀として、安置させてもらおう。			ご子息のモトスエは、孝行者にして忠臣だったようだ。この刀はドマ侍衆のひとりの愛刀として、安置させてもらおう。			遺品に宿る魂							
息子が、ドマ侍衆のひとり……モトスエは泣いて喜ぶことでしょう。			息子が、ドマ侍衆のひとり……モトスエは泣いて喜ぶことでしょう。			遺品に宿る魂							
ヒエン様、この酒甕(さかがめ)が俺の父ちゃん、スズシロと、そして、獣になってしまった兄貴の遺品だよ。			ヒエン様、この酒甕(さかがめ)が俺の父ちゃん、スズシロと、そして、獣になってしまった兄貴の遺品だよ。			遺品に宿る魂							
ふたりの逸話を聞いてもよいか？			ふたりの逸話を聞いてもよいか？			遺品に宿る魂							
父ちゃんは木工職人だったんだ。仕事一筋の頑固親父で、愉しみといえば晩酌くらいでさ。			父ちゃんは木工職人だったんだ。仕事一筋の頑固親父で、愉しみといえば晩酌くらいでさ。			遺品に宿る魂							
大人になった兄貴もそれに付き合うようになって、よくふたりで、満月や虫の音を肴にこの酒甕のお酒を呑んでたんだ。			大人になった兄貴もそれに付き合うようになって、よくふたりで、満月や虫の音を肴にこの酒甕のお酒を呑んでたんだ。			遺品に宿る魂							
俺も大きくなったら一緒に飲みたかったけど、もうそれは叶わない……。			俺も大きくなったら一緒に飲みたかったけど、もうそれは叶わない……。			遺品に宿る魂							
せめて、黄泉国でふたりで呑んでもらえたらと思って、この酒甕を遺体の代わりに埋葬してほしいんだ。			せめて、黄泉国でふたりで呑んでもらえたらと思って、この酒甕を遺体の代わりに埋葬してほしいんだ。			遺品に宿る魂							
きっと、父上も兄君も喜ぶことだろう。ふたりのこと、しかと記憶にとどめた。その酒甕を霊廟に安置しよう。			きっと、父上も兄君も喜ぶことだろう。ふたりのこと、しかと記憶にとどめた。その酒甕を霊廟に安置しよう。			遺品に宿る魂							
そして、おぬしが酒を酌み交わせるようになった暁には、亡きふたりに代わり、わしがその相手となろう。……むろん、おぬしが良ければ、だが。			そして、おぬしが酒を酌み交わせるようになった暁には、亡きふたりに代わり、わしがその相手となろう。……むろん、おぬしが良ければ、だが。			遺品に宿る魂							
父ちゃんも、兄貴も、ガンエン廟に納められると思ったら、何だかとても救われる気がするよ。			父ちゃんも、兄貴も、ガンエン廟に納められると思ったら、何だかとても救われる気がするよ。			遺品に宿る魂							
わしは此度、ドマを回って民と話したことで気づかされた。			わしは此度、ドマを回って民と話したことで気づかされた。			遺品に宿る魂							
己が東方連合の結成に町人地の復興といった、ドマの「未来」ばかりに目を向けていたことにな。その一方、悲しみに暮れる者たちの「過去」は見過ごされてきた。			己が東方連合の結成に町人地の復興といった、ドマの「未来」ばかりに目を向けていたことにな。その一方、悲しみに暮れる者たちの「過去」は見過ごされてきた。			遺品に宿る魂							
喪われた命に向き合い、別れを告げねば、獣にならずとも前を向いては歩けぬだろうに。そんな大事なことを、わしは見落としていた。			喪われた命に向き合い、別れを告げねば、獣にならずとも前を向いては歩けぬだろうに。そんな大事なことを、わしは見落としていた。			遺品に宿る魂							
何と言う？			何と言う？			遺品に宿る魂							
自分の過去は？			自分の過去は？			遺品に宿る魂							
ヒエンが亡くした大切な人は？			ヒエンが亡くした大切な人は？			遺品に宿る魂							
わ、わしのことか……。参ったな、まさかそうくるとは思いもよらなんだ……。			わ、わしのことか……。参ったな、まさかそうくるとは思いもよらなんだ……。			遺品に宿る魂							
(-？？？？-)ガッハッハ、痛いところをつかれましたな。まず向き合うべきは、ご自分の過去でござろう？			(-？？？？-)ガッハッハ、痛いところをつかれましたな。まず向き合うべきは、ご自分の過去でござろう？			遺品に宿る魂							
……失礼つかまつる。野暮用のために通りがかったのでござるが、おふたりの声が聞こえましてな。			……失礼つかまつる。野暮用のために通りがかったのでござるが、おふたりの声が聞こえましてな。			遺品に宿る魂							
さて、野暮ついでに言わせていただければ、戦乱の中、カイエン様を亡くし、当主を継いだ若には、お父上の死を悼んでいる時間はなかったはず。			さて、野暮ついでに言わせていただければ、戦乱の中、カイエン様を亡くし、当主を継いだ若には、お父上の死を悼んでいる時間はなかったはず。			遺品に宿る魂							
ご遺体の行方もわからぬままでございますれば、カイエン様の遺品も霊廟に納め、別れを告げるべきでござる。			ご遺体の行方もわからぬままでございますれば、カイエン様の遺品も霊廟に納め、別れを告げるべきでござる。			遺品に宿る魂							
それこそ、若が獣になられたら、たまったものではござらぬ。			それこそ、若が獣になられたら、たまったものではござらぬ。			遺品に宿る魂							
ゴウセツ、そなたの野暮用とやらは、置いたはずの刀を、佩(は)かねばならぬほどのものなのか？			ゴウセツ、そなたの野暮用とやらは、置いたはずの刀を、佩(は)かねばならぬほどのものなのか？			遺品に宿る魂							
こ、これは……			こ、これは……			遺品に宿る魂							
ナマイ村の甘柿を剥くのに、丁度良かっただけのこと。それでは、拙者はこれにて失礼いたす！			ナマイ村の甘柿を剥くのに、丁度良かっただけのこと。それでは、拙者はこれにて失礼いたす！			遺品に宿る魂							
あやつめ、偽神獣討伐のために、無理して刀の稽古を再開しておるようだな。止めろと言って、聞くような男ではないのが困りものだが……			あやつめ、偽神獣討伐のために、無理して刀の稽古を再開しておるようだな。止めろと言って、聞くような男ではないのが困りものだが……			遺品に宿る魂							
確かに、ゴウセツの言葉も一理あるか……。わしも、己の過去に向き合わねばなるまいな。			確かに、ゴウセツの言葉も一理あるか……。わしも、己の過去に向き合わねばなるまいな。			遺品に宿る魂							
正直に告白しよう。わしは、父の死という過去に向き合うことを怖れてきた。			正直に告白しよう。わしは、父の死という過去に向き合うことを怖れてきた。			遺品に宿る魂							
あれは、父に率いられた反乱の折……ドマ城の奪還に成功し、勝敗は決したかに見えた。だが、ゼノスの第XII軍団が増援として現れ、形勢は逆転した。			あれは、父に率いられた反乱の折……ドマ城の奪還に成功し、勝敗は決したかに見えた。だが、ゼノスの第XII軍団が増援として現れ、形勢は逆転した。			遺品に宿る魂							
わしとゴウセツは、陥落寸前のドマ城から脱出したところで、町人地にて父が討ち死にしたことを知った。			わしとゴウセツは、陥落寸前のドマ城から脱出したところで、町人地にて父が討ち死にしたことを知った。			遺品に宿る魂							
ゴウセツは人目をはばからず泣いていたが、わしは、まさにその瞬間にドマの国主を継いだのだ。悲しみに暮れている場合ではなかった。			ゴウセツは人目をはばからず泣いていたが、わしは、まさにその瞬間にドマの国主を継いだのだ。悲しみに暮れている場合ではなかった。			遺品に宿る魂							
溢れる己の感情に蓋をして、仇討ちを望むゴウセツを止め、動揺する兵を鼓舞し、三々五々に散って落ち延びよと命じた。			溢れる己の感情に蓋をして、仇討ちを望むゴウセツを止め、動揺する兵を鼓舞し、三々五々に散って落ち延びよと命じた。			遺品に宿る魂							
それから、今に至るまで、父の死から目をそらし、未来を見据えてここまで歩んできた。いい加減、後ろを振り返る頃合いか……。			それから、今に至るまで、父の死から目をそらし、未来を見据えてここまで歩んできた。いい加減、後ろを振り返る頃合いか……。			遺品に宿る魂							
さて、ここまで胸の内を語ったからには、そなたにも、最後まで付き合ってもらうぞ。			さて、ここまで胸の内を語ったからには、そなたにも、最後まで付き合ってもらうぞ。			遺品に宿る魂							
わが父カイエンの遺品は、空を飛ばねば向かえぬ場所にある。ヨルを呼ぶので、ともに向かうことにしよう。			わが父カイエンの遺品は、空を飛ばねば向かえぬ場所にある。ヨルを呼ぶので、ともに向かうことにしよう。			遺品に宿る魂							
向かうは山間にある泉、「梅泉郷」だ。それでは、出立するとしよう！			向かうは山間にある泉、「梅泉郷」だ。それでは、出立するとしよう！			遺品に宿る魂							
ヨルに乗って移動しますか？			ヨルに乗って移動しますか？			遺品に宿る魂							
ここは、わしが幼き頃に両親に連れられ花見をした場所でな。絶えず監視される帝国統治下の生活にあって、あれは平和なひと時だった。			ここは、わしが幼き頃に両親に連れられ花見をした場所でな。絶えず監視される帝国統治下の生活にあって、あれは平和なひと時だった。			遺品に宿る魂							
ゆえに、この地に埋めたのだ。厳格な父が、ただひとつ幼子のわしに与えてくれた、ある玩具をな……。			ゆえに、この地に埋めたのだ。厳格な父が、ただひとつ幼子のわしに与えてくれた、ある玩具をな……。			遺品に宿る魂							
大龍山脈の奥深くに棲まうとされる伝説の瑞獣、「セイテンタイセイ」の人形よ。			大龍山脈の奥深くに棲まうとされる伝説の瑞獣、「セイテンタイセイ」の人形よ。			遺品に宿る魂							
ドマの童の間では、たいそう人気があってな。わしも幼き頃、無謀にも会いに行こうとしたくらいだ。			ドマの童の間では、たいそう人気があってな。わしも幼き頃、無謀にも会いに行こうとしたくらいだ。			遺品に宿る魂							
この人形はわしが元服したとき、子ども時代に決別するため、ここに埋めたのだ。亡くなった母の喪が明けた直後のことでな。			この人形はわしが元服したとき、子ども時代に決別するため、ここに埋めたのだ。亡くなった母の喪が明けた直後のことでな。			遺品に宿る魂							
これを父の遺品と言ってよいのかはわからぬが、まっとうな愛用品は、遺されておらぬのでな……。父も笑って許してくれよう。			これを父の遺品と言ってよいのかはわからぬが、まっとうな愛用品は、遺されておらぬのでな……。父も笑って許してくれよう。			遺品に宿る魂							
この人形を霊廟に納め、わしも父に別れを告げよう……。			この人形を霊廟に納め、わしも父に別れを告げよう……。			遺品に宿る魂							
しかし、一国の主が瑞獣人形を、後生大事にしたというのは、どうにも決まりが悪い。これは、ふたりだけの秘密だぞ？			しかし、一国の主が瑞獣人形を、後生大事にしたというのは、どうにも決まりが悪い。これは、ふたりだけの秘密だぞ？			遺品に宿る魂							
付き合わせてすまなかったな。ではヨルに乗って、町人地まで戻ろう。			付き合わせてすまなかったな。ではヨルに乗って、町人地まで戻ろう。			遺品に宿る魂							
やけに時間がかかっていたようだが、何かあったのか？			やけに時間がかかっていたようだが、何かあったのか？			遺品に宿る魂							
さて、最初の遺品受け取りは終わったわけだが、この調子なら、さほど間を置かず国葬の準備は整うだろう。さすれば「過去」と向き合い、獣に至る絶望を防ぐことも叶おう。			さて、最初の遺品受け取りは終わったわけだが、この調子なら、さほど間を置かず国葬の準備は整うだろう。さすれば「過去」と向き合い、獣に至る絶望を防ぐことも叶おう。			遺品に宿る魂							
とはいえ、偽神獣の問題は残ったまま。帰還者たちは、引き続き帰燕館で匿うこととする。			とはいえ、偽神獣の問題は残ったまま。帰還者たちは、引き続き帰燕館で匿うこととする。			遺品に宿る魂							
Forename、此度の協力に礼を言う。国葬には、そなたにも是非、参列してほしいのでな……折を見てユウギリを訪ねてくれ。			Forename、此度の協力に礼を言う。国葬には、そなたにも是非、参列してほしいのでな……折を見てユウギリを訪ねてくれ。			遺品に宿る魂							
ドマ町人地のユウギリは、どこかしめやかな様子だ。			ドマ町人地のユウギリは、どこかしめやかな様子だ。			ドマの弔い							
ドマの国葬が執り行われるので、冒険者も参列することになった。ヤンサのガンエン廟前にいる「ヒエン」と話そう。			ドマの国葬が執り行われるので、冒険者も参列することになった。ヤンサのガンエン廟前にいる「ヒエン」と話そう。			ドマの弔い							
ヒエンと話し、ガンエン廟で参列者を待っていたところ、キセイが現れた。彼女はヒエンに襲い掛かったが、ユウギリに斬り捨てられた。そこに偽神獣が現れて襲ってきたが、ゴウセツも駆けつけ皆で討伐を果たした。			ヒエンと話し、ガンエン廟で参列者を待っていたところ、キセイが現れた。彼女はヒエンに襲い掛かったが、ユウギリに斬り捨てられた。そこに偽神獣が現れて襲ってきたが、ゴウセツも駆けつけ皆で討伐を果たした。			ドマの弔い							
ガンエン廟にてドマの国葬が執り行われた。納められた者たちの逸話が語られ、参列したドマの民は皆、涙していた。ガンエン廟前の「ヒエン」と話そう。			ガンエン廟にてドマの国葬が執り行われた。納められた者たちの逸話が語られ、参列したドマの民は皆、涙していた。ガンエン廟前の「ヒエン」と話そう。			ドマの弔い							
ヒエンと話した。ドマ町人地に戻り「ヒエン」と話そう。			ヒエンと話した。ドマ町人地に戻り「ヒエン」と話そう。			ドマの弔い							
ヒエンと話した。ゴウセツは慰霊の旅に戻っていった。ヒエンは民が亡くした大切な人を葬送したことで、やっと、皆が未来を見据えることができると語った。偽神獣の討伐を報告するため、ラザハンの流星の間にいる「ドマの駐在武官」と話そう。			ヒエンと話した。ゴウセツは慰霊の旅に戻っていった。ヒエンは民が亡くした大切な人を葬送したことで、やっと、皆が未来を見据えることができると語った。偽神獣の討伐を報告するため、ラザハンの流星の間にいる「ドマの駐在武官」と話そう。			ドマの弔い							
ドマの駐在武官に偽神獣討伐を報告した。過去に向き合い別れを果たしたことで、ドマはこれから新たな道を歩み始めるだろう。			ドマの駐在武官に偽神獣討伐を報告した。過去に向き合い別れを果たしたことで、ドマはこれから新たな道を歩み始めるだろう。			ドマの弔い							
ガンエン廟前のヒエンと話す			ガンエン廟前のヒエンと話す			ドマの弔い							
ヒエンと話す			ヒエンと話す			ドマの弔い							
ドマ町人地のヒエンと話す			ドマ町人地のヒエンと話す			ドマの弔い							
流星の間のドマの駐在武官と話す			流星の間のドマの駐在武官と話す			ドマの弔い							
Forename殿。ガンエン廟に安置する遺品のすべてが集まり、いよいよ国葬が執り行われる運びとなった。			Forename殿。ガンエン廟に安置する遺品のすべてが集まり、いよいよ国葬が執り行われる運びとなった。			ドマの弔い							
それでは、ヒエン様をお呼びしよう。			それでは、ヒエン様をお呼びしよう。			ドマの弔い							
Forename、来てくれたか。相も変わらず、偽神獣の行方は掴めておらぬのだが、これは国葬を執り行う好機とも言える。			Forename、来てくれたか。相も変わらず、偽神獣の行方は掴めておらぬのだが、これは国葬を執り行う好機とも言える。			ドマの弔い							
獣へと至る絶望を打ち払うため、ひとりでも多くの遺族に「過去」と向き合う機会を作りたいのだ。ぜひ、解放の英雄たるそなたにも、参列してもらいたい。			獣へと至る絶望を打ち払うため、ひとりでも多くの遺族に「過去」と向き合う機会を作りたいのだ。ぜひ、解放の英雄たるそなたにも、参列してもらいたい。			ドマの弔い							
そうそう参列と言えばだな……残念ながら、ゴウセツは不参加となった。			そうそう参列と言えばだな……残念ながら、ゴウセツは不参加となった。			ドマの弔い							
あやつめ、やはり隠れて剣の修行をしておったようでな。無理がたたって腰を痛め、寝込んでしまいよったのだ。そんなわけで、我らだけでガンエン廟に向かうぞ。			あやつめ、やはり隠れて剣の修行をしておったようでな。無理がたたって腰を痛め、寝込んでしまいよったのだ。そんなわけで、我らだけでガンエン廟に向かうぞ。			ドマの弔い							
ガンエン廟に安置する遺品の中に、「セイテンタイセイ」の人形があったのだが、あれはいったい……？			ガンエン廟に安置する遺品の中に、「セイテンタイセイ」の人形があったのだが、あれはいったい……？			ドマの弔い							
参列者が集まるまで、まだ時間がある。中で待つことにしよう。			参列者が集まるまで、まだ時間がある。中で待つことにしよう。			ドマの弔い							
ヒ、ヒエン様……。			ヒ、ヒエン様……。			ドマの弔い							
まことに申し訳ございませんでした……！これまでの御無礼の数々、どうか、どうかご容赦くださいませぇ！			まことに申し訳ございませんでした……！これまでの御無礼の数々、どうか、どうかご容赦くださいませぇ！			ドマの弔い							
義娘が転化いたしましたのは、イザナミ様に非ず……！ヒエン様の御触れにあったとおり、偽神獣でございました！帰還者に対する非道なる言動も、謹んでお詫び申し上げます！			義娘が転化いたしましたのは、イザナミ様に非ず……！ヒエン様の御触れにあったとおり、偽神獣でございました！帰還者に対する非道なる言動も、謹んでお詫び申し上げます！			ドマの弔い							
ヒエン様が国葬を執り行うと聞きおよび、ドマの民のひとりとして、感激した次第にございます……！			ヒエン様が国葬を執り行うと聞きおよび、ドマの民のひとりとして、感激した次第にございます……！			ドマの弔い							
まっこと勝手ながら、我が夫と息子……さらに偽神獣に転じた義娘の遺品も持参いたしました。どうか、どうか共に安置し、供養していただきたく存じます！			まっこと勝手ながら、我が夫と息子……さらに偽神獣に転じた義娘の遺品も持参いたしました。どうか、どうか共に安置し、供養していただきたく存じます！			ドマの弔い							
もちろんだとも。さあ、面をあげてくれ……。			もちろんだとも。さあ、面をあげてくれ……。			ドマの弔い							
これで……義娘が……仇を……討ってくれる……はず……。			これで……義娘が……仇を……討ってくれる……はず……。			ドマの弔い							
己が命を餌に、偽神獣を呼び寄せたか……！来るぞ……！！			己が命を餌に、偽神獣を呼び寄せたか……！来るぞ……！！			ドマの弔い							
(-？？？？-)遅くなり申したが、拙者も助太刀いたしますぞ！			(-？？？？-)遅くなり申したが、拙者も助太刀いたしますぞ！			ドマの弔い							
ゴウセツ？そ、その錫杖は……？			ゴウセツ？そ、その錫杖は……？			ドマの弔い							
実は慰霊の旅の道すがら、修験道の鍛錬を始めましてな。もはや刀は持てませんが、少しはお役に立ってみせましょうぞ！			実は慰霊の旅の道すがら、修験道の鍛錬を始めましてな。もはや刀は持てませんが、少しはお役に立ってみせましょうぞ！			ドマの弔い							
まっこと、しぶとい男だのう……。しかし、おかげで助かった。			まっこと、しぶとい男だのう……。しかし、おかげで助かった。			ドマの弔い							
では、仕切り直しといこう。			では、仕切り直しといこう。			ドマの弔い							
救うことはできなかったが、せめて、彼女の亡骸と、家族の遺品も安置してやろう。			救うことはできなかったが、せめて、彼女の亡骸と、家族の遺品も安置してやろう。			ドマの弔い							
此度は未来を語るのではなく、過去に目を向けたい。戦場で死んでいった者たちには、それぞれの人生があり、思い出があった。			此度は未来を語るのではなく、過去に目を向けたい。戦場で死んでいった者たちには、それぞれの人生があり、思い出があった。			ドマの弔い							
長くなるが、ガンエン廟に埋葬される、すべての者たちの名と、その逸話を聞いてもらいたい。			長くなるが、ガンエン廟に埋葬される、すべての者たちの名と、その逸話を聞いてもらいたい。			ドマの弔い							
そうして、皆に知ってもらうことで、故人は我らの記憶の中で生き続けることができる。それこそ最大の供養と、遺族への慰めになるだろう。			そうして、皆に知ってもらうことで、故人は我らの記憶の中で生き続けることができる。それこそ最大の供養と、遺族への慰めになるだろう。			ドマの弔い							
モトカワのマロヤ。水墨画を嗜み、ことさらヤンサの山並みを好んで描きたり。クガネにて画家を生業とすることを夢見て精進す。			モトカワのマロヤ。水墨画を嗜み、ことさらヤンサの山並みを好んで描きたり。クガネにて画家を生業とすることを夢見て精進す。			ドマの弔い							
ジトウのモトスエ。我が父、カイエンに仕える侍衆のひとりなり。家族のため犠牲となった、その功は父の誉れとならん。			ジトウのモトスエ。我が父、カイエンに仕える侍衆のひとりなり。家族のため犠牲となった、その功は父の誉れとならん。			ドマの弔い							
コダクミのスズシロ。ノミと槌あれば、いかなる木材も万物に変える職人なり。仕事一筋の一本気、長男との晩酌のみを愉しみとする。			コダクミのスズシロ。ノミと槌あれば、いかなる木材も万物に変える職人なり。仕事一筋の一本気、長男との晩酌のみを愉しみとする。			ドマの弔い							
最後に……シホガキのミナト。そして、彼女の義母であったキセイについても語りたい。ふたりにも、たしかに幸せな暮らしがあったことを……。			最後に……シホガキのミナト。そして、彼女の義母であったキセイについても語りたい。ふたりにも、たしかに幸せな暮らしがあったことを……。			ドマの弔い							
ミナトの両親は、帝国兵に殺められたが、海賊衆の助けにより、イサリ村で暮らすこととなった。そこで、愛する夫を得て、心安らぐ居場所を見つけたという。			ミナトの両親は、帝国兵に殺められたが、海賊衆の助けにより、イサリ村で暮らすこととなった。そこで、愛する夫を得て、心安らぐ居場所を見つけたという。			ドマの弔い							
キセイは、スイの里に生まれし海の民なり。追放の憂き目にあったがイサリ村で家庭を築き、一男をもうけた。義娘となったミナトともども、仲睦まじき家族であったという。			キセイは、スイの里に生まれし海の民なり。追放の憂き目にあったがイサリ村で家庭を築き、一男をもうけた。義娘となったミナトともども、仲睦まじき家族であったという。			ドマの弔い							
本日、納められた者は以上である。彼らの生は、我らの心とともに……彼らが生きた証は、我らが廟にて永久に祀らん……。			本日、納められた者は以上である。彼らの生は、我らの心とともに……彼らが生きた証は、我らが廟にて永久に祀らん……。			ドマの弔い							
皆で故人に黙祷を捧げよう。我らはいま、平和を掴んだのだと伝えるために……。			皆で故人に黙祷を捧げよう。我らはいま、平和を掴んだのだと伝えるために……。			ドマの弔い							
参列者は皆、涙を流していた。ついに故人との別れを果たしたのだな。			参列者は皆、涙を流していた。ついに故人との別れを果たしたのだな。			ドマの弔い							
ガンエン廟に民の遺品が収められたこと。きっと、カイエン様もご賛同くださるだろう。			ガンエン廟に民の遺品が収められたこと。きっと、カイエン様もご賛同くださるだろう。			ドマの弔い							
偽神獣との戦いになろうとは予想外であったが、これで、すべて終わったのだな……。			偽神獣との戦いになろうとは予想外であったが、これで、すべて終わったのだな……。			ドマの弔い							
