不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
アラミゴの会議には、各国盟主たちが集っていたわ。それで、今後の帝国対策について話し合われたんだけど……。			アラミゴの会議には、各国盟主たちが集っていたわ。それで、今後の帝国対策について話し合われたんだけど……。			ノアの仲間たち							
諜報活動を行っているドマの忍びによると、ヴァリスの死後、未だに皇位の継承が行われておらず、帝国は元首不在のままらしいの。			諜報活動を行っているドマの忍びによると、ヴァリスの死後、未だに皇位の継承が行われておらず、帝国は元首不在のままらしいの。			ノアの仲間たち							
そんな状況だから、各属州の帝国軍も統制から外れ、独自の動きを見せ始めているらしいわ。			そんな状況だから、各属州の帝国軍も統制から外れ、独自の動きを見せ始めているらしいわ。			ノアの仲間たち							
気になるのは、内乱の中心にいるネルウァ……彼と関係の深い第III軍団に、名門貴族のブルトゥス家から、多額の支援が行われたらしいという点よ。			気になるのは、内乱の中心にいるネルウァ……彼と関係の深い第III軍団に、名門貴族のブルトゥス家から、多額の支援が行われたらしいという点よ。			ノアの仲間たち							
ブルトゥス家と言えば、あのヨツユやアサヒたちを、養子に迎え入れていた家門だったわよね？まったく……嫌な予感しかしないわ。			ブルトゥス家と言えば、あのヨツユやアサヒたちを、養子に迎え入れていた家門だったわよね？まったく……嫌な予感しかしないわ。			ノアの仲間たち							
ええ、あいかわらず、ゼノスの動向も不透明だしね。そんなわけで、サンクレッドとウリエンジェは、より詳しい状況を知るために帝都ガレマルドへ向かったわ。			ええ、あいかわらず、ゼノスの動向も不透明だしね。そんなわけで、サンクレッドとウリエンジェは、より詳しい状況を知るために帝都ガレマルドへ向かったわ。			ノアの仲間たち							
それから、もうひとつ……。ギムリトから帝国軍が退いたこともあって、盟主たちは、新たな蛮神対策に乗り出したの。			それから、もうひとつ……。ギムリトから帝国軍が退いたこともあって、盟主たちは、新たな蛮神対策に乗り出したの。			ノアの仲間たち							
蛮族たちの中でも、友好的な派閥と連携を取りつつ、対話による和解の可能性を模索しているのよ。			蛮族たちの中でも、友好的な派閥と連携を取りつつ、対話による和解の可能性を模索しているのよ。			ノアの仲間たち							
帝国との最終決戦を見据えて、今のうちに、足元の問題を解決しておきたいのでしょうね。			帝国との最終決戦を見据えて、今のうちに、足元の問題を解決しておきたいのでしょうね。			ノアの仲間たち							
とはいえ、この問題は簡単に解決できるものじゃない。案の定、リムサ・ロミンサでは対策が難航しているらしくて、アルフィノくんとヤ・シュトラが駆り出されていったわ。			とはいえ、この問題は簡単に解決できるものじゃない。案の定、リムサ・ロミンサでは対策が難航しているらしくて、アルフィノくんとヤ・シュトラが駆り出されていったわ。			ノアの仲間たち							
相手が蛮神召喚に手を染めたテンパードなら、対話すら、ままならないものね……。			相手が蛮神召喚に手を染めたテンパードなら、対話すら、ままならないものね……。			ノアの仲間たち							
でも、だからこそ、テンパードの治療法が確立できれば、蛮神問題の打開策にもなるはず……！			でも、だからこそ、テンパードの治療法が確立できれば、蛮神問題の打開策にもなるはず……！			ノアの仲間たち							
ああ、新たな道を拓くためにも、シドたちの力を借りて、必ず治療法を完成させよう。			ああ、新たな道を拓くためにも、シドたちの力を借りて、必ず治療法を完成させよう。			ノアの仲間たち							
シドさんがいらっしゃったら、未明の間にご案内しまっす！休憩がてら、しばらくそちらでお待ちくだっさい！			シドさんがいらっしゃったら、未明の間にご案内しまっす！休憩がてら、しばらくそちらでお待ちくだっさい！			ノアの仲間たち							
そちらは、魔大陸に行ったそうね。ラハくんの活躍ぶりは、どうだったかしら？			そちらは、魔大陸に行ったそうね。ラハくんの活躍ぶりは、どうだったかしら？			ノアの仲間たち							
未明の間の調度品を整えてみまっした。会議や休息などに、ご利用くだっさい！			未明の間の調度品を整えてみまっした。会議や休息などに、ご利用くだっさい！			ノアの仲間たち							
いよいよ、シドたちに会えるんだな……！			いよいよ、シドたちに会えるんだな……！			ノアの仲間たち							
私としては、ガ・ブを救いたい一心だったけど、テンパードの治療は世界が待望しているのよね……。			私としては、ガ・ブを救いたい一心だったけど、テンパードの治療は世界が待望しているのよね……。			ノアの仲間たち							
ピピ……殿下の血圧の上昇を感知しました。			ピピ……殿下の血圧の上昇を感知しました。			ノアの仲間たち							
シド……！			シド……！			ノアの仲間たち							
挨拶に来るのが遅くなって、すまなかった。なかなか厄介な案件で立て込んでてな……。			挨拶に来るのが遅くなって、すまなかった。なかなか厄介な案件で立て込んでてな……。			ノアの仲間たち							
しかし、予定よりずいぶんと早いお目覚めじゃないか？お前を起こすって張り切ってたウェッジたちが驚いてたぞ、グ・ラハ・ティア。			しかし、予定よりずいぶんと早いお目覚めじゃないか？お前を起こすって張り切ってたウェッジたちが驚いてたぞ、グ・ラハ・ティア。			ノアの仲間たち							
なに、あんたたちは約束を果たしてくれたさ。だから今、ここにこうしてオレがいる。			なに、あんたたちは約束を果たしてくれたさ。だから今、ここにこうしてオレがいる。			ノアの仲間たち							
事情を聞いても、にわかには信じられなかったがな。時空超越理論なんて、今はまだ雲をつかむような話……一生を費やしたって到達できるかわからない大物だ。			事情を聞いても、にわかには信じられなかったがな。時空超越理論なんて、今はまだ雲をつかむような話……一生を費やしたって到達できるかわからない大物だ。			ノアの仲間たち							
だが、どこかの俺がそれをやり遂げたなら、「もうひとつの未来」の俺は、さらに大物を狙うのも悪くない。……で、今回はどんな案件だ？			だが、どこかの俺がそれをやり遂げたなら、「もうひとつの未来」の俺は、さらに大物を狙うのも悪くない。……で、今回はどんな案件だ？			ノアの仲間たち							
なるほど、テンパードの治療とは思い切ったな。そのためにも、まずは玉っころのパスワード解析が必要ってわけか。			なるほど、テンパードの治療とは思い切ったな。そのためにも、まずは玉っころのパスワード解析が必要ってわけか。			ノアの仲間たち							
推測しようにも、取っ掛かりがなくてな。当てずっぽうで試していては、時間がいくらあっても足りない。			推測しようにも、取っ掛かりがなくてな。当てずっぽうで試していては、時間がいくらあっても足りない。			ノアの仲間たち							
なら、俺たちの技術を頼ったのは正解だな。高速で何通りもの処理ができる魔導端末なら、パスワードを解析できるはずだ。			なら、俺たちの技術を頼ったのは正解だな。高速で何通りもの処理ができる魔導端末なら、パスワードを解析できるはずだ。			ノアの仲間たち							
そう言ってくれると思って、ラムブルースから、アラグ語の辞書が収められたトームストーンを借りておいた。これ、使ってくれ。			そう言ってくれると思って、ラムブルースから、アラグ語の辞書が収められたトームストーンを借りておいた。これ、使ってくれ。			ノアの仲間たち							
ありがたい。さっそく魔導端末に読み込ませて、解析を始めよう。			ありがたい。さっそく魔導端末に読み込ませて、解析を始めよう。			ノアの仲間たち							
よし、済んだようだな。なになに……			よし、済んだようだな。なになに……			ノアの仲間たち							
じ・ゆ・う……？そうか、自由か……。			じ・ゆ・う……？そうか、自由か……。			ノアの仲間たち							
ずいぶんとシンプルな答えなのね。ま、とにかく解除を試してみましょうよ。			ずいぶんとシンプルな答えなのね。ま、とにかく解除を試してみましょうよ。			ノアの仲間たち							
ああ、そうしよう。			ああ、そうしよう。			ノアの仲間たち							
パスワード入力……じゆう！			パスワード入力……じゆう！			ノアの仲間たち							
パスワード認証……。ピピ……「闘神の汚染者に関するレポート」を開きます……。			パスワード認証……。ピピ……「闘神の汚染者に関するレポート」を開きます……。			ノアの仲間たち							
このレポートでは主に、なぜ、闘神によって人は従属を強制され、「汚染者」になってしまうのかを解説していく。			このレポートでは主に、なぜ、闘神によって人は従属を強制され、「汚染者」になってしまうのかを解説していく。			ノアの仲間たち							
結論から言えば汚染者とは、「魂」を構成するエーテルが変容した者である。			結論から言えば汚染者とは、「魂」を構成するエーテルが変容した者である。			ノアの仲間たち							
通常、人の魂を構成するエーテルは、ひとつの属性に偏らない、バランスの取れた状態になっている。			通常、人の魂を構成するエーテルは、ひとつの属性に偏らない、バランスの取れた状態になっている。			ノアの仲間たち							
しかし、闘神のエーテル放射を浴びることによって、魂は、その闘神が有する性質、つまり属性に捻じ曲げられてゆく。			しかし、闘神のエーテル放射を浴びることによって、魂は、その闘神が有する性質、つまり属性に捻じ曲げられてゆく。			ノアの仲間たち							
例えば、魔神セフィロトのエーテル放射を浴びた場合、魂のエーテルは、土属性へと変容してゆく。			例えば、魔神セフィロトのエーテル放射を浴びた場合、魂のエーテルは、土属性へと変容してゆく。			ノアの仲間たち							
これにより、土属性の魔法を容易く扱えるようになったり、異常な耐久力を得て、戦闘能力が高まったりする。そして、これを繰り返すと、やがて肉体までもが変化するのだ。			これにより、土属性の魔法を容易く扱えるようになったり、異常な耐久力を得て、戦闘能力が高まったりする。そして、これを繰り返すと、やがて肉体までもが変化するのだ。			ノアの仲間たち							
また、汚染者たちの魂を調査したところ、属性のみならず、霊極性化が進行していることが判明した。			また、汚染者たちの魂を調査したところ、属性のみならず、霊極性化が進行していることが判明した。			ノアの仲間たち							
霊極性とは、すなわち停滞の極性である。おそらく、魂が霊極性化することで自我が薄められた結果、闘神に対する信仰心ばかりが、際立つことになるのだろう。			霊極性とは、すなわち停滞の極性である。おそらく、魂が霊極性化することで自我が薄められた結果、闘神に対する信仰心ばかりが、際立つことになるのだろう。			ノアの仲間たち							
こうして汚染者たちは、闘神だけを崇めるようになり、その信仰心を糧に、闘神はさらなる力を得るのである。			こうして汚染者たちは、闘神だけを崇めるようになり、その信仰心を糧に、闘神はさらなる力を得るのである。			ノアの仲間たち							
私はこの研究から、闘神のエーテル放射を遮断し、汚染者となることを防ぐ、特殊な素材を開発することに成功した。しかし……			私はこの研究から、闘神のエーテル放射を遮断し、汚染者となることを防ぐ、特殊な素材を開発することに成功した。しかし……			ノアの仲間たち							
しかし、その研究のため、多くの部下が汚染者となり、無情にも……処分されてしまった。			しかし、その研究のため、多くの部下が汚染者となり、無情にも……処分されてしまった。			ノアの仲間たち							
私は、汚染者の治療法の研究を申請したが、アモン様の必要なしという一言で却下されてしまった。			私は、汚染者の治療法の研究を申請したが、アモン様の必要なしという一言で却下されてしまった。			ノアの仲間たち							
そして異議を唱えた私は、魔科学研究所から追放されたのだ。おそらく、このレポートも登録抹消されていることだろう。			そして異議を唱えた私は、魔科学研究所から追放されたのだ。おそらく、このレポートも登録抹消されていることだろう。			ノアの仲間たち							
いつの日か、汚染者の治療に挑む者が現れることを願いつつ、レポートを終える……。以上……。			いつの日か、汚染者の治療に挑む者が現れることを願いつつ、レポートを終える……。以上……。			ノアの仲間たち							
そうか……。アラグ文明でも、テンパード化の治療法は、確立できなかったんだな……。			そうか……。アラグ文明でも、テンパード化の治療法は、確立できなかったんだな……。			ノアの仲間たち							
だけど、テンパード化が、魂が不活性化された状態だっていう推測は証明されたわ。なら、アンジェロで活性化してやれば……			だけど、テンパード化が、魂が不活性化された状態だっていう推測は証明されたわ。なら、アンジェロで活性化してやれば……			ノアの仲間たち							
理屈は正しい。……が、そのまますべてを活性化させれば、蛮神への信仰心まで高めてしまうんじゃないか？			理屈は正しい。……が、そのまますべてを活性化させれば、蛮神への信仰心まで高めてしまうんじゃないか？			ノアの仲間たち							
それじゃあ結局、偽りの信徒のままだ。まずは増幅させられた信仰心を戻してやらないと……。			それじゃあ結局、偽りの信徒のままだ。まずは増幅させられた信仰心を戻してやらないと……。			ノアの仲間たち							
何と言う？			何と言う？			ノアの仲間たち							
本来の自分を思い出せれば……			本来の自分を思い出せれば……			ノアの仲間たち							
活性化以外に、自我を取り戻させる方法は？			活性化以外に、自我を取り戻させる方法は？			ノアの仲間たち							
そうだ……アラグの記憶継承術……！あの術は、記憶を移せるようにする過程で、いわば「記憶をくるむ」みたいな作用をするんだ。			そうだ……アラグの記憶継承術……！あの術は、記憶を移せるようにする過程で、いわば「記憶をくるむ」みたいな作用をするんだ。			ノアの仲間たち							
術をうまく改変できれば、テンパードになる前の記憶は活性化魔法が効きやすいように、なった後の分は効きにくいように……と分けられるかもしれない。			術をうまく改変できれば、テンパードになる前の記憶は活性化魔法が効きやすいように、なった後の分は効きにくいように……と分けられるかもしれない。			ノアの仲間たち							
そうして自我を優先的に目覚めさせられたら、無意識の己を支配していた偽りの信仰心を掃えもするだろう。			そうして自我を優先的に目覚めさせられたら、無意識の己を支配していた偽りの信仰心を掃えもするだろう。			ノアの仲間たち							
確かに……活性化させるべき記憶の選別も、罪喰い化の治療における理論が使えそうだけど……。			確かに……活性化させるべき記憶の選別も、罪喰い化の治療における理論が使えそうだけど……。			ノアの仲間たち							
でも、術の改変って、簡単にはできないでしょう？私たちを帰還させようとしてたときだって……結局、うまくいかなかったのよね？			でも、術の改変って、簡単にはできないでしょう？私たちを帰還させようとしてたときだって……結局、うまくいかなかったのよね？			ノアの仲間たち							
ああ、まあな……。少しずつ改変した術式を何通りも試したが、正解は見つけられなかった。			ああ、まあな……。少しずつ改変した術式を何通りも試したが、正解は見つけられなかった。			ノアの仲間たち							
だったら、ほかの方法を探したほうが……			だったら、ほかの方法を探したほうが……			ノアの仲間たち							
いや、まだ光明はある……！			いや、まだ光明はある……！			ノアの仲間たち							
こいつみたいなアラグの球形汎用システムには、機械的に魔法を再現する機構が組み込まれてるんだ。			こいつみたいなアラグの球形汎用システムには、機械的に魔法を再現する機構が組み込まれてるんだ。			ノアの仲間たち							
これを利用して、改変した術式を、仮想的に試すことはできないか……！？そのやり方なら、短時間で何百、何千通りも試せるはずだ。			これを利用して、改変した術式を、仮想的に試すことはできないか……！？そのやり方なら、短時間で何百、何千通りも試せるはずだ。			ノアの仲間たち							
なるほど、パスワードの割り出しと同じ方法を使うわけか。			なるほど、パスワードの割り出しと同じ方法を使うわけか。			ノアの仲間たち							
たしかに魔導端末と玉っころを接続して制御を乗っ取ればいける。だが、膨大な計算をこなすための演算能力が必要だろう。今の俺たちの技術でできるかどうか……。			たしかに魔導端末と玉っころを接続して制御を乗っ取ればいける。だが、膨大な計算をこなすための演算能力が必要だろう。今の俺たちの技術でできるかどうか……。			ノアの仲間たち							
なあ、シド……オーエンがレポートにパスワードをかけてたのは、なぜだと思う？			なあ、シド……オーエンがレポートにパスワードをかけてたのは、なぜだと思う？			ノアの仲間たち							
そりゃあ、セキュリティの問題……			そりゃあ、セキュリティの問題……			ノアの仲間たち							
……違うな。総当たりで崩せる程度のパスワードに、ほとんど意味はない。			……違うな。総当たりで崩せる程度のパスワードに、ほとんど意味はない。			ノアの仲間たち							
これは魔科学者オーエンからのメッセージだ。「自由」を求める心がある者にこそ、読んでもらいたい、と。			これは魔科学者オーエンからのメッセージだ。「自由」を求める心がある者にこそ、読んでもらいたい、と。			ノアの仲間たち							
同じだよな。技術は自由のために……ってさ！			同じだよな。技術は自由のために……ってさ！			ノアの仲間たち							
ウェッジ、ビッグス、ありったけの魔導端末を、レヴナンツトールの工房に集めるんだ！			ウェッジ、ビッグス、ありったけの魔導端末を、レヴナンツトールの工房に集めるんだ！			ノアの仲間たち							
了解ッスー！			了解ッスー！			ノアの仲間たち							
さあ、こっからは大忙しだ。すまないが、お前たちにも協力してもらうぞ？			さあ、こっからは大忙しだ。すまないが、お前たちにも協力してもらうぞ？			ノアの仲間たち							
目的に一歩ずつ近づいているわね。このまま突き進みましょう！			目的に一歩ずつ近づいているわね。このまま突き進みましょう！			ノアの仲間たち							
未知の領域に踏み込むには、知恵と作戦、それから勢いも大事だろ？「古代の民の迷宮」に乗り込んだときみたいにさ。			未知の領域に踏み込むには、知恵と作戦、それから勢いも大事だろ？「古代の民の迷宮」に乗り込んだときみたいにさ。			ノアの仲間たち							
もちろん、私たちも力いっぱい手伝わせてもらうわ。			もちろん、私たちも力いっぱい手伝わせてもらうわ。			ノアの仲間たち							
たくさんの端末を用意してもらうとなると、おいくら……いえいえ、ここは世界のためにも太っ腹でいきまっす。			たくさんの端末を用意してもらうとなると、おいくら……いえいえ、ここは世界のためにも太っ腹でいきまっす。			ノアの仲間たち							
………………。			………………。			ノアの仲間たち							
魔導端末のセッティングは、俺たちとグ・ラハ・ティアに任せてくれればいい。			魔導端末のセッティングは、俺たちとグ・ラハ・ティアに任せてくれればいい。			ノアの仲間たち							
お前たちには、端末をフル稼働させるために必要な、燃料の青燐水と、冷却用のアイスシャードの調達を頼みたい。どちらも、あればあるほどいい。			お前たちには、端末をフル稼働させるために必要な、燃料の青燐水と、冷却用のアイスシャードの調達を頼みたい。どちらも、あればあるほどいい。			ノアの仲間たち							
アイスシャードの調達なら任せて。「石の家」の冒険者のみんなと人海戦術で集めてくるわ。			アイスシャードの調達なら任せて。「石の家」の冒険者のみんなと人海戦術で集めてくるわ。			ノアの仲間たち							
なら、Forenameは、アリゼーと分担して、青燐水の調達を頼む。「ガーロンド社の取引手形」を渡しておこう。			なら、Forenameは、アリゼーと分担して、青燐水の調達を頼む。「ガーロンド社の取引手形」を渡しておこう。			ノアの仲間たち							
それぞれ、イシュガルドの「スカイスチール機工房」と、ウルダハの「青燐精製所」に向かい、その手形で青燐水を調達してきてくれ。			それぞれ、イシュガルドの「スカイスチール機工房」と、ウルダハの「青燐精製所」に向かい、その手形で青燐水を調達してきてくれ。			ノアの仲間たち							
イシュガルドの方は任せていいかしら？あなたの方が、何かと顔が利くでしょうしね。私はウルダハに行ってくるわ。			イシュガルドの方は任せていいかしら？あなたの方が、何かと顔が利くでしょうしね。私はウルダハに行ってくるわ。			ノアの仲間たち							
アリゼーがウルダハに向かったなら、お前はイシュガルドの「スカイスチール機工房」に行って、青燐水を調達してきてくれ。			アリゼーがウルダハに向かったなら、お前はイシュガルドの「スカイスチール機工房」に行って、青燐水を調達してきてくれ。			ノアの仲間たち							
悪いが、青燐水の調達は任せた。あんたが戻ってくる頃には、魔導端末のセッティングを済ませておくよ。			悪いが、青燐水の調達は任せた。あんたが戻ってくる頃には、魔導端末のセッティングを済ませておくよ。			ノアの仲間たち							
これからみんなで、アイスシャードの調達に向かうところよ。あなたは青燐水をよろしくね。			これからみんなで、アイスシャードの調達に向かうところよ。あなたは青燐水をよろしくね。			ノアの仲間たち							
レヴナンツトールの工房も久しく使ってませんでっした。端末を運ぶ前にしっかりお掃除しておきまっす！			レヴナンツトールの工房も久しく使ってませんでっした。端末を運ぶ前にしっかりお掃除しておきまっす！			ノアの仲間たち							
こちらは「スカイスチール機工房」です。本日は、どういったご用件でしょうか……？			こちらは「スカイスチール機工房」です。本日は、どういったご用件でしょうか……？			ノアの仲間たち							
ようこそ、いらっしゃいました。本日は、機工士としての用件ではないようですが……？			ようこそ、いらっしゃいました。本日は、機工士としての用件ではないようですが……？			ノアの仲間たち							
かしこまりました、青燐水の調達ですね。お手数ですが、イシュガルド・ランディングまでご足労いただき、担当の技師に改めて手形をお渡しください。			かしこまりました、青燐水の調達ですね。お手数ですが、イシュガルド・ランディングまでご足労いただき、担当の技師に改めて手形をお渡しください。			ノアの仲間たち							
青燐水の調達でしたら、お手数ですが、イシュガルド・ランディングまでご足労いただき、担当の技師に改めて手形をお渡しください。			青燐水の調達でしたら、お手数ですが、イシュガルド・ランディングまでご足労いただき、担当の技師に改めて手形をお渡しください。			ノアの仲間たち							
青燐水なら俺が扱っている。情勢不安で高騰しているが、現金払いでいいか……？			青燐水なら俺が扱っている。情勢不安で高騰しているが、現金払いでいいか……？			ノアの仲間たち							
ガーロンド社の取引手形とは恐れ入った。額面どおりの青燐水を持ってってくれ。			ガーロンド社の取引手形とは恐れ入った。額面どおりの青燐水を持ってってくれ。			ノアの仲間たち							
ポート・ヘリックスのグ・ラハ・ティアは、感慨深そうにしている。			ポート・ヘリックスのグ・ラハ・ティアは、感慨深そうにしている。			アラグの研究者							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			アラグの研究者							
グ・ラハ・ティアと再度話す			グ・ラハ・ティアと再度話す			アラグの研究者							
雷気の淀みを調べ、現れたライトニング・スプライトを討伐			雷気の淀みを調べ、現れたライトニング・スプライトを討伐			アラグの研究者							
雷気の淀みを調べ、高圧ライトニングシャードを入手			雷気の淀みを調べ、高圧ライトニングシャードを入手			アラグの研究者							
グ・ラハ・ティアに高圧ライトニングシャードを渡す			グ・ラハ・ティアに高圧ライトニングシャードを渡す			アラグの研究者							
「暁」の記録によると、魔大陸はあなたと教皇トールダンが、最後の戦いを繰り広げた場所だったわね……。			「暁」の記録によると、魔大陸はあなたと教皇トールダンが、最後の戦いを繰り広げた場所だったわね……。			アラグの研究者							
ここがポート・ヘリックスだから、アルファ管区……ならあっちがベータで……むこうが……よし……！			ここがポート・ヘリックスだから、アルファ管区……ならあっちがベータで……むこうが……よし……！			アラグの研究者							
実際に降り立つのは初めてだが、ここの大まかな構造は、クリスタルタワーの記録で把握済みだ。			実際に降り立つのは初めてだが、ここの大まかな構造は、クリスタルタワーの記録で把握済みだ。			アラグの研究者							
たしか、この先に情報端末があるはず……。まずはそれで、テンパードについて検索してみよう。			たしか、この先に情報端末があるはず……。まずはそれで、テンパードについて検索してみよう。			アラグの研究者							
さぁて、ここからは、アラグ文明の研究家でもある、ラハのお手並み拝見ね。			さぁて、ここからは、アラグ文明の研究家でもある、ラハのお手並み拝見ね。			アラグの研究者							
よし、さっそく検索を始めよう。端末の操作なら、オレに任せてくれ。これでもアラグ文明については、詳しいつもりだからな。			よし、さっそく検索を始めよう。端末の操作なら、オレに任せてくれ。これでもアラグ文明については、詳しいつもりだからな。			アラグの研究者							
よし、あったぞ……。			よし、あったぞ……。			アラグの研究者							
……闘神の……汚染者に関する……レポート？			……闘神の……汚染者に関する……レポート？			アラグの研究者							
ああ……。アラグ文明では蛮神のことを「闘神」、テンパードのことを「汚染者」と呼んでたんだ。			ああ……。アラグ文明では蛮神のことを「闘神」、テンパードのことを「汚染者」と呼んでたんだ。			アラグの研究者							
ダメだ……開けない。中身のデータが削除されてるみたいだな……。			ダメだ……開けない。中身のデータが削除されてるみたいだな……。			アラグの研究者							
そ、そんな……せっかく、糸口が掴めるかと思ったのに……何とかならないの？			そ、そんな……せっかく、糸口が掴めるかと思ったのに……何とかならないの？			アラグの研究者							
別の場所に、データのバックアップが残っている可能性はある。だが、どこを探したものか……。			別の場所に、データのバックアップが残っている可能性はある。だが、どこを探したものか……。			アラグの研究者							
そのレポートの著者……ええっと、「オーエン」って記録されているわね。その人なら、元のデータを持っていたんじゃないかしら？			そのレポートの著者……ええっと、「オーエン」って記録されているわね。その人なら、元のデータを持っていたんじゃないかしら？			アラグの研究者							
あり得るな……。魔科学研究所に所属する研究者なんだったら、この近くにあるハビスフィアという居住施設で暮らしてたはずだ。			あり得るな……。魔科学研究所に所属する研究者なんだったら、この近くにあるハビスフィアという居住施設で暮らしてたはずだ。			アラグの研究者							
よし、「ハビスフィア管理局」に行って、オーエンの部屋番号を調べてみよう。タタルが用意してくれた、小型飛空艇の出番だな。			よし、「ハビスフィア管理局」に行って、オーエンの部屋番号を調べてみよう。タタルが用意してくれた、小型飛空艇の出番だな。			アラグの研究者							
あなたは、いろいろな乗り物を持ってるからいいわね。私も自分用の乗り物がほしいところだわ。			あなたは、いろいろな乗り物を持ってるからいいわね。私も自分用の乗り物がほしいところだわ。			アラグの研究者							
あのマナカッターは、ガーロンド・アイアンワークス製のようね。もっとも、タタルならそのうち自作しそうだけど……。			あのマナカッターは、ガーロンド・アイアンワークス製のようね。もっとも、タタルならそのうち自作しそうだけど……。			アラグの研究者							
ザザ……ザ、ザザ……こちら「管理システム」。「ハビスフィア」の管理業務を担当しております。			ザザ……ザ、ザザ……こちら「管理システム」。「ハビスフィア」の管理業務を担当しております。			アラグの研究者							
それでは、この管理システムで、オーエンの部屋番号を調べてみよう。			それでは、この管理システムで、オーエンの部屋番号を調べてみよう。			アラグの研究者							
よし、部屋番号はわかったぞ。さっそく、居住区に……			よし、部屋番号はわかったぞ。さっそく、居住区に……			アラグの研究者							
警告……警告……。ハビスフィアは職員退避命令に伴い、現在緊急ロック中……立ち入りできません。			警告……警告……。ハビスフィアは職員退避命令に伴い、現在緊急ロック中……立ち入りできません。			アラグの研究者							
そうか、第四霊災の発生に伴う措置として、居住施設の扉を閉鎖したのか……！			そうか、第四霊災の発生に伴う措置として、居住施設の扉を閉鎖したのか……！			アラグの研究者							
ザザ……ザ……バッテリーが消耗しております。ザザ……充電のためホームベースに戻ります。			ザザ……ザ……バッテリーが消耗しております。ザザ……充電のためホームベースに戻ります。			アラグの研究者							
どうにか中に入る方法はないの？力ずくで破壊するっていうなら手伝うけど……。			どうにか中に入る方法はないの？力ずくで破壊するっていうなら手伝うけど……。			アラグの研究者							
……オレに考えがある。管理局の装置をショートさせれば、システムが再起動されて、ロックが解除されるはずなんだ。			……オレに考えがある。管理局の装置をショートさせれば、システムが再起動されて、ロックが解除されるはずなんだ。			アラグの研究者							
そうだな……この辺りにある雷気の淀みに固着した、高圧ライトニングシャードがあれば、やれるだろう。			そうだな……この辺りにある雷気の淀みに固着した、高圧ライトニングシャードがあれば、やれるだろう。			アラグの研究者							
びっくりするほど詳しいわね……！そんなことまで記録にあったの？			びっくりするほど詳しいわね……！そんなことまで記録にあったの？			アラグの研究者							
魔大陸では雷気の淀みが発生しやすく、雷気系統のショートが頻発して悩まされていた……って記述がな。			魔大陸では雷気の淀みが発生しやすく、雷気系統のショートが頻発して悩まされていた……って記述がな。			アラグの研究者							
クリスタルタワーなんて大層なものを、自分ひとりで管理しなきゃならなかったんだ。アラグの知識は、どれだけ叩き込んでも余計じゃなかったさ。			クリスタルタワーなんて大層なものを、自分ひとりで管理しなきゃならなかったんだ。アラグの知識は、どれだけ叩き込んでも余計じゃなかったさ。			アラグの研究者							
……それに、まあ、こんなものでも、オレにとっては原初世界と自分を繋ぐ存在だったからな。			……それに、まあ、こんなものでも、オレにとっては原初世界と自分を繋ぐ存在だったからな。			アラグの研究者							
100回だって、1000回だって、想像の中で探索した。けど、こうして実際に……ふたりと一緒に来てみると、何もかも新鮮だ！			100回だって、1000回だって、想像の中で探索した。けど、こうして実際に……ふたりと一緒に来てみると、何もかも新鮮だ！			アラグの研究者							
さっそく手分けして、近くのベータ管区で「雷気の淀み」を探し、「高圧ライトニングシャード」を調達しよう。淀みには大抵スプライトが発生しているから、気をつけろよ。			さっそく手分けして、近くのベータ管区で「雷気の淀み」を探し、「高圧ライトニングシャード」を調達しよう。淀みには大抵スプライトが発生しているから、気をつけろよ。			アラグの研究者							
せっかくだから、誰が最初にシャードを調達して、ここへ戻ってこられるか、競争してみない？			せっかくだから、誰が最初にシャードを調達して、ここへ戻ってこられるか、競争してみない？			アラグの研究者							
望むところだ！部屋にこもってるだけがオレじゃないからな……！			望むところだ！部屋にこもってるだけがオレじゃないからな……！			アラグの研究者							
(-姿なき声-)見てたぜ、あんたカッコいいな！現れた敵を颯爽と蹴散らす勇姿……思わず見入って、シャードを取り損ねちまった。			(-姿なき声-)見てたぜ、あんたカッコいいな！現れた敵を颯爽と蹴散らす勇姿……思わず見入って、シャードを取り損ねちまった。			アラグの研究者							
(-姿なき声-)……って、競争してたんだっけか。残念だがオレの負けだな。それはあんたが持って帰るといい。			(-姿なき声-)……って、競争してたんだっけか。残念だがオレの負けだな。それはあんたが持って帰るといい。			アラグの研究者							
何と言う？			何と言う？			アラグの研究者							
誰だ、姿を見せろ！			誰だ、姿を見せろ！			アラグの研究者							
次は上から飛び降りてくる？			次は上から飛び降りてくる？			アラグの研究者							
ふざけてないで働け……			ふざけてないで働け……			アラグの研究者							
悪い悪い……。あんたに初めて会ったときと状況が似てたから、なんだか懐かしくなって、ついな。			悪い悪い……。あんたに初めて会ったときと状況が似てたから、なんだか懐かしくなって、ついな。			アラグの研究者							
うっ……そっちも覚えてるのかよ……。あれは浮かれてたんだ、すごく強い奴が来たもんだからな……！			うっ……そっちも覚えてるのかよ……。あれは浮かれてたんだ、すごく強い奴が来たもんだからな……！			アラグの研究者							
