イディルシャイアのロウェナは、帰り支度をしているようだ。			イディルシャイアのロウェナは、帰り支度をしているようだ。			その名をアニマウェポン							
さぁ、Forenameさん……アニマウェポンを手に、過酷な冒険に挑んでください！試練を通じて、人造精霊の魂は研ぎ澄まされていくでしょう！			さぁ、Forenameさん……アニマウェポンを手に、過酷な冒険に挑んでください！試練を通じて、人造精霊の魂は研ぎ澄まされていくでしょう！			人造精霊は咲き誇る							
「改良型アニマグラス」を渡しておきますね。これを使えば、人造精霊の「魂の凝縮度」を測ることができます。			「改良型アニマグラス」を渡しておきますね。これを使えば、人造精霊の「魂の凝縮度」を測ることができます。			人造精霊は咲き誇る							
そして、完璧に魂が凝縮したと思えたときに、「認証システム」にアニマウェポンを差し出してください。			そして、完璧に魂が凝縮したと思えたときに、「認証システム」にアニマウェポンを差し出してください。			人造精霊は咲き誇る							
最終的にコイツの目で、エーテルの密度を最終チェックし、間違いないというお墨付きを得てから、移植に挑みます。二重三重にチェックしておいて、損はありませんからね。			最終的にコイツの目で、エーテルの密度を最終チェックし、間違いないというお墨付きを得てから、移植に挑みます。二重三重にチェックしておいて、損はありませんからね。			人造精霊は咲き誇る							
人造精霊のエーテルを霧散させないよう、例によって、魂の凝縮を行いましょう。			人造精霊のエーテルを霧散させないよう、例によって、魂の凝縮を行いましょう。			人造精霊は咲き誇る							
今回もこちらの「改良型アニマグラス」を使ってください。人造精霊の「魂の凝縮度」を測ることができます。			今回もこちらの「改良型アニマグラス」を使ってください。人造精霊の「魂の凝縮度」を測ることができます。			人造精霊は咲き誇る							
前回と同様、完璧に魂が凝縮したと思えたときに、「認証システム」にアニマウェポンを差し出してください。			前回と同様、完璧に魂が凝縮したと思えたときに、「認証システム」にアニマウェポンを差し出してください。			人造精霊は咲き誇る							
「[???]」を装備した状態で、特定のコンテンツを攻略すると、魂の凝縮度が高まります。			「[???]」を装備した状態で、特定のコンテンツを攻略すると、魂の凝縮度が高まります。			人造精霊は咲き誇る							
「[???]」および、「[???]」を装備した状態で、特定のコンテンツを攻略すると、魂の凝縮度が高まります。			「[???]」および、「[???]」を装備した状態で、特定のコンテンツを攻略すると、魂の凝縮度が高まります。			人造精霊は咲き誇る							
「[???]」および、「[???]」の耐久度が0%だと、魂の凝縮度を溜めることはできません。			「[???]」および、「[???]」の耐久度が0%だと、魂の凝縮度を溜めることはできません。			人造精霊は咲き誇る							
「[???]」の耐久度が0%だと、魂の凝縮度を溜めることはできません。			「[???]」の耐久度が0%だと、魂の凝縮度を溜めることはできません。			人造精霊は咲き誇る							
なお、現在の人造精霊の魂の凝縮度は、「改良型アニマグラス」を使うことで確認できます。魂の凝縮度が、最大限になるまで高めていきましょう。			なお、現在の人造精霊の魂の凝縮度は、「改良型アニマグラス」を使うことで確認できます。魂の凝縮度が、最大限になるまで高めていきましょう。			人造精霊は咲き誇る							
……ザ……ザザ……魂の凝縮度……25％未満です……。アラグ帝国魔科学省公認の特級エーテル密度に認定はできません。			……ザ……ザザ……魂の凝縮度……25％未満です……。アラグ帝国魔科学省公認の特級エーテル密度に認定はできません。			人造精霊は咲き誇る							
……ザ、ザザ……魂の凝縮度……25％以上…………ザザ……50％未満です……。アラグ帝国魔科学省公認の特級エーテル密度に認定はできません。			……ザ、ザザ……魂の凝縮度……25％以上…………ザザ……50％未満です……。アラグ帝国魔科学省公認の特級エーテル密度に認定はできません。			人造精霊は咲き誇る							
……ザ、ザザ……魂の凝縮度……50％以上…………ザザ……75％未満です……。アラグ帝国魔科学省公認の特級エーテル密度に認定はできません。			……ザ、ザザ……魂の凝縮度……50％以上…………ザザ……75％未満です……。アラグ帝国魔科学省公認の特級エーテル密度に認定はできません。			人造精霊は咲き誇る							
……ザ、ザザ……魂の凝縮度……75％以上…………ザザ……100％未満です……。アラグ帝国魔科学省公認の特級エーテル密度に認定はできません。			……ザ、ザザ……魂の凝縮度……75％以上…………ザザ……100％未満です……。アラグ帝国魔科学省公認の特級エーテル密度に認定はできません。			人造精霊は咲き誇る							
「[???]」を装備した状態で、特定のコンテンツを攻略すると、魂の凝縮度が高まります。			「[???]」を装備した状態で、特定のコンテンツを攻略すると、魂の凝縮度が高まります。			人造精霊は咲き誇る							
「[???]」および、「[???]」を装備した状態で、特定のコンテンツを攻略すると、魂の凝縮度が高まります。			「[???]」および、「[???]」を装備した状態で、特定のコンテンツを攻略すると、魂の凝縮度が高まります。			人造精霊は咲き誇る							
「[???]」および、「[???]」の耐久度が0%だと、魂の凝縮度を溜めることはできません。			「[???]」および、「[???]」の耐久度が0%だと、魂の凝縮度を溜めることはできません。			人造精霊は咲き誇る							
「[???]」の耐久度が0%だと、魂の凝縮度を溜めることはできません。			「[???]」の耐久度が0%だと、魂の凝縮度を溜めることはできません。			人造精霊は咲き誇る							
現在の人造精霊の魂の凝縮度は、「改良型アニマグラス」を使うことで確認できます。魂の凝縮度が、最大限になるまで高めていきましょう。			現在の人造精霊の魂の凝縮度は、「改良型アニマグラス」を使うことで確認できます。魂の凝縮度が、最大限になるまで高めていきましょう。			人造精霊は咲き誇る							
ザザ……ザ……対象を提示してください……。			ザザ……ザ……対象を提示してください……。			人造精霊は咲き誇る							
ザ……ザザ……対象を確認……。計測中……計測中……。			ザ……ザザ……対象を確認……。計測中……計測中……。			人造精霊は咲き誇る							
ザ……ザザザザザ……認証完了。該当武具のエーテル密度が、規定値に到達していることを確認。アラグ帝国魔科学省公認の特級エーテル密度に認定します！			ザ……ザザザザザ……認証完了。該当武具のエーテル密度が、規定値に到達していることを確認。アラグ帝国魔科学省公認の特級エーテル密度に認定します！			人造精霊は咲き誇る							
やりましたね、Forenameさん！これなら無事に、人造精霊は移植に耐えられる！			やりましたね、Forenameさん！これなら無事に、人造精霊は移植に耐えられる！			人造精霊は咲き誇る							
さっそくゲロルトさんのところに行って、アニマウェポンと「新生ソウルストーン」を渡してください。移植作業に着手しましょう！			さっそくゲロルトさんのところに行って、アニマウェポンと「新生ソウルストーン」を渡してください。移植作業に着手しましょう！			人造精霊は咲き誇る							
あとは「新生ソウルストーン」を完成させて、アニマウェポン共々、ゲロルトさんに渡すだけです！あともう少し、頑張りましょう！			あとは「新生ソウルストーン」を完成させて、アニマウェポン共々、ゲロルトさんに渡すだけです！あともう少し、頑張りましょう！			人造精霊は咲き誇る							
「新生ソウルストーン」を入手するには、加工システムより発行されている、「新生ソウルストーンの創造」をコンプリートしましょう。			「新生ソウルストーン」を入手するには、加工システムより発行されている、「新生ソウルストーンの創造」をコンプリートしましょう。			人造精霊は咲き誇る							
「新生ソウルストーン」とやらは完成したのか？完成したなら、アニマウェポンと一緒に渡しやがれ。			「新生ソウルストーン」とやらは完成したのか？完成したなら、アニマウェポンと一緒に渡しやがれ。			人造精霊は咲き誇る							
さっさと、「加工システム」のところに行って、「新生ソウルストーン」を作ってきやがれ！			さっさと、「加工システム」のところに行って、「新生ソウルストーン」を作ってきやがれ！			人造精霊は咲き誇る							
「新生ソウルストーン」とやらは完成したのか？完成したなら、アニマウェポンと一緒に渡しやがれ。			「新生ソウルストーン」とやらは完成したのか？完成したなら、アニマウェポンと一緒に渡しやがれ。			人造精霊は咲き誇る							
さっさと、「加工システム」のところに行って、「新生ソウルストーン」を作ってきやがれ！			さっさと、「加工システム」のところに行って、「新生ソウルストーン」を作ってきやがれ！			人造精霊は咲き誇る							
「新生ソウルストーン」は、加工システムから受注可能なクエスト、「新生ソウルストーンの創造」をコンプリートすることで、入手することができます。			「新生ソウルストーン」は、加工システムから受注可能なクエスト、「新生ソウルストーンの創造」をコンプリートすることで、入手することができます。			人造精霊は咲き誇る							
「改良型アニマグラス」はどこへやっちまったンだ？チッ、……さっさとアルダシールから受け取ってきやがれ。			「改良型アニマグラス」はどこへやっちまったンだ？チッ、……さっさとアルダシールから受け取ってきやがれ。			人造精霊は咲き誇る							
よっしゃ、どうやら準備が整ったようだな？こっちのブツも、万全な状態で仕上がってるぜ！			よっしゃ、どうやら準備が整ったようだな？こっちのブツも、万全な状態で仕上がってるぜ！			人造精霊は咲き誇る							
おい、アルダシール！			おい、アルダシール！			人造精霊は咲き誇る							
…………う、うるさい人ですね。ちゃんと聞こえていますよ。			…………う、うるさい人ですね。ちゃんと聞こえていますよ。			人造精霊は咲き誇る							
なんだテメェ……声が小せェぞ？			なんだテメェ……声が小せェぞ？			人造精霊は咲き誇る							
………………ははぁん、なるほど、ビビってやがンだな？			………………ははぁん、なるほど、ビビってやがンだな？			人造精霊は咲き誇る							
ビ、ビビってなんか……！			ビ、ビビってなんか……！			人造精霊は咲き誇る							
……ええ、そうかもしれません。どこかに失敗があれば、人造精霊は移植に耐え切れず、霧散して「死」を迎えてしまうんですよ！！			……ええ、そうかもしれません。どこかに失敗があれば、人造精霊は移植に耐え切れず、霧散して「死」を迎えてしまうんですよ！！			人造精霊は咲き誇る							
ンなこたぁ、わかってる。オレもForenameも……。…………だが、余計な心配をしてンじゃねぇ！			ンなこたぁ、わかってる。オレもForenameも……。…………だが、余計な心配をしてンじゃねぇ！			人造精霊は咲き誇る							
Forenameと人造精霊を信じろ……。ふたりは数々の試練をくぐり抜け、人造精霊の魂を、極限まで研ぎ澄ましてきた！			Forenameと人造精霊を信じろ……。ふたりは数々の試練をくぐり抜け、人造精霊の魂を、極限まで研ぎ澄ましてきた！			人造精霊は咲き誇る							
それに…………オレ様の腕を信じろ！！！大丈夫だ、新たな身体となる武器は、そんじょそこらの武器とは違う……イカした傑作品になってるぜ！			それに…………オレ様の腕を信じろ！！！大丈夫だ、新たな身体となる武器は、そんじょそこらの武器とは違う……イカした傑作品になってるぜ！			人造精霊は咲き誇る							
最後に……テメェはテメェを信じやがれ。クソガキではあるが、テメェの頭脳はなかなかのモンだ。新生ソウルストーンだって、完璧な仕上がりのはずだぜ？			最後に……テメェはテメェを信じやがれ。クソガキではあるが、テメェの頭脳はなかなかのモンだ。新生ソウルストーンだって、完璧な仕上がりのはずだぜ？			人造精霊は咲き誇る							
ゲロルト……さん……。			ゲロルト……さん……。			人造精霊は咲き誇る							
わかりました。ここで、ビビってなんかいられませんよね！			わかりました。ここで、ビビってなんかいられませんよね！			人造精霊は咲き誇る							
……ではこれより、人造精霊を「新生ソウルストーン」への移植と、新たな身体との結合作業を開始します。			……ではこれより、人造精霊を「新生ソウルストーン」への移植と、新たな身体との結合作業を開始します。			人造精霊は咲き誇る							
Forenameさん、作業のため、「改良型アニマグラス」が必要なので、渡してもらえますか？			Forenameさん、作業のため、「改良型アニマグラス」が必要なので、渡してもらえますか？			人造精霊は咲き誇る							
移植作業……完了！ゲロルトさん、速やかに新生ソウルストーンを新たな身体へ！			移植作業……完了！ゲロルトさん、速やかに新生ソウルストーンを新たな身体へ！			人造精霊は咲き誇る							
よっしゃア、完成だ！！オレたちの血と汗と涙の結晶だぜ！！			よっしゃア、完成だ！！オレたちの血と汗と涙の結晶だぜ！！			人造精霊は咲き誇る							
さぁ、Forenameさん……受け取ってください！！			さぁ、Forenameさん……受け取ってください！！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「エーティル」……そして、「プリュウェン」だ！			人造精霊の新たな姿を見やがれ！その名も「エーティル」……そして、「プリュウェン」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「ニエーペル」だ！			人造精霊の新たな姿を見やがれ！その名も「ニエーペル」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「ミノス」だ！			人造精霊の新たな姿を見やがれ！その名も「ミノス」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「アラドヴァル」だ！			人造精霊の新たな姿を見やがれ！その名も「アラドヴァル」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「テルパンダー」だ！			人造精霊の新たな姿を見やがれ！その名も「テルパンダー」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「シンドリ」だ！			人造精霊の新たな姿を見やがれ！その名も「シンドリ」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「カラダンダ」だ！			人造精霊の新たな姿を見やがれ！その名も「カラダンダ」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「ミメーシス」だ！			人造精霊の新たな姿を見やがれ！その名も「ミメーシス」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「アナバシス」だ！			人造精霊の新たな姿を見やがれ！その名も「アナバシス」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「サンダン」だ！			人造精霊の新たな姿を見やがれ！その名も「サンダン」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「クロノス」だ！			人造精霊の新たな姿を見やがれ！その名も「クロノス」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「デスロック」だ！			人造精霊の新たな姿を見やがれ！その名も「デスロック」だ！			人造精霊は咲き誇る							
人造精霊の新たな姿を見やがれ！その名も「カノープス」だ！			人造精霊の新たな姿を見やがれ！その名も「カノープス」だ！			人造精霊は咲き誇る							
人造精霊は、喜んでくれたでしょうか……！Forenameさん、人造精霊を呼んでみてください！			人造精霊は、喜んでくれたでしょうか……！Forenameさん、人造精霊を呼んでみてください！			人造精霊は咲き誇る							
ま……まさか、人造精霊からの反応がないのですか……？			ま……まさか、人造精霊からの反応がないのですか……？			人造精霊は咲き誇る							
そんな……やっぱり、移植に耐えきれずに、人造精霊の魂は霧散して……。			そんな……やっぱり、移植に耐えきれずに、人造精霊の魂は霧散して……。			人造精霊は咲き誇る							
……主？どうしたのですか、その表情……。なにか、驚かれることでもありました……？			……主？どうしたのですか、その表情……。なにか、驚かれることでもありました……？			人造精霊は咲き誇る							
……新しい力、たくさん感じました。身体がフワッとしたと思ったら、目の前が輝かしく彩られて……。			……新しい力、たくさん感じました。身体がフワッとしたと思ったら、目の前が輝かしく彩られて……。			人造精霊は咲き誇る							
その光が、とっても心地よくて眠りかけていたら、主に呼ばれた気がして飛び起きたのです。			その光が、とっても心地よくて眠りかけていたら、主に呼ばれた気がして飛び起きたのです。			人造精霊は咲き誇る							
味わったことのない感覚でした……。まるで、生まれ変わったかのようです。			味わったことのない感覚でした……。まるで、生まれ変わったかのようです。			人造精霊は咲き誇る							
……主？なにをそんなに驚いている？			……主？なにをそんなに驚いている？			人造精霊は咲き誇る							
……新しい力、たくさん感じた。身体が軽くなったと思えば、目の前が眩しく色づいてな……。			……新しい力、たくさん感じた。身体が軽くなったと思えば、目の前が眩しく色づいてな……。			人造精霊は咲き誇る							
その光がとても心地よくて、眠りかけていたところで主に呼ばれ、飛び起きたんだ。			その光がとても心地よくて、眠りかけていたところで主に呼ばれ、飛び起きたんだ。			人造精霊は咲き誇る							
味わったことのない感覚だった……。まるで、生まれ変わったかのようだ。			味わったことのない感覚だった……。まるで、生まれ変わったかのようだ。			人造精霊は咲き誇る							
そう……ある意味、あなたは生まれ変わりました。もう俺たちの力に頼らずとも、自由に生きていけるほどに、強くたくましい存在へと進化したのです。			そう……ある意味、あなたは生まれ変わりました。もう俺たちの力に頼らずとも、自由に生きていけるほどに、強くたくましい存在へと進化したのです。			人造精霊は咲き誇る							
これからは自ら考え、Forenameさんを助け……彼女彼と共に、見たこともない景色を冒険してきてください！			これからは自ら考え、Forenameさんを助け……彼女彼と共に、見たこともない景色を冒険してきてください！			人造精霊は咲き誇る							
なんだか、主従関係というより、すっかり「相棒」ですねぇ……。			なんだか、主従関係というより、すっかり「相棒」ですねぇ……。			人造精霊は咲き誇る							
あいぼう……？			あいぼう……？			人造精霊は咲き誇る							
主人と従者……それよりももう少し深い絆の事です。			主人と従者……それよりももう少し深い絆の事です。			人造精霊は咲き誇る							
なるほど……。では、誰もが主の「あいぼう」と認めてくれるよう、もっともっと力を身につけなければいけませんね！			なるほど……。では、誰もが主の「あいぼう」と認めてくれるよう、もっともっと力を身につけなければいけませんね！			人造精霊は咲き誇る							
そうなのか……。だったら、主の「あいぼう」にふさわしい存在となるため、もっと鍛錬をするぞ。			そうなのか……。だったら、主の「あいぼう」にふさわしい存在となるため、もっと鍛錬をするぞ。			人造精霊は咲き誇る							
これから、Forenameさんと共に、想像もできない場所へ行くことがあるかもしれません。			これから、Forenameさんと共に、想像もできない場所へ行くことがあるかもしれません。			人造精霊は咲き誇る							
そんな時、彼女彼を支えてあげられるようになれば、それは立派な「相棒」です！報告を楽しみに待っていますね！			そんな時、彼女彼を支えてあげられるようになれば、それは立派な「相棒」です！報告を楽しみに待っていますね！			人造精霊は咲き誇る							
Forenameさん、これまでお疲れさまでした！様々な困難を終えて、くたくたでしょう。			Forenameさん、これまでお疲れさまでした！様々な困難を終えて、くたくたでしょう。			人造精霊は咲き誇る							
そういやぁ、アルダシール。			そういやぁ、アルダシール。			人造精霊は咲き誇る							
お前に頼まれていた、こいつの羽の調整をやっておいたぜ。			お前に頼まれていた、こいつの羽の調整をやっておいたぜ。			人造精霊は咲き誇る							
ありがとうございます！これで、本体に調整を入れれば完璧ですよ。			ありがとうございます！これで、本体に調整を入れれば完璧ですよ。			人造精霊は咲き誇る							
休憩を終えたら、お話したいことがあります。俺も少し休憩をしようと思うので、準備が整ったら、この子の前で待っていてくれますか？			休憩を終えたら、お話したいことがあります。俺も少し休憩をしようと思うので、準備が整ったら、この子の前で待っていてくれますか？			人造精霊は咲き誇る							
Forenameさん、人造精霊と共にまだ見ぬ世界へ、一緒に旅をしてあげてくださいね！			Forenameさん、人造精霊と共にまだ見ぬ世界へ、一緒に旅をしてあげてくださいね！			人造精霊は咲き誇る							
「アニマウェポン・シャープ」は強化され、「新たなアニマウェポン」となりました！			「アニマウェポン・シャープ」は強化され、「新たなアニマウェポン」となりました！			人造精霊は咲き誇る							
加工システムは、設計仕様を確認しているようだ。			加工システムは、設計仕様を確認しているようだ。			新生ソウルストーンの創造							
アルダシールから新生ソウルストーンの製作方法を聞いた。様々な方法で、「謎めいた結晶」を15個集め、アジス・ラーのポート・ヘリックスにいる「加工システム」に渡そう。			アルダシールから新生ソウルストーンの製作方法を聞いた。様々な方法で、「謎めいた結晶」を15個集め、アジス・ラーのポート・ヘリックスにいる「加工システム」に渡そう。			新生ソウルストーンの創造							
加工システムにアイテムを渡した。アルダシールと加工システムの活躍により、無事「新生ソウルストーン」は完成した。人造精霊を限界まで成長させ、ゲロルトに渡そう。			加工システムにアイテムを渡した。アルダシールと加工システムの活躍により、無事「新生ソウルストーン」は完成した。人造精霊を限界まで成長させ、ゲロルトに渡そう。			新生ソウルストーンの創造							
謎めいた結晶を集める加工システムに「謎めいた結晶」を渡す			謎めいた結晶を集める加工システムに「謎めいた結晶」を渡す			新生ソウルストーンの創造							
……ザ……ザザ…………。設計仕様を確認……。必要となる素材を投入してください。			……ザ……ザザ…………。設計仕様を確認……。必要となる素材を投入してください。			新生ソウルストーンの創造							
どうやら、うまく機能しているようですね。では早速、必要な素材について説明させていただきます。			どうやら、うまく機能しているようですね。では早速、必要な素材について説明させていただきます。			新生ソウルストーンの創造							
俺が設計した「新生ソウルストーン」は、天然の宝石やクリスタルを加工したものではありません。六属性の高純度クリスタルを合成した、人工結晶というべきもの。			俺が設計した「新生ソウルストーン」は、天然の宝石やクリスタルを加工したものではありません。六属性の高純度クリスタルを合成した、人工結晶というべきもの。			新生ソウルストーンの創造							
これを造るのに必要なクリスタルは、俺自身の手で、どうにか集めるつもりです。			これを造るのに必要なクリスタルは、俺自身の手で、どうにか集めるつもりです。			新生ソウルストーンの創造							
Forenameさんに集めてきてほしいのは、「謎めいた結晶」と呼ばれる半結晶物質です。			Forenameさんに集めてきてほしいのは、「謎めいた結晶」と呼ばれる半結晶物質です。			新生ソウルストーンの創造							
天然のクリスタルとダークマターが融合したもので、人工結晶の合成に、必要な性質を秘めているのですよ。			天然のクリスタルとダークマターが融合したもので、人工結晶の合成に、必要な性質を秘めているのですよ。			新生ソウルストーンの創造							
しかし、俺が見たことがあるのは、師匠の研究室にあった、サンプルひとつだけ。どうやって入手すればいいのか、見当も付きません。			しかし、俺が見たことがあるのは、師匠の研究室にあった、サンプルひとつだけ。どうやって入手すればいいのか、見当も付きません。			新生ソウルストーンの創造							
そこでForenameさんには、冒険者同士の情報網を使って、入手方法を調べるところから始めてほしいのです。			そこでForenameさんには、冒険者同士の情報網を使って、入手方法を調べるところから始めてほしいのです。			新生ソウルストーンの創造							
困難な道のりになるとは思いますが、どうにかして、「謎めいた結晶」を集めて来てください。15個もあれば、事足りるはずです！			困難な道のりになるとは思いますが、どうにかして、「謎めいた結晶」を集めて来てください。15個もあれば、事足りるはずです！			新生ソウルストーンの創造							
ありがとうございます！「謎めいた結晶」が15個集まりましたら、「加工システム」に渡してくださいね！			ありがとうございます！「謎めいた結晶」が15個集まりましたら、「加工システム」に渡してくださいね！			新生ソウルストーンの創造							
「新生ソウルストーン」を造りたいのですね？でしたら俺は、六属性の高純度クリスタルを集めておきます。			「新生ソウルストーン」を造りたいのですね？でしたら俺は、六属性の高純度クリスタルを集めておきます。			新生ソウルストーンの創造							
Forenameさんは、「謎めいた結晶」を15個、お願いします！集め終えましたら、加工システムに渡してください！			Forenameさんは、「謎めいた結晶」を15個、お願いします！集め終えましたら、加工システムに渡してください！			新生ソウルストーンの創造							
新生ソウルストーンを製作するために、必要なアイテム「謎めいた結晶」を入手するには、様々な方法を用いる必要があります。			新生ソウルストーンを製作するために、必要なアイテム「謎めいた結晶」を入手するには、様々な方法を用いる必要があります。			新生ソウルストーンの創造							
プレイヤー同士で情報交換し、アイテムの入手方法を探してみましょう。			プレイヤー同士で情報交換し、アイテムの入手方法を探してみましょう。			新生ソウルストーンの創造							
……ザ……ザザ……。必要となる素材を投入してください。繰り返します、必要となる素材を投入してください。			……ザ……ザザ……。必要となる素材を投入してください。繰り返します、必要となる素材を投入してください。			新生ソウルストーンの創造							
素材の投入を確認……。……品質、量、ともに問題なし……。			素材の投入を確認……。……品質、量、ともに問題なし……。			新生ソウルストーンの創造							
Forenameさん！謎めいた結晶を無事確保できたのですね！			Forenameさん！謎めいた結晶を無事確保できたのですね！			新生ソウルストーンの創造							
お疲れさまでした。では、早速作業を始めたいので、俺も集めた六属性の高純度クリスタルを持ってきます。			お疲れさまでした。では、早速作業を始めたいので、俺も集めた六属性の高純度クリスタルを持ってきます。			新生ソウルストーンの創造							
……これで準備は整いました！では、これより加工作業を開始します。			……これで準備は整いました！では、これより加工作業を開始します。			新生ソウルストーンの創造							
よし、すべての素材を投入……。設定に間違いはないようです。加工システム、設計仕様に則り、加工するんだ！			よし、すべての素材を投入……。設定に間違いはないようです。加工システム、設計仕様に則り、加工するんだ！			新生ソウルストーンの創造							
ザ……ザザ……。加工を開始するには、システムアップデートが必要です。新しいシステムをインストールしますか？			ザ……ザザ……。加工を開始するには、システムアップデートが必要です。新しいシステムをインストールしますか？			新生ソウルストーンの創造							
な、なんだって……。ええい、「今すぐアップデート」だ！			な、なんだって……。ええい、「今すぐアップデート」だ！			新生ソウルストーンの創造							
ザ……ザザ……帝国魔科学省プライバシーポリシーに同意しますか？			ザ……ザザ……帝国魔科学省プライバシーポリシーに同意しますか？			新生ソウルストーンの創造							
うぅ……訳がわからないぞ……。同意、同意……とにかく全部「同意する」だ！			うぅ……訳がわからないぞ……。同意、同意……とにかく全部「同意する」だ！			新生ソウルストーンの創造							
システムアップデート終了しました。ザ……ザザ……加工を開始します。			システムアップデート終了しました。ザ……ザザ……加工を開始します。			新生ソウルストーンの創造							
ザ……ザザ……加工を開始します。			ザ……ザザ……加工を開始します。			新生ソウルストーンの創造							
ザ……ザザザ……加工完了しました。完成品の設計仕様との誤差、許容範囲内と確認。またのご利用をお待ちしております……。			ザ……ザザザ……加工完了しました。完成品の設計仕様との誤差、許容範囲内と確認。またのご利用をお待ちしております……。			新生ソウルストーンの創造							
よ、よし……上手くいったぞ！			よ、よし……上手くいったぞ！			新生ソウルストーンの創造							
新生ソウルストーンが完成しました！！これをゲロルトさんにアニマウェポンとともに渡してください。人造精霊の移植作業に着手しましょう！			新生ソウルストーンが完成しました！！これをゲロルトさんにアニマウェポンとともに渡してください。人造精霊の移植作業に着手しましょう！			新生ソウルストーンの創造							
新生ソウルストーンが完成しました。これであとは、アニマウェポンを手に試練をこなして、人造精霊の「魂の凝縮度」を高めるだけですよ！			新生ソウルストーンが完成しました。これであとは、アニマウェポンを手に試練をこなして、人造精霊の「魂の凝縮度」を高めるだけですよ！			新生ソウルストーンの創造							
新生ソウルストーンが完成しました。すべての準備が整いましたら、人造精霊のために使いましょう。それまでは、大切に保管しておいてくださいね！			新生ソウルストーンが完成しました。すべての準備が整いましたら、人造精霊のために使いましょう。それまでは、大切に保管しておいてくださいね！			新生ソウルストーンの創造							
からくり人形は、静かに佇んでいる。			からくり人形は、静かに佇んでいる。			研究の終わりに							
アルダシールから、ロウェナを呼んできてほしいといわれた。イディルシャイアにいる「ロウェナ」に話しかけよう。			アルダシールから、ロウェナを呼んできてほしいといわれた。イディルシャイアにいる「ロウェナ」に話しかけよう。			研究の終わりに							
ロウェナから、先に戻るように促された。クエストを受注した際のジョブとなり「アニマウェポン」を所持もしくは装備した状態で、アジス・ラーのポート・ヘリックスにいる「アルダシール」に声をかけよう。			ロウェナから、先に戻るように促された。クエストを受注した際のジョブとなり「アニマウェポン」を所持もしくは装備した状態で、アジス・ラーのポート・ヘリックスにいる「アルダシール」に声をかけよう。			研究の終わりに							
古いソウルストーンから製作した「もうひとつの人造精霊の身体」をアルダシールから貰った。人造精霊と共に、まだ見ぬ冒険へと向かおう。			古いソウルストーンから製作した「もうひとつの人造精霊の身体」をアルダシールから貰った。人造精霊と共に、まだ見ぬ冒険へと向かおう。			研究の終わりに							
イディルシャイアのロウェナと話す			イディルシャイアのロウェナと話す			研究の終わりに							
エーティルとプリュウェンニエーペルミノスアラドヴァルテルパンダーシンドリカラダンダミメーシスアナバシスサンダンデスロッククロノスカノープスを所持か装備し、ポート・ヘリックスのアルダシールと話す			エーティルとプリュウェンニエーペルミノスアラドヴァルテルパンダーシンドリカラダンダミメーシスアナバシスサンダンデスロッククロノスカノープスを所持か装備し、ポート・ヘリックスのアルダシールと話す			研究の終わりに							
「[???]」および、「[???]」を、所持または装備していないと、クエスト「研究の終わりに」を受注することができません。			「[???]」および、「[???]」を、所持または装備していないと、クエスト「研究の終わりに」を受注することができません。			研究の終わりに							
「[???]」を、所持または装備していないと、クエスト「研究の終わりに」を受注することができません。			「[???]」を、所持または装備していないと、クエスト「研究の終わりに」を受注することができません。			研究の終わりに							
Forenameさん。少しはゆっくりできましたか？			Forenameさん。少しはゆっくりできましたか？			研究の終わりに							
フフッ、やはり気になるようですね。とはいえ、まだ最終調整が終わっていませんので、それが何かの発表は、もう少し待ってください。			フフッ、やはり気になるようですね。とはいえ、まだ最終調整が終わっていませんので、それが何かの発表は、もう少し待ってください。			研究の終わりに							
Forenameさんには、俺が調整をしている間に、頼みたいことがあるのです。			Forenameさんには、俺が調整をしている間に、頼みたいことがあるのです。			研究の終わりに							
実は、ここまで援助をしてくれたロウェナさんに、研究の報告をしたいと思うのですが、リンクシェルが繋がらなくて……。			実は、ここまで援助をしてくれたロウェナさんに、研究の報告をしたいと思うのですが、リンクシェルが繋がらなくて……。			研究の終わりに							
すみませんが、イディルシャイアに赴いて、「ロウェナ」さんを、ここに呼んできていただけないでしょうか？			すみませんが、イディルシャイアに赴いて、「ロウェナ」さんを、ここに呼んできていただけないでしょうか？			研究の終わりに							
面倒だとは思いますが、Forenameさんにとっても、悪い話ではありませんので……お願いしますね！			面倒だとは思いますが、Forenameさんにとっても、悪い話ではありませんので……お願いしますね！			研究の終わりに							
反応がない……。まだ、アルダシールが調整しているようだ。			反応がない……。まだ、アルダシールが調整しているようだ。			研究の終わりに							
