格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			拳の聖人							
疲弊した体が、どれくらい経つと回復するのか。そういったことも意識しながら走りまわると良いぞ。			疲弊した体が、どれくらい経つと回復するのか。そういったことも意識しながら走りまわると良いぞ。			岩よりも硬く							
いざ技を打つときに、疲れて手が上がらな～い。……なーんてことにならないためにも、今のうちに、体で覚えるのじゃ！			いざ技を打つときに、疲れて手が上がらな～い。……なーんてことにならないためにも、今のうちに、体で覚えるのじゃ！			岩よりも硬く							
ほれほれ「古びたギル硬貨」はワシが置いたからのう、さっさと返してくれんかのう？			ほれほれ「古びたギル硬貨」はワシが置いたからのう、さっさと返してくれんかのう？			岩よりも硬く							
ひぃ、ふぅ、みぃ……。ふむ、500ギルか、しっかり貰っておくぞい！			ひぃ、ふぅ、みぃ……。ふむ、500ギルか、しっかり貰っておくぞい！			岩よりも硬く							
……ゴホン、では連続攻撃の基礎修行その壱。それは、岩よりも硬い一撃を手に入れるための修行。……その名も「岩殴りの修行」じゃ！			……ゴホン、では連続攻撃の基礎修行その壱。それは、岩よりも硬い一撃を手に入れるための修行。……その名も「岩殴りの修行」じゃ！			岩よりも硬く							
「スコーピオン交易所」近くの岩を「連撃」で打つと、岩に擬態したアーススプライトが現れるからのう。4つの「試練の岩」に潜む敵を、全て倒すのじゃ！			「スコーピオン交易所」近くの岩を「連撃」で打つと、岩に擬態したアーススプライトが現れるからのう。4つの「試練の岩」に潜む敵を、全て倒すのじゃ！			岩よりも硬く							
思ったより敵が強くてピーンチ！！……なんて時は「スプリント」を使い、一度退くのも良い判断じゃろう。			思ったより敵が強くてピーンチ！！……なんて時は「スプリント」を使い、一度退くのも良い判断じゃろう。			岩よりも硬く							
体勢を整えたら、拳を構えて再度挑戦するのじゃ！岩を打ち、敵を砕き、硬い拳を鍛えてくるのじゃい！			体勢を整えたら、拳を構えて再度挑戦するのじゃ！岩を打ち、敵を砕き、硬い拳を鍛えてくるのじゃい！			岩よりも硬く							
「試練の岩」に「連撃」を使い、現れた「アーススプライト」を討伐しよう。			「試練の岩」に「連撃」を使い、現れた「アーススプライト」を討伐しよう。			岩よりも硬く							
フォッフォッフォ、全て倒しよったか！簡単な試練を与えたつもりはなかったんじゃがのう。			フォッフォッフォ、全て倒しよったか！簡単な試練を与えたつもりはなかったんじゃがのう。			岩よりも硬く							
やはりお主、見込みがあるようじゃ。お主の底抜けのスタミナを見ておると、昔のワシを思い出すようじゃよ。			やはりお主、見込みがあるようじゃ。お主の底抜けのスタミナを見ておると、昔のワシを思い出すようじゃよ。			岩よりも硬く							
師匠、よかったわね。新人さんの修行、順調みたいじゃない！			師匠、よかったわね。新人さんの修行、順調みたいじゃない！			岩よりも硬く							
まぁ、拳聖と謳われたワシが、Forenameを指導しておるのだ、当然じゃよ！			まぁ、拳聖と謳われたワシが、Forenameを指導しておるのだ、当然じゃよ！			岩よりも硬く							
ウフフ、さすが師匠ね！			ウフフ、さすが師匠ね！			岩よりも硬く							
おお、そういえばForenameには、師範代のチュチュトを紹介しておらんかったな。			おお、そういえばForenameには、師範代のチュチュトを紹介しておらんかったな。			岩よりも硬く							
チュチュトです。師範代といっても、まだまだ未熟なの。一緒に頑張ろうね！			チュチュトです。師範代といっても、まだまだ未熟なの。一緒に頑張ろうね！			岩よりも硬く							
チュチュトはワシがギルドマスターになった時、一番初めに弟子になった子なんじゃ。……当時弟子はもう一人いたんじゃが。			チュチュトはワシがギルドマスターになった時、一番初めに弟子になった子なんじゃ。……当時弟子はもう一人いたんじゃが。			岩よりも硬く							
……師匠、もうその話はいいじゃない。			……師匠、もうその話はいいじゃない。			岩よりも硬く							
ところで師匠、私がForenameのために町中に置いておいた小銭、師匠が回収してたわよね？あれ私のなんだけ……			ところで師匠、私がForenameのために町中に置いておいた小銭、師匠が回収してたわよね？あれ私のなんだけ……			岩よりも硬く							
チ、チュチュト。そ、その話はいいじゃろう。いいか、今はForenameの成長の話じゃからな。			チ、チュチュト。そ、その話はいいじゃろう。いいか、今はForenameの成長の話じゃからな。			岩よりも硬く							
ゴッホン！Forenameよ、さらなる鍛錬をつんだら、次の修行に臨むからのう！			ゴッホン！Forenameよ、さらなる鍛錬をつんだら、次の修行に臨むからのう！			岩よりも硬く							
ワシのような素晴らしい拳聖になるためにも、日々の鍛錬を怠るでないぞ！フォッフォッフォッフォ！			ワシのような素晴らしい拳聖になるためにも、日々の鍛錬を怠るでないぞ！フォッフォッフォッフォ！			岩よりも硬く							
敵の気配を感じた！！			敵の気配を感じた！！			岩よりも硬く							
格闘士ギルドのギルドマスターハモンは、冒険者の力量を確認したいようだ。			格闘士ギルドのギルドマスターハモンは、冒険者の力量を確認したいようだ。			拳の一撃							
ハモンから討伐の指示を請けた。「スナッピング・シュルー」と「ヒュージ・ホーネット」、「マーモット」をそれぞれ3体倒そう			ハモンから討伐の指示を請けた。「スナッピング・シュルー」と「ヒュージ・ホーネット」、「マーモット」をそれぞれ3体倒そう			拳の一撃							
魔物を全て倒した。「格闘士ギルド」の「ハモン」に報告しよう。			魔物を全て倒した。「格闘士ギルド」の「ハモン」に報告しよう。			拳の一撃							
ハモンは、冒険者を認めてくれた。彼のような拳聖となるため、これから修行を積んでいこう。※格闘士のレベルが5以上になると、ハモンから次の格闘士クエストを受注することができます。			ハモンは、冒険者を認めてくれた。彼のような拳聖となるため、これから修行を積んでいこう。※格闘士のレベルが5以上になると、ハモンから次の格闘士クエストを受注することができます。			拳の一撃							
格闘術でマーモットを討伐			格闘術でマーモットを討伐			拳の一撃							
格闘術でヒュージ・ホーネットを討伐			格闘術でヒュージ・ホーネットを討伐			拳の一撃							
格闘術でスナッピング・シュルーを討伐			格闘術でスナッピング・シュルーを討伐			拳の一撃							
格闘士ギルドのハモンに報告			格闘士ギルドのハモンに報告			拳の一撃							
よし、いい格闘士の顔つきになったのう！さっそくお主の力量の程を試そうかのう。			よし、いい格闘士の顔つきになったのう！さっそくお主の力量の程を試そうかのう。			拳の一撃							
「スナッピング・シュルー」「マーモット」「ヒュージ・ホーネット」を、それぞれ3体、倒してみてきんしゃい！			「スナッピング・シュルー」「マーモット」「ヒュージ・ホーネット」を、それぞれ3体、倒してみてきんしゃい！			拳の一撃							
もちろん全て、そのホラを使って、じゃ！全ての魔物を倒したら、報告しに帰ってきんしゃい！			もちろん全て、そのホラを使って、じゃ！全ての魔物を倒したら、報告しに帰ってきんしゃい！			拳の一撃							
おお、帰ってきよったか。若いもんはええのう、スタミナが有り余っておるようじゃ！			おお、帰ってきよったか。若いもんはええのう、スタミナが有り余っておるようじゃ！			拳の一撃							
敵と戦い、修行をつむことで、お主自身のスタミナは上がっていくのじゃ。じゃから、日々の鍛錬を大事にするんじゃよ？			敵と戦い、修行をつむことで、お主自身のスタミナは上がっていくのじゃ。じゃから、日々の鍛錬を大事にするんじゃよ？			拳の一撃							
鍛錬を積み、さらなる高みに達したとき、次の課題を与えるぞい！			鍛錬を積み、さらなる高みに達したとき、次の課題を与えるぞい！			拳の一撃							
若いもんは多くの可能性を秘めておる。お主の成長が楽しみじゃ！フォッフォッフォッ！			若いもんは多くの可能性を秘めておる。お主の成長が楽しみじゃ！フォッフォッフォッ！			拳の一撃							
「格闘士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「格闘士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			拳の一撃							
格闘士ギルドの受付ガガルナは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			格闘士ギルドの受付ガガルナは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			疾風の格闘士							
ガガルナから、ギルドマスター「ハモン」に入門の意思を伝えるよう言われた。格闘士ギルドの稽古場にいる「ハモン」に声をかけてみよう。			ガガルナから、ギルドマスター「ハモン」に入門の意思を伝えるよう言われた。格闘士ギルドの稽古場にいる「ハモン」に声をかけてみよう。			疾風の格闘士							
格闘士ギルドマスターのハモンから、ギルドの一員として迎えいれられた冒険者。彼から受けとった「ウェザードホラ」を装備して、もう一度「ハモン」に声をかけよう。			格闘士ギルドマスターのハモンから、ギルドの一員として迎えいれられた冒険者。彼から受けとった「ウェザードホラ」を装備して、もう一度「ハモン」に声をかけよう。			疾風の格闘士							
ハモンと話す			ハモンと話す			疾風の格闘士							
さぁ、どうですか？「格闘士ギルド」への入門を決意するなら、門戸の開いている今しかありませんよ？			さぁ、どうですか？「格闘士ギルド」への入門を決意するなら、門戸の開いている今しかありませんよ？			疾風の格闘士							
ハモン様はかつて「拳聖」と呼ばれた、凄腕の格闘士です。現役を退いてからは、ここで若手の指導をしておられますが、その腕は、老いた今もなお健在です。			ハモン様はかつて「拳聖」と呼ばれた、凄腕の格闘士です。現役を退いてからは、ここで若手の指導をしておられますが、その腕は、老いた今もなお健在です。			疾風の格闘士							
……さあさあ、気が変わらないうちに、奥におられるハモン様に、入門の意志をお伝えください！			……さあさあ、気が変わらないうちに、奥におられるハモン様に、入門の意志をお伝えください！			疾風の格闘士							
そうですか……もったいない。「拳聖」と呼ばれたハモン様の弟子となる、数少ない機会なのですよ？			そうですか……もったいない。「拳聖」と呼ばれたハモン様の弟子となる、数少ない機会なのですよ？			疾風の格闘士							
フォッフォッフォ、遅かったのう。踊り子の姉ちゃんに、ワシの恋文を渡してくれたかの？			フォッフォッフォ、遅かったのう。踊り子の姉ちゃんに、ワシの恋文を渡してくれたかの？			疾風の格闘士							
む？　見知らぬ顔じゃのう……。もしやお主、格闘士ギルドの入門希望かえ！？こりゃあ嬉しいのう！！			む？　見知らぬ顔じゃのう……。もしやお主、格闘士ギルドの入門希望かえ！？こりゃあ嬉しいのう！！			疾風の格闘士							
では、伝説の格闘士であるこの「拳聖のハモン」が、お主のために、格闘術の説明をしてやろうかのう！			では、伝説の格闘士であるこの「拳聖のハモン」が、お主のために、格闘術の説明をしてやろうかのう！			疾風の格闘士							
格闘術とは、己の鍛え抜いた四肢を使い、軽やかに連続攻撃をたたき込む武術であるぞ。「一撃の重さ」よりも「手数の多さ」こそ格闘の本分！			格闘術とは、己の鍛え抜いた四肢を使い、軽やかに連続攻撃をたたき込む武術であるぞ。「一撃の重さ」よりも「手数の多さ」こそ格闘の本分！			疾風の格闘士							
格闘士ギルドに入門すれば、無限と続く連続攻撃を、このワシから直々に教わることができるのじゃっ！フォーッフォッフォッフォッフォッ！			格闘士ギルドに入門すれば、無限と続く連続攻撃を、このワシから直々に教わることができるのじゃっ！フォーッフォッフォッフォッフォッ！			疾風の格闘士							
フォッフォッ……フォゴッ！　ウォッホン！……ぜぇ……ぜぇ……久々にたくさん喋って疲れたのう。			フォッフォッ……フォゴッ！　ウォッホン！……ぜぇ……ぜぇ……久々にたくさん喋って疲れたのう。			疾風の格闘士							
さ、さぁ……お主に問わせてもらうぞい。無限の連続攻撃を手に入れるために、厳しい修行を乗り越えてゆく闘魂はあるか？			さ、さぁ……お主に問わせてもらうぞい。無限の連続攻撃を手に入れるために、厳しい修行を乗り越えてゆく闘魂はあるか？			疾風の格闘士							
闘魂はある？			闘魂はある？			疾風の格闘士							
はい			はい			疾風の格闘士							
いいえ			いいえ			疾風の格闘士							
フォッフォッフォ！若いもんの熱意は、ええもんじゃ。			フォッフォッフォ！若いもんの熱意は、ええもんじゃ。			疾風の格闘士							
よし、さっそくお主の討伐手帳に、格闘の鍛錬に相応しい敵を記した項を加えておくぞい。			よし、さっそくお主の討伐手帳に、格闘の鍛錬に相応しい敵を記した項を加えておくぞい。			疾風の格闘士							
そして、格闘士としての一歩を踏み出した若いお主に、この「ウェザードホラ」もプレゼントじゃ！			そして、格闘士としての一歩を踏み出した若いお主に、この「ウェザードホラ」もプレゼントじゃ！			疾風の格闘士							
さっそくお主の力量の程を試そうかのう。ウェザードホラを装備し、「格闘士」になったら、再びワシに声をかけるのじゃ！			さっそくお主の力量の程を試そうかのう。ウェザードホラを装備し、「格闘士」になったら、再びワシに声をかけるのじゃ！			疾風の格闘士							
し、ショック！　ハモンショックじゃ！拳聖にショックを与えるとは、お主やるのう！！			し、ショック！　ハモンショックじゃ！拳聖にショックを与えるとは、お主やるのう！！			疾風の格闘士							
新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			疾風の格闘士							
クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			疾風の格闘士							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			疾風の格闘士							
