流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
彼は「スリーピングストーンズ採石場」で仕事をしているはず。私は差し入れを持って後から行きますので、先に向かっていてくだされ。			彼は「スリーピングストーンズ採石場」で仕事をしているはず。私は差し入れを持って後から行きますので、先に向かっていてくだされ。			旅立った仲間たちと共に							
彼は「スリーピングストーンズ採石場」で仕事をしているはず。私は差し入れを持って後から行きますので、先に向かっていてくだされ。			彼は「スリーピングストーンズ採石場」で仕事をしているはず。私は差し入れを持って後から行きますので、先に向かっていてくだされ。			旅立った仲間たちと共に							
この辺りで採石をしていると聞いたが……。			この辺りで採石をしていると聞いたが……。			旅立った仲間たちと共に							
あちらにおります。彼が、チャーレットの叔父にあたる人物です。			あちらにおります。彼が、チャーレットの叔父にあたる人物です。			旅立った仲間たちと共に							
ご苦労様、少し休憩しないかい？			ご苦労様、少し休憩しないかい？			旅立った仲間たちと共に							
これはラガンフリッド殿！ええ、それではお言葉に甘えて。			これはラガンフリッド殿！ええ、それではお言葉に甘えて。			旅立った仲間たちと共に							
そ、それで……解放軍の隊長殿と、解放者殿が揃って、私に何の御用でしょうか？			そ、それで……解放軍の隊長殿と、解放者殿が揃って、私に何の御用でしょうか？			旅立った仲間たちと共に							
驚かせてすまなかった。どうか、畏まらず楽にしてほしい。そなたの甥のことで、聞かせてほしいことがあるのだ。			驚かせてすまなかった。どうか、畏まらず楽にしてほしい。そなたの甥のことで、聞かせてほしいことがあるのだ。			旅立った仲間たちと共に							
チャーレットですか！？あの子が、見つかったのですか！？			チャーレットですか！？あの子が、見つかったのですか！？			旅立った仲間たちと共に							
そう……ですか。			そう……ですか。			旅立った仲間たちと共に							
チャーレットがどのような青年だったのか、教えてはくれぬか？捜すための、手がかりになるかもしれぬ。			チャーレットがどのような青年だったのか、教えてはくれぬか？捜すための、手がかりになるかもしれぬ。			旅立った仲間たちと共に							
私も、あの子の親も、家族を守るために帝国への恭順を誓いました。属州支配に協力する見返りに、市民権を得たのです。ですが、その結果、売国奴と呼ばれ……。			私も、あの子の親も、家族を守るために帝国への恭順を誓いました。属州支配に協力する見返りに、市民権を得たのです。ですが、その結果、売国奴と呼ばれ……。			旅立った仲間たちと共に							
チャーレットも、兄のアンスフリッドも、随分と悩んでいました。特に兄のアンスフリッドは、幼馴染たちと共に軍に志願し……後に髑髏連隊を結成しております。			チャーレットも、兄のアンスフリッドも、随分と悩んでいました。特に兄のアンスフリッドは、幼馴染たちと共に軍に志願し……後に髑髏連隊を結成しております。			旅立った仲間たちと共に							
髑髏連隊を結成……？創設初期からの隊員となると、その幼馴染というのは……			髑髏連隊を結成……？創設初期からの隊員となると、その幼馴染というのは……			旅立った仲間たちと共に							
ええ、彼らはいつも一緒でしたから、名前もよく覚えていますよ。アンスフリッド、エメリン、フルドルフ……			ええ、彼らはいつも一緒でしたから、名前もよく覚えていますよ。アンスフリッド、エメリン、フルドルフ……			旅立った仲間たちと共に							
それから……フォルドラ・ルプス。			それから……フォルドラ・ルプス。			旅立った仲間たちと共に							
フォルドラとチャーレットもまた、幼馴染ということか……。だが、チャーレットは髑髏連隊の一員ではなかったはずだな？			フォルドラとチャーレットもまた、幼馴染ということか……。だが、チャーレットは髑髏連隊の一員ではなかったはずだな？			旅立った仲間たちと共に							
ええ、そのとおりです。チャーレットは、幼い頃から、本当に心根の優しい子で……誰かを傷付けることなど、とてもできなかったのでしょう。			ええ、そのとおりです。チャーレットは、幼い頃から、本当に心根の優しい子で……誰かを傷付けることなど、とてもできなかったのでしょう。			旅立った仲間たちと共に							
しかし、兄たちと軍に志願しなかったことを悔やんでもいました。特に髑髏連隊が全滅したことを知ってからは、己を責め続け、やがて姿を消してしまったのです……。			しかし、兄たちと軍に志願しなかったことを悔やんでもいました。特に髑髏連隊が全滅したことを知ってからは、己を責め続け、やがて姿を消してしまったのです……。			旅立った仲間たちと共に							
どうか無事でいてほしい。亡くなった両親や、兄弟たちのためにも……。			どうか無事でいてほしい。亡くなった両親や、兄弟たちのためにも……。			旅立った仲間たちと共に							
……話を聞かせてくれてありがとうよ。さあ……差し入れを持ってきたんだ。今日はもう上がって、家族とゆっくり食べるといい。			……話を聞かせてくれてありがとうよ。さあ……差し入れを持ってきたんだ。今日はもう上がって、家族とゆっくり食べるといい。			旅立った仲間たちと共に							
やりきれませんね……。ひとまず、「アラガーナ」に戻りましょう。			やりきれませんね……。ひとまず、「アラガーナ」に戻りましょう。			旅立った仲間たちと共に							
事実がはっきりしたら、あの叔父にも説明してやらねばな……。			事実がはっきりしたら、あの叔父にも説明してやらねばな……。			旅立った仲間たちと共に							
……あの母娘もフォルドラを心配していたよ。チャーレットについては、何か情報を得られたか？			……あの母娘もフォルドラを心配していたよ。チャーレットについては、何か情報を得られたか？			旅立った仲間たちと共に							
つまり……偽神獣に転化したと思われる青年、チャーレットは、フォルドラにとって幼馴染であり、戦友の弟ということか……。			つまり……偽神獣に転化したと思われる青年、チャーレットは、フォルドラにとって幼馴染であり、戦友の弟ということか……。			旅立った仲間たちと共に							
「白羽根の会」の同志の話では、やはりチャーレットは支援を拒んでいたそうです。誰にも頼ることなく、ひとりで生きようとしていた……無念です。			「白羽根の会」の同志の話では、やはりチャーレットは支援を拒んでいたそうです。誰にも頼ることなく、ひとりで生きようとしていた……無念です。			旅立った仲間たちと共に							
フォルドラの供述調書を読んだことがある。髑髏連隊の結成に参加した、自らの友人たちを、スペキュラ・インペラトリスへの砲撃命令によって殺した、と。			フォルドラの供述調書を読んだことがある。髑髏連隊の結成に参加した、自らの友人たちを、スペキュラ・インペラトリスへの砲撃命令によって殺した、と。			旅立った仲間たちと共に							
仲間殺しの罪を背負って、ひとりで偽神獣と戦おうってのか、フォルドラ……！			仲間殺しの罪を背負って、ひとりで偽神獣と戦おうってのか、フォルドラ……！			旅立った仲間たちと共に							
おかしなものだな……。あれほど憎んでいたはずなのに、今では髑髏連隊を率いていた彼女のことを、こうも心配している。			おかしなものだな……。あれほど憎んでいたはずなのに、今では髑髏連隊を率いていた彼女のことを、こうも心配している。			旅立った仲間たちと共に							
その心の変化を……立場の違う者へと歩み寄る心を、「慰霊祭」を機に広めていければ……遺族たちを絶望の淵に、落とさずに済むかもしれないと思うんです。			その心の変化を……立場の違う者へと歩み寄る心を、「慰霊祭」を機に広めていければ……遺族たちを絶望の淵に、落とさずに済むかもしれないと思うんです。			旅立った仲間たちと共に							
そのためにも、フォルドラの行方を捜さないと。彼女もまた、俺たちが支えるべきアラミゴ人なんだ。			そのためにも、フォルドラの行方を捜さないと。彼女もまた、俺たちが支えるべきアラミゴ人なんだ。			旅立った仲間たちと共に							
ともかく、偽神獣とフォルドラの関係は見えてきた。「アラミガン・クォーター」に戻るとしよう。			ともかく、偽神獣とフォルドラの関係は見えてきた。「アラミガン・クォーター」に戻るとしよう。			旅立った仲間たちと共に							
フォルドラのような、親帝国派であったアラミゴ人たちが、本当の意味で故郷と呼べる国になるように、俺は俺なりに戦うよ。			フォルドラのような、親帝国派であったアラミゴ人たちが、本当の意味で故郷と呼べる国になるように、俺は俺なりに戦うよ。			旅立った仲間たちと共に							
白々しくも態度を変えて、虫がいいのはわかっている。だが、もし自分が彼女の父親の立場だったらと考えてしまってな。どうか無事でいてくれ……。			白々しくも態度を変えて、虫がいいのはわかっている。だが、もし自分が彼女の父親の立場だったらと考えてしまってな。どうか無事でいてくれ……。			旅立った仲間たちと共に							
チャーレットという人物について、「白羽根の会」と連携しながら調査を進めている。偽神獣の手がかりを得る目的も当然あるが、それだけではない。			チャーレットという人物について、「白羽根の会」と連携しながら調査を進めている。偽神獣の手がかりを得る目的も当然あるが、それだけではない。			旅立った仲間たちと共に							
獣となってしまった以上、人には戻れない。どんなに温和な人物であったとしても、自我は失われ、いつか誰かを傷つけてしまうだろう。			獣となってしまった以上、人には戻れない。どんなに温和な人物であったとしても、自我は失われ、いつか誰かを傷つけてしまうだろう。			旅立った仲間たちと共に							
そうなる前に手を下さねばならぬ。獣となってしまった者にとっても、恐らくそれが唯一の救いになるはずだ……。			そうなる前に手を下さねばならぬ。獣となってしまった者にとっても、恐らくそれが唯一の救いになるはずだ……。			旅立った仲間たちと共に							
フォルドラの捜索は、メ・ナーゴの部隊を中心に動いている。……そして、こうも伝えてある。彼女に助けを求められたときには、必ず手を貸すようにと。			フォルドラの捜索は、メ・ナーゴの部隊を中心に動いている。……そして、こうも伝えてある。彼女に助けを求められたときには、必ず手を貸すようにと。			旅立った仲間たちと共に							
では、何か進展があればすぐに知らせよう。偽神獣との決戦は近い、貴様も準備を整えておいてくれ。			では、何か進展があればすぐに知らせよう。偽神獣との決戦は近い、貴様も準備を整えておいてくれ。			旅立った仲間たちと共に							
うう、フォルドラさん……。早く戻ってきてください……。			うう、フォルドラさん……。早く戻ってきてください……。			旅立った仲間たちと共に							
アラミガン・クォーターの偽神獣対策部隊の闘士は、今すぐ伝えたいことがあるようだ。			アラミガン・クォーターの偽神獣対策部隊の闘士は、今すぐ伝えたいことがあるようだ。			僕たちは還り、君を見送ろう							
メ・ナーゴからリンクパール通信で連絡が入っていた。フォルドラの方から、冒険者に伝えたいことがあるため接触してきたという。フォルドラは、偽神獣と成り果てた幼馴染が、誰も殺さずに済むよう、冒険者の力を借りたいのだと言った。決戦の準備が整ったら、アラミガン・クォーターで「ラウバーン」と話そう。			メ・ナーゴからリンクパール通信で連絡が入っていた。フォルドラの方から、冒険者に伝えたいことがあるため接触してきたという。フォルドラは、偽神獣と成り果てた幼馴染が、誰も殺さずに済むよう、冒険者の力を借りたいのだと言った。決戦の準備が整ったら、アラミガン・クォーターで「ラウバーン」と話そう。			僕たちは還り、君を見送ろう							
ラウバーンとフォルドラと共闘し、偽神獣を打ち倒した。心優しき若者が転じた偽神獣は、ついぞ誰も殺すことなく、その悲しき姿から解放された。彼もまた、故郷の自由のために戦っていたひとりだったのだ。			ラウバーンとフォルドラと共闘し、偽神獣を打ち倒した。心優しき若者が転じた偽神獣は、ついぞ誰も殺すことなく、その悲しき姿から解放された。彼もまた、故郷の自由のために戦っていたひとりだったのだ。			僕たちは還り、君を見送ろう							
偽神獣を倒した冒険者たちは、アラミゴの人々に温かく迎えられた。もう誰も、フォルドラに駆け寄る少女を止める者はいなかった。アラミガン・クォーターで「ラウバーン」と話そう。			偽神獣を倒した冒険者たちは、アラミゴの人々に温かく迎えられた。もう誰も、フォルドラに駆け寄る少女を止める者はいなかった。アラミガン・クォーターで「ラウバーン」と話そう。			僕たちは還り、君を見送ろう							
ラウバーンから改めて感謝された。ラザハンの流星の間で「アラミゴの駐在武官」と話そう。			ラウバーンから改めて感謝された。ラザハンの流星の間で「アラミゴの駐在武官」と話そう。			僕たちは還り、君を見送ろう							
アラミゴの駐在武官に報告した。過去の歪みから生じた絶望の悲劇は、冒険者たちの活躍によって幕を閉じた。戦争で命を落としたすべての魂は、慰霊祭で等しく弔われることになるだろう。そうして過去と向き合ったアラミゴの人々が、本当の意味で前に進めることを願って。			アラミゴの駐在武官に報告した。過去の歪みから生じた絶望の悲劇は、冒険者たちの活躍によって幕を閉じた。戦争で命を落としたすべての魂は、慰霊祭で等しく弔われることになるだろう。そうして過去と向き合ったアラミゴの人々が、本当の意味で前に進めることを願って。			僕たちは還り、君を見送ろう							
ラウバーンと話す			ラウバーンと話す			僕たちは還り、君を見送ろう							
ラウバーンと再度話す			ラウバーンと再度話す			僕たちは還り、君を見送ろう							
流星の間のアラミゴの駐在武官と話す			流星の間のアラミゴの駐在武官と話す			僕たちは還り、君を見送ろう							
Forenameさん！あなたを探していたところでした！とにかく、今すぐこちらへ来てください！			Forenameさん！あなたを探していたところでした！とにかく、今すぐこちらへ来てください！			僕たちは還り、君を見送ろう							
メ・ナーゴ、絶対に無理はするな。吾輩もすぐに向かう、それまで現状の維持を優先するのだ。			メ・ナーゴ、絶対に無理はするな。吾輩もすぐに向かう、それまで現状の維持を優先するのだ。			僕たちは還り、君を見送ろう							
Forename！メ・ナーゴから、連絡があったんだ！			Forename！メ・ナーゴから、連絡があったんだ！			僕たちは還り、君を見送ろう							
捜索に出ていたメ・ナーゴたちに、フォルドラの方から、接触してきたらしい！			捜索に出ていたメ・ナーゴたちに、フォルドラの方から、接触してきたらしい！			僕たちは還り、君を見送ろう							
ちょうどいいところに来てくれた。捜索部隊のリンクパールと繋がっている。フォルドラが、貴様に伝えたいことがあるそうだ。			ちょうどいいところに来てくれた。捜索部隊のリンクパールと繋がっている。フォルドラが、貴様に伝えたいことがあるそうだ。			僕たちは還り、君を見送ろう							
(-フォルドラの声-)呼び出してすまないが、時間がない。手短に話す。			(-フォルドラの声-)呼び出してすまないが、時間がない。手短に話す。			僕たちは還り、君を見送ろう							
(-フォルドラの声-)私たちのすぐ側に、偽神獣がいる。事情はすでに知っていると聞いたが、あれは私の昔馴染みだ。やつが向かいそうな場所を調べ周り、発見にいたった。			(-フォルドラの声-)私たちのすぐ側に、偽神獣がいる。事情はすでに知っていると聞いたが、あれは私の昔馴染みだ。やつが向かいそうな場所を調べ周り、発見にいたった。			僕たちは還り、君を見送ろう							
(-フォルドラの声-)だが、私の接近に気づくなり、山奥の潜伏先を出て、ここスペキュラ・インペラトリスへ移動を開始した……。何をしでかすか、わからない状況だ。			(-フォルドラの声-)だが、私の接近に気づくなり、山奥の潜伏先を出て、ここスペキュラ・インペラトリスへ移動を開始した……。何をしでかすか、わからない状況だ。			僕たちは還り、君を見送ろう							
(-フォルドラの声-)Forename。お前に、頼みがある……。			(-フォルドラの声-)Forename。お前に、頼みがある……。			僕たちは還り、君を見送ろう							
(-フォルドラの声-)あいつは、チャーレットは、誰よりも優しいやつだったんだ。戦うことでしか、前に進むことができなかった私と違って、争いとは無縁のやつだった……！			(-フォルドラの声-)あいつは、チャーレットは、誰よりも優しいやつだったんだ。戦うことでしか、前に進むことができなかった私と違って、争いとは無縁のやつだった……！			僕たちは還り、君を見送ろう							
(-フォルドラの声-)あいつには絶対に、誰かを殺させるわけにはいかない！そうなる前に、戦うことしか能のない私が、やつを殺す……！だから……だから、お前に……			(-フォルドラの声-)あいつには絶対に、誰かを殺させるわけにはいかない！そうなる前に、戦うことしか能のない私が、やつを殺す……！だから……だから、お前に……			僕たちは還り、君を見送ろう							
何と言う？			何と言う？			僕たちは還り、君を見送ろう							
すぐに駆け付ける			すぐに駆け付ける			僕たちは還り、君を見送ろう							
手を貸すよ			手を貸すよ			僕たちは還り、君を見送ろう							
(-フォルドラの声-)……すまない、恩に着る。			(-フォルドラの声-)……すまない、恩に着る。			僕たちは還り、君を見送ろう							
(-メ・ナーゴの声-)私です、メ・ナーゴに代わりました。現在、偽神獣を取り逃がさないように包囲陣を、敷いて…………			(-メ・ナーゴの声-)私です、メ・ナーゴに代わりました。現在、偽神獣を取り逃がさないように包囲陣を、敷いて…………			僕たちは還り、君を見送ろう							
(-メ・ナーゴの声-)くっ……偽神獣が動き出しました！			(-メ・ナーゴの声-)くっ……偽神獣が動き出しました！			僕たちは還り、君を見送ろう							
(-メ・ナーゴの声-)総員、迎撃体制を……え……ちょっとフォルドラ、下がって……！			(-メ・ナーゴの声-)総員、迎撃体制を……え……ちょっとフォルドラ、下がって……！			僕たちは還り、君を見送ろう							
通信が途絶したか……！我々も現場に急ぎ向かうぞ！出撃準備が整い次第、吾輩に声をかけてくれ！			通信が途絶したか……！我々も現場に急ぎ向かうぞ！出撃準備が整い次第、吾輩に声をかけてくれ！			僕たちは還り、君を見送ろう							
……フォルドラは、自分の手で仲間を犠牲にしたんだろう？そしてまた同じことをしなければならない。いくら心の強い奴だって、苦しくないはずがない。			……フォルドラは、自分の手で仲間を犠牲にしたんだろう？そしてまた同じことをしなければならない。いくら心の強い奴だって、苦しくないはずがない。			僕たちは還り、君を見送ろう							
倒すべき相手の、人となりを知った以上、最期を見届けなきゃいけないお前も辛いよな。だけど、どうかフォルドラを支えてやってほしい……！			倒すべき相手の、人となりを知った以上、最期を見届けなきゃいけないお前も辛いよな。だけど、どうかフォルドラを支えてやってほしい……！			僕たちは還り、君を見送ろう							
スペキュラ・インペラトリスの周辺には集落も少なくない。絶対に、ここで偽神獣を止めねばならんということだ！ゆえに吾輩は、全力で前に出る！			スペキュラ・インペラトリスの周辺には集落も少なくない。絶対に、ここで偽神獣を止めねばならんということだ！ゆえに吾輩は、全力で前に出る！			僕たちは還り、君を見送ろう							
フォルドラもまた、チャーレットとの関係性ゆえに、並々ならぬ決意を持って戦いに臨んでいることだろう。我らの命、貴様に預けたぞ……！			フォルドラもまた、チャーレットとの関係性ゆえに、並々ならぬ決意を持って戦いに臨んでいることだろう。我らの命、貴様に預けたぞ……！			僕たちは還り、君を見送ろう							
ゆくぞ！覚悟は良いか？			ゆくぞ！覚悟は良いか？			僕たちは還り、君を見送ろう							
くっ……！皆さん……あと少し……あと少しだけ、踏ん張りましょう！			くっ……！皆さん……あと少し……あと少しだけ、踏ん張りましょう！			僕たちは還り、君を見送ろう							
ラウバーン隊長たちが……必……ず……			ラウバーン隊長たちが……必……ず……			僕たちは還り、君を見送ろう							
皆、よくぞ持ちこたえてくれた。あとは我らに任せろ。			皆、よくぞ持ちこたえてくれた。あとは我らに任せろ。			僕たちは還り、君を見送ろう							
は、はいッ……！			は、はいッ……！			僕たちは還り、君を見送ろう							
総員、退避……！負傷者を守りながら後方へ……！			総員、退避……！負傷者を守りながら後方へ……！			僕たちは還り、君を見送ろう							
ユルシテ……ユル……ユルジ……テ……			ユルシテ……ユル……ユルジ……テ……			僕たちは還り、君を見送ろう							
ボクハァ……ヒキョウモノォォ……			ボクハァ……ヒキョウモノォォ……			僕たちは還り、君を見送ろう							
本当に、戦うしか道はないのかな……。僕たちはただ、自由が欲しいだけなのに。			本当に、戦うしか道はないのかな……。僕たちはただ、自由が欲しいだけなのに。			僕たちは還り、君を見送ろう							
無理強いはしないさ。俺は武器を取る以外の方法を知らないだけだ。お前には、お前の道がある。			無理強いはしないさ。俺は武器を取る以外の方法を知らないだけだ。お前には、お前の道がある。			僕たちは還り、君を見送ろう							
僕は、臆病者だ……。誰かを傷つけることも、誰かを失うことも……怖くてたまらない……！			僕は、臆病者だ……。誰かを傷つけることも、誰かを失うことも……怖くてたまらない……！			僕たちは還り、君を見送ろう							
お前は優しいからな。虫一匹も殺せないほどに。			お前は優しいからな。虫一匹も殺せないほどに。			僕たちは還り、君を見送ろう							
虫くらい殺せるさ！た、たぶん……。			虫くらい殺せるさ！た、たぶん……。			僕たちは還り、君を見送ろう							
心配するな、チャーレット。私たちの誰かひとりでも這い上がれれば、すべてが変わる。そんな未来で、生きてくれる仲間がいてくれれば本望だ。			心配するな、チャーレット。私たちの誰かひとりでも這い上がれれば、すべてが変わる。そんな未来で、生きてくれる仲間がいてくれれば本望だ。			僕たちは還り、君を見送ろう							
そうだよ、チャーレットが軍に入らなくても、私たちはお前を恨んだりしないよ。			そうだよ、チャーレットが軍に入らなくても、私たちはお前を恨んだりしないよ。			僕たちは還り、君を見送ろう							
それじゃあ明日。帝国軍への入隊志望者は、この場所で……。			それじゃあ明日。帝国軍への入隊志望者は、この場所で……。			僕たちは還り、君を見送ろう							
結局、何もできなかった……！自分なりに抗ったけど……駄目だった……。			結局、何もできなかった……！自分なりに抗ったけど……駄目だった……。			僕たちは還り、君を見送ろう							
皆酷い目に遭って……フォルドラ姉もたくさん犠牲を払ったのに……僕だけが、戦いもせず自由を手にしてしまったッ……！			皆酷い目に遭って……フォルドラ姉もたくさん犠牲を払ったのに……僕だけが、戦いもせず自由を手にしてしまったッ……！			僕たちは還り、君を見送ろう							
僕は、僕は……卑怯者だ……！！			僕は、僕は……卑怯者だ……！！			僕たちは還り、君を見送ろう							
うあああああああああッ！！！！！！			うあああああああああッ！！！！！！			僕たちは還り、君を見送ろう							
アアア……ユル……シテ……ニイ……チャン……ミンナ……			アアア……ユル……シテ……ニイ……チャン……ミンナ……			僕たちは還り、君を見送ろう							
ミンナ……イッショ……ニ……イッショ……			ミンナ……イッショ……ニ……イッショ……			僕たちは還り、君を見送ろう							
チャーレット……お前の兄は……私の命令で……。私が……優しい皆を……私が…………お前をッ……			チャーレット……お前の兄は……私の命令で……。私が……優しい皆を……私が…………お前をッ……			僕たちは還り、君を見送ろう							
許しを請うのは私の方だ……私も……お前たちと一緒に……			許しを請うのは私の方だ……私も……お前たちと一緒に……			僕たちは還り、君を見送ろう							
逃げるなッ……！			逃げるなッ……！			僕たちは還り、君を見送ろう							
絶望に逃げようとするな！私には……私には、お前が背負ってきたものがわからない！お前が言葉にするのを、拒んできたから……！			絶望に逃げようとするな！私には……私には、お前が背負ってきたものがわからない！お前が言葉にするのを、拒んできたから……！			僕たちは還り、君を見送ろう							
でも、今ここで斃れたら……！お前に仲間を殺された私たちは、このままずっと、お前を理解することも、許すこともできなくなるじゃないかッ！			でも、今ここで斃れたら……！お前に仲間を殺された私たちは、このままずっと、お前を理解することも、許すこともできなくなるじゃないかッ！			僕たちは還り、君を見送ろう							
だから、生きろッ……！生きて、抗って、戦い続けるんだ、フォルドラ……！			だから、生きろッ……！生きて、抗って、戦い続けるんだ、フォルドラ……！			僕たちは還り、君を見送ろう							
(-？？？？-)心配しなくても、Forenameが死なせないさ。			(-？？？？-)心配しなくても、Forenameが死なせないさ。			僕たちは還り、君を見送ろう							
お前……。			お前……。			僕たちは還り、君を見送ろう							
ラガンフリッドに無理言って連れてきてもらったんだ。			ラガンフリッドに無理言って連れてきてもらったんだ。			僕たちは還り、君を見送ろう							
この戦い、俺も見届けさせてくれ。これまで共に戦ってきた、仲間として。			この戦い、俺も見届けさせてくれ。これまで共に戦ってきた、仲間として。			僕たちは還り、君を見送ろう							
それに、俺もチャーレットの過去を視た。だから少しだけわかったよ、そいつの想いが。			それに、俺もチャーレットの過去を視た。だから少しだけわかったよ、そいつの想いが。			僕たちは還り、君を見送ろう							
苦しかったよな……辛かったよな……。仲間が必死に戦ってるのに、自分だけ何もできないなんて。情けなかったよな。			苦しかったよな……辛かったよな……。仲間が必死に戦ってるのに、自分だけ何もできないなんて。情けなかったよな。			僕たちは還り、君を見送ろう							
だけどな、チャーレット。お前はお前なりに、戦ってたんだろ？			だけどな、チャーレット。お前はお前なりに、戦ってたんだろ？			僕たちは還り、君を見送ろう							
剣を手に斬り結ぶだけが、誰かのための戦いじゃないんだぜ！			剣を手に斬り結ぶだけが、誰かのための戦いじゃないんだぜ！			僕たちは還り、君を見送ろう							
……なんて、誰かさんの受け売りだけどな！			……なんて、誰かさんの受け売りだけどな！			僕たちは還り、君を見送ろう							
アラミゴは変わる。いや、我々が変えてみせると誓おう。			アラミゴは変わる。いや、我々が変えてみせると誓おう。			僕たちは還り、君を見送ろう							
ひとりひとりが、犯した過ちを認め、同胞が互いを傷つけ合うことなく……			ひとりひとりが、犯した過ちを認め、同胞が互いを傷つけ合うことなく……			僕たちは還り、君を見送ろう							
皆が手を取り合って、自由に歩めるアラミゴに……！			皆が手を取り合って、自由に歩めるアラミゴに……！			僕たちは還り、君を見送ろう							
何と言う？			何と言う？			僕たちは還り、君を見送ろう							
チャーレットを救おう			チャーレットを救おう			僕たちは還り、君を見送ろう							
自分が誰も死なせない			自分が誰も死なせない			僕たちは還り、君を見送ろう							
アンスフリッド、エメリン……すまない。そっちに行くのは、もう少しだけ待っていてくれ。			アンスフリッド、エメリン……すまない。そっちに行くのは、もう少しだけ待っていてくれ。			僕たちは還り、君を見送ろう							
チャーレット……！お前に、誰も殺させはしない……！			チャーレット……！お前に、誰も殺させはしない……！			僕たちは還り、君を見送ろう							
その罪を背負うのは、私だけで十分なんだッ……！			その罪を背負うのは、私だけで十分なんだッ……！			僕たちは還り、君を見送ろう							
頼む、力を……お前の力を貸してくれッ……！			頼む、力を……お前の力を貸してくれッ……！			僕たちは還り、君を見送ろう							
ありがとう、Forename。			ありがとう、Forename。			僕たちは還り、君を見送ろう							
おかえり、お姉ちゃん！			おかえり、お姉ちゃん！			僕たちは還り、君を見送ろう							
ああ……ただいま…………。			ああ……ただいま…………。			僕たちは還り、君を見送ろう							
アラミゴの偽神獣は倒された。獣に転化した者たちは、救えなかったが……それでも、ほかに犠牲者を出さなかったことは奇跡に等しい。			アラミゴの偽神獣は倒された。獣に転化した者たちは、救えなかったが……それでも、ほかに犠牲者を出さなかったことは奇跡に等しい。			僕たちは還り、君を見送ろう							
今にして思えば、最初に偽神獣がアラミガン・クォーターを襲撃したときも、多少の被害はあっても、死者はひとりもいなかった。			今にして思えば、最初に偽神獣がアラミガン・クォーターを襲撃したときも、多少の被害はあっても、死者はひとりもいなかった。			僕たちは還り、君を見送ろう							
もしかすると、チャーレットの優しさゆえに、人を傷つけまいと奥地に潜んでいたのかもしれぬな。			もしかすると、チャーレットの優しさゆえに、人を傷つけまいと奥地に潜んでいたのかもしれぬな。			僕たちは還り、君を見送ろう							
スペキュラ・インペラトリスに向かったのは、お兄さんたちに会いたいという願いからか……。			スペキュラ・インペラトリスに向かったのは、お兄さんたちに会いたいという願いからか……。			僕たちは還り、君を見送ろう							
髑髏連隊が犯した罪は、許されるべきではない。しかし、彼らだけが悪いのではない。そうせざるを得なかったほどの環境が、確かにあったのだ。			髑髏連隊が犯した罪は、許されるべきではない。しかし、彼らだけが悪いのではない。そうせざるを得なかったほどの環境が、確かにあったのだ。			僕たちは還り、君を見送ろう							
アラミゴは共和国として生まれ変わった。今度こそ、憎しみを込めて誰かに石を投げるのではなく、互いに手を差し伸べられる国としなければ……。			アラミゴは共和国として生まれ変わった。今度こそ、憎しみを込めて誰かに石を投げるのではなく、互いに手を差し伸べられる国としなければ……。			僕たちは還り、君を見送ろう							
ええ、そのためにも「慰霊祭」は必ず実現させます。今すぐは無理でも、ひとりひとりがこの地で生きた証を集めて、それを俺たちがしっかりと覚えて、繋いで、生きていくんです。			ええ、そのためにも「慰霊祭」は必ず実現させます。今すぐは無理でも、ひとりひとりがこの地で生きた証を集めて、それを俺たちがしっかりと覚えて、繋いで、生きていくんです。			僕たちは還り、君を見送ろう							
お前も、「慰霊祭」には来てくれるだろう？			お前も、「慰霊祭」には来てくれるだろう？			僕たちは還り、君を見送ろう							
……さあな。私は参加を選べる立場じゃない。			……さあな。私は参加を選べる立場じゃない。			僕たちは還り、君を見送ろう							
そのことだが、「囚人部隊」という扱いも見直すつもりだ。吾輩の独断で決定はできぬが、理解を得られるよう手を尽くす。十分この国のために尽くしてくれた、自由を得る権利はある。			そのことだが、「囚人部隊」という扱いも見直すつもりだ。吾輩の独断で決定はできぬが、理解を得られるよう手を尽くす。十分この国のために尽くしてくれた、自由を得る権利はある。			僕たちは還り、君を見送ろう							
少なくとも、その首の魔器は、もう必要ないはずだ。			少なくとも、その首の魔器は、もう必要ないはずだ。			僕たちは還り、君を見送ろう							
おお！よかったじゃないか、フォルドラよ！			おお！よかったじゃないか、フォルドラよ！			僕たちは還り、君を見送ろう							
……フン。			……フン。			僕たちは還り、君を見送ろう							
そこは素直に喜べって。			そこは素直に喜べって。			僕たちは還り、君を見送ろう							
俺もしばらくは、アラミゴで活動を続けるよ。生まれも育ちも関係なく、誰かのための力になりたい。この手と声が届く限り、助けを求める人たちの希望になりたいんだ。			俺もしばらくは、アラミゴで活動を続けるよ。生まれも育ちも関係なく、誰かのための力になりたい。この手と声が届く限り、助けを求める人たちの希望になりたいんだ。			僕たちは還り、君を見送ろう							
そしていつか、親友のあいつに言ってやるのさ。俺もデカくなっただろうって。			そしていつか、親友のあいつに言ってやるのさ。俺もデカくなっただろうって。			僕たちは還り、君を見送ろう							
本当の意味で、ここからアラミゴは変わってゆくだろう。……楽しみだな、この国の未来が。			本当の意味で、ここからアラミゴは変わってゆくだろう。……楽しみだな、この国の未来が。			僕たちは還り、君を見送ろう							
