再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			アダルキムの後継者							
「七剣」マウシは、雄々しく戦い、大いに魂を輝かせた！そんな人物が、生まれ変われないわけがないだろう？			「七剣」マウシは、雄々しく戦い、大いに魂を輝かせた！そんな人物が、生まれ変われないわけがないだろう？			「七剣」マウシの悩み							
マウシか……あやつは、訓練試合を行おうとすると、どこかへ消えてしまう。「七剣」として、より強くなるため、参加しろと言っているのに。			マウシか……あやつは、訓練試合を行おうとすると、どこかへ消えてしまう。「七剣」として、より強くなるため、参加しろと言っているのに。			「七剣」マウシの悩み							
俺の出生の秘密を探ってきてほしいんだ。ドタール・カーの住民に、尋ねてみてくれ。			俺の出生の秘密を探ってきてほしいんだ。ドタール・カーの住民に、尋ねてみてくれ。			「七剣」マウシの悩み							
武芸は、最初っからうまくいくもんじゃないさ。マウシだって、きちんと鍛錬を重ねれば、もっと強くなれるはずだよ。			武芸は、最初っからうまくいくもんじゃないさ。マウシだって、きちんと鍛錬を重ねれば、もっと強くなれるはずだよ。			「七剣」マウシの悩み							
マウシが「七剣」の生まれ変わりではないなど……そんな根も葉もない噂、どこから聞きつけたんだ？			マウシが「七剣」の生まれ変わりではないなど……そんな根も葉もない噂、どこから聞きつけたんだ？			「七剣」マウシの悩み							
「七剣」マウシだからといって、慢心すれば、いつか足を掬われる。あやつは、それがわかっているのだろうか……。			「七剣」マウシだからといって、慢心すれば、いつか足を掬われる。あやつは、それがわかっているのだろうか……。			「七剣」マウシの悩み							
ど、どっ、どうだった？俺の出生の秘密、わかったか？			ど、どっ、どうだった？俺の出生の秘密、わかったか？			「七剣」マウシの悩み							
そうか……秘密なんて、何もなかったのか……。やっぱり、俺は絶対に剣聖なんだな。調べてくれてありがとう。			そうか……秘密なんて、何もなかったのか……。やっぱり、俺は絶対に剣聖なんだな。調べてくれてありがとう。			「七剣」マウシの悩み							
ところで旅人さん、見たところ、腕が立ちそうだけど、これまでどうやって修行をしてきたんだい？秘訣があるなら、教えてほしいんだ。			ところで旅人さん、見たところ、腕が立ちそうだけど、これまでどうやって修行をしてきたんだい？秘訣があるなら、教えてほしいんだ。			「七剣」マウシの悩み							
何と答える？			何と答える？			「七剣」マウシの悩み							
冒険と戦いの中で鍛えられた			冒険と戦いの中で鍛えられた			「七剣」マウシの悩み							
師となる人がいた			師となる人がいた			「七剣」マウシの悩み							
なるほど、やっぱり経験がものを言うわけか……。さすがに一族の暮らしを棄てて、冒険には出れないが、経験豊かな君から学べば、強くなれそうだ。			なるほど、やっぱり経験がものを言うわけか……。さすがに一族の暮らしを棄てて、冒険には出れないが、経験豊かな君から学べば、強くなれそうだ。			「七剣」マウシの悩み							
なるほど、強き弟子には強き師匠ってわけか……。確かに、的確な指導を受けることができれば、ひとりで修行するよりも、効率よく自分を鍛えられそうだな。			なるほど、強き弟子には強き師匠ってわけか……。確かに、的確な指導を受けることができれば、ひとりで修行するよりも、効率よく自分を鍛えられそうだな。			「七剣」マウシの悩み							
なあ、旅人さん、俺の修行に付き合っちゃくれないか？君から戦いの術を学んで、もっと強くなりたいんだ！もし協力してくれるっていうなら、声をかけてくれよな！			なあ、旅人さん、俺の修行に付き合っちゃくれないか？君から戦いの術を学んで、もっと強くなりたいんだ！もし協力してくれるっていうなら、声をかけてくれよな！			「七剣」マウシの悩み							
ドタール・カーのドタール族の少女は、外からの旅人を探しているようだ。			ドタール・カーのドタール族の少女は、外からの旅人を探しているようだ。			母なるナーマ							
ドタール族の少女と話す			ドタール族の少女と話す			母なるナーマ							
ドタール族の少女と話し、敵が現れたら討伐			ドタール族の少女と話し、敵が現れたら討伐			母なるナーマ							
ドタール族の少女と話す			ドタール族の少女と話す			母なるナーマ							
ドタール族の少女と話し、敵が現れたら討伐			ドタール族の少女と話し、敵が現れたら討伐			母なるナーマ							
ドタール族の少女と話す			ドタール族の少女と話す			母なるナーマ							
ドタール族の少女と再度話す			ドタール族の少女と再度話す			母なるナーマ							
マラルに羊皮紙の手紙を渡す			マラルに羊皮紙の手紙を渡す			母なるナーマ							
あなたは外から来た人ですよね？実は、お願いしたいことがありまして……。			あなたは外から来た人ですよね？実は、お願いしたいことがありまして……。			母なるナーマ							
ですが、ここではちょっと……。詳しくは、東にある「暮れの玉座」でお話しいたしますので、よければお越しいただけますか？			ですが、ここではちょっと……。詳しくは、東にある「暮れの玉座」でお話しいたしますので、よければお越しいただけますか？			母なるナーマ							
来ていただき、ありがとうございます。願いというのは、ほかでもありません。ナーマ様へ会う道中の危険から、守っていただきたいのです。			来ていただき、ありがとうございます。願いというのは、ほかでもありません。ナーマ様へ会う道中の危険から、守っていただきたいのです。			母なるナーマ							
先日、父がオロニル族に目の前で殺され、連れ去られた母も、数日後に無残な姿で見つかりました……。			先日、父がオロニル族に目の前で殺され、連れ去られた母も、数日後に無残な姿で見つかりました……。			母なるナーマ							
太陽神アジムの子を騙る、奴らの衰退と、我がドタール族の繁栄を祈るため、どうしても、月神ナーマ様のもとへ参りたいのです。			太陽神アジムの子を騙る、奴らの衰退と、我がドタール族の繁栄を祈るため、どうしても、月神ナーマ様のもとへ参りたいのです。			母なるナーマ							
しかし、北の参道では近頃、洞穴から抜け出した獣が、群れを成して出没するとの噂で……。そこで、護衛をしてくださる方を探しておりました。			しかし、北の参道では近頃、洞穴から抜け出した獣が、群れを成して出没するとの噂で……。そこで、護衛をしてくださる方を探しておりました。			母なるナーマ							
祈りを捧げるため、道半ばで倒れるわけにはいきません。月神ナーマ様は、聖地である「楔石の虚」におられます。昇月の高地で待ちますので、どうか、私をお守りください。			祈りを捧げるため、道半ばで倒れるわけにはいきません。月神ナーマ様は、聖地である「楔石の虚」におられます。昇月の高地で待ちますので、どうか、私をお守りください。			母なるナーマ							
さあ、「楔石の虚」へ急ぎましょう。			さあ、「楔石の虚」へ急ぎましょう。			母なるナーマ							
ああ……さっそく獣が行く手を塞いでいます……。旅人さん、どうかお願いします！			ああ……さっそく獣が行く手を塞いでいます……。旅人さん、どうかお願いします！			母なるナーマ							
ありがとうございます。これで、先へ進めますね。			ありがとうございます。これで、先へ進めますね。			母なるナーマ							
この先に獣がいて、進めません……。「楔石の虚」に参るには、この道を通るしかないのです。どうか、獣を退治してください！			この先に獣がいて、進めません……。「楔石の虚」に参るには、この道を通るしかないのです。どうか、獣を退治してください！			母なるナーマ							
守っていただき、ありがとうございます。残す道もあとわずか、もう少しでナーマ様のもとへ……。			守っていただき、ありがとうございます。残す道もあとわずか、もう少しでナーマ様のもとへ……。			母なるナーマ							
ありがとうございました。ここからなら、ひとりでも行けます。ただ……最後にもうひとつ、お願いしてもよろしいでしょうか？			ありがとうございました。ここからなら、ひとりでも行けます。ただ……最後にもうひとつ、お願いしてもよろしいでしょうか？			母なるナーマ							
ドタール・カーにいる私の親友、「マラル」に、この「羊皮紙の手紙」をお渡しください。お礼は後ほど、必ずさせていただきます。			ドタール・カーにいる私の親友、「マラル」に、この「羊皮紙の手紙」をお渡しください。お礼は後ほど、必ずさせていただきます。			母なるナーマ							
それでは、本当にお世話になりました。さようなら……。			それでは、本当にお世話になりました。さようなら……。			母なるナーマ							
あら、何か用かしら？			あら、何か用かしら？			母なるナーマ							
これ、あの子からの手紙……？ちょっと内容を読みたいから、待っててくれるかしら。			これ、あの子からの手紙……？ちょっと内容を読みたいから、待っててくれるかしら。			母なるナーマ							
……そう、月神ナーマのもとへ旅立ったのね。オロニル族を恨んでいたのは知っていたけれど、友がひとり失われたのは、とても悲しいわ……。			……そう、月神ナーマのもとへ旅立ったのね。オロニル族を恨んでいたのは知っていたけれど、友がひとり失われたのは、とても悲しいわ……。			母なるナーマ							
楔石の虚には、月神の力の根源たる結晶が奉られているの。そこへ身を投げ、命を失った者の魂は、月神の一部となり、永遠に生まれ変わることはなくなるわ……。			楔石の虚には、月神の力の根源たる結晶が奉られているの。そこへ身を投げ、命を失った者の魂は、月神の一部となり、永遠に生まれ変わることはなくなるわ……。			母なるナーマ							
ひとつ前のあの子も、その前も、ずっとずっと信心深かったから、誰にも止められなかったでしょうね……。			ひとつ前のあの子も、その前も、ずっとずっと信心深かったから、誰にも止められなかったでしょうね……。			母なるナーマ							
けれど、もし、あの子も家族と一緒に殺されていたら……。もうすぐ生まれる私の姉の子に、彼女の魂が招かれたかもしれないのに。			けれど、もし、あの子も家族と一緒に殺されていたら……。もうすぐ生まれる私の姉の子に、彼女の魂が招かれたかもしれないのに。			母なるナーマ							
……ごめんなさい、今のは忘れて。あの子は今、母なる月神のもとで安らかに眠っているはず。それはきっと、喜ぶべきことだから。			……ごめんなさい、今のは忘れて。あの子は今、母なる月神のもとで安らかに眠っているはず。それはきっと、喜ぶべきことだから。			母なるナーマ							
手紙にあなたへの報酬が入ってたわ。ありがとう……とは言えないけど、彼女の望みを叶えてくれた、対価として受け取って。			手紙にあなたへの報酬が入ってたわ。ありがとう……とは言えないけど、彼女の望みを叶えてくれた、対価として受け取って。			母なるナーマ							
ドタール・カーのクーランは、マウシを気にかけているようだ。			ドタール・カーのクーランは、マウシを気にかけているようだ。			マウシの活路							
クーランと話した。クーランの勧めにより、マウシは頭を冷やしにいくようだ。川べりへ行く前に、ナーマ砂漠北端の「マウシ」と話そう。			クーランと話した。クーランの勧めにより、マウシは頭を冷やしにいくようだ。川べりへ行く前に、ナーマ砂漠北端の「マウシ」と話そう。			マウシの活路							
マウシと話した。剣を置いたマウシは、冒険者に護衛を頼みたいようだ。護衛の準備ができたら、ナーマ砂漠北端の「マウシ」と再度話そう。			マウシと話した。剣を置いたマウシは、冒険者に護衛を頼みたいようだ。護衛の準備ができたら、ナーマ砂漠北端の「マウシ」と再度話そう。			マウシの活路							
マウシと話した。川べりまで「マウシ」の護衛をし、「高台の外灯」に触れよう。※はぐれてしまった場合、ナーマ砂漠北端にいる「マウシ」に話しかけることで護衛を再開できます。			マウシと話した。川べりまで「マウシ」の護衛をし、「高台の外灯」に触れよう。※はぐれてしまった場合、ナーマ砂漠北端にいる「マウシ」に話しかけることで護衛を再開できます。			マウシの活路							
川べりの高台の外灯までマウシの護衛をすることができた。どうやらマウシは、自分が勇猛果敢なドタール族の一員であるという証になる、強さがほしいようだ。帰ろうとすると、突如マンザシリに襲われたが、マウシの拳が敵を下した。自分の力に驚く、ナーマ砂漠北端の「マウシ」と話そう。			川べりの高台の外灯までマウシの護衛をすることができた。どうやらマウシは、自分が勇猛果敢なドタール族の一員であるという証になる、強さがほしいようだ。帰ろうとすると、突如マンザシリに襲われたが、マウシの拳が敵を下した。自分の力に驚く、ナーマ砂漠北端の「マウシ」と話そう。			マウシの活路							
マウシと話した。剣術よりも格闘術のほうが向いているのではと、マウシは思っているようだ。鍛錬に行ったマウシの代わりに、起こったことついて、ドタール・カーの「クーラン」に話そう。			マウシと話した。剣術よりも格闘術のほうが向いているのではと、マウシは思っているようだ。鍛錬に行ったマウシの代わりに、起こったことついて、ドタール・カーの「クーラン」に話そう。			マウシの活路							
クーランと話した。マウシが格闘術に目覚めたことを知り、クーランはマウシが「七剣」でないと確信を抱き始めたのだった。マウシの出生の真実を見つけるため、クーランと協力しよう。			クーランと話した。マウシが格闘術に目覚めたことを知り、クーランはマウシが「七剣」でないと確信を抱き始めたのだった。マウシの出生の真実を見つけるため、クーランと協力しよう。			マウシの活路							
マウシと話す			マウシと話す			マウシの活路							
マウシと再度話す			マウシと再度話す			マウシの活路							
高台の外灯までマウシを護衛			高台の外灯までマウシを護衛			マウシの活路							
マウシと話す			マウシと話す			マウシの活路							
クーランと話す			クーランと話す			マウシの活路							
ドタール族では、赤子が生まれると、まず族長が抱き上げ、誰の生まれ変わりなのかを見極めるんだ。			ドタール族では、赤子が生まれると、まず族長が抱き上げ、誰の生まれ変わりなのかを見極めるんだ。			マウシの活路							
そうそう間違えることなんてないが、こいつの場合は、数少ない例外だとしか思えないよ。さすがにあんな酷い剣さばき、「七剣」ではありえないからな。			そうそう間違えることなんてないが、こいつの場合は、数少ない例外だとしか思えないよ。さすがにあんな酷い剣さばき、「七剣」ではありえないからな。			マウシの活路							
だというのに、諦め悪く、剣に執着している。そのせいで、自分のことを追い詰めてるってのに……。			だというのに、諦め悪く、剣に執着している。そのせいで、自分のことを追い詰めてるってのに……。			マウシの活路							
うっ、うるさいな、お前は！俺は……っ！			うっ、うるさいな、お前は！俺は……っ！			マウシの活路							
……負けたばかりだし、気が立っているんだろう？剣を置き、泉で水浴びでもして、少し頭を冷やしてきな。			……負けたばかりだし、気が立っているんだろう？剣を置き、泉で水浴びでもして、少し頭を冷やしてきな。			マウシの活路							
……いや、川べりで風に当たってくるよ。Forenameさん、一緒に来てくれないか？少し、話したいことがあるからさ……集落の外で待ってる。			……いや、川べりで風に当たってくるよ。Forenameさん、一緒に来てくれないか？少し、話したいことがあるからさ……集落の外で待ってる。			マウシの活路							
あいつも思い悩んでいるみたいだな……。私には言えない話もあるようだし、あんたが、気晴らしに付き合ってあげてくれるか。			あいつも思い悩んでいるみたいだな……。私には言えない話もあるようだし、あんたが、気晴らしに付き合ってあげてくれるか。			マウシの活路							
…………。			…………。			マウシの活路							
付き合ってもらって悪いな……。北のほうに、川音が聞けて、景色もいい場所があるんだが、さすがに丸腰で、ひとり砂漠を歩くのは避けたいからね。			付き合ってもらって悪いな……。北のほうに、川音が聞けて、景色もいい場所があるんだが、さすがに丸腰で、ひとり砂漠を歩くのは避けたいからね。			マウシの活路							
もしも、危険な獣に出くわしたときは、頼んでもいいかい？準備ができたら、声をかけてくれ。すまないが、よろしく頼むよ……。			もしも、危険な獣に出くわしたときは、頼んでもいいかい？準備ができたら、声をかけてくれ。すまないが、よろしく頼むよ……。			マウシの活路							
あいつも思い悩んでいるみたいだな……。Forename、気晴らしに付き合ってあげてくれ。集落の中には、相談できる奴はいないみたいだから……。			あいつも思い悩んでいるみたいだな……。Forename、気晴らしに付き合ってあげてくれ。集落の中には、相談できる奴はいないみたいだから……。			マウシの活路							
準備ができたんだな。そうしたら、ここから北へ行った、川べりまでお願いするよ。「高台の外灯」の辺りなら、安全なはずさ。			準備ができたんだな。そうしたら、ここから北へ行った、川べりまでお願いするよ。「高台の外灯」の辺りなら、安全なはずさ。			マウシの活路							
丸腰で出歩くのは久しぶりだな…			丸腰で出歩くのは久しぶりだな…			マウシの活路							
俺がもっと強ければ…			俺がもっと強ければ…			マウシの活路							
マウシとはぐれてしまったため、目的を達成できません。ドタール・カーに戻ったマウシに話しかけて、もう一度、この場所まで護衛してください。			マウシとはぐれてしまったため、目的を達成できません。ドタール・カーに戻ったマウシに話しかけて、もう一度、この場所まで護衛してください。			マウシの活路							
マウシがまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			マウシがまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			マウシの活路							
(-七剣のマウシ-)ありがとう。手間をかけさせたが、おかげで無事に着いたよ。凶悪な魔物もそれほど多くないようだし、ここで少し話そう。			(-七剣のマウシ-)ありがとう。手間をかけさせたが、おかげで無事に着いたよ。凶悪な魔物もそれほど多くないようだし、ここで少し話そう。			マウシの活路							
どうだい、砂に囲まれていない、緑と水の景色。俺はここに来ると、不思議と気持ちが落ち着くんだ……。			どうだい、砂に囲まれていない、緑と水の景色。俺はここに来ると、不思議と気持ちが落ち着くんだ……。			マウシの活路							
……クーランが気にかけてくれてるのは嬉しい。でも、あいつは、生まれ変わる前と今の姿が違っていない。俺の勝手な嫉妬だけど、素直になれなくて……。			……クーランが気にかけてくれてるのは嬉しい。でも、あいつは、生まれ変わる前と今の姿が違っていない。俺の勝手な嫉妬だけど、素直になれなくて……。			マウシの活路							
俺だって、本当は上達の兆しもない剣術なんてやめたいさ。けれど、一族のみんな、誰も彼もが期待の目を向けてくる。マウシは最強の剣豪、「七剣」だって……。			俺だって、本当は上達の兆しもない剣術なんてやめたいさ。けれど、一族のみんな、誰も彼もが期待の目を向けてくる。マウシは最強の剣豪、「七剣」だって……。			マウシの活路							
期待さえなければ、俺だって剣に執着はしない。そして、ドタール族の一員だって証になる強さを、俺自身の手で、探してみたいんだ……。			期待さえなければ、俺だって剣に執着はしない。そして、ドタール族の一員だって証になる強さを、俺自身の手で、探してみたいんだ……。			マウシの活路							
……愚痴ばっかりでごめん、Forenameさん。鍛錬もしなくちゃいけないし、そろそろ集落まで戻らなきゃな。			……愚痴ばっかりでごめん、Forenameさん。鍛錬もしなくちゃいけないし、そろそろ集落まで戻らなきゃな。			マウシの活路							
危ないっ！！			危ないっ！！			マウシの活路							
お、俺……拳だけで、こいつを倒せたぞ……！？			お、俺……拳だけで、こいつを倒せたぞ……！？			マウシの活路							
剣はうまく扱えなかったのに、拳だけで戦ったら……もしや、俺が進むべきは、格闘術の道なのか？			剣はうまく扱えなかったのに、拳だけで戦ったら……もしや、俺が進むべきは、格闘術の道なのか？			マウシの活路							
Forenameさん、ごめん！俺は、この疑念を晴らすために、少し試したいことがあるから、先に集落まで戻ってくれるか？			Forenameさん、ごめん！俺は、この疑念を晴らすために、少し試したいことがあるから、先に集落まで戻ってくれるか？			マウシの活路							
そして、「クーラン」に伝えてほしい。「活路が見つかったかもしれない」ってね。よろしく頼むよ！			そして、「クーラン」に伝えてほしい。「活路が見つかったかもしれない」ってね。よろしく頼むよ！			マウシの活路							
おいっ、Forename、ひとりで戻ってきて、マウシはどうしたんだ！？剣も持たず、置き去りなんて、危険すぎるだろ！			おいっ、Forename、ひとりで戻ってきて、マウシはどうしたんだ！？剣も持たず、置き去りなんて、危険すぎるだろ！			マウシの活路							
なに、格闘術に目覚めただって？しかも、いきなりマンザシリを拳ひとつで倒したのか……それは相当なものだな。			なに、格闘術に目覚めただって？しかも、いきなりマンザシリを拳ひとつで倒したのか……それは相当なものだな。			マウシの活路							
つまりは、あいつが剣聖の生まれ変わりでない可能性が、さらに高まったってことだよな。となると……。			つまりは、あいつが剣聖の生まれ変わりでない可能性が、さらに高まったってことだよな。となると……。			マウシの活路							
なあ、もう少し協力してくれないか。あいつの出生の真実を突き止めて、楽にしてやりたいんだ！			なあ、もう少し協力してくれないか。あいつの出生の真実を突き止めて、楽にしてやりたいんだ！			マウシの活路							
ドタール・カーのマウシは、修行に付き合ってほしいようだ。			ドタール・カーのマウシは、修行に付き合ってほしいようだ。			弱すぎる剣聖							
マウシと話した。マウシの前で魔物を倒すことで、ドタール族以外の人間の戦い方を参考にしたいようだ。ナーマ砂漠北端で「マウシ」と話し、「ナーマ・アナラ」を討伐しよう。			マウシと話した。マウシの前で魔物を倒すことで、ドタール族以外の人間の戦い方を参考にしたいようだ。ナーマ砂漠北端で「マウシ」と話し、「ナーマ・アナラ」を討伐しよう。			弱すぎる剣聖							
ナーマ・アナラを討伐した。ナーマ砂漠北端の「マウシ」と話そう。			ナーマ・アナラを討伐した。ナーマ砂漠北端の「マウシ」と話そう。			弱すぎる剣聖							
マウシと話した。冒険者の戦いぶりは参考になったらしい。マウシはドタール・カーに戻り、行なわれている訓練試合に参加するようだ。ドタール・カーの「マウシ」と再度話そう。			マウシと話した。冒険者の戦いぶりは参考になったらしい。マウシはドタール・カーに戻り、行なわれている訓練試合に参加するようだ。ドタール・カーの「マウシ」と再度話そう。			弱すぎる剣聖							
マウシと話した。マウシは、試合に大敗したが、周囲の人々はマウシが「七剣」であると信じきっている。マウシの幼馴染であるクーランは、マウシを周囲のプレッシャーから解放したいようだ。マウシの未来のため、クーランと協力しよう。			マウシと話した。マウシは、試合に大敗したが、周囲の人々はマウシが「七剣」であると信じきっている。マウシの幼馴染であるクーランは、マウシを周囲のプレッシャーから解放したいようだ。マウシの未来のため、クーランと協力しよう。			弱すぎる剣聖							
マウシと話し、ナーマ・アナラを討伐			マウシと話し、ナーマ・アナラを討伐			弱すぎる剣聖							
マウシと話す			マウシと話す			弱すぎる剣聖							
マウシと再度話す			マウシと再度話す			弱すぎる剣聖							
旅人さん、修行に付き合ってくれるのかい？恩に着るよ、ありがとう！それで……ええっと、名前を教えてくれるかい？			旅人さん、修行に付き合ってくれるのかい？恩に着るよ、ありがとう！それで……ええっと、名前を教えてくれるかい？			弱すぎる剣聖							
それじゃ、Forenameさん、さっそくだけど、実際に戦ってみてくれないか？君の戦う姿を見て、戦闘のコツを学びたいんだ。			それじゃ、Forenameさん、さっそくだけど、実際に戦ってみてくれないか？君の戦う姿を見て、戦闘のコツを学びたいんだ。			弱すぎる剣聖							
今の俺に足りないものに、気づけるかもしれないからね。戦う相手は、砂漠にいる火の精にしてもらおうかな。おびき寄せておくから、外で落ち合おう！			今の俺に足りないものに、気づけるかもしれないからね。戦う相手は、砂漠にいる火の精にしてもらおうかな。おびき寄せておくから、外で落ち合おう！			弱すぎる剣聖							
突き当りに、食べ残しの家畜の脂身をばら撒いておいたよ。よく燃える脂は、火の精である、「ナーマ・アナラ」の好物でね……。			突き当りに、食べ残しの家畜の脂身をばら撒いておいたよ。よく燃える脂は、火の精である、「ナーマ・アナラ」の好物でね……。			弱すぎる剣聖							
俺はここで、見学させてもらうよ。さあ、さっそくのお出ましのようだ、倒してくれ！			俺はここで、見学させてもらうよ。さあ、さっそくのお出ましのようだ、倒してくれ！			弱すぎる剣聖							
なるほど、なるほど……。流儀は違えど、間合いの取り方や、敵との呼吸の合わせ方、いろいろと参考になったよ、ありがとう。			なるほど、なるほど……。流儀は違えど、間合いの取り方や、敵との呼吸の合わせ方、いろいろと参考になったよ、ありがとう。			弱すぎる剣聖							
よし、学んだことは、さっそく実践しないとな！そろそろ、ドタール・カーで訓練試合の時間だから、久しぶりに参加してくるよ！			よし、学んだことは、さっそく実践しないとな！そろそろ、ドタール・カーで訓練試合の時間だから、久しぶりに参加してくるよ！			弱すぎる剣聖							
いたたた……Forenameさん……。ごめん、ご覧のとおり、あっさりと負けちまったよ……。これじゃあ誰も、俺が「七剣」だなんて思ってくれないよな……。			いたたた……Forenameさん……。ごめん、ご覧のとおり、あっさりと負けちまったよ……。これじゃあ誰も、俺が「七剣」だなんて思ってくれないよな……。			弱すぎる剣聖							
(-ドタール族の女-)まさか、「七剣」マウシが、こうもあっさり負けるとはね……。			(-ドタール族の女-)まさか、「七剣」マウシが、こうもあっさり負けるとはね……。			弱すぎる剣聖							
(-ドタール族の男-)……そ、そうか！「七剣」マウシは、あまりに強すぎるから、あえて負けて、相手に自信をつけさせてやったんだな！？			(-ドタール族の男-)……そ、そうか！「七剣」マウシは、あまりに強すぎるから、あえて負けて、相手に自信をつけさせてやったんだな！？			弱すぎる剣聖							
(-ドタール族の戦士-)うーむ、格下相手に優しくしたいのはわかるが、今度は手加減せず、戦ってくれよ！そうじゃないと、訓練の意味がないからな！			(-ドタール族の戦士-)うーむ、格下相手に優しくしたいのはわかるが、今度は手加減せず、戦ってくれよ！そうじゃないと、訓練の意味がないからな！			弱すぎる剣聖							
あんたら、マウシのこと全然わかってない！こいつは本当に弱いんだよ！それなのに、みんな圧力ばっかりかけて……。			あんたら、マウシのこと全然わかってない！こいつは本当に弱いんだよ！それなのに、みんな圧力ばっかりかけて……。			弱すぎる剣聖							
……あんたは、こいつの知り合い？私の名はクーラン、マウシとは幼馴染でね。真の実力は、よく知ってるつもりさ……。			……あんたは、こいつの知り合い？私の名はクーラン、マウシとは幼馴染でね。真の実力は、よく知ってるつもりさ……。			弱すぎる剣聖							
あんたも、マウシが本当は弱いってこと、聞いてるんだろ？それならさ、私の手伝いをしてくれないか。こいつの将来、どうにか良くしてやりたいんだよ……。			あんたも、マウシが本当は弱いってこと、聞いてるんだろ？それならさ、私の手伝いをしてくれないか。こいつの将来、どうにか良くしてやりたいんだよ……。			弱すぎる剣聖							
ドタール・カーのクーランは、行きたい場所があるようだ。			ドタール・カーのクーランは、行きたい場所があるようだ。			「七剣」マウシの真実							
クーランと話した。クーランからマウシの前代を、百一の啓示にいるシャーマンに視てもらおうと提案を受けた。百一の啓示の「イバクハ」と話そう。			クーランと話した。クーランからマウシの前代を、百一の啓示にいるシャーマンに視てもらおうと提案を受けた。百一の啓示の「イバクハ」と話そう。			「七剣」マウシの真実							
イバクハと話した。イバクハはマウシの悩みを見抜いたが、前代については視えないらしい。「今を受けいれる」という言葉を聞き、マウシは思うところがあるようだ。百一の啓示の「マウシ」と話そう。			イバクハと話した。イバクハはマウシの悩みを見抜いたが、前代については視えないらしい。「今を受けいれる」という言葉を聞き、マウシは思うところがあるようだ。百一の啓示の「マウシ」と話そう。			「七剣」マウシの真実							
マウシと話した。マウシは、自分が「七剣」マウシではないこと、剣術ではなく格闘術を究めたいことを、一族へ伝えることにしたそうだ。クーランの助言により、マウシは格闘の腕を示すため、北東にいるマタンガを倒すことになった。ナーマ砂漠北端の「マウシ」と再度話そう。			マウシと話した。マウシは、自分が「七剣」マウシではないこと、剣術ではなく格闘術を究めたいことを、一族へ伝えることにしたそうだ。クーランの助言により、マウシは格闘の腕を示すため、北東にいるマタンガを倒すことになった。ナーマ砂漠北端の「マウシ」と再度話そう。			「七剣」マウシの真実							
マウシと話した。マウシがひとりでマタンガに立ち向かう間、邪魔が入らないように見張っていてほしいと頼まれた。風止めの大岩周辺の「指定地点」で見渡し、敵が現れたら討伐しよう。			マウシと話した。マウシがひとりでマタンガに立ち向かう間、邪魔が入らないように見張っていてほしいと頼まれた。風止めの大岩周辺の「指定地点」で見渡し、敵が現れたら討伐しよう。			「七剣」マウシの真実							
辺りを見渡した。風止めの大岩周辺の「指定地点」で再度見渡し、敵が現れたら討伐しよう。			辺りを見渡した。風止めの大岩周辺の「指定地点」で再度見渡し、敵が現れたら討伐しよう。			「七剣」マウシの真実							
辺りを見渡し、敵を討伐した。マウシはマタンガを倒したようだ。ウヤギルの古巣穴の「マウシ」と話そう。			辺りを見渡し、敵を討伐した。マウシはマタンガを倒したようだ。ウヤギルの古巣穴の「マウシ」と話そう。			「七剣」マウシの真実							
マウシと話した。マウシから、先に戻ってクーランへ成功を伝えてほしいと頼まれた。ドタール・カーの「クーラン」と話そう。			マウシと話した。マウシから、先に戻ってクーランへ成功を伝えてほしいと頼まれた。ドタール・カーの「クーラン」と話そう。			「七剣」マウシの真実							
ドタール・カーのクーランと話した。マウシは、一族の人々に、決死の覚悟で格闘術を究めたいことなどを伝えた。しかし、どうやら歴代のマウシは移り気で、前代の武術とは違う才能が芽吹くのはままあることらしい。集落の人々は、格闘の才を見出したマウシのことを笑って受け入れた。拍子抜けしている、ドタール・カーの「マウシ」と話そう。			ドタール・カーのクーランと話した。マウシは、一族の人々に、決死の覚悟で格闘術を究めたいことなどを伝えた。しかし、どうやら歴代のマウシは移り気で、前代の武術とは違う才能が芽吹くのはままあることらしい。集落の人々は、格闘の才を見出したマウシのことを笑って受け入れた。拍子抜けしている、ドタール・カーの「マウシ」と話そう。			「七剣」マウシの真実							
マウシと話した。予想外の結果となってしまったが、マウシにとって新たな道が拓けたのは確かだと、冒険者に感謝した。今までのぶんも含めて修行するというマウシに負けないよう、冒険者も鍛錬に励もう。			マウシと話した。予想外の結果となってしまったが、マウシにとって新たな道が拓けたのは確かだと、冒険者に感謝した。今までのぶんも含めて修行するというマウシに負けないよう、冒険者も鍛錬に励もう。			「七剣」マウシの真実							
イバクハと話す			イバクハと話す			「七剣」マウシの真実							
マウシと話す			マウシと話す			「七剣」マウシの真実							
マウシと再度話す			マウシと再度話す			「七剣」マウシの真実							
指定地点で見渡し、敵が現れたら討伐			指定地点で見渡し、敵が現れたら討伐			「七剣」マウシの真実							
2箇所目の指定地点で見渡し、敵が現れたら討伐			2箇所目の指定地点で見渡し、敵が現れたら討伐			「七剣」マウシの真実							
マウシと話す			マウシと話す			「七剣」マウシの真実							
クーランと話す			クーランと話す			「七剣」マウシの真実							
マウシと話す			マウシと話す			「七剣」マウシの真実							
