裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
以前服を仕立てた「ワワルッカ」が、裁縫師ギルドに服を注文してきたそうだ。レドレント・ローズの代わりに引き受けよう。まずは「採掘師ギルド」付近で「ワワルッカ」から詳しい注文内容をきこう。			以前服を仕立てた「ワワルッカ」が、裁縫師ギルドに服を注文してきたそうだ。レドレント・ローズの代わりに引き受けよう。まずは「採掘師ギルド」付近で「ワワルッカ」から詳しい注文内容をきこう。			恋する男の一大決心							
ワワルッカが服を注文した理由は、恋をしたからだった。彼の愛の告白のため、ベルベティーンゲイターを作り、「裁縫師ギルド」の「レドレント・ローズ」に納品しよう。			ワワルッカが服を注文した理由は、恋をしたからだった。彼の愛の告白のため、ベルベティーンゲイターを作り、「裁縫師ギルド」の「レドレント・ローズ」に納品しよう。			恋する男の一大決心							
冒険者の作ったベルベティーンゲイターは気に入ってもらえたようだ。しかし、ワワルッカ自身の用意した他の服が、とんでもない取り合わせだった。意気揚々と出ていったが……お嬢様ココモへの告白は成功するのだろうか。※裁縫師のレベルが35以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			冒険者の作ったベルベティーンゲイターは気に入ってもらえたようだ。しかし、ワワルッカ自身の用意した他の服が、とんでもない取り合わせだった。意気揚々と出ていったが……お嬢様ココモへの告白は成功するのだろうか。※裁縫師のレベルが35以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			恋する男の一大決心							
ワワルッカと話す			ワワルッカと話す			恋する男の一大決心							
レドレント・ローズにベルベティーンゲイターを納品			レドレント・ローズにベルベティーンゲイターを納品			恋する男の一大決心							
何よ私はそんな依頼うけないからねっ！あ、あらら……Forenameちゃんあなただったの？			何よ私はそんな依頼うけないからねっ！あ、あらら……Forenameちゃんあなただったの？			恋する男の一大決心							
ごめんなさいね、ちょっと厄介なお願いをされて気が立ってたの。			ごめんなさいね、ちょっと厄介なお願いをされて気が立ってたの。			恋する男の一大決心							
そうだわ、あなたに縁のない話でもないしこの依頼はあなたにお願いしましょ。			そうだわ、あなたに縁のない話でもないしこの依頼はあなたにお願いしましょ。			恋する男の一大決心							
「ワワルッカ」ちゃんを覚えてる？前に、スカーフとスロップを納品した採掘師よ。あの子が服を作ってほしいって言ってるの。			「ワワルッカ」ちゃんを覚えてる？前に、スカーフとスロップを納品した採掘師よ。あの子が服を作ってほしいって言ってるの。			恋する男の一大決心							
「採掘師ギルド」付近にいると思うから行って話だけでもきいてあげてちょうだい。			「採掘師ギルド」付近にいると思うから行って話だけでもきいてあげてちょうだい。			恋する男の一大決心							
ああ、あんたか、俺の依頼を引き受けてくれるんだな！早速だがベルベティーンゲイターを作ってくれ。			ああ、あんたか、俺の依頼を引き受けてくれるんだな！早速だがベルベティーンゲイターを作ってくれ。			恋する男の一大決心							
へへっ、実はさ、好きなコができたんだ。しかも一目惚れってやつでさ……。			へへっ、実はさ、好きなコができたんだ。しかも一目惚れってやつでさ……。			恋する男の一大決心							
とにかく彼女と話したい、って思ったんだけどほら、俺ってずっと作業服しか持ってなかっただろ？こんなぼろぼろの格好じゃ前に立つこともできないからさ。			とにかく彼女と話したい、って思ったんだけどほら、俺ってずっと作業服しか持ってなかっただろ？こんなぼろぼろの格好じゃ前に立つこともできないからさ。			恋する男の一大決心							
「ベルベティーンゲイター」をひとつ頼む。今までの稼ぎをコツコツためてきたから金はちゃんと支払えるぜ。			「ベルベティーンゲイター」をひとつ頼む。今までの稼ぎをコツコツためてきたから金はちゃんと支払えるぜ。			恋する男の一大決心							
な、頼むよ！俺の人生がかかってるんだ！			な、頼むよ！俺の人生がかかってるんだ！			恋する男の一大決心							
上質な「ベルベティーンゲイター」でしょ？ワワルッカちゃんから話はきいてるわ。ちゃっちゃと納品してちょうだい。			上質な「ベルベティーンゲイター」でしょ？ワワルッカちゃんから話はきいてるわ。ちゃっちゃと納品してちょうだい。			恋する男の一大決心							
「ベルベティーンゲイター」をひとつ頼む。俺の人生がかかってるんだ！な、頼むよ！			「ベルベティーンゲイター」をひとつ頼む。俺の人生がかかってるんだ！な、頼むよ！			恋する男の一大決心							
早速ワワルッカちゃんにベルベティーンゲイターをはいてもらいましょうか。			早速ワワルッカちゃんにベルベティーンゲイターをはいてもらいましょうか。			恋する男の一大決心							
いやあ、こんな華奢な靴はいたの初めてだよ。はいてみると案外歩きやすくて気持ちいいもんだな。採掘現場ではいたら一発で破けそうで怖いけど！			いやあ、こんな華奢な靴はいたの初めてだよ。はいてみると案外歩きやすくて気持ちいいもんだな。採掘現場ではいたら一発で破けそうで怖いけど！			恋する男の一大決心							
……ワワルッカちゃん？その上着はどうしたの！？			……ワワルッカちゃん？その上着はどうしたの！？			恋する男の一大決心							
ああ、死んだオヤジの一張羅引っ張りだしてみた！身だしなみも整えたし、ココモさんに告白してくるぜ！作ってくれてありがとうな！			ああ、死んだオヤジの一張羅引っ張りだしてみた！身だしなみも整えたし、ココモさんに告白してくるぜ！作ってくれてありがとうな！			恋する男の一大決心							
一張羅って……ワワルッカちゃん、ちょっと待ってえええええ！			一張羅って……ワワルッカちゃん、ちょっと待ってえええええ！			恋する男の一大決心							
どうしてそこでハーネスを合わせるのよ……あんなに上品なゲイターなのに……！			どうしてそこでハーネスを合わせるのよ……あんなに上品なゲイターなのに……！			恋する男の一大決心							
はあ……ご苦労だったわね。あの子、宝石商の娘のココモちゃんに一目惚れしちゃったみたいなのよ。			はあ……ご苦労だったわね。あの子、宝石商の娘のココモちゃんに一目惚れしちゃったみたいなのよ。			恋する男の一大決心							
好きな子に告白するために身だしなみを整えようって思ったのはいいんだけど……			好きな子に告白するために身だしなみを整えようって思ったのはいいんだけど……			恋する男の一大決心							
服装のことなんて全然わかってないのにむやみやたらと色々な服を着るせいで変な格好になっちゃっててねえ。			服装のことなんて全然わかってないのにむやみやたらと色々な服を着るせいで変な格好になっちゃっててねえ。			恋する男の一大決心							
……あれはフラれるわね。っていうか、そもそも店に入れてもらえるのかしら。			……あれはフラれるわね。っていうか、そもそも店に入れてもらえるのかしら。			恋する男の一大決心							
裁縫師ギルドのレドレント・ローズはとても忙しそうだ。			裁縫師ギルドのレドレント・ローズはとても忙しそうだ。			彼女のためのドレス							
レドレント・ローズは、宝石商からドレスの製作を依頼されている。しかし、裁縫師ギルドの職人は皆忙しいため困っているようだ。彼の仕事を手伝うため、まずは「ゴールドコート」に向かい、注文主の宝石商「ババワイ」とその娘「ココモ」から、どんな布地がいいか聞き出そう。			レドレント・ローズは、宝石商からドレスの製作を依頼されている。しかし、裁縫師ギルドの職人は皆忙しいため困っているようだ。彼の仕事を手伝うため、まずは「ゴールドコート」に向かい、注文主の宝石商「ババワイ」とその娘「ココモ」から、どんな布地がいいか聞き出そう。			彼女のためのドレス							
ババワイとココモから、布地の希望を聞き出した。「裁縫師ギルド」に戻り、「レドレント・ローズ」と相談しよう。			ババワイとココモから、布地の希望を聞き出した。「裁縫師ギルド」に戻り、「レドレント・ローズ」と相談しよう。			彼女のためのドレス							
ババワイの希望が上品な光沢のあるもの、ということで布地は「別珍」と決まった。レドレント・ローズが型紙を作っている間に作ろう。ただし、ココモはお金持ちのお嬢様なので上質な「別珍」でなければならない。出来上がったら、「裁縫師ギルド」の「レドレント・ローズ」に納品しよう。			ババワイの希望が上品な光沢のあるもの、ということで布地は「別珍」と決まった。レドレント・ローズが型紙を作っている間に作ろう。ただし、ココモはお金持ちのお嬢様なので上質な「別珍」でなければならない。出来上がったら、「裁縫師ギルド」の「レドレント・ローズ」に納品しよう。			彼女のためのドレス							
レドレント・ローズは冒険者の納品した「別珍」の美しさに大喜びした。裁縫師のプライドにかけても、よいドレスを作るそうだ。※裁縫師のレベルが30以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			レドレント・ローズは冒険者の納品した「別珍」の美しさに大喜びした。裁縫師のプライドにかけても、よいドレスを作るそうだ。※裁縫師のレベルが30以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			彼女のためのドレス							
ココモと話す			ココモと話す			彼女のためのドレス							
ババワイと話す			ババワイと話す			彼女のためのドレス							
レドレント・ローズと話す			レドレント・ローズと話す			彼女のためのドレス							
レドレント・ローズに別珍を納品			レドレント・ローズに別珍を納品			彼女のためのドレス							
うーん……下手な職人には任せられないわよねえ……あらやだ！　あなた、ギルドに来てたの？！			うーん……下手な職人には任せられないわよねえ……あらやだ！　あなた、ギルドに来てたの？！			彼女のためのドレス							
いやーん、私ってば運がいいわ！お願い、仕事を手伝って！			いやーん、私ってば運がいいわ！お願い、仕事を手伝って！			彼女のためのドレス							
お得意様の宝石商からドレスの注文を受けたんだけど、丁度他の依頼の対応で職人がみんな忙しくってね。私ひとりじゃちょっと手が回らないの。			お得意様の宝石商からドレスの注文を受けたんだけど、丁度他の依頼の対応で職人がみんな忙しくってね。私ひとりじゃちょっと手が回らないの。			彼女のためのドレス							
まずはどんな布地がいいか、依頼者の「ババワイ」さんから聞いてきて！今なら「ゴールドコート」にいるはずよ。			まずはどんな布地がいいか、依頼者の「ババワイ」さんから聞いてきて！今なら「ゴールドコート」にいるはずよ。			彼女のためのドレス							
一緒にいるお嬢様の「ココモ」ちゃんの希望も聞いてね、ドレスを着るのはババワイさんじゃなくて彼女だから。			一緒にいるお嬢様の「ココモ」ちゃんの希望も聞いてね、ドレスを着るのはババワイさんじゃなくて彼女だから。			彼女のためのドレス							
はい、何でしょうか？裁縫師ギルドの職人さんですか、お父様ったら、またドレスを注文したのね。			はい、何でしょうか？裁縫師ギルドの職人さんですか、お父様ったら、またドレスを注文したのね。			彼女のためのドレス							
私はいいって言ったのに……。ドレス布地は何でもかまいません。どうせ……お父様の満足のために作るものですから。			私はいいって言ったのに……。ドレス布地は何でもかまいません。どうせ……お父様の満足のために作るものですから。			彼女のためのドレス							
ワシがババワイだが、何の用だ？レドレント・ローズのところの職人か、そうそう、娘のためのドレスを作ってほしいのだ。			ワシがババワイだが、何の用だ？レドレント・ローズのところの職人か、そうそう、娘のためのドレスを作ってほしいのだ。			彼女のためのドレス							
宝石商の娘がみすぼらしい格好をしていては客に信用してもらえんからな。上質なものを頼むよ。			宝石商の娘がみすぼらしい格好をしていては客に信用してもらえんからな。上質なものを頼むよ。			彼女のためのドレス							
そうだな……上品な光沢のあるものがいい。だが下品にテカテカしていたら承知せんぞ。商人にとって見た目は重要なのだ。			そうだな……上品な光沢のあるものがいい。だが下品にテカテカしていたら承知せんぞ。商人にとって見た目は重要なのだ。			彼女のためのドレス							
ココモさん……。			ココモさん……。			彼女のためのドレス							
ババワイさんのご注文はどんな感じだった？……ふむふむ、上品な光沢のあるものね。			ババワイさんのご注文はどんな感じだった？……ふむふむ、上品な光沢のあるものね。			彼女のためのドレス							
ココモちゃんのご希望は？ええっ、何でも構わないって？！いつもながら欲のない子ねえ……。			ココモちゃんのご希望は？ええっ、何でも構わないって？！いつもながら欲のない子ねえ……。			彼女のためのドレス							
光沢のある布地というと絹のサテンだけど、上品に仕上げるならしっとり落ち着いた……そうだわ、「別珍」がいいわ！			光沢のある布地というと絹のサテンだけど、上品に仕上げるならしっとり落ち着いた……そうだわ、「別珍」がいいわ！			彼女のためのドレス							
「別珍」はわかる？綿糸と露糸を、横ビロード織りした布よ。			「別珍」はわかる？綿糸と露糸を、横ビロード織りした布よ。			彼女のためのドレス							
表面を毛羽立たせた加工をすることによって、ふつうの綿布と違った、柔らかな手触りと光沢をもたせているの。			表面を毛羽立たせた加工をすることによって、ふつうの綿布と違った、柔らかな手触りと光沢をもたせているの。			彼女のためのドレス							
早速、私が型紙を起こすから、あなたはその間に布地を作ってくれる？			早速、私が型紙を起こすから、あなたはその間に布地を作ってくれる？			彼女のためのドレス							
でもただの「別珍」じゃダメよ。ココモさんは大金持ちのお嬢様なんだから、上質な「別珍」じゃなきゃ釣り合いがとれないわ。			でもただの「別珍」じゃダメよ。ココモさんは大金持ちのお嬢様なんだから、上質な「別珍」じゃなきゃ釣り合いがとれないわ。			彼女のためのドレス							
あなたの腕前ならできるって信じてるわよ！それじゃあお願いね！			あなたの腕前ならできるって信じてるわよ！それじゃあお願いね！			彼女のためのドレス							
「別珍」はできた？上質な「別珍」じゃないとダメよ、ココモさんは大金持ちのお嬢様なんだから。			「別珍」はできた？上質な「別珍」じゃないとダメよ、ココモさんは大金持ちのお嬢様なんだから。			彼女のためのドレス							
まあ！　……なんて素敵！！こんなにキレイな別珍を見たのは初めてよ。しっとりと落ち着いた光沢に引きこまれそう。			まあ！　……なんて素敵！！こんなにキレイな別珍を見たのは初めてよ。しっとりと落ち着いた光沢に引きこまれそう。			彼女のためのドレス							
それにこの柔らかい手触り……ああ……布を広げただけでうっとりしちゃう。			それにこの柔らかい手触り……ああ……布を広げただけでうっとりしちゃう。			彼女のためのドレス							
布地の製作ご苦労さま、この先の裁断と縫製は私の仕事よ。			布地の製作ご苦労さま、この先の裁断と縫製は私の仕事よ。			彼女のためのドレス							
まかせておいて！私のプライドにかけても、布地に負けない素敵なドレスを仕上げるわ。			まかせておいて！私のプライドにかけても、布地に負けない素敵なドレスを仕上げるわ。			彼女のためのドレス							
裁縫師の作るお洋服は、身に着けるお客ありきのものよ。			裁縫師の作るお洋服は、身に着けるお客ありきのものよ。			彼女のためのドレス							
誰かにおしゃれな装備を作ってあげたいと思ったら、相手をよく見て、どんな素材のどんな服がいいか見立てるセンスのほうも磨いていくのよ。			誰かにおしゃれな装備を作ってあげたいと思ったら、相手をよく見て、どんな素材のどんな服がいいか見立てるセンスのほうも磨いていくのよ。			彼女のためのドレス							
裁縫師さん、よろしくお願いします。ドレス布地は何でもかまいません。どうせ……お父様の満足のために作るものですから。			裁縫師さん、よろしくお願いします。ドレス布地は何でもかまいません。どうせ……お父様の満足のために作るものですから。			彼女のためのドレス							
娘のドレスは上品な光沢のあるものがいい。だが下品にテカテカしていたら承知せんぞ。			娘のドレスは上品な光沢のあるものがいい。だが下品にテカテカしていたら承知せんぞ。			彼女のためのドレス							
裁縫師ギルドのレドレント・ローズは冒険者に仕事を与えたいようだ。			裁縫師ギルドのレドレント・ローズは冒険者に仕事を与えたいようだ。			裁縫師のお仕事							
冒険者にぴったりの仕事があるという。まずは、「サンシルク」に行き、注文主の「ママジャル」から詳しい注文内容を聞こう。			冒険者にぴったりの仕事があるという。まずは、「サンシルク」に行き、注文主の「ママジャル」から詳しい注文内容を聞こう。			裁縫師のお仕事							
ママジャルが欲しいのは「マテリア」という付加価値のついたアクトンのようだ。一旦「裁縫師ギルド」に戻り「レドレント・ローズ」と相談しよう。			ママジャルが欲しいのは「マテリア」という付加価値のついたアクトンのようだ。一旦「裁縫師ギルド」に戻り「レドレント・ローズ」と相談しよう。			裁縫師のお仕事							
レドレント・ローズと相談した。ママジャルは付加価値のついた服が欲しいそうだ。どんな属性でもよいので「マテリア」のついた「コットンアクトン」を作って「裁縫師ギルド」の「レドレント・ローズ」に納品しよう。マテリアについてわからない場合は、中央ザナラーンの「狼煙の丘」で詳しい職人にきいてみよう。材料となる素材は、自力で入手するか、「サファイアアベニュー国際市場」のマーケットボードで探そう。			レドレント・ローズと相談した。ママジャルは付加価値のついた服が欲しいそうだ。どんな属性でもよいので「マテリア」のついた「コットンアクトン」を作って「裁縫師ギルド」の「レドレント・ローズ」に納品しよう。マテリアについてわからない場合は、中央ザナラーンの「狼煙の丘」で詳しい職人にきいてみよう。材料となる素材は、自力で入手するか、「サファイアアベニュー国際市場」のマーケットボードで探そう。			裁縫師のお仕事							
冒険者の納品したコットンアクトンはママジャルのお気に召したようだ。お客の欠点をうまく覆い隠して、魅力的な紳士に見せるのが洋服の役目だとレドレント・ローズは語る。ママジャルの修行ははかどるのだろうか……。※裁縫師のレベルが25以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			冒険者の納品したコットンアクトンはママジャルのお気に召したようだ。お客の欠点をうまく覆い隠して、魅力的な紳士に見せるのが洋服の役目だとレドレント・ローズは語る。ママジャルの修行ははかどるのだろうか……。※裁縫師のレベルが25以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			裁縫師のお仕事							
サンシルクのママジャルと話す			サンシルクのママジャルと話す			裁縫師のお仕事							
裁縫師ギルドのレドレント・ローズと話す			裁縫師ギルドのレドレント・ローズと話す			裁縫師のお仕事							
レドレント・ローズにマテリア付きのコットンアクトンを渡す			レドレント・ローズにマテリア付きのコットンアクトンを渡す			裁縫師のお仕事							
Forenameちゃん、来たわね！今日はとってもお勉強になる依頼があるの。			Forenameちゃん、来たわね！今日はとってもお勉強になる依頼があるの。			裁縫師のお仕事							
依頼者はお金持ちの御令息よ。普通のお洋服に飽きたみたいで、付加価値のある服が欲しいらしいわ。			依頼者はお金持ちの御令息よ。普通のお洋服に飽きたみたいで、付加価値のある服が欲しいらしいわ。			裁縫師のお仕事							
ちょっとクセのあるお客様だけど、腕をあげてきたあなたなら大丈夫！			ちょっとクセのあるお客様だけど、腕をあげてきたあなたなら大丈夫！			裁縫師のお仕事							
お客様の名前は「ママジャル」、「サンシルク」のお店の近くにいるはずよ。まずは細かい注文を本人からきいてちょうだい。			お客様の名前は「ママジャル」、「サンシルク」のお店の近くにいるはずよ。まずは細かい注文を本人からきいてちょうだい。			裁縫師のお仕事							
ママジャルはオレだけど、お前みたいな貧乏人がオレに何の用だ？オレは忙しいんだ、さっさと話せ。			ママジャルはオレだけど、お前みたいな貧乏人がオレに何の用だ？オレは忙しいんだ、さっさと話せ。			裁縫師のお仕事							
……ああ、裁縫師ギルドの職人か、オレの服を作れることを光栄に思うんだな。			……ああ、裁縫師ギルドの職人か、オレの服を作れることを光栄に思うんだな。			裁縫師のお仕事							
才能あふれるオレには、剣術の稽古程度にも相応の品質の装備が必要なんだ。オレに釣り合う「コットンアクトン」をひとつ作れ。			才能あふれるオレには、剣術の稽古程度にも相応の品質の装備が必要なんだ。オレに釣り合う「コットンアクトン」をひとつ作れ。			裁縫師のお仕事							
言っておくが、ただのアクトンではダメだ、庶民の装備と一線を画すため「マテリア」をつけて作れ。マテリアくらいないと、装備がオレの才能に吊り合わん。			言っておくが、ただのアクトンではダメだ、庶民の装備と一線を画すため「マテリア」をつけて作れ。マテリアくらいないと、装備がオレの才能に吊り合わん。			裁縫師のお仕事							
わかったら「裁縫師ギルド」に戻って「レドレント・ローズ」にさっさと作るよう伝えろ。			わかったら「裁縫師ギルド」に戻って「レドレント・ローズ」にさっさと作るよう伝えろ。			裁縫師のお仕事							
オレはお前のような貧乏人と違って忙しい身なんだからな。			オレはお前のような貧乏人と違って忙しい身なんだからな。			裁縫師のお仕事							
おかえりなさい、ママジャルぼっちゃまのご注文は何だった？「マテリア」のついた「コットンアクトン」ね。			おかえりなさい、ママジャルぼっちゃまのご注文は何だった？「マテリア」のついた「コットンアクトン」ね。			裁縫師のお仕事							
ただ単純に人と違ったものが欲しいだけだからマテリアの効果は何でもいいみたいね。			ただ単純に人と違ったものが欲しいだけだからマテリアの効果は何でもいいみたいね。			裁縫師のお仕事							
マテリアを使ったことはある？もし、マテリアについてわからないことがあったら中央ザナラーンに行ってみるといいわ。			マテリアを使ったことはある？もし、マテリアについてわからないことがあったら中央ザナラーンに行ってみるといいわ。			裁縫師のお仕事							
「狼煙の丘」に、とっても詳しい職人が住んでるの。彼らに聞けば、マテリアの使い方がわかるはずよ。			「狼煙の丘」に、とっても詳しい職人が住んでるの。彼らに聞けば、マテリアの使い方がわかるはずよ。			裁縫師のお仕事							
そうそう、マテリア以外の材料にも注意が必要ね。ギギマから買えないものもあるから、調達がちょっと大変よ。			そうそう、マテリア以外の材料にも注意が必要ね。ギギマから買えないものもあるから、調達がちょっと大変よ。			裁縫師のお仕事							
サファイアアベニュー国際市場の、「マーケットボード」を利用するのもひとつの手かしら。ウルダハ以外で採集された素材も売られているの。			サファイアアベニュー国際市場の、「マーケットボード」を利用するのもひとつの手かしら。ウルダハ以外で採集された素材も売られているの。			裁縫師のお仕事							
さあ、あなたの手で付加価値のたっぷりついた「コットンアクトン」を作ってらっしゃい。			さあ、あなたの手で付加価値のたっぷりついた「コットンアクトン」を作ってらっしゃい。			裁縫師のお仕事							
オレのためにさっさと「コットンアクトン」を作れ！「マテリア」がついていないと受け取らないからな！			オレのためにさっさと「コットンアクトン」を作れ！「マテリア」がついていないと受け取らないからな！			裁縫師のお仕事							
どう？　「マテリア」のついた「コットンアクトン」はできた？			どう？　「マテリア」のついた「コットンアクトン」はできた？			裁縫師のお仕事							
早速ママジャルぼっちゃまに着てもらいましょうか。			早速ママジャルぼっちゃまに着てもらいましょうか。			裁縫師のお仕事							
ふむ……悪くない出来だな。もっとも、才能あふれるオレには修行着程度にしかならんが。			ふむ……悪くない出来だな。もっとも、才能あふれるオレには修行着程度にしかならんが。			裁縫師のお仕事							
代金はあとで使用人に届けさせる。これはもらっていくぞ。			代金はあとで使用人に届けさせる。これはもらっていくぞ。			裁縫師のお仕事							
これであなたのお仕事は完了ね。ふふ……ちょっと大変だったかしら。			これであなたのお仕事は完了ね。ふふ……ちょっと大変だったかしら。			裁縫師のお仕事							
でもね、裁縫師にとっては欠点が大きい依頼者ほどおもしろいお客なのよ。			でもね、裁縫師にとっては欠点が大きい依頼者ほどおもしろいお客なのよ。			裁縫師のお仕事							
彼らの欠点をうまく覆い隠して魅力的な紳士に見せるのがお洋服の役目なの。			彼らの欠点をうまく覆い隠して魅力的な紳士に見せるのがお洋服の役目なの。			裁縫師のお仕事							
あなたの作った服を着たママジャルぼっちゃまはすご技を使う剣士に見えたわよ。……修行がはかどるといいんだけど。			あなたの作った服を着たママジャルぼっちゃまはすご技を使う剣士に見えたわよ。……修行がはかどるといいんだけど。			裁縫師のお仕事							
裁縫師ギルドのレドレント・ローズは冒険者に仕事を与えたいようだ。			裁縫師ギルドのレドレント・ローズは冒険者に仕事を与えたいようだ。			大事なお得意様							
レドレント・ローズは、裁縫師ギルドのお得意様にプレゼントをしたいようだ。彼の代わりに、プレゼントする洋服を作ろう。まずは「採掘師ギルド」へ行き、「ワワルッカ」に欲しいものはないか聞いてみよう。			レドレント・ローズは、裁縫師ギルドのお得意様にプレゼントをしたいようだ。彼の代わりに、プレゼントする洋服を作ろう。まずは「採掘師ギルド」へ行き、「ワワルッカ」に欲しいものはないか聞いてみよう。			大事なお得意様							
ワワルッカは「コットンスカーフ」と「コットンシェパードスロップ」が欲しいそうだ。これらを調達し、裁縫師ギルドの「レドレント・ローズ」に渡そう。			ワワルッカは「コットンスカーフ」と「コットンシェパードスロップ」が欲しいそうだ。これらを調達し、裁縫師ギルドの「レドレント・ローズ」に渡そう。			大事なお得意様							
服をワワルッカにプレゼントした。丈夫な仕上がりに、満足しているようだ。レドレント・ローズは、彼におしゃれな服も作ってやりたいが、彼は興味がないらしい。※裁縫師のレベルが20以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			服をワワルッカにプレゼントした。丈夫な仕上がりに、満足しているようだ。レドレント・ローズは、彼におしゃれな服も作ってやりたいが、彼は興味がないらしい。※裁縫師のレベルが20以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			大事なお得意様							
ワワルッカと話す			ワワルッカと話す			大事なお得意様							
レドレント・ローズに依頼品を納品			レドレント・ローズに依頼品を納品			大事なお得意様							
いらっしゃい、ちょうどいいところに来たわね。今日はあなたにぴったりの仕事があるの。			いらっしゃい、ちょうどいいところに来たわね。今日はあなたにぴったりの仕事があるの。			大事なお得意様							
いつも裁縫師ギルドに注文をしてくれるお得意様にちょっとしたプレゼントをしたいの。			いつも裁縫師ギルドに注文をしてくれるお得意様にちょっとしたプレゼントをしたいの。			大事なお得意様							
私がお金を出すから、何が欲しいか聞き出して作ってくれない？			私がお金を出すから、何が欲しいか聞き出して作ってくれない？			大事なお得意様							
お得意様の名前は「ワワルッカ」よ。彼は採掘師ギルドのあたりにいると思うわ。大事なお客様だから失礼のないようにしてね。			お得意様の名前は「ワワルッカ」よ。彼は採掘師ギルドのあたりにいると思うわ。大事なお客様だから失礼のないようにしてね。			大事なお得意様							
俺がワワルッカだけど、裁縫師がどうかしたのか？ああ……レドレント・ローズさんのお使いか！			俺がワワルッカだけど、裁縫師がどうかしたのか？ああ……レドレント・ローズさんのお使いか！			大事なお得意様							
実は採掘現場では採掘師がグローブやスカーフを大量に消費するんだ。			実は採掘現場では採掘師がグローブやスカーフを大量に消費するんだ。			大事なお得意様							
俺が面倒を見てる鉱山で必要なものをまとめて裁縫師ギルドに注文してるうちにいつのまにやらお得意さんってことになっててさ。			俺が面倒を見てる鉱山で必要なものをまとめて裁縫師ギルドに注文してるうちにいつのまにやらお得意さんってことになっててさ。			大事なお得意様							
彼が俺にプレゼント？そんなに気を遣わなくてもいいのになあ。			彼が俺にプレゼント？そんなに気を遣わなくてもいいのになあ。			大事なお得意様							
うーん、今欲しいものといったら「コットンシェパードスロップ」と「コットンスカーフ」かな。			うーん、今欲しいものといったら「コットンシェパードスロップ」と「コットンスカーフ」かな。			大事なお得意様							
今使ってるのに穴があいてきちゃったからどうしようかと思ってたところなんだ。とびきり丈夫なやつを頼むぞ！			今使ってるのに穴があいてきちゃったからどうしようかと思ってたところなんだ。とびきり丈夫なやつを頼むぞ！			大事なお得意様							
とびきり丈夫な「コットンシェパードスロップ」と「コットンスカーフ」を頼むぜ。			とびきり丈夫な「コットンシェパードスロップ」と「コットンスカーフ」を頼むぜ。			大事なお得意様							
ワワルッカちゃんのためのお洋服はできた？どうせ、丈夫なものを作って！とか言ってるんでしょうね。			ワワルッカちゃんのためのお洋服はできた？どうせ、丈夫なものを作って！とか言ってるんでしょうね。			大事なお得意様							
「コットンシェパードスロップ」と「コットンスカーフ」ね。			「コットンシェパードスロップ」と「コットンスカーフ」ね。			大事なお得意様							
ワワルッカちゃん、せっかくだから着てみてちょうだい。			ワワルッカちゃん、せっかくだから着てみてちょうだい。			大事なお得意様							
うん、肌触りもいいし、動きやすい。なにより丈夫そうだ。			うん、肌触りもいいし、動きやすい。なにより丈夫そうだ。			大事なお得意様							
おかげで仕事がはかどるよ、ありがとうな。			おかげで仕事がはかどるよ、ありがとうな。			大事なお得意様							
とっても似合ってるわ、ワワルッカちゃん。でも……たまには作業着以外も着てみない？			とっても似合ってるわ、ワワルッカちゃん。でも……たまには作業着以外も着てみない？			大事なお得意様							
ワワルッカちゃんのためなら、とびきりのお洋服を縫ってあげるわよ。			ワワルッカちゃんのためなら、とびきりのお洋服を縫ってあげるわよ。			大事なお得意様							
あっはっは。おしゃれな服を作ったところで、見せる相手がいないんじゃ意味がないだろ。			あっはっは。おしゃれな服を作ったところで、見せる相手がいないんじゃ意味がないだろ。			大事なお得意様							
恋人でもできたらいいなあとは思うけど俺みたいなガサツな男にほれる女なんかいないしな。			恋人でもできたらいいなあとは思うけど俺みたいなガサツな男にほれる女なんかいないしな。			大事なお得意様							
とにかく服、ありがとう。またグローブを注文させてもらうぜ。			とにかく服、ありがとう。またグローブを注文させてもらうぜ。			大事なお得意様							
しょうがない子ねえ。お洋服でワワルッカちゃんの魅力を引き出したら好きにならない女の子なんていないと思うのに。ねえ？			しょうがない子ねえ。お洋服でワワルッカちゃんの魅力を引き出したら好きにならない女の子なんていないと思うのに。ねえ？			大事なお得意様							
裁縫師ギルドのレドレント・ローズは何やらとても困っているようだ。			裁縫師ギルドのレドレント・ローズは何やらとても困っているようだ。			大至急でお願い							
理由はわからないが、レドレント・ローズは「草布」が至急12枚必要なようだ。「草布」は、「草糸」から作ることができる。大急ぎで作り、裁縫師ギルドの「レドレント・ローズ」に納品しよう。			理由はわからないが、レドレント・ローズは「草布」が至急12枚必要なようだ。「草布」は、「草糸」から作ることができる。大急ぎで作り、裁縫師ギルドの「レドレント・ローズ」に納品しよう。			大至急でお願い							
