園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			彼女はダメダメ園芸師							
……お待ちしてました。さあ、対応策について話しましょう！			……お待ちしてました。さあ、対応策について話しましょう！			彼女と菜園の旅路							
よう、冒険者。アンタも来てたのか。			よう、冒険者。アンタも来てたのか。			彼女と菜園の旅路							
これで、関係者全員が集まりましたね。では、ネマトーダの対応策について話しましょう。			これで、関係者全員が集まりましたね。では、ネマトーダの対応策について話しましょう。			彼女と菜園の旅路							
じゃあ、まずは俺からだ。シャーレアンの資料から、対応策をふたつ見つけたぜ。錬金薬と共栄作物が有効だとさ。			じゃあ、まずは俺からだ。シャーレアンの資料から、対応策をふたつ見つけたぜ。錬金薬と共栄作物が有効だとさ。			彼女と菜園の旅路							
錬金薬の方ですが、効果は強力なものの、副作用も強く出るため、これだけに頼るのは危険です。散布し過ぎれば、花粉の運び手など益虫にも害が及ぶでしょう。			錬金薬の方ですが、効果は強力なものの、副作用も強く出るため、これだけに頼るのは危険です。散布し過ぎれば、花粉の運び手など益虫にも害が及ぶでしょう。			彼女と菜園の旅路							
となると、錬金薬と共栄作物の併用が現実的でしょうね。園芸用錬金薬については、既存の知識で対応できそうですが、共栄作物については、少しばかり難しい話があります……。			となると、錬金薬と共栄作物の併用が現実的でしょうね。園芸用錬金薬については、既存の知識で対応できそうですが、共栄作物については、少しばかり難しい話があります……。			彼女と菜園の旅路							
ちょい待ってくれ、質問があるんだが……。その共栄作物ってのは、どういうものなんだ？いまいち、ピンとこなくてな。			ちょい待ってくれ、質問があるんだが……。その共栄作物ってのは、どういうものなんだ？いまいち、ピンとこなくてな。			彼女と菜園の旅路							
簡単に言えば、近くで栽培するとよい効果がある作物です。成長を促進したり、収穫量を増やしたり……あるいは虫による害を防いだり、ですね。			簡単に言えば、近くで栽培するとよい効果がある作物です。成長を促進したり、収穫量を増やしたり……あるいは虫による害を防いだり、ですね。			彼女と菜園の旅路							
資料によると、ラールガースタッフという花が、ネマトーダの害を防ぐそうです。……でも、聖モシャーヌ植物園にも残っていなくて。			資料によると、ラールガースタッフという花が、ネマトーダの害を防ぐそうです。……でも、聖モシャーヌ植物園にも残っていなくて。			彼女と菜園の旅路							
園芸師ギルドでも、取り扱ったことはありません。しかし、自生しているであろう場所なら、予測は付きます。			園芸師ギルドでも、取り扱ったことはありません。しかし、自生しているであろう場所なら、予測は付きます。			彼女と菜園の旅路							
花の名の由来である壊神ラールガーは、アラミゴの守護神。壊神信仰が盛んだったギラバニアの地に赴けば、ラールガースタッフを見つけられるかもしれません。			花の名の由来である壊神ラールガーは、アラミゴの守護神。壊神信仰が盛んだったギラバニアの地に赴けば、ラールガースタッフを見つけられるかもしれません。			彼女と菜園の旅路							
なるほど、それなら冒険者に依頼するしかねえな。ギラバニアへ出向いて、ネマトーダ対応の鍵になる、ラールガースタッフを探してきてくれねえか？			なるほど、それなら冒険者に依頼するしかねえな。ギラバニアへ出向いて、ネマトーダ対応の鍵になる、ラールガースタッフを探してきてくれねえか？			彼女と菜園の旅路							
あ、あの！ダメダメなウチですけど、ラールガースタッフ探しを手伝わせてください！			あ、あの！ダメダメなウチですけど、ラールガースタッフ探しを手伝わせてください！			彼女と菜園の旅路							
おいおい、待てよエドギス！ギラバニアでの戦いは終わったって聞いたが、治安が回復したとは言いづらい状況だぜ？			おいおい、待てよエドギス！ギラバニアでの戦いは終わったって聞いたが、治安が回復したとは言いづらい状況だぜ？			彼女と菜園の旅路							
おいおい、待てよエドギス！ギラバニアじゃ帝国との戦いの真っ最中だ。戦場に飛び込むわけじゃねえが、ヤバイのはわかってるのか？			おいおい、待てよエドギス！ギラバニアじゃ帝国との戦いの真っ最中だ。戦場に飛び込むわけじゃねえが、ヤバイのはわかってるのか？			彼女と菜園の旅路							
そんな土地を飛びまわる冒険者についてくのは、無茶を通り越して無謀ってもんだ。足手まといにしか、ならねえよ。			そんな土地を飛びまわる冒険者についてくのは、無茶を通り越して無謀ってもんだ。足手まといにしか、ならねえよ。			彼女と菜園の旅路							
それでも、手伝いたいんです！ダメダメなウチなりに、やらなきゃいけないんです！せめて情報収集だけでも、やらせてください！			それでも、手伝いたいんです！ダメダメなウチなりに、やらなきゃいけないんです！せめて情報収集だけでも、やらせてください！			彼女と菜園の旅路							
……私からもお願いします、Forename。彼女の熱意に応えて、同行させてあげてください。			……私からもお願いします、Forename。彼女の熱意に応えて、同行させてあげてください。			彼女と菜園の旅路							
あ、ありがとうございます！それじゃあウチは先に行って、「カストルム・オリエンス」で、情報を集めておきます！			あ、ありがとうございます！それじゃあウチは先に行って、「カストルム・オリエンス」で、情報を集めておきます！			彼女と菜園の旅路							
双蛇党には、エドギスさんがカストルム・オリエンスに向かう旨、私から連絡を入れておきましょう。では、重ねてお願いします、Forename。			双蛇党には、エドギスさんがカストルム・オリエンスに向かう旨、私から連絡を入れておきましょう。では、重ねてお願いします、Forename。			彼女と菜園の旅路							
俺からも、エドギスのことを頼んでおくぜ。かわいい妹分だからな……。できる範囲でいい、守ってやってくれ。			俺からも、エドギスのことを頼んでおくぜ。かわいい妹分だからな……。できる範囲でいい、守ってやってくれ。			彼女と菜園の旅路							
ラールガースタッフとエドギスさんのこと、よろしくお願いします。あなたならどちらも無事にこなせると、信じていますから。			ラールガースタッフとエドギスさんのこと、よろしくお願いします。あなたならどちらも無事にこなせると、信じていますから。			彼女と菜園の旅路							
冒険者さん、冒険者さん、お待ちしてました！アラミゴ出身だっていう双蛇党の士官さんから、とっても面白い話を聞けましたよ！			冒険者さん、冒険者さん、お待ちしてました！アラミゴ出身だっていう双蛇党の士官さんから、とっても面白い話を聞けましたよ！			彼女と菜園の旅路							
なんでも、昔、「アラギリ」という宿場街で、虫害を防ぐ花を取り扱っていたそうです。……これ、ラールガースタッフっぽいですよね？			なんでも、昔、「アラギリ」という宿場街で、虫害を防ぐ花を取り扱っていたそうです。……これ、ラールガースタッフっぽいですよね？			彼女と菜園の旅路							
危険に満ちた山岳地帯まで、園芸師が赴くのは、決して勧められないと脅されましたが……気にしてられません！今すぐ、「アラギリ」に向かいましょう！			危険に満ちた山岳地帯まで、園芸師が赴くのは、決して勧められないと脅されましたが……気にしてられません！今すぐ、「アラギリ」に向かいましょう！			彼女と菜園の旅路							
ここが「アラギリ」ですか……。では、ラールガースタッフについて、話を聞いてまわりましょう！			ここが「アラギリ」ですか……。では、ラールガースタッフについて、話を聞いてまわりましょう！			彼女と菜園の旅路							
あのー、お時間をいただけますか？あ、いや、ダメダメなウチが贅沢を言ってるのは、重々理解してますが、そこを曲げてですね……。			あのー、お時間をいただけますか？あ、いや、ダメダメなウチが贅沢を言ってるのは、重々理解してますが、そこを曲げてですね……。			彼女と菜園の旅路							
ラールガースタッフ？香りが独特で、観賞用としては売れなくてね。虫害が治まった後、取り扱いを止めてしまったよ。			ラールガースタッフ？香りが独特で、観賞用としては売れなくてね。虫害が治まった後、取り扱いを止めてしまったよ。			彼女と菜園の旅路							
ああ、虫害を防ぐのに、湖畔地帯から仕入れていた花だな。かなり前に流通が途絶えて、その後どうなったか……。すまないが、ほかの者に聞いてくれないか？			ああ、虫害を防ぐのに、湖畔地帯から仕入れていた花だな。かなり前に流通が途絶えて、その後どうなったか……。すまないが、ほかの者に聞いてくれないか？			彼女と菜園の旅路							
昔の話だし、かなりうろ覚えだけど、人里離れた山の中で自生してた花ではなかったかしら？もしかしたら、まだどこかに群生地があるかもしれないわね。			昔の話だし、かなりうろ覚えだけど、人里離れた山の中で自生してた花ではなかったかしら？もしかしたら、まだどこかに群生地があるかもしれないわね。			彼女と菜園の旅路							
ラールガースタッフは、売れなくてねえ……。結局、虫害が治まった後は、取り扱いを止めてしまったよ。			ラールガースタッフは、売れなくてねえ……。結局、虫害が治まった後は、取り扱いを止めてしまったよ。			彼女と菜園の旅路							
もともとは、湖畔地帯の花だと聞いたことがある。すまないが、覚えているのはそれくらいだ。			もともとは、湖畔地帯の花だと聞いたことがある。すまないが、覚えているのはそれくらいだ。			彼女と菜園の旅路							
人里離れた山の中で自生していた花だったはず……。もしかしたら、まだどこかに群生地があるかもしれないわね。			人里離れた山の中で自生していた花だったはず……。もしかしたら、まだどこかに群生地があるかもしれないわね。			彼女と菜園の旅路							
冒険者さん、冒険者さん、お疲れさまでした！お話を合わせて考えると、「ラールガースタッフ」は、湖畔地帯の人里離れた山の中に、自生しているかも……！			冒険者さん、冒険者さん、お疲れさまでした！お話を合わせて考えると、「ラールガースタッフ」は、湖畔地帯の人里離れた山の中に、自生しているかも……！			彼女と菜園の旅路							
……私はイディルシャイアに戻って、「ラールガースタッフ」を移植する準備をしておきます。これ以上は、本当に足手まといにしかなりませんし……。			……私はイディルシャイアに戻って、「ラールガースタッフ」を移植する準備をしておきます。これ以上は、本当に足手まといにしかなりませんし……。			彼女と菜園の旅路							
冒険者さん、「ギラバニア湖畔地帯」での、「ラールガースタッフ」捜索をお願いします。すぐに採集して帰ってくるって、信じていますから！			冒険者さん、「ギラバニア湖畔地帯」での、「ラールガースタッフ」捜索をお願いします。すぐに採集して帰ってくるって、信じていますから！			彼女と菜園の旅路							
冒険者さん、「ギラバニア湖畔地帯」で、自生している「ラールガースタッフ」を探してください！きっと、見つけられるって信じてますから！			冒険者さん、「ギラバニア湖畔地帯」で、自生している「ラールガースタッフ」を探してください！きっと、見つけられるって信じてますから！			彼女と菜園の旅路							
こ、これがラールガースタッフ……。すごい……すごいです、冒険者さん！すごすぎて、ほんと、こう、なんか、すごいです！			こ、これがラールガースタッフ……。すごい……すごいです、冒険者さん！すごすぎて、ほんと、こう、なんか、すごいです！			彼女と菜園の旅路							
……っと、感激している場合じゃありませんでした。準備は終わってますので、すぐに植えてしまいましょう！			……っと、感激している場合じゃありませんでした。準備は終わってますので、すぐに植えてしまいましょう！			彼女と菜園の旅路							
冒険者さん、冒険者さん、お疲れさまでした！予防もかねて菜園全体に植えてみましたが、とっても綺麗ですね！			冒険者さん、冒険者さん、お疲れさまでした！予防もかねて菜園全体に植えてみましたが、とっても綺麗ですね！			彼女と菜園の旅路							
おお、こいつはすげぇ！眺めはもちろん、香りも驚きだ！やってくれたじゃねえか、冒険者！			おお、こいつはすげぇ！眺めはもちろん、香りも驚きだ！やってくれたじゃねえか、冒険者！			彼女と菜園の旅路							
ラールガースタッフを見つけだした、その手腕。Forenameの力を借りて正解でした。あなた以外では、なし得なかった成果でしょう。			ラールガースタッフを見つけだした、その手腕。Forenameの力を借りて正解でした。あなた以外では、なし得なかった成果でしょう。			彼女と菜園の旅路							
あ、あれ？もしかして……！！			あ、あれ？もしかして……！！			彼女と菜園の旅路							
こいつは驚いた！全部枯れたはずの芽が出てるじゃないか！無事だった種芋があったってことかよ……。			こいつは驚いた！全部枯れたはずの芽が出てるじゃないか！無事だった種芋があったってことかよ……。			彼女と菜園の旅路							
いまになって芽が出るなんて、すごい偶然ですけど……。ラールガースタッフがネマトーダを防いでくれるおかげで、今回はきっと、無事に育つはずです。			いまになって芽が出るなんて、すごい偶然ですけど……。ラールガースタッフがネマトーダを防いでくれるおかげで、今回はきっと、無事に育つはずです。			彼女と菜園の旅路							
ううん……ウチが、育ててみせます！			ううん……ウチが、育ててみせます！			彼女と菜園の旅路							
いまのエドギスさんなら、きっとできます。その保証として、贈り物をさせてください。さあ、こちらへ……。			いまのエドギスさんなら、きっとできます。その保証として、贈り物をさせてください。さあ、こちらへ……。			彼女と菜園の旅路							
この装備は、優秀な園芸師にのみ贈られるものですよね？ウチみたいな、園芸師を名乗るのもおこがましいゴミクズが、こうして身につけるなんて、とっても畏れおおいです……。			この装備は、優秀な園芸師にのみ贈られるものですよね？ウチみたいな、園芸師を名乗るのもおこがましいゴミクズが、こうして身につけるなんて、とっても畏れおおいです……。			彼女と菜園の旅路							
ポポトの品種改良は、まだ第一歩を踏み出したばかり。この先は、とても長い旅路となるでしょう。それに相応しい贈り物を用意したつもりですよ。			ポポトの品種改良は、まだ第一歩を踏み出したばかり。この先は、とても長い旅路となるでしょう。それに相応しい贈り物を用意したつもりですよ。			彼女と菜園の旅路							
私とForenameが、力を貸せるのはここまで。これからは、あなた方だけで自然と向き合わねばなりません。がんばってください、イディルシャイアの「筆頭園芸師」殿。			私とForenameが、力を貸せるのはここまで。これからは、あなた方だけで自然と向き合わねばなりません。がんばってください、イディルシャイアの「筆頭園芸師」殿。			彼女と菜園の旅路							
ウ、ウチ……頑張ります……っ！ずっと憧れてた園芸師として、自然と向き合って……きっと、品種改良を、成功させてみせますっ！！			ウ、ウチ……頑張ります……っ！ずっと憧れてた園芸師として、自然と向き合って……きっと、品種改良を、成功させてみせますっ！！			彼女と菜園の旅路							
園芸師として、品種改良を通じてエドギスを導いたことにより、「GP自然回復量アップ」を修得しました！			園芸師として、品種改良を通じてエドギスを導いたことにより、「GP自然回復量アップ」を修得しました！			彼女と菜園の旅路							
園芸師ギルドのフフチャは冒険者に依頼したい仕事があるようだ。			園芸師ギルドのフフチャは冒険者に依頼したい仕事があるようだ。			凱旋を彩る森の恵み							
フフチャから依頼を受けた。グリダニアの園芸師ギルドにいる「フフチャ」に「ローレル」を20束見せよう。「ローレル」は南ザナラーンのリトルアラミゴ北東にある草刈場で採集できる。			フフチャから依頼を受けた。グリダニアの園芸師ギルドにいる「フフチャ」に「ローレル」を20束見せよう。「ローレル」は南ザナラーンのリトルアラミゴ北東にある草刈場で採集できる。			凱旋を彩る森の恵み							
フフチャに「ローレル」を見せた。グリダニアのグレートローム農場にいる「ヤニ」に「ローレル」を20束納品しよう。			フフチャに「ローレル」を見せた。グリダニアのグレートローム農場にいる「ヤニ」に「ローレル」を20束納品しよう。			凱旋を彩る森の恵み							
ヤニにローレルを納品した。戦争が続く限り、今後も園芸師の世話になるだろうといわれた。園芸師ギルドのフフチャに報告しよう。			ヤニにローレルを納品した。戦争が続く限り、今後も園芸師の世話になるだろうといわれた。園芸師ギルドのフフチャに報告しよう。			凱旋を彩る森の恵み							
フフチャに報告した。フフチャは、グリダニアの民とイクサル族が、森を傷つけながら戦う現状に、心を痛めているようだ。彼女の心に負担をかけないため、立派な園芸師となれるよう修行を続けよう。※園芸師のレベルが40以上になると、フフチャから次の園芸師クエストを受注することができます。			フフチャに報告した。フフチャは、グリダニアの民とイクサル族が、森を傷つけながら戦う現状に、心を痛めているようだ。彼女の心に負担をかけないため、立派な園芸師となれるよう修行を続けよう。※園芸師のレベルが40以上になると、フフチャから次の園芸師クエストを受注することができます。			凱旋を彩る森の恵み							
フフチャにローレルを見せる			フフチャにローレルを見せる			凱旋を彩る森の恵み							
ヤニにローレルを納品			ヤニにローレルを納品			凱旋を彩る森の恵み							
フフチャに報告			フフチャに報告			凱旋を彩る森の恵み							
まあ、Forenameさん、よく来てくれました。ここに来たということは、手が空いているんですよね？			まあ、Forenameさん、よく来てくれました。ここに来たということは、手が空いているんですよね？			凱旋を彩る森の恵み							
戦争に手を貸すようで気が進まないのですが、私の旧友、調理師ヤニの依頼を果たしてもらいたいのです。			戦争に手を貸すようで気が進まないのですが、私の旧友、調理師ヤニの依頼を果たしてもらいたいのです。			凱旋を彩る森の恵み							
近く、イクサル族との戦いから凱旋した、神勇隊の隊士をねぎらう宴があるそうなんですがそこで出す料理の材料が足りないというのです。			近く、イクサル族との戦いから凱旋した、神勇隊の隊士をねぎらう宴があるそうなんですがそこで出す料理の材料が足りないというのです。			凱旋を彩る森の恵み							
「ローレル」というハーブを20束……南ザナラーン「リトルアラミゴ」の北東付近にある草刈場で採集して、私に見せてくださいね。			「ローレル」というハーブを20束……南ザナラーン「リトルアラミゴ」の北東付近にある草刈場で採集して、私に見せてくださいね。			凱旋を彩る森の恵み							
「ローレル」20束の調達をお願いします。南ザナラーン「リトルアラミゴ」の北東付近にある草刈場で採集できたら、私に見せてくださいね。			「ローレル」20束の調達をお願いします。南ザナラーン「リトルアラミゴ」の北東付近にある草刈場で採集できたら、私に見せてくださいね。			凱旋を彩る森の恵み							
「ローレル」は、ぴったり20束。ありがとうございます、問題ありませんね。			「ローレル」は、ぴったり20束。ありがとうございます、問題ありませんね。			凱旋を彩る森の恵み							
この依頼は気が進まないと、先に言いましたが……疲れて戻ってきた神勇隊の隊士たちに、罪はありません。ねぎらうことに悪いことなどない、それくらいわかってます。			この依頼は気が進まないと、先に言いましたが……疲れて戻ってきた神勇隊の隊士たちに、罪はありません。ねぎらうことに悪いことなどない、それくらいわかってます。			凱旋を彩る森の恵み							
……ローレルは爽やかな香りが特徴的で、香辛料として、さまざまな料理に使われます。			……ローレルは爽やかな香りが特徴的で、香辛料として、さまざまな料理に使われます。			凱旋を彩る森の恵み							
煮込み料理の香りづけはもちろん、肉の臭みを消すのにも役立ちます。食欲の促進効果もあるんですよ。			煮込み料理の香りづけはもちろん、肉の臭みを消すのにも役立ちます。食欲の促進効果もあるんですよ。			凱旋を彩る森の恵み							
さあ、このローレルを、グレートローム農場で、食材のチェックをしている調理師「ヤニ」に届けてあげてください。			さあ、このローレルを、グレートローム農場で、食材のチェックをしている調理師「ヤニ」に届けてあげてください。			凱旋を彩る森の恵み							
おお、あなたがフフチャから派遣されてきたという……？では「ローレル」を用意してくれたのだな？			おお、あなたがフフチャから派遣されてきたという……？では「ローレル」を用意してくれたのだな？			凱旋を彩る森の恵み							
「ローレル」を20束、たしかに受け取った。助かる、これで時間までに料理を作れそうだ。			「ローレル」を20束、たしかに受け取った。助かる、これで時間までに料理を作れそうだ。			凱旋を彩る森の恵み							
……イクサル族の襲撃は増える一方だ。こうした宴を催すヒマさえ、なくなってしまうかもしれない。だからこそ、最高の料理で、もてなしたくてね。			……イクサル族の襲撃は増える一方だ。こうした宴を催すヒマさえ、なくなってしまうかもしれない。だからこそ、最高の料理で、もてなしたくてね。			凱旋を彩る森の恵み							
何より、私は調理師として食生活の面から、隊士たちの支えになりたいんだ。			何より、私は調理師として食生活の面から、隊士たちの支えになりたいんだ。			凱旋を彩る森の恵み							
だが、調理師もまた、あなたがた園芸師の協力なくして良い料理は作れない。己の働きが、誰かを支える……そう思って、今後とも力を貸してほしい。			だが、調理師もまた、あなたがた園芸師の協力なくして良い料理は作れない。己の働きが、誰かを支える……そう思って、今後とも力を貸してほしい。			凱旋を彩る森の恵み							
それとフフチャに伝えてくれ。君という、いい園芸師を紹介してくれて助かった、とな。			それとフフチャに伝えてくれ。君という、いい園芸師を紹介してくれて助かった、とな。			凱旋を彩る森の恵み							
どうやら、彼女に満足してもらえたようですね。さすがはForenameです。			どうやら、彼女に満足してもらえたようですね。さすがはForenameです。			凱旋を彩る森の恵み							
それにしても、イクサル族との戦いは長引きますね……。森を、グリダニアを守るには、武器を持ち、戦うほかない……わかってはいますが……。			それにしても、イクサル族との戦いは長引きますね……。森を、グリダニアを守るには、武器を持ち、戦うほかない……わかってはいますが……。			凱旋を彩る森の恵み							
イクサル族も、昔は森と共生していたといいます……私たちが、戦火で森を傷つけながら争うことに正義はあるのでしょうか……？			イクサル族も、昔は森と共生していたといいます……私たちが、戦火で森を傷つけながら争うことに正義はあるのでしょうか……？			凱旋を彩る森の恵み							
……ましてや、森を傷つける戦争に加担している園芸師に、森と共存する資格などないのではないか？そんな風に思えて、私は悩んでいるのです……。			……ましてや、森を傷つける戦争に加担している園芸師に、森と共存する資格などないのではないか？そんな風に思えて、私は悩んでいるのです……。			凱旋を彩る森の恵み							
園芸師ギルドのフフチャが、何ごとか困り果てているようだが……。			園芸師ギルドのフフチャが、何ごとか困り果てているようだが……。			自然の洗礼							
園芸師ギルドで育てていた「アリゲーターペア」が、虫害によって全滅してしまったらしい。フフチャによれば、他の場所なら、まだ望みはあるそうだ。「ベントブランチ牧場」の「ソリュー」に話をしてみよう。			園芸師ギルドで育てていた「アリゲーターペア」が、虫害によって全滅してしまったらしい。フフチャによれば、他の場所なら、まだ望みはあるそうだ。「ベントブランチ牧場」の「ソリュー」に話をしてみよう。			自然の洗礼							
ソリューによれば「クォーリーミル」の北東で「アリゲーターペア」が採れるはずだという。「アリゲーターペア」を15個調達し、園芸師ギルドの「フフチャ」に渡そう。			ソリューによれば「クォーリーミル」の北東で「アリゲーターペア」が採れるはずだという。「アリゲーターペア」を15個調達し、園芸師ギルドの「フフチャ」に渡そう。			自然の洗礼							
ミューヌの注文には、無事に応えられそうだ。園芸師は、たとえ自然から手痛い仕打ちを受けたとしても、それを謙虚に受け止めねばならないものなのだという。フフチャの教えを心に留めつつ、さらに園芸師としての腕を磨こう。※園芸師のレベルが35以上になると、フフチャから次の園芸師クエストを受注することができます。			ミューヌの注文には、無事に応えられそうだ。園芸師は、たとえ自然から手痛い仕打ちを受けたとしても、それを謙虚に受け止めねばならないものなのだという。フフチャの教えを心に留めつつ、さらに園芸師としての腕を磨こう。※園芸師のレベルが35以上になると、フフチャから次の園芸師クエストを受注することができます。			自然の洗礼							
ベントブランチ牧場のソリューと話す			ベントブランチ牧場のソリューと話す			自然の洗礼							
アリゲーターペアを園芸師ギルドのフフチャに納品			アリゲーターペアを園芸師ギルドのフフチャに納品			自然の洗礼							
まずいことになりました……。ギルドで育てていた「アリゲーターペア」が虫の被害によって全滅してしまったんです。			まずいことになりました……。ギルドで育てていた「アリゲーターペア」が虫の被害によって全滅してしまったんです。			自然の洗礼							
仕方のないことではあります。自然と付き合うのが私たち園芸師の仕事。手厳しい洗礼に見舞われるのも宿命のようなものです。			仕方のないことではあります。自然と付き合うのが私たち園芸師の仕事。手厳しい洗礼に見舞われるのも宿命のようなものです。			自然の洗礼							
いちいち自然を恨んでいては園芸師は務まりませんが……しかしながら運の悪いことに、ちょうどカーラインカフェから注文が入っているのです。			いちいち自然を恨んでいては園芸師は務まりませんが……しかしながら運の悪いことに、ちょうどカーラインカフェから注文が入っているのです。			自然の洗礼							
幸いなことに、虫にやられたのは私の農園で育てていた「アリゲーターペア」のみ。その他の場所で採れるものならば、まだ望みがあります。			幸いなことに、虫にやられたのは私の農園で育てていた「アリゲーターペア」のみ。その他の場所で採れるものならば、まだ望みがあります。			自然の洗礼							
「アリゲーターペア」を探し、採集する手助けをしていただけないでしょうか。黒衣森で採れる農作物について、詳しい者を紹介します。			「アリゲーターペア」を探し、採集する手助けをしていただけないでしょうか。黒衣森で採れる農作物について、詳しい者を紹介します。			自然の洗礼							
「ソリュー」という園芸師が、「ベントブランチ牧場」を見回っているはず。彼の話を聞いて、指示をもらってください。			「ソリュー」という園芸師が、「ベントブランチ牧場」を見回っているはず。彼の話を聞いて、指示をもらってください。			自然の洗礼							
「アリゲーターペア」を探している？ああ、そういえばフフチャさんの農園が虫にやられたんだっけか。			「アリゲーターペア」を探している？ああ、そういえばフフチャさんの農園が虫にやられたんだっけか。			自然の洗礼							
カーラインカフェからの注文分が足りないんだね？だったら、「クォーリーミル」に行ってみるといい。あそこの北東の茂みで採集できたはずだ。			カーラインカフェからの注文分が足りないんだね？だったら、「クォーリーミル」に行ってみるといい。あそこの北東の茂みで採集できたはずだ。			自然の洗礼							
俺たちじゃ、ちょっと尻込みするような場所だが、君みたいな冒険者に手伝ってもらえるなら、フフチャさんも心強いことだろう。			俺たちじゃ、ちょっと尻込みするような場所だが、君みたいな冒険者に手伝ってもらえるなら、フフチャさんも心強いことだろう。			自然の洗礼							
おっと、長話をしている場合じゃなかったか。確か、カーラインカフェからの注文は15個だったな。さ、急いで行ってきな。			おっと、長話をしている場合じゃなかったか。確か、カーラインカフェからの注文は15個だったな。さ、急いで行ってきな。			自然の洗礼							
「アリゲーターペア」なら、「クォーリーミル」の北東の茂みで採集できたはず。フフチャさんが待ってるんだろ？　急いで行ってきな。			「アリゲーターペア」なら、「クォーリーミル」の北東の茂みで採集できたはず。フフチャさんが待ってるんだろ？　急いで行ってきな。			自然の洗礼							
連絡はもらいました。「アリゲーターペア」を集める算段がついたそうですね。15個ですが、よろしくお願いします。			連絡はもらいました。「アリゲーターペア」を集める算段がついたそうですね。15個ですが、よろしくお願いします。			自然の洗礼							
確かに受け取りました。これで注文に間に合いそうです。ミューヌから怒られずに済みます。			確かに受け取りました。これで注文に間に合いそうです。ミューヌから怒られずに済みます。			自然の洗礼							
彼女、店でアリゲーターペアのサラダを出すそうですよ。こってりとしたアリゲーターペアを使ってお腹を空かせた冒険者でも満足なサラダにしたいとか。			彼女、店でアリゲーターペアのサラダを出すそうですよ。こってりとしたアリゲーターペアを使ってお腹を空かせた冒険者でも満足なサラダにしたいとか。			自然の洗礼							
それにしても……今回はお世話になりっぱなしでしたね。あなたがいなければ、ギルドの信頼が大きく損なわれるところでした。			それにしても……今回はお世話になりっぱなしでしたね。あなたがいなければ、ギルドの信頼が大きく損なわれるところでした。			自然の洗礼							
……すべてが天然自然の恵みである以上、園芸師の収穫物というのは、決して安定しているものではありません。			……すべてが天然自然の恵みである以上、園芸師の収穫物というのは、決して安定しているものではありません。			自然の洗礼							
時には今回のように、自然の力によって手痛いしっぺ返しをもらうこともあります。			時には今回のように、自然の力によって手痛いしっぺ返しをもらうこともあります。			自然の洗礼							
しかし、園芸師であるのならば、それすら謙虚に受け止めなくてはいけません。決して恨んではならないのです。			しかし、園芸師であるのならば、それすら謙虚に受け止めなくてはいけません。決して恨んではならないのです。			自然の洗礼							
自然は……決して敵でも仇でもありません。恨みを込めて自然を憎む者がいるとしたら、自然は二度と、その者に恵みを与えることはないでしょう。			自然は……決して敵でも仇でもありません。恨みを込めて自然を憎む者がいるとしたら、自然は二度と、その者に恵みを与えることはないでしょう。			自然の洗礼							
園芸師ギルドのフフチャは、冒険者に重要な取引に関する仕事を頼みたいようだ。			園芸師ギルドのフフチャは、冒険者に重要な取引に関する仕事を頼みたいようだ。			海雲を渡る香り							
霊災からの復興が徐々に進み、他都市との交易が盛んになっているらしい。そんな中、ウルダハの人々にハーブの良さを知ってもらう機会が訪れたという。高地ラノシアのオークウッドにて「カモミール」を15束調達し、園芸師ギルドの「サンドレ」に届けよう。			霊災からの復興が徐々に進み、他都市との交易が盛んになっているらしい。そんな中、ウルダハの人々にハーブの良さを知ってもらう機会が訪れたという。高地ラノシアのオークウッドにて「カモミール」を15束調達し、園芸師ギルドの「サンドレ」に届けよう。			海雲を渡る香り							
サンドレにカモミールを15束渡した。他都市との交易機会が増える一方、グリダニア都市民の他都市への偏見は根強く残っているようだ……。※園芸師のレベルが30以上になると、フフチャから次の園芸師クエストを受注することができます。			サンドレにカモミールを15束渡した。他都市との交易機会が増える一方、グリダニア都市民の他都市への偏見は根強く残っているようだ……。※園芸師のレベルが30以上になると、フフチャから次の園芸師クエストを受注することができます。			海雲を渡る香り							
カモミールを園芸師ギルドのサンドレに納品			カモミールを園芸師ギルドのサンドレに納品			海雲を渡る香り							
最近は霊災からの復興も徐々に進み、以前よりも他所からグリダニアに来る人の姿を多く見かけるようになりました。			最近は霊災からの復興も徐々に進み、以前よりも他所からグリダニアに来る人の姿を多く見かけるようになりました。			海雲を渡る香り							
他都市と交易する機会も増えてきましたからね……。園芸師もこれからドンドン忙しくなると思いますよ。			他都市と交易する機会も増えてきましたからね……。園芸師もこれからドンドン忙しくなると思いますよ。			海雲を渡る香り							
現に、今日も他都市からの注文が入っていましてね。ウルダハの酒場「クイックサンド」からなのですが、「カモミール」を15束ほど、集めてほしいとのことです。			現に、今日も他都市からの注文が入っていましてね。ウルダハの酒場「クイックサンド」からなのですが、「カモミール」を15束ほど、集めてほしいとのことです。			海雲を渡る香り							
カモミールと言えばハーブティーの定番です。自然の香りがもたらす安らぎを、知ってもらうためにも、この大事な仕事をあなたに任せたい。			カモミールと言えばハーブティーの定番です。自然の香りがもたらす安らぎを、知ってもらうためにも、この大事な仕事をあなたに任せたい。			海雲を渡る香り							
