砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			新たな蛮神							
わたくしのことは、心配なさらないでください。本当に突入方法が見つかったのなら、すぐに撤退します。あなたは、お嬢様と「青燐精製所」へ……。			わたくしのことは、心配なさらないでください。本当に突入方法が見つかったのなら、すぐに撤退します。あなたは、お嬢様と「青燐精製所」へ……。			ふたつの欠片							
彼方よりの来訪……お手間をおかけしました……。残る拘束艦へ突入するための秘策は、この地でのみ為せる技ですので……。			彼方よりの来訪……お手間をおかけしました……。残る拘束艦へ突入するための秘策は、この地でのみ為せる技ですので……。			ふたつの欠片							
この地って……北ザナラーン……？ここには、突入できるようなダラガブの破片はなかったはずよ。			この地って……北ザナラーン……？ここには、突入できるようなダラガブの破片はなかったはずよ。			ふたつの欠片							
されど、見えざる道は繋がる……。過去、拘束艦から脱出してきた際に……必ずこの地へと転送されていたことを、覚えておいでですか。			されど、見えざる道は繋がる……。過去、拘束艦から脱出してきた際に……必ずこの地へと転送されていたことを、覚えておいでですか。			ふたつの欠片							
転送とは、大地を巡りしエーテルの奔流……すなわち地脈を用いて、目的地へと運ぶ術……。			転送とは、大地を巡りしエーテルの奔流……すなわち地脈を用いて、目的地へと運ぶ術……。			ふたつの欠片							
……そうか、出口となっていた「ダラガブの爪」と拘束艦は、エーテルの奔流で繋がっているのね。			……そうか、出口となっていた「ダラガブの爪」と拘束艦は、エーテルの奔流で繋がっているのね。			ふたつの欠片							
だったら、「ダラガブの爪」へと流れるエーテルをさかのぼれば、残る拘束艦にも転移できるかもしれない……！			だったら、「ダラガブの爪」へと流れるエーテルをさかのぼれば、残る拘束艦にも転移できるかもしれない……！			ふたつの欠片							
はい……先立って調査をしたところ……見えざる道は2つのみにあらず、幾筋かに分岐していました。残る拘束艦とも繋がってるのは、疑う余地もなき事実……。			はい……先立って調査をしたところ……見えざる道は2つのみにあらず、幾筋かに分岐していました。残る拘束艦とも繋がってるのは、疑う余地もなき事実……。			ふたつの欠片							
そこで、シャーレアンのエーテライト技術を応用し……拘束艦への簡易転送網を形成したのです……。			そこで、シャーレアンのエーテライト技術を応用し……拘束艦への簡易転送網を形成したのです……。			ふたつの欠片							
すごいわ……！これで、残る2つの拘束艦へ突入できるのね！			すごいわ……！これで、残る2つの拘束艦へ突入できるのね！			ふたつの欠片							
……でも、この方法のこと、どうして今まで黙っていたの？そこまで段取りが進んでいるなら、ずいぶん前に思いついていたんじゃない？			……でも、この方法のこと、どうして今まで黙っていたの？そこまで段取りが進んでいるなら、ずいぶん前に思いついていたんじゃない？			ふたつの欠片							
…………この解は、我が身が導いたにあらず。私はただ、真実と真実を繋ぐ、使者にすぎません……。			…………この解は、我が身が導いたにあらず。私はただ、真実と真実を繋ぐ、使者にすぎません……。			ふたつの欠片							
どういうこと……？だって、「バハムート」の調査を進めているのは、私とあなた、それにSurnameだけでしょう……？			どういうこと……？だって、「バハムート」の調査を進めているのは、私とあなた、それにSurnameだけでしょう……？			ふたつの欠片							
……とにかく、「ダラガブの爪」に行ってみましょう。どういう経緯があったにせよ、「バハムート」の復活を止められるなら構わないわ。			……とにかく、「ダラガブの爪」に行ってみましょう。どういう経緯があったにせよ、「バハムート」の復活を止められるなら構わないわ。			ふたつの欠片							
…………この解は、我が身が導いたにあらず。私はただ、真実と真実を繋ぐ、使者にすぎません……。			…………この解は、我が身が導いたにあらず。私はただ、真実と真実を繋ぐ、使者にすぎません……。			ふたつの欠片							
転送網の調整をしているのね……。でも、どうして不滅隊が……？			転送網の調整をしているのね……。でも、どうして不滅隊が……？			ふたつの欠片							
(-？？？？-)あれは、不滅隊に所属するルヴェユール家の者だ。……君だって、いつも同じ手を使うだろう？			(-？？？？-)あれは、不滅隊に所属するルヴェユール家の者だ。……君だって、いつも同じ手を使うだろう？			ふたつの欠片							
アルフィノ……！あなた、どうしてここに……！			アルフィノ……！あなた、どうしてここに……！			ふたつの欠片							
ここにいるのは当然さ。ウリエンジェには黙っていてもらったが……拘束艦への転送を提案し、準備を整えたのは、私だからね。			ここにいるのは当然さ。ウリエンジェには黙っていてもらったが……拘束艦への転送を提案し、準備を整えたのは、私だからね。			ふたつの欠片							
……先に断っておくが、メテオの傷跡の調査に、君の嫌いな「政治」を介入させるつもりはない。混乱を避けるため、各国を遠ざけた君の判断には賛成だ。			……先に断っておくが、メテオの傷跡の調査に、君の嫌いな「政治」を介入させるつもりはない。混乱を避けるため、各国を遠ざけた君の判断には賛成だ。			ふたつの欠片							
一方で、蛮神「バハムート」の復活が進んでいるのであれば、何としてでも、それを退けなければならないだろう……。			一方で、蛮神「バハムート」の復活が進んでいるのであれば、何としてでも、それを退けなければならないだろう……。			ふたつの欠片							
だから、転送網を整えたのは、私個人からできる最大限の支援だとでも思ってほしい。			だから、転送網を整えたのは、私個人からできる最大限の支援だとでも思ってほしい。			ふたつの欠片							
ウリエンジェ……！あなた、調査のことをアルフィノに話したのね！？			ウリエンジェ……！あなた、調査のことをアルフィノに話したのね！？			ふたつの欠片							
申し訳ありません……。ですがアリゼー様は、ルイゾワ様を討たんとしている……。			申し訳ありません……。ですがアリゼー様は、ルイゾワ様を討たんとしている……。			ふたつの欠片							
それが、たとえ傀儡とされた幻影であれ……同じように魂をわけたアルフィノ様だけは、知っておくべき事実と思ったのです……。			それが、たとえ傀儡とされた幻影であれ……同じように魂をわけたアルフィノ様だけは、知っておくべき事実と思ったのです……。			ふたつの欠片							
……私たちは、テンパードとなったお祖父様を討って、蛮神「バハムート」の復活を阻止するわ！			……私たちは、テンパードとなったお祖父様を討って、蛮神「バハムート」の復活を阻止するわ！			ふたつの欠片							
止めようとしても無駄よ！私は私のやり方で、エオルゼアを救済する。お祖父様が遺した意志を、私がやりとげるの……！			止めようとしても無駄よ！私は私のやり方で、エオルゼアを救済する。お祖父様が遺した意志を、私がやりとげるの……！			ふたつの欠片							
お祖父様のために、か……。君の戦う理由は、いつだってそうだ。到底、君自身の「決断」とは、言えないままじゃないか。			お祖父様のために、か……。君の戦う理由は、いつだってそうだ。到底、君自身の「決断」とは、言えないままじゃないか。			ふたつの欠片							
なんですって……！？ひとりでわかったような口を利かないで！あなただって、エオルゼアの救済を目指しているじゃない！			なんですって……！？ひとりでわかったような口を利かないで！あなただって、エオルゼアの救済を目指しているじゃない！			ふたつの欠片							
お祖父様の守ろうとしたエオルゼアを、私たちが守る……そのために、ふたりでこの地へやってきたんでしょう！？			お祖父様の守ろうとしたエオルゼアを、私たちが守る……そのために、ふたりでこの地へやってきたんでしょう！？			ふたつの欠片							
ああ、その目的は変わっていないよ。だが……君はただ、お祖父様を追いかけていたいだけだ。			ああ、その目的は変わっていないよ。だが……君はただ、お祖父様を追いかけていたいだけだ。			ふたつの欠片							
自分の守るべき「エオルゼア」が何なのか……アリゼー、君はきっと答えられない。			自分の守るべき「エオルゼア」が何なのか……アリゼー、君はきっと答えられない。			ふたつの欠片							
……何にせよ、蛮神「バハムート」の復活阻止が最優先だ。テンパードと化した祖父を討つことにも、異論はない。			……何にせよ、蛮神「バハムート」の復活阻止が最優先だ。テンパードと化した祖父を討つことにも、異論はない。			ふたつの欠片							
ただし、今回の調査には、私も同行させてくれないか。ルヴェユール家の子息として、結末を見届ける権利はあるはずだ。			ただし、今回の調査には、私も同行させてくれないか。ルヴェユール家の子息として、結末を見届ける権利はあるはずだ。			ふたつの欠片							
……わかったわ。でも、これは私たちの進めてきた戦いよ。余計な口出しは許さないから。			……わかったわ。でも、これは私たちの進めてきた戦いよ。余計な口出しは許さないから。			ふたつの欠片							
お嬢様、私は拘束艦への転送網の構築を任された、アーケンラッドと申します。			お嬢様、私は拘束艦への転送網の構築を任された、アーケンラッドと申します。			ふたつの欠片							
間もなく転送網の準備が整いますので、お嬢様とSurname様も、突入のご準備を……。私は「青燐精製所」で待機しておりますので。			間もなく転送網の準備が整いますので、お嬢様とSurname様も、突入のご準備を……。私は「青燐精製所」で待機しておりますので。			ふたつの欠片							
……私も準備をしてくるわ。大丈夫……これは私自身の「決断」よ……。あなたと進んできた道は、きっと間違っていないもの……。			……私も準備をしてくるわ。大丈夫……これは私自身の「決断」よ……。あなたと進んできた道は、きっと間違っていないもの……。			ふたつの欠片							
Surname様、お待ちしておりました。皆様を拘束艦へ転送する準備は、すでに整っております。			Surname様、お待ちしておりました。皆様を拘束艦へ転送する準備は、すでに整っております。			ふたつの欠片							
残る拘束艦は、東ザナラーンとモードゥナにある破片から、接続されているはずのものです。……現場は、すでにご覧になってきたそうですね。			残る拘束艦は、東ザナラーンとモードゥナにある破片から、接続されているはずのものです。……現場は、すでにご覧になってきたそうですね。			ふたつの欠片							
我々が設置した転送網により、今回は、拘束艦の内部へ、直接転送されることとなります。道程こそ省けるものの、危険度は高いとお考えください。			我々が設置した転送網により、今回は、拘束艦の内部へ、直接転送されることとなります。道程こそ省けるものの、危険度は高いとお考えください。			ふたつの欠片							
では、あなた様の準備ができ次第、転送を開始しましょう。まずは、東ザナラーンの破片から繋がる拘束艦へ……。ご健闘をお祈りしております。			では、あなた様の準備ができ次第、転送を開始しましょう。まずは、東ザナラーンの破片から繋がる拘束艦へ……。ご健闘をお祈りしております。			ふたつの欠片							
「大迷宮バハムート：真成編」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、アーケンラッド闘軍曹に話しかけることで開始できます。			「大迷宮バハムート：真成編」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、アーケンラッド闘軍曹に話しかけることで開始できます。			ふたつの欠片							
なお、「大迷宮バハムート：真成編」の詳しい開始条件は、アーケンラッド闘軍曹から聞くことができます。			なお、「大迷宮バハムート：真成編」の詳しい開始条件は、アーケンラッド闘軍曹から聞くことができます。			ふたつの欠片							
これが、ダラガブの破片の内部……。			これが、ダラガブの破片の内部……。			ふたつの欠片							
ええ、拘束艦であることは間違いなさそうね。……しかも、稼働してる。			ええ、拘束艦であることは間違いなさそうね。……しかも、稼働してる。			ふたつの欠片							
どうやら作戦は成功みたい。私たち、目的の拘束艦に侵入したんだわ。			どうやら作戦は成功みたい。私たち、目的の拘束艦に侵入したんだわ。			ふたつの欠片							
ここも含め、稼働中の拘束艦はあと2つ……。蛮神「バハムート」の復活を阻止するには、それぞれの第一艦橋に向かい、動作を停止させる必要がある。			ここも含め、稼働中の拘束艦はあと2つ……。蛮神「バハムート」の復活を阻止するには、それぞれの第一艦橋に向かい、動作を停止させる必要がある。			ふたつの欠片							
まずは、こちらの拘束艦を停止させましょう。奴の再生は、今も進んでいる……。あまり時間の余裕はないわ。			まずは、こちらの拘束艦を停止させましょう。奴の再生は、今も進んでいる……。あまり時間の余裕はないわ。			ふたつの欠片							
何の装置かしら……？前の拘束艦で見たものと、形状が似てるわね。			何の装置かしら……？前の拘束艦で見たものと、形状が似てるわね。			ふたつの欠片							
キメラを保存する装置かと思っていたけれど、決め付けるのは早計か……。			キメラを保存する装置かと思っていたけれど、決め付けるのは早計か……。			ふたつの欠片							
未知の防衛機構という可能性もある……。十分に警戒して進みましょう。			未知の防衛機構という可能性もある……。十分に警戒して進みましょう。			ふたつの欠片							
ドラゴン族……。装置の中で眠っていたのは、キメラだけじゃなかったのね。			ドラゴン族……。装置の中で眠っていたのは、キメラだけじゃなかったのね。			ふたつの欠片							
でも、何故これほどの数を……？アラグ帝国に、ドラゴン族を制御する技術があったのは知っていたけれど……。			でも、何故これほどの数を……？アラグ帝国に、ドラゴン族を制御する技術があったのは知っていたけれど……。			ふたつの欠片							
そもそも、協力関係にある者同士だったら、一方的に制御したりはしない……。つまり、アラグ帝国にとって、ドラゴン族は敵だった……？			そもそも、協力関係にある者同士だったら、一方的に制御したりはしない……。つまり、アラグ帝国にとって、ドラゴン族は敵だった……？			ふたつの欠片							
衛星「ダラガブ」に、あえて敵を封じた理由は何……？衛士とするなら、キメラだけでよかったはずよ。			衛星「ダラガブ」に、あえて敵を封じた理由は何……？衛士とするなら、キメラだけでよかったはずよ。			ふたつの欠片							
アリゼー、ひとつ聞かせてほしい。			アリゼー、ひとつ聞かせてほしい。			ふたつの欠片							
……蛮神「バハムート」は、誰の願いで顕現した？テンパードの正体を、君はもう掴んでいるのかい？			……蛮神「バハムート」は、誰の願いで顕現した？テンパードの正体を、君はもう掴んでいるのかい？			ふたつの欠片							
……いいえ、まだよ。最初は「信者なき蛮神」なのかとも考えたけどね。			……いいえ、まだよ。最初は「信者なき蛮神」なのかとも考えたけどね。			ふたつの欠片							
ただ、テンパードと化したネールの、「愛し子らのゆりかご」という言葉に引っかかっているの。			ただ、テンパードと化したネールの、「愛し子らのゆりかご」という言葉に引っかかっているの。			ふたつの欠片							
おそらく、お祖父様を穢す幻影のほかにも、信者が潜んでいて…………。			おそらく、お祖父様を穢す幻影のほかにも、信者が潜んでいて…………。			ふたつの欠片							
まさか……そんなことって……！？			まさか……そんなことって……！？			ふたつの欠片							
信じられないけど、つじつまが合う……。きっと間違いない……。			信じられないけど、つじつまが合う……。きっと間違いない……。			ふたつの欠片							
蛮神「バハムート」を召喚したのは、太古のドラゴン族だったのよ……！			蛮神「バハムート」を召喚したのは、太古のドラゴン族だったのよ……！			ふたつの欠片							
アラグ帝国は、ダラガブの核として、「バハムート」を顕現させ続けたかった。それで、テンパードであるドラゴン族ごと閉じ込めたんだわ！			アラグ帝国は、ダラガブの核として、「バハムート」を顕現させ続けたかった。それで、テンパードであるドラゴン族ごと閉じ込めたんだわ！			ふたつの欠片							
蛮神を倒しても、テンパードがいるかぎり、いずれは再召喚される。			蛮神を倒しても、テンパードがいるかぎり、いずれは再召喚される。			ふたつの欠片							
そのことを知ったアラグ帝国は、テンパードたる太古のドラゴン族をあえて生かし、蛮神「バハムート」の「糧」とした……。			そのことを知ったアラグ帝国は、テンパードたる太古のドラゴン族をあえて生かし、蛮神「バハムート」の「糧」とした……。			ふたつの欠片							
彼らの超越した魔科学があってこその芸当だ。我々には、とても真似できないよ。			彼らの超越した魔科学があってこその芸当だ。我々には、とても真似できないよ。			ふたつの欠片							
冗談じゃないわ……！人が顕現を強いてきた蛮神が、第七霊災でお祖父様を……人を討ったというの！？			冗談じゃないわ……！人が顕現を強いてきた蛮神が、第七霊災でお祖父様を……人を討ったというの！？			ふたつの欠片							
……今度は、人を恨むかい？			……今度は、人を恨むかい？			ふたつの欠片							
馬鹿にしないで。私は、こんなことで目的を違えたりしない……。			馬鹿にしないで。私は、こんなことで目的を違えたりしない……。			ふたつの欠片							
「バハムート」の復活を完全に阻止するには、すべてのテンパードを排除するほかないわ。			「バハムート」の復活を完全に阻止するには、すべてのテンパードを排除するほかないわ。			ふたつの欠片							
このまま拘束艦を停止させれば、ドラゴン族の生命を維持する仕掛けも止まるはずよ。……先を急ぎましょう。			このまま拘束艦を停止させれば、ドラゴン族の生命を維持する仕掛けも止まるはずよ。……先を急ぎましょう。			ふたつの欠片							
アリゼー、この区画は……。			アリゼー、この区画は……。			ふたつの欠片							
ええ、入るときに、もしかしたらと思ったけど……。ここは、壊れる前の「ダラガブ」を模してるのね。			ええ、入るときに、もしかしたらと思ったけど……。ここは、壊れる前の「ダラガブ」を模してるのね。			ふたつの欠片							
ダラガブに封じられていた「バハムート」も、こんな光景を見続けていたのかもしれない。			ダラガブに封じられていた「バハムート」も、こんな光景を見続けていたのかもしれない。			ふたつの欠片							
いくつもの拘束艦に囚われ、消えることもできず……数千年の間、ただ、人への恨みを募らせる……。			いくつもの拘束艦に囚われ、消えることもできず……数千年の間、ただ、人への恨みを募らせる……。			ふたつの欠片							
人には敗北を、人には絶望を……か。なるほど、ネールにそう命じるわけだわ。			人には敗北を、人には絶望を……か。なるほど、ネールにそう命じるわけだわ。			ふたつの欠片							
蛮神「バハムート」が抱く恨みは、深くて重い。だからこそ、奴の復活は絶対に阻止しなくてはならない。			蛮神「バハムート」が抱く恨みは、深くて重い。だからこそ、奴の復活は絶対に阻止しなくてはならない。			ふたつの欠片							
それにね……。殺したいほど相手が憎いのは、こちらも同じなのよ……！			それにね……。殺したいほど相手が憎いのは、こちらも同じなのよ……！			ふたつの欠片							
アリゼーは、大迷宮バハムートの物語に幕を引くようだ。			アリゼーは、大迷宮バハムートの物語に幕を引くようだ。			真成を胸に……							
アリゼーやアルフィノとともに、拘束艦から帰還した。北ザナラーンの青燐精製所にいる「ウリエンジェ」に報告しよう。			アリゼーやアルフィノとともに、拘束艦から帰還した。北ザナラーンの青燐精製所にいる「ウリエンジェ」に報告しよう。			真成を胸に……							
ウリエンジェに、大迷宮バハムートの調査を終えたことを報告した。蛮神「バハムート」は消滅し、二度と蘇ることはない。ルイゾワやネールへ、そして第七霊災で失われた命への弔いをすませたアリゼーは、自分自身の守るものを見定めるべく、何処かへと旅立っていった。冒険者もまた、エオルゼアの剣として、新たな脅威と戦っていくことだろう……。			ウリエンジェに、大迷宮バハムートの調査を終えたことを報告した。蛮神「バハムート」は消滅し、二度と蘇ることはない。ルイゾワやネールへ、そして第七霊災で失われた命への弔いをすませたアリゼーは、自分自身の守るものを見定めるべく、何処かへと旅立っていった。冒険者もまた、エオルゼアの剣として、新たな脅威と戦っていくことだろう……。			真成を胸に……							
青燐精製所のウリエンジェと話す			青燐精製所のウリエンジェと話す			真成を胸に……							
みんな、無事に戻ってこれたみたいね。ふぅ……こんな淀んだ空でも、やっぱり外っていいものだわ。			みんな、無事に戻ってこれたみたいね。ふぅ……こんな淀んだ空でも、やっぱり外っていいものだわ。			真成を胸に……							
約束した通り、第七霊災の真実は口外しないつもりよ。……とはいえ、メテオの傷跡に潜む脅威が退けられたことは、各国に共有しておくべきでしょうね。			約束した通り、第七霊災の真実は口外しないつもりよ。……とはいえ、メテオの傷跡に潜む脅威が退けられたことは、各国に共有しておくべきでしょうね。			真成を胸に……							
余計な詮索から、真実を守るため……そして、あの危険な場所へ、誰も立ち入らせないためにも、メテオの傷跡の封鎖を進言するとしましょう。			余計な詮索から、真実を守るため……そして、あの危険な場所へ、誰も立ち入らせないためにも、メテオの傷跡の封鎖を進言するとしましょう。			真成を胸に……							
……何にせよ、まずはウリエンジェに報告しないとね。「青燐精製所」で待っているはずだから、行きましょう。			……何にせよ、まずはウリエンジェに報告しないとね。「青燐精製所」で待っているはずだから、行きましょう。			真成を胸に……							
君たちが戦ってくれたとはいえ、あんな場所に同行するのは、心身が削れる思いだったよ。すごいな……君も、アリゼーも……。			君たちが戦ってくれたとはいえ、あんな場所に同行するのは、心身が削れる思いだったよ。すごいな……君も、アリゼーも……。			真成を胸に……							
まずは、ウリエンジェに報告しないとね。「青燐精製所」で待っているはずだから、行きましょう。			まずは、ウリエンジェに報告しないとね。「青燐精製所」で待っているはずだから、行きましょう。			真成を胸に……							
光は深淵までをも照らし、再び地上に輝かん……。			光は深淵までをも照らし、再び地上に輝かん……。			真成を胸に……							
あなた方の帰還をお待ちしておりました。拘束艦は、地の底で黙したのでしょうか……？			あなた方の帰還をお待ちしておりました。拘束艦は、地の底で黙したのでしょうか……？			真成を胸に……							
拘束艦は停止したよ……2つともね。			拘束艦は停止したよ……2つともね。			真成を胸に……							
蛮神「バハムート」は、完全に消滅したわ。			蛮神「バハムート」は、完全に消滅したわ。			真成を胸に……							
アリゼー様！　アルフィノ様！こ、これは……何たる凄惨な様相……！			アリゼー様！　アルフィノ様！こ、これは……何たる凄惨な様相……！			真成を胸に……							
不肖なれど、師の令孫を預かりし身……。おふたりに大事があれば、我が師ルイゾワに顔向けができません。			不肖なれど、師の令孫を預かりし身……。おふたりに大事があれば、我が師ルイゾワに顔向けができません。			真成を胸に……							
して、怪我の様態は……？い、痛みはあるのですか……？			して、怪我の様態は……？い、痛みはあるのですか……？			真成を胸に……							
ふふっ……。ウリエンジェでも、こんなに慌てることってあるのね！			ふふっ……。ウリエンジェでも、こんなに慌てることってあるのね！			真成を胸に……							
大丈夫よ、怪我はほとんど治ってるから。多分これも、お祖父様のおかげだわ。			大丈夫よ、怪我はほとんど治ってるから。多分これも、お祖父様のおかげだわ。			真成を胸に……							
我が師の……？それは思いもよらぬ運命の巡り。しかも、拘束艦を2つも止めたとは、いったい……。			我が師の……？それは思いもよらぬ運命の巡り。しかも、拘束艦を2つも止めたとは、いったい……。			真成を胸に……							
詳しくは後で話す。それよりも、至急頼みたいことがあるの。			詳しくは後で話す。それよりも、至急頼みたいことがあるの。			真成を胸に……							
蛮神「バハムート」が消滅したこの機に、各地のメテオの傷跡を封鎖したいのよ。			蛮神「バハムート」が消滅したこの機に、各地のメテオの傷跡を封鎖したいのよ。			真成を胸に……							
それから、各国にも危機が去ったことを伝えないと。仰々しい書簡にしたためている場合じゃないし、すぐに都市をまわる準備を……			それから、各国にも危機が去ったことを伝えないと。仰々しい書簡にしたためている場合じゃないし、すぐに都市をまわる準備を……			真成を胸に……							
待った……。そういった手回しなら、私とウリエンジェで受け持とう。アリゼーは、しばらく体を休めていた方がいい。			待った……。そういった手回しなら、私とウリエンジェで受け持とう。アリゼーは、しばらく体を休めていた方がいい。			真成を胸に……							
……どうして？私、元気だって言ってるのに。			……どうして？私、元気だって言ってるのに。			真成を胸に……							
あっ、さてはアルフィノ、この件を政治の餌にする気ね？あなたって、いつも大事なところを持ってくんだから！			あっ、さてはアルフィノ、この件を政治の餌にする気ね？あなたって、いつも大事なところを持ってくんだから！			真成を胸に……							
いや、私はだな……。			いや、私はだな……。			真成を胸に……							
アリゼー様。アルフィノ様は、己の役目を……すなわち、兄らしい心遣いをなさっているのかと。			アリゼー様。アルフィノ様は、己の役目を……すなわち、兄らしい心遣いをなさっているのかと。			真成を胸に……							
……手回しなら、私の方が得意だというだけさ。書簡を書くことさえ面倒くさがる、アリゼーに比べてね。			……手回しなら、私の方が得意だというだけさ。書簡を書くことさえ面倒くさがる、アリゼーに比べてね。			真成を胸に……							
行こう、ウリエンジェ。近くまでチョコボ・キャリッジを手配してくれ。詳しい話も、そこでしよう。			行こう、ウリエンジェ。近くまでチョコボ・キャリッジを手配してくれ。詳しい話も、そこでしよう。			真成を胸に……							
アルフィノ……！			アルフィノ……！			真成を胸に……							
……私たち、道は違っても、目指すところは同じよね？			……私たち、道は違っても、目指すところは同じよね？			真成を胸に……							
もちろんだとも。あの奇跡が一度きりのものだったとしても……心はまだ、同じ場所にあるはずだ。			もちろんだとも。あの奇跡が一度きりのものだったとしても……心はまだ、同じ場所にあるはずだ。			真成を胸に……							
……うん、ありがとう。			……うん、ありがとう。			真成を胸に……							
少し、場所を変えましょうか。行きたいところがあるから、もう少しつきあってもらえる？			少し、場所を変えましょうか。行きたいところがあるから、もう少しつきあってもらえる？			真成を胸に……							
……やっぱり、先に身支度を整えさせて。ウリエンジェの言うとおり、私、酷い格好だわ……。			……やっぱり、先に身支度を整えさせて。ウリエンジェの言うとおり、私、酷い格好だわ……。			真成を胸に……							
やっぱり、地上の風景は変わらないのね。			やっぱり、地上の風景は変わらないのね。			真成を胸に……							
蛮神「バハムート」が消えても、ダラガブの破片はなくならない……。この先何十年も、変わらずに残り続けるんだわ。			蛮神「バハムート」が消えても、ダラガブの破片はなくならない……。この先何十年も、変わらずに残り続けるんだわ。			真成を胸に……							
……それでも、人の命は続いていく。新生したエオルゼアを、ゆっくりと受け入れながらね。			……それでも、人の命は続いていく。新生したエオルゼアを、ゆっくりと受け入れながらね。			真成を胸に……							
もっと、破片のそばまで行きましょう。			もっと、破片のそばまで行きましょう。			真成を胸に……							
……アルフィノのことだから、第七霊災の真実は、上手く隠すと思うわ。			……アルフィノのことだから、第七霊災の真実は、上手く隠すと思うわ。			真成を胸に……							
偽りなき真実、すなわち「真成」は、然るべき時まで眠りについて……もしかしたら、永遠に人々へ明かされないのかもしれない。			偽りなき真実、すなわち「真成」は、然るべき時まで眠りについて……もしかしたら、永遠に人々へ明かされないのかもしれない。			真成を胸に……							
それはもちろん、私も了承してるけど…………。			それはもちろん、私も了承してるけど…………。			真成を胸に……							
「バハムート」が消えたのは、あなたの功績よ。それを誰にも伝えられないことが、少し……ううん、本当はすごく悔しいのよ。			「バハムート」が消えたのは、あなたの功績よ。それを誰にも伝えられないことが、少し……ううん、本当はすごく悔しいのよ。			真成を胸に……							
……そうね。記録に残らなくたって、変わらないもの。それが「真実」……。			……そうね。記録に残らなくたって、変わらないもの。それが「真実」……。			真成を胸に……							
私、ずっと覚えてる。あなたがお祖父様の魂を救い、「バハムート」からエオルゼアを救った英雄だって。			私、ずっと覚えてる。あなたがお祖父様の魂を救い、「バハムート」からエオルゼアを救った英雄だって。			真成を胸に……							
誰が称えなくても、この地に人が生きるかぎり、きっと残っていくわ。			誰が称えなくても、この地に人が生きるかぎり、きっと残っていくわ。			真成を胸に……							
……良さそうね、ここにしましょう。			……良さそうね、ここにしましょう。			真成を胸に……							
お祖父様とネール、メラシディアのドラゴン族たち……第七霊災で失われた、すべての者に…………。			お祖父様とネール、メラシディアのドラゴン族たち……第七霊災で失われた、すべての者に…………。			真成を胸に……							
蛮神「バハムート」との戦いは終わったわ。たくさんの犠牲と祈りをうけて新生した世界を、私たちは、明日に向かって生きていく……。			蛮神「バハムート」との戦いは終わったわ。たくさんの犠牲と祈りをうけて新生した世界を、私たちは、明日に向かって生きていく……。			真成を胸に……							
悲しくても、立ち上がれたから。私も……エオルゼアも。			悲しくても、立ち上がれたから。私も……エオルゼアも。			真成を胸に……							
……私ね、この件の後始末が終わったら、旅に出てみる。			……私ね、この件の後始末が終わったら、旅に出てみる。			真成を胸に……							
お祖父様の遺志を追うのではなく……私自身の、守るべき「エオルゼア」を見つけていくの。			お祖父様の遺志を追うのではなく……私自身の、守るべき「エオルゼア」を見つけていくの。			真成を胸に……							
そして、私なりのやり方で守っていきたい……。			そして、私なりのやり方で守っていきたい……。			真成を胸に……							
いつか、あなたの力にもなれたらいいんだけど。あなたは、私がこの地で最初に見つけた、かけがえのないものだから……。			いつか、あなたの力にもなれたらいいんだけど。あなたは、私がこの地で最初に見つけた、かけがえのないものだから……。			真成を胸に……							
これから先も、いろんな試練と戦って、強くなっていくんでしょう？			これから先も、いろんな試練と戦って、強くなっていくんでしょう？			真成を胸に……							
……私も負けない。もちろん、アルフィノにだって負けないわ。			……私も負けない。もちろん、アルフィノにだって負けないわ。			真成を胸に……							
そして、いつの日か。私が、エオルゼアの「剣」になってみせる……。			そして、いつの日か。私が、エオルゼアの「剣」になってみせる……。			真成を胸に……							
それまで、しばらくさよならよ。			それまで、しばらくさよならよ。			真成を胸に……							
ありがとう……エオルゼアを守った、本当の光の戦士……。あなたの未来にも、光がありますように。			ありがとう……エオルゼアを守った、本当の光の戦士……。あなたの未来にも、光がありますように。			真成を胸に……							
本クエストを受注する前に、「大迷宮バハムート：真成編」初回攻略時に、再生されたカットシーンを確認することができます。			本クエストを受注する前に、「大迷宮バハムート：真成編」初回攻略時に、再生されたカットシーンを確認することができます。			真成を胸に……							
カットシーンを再生しますか？			カットシーンを再生しますか？			真成を胸に……							
