カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
サンシーカー族の若者は、メ・ゼト・ティアと名乗った。メ・ラツ・ヌンから「ヌン」の座を奪おうとする彼のために、修行をつけることになった。まずは冒険者の強さを見せるため、ピーリングストーンズ付近の「指定地点」で見渡し、現れた「アルファ・ガゼル」を討伐しよう。			サンシーカー族の若者は、メ・ゼト・ティアと名乗った。メ・ラツ・ヌンから「ヌン」の座を奪おうとする彼のために、修行をつけることになった。まずは冒険者の強さを見せるため、ピーリングストーンズ付近の「指定地点」で見渡し、現れた「アルファ・ガゼル」を討伐しよう。			不屈の若者							
アルファ・ガゼルを討伐した。「メ・ゼト・ティア」と話そう。			アルファ・ガゼルを討伐した。「メ・ゼト・ティア」と話そう。			不屈の若者							
メ・ゼト・ティアは、冒険者の戦いを見て、なぜか自信をつけたようだ。心の準備が整い次第、メ・ラツ・ヌンに再戦を挑むという。			メ・ゼト・ティアは、冒険者の戦いを見て、なぜか自信をつけたようだ。心の準備が整い次第、メ・ラツ・ヌンに再戦を挑むという。			不屈の若者							
サンシーカー族の若者を探す			サンシーカー族の若者を探す			不屈の若者							
指定地点で見渡してアルファ・ガゼルを討伐			指定地点で見渡してアルファ・ガゼルを討伐			不屈の若者							
メ・ゼト・ティアと話す			メ・ゼト・ティアと話す			不屈の若者							
……時に、冒険者の客人よ。多忙の身とは思うが、私の頼みを聞いてはもらえんだろうか。			……時に、冒険者の客人よ。多忙の身とは思うが、私の頼みを聞いてはもらえんだろうか。			不屈の若者							
近頃、素性の知れないサンシーカー族の若者から、幾度も決闘を申し込まれていてな。			近頃、素性の知れないサンシーカー族の若者から、幾度も決闘を申し込まれていてな。			不屈の若者							
どうやら、私の「ヌン」の座……つまりメ族を仕切る族長の立場を狙う者のようだ。強い者が「ヌン」となるのが伝統ゆえ、その点は問題ない。			どうやら、私の「ヌン」の座……つまりメ族を仕切る族長の立場を狙う者のようだ。強い者が「ヌン」となるのが伝統ゆえ、その点は問題ない。			不屈の若者							
ところが、これがまた話にならないぐらい弱くてな。何度も何度も、叩きのめして追い返しているのだ。最初の頃は、面倒なヤツだと思っていたが……			ところが、これがまた話にならないぐらい弱くてな。何度も何度も、叩きのめして追い返しているのだ。最初の頃は、面倒なヤツだと思っていたが……			不屈の若者							
そのうちに、決して諦めず立ち向かってくる、あの若者の気概を気に入ってしまってな。お前さえよければ、修行をつけてやってはもらえないだろうか。			そのうちに、決して諦めず立ち向かってくる、あの若者の気概を気に入ってしまってな。お前さえよければ、修行をつけてやってはもらえないだろうか。			不屈の若者							
敵を助けるなど馬鹿げたことだが、まぁ、酔狂だと思ってくれ。奴の根城は、ヴィルジャラの涸れ谷の南部にあるようだ。手間をかけるが、よろしく頼む。			敵を助けるなど馬鹿げたことだが、まぁ、酔狂だと思ってくれ。奴の根城は、ヴィルジャラの涸れ谷の南部にあるようだ。手間をかけるが、よろしく頼む。			不屈の若者							
貴様、最近メ族の集落に出入りしている冒険者だな。オレに何の用だ。			貴様、最近メ族の集落に出入りしている冒険者だな。オレに何の用だ。			不屈の若者							
メ族の「ヌン」に頼まれて、このオレに修行をつけに来ただと？……ククク、敵に塩を送るなど、見くびられたものだな！			メ族の「ヌン」に頼まれて、このオレに修行をつけに来ただと？……ククク、敵に塩を送るなど、見くびられたものだな！			不屈の若者							
面白いッ！ならば、貴様の力を見せてもらおうか！			面白いッ！ならば、貴様の力を見せてもらおうか！			不屈の若者							
(-サンシーカー族の若者-)ぐ、ぐぞぉぉぉぉ……こんなはずじゃ……どうして、どうしてオレはこんなにも弱いんだぁぁぁぁ！！			(-サンシーカー族の若者-)ぐ、ぐぞぉぉぉぉ……こんなはずじゃ……どうして、どうしてオレはこんなにも弱いんだぁぁぁぁ！！			不屈の若者							
……お、おい、お前！！			……お、おい、お前！！			不屈の若者							
あ……いや……し、師匠！今日からあなたを師と仰がせてください！だって、そのために来たんですよね！？			あ……いや……し、師匠！今日からあなたを師と仰がせてください！だって、そのために来たんですよね！？			不屈の若者							
や、やったー！　ククク、見てろよメ族の「ヌン」め！師匠の武を学び、必ずやその座を奪ってやる！			や、やったー！　ククク、見てろよメ族の「ヌン」め！師匠の武を学び、必ずやその座を奪ってやる！			不屈の若者							
……そう、オレは親父のような弱い男では終わらない……。絶対に、強くなるんだ……。そのためには、敵の差し金だろうと利用する……。			……そう、オレは親父のような弱い男では終わらない……。絶対に、強くなるんだ……。そのためには、敵の差し金だろうと利用する……。			不屈の若者							
……そういえば、まだ名乗っていませんでしたね。オレ、メ・ゼトっていいます。これからよろしくっす、師匠！			……そういえば、まだ名乗っていませんでしたね。オレ、メ・ゼトっていいます。これからよろしくっす、師匠！			不屈の若者							
(-メ・ゼト・ティア-)それじゃ早速、師匠の戦い方をオレに見せてもらえますか？さっきは一瞬で倒されて、よく見えなかったので……。			(-メ・ゼト・ティア-)それじゃ早速、師匠の戦い方をオレに見せてもらえますか？さっきは一瞬で倒されて、よく見えなかったので……。			不屈の若者							
(-メ・ゼト・ティア-)ちょ、ちょっと待ってください！戦う相手は、オレじゃないです！			(-メ・ゼト・ティア-)ちょ、ちょっと待ってください！戦う相手は、オレじゃないです！			不屈の若者							
(-メ・ゼト・ティア-)ピーリングストーンズ周辺に、大物のガゼルがいるので、そいつにしましょう！			(-メ・ゼト・ティア-)ピーリングストーンズ周辺に、大物のガゼルがいるので、そいつにしましょう！			不屈の若者							
(-メ・ゼト・ティア-)それじゃ、出発しますよー！			(-メ・ゼト・ティア-)それじゃ、出発しますよー！			不屈の若者							
かつて私も、一族でもっとも弱い男と呼ばれていた時がある。だが、厳しい修行を越えて、「ヌン」の座まで上り詰めたのだ。			かつて私も、一族でもっとも弱い男と呼ばれていた時がある。だが、厳しい修行を越えて、「ヌン」の座まで上り詰めたのだ。			不屈の若者							
あの若者のひたむきさは、私に懐古の情を起こさせる……彼のような男が増えればいいのだがな。			あの若者のひたむきさは、私に懐古の情を起こさせる……彼のような男が増えればいいのだがな。			不屈の若者							
例のガゼルは、この辺りを餌場にしてるようです。周りを「見渡して」、姿を探してみましょう！			例のガゼルは、この辺りを餌場にしてるようです。周りを「見渡して」、姿を探してみましょう！			不屈の若者							
さすがは師匠！　見事な戦いぶりでした！オレも、見ているだけで何だか強くなった気がします！			さすがは師匠！　見事な戦いぶりでした！オレも、見ているだけで何だか強くなった気がします！			不屈の若者							
もしかして、今ならメ族の「ヌン」にも勝てるかもしれない……？いやでも待てよ、まだ心の準備が……。			もしかして、今ならメ族の「ヌン」にも勝てるかもしれない……？いやでも待てよ、まだ心の準備が……。			不屈の若者							
ギラバニア辺境地帯のメ・ゼト・ティアは、強くなりたいようだ。			ギラバニア辺境地帯のメ・ゼト・ティアは、強くなりたいようだ。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、強い「ヌン」となって孤独を脱するため、もう一度修行をつけてほしいようだ。「メ・ゼト・ティア」を追いかけよう。			メ・ゼト・ティアは、強い「ヌン」となって孤独を脱するため、もう一度修行をつけてほしいようだ。「メ・ゼト・ティア」を追いかけよう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、帝国軍の部隊が残していった兵器を使って、修行を行うという。ギラバニア辺境地帯のパイクフォールズにいるメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアは、帝国軍の部隊が残していった兵器を使って、修行を行うという。ギラバニア辺境地帯のパイクフォールズにいるメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、火薬の多さに戸惑っているようだ。再び、パイクフォールズのメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアは、火薬の多さに戸惑っているようだ。再び、パイクフォールズのメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、ちゃんと火薬が抜けているか不安に思っているようだ。さらにもう一度、パイクフォールズのメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアは、ちゃんと火薬が抜けているか不安に思っているようだ。さらにもう一度、パイクフォールズのメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、うっかり火薬を抜き忘れたことを確信したようだ。パイクフォールズのメ・ゼト・ティアと話そう。			メ・ゼト・ティアは、うっかり火薬を抜き忘れたことを確信したようだ。パイクフォールズのメ・ゼト・ティアと話そう。			メ・ゼト・ティアよ永遠に							
修行の結果、メ・ゼト・ティアは、「ヌン」に勝てると確信したようだ。メ・ゼト・ティアの回復を待とう。			修行の結果、メ・ゼト・ティアは、「ヌン」に勝てると確信したようだ。メ・ゼト・ティアの回復を待とう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアを追う			メ・ゼト・ティアを追う			メ・ゼト・ティアよ永遠に							
XLII式グレネードをメ・ゼト・ティアに当てる			XLII式グレネードをメ・ゼト・ティアに当てる			メ・ゼト・ティアよ永遠に							
XLII式グレネードをメ・ゼト・ティアに再度当てる			XLII式グレネードをメ・ゼト・ティアに再度当てる			メ・ゼト・ティアよ永遠に							
XLII式グレネードをメ・ゼト・ティアにさらに当てる			XLII式グレネードをメ・ゼト・ティアにさらに当てる			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアと話す			メ・ゼト・ティアと話す			メ・ゼト・ティアよ永遠に							
それじゃ、修行を再開しましょう。			それじゃ、修行を再開しましょう。			メ・ゼト・ティアよ永遠に							
どうもオレには、強靱さが欠けているような気がします。「ヌン」にも師匠にも、一撃でやられるぐらいだし……。			どうもオレには、強靱さが欠けているような気がします。「ヌン」にも師匠にも、一撃でやられるぐらいだし……。			メ・ゼト・ティアよ永遠に							
そこで、オレに秘策があります！師匠、ついてきてください！			そこで、オレに秘策があります！師匠、ついてきてください！			メ・ゼト・ティアよ永遠に							
見てください、帝国軍の部隊が残していった、「XLII式グレネード」です！			見てください、帝国軍の部隊が残していった、「XLII式グレネード」です！			メ・ゼト・ティアよ永遠に							
師匠は、何度も帝国と戦ったことがあるそうですね。メ族の奴らが噂しているのを、耳にしたんです。			師匠は、何度も帝国と戦ったことがあるそうですね。メ族の奴らが噂しているのを、耳にしたんです。			メ・ゼト・ティアよ永遠に							
なら、帝国の兵器を扱うことぐらい、わけないですよね！こいつを使って、強靱さを鍛える修行を行います！			なら、帝国の兵器を扱うことぐらい、わけないですよね！こいつを使って、強靱さを鍛える修行を行います！			メ・ゼト・ティアよ永遠に							
さあ、オレに向かって投げてください！大丈夫です、火薬を少し抜いておきましたから！まともに食らっても、死にはしませんって！			さあ、オレに向かって投げてください！大丈夫です、火薬を少し抜いておきましたから！まともに食らっても、死にはしませんって！			メ・ゼト・ティアよ永遠に							
ぐおっ……！？も、もっと火薬を……抜いて……おくべきだった……。			ぐおっ……！？も、もっと火薬を……抜いて……おくべきだった……。			メ・ゼト・ティアよ永遠に							
な、なんのこれしき！さあ、もう一回「XLII式グレネード」を投げてください！			な、なんのこれしき！さあ、もう一回「XLII式グレネード」を投げてください！			メ・ゼト・ティアよ永遠に							
耐えてみせる……！			耐えてみせる……！			メ・ゼト・ティアよ永遠に							
ぐぼあぁぁぁ……！！はぁ……はぁ……これ、本当に火薬……抜けてる……？			ぐぼあぁぁぁ……！！はぁ……はぁ……これ、本当に火薬……抜けてる……？			メ・ゼト・ティアよ永遠に							
い、いや……弱音を吐くな、オレ！さあ、もっと「XLII式グレネード」を！			い、いや……弱音を吐くな、オレ！さあ、もっと「XLII式グレネード」を！			メ・ゼト・ティアよ永遠に							
これ、思ってたよりずっと痛い……。			これ、思ってたよりずっと痛い……。			メ・ゼト・ティアよ永遠に							
ぐにゃあああぁぁぁぁぁ！！			ぐにゃあああぁぁぁぁぁ！！			メ・ゼト・ティアよ永遠に							
…………。			…………。			メ・ゼト・ティアよ永遠に							
あ、これ、確実に抜けてない……。火薬、一粒も抜けてないって、たった今、確信しました……。			あ、これ、確実に抜けてない……。火薬、一粒も抜けてないって、たった今、確信しました……。			メ・ゼト・ティアよ永遠に							
はぁ……はぁ……。ちょっと……タンマ……。			はぁ……はぁ……。ちょっと……タンマ……。			メ・ゼト・ティアよ永遠に							
……でもこれで、強靱な肉体を手に入れることができたはず……。これなら、「ヌン」にも勝てる！			……でもこれで、強靱な肉体を手に入れることができたはず……。これなら、「ヌン」にも勝てる！			メ・ゼト・ティアよ永遠に							
けど……ちょっとだけ……休ませてください……。			けど……ちょっとだけ……休ませてください……。			メ・ゼト・ティアよ永遠に							
ウィルラ・ニリヤのガリマは、頼みたいことがあるようだ。			ウィルラ・ニリヤのガリマは、頼みたいことがあるようだ。			母の寵愛							
ラクシュミアイリスを入手			ラクシュミアイリスを入手			母の寵愛							
ガリマにラクシュミアイリスを渡す			ガリマにラクシュミアイリスを渡す			母の寵愛							
シュー……ヒトの子よ。お前の力を借りたいことがある。			シュー……ヒトの子よ。お前の力を借りたいことがある。			母の寵愛							
我らアナンタ族にとっての必需品、ラクシュミアイリスが、カリヤナ派によって無節操に摘まれてしまってな。巣の近くで調達できなくなっているのだ。			我らアナンタ族にとっての必需品、ラクシュミアイリスが、カリヤナ派によって無節操に摘まれてしまってな。巣の近くで調達できなくなっているのだ。			母の寵愛							
ベロジナ川の西岸にも自生していると聞くが、縄張りを護ろうと戦う我々が、ヒトの縄張りを侵すわけにはいかぬ。そこで、ヒトであるお前に調達してきてもらいたいのだ。			ベロジナ川の西岸にも自生していると聞くが、縄張りを護ろうと戦う我々が、ヒトの縄張りを侵すわけにはいかぬ。そこで、ヒトであるお前に調達してきてもらいたいのだ。			母の寵愛							
ヒトであるお前には、たかが花、再び咲くのを待てばよかろうと思うかもしれない。だがこれには、えもいわれぬ事情があるのだ……。			ヒトであるお前には、たかが花、再び咲くのを待てばよかろうと思うかもしれない。だがこれには、えもいわれぬ事情があるのだ……。			母の寵愛							
どうか、我の代わりに、ベロジナ川の西岸に咲く、「ラクシュミアイリス」を5本、摘んできてくれ。すまないが、頼んだぞ……。			どうか、我の代わりに、ベロジナ川の西岸に咲く、「ラクシュミアイリス」を5本、摘んできてくれ。すまないが、頼んだぞ……。			母の寵愛							
どうか、我の代わりに、ベロジナ川の西岸に咲く、「ラクシュミアイリス」を5本、摘んできてくれ。すまないが、頼んだぞ……。			どうか、我の代わりに、ベロジナ川の西岸に咲く、「ラクシュミアイリス」を5本、摘んできてくれ。すまないが、頼んだぞ……。			母の寵愛							
シュー……「ラクシュミアイリス」は見つかったか？			シュー……「ラクシュミアイリス」は見つかったか？			母の寵愛							
シュー……おお、ヒトの子よ、大いに助かったぞ！これで、ようやく脱皮することができる。			シュー……おお、ヒトの子よ、大いに助かったぞ！これで、ようやく脱皮することができる。			母の寵愛							
アナンタの鱗は、美しくしなやかだが、一定周期で行われる脱皮の直後は、ひどく傷つきやすくなる。そこでこの花が、傷ついた鱗を癒やす薬の原料となるのだ。			アナンタの鱗は、美しくしなやかだが、一定周期で行われる脱皮の直後は、ひどく傷つきやすくなる。そこでこの花が、傷ついた鱗を癒やす薬の原料となるのだ。			母の寵愛							
美の神であるラクシュミ様の娘たる我々は、常に自身の美しさを保たねばならない。この花は、母からの愛が篭められた贈り物なのだよ。			美の神であるラクシュミ様の娘たる我々は、常に自身の美しさを保たねばならない。この花は、母からの愛が篭められた贈り物なのだよ。			母の寵愛							
シュー……母の愛のありがたみを忘れ、むやみに乱獲を行う、カリヤナ派の連中のようには、なりたくないものだな。			シュー……母の愛のありがたみを忘れ、むやみに乱獲を行う、カリヤナ派の連中のようには、なりたくないものだな。			母の寵愛							
ウィルラ・ニリヤのプラプティは、縄張りを荒らされ困っているようだ。			ウィルラ・ニリヤのプラプティは、縄張りを荒らされ困っているようだ。			縄張り交渉人							
アナンタ族の狩場へ向かう			アナンタ族の狩場へ向かう			縄張り交渉人							
ウィルラの狩人と話す			ウィルラの狩人と話す			縄張り交渉人							
リーダーらしき若者と話す			リーダーらしき若者と話す			縄張り交渉人							
プラプティに報告			プラプティに報告			縄張り交渉人							
シュー……ヒトの子よ。お前に頼みたいことがある。			シュー……ヒトの子よ。お前に頼みたいことがある。			縄張り交渉人							
近頃、我々の狩場から、獲物を掠め取る、卑しきヒトがいるようでな……。縄張りを荒らされ、困っているのだ。			近頃、我々の狩場から、獲物を掠め取る、卑しきヒトがいるようでな……。縄張りを荒らされ、困っているのだ。			縄張り交渉人							
そこで、お前に仲介役を頼みたいのだ。こちらとしては、あまり事を荒立てたくはない。同じ「脱皮せぬ者」同士のほうが、話が進むだろう。			そこで、お前に仲介役を頼みたいのだ。こちらとしては、あまり事を荒立てたくはない。同じ「脱皮せぬ者」同士のほうが、話が進むだろう。			縄張り交渉人							
すでに仲間が現地で待機している。お前もすぐに向かい、合流してほしい。場所は、「ウィルラ・ニリヤ」を南東へ進んだ所だ。			すでに仲間が現地で待機している。お前もすぐに向かい、合流してほしい。場所は、「ウィルラ・ニリヤ」を南東へ進んだ所だ。			縄張り交渉人							
すでに仲間が現地で待機している。お前もすぐに向かい、合流してほしい。場所は、「ウィルラ・ニリヤ」を南東へ進んだ所だ。			すでに仲間が現地で待機している。お前もすぐに向かい、合流してほしい。場所は、「ウィルラ・ニリヤ」を南東へ進んだ所だ。			縄張り交渉人							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			縄張り交渉人							
邪魔をするならお前も殺すぞ！			邪魔をするならお前も殺すぞ！			縄張り交渉人							
くそ！何者なんだコイツらは！			くそ！何者なんだコイツらは！			縄張り交渉人							
シュー……ヒトの子よ、助かったぞ……。彼らに、我々の狩場から出ていくよう伝えようとした所、話をする間もなく襲いかかってきたのだ。			シュー……ヒトの子よ、助かったぞ……。彼らに、我々の狩場から出ていくよう伝えようとした所、話をする間もなく襲いかかってきたのだ。			縄張り交渉人							
くそ……オレらがなにをしたって言うんだ！			くそ……オレらがなにをしたって言うんだ！			縄張り交渉人							
シュー……どうも我々のことを、誤解しているようだ。追いかけて、話をしたいが、先ほどの戦闘で負傷してしまった。			シュー……どうも我々のことを、誤解しているようだ。追いかけて、話をしたいが、先ほどの戦闘で負傷してしまった。			縄張り交渉人							
すまないが、代わりに話をつけてきてもらえるだろうか？奴らの「リーダーらしき若者」は、南の方へ逃げたようだ。頼んだぞ。			すまないが、代わりに話をつけてきてもらえるだろうか？奴らの「リーダーらしき若者」は、南の方へ逃げたようだ。頼んだぞ。			縄張り交渉人							
アンタ、あの化け物どもと一緒にいた……！オレを追いかけてきて、どうするつもりだ！！			アンタ、あの化け物どもと一緒にいた……！オレを追いかけてきて、どうするつもりだ！！			縄張り交渉人							
なんだって……？彼らは、あの場所が、自分たちの縄張りだと伝えようとしていただけだって？			なんだって……？彼らは、あの場所が、自分たちの縄張りだと伝えようとしていただけだって？			縄張り交渉人							
そうだったのか……それは悪いことをした。姿が書物で読んだ、古代アラグ文明の異形の化け物、「ラミア」に、そっくりだったもんでな……。			そうだったのか……それは悪いことをした。姿が書物で読んだ、古代アラグ文明の異形の化け物、「ラミア」に、そっくりだったもんでな……。			縄張り交渉人							
オレたちは、山岳地帯の生まれでな……。帝国の支配下で、通行を制限されていたもので、辺境地帯に来たのも、初めてのことだったんだ。			オレたちは、山岳地帯の生まれでな……。帝国の支配下で、通行を制限されていたもので、辺境地帯に来たのも、初めてのことだったんだ。			縄張り交渉人							
だが、辺境地帯から帝国が撤退した噂を聞いて、食料を探しに来たんだが……縄張りのことも知らなければ、本物の「アナンタ族」を見るのも、初めてだった……。			だが、辺境地帯から帝国が撤退した噂を聞いて、食料を探しに来たんだが……縄張りのことも知らなければ、本物の「アナンタ族」を見るのも、初めてだった……。			縄張り交渉人							
飢えていたとはいえ、彼女たちには悪いことをした。アナンタ族の縄張りには、二度と近づかないことを約束するよ。アンタからも、本当にすまなかったと伝えてくれ。			飢えていたとはいえ、彼女たちには悪いことをした。アナンタ族の縄張りには、二度と近づかないことを約束するよ。アンタからも、本当にすまなかったと伝えてくれ。			縄張り交渉人							
シュー……ヒトの子よ。戻った仲間の話によると、襲撃者は狩場より南に逃げたそうだ。追いかけて、話をつけてきてもらいたい。			シュー……ヒトの子よ。戻った仲間の話によると、襲撃者は狩場より南に逃げたそうだ。追いかけて、話をつけてきてもらいたい。			縄張り交渉人							
シュー……戻ったか、ヒトの子よ。奴らと話すことはできたのか？			シュー……戻ったか、ヒトの子よ。奴らと話すことはできたのか？			縄張り交渉人							
シュー……此度の件、メ族の狩人の仕業かと思っていたが、杞憂に終わって安心したぞ。メ族とは、今後も友好的でありたいからな。			シュー……此度の件、メ族の狩人の仕業かと思っていたが、杞憂に終わって安心したぞ。メ族とは、今後も友好的でありたいからな。			縄張り交渉人							
……それにしても、狩場を横取りしようとした若者たち、そこまで飢えているのなら、食料の取引を考えてやってもいい。			……それにしても、狩場を横取りしようとした若者たち、そこまで飢えているのなら、食料の取引を考えてやってもいい。			縄張り交渉人							
我らは彫金細工に使う鉱石を求めている。彼らが調達してくれるというのなら、報酬として食料を分けてやるのも、やぶさかではない。			我らは彫金細工に使う鉱石を求めている。彼らが調達してくれるというのなら、報酬として食料を分けてやるのも、やぶさかではない。			縄張り交渉人							
シュー……さて、ヒトの子よ。お前の貢献のおかげで、大事にならずに済んだ。礼を言うぞ。			シュー……さて、ヒトの子よ。お前の貢献のおかげで、大事にならずに済んだ。礼を言うぞ。			縄張り交渉人							
ウィルラ・ニリヤのウィルラの狩人は、探し物をしているようだ。			ウィルラ・ニリヤのウィルラの狩人は、探し物をしているようだ。			心を写すもの							
ウィルラの狩人と話す			ウィルラの狩人と話す			心を写すもの							
ガガナを討伐し、まれに得られるクリスタルの装飾具を入手			ガガナを討伐し、まれに得られるクリスタルの装飾具を入手			心を写すもの							
ウィルラの狩人にクリスタルの装飾具を渡す			ウィルラの狩人にクリスタルの装飾具を渡す			心を写すもの							
ウィルラの狩人に報告			ウィルラの狩人に報告			心を写すもの							
シュー……ヒトの子よ。帝国軍を打ち破ったという、お前の度胸を買って、頼みたいことがある。			シュー……ヒトの子よ。帝国軍を打ち破ったという、お前の度胸を買って、頼みたいことがある。			心を写すもの							
狩りの最中にガガナの大群に襲われ、大切にしていた宝飾品を紛失してしまってな……。			狩りの最中にガガナの大群に襲われ、大切にしていた宝飾品を紛失してしまってな……。			心を写すもの							
懸命に探しはしたものの、未だに見つからぬ。もしかすると、ガガナが食ってしまったのかもしれぬ。奴らは、光る物に興味を示す習性があるからな。			懸命に探しはしたものの、未だに見つからぬ。もしかすると、ガガナが食ってしまったのかもしれぬ。奴らは、光る物に興味を示す習性があるからな。			心を写すもの							
しかし、だからと言って諦めるわけにもいかぬ。あれは我が姉より譲り受けた大切な品。奴らの胃袋をかっさばいてでも取り戻してみせる。			しかし、だからと言って諦めるわけにもいかぬ。あれは我が姉より譲り受けた大切な品。奴らの胃袋をかっさばいてでも取り戻してみせる。			心を写すもの							
しかし、大群を相手にひとりでは心許ない。そこで、お前の力を貸してほしい。頼まれてくれるなら、「北東の狩場」まで来てほしい。			しかし、大群を相手にひとりでは心許ない。そこで、お前の力を貸してほしい。頼まれてくれるなら、「北東の狩場」まで来てほしい。			心を写すもの							
シュー……。クリスタルの装飾具を口にしたのは、こやつではないようだな……。			シュー……。クリスタルの装飾具を口にしたのは、こやつではないようだな……。			心を写すもの							
やはり、お前の力が必要だ。周辺の「ガガナ」を倒し、「クリスタルの装飾具」を見つけてくれ。			やはり、お前の力が必要だ。周辺の「ガガナ」を倒し、「クリスタルの装飾具」を見つけてくれ。			心を写すもの							
周辺の「ガガナ」を倒し、「クリスタルの装飾具」を探してくれ。			周辺の「ガガナ」を倒し、「クリスタルの装飾具」を探してくれ。			心を写すもの							
シュー……「クリスタルの装飾具」は見つかったか？			シュー……「クリスタルの装飾具」は見つかったか？			心を写すもの							
シュー……よくぞ見つけ出してくれた！これこそが、我が探していたクリスタルの装飾具だ！			シュー……よくぞ見つけ出してくれた！これこそが、我が探していたクリスタルの装飾具だ！			心を写すもの							
さあ、早くウィルラ・ニリヤに戻ろう。お前に渡す報酬の品を、用意しなければならぬ。			さあ、早くウィルラ・ニリヤに戻ろう。お前に渡す報酬の品を、用意しなければならぬ。			心を写すもの							
シュー……待っていたぞ、ヒトの子よ。ところで、お前は聞いたことはあるか？我々アナンタ族が、魔法を操り、彫金細工を作ることを。			シュー……待っていたぞ、ヒトの子よ。ところで、お前は聞いたことはあるか？我々アナンタ族が、魔法を操り、彫金細工を作ることを。			心を写すもの							
美神の娘である我々が作った宝飾品は、どれも珠玉の逸品だ。特に、クリスタルを素材に用いて作成した物は、「心を写すもの」として大切にされる。			美神の娘である我々が作った宝飾品は、どれも珠玉の逸品だ。特に、クリスタルを素材に用いて作成した物は、「心を写すもの」として大切にされる。			心を写すもの							
そして、持ち主が死を迎えるときは……もっとも親しい者へと譲り渡すのだ。			そして、持ち主が死を迎えるときは……もっとも親しい者へと譲り渡すのだ。			心を写すもの							
……このクリスタルの装飾具は、帝国軍の兵士に殺された姉の形見。だからこそ、私は諦めることができなかった……。			……このクリスタルの装飾具は、帝国軍の兵士に殺された姉の形見。だからこそ、私は諦めることができなかった……。			心を写すもの							
お前は、姉との絆を取り戻してくれた……。改めて礼を言うぞ、勇ましきヒトの子よ。			お前は、姉との絆を取り戻してくれた……。改めて礼を言うぞ、勇ましきヒトの子よ。			心を写すもの							
ウィルラ・ニリヤのジャナンティは、狩りの支度を調えているようだ。			ウィルラ・ニリヤのジャナンティは、狩りの支度を調えているようだ。			ヌメヌメでウネウネ							
指定地点に気の抜けたエールを使いギラバニアン・スラッグを討伐			指定地点に気の抜けたエールを使いギラバニアン・スラッグを討伐			ヌメヌメでウネウネ							
ジャナンティに報告			ジャナンティに報告			ヌメヌメでウネウネ							
シュー……我らウィルラのアナンタは、狩猟に長けた一族だ。図体の上回る凶悪な魔物が相手だろうと、この毒矢の敵ではない。			シュー……我らウィルラのアナンタは、狩猟に長けた一族だ。図体の上回る凶悪な魔物が相手だろうと、この毒矢の敵ではない。			ヌメヌメでウネウネ							
だが……中には天敵とも呼べる存在もいてな。いつからか、狩場の近くに現れるようになった、ギラバニアン・スラッグという魔物だ……。			だが……中には天敵とも呼べる存在もいてな。いつからか、狩場の近くに現れるようになった、ギラバニアン・スラッグという魔物だ……。			ヌメヌメでウネウネ							
ギラバニアン・スラッグは毒に耐性を持った魔物だが、我らは弓術に優れているだけの能なしではない。倒しようはいくらでもある……。			ギラバニアン・スラッグは毒に耐性を持った魔物だが、我らは弓術に優れているだけの能なしではない。倒しようはいくらでもある……。			ヌメヌメでウネウネ							
問題は、奴らが吐く酸のような粘液だ。あれには、我らアナンタの麗しき肌を溶かす、恐ろしい成分が含まれているらしくてな……。			問題は、奴らが吐く酸のような粘液だ。あれには、我らアナンタの麗しき肌を溶かす、恐ろしい成分が含まれているらしくてな……。			ヌメヌメでウネウネ							
この絹のように滑らかな美しい肌を傷つけられるなど、美神ラクシュミ様の娘として、到底耐えられることではない！……そこでヒトの子よ、奴らを駆逐してきてはくれまいか？			この絹のように滑らかな美しい肌を傷つけられるなど、美神ラクシュミ様の娘として、到底耐えられることではない！……そこでヒトの子よ、奴らを駆逐してきてはくれまいか？			ヌメヌメでウネウネ							
シュー……奴らはこの巣を出て、北へ行ったあたりに現れる。好物である、「気の抜けたエール」を撒けば、すぐに群がってくるだろう。			シュー……奴らはこの巣を出て、北へ行ったあたりに現れる。好物である、「気の抜けたエール」を撒けば、すぐに群がってくるだろう。			ヌメヌメでウネウネ							
