エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			交わる世界							
そのアレクサンドリアがエレクトロープの出処なんだよな。だったらそこに行けば、俺たちが「エコーズの残滓」かどうか、調べられるやつがいたりしねぇかな？			そのアレクサンドリアがエレクトロープの出処なんだよな。だったらそこに行けば、俺たちが「エコーズの残滓」かどうか、調べられるやつがいたりしねぇかな？			北の地への導き							
(-魔のバクージャジャ-)勇連隊と繋がりがあるオブリビオンって組織に頼めば、調査にも協力してくれるんじゃない？			(-魔のバクージャジャ-)勇連隊と繋がりがあるオブリビオンって組織に頼めば、調査にも協力してくれるんじゃない？			北の地への導き							
(-戦のバクージャジャ-)なら、まずはふたりの通行許可証を理の院に手配してきてやるよ。Forenameサマの名前を出せば一発だろ。			(-戦のバクージャジャ-)なら、まずはふたりの通行許可証を理の院に手配してきてやるよ。Forenameサマの名前を出せば一発だろ。			北の地への導き							
……通行許可証となれば、多大なギルか、希少な物品を求められるのではないか？			……通行許可証となれば、多大なギルか、希少な物品を求められるのではないか？			北の地への導き							
あぁ、ヴァナ・ディールだとそういうこともあるらしいな。辺境行きの飛空艇パスだっけか。			あぁ、ヴァナ・ディールだとそういうこともあるらしいな。辺境行きの飛空艇パスだっけか。			北の地への導き							
(-戦のバクージャジャ-)おう、待たせたな。嬢ちゃんたちの通行許可証をもらってきたぜ。			(-戦のバクージャジャ-)おう、待たせたな。嬢ちゃんたちの通行許可証をもらってきたぜ。			北の地への導き							
もう、戻ってきたのか。ということはつまり、ギルで解決したのだな……。			もう、戻ってきたのか。ということはつまり、ギルで解決したのだな……。			北の地への導き							
(-戦のバクージャジャ-)それとオブリビオンの連中も、ふたりに興味があるみたいでな、アウトスカーツって町で合流することになった。			(-戦のバクージャジャ-)それとオブリビオンの連中も、ふたりに興味があるみたいでな、アウトスカーツって町で合流することになった。			北の地への導き							
(-戦のバクージャジャ-)とはいえ、ひと息で行くには距離があるからよ、まずは、シャーローニ荒野の「シェシェネ青燐泉」を目指そうぜ。嬢ちゃんたちは、オレサマが連れていく。			(-戦のバクージャジャ-)とはいえ、ひと息で行くには距離があるからよ、まずは、シャーローニ荒野の「シェシェネ青燐泉」を目指そうぜ。嬢ちゃんたちは、オレサマが連れていく。			北の地への導き							
(-エレダイト族の男性-)すみません、娘を見ませんでしたか！？私のような赤茶色の髪をした女の子なのですが……！			(-エレダイト族の男性-)すみません、娘を見ませんでしたか！？私のような赤茶色の髪をした女の子なのですが……！			北の地への導き							
(-エレダイト族の男性-)そうですか……。ああ、いったいどこに……。			(-エレダイト族の男性-)そうですか……。ああ、いったいどこに……。			北の地への導き							
(-戦のバクージャジャ-)その格好、ドームから来た奴だな。えらく慌ててるみてェだが、どうしたんだ？			(-戦のバクージャジャ-)その格好、ドームから来た奴だな。えらく慌ててるみてェだが、どうしたんだ？			北の地への導き							
失礼しました、私はジャスパーと申します。実は、つい先ほど大事なひとり娘とはぐれてしまい……ああ、あの子はいったいどこに行ってしまったんだ……！！			失礼しました、私はジャスパーと申します。実は、つい先ほど大事なひとり娘とはぐれてしまい……ああ、あの子はいったいどこに行ってしまったんだ……！！			北の地への導き							
大丈夫だ、落ち着け。まずはその子のことを教えてくれよ。			大丈夫だ、落ち着け。まずはその子のことを教えてくれよ。			北の地への導き							
ああ、そうだねお嬢さん……。娘の名は「スコリア」、君と同じエレダイト族だよ。			ああ、そうだねお嬢さん……。娘の名は「スコリア」、君と同じエレダイト族だよ。			北の地への導き							
私たちはトライヨラに移住するために、ソリューション・ナインから旅してきたんだ。			私たちはトライヨラに移住するために、ソリューション・ナインから旅してきたんだ。			北の地への導き							
しかし、ロネークという乗り物の順番待ちをしていたとき、いつの間にか娘が姿を消してしまってね……。			しかし、ロネークという乗り物の順番待ちをしていたとき、いつの間にか娘が姿を消してしまってね……。			北の地への導き							
俺やおっちゃんみたいに耳の尖った子なら、さっき見かけたぜ。この世界じゃ珍しかったから、よく覚えてる。南の方に向かってたみたいだったぞ。			俺やおっちゃんみたいに耳の尖った子なら、さっき見かけたぜ。この世界じゃ珍しかったから、よく覚えてる。南の方に向かってたみたいだったぞ。			北の地への導き							
(-戦のバクージャジャ-)だったら、早いところ見つけてやらねェとな。野生の獣に襲われでもしたらコトだ。			(-戦のバクージャジャ-)だったら、早いところ見つけてやらねェとな。野生の獣に襲われでもしたらコトだ。			北の地への導き							
だったら、俺が探してくる！危ないから、おっちゃんはここで待っててくれ！			だったら、俺が探してくる！危ないから、おっちゃんはここで待っててくれ！			北の地への導き							
って、俺のためにアウトスカーツに行く途中だってのに、勝手に決めちまってわりぃな。			って、俺のためにアウトスカーツに行く途中だってのに、勝手に決めちまってわりぃな。			北の地への導き							
私も手を貸そう。冒険者の端くれとして、困っている者を放ってはおけない。オブリビオンと約束した時間までは、猶予もあるからな。			私も手を貸そう。冒険者の端くれとして、困っている者を放ってはおけない。オブリビオンと約束した時間までは、猶予もあるからな。			北の地への導き							
(-戦のバクージャジャ-)仕方ねェ、オレサマはジャスパーといっしょに、スコリアが戻ってきていないか、この辺りを見回ってみるか。			(-戦のバクージャジャ-)仕方ねェ、オレサマはジャスパーといっしょに、スコリアが戻ってきていないか、この辺りを見回ってみるか。			北の地への導き							
ああ、ありがとうございます……。娘も心配ですが、皆さまもどうかお気を付けください。			ああ、ありがとうございます……。娘も心配ですが、皆さまもどうかお気を付けください。			北の地への導き							
んじゃ、さっそく探すとしようぜ！俺はまず、街道沿いに行ってみる！			んじゃ、さっそく探すとしようぜ！俺はまず、街道沿いに行ってみる！			北の地への導き							
南の方ならたしか、集落があるのを見かけた。我々はそこで、スコリアを目撃した者がいないか探そう。			南の方ならたしか、集落があるのを見かけた。我々はそこで、スコリアを目撃した者がいないか探そう。			北の地への導き							
Forenameは、3人程度から話を聞いてみてくれ。キリのいいところで情報を共有しよう。			Forenameは、3人程度から話を聞いてみてくれ。キリのいいところで情報を共有しよう。			北の地への導き							
お嬢さんの話によれば、娘が南の方へ向かう姿を目撃したとか……。ご迷惑をおかけしますが、よろしくお願いします。			お嬢さんの話によれば、娘が南の方へ向かう姿を目撃したとか……。ご迷惑をおかけしますが、よろしくお願いします。			北の地への導き							
(-魔のバクージャジャ-)オブリビオンとの約束まで、まだ時間はある。ちゃちゃっと解決しちゃおうよ。			(-魔のバクージャジャ-)オブリビオンとの約束まで、まだ時間はある。ちゃちゃっと解決しちゃおうよ。			北の地への導き							
私のような耳のエルヴァーン……いや、エレダイト族の少女を探している。何か知っていることがあれば教えてもらいたい。			私のような耳のエルヴァーン……いや、エレダイト族の少女を探している。何か知っていることがあれば教えてもらいたい。			北の地への導き							
先ほど集落の北側へ見回りに出たが、そんな女の子は見てないな。何事もなければいいが。			先ほど集落の北側へ見回りに出たが、そんな女の子は見てないな。何事もなければいいが。			北の地への導き							
エレダイト族……ドーム出身の部族かしら？見ていれば覚えていそうなものだけど、記憶にないわ。今後も移住希望者が増えていくなら、仲良くしていきたいものね。			エレダイト族……ドーム出身の部族かしら？見ていれば覚えていそうなものだけど、記憶にないわ。今後も移住希望者が増えていくなら、仲良くしていきたいものね。			北の地への導き							
ああ、そんな特徴の子を町の外で見たぜ。俺と目が合うなり、南の方へと走り去っていったな。悪いけど仕事の途中だから、失礼するよ。			ああ、そんな特徴の子を町の外で見たぜ。俺と目が合うなり、南の方へと走り去っていったな。悪いけど仕事の途中だから、失礼するよ。			北の地への導き							
見回りのとき、俺も気をつけておこう。見つかるといいな。			見回りのとき、俺も気をつけておこう。見つかるといいな。			北の地への導き							
迷子なら、早く見つけないといけないわね。危ない目に遭っていないことを祈るわ。			迷子なら、早く見つけないといけないわね。危ない目に遭っていないことを祈るわ。			北の地への導き							
こちらもあらかた話を聞き終えたところだ。さっそく、集めた情報を共有し合おう。			こちらもあらかた話を聞き終えたところだ。さっそく、集めた情報を共有し合おう。			北の地への導き							
どうやら、スコリアという少女が、この近くを通ったことは間違いないようだ。私の方でも、似たような話を聞いたからね。			どうやら、スコリアという少女が、この近くを通ったことは間違いないようだ。私の方でも、似たような話を聞いたからね。			北の地への導き							
ならば、さらに「南」の方を探してみるとしよう。			ならば、さらに「南」の方を探してみるとしよう。			北の地への導き							
お、Forename。その様子じゃ、スコリアはまだ見つかってねぇみたいだな。			お、Forename。その様子じゃ、スコリアはまだ見つかってねぇみたいだな。			北の地への導き							
このあたりを探してたら、魔物に絡まれちまってさ。余計な時間を食っちまった。			このあたりを探してたら、魔物に絡まれちまってさ。余計な時間を食っちまった。			北の地への導き							
だけど、魔物をブッ飛ばしてる時に、子どもみたいな小さな影が動くのが、遠目に見えた気がするんだ。			だけど、魔物をブッ飛ばしてる時に、子どもみたいな小さな影が動くのが、遠目に見えた気がするんだ。			北の地への導き							
もしかしたら、あれがスコリアだったのかもしれねぇ。まだそんなに時間は経ってねぇから、一緒に向かおうぜ。			もしかしたら、あれがスコリアだったのかもしれねぇ。まだそんなに時間は経ってねぇから、一緒に向かおうぜ。			北の地への導き							
ルワテニヤーサ南のプリッシュは捜索を続けたいようだ。			ルワテニヤーサ南のプリッシュは捜索を続けたいようだ。			歌うは誰がため							
スコリアを無事に見つけ、彼女の歌声を聞いた。シェシェネ青燐泉で「ジャスパー」と話そう。			スコリアを無事に見つけ、彼女の歌声を聞いた。シェシェネ青燐泉で「ジャスパー」と話そう。			歌うは誰がため							
ジャスパーと話し、トライヨラへ出立するのを見送った。スコリアはプリッシュの励ましを聞いて、歌い続けると気持ちを新たにしたようだ。一方で、プリッシュは浮かない表情だった。			ジャスパーと話し、トライヨラへ出立するのを見送った。スコリアはプリッシュの励ましを聞いて、歌い続けると気持ちを新たにしたようだ。一方で、プリッシュは浮かない表情だった。			歌うは誰がため							
ジャスパーと話す			ジャスパーと話す			歌うは誰がため							
お嬢さんの話によれば、娘が南の方へ向かう姿を目撃したとか……。ご迷惑をおかけしますが、よろしくお願いします。			お嬢さんの話によれば、娘が南の方へ向かう姿を目撃したとか……。ご迷惑をおかけしますが、よろしくお願いします。			歌うは誰がため							
(-魔のバクージャジャ-)オブリビオンとの約束まで、まだ時間はある。ちゃちゃっと解決しちゃおうよ。			(-魔のバクージャジャ-)オブリビオンとの約束まで、まだ時間はある。ちゃちゃっと解決しちゃおうよ。			歌うは誰がため							
小さな影が走っていった方角は……南のほうだ。魔物に襲われる前に、急ごうぜ！			小さな影が走っていった方角は……南のほうだ。魔物に襲われる前に、急ごうぜ！			歌うは誰がため							
見つかったようだな！			見つかったようだな！			歌うは誰がため							
お姉さんお兄さんたちは……？			お姉さんお兄さんたちは……？			歌うは誰がため							
俺はプリッシュ、おまえの父ちゃんに頼まれて、捜しに来たんだよ。こんなところで何してたんだ？			俺はプリッシュ、おまえの父ちゃんに頼まれて、捜しに来たんだよ。こんなところで何してたんだ？			歌うは誰がため							
私、移住なんてしたくない。だって、歌手になるっていう夢があるんだもん。			私、移住なんてしたくない。だって、歌手になるっていう夢があるんだもん。			歌うは誰がため							
でも、これから行くトライヨラは、アレクサンドリアとは違う国だから……。きっと誰も私の歌なんか聴いてくれないよ。			でも、これから行くトライヨラは、アレクサンドリアとは違う国だから……。きっと誰も私の歌なんか聴いてくれないよ。			歌うは誰がため							
そう思ったら、ぜんぶ嫌になっちゃって……気づいたら、こんなところまで走ってきちゃった。			そう思ったら、ぜんぶ嫌になっちゃって……気づいたら、こんなところまで走ってきちゃった。			歌うは誰がため							
プリッシュちゃん……で、いいかな？それと、お姉さんお兄さんたち、迷惑をかけてごめんなさい……。			プリッシュちゃん……で、いいかな？それと、お姉さんお兄さんたち、迷惑をかけてごめんなさい……。			歌うは誰がため							
無事だったんだし、いいってことよ！			無事だったんだし、いいってことよ！			歌うは誰がため							
にしても、おまえを見てると友だちのことを思い出すよ。			にしても、おまえを見てると友だちのことを思い出すよ。			歌うは誰がため							
ウルミアって言うんだけどな。あるとき、こんなでっけえ夕日を前にして、まるで世界が終わるかのように、ひとり泣いてたんだよ。			ウルミアって言うんだけどな。あるとき、こんなでっけえ夕日を前にして、まるで世界が終わるかのように、ひとり泣いてたんだよ。			歌うは誰がため							
緊張して、上手く歌えなくて、大聖堂の聖歌隊ってのに入り損ねたんだってさ。			緊張して、上手く歌えなくて、大聖堂の聖歌隊ってのに入り損ねたんだってさ。			歌うは誰がため							
……なぁ、世界ってのは、この夕日よりもっとでっけぇんだよ。それこそどんな失敗もちっぽけに感じちまうくらいにな。			……なぁ、世界ってのは、この夕日よりもっとでっけぇんだよ。それこそどんな失敗もちっぽけに感じちまうくらいにな。			歌うは誰がため							
おまえの事情をすべてわかってるわけじゃねぇけどよ、歌うのをやめたら、おまえが目指す世界は終わっちまうんだぜ。			おまえの事情をすべてわかってるわけじゃねぇけどよ、歌うのをやめたら、おまえが目指す世界は終わっちまうんだぜ。			歌うは誰がため							
ウルミアにも、同じようなことを言ったんだ。あいつは、その後も諦めずに歌い続けることを選んで、念願の聖歌隊に入ったぞ。			ウルミアにも、同じようなことを言ったんだ。あいつは、その後も諦めずに歌い続けることを選んで、念願の聖歌隊に入ったぞ。			歌うは誰がため							
だけど……知らない国で歌うのは怖いよ。誰かに笑われたりするかもしれないし……。			だけど……知らない国で歌うのは怖いよ。誰かに笑われたりするかもしれないし……。			歌うは誰がため							
このトラルって大陸はさ、元々たくさんの部族が暮らしてるのに、最近になってほかの世界とも混ざっちまったんだってな。つまり、いろんなやつがいるってことだ。			このトラルって大陸はさ、元々たくさんの部族が暮らしてるのに、最近になってほかの世界とも混ざっちまったんだってな。つまり、いろんなやつがいるってことだ。			歌うは誰がため							
だから、文化や部族が違ったって、受け入れてくれるやつは必ずいる。この広い世界で、おまえの歌を歌い続けりゃいい！			だから、文化や部族が違ったって、受け入れてくれるやつは必ずいる。この広い世界で、おまえの歌を歌い続けりゃいい！			歌うは誰がため							
じゃあ、まずはプリッシュちゃんに聴いてほしい。いいかな……？			じゃあ、まずはプリッシュちゃんに聴いてほしい。いいかな……？			歌うは誰がため							
お父さん、心配かけてごめんなさい。			お父さん、心配かけてごめんなさい。			歌うは誰がため							
お父上も気を揉んでいただろう。怪我もなく、戻ってこられてよかった。			お父上も気を揉んでいただろう。怪我もなく、戻ってこられてよかった。			歌うは誰がため							
スコリアの歌、よかったな。あれならきっと大丈夫さ。ウルミアの歌の練習に付き合わされてきた俺が保証する！			スコリアの歌、よかったな。あれならきっと大丈夫さ。ウルミアの歌の練習に付き合わされてきた俺が保証する！			歌うは誰がため							
(-魔のバクージャジャ-)おかえり。あっという間に子どもを見つけるなんて、さすがだねェ。			(-魔のバクージャジャ-)おかえり。あっという間に子どもを見つけるなんて、さすがだねェ。			歌うは誰がため							
お待ちしておりました！皆さんが無事に戻られて何よりです。			お待ちしておりました！皆さんが無事に戻られて何よりです。			歌うは誰がため							
スコリアから話は聞きましたよ。なんとお礼を言えばよいか……。			スコリアから話は聞きましたよ。なんとお礼を言えばよいか……。			歌うは誰がため							
バクージャジャ様、アルシャール様、プリッシュ様、Forename様、ありがとうございました。トライヨラに着いたら、改めてお礼に伺います。			バクージャジャ様、アルシャール様、プリッシュ様、Forename様、ありがとうございました。トライヨラに着いたら、改めてお礼に伺います。			歌うは誰がため							
プリッシュちゃんのお友だち……ウルミアちゃん、だったよね？いつか、その子にも会ってみたいな。			プリッシュちゃんのお友だち……ウルミアちゃん、だったよね？いつか、その子にも会ってみたいな。			歌うは誰がため							
俺も、会いてぇんだけどなー……。			俺も、会いてぇんだけどなー……。			歌うは誰がため							
いつか彼女に会えたら、私からも伝えておこう。プリッシュの小さな友人が会いたがっていたと。			いつか彼女に会えたら、私からも伝えておこう。プリッシュの小さな友人が会いたがっていたと。			歌うは誰がため							
うん、絶対だからね！			うん、絶対だからね！			歌うは誰がため							
私、歌い続けるよ！それが私の世界だって、プリッシュちゃんが教えてくれたから！			私、歌い続けるよ！それが私の世界だって、プリッシュちゃんが教えてくれたから！			歌うは誰がため							
だから、絶対また会おうね！			だから、絶対また会おうね！			歌うは誰がため							
あ、ああ…………そうだな。			あ、ああ…………そうだな。			歌うは誰がため							
それでは、私たちはトライヨラに向かいます。重ね重ね、お世話になりました。			それでは、私たちはトライヨラに向かいます。重ね重ね、お世話になりました。			歌うは誰がため							
また会おう、か……。			また会おう、か……。			歌うは誰がため							
シェシェネ青燐泉のバクージャジャは、ドームの中を目指したいようだ。			シェシェネ青燐泉のバクージャジャは、ドームの中を目指したいようだ。			世界に在りて君は何を願うのか？							
バクージャジャと話した。シャーローニ荒野のシャーローニ駅で「バクージャジャ」と話そう。			バクージャジャと話した。シャーローニ荒野のシャーローニ駅で「バクージャジャ」と話そう。			世界に在りて君は何を願うのか？							
バクージャジャと話した。プリッシュの身に異変が起こり、危うげな状態であることが明らかとなった。ヘリテージファウンドのアウトスカーツで「キケザナ」と話そう。			バクージャジャと話した。プリッシュの身に異変が起こり、危うげな状態であることが明らかとなった。ヘリテージファウンドのアウトスカーツで「キケザナ」と話そう。			世界に在りて君は何を願うのか？							
キケザナと話した。プリッシュとアルシャールは身体を検査するため、現地で別れた。トライヨラのブライトプルーム・ポストで「伝令役の勇連隊士」と話そう。			キケザナと話した。プリッシュとアルシャールは身体を検査するため、現地で別れた。トライヨラのブライトプルーム・ポストで「伝令役の勇連隊士」と話そう。			世界に在りて君は何を願うのか？							
伝令役の勇連隊士と話した。勇連隊は引き続き、「エコーズの残滓」の出現に備えていくようだ。次の戦いこそ、ヴァナ・ディールの記憶を悪用するサレージャを阻止しよう。			伝令役の勇連隊士と話した。勇連隊は引き続き、「エコーズの残滓」の出現に備えていくようだ。次の戦いこそ、ヴァナ・ディールの記憶を悪用するサレージャを阻止しよう。			世界に在りて君は何を願うのか？							
バクージャジャと話す			バクージャジャと話す			世界に在りて君は何を願うのか？							
キケザナと話す			キケザナと話す			世界に在りて君は何を願うのか？							
トライヨラの伝令役の勇連隊士と話す			トライヨラの伝令役の勇連隊士と話す			世界に在りて君は何を願うのか？							
…………。			…………。			世界に在りて君は何を願うのか？							
プリッシュ……。			プリッシュ……。			世界に在りて君は何を願うのか？							
(-戦のバクージャジャ-)さて、無事に迷子も見つかったことだし、まずはシャーローニ駅に向かうとしようぜ。			(-戦のバクージャジャ-)さて、無事に迷子も見つかったことだし、まずはシャーローニ駅に向かうとしようぜ。			世界に在りて君は何を願うのか？							
(-魔のバクージャジャ-)プリッシュ、聞こえたかい？オブリビオンに会いに行こうよォ。			(-魔のバクージャジャ-)プリッシュ、聞こえたかい？オブリビオンに会いに行こうよォ。			世界に在りて君は何を願うのか？							
わりぃ、わりぃ、すぐ行くぜ。「シャーローニ駅」だったな。			わりぃ、わりぃ、すぐ行くぜ。「シャーローニ駅」だったな。			世界に在りて君は何を願うのか？							
ふー……。			ふー……。			世界に在りて君は何を願うのか？							
あの巨大なドームの中にこれから向かうのだね……。話には聞いていたが、すごい光景だ。			あの巨大なドームの中にこれから向かうのだね……。話には聞いていたが、すごい光景だ。			世界に在りて君は何を願うのか？							
(-戦のバクージャジャ-)おう。ちょうど、列車も来る頃合いだぜ。			(-戦のバクージャジャ-)おう。ちょうど、列車も来る頃合いだぜ。			世界に在りて君は何を願うのか？							
(-戦のバクージャジャ-)おう。ドームはこの線路の先だったな。			(-戦のバクージャジャ-)おう。ドームはこの線路の先だったな。			世界に在りて君は何を願うのか？							
自分が本物かどうかよりも、これから何をするか……俺は前にそう言ったよな。			自分が本物かどうかよりも、これから何をするか……俺は前にそう言ったよな。			世界に在りて君は何を願うのか？							
だけど、自分が創られた存在かもしれねぇって思ったら、やっぱり胸がザワザワしちまう。威勢のいいこと言っておいて、情けねぇよな。			だけど、自分が創られた存在かもしれねぇって思ったら、やっぱり胸がザワザワしちまう。威勢のいいこと言っておいて、情けねぇよな。			世界に在りて君は何を願うのか？							
怖いっていうのもあるんだけどよ、それだけじゃなくて……。			怖いっていうのもあるんだけどよ、それだけじゃなくて……。			世界に在りて君は何を願うのか？							
あぁ！　この気持ちをうまく言葉にできねぇ！			あぁ！　この気持ちをうまく言葉にできねぇ！			世界に在りて君は何を願うのか？							
何と言う？			何と言う？			世界に在りて君は何を願うのか？							
ヴァナ・ディールに帰りたくなった？			ヴァナ・ディールに帰りたくなった？			世界に在りて君は何を願うのか？							
友人の歌を聴きたくなった？			友人の歌を聴きたくなった？			世界に在りて君は何を願うのか？							
そうか、そういうことなのかもな……。スコリアの歌を聴いてたら、故郷のウルミアに会いたくなっちまったんだ。			そうか、そういうことなのかもな……。スコリアの歌を聴いてたら、故郷のウルミアに会いたくなっちまったんだ。			世界に在りて君は何を願うのか？							
ウルミアだけじゃない。一緒に冒険したみんなや、冒険者の「あいつ」は、今ごろ何をしてんのかなって、気づいたら考えてる。			ウルミアだけじゃない。一緒に冒険したみんなや、冒険者の「あいつ」は、今ごろ何をしてんのかなって、気づいたら考えてる。			世界に在りて君は何を願うのか？							
もしも我々が「エコーズの残滓」に過ぎないとしても、ヴァナ・ディールに帰還できないと決まったわけではない。あるいは、サレージャならその方法を……			もしも我々が「エコーズの残滓」に過ぎないとしても、ヴァナ・ディールに帰還できないと決まったわけではない。あるいは、サレージャならその方法を……			世界に在りて君は何を願うのか？							
もし帰れたってよ、そこには本物の俺がいるんだろ？「この俺」の居場所じゃねぇんだよ。			もし帰れたってよ、そこには本物の俺がいるんだろ？「この俺」の居場所じゃねぇんだよ。			世界に在りて君は何を願うのか？							
カムラナートや、エルドナーシュ……この世界にいるはずのないやつらの顔を見るたびに、俺も同じ「まがい物」なんだって突きつけられてる気分になる。			カムラナートや、エルドナーシュ……この世界にいるはずのないやつらの顔を見るたびに、俺も同じ「まがい物」なんだって突きつけられてる気分になる。			世界に在りて君は何を願うのか？							
スコリアに「またね」って言われたときも、嫌な想像ばかり浮かんで、答えに困っちまった。			スコリアに「またね」って言われたときも、嫌な想像ばかり浮かんで、答えに困っちまった。			世界に在りて君は何を願うのか？							
ヴァナ・ディールの記憶を悪用するサレージャは許せねぇ。だけど、あいつを止めたあと……俺はどうなるんだろうな。			ヴァナ・ディールの記憶を悪用するサレージャは許せねぇ。だけど、あいつを止めたあと……俺はどうなるんだろうな。			世界に在りて君は何を願うのか？							
この先のことなんて、私にもわからない。だから、自分で決めるしかないんだ。			この先のことなんて、私にもわからない。だから、自分で決めるしかないんだ。			世界に在りて君は何を願うのか？							
私は戦いが終わったら、この世界すべてを巡り歩いてみるつもりだ。記憶はなくとも、この身には「冒険者」の心が宿っているからね。			私は戦いが終わったら、この世界すべてを巡り歩いてみるつもりだ。記憶はなくとも、この身には「冒険者」の心が宿っているからね。			世界に在りて君は何を願うのか？							
君が言ったように、世界は広いんだ。きっと新しい生き方だって見つかるだろう。よかったら……ともに、それを探しにいかないかい？			君が言ったように、世界は広いんだ。きっと新しい生き方だって見つかるだろう。よかったら……ともに、それを探しにいかないかい？			世界に在りて君は何を願うのか？							
へへっ、おまえの言うとおりだな。居場所がねぇなら、見つければいいだけだ。			へへっ、おまえの言うとおりだな。居場所がねぇなら、見つければいいだけだ。			世界に在りて君は何を願うのか？							
まずは、ちゃんとこの身体のことを調べねぇとな！			まずは、ちゃんとこの身体のことを調べねぇとな！			世界に在りて君は何を願うのか？							
チクショウ！やっぱり……。			チクショウ！やっぱり……。			世界に在りて君は何を願うのか？							
一刻も早くドームの中へ入り、オブリビオンの者に調べてもらおう。			一刻も早くドームの中へ入り、オブリビオンの者に調べてもらおう。			世界に在りて君は何を願うのか？							
……さ、覚悟はできてるぜ！			……さ、覚悟はできてるぜ！			世界に在りて君は何を願うのか？							
心に刻まれた冒険の日々が、「この私」の記憶ではなかったとしても……。私たちは、ここに存在するんだ。			心に刻まれた冒険の日々が、「この私」の記憶ではなかったとしても……。私たちは、ここに存在するんだ。			世界に在りて君は何を願うのか？							
(-戦のバクージャジャ-)どうあれ、なにか手立ては見つかるかもしれねェ。オブリビオンの「キケザナ」に話を聞こうぜ。			(-戦のバクージャジャ-)どうあれ、なにか手立ては見つかるかもしれねェ。オブリビオンの「キケザナ」に話を聞こうぜ。			世界に在りて君は何を願うのか？							
お待ちしておりました……。私は、オブリビオンに所属するエレクトロープ技師、キケザナと申します……。			お待ちしておりました……。私は、オブリビオンに所属するエレクトロープ技師、キケザナと申します……。			世界に在りて君は何を願うのか？							
さっそくですが、詳しくお話を伺っても？			さっそくですが、詳しくお話を伺っても？			世界に在りて君は何を願うのか？							
「エコーズの残滓」……まるで本当に生きているようだ。エレクトロープに記憶を刻むだけでは、こうはなりません……。マムージャ族の幻影魔法とは、いかなるものでしょうか……。			「エコーズの残滓」……まるで本当に生きているようだ。エレクトロープに記憶を刻むだけでは、こうはなりません……。マムージャ族の幻影魔法とは、いかなるものでしょうか……。			世界に在りて君は何を願うのか？							
はっ……おふたりが生きていないとか、そういう意味ではなく……			はっ……おふたりが生きていないとか、そういう意味ではなく……			世界に在りて君は何を願うのか？							
あぁぁぁぁ、失礼な物言いをしてしまい、申し訳ございません！！			あぁぁぁぁ、失礼な物言いをしてしまい、申し訳ございません！！			世界に在りて君は何を願うのか？							
そう気にしないでくれよ。俺たちが「生きてる」のかどうかなんて、当の本人でさえよくわかってねぇんだ。			そう気にしないでくれよ。俺たちが「生きてる」のかどうかなんて、当の本人でさえよくわかってねぇんだ。			世界に在りて君は何を願うのか？							
だけど少なくとも、この身が創り物なのは事実さ。だから、あとどれぐらい時間が残されてんのか、キケザナに調べてほしいんだよ。			だけど少なくとも、この身が創り物なのは事実さ。だから、あとどれぐらい時間が残されてんのか、キケザナに調べてほしいんだよ。			世界に在りて君は何を願うのか？							
いつまでも、落ち込んでられねぇからな！			いつまでも、落ち込んでられねぇからな！			世界に在りて君は何を願うのか？							
私でお役に立てるかはわかりませんが、ぜひとも調査に協力させてください……。			私でお役に立てるかはわかりませんが、ぜひとも調査に協力させてください……。			世界に在りて君は何を願うのか？							
世話になる、キケザナ殿。			世話になる、キケザナ殿。			世界に在りて君は何を願うのか？							
ところで検査の合間にでも、周辺を見て回ってもいいだろうか？知らない土地に来ると、つい冒険者の血が騒いでしまってね。			ところで検査の合間にでも、周辺を見て回ってもいいだろうか？知らない土地に来ると、つい冒険者の血が騒いでしまってね。			世界に在りて君は何を願うのか？							
いや、待てよ……エレクトロープで構成されている私たちに、血は流れているのか？			いや、待てよ……エレクトロープで構成されている私たちに、血は流れているのか？			世界に在りて君は何を願うのか？							
はははは。おまえを見てると、さっきまで悩んでたのが馬鹿らしく思えるぜ。			はははは。おまえを見てると、さっきまで悩んでたのが馬鹿らしく思えるぜ。			世界に在りて君は何を願うのか？							
(-戦のバクージャジャ-)おォ？なんだ、元気じゃねェか。			(-戦のバクージャジャ-)おォ？なんだ、元気じゃねェか。			世界に在りて君は何を願うのか？							
(-魔のバクージャジャ-)ふたりとも、真実がわかってすっきりしたのかもねェ……。			(-魔のバクージャジャ-)ふたりとも、真実がわかってすっきりしたのかもねェ……。			世界に在りて君は何を願うのか？							
話を戻しますが、検査で収集したデータを分析している間でしたら、ご自由に過ごしていただいて構いませんよ。			話を戻しますが、検査で収集したデータを分析している間でしたら、ご自由に過ごしていただいて構いませんよ。			世界に在りて君は何を願うのか？							
んじゃ、またヨカ・トラルのときみたいに、今度はサカ・トラルやドームの中を冒険してみるか！			んじゃ、またヨカ・トラルのときみたいに、今度はサカ・トラルやドームの中を冒険してみるか！			世界に在りて君は何を願うのか？							
Forenameも、時間があったら現地で合流しようぜ！			Forenameも、時間があったら現地で合流しようぜ！			世界に在りて君は何を願うのか？							
無論、本来の目的は変わってはいないよ。			無論、本来の目的は変わってはいないよ。			世界に在りて君は何を願うのか？							
