スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
上層のジョイと話す			上層のジョイと話す			海辺の襲撃者							
アインハルト家の荷物を持つ			アインハルト家の荷物を持つ			海辺の襲撃者							
ジョイにアインハルト家の荷物を渡す			ジョイにアインハルト家の荷物を渡す			海辺の襲撃者							
ブラッドショアのステファニヴィアンと話す			ブラッドショアのステファニヴィアンと話す			海辺の襲撃者							
スカイスチール機工房のステファニヴィアンと話す			スカイスチール機工房のステファニヴィアンと話す			海辺の襲撃者							
匂い立つ餌箱を守りぬけ！			匂い立つ餌箱を守りぬけ！			海辺の襲撃者							
ディープ・モーガウルを倒せ！			ディープ・モーガウルを倒せ！			海辺の襲撃者							
さあ、あとはジョイが屋敷の仕事を終えれば出発できる。悪いがジョイを探してみてくれ、上層のどこかにいるはずだから。			さあ、あとはジョイが屋敷の仕事を終えれば出発できる。悪いがジョイを探してみてくれ、上層のどこかにいるはずだから。			海辺の襲撃者							
本番で存分に暴れられるよう、演習もがんばってくれよ。模擬戦の勝利の鍵は、君なんだから。			本番で存分に暴れられるよう、演習もがんばってくれよ。模擬戦の勝利の鍵は、君なんだから。			海辺の襲撃者							
まあ、Forename様。もう演習に出発する準備が整ったのですか？ジョイも、この荷物をお屋敷に運べば出発できます。			まあ、Forename様。もう演習に出発する準備が整ったのですか？ジョイも、この荷物をお屋敷に運べば出発できます。			海辺の襲撃者							
ジョイが「機工士」としての訓練を続けるには、お屋敷の仕事も、しっかりこなさねばならないのです。それが、旦那様との約束なものですから……。			ジョイが「機工士」としての訓練を続けるには、お屋敷の仕事も、しっかりこなさねばならないのです。それが、旦那様との約束なものですから……。			海辺の襲撃者							
一度に、すべての荷物を運ぶことはできませんが、走って往復すれば終わりますから、お待ちください……。			一度に、すべての荷物を運ぶことはできませんが、走って往復すれば終わりますから、お待ちください……。			海辺の襲撃者							
どうする？			どうする？			海辺の襲撃者							
手伝いを申し出る			手伝いを申し出る			海辺の襲撃者							
こっそり手伝う			こっそり手伝う			海辺の襲撃者							
Forename様は、お優しいですね。では、この荷物を見張っていてくださると助かります。ジョイは、荷物の第一陣をお屋敷に運びます！			Forename様は、お優しいですね。では、この荷物を見張っていてくださると助かります。ジョイは、荷物の第一陣をお屋敷に運びます！			海辺の襲撃者							
Forename様、少しの間、この荷物を見張っていてくださると助かります。ジョイは、荷物の第一陣をお屋敷に運びます！			Forename様、少しの間、この荷物を見張っていてくださると助かります。ジョイは、荷物の第一陣をお屋敷に運びます！			海辺の襲撃者							
……おや、ジョイが持ちきれなかった荷を運んでくれたのか？			……おや、ジョイが持ちきれなかった荷を運んでくれたのか？			海辺の襲撃者							
Forename様……！残りの荷物を見張っていてくださらなかったのですか！？い、い、いそいで荷物を取りに戻らねば！			Forename様……！残りの荷物を見張っていてくださらなかったのですか！？い、い、いそいで荷物を取りに戻らねば！			海辺の襲撃者							
……おや、ジョイが持ちきれなかった荷を運んでくれたのか。おかげでジョイの仕事は終わったよ。この娘を工房へ連れていってやってくれ。			……おや、ジョイが持ちきれなかった荷を運んでくれたのか。おかげでジョイの仕事は終わったよ。この娘を工房へ連れていってやってくれ。			海辺の襲撃者							
Forename様、いつもありがとうございます。荷物運びを手伝ってくださったことも、もちろんですが、ぼっちゃまのために、尽くしてくださることが嬉しいのです。			Forename様、いつもありがとうございます。荷物運びを手伝ってくださったことも、もちろんですが、ぼっちゃまのために、尽くしてくださることが嬉しいのです。			海辺の襲撃者							
……旦那様は、ジョイが「機工士」になるのに反対でした。でも、ジョイを屋敷においてくださいました。父が動けず、ジョイが働くしかないのをご存じだったのです。			……旦那様は、ジョイが「機工士」になるのに反対でした。でも、ジョイを屋敷においてくださいました。父が動けず、ジョイが働くしかないのをご存じだったのです。			海辺の襲撃者							
旦那様には、感謝しても感謝しきれません。ですから、「機工士」として訓練を続けることを、ジョイは密かに心苦しく思っていたのです……。			旦那様には、感謝しても感謝しきれません。ですから、「機工士」として訓練を続けることを、ジョイは密かに心苦しく思っていたのです……。			海辺の襲撃者							
Forename様が、「機工士」として、ぼっちゃまを支えてくだされば、もうジョイが銃を取る必要はないのかもしれません……。			Forename様が、「機工士」として、ぼっちゃまを支えてくだされば、もうジョイが銃を取る必要はないのかもしれません……。			海辺の襲撃者							
何と声をかける？			何と声をかける？			海辺の襲撃者							
模擬戦の勝利がボランドゥアンへの恩返しだ			模擬戦の勝利がボランドゥアンへの恩返しだ			海辺の襲撃者							
…………。			…………。			海辺の襲撃者							
……そうですね。では、東ラノシアのブラッドショアに行きましょう。がんばらないと！			……そうですね。では、東ラノシアのブラッドショアに行きましょう。がんばらないと！			海辺の襲撃者							
ジョイが「機工士」を辞めれば、お屋敷の仕事に専念して、旦那様に今までの恩返しができます。			ジョイが「機工士」を辞めれば、お屋敷の仕事に専念して、旦那様に今までの恩返しができます。			海辺の襲撃者							
……まあ、長くなってしまいました。急いで、東ラノシアのブラッドショアに行きましょう。			……まあ、長くなってしまいました。急いで、東ラノシアのブラッドショアに行きましょう。			海辺の襲撃者							
来たか、Forename。よし、じゃあ演習の説明を始めるよ。この演習の目的は、騎士相手の戦い方に慣れること。			来たか、Forename。よし、じゃあ演習の説明を始めるよ。この演習の目的は、騎士相手の戦い方に慣れること。			海辺の襲撃者							
騎士は接近しなければ、「機工士」には手を出せない。そこで、騎士を寄せ付けない演習をしよう。			騎士は接近しなければ、「機工士」には手を出せない。そこで、騎士を寄せ付けない演習をしよう。			海辺の襲撃者							
演習では、魔物をおびき寄せる「匂い立つ餌箱」を用意した。こいつに群がる魔物を、突進してくる騎士に見立てて、迎撃戦の訓練をしようって訳さ。			演習では、魔物をおびき寄せる「匂い立つ餌箱」を用意した。こいつに群がる魔物を、突進してくる騎士に見立てて、迎撃戦の訓練をしようって訳さ。			海辺の襲撃者							
自陣に置いた餌箱を壊されたら負けだ。Forename、効果的な立ち回りを探って、ジョイに手本を示してやってくれ！			自陣に置いた餌箱を壊されたら負けだ。Forename、効果的な立ち回りを探って、ジョイに手本を示してやってくれ！			海辺の襲撃者							
さあ、敵が餌箱に到達する前に、残らず倒しちまえ！			さあ、敵が餌箱に到達する前に、残らず倒しちまえ！			海辺の襲撃者							
まだ来るぞ！　気を抜かずに、迎撃するんだ！			まだ来るぞ！　気を抜かずに、迎撃するんだ！			海辺の襲撃者							
「オートタレット・ルーク」を使って敵を減らすんだ！			「オートタレット・ルーク」を使って敵を減らすんだ！			海辺の襲撃者							
辺りの魔物が、こぞってお出ましだぜ！			辺りの魔物が、こぞってお出ましだぜ！			海辺の襲撃者							
よーし、上出来だ！そろそろ演習を終えるとしよう。			よーし、上出来だ！そろそろ演習を終えるとしよう。			海辺の襲撃者							
指南役、待ってくれ……あれは、なんだ！？			指南役、待ってくれ……あれは、なんだ！？			海辺の襲撃者							
さては、魔物の血に誘われて、大物が釣れやがったか！ちょうどいい、演習の総仕上げに、ヤツを倒しちまえ！			さては、魔物の血に誘われて、大物が釣れやがったか！ちょうどいい、演習の総仕上げに、ヤツを倒しちまえ！			海辺の襲撃者							
シャ……もっと撃ちたかった……。			シャ……もっと撃ちたかった……。			海辺の襲撃者							
こんなんじゃ、模擬戦の勝利など夢のまた夢だぞ。			こんなんじゃ、模擬戦の勝利など夢のまた夢だぞ。			海辺の襲撃者							
魔物の乱入には驚いたが、ふたりとも見事だった。おかげで、俺の計測器が新たな作戦をはじきだしてる。			魔物の乱入には驚いたが、ふたりとも見事だった。おかげで、俺の計測器が新たな作戦をはじきだしてる。			海辺の襲撃者							
ぼ、ぼっちゃま、お言葉ですが、Forename様がいらっしゃれば、ジョイは、模擬戦に不要ではないでしょうか？			ぼ、ぼっちゃま、お言葉ですが、Forename様がいらっしゃれば、ジョイは、模擬戦に不要ではないでしょうか？			海辺の襲撃者							
……また、身分を気にしているのか？Forenameもジョイも必要だ。			……また、身分を気にしているのか？Forenameもジョイも必要だ。			海辺の襲撃者							
戦闘に不慣れな平民が、騎士を寄せ付けることなく、撃ち抜く姿を見せつければ、教皇庁のお歴々も考えを変える。それが、古くさい伝統をひっくり返す突破口なんだ。			戦闘に不慣れな平民が、騎士を寄せ付けることなく、撃ち抜く姿を見せつければ、教皇庁のお歴々も考えを変える。それが、古くさい伝統をひっくり返す突破口なんだ。			海辺の襲撃者							
……ぼっちゃまのお考えは、よくわかりました。模擬戦の勝利は、アインハルト家全体の悲願……。ならばジョイも、全力を尽くさねばなりません……。			……ぼっちゃまのお考えは、よくわかりました。模擬戦の勝利は、アインハルト家全体の悲願……。ならばジョイも、全力を尽くさねばなりません……。			海辺の襲撃者							
……頼んだよ。さて、そろそろ工房へ戻ろう。			……頼んだよ。さて、そろそろ工房へ戻ろう。			海辺の襲撃者							
Forename、今回はご苦労だったね。ジョイの士気が下がってるのが気になるな。銃を持って、忘れてくれるといいけど……。			Forename、今回はご苦労だったね。ジョイの士気が下がってるのが気になるな。銃を持って、忘れてくれるといいけど……。			海辺の襲撃者							
スカイスチール機工房のステファニヴィアンは、模擬戦に臨もうとしている。			スカイスチール機工房のステファニヴィアンは、模擬戦に臨もうとしている。			名誉をかけた模擬戦							
模擬戦に臨むことになった。クルザス中央高地のキャンプ・ドラゴンヘッドにいる「ステファニヴィアン」と話そう。			模擬戦に臨むことになった。クルザス中央高地のキャンプ・ドラゴンヘッドにいる「ステファニヴィアン」と話そう。			名誉をかけた模擬戦							
ステファニヴィアンと話した。模擬戦の準備を始めるため、キャンプ・ドラゴンヘッドにいる「ステファニヴィアン」と話そう。			ステファニヴィアンと話した。模擬戦の準備を始めるため、キャンプ・ドラゴンヘッドにいる「ステファニヴィアン」と話そう。			名誉をかけた模擬戦							
模擬戦に勝利した。キャンプ・ドラゴンヘッドにいる「ステファニヴィアン」と話そう。			模擬戦に勝利した。キャンプ・ドラゴンヘッドにいる「ステファニヴィアン」と話そう。			名誉をかけた模擬戦							
ステファニヴィアンと話して、勝利の喜びをわかち合った。スカイスチール機工房の「ステファニヴィアン」と話そう。			ステファニヴィアンと話して、勝利の喜びをわかち合った。スカイスチール機工房の「ステファニヴィアン」と話そう。			名誉をかけた模擬戦							
ステファニヴィアンと話した。模擬戦に勝利し、ステファニヴィアンがスカイスチール機工房の長に就任した。冒険者の機工兵装も改良してもらった。これを利用して、ステファニヴィアンとともに、機工士としてさらに活躍していこう。※引き続き、スカイスチール機工房のステファニヴィアンから、新たなジョブクエストを受注することができます。			ステファニヴィアンと話した。模擬戦に勝利し、ステファニヴィアンがスカイスチール機工房の長に就任した。冒険者の機工兵装も改良してもらった。これを利用して、ステファニヴィアンとともに、機工士としてさらに活躍していこう。※引き続き、スカイスチール機工房のステファニヴィアンから、新たなジョブクエストを受注することができます。			名誉をかけた模擬戦							
キャンプ・ドラゴンヘッドのステファニヴィアンと話す			キャンプ・ドラゴンヘッドのステファニヴィアンと話す			名誉をかけた模擬戦							
キャンプ・ドラゴンヘッドのステファニヴィアンと再度話す			キャンプ・ドラゴンヘッドのステファニヴィアンと再度話す			名誉をかけた模擬戦							
キャンプ・ドラゴンヘッドのステファニヴィアンと合流			キャンプ・ドラゴンヘッドのステファニヴィアンと合流			名誉をかけた模擬戦							
スカイスチール機工房のステファニヴィアンと話す			スカイスチール機工房のステファニヴィアンと話す			名誉をかけた模擬戦							
こっちでできることは、すべてした……。あとは、Forename。主力である君に期待するしかない。			こっちでできることは、すべてした……。あとは、Forename。主力である君に期待するしかない。			名誉をかけた模擬戦							
俺たちも現地に向かい、四大名家が到着しないうちに、模擬戦の会場で作戦の調整をしよう。会場は、クルザス中央高地の「キャンプ・ドラゴンヘッド」だ。			俺たちも現地に向かい、四大名家が到着しないうちに、模擬戦の会場で作戦の調整をしよう。会場は、クルザス中央高地の「キャンプ・ドラゴンヘッド」だ。			名誉をかけた模擬戦							
俺たちも現地に向かい、四大名家が到着しないうちに、模擬戦の会場で作戦の調整をしよう。会場は、クルザス中央高地の「キャンプ・ドラゴンヘッド」だ。			俺たちも現地に向かい、四大名家が到着しないうちに、模擬戦の会場で作戦の調整をしよう。会場は、クルザス中央高地の「キャンプ・ドラゴンヘッド」だ。			名誉をかけた模擬戦							
来たか、Forename。幸い、まだほかの家は到着していない。今のうちに会場を確認し、作戦の打ち合わせをしておこう。			来たか、Forename。幸い、まだほかの家は到着していない。今のうちに会場を確認し、作戦の打ち合わせをしておこう。			名誉をかけた模擬戦							
(-ボランドゥアン・ド・アインハルト伯爵-)何者かによる妨害工作を受けたそうだな？準備はできているのか？			(-ボランドゥアン・ド・アインハルト伯爵-)何者かによる妨害工作を受けたそうだな？準備はできているのか？			名誉をかけた模擬戦							
(-ボランドゥアン・ド・アインハルト伯爵-)模擬戦には、皇都の注目が集まっている。無様な姿をさらせば、教皇庁からの資金援助が打ち切られ、工房の未来に影を落とすこととなるぞ。			(-ボランドゥアン・ド・アインハルト伯爵-)模擬戦には、皇都の注目が集まっている。無様な姿をさらせば、教皇庁からの資金援助が打ち切られ、工房の未来に影を落とすこととなるぞ。			名誉をかけた模擬戦							
最善を尽くしているよ。父上は、安心して観戦していてくれ。			最善を尽くしているよ。父上は、安心して観戦していてくれ。			名誉をかけた模擬戦							
(-ロスティンスタル-)俺も観戦に徹するつもりだが、ひとことだけ助言だ。模擬戦の会場には、やたらと物陰が多い。伏兵を仕込みやすい地形といえるだろう。			(-ロスティンスタル-)俺も観戦に徹するつもりだが、ひとことだけ助言だ。模擬戦の会場には、やたらと物陰が多い。伏兵を仕込みやすい地形といえるだろう。			名誉をかけた模擬戦							
(-ロスティンスタル-)こっちが伏兵を配するも良し、敵の伏兵に備えるも良し……。自分自身の目で確かめて検討するといいだろう。では、健闘を祈るぞ。			(-ロスティンスタル-)こっちが伏兵を配するも良し、敵の伏兵に備えるも良し……。自分自身の目で確かめて検討するといいだろう。では、健闘を祈るぞ。			名誉をかけた模擬戦							
じゃあ、会場の下見に行こう。準備ができたら、俺に声をかけてくれ。			じゃあ、会場の下見に行こう。準備ができたら、俺に声をかけてくれ。			名誉をかけた模擬戦							
では、会場での作戦確認後、模擬戦本番の開始だ！確認が不要なら、現地の「伝令の機工士」に話しかけてくれ。……さぁ、勝つぞ！			では、会場での作戦確認後、模擬戦本番の開始だ！確認が不要なら、現地の「伝令の機工士」に話しかけてくれ。……さぁ、勝つぞ！			名誉をかけた模擬戦							
自軍の「黒軍の戦旗」を確認			自軍の「黒軍の戦旗」を確認			名誉をかけた模擬戦							
敵軍の「赤軍の戦旗」を確認			敵軍の「赤軍の戦旗」を確認			名誉をかけた模擬戦							
自軍の「伏兵の位置」を確認			自軍の「伏兵の位置」を確認			名誉をかけた模擬戦							
伏兵に行動開始を告げる「信号打上筒」を確認			伏兵に行動開始を告げる「信号打上筒」を確認			名誉をかけた模擬戦							
ステファニヴィアンと話して模擬戦に臨む			ステファニヴィアンと話して模擬戦に臨む			名誉をかけた模擬戦							
敵軍の「赤軍の戦旗」を破壊せよ！			敵軍の「赤軍の戦旗」を破壊せよ！			名誉をかけた模擬戦							
黒軍の戦旗			黒軍の戦旗			名誉をかけた模擬戦							
赤軍の戦旗			赤軍の戦旗			名誉をかけた模擬戦							
俺たちは、アインハルト家とフォルタン家の連合軍……対する相手方は、ゼーメル家とデュランデル家の連合軍だ。			俺たちは、アインハルト家とフォルタン家の連合軍……対する相手方は、ゼーメル家とデュランデル家の連合軍だ。			名誉をかけた模擬戦							
俺たちの陣地の目印が、この「黒軍の戦旗」だ。この旗を調べて、周囲を確認しておいてくれ。			俺たちの陣地の目印が、この「黒軍の戦旗」だ。この旗を調べて、周囲を確認しておいてくれ。			名誉をかけた模擬戦							
「黒軍の戦旗」を敵軍に破壊されると、俺たちの敗北になる。			「黒軍の戦旗」を敵軍に破壊されると、俺たちの敗北になる。			名誉をかけた模擬戦							
「黒軍の戦旗」の近くでは、治癒の魔法が発動している。もしも負傷したら、ここに戻ってくるといい。			「黒軍の戦旗」の近くでは、治癒の魔法が発動している。もしも負傷したら、ここに戻ってくるといい。			名誉をかけた模擬戦							
……次は、敵軍の陣地を見に行こう。「赤軍の戦旗」を調べて、周囲を確認しておいてくれ。			……次は、敵軍の陣地を見に行こう。「赤軍の戦旗」を調べて、周囲を確認しておいてくれ。			名誉をかけた模擬戦							
この「赤軍の戦旗」を破壊すれば、俺たちの勝利だ。			この「赤軍の戦旗」を破壊すれば、俺たちの勝利だ。			名誉をかけた模擬戦							
「赤軍の戦旗」の近くでも治癒魔法が発動している。このあたりでの戦闘は、長引くほど不利になるぞ。			「赤軍の戦旗」の近くでも治癒魔法が発動している。このあたりでの戦闘は、長引くほど不利になるぞ。			名誉をかけた模擬戦							
……では、各員の役割分担を説明しておこう。			……では、各員の役割分担を説明しておこう。			名誉をかけた模擬戦							
ジョイ率いるアインハルト家の騎兵たちが、敵軍の「赤軍の戦旗」を攻める。			ジョイ率いるアインハルト家の騎兵たちが、敵軍の「赤軍の戦旗」を攻める。			名誉をかけた模擬戦							
俺と残りの「機工士」、そして共闘するフォルタン家の騎兵が、自陣に残り「黒軍の戦旗」を護る。			俺と残りの「機工士」、そして共闘するフォルタン家の騎兵が、自陣に残り「黒軍の戦旗」を護る。			名誉をかけた模擬戦							
Forename。実戦経験が豊富な君は、状況に応じて臨機応変に動いてほしい。			Forename。実戦経験が豊富な君は、状況に応じて臨機応変に動いてほしい。			名誉をかけた模擬戦							
……残るセレストには、伏兵として隠れてもらう。隠れ場所を案内するから、ついてきてくれ。			……残るセレストには、伏兵として隠れてもらう。隠れ場所を案内するから、ついてきてくれ。			名誉をかけた模擬戦							
「伏兵の位置」を調べて、周囲を確認しておいてくれ。			「伏兵の位置」を調べて、周囲を確認しておいてくれ。			名誉をかけた模擬戦							
セレストは、この場所に潜み、Forenameの合図が出たら、敵陣を攻め込む。			セレストは、この場所に潜み、Forenameの合図が出たら、敵陣を攻め込む。			名誉をかけた模擬戦							
敵軍の「先鋒のロシュダレ」は、好戦的な性格だ。「黒軍の戦旗」が危ういと見れば、攻めこんでくるだろう。			敵軍の「先鋒のロシュダレ」は、好戦的な性格だ。「黒軍の戦旗」が危ういと見れば、攻めこんでくるだろう。			名誉をかけた模擬戦							
だが、それは敵陣の護りに隙が生まれるということ。その好機に合図を出せば、セレストの動きが活きる。			だが、それは敵陣の護りに隙が生まれるということ。その好機に合図を出せば、セレストの動きが活きる。			名誉をかけた模擬戦							
……セレストへの合図は、信号弾を使用する。打上筒は、エーテライト付近に設置しておいた。			……セレストへの合図は、信号弾を使用する。打上筒は、エーテライト付近に設置しておいた。			名誉をかけた模擬戦							
打上筒の設置場所に案内するから、ついてきてくれ。「信号打上筒」を調べて、あたりをよく確認してほしい。			打上筒の設置場所に案内するから、ついてきてくれ。「信号打上筒」を調べて、あたりをよく確認してほしい。			名誉をかけた模擬戦							
ここなら、打上筒が敵兵に見つかり、壊される恐れもないだろう。見晴らしもいいから、両陣営の状況も確認しやすい。			ここなら、打上筒が敵兵に見つかり、壊される恐れもないだろう。見晴らしもいいから、両陣営の状況も確認しやすい。			名誉をかけた模擬戦							
君が攻め時と判断したら、打上筒を操作して信号弾を発射してくれ。			君が攻め時と判断したら、打上筒を操作して信号弾を発射してくれ。			名誉をかけた模擬戦							
作戦は以上だ、自陣に戻ろう。準備ができたら、俺に声をかけてくれ。			作戦は以上だ、自陣に戻ろう。準備ができたら、俺に声をかけてくれ。			名誉をかけた模擬戦							
さて、そろそろか……。……む、テダルグランシュ率いるゼーメル家騎兵団のお出ましだ。			さて、そろそろか……。……む、テダルグランシュ率いるゼーメル家騎兵団のお出ましだ。			名誉をかけた模擬戦							
「スカイスチール機工房」のみなさん、おそろいで。平民の寄せ集めがどんな戦いをするのか、楽しみですねぇ。			「スカイスチール機工房」のみなさん、おそろいで。平民の寄せ集めがどんな戦いをするのか、楽しみですねぇ。			名誉をかけた模擬戦							
ですが、遺憾なことに、この神聖なる模擬戦に、煤けた芥が紛れ込んでいるようですよ……。我らゼーメル家の騎兵団が、真の戦い方をお見せしましょう。			ですが、遺憾なことに、この神聖なる模擬戦に、煤けた芥が紛れ込んでいるようですよ……。我らゼーメル家の騎兵団が、真の戦い方をお見せしましょう。			名誉をかけた模擬戦							
なんとでも言え……。何が起ころうと、俺たち「機工士」に失うものなんてない。俺たちが、騎士たちの古臭い概念を撃ち抜いてやる。			なんとでも言え……。何が起ころうと、俺たち「機工士」に失うものなんてない。俺たちが、騎士たちの古臭い概念を撃ち抜いてやる。			名誉をかけた模擬戦							
オホホホ、野蛮な獣の遠吠えが聞こえたようですね。さて、参加者がそろったので、模擬戦を始めましょう！			オホホホ、野蛮な獣の遠吠えが聞こえたようですね。さて、参加者がそろったので、模擬戦を始めましょう！			名誉をかけた模擬戦							
さあ、「機工士」の実力を見せてやろう！			さあ、「機工士」の実力を見せてやろう！			名誉をかけた模擬戦							
射ッ！　射ッッ！　シャーーッッ！！　アタシ、今、最高潮～！			射ッ！　射ッッ！　シャーーッッ！！　アタシ、今、最高潮～！			名誉をかけた模擬戦							
「機工士」など塵芥も同然よ！　我らが殲滅してくれよう！			「機工士」など塵芥も同然よ！　我らが殲滅してくれよう！			名誉をかけた模擬戦							
勝利がわかりきった模擬戦ほど、つまらんものはない……。			勝利がわかりきった模擬戦ほど、つまらんものはない……。			名誉をかけた模擬戦							
くっ、敵軍は、かなり多くの治療師を投入しているらしい。			くっ、敵軍は、かなり多くの治療師を投入しているらしい。			名誉をかけた模擬戦							
……頃合いか、一挙に敵陣を突く！			……頃合いか、一挙に敵陣を突く！			名誉をかけた模擬戦							
総員、我に続け！　敵軍へ総攻撃をしかける！			総員、我に続け！　敵軍へ総攻撃をしかける！			名誉をかけた模擬戦							
Forename、「デュランデル家の治療師」を優先して倒してくれ。このままでは、自軍がもたない！			Forename、「デュランデル家の治療師」を優先して倒してくれ。このままでは、自軍がもたない！			名誉をかけた模擬戦							
よし、敵陣の「赤軍の戦旗」を攻撃するぞ！			よし、敵陣の「赤軍の戦旗」を攻撃するぞ！			名誉をかけた模擬戦							
「先鋒のロシュダレ」がいるとは……これじゃ、みすみすやられに行くようなもんだ！			「先鋒のロシュダレ」がいるとは……これじゃ、みすみすやられに行くようなもんだ！			名誉をかけた模擬戦							
よしっ、敵軍の守りが手薄だ！　さすがは、冒険者！			よしっ、敵軍の守りが手薄だ！　さすがは、冒険者！			名誉をかけた模擬戦							
しくじった……すまない。			しくじった……すまない。			名誉をかけた模擬戦							
シャ……あら、体が……動かない？			シャ……あら、体が……動かない？			名誉をかけた模擬戦							
くそっ……ここまでか……後は頼んだぞ。			くそっ……ここまでか……後は頼んだぞ。			名誉をかけた模擬戦							
ふんっ、伏兵とは、こしゃくな。すべて蹴散らしてくれよう！			ふんっ、伏兵とは、こしゃくな。すべて蹴散らしてくれよう！			名誉をかけた模擬戦							
「機工士」も、微力ながら戦力となるようですね。ゼーメル家からアインハルト家に要請している援軍は、ぜひ、皆様にお願いしたい。			「機工士」も、微力ながら戦力となるようですね。ゼーメル家からアインハルト家に要請している援軍は、ぜひ、皆様にお願いしたい。			名誉をかけた模擬戦							
……しかし、今回は、目新しい玩具で騎兵を驚かせ、勝ちを拾ったようですが、過酷な実戦ではどうなることやら。			……しかし、今回は、目新しい玩具で騎兵を驚かせ、勝ちを拾ったようですが、過酷な実戦ではどうなることやら。			名誉をかけた模擬戦							
「機工士」の皆様とともに、戦場を駆ける日を心待ちにしております。			「機工士」の皆様とともに、戦場を駆ける日を心待ちにしております。			名誉をかけた模擬戦							
その時に、思い知るといいでしょう……。騎士こそが、戦場の華であることを！			その時に、思い知るといいでしょう……。騎士こそが、戦場の華であることを！			名誉をかけた模擬戦							
オホホホホホホホ……！			オホホホホホホホ……！			名誉をかけた模擬戦							
……不利な状況をはねのけ、よくぞ勝利を納めてくれた。			……不利な状況をはねのけ、よくぞ勝利を納めてくれた。			名誉をかけた模擬戦							
当然の結果だ。「スカイスチール機工房」のみんなが力をあわせりゃ、不可能も可能になるのさ。			当然の結果だ。「スカイスチール機工房」のみんなが力をあわせりゃ、不可能も可能になるのさ。			名誉をかけた模擬戦							
模擬戦での勝利など、何年振りか……。この勢いで、失った影響力も取り戻せればよいのだが。			模擬戦での勝利など、何年振りか……。この勢いで、失った影響力も取り戻せればよいのだが。			名誉をかけた模擬戦							
できるさ……ただし、父上が約束を守ってくれればな。俺は、古くさい騎士なんかになるつもりはない。工房で機工技術の研究を続けるぞ。			できるさ……ただし、父上が約束を守ってくれればな。俺は、古くさい騎士なんかになるつもりはない。工房で機工技術の研究を続けるぞ。			名誉をかけた模擬戦							
我、汝を「スカイスチール機工房」の長に任命す。「機工士」が、竜を討つ槍となり、皇都を護る盾となると、世に知らしめよ。			我、汝を「スカイスチール機工房」の長に任命す。「機工士」が、竜を討つ槍となり、皇都を護る盾となると、世に知らしめよ。			名誉をかけた模擬戦							
そのための援助はおしまんぞ。皇都と民のためになるなら、お前の好きなように、とことんやりなさい。			そのための援助はおしまんぞ。皇都と民のためになるなら、お前の好きなように、とことんやりなさい。			名誉をかけた模擬戦							
「機工士」は、竜を討つ槍となり、皇都を護る盾となる！そのために、みんなの力を貸してくれ！俺たちで、皇都の錆びついた常識をブチ抜こうぜ！			「機工士」は、竜を討つ槍となり、皇都を護る盾となる！そのために、みんなの力を貸してくれ！俺たちで、皇都の錆びついた常識をブチ抜こうぜ！			名誉をかけた模擬戦							
Forename、お疲れさま。今回は、苦しい戦いだったけど、君の的確な行動のおかげで、勝利することができたよ。			Forename、お疲れさま。今回は、苦しい戦いだったけど、君の的確な行動のおかげで、勝利することができたよ。			名誉をかけた模擬戦							
お陰で俺は、名実ともに工房の長になれた。これからは、もっと自由に、積極的に活動しよう！			お陰で俺は、名実ともに工房の長になれた。これからは、もっと自由に、積極的に活動しよう！			名誉をかけた模擬戦							
工房長としての、記念すべき初仕事として、機工兵装を改良してみた。今回の礼も兼ねて、君に受け取ってもらいたい。			工房長としての、記念すべき初仕事として、機工兵装を改良してみた。今回の礼も兼ねて、君に受け取ってもらいたい。			名誉をかけた模擬戦							
模擬戦での反省を活かしてみたのさ。さぁ、君なりに駆使して「機工士」の名を高めてくれ！			模擬戦での反省を活かしてみたのさ。さぁ、君なりに駆使して「機工士」の名を高めてくれ！			名誉をかけた模擬戦							
スカイスチール機工房のステファニヴィアンは、模擬戦に向けて作戦会議をしたいようだ。			スカイスチール機工房のステファニヴィアンは、模擬戦に向けて作戦会議をしたいようだ。			起死回生の切り札							
ステファニヴィアンは、模擬戦の作戦会議を開くという。スカイスチール機工房付近の「ジョイ」と話そう。			ステファニヴィアンは、模擬戦の作戦会議を開くという。スカイスチール機工房付近の「ジョイ」と話そう。			起死回生の切り札							
ジョイと話した。聖レネット広場付近の「ロスティンスタル」と話そう。			ジョイと話した。聖レネット広場付近の「ロスティンスタル」と話そう。			起死回生の切り札							
ロスティンスタルと話した。イシュガルド下層の「不審者」に「スラッグショット」をしよう。※スラッグショットを使用できない場合は「ヒートスラッグショット」でも進行が可能です。			ロスティンスタルと話した。イシュガルド下層の「不審者」に「スラッグショット」をしよう。※スラッグショットを使用できない場合は「ヒートスラッグショット」でも進行が可能です。			起死回生の切り札							
イシュガルド下層の不審者を片付けた。スカイスチール機工房の「ステファニヴィアン」と話そう。			イシュガルド下層の不審者を片付けた。スカイスチール機工房の「ステファニヴィアン」と話そう。			起死回生の切り札							
ステファニヴィアンと話していたところ、爆発音がした。イシュガルド下層の「ジョイ」と話そう。			ステファニヴィアンと話していたところ、爆発音がした。イシュガルド下層の「ジョイ」と話そう。			起死回生の切り札							
ジョイと話した。スカイスチール機工房の「ステファニヴィアン」と話そう。			ジョイと話した。スカイスチール機工房の「ステファニヴィアン」と話そう。			起死回生の切り札							
