シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
モフモフした鳥みたいな種族			モフモフした鳥みたいな種族			人間の限界							
トラル大陸にいるハヌハヌ族と似た種族だ			トラル大陸にいるハヌハヌ族と似た種族だ			人間の限界							
あー、アイツらのことか！そっか、こっちにもいるんだなー。			あー、アイツらのことか！そっか、こっちにもいるんだなー。			人間の限界							
あのさ……オレ、こっちに来てすっごく驚いたことが、ひとつあるんだよ。			あのさ……オレ、こっちに来てすっごく驚いたことが、ひとつあるんだよ。			人間の限界							
リューシ戦争とかいう、人と竜がずっと争ってて、それから仲直りしたって話。			リューシ戦争とかいう、人と竜がずっと争ってて、それから仲直りしたって話。			人間の限界							
それを聞いて、世界中がそうやって仲良くなれば、護り手なんて役目も、必要なくなるんじゃないかって思った。			それを聞いて、世界中がそうやって仲良くなれば、護り手なんて役目も、必要なくなるんじゃないかって思った。			人間の限界							
そもそもうちの部族に「眠らずの勇士」がいるのは、魔物だけじゃなく、周辺の集落のことも警戒してるからだ。だから、どこともロクに交流しようとしないでさ。			そもそもうちの部族に「眠らずの勇士」がいるのは、魔物だけじゃなく、周辺の集落のことも警戒してるからだ。だから、どこともロクに交流しようとしないでさ。			人間の限界							
今回、大寒波で弱ってるところをつけこまれたこともあって、外に対する警戒感はいよいよ増していくばかり。			今回、大寒波で弱ってるところをつけこまれたこともあって、外に対する警戒感はいよいよ増していくばかり。			人間の限界							
でも、それじゃ未来は何も変わらない。誰も信じず、よそと距離を置いて暮らすんじゃなくて、皆を信じて、ともに仲良く暮らせる日が来れば……			でも、それじゃ未来は何も変わらない。誰も信じず、よそと距離を置いて暮らすんじゃなくて、皆を信じて、ともに仲良く暮らせる日が来れば……			人間の限界							
……なーんて。さすがに夢見すぎか～？			……なーんて。さすがに夢見すぎか～？			人間の限界							
ううん……とても素敵だと思うよ。			ううん……とても素敵だと思うよ。			人間の限界							
んじゃ、決戦に備えて鍛錬するか～！			んじゃ、決戦に備えて鍛錬するか～！			人間の限界							
オマエもしっかりと休んでおいてくれ。万が一、大事なときに眠っちゃったら、オレがブッ叩いて起こすからな！			オマエもしっかりと休んでおいてくれ。万が一、大事なときに眠っちゃったら、オレがブッ叩いて起こすからな！			人間の限界							
聖バルロアイアン広場のテントーワは、やる気をみなぎらせている。			聖バルロアイアン広場のテントーワは、やる気をみなぎらせている。			寝ても覚めても							
テントーワと話した。神殿騎士団は、ズンド族と協力してレオフィーヌを迎え討つことに決めたようだ。アバラシア雲海のオク・ズンドにいる「ソヌバヌ」と話そう。			テントーワと話した。神殿騎士団は、ズンド族と協力してレオフィーヌを迎え討つことに決めたようだ。アバラシア雲海のオク・ズンドにいる「ソヌバヌ」と話そう。			寝ても覚めても							
ソヌバヌと話した。神殿騎士たちを乗せた飛空艇が、ズンド族の集団の中に墜落したらしい。オク・ズンドにいる「テントーワ」と話し、現場へ向かおう。			ソヌバヌと話した。神殿騎士たちを乗せた飛空艇が、ズンド族の集団の中に墜落したらしい。オク・ズンドにいる「テントーワ」と話し、現場へ向かおう。			寝ても覚めても							
テントーワと話した。アバラシア雲海の墜落現場には、レオフィーヌが待ち構えていた。テントーワ、ローデニケと力を合わせて、レオフィーヌを倒そう。			テントーワと話した。アバラシア雲海の墜落現場には、レオフィーヌが待ち構えていた。テントーワ、ローデニケと力を合わせて、レオフィーヌを倒そう。			寝ても覚めても							
冒険者とテントーワたちは、力を合わせてレオフィーヌを打ち破り、イッカクの祭器を取り戻した。アバラシア雲海のコールドウィンド島にいる「テントーワ」と話そう。			冒険者とテントーワたちは、力を合わせてレオフィーヌを打ち破り、イッカクの祭器を取り戻した。アバラシア雲海のコールドウィンド島にいる「テントーワ」と話そう。			寝ても覚めても							
テントーワと話した。イシュガルドの神殿騎士団本部にいる「アンドゥルー」と話そう。			テントーワと話した。イシュガルドの神殿騎士団本部にいる「アンドゥルー」と話そう。			寝ても覚めても							
アンドゥルーと話した。今回の事件を通じ、神殿騎士とズンド族の絆はより一層深まったようだ。トライヨラのシャバーブチェにいる「ローデニケ」と話そう。			アンドゥルーと話した。今回の事件を通じ、神殿騎士とズンド族の絆はより一層深まったようだ。トライヨラのシャバーブチェにいる「ローデニケ」と話そう。			寝ても覚めても							
イッカクの祭器を無事に取り戻したローデニケとテントーワは、部族の里へと帰っていった。イシュガルドでの事件を通じて、異なる部族同士でも信頼しあえることを知ったふたりならば、部族のあり方に対し、新たな道を見つけられるはずだ。ふたりがともに同じ時間を過ごせる未来が来ることを願おう。			イッカクの祭器を無事に取り戻したローデニケとテントーワは、部族の里へと帰っていった。イシュガルドでの事件を通じて、異なる部族同士でも信頼しあえることを知ったふたりならば、部族のあり方に対し、新たな道を見つけられるはずだ。ふたりがともに同じ時間を過ごせる未来が来ることを願おう。			寝ても覚めても							
オク・ズンドのソヌバヌと話す			オク・ズンドのソヌバヌと話す			寝ても覚めても							
テントーワと話す			テントーワと話す			寝ても覚めても							
テントーワと再度話す			テントーワと再度話す			寝ても覚めても							
イシュガルドのアンドゥルーと話す			イシュガルドのアンドゥルーと話す			寝ても覚めても							
トライヨラのローデニケと話す			トライヨラのローデニケと話す			寝ても覚めても							
表敬訪問の件は緊急の議題として関係者を招集中だ。決定が下るまで、もうしばらく待ってほしい。			表敬訪問の件は緊急の議題として関係者を招集中だ。決定が下るまで、もうしばらく待ってほしい。			寝ても覚めても							
ズンド族にも事情を打ち明け、ともに迎撃にあたろうとは……こちらの面子ばかり気にしていては、出ない発想でした。			ズンド族にも事情を打ち明け、ともに迎撃にあたろうとは……こちらの面子ばかり気にしていては、出ない発想でした。			寝ても覚めても							
テントーワの調子も、また上向いてきたみたいだね。こうでなくっちゃ！			テントーワの調子も、また上向いてきたみたいだね。こうでなくっちゃ！			寝ても覚めても							
アンドゥルーから連絡来ないな……。話し合い、長引いてるみたいだ。			アンドゥルーから連絡来ないな……。話し合い、長引いてるみたいだ。			寝ても覚めても							
眠ってしまえば、人は無力だからね……。どれだけワタシたちのことを信じてくれていても、祭器に対する不安が、どうしても決定を鈍らせちゃうのかも。			眠ってしまえば、人は無力だからね……。どれだけワタシたちのことを信じてくれていても、祭器に対する不安が、どうしても決定を鈍らせちゃうのかも。			寝ても覚めても							
オレも正直、祭器を悪用されると、こんなに厄介だとは思ってなかった。使い方ひとつ違うだけで、こうも印象が変わるんだな～。			オレも正直、祭器を悪用されると、こんなに厄介だとは思ってなかった。使い方ひとつ違うだけで、こうも印象が変わるんだな～。			寝ても覚めても							
って、そうか！祭器をどう使うかは、その持ち主次第なんだ！			って、そうか！祭器をどう使うかは、その持ち主次第なんだ！			寝ても覚めても							
だったら、取り戻したからといって、前と同じ使い方をしなきゃいけないわけじゃない。「眠り子」を必要としない使い方を考えれば……！			だったら、取り戻したからといって、前と同じ使い方をしなきゃいけないわけじゃない。「眠り子」を必要としない使い方を考えれば……！			寝ても覚めても							
……その話は、あとにしよ？今はレオフィーヌを倒して、祭器を取り戻すことが最優先！			……その話は、あとにしよ？今はレオフィーヌを倒して、祭器を取り戻すことが最優先！			寝ても覚めても							
あ、ゴメン……。先の話より、レオフィーヌのことを……って、元々、オレが言ってたことなのにな。			あ、ゴメン……。先の話より、レオフィーヌのことを……って、元々、オレが言ってたことなのにな。			寝ても覚めても							
待たせたな。表敬訪問を挙行するか否か……神殿騎士団の方針がようやく決定した。			待たせたな。表敬訪問を挙行するか否か……神殿騎士団の方針がようやく決定した。			寝ても覚めても							
それで、どうなったんだ？			それで、どうなったんだ？			寝ても覚めても							
結論からいえば、挙行することになった。決定に時間がかかったのは、ズンド族に相談をしていたからだが、彼らも協力を快諾してくれたよ。			結論からいえば、挙行することになった。決定に時間がかかったのは、ズンド族に相談をしていたからだが、彼らも協力を快諾してくれたよ。			寝ても覚めても							
そこで、表敬訪問の名をあらため、レオフィーヌ迎撃作戦とする！我ら神殿騎士団の威信をかけ、必ずやヤツを倒し、君たちの宝も取り戻そう！			そこで、表敬訪問の名をあらため、レオフィーヌ迎撃作戦とする！我ら神殿騎士団の威信をかけ、必ずやヤツを倒し、君たちの宝も取り戻そう！			寝ても覚めても							
おおー本当か！？ありがとう、ぜったい皆でレオフィーヌを捕まえるぞ！			おおー本当か！？ありがとう、ぜったい皆でレオフィーヌを捕まえるぞ！			寝ても覚めても							
これから詳細な打ち合わせのため、準備が整い次第、先発組が飛空艇で出発する。			これから詳細な打ち合わせのため、準備が整い次第、先発組が飛空艇で出発する。			寝ても覚めても							
君たちもオク・ズンドへ向かい、長老ソヌバヌ殿との作戦会議に加わってほしい。			君たちもオク・ズンドへ向かい、長老ソヌバヌ殿との作戦会議に加わってほしい。			寝ても覚めても							
ねぇ、今回はワタシも行くよ！癒やしの術で、少しくらいは役に立てるはずだから！			ねぇ、今回はワタシも行くよ！癒やしの術で、少しくらいは役に立てるはずだから！			寝ても覚めても							
オレがなんとかするから任せてくれ……なんて、もう言わないよ。			オレがなんとかするから任せてくれ……なんて、もう言わないよ。			寝ても覚めても							
オレひとりじゃ誰も護れない……。オマエにForename、皆がいてくれないとダメだって、よくわかってるから。			オレひとりじゃ誰も護れない……。オマエにForename、皆がいてくれないとダメだって、よくわかってるから。			寝ても覚めても							
それに、元はと言えば、オレがオマエを護らなかったせいで、祭器を奪われちゃったんだ。			それに、元はと言えば、オレがオマエを護らなかったせいで、祭器を奪われちゃったんだ。			寝ても覚めても							
レオフィーヌにまた利用されないよう、オマエはずっとオレの傍にいた方がいい。			レオフィーヌにまた利用されないよう、オマエはずっとオレの傍にいた方がいい。			寝ても覚めても							
それじゃ、オレたちも出発だ。長老の「ソヌバヌ」に会いにいこう！			それじゃ、オレたちも出発だ。長老の「ソヌバヌ」に会いにいこう！			寝ても覚めても							
神殿騎士団の動きが目立つよう、表敬訪問の件は、意図的に流布させています。レオフィーヌの狙いからして、必ず食いつくはずです。			神殿騎士団の動きが目立つよう、表敬訪問の件は、意図的に流布させています。レオフィーヌの狙いからして、必ず食いつくはずです。			寝ても覚めても							
精鋭を集めて、飛空艇でオク・ズンドへ向かう手はずだ。君たちは先に現地へ向かってくれ。			精鋭を集めて、飛空艇でオク・ズンドへ向かう手はずだ。君たちは先に現地へ向かってくれ。			寝ても覚めても							
バヌバヌ族って身体はでっかいのに、身軽に踊れてすごいな！空も飛べるのか？			バヌバヌ族って身体はでっかいのに、身軽に踊れてすごいな！空も飛べるのか？			寝ても覚めても							
うわぁ、空に島が浮いてるよー！エオルゼアって、とても不思議なところだね！			うわぁ、空に島が浮いてるよー！エオルゼアって、とても不思議なところだね！			寝ても覚めても							
これは、これは、ヒトの勇者……。雲海の平和を乱さんとする輩について、聞いておりますぞ。			これは、これは、ヒトの勇者……。雲海の平和を乱さんとする輩について、聞いておりますぞ。			寝ても覚めても							
ならば、ならば、今こそズンドの出番。我らの舞にて、胡乱な眠りをもたらす邪気を吹き飛ばし、穏やかなる陽気を迎えましょう。			ならば、ならば、今こそズンドの出番。我らの舞にて、胡乱な眠りをもたらす邪気を吹き飛ばし、穏やかなる陽気を迎えましょう。			寝ても覚めても							
オレはテントーワ。眠気を払えるなんて、すごい踊りがあるんだな！			オレはテントーワ。眠気を払えるなんて、すごい踊りがあるんだな！			寝ても覚めても							
のちほど、ヒトの戦士たちが来訪した際に、我らの舞をいくつか披露することになっています。あなた方も見ていかれるがよいでしょう。			のちほど、ヒトの戦士たちが来訪した際に、我らの舞をいくつか披露することになっています。あなた方も見ていかれるがよいでしょう。			寝ても覚めても							
そっか、文化交流するのが当初の目的だもんね。レオフィーヌをおびきだすのが狙いだとしても、そういうフリはちゃんとやらなきゃなんだ。			そっか、文化交流するのが当初の目的だもんね。レオフィーヌをおびきだすのが狙いだとしても、そういうフリはちゃんとやらなきゃなんだ。			寝ても覚めても							
中でも「太陽の舞」は、己の力と仲間との団結力を示し、相手の戦意を喪失させるもの。ヒトの戦士たちにも、学べる部分があるはずです。			中でも「太陽の舞」は、己の力と仲間との団結力を示し、相手の戦意を喪失させるもの。ヒトの戦士たちにも、学べる部分があるはずです。			寝ても覚めても							
しかし、しかし、その効果を確かめるには、実際に魔物を相手にしなくては。そのため、オク・ズンドの外で準備をしています。			しかし、しかし、その効果を確かめるには、実際に魔物を相手にしなくては。そのため、オク・ズンドの外で準備をしています。			寝ても覚めても							
壮観な舞であるがゆえ、突然の豪雨のように、皆の視線が集中するでしょう。その間も、油断なく周囲を見張らねばなりません。			壮観な舞であるがゆえ、突然の豪雨のように、皆の視線が集中するでしょう。その間も、油断なく周囲を見張らねばなりません。			寝ても覚めても							
それから、それから、ヒトの戦士たちからの、贈り物の受け渡しが……。			それから、それから、ヒトの戦士たちからの、贈り物の受け渡しが……。			寝ても覚めても							
大変だ、大変だ！突然、空飛ぶ船が我らに向かって突っ込んできた！			大変だ、大変だ！突然、空飛ぶ船が我らに向かって突っ込んできた！			寝ても覚めても							
オク・ズンドの外で「太陽の舞」の練習をしていたところ、いきなり、いきなり、我らの真上から船が落ちてきたのだ。こちらに向かっていたヒトの戦士たちの船かと。			オク・ズンドの外で「太陽の舞」の練習をしていたところ、いきなり、いきなり、我らの真上から船が落ちてきたのだ。こちらに向かっていたヒトの戦士たちの船かと。			寝ても覚めても							
幸い、我らに被害はなかったが、船から投げ出されたヒトは傷ついており……とても、とても、現場は混乱している！			幸い、我らに被害はなかったが、船から投げ出されたヒトは傷ついており……とても、とても、現場は混乱している！			寝ても覚めても							
何と言う？			何と言う？			寝ても覚めても							
神殿騎士に、ズンド族を傷つける意図はないはず			神殿騎士に、ズンド族を傷つける意図はないはず			寝ても覚めても							
まさか、まさか、レオフィーヌが……！？			まさか、まさか、レオフィーヌが……！？			寝ても覚めても							
もちろん、もちろん、敵の仕業に違いないでしょう。雨上がりの虹のように、我らはヒトの戦士たちを信じています。			もちろん、もちろん、敵の仕業に違いないでしょう。雨上がりの虹のように、我らはヒトの戦士たちを信じています。			寝ても覚めても							
神殿騎士たちも、ヒクウテイで来てたんだよね？だったら、祭器でその舵を握ってる人を眠らせれば、下に落とすこともできるはず……！			神殿騎士たちも、ヒクウテイで来てたんだよね？だったら、祭器でその舵を握ってる人を眠らせれば、下に落とすこともできるはず……！			寝ても覚めても							
オレたちが罠を張ろうとしてることまで読んで、レオフィーヌが、先に仕掛けてきたってことか……？			オレたちが罠を張ろうとしてることまで読んで、レオフィーヌが、先に仕掛けてきたってことか……？			寝ても覚めても							
それでは、それでは、せっかく立てていた計画が水の泡。ですが今は、船に乗っていたヒトの救助を急ぎましょう。			それでは、それでは、せっかく立てていた計画が水の泡。ですが今は、船に乗っていたヒトの救助を急ぎましょう。			寝ても覚めても							
ああ、すぐに向かおう！			ああ、すぐに向かおう！			寝ても覚めても							
イシュガルドの街で同じことをやられたら、もっと大変なことになっちゃう……早くレオフィーヌを捕まえよう！			イシュガルドの街で同じことをやられたら、もっと大変なことになっちゃう……早くレオフィーヌを捕まえよう！			寝ても覚めても							
できれば、できれば、すぐに現地に向かってくだされ。この混乱に乗じて敵に襲われないよう、我らは周辺の浮島の警戒も強めておきます。			できれば、できれば、すぐに現地に向かってくだされ。この混乱に乗じて敵に襲われないよう、我らは周辺の浮島の警戒も強めておきます。			寝ても覚めても							
なに、先発の飛空艇が墜落しただと！？安全が確保できるまで、後続する本隊の出発は遅らせるべきか……すまないが、現地の様子を見にいってほしい！			なに、先発の飛空艇が墜落しただと！？安全が確保できるまで、後続する本隊の出発は遅らせるべきか……すまないが、現地の様子を見にいってほしい！			寝ても覚めても							
先発隊の飛空艇と連絡が取れなくなったそうです。まさかレオフィーヌに襲われたのでしょうか……！？			先発隊の飛空艇と連絡が取れなくなったそうです。まさかレオフィーヌに襲われたのでしょうか……！？			寝ても覚めても							
祭器の力が使われたんなら、必ずレオフィーヌが近くにいるはずだ。			祭器の力が使われたんなら、必ずレオフィーヌが近くにいるはずだ。			寝ても覚めても							
まずは怪我人の救助を急がなくちゃだけど、アイツを逃すつもりもない。今度こそ決着をつけよう！			まずは怪我人の救助を急がなくちゃだけど、アイツを逃すつもりもない。今度こそ決着をつけよう！			寝ても覚めても							
やっぱりいたな、レオフィーヌッ！			やっぱりいたな、レオフィーヌッ！			寝ても覚めても							
あたしが来るって、読んでたんだろ？だからお望みどおり来てやったよ、ひと足先にね。			あたしが来るって、読んでたんだろ？だからお望みどおり来てやったよ、ひと足先にね。			寝ても覚めても							
本当はね、皇都を直接ブッ潰す計画を立ててたんだけど……一番楽しい瞬間に、邪魔者がうろついてたら興ざめだろ？だからその前に、あんたらを片付けることにしたのさ。			本当はね、皇都を直接ブッ潰す計画を立ててたんだけど……一番楽しい瞬間に、邪魔者がうろついてたら興ざめだろ？だからその前に、あんたらを片付けることにしたのさ。			寝ても覚めても							
それにしても、天下の神殿騎士が航行中に居眠りとは……。連中の評判もろとも、真っ逆さまに急降下だ。			それにしても、天下の神殿騎士が航行中に居眠りとは……。連中の評判もろとも、真っ逆さまに急降下だ。			寝ても覚めても							
しかも、落ちた先にズンド族がいるなんてすごい偶然！こりゃあイシュガルドとの付き合い方を、考え直した方がいいんじゃないか？			しかも、落ちた先にズンド族がいるなんてすごい偶然！こりゃあイシュガルドとの付き合い方を、考え直した方がいいんじゃないか？			寝ても覚めても							
この事故も、これまでのことも……全部アナタの仕業だって、わかってるんだから。イシュガルドって国は、そう簡単には揺らがないよ！			この事故も、これまでのことも……全部アナタの仕業だって、わかってるんだから。イシュガルドって国は、そう簡単には揺らがないよ！			寝ても覚めても							
おや、あんたもこっちに？ずっと寝てばかりいた「眠り子」サマが、遠出できるようになってよかったじゃないか。			おや、あんたもこっちに？ずっと寝てばかりいた「眠り子」サマが、遠出できるようになってよかったじゃないか。			寝ても覚めても							
余計なお世話！イッカクの祭器を使って、よその国をメチャクチャにしようだなんて、絶対許さない！			余計なお世話！イッカクの祭器を使って、よその国をメチャクチャにしようだなんて、絶対許さない！			寝ても覚めても							
そうは言うけど……あんたらの部族だって、この祭器の恩恵をたっぷり受けてきたんだろう？誰かさんを犠牲にしてさあ。			そうは言うけど……あんたらの部族だって、この祭器の恩恵をたっぷり受けてきたんだろう？誰かさんを犠牲にしてさあ。			寝ても覚めても							
勘違いしないでよ？あんたらのやり方を悪く言ってるんじゃない、むしろ、尊敬さえしてるんだ。			勘違いしないでよ？あんたらのやり方を悪く言ってるんじゃない、むしろ、尊敬さえしてるんだ。			寝ても覚めても							
人間ってのは本当に不自由な生き物だからね……。どれだけ強くなろうとも、あたしたちは眠りを必要とせずにはいられない。			人間ってのは本当に不自由な生き物だからね……。どれだけ強くなろうとも、あたしたちは眠りを必要とせずにはいられない。			寝ても覚めても							
しかし、この祭器があれば、身体から睡眠という枷を取り払い、自由になれる。加えて、相手の力も吸収できるみたいだし、いいことずくめだね！			しかし、この祭器があれば、身体から睡眠という枷を取り払い、自由になれる。加えて、相手の力も吸収できるみたいだし、いいことずくめだね！			寝ても覚めても							
祭器を使うことが正しいのかどうか、オレにはわからない。でも、誰かを犠牲にして生きても、ひとりじゃ全然楽しくなかった。			祭器を使うことが正しいのかどうか、オレにはわからない。でも、誰かを犠牲にして生きても、ひとりじゃ全然楽しくなかった。			寝ても覚めても							
オマエの言うとおり、人間ってのは不自由な生き物だからさ、互いに支えあって生きてたいんだ。			オマエの言うとおり、人間ってのは不自由な生き物だからさ、互いに支えあって生きてたいんだ。			寝ても覚めても							
オレは、寝ても覚めてもコイツと一緒がいい。いま言えるのは、それだけだ。			オレは、寝ても覚めてもコイツと一緒がいい。いま言えるのは、それだけだ。			寝ても覚めても							
何と言う？			何と言う？			寝ても覚めても							
皆で力を合わせて、祭器を取り戻そう！			皆で力を合わせて、祭器を取り戻そう！			寝ても覚めても							
ふたりは自分が護り抜く！			ふたりは自分が護り抜く！			寝ても覚めても							
祭器の力を全開で使ったんなら、すぐには再使用できないらしいじゃないか。だったら、今のうちに倒す！			祭器の力を全開で使ったんなら、すぐには再使用できないらしいじゃないか。だったら、今のうちに倒す！			寝ても覚めても							
フッ、そう簡単にいけばいいけどね。……あんたたち、出番だよ！			フッ、そう簡単にいけばいいけどね。……あんたたち、出番だよ！			寝ても覚めても							
それじゃ、皆仲良くいい夢を見せてやろう。決して覚めない眠りの中でね！			それじゃ、皆仲良くいい夢を見せてやろう。決して覚めない眠りの中でね！			寝ても覚めても							
祭器に魔力が満ちるのを感じる……。再使用可能になったみたいだね！			祭器に魔力が満ちるのを感じる……。再使用可能になったみたいだね！			寝ても覚めても							
それじゃ皆、おねんねの時間だよ。喰らうがいい、イッカクの祭器のフルパワーを！			それじゃ皆、おねんねの時間だよ。喰らうがいい、イッカクの祭器のフルパワーを！			寝ても覚めても							
クソッ、こいつはまずいね。一旦退くしかないか……！			クソッ、こいつはまずいね。一旦退くしかないか……！			寝ても覚めても							
逃がさないッ！			逃がさないッ！			寝ても覚めても							
チッ、邪魔だよ！			チッ、邪魔だよ！			寝ても覚めても							
今だッ！			今だッ！			寝ても覚めても							
しまった、祭器が！			しまった、祭器が！			寝ても覚めても							
もう寝る時間だぞ、レオフィーヌッ！			もう寝る時間だぞ、レオフィーヌッ！			寝ても覚めても							
「眠らずの勇士」が、オマエに安らかなる眠りを与えん……。			「眠らずの勇士」が、オマエに安らかなる眠りを与えん……。			寝ても覚めても							
やったね！			やったね！			寝ても覚めても							
ああ、それよりも……。			ああ、それよりも……。			寝ても覚めても							
おーい、Forename！大丈夫か？			おーい、Forename！大丈夫か？			寝ても覚めても							
……って、さすがだよな。こんなときでも、笑ってるんだから！			……って、さすがだよな。こんなときでも、笑ってるんだから！			寝ても覚めても							
あ、Forenameが起きたよー！			あ、Forenameが起きたよー！			寝ても覚めても							
おはよう！眠らされてから、そんなに時間も経ってないから安心して。多分、生命力も全然吸われてないと思うよ。			おはよう！眠らされてから、そんなに時間も経ってないから安心して。多分、生命力も全然吸われてないと思うよ。			寝ても覚めても							
よかった、よかった、大事なかったようで何よりだ。我らの舞によって、皆の団結を示すことができたようです。			よかった、よかった、大事なかったようで何よりだ。我らの舞によって、皆の団結を示すことができたようです。			寝ても覚めても							
これは、これは、報せはすでに受けました。皆、命に別状はないとのことで、新しく生えた羽根のように安堵しております。			これは、これは、報せはすでに受けました。皆、命に別状はないとのことで、新しく生えた羽根のように安堵しております。			寝ても覚めても							
ヒトの戦士たちとの交流は、またの機会に必ず。ともに信頼し、戦えたのですから、急ぐことはありません。			ヒトの戦士たちとの交流は、またの機会に必ず。ともに信頼し、戦えたのですから、急ぐことはありません。			寝ても覚めても							
おお、Forename殿！搬送されてきた負傷者たちは、神殿騎士団病院で治療中だ。最新の状況を共有したい、テントーワ殿たちも連れてきてくれ。			おお、Forename殿！搬送されてきた負傷者たちは、神殿騎士団病院で治療中だ。最新の状況を共有したい、テントーワ殿たちも連れてきてくれ。			寝ても覚めても							
レオフィーヌを倒したそうですね！貴殿らには、感謝の言葉もありません！			レオフィーヌを倒したそうですね！貴殿らには、感謝の言葉もありません！			寝ても覚めても							
これは、これは、ヒトの勇者よ。お仲間が待つ場所へと、案内しますぞ。			これは、これは、ヒトの勇者よ。お仲間が待つ場所へと、案内しますぞ。			寝ても覚めても							
「コールドウィンド島」へ移動しますか？			「コールドウィンド島」へ移動しますか？			寝ても覚めても							
もう大丈夫そうだな、Forename。護り手としてのオマエの覚悟、見せてもらったぞ。			もう大丈夫そうだな、Forename。護り手としてのオマエの覚悟、見せてもらったぞ。			寝ても覚めても							
その想いに応えて、レオフィーヌはきっちりオレが倒した。イッカクの祭器も取り戻したし、これで一件落着だ！			その想いに応えて、レオフィーヌはきっちりオレが倒した。イッカクの祭器も取り戻したし、これで一件落着だ！			寝ても覚めても							
大ケガしてた人たちは、ズンド族の皆が協力して、先にイシュガルドまで運んでくれたの。本当にありがとう！			大ケガしてた人たちは、ズンド族の皆が協力して、先にイシュガルドまで運んでくれたの。本当にありがとう！			寝ても覚めても							
さすが、さすが、見事な戦いぶり！厚着をしたゲイラキャットの如き頑丈な護り……感服いたしました！			さすが、さすが、見事な戦いぶり！厚着をしたゲイラキャットの如き頑丈な護り……感服いたしました！			寝ても覚めても							
そっちこそ、すごかったじゃないか！ズンドの舞、オレも覚えてみようかな。			そっちこそ、すごかったじゃないか！ズンドの舞、オレも覚えてみようかな。			寝ても覚めても							
そうそう、オマエが寝てる間にソヌバヌには挨拶しといたからさ、神殿騎士団本部に戻って、「アンドゥルー」に会おう。			そうそう、オマエが寝てる間にソヌバヌには挨拶しといたからさ、神殿騎士団本部に戻って、「アンドゥルー」に会おう。			寝ても覚めても							
おぉ、よくぞ戻ってくれた！此度の件、君たちのおかげで死亡者を出すこともなく、レオフィーヌを討伐できた。			おぉ、よくぞ戻ってくれた！此度の件、君たちのおかげで死亡者を出すこともなく、レオフィーヌを討伐できた。			寝ても覚めても							
テントーワ殿にローデニケ殿、そしてForename殿……。我ら神殿騎士団を代表して、感謝申し上げる！			テントーワ殿にローデニケ殿、そしてForename殿……。我ら神殿騎士団を代表して、感謝申し上げる！			寝ても覚めても							
よしてくれ、礼を言うのはこっちの方だ。元はと言えば、うちの祭器が盗まれたのが原因だし……神殿騎士とズンド族の交流も邪魔しちゃったからさ。			よしてくれ、礼を言うのはこっちの方だ。元はと言えば、うちの祭器が盗まれたのが原因だし……神殿騎士とズンド族の交流も邪魔しちゃったからさ。			寝ても覚めても							
結果的にズンド族への表敬訪問は中止となったが、今回のことで、むしろ両者の絆を確かめあえた。決して邪魔になどなっていないさ。			結果的にズンド族への表敬訪問は中止となったが、今回のことで、むしろ両者の絆を確かめあえた。決して邪魔になどなっていないさ。			寝ても覚めても							
雲海に落ちたというレオフィーヌの生死は不明だが、力を失った以上、脅威は去ったと見ていいだろう。			雲海に落ちたというレオフィーヌの生死は不明だが、力を失った以上、脅威は去ったと見ていいだろう。			寝ても覚めても							
民に不安が広まる懸念がなくなったため、祭器の情報について解禁される見込みだ。我ら神殿騎士団の名誉も、追って回復されよう。			民に不安が広まる懸念がなくなったため、祭器の情報について解禁される見込みだ。我ら神殿騎士団の名誉も、追って回復されよう。			寝ても覚めても							
これからも末永く、周辺の部族たちと良好な関係を続け、イシュガルドの未来のために、まい進していく。無論、君たちもともに……！			これからも末永く、周辺の部族たちと良好な関係を続け、イシュガルドの未来のために、まい進していく。無論、君たちもともに……！			寝ても覚めても							
もし皆に何かあったら呼んでくれよな。次は、オレたちが力になるからさ！			もし皆に何かあったら呼んでくれよな。次は、オレたちが力になるからさ！			寝ても覚めても							
それじゃ、そろそろトラル大陸に帰るよ。本当の本当に、世話になった！			それじゃ、そろそろトラル大陸に帰るよ。本当の本当に、世話になった！			寝ても覚めても							
帰りもトライヨラに立ち寄ってくからさ。オマエもトラル大陸に戻るなら、「シャバーブチェ」で会おう。			帰りもトライヨラに立ち寄ってくからさ。オマエもトラル大陸に戻るなら、「シャバーブチェ」で会おう。			寝ても覚めても							
たったひとりで部族を護ってきた「眠らずの勇士」か。伝統を重んじる姿勢は大事だが、テントーワ殿はもっと別の道を探してもいいように思う。			たったひとりで部族を護ってきた「眠らずの勇士」か。伝統を重んじる姿勢は大事だが、テントーワ殿はもっと別の道を探してもいいように思う。			寝ても覚めても							
必要なのは、大事な存在を護りたいという想い。彼の心に、それがすでに宿っている以上、祭器などなくとも、立派にやり遂げられるはずだ。			必要なのは、大事な存在を護りたいという想い。彼の心に、それがすでに宿っている以上、祭器などなくとも、立派にやり遂げられるはずだ。			寝ても覚めても							
テントーワ殿にお会いすることがあれば、よろしくお伝えください。我ら神殿騎士一同、「眠らずの勇士」に感謝と敬意を！			テントーワ殿にお会いすることがあれば、よろしくお伝えください。我ら神殿騎士一同、「眠らずの勇士」に感謝と敬意を！			寝ても覚めても							
