キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
グヌバヌにツィナハレのクチバシを渡す			グヌバヌにツィナハレのクチバシを渡す			一人前なこと							
グヌバヌと話す			グヌバヌと話す			一人前なこと							
さてと、さてと、儀式について説明するぞ。成人と認められるには、司祭さまに、「価値ある品」を献上すればいいんだぞ。			さてと、さてと、儀式について説明するぞ。成人と認められるには、司祭さまに、「価値ある品」を献上すればいいんだぞ。			一人前なこと							
みんなは狩りをしたり、釣りをしたり、自作の踊りを披露したりして、儀式を通過してるんだぞ～。まあ、僕は、どれも失敗したんだけど……。			みんなは狩りをしたり、釣りをしたり、自作の踊りを披露したりして、儀式を通過してるんだぞ～。まあ、僕は、どれも失敗したんだけど……。			一人前なこと							
でも、でも、どうすればいいか見当はついてるんだぞ！僕のお父さんは、強敵「ツィナハレ」を狩った証を献上して、儀式を通過したらしいんだぞ～。			でも、でも、どうすればいいか見当はついてるんだぞ！僕のお父さんは、強敵「ツィナハレ」を狩った証を献上して、儀式を通過したらしいんだぞ～。			一人前なこと							
僕もそれを手に入れたら、絶対に通過できるはずだぞ！だから、だから、狩りを手伝ってほしいんだぞ！「ツィナハレ」の狩場に案内するから、ついてきてね～！			僕もそれを手に入れたら、絶対に通過できるはずだぞ！だから、だから、狩りを手伝ってほしいんだぞ！「ツィナハレ」の狩場に案内するから、ついてきてね～！			一人前なこと							
ま、待ってた、待ってた！ここで、岩間を抜ける風みたいに「ヒュ～」って音を鳴らせば、「ツィナハレ」が現れるはずなんだぞ。			ま、待ってた、待ってた！ここで、岩間を抜ける風みたいに「ヒュ～」って音を鳴らせば、「ツィナハレ」が現れるはずなんだぞ。			一人前なこと							
そいつを狩った証として、「ツィナハレのクチバシ」を手に入れたら、僕に渡してほしいんだぞ～。			そいつを狩った証として、「ツィナハレのクチバシ」を手に入れたら、僕に渡してほしいんだぞ～。			一人前なこと							
……えっ、僕は何してるかって？もちろん、もちろん、見守ってるぞ！獲物を狙うグリフィンのように、カッコよく見守るぞぉ！			……えっ、僕は何してるかって？もちろん、もちろん、見守ってるぞ！獲物を狙うグリフィンのように、カッコよく見守るぞぉ！			一人前なこと							
ここで、岩間を抜ける風みたいに「ヒュ～」って音を鳴らせば、「ツィナハレ」が現れるはずなんだぞ。そいつを狩って、「ツィナハレのクチバシ」を手に入れてね！			ここで、岩間を抜ける風みたいに「ヒュ～」って音を鳴らせば、「ツィナハレ」が現れるはずなんだぞ。そいつを狩って、「ツィナハレのクチバシ」を手に入れてね！			一人前なこと							
ど、どうだった、どうだった？「ツィナハレのクチバシ」は手に入れられた！？			ど、どうだった、どうだった？「ツィナハレのクチバシ」は手に入れられた！？			一人前なこと							
おお、これこれ、さすがだぞ！さっそく司祭さまに見せにいこう。……へへっ、ようやく儀式を通過できるぞ～！			おお、これこれ、さすがだぞ！さっそく司祭さまに見せにいこう。……へへっ、ようやく儀式を通過できるぞ～！			一人前なこと							
どうも、どうも、司祭さま。儀式として、「価値ある品」を献上しにきたんだぞ。……はい、これ！			どうも、どうも、司祭さま。儀式として、「価値ある品」を献上しにきたんだぞ。……はい、これ！			一人前なこと							
いやはや、いやはや……。今回こそ、まともなものであろうな？何せお主はもう、8回目の儀式になるのだぞ……。			いやはや、いやはや……。今回こそ、まともなものであろうな？何せお主はもう、8回目の儀式になるのだぞ……。			一人前なこと							
……むむむ、これは「ツィナハレのクチバシ」か！まさか、お主が「ツィナハレ」を倒したというのか？			……むむむ、これは「ツィナハレのクチバシ」か！まさか、お主が「ツィナハレ」を倒したというのか？			一人前なこと							
嘘を言え、狩りどころか、イモの皮さえ剥けぬだろうに！おおかた、優秀な兄者の手を借りたのだろう。オキテを破ったらどうなるか、わかっておるな！？			嘘を言え、狩りどころか、イモの皮さえ剥けぬだろうに！おおかた、優秀な兄者の手を借りたのだろう。オキテを破ったらどうなるか、わかっておるな！？			一人前なこと							
ちょっと、ちょっと、待ってください司祭さま！僕は兄さんの手なんて、借りてない！こちらの「ヒト」の手を借りただけだぞ！			ちょっと、ちょっと、待ってください司祭さま！僕は兄さんの手なんて、借りてない！こちらの「ヒト」の手を借りただけだぞ！			一人前なこと							
ほらほら、「バヌバヌ族」の手じゃないでしょう？浮島の大岩よりも固いオキテを、破るわけないんだぞ！……ねっ？　ねっ？			ほらほら、「バヌバヌ族」の手じゃないでしょう？浮島の大岩よりも固いオキテを、破るわけないんだぞ！……ねっ？　ねっ？			一人前なこと							
ぐぬぬ……減らず口だけは一人前だ……。よし、オキテを破っていないことは認めてやろう。だが、儀式の通過とは認められぬ……やり直しだ！			ぐぬぬ……減らず口だけは一人前だ……。よし、オキテを破っていないことは認めてやろう。だが、儀式の通過とは認められぬ……やり直しだ！			一人前なこと							
えぇ～～～！？そんなぁ……。			えぇ～～～！？そんなぁ……。			一人前なこと							
オク・ズンドのグナバヌは、弟について悩んでいる。			オク・ズンドのグナバヌは、弟について悩んでいる。			彼の名はグヌバヌ							
グナバヌと話した。アバラシア雲海のオク・ズンドで、グヌバヌの居場所についての情報を集めよう。			グナバヌと話した。アバラシア雲海のオク・ズンドで、グヌバヌの居場所についての情報を集めよう。			彼の名はグヌバヌ							
オク・ズンドで聞きこみをしたところ、グヌバヌは村はずれでサボっているであろうことが判明した。オク・ズンド付近で「グヌバヌ」を探し出そう。見つけたら、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『コラ』と入力して、「グヌバヌ」を叱ろう。			オク・ズンドで聞きこみをしたところ、グヌバヌは村はずれでサボっているであろうことが判明した。オク・ズンド付近で「グヌバヌ」を探し出そう。見つけたら、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『コラ』と入力して、「グヌバヌ」を叱ろう。			彼の名はグヌバヌ							
グヌバヌを叱った。儀式の手伝いをしに来たことを伝えると、グヌバヌは、少しやる気を出したようだ。彼が儀式を通過するために、力を貸してあげよう。			グヌバヌを叱った。儀式の手伝いをしに来たことを伝えると、グヌバヌは、少しやる気を出したようだ。彼が儀式を通過するために、力を貸してあげよう。			彼の名はグヌバヌ							
グヌバヌの居場所について情報を集める			グヌバヌの居場所について情報を集める			彼の名はグヌバヌ							
オク・ズンド付近でグヌバヌを探し、チャットの「Say」モードで『コラ』と入力して叱る			オク・ズンド付近でグヌバヌを探し、チャットの「Say」モードで『コラ』と入力して叱る			彼の名はグヌバヌ							
これは、これは、善良そうなヒトではないか！こんなときに現れるとは、まさしく運命……我ら兄弟を救うために、天が遣わした使者に違いない！			これは、これは、善良そうなヒトではないか！こんなときに現れるとは、まさしく運命……我ら兄弟を救うために、天が遣わした使者に違いない！			彼の名はグヌバヌ							
実はな、我らズンド族が成人になるためには、とある「儀式」を乗り越えねばならぬのだ。だが、弟ときたら、この儀式を7回も失敗しておる。			実はな、我らズンド族が成人になるためには、とある「儀式」を乗り越えねばならぬのだ。だが、弟ときたら、この儀式を7回も失敗しておる。			彼の名はグヌバヌ							
次の8回目まで失敗となると、歴代最悪の記録……。ああ、我が一族は、雲海を巡る風のように、止むことなく末代まで笑われてしまうだろう！			次の8回目まで失敗となると、歴代最悪の記録……。ああ、我が一族は、雲海を巡る風のように、止むことなく末代まで笑われてしまうだろう！			彼の名はグヌバヌ							
できるなら弟に力を貸してやりたいが、「儀式に挑む者、バヌバヌ族の手を借りることを禁ずる」というオキテのせいで、兄は傍観するよりないのだ……。			できるなら弟に力を貸してやりたいが、「儀式に挑む者、バヌバヌ族の手を借りることを禁ずる」というオキテのせいで、兄は傍観するよりないのだ……。			彼の名はグヌバヌ							
だが、バヌバヌ族ではない「ヒト」の手助けならば、オキテ破りにはならぬはず！どうか、どうか、我が弟「グヌバヌ」を助けてほしい。			だが、バヌバヌ族ではない「ヒト」の手助けならば、オキテ破りにはならぬはず！どうか、どうか、我が弟「グヌバヌ」を助けてほしい。			彼の名はグヌバヌ							
……と頼んだはいいが、当の本人はどこへ行ったやら。すまぬが、集落の皆から「グヌバヌ」について聞き、奴を見つけるところから始めてはくれまいか？			……と頼んだはいいが、当の本人はどこへ行ったやら。すまぬが、集落の皆から「グヌバヌ」について聞き、奴を見つけるところから始めてはくれまいか？			彼の名はグヌバヌ							
当の本人はどこへ行ったやら……。すまぬが、集落の皆から「グヌバヌ」について聞き、奴を見つけるところから始めてはくれまいか？			当の本人はどこへ行ったやら……。すまぬが、集落の皆から「グヌバヌ」について聞き、奴を見つけるところから始めてはくれまいか？			彼の名はグヌバヌ							
なに、なに、グヌバヌを探している？あの子は、仕事からの逃げ足ばかりが速い、根性なしよ。どうせ、どうせ、今もサボっているに違いないよ！			なに、なに、グヌバヌを探している？あの子は、仕事からの逃げ足ばかりが速い、根性なしよ。どうせ、どうせ、今もサボっているに違いないよ！			彼の名はグヌバヌ							
どうした、どうした、グヌバヌの居場所をお探しか？あいつなら、風に舞い散る木の葉のように、村はずれをフラフラしておるだろうよ。			どうした、どうした、グヌバヌの居場所をお探しか？あいつなら、風に舞い散る木の葉のように、村はずれをフラフラしておるだろうよ。			彼の名はグヌバヌ							
ああ、ああ、グヌバヌね。また仕事を放り出して、木陰で休んでいるんじゃない？見かけたら、思いっきり「コラ！」って叱ってあげて。			ああ、ああ、グヌバヌね。また仕事を放り出して、木陰で休んでいるんじゃない？見かけたら、思いっきり「コラ！」って叱ってあげて。			彼の名はグヌバヌ							
どうせ、どうせ、今もサボっているに違いないよ！			どうせ、どうせ、今もサボっているに違いないよ！			彼の名はグヌバヌ							
あいつなら、風に舞い散る木の葉のように、村はずれをフラフラしておるだろうよ。			あいつなら、風に舞い散る木の葉のように、村はずれをフラフラしておるだろうよ。			彼の名はグヌバヌ							
グヌバヌを見かけたら、思いっきり「コラ！」って叱ってあげて。			グヌバヌを見かけたら、思いっきり「コラ！」って叱ってあげて。			彼の名はグヌバヌ							
なんだ、なんだ、邪魔しないでよう。僕は、大事な仕事のことを考えてるんだぞ。……ふわぁ～、面倒くさいなぁ。			なんだ、なんだ、邪魔しないでよう。僕は、大事な仕事のことを考えてるんだぞ。……ふわぁ～、面倒くさいなぁ。			彼の名はグヌバヌ							
グヌバヌを叱る必要がありそうだ……。			グヌバヌを叱る必要がありそうだ……。			彼の名はグヌバヌ							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『コラ』を含む好きな言葉を入力し、グヌバヌを叱りましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『コラ』を含む好きな言葉を入力し、グヌバヌを叱りましょう。			彼の名はグヌバヌ							
わわ！　ご、ごめんなさい～！すぐに仕事に戻りま…………って、あれ？あなたは、どちらさまで？			わわ！　ご、ごめんなさい～！すぐに仕事に戻りま…………って、あれ？あなたは、どちらさまで？			彼の名はグヌバヌ							
なんだぁ、急に叱られてびっくりしちゃったぞ～。兄さんに言われて、儀式の手伝いをしに来てくれたのかぁ！			なんだぁ、急に叱られてびっくりしちゃったぞ～。兄さんに言われて、儀式の手伝いをしに来てくれたのかぁ！			彼の名はグヌバヌ							
うれしい、うれしい！どうせ失敗するから、どう逃げようか考えてたけど、ヒトに手伝わせるなんて、やっぱり兄さんは頭がいいぞ！			うれしい、うれしい！どうせ失敗するから、どう逃げようか考えてたけど、ヒトに手伝わせるなんて、やっぱり兄さんは頭がいいぞ！			彼の名はグヌバヌ							
それじゃ、儀式を通過するために、がんばろ～う！これからよろしく頼むぞ、Forename！			それじゃ、儀式を通過するために、がんばろ～う！これからよろしく頼むぞ、Forename！			彼の名はグヌバヌ							
コラ			コラ			彼の名はグヌバヌ							
オク・ズンドのグヌバヌは、儀式を通過する方法をさらに思案しているようだ。			オク・ズンドのグヌバヌは、儀式を通過する方法をさらに思案しているようだ。			価値あるもの							
グヌバヌのために、サヌワを捕まえることになった。アバラシア雲海のブルーウィンドウにいる「グヌバヌ」と話そう。			グヌバヌのために、サヌワを捕まえることになった。アバラシア雲海のブルーウィンドウにいる「グヌバヌ」と話そう。			価値あるもの							
グヌバヌから、なめし革の手綱を預かった。ブルーウィンドウの「訓練されたサヌワ」に「なめし革の手綱」を使おう。			グヌバヌから、なめし革の手綱を預かった。ブルーウィンドウの「訓練されたサヌワ」に「なめし革の手綱」を使おう。			価値あるもの							
訓練されたサヌワに手綱を掛けた。ブルーウィンドウの「サヌワ」を鎮めて、グヌバヌが騎乗できるようにしよう。			訓練されたサヌワに手綱を掛けた。ブルーウィンドウの「サヌワ」を鎮めて、グヌバヌが騎乗できるようにしよう。			価値あるもの							
訓練されたサヌワを鎮めた。ブルーウィンドウにいる「グヌバヌ」に報告しよう。			訓練されたサヌワを鎮めた。ブルーウィンドウにいる「グヌバヌ」に報告しよう。			価値あるもの							
グヌバヌに報告したところ、怯えて走り去ってしまった。オク・ズンドに戻って、「グヌバヌ」と話そう。			グヌバヌに報告したところ、怯えて走り去ってしまった。オク・ズンドに戻って、「グヌバヌ」と話そう。			価値あるもの							
グヌバヌから、逃げたことを謝罪された。彼ははアヌバヌに、サヌワを手懐ける方法を冒険者に教えた心こそが「価値ある品」だと説明した。しかし、やはりアヌバヌは認めてくれないようだ……。			グヌバヌから、逃げたことを謝罪された。彼ははアヌバヌに、サヌワを手懐ける方法を冒険者に教えた心こそが「価値ある品」だと説明した。しかし、やはりアヌバヌは認めてくれないようだ……。			価値あるもの							
グヌバヌと話す			グヌバヌと話す			価値あるもの							
訓練されたサヌワになめし革の手綱を使う			訓練されたサヌワになめし革の手綱を使う			価値あるもの							
訓練されたサヌワを鎮める			訓練されたサヌワを鎮める			価値あるもの							
グヌバヌに報告			グヌバヌに報告			価値あるもの							
グヌバヌと話す			グヌバヌと話す			価値あるもの							
さてと、さてと、次はどうしようかなぁ。ほかに思いつくのは、兄さんの真似をすることだけ……アレをやるのは嫌だけど、こうなったら仕方ないぞ……。			さてと、さてと、次はどうしようかなぁ。ほかに思いつくのは、兄さんの真似をすることだけ……アレをやるのは嫌だけど、こうなったら仕方ないぞ……。			価値あるもの							
……兄さんはね、僕らバヌバヌ族がよく乗る「サヌワ」の、すばらしい騎乗術を披露したんだぞ。			……兄さんはね、僕らバヌバヌ族がよく乗る「サヌワ」の、すばらしい騎乗術を披露したんだぞ。			価値あるもの							
僕だって……ふ、二重の虹くらい見事な騎乗術を持ってるぞ。ただ、自分の「サヌワ」を持ってないんだ……。だって、だって、捕まえるのが大変なんだもん！			僕だって……ふ、二重の虹くらい見事な騎乗術を持ってるぞ。ただ、自分の「サヌワ」を持ってないんだ……。だって、だって、捕まえるのが大変なんだもん！			価値あるもの							
あなたに「サヌワ」を捕まえてもらうくらいなら、司祭さまも許してくれるはずだぞ。必要な道具は持っていくから、ブンド族の集落の方へ来てね～。			あなたに「サヌワ」を捕まえてもらうくらいなら、司祭さまも許してくれるはずだぞ。必要な道具は持っていくから、ブンド族の集落の方へ来てね～。			価値あるもの							
「サヌワ」は、こちらを鋭く睨んでいる……。			「サヌワ」は、こちらを鋭く睨んでいる……。			価値あるもの							
どうも、どうも！サヌワの捕獲に必要な道具を持ってきたぞ。じゃ～ん、「なめし革の手綱」だぁ～！			どうも、どうも！サヌワの捕獲に必要な道具を持ってきたぞ。じゃ～ん、「なめし革の手綱」だぁ～！			価値あるもの							
野生の「サヌワ」を乗りこなすのは難しいんだぞ。だから、すでに訓練されたヤツに手綱を掛けてもらって、気ままな風のように、自由に乗りこなすんだぞ！			野生の「サヌワ」を乗りこなすのは難しいんだぞ。だから、すでに訓練されたヤツに手綱を掛けてもらって、気ままな風のように、自由に乗りこなすんだぞ！			価値あるもの							
騎乗術を披露するときに、乗ってるのが誰の「サヌワ」かなんて、関係ないでしょ？大丈夫、大丈夫、この計画は完璧だぞぉ！			騎乗術を披露するときに、乗ってるのが誰の「サヌワ」かなんて、関係ないでしょ？大丈夫、大丈夫、この計画は完璧だぞぉ！			価値あるもの							
ほら、誰かが訓練したサヌワが、あそこにいるぞ！さっそく「なめし革の手綱」を掛けてきてよ。……む、難しかったら、諦めてもいいけどね？			ほら、誰かが訓練したサヌワが、あそこにいるぞ！さっそく「なめし革の手綱」を掛けてきてよ。……む、難しかったら、諦めてもいいけどね？			価値あるもの							
野生の「サヌワ」を乗りこなすのは難しいんだぞ。だから、すでに訓練されたヤツに手綱をかけてもらって、気ままな風のように、自由に乗りこなすんだぞ！			野生の「サヌワ」を乗りこなすのは難しいんだぞ。だから、すでに訓練されたヤツに手綱をかけてもらって、気ままな風のように、自由に乗りこなすんだぞ！			価値あるもの							
ちょっと、うちの子に何をするの！？			ちょっと、うちの子に何をするの！？			価値あるもの							
あっち行って！			あっち行って！			価値あるもの							
「サヌワ」は、落ち着いたようだ。これなら、グヌバヌが騎乗できるかもしれない……。			「サヌワ」は、落ち着いたようだ。これなら、グヌバヌが騎乗できるかもしれない……。			価値あるもの							
どうだい、どうだい？怖くて目をつぶってたけど、「サヌワ」に手綱はかけられた？季節の変わり目の風くらい荒れてて、無理だったでしょ？			どうだい、どうだい？怖くて目をつぶってたけど、「サヌワ」に手綱はかけられた？季節の変わり目の風くらい荒れてて、無理だったでしょ？			価値あるもの							
……えっ！「サヌワ」に手綱を掛けて落ち着かせたの！？もう乗っても大丈夫ってこと！？			……えっ！「サヌワ」に手綱を掛けて落ち着かせたの！？もう乗っても大丈夫ってこと！？			価値あるもの							
えっと、えっと……ち、ちょっと、心の準備をするから待つんだぞ。訓練された「サヌワ」なら……こ、怖くないんだぞ……。			えっと、えっと……ち、ちょっと、心の準備をするから待つんだぞ。訓練された「サヌワ」なら……こ、怖くないんだぞ……。			価値あるもの							
……やっぱり、やっぱり、無理なんだぞぉ～！「サヌワ」の牙、すっごく怖いんだぞぉぉぉぉぉ～！！			……やっぱり、やっぱり、無理なんだぞぉ～！「サヌワ」の牙、すっごく怖いんだぞぉぉぉぉぉ～！！			価値あるもの							
Forename、逃げちゃって悪かったぞ。儀式の方は……平気、平気、大丈夫。司祭さまに、僕がうまく言ってみせるんだぞ！			Forename、逃げちゃって悪かったぞ。儀式の方は……平気、平気、大丈夫。司祭さまに、僕がうまく言ってみせるんだぞ！			価値あるもの							
……えへんっ！どうも、どうも、司祭さま。今度の今度こそ「価値ある品」を献上しにきたんだぞ！			……えへんっ！どうも、どうも、司祭さま。今度の今度こそ「価値ある品」を献上しにきたんだぞ！			価値あるもの							
これは、これは、グヌバヌよ。……何も持っていないようだが、何を献上すると言うのだ？			これは、これは、グヌバヌよ。……何も持っていないようだが、何を献上すると言うのだ？			価値あるもの							
わたくし、こちらのForenameに、「サヌワ」を手懐ける方法を教えてさしあげたんだぞ！			わたくし、こちらのForenameに、「サヌワ」を手懐ける方法を教えてさしあげたんだぞ！			価値あるもの							
旅のヒトに、果てなき空ほど寛大に知恵を貸す、やさしい、やさしい、グヌバヌの「心」！これこそ「価値ある品」なんだぞ！			旅のヒトに、果てなき空ほど寛大に知恵を貸す、やさしい、やさしい、グヌバヌの「心」！これこそ「価値ある品」なんだぞ！			価値あるもの							
むむむ……この、馬鹿もんッ！形がない「心」なぞ、どうやって献上するのだ！？そんなものは、認められん！！			むむむ……この、馬鹿もんッ！形がない「心」なぞ、どうやって献上するのだ！？そんなものは、認められん！！			価値あるもの							
そんな、そんな、形がなきゃ献上できないなんて！はじめて聞いたオキテだし、失敗をしたわけじゃないから、失格にはなりませんよね？			そんな、そんな、形がなきゃ献上できないなんて！はじめて聞いたオキテだし、失敗をしたわけじゃないから、失格にはなりませんよね？			価値あるもの							
はぁ……口ばかりが沸き立つ雲のごとき、グヌバヌよ……。確かに、お主の言うとおりではあるが……もう、次が本当に最後だからな。			はぁ……口ばかりが沸き立つ雲のごとき、グヌバヌよ……。確かに、お主の言うとおりではあるが……もう、次が本当に最後だからな。			価値あるもの							
オク・ズンドのグヌバヌは、儀式を通過する方法を思案しているようだ。			オク・ズンドのグヌバヌは、儀式を通過する方法を思案しているようだ。			司祭さまのヒミツ							
グヌバヌから、踊って時間を稼ぐよう頼まれた。オク・ズンドの「アヌバヌ」に、エモート「踊る」をしよう。			グヌバヌから、踊って時間を稼ぐよう頼まれた。オク・ズンドの「アヌバヌ」に、エモート「踊る」をしよう。			司祭さまのヒミツ							
アヌバヌに踊りを披露した。再度、オク・ズンドの「アヌバヌ」に、エモート「踊る」をしよう。			アヌバヌに踊りを披露した。再度、オク・ズンドの「アヌバヌ」に、エモート「踊る」をしよう。			司祭さまのヒミツ							
冒険者が存分に踊りを披露すると、アヌバヌも踊りで応えてくれた。オク・ズンドにいる「グヌバヌ」に報告しよう。			冒険者が存分に踊りを披露すると、アヌバヌも踊りで応えてくれた。オク・ズンドにいる「グヌバヌ」に報告しよう。			司祭さまのヒミツ							
グヌバヌに報告した。冒険者が時間を稼いでいる間に、グヌバヌは、アヌバヌが蓄えてた地野菜を借りてきたようだ。アヌバヌに地野菜を献上しにいった、オク・ズンドの「グヌバヌ」と話そう。			グヌバヌに報告した。冒険者が時間を稼いでいる間に、グヌバヌは、アヌバヌが蓄えてた地野菜を借りてきたようだ。アヌバヌに地野菜を献上しにいった、オク・ズンドの「グヌバヌ」と話そう。			司祭さまのヒミツ							
グヌバヌの儀式を見守った。献上した地野菜が、アヌバヌの家から盗み出したものだとバレて、儀式を通過することはできなかった。ほかの手を考えることにしよう……。			グヌバヌの儀式を見守った。献上した地野菜が、アヌバヌの家から盗み出したものだとバレて、儀式を通過することはできなかった。ほかの手を考えることにしよう……。			司祭さまのヒミツ							
アヌバヌに「踊る」をする			アヌバヌに「踊る」をする			司祭さまのヒミツ							
アヌバヌに再度「踊る」をする			アヌバヌに再度「踊る」をする			司祭さまのヒミツ							
グヌバヌに報告			グヌバヌに報告			司祭さまのヒミツ							
グヌバヌと話す			グヌバヌと話す			司祭さまのヒミツ							
がっかり、がっかり、やり直しかぁ～。僕だけでツィナハレを狩るなんて無理だし、ほかの「価値ある品」を探さないと……。			がっかり、がっかり、やり直しかぁ～。僕だけでツィナハレを狩るなんて無理だし、ほかの「価値ある品」を探さないと……。			司祭さまのヒミツ							
……そうだ、そうだ！夜空を流れる星のように、ピカッときちゃったぞ！今度は、お母さんの真似をするんだぞ！			……そうだ、そうだ！夜空を流れる星のように、ピカッときちゃったぞ！今度は、お母さんの真似をするんだぞ！			司祭さまのヒミツ							
お母さんは、儀式を通過するために、貴重な地野菜を献上したって言ってたんだぞ。同じ野菜を献上すれば、僕も今度こそ通過できるはずだぞ！			お母さんは、儀式を通過するために、貴重な地野菜を献上したって言ってたんだぞ。同じ野菜を献上すれば、僕も今度こそ通過できるはずだぞ！			司祭さまのヒミツ							
だけど、だけど、今は時期はずれ……。濡れそぼったゲイラキャットくらい、細い野菜しかないぞ。うーん、どうしようかなぁ……。			だけど、だけど、今は時期はずれ……。濡れそぼったゲイラキャットくらい、細い野菜しかないぞ。うーん、どうしようかなぁ……。			司祭さまのヒミツ							
そうだ、そうだ、力を貸して！司祭さまに踊りを披露してほしいんだぞ！しばらく踊って時間を稼いだら、階段の下に来てね～。			そうだ、そうだ、力を貸して！司祭さまに踊りを披露してほしいんだぞ！しばらく踊って時間を稼いだら、階段の下に来てね～。			司祭さまのヒミツ							
はぁ……。グヌバヌのやつ、大丈夫だろうか……。			はぁ……。グヌバヌのやつ、大丈夫だろうか……。			司祭さまのヒミツ							
なんだ、なんだ、いったい何のつもりなのだ？			なんだ、なんだ、いったい何のつもりなのだ？			司祭さまのヒミツ							
なんと、なんと、不思議な動き！浮島に咲く珍しき花ほどに、目を引き付けてやまぬ踊りだ！もっと披露してはくれぬか！？			なんと、なんと、不思議な動き！浮島に咲く珍しき花ほどに、目を引き付けてやまぬ踊りだ！もっと披露してはくれぬか！？			司祭さまのヒミツ							
先ほどの踊りをまた見せてくれ、さぁ！			先ほどの踊りをまた見せてくれ、さぁ！			司祭さまのヒミツ							
違う、違う、先ほどの踊りが見たいのだ！			違う、違う、先ほどの踊りが見たいのだ！			司祭さまのヒミツ							
おぉ、おぉ！これぞヒトの踊りというわけか！いやはや、なかなかのものではないか……！			おぉ、おぉ！これぞヒトの踊りというわけか！いやはや、なかなかのものではないか……！			司祭さまのヒミツ							
我々は踊りを愛している。そして、踊りには踊りで返すのが礼儀である。			我々は踊りを愛している。そして、踊りには踊りで返すのが礼儀である。			司祭さまのヒミツ							
さあ、さあ、私の踊りもなかなかだぞ。隅から隅まで、ずずいっと見るがいい…………ハッ！			さあ、さあ、私の踊りもなかなかだぞ。隅から隅まで、ずずいっと見るがいい…………ハッ！			司祭さまのヒミツ							
ハッ、フン、ホッ！どうだ、どうだ、照りつける昼の陽のように情熱的であろう？ああ、久々の踊りは熱くなるな！			ハッ、フン、ホッ！どうだ、どうだ、照りつける昼の陽のように情熱的であろう？ああ、久々の踊りは熱くなるな！			司祭さまのヒミツ							
それに比べて、グヌバヌの踊りときたら……フンッ！2度目の儀式で見せられたが、まったく酷いものであった。……そういえば、奴はどこへ行ったのだ？			それに比べて、グヌバヌの踊りときたら……フンッ！2度目の儀式で見せられたが、まったく酷いものであった。……そういえば、奴はどこへ行ったのだ？			司祭さまのヒミツ							
ああ、久々に思い切り踊って、スッキリしたぞ。……そういえば、グヌバヌはどこへ行ったのだ？			ああ、久々に思い切り踊って、スッキリしたぞ。……そういえば、グヌバヌはどこへ行ったのだ？			司祭さまのヒミツ							
どうも、どうも！Forenameが踊って時間を稼いでくれたおかげで、バッチリうまくいったんだぞ！			どうも、どうも！Forenameが踊って時間を稼いでくれたおかげで、バッチリうまくいったんだぞ！			司祭さまのヒミツ							
実はね、司祭さまの家には、地野菜が蓄えられてるんだぞ。僕はコッソリ、それを借りてきたんだぞ！			実はね、司祭さまの家には、地野菜が蓄えられてるんだぞ。僕はコッソリ、それを借りてきたんだぞ！			司祭さまのヒミツ							
この野菜なら、やせ細ってないし、「価値ある品」だ。よしよし、これで僕も儀式を通過だぞ！			この野菜なら、やせ細ってないし、「価値ある品」だ。よしよし、これで僕も儀式を通過だぞ！			司祭さまのヒミツ							
……ぬ、盗んだんじゃないってば。ちょっと借りただけだぞ。さあ、さあ、司祭さまのところに行こう！			……ぬ、盗んだんじゃないってば。ちょっと借りただけだぞ。さあ、さあ、司祭さまのところに行こう！			司祭さまのヒミツ							
グヌバヌめ、またやって来たか。今度こそ、まともなものであろうな……？			グヌバヌめ、またやって来たか。今度こそ、まともなものであろうな……？			司祭さまのヒミツ							
どうも、どうも、司祭さま。今度こそ「価値のある品」を持参しました。……こちらですっ！			どうも、どうも、司祭さま。今度こそ「価値のある品」を持参しました。……こちらですっ！			司祭さまのヒミツ							
ふーむ、まるまる太った地野菜か。悪くはない、悪くはないが……何か、おかしい気がするぞ。			ふーむ、まるまる太った地野菜か。悪くはない、悪くはないが……何か、おかしい気がするぞ。			司祭さまのヒミツ							
……そうだ、今は地野菜の旬ではない！こんなまるまる太った地野菜が、採れるはずがないだろう！また嘘をつくだなんて、今度こそ失格だ！			……そうだ、今は地野菜の旬ではない！こんなまるまる太った地野菜が、採れるはずがないだろう！また嘘をつくだなんて、今度こそ失格だ！			司祭さまのヒミツ							
そんなぁ……。せっかく、司祭さまが奥さまに内緒で蓄えてた、へそくり地野菜を持ってきたのに…………。			そんなぁ……。せっかく、司祭さまが奥さまに内緒で蓄えてた、へそくり地野菜を持ってきたのに…………。			司祭さまのヒミツ							
……待て、待て、グヌバヌよ。お主がなぜ、私のへそくり地野菜を知っているのだ！？			……待て、待て、グヌバヌよ。お主がなぜ、私のへそくり地野菜を知っているのだ！？			司祭さまのヒミツ							
へへっ、さあ、なんででしょう～？でも失格なら仕方ない、奥さまに返しに行くんだぞ……。			へへっ、さあ、なんででしょう～？でも失格なら仕方ない、奥さまに返しに行くんだぞ……。			司祭さまのヒミツ							
