満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			ケテンラム、最後の冒険							
なに、隊員たちが「力の塔」への突入方法を見つけただと？アーカイブの話では、本命は島の北側の「魔の塔」らしいが……。			なに、隊員たちが「力の塔」への突入方法を見つけただと？アーカイブの話では、本命は島の北側の「魔の塔」らしいが……。			蜃気楼、いまだ消えず							
今こちらの戦力を「力の塔」へ回すのは厳しい……「魔の塔」が残っている以上、何があるかわからんからな。			今こちらの戦力を「力の塔」へ回すのは厳しい……「魔の塔」が残っている以上、何があるかわからんからな。			蜃気楼、いまだ消えず							
とまあ、そんな状況ではあるが……「冒険者」であるお前が、俺たちに気をつかう必要はないぞ。侵入してみるというのなら、それはお前の自由だからな。			とまあ、そんな状況ではあるが……「冒険者」であるお前が、俺たちに気をつかう必要はないぞ。侵入してみるというのなら、それはお前の自由だからな。			蜃気楼、いまだ消えず							
さて、拠点とこの町の安全は確保できた。すべての謎が明かされたわけじゃないが、ひとまずの調査は、ここで区切りとしよう。			さて、拠点とこの町の安全は確保できた。すべての謎が明かされたわけじゃないが、ひとまずの調査は、ここで区切りとしよう。			蜃気楼、いまだ消えず							
だが、島から出られない状況は変わらず……かと言って、船を置いて脱出をするわけにもいかん。航海というものは、船が帰港してはじめて成功となるんでな。			だが、島から出られない状況は変わらず……かと言って、船を置いて脱出をするわけにもいかん。航海というものは、船が帰港してはじめて成功となるんでな。			蜃気楼、いまだ消えず							
それに、本当に生存者がいないのかどうかも気になる。結界を張った島の主を探し出し、航海の自由を取り戻すまで、俺たちはここに滞在を続けるつもりだ。			それに、本当に生存者がいないのかどうかも気になる。結界を張った島の主を探し出し、航海の自由を取り戻すまで、俺たちはここに滞在を続けるつもりだ。			蜃気楼、いまだ消えず							
そこで、お前は地脈の流れを利用してトライヨラへと帰還し、「探査隊の連絡員」に経過を報告しておいてくれ。			そこで、お前は地脈の流れを利用してトライヨラへと帰還し、「探査隊の連絡員」に経過を報告しておいてくれ。			蜃気楼、いまだ消えず							
全貌を知るための探査に必要な北側へのルートは、俺たちで開拓してみせる。いずれ報せるから、それまでは待っていてほしい。			全貌を知るための探査に必要な北側へのルートは、俺たちで開拓してみせる。いずれ報せるから、それまでは待っていてほしい。			蜃気楼、いまだ消えず							
お前は地脈の流れを利用してトライヨラへと帰還し、「探査隊の連絡員」に経過を報告しておいてくれ。			お前は地脈の流れを利用してトライヨラへと帰還し、「探査隊の連絡員」に経過を報告しておいてくれ。			蜃気楼、いまだ消えず							
転移魔法が使えるのは、導かれたおぬしだけじゃ。わしらは、結界に阻まれておるからのう。			転移魔法が使えるのは、導かれたおぬしだけじゃ。わしらは、結界に阻まれておるからのう。			蜃気楼、いまだ消えず							
あんた、生きてたか！あの「死の三角海域」に行って、無事に帰ってこられるなんてな！			あんた、生きてたか！あの「死の三角海域」に行って、無事に帰ってこられるなんてな！			蜃気楼、いまだ消えず							
それで、ケテンラムの旦那や、ほかの皆はどうしたんだ？			それで、ケテンラムの旦那や、ほかの皆はどうしたんだ？			蜃気楼、いまだ消えず							
は～、船が拘束されちまって、島から離れられねぇと……そいつぁ、想像以上にやべぇ場所だな！			は～、船が拘束されちまって、島から離れられねぇと……そいつぁ、想像以上にやべぇ場所だな！			蜃気楼、いまだ消えず							
とはいえ拠点が設営できたんなら、滞在は続けられそうだ。あんたも、しっかり休んで英気を養っておいてくれよな！			とはいえ拠点が設営できたんなら、滞在は続けられそうだ。あんたも、しっかり休んで英気を養っておいてくれよな！			蜃気楼、いまだ消えず							
