双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
情報収集を続けるにしても、正攻法じゃ難しそうよ……。とにかく、私は、聞き込みを続けてみるわ。			情報収集を続けるにしても、正攻法じゃ難しそうよ……。とにかく、私は、聞き込みを続けてみるわ。			私腹となる名品							
……なるほど、状況はわかった。「エッジトレーダーズ」の商人が都市内にいるなら、街で、もっと情報を集められるかもしれない……。			……なるほど、状況はわかった。「エッジトレーダーズ」の商人が都市内にいるなら、街で、もっと情報を集められるかもしれない……。			私腹となる名品							
「かくれ」ながら、情報収集をしてみよう。こっそり人に近づいて、普通じゃ聞けない話を聞くの……。			「かくれ」ながら、情報収集をしてみよう。こっそり人に近づいて、普通じゃ聞けない話を聞くの……。			私腹となる名品							
狙い目は、人の集まる場所……。あなたはレストラン「ビスマルク」と、「船着場」「東国際街商通り」で情報収集をお願い……。			狙い目は、人の集まる場所……。あなたはレストラン「ビスマルク」と、「船着場」「東国際街商通り」で情報収集をお願い……。			私腹となる名品							
くれぐれも、「かくれる」のを忘れないで……。私はほかをあたるから、終わったら双剣士ギルドの前に集合ね。			くれぐれも、「かくれる」のを忘れないで……。私はほかをあたるから、終わったら双剣士ギルドの前に集合ね。			私腹となる名品							
調理師のダイビング・ダヴが、不満げにつぶやいている……。			調理師のダイビング・ダヴが、不満げにつぶやいている……。			私腹となる名品							
まったく、さっきの客ときたら、思い出しても頭にくるね。手間のかかる料理を頼んでおきながら、「出発が迫ってるから早く出せ！」なんてさ……。			まったく、さっきの客ときたら、思い出しても頭にくるね。手間のかかる料理を頼んでおきながら、「出発が迫ってるから早く出せ！」なんてさ……。			私腹となる名品							
南洋諸島の商人だか何だか知らないが、ありゃ、金さえあればいいと思ってる輩に違いない！			南洋諸島の商人だか何だか知らないが、ありゃ、金さえあればいいと思ってる輩に違いない！			私腹となる名品							
……おっと、お客の愚痴は言うものじゃないね。次は……そうそう、急ぎでエッグサンドを作ってほしいって、「エーデルワイス商会」から頼まれてたっけ……。			……おっと、お客の愚痴は言うものじゃないね。次は……そうそう、急ぎでエッグサンドを作ってほしいって、「エーデルワイス商会」から頼まれてたっけ……。			私腹となる名品							
まったく、さっきの客ときたら……。			まったく、さっきの客ときたら……。			私腹となる名品							
……おや、何かご用かい？注文なら、そのへんの給仕に頼んでおくれ。			……おや、何かご用かい？注文なら、そのへんの給仕に頼んでおくれ。			私腹となる名品							
調理師のダイビング・ダヴは、何やら不満そうだ。彼女から距離をとり、「かくれ」て再度近づけば、情報を得られるかもしれない……。			調理師のダイビング・ダヴは、何やら不満そうだ。彼女から距離をとり、「かくれ」て再度近づけば、情報を得られるかもしれない……。			私腹となる名品							
調理師のダイビング・ダヴは、何やら不満そうだ。「かくれ」て近づけば、情報を得られるかもしれない……。			調理師のダイビング・ダヴは、何やら不満そうだ。「かくれ」て近づけば、情報を得られるかもしれない……。			私腹となる名品							
船頭のレレナスは、焦った様子でつぶやいている……。			船頭のレレナスは、焦った様子でつぶやいている……。			私腹となる名品							
ああ……まいったな……。こんなことなら、休憩を早めに切り上げるんじゃなかった。			ああ……まいったな……。こんなことなら、休憩を早めに切り上げるんじゃなかった。			私腹となる名品							
偶然とはいえ、前の船頭が、外国商人から大金をもらってるのを見ちまった……。きっと、逃亡か密輸の手伝いを頼まれたに違いない……。			偶然とはいえ、前の船頭が、外国商人から大金をもらってるのを見ちまった……。きっと、逃亡か密輸の手伝いを頼まれたに違いない……。			私腹となる名品							
一応、イエロージャケットに通報すべきか……？しかし、下手に関わって、逆恨みでもされたら……！			一応、イエロージャケットに通報すべきか……？しかし、下手に関わって、逆恨みでもされたら……！			私腹となる名品							
ああ……まいったな……。こんなことなら……。			ああ……まいったな……。こんなことなら……。			私腹となる名品							
……や、やあ、船に乗りたいのかい？い、行き先は、コスタ・デル・ソルかな？それともエールポート？			……や、やあ、船に乗りたいのかい？い、行き先は、コスタ・デル・ソルかな？それともエールポート？			私腹となる名品							
船頭のレレナスは、何やら落ち着かない様子だ。彼から距離をとり、「かくれ」て再度近づけば、情報を得られるかもしれない……。			船頭のレレナスは、何やら落ち着かない様子だ。彼から距離をとり、「かくれ」て再度近づけば、情報を得られるかもしれない……。			私腹となる名品							
船頭のレレナスは、何やら落ち着かない様子だ。「かくれ」て近づけば、情報を得られるかもしれない……。			船頭のレレナスは、何やら落ち着かない様子だ。「かくれ」て近づけば、情報を得られるかもしれない……。			私腹となる名品							
料理屋のゲルフは、熱心に客を誘っている……。			料理屋のゲルフは、熱心に客を誘っている……。			私腹となる名品							
いやぁ、お客さんはお目が高い！うちはエオルゼア各地の味をそろえてますが、やはり産地のものがウマイですね！			いやぁ、お客さんはお目が高い！うちはエオルゼア各地の味をそろえてますが、やはり産地のものがウマイですね！			私腹となる名品							
採れたてのラノシアオレンジを絞ったジュースはどうです？こっちのソルトコッドは塩漬けですから、旅のおともに最適で…………。			採れたてのラノシアオレンジを絞ったジュースはどうです？こっちのソルトコッドは塩漬けですから、旅のおともに最適で…………。			私腹となる名品							
ゲルフの熱弁が続いている……。仕事には関係のない情報のようだ。			ゲルフの熱弁が続いている……。仕事には関係のない情報のようだ。			私腹となる名品							
いやぁ、お客さんはお目が高い！こちらの商品なんかも、おすすめなんですが……。			いやぁ、お客さんはお目が高い！こちらの商品なんかも、おすすめなんですが……。			私腹となる名品							
……おや、こちらにも、お客さんでしたか！いらっしゃい！　ご注文はお決まりで？			……おや、こちらにも、お客さんでしたか！いらっしゃい！　ご注文はお決まりで？			私腹となる名品							
料理屋のゲルフは、何かを熱弁している。彼から距離をとり、「かくれ」て再度近づけば、情報を得られるかもしれない……。			料理屋のゲルフは、何かを熱弁している。彼から距離をとり、「かくれ」て再度近づけば、情報を得られるかもしれない……。			私腹となる名品							
料理屋のゲルフは、何かを熱弁している。「かくれ」て近づけば、情報を得られるかもしれない……。			料理屋のゲルフは、何かを熱弁している。「かくれ」て近づけば、情報を得られるかもしれない……。			私腹となる名品							
あ……Forename……。上手く「かくれ」て話を聞けた……？			あ……Forename……。上手く「かくれ」て話を聞けた……？			私腹となる名品							
「かくれる」ことは、双剣士にとって重要な技術のひとつ。存在を気付かれずに行動することで、探索が楽になったり、敵に攻撃をしかけやすくなる……。			「かくれる」ことは、双剣士にとって重要な技術のひとつ。存在を気付かれずに行動することで、探索が楽になったり、敵に攻撃をしかけやすくなる……。			私腹となる名品							
……だけど、いくら「かくれ」ていても、相手の注意をひくことをすれば、存在に気付かれてしまう。注意して……。			……だけど、いくら「かくれ」ていても、相手の注意をひくことをすれば、存在に気付かれてしまう。注意して……。			私腹となる名品							
それで…………銃を買い取った商人について、何かわかった……？			それで…………銃を買い取った商人について、何かわかった……？			私腹となる名品							
それらしき人物が、船頭を買収してた……。しかも、ビスマルクでは出発が近いと焦ってたのね……。			それらしき人物が、船頭を買収してた……。しかも、ビスマルクでは出発が近いと焦ってたのね……。			私腹となる名品							
やっぱり、まもなく船でリムサ・ロミンサを出る気なんだ。私が聞いた話でも、宿を引き払ったそうだから間違いない……。			やっぱり、まもなく船でリムサ・ロミンサを出る気なんだ。私が聞いた話でも、宿を引き払ったそうだから間違いない……。			私腹となる名品							
Forename、このまま桟橋で商人を待ち伏せよう。船に乗せるため、必ず商品を持ってくるはずだから……そこを狙って、銃を奪還する……！			Forename、このまま桟橋で商人を待ち伏せよう。船に乗せるため、必ず商品を持ってくるはずだから……そこを狙って、銃を奪還する……！			私腹となる名品							
こっそり「かくれ」て、奪還するつもりだけど……件の商人は傭兵を雇ってるって、仲間が言ってた。念のため、戦いの準備をしてきて……。			こっそり「かくれ」て、奪還するつもりだけど……件の商人は傭兵を雇ってるって、仲間が言ってた。念のため、戦いの準備をしてきて……。			私腹となる名品							
イエロージャケットに連絡をとって、国際街広場あたりに、銃の受取人をよこしてもらう。銃を奪還したら、その人に渡そう……。			イエロージャケットに連絡をとって、国際街広場あたりに、銃の受取人をよこしてもらう。銃を奪還したら、その人に渡そう……。			私腹となる名品							
……標的は、間もなくここにくるはず。Forename、準備はできた……？			……標的は、間もなくここにくるはず。Forename、準備はできた……？			私腹となる名品							
お前、そこで何をしてるんだ！船が来るまで、知らない奴は近づけないように命じたぞ！？			お前、そこで何をしてるんだ！船が来るまで、知らない奴は近づけないように命じたぞ！？			私腹となる名品							
ん……？何か足りないような…………。			ん……？何か足りないような…………。			私腹となる名品							
あああぁぁッ！？ここに積んであった、銃の箱がないじゃないか！			あああぁぁッ！？ここに積んであった、銃の箱がないじゃないか！			私腹となる名品							
ぬ、ぬぬ、盗人だーーーッ！おい傭兵ども！　ボサッとしてないで、こいつを捕えろ！私の銃を取り返せぇぇッ！			ぬ、ぬぬ、盗人だーーーッ！おい傭兵ども！　ボサッとしてないで、こいつを捕えろ！私の銃を取り返せぇぇッ！			私腹となる名品							
よかった……無事みたいで……。			よかった……無事みたいで……。			私腹となる名品							
Forenameが銃を返還したから、商人たちは、あきらめて退いたみたい。イエロージャケットと争うわけにはいかないしね……。			Forenameが銃を返還したから、商人たちは、あきらめて退いたみたい。イエロージャケットと争うわけにはいかないしね……。			私腹となる名品							
これで、今回の仕事は完了だね……？ギルドへ戻って、ジャックに報告しよう。			これで、今回の仕事は完了だね……？ギルドへ戻って、ジャックに報告しよう。			私腹となる名品							
外が騒がしかったから、様子を見にきたぜ。仕事の具合はどうだよ？			外が騒がしかったから、様子を見にきたぜ。仕事の具合はどうだよ？			私腹となる名品							
そうかそうか！　イエロージャケットに銃を返せたんだな。お前ら、よくやった！今回の仕事は、キッチリ完了だ！			そうかそうか！　イエロージャケットに銃を返せたんだな。お前ら、よくやった！今回の仕事は、キッチリ完了だ！			私腹となる名品							
Forenameは、いい双剣士になると思う……。「かくれる」を、ちゃんと活かしてた……。			Forenameは、いい双剣士になると思う……。「かくれる」を、ちゃんと活かしてた……。			私腹となる名品							
双剣士にとって「かくれる」のは重要なこと……。邪魔な敵を避けたり、敵にこっそり近づいたり……状況に応じて、使い方を考えてみて。			双剣士にとって「かくれる」のは重要なこと……。邪魔な敵を避けたり、敵にこっそり近づいたり……状況に応じて、使い方を考えてみて。			私腹となる名品							
あー、ところでよ……。成功に水を差すようで悪いんだが、ひとつ悲しい報せがある。			あー、ところでよ……。成功に水を差すようで悪いんだが、ひとつ悲しい報せがある。			私腹となる名品							
行方不明になってた、ビスマルク風エッグサンドのことだ。俺は必死に奴のことを探したが、奴は……ついに見つからなかったよ……。			行方不明になってた、ビスマルク風エッグサンドのことだ。俺は必死に奴のことを探したが、奴は……ついに見つからなかったよ……。			私腹となる名品							
うそ……まさか……ビスマルク風エッグサンドが、帰ってこないなんて……。			うそ……まさか……ビスマルク風エッグサンドが、帰ってこないなんて……。			私腹となる名品							
そんなの……ひどすぎる……。わたしのおなかは……あきらめられない……！			そんなの……ひどすぎる……。わたしのおなかは……あきらめられない……！			私腹となる名品							
……わかってる。俺だって、奴の犠牲から目を背けるつもりはねぇ。すでに手は打ってある……。			……わかってる。俺だって、奴の犠牲から目を背けるつもりはねぇ。すでに手は打ってある……。			私腹となる名品							
ペリム・ハウリムを、ビスマルクにやった。あいつなら、必ず連れ帰ってくれるはずだ……。			ペリム・ハウリムを、ビスマルクにやった。あいつなら、必ず連れ帰ってくれるはずだ……。			私腹となる名品							
できたての、新たなエッグサンドをな……！			できたての、新たなエッグサンドをな……！			私腹となる名品							
……ッ！　でき……たて……。本当に、できたてのエッグサンドが……！？			……ッ！　でき……たて……。本当に、できたてのエッグサンドが……！？			私腹となる名品							
ああ、そうだ……できたてだ。だから、もう少しだけ辛抱しろよ。こうしている間にも、エッグサンドが近づいて……。			ああ、そうだ……できたてだ。だから、もう少しだけ辛抱しろよ。こうしている間にも、エッグサンドが近づいて……。			私腹となる名品							
あれ……アニキじゃないですか！頼まれてたエッグサンド、買ってきましたよっ！			あれ……アニキじゃないですか！頼まれてたエッグサンド、買ってきましたよっ！			私腹となる名品							
もー、急な注文は困るって怒られたじゃないですか。それもこれも、アニキがヴァ・ケビのエッグサンドを勝手に食べちゃったからですよ？　次からは…………			もー、急な注文は困るって怒られたじゃないですか。それもこれも、アニキがヴァ・ケビのエッグサンドを勝手に食べちゃったからですよ？　次からは…………			私腹となる名品							
…………あっ。			…………あっ。			私腹となる名品							
……………………。			……………………。			私腹となる名品							
…………ジャック？…………………………食べたの？			…………ジャック？…………………………食べたの？			私腹となる名品							
い、いや……まあ……いいじゃねぇか。こうして、できたてエッグサンドが来たんだしよ。ある意味で奪還完了だろ？　なっ？			い、いや……まあ……いいじゃねぇか。こうして、できたてエッグサンドが来たんだしよ。ある意味で奪還完了だろ？　なっ？			私腹となる名品							
ジャック……。私たちの役目は、奪われた品を奪還することだけじゃない。掟破りをシメるのも、私たちの役目……。			ジャック……。私たちの役目は、奪われた品を奪還することだけじゃない。掟破りをシメるのも、私たちの役目……。			私腹となる名品							
ははは、そうだなぁ。そうなんだけど落ち着けよ、ヴァ・ケビ？……ケビちゃん？			ははは、そうだなぁ。そうなんだけど落ち着けよ、ヴァ・ケビ？……ケビちゃん？			私腹となる名品							
うわぁぁぁぁぁぁッ！？			うわぁぁぁぁぁぁッ！？			私腹となる名品							
うわぁ……見事に吊しあげましたね……。			うわぁ……見事に吊しあげましたね……。			私腹となる名品							
……因果応報。Forenameも、あれを見て覚えておくといい。			……因果応報。Forenameも、あれを見て覚えておくといい。			私腹となる名品							
「掟」は、人と人が、ともに生きるためにつくられたもの。破られたら、必ず誰かが悲しんでる……。だからこそ、私たちは双剣を振るうんだと思う……。			「掟」は、人と人が、ともに生きるためにつくられたもの。破られたら、必ず誰かが悲しんでる……。だからこそ、私たちは双剣を振るうんだと思う……。			私腹となる名品							
……身にしみますね。それじゃあ、戻りましょうか？エッグサンドがさめないうちに。			……身にしみますね。それじゃあ、戻りましょうか？エッグサンドがさめないうちに。			私腹となる名品							
(-ジャック-)おぉい！？　お前らちょっと待てぇー！反省したから下ろし……イテテテ！　縄がイテェッ！			(-ジャック-)おぉい！？　お前らちょっと待てぇー！反省したから下ろし……イテテテ！　縄がイテェッ！			私腹となる名品							
(-イエロージャケット警備兵-)……部下の銃を取り返したのが、よりにもよって、あの双剣士ギルドだなんて。			(-イエロージャケット警備兵-)……部下の銃を取り返したのが、よりにもよって、あの双剣士ギルドだなんて。			私腹となる名品							
(-イエロージャケット警備兵-)ふん……まったくもって気に入りませんわ。あんな海賊崩れの集団、消えてしまえばいいのです。			(-イエロージャケット警備兵-)ふん……まったくもって気に入りませんわ。あんな海賊崩れの集団、消えてしまえばいいのです。			私腹となる名品							
イテテテテ……ったく、ひどい目にあったぜ……。どうにか自力で抜け出してきたからいいものの、エッグサンドの恨み……怖ぇよ…………。			イテテテテ……ったく、ひどい目にあったぜ……。どうにか自力で抜け出してきたからいいものの、エッグサンドの恨み……怖ぇよ…………。			私腹となる名品							
まあ、吊るされて済んでるうちはマシな方さ。掟破りには、もっと深刻な制裁を下すこともあるからな。……お前がもっと腕をあげたら、そういう仕事も頼むぜ。			まあ、吊るされて済んでるうちはマシな方さ。掟破りには、もっと深刻な制裁を下すこともあるからな。……お前がもっと腕をあげたら、そういう仕事も頼むぜ。			私腹となる名品							
かくれて銃を奪還しろ！			かくれて銃を奪還しろ！			私腹となる名品							
国際街広場南のイエロージャケットに銃を渡せ！			国際街広場南のイエロージャケットに銃を渡せ！			私腹となる名品							
桟橋の先に、標的の商人を確認……。「かくれ」て近づいて、銃を奪還しよう。			桟橋の先に、標的の商人を確認……。「かくれ」て近づいて、銃を奪還しよう。			私腹となる名品							
このままじゃ逃げられない……。とにかく、こいつらを倒そう……！			このままじゃ逃げられない……。とにかく、こいつらを倒そう……！			私腹となる名品							
ここからは別行動……私はこいつらを陽動する。あなたは国際街広場の南にいるイエロージャケットに銃を渡して。			ここからは別行動……私はこいつらを陽動する。あなたは国際街広場の南にいるイエロージャケットに銃を渡して。			私腹となる名品							
残っている傭兵がいたら、「かくれ」て避けるといい。……その後、双剣士ギルド前で合流ね！			残っている傭兵がいたら、「かくれ」て避けるといい。……その後、双剣士ギルド前で合流ね！			私腹となる名品							
こんな仕事で失敗するなんて……ごめんなさい……。			こんな仕事で失敗するなんて……ごめんなさい……。			私腹となる名品							
お、おのれ盗人……！誰でもいいから、そいつらを捕まえろーッ！			お、おのれ盗人……！誰でもいいから、そいつらを捕まえろーッ！			私腹となる名品							
……間違いない、我々に納入されるはずだった銃だ。ありがとう、奪還に感謝する！			……間違いない、我々に納入されるはずだった銃だ。ありがとう、奪還に感謝する！			私腹となる名品							
双剣士ギルドのジャックは、冒険者に初仕事を任せたいようだ。			双剣士ギルドのジャックは、冒険者に初仕事を任せたいようだ。			砕けたガラクタ							
ジャックから、初仕事を任せられた。今回の相棒となる、双剣士ギルドの「ペリム・ハウリム」と話そう。			ジャックから、初仕事を任せられた。今回の相棒となる、双剣士ギルドの「ペリム・ハウリム」と話そう。			砕けたガラクタ							
ペリム・ハウリムから、肩慣らしをするように言われた。攻撃を避けることを意識しながら、低地ラノシアにいる「オーレリア」を3匹討伐しよう。			ペリム・ハウリムから、肩慣らしをするように言われた。攻撃を避けることを意識しながら、低地ラノシアにいる「オーレリア」を3匹討伐しよう。			砕けたガラクタ							
オーレリアを討伐した。双剣士ギルドの「ペリム・ハウリム」に報告しよう。			オーレリアを討伐した。双剣士ギルドの「ペリム・ハウリム」に報告しよう。			砕けたガラクタ							
ペリム・ハウリムに報告すると、いよいよ仕事をはじめることになった。リムサ・ロミンサの溺れた海豚亭にいる「イ・トルワン」に、「薄めたエール」を注文してみよう。			ペリム・ハウリムに報告すると、いよいよ仕事をはじめることになった。リムサ・ロミンサの溺れた海豚亭にいる「イ・トルワン」に、「薄めたエール」を注文してみよう。			砕けたガラクタ							
注文を受けたイ・トルワンは双剣士で、仕事に関する情報を提供してくれた。標的の「撃滅粉砕団」は、中央ラノシアのサマーフォードにある、ゴブリン族のキャンプを使っているらしい。キャンプ周辺で「ペリム・ハウリム」と合流しよう。			注文を受けたイ・トルワンは双剣士で、仕事に関する情報を提供してくれた。標的の「撃滅粉砕団」は、中央ラノシアのサマーフォードにある、ゴブリン族のキャンプを使っているらしい。キャンプ周辺で「ペリム・ハウリム」と合流しよう。			砕けたガラクタ							
ペリム・ハウリムと合流し、キャンプに襲撃を仕掛けることになった。ゴブリン族のキャンプにいる「ゴブリン・ギャンブラー」を討伐して、「XLIII式点火装置」を奪還しよう。			ペリム・ハウリムと合流し、キャンプに襲撃を仕掛けることになった。ゴブリン族のキャンプにいる「ゴブリン・ギャンブラー」を討伐して、「XLIII式点火装置」を奪還しよう。			砕けたガラクタ							
ゴブリン・ギャンブラーからXLIII式点火装置を奪還した。キャンプ周辺の「ペリム・ハウリム」に「XLIII式点火装置」を見せよう。			ゴブリン・ギャンブラーからXLIII式点火装置を奪還した。キャンプ周辺の「ペリム・ハウリム」に「XLIII式点火装置」を見せよう。			砕けたガラクタ							
ペリム・ハウリムに、奪還した品を確認してもらった。双剣士ギルドの「ジャック」に「XLIII式点火装置」を渡そう。			ペリム・ハウリムに、奪還した品を確認してもらった。双剣士ギルドの「ジャック」に「XLIII式点火装置」を渡そう。			砕けたガラクタ							
ジャックにXLIII式点火装置を渡した。冒険者をつけてきた「撃滅粉砕団」によって、かつて双剣士がシーフと呼ばれていたことが明らかになった。双剣士ギルドの「ジャック」に詳しい事情を聞こう。			ジャックにXLIII式点火装置を渡した。冒険者をつけてきた「撃滅粉砕団」によって、かつて双剣士がシーフと呼ばれていたことが明らかになった。双剣士ギルドの「ジャック」に詳しい事情を聞こう。			砕けたガラクタ							
ジャックから、双剣士ギルドの成立ちについて説明された。名前は変われど、双剣士の役目は変わらない。次の仕事も成功させられるよう、腕を磨いていこう。※双剣士のレベルが10以上になると、ジャックから次の双剣士クエストを受注することができます。			ジャックから、双剣士ギルドの成立ちについて説明された。名前は変われど、双剣士の役目は変わらない。次の仕事も成功させられるよう、腕を磨いていこう。※双剣士のレベルが10以上になると、ジャックから次の双剣士クエストを受注することができます。			砕けたガラクタ							
ペリム・ハウリムと話す			ペリム・ハウリムと話す			砕けたガラクタ							
オーレリアを討伐			オーレリアを討伐			砕けたガラクタ							
双剣士ギルドのペリム・ハウリムに報告			双剣士ギルドのペリム・ハウリムに報告			砕けたガラクタ							
溺れた海豚亭のイ・トルワンと話す			溺れた海豚亭のイ・トルワンと話す			砕けたガラクタ							
サマーフォード付近のペリム・ハウリムと話す			サマーフォード付近のペリム・ハウリムと話す			砕けたガラクタ							
ゴブリン・ギャンブラーからXLIII式点火装置を奪還する			ゴブリン・ギャンブラーからXLIII式点火装置を奪還する			砕けたガラクタ							
ペリム・ハウリムにXLIII式点火装置を見せる			ペリム・ハウリムにXLIII式点火装置を見せる			砕けたガラクタ							
双剣士ギルドのジャックにXLIII式点火装置を渡す			双剣士ギルドのジャックにXLIII式点火装置を渡す			砕けたガラクタ							
ジャックと話す			ジャックと話す			砕けたガラクタ							
よう、Forename。双剣の扱いには、それなりに慣れてきたみたいだな。			よう、Forename。双剣の扱いには、それなりに慣れてきたみたいだな。			砕けたガラクタ							
そろそろ、簡単な仕事なら任せられそうだ。さっそく、双剣士として腕を発揮してもらおうじゃねぇか。			そろそろ、簡単な仕事なら任せられそうだ。さっそく、双剣士として腕を発揮してもらおうじゃねぇか。			砕けたガラクタ							
今回の仕事は……そうだな……お前は、よそから来た冒険者だし、前提から説明しとこう。			今回の仕事は……そうだな……お前は、よそから来た冒険者だし、前提から説明しとこう。			砕けたガラクタ							
知ってのとおり、リムサ・ロミンサは海賊業で発展した国だが、メルウィブ提督が就任してからは、海賊行為が全面的に禁止されている。			知ってのとおり、リムサ・ロミンサは海賊業で発展した国だが、メルウィブ提督が就任してからは、海賊行為が全面的に禁止されている。			砕けたガラクタ							
そのくせ、街に海賊があふれてるのは何故だと思う？……ひとつだけ、海賊行為が認められる方法があるからさ。			そのくせ、街に海賊があふれてるのは何故だと思う？……ひとつだけ、海賊行為が認められる方法があるからさ。			砕けたガラクタ							
それが、政庁の発行する「私掠免許」の取得……。ガレマール帝国の船にかぎっては、略奪を認めるって証だよ。			それが、政庁の発行する「私掠免許」の取得……。ガレマール帝国の船にかぎっては、略奪を認めるって証だよ。			砕けたガラクタ							
帝国にかぎると言っても、属州まで含めるとデカいからな……。海賊も、襲う船には事欠かないってわけだ。			帝国にかぎると言っても、属州まで含めるとデカいからな……。海賊も、襲う船には事欠かないってわけだ。			砕けたガラクタ							
そうやって略奪された品は、港に戻ってから売買されるんだが……今回、その取引の中で事件が起きた。			そうやって略奪された品は、港に戻ってから売買されるんだが……今回、その取引の中で事件が起きた。			砕けたガラクタ							
ある海賊団が売りに出そうとした魔導兵器の部品、「XLIII式点火装置」って代物を、口八丁で、だましとった連中がいるんだ。			ある海賊団が売りに出そうとした魔導兵器の部品、「XLIII式点火装置」って代物を、口八丁で、だましとった連中がいるんだ。			砕けたガラクタ							
これは「掟」のひとつ、「略奪品の取引で詐欺を行うべからず」に反する。……そこで、「掟」の番人である双剣士の出番ってわけだ。			これは「掟」のひとつ、「略奪品の取引で詐欺を行うべからず」に反する。……そこで、「掟」の番人である双剣士の出番ってわけだ。			砕けたガラクタ							
お、ちょうどいいところに……。こっちへ来い、ペリム・ハウリム！			お、ちょうどいいところに……。こっちへ来い、ペリム・ハウリム！			砕けたガラクタ							
今から、お前らは相棒同士だ。ふたりで協力し、詐欺を働いた掟破りをシメて、「XLIII式点火装置」を奪還してこい！			今から、お前らは相棒同士だ。ふたりで協力し、詐欺を働いた掟破りをシメて、「XLIII式点火装置」を奪還してこい！			砕けたガラクタ							
うぇぇっ！？オレも行くんですか！？			うぇぇっ！？オレも行くんですか！？			砕けたガラクタ							
お前は新人係だろ！Forenameにとっちゃ初仕事だ。最初くらい、きっちり見てやれよ？			お前は新人係だろ！Forenameにとっちゃ初仕事だ。最初くらい、きっちり見てやれよ？			砕けたガラクタ							
し、新人係って……そんなの初耳ですよ……。アニキは、いつでも無茶言うんだから……。			し、新人係って……そんなの初耳ですよ……。アニキは、いつでも無茶言うんだから……。			砕けたガラクタ							
ああ……えっと……一応、あんたの先輩にあたる「ペリム・ハウリム」です。どうぞよろしく。			ああ……えっと……一応、あんたの先輩にあたる「ペリム・ハウリム」です。どうぞよろしく。			砕けたガラクタ							
心配しなくても、こいつ、腕は確かだぜ。指示を聞いて、必ず仕事をやりとげてくれ。			心配しなくても、こいつ、腕は確かだぜ。指示を聞いて、必ず仕事をやりとげてくれ。			砕けたガラクタ							
さてと……。初仕事といっても、失敗したらアニキが怖いんで、先に肩慣らしをしておきましょうか。			さてと……。初仕事といっても、失敗したらアニキが怖いんで、先に肩慣らしをしておきましょうか。			砕けたガラクタ							
もうわかってると思いますが、双剣で戦うときは、標的に近づかなきゃなりません。だけど、オレたちは、打たれ強いわけじゃない……。			もうわかってると思いますが、双剣で戦うときは、標的に近づかなきゃなりません。だけど、オレたちは、打たれ強いわけじゃない……。			砕けたガラクタ							
だから「避けられる攻撃は避ける」が基本です！相手が攻撃してくる予兆を感じたら、距離をとってください。			だから「避けられる攻撃は避ける」が基本です！相手が攻撃してくる予兆を感じたら、距離をとってください。			砕けたガラクタ							
いざってときには「残影」を使うといいですよ。すばやい動きは影を残して、相手を惑わす……。強力な攻撃を、多少なりとも逸らせますから。			いざってときには「残影」を使うといいですよ。すばやい動きは影を残して、相手を惑わす……。強力な攻撃を、多少なりとも逸らせますから。			砕けたガラクタ							
……それを意識しながら、低地ラノシアにいる「オーレリア」を3匹、倒してきてもらえますか？あいつらの一撃は痛いので、油断しないでくださいね！			……それを意識しながら、低地ラノシアにいる「オーレリア」を3匹、倒してきてもらえますか？あいつらの一撃は痛いので、油断しないでくださいね！			砕けたガラクタ							
攻撃を避けることを意識しながら、低地ラノシアにいる「オーレリア」を3匹、倒してきてもらえますか？あいつらの一撃は痛いので、油断しないでくださいね！			攻撃を避けることを意識しながら、低地ラノシアにいる「オーレリア」を3匹、倒してきてもらえますか？あいつらの一撃は痛いので、油断しないでくださいね！			砕けたガラクタ							
肩慣らしは済んだようですね、おつかれさま！どうです？　ちゃんと攻撃を避けられました？どんな戦況でも焦らないよう、基本は大事に……です！			肩慣らしは済んだようですね、おつかれさま！どうです？　ちゃんと攻撃を避けられました？どんな戦況でも焦らないよう、基本は大事に……です！			砕けたガラクタ							
……それじゃ、体も緊張もほぐれたようですし、仕事を始めましょうか！			……それじゃ、体も緊張もほぐれたようですし、仕事を始めましょうか！			砕けたガラクタ							
まずは、「XLIII式点火装置」をだましとった犯人を突き止める必要がありますね……。			まずは、「XLIII式点火装置」をだましとった犯人を突き止める必要がありますね……。			砕けたガラクタ							
オレたち双剣士は、各地に仲間を散らして、仕事に関する情報を集めてるんです。今回の犯人についても、何か情報を掴んでるかも！			オレたち双剣士は、各地に仲間を散らして、仕事に関する情報を集めてるんです。今回の犯人についても、何か情報を掴んでるかも！			砕けたガラクタ							
さっそく、仲間に尋ねてみましょうか。溺れた海豚亭にいる、給仕の「イ・トルワン」に、「薄めたエール」を注文してみてください。			さっそく、仲間に尋ねてみましょうか。溺れた海豚亭にいる、給仕の「イ・トルワン」に、「薄めたエール」を注文してみてください。			砕けたガラクタ							
……大丈夫、頼んでみればわかります。マズい思いはさせませんよ！			……大丈夫、頼んでみればわかります。マズい思いはさせませんよ！			砕けたガラクタ							
注文は「薄めたエール」ですよ。……大丈夫、頼んでみればわかります。			注文は「薄めたエール」ですよ。……大丈夫、頼んでみればわかります。			砕けたガラクタ							
いらっしゃいませ、溺れた海豚亭へようこそ！ご注文は何になさいますか？			いらっしゃいませ、溺れた海豚亭へようこそ！ご注文は何になさいますか？			砕けたガラクタ							
注文は……			注文は……			砕けたガラクタ							
