魔導船の設計技師は、知神の港で休憩をしているようだ。			魔導船の設計技師は、知神の港で休憩をしているようだ。			心を持たぬ者は思考する							
理想に近い社会を形成しておきながら、脆弱性とも呼べる、滅びの因子を有していた生命同士……マスターを理解するヒントも、得られるかもしれません。			理想に近い社会を形成しておきながら、脆弱性とも呼べる、滅びの因子を有していた生命同士……マスターを理解するヒントも、得られるかもしれません。			グッバイ・＊＊＊							
グローウィングウェイから、この地にはほかにも、古代人に創造された存在がいると聞きました。			グローウィングウェイから、この地にはほかにも、古代人に創造された存在がいると聞きました。			グッバイ・＊＊＊							
個体名「月の監視者」……アナタも知っていますね？彼のもとまで、ワタシを案内してください。			個体名「月の監視者」……アナタも知っていますね？彼のもとまで、ワタシを案内してください。			グッバイ・＊＊＊							
ガガ……テレポせずとも、アルゴスに乗ればすぐだと。了解しました、ベストウェイ・バローの出入口に向かいます。			ガガ……テレポせずとも、アルゴスに乗ればすぐだと。了解しました、ベストウェイ・バローの出入口に向かいます。			グッバイ・＊＊＊							
アルゴスは、オメガたちに気づいていないかのように、華麗な無視を決め込んでいる……！			アルゴスは、オメガたちに気づいていないかのように、華麗な無視を決め込んでいる……！			グッバイ・＊＊＊							
クエクエ！　クエエクエクエ！			クエクエ！　クエエクエクエ！			グッバイ・＊＊＊							
Forename、異常事態です。この個体がアルゴスだと思われますが、ワタシたちを徹底的に無視しています。			Forename、異常事態です。この個体がアルゴスだと思われますが、ワタシたちを徹底的に無視しています。			グッバイ・＊＊＊							
推測……グローウィングウェイはワタシたちとの対面時に、「ふかふか」かどうかを気にしていました。つまり月には、ふかふかヒエラルキーがあるのでは？			推測……グローウィングウェイはワタシたちとの対面時に、「ふかふか」かどうかを気にしていました。つまり月には、ふかふかヒエラルキーがあるのでは？			グッバイ・＊＊＊							
非ふかふか体であるワタシはともかく、アルファですら無視されるとなると、かなりの強敵です。いったいどれほどの、ふかふかレベルなのでしょうか。			非ふかふか体であるワタシはともかく、アルファですら無視されるとなると、かなりの強敵です。いったいどれほどの、ふかふかレベルなのでしょうか。			グッバイ・＊＊＊							
アルゴスが、冷ややかな視線を向けてくる。自分が取りなすしかないようだ……。			アルゴスが、冷ややかな視線を向けてくる。自分が取りなすしかないようだ……。			グッバイ・＊＊＊							
アルゴスに何と言う？			アルゴスに何と言う？			グッバイ・＊＊＊							
彼らは荷物ということで、どうかひとつ……			彼らは荷物ということで、どうかひとつ……			グッバイ・＊＊＊							
アルゴスが、いちばんふかふかだよ！			アルゴスが、いちばんふかふかだよ！			グッバイ・＊＊＊							
アルゴスは鼻を鳴らすと、仕方なさそうに背中を指し示してきた。……オメガたちも乗せてくれるようだ！			アルゴスは鼻を鳴らすと、仕方なさそうに背中を指し示してきた。……オメガたちも乗せてくれるようだ！			グッバイ・＊＊＊							
ガガ……？因果関係は不明ですが、搭乗を許可された模様。ふかふかではないのにやりますね、Forename。なるほど、アナタのボディもある種のふかふかでしたか。アナタの尾が、ふかふか判定を受けたのかもしれません。アナタのふかふかレベルも、相当なものだったのですね。アナタの耳が、ふかふか判定を受けたのかもしれません。			ガガ……？因果関係は不明ですが、搭乗を許可された模様。ふかふかではないのにやりますね、Forename。なるほど、アナタのボディもある種のふかふかでしたか。アナタの尾が、ふかふか判定を受けたのかもしれません。アナタのふかふかレベルも、相当なものだったのですね。アナタの耳が、ふかふか判定を受けたのかもしれません。			グッバイ・＊＊＊							
では、さっそく乗り込みます。そのまま「月の監視者」のもとへ向かいましょう。			では、さっそく乗り込みます。そのまま「月の監視者」のもとへ向かいましょう。			グッバイ・＊＊＊							
ガガ……対象と思しき存在を発見……。なるほど、このサイズに合わせたために、ベストウェイ・バローはあれほど移動しにくかったのですね。			ガガ……対象と思しき存在を発見……。なるほど、このサイズに合わせたために、ベストウェイ・バローはあれほど移動しにくかったのですね。			グッバイ・＊＊＊							
クェ～！　クエクエエ、クエッ！			クェ～！　クエクエエ、クエッ！			グッバイ・＊＊＊							
小さな来訪者たちに驚いていたのだが……そうか、貴殿の連れだったか。			小さな来訪者たちに驚いていたのだが……そうか、貴殿の連れだったか。			グッバイ・＊＊＊							
この館が賑わうなんて、珍しいことだ。……私に何か用だろうか？			この館が賑わうなんて、珍しいことだ。……私に何か用だろうか？			グッバイ・＊＊＊							
ハロー、月の監視者……ハロー、古きシステム……。ワタシは、古代人について知るために、アナタの話を聞きにきました。			ハロー、月の監視者……ハロー、古きシステム……。ワタシは、古代人について知るために、アナタの話を聞きにきました。			グッバイ・＊＊＊							
彼らの行動、思考、そして心を知りたいのです。ワタシたちの母星に訪れた終末を、正しく理解するために。			彼らの行動、思考、そして心を知りたいのです。ワタシたちの母星に訪れた終末を、正しく理解するために。			グッバイ・＊＊＊							
ふむ……そういうことであれば、適任者は、残念ながら私ではないだろう。			ふむ……そういうことであれば、適任者は、残念ながら私ではないだろう。			グッバイ・＊＊＊							
Forename、貴殿が話してくれないだろうか？終末を巡る戦いの中で出会った、古き時代の人々について。			Forename、貴殿が話してくれないだろうか？終末を巡る戦いの中で出会った、古き時代の人々について。			グッバイ・＊＊＊							
私の持つ断片的なオリジナルの記憶よりも、貴殿の思い出のほうが色鮮やかなはずだ。何より私も、それを共有してもらえたら嬉しいのでね。			私の持つ断片的なオリジナルの記憶よりも、貴殿の思い出のほうが色鮮やかなはずだ。何より私も、それを共有してもらえたら嬉しいのでね。			グッバイ・＊＊＊							
そうか……貴殿はそうしてヴェーネスと出会い、エメトセルクやヒュトロダエウスと過ごし、ヘルメスたちと別れたのだな。			そうか……貴殿はそうしてヴェーネスと出会い、エメトセルクやヒュトロダエウスと過ごし、ヘルメスたちと別れたのだな。			グッバイ・＊＊＊							
私はハイデリンに創られた存在だ。ゆえに、古き人は過ぎ去るものと考えていたが……			私はハイデリンに創られた存在だ。ゆえに、古き人は過ぎ去るものと考えていたが……			グッバイ・＊＊＊							
彼女たちが笑っていた時間、その笑顔が、貴殿の中に残るということを喜ばしく感じる。どうかこれからも……そっと、覚えていてほしい。			彼女たちが笑っていた時間、その笑顔が、貴殿の中に残るということを喜ばしく感じる。どうかこれからも……そっと、覚えていてほしい。			グッバイ・＊＊＊							
しかし惜しいな、私のオリジナルは、アーモロートのアニドラスに勤めていたはず。そちらに来てもらえたら、貴殿に会えていたかもしれない。			しかし惜しいな、私のオリジナルは、アーモロートのアニドラスに勤めていたはず。そちらに来てもらえたら、貴殿に会えていたかもしれない。			グッバイ・＊＊＊							
彼は、学者であったころのヴェーネスの友人だった。世界の理を解き明かさんとする者同士、知識を出し合い、弁論を交わしていた……。			彼は、学者であったころのヴェーネスの友人だった。世界の理を解き明かさんとする者同士、知識を出し合い、弁論を交わしていた……。			グッバイ・＊＊＊							
終末に際して、ヴェーネス派に属したことは「覚えて」いるが、その前後については、ほとんど記憶がない。			終末に際して、ヴェーネス派に属したことは「覚えて」いるが、その前後については、ほとんど記憶がない。			グッバイ・＊＊＊							
人が己の意志で道を拓くのを望んだ、ハイデリンのことだ……私が余計な気をまわしてしまわぬよう、核心にまつわる記憶を、あえて継承させなかったのだろう。			人が己の意志で道を拓くのを望んだ、ハイデリンのことだ……私が余計な気をまわしてしまわぬよう、核心にまつわる記憶を、あえて継承させなかったのだろう。			グッバイ・＊＊＊							
ただ……ひとつだけ、彼女でも切り離せなかった想いがある。			ただ……ひとつだけ、彼女でも切り離せなかった想いがある。			グッバイ・＊＊＊							
人を愛したヴェーネスが、ハイデリンの核になることを……人の領域を逸脱してしまうことを、彼は寂しく思っていたのだ。			人を愛したヴェーネスが、ハイデリンの核になることを……人の領域を逸脱してしまうことを、彼は寂しく思っていたのだ。			グッバイ・＊＊＊							
そうまでして信念を貫こうというのなら、自分も決して眠ることなく、未来を見守ろう……と、召喚の直前、ヴェーネスに申し出た。			そうまでして信念を貫こうというのなら、自分も決して眠ることなく、未来を見守ろう……と、召喚の直前、ヴェーネスに申し出た。			グッバイ・＊＊＊							
それが聞き届けられたのかはわからないが、ハイデリン召喚に命を捧げた彼は、のちに月のシステムとして……私として再現されたわけだ。			それが聞き届けられたのかはわからないが、ハイデリン召喚に命を捧げた彼は、のちに月のシステムとして……私として再現されたわけだ。			グッバイ・＊＊＊							
Forename……貴殿が聞いて、感じて、考え、未来を勝ち取ったことで、ヴェーネスの歩みは、やっと帰結した。			Forename……貴殿が聞いて、感じて、考え、未来を勝ち取ったことで、ヴェーネスの歩みは、やっと帰結した。			グッバイ・＊＊＊							
それは「神の所業」などではない。繁栄を願い、明日の幸せを願い、祈りを次代へと託す……連綿と続いてきた人の行いそのものだったと、示されたのだ。			それは「神の所業」などではない。繁栄を願い、明日の幸せを願い、祈りを次代へと託す……連綿と続いてきた人の行いそのものだったと、示されたのだ。			グッバイ・＊＊＊							
ありがとう。これは私と、私のオリジナル……そしてあのヴェーネスを慕った、古き仲間たちからの感謝だよ。			ありがとう。これは私と、私のオリジナル……そしてあのヴェーネスを慕った、古き仲間たちからの感謝だよ。			グッバイ・＊＊＊							
ガガ……ガガガガ……。			ガガ……ガガガガ……。			グッバイ・＊＊＊							
Forenameの話は理解しました。ですが……ガガ……。			Forenameの話は理解しました。ですが……ガガ……。			グッバイ・＊＊＊							
それらの事実を、ヒトがどのように解釈するのか……アナタがたがヴェーネスに対し友好的な言葉を用いる根拠が、ワタシにはわかりません。			それらの事実を、ヒトがどのように解釈するのか……アナタがたがヴェーネスに対し友好的な言葉を用いる根拠が、ワタシにはわかりません。			グッバイ・＊＊＊							
彼女の行った世界の分割は、ヒトという種を勝利へと導いたものの、個々人に対しては、取り返しのつかない被害をもたらしている。			彼女の行った世界の分割は、ヒトという種を勝利へと導いたものの、個々人に対しては、取り返しのつかない被害をもたらしている。			グッバイ・＊＊＊							
その全容は計り知れません。少なくとも、エメトセルクたちが長く不遇の時を過ごしたのは、彼女のせいであったと言えるでしょう。			その全容は計り知れません。少なくとも、エメトセルクたちが長く不遇の時を過ごしたのは、彼女のせいであったと言えるでしょう。			グッバイ・＊＊＊							
……最終的に種の存続に繋がったことを良しとするなら、ヘルメスの行いも、好意的に受け止められるのでしょうか？			……最終的に種の存続に繋がったことを良しとするなら、ヘルメスの行いも、好意的に受け止められるのでしょうか？			グッバイ・＊＊＊							
彼の行動は、ワタシたちの遠い祖先の行いに似ています。他種族から迫害され続ける日常を変えるため、自身の肉体を作り変えた者たちです。			彼の行動は、ワタシたちの遠い祖先の行いに似ています。他種族から迫害され続ける日常を変えるため、自身の肉体を作り変えた者たちです。			グッバイ・＊＊＊							
それは未曽有の挑戦であり、大きな失敗と犠牲を伴いました。現代から見れば、愚行としか呼べない実験ばかり……。			それは未曽有の挑戦であり、大きな失敗と犠牲を伴いました。現代から見れば、愚行としか呼べない実験ばかり……。			グッバイ・＊＊＊							
ですが、彼らが踏み出した一歩がなければ、ワタシたちを取り巻く環境は変わらず、やがては滅亡していたことでしょう。			ですが、彼らが踏み出した一歩がなければ、ワタシたちを取り巻く環境は変わらず、やがては滅亡していたことでしょう。			グッバイ・＊＊＊							
エメトセルクについては、どうでしょうか？アナタの話において、彼は悲運を背負った、善良な協力者に思えます。			エメトセルクについては、どうでしょうか？アナタの話において、彼は悲運を背負った、善良な協力者に思えます。			グッバイ・＊＊＊							
しかし、ワタシが世界中の事象を観測できていたころ、アシエンが引き起こした紛争を幾度となく見かけました。			しかし、ワタシが世界中の事象を観測できていたころ、アシエンが引き起こした紛争を幾度となく見かけました。			グッバイ・＊＊＊							
霊災と呼称されている、大規模災害も然り……。その果てに現生人類を贄にする予定だったのならば、彼は、アナタがたの宿敵に違いありません。			霊災と呼称されている、大規模災害も然り……。その果てに現生人類を贄にする予定だったのならば、彼は、アナタがたの宿敵に違いありません。			グッバイ・＊＊＊							
教えてください。心ある者にとって、彼らはどのような存在なのでしょうか？			教えてください。心ある者にとって、彼らはどのような存在なのでしょうか？			グッバイ・＊＊＊							
アナタから見たとき、彼らのうちで、もっとも正しい者は誰ですか……？			アナタから見たとき、彼らのうちで、もっとも正しい者は誰ですか……？			グッバイ・＊＊＊							
何と言う？			何と言う？			グッバイ・＊＊＊							
それぞれが正しかった			それぞれが正しかった			グッバイ・＊＊＊							
ヴェーネスだ			ヴェーネスだ			グッバイ・＊＊＊							
ヘルメスだ			ヘルメスだ			グッバイ・＊＊＊							
エメトセルクだ			エメトセルクだ			グッバイ・＊＊＊							
誰も正しくなかったよ			誰も正しくなかったよ			グッバイ・＊＊＊							
…………そうなのですね。			…………そうなのですね。			グッバイ・＊＊＊							
Forenameが出した答えと、私が己の経験から導き出した意見は、必ずしも等しいわけではない。			Forenameが出した答えと、私が己の経験から導き出した意見は、必ずしも等しいわけではない。			グッバイ・＊＊＊							
同じように、貴殿にも思うところがあるならば、それは貴殿の心として大事にするといい。			同じように、貴殿にも思うところがあるならば、それは貴殿の心として大事にするといい。			グッバイ・＊＊＊							
ワタシは……違います……。自己に搭載された基準に沿って、物事を判断しているだけです。			ワタシは……違います……。自己に搭載された基準に沿って、物事を判断しているだけです。			グッバイ・＊＊＊							
同様の経験を持つオミクロンであれば、何千体いても、同じ判断を下す……そういった類いのもの……。そこから強さが生じる構造にだって、なっていません。			同様の経験を持つオミクロンであれば、何千体いても、同じ判断を下す……そういった類いのもの……。そこから強さが生じる構造にだって、なっていません。			グッバイ・＊＊＊							
ですが、アナタの発言は参考になりました。保管……ほかの聴取結果とともに、記録しておきます。			ですが、アナタの発言は参考になりました。保管……ほかの聴取結果とともに、記録しておきます。			グッバイ・＊＊＊							
これで、報告書だけではわからなかった事象について、ひととおり情報提供を受けられました。			これで、報告書だけではわからなかった事象について、ひととおり情報提供を受けられました。			グッバイ・＊＊＊							
ワタシは集めた情報を改めて分析し、心のことを……マスターが終わりを引き起こした経緯を、検討してみたいと思います。			ワタシは集めた情報を改めて分析し、心のことを……マスターが終わりを引き起こした経緯を、検討してみたいと思います。			グッバイ・＊＊＊							
ガガ……依頼達成ということです。戻りましょう、ビッグスたちの待つ、タウマゼインへ。			ガガ……依頼達成ということです。戻りましょう、ビッグスたちの待つ、タウマゼインへ。			グッバイ・＊＊＊							
思いもよらず貴殿の話を聞けてよかった。彼らについて、あてどもなく話したくなったときには、是非またここを訪ねてほしい。			思いもよらず貴殿の話を聞けてよかった。彼らについて、あてどもなく話したくなったときには、是非またここを訪ねてほしい。			グッバイ・＊＊＊							
前へと進む者にだって、過ぎた時間に想いを馳せることがあるはずだ。ハイデリンは、ついぞそういった話をしてくれなかったが……。			前へと進む者にだって、過ぎた時間に想いを馳せることがあるはずだ。ハイデリンは、ついぞそういった話をしてくれなかったが……。			グッバイ・＊＊＊							
Surname！よかった、間に合わないかと思ったッスー！			Surname！よかった、間に合わないかと思ったッスー！			グッバイ・＊＊＊							
おかえり、成果はあったかい？キミとオメガの交流について、根掘り葉掘り聞きたいけれど、不躾な振る舞いで嫌われてしまっては困る。			おかえり、成果はあったかい？キミとオメガの交流について、根掘り葉掘り聞きたいけれど、不躾な振る舞いで嫌われてしまっては困る。			グッバイ・＊＊＊							
今後も良好な関係と対話を続けていけるように、ここはグッと堪えておくよ。協力者諸君も、何やら急いでいるようだしね？			今後も良好な関係と対話を続けていけるように、ここはグッと堪えておくよ。協力者諸君も、何やら急いでいるようだしね？			グッバイ・＊＊＊							
……ガガ…………。			……ガガ…………。			グッバイ・＊＊＊							
クエクエ、クエエエー！			クエクエ、クエエエー！			グッバイ・＊＊＊							
おおっ、いいところに帰ってきてくれたな！			おおっ、いいところに帰ってきてくれたな！			グッバイ・＊＊＊							
オメガたちとの旅はどうだった？ここへ戻ってきたってことは、終末や心について、ひととおり教えおわったってことだよな。			オメガたちとの旅はどうだった？ここへ戻ってきたってことは、終末や心について、ひととおり教えおわったってことだよな。			グッバイ・＊＊＊							
「謎の通信」の件も含め、あれこれ聞かせてほしいんだが……すまない、急用が入っちまった。			「謎の通信」の件も含め、あれこれ聞かせてほしいんだが……すまない、急用が入っちまった。			グッバイ・＊＊＊							
別の場所で仕事をしてる社員が、やらかしたらしくてな。俺とウェッジで、至急、応援に向かうようにって、ジェシーからのお達しだ。			別の場所で仕事をしてる社員が、やらかしたらしくてな。俺とウェッジで、至急、応援に向かうようにって、ジェシーからのお達しだ。			グッバイ・＊＊＊							
ちょうど今しがた、知神の港に迎えの飛空艇が到着したらしい。悪いが、そっちに移動しながら話をさせてもらえないか？			ちょうど今しがた、知神の港に迎えの飛空艇が到着したらしい。悪いが、そっちに移動しながら話をさせてもらえないか？			グッバイ・＊＊＊							
ガガ……ワタシは構いません。脚を動かしながらでも、問題なく会話できます。			ガガ……ワタシは構いません。脚を動かしながらでも、問題なく会話できます。			グッバイ・＊＊＊							
助かるぜ。なら、とにかく港に向かうとするか。			助かるぜ。なら、とにかく港に向かうとするか。			グッバイ・＊＊＊							
それで……お前の疑問は、無事に解消されたのか？			それで……お前の疑問は、無事に解消されたのか？			グッバイ・＊＊＊							
……ワタシは、心というものを、アナタがた固有の能力だと認識していました。			……ワタシは、心というものを、アナタがた固有の能力だと認識していました。			グッバイ・＊＊＊							
オミクロンには習得できず、観測すらできない、未知の法則で働く力……。			オミクロンには習得できず、観測すらできない、未知の法則で働く力……。			グッバイ・＊＊＊							
現状もまだ、全容を解明するには至っていません。			現状もまだ、全容を解明するには至っていません。			グッバイ・＊＊＊							
ですが、今回の聴取結果を総合し、定義を改めたいと思います。			ですが、今回の聴取結果を総合し、定義を改めたいと思います。			グッバイ・＊＊＊							
己を取り巻く現実を、各々が解釈し、導き出すもの……。			己を取り巻く現実を、各々が解釈し、導き出すもの……。			グッバイ・＊＊＊							
それが、「答え(こころ)」なのではないかと。			それが、「答え(こころ)」なのではないかと。			グッバイ・＊＊＊							
だとすれば、メーティオンと邂逅した際のマスターには、確かに心があったのでしょう。			だとすれば、メーティオンと邂逅した際のマスターには、確かに心があったのでしょう。			グッバイ・＊＊＊							
眼前の現実に対し、ただルーティンに従うのではなく、己の答えを導き出していた……			眼前の現実に対し、ただルーティンに従うのではなく、己の答えを導き出していた……			グッバイ・＊＊＊							
オミクロンはもう星から出ず、閉じて終わるべきなのだと、「想っていた」のです。			オミクロンはもう星から出ず、閉じて終わるべきなのだと、「想っていた」のです。			グッバイ・＊＊＊							
到着ッス！			到着ッス！			グッバイ・＊＊＊							
それじゃあ、俺たちは次の現場に飛ぶが……先に、肝心の約束を果たしてもらわないとな。			それじゃあ、俺たちは次の現場に飛ぶが……先に、肝心の約束を果たしてもらわないとな。			グッバイ・＊＊＊							
ラグナロクが宇宙で傍受した「謎の通信」。その内容を教えてもらえるか？			ラグナロクが宇宙で傍受した「謎の通信」。その内容を教えてもらえるか？			グッバイ・＊＊＊							
ガガ……承認……アナタの要求は正当です。契約を履行しましょう。			ガガ……承認……アナタの要求は正当です。契約を履行しましょう。			グッバイ・＊＊＊							
ラグナロクに記録されていた音声は、実にシンプルなメッセージでした。			ラグナロクに記録されていた音声は、実にシンプルなメッセージでした。			グッバイ・＊＊＊							
有用な情報は含まれていません。よって、聞くだけ時間の無駄となる可能性があります。……本当によろしいですか？			有用な情報は含まれていません。よって、聞くだけ時間の無駄となる可能性があります。……本当によろしいですか？			グッバイ・＊＊＊							
上等ッス！よろしく頼むッス！			上等ッス！よろしく頼むッス！			グッバイ・＊＊＊							
了解……アナタがたの言葉に翻訳し、読み上げます……。			了解……アナタがたの言葉に翻訳し、読み上げます……。			グッバイ・＊＊＊							
『この果てしない宇宙のどこかで、　偶然にも、これを受信した君へ』			『この果てしない宇宙のどこかで、　偶然にも、これを受信した君へ』			グッバイ・＊＊＊							
『願わくは、ままならない地上から天を見上げる、　私のような誰かへ……』			『願わくは、ままならない地上から天を見上げる、　私のような誰かへ……』			グッバイ・＊＊＊							
『前へ進め。　互いの明日に、幸せがあらんことを願う』			『前へ進め。　互いの明日に、幸せがあらんことを願う』			グッバイ・＊＊＊							
……誰に届くとも知れないメッセージ。それを発する行為に、どのような価値があったのだろうか。			……誰に届くとも知れないメッセージ。それを発する行為に、どのような価値があったのだろうか。			グッバイ・＊＊＊							
「幸せ」という表現は、具体性に欠けている。言葉を送るだけでは、実現性を欠いている。			「幸せ」という表現は、具体性に欠けている。言葉を送るだけでは、実現性を欠いている。			グッバイ・＊＊＊							
だからワタシは、メッセージを聞いた彼らが見せた表情を、まだ理解できずにいる。			だからワタシは、メッセージを聞いた彼らが見せた表情を、まだ理解できずにいる。			グッバイ・＊＊＊							
マスター、アナタの答え(こころ)も、まだ理解できない。			マスター、アナタの答え(こころ)も、まだ理解できない。			グッバイ・＊＊＊							
終わることが本当に適切だったのか。アナタはどのように、それを導き出したのか。			終わることが本当に適切だったのか。アナタはどのように、それを導き出したのか。			グッバイ・＊＊＊							
……ワタシには、わからない。			……ワタシには、わからない。			グッバイ・＊＊＊							
だが、ワタシは学習し、進化する兵器だ。いつの日か、心を知る可能性もあるだろう。			だが、ワタシは学習し、進化する兵器だ。いつの日か、心を知る可能性もあるだろう。			グッバイ・＊＊＊							
そのために……今は、アナタの終わりに背を向けるのだ。			そのために……今は、アナタの終わりに背を向けるのだ。			グッバイ・＊＊＊							
……遠いこの星で生きていく。幾多の生命の中に、心の形を探しながら。			……遠いこの星で生きていく。幾多の生命の中に、心の形を探しながら。			グッバイ・＊＊＊							
彼らの歩みを、ワタシは記録する…………。			彼らの歩みを、ワタシは記録する…………。			グッバイ・＊＊＊							
クエクッエ！			クエクッエ！			グッバイ・＊＊＊							
Forename、ここまでの同行に感謝します。多くの貴重な情報を得ることができました。			Forename、ここまでの同行に感謝します。多くの貴重な情報を得ることができました。			グッバイ・＊＊＊							
契約は果たしましたので、ワタシとアルファも、世界を巡る旅を再開したいと思います。			契約は果たしましたので、ワタシとアルファも、世界を巡る旅を再開したいと思います。			グッバイ・＊＊＊							
今回の経験でレベルアップしましたので、これからは、より広く、多様な場所へ行けるかと。			今回の経験でレベルアップしましたので、これからは、より広く、多様な場所へ行けるかと。			グッバイ・＊＊＊							
この島や、エオルゼアのまだ行っていない場所はもちろん、サベネア島や、東方も射程圏内です。再びガレマルドに行くことだって…………アッ。			この島や、エオルゼアのまだ行っていない場所はもちろん、サベネア島や、東方も射程圏内です。再びガレマルドに行くことだって…………アッ。			グッバイ・＊＊＊							
ガガガ、ビッグスとウェッジに、耐冷性の向上を要求しそこねてしまいました。仕方がありません、ジェシーに要請して呼び寄せましょう。			ガガガ、ビッグスとウェッジに、耐冷性の向上を要求しそこねてしまいました。仕方がありません、ジェシーに要請して呼び寄せましょう。			グッバイ・＊＊＊							
出発……迅速に作戦を実行します。それでは、また。			出発……迅速に作戦を実行します。それでは、また。			グッバイ・＊＊＊							
アルファは、嬉しそうに身体を揺らすと、翼の内側から紙切れを取り出した。どこかで拾ったものだろうか？			アルファは、嬉しそうに身体を揺らすと、翼の内側から紙切れを取り出した。どこかで拾ったものだろうか？			グッバイ・＊＊＊							
クエッ！			クエッ！			グッバイ・＊＊＊							
どうやら、くれるらしい。付き合ったことへのお礼……なのかもしれない。			どうやら、くれるらしい。付き合ったことへのお礼……なのかもしれない。			グッバイ・＊＊＊							
(-オメガの声-)ガガ……アルファ、遅れないように！作戦はもう始まっているのですよ。			(-オメガの声-)ガガ……アルファ、遅れないように！作戦はもう始まっているのですよ。			グッバイ・＊＊＊							
