選者殿のヒナゲシは、協力者を探しているようだ。			選者殿のヒナゲシは、協力者を探しているようだ。			甘い文化体験							
私、ここからの眺めが好きなんです。遠い異国の風景が目に浮かぶようで……。			私、ここからの眺めが好きなんです。遠い異国の風景が目に浮かぶようで……。			今宵、魔法大学で							
「誓いの素材」は調達できたかな？すまないけど、あまり悠長にしてられないんだ……！			「誓いの素材」は調達できたかな？すまないけど、あまり悠長にしてられないんだ……！			今宵、魔法大学で							
ありがとう、これでエターナルリングが作れるよ！			ありがとう、これでエターナルリングが作れるよ！			今宵、魔法大学で							
ぼくはこれから製作に入るから、あなたは「ヒナゲシ」君に、この手紙を渡してきてほしい。			ぼくはこれから製作に入るから、あなたは「ヒナゲシ」君に、この手紙を渡してきてほしい。			今宵、魔法大学で							
フフッ、想いを伝えるために言葉が発達したはずなのに、物に頼るだなんて、おかしな文化かもしれないね。			フフッ、想いを伝えるために言葉が発達したはずなのに、物に頼るだなんて、おかしな文化かもしれないね。			今宵、魔法大学で							
研究、終わっちゃいましたね～……。			研究、終わっちゃいましたね～……。			今宵、魔法大学で							
子どもの「ままごと」みたいだったかもしれませんが、私はとても楽しかったですよ！			子どもの「ままごと」みたいだったかもしれませんが、私はとても楽しかったですよ！			今宵、魔法大学で							
欲を言えば、研究を通じてタンキン教授との仲が、少しくらい進展すればよかったんですけどね～。			欲を言えば、研究を通じてタンキン教授との仲が、少しくらい進展すればよかったんですけどね～。			今宵、魔法大学で							
何はともあれ、これまで本当にお世話になりました！私はこのまま実家に帰ろうと思います。			何はともあれ、これまで本当にお世話になりました！私はこのまま実家に帰ろうと思います。			今宵、魔法大学で							
えっ、教授から手紙……ですか？			えっ、教授から手紙……ですか？			今宵、魔法大学で							
「今後について直接伝えたい話があるので、　選者殿に戻ってきてほしい」……？			「今後について直接伝えたい話があるので、　選者殿に戻ってきてほしい」……？			今宵、魔法大学で							
そんなに急を要する案件なんでしょうか？わかりました、休憩終わったら行くようにします～！			そんなに急を要する案件なんでしょうか？わかりました、休憩終わったら行くようにします～！			今宵、魔法大学で							
教授から手紙をもらうなんて初めてです！休憩終わったら行くようにしますね～！			教授から手紙をもらうなんて初めてです！休憩終わったら行くようにしますね～！			今宵、魔法大学で							
手紙を渡してきてくれたみたいだね。こっちも準備は終わったよ。			手紙を渡してきてくれたみたいだね。こっちも準備は終わったよ。			今宵、魔法大学で							
あとは、ヒナゲシ君が来てくれれば……。			あとは、ヒナゲシ君が来てくれれば……。			今宵、魔法大学で							
もどりました～！			もどりました～！			今宵、魔法大学で							
急に呼び戻してしまって悪かったね。実は、きみに話があるんだが……。			急に呼び戻してしまって悪かったね。実は、きみに話があるんだが……。			今宵、魔法大学で							
その、なんだ。困ったな、言葉が出てこない……。			その、なんだ。困ったな、言葉が出てこない……。			今宵、魔法大学で							
手紙に、今後のお話って、書いてありましたけど……。もしかして、もう次の研究テーマが決まったんですか？			手紙に、今後のお話って、書いてありましたけど……。もしかして、もう次の研究テーマが決まったんですか？			今宵、魔法大学で							
あ、いや、それはまだ白紙だ。ただ、その……今回の研究についての論文は、きみを第一著者にしたいと思って、ね。			あ、いや、それはまだ白紙だ。ただ、その……今回の研究についての論文は、きみを第一著者にしたいと思って、ね。			今宵、魔法大学で							
もちろん、単に名前を載せるだけではなく、実際にきみの業績として、発表してほしい。			もちろん、単に名前を載せるだけではなく、実際にきみの業績として、発表してほしい。			今宵、魔法大学で							
ええっ、私に書かせてもらえるんですか！？それは大変光栄ですけど……教授の研究を奪うことになっちゃうんじゃ？			ええっ、私に書かせてもらえるんですか！？それは大変光栄ですけど……教授の研究を奪うことになっちゃうんじゃ？			今宵、魔法大学で							
そんなことはないよ。むしろ、文化を再現し、体験するという今回の研究を通じて、ぼくの方が、きみに教えてもらってばかりだった。			そんなことはないよ。むしろ、文化を再現し、体験するという今回の研究を通じて、ぼくの方が、きみに教えてもらってばかりだった。			今宵、魔法大学で							
そ、そうだったんですかぁ～！？全っ然、心当たりないんですけど、教授が仰るなら、きっとそうなんでしょうね。			そ、そうだったんですかぁ～！？全っ然、心当たりないんですけど、教授が仰るなら、きっとそうなんでしょうね。			今宵、魔法大学で							
あ、でもぉ……実家から、すぐに帰ってくるよう言われてるんです。			あ、でもぉ……実家から、すぐに帰ってくるよう言われてるんです。			今宵、魔法大学で							
実は、新たな研究パートナーと、顔合わせすることになってまして……。			実は、新たな研究パートナーと、顔合わせすることになってまして……。			今宵、魔法大学で							
ダダダ、ダメだよそれは、非常に困る！			ダダダ、ダメだよそれは、非常に困る！			今宵、魔法大学で							
ええ～！？でも論文の締め切り、まだ余裕ありますよね？それに、顔合わせの場に私がいないわけには……。			ええ～！？でも論文の締め切り、まだ余裕ありますよね？それに、顔合わせの場に私がいないわけには……。			今宵、魔法大学で							
論文はどうでもいいんだ！いや、どうでもよくはない。違う、そういうことじゃなくて、ええと……！			論文はどうでもいいんだ！いや、どうでもよくはない。違う、そういうことじゃなくて、ええと……！			今宵、魔法大学で							
何と言う？			何と言う？			今宵、魔法大学で							
余計な言葉はいらない			余計な言葉はいらない			今宵、魔法大学で							
用意したものが、あるだろう？			用意したものが、あるだろう？			今宵、魔法大学で							
そ、そうだ、アレのことを忘れていた！緊張のあまり、頭が真っ白になってしまった。あなたのおかげで冷静になれた、ありがとう……！			そ、そうだ、アレのことを忘れていた！緊張のあまり、頭が真っ白になってしまった。あなたのおかげで冷静になれた、ありがとう……！			今宵、魔法大学で							
これまでの研究を通じて、わかったんだ。人が明日を生きていくのに、環境なんて関係ない。深い絆の存在が感じられれば、どこだって大丈夫だと。			これまでの研究を通じて、わかったんだ。人が明日を生きていくのに、環境なんて関係ない。深い絆の存在が感じられれば、どこだって大丈夫だと。			今宵、魔法大学で							
ぼくにとって、きみとともに研究する毎日は、なによりも深い絆を感じられるものだった。			ぼくにとって、きみとともに研究する毎日は、なによりも深い絆を感じられるものだった。			今宵、魔法大学で							
だから、その絆の証を、受け取ってもらえないだろうか？			だから、その絆の証を、受け取ってもらえないだろうか？			今宵、魔法大学で							
こ、これって……！？			こ、これって……！？			今宵、魔法大学で							
そ、その、もしこの想いが、ぼくの勝手な思い込みで、きみは別の誰かに絆を感じているのだったら、ぼくはキッパリ諦める、のだ、けれど……。			そ、その、もしこの想いが、ぼくの勝手な思い込みで、きみは別の誰かに絆を感じているのだったら、ぼくはキッパリ諦める、のだ、けれど……。			今宵、魔法大学で							
へ、別の誰か！？いいえ、私にそんな人なんていませんけどぉ？			へ、別の誰か！？いいえ、私にそんな人なんていませんけどぉ？			今宵、魔法大学で							
え？でも、新たな研究パートナーが見つかったって……。			え？でも、新たな研究パートナーが見つかったって……。			今宵、魔法大学で							
それは、うちの両親の話です～！			それは、うちの両親の話です～！			今宵、魔法大学で							
な、なんだってー！？			な、なんだってー！？			今宵、魔法大学で							
両親が大学の植物学者だって、ご存じでしたよね？資金面で援助してくれる方と知り合いになったそうで、私の研究の話も聞きたいと仰ってるとか。			両親が大学の植物学者だって、ご存じでしたよね？資金面で援助してくれる方と知り合いになったそうで、私の研究の話も聞きたいと仰ってるとか。			今宵、魔法大学で							
お近づきになれれば、私たちの次の研究も、もっとすごいことがやれるかもと思って、会ってみようと思ってたんですー！			お近づきになれれば、私たちの次の研究も、もっとすごいことがやれるかもと思って、会ってみようと思ってたんですー！			今宵、魔法大学で							
ぼくらの、次の研究……。			ぼくらの、次の研究……。			今宵、魔法大学で							
フフッ、私、この研究室を去ったりしませんよ！私も、教授と一緒に、まだまだたくさん、いろんな景色を見てみたいです！			フフッ、私、この研究室を去ったりしませんよ！私も、教授と一緒に、まだまだたくさん、いろんな景色を見てみたいです！			今宵、魔法大学で							
そ、それは、つまり、その……。絆の証を受け取ってくれる、ということかな……？			そ、それは、つまり、その……。絆の証を受け取ってくれる、ということかな……？			今宵、魔法大学で							
絆は感じますけどぉ～。そのことと、その指輪が、どう関係してるんですかぁ～？			絆は感じますけどぉ～。そのことと、その指輪が、どう関係してるんですかぁ～？			今宵、魔法大学で							
この指輪は、エターナルバンドという儀式に関するもので……。そうだ、ちょっとその再現をしてみたいな、と思って……。			この指輪は、エターナルバンドという儀式に関するもので……。そうだ、ちょっとその再現をしてみたいな、と思って……。			今宵、魔法大学で							
再現はイヤです。			再現はイヤです。			今宵、魔法大学で							
わかった、正直に言おう！ぼくは、きみのことが好きだ！だからぼくと、久遠の絆を結んでほしい！			わかった、正直に言おう！ぼくは、きみのことが好きだ！だからぼくと、久遠の絆を結んでほしい！			今宵、魔法大学で							
わっかりました～！			わっかりました～！			今宵、魔法大学で							
その……まだ次の計画は白紙だけれど……。これからも、よろしくお願いします！			その……まだ次の計画は白紙だけれど……。これからも、よろしくお願いします！			今宵、魔法大学で							
こちらこそ、よろしくお願いします！楽しい研究を続けましょう！			こちらこそ、よろしくお願いします！楽しい研究を続けましょう！			今宵、魔法大学で							
自分たちの毎日が、いつか未来の研究者が、手本にするような文化を生み出すといいな。あなたには、感謝してもしきれないよ！			自分たちの毎日が、いつか未来の研究者が、手本にするような文化を生み出すといいな。あなたには、感謝してもしきれないよ！			今宵、魔法大学で							
はぁ……なんだか突然のことで、夢だったんじゃないかって気がしてきました。やっぱりいつもどおりの生活を続けるのが一番ですね！			はぁ……なんだか突然のことで、夢だったんじゃないかって気がしてきました。やっぱりいつもどおりの生活を続けるのが一番ですね！			今宵、魔法大学で							
でも、たまには違う文化を取り入れてみるのもいいかな～？論文が落ち着いたら、教授とまた旅行にも行きたいですし。あ、その前に実家での顔合わせに行かなきゃ……。			でも、たまには違う文化を取り入れてみるのもいいかな～？論文が落ち着いたら、教授とまた旅行にも行きたいですし。あ、その前に実家での顔合わせに行かなきゃ……。			今宵、魔法大学で							
そのときは、ぼくも同行するよ。……共同研究者として、ね。			そのときは、ぼくも同行するよ。……共同研究者として、ね。			今宵、魔法大学で							
はい、お願いします！			はい、お願いします！			今宵、魔法大学で							
とにかく冒険者さん、本当にありがとうございました！おかげで、研究論文も書けそうですし、私の恋も叶いました！これからもふたりで頑張っていきます～！			とにかく冒険者さん、本当にありがとうございました！おかげで、研究論文も書けそうですし、私の恋も叶いました！これからもふたりで頑張っていきます～！			今宵、魔法大学で							
ヒナゲシはあなたの事を、「恋愛成就の立役者」と感じているようです！			ヒナゲシはあなたの事を、「恋愛成就の立役者」と感じているようです！			今宵、魔法大学で							
また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、魔法大学は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			今宵、魔法大学で							
また、これにて、すべての学部の取引が完了しました！そんなあなたに、魔法大学職員の「キィ・アリアポー」は、依頼したいことがあるようです。			また、これにて、すべての学部の取引が完了しました！そんなあなたに、魔法大学職員の「キィ・アリアポー」は、依頼したいことがあるようです。			今宵、魔法大学で							
「選者殿」にいる彼女から、話を聞いてみましょう。			「選者殿」にいる彼女から、話を聞いてみましょう。			今宵、魔法大学で							
