ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			神子の使いと忘れられた島							
それで、ニッダーナさんへの贈り物として釣ったものだけど、この魚だけは、別のヒトにあげることに決めただす。			それで、ニッダーナさんへの贈り物として釣ったものだけど、この魚だけは、別のヒトにあげることに決めただす。			焼けた道を行く君へ							
あんた方と一緒に助けた赤ちゃん……ケラシャフとメヴァンの子、「ヴァズティ」に！			あんた方と一緒に助けた赤ちゃん……ケラシャフとメヴァンの子、「ヴァズティ」に！			焼けた道を行く君へ							
あの子に魚を届けたいと思いつつ、小さい子は食べるものに気を遣うから、頃合いを窺ってて……。おかげで、初めての贈り物にちょうどいい魚が手に入っただす。			あの子に魚を届けたいと思いつつ、小さい子は食べるものに気を遣うから、頃合いを窺ってて……。おかげで、初めての贈り物にちょうどいい魚が手に入っただす。			焼けた道を行く君へ							
あんたが一緒に来てくれてなかったら、あんな奥地の漁場まで、たどり着くこともできなかっただす。			あんたが一緒に来てくれてなかったら、あんな奥地の漁場まで、たどり着くこともできなかっただす。			焼けた道を行く君へ							
Forename、オラたちにつきあってくれて、本当にありがとう……！			Forename、オラたちにつきあってくれて、本当にありがとう……！			焼けた道を行く君へ							
それじゃあ、ヴァズティのところへ行くだす！赤ちゃんでも食べやすい、島伝統の離乳食にしてきたから、冷める前に届けないと……！			それじゃあ、ヴァズティのところへ行くだす！赤ちゃんでも食べやすい、島伝統の離乳食にしてきたから、冷める前に届けないと……！			焼けた道を行く君へ							
吾輩からもお礼をしたいのですが、それは贈り物を届けたあとにいたしましょう！「イェドリマン」へ戻ってから、お時間をください！			吾輩からもお礼をしたいのですが、それは贈り物を届けたあとにいたしましょう！「イェドリマン」へ戻ってから、お時間をください！			焼けた道を行く君へ							
戻ってきましたね、Forename！			戻ってきましたね、Forename！			焼けた道を行く君へ							
届けたお料理を美味しそうに召し上がるヴァズティは、とても愛らしいお姿でした……！マトシャ様にも喜んでいただけましたし、吾輩は感無量です！			届けたお料理を美味しそうに召し上がるヴァズティは、とても愛らしいお姿でした……！マトシャ様にも喜んでいただけましたし、吾輩は感無量です！			焼けた道を行く君へ							
さてさて、貴方には改めて感謝の言葉を……！このたびは、吾輩の愛するアロアロ島へのご助力、誠にありがとうございました！			さてさて、貴方には改めて感謝の言葉を……！このたびは、吾輩の愛するアロアロ島へのご助力、誠にありがとうございました！			焼けた道を行く君へ							
こういうときに、ヒトはお礼の品を贈るのでしょう？ふふん、もちろん心得ておりますとも！			こういうときに、ヒトはお礼の品を贈るのでしょう？ふふん、もちろん心得ておりますとも！			焼けた道を行く君へ							
あの古代魚はヴァズティへの贈り物……とはいえ、貴方も魚を食したい気分になるかと思いまして、パサスーンと一緒に、この島の魚料理をご用意いたしました！			あの古代魚はヴァズティへの贈り物……とはいえ、貴方も魚を食したい気分になるかと思いまして、パサスーンと一緒に、この島の魚料理をご用意いたしました！			焼けた道を行く君へ							
かつては、アロアロ島でも似ている料理が作られていたのです。そんな文化の共通点などに思いを馳せたりしながら、ぜひぜひ、お召し上がりくださいませ！			かつては、アロアロ島でも似ている料理が作られていたのです。そんな文化の共通点などに思いを馳せたりしながら、ぜひぜひ、お召し上がりくださいませ！			焼けた道を行く君へ							
クイックサンド付近のココシュは、冒険者に伝えたいことがあるようだ。			クイックサンド付近のココシュは、冒険者に伝えたいことがあるようだ。			民と隣人のために							
政庁層のココシュと話す			政庁層のココシュと話す			民と隣人のために							
ココシュと再度話す			ココシュと再度話す			民と隣人のために							
Surname様。シラディハ水道で発見された「保管庫」ですが、ひととおり調査が終わったとのことです。			Surname様。シラディハ水道で発見された「保管庫」ですが、ひととおり調査が終わったとのことです。			民と隣人のために							
その調査結果について、あなた様へお話ししたいと、ナナモ様が仰っておいでです。			その調査結果について、あなた様へお話ししたいと、ナナモ様が仰っておいでです。			民と隣人のために							
つきましては、お茶会の席をご用意いたしますので、お越しいただいてもよろしいでしょうか？			つきましては、お茶会の席をご用意いたしますので、お越しいただいてもよろしいでしょうか？			民と隣人のために							
ありがとうございます。では、「ロイヤル・プロムナード」でお待ちしておりますので、参加のご準備が整いましたら、私にお声がけくださいませ。			ありがとうございます。では、「ロイヤル・プロムナード」でお待ちしておりますので、参加のご準備が整いましたら、私にお声がけくださいませ。			民と隣人のために							
Surname様、お越しいただき、ありがとうございます。			Surname様、お越しいただき、ありがとうございます。			民と隣人のために							
それでは、ナナモ様のお部屋へご案内いたします。			それでは、ナナモ様のお部屋へご案内いたします。			民と隣人のために							
わざわざ来てもらったのは、ほかでもない。そなたに、伝えておきたいことが……			わざわざ来てもらったのは、ほかでもない。そなたに、伝えておきたいことが……			民と隣人のために							
そういえば戦勝祝賀会の折にも、こうして、そなたと密談したのであったな。			そういえば戦勝祝賀会の折にも、こうして、そなたと密談したのであったな。			民と隣人のために							
何と言う？			何と言う？			民と隣人のために							
あのあと、シラディハ水道へ脱出したな……			あのあと、シラディハ水道へ脱出したな……			民と隣人のために							
思い出したくもない……			思い出したくもない……			民と隣人のために							
そなたにとって、かの地下水道にはいい思い出がなかろう？此度の探検で、少しは払拭できておればよいのじゃが……。			そなたにとって、かの地下水道にはいい思い出がなかろう？此度の探検で、少しは払拭できておればよいのじゃが……。			民と隣人のために							
あの事件は、そなたにとっても苦い記憶よな……この話は早々に切り上げるとしよう。			あの事件は、そなたにとっても苦い記憶よな……この話は早々に切り上げるとしよう。			民と隣人のために							
さて、ココシュから聞いておるやもしれんが、話というのは、シラディハ水道で発見した保管庫のことじゃ。			さて、ココシュから聞いておるやもしれんが、話というのは、シラディハ水道で発見した保管庫のことじゃ。			民と隣人のために							
信頼に足る兵を送り、調査を行わせたところ、前回、回収した目録どおりの品が、すべて遺されておった。盗掘の被害には、あっておらぬようじゃな。			信頼に足る兵を送り、調査を行わせたところ、前回、回収した目録どおりの品が、すべて遺されておった。盗掘の被害には、あっておらぬようじゃな。			民と隣人のために							
では、ソーン朝時代に、あのような地下保管庫を作ってまで、秘匿しようとしていたもの、それが何であったのか……			では、ソーン朝時代に、あのような地下保管庫を作ってまで、秘匿しようとしていたもの、それが何であったのか……			民と隣人のために							
贈り物じゃ。むろん、王家が管理する宝物も含まれておったが、目録の最上位に記されていたのは、アマルジャ族からの贈答品……。			贈り物じゃ。むろん、王家が管理する宝物も含まれておったが、目録の最上位に記されていたのは、アマルジャ族からの贈答品……。			民と隣人のために							
かつて、シラディハ水道にあふれたゾンビーを掃討するために、ウルダハとアマルジャ族が共闘したことがあった。どうやら、その作戦完了を記念して贈られた品らしい。			かつて、シラディハ水道にあふれたゾンビーを掃討するために、ウルダハとアマルジャ族が共闘したことがあった。どうやら、その作戦完了を記念して贈られた品らしい。			民と隣人のために							
共闘の歴史はザナラーンの情勢もあり、長く伏せられてきた。その一方で、歴代の王たちはその真実を忘れぬようにと、あの保管庫で、贈り物を大切に守ってきたようじゃ。			共闘の歴史はザナラーンの情勢もあり、長く伏せられてきた。その一方で、歴代の王たちはその真実を忘れぬようにと、あの保管庫で、贈り物を大切に守ってきたようじゃ。			民と隣人のために							
王たちは皆、信じていたのだろう。いつの日か、アマルジャ族と再び手を取り合える日が訪れたとき、それが融和の証となると……。			王たちは皆、信じていたのだろう。いつの日か、アマルジャ族と再び手を取り合える日が訪れたとき、それが融和の証となると……。			民と隣人のために							
そして今、パガルザンへの支援を通じ、奇しくもふたたび、共闘が行われた……まさに好機と言えよう。			そして今、パガルザンへの支援を通じ、奇しくもふたたび、共闘が行われた……まさに好機と言えよう。			民と隣人のために							
「民と隣人のためにウル王家へと引き継ぐ」……目録の宣言にならい、わらわは民と隣人を繋ぐ懸け橋となるべく、受け継がれたものを活用していきたいと考えておる。			「民と隣人のためにウル王家へと引き継ぐ」……目録の宣言にならい、わらわは民と隣人を繋ぐ懸け橋となるべく、受け継がれたものを活用していきたいと考えておる。			民と隣人のために							
融和の流れに異を唱える者は、ウルダハとアマルジャ族、いずれも少なくはないが、歴史的な共闘の事実は、彼らを説得するための材料となろう。			融和の流れに異を唱える者は、ウルダハとアマルジャ族、いずれも少なくはないが、歴史的な共闘の事実は、彼らを説得するための材料となろう。			民と隣人のために							
期せずして、このような成果を得られたのは、わらわの無茶に、そなたがつきあってくれたおかげじゃ。ともに繰り出した探索の旅も、かけがえのない思い出となった。			期せずして、このような成果を得られたのは、わらわの無茶に、そなたがつきあってくれたおかげじゃ。ともに繰り出した探索の旅も、かけがえのない思い出となった。			民と隣人のために							
Forename、本当に、感謝しておるぞ。			Forename、本当に、感謝しておるぞ。			民と隣人のために							
わらわばかり、長々と喋ってしまったな。今度は、そなたの近況でも聞かせてくれぬか？			わらわばかり、長々と喋ってしまったな。今度は、そなたの近況でも聞かせてくれぬか？			民と隣人のために							
ナナモ様とのお茶会は、いかがでしたか？楽しいひとときを過ごされたのなら、なによりでございます。			ナナモ様とのお茶会は、いかがでしたか？楽しいひとときを過ごされたのなら、なによりでございます。			民と隣人のために							
Surname様は引く手あまたでしょうけれど、今後とも、ナナモ様にご助力いただけますと嬉しく思います。			Surname様は引く手あまたでしょうけれど、今後とも、ナナモ様にご助力いただけますと嬉しく思います。			民と隣人のために							
それでは、お時間をいただき、ありがとうございました。持ち帰り用のお菓子をご用意しましたので、ぜひ、お召し上がりください。			それでは、お時間をいただき、ありがとうございました。持ち帰り用のお菓子をご用意しましたので、ぜひ、お召し上がりください。			民と隣人のために							
望海泉付近のツバキは、冒険者に伝えたいことがあるようだ。			望海泉付近のツバキは、冒険者に伝えたいことがあるようだ。			幸不幸と孤児ふたり							
指定地点で待機			指定地点で待機			幸不幸と孤児ふたり							
ツバキと話す			ツバキと話す			幸不幸と孤児ふたり							
Forename殿、少しお時間をいただいてもよろしいでしょうか。			Forename殿、少しお時間をいただいてもよろしいでしょうか。			幸不幸と孤児ふたり							
あなたが「大煙管」の付喪神を討伐してくださったおかげで、我が主であるウズミビ様は、聖浄院に手勢を送りこめたそうです。今回は無事に、調査も終えられたと一報がございました。			あなたが「大煙管」の付喪神を討伐してくださったおかげで、我が主であるウズミビ様は、聖浄院に手勢を送りこめたそうです。今回は無事に、調査も終えられたと一報がございました。			幸不幸と孤児ふたり							
その調査結果が届いたので、ハンコック殿に共有したところ、何やら思うところがあったご様子で……。あなたとお話ししたいと、言付けを預かっております。			その調査結果が届いたので、ハンコック殿に共有したところ、何やら思うところがあったご様子で……。あなたとお話ししたいと、言付けを預かっております。			幸不幸と孤児ふたり							
ゆっくり語らわれるなら、異人街にある静かな庭園「楽水園」がおすすめです。ハンコック殿にお伝えしておくので、そちらでお待ちください。			ゆっくり語らわれるなら、異人街にある静かな庭園「楽水園」がおすすめです。ハンコック殿にお伝えしておくので、そちらでお待ちください。			幸不幸と孤児ふたり							
それから、お話が終わりましたら、一度こちらへお戻りいただけると助かります。此度のお礼もございますので……では、お待ちしております。			それから、お話が終わりましたら、一度こちらへお戻りいただけると助かります。此度のお礼もございますので……では、お待ちしております。			幸不幸と孤児ふたり							
ハンコック殿には私からお伝えしておくので、異人街にある「楽水園」でお待ちください。			ハンコック殿には私からお伝えしておくので、異人街にある「楽水園」でお待ちください。			幸不幸と孤児ふたり							
急にお呼び立てして、失礼いたしマシタ。ウズミビ様から聖浄院の調査結果が届いたので、その共有をと思いましてネ。			急にお呼び立てして、失礼いたしマシタ。ウズミビ様から聖浄院の調査結果が届いたので、その共有をと思いましてネ。			幸不幸と孤児ふたり							
立ち話もなんデスから、そちらに座りましょうか。			立ち話もなんデスから、そちらに座りましょうか。			幸不幸と孤児ふたり							
どうやら、ゴウライ師の日記を見つけたらしく、彼の半生について、ずいぶんと詳しく書かれていましたヨ。			どうやら、ゴウライ師の日記を見つけたらしく、彼の半生について、ずいぶんと詳しく書かれていましたヨ。			幸不幸と孤児ふたり							
なんでもゴウライ師は、貧困を理由に親から捨てられた過去があるようでしてネ。寺に拾われるまで、物乞いをして生きていたそうデス。			なんでもゴウライ師は、貧困を理由に親から捨てられた過去があるようでしてネ。寺に拾われるまで、物乞いをして生きていたそうデス。			幸不幸と孤児ふたり							
富に執着し、骨董趣味にのめり込んだのも、そうした背景があってのことだとか……。			富に執着し、骨董趣味にのめり込んだのも、そうした背景があってのことだとか……。			幸不幸と孤児ふたり							
いやはや、そうと知っては妙な親近感が湧いてしまいマス。かくいう私も親に捨てられた身デスから……。			いやはや、そうと知っては妙な親近感が湧いてしまいマス。かくいう私も親に捨てられた身デスから……。			幸不幸と孤児ふたり							
ロロリト会長が東アルデナード商会へと拾ってくれるまで、私はウルダハの裏通りで、どうにかこうにか生きていたのデス。そんな昔の自分と、ついつい重ねてしまいマシタ。			ロロリト会長が東アルデナード商会へと拾ってくれるまで、私はウルダハの裏通りで、どうにかこうにか生きていたのデス。そんな昔の自分と、ついつい重ねてしまいマシタ。			幸不幸と孤児ふたり							
そういえば彼、「大煙管」が特にお気に入りだったとか。あれには持ち主を幸福に、あるいは不幸にするという、相反するいわくがあるそうで。			そういえば彼、「大煙管」が特にお気に入りだったとか。あれには持ち主を幸福に、あるいは不幸にするという、相反するいわくがあるそうで。			幸不幸と孤児ふたり							
僧として聖浄院の頂点に上り詰め、「大煙管」を手に入れたとき、彼は幸せを感じたことでしょう。ところが怪異に憑かれて急転直下……不幸にまっしぐらデ～ス。			僧として聖浄院の頂点に上り詰め、「大煙管」を手に入れたとき、彼は幸せを感じたことでしょう。ところが怪異に憑かれて急転直下……不幸にまっしぐらデ～ス。			幸不幸と孤児ふたり							
何と言う？			何と言う？			幸不幸と孤児ふたり							
ハンコックも気をつけて			ハンコックも気をつけて			幸不幸と孤児ふたり							
欲張るからそうなる……			欲張るからそうなる……			幸不幸と孤児ふたり							
おやおや……心配してくださるのデ？まあ、近しいからこそ異なる面が見えてくるといいますか、私なら、あのような顛末にはならないと思いますヨ。			おやおや……心配してくださるのデ？まあ、近しいからこそ異なる面が見えてくるといいますか、私なら、あのような顛末にはならないと思いますヨ。			幸不幸と孤児ふたり							
何かを欲するにしても、限度というものがありますからネ。ゴウライ師と類似点の多い私ではありますが、わきまえている、という点では大きく異なっているようデス。			何かを欲するにしても、限度というものがありますからネ。ゴウライ師と類似点の多い私ではありますが、わきまえている、という点では大きく異なっているようデス。			幸不幸と孤児ふたり							
少しばかり私的なお話になるので、ほどほどに聞き流していただいて結構なのですが……。			少しばかり私的なお話になるので、ほどほどに聞き流していただいて結構なのですが……。			幸不幸と孤児ふたり							
私、ロロリト会長から多くのことを学ばせてもらいましてね。そのひとつに「何に投じるかで金貨の価値は変わる」という、彼の経営哲学があります。			私、ロロリト会長から多くのことを学ばせてもらいましてね。そのひとつに「何に投じるかで金貨の価値は変わる」という、彼の経営哲学があります。			幸不幸と孤児ふたり							
同じ、100ギル金貨一枚でも、未来に投資すれば、やがて200ギルにも1000ギルにもなる。しかし道楽に浪費すれば、0ギルになってしまう。			同じ、100ギル金貨一枚でも、未来に投資すれば、やがて200ギルにも1000ギルにもなる。しかし道楽に浪費すれば、0ギルになってしまう。			幸不幸と孤児ふたり							
骨董趣味にしたって同じこと。手に入れた品を、心を埋めるために独り愛でるようでは、益がないどころか品物に魅入られる危険すらある。			骨董趣味にしたって同じこと。手に入れた品を、心を埋めるために独り愛でるようでは、益がないどころか品物に魅入られる危険すらある。			幸不幸と孤児ふたり							
付喪神を倒した影響か、すっかり小さくなったこの煙管も、どうせなら未来に投じてやればいい。			付喪神を倒した影響か、すっかり小さくなったこの煙管も、どうせなら未来に投じてやればいい。			幸不幸と孤児ふたり							
実は私、収集した品々をみなさんに見ていただけるように、広く公開するための場所を設けるという夢があるのデス。いわば、博物の館……博物館！			実は私、収集した品々をみなさんに見ていただけるように、広く公開するための場所を設けるという夢があるのデス。いわば、博物の館……博物館！			幸不幸と孤児ふたり							
幼き日の私が、浮世絵を見て東方に憧れを抱いたように、収蔵品を見て異国に思いを馳せ、世界の広さを感じてほしい。我々と異なる思想や文化があると知ってほしい。			幼き日の私が、浮世絵を見て東方に憧れを抱いたように、収蔵品を見て異国に思いを馳せ、世界の広さを感じてほしい。我々と異なる思想や文化があると知ってほしい。			幸不幸と孤児ふたり							
そして作品への理解が深まれば、作り手も買い手も増える。かくして、より多くの作品を後世に残すきっかけとなれば、収集家冥利に尽きる、というものデス。			そして作品への理解が深まれば、作り手も買い手も増える。かくして、より多くの作品を後世に残すきっかけとなれば、収集家冥利に尽きる、というものデス。			幸不幸と孤児ふたり							
そんな私と、あとに続く誰かの「夢」のために、機会があればまた頼みますよ、Forenameさん。			そんな私と、あとに続く誰かの「夢」のために、機会があればまた頼みますよ、Forenameさん。			幸不幸と孤児ふたり							
お戻りいただきありがとうございます、Forename殿。			お戻りいただきありがとうございます、Forename殿。			幸不幸と孤児ふたり							
ハンコック殿とは、ゆっくりお話しできましたでしょうか？			ハンコック殿とは、ゆっくりお話しできましたでしょうか？			幸不幸と孤児ふたり							
よき語らいの機会となったのでしたら、何よりでございます。			よき語らいの機会となったのでしたら、何よりでございます。			幸不幸と孤児ふたり							
さて、改めまして……六根山の問題解決にご助力くださいましたこと、ウズミビ様の名代として、心より御礼申し上げます。			さて、改めまして……六根山の問題解決にご助力くださいましたこと、ウズミビ様の名代として、心より御礼申し上げます。			幸不幸と孤児ふたり							
甘くて美味しいクガネの銘菓をご用意いたしましたので、ぜひ、お土産にお持ち帰りください。			甘くて美味しいクガネの銘菓をご用意いたしましたので、ぜひ、お土産にお持ち帰りください。			幸不幸と孤児ふたり							
では、ハンコック殿にもお礼をして参りますので、私はこれにて失礼いたします。			では、ハンコック殿にもお礼をして参りますので、私はこれにて失礼いたします。			幸不幸と孤児ふたり							
Forename殿、またご縁がありましたらお会いいたしましょう。			Forename殿、またご縁がありましたらお会いいたしましょう。			幸不幸と孤児ふたり							
