ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ジュース店、立ち退きの危機							
ブネワ・ソーダ……私が大まかに考案したものを、Forenameに作ってもらったの。			ブネワ・ソーダ……私が大まかに考案したものを、Forenameに作ってもらったの。			ブネワ族の青い夢							
元気が出るとされる香辛料やハーブを混ぜ合わせ、ソーダ水と配合することで、爽やかな飲み口が実現した。おかげで、毎日でも飲める最高の味わいになったわ。			元気が出るとされる香辛料やハーブを混ぜ合わせ、ソーダ水と配合することで、爽やかな飲み口が実現した。おかげで、毎日でも飲める最高の味わいになったわ。			ブネワ族の青い夢							
ふたりは今後も、足を使って方々へ出向くでしょう？そんな貴方たちのためのジュースを、作りたかったの。			ふたりは今後も、足を使って方々へ出向くでしょう？そんな貴方たちのためのジュースを、作りたかったの。			ブネワ族の青い夢							
何と言う？			何と言う？			ブネワ族の青い夢							
3人で飲むためだったんだ			3人で飲むためだったんだ			ブネワ族の青い夢							
粋なことをするね			粋なことをするね			ブネワ族の青い夢							
3人で飲んだあと、ほかの人にも提供するけどね。今後はこれを、私の店の看板メニューとして売り出していきたい。			3人で飲んだあと、ほかの人にも提供するけどね。今後はこれを、私の店の看板メニューとして売り出していきたい。			ブネワ族の青い夢							
私は、呪術医になれなかったことをいつまでも引きずって、この仕事をやっていいのか、ずっと迷っていた……。呪術医になることを期待してくれた家族に、申し訳なくてね。			私は、呪術医になれなかったことをいつまでも引きずって、この仕事をやっていいのか、ずっと迷っていた……。呪術医になることを期待してくれた家族に、申し訳なくてね。			ブネワ族の青い夢							
だけど今は、胸を張って誇りたい。いろんな人に、味や効能を喜んでもらえていることを。			だけど今は、胸を張って誇りたい。いろんな人に、味や効能を喜んでもらえていることを。			ブネワ族の青い夢							
魔法がなくても、私は店を通じて人を癒やしていける。ふたりが助けてくれたおかげで、私の夢は叶ったのよ！			魔法がなくても、私は店を通じて人を癒やしていける。ふたりが助けてくれたおかげで、私の夢は叶ったのよ！			ブネワ族の青い夢							
心から、お礼を言わせてほしい。……ありがとう、仲間たち。			心から、お礼を言わせてほしい。……ありがとう、仲間たち。			ブネワ族の青い夢							
フゴォ……フゴォ……			フゴォ……フゴォ……			ブネワ族の青い夢							
お礼を言うには　早すぎる！シェーロジャ　まだまだ　ミジュクモノ～！モブの働き　見習って～！			お礼を言うには　早すぎる！シェーロジャ　まだまだ　ミジュクモノ～！モブの働き　見習って～！			ブネワ族の青い夢							
み、未熟者……？ハレナルクだって最初、やり甲斐がわからなかったくせに、お互い様でしょう……？			み、未熟者……？ハレナルクだって最初、やり甲斐がわからなかったくせに、お互い様でしょう……？			ブネワ族の青い夢							
急に、そんなことを言いだしたのは……あ、もしかして、私の言葉で恥ずかしくなったの？そうなのね、友人？			急に、そんなことを言いだしたのは……あ、もしかして、私の言葉で恥ずかしくなったの？そうなのね、友人？			ブネワ族の青い夢							
そんなこと　あるわけな～い！それに　友人でもな～い！モブはいつでも　クールでドライな　仕事人～！			そんなこと　あるわけな～い！それに　友人でもな～い！モブはいつでも　クールでドライな　仕事人～！			ブネワ族の青い夢							
フゴォ……フゴォ……試飲会　とてとて楽しかったモブ～！シェーロジャ　口喧嘩も　ミジュクモノ～			フゴォ……フゴォ……試飲会　とてとて楽しかったモブ～！シェーロジャ　口喧嘩も　ミジュクモノ～			ブネワ族の青い夢							
試飲会は大成功だったわね！効能を詳しく聞きたがるお客さんもいたりして……あれなら間違いなく、常連になってくれそうだわ。			試飲会は大成功だったわね！効能を詳しく聞きたがるお客さんもいたりして……あれなら間違いなく、常連になってくれそうだわ。			ブネワ族の青い夢							
たちまち　噂　広まってる「ジュースクラフト・シェーロジャ」バツグンに効く　健康ジュース屋～！			たちまち　噂　広まってる「ジュースクラフト・シェーロジャ」バツグンに効く　健康ジュース屋～！			ブネワ族の青い夢							
ええ、これならもう、店の立ち退きは……少しも心配しなくてよさそうね！			ええ、これならもう、店の立ち退きは……少しも心配しなくてよさそうね！			ブネワ族の青い夢							
Forename、本当にお世話になったわ。まだ特別なジュースを作れていない部族もいるけど、それは今後、私が試作を頑張ってみるから。			Forename、本当にお世話になったわ。まだ特別なジュースを作れていない部族もいるけど、それは今後、私が試作を頑張ってみるから。			ブネワ族の青い夢							
何と言う？			何と言う？			ブネワ族の青い夢							
楽しみにしてる			楽しみにしてる			ブネワ族の青い夢							
できたら飲ませてくれる？			できたら飲ませてくれる？			ブネワ族の青い夢							
素晴らしいジュースをたくさん生み出してくれた貴方に、飲んでもらうとなると緊張しそうね。でも、前向きに挑んでみるわ！			素晴らしいジュースをたくさん生み出してくれた貴方に、飲んでもらうとなると緊張しそうね。でも、前向きに挑んでみるわ！			ブネワ族の青い夢							
とはいえ、試作に取りかかる前に課題もたくさん。お客さんはどんどん増えるでしょうし、必要になる材料を今後、どう仕入れようかと……。			とはいえ、試作に取りかかる前に課題もたくさん。お客さんはどんどん増えるでしょうし、必要になる材料を今後、どう仕入れようかと……。			ブネワ族の青い夢							
フゴォ……フゴォ……！それなら　それなら　モブが集める　これからも！各地の果物　採りまくり～！			フゴォ……フゴォ……！それなら　それなら　モブが集める　これからも！各地の果物　採りまくり～！			ブネワ族の青い夢							
シェーロジャの店　良いお店～これからもっと　バタバタアワアワ……			シェーロジャの店　良いお店～これからもっと　バタバタアワアワ……			ブネワ族の青い夢							
モブは名人　採集の～！モブが専属　これからずっと～！			モブは名人　採集の～！モブが専属　これからずっと～！			ブネワ族の青い夢							
ハレナルク……ありがたいわ！きっと今まで以上に、働き甲斐を感じてもらえると思う！			ハレナルク……ありがたいわ！きっと今まで以上に、働き甲斐を感じてもらえると思う！			ブネワ族の青い夢							
働き甲斐も　ひとつの理由……でもでも　当たり前だと思うモブ～困ってる友だち　助けるの！			働き甲斐も　ひとつの理由……でもでも　当たり前だと思うモブ～困ってる友だち　助けるの！			ブネワ族の青い夢							
私が友人と言ったのは、否定したくせに……本当に素直じゃないわね、貴方は！			私が友人と言ったのは、否定したくせに……本当に素直じゃないわね、貴方は！			ブネワ族の青い夢							
それじゃ、今後もよろしくね、ハレナルク。引き続き、意見も文句も大歓迎よ！			それじゃ、今後もよろしくね、ハレナルク。引き続き、意見も文句も大歓迎よ！			ブネワ族の青い夢							
もちろん　もちろん！楽しく　友だちと　ジュース作り～！			もちろん　もちろん！楽しく　友だちと　ジュース作り～！			ブネワ族の青い夢							
ジュースクラフト・シェーロジャのストーリーが完結しました！シェーロジャはあなたの事を、「祝杯を挙げた仲間」と感じているようです！			ジュースクラフト・シェーロジャのストーリーが完結しました！シェーロジャはあなたの事を、「祝杯を挙げた仲間」と感じているようです！			ブネワ族の青い夢							
また、ワチュメキメキ万貨街にはほかにも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、ワチュメキメキ万貨街にはほかにも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			ブネワ族の青い夢							
また、これにて、すべての万貨街取引が完了しました！そんなあなたに、万貨街の顔役である「ローペリ」は、依頼したいことがあるようです。			また、これにて、すべての万貨街取引が完了しました！そんなあなたに、万貨街の顔役である「ローペリ」は、依頼したいことがあるようです。			ブネワ族の青い夢							
「ワチュメキメキ万貨街」の入口にいる彼から、話を聞いてみましょう。			「ワチュメキメキ万貨街」の入口にいる彼から、話を聞いてみましょう。			ブネワ族の青い夢							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			ブネワ族の青い夢							
