槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
キャンプ・リバーズミートの西にいる捜索中の神殿騎士と合流			キャンプ・リバーズミートの西にいる捜索中の神殿騎士と合流			槍が繋ぐ命							
ウスティエヌを探して救助する			ウスティエヌを探して救助する			槍が繋ぐ命							
神殿騎士団本部のアンドゥルーに報告			神殿騎士団本部のアンドゥルーに報告			槍が繋ぐ命							
アドネール占星台のモントルガンと話す			アドネール占星台のモントルガンと話す			槍が繋ぐ命							
Forename、いちだんと逞しくなったようだな。君の鍛練は順調のようだが、ウスティエヌの捜査は難航している……。			Forename、いちだんと逞しくなったようだな。君の鍛練は順調のようだが、ウスティエヌの捜査は難航している……。			槍が繋ぐ命							
……それというのも、先ごろから、異端者勢力が活動を活発化させており、対応に奔走しているのだ。そのため、神殿騎士団から捜査に割ける人員が不足している。			……それというのも、先ごろから、異端者勢力が活動を活発化させており、対応に奔走しているのだ。そのため、神殿騎士団から捜査に割ける人員が不足している。			槍が繋ぐ命							
だが、この騒動に関連して、気になる情報が入ってきた。交戦した神殿騎士の報告によれば、異端者一味の中に、飛槍「ペレグリン」らしき槍を持つ者がいたというのだ。			だが、この騒動に関連して、気になる情報が入ってきた。交戦した神殿騎士の報告によれば、異端者一味の中に、飛槍「ペレグリン」らしき槍を持つ者がいたというのだ。			槍が繋ぐ命							
飛槍「ペレグリン」は、彼女の家に代々伝わる逸品……。もし、この報告が真実だとすると、ウスティエヌの槍が異端者の手に渡っていることとなる。			飛槍「ペレグリン」は、彼女の家に代々伝わる逸品……。もし、この報告が真実だとすると、ウスティエヌの槍が異端者の手に渡っていることとなる。			槍が繋ぐ命							
血竜「グラウリー」の背に刺さったものを引き抜いたのか、あるいはウスティエヌを捕らえ、彼女の槍を奪ったのか……。この異端者を捕らえて、事情を問いたいところだ。			血竜「グラウリー」の背に刺さったものを引き抜いたのか、あるいはウスティエヌを捕らえ、彼女の槍を奪ったのか……。この異端者を捕らえて、事情を問いたいところだ。			槍が繋ぐ命							
クルザス西部高地の「キャンプ・リバーズミート」西方に、異端者対策を任じられた神殿騎士がいるはずだ。彼から異端者の行方を確認し、追撃してほしい。			クルザス西部高地の「キャンプ・リバーズミート」西方に、異端者対策を任じられた神殿騎士がいるはずだ。彼から異端者の行方を確認し、追撃してほしい。			槍が繋ぐ命							
ウスティエヌの行方が、わかるといいのだが……。			ウスティエヌの行方が、わかるといいのだが……。			槍が繋ぐ命							
お待ちしていました、「蒼の竜騎士」殿。問題の異端者一味は、スウィフトラン川を南に逃走中で、すでに、我が方の騎士が追跡を開始しています。			お待ちしていました、「蒼の竜騎士」殿。問題の異端者一味は、スウィフトラン川を南に逃走中で、すでに、我が方の騎士が追跡を開始しています。			槍が繋ぐ命							
飛槍「ペレグリン」を持った異端者も目撃されているようです。どうか件の異端者を捕縛し、ウスティエヌ卿の行方に関する、手がかりを掴んでください！			飛槍「ペレグリン」を持った異端者も目撃されているようです。どうか件の異端者を捕縛し、ウスティエヌ卿の行方に関する、手がかりを掴んでください！			槍が繋ぐ命							
どうか件の異端者を捕縛し、ウスティエヌ卿の行方に関する、手がかりを掴んでください！			どうか件の異端者を捕縛し、ウスティエヌ卿の行方に関する、手がかりを掴んでください！			槍が繋ぐ命							
Forename、助けに来てくれたのか……。血竜の背に、槍を突き立てたまでは良かったが、ヤツは私を振り払おうと、上空に飛び上がってな……。			Forename、助けに来てくれたのか……。血竜の背に、槍を突き立てたまでは良かったが、ヤツは私を振り払おうと、上空に飛び上がってな……。			槍が繋ぐ命							
このため、私は飛び降りることもできず、血竜に刺さった槍を、必死に握りしめるしかなかった。私が落下せずに生きのびたのは、父祖の槍のおかげだ。			このため、私は飛び降りることもできず、血竜に刺さった槍を、必死に握りしめるしかなかった。私が落下せずに生きのびたのは、父祖の槍のおかげだ。			槍が繋ぐ命							
しかし、血竜「グラウリー」が向かった先には、ヤツに仕える異端者一味が待ち受けていたのだ……。……そこで私は囚われ、槍も奪われてしまった。			しかし、血竜「グラウリー」が向かった先には、ヤツに仕える異端者一味が待ち受けていたのだ……。……そこで私は囚われ、槍も奪われてしまった。			槍が繋ぐ命							
……なんと、この場所を突き止めたのは、飛槍「ペレグリン」の目撃証言がきっかけだったのか？ああ、またしても私の命は、あの槍に助けられたのだな……。			……なんと、この場所を突き止めたのは、飛槍「ペレグリン」の目撃証言がきっかけだったのか？ああ、またしても私の命は、あの槍に助けられたのだな……。			槍が繋ぐ命							
我が槍を振るう異端者こそ、私を捕らえた一味の頭領のようだ。			我が槍を振るう異端者こそ、私を捕らえた一味の頭領のようだ。			槍が繋ぐ命							
監視の者から聞き出した話によると、そやつは現在、別の異端者一味との会合のため、出払っているらしい。大規模な皇都襲撃を画策している恐れもある。			監視の者から聞き出した話によると、そやつは現在、別の異端者一味との会合のため、出払っているらしい。大規模な皇都襲撃を画策している恐れもある。			槍が繋ぐ命							
これらの事実を、私に代わって神殿騎士団に報告し、異端者の動向に関する、さらなる警戒を呼びかけてくれないか？			これらの事実を、私に代わって神殿騎士団に報告し、異端者の動向に関する、さらなる警戒を呼びかけてくれないか？			槍が繋ぐ命							
いいや、私から伝えることはできない。成さねばならぬことが残っているゆえに……私は……竜騎士団には戻れぬのだ……！			いいや、私から伝えることはできない。成さねばならぬことが残っているゆえに……私は……竜騎士団には戻れぬのだ……！			槍が繋ぐ命							
私が伝えた情報は、打ち倒した異端者が、死に際に白状したことにし、私は死んだと報告してくれ……。恩ある君に嘘をつかせることになり、申し訳なく思っている。			私が伝えた情報は、打ち倒した異端者が、死に際に白状したことにし、私は死んだと報告してくれ……。恩ある君に嘘をつかせることになり、申し訳なく思っている。			槍が繋ぐ命							
……だが、私が槍に誓った心は、いまだ折れてはいない！少しでも私を信じてくれるなら、どうか秘密を守ってほしい。父は心を痛めるだろうが……こうするしかないのだ……！			……だが、私が槍に誓った心は、いまだ折れてはいない！少しでも私を信じてくれるなら、どうか秘密を守ってほしい。父は心を痛めるだろうが……こうするしかないのだ……！			槍が繋ぐ命							
くっ……いや、なんでもない。ここにいたるまでに負ったケガのせいか、時折、胸が締め付けられるように痛むだけだ。			くっ……いや、なんでもない。ここにいたるまでに負ったケガのせいか、時折、胸が締め付けられるように痛むだけだ。			槍が繋ぐ命							
では、私は行く……。神殿騎士団本部の「アンドゥルー」卿に報告してくれ。「竜騎士団」と父を……よろしく頼む！			では、私は行く……。神殿騎士団本部の「アンドゥルー」卿に報告してくれ。「竜騎士団」と父を……よろしく頼む！			槍が繋ぐ命							
……なに、ウスティエヌが戦死していただと！？なんということだ……血竜の脅威が去っておらぬというのに、腕利きの竜騎士を失うことになろうとは……。			……なに、ウスティエヌが戦死していただと！？なんということだ……血竜の脅威が去っておらぬというのに、腕利きの竜騎士を失うことになろうとは……。			槍が繋ぐ命							
異端者の動きについても了解した。その対策については、我ら神殿騎士団に任せてほしい。			異端者の動きについても了解した。その対策については、我ら神殿騎士団に任せてほしい。			槍が繋ぐ命							
すまんが、養父「モントルガン」にも訃報を伝えてくれ。彼ならば、アドネール占星台のアルベリクの下にいるはずだ。苦しい役目を押し付けて申し訳ないが、よろしく頼む。			すまんが、養父「モントルガン」にも訃報を伝えてくれ。彼ならば、アドネール占星台のアルベリクの下にいるはずだ。苦しい役目を押し付けて申し訳ないが、よろしく頼む。			槍が繋ぐ命							
すまんが、養父「モントルガン」にも訃報を伝えてくれ。彼ならば、アドネール占星台のアルベリクの下にいるはずだ。苦しい役目を押し付けて申し訳ないが、よろしく頼む。			すまんが、養父「モントルガン」にも訃報を伝えてくれ。彼ならば、アドネール占星台のアルベリクの下にいるはずだ。苦しい役目を押し付けて申し訳ないが、よろしく頼む。			槍が繋ぐ命							
おお、Forenameさん。なにか、娘の情報は得られたのでしょうか……。			おお、Forenameさん。なにか、娘の情報は得られたのでしょうか……。			槍が繋ぐ命							
……ウスティエヌが死んだですって……そんな……。戦神「ハルオーネ」よ……なんと貴方は無慈悲なのか！老いぼれの命でよければ、いくらでも差し出すというのに……。			……ウスティエヌが死んだですって……そんな……。戦神「ハルオーネ」よ……なんと貴方は無慈悲なのか！老いぼれの命でよければ、いくらでも差し出すというのに……。			槍が繋ぐ命							
モントルガン、気を確かに……。熟練の竜騎士であるウスティエヌが、異端者の手にかかり、命を散らせるなど……俺も信じられん……。			モントルガン、気を確かに……。熟練の竜騎士であるウスティエヌが、異端者の手にかかり、命を散らせるなど……俺も信じられん……。			槍が繋ぐ命							
Forenameさん……。どんな些細な事でも結構です……！どうか……どうか、娘の最期の様子を聞かせてください！			Forenameさん……。どんな些細な事でも結構です……！どうか……どうか、娘の最期の様子を聞かせてください！			槍が繋ぐ命							
どうしますか？			どうしますか？			槍が繋ぐ命							
真実を明かす			真実を明かす			槍が繋ぐ命							
……			……			槍が繋ぐ命							
なぜ黙っているのですか！あ、あなたは、娘の最期に立ち会ったんですよね！？何か、話すことができぬ事情があるとでも！！			なぜ黙っているのですか！あ、あなたは、娘の最期に立ち会ったんですよね！？何か、話すことができぬ事情があるとでも！！			槍が繋ぐ命							
……おや、ずいぶんと動揺しておられますね…………。もしや……娘は死んでいないのでは……？			……おや、ずいぶんと動揺しておられますね…………。もしや……娘は死んでいないのでは……？			槍が繋ぐ命							
そうだとするなら……どんな事実であろうと、受け入れます。……ですから、どうか真実を教えてください！			そうだとするなら……どんな事実であろうと、受け入れます。……ですから、どうか真実を教えてください！			槍が繋ぐ命							
……な、なんと……娘が自らの意思で、「竜騎士団」への帰還を拒み、姿を消したと……！？			……な、なんと……娘が自らの意思で、「竜騎士団」への帰還を拒み、姿を消したと……！？			槍が繋ぐ命							
……真実を明かして下さって、ありがとうございます。どんな事情があるのかはわかりませんが、娘が生きているなら希望はある……。			……真実を明かして下さって、ありがとうございます。どんな事情があるのかはわかりませんが、娘が生きているなら希望はある……。			槍が繋ぐ命							
しかし、敵前逃亡とも受け取られ兼ねぬ、この行動……責任感の強い彼女にしては、実に奇妙に思える。よほどの事情があるのだろうが、いったい何故……？			しかし、敵前逃亡とも受け取られ兼ねぬ、この行動……責任感の強い彼女にしては、実に奇妙に思える。よほどの事情があるのだろうが、いったい何故……？			槍が繋ぐ命							
槍に誓った心が折れていないというのなら、私は娘を信じます。私は、ひそかに娘を探し、連れ戻す手立てを考えましょう。……それでは、私はこれで。			槍に誓った心が折れていないというのなら、私は娘を信じます。私は、ひそかに娘を探し、連れ戻す手立てを考えましょう。……それでは、私はこれで。			槍が繋ぐ命							
……気丈にふるまってはいるが、動揺は隠しきれていないな。一刻も早く、ウスティエヌを見つけねば、モントルガンが心労で倒れかねない……。			……気丈にふるまってはいるが、動揺は隠しきれていないな。一刻も早く、ウスティエヌを見つけねば、モントルガンが心労で倒れかねない……。			槍が繋ぐ命							
おそらくウスティエヌの目的は、血竜「グラウリー」の討伐……。……そして、奪われた「ペレグリン」の奪還だろう。			おそらくウスティエヌの目的は、血竜「グラウリー」の討伐……。……そして、奪われた「ペレグリン」の奪還だろう。			槍が繋ぐ命							
むろん、それだけならば、姿を消す理由にはならん。「竜騎士団」に戻ってからでも、充分に成せるはずだからな。しかし、ウスティエヌを追う手がかりにはなろう……。			むろん、それだけならば、姿を消す理由にはならん。「竜騎士団」に戻ってからでも、充分に成せるはずだからな。しかし、ウスティエヌを追う手がかりにはなろう……。			槍が繋ぐ命							
件の異端者一味の頭領については、私が追っておく。君は対決に備えて鍛錬を積み、槍に誓った正義の心を磨いておいてくれ……！			件の異端者一味の頭領については、私が追っておく。君は対決に備えて鍛錬を積み、槍に誓った正義の心を磨いておいてくれ……！			槍が繋ぐ命							
望海楼のオーン・カイは、冒険者に伝えたいことがあるようだ。			望海楼のオーン・カイは、冒険者に伝えたいことがあるようだ。			漆黒の巨竜							
オーン・カイによると、クガネでできた友だちが、すんごい情報を持っているという。友だちと会うため、クガネの楽座街に向かった「オーン・カイ」と話そう。			オーン・カイによると、クガネでできた友だちが、すんごい情報を持っているという。友だちと会うため、クガネの楽座街に向かった「オーン・カイ」と話そう。			漆黒の巨竜							
オーン・カイと話した。クガネでできた友だちことギョドウによると、アジムステップに「漆黒の巨竜」という存在がいるらしい。アジムステップの再会の市に向かい、「オーン・カイ」と話そう。			オーン・カイと話した。クガネでできた友だちことギョドウによると、アジムステップに「漆黒の巨竜」という存在がいるらしい。アジムステップの再会の市に向かい、「オーン・カイ」と話そう。			漆黒の巨竜							
オーン・カイと話した。手分けして、現地の部族から「漆黒の巨竜」の情報を集めることになった。再会の市の人々から情報を集めよう。			オーン・カイと話した。手分けして、現地の部族から「漆黒の巨竜」の情報を集めることになった。再会の市の人々から情報を集めよう。			漆黒の巨竜							
情報を集めたところ、「漆黒の巨竜」は北の山岳部をねぐらにしているようだ。再会の市の「オーン・カイ」に報告しよう。			情報を集めたところ、「漆黒の巨竜」は北の山岳部をねぐらにしているようだ。再会の市の「オーン・カイ」に報告しよう。			漆黒の巨竜							
オーン・カイに報告した。「漆黒の巨竜」を探すため、アジムステップのキオルエンに向かい、「オーン・カイ」と話そう。			オーン・カイに報告した。「漆黒の巨竜」を探すため、アジムステップのキオルエンに向かい、「オーン・カイ」と話そう。			漆黒の巨竜							
オーン・カイと話した。「漆黒の巨竜」は、探し続けていた番いの竜、ファウネムだった。だが、冒険者たちは理性を失っていたファウネムに襲われてしまう。冒険者は応戦し、ファウネムをひるませた。アジムステップのオーン・カイと話そう。			オーン・カイと話した。「漆黒の巨竜」は、探し続けていた番いの竜、ファウネムだった。だが、冒険者たちは理性を失っていたファウネムに襲われてしまう。冒険者は応戦し、ファウネムをひるませた。アジムステップのオーン・カイと話そう。			漆黒の巨竜							
オーン・カイは、冒険者とファウネムの戦いが、どちらかが倒れるまで続くと判断し、ひとまず撤退することにした。キオルエンの「オーン・カイ」と話そう。			オーン・カイは、冒険者とファウネムの戦いが、どちらかが倒れるまで続くと判断し、ひとまず撤退することにした。キオルエンの「オーン・カイ」と話そう。			漆黒の巨竜							
ようやく見つけたファウネムが、理性を失っていたことで、オーン・カイも動揺しているようだ。再会の市で「オーン・カイ」と話そう。			ようやく見つけたファウネムが、理性を失っていたことで、オーン・カイも動揺しているようだ。再会の市で「オーン・カイ」と話そう。			漆黒の巨竜							
オーン・カイと話した。冷静さを取り戻したオーン・カイは、ファウネムを元に戻すために、暴走の原因を探るつもりだという。暴走原因の特定を待とう。※竜騎士のレベルが70以上になると、再会の市のオーン・カイから次の竜騎士クエストを受注することができます。			オーン・カイと話した。冷静さを取り戻したオーン・カイは、ファウネムを元に戻すために、暴走の原因を探るつもりだという。暴走原因の特定を待とう。※竜騎士のレベルが70以上になると、再会の市のオーン・カイから次の竜騎士クエストを受注することができます。			漆黒の巨竜							
オーン・カイと話す			オーン・カイと話す			漆黒の巨竜							
再会の市のオーン・カイと話す			再会の市のオーン・カイと話す			漆黒の巨竜							
再会の市で情報を集める			再会の市で情報を集める			漆黒の巨竜							
オーン・カイに報告			オーン・カイに報告			漆黒の巨竜							
キオルエンのオーン・カイと話す			キオルエンのオーン・カイと話す			漆黒の巨竜							
オーン・カイと話す			オーン・カイと話す			漆黒の巨竜							
再会の市のオーン・カイと話す			再会の市のオーン・カイと話す			漆黒の巨竜							
Forename、元気にしてる？いやぁ、東方のヒトって、イシュガルドにいるヒトと違って、ドラゴン族に抵抗が少ないのがいいよねぇ。			Forename、元気にしてる？いやぁ、東方のヒトって、イシュガルドにいるヒトと違って、ドラゴン族に抵抗が少ないのがいいよねぇ。			漆黒の巨竜							
望海楼のご主人なんて、竜がいると縁起がいいって喜んで、ずっとここに棲んでてほしいなんて言ってるくらいさ。そんなわけで、何人も友だちができたよ。			望海楼のご主人なんて、竜がいると縁起がいいって喜んで、ずっとここに棲んでてほしいなんて言ってるくらいさ。そんなわけで、何人も友だちができたよ。			漆黒の巨竜							
…………ち、ちょっと睨まないでよ。ちゃんと竜の伝承についても、調べてたんだから！			…………ち、ちょっと睨まないでよ。ちゃんと竜の伝承についても、調べてたんだから！			漆黒の巨竜							
友だちのひとりが、すんごい情報を持ってるらしいから、これから会いに行くんだ！Forenameもいっしょに行こうよ！			友だちのひとりが、すんごい情報を持ってるらしいから、これから会いに行くんだ！Forenameもいっしょに行こうよ！			漆黒の巨竜							
ちょっと待ってて、友だちを呼ぶからさ。			ちょっと待ってて、友だちを呼ぶからさ。			漆黒の巨竜							
おーい、僕だよ！オーン・カイだよぉ～！			おーい、僕だよ！オーン・カイだよぉ～！			漆黒の巨竜							
お待たせしたっぺな。って、なんで姐御旦那がここに！？こ、今回は騙したりしないから、落ち着いてほしいっぺよ！！			お待たせしたっぺな。って、なんで姐御旦那がここに！？こ、今回は騙したりしないから、落ち着いてほしいっぺよ！！			漆黒の巨竜							
あれれ、Forenameって、ギョドウと知り合いだったの？			あれれ、Forenameって、ギョドウと知り合いだったの？			漆黒の巨竜							
お待たせしたっぺな。			お待たせしたっぺな。			漆黒の巨竜							
Forename、このヌメヌメしてるのが、僕の友だち、ギョドウだよ。			Forename、このヌメヌメしてるのが、僕の友だち、ギョドウだよ。			漆黒の巨竜							
……ツレがいるとは思わなかっぺけど、とにかく、竜の伝承について聞きに来たっぺな？			……ツレがいるとは思わなかっぺけど、とにかく、竜の伝承について聞きに来たっぺな？			漆黒の巨竜							
それなら、ひとつ思い当たることがあるっぺよ。オレらナマズオの故郷は、オサード小大陸を流れる大河……「無二江」ってところっぺな。			それなら、ひとつ思い当たることがあるっぺよ。オレらナマズオの故郷は、オサード小大陸を流れる大河……「無二江」ってところっぺな。			漆黒の巨竜							
その河を上流へ上流へと遡っていくと、アジムステップという大草原に行き着くっぺよ……。			その河を上流へ上流へと遡っていくと、アジムステップという大草原に行き着くっぺよ……。			漆黒の巨竜							
この大草原の北にある山々が、無二江の水源地になっているわけっぺども……その山には、恐ろしい「漆黒の巨竜」が眠ってるらしいっぺよ！			この大草原の北にある山々が、無二江の水源地になっているわけっぺども……その山には、恐ろしい「漆黒の巨竜」が眠ってるらしいっぺよ！			漆黒の巨竜							
し、し、漆黒の巨竜だって！？			し、し、漆黒の巨竜だって！？			漆黒の巨竜							
アジムステップには、大勢のヒトが集まる「再会の市」という場所があるらしいっぺよ。詳しいことは、そこで現地の部族から聞くといいっぺな。			アジムステップには、大勢のヒトが集まる「再会の市」という場所があるらしいっぺよ。詳しいことは、そこで現地の部族から聞くといいっぺな。			漆黒の巨竜							
邪竜の眷属には、黒い鱗の竜も多いし、なんだか、それっぽくなってきた気がするぞ！Forename、さっそく「再会の市」に行こう！			邪竜の眷属には、黒い鱗の竜も多いし、なんだか、それっぽくなってきた気がするぞ！Forename、さっそく「再会の市」に行こう！			漆黒の巨竜							
なんだか、いきなり取り囲まれたんだけど……とにかくこのヒトの子どもたちから話を聞いてみるよ。			なんだか、いきなり取り囲まれたんだけど……とにかくこのヒトの子どもたちから話を聞いてみるよ。			漆黒の巨竜							
Forenameは、市場にいる大人たちから、「漆黒の巨竜」について情報を集めてきて。終わったら、また声をかけてね。			Forenameは、市場にいる大人たちから、「漆黒の巨竜」について情報を集めてきて。終わったら、また声をかけてね。			漆黒の巨竜							
あぁ、もう触らないでって！			あぁ、もう触らないでって！			漆黒の巨竜							
…………。			…………。			漆黒の巨竜							
なんだ、家畜の取引はしないのか？そうでないなら、声をかけるな！			なんだ、家畜の取引はしないのか？そうでないなら、声をかけるな！			漆黒の巨竜							
さて、値段はっと……。			さて、値段はっと……。			漆黒の巨竜							
…………。			…………。			漆黒の巨竜							
どうやら、何も知らないようだ。			どうやら、何も知らないようだ。			漆黒の巨竜							
「漆黒の巨竜」の話が聞きたいだぁ？数十年から百年おきくらいに、目覚めては暴れ回るって話だな。語り部によれば、北の山岳部をねぐらにしているらしい。			「漆黒の巨竜」の話が聞きたいだぁ？数十年から百年おきくらいに、目覚めては暴れ回るって話だな。語り部によれば、北の山岳部をねぐらにしているらしい。			漆黒の巨竜							
伝説として語り継がれるほどの存在だから、狩ることができれば、一族の名誉となることだろう。我らオロニル族の戦士たちも、狙っているようだぞ。			伝説として語り継がれるほどの存在だから、狩ることができれば、一族の名誉となることだろう。我らオロニル族の戦士たちも、狙っているようだぞ。			漆黒の巨竜							
アンタも「漆黒の巨竜」の噂を聞いたのかい？なんでも、最近になって、また目撃者が出たそうじゃないか。かれこれ百年ぶりくらいかねぇ……。			アンタも「漆黒の巨竜」の噂を聞いたのかい？なんでも、最近になって、また目撃者が出たそうじゃないか。かれこれ百年ぶりくらいかねぇ……。			漆黒の巨竜							
もっともアタシは、巨竜なんて信じちゃいないけどね。大方、酔っ払ったオロニル族の男が、夢でも見たんだろうさ。			もっともアタシは、巨竜なんて信じちゃいないけどね。大方、酔っ払ったオロニル族の男が、夢でも見たんだろうさ。			漆黒の巨竜							
Forename……助けてよ。この子どもたち、ぜんぜん話を聞いてくれないんだ。そっちは、何か情報をつかめた？			Forename……助けてよ。この子どもたち、ぜんぜん話を聞いてくれないんだ。そっちは、何か情報をつかめた？			漆黒の巨竜							
フンフン、なーるほど……。北の山岳部に棲む、黒くて巨大な竜で、数十年から百年おきくらいに目覚めるのか……。			フンフン、なーるほど……。北の山岳部に棲む、黒くて巨大な竜で、数十年から百年おきくらいに目覚めるのか……。			漆黒の巨竜							
ますますドラゴン族っぽいね。しかも、最近になって目撃者が出たってことは、休眠期を抜けだして、活動期に入りはじめたのかもしれないよ。			ますますドラゴン族っぽいね。しかも、最近になって目撃者が出たってことは、休眠期を抜けだして、活動期に入りはじめたのかもしれないよ。			漆黒の巨竜							
よーし、それじゃあ、北西の山のふもとに行ってみよう！ほらほら、お子様たちは、親のところに帰りな！僕たち大人は忙しいんだから！			よーし、それじゃあ、北西の山のふもとに行ってみよう！ほらほら、お子様たちは、親のところに帰りな！僕たち大人は忙しいんだから！			漆黒の巨竜							
このあたりから、ファウネムさん探しを始めよう。Forename、準備はいい？			このあたりから、ファウネムさん探しを始めよう。Forename、準備はいい？			漆黒の巨竜							
さてと、ここから山の方に向かって探していくよ。…………んっ、何だかヒトの臭いが……。			さてと、ここから山の方に向かって探していくよ。…………んっ、何だかヒトの臭いが……。			漆黒の巨竜							
いやな予感がしてきたよ……。まさか、あの黒い鱗のヒトが「漆黒の巨竜」なわけないよね？			いやな予感がしてきたよ……。まさか、あの黒い鱗のヒトが「漆黒の巨竜」なわけないよね？			漆黒の巨竜							
はぁ、はぁ、はぁ……。お前たちも「漆黒の巨竜」狩りに挑むつもりか？			はぁ、はぁ、はぁ……。お前たちも「漆黒の巨竜」狩りに挑むつもりか？			漆黒の巨竜							
狩るだって？違うよ、僕たちは話をしに来たんだ！			狩るだって？違うよ、僕たちは話をしに来たんだ！			漆黒の巨竜							
むおっ……しゃべる竜だと！？いやいや、この小さい竜はともかくとして、あの化け物と話などできるものか！			むおっ……しゃべる竜だと！？いやいや、この小さい竜はともかくとして、あの化け物と話などできるものか！			漆黒の巨竜							
屈強なオロニル族の戦士を集めて、8人がかりで挑んだが、あっという間にやられてしまったのだぞ！屈辱ではあるが……ここは退いて、族長に報告せねば……。			屈強なオロニル族の戦士を集めて、8人がかりで挑んだが、あっという間にやられてしまったのだぞ！屈辱ではあるが……ここは退いて、族長に報告せねば……。			漆黒の巨竜							
あぁ、もう行っちゃった……。Forename、とにかく先に進もう。今度は本当に、ファウネムさんだと思うんだ！			あぁ、もう行っちゃった……。Forename、とにかく先に進もう。今度は本当に、ファウネムさんだと思うんだ！			漆黒の巨竜							
痛たたた……ファウネムさん！お願いだから、僕の話を聞いてよ！			痛たたた……ファウネムさん！お願いだから、僕の話を聞いてよ！			漆黒の巨竜							
ダ、ダメだ……怒り狂っていて、声が届いてないよ！			ダ、ダメだ……怒り狂っていて、声が届いてないよ！			漆黒の巨竜							
あんなに強いドラゴン族と渡り合えるのはスゴイけど……このままじゃ、ファウネムさんかForename、どちらかが倒れるまで戦いは終わらない！			あんなに強いドラゴン族と渡り合えるのはスゴイけど……このままじゃ、ファウネムさんかForename、どちらかが倒れるまで戦いは終わらない！			漆黒の巨竜							
Forename、今は退こう！どうすればいいのか考えないと……！			Forename、今は退こう！どうすればいいのか考えないと……！			漆黒の巨竜							
遠くまで旅をして、何度も空振りを続けて、ようやくファウネムさんと会えたのに……。どうして、こんなことになっちゃったんだ！			遠くまで旅をして、何度も空振りを続けて、ようやくファウネムさんと会えたのに……。どうして、こんなことになっちゃったんだ！			漆黒の巨竜							
ご、ごめんよ……ちょっと動揺しちゃって。僕、上空を飛んで頭を冷やしてくるから……「再会の市」で、また会おう。			ご、ごめんよ……ちょっと動揺しちゃって。僕、上空を飛んで頭を冷やしてくるから……「再会の市」で、また会おう。			漆黒の巨竜							
どうにか少しは冷静になれたよ。ファウネムさんのことだけど、なんであんな状態になったのか、そこがわからないと、対策が立てられないと思うんだ。			どうにか少しは冷静になれたよ。ファウネムさんのことだけど、なんであんな状態になったのか、そこがわからないと、対策が立てられないと思うんだ。			漆黒の巨竜							
まずはファウネムさんが暴走した原因を突き止めないと……。だから、僕に少しだけ時間をちょうだい！			まずはファウネムさんが暴走した原因を突き止めないと……。だから、僕に少しだけ時間をちょうだい！			漆黒の巨竜							
Forenameは、戦いの疲れを癒しておいて。僕は、ファウネムさんに父ちゃんの番いに戻ってほしいんだ。ぜったいに……ぜったいに諦めないぞ！			Forenameは、戦いの疲れを癒しておいて。僕は、ファウネムさんに父ちゃんの番いに戻ってほしいんだ。ぜったいに……ぜったいに諦めないぞ！			漆黒の巨竜							
再会の市のオーン・カイは、何やら落胆しているようだ。			再会の市のオーン・カイは、何やら落胆しているようだ。			紅の竜騎士							
オーン・カイと話した。どうやら、ケスティル族の商人たちが「竜狩りの達人」を雇ったらしい。ファウネムの討伐を防ぐため、アジムステップのキオルエンに向かい、「オーン・カイ」と話そう。			オーン・カイと話した。どうやら、ケスティル族の商人たちが「竜狩りの達人」を雇ったらしい。ファウネムの討伐を防ぐため、アジムステップのキオルエンに向かい、「オーン・カイ」と話そう。			紅の竜騎士							
オーン・カイと話した。雇われた「竜狩りの達人」とは、元蒼の竜騎士エスティニアンだった。エスティニアンと共闘し、ファウネムを弱らせることができた。アジムステップのオーン・カイと話そう。			オーン・カイと話した。雇われた「竜狩りの達人」とは、元蒼の竜騎士エスティニアンだった。エスティニアンと共闘し、ファウネムを弱らせることができた。アジムステップのオーン・カイと話そう。			紅の竜騎士							
エスティニアン、そして飛来したヴェズルフェルニルの協力により、冒険者たちはファウネムを正気に戻すことに成功した。キオルエンの「オーン・カイ」と話そう。			エスティニアン、そして飛来したヴェズルフェルニルの協力により、冒険者たちはファウネムを正気に戻すことに成功した。キオルエンの「オーン・カイ」と話そう。			紅の竜騎士							
