バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			背中を見て学べ							
呆れられた冒険者は、態度を改めることを誓って去っていった。レヴナンツトールの「スラフボーン」に報告しよう。			呆れられた冒険者は、態度を改めることを誓って去っていった。レヴナンツトールの「スラフボーン」に報告しよう。			憧れの英雄							
スラフボーンに報告した。冒険者の基本は、地道な鍛錬と、依頼を誠実にこなすことだと彼は言う。駆け出しの冒険者たちの見本となるため、今後も精力的に活動していこう。			スラフボーンに報告した。冒険者の基本は、地道な鍛錬と、依頼を誠実にこなすことだと彼は言う。駆け出しの冒険者たちの見本となるため、今後も精力的に活動していこう。			憧れの英雄							
*本クエストは調整されました。一度破棄し、石の家のミンフィリアから再受注してください			*本クエストは調整されました。一度破棄し、石の家のミンフィリアから再受注してください			憧れの英雄							
さて……。蛮神「ラムウ」の件が落ち着いたところで、あなたに見せたいものがあるの。			さて……。蛮神「ラムウ」の件が落ち着いたところで、あなたに見せたいものがあるの。			憧れの英雄							
この書状はね、三国から……リムサ・ロミンサ、ウルダハ、グリダニアから届いた、蛮神討伐に対する感謝状よ。			この書状はね、三国から……リムサ・ロミンサ、ウルダハ、グリダニアから届いた、蛮神討伐に対する感謝状よ。			憧れの英雄							
あなたはこれまでに、蛮神イフリート、タイタン、ガルーダ……そしてリヴァイアサンと、ラムウを討伐した。			あなたはこれまでに、蛮神イフリート、タイタン、ガルーダ……そしてリヴァイアサンと、ラムウを討伐した。			憧れの英雄							
……そう、エオルゼアで顕現が確認されている主要な蛮神を、軒並み倒したことになるのよ。			……そう、エオルゼアで顕現が確認されている主要な蛮神を、軒並み倒したことになるのよ。			憧れの英雄							
わたしは「暁」の盟主として書状を受け取ったけれど、ここに込められた感謝の気持ちは、あなたに贈られたものだと思っています。			わたしは「暁」の盟主として書状を受け取ったけれど、ここに込められた感謝の気持ちは、あなたに贈られたものだと思っています。			憧れの英雄							
そして、わたし自身も……これまで何度となく呼びかけに応え、戦ってくれたあなたに、心から感謝しているの。			そして、わたし自身も……これまで何度となく呼びかけに応え、戦ってくれたあなたに、心から感謝しているの。			憧れの英雄							
ありがとう、Forename。エオルゼアから、大きな脅威を退けることができたわ。			ありがとう、Forename。エオルゼアから、大きな脅威を退けることができたわ。			憧れの英雄							
……わかってる。これですべてが解決したわけじゃない。アシエンがこのまま引き下がるとは、考えていないわ。			……わかってる。これですべてが解決したわけじゃない。アシエンがこのまま引き下がるとは、考えていないわ。			憧れの英雄							
そうでなくても、各地で争いごとが絶えない……。蛮神が願いから生じるものである限り、それらを解決するまでは、蛮神問題も続いていくでしょう。			そうでなくても、各地で争いごとが絶えない……。蛮神が願いから生じるものである限り、それらを解決するまでは、蛮神問題も続いていくでしょう。			憧れの英雄							
でも……それでもね……。あなたが偉業を成し遂げて、みんなが感謝していることは、かけがえのない真実ではないかしら。			でも……それでもね……。あなたが偉業を成し遂げて、みんなが感謝していることは、かけがえのない真実ではないかしら。			憧れの英雄							
わたしたちは、確実に平和へと歩んでいる……。あなたと、あなたの出会ってきた仲間に支えられてね。			わたしたちは、確実に平和へと歩んでいる……。あなたと、あなたの出会ってきた仲間に支えられてね。			憧れの英雄							
たとえば、あなたが信頼の絆を結んだという蛮族たち……。蛮族と人との共存を願う者……。			たとえば、あなたが信頼の絆を結んだという蛮族たち……。蛮族と人との共存を願う者……。			憧れの英雄							
たとえば、ノラクシアや仮宿のシルフ族のように、蛮族と人との共存を願う者……。			たとえば、ノラクシアや仮宿のシルフ族のように、蛮族と人との共存を願う者……。			憧れの英雄							
アリゼーが、第七霊災の真相を暴くために、何か重大な調査をしていることも聞いているわ。			アリゼーが、第七霊災の真相を暴くために、何か重大な調査をしていることも聞いているわ。			憧れの英雄							
帝国の脅威に立ち向かおうとすれば、アラミゴやドマの人々も、力を貸してくれるでしょう。			帝国の脅威に立ち向かおうとすれば、アラミゴやドマの人々も、力を貸してくれるでしょう。			憧れの英雄							
そしてシドたちは、アルテマウェポンの過ちを繰り返さないよう、古代アラグ文明の遺産を研究しているという……。			そしてシドたちは、アルテマウェポンの過ちを繰り返さないよう、古代アラグ文明の遺産を研究しているという……。			憧れの英雄							
そのほかにも、かつて砂の家に集った多くの仲間が、それぞれの力で、未来を拓こうとしている……。			そのほかにも、かつて砂の家に集った多くの仲間が、それぞれの力で、未来を拓こうとしている……。			憧れの英雄							
もちろん、わたしたちも負けていられない。			もちろん、わたしたちも負けていられない。			憧れの英雄							
「暁の血盟」にしかできない、アシエン問題の解決……必ず、やりとげてみせましょう！			「暁の血盟」にしかできない、アシエン問題の解決……必ず、やりとげてみせましょう！			憧れの英雄							
(-？？？？-)素晴らしい意気込みだ。この分なら、私がしばらく席を空けても、なんら問題はなさそうだな。			(-？？？？-)素晴らしい意気込みだ。この分なら、私がしばらく席を空けても、なんら問題はなさそうだな。			憧れの英雄							
アルフィノ！ウルダハの方はもういいの？			アルフィノ！ウルダハの方はもういいの？			憧れの英雄							
多少の影響は残っているものの、暴動自体は、おおむね沈静化したよ。その件について、君に報告をしにきたんだ。			多少の影響は残っているものの、暴動自体は、おおむね沈静化したよ。その件について、君に報告をしにきたんだ。			憧れの英雄							
それとあわせて……例の「先行統一組織」の話をさせてもらいたい。			それとあわせて……例の「先行統一組織」の話をさせてもらいたい。			憧れの英雄							
ああそうだ、エルの……難民の少女の両親は、無事に見つかったよ。君にも「ありがとう」と伝えてほしいと言付かっている。			ああそうだ、エルの……難民の少女の両親は、無事に見つかったよ。君にも「ありがとう」と伝えてほしいと言付かっている。			憧れの英雄							
あら、アルフィノの口から、知らない女の子の名前が出るなんて珍しい！その報告も、聞かせてもらえるのかしら？			あら、アルフィノの口から、知らない女の子の名前が出るなんて珍しい！その報告も、聞かせてもらえるのかしら？			憧れの英雄							
Forename、しばらくレヴナンツトールを離れていたのだから、息抜きもかねて、街に出てみたら？			Forename、しばらくレヴナンツトールを離れていたのだから、息抜きもかねて、街に出てみたら？			憧れの英雄							
そういえば、「スラフボーン」さんが、あなたに話したいことがあると言っていたわよ。			そういえば、「スラフボーン」さんが、あなたに話したいことがあると言っていたわよ。			憧れの英雄							
おお、今をときめく敏腕冒険者のご帰還だな。今日は「暁」の任務はいいのか？			おお、今をときめく敏腕冒険者のご帰還だな。今日は「暁」の任務はいいのか？			憧れの英雄							
……なに、わざわざ俺の話を聞きに？それはありがたい。実は、ちょっとした相談があったんだ。			……なに、わざわざ俺の話を聞きに？それはありがたい。実は、ちょっとした相談があったんだ。			憧れの英雄							
最近、レヴナンツトールを訪れる冒険者の数が増えてな。街自体が有名になってきたこともあるが、「暁」の英雄に憧れてやってくる新参者も多いんだ。			最近、レヴナンツトールを訪れる冒険者の数が増えてな。街自体が有名になってきたこともあるが、「暁」の英雄に憧れてやってくる新参者も多いんだ。			憧れの英雄							
こいつらがまた未熟で、手を焼かせてくれる……。そこで、お前から、冒険者のなんたるかをビシッと指導してもらいたいと思っていたわけだ。			こいつらがまた未熟で、手を焼かせてくれる……。そこで、お前から、冒険者のなんたるかをビシッと指導してもらいたいと思っていたわけだ。			憧れの英雄							
……だが、こんなときに限って、一番の問題児がいない。ハパリット討伐に向かったはずだが……この遅さでは、また下手をこいているな……。			……だが、こんなときに限って、一番の問題児がいない。ハパリット討伐に向かったはずだが……この遅さでは、また下手をこいているな……。			憧れの英雄							
すまんが、加勢をしに「唄う裂谷」へ向かってくれないか？先輩らしいところを、実戦で見せてやってくれ。			すまんが、加勢をしに「唄う裂谷」へ向かってくれないか？先輩らしいところを、実戦で見せてやってくれ。			憧れの英雄							
すまんが、加勢をしに「唄う裂谷」へ向かってくれないか？先輩らしいところを、実戦で見せてやってくれ。			すまんが、加勢をしに「唄う裂谷」へ向かってくれないか？先輩らしいところを、実戦で見せてやってくれ。			憧れの英雄							
ふわぁぁん、誰か助けてぇ～！あんなのがでてくるなんて、聞いてないよぉ～！			ふわぁぁん、誰か助けてぇ～！あんなのがでてくるなんて、聞いてないよぉ～！			憧れの英雄							
ふわぁぁん、怖かったですぅ～！こんなに強いハパリットさんがでてくるなんて、酷いよぉ～！			ふわぁぁん、怖かったですぅ～！こんなに強いハパリットさんがでてくるなんて、酷いよぉ～！			憧れの英雄							
……って、あれれぇ？もしかして、あなた、Forenameさん……？			……って、あれれぇ？もしかして、あなた、Forenameさん……？			憧れの英雄							
すごいすごぉい！　やっぱり強いんですねぇ～！わたし、Forenameさんの噂を聞いてから、すっごい憧れてたんですよぉ～！			すごいすごぉい！　やっぱり強いんですねぇ～！わたし、Forenameさんの噂を聞いてから、すっごい憧れてたんですよぉ～！			憧れの英雄							
こんな恥ずかしい姿、見られたくなかったですぅ……。もうっ、使い魔ちゃんが、言うことを聞いてくれないのが悪いんですよぉ！			こんな恥ずかしい姿、見られたくなかったですぅ……。もうっ、使い魔ちゃんが、言うことを聞いてくれないのが悪いんですよぉ！			憧れの英雄							
こんな危険な依頼なのに、みんな手伝ってくれないしぃ～。わたしは何にも悪くないんですぅ！だから、わたしに「呆れ」ないでくださいね……？			こんな危険な依頼なのに、みんな手伝ってくれないしぃ～。わたしは何にも悪くないんですぅ！だから、わたしに「呆れ」ないでくださいね……？			憧れの英雄							
わたし、まだまだ未熟だけど……本当はもっと、がんばれる子なんですぅ～！だから、わたしに「呆れ」ないでくださいね……？			わたし、まだまだ未熟だけど……本当はもっと、がんばれる子なんですぅ～！だから、わたしに「呆れ」ないでくださいね……？			憧れの英雄							
わぁ～、なんですかそれぇ？Forenameさんって、おもしろ～い！			わぁ～、なんですかそれぇ？Forenameさんって、おもしろ～い！			憧れの英雄							
ふわぁぁん！　やだぁ～！Forenameさんに、呆れられたよぉ～！			ふわぁぁん！　やだぁ～！Forenameさんに、呆れられたよぉ～！			憧れの英雄							
ぐすん、ぐすん……すっごく傷つきました……。でもこれって、このままじゃダメってことですよね……？わたし、もっとがんばりますぅ～！			ぐすん、ぐすん……すっごく傷つきました……。でもこれって、このままじゃダメってことですよね……？わたし、もっとがんばりますぅ～！			憧れの英雄							
ああ、さきほど例の問題児が戻ってきたぞ。ずいぶんとしょぼくれた様子だったが、それだけ、お前の指導が効いたということだな。			ああ、さきほど例の問題児が戻ってきたぞ。ずいぶんとしょぼくれた様子だったが、それだけ、お前の指導が効いたということだな。			憧れの英雄							
うーむ、さすがだ。俺では、何を言っても「おヒゲすごいですね～」だからな……。話術の違いか、人気の違いか……。			うーむ、さすがだ。俺では、何を言っても「おヒゲすごいですね～」だからな……。話術の違いか、人気の違いか……。			憧れの英雄							
何はともあれ、問題児の彼女が努力をはじめれば、ほかの冒険者たちも、おのずと姿勢を正そうというもの。			何はともあれ、問題児の彼女が努力をはじめれば、ほかの冒険者たちも、おのずと姿勢を正そうというもの。			憧れの英雄							
冒険者の基本は、地道な鍛錬と、依頼を誠実にこなすことだ。そうして「英雄」と呼ばれるまでになったお前を、みんなに見習わせたいものだよ。			冒険者の基本は、地道な鍛錬と、依頼を誠実にこなすことだ。そうして「英雄」と呼ばれるまでになったお前を、みんなに見習わせたいものだよ。			憧れの英雄							
敵の気配を感じた！！			敵の気配を感じた！！			憧れの英雄							
パパリモは、蛮神「ラムウ」の神降ろしが行われた場所を突き止めたようだ。			パパリモは、蛮神「ラムウ」の神降ろしが行われた場所を突き止めたようだ。			裁きの雷							
*本クエストは調整されました。一度破棄し、シルフの仮宿の「双蛇党中牙士」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、シルフの仮宿の「双蛇党中牙士」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			裁きの雷							
蛮風エーテライトに近付くと、蛮神「ラムウ」が姿を現した。冒険者の力を試すという蛮神「ラムウ」。戦って、その力を見せつけよう。※コンテンツファインダーから攻略に参加できます。			蛮風エーテライトに近付くと、蛮神「ラムウ」が姿を現した。冒険者の力を試すという蛮神「ラムウ」。戦って、その力を見せつけよう。※コンテンツファインダーから攻略に参加できます。			裁きの雷							
蛮神「ラムウ」を討伐し、冒険者の力が認められた。戦いを観察していたウリエンジェも、何か得たものがあったようだ。東部森林に戻ろう。			蛮神「ラムウ」を討伐し、冒険者の力が認められた。戦いを観察していたウリエンジェも、何か得たものがあったようだ。東部森林に戻ろう。			裁きの雷							
東部森林に戻った。東部森林のシルフの仮宿に戻り、「双蛇党中牙士」に報告しよう。			東部森林に戻った。東部森林のシルフの仮宿に戻り、「双蛇党中牙士」に報告しよう。			裁きの雷							
双蛇党中牙士に、蛮神「ラムウ」の討伐を報告した。彼は冒険者の力が認められたことを大いに喜んだ。人とシルフ族の関係にも、新たな一歩が刻まれたことだろう。			双蛇党中牙士に、蛮神「ラムウ」の討伐を報告した。彼は冒険者の力が認められたことを大いに喜んだ。人とシルフ族の関係にも、新たな一歩が刻まれたことだろう。			裁きの雷							
*本クエストは調整されました。一度破棄し、シルフの仮宿の双蛇党中牙士から再受注してください			*本クエストは調整されました。一度破棄し、シルフの仮宿の双蛇党中牙士から再受注してください			裁きの雷							
本物？　本物ってどういうことだ？俺の偽者でもいたのか？……やれやれ、人気者は辛いな。			本物？　本物ってどういうことだ？俺の偽者でもいたのか？……やれやれ、人気者は辛いな。			裁きの雷							
サンクレッドがサンクレッドでよかったよねぇ。さて、そんなことより蛮神「ラムウ」を探そうよ！			サンクレッドがサンクレッドでよかったよねぇ。さて、そんなことより蛮神「ラムウ」を探そうよ！			裁きの雷							
ありがとう、ちょっとすっきりしたわ。……今の悪い子シルフの発言、決定打ね。			ありがとう、ちょっとすっきりしたわ。……今の悪い子シルフの発言、決定打ね。			裁きの雷							
大丈夫でふっち？お怪我はないでふっち？			大丈夫でふっち？お怪我はないでふっち？			裁きの雷							
悪い子シルフは、僕たちをここで足止めしようとした……。そして、この周辺のエーテルを測定したところ、南東の方角にエーテルの乱れを検知したんだ。			悪い子シルフは、僕たちをここで足止めしようとした……。そして、この周辺のエーテルを測定したところ、南東の方角にエーテルの乱れを検知したんだ。			裁きの雷							
なんだかんだでシルフ領のあちこちを連れまわされたけど、この規模の乱れは、ほかに見つからなかった。そこから導かれる結果はひとつ……。			なんだかんだでシルフ領のあちこちを連れまわされたけど、この規模の乱れは、ほかに見つからなかった。そこから導かれる結果はひとつ……。			裁きの雷							
蛮神「ラムウ」の神降ろしが行われたのは、ここから南東、シルフ族の「蛮風エーテライト」の周辺だ！			蛮神「ラムウ」の神降ろしが行われたのは、ここから南東、シルフ族の「蛮風エーテライト」の周辺だ！			裁きの雷							
地図に印をつけたから、近くまで行ってみよう。……残念だけど、マキシオとはここでお別れだ。蛮神「ラムウ」に近づけば、信者になる可能性が高いからね。			地図に印をつけたから、近くまで行ってみよう。……残念だけど、マキシオとはここでお別れだ。蛮神「ラムウ」に近づけば、信者になる可能性が高いからね。			裁きの雷							
……それじゃあ、行こう！蛮神「ラムウ」に、君の思いを伝えるんだ！			……それじゃあ、行こう！蛮神「ラムウ」に、君の思いを伝えるんだ！			裁きの雷							
ご帰還、お待ちしておりました！蛮神「ラムウ」との対話は、どうでしたか……？			ご帰還、お待ちしておりました！蛮神「ラムウ」との対話は、どうでしたか……？			裁きの雷							
なんと、決戦に臨まれたのですか！？ああ、ご無事で何よりです……！			なんと、決戦に臨まれたのですか！？ああ、ご無事で何よりです……！			裁きの雷							
蛮神「ラムウ」があなたの力を認めたとあれば、グリダニアにとっても、仮宿のシルフ族にとっても、これ以上ない吉報でしょう。			蛮神「ラムウ」があなたの力を認めたとあれば、グリダニアにとっても、仮宿のシルフ族にとっても、これ以上ない吉報でしょう。			裁きの雷							
急ぎ、カヌ・エ様にもお伝えしないと。Surname殿……大役、ご苦労様でした！			急ぎ、カヌ・エ様にもお伝えしないと。Surname殿……大役、ご苦労様でした！			裁きの雷							
レヴナンツトールのスラフボーンは、気にかけていることがあるようだ。			レヴナンツトールのスラフボーンは、気にかけていることがあるようだ。			タタル頑張ル							
*本クエストは調整されました。一度破棄し、石の家の「ミンフィリア」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、石の家の「ミンフィリア」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			タタル頑張ル							
タタルは「暁の血盟」が資金不足であると打ち明けた。彼女の採掘稼業の効率を上げるためには、副道具が必要らしい。リムサ・ロミンサの鍛冶師ギルドに向かい、ギルドマスターの「ブリサエル」に副道具のことを尋ねよう。			タタルは「暁の血盟」が資金不足であると打ち明けた。彼女の採掘稼業の効率を上げるためには、副道具が必要らしい。リムサ・ロミンサの鍛冶師ギルドに向かい、ギルドマスターの「ブリサエル」に副道具のことを尋ねよう。			タタル頑張ル							
ブリサエルによると、タタル宛の荷物は、すでに出荷済みらしい。リムサ・ロミンサの八分儀広場南にいる「荒々しい荷運び人」に、エモート「問い詰める」をしよう。			ブリサエルによると、タタル宛の荷物は、すでに出荷済みらしい。リムサ・ロミンサの八分儀広場南にいる「荒々しい荷運び人」に、エモート「問い詰める」をしよう。			タタル頑張ル							
問い詰められた荷運び人は、荷物を届け忘れていたことを思い出した。八分儀広場南にある「タタル宛ての荷物」を入手しよう。			問い詰められた荷運び人は、荷物を届け忘れていたことを思い出した。八分儀広場南にある「タタル宛ての荷物」を入手しよう。			タタル頑張ル							
タタル宛ての荷物を手に入れた。レヴナンツトールの石の家にいる「フ・ラミン」に、「タタル宛ての荷物」を渡そう。			タタル宛ての荷物を手に入れた。レヴナンツトールの石の家にいる「フ・ラミン」に、「タタル宛ての荷物」を渡そう。			タタル頑張ル							
フ・ラミンにタタル宛ての荷物を渡した。彼女は、モードゥナの地で採掘をするタタルを案じているようだ。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『タタル』を含む言葉を入力し、モードゥナのタングル湿林北東にある「指定地点」周辺でタタルを呼ぼう。			フ・ラミンにタタル宛ての荷物を渡した。彼女は、モードゥナの地で採掘をするタタルを案じているようだ。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『タタル』を含む言葉を入力し、モードゥナのタングル湿林北東にある「指定地点」周辺でタタルを呼ぼう。			タタル頑張ル							
タタルを呼んでみたところ、悲鳴が返ってきた。タングル湿林北東のタタル付近で「マロドラス・モルボル」を討伐しよう。			タタルを呼んでみたところ、悲鳴が返ってきた。タングル湿林北東のタタル付近で「マロドラス・モルボル」を討伐しよう。			タタル頑張ル							
マロドラス・モルボルを討伐した。タングル湿原北東の「タタル」と話そう。			マロドラス・モルボルを討伐した。タングル湿原北東の「タタル」と話そう。			タタル頑張ル							
タタルは、石の家へと一目散に逃げ帰っていった。石の家の「タタル」と話そう。			タタルは、石の家へと一目散に逃げ帰っていった。石の家の「タタル」と話そう。			タタル頑張ル							
タタルと話し、荷物を取ってきたことについて感謝された。ひとりで採掘に行くのは懲りたらしいタタルだが、石の家を「黄金の家」にするまで、金策の道を突き進むそうだ。			タタルと話し、荷物を取ってきたことについて感謝された。ひとりで採掘に行くのは懲りたらしいタタルだが、石の家を「黄金の家」にするまで、金策の道を突き進むそうだ。			タタル頑張ル							
*本クエストは調整されました。一度破棄し、石の家のミンフィリアから再受注してください			*本クエストは調整されました。一度破棄し、石の家のミンフィリアから再受注してください			タタル頑張ル							
冒険者が増えた……といえば、「暁」の門を叩く者も、かなり増えていると聞くぞ。			冒険者が増えた……といえば、「暁」の門を叩く者も、かなり増えていると聞くぞ。			タタル頑張ル							
先日、ここを通った「タタル」が、何やら難しい顔をしていてな。任務のないうちに、話を聞いてやったらどうだ？			先日、ここを通った「タタル」が、何やら難しい顔をしていてな。任務のないうちに、話を聞いてやったらどうだ？			タタル頑張ル							
先日、ここを通った「タタル」が、何やら難しい顔をしていてな。任務のないうちに、話を聞いてやったらどうだ？			先日、ここを通った「タタル」が、何やら難しい顔をしていてな。任務のないうちに、話を聞いてやったらどうだ？			タタル頑張ル							
えっ、私にご用事でっすか？スラフボーンさんが、私が困った様子だったと……？			えっ、私にご用事でっすか？スラフボーンさんが、私が困った様子だったと……？			タタル頑張ル							
……やれやれでっす。あなたには余計な心配をかけたくなかったのでっすが、バレてしまっては仕方ないのでっす。			……やれやれでっす。あなたには余計な心配をかけたくなかったのでっすが、バレてしまっては仕方ないのでっす。			タタル頑張ル							
Forenameさん……。覚悟して、私の秘密を見るのでっす！			Forenameさん……。覚悟して、私の秘密を見るのでっす！			タタル頑張ル							
フッフッフ……。どうでっす、見違えまっしたか？私、このたび採掘師の資格を取ったのでっす！			フッフッフ……。どうでっす、見違えまっしたか？私、このたび採掘師の資格を取ったのでっす！			タタル頑張ル							
ですが、趣味のためではありまっせん。これには、聞くも涙、語るも涙な理由があるのでっす……。			ですが、趣味のためではありまっせん。これには、聞くも涙、語るも涙な理由があるのでっす……。			タタル頑張ル							
石の家に引越してから、「暁の血盟」は、前よりも開かれた組織になりまっした。			石の家に引越してから、「暁の血盟」は、前よりも開かれた組織になりまっした。			タタル頑張ル							
帝国を退けたという評判もありまっすから、門戸を叩く人は多く、仲間は増えているのでっす。でも……でも……！			帝国を退けたという評判もありまっすから、門戸を叩く人は多く、仲間は増えているのでっす。でも……でも……！			タタル頑張ル							
先立つものが……！お金が！　ないの！　でっす！！			先立つものが……！お金が！　ないの！　でっす！！			タタル頑張ル							
「暁の血盟」は中立の組織……。そのため、外部の団体からは、大規模な金銭的支援を受けることができまっせん……。			「暁の血盟」は中立の組織……。そのため、外部の団体からは、大規模な金銭的支援を受けることができまっせん……。			タタル頑張ル							
三都市からの公的な援助や、アルフィノ様の家からの個人的な支援を受けていまっすが……さすがに、細かな経費までは頼れないのでっす。			三都市からの公的な援助や、アルフィノ様の家からの個人的な支援を受けていまっすが……さすがに、細かな経費までは頼れないのでっす。			タタル頑張ル							
それ以外の支援物資については、冒険者ギルドを介して、「レヴナンツトール開拓団」に渡してますっしね……。			それ以外の支援物資については、冒険者ギルドを介して、「レヴナンツトール開拓団」に渡してますっしね……。			タタル頑張ル							
私は「暁」の帳簿も守る、やり手の受付でっす。この危機をどうにか乗り切るべく、自分の力で、稼ぐことに決めたのでっす……！			私は「暁」の帳簿も守る、やり手の受付でっす。この危機をどうにか乗り切るべく、自分の力で、稼ぐことに決めたのでっす……！			タタル頑張ル							
そのための採掘師なのでっす！効率化をはかるため、装備だって自腹でそろえたのでっす！			そのための採掘師なのでっす！効率化をはかるため、装備だって自腹でそろえたのでっす！			タタル頑張ル							
……なのに、鍛冶師ギルドに注文した副道具だけが、いつまでも届かないのでっす……。へそくりはたいて注文したのに、あんまりでっす……。			……なのに、鍛冶師ギルドに注文した副道具だけが、いつまでも届かないのでっす……。へそくりはたいて注文したのに、あんまりでっす……。			タタル頑張ル							
Forenameさん、「暁」の存続のために、鍛冶師ギルドから、副道具を受け取ってきてほしいでっす！			Forenameさん、「暁」の存続のために、鍛冶師ギルドから、副道具を受け取ってきてほしいでっす！			タタル頑張ル							
あっ、テレポの……エーテライトの利用料金くらいなら、どうにかお支払いするでっす。			あっ、テレポの……エーテライトの利用料金くらいなら、どうにかお支払いするでっす。			タタル頑張ル							
受け取った荷物は、フ・ラミンさんに預けるでっす。私は、できるところから採掘をはじめてまっす。目指せ！　クラスター掘ってざっくざく、でっす！			受け取った荷物は、フ・ラミンさんに預けるでっす。私は、できるところから採掘をはじめてまっす。目指せ！　クラスター掘ってざっくざく、でっす！			タタル頑張ル							
鍛冶師ギルドから、副道具を受け取ってきてほしいでっす！受け取った荷物は、フ・ラミンさんに預けるでっす。私は、できるところから採掘をはじめてまっす。			鍛冶師ギルドから、副道具を受け取ってきてほしいでっす！受け取った荷物は、フ・ラミンさんに預けるでっす。私は、できるところから採掘をはじめてまっす。			タタル頑張ル							
おや、キミでしたか。こんにちは、今日はどういった用件で？自慢の一作でも、見せてもらえるのでしょうか。			おや、キミでしたか。こんにちは、今日はどういった用件で？自慢の一作でも、見せてもらえるのでしょうか。			タタル頑張ル							
おや、鍛冶師ギルドにご用ですか？入門でしたら、受付のランドウルフに……。			おや、鍛冶師ギルドにご用ですか？入門でしたら、受付のランドウルフに……。			タタル頑張ル							
……えっ、注文についての問い合わせですか？鍛冶師ギルドに頼んでいた品が届いていない？			……えっ、注文についての問い合わせですか？鍛冶師ギルドに頼んでいた品が届いていない？			タタル頑張ル							
それはおかしいですね……。「暁」のタタルさん宛の荷物なら、しばらく前に送りました。お花の意匠のモールなんて珍しかったから、覚えてますとも。			それはおかしいですね……。「暁」のタタルさん宛の荷物なら、しばらく前に送りました。お花の意匠のモールなんて珍しかったから、覚えてますとも。			タタル頑張ル							
もしや、荷運びの途中で何かあったのでしょうか？頼んだ荷運び人が戻ってきているのなら、八分儀広場南の空き地にいるはずです。			もしや、荷運びの途中で何かあったのでしょうか？頼んだ荷運び人が戻ってきているのなら、八分儀広場南の空き地にいるはずです。			タタル頑張ル							
今まで何の連絡もなかったあたり、一度きちんと問い詰めた方がいいかもしれません。うう……心配したら、急に胃が……。			今まで何の連絡もなかったあたり、一度きちんと問い詰めた方がいいかもしれません。うう……心配したら、急に胃が……。			タタル頑張ル							
荷運び人は、八分儀広場南の空き地にいるはずです。今まで何の連絡もなかったあたり、一度きちんと問い詰めた方がいいかもしれません。			荷運び人は、八分儀広場南の空き地にいるはずです。今まで何の連絡もなかったあたり、一度きちんと問い詰めた方がいいかもしれません。			タタル頑張ル							
アアン？　なんだテメー！俺は仕事中だ、気軽に声かけんじゃねぇ！			アアン？　なんだテメー！俺は仕事中だ、気軽に声かけんじゃねぇ！			タタル頑張ル							
アアン！？おちょくってんのか、テメー！			アアン！？おちょくってんのか、テメー！			タタル頑張ル							
アアッ！？　鍛冶師ギルドから頼まれた荷物だって！？知るか、おととい来やがれチクショー！			アアッ！？　鍛冶師ギルドから頼まれた荷物だって！？知るか、おととい来やがれチクショー！			タタル頑張ル							
……ウン？　待てよ？怪我をした同僚が、鍛冶師ギルドからの荷物を、代わりに運んでくれって言ってたような……？			……ウン？　待てよ？怪我をした同僚が、鍛冶師ギルドからの荷物を、代わりに運んでくれって言ってたような……？			タタル頑張ル							
……あッ……………………ヤベッ。			……あッ……………………ヤベッ。			タタル頑張ル							
わ、悪いのは俺じゃねぇしッ！届けなかったら取りに来るだろうって、思ってたしッ！？荷物ならそのへんに積んであんだろ、好きに持ってけ！			わ、悪いのは俺じゃねぇしッ！届けなかったら取りに来るだろうって、思ってたしッ！？荷物ならそのへんに積んであんだろ、好きに持ってけ！			タタル頑張ル							
鍛冶師ギルドからの荷物なら、そのへんに積んであんだろ！好きに持ってきゃいいだろうが、チクショー！			鍛冶師ギルドからの荷物なら、そのへんに積んであんだろ！好きに持ってきゃいいだろうが、チクショー！			タタル頑張ル							
あら、おかえりなさい。タタルさんから話は聞いているわよ。それで、彼女の荷物は、無事に見つかったかしら？			あら、おかえりなさい。タタルさんから話は聞いているわよ。それで、彼女の荷物は、無事に見つかったかしら？			タタル頑張ル							
……はい、確かに預かりました。タタルさんが今日の採掘から戻ってきたら、必ず渡しておくわね。			……はい、確かに預かりました。タタルさんが今日の採掘から戻ってきたら、必ず渡しておくわね。			タタル頑張ル							
