小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			追われた巡業一座							
だが、私の真の目的はイヴァリースではない……。祖先オーラン・デュライの汚名を雪ぐことこそが我が一族の使命！そのためには、勇者ラムザたちの実在を立証しなければならない！			だが、私の真の目的はイヴァリースではない……。祖先オーラン・デュライの汚名を雪ぐことこそが我が一族の使命！そのためには、勇者ラムザたちの実在を立証しなければならない！			ダルマスカのレジスタンス							
何と答える？			何と答える？			ダルマスカのレジスタンス							
それで調査の次の目的地は？			それで調査の次の目的地は？			ダルマスカのレジスタンス							
アルマが心配だが、本当に大丈夫？			アルマが心配だが、本当に大丈夫？			ダルマスカのレジスタンス							
うむ、それなんだが、ある程度のところまで絞り込んだのだが、決め手に欠けていてねぇ。モンブランくんらの手を借りて、更に推論中なんだよ。			うむ、それなんだが、ある程度のところまで絞り込んだのだが、決め手に欠けていてねぇ。モンブランくんらの手を借りて、更に推論中なんだよ。			ダルマスカのレジスタンス							
「流浪のモーグリ族」の好奇心を侮るなかれ……といったところでしょうか。			「流浪のモーグリ族」の好奇心を侮るなかれ……といったところでしょうか。			ダルマスカのレジスタンス							
……食欲もなく痩せる一方で。ただ、薬師によると肉体的な問題ではなく、精神的な問題ではないかと指摘を受けているんだ。			……食欲もなく痩せる一方で。ただ、薬師によると肉体的な問題ではなく、精神的な問題ではないかと指摘を受けているんだ。			ダルマスカのレジスタンス							
ご心配をおかけしてすみません。アルマはベッドで眠りに就きました。……話を戻しましょうか。			ご心配をおかけしてすみません。アルマはベッドで眠りに就きました。……話を戻しましょうか。			ダルマスカのレジスタンス							
モンブランとハーディのふたりは実に有能ですよ。我々の知らないダルマスカの歴史や生活習慣、地域情報など、ふたりのおかげでデュライ白書との照合が飛躍的に進みました。			モンブランとハーディのふたりは実に有能ですよ。我々の知らないダルマスカの歴史や生活習慣、地域情報など、ふたりのおかげでデュライ白書との照合が飛躍的に進みました。			ダルマスカのレジスタンス							
ようやくラムザもモグの真価を認めてくれたクポ～！モグはイヴァリース研究の第一人者クポ！！			ようやくラムザもモグの真価を認めてくれたクポ～！モグはイヴァリース研究の第一人者クポ！！			ダルマスカのレジスタンス							
まったく兄ちゃんは、そうやってすぐに調子に乗るクポ～。ジェノミスさんとラムザさんの知識あっての研究クポ。モグたちは少しでもお手伝いできればと思っているだけクポ！			まったく兄ちゃんは、そうやってすぐに調子に乗るクポ～。ジェノミスさんとラムザさんの知識あっての研究クポ。モグたちは少しでもお手伝いできればと思っているだけクポ！			ダルマスカのレジスタンス							
謙遜の必要はないよ、ハーディ。ボクはキミたちに対する偏見を捨てたんだ。キミたちの助けがあってこその研究成果だよ、ありがとう。			謙遜の必要はないよ、ハーディ。ボクはキミたちに対する偏見を捨てたんだ。キミたちの助けがあってこその研究成果だよ、ありがとう。			ダルマスカのレジスタンス							
……気味が悪いでしょ、そう思いません？なんかすっかり性格が……そう、よくなっちゃって。			……気味が悪いでしょ、そう思いません？なんかすっかり性格が……そう、よくなっちゃって。			ダルマスカのレジスタンス							
もっとも、アルマちゃんに言わせると、今のラムザくんの方が、本当のお兄ちゃんだそうで……。そんなの信じられます？			もっとも、アルマちゃんに言わせると、今のラムザくんの方が、本当のお兄ちゃんだそうで……。そんなの信じられます？			ダルマスカのレジスタンス							
先ほども話したように、我々の最終目標は、歴史に消された勇者ラムザ・ベオルブ、その人の証明だ……。それが成されない限り、オーランは嘘つきのままだ。			先ほども話したように、我々の最終目標は、歴史に消された勇者ラムザ・ベオルブ、その人の証明だ……。それが成されない限り、オーランは嘘つきのままだ。			ダルマスカのレジスタンス							
たとえイヴァリースがおとぎ話などではなく、実在した歴史上の王国であることを証明したとしても……その点についてデュライ白書が「真実」だとしても意味がない。			たとえイヴァリースがおとぎ話などではなく、実在した歴史上の王国であることを証明したとしても……その点についてデュライ白書が「真実」だとしても意味がない。			ダルマスカのレジスタンス							
なので我々は、勇者ラムザとその一行の足取りを追った。獅子戦争と呼ばれる国王の後継者をめぐる戦争……その戦乱の最中、彼らは「聖石がもたらす災い」と闘っていた。			なので我々は、勇者ラムザとその一行の足取りを追った。獅子戦争と呼ばれる国王の後継者をめぐる戦争……その戦乱の最中、彼らは「聖石がもたらす災い」と闘っていた。			ダルマスカのレジスタンス							
そうですッ！ルザリアやゴーグで目撃したルカヴィと呼ばれる異形の者、あれこそが「聖石がもたらす災い」ッ！！			そうですッ！ルザリアやゴーグで目撃したルカヴィと呼ばれる異形の者、あれこそが「聖石がもたらす災い」ッ！！			ダルマスカのレジスタンス							
「切なる願い」によってルカヴィと化した者たちがもたらす悲劇！勇者ラムザは獅子戦争の影で、邪な想いにその身を託した彼らを、そう、あの「聖石」を排除しようとしていたのですッ！！			「切なる願い」によってルカヴィと化した者たちがもたらす悲劇！勇者ラムザは獅子戦争の影で、邪な想いにその身を託した彼らを、そう、あの「聖石」を排除しようとしていたのですッ！！			ダルマスカのレジスタンス							
だが、それは文字通り、命を懸けた戦いの日々だった……。仲間をひとり失い、またひとり……と。そんな中、彼らが目指した最終目的地は「オーボンヌ修道院」。			だが、それは文字通り、命を懸けた戦いの日々だった……。仲間をひとり失い、またひとり……と。そんな中、彼らが目指した最終目的地は「オーボンヌ修道院」。			ダルマスカのレジスタンス							
オーボンヌ修道院？たしか王女オヴェリアが生まれ育った場所でしたよね？ジェノミスさんの戯曲の冒頭シーンでも使われてたはず。			オーボンヌ修道院？たしか王女オヴェリアが生まれ育った場所でしたよね？ジェノミスさんの戯曲の冒頭シーンでも使われてたはず。			ダルマスカのレジスタンス							
伝説によると、獅子戦争を終結に導いたディリータは、イヴァリース王国の正統の後継者である王女と結婚。それにより、後々、イヴァリースの新たな王となった……。			伝説によると、獅子戦争を終結に導いたディリータは、イヴァリース王国の正統の後継者である王女と結婚。それにより、後々、イヴァリースの新たな王となった……。			ダルマスカのレジスタンス							
そのとおり！さすがはミュリラーくん、よく勉強してるね。			そのとおり！さすがはミュリラーくん、よく勉強してるね。			ダルマスカのレジスタンス							
何故、彼らはそこへ？どうして「始まりの地」であるオーボンヌ修道院が最終目的地に？			何故、彼らはそこへ？どうして「始まりの地」であるオーボンヌ修道院が最終目的地に？			ダルマスカのレジスタンス							
デュライ白書によると、そこに「聖石」を生み出す元凶たる者が封印されていたようです。			デュライ白書によると、そこに「聖石」を生み出す元凶たる者が封印されていたようです。			ダルマスカのレジスタンス							
やはり、「聖石」は何者かが、明確な意志を持って作り出していた……ということですね。それは、いったい何者ですか？			やはり、「聖石」は何者かが、明確な意志を持って作り出していた……ということですね。それは、いったい何者ですか？			ダルマスカのレジスタンス							
その名は「聖天使アルテマ」……！			その名は「聖天使アルテマ」……！			ダルマスカのレジスタンス							
天使？？天使たる者がそんな危険なクリスタルを？？			天使？？天使たる者がそんな危険なクリスタルを？？			ダルマスカのレジスタンス							
実際に天使なのかどうかは不明だ。ただ、そう呼び、信奉していた者たちもいたようだが、一方では「血塗られた殺戮の天使」とも呼ばれていたようだ……。			実際に天使なのかどうかは不明だ。ただ、そう呼び、信奉していた者たちもいたようだが、一方では「血塗られた殺戮の天使」とも呼ばれていたようだ……。			ダルマスカのレジスタンス							
興味深いのはその天使が、強力な破壊魔法「アルテマ」を行使していたようだ。「アルテマ」といえば、たしかエオルゼアでの戦闘で……。			興味深いのはその天使が、強力な破壊魔法「アルテマ」を行使していたようだ。「アルテマ」といえば、たしかエオルゼアでの戦闘で……。			ダルマスカのレジスタンス							
魔導城プラエトリウムで貴女貴方が目撃した古代魔法「アルテマ」……それらは古代アラグ帝国が研究の末、アレンジしたものでしょう。			魔導城プラエトリウムで貴女貴方が目撃した古代魔法「アルテマ」……それらは古代アラグ帝国が研究の末、アレンジしたものでしょう。			ダルマスカのレジスタンス							
どういうこと？			どういうこと？			ダルマスカのレジスタンス							
古代魔法「アルテマ」については、シャーレアンでも研究が進められていて耳にしたことがあります。あれは既存の魔法学の範疇に収まらない別次元の魔法だと。			古代魔法「アルテマ」については、シャーレアンでも研究が進められていて耳にしたことがあります。あれは既存の魔法学の範疇に収まらない別次元の魔法だと。			ダルマスカのレジスタンス							
古代アラグ帝国に「アルテマ」をもたらしたのは、その「聖天使アルテマ」なる者ではないでしょうか？古代アラグ帝国はなんらかの手段でその魔法を会得した……。			古代アラグ帝国に「アルテマ」をもたらしたのは、その「聖天使アルテマ」なる者ではないでしょうか？古代アラグ帝国はなんらかの手段でその魔法を会得した……。			ダルマスカのレジスタンス							
「聖天使アルテマ」っていったい……？			「聖天使アルテマ」っていったい……？			ダルマスカのレジスタンス							
ひょっとしたらオメガのように別次元、別宇宙から、このハイデリンへやってきた未知の生命体かもしれんな。			ひょっとしたらオメガのように別次元、別宇宙から、このハイデリンへやってきた未知の生命体かもしれんな。			ダルマスカのレジスタンス							
おお、友よ、どうしてここに？			おお、友よ、どうしてここに？			ダルマスカのレジスタンス							
ミコトに頼まれていたモノを届けに寄ったのさ。			ミコトに頼まれていたモノを届けに寄ったのさ。			ダルマスカのレジスタンス							
シドさん、わざわざありがとうございます！			シドさん、わざわざありがとうございます！			ダルマスカのレジスタンス							
いいんだ。……例の件、オレも気になるしな。			いいんだ。……例の件、オレも気になるしな。			ダルマスカのレジスタンス							
で、その「オーボンヌ修道院」はどこにあるんです？			で、その「オーボンヌ修道院」はどこにあるんです？			ダルマスカのレジスタンス							
そこがまだわからないのだ……。			そこがまだわからないのだ……。			ダルマスカのレジスタンス							
え～～ッ！　そんな～～ぁ！！			え～～ッ！　そんな～～ぁ！！			ダルマスカのレジスタンス							
デュライ白書によると、ゼイレキレ大河の中程に滝があり、そこにオーボンヌ修道院があったと記されていました。ですが、現在のダルマスカにその地名はありません。			デュライ白書によると、ゼイレキレ大河の中程に滝があり、そこにオーボンヌ修道院があったと記されていました。ですが、現在のダルマスカにその地名はありません。			ダルマスカのレジスタンス							
前回同様、デュライ白書と照会したところ、ゴルモア大密林と呼ばれるジャングルを流れる大河が、そのゼイレキレ大河であることまでは突き止めました。			前回同様、デュライ白書と照会したところ、ゴルモア大密林と呼ばれるジャングルを流れる大河が、そのゼイレキレ大河であることまでは突き止めました。			ダルマスカのレジスタンス							
これもすべてモンブランとハーディ兄弟の協力があってこそ。彼ら流浪のモーグリ族が持つ知識には大いに助けられています。			これもすべてモンブランとハーディ兄弟の協力があってこそ。彼ら流浪のモーグリ族が持つ知識には大いに助けられています。			ダルマスカのレジスタンス							
そこまで判明しているなら、肝心のオーボンヌ修道院の場所もわかりそうな気がするけど？			そこまで判明しているなら、肝心のオーボンヌ修道院の場所もわかりそうな気がするけど？			ダルマスカのレジスタンス							
それが…………。			それが…………。			ダルマスカのレジスタンス							
あのジャングルはヴィエラ族の縄張りなんだクポ。何人たりとも入ることを許さないんだクポ。モグたちですらすぐに察知されてしまうクポ～～！			あのジャングルはヴィエラ族の縄張りなんだクポ。何人たりとも入ることを許さないんだクポ。モグたちですらすぐに察知されてしまうクポ～～！			ダルマスカのレジスタンス							
ゴルモア大密林には古代遺跡が……おそらくイヴァリース時代と考えられる遺跡がたくさんあるクポ。当てずっぽうで探すわけにはいかないクポ～！			ゴルモア大密林には古代遺跡が……おそらくイヴァリース時代と考えられる遺跡がたくさんあるクポ。当てずっぽうで探すわけにはいかないクポ～！			ダルマスカのレジスタンス							
決め手に欠けているというのは、そーゆーことなのね……。			決め手に欠けているというのは、そーゆーことなのね……。			ダルマスカのレジスタンス							
厳しい一族の掟を捨て、我々と同じような暮らしを営むヴィエラ族もいるんだが、如何せんダルマスカはああいった状況だからな……。			厳しい一族の掟を捨て、我々と同じような暮らしを営むヴィエラ族もいるんだが、如何せんダルマスカはああいった状況だからな……。			ダルマスカのレジスタンス							
もう少し時間をください。手がかりを見つけて候補を絞り込みますので……。			もう少し時間をください。手がかりを見つけて候補を絞り込みますので……。			ダルマスカのレジスタンス							
ランディングにバンガがいたぞ……たぶん、話に聞いてた元ダルマスカ王国の銃士……じゃないかな？			ランディングにバンガがいたぞ……たぶん、話に聞いてた元ダルマスカ王国の銃士……じゃないかな？			ダルマスカのレジスタンス							
お前に用事があるらしい。劇場艇へ来ればよいのにと声を掛けたが、断られちまったよ。			お前に用事があるらしい。劇場艇へ来ればよいのにと声を掛けたが、断られちまったよ。			ダルマスカのレジスタンス							
頼まれていたモノだ。君の設計どおりに作らせてみたが……。			頼まれていたモノだ。君の設計どおりに作らせてみたが……。			ダルマスカのレジスタンス							
ありがとうございます。シドさんたちの腕ならきっと大丈夫。うまくいかなかったら、それは私の設計が原因でしょうね。			ありがとうございます。シドさんたちの腕ならきっと大丈夫。うまくいかなかったら、それは私の設計が原因でしょうね。			ダルマスカのレジスタンス							
じゃ、あとは任せた。何か問題が起きたら遠慮なく言ってくれ。また、あとで寄るよ、じゃあな。			じゃ、あとは任せた。何か問題が起きたら遠慮なく言ってくれ。また、あとで寄るよ、じゃあな。			ダルマスカのレジスタンス							
聞いて欲しいクポ！リドルアナでの冒険以来、ラムザとはマブダチになったクポ！ラムザはすっかりいい奴になったクポ！			聞いて欲しいクポ！リドルアナでの冒険以来、ラムザとはマブダチになったクポ！ラムザはすっかりいい奴になったクポ！			ダルマスカのレジスタンス							
シドさんに調達していただいたものですか？その前に……貴女貴方にお伝えしておきたいことがございます。アルマさんの容態についてです。			シドさんに調達していただいたものですか？その前に……貴女貴方にお伝えしておきたいことがございます。アルマさんの容態についてです。			ダルマスカのレジスタンス							
私の推測になりますが、アルマさんが体調を崩しているのは、何かの病気ではなく聖石オティスの影響だと考えられます。			私の推測になりますが、アルマさんが体調を崩しているのは、何かの病気ではなく聖石オティスの影響だと考えられます。			ダルマスカのレジスタンス							
ジェノミスさんがラバナスタへ向かう以前、時折、聖石オティスと会話していたとアルマさんから聞きましたが、おそらく、オティスによるアルマさんの幻視だと考えられます。			ジェノミスさんがラバナスタへ向かう以前、時折、聖石オティスと会話していたとアルマさんから聞きましたが、おそらく、オティスによるアルマさんの幻視だと考えられます。			ダルマスカのレジスタンス							
オティスの持つNRレイデール波長が……あっ！えっと……オティスが好むエーテルといえばおわかりになります？その波長がジェノミスさんとはマッチしなかったんです。			オティスの持つNRレイデール波長が……あっ！えっと……オティスが好むエーテルといえばおわかりになります？その波長がジェノミスさんとはマッチしなかったんです。			ダルマスカのレジスタンス							
ジェノミスさんたちがイヴァリースに執着しているのは、奥様の形見のネックレス……聖石ヴァルゴの影響が強いかと。オティスの求める波長は、むしろアルマさんが近いのです……！			ジェノミスさんたちがイヴァリースに執着しているのは、奥様の形見のネックレス……聖石ヴァルゴの影響が強いかと。オティスの求める波長は、むしろアルマさんが近いのです……！			ダルマスカのレジスタンス							
聖石オティスはアルマさんのエーテルを取り込もうとしています。彼女の胸の内に秘められた「切なる願い」……それが何かはわかりませんが、聖石が求めるものなのでしょう。			聖石オティスはアルマさんのエーテルを取り込もうとしています。彼女の胸の内に秘められた「切なる願い」……それが何かはわかりませんが、聖石が求めるものなのでしょう。			ダルマスカのレジスタンス							
今まで聖石オティスの力が発現しなかったのは、その「切なる願い」がバッガモナンさんほど強くないのと、ネックレスの聖石が干渉しているからだと推測されます。			今まで聖石オティスの力が発現しなかったのは、その「切なる願い」がバッガモナンさんほど強くないのと、ネックレスの聖石が干渉しているからだと推測されます。			ダルマスカのレジスタンス							
なお、アルマさんにはすべて説明してありますが、ジェノミスさんたちには話さないようにと口止めされました。……私は聖石オティスを早く処分するべきだと考えますが。			なお、アルマさんにはすべて説明してありますが、ジェノミスさんたちには話さないようにと口止めされました。……私は聖石オティスを早く処分するべきだと考えますが。			ダルマスカのレジスタンス							
この装置は、万が一のための保険……といったところでしょうか。ネックレスの聖石がふたつあるので、そのひとつを利用して、オティスに対する干渉を一時的に強化しようという装置です。			この装置は、万が一のための保険……といったところでしょうか。ネックレスの聖石がふたつあるので、そのひとつを利用して、オティスに対する干渉を一時的に強化しようという装置です。			ダルマスカのレジスタンス							
もちろん、完成しているわけではありません。これからネックレスを使って、色々と実験しないと……。			もちろん、完成しているわけではありません。これからネックレスを使って、色々と実験しないと……。			ダルマスカのレジスタンス							
ブワジさんたち？　……が来てるって聞こえたクポ～！ひょっとしたらオーボンヌ修道院のことを知っているかもクポ？早くランディングへ行くクポ～！			ブワジさんたち？　……が来てるって聞こえたクポ～！ひょっとしたらオーボンヌ修道院のことを知っているかもクポ？早くランディングへ行くクポ～！			ダルマスカのレジスタンス							
空賊のブワジさんなら、オーボンヌ修道院のことを知っているかもクポ！			空賊のブワジさんなら、オーボンヌ修道院のことを知っているかもクポ！			ダルマスカのレジスタンス							
すまンな、呼び出しちまって……って、なんでモンブランが一緒なンだ？			すまンな、呼び出しちまって……って、なんでモンブランが一緒なンだ？			ダルマスカのレジスタンス							
なんでって、なんでクポ？？モグを邪険に扱ったら駄目クポ～～ッ！			なんでって、なんでクポ？？モグを邪険に扱ったら駄目クポ～～ッ！			ダルマスカのレジスタンス							
チッ……わかったわかった！なんか、オレに用事でもあるノカ？			チッ……わかったわかった！なんか、オレに用事でもあるノカ？			ダルマスカのレジスタンス							
ゴルモア大密林を知っているクポ？空賊をやっていたなら、あの辺りへも行ったことあるはずクポ！オーボンヌ修道院という遺跡を見たことないクポ？			ゴルモア大密林を知っているクポ？空賊をやっていたなら、あの辺りへも行ったことあるはずクポ！オーボンヌ修道院という遺跡を見たことないクポ？			ダルマスカのレジスタンス							
ゴルモア大密林？なんだってそんなところに？あのジャングルは知ってのとおりヴィエラ族の縄張り……。			ゴルモア大密林？なんだってそんなところに？あのジャングルは知ってのとおりヴィエラ族の縄張り……。			ダルマスカのレジスタンス							
ジェノミスさんたちの次の目的地なんだクポ！知っていたら教えて欲しいクポ！！			ジェノミスさんたちの次の目的地なんだクポ！知っていたら教えて欲しいクポ！！			ダルマスカのレジスタンス							
ナァるほど……そういうことか……。だっタラ…………。			ナァるほど……そういうことか……。だっタラ…………。			ダルマスカのレジスタンス							
実は、アンタに用事ってのは、ある人に会って欲しいんだ。場合によっては、そっちの探しモンについても解決するかもヨ！詳しくは移動中に説明しヨウ！			実は、アンタに用事ってのは、ある人に会って欲しいんだ。場合によっては、そっちの探しモンについても解決するかもヨ！詳しくは移動中に説明しヨウ！			ダルマスカのレジスタンス							
さっすがブワジさんだクポ！頼りになるクポ～～！			さっすがブワジさんだクポ！頼りになるクポ～～！			ダルマスカのレジスタンス							
サァ、準備ができたら言ってくれ。オレたちの飛空艇でラバナスタまで案内しヨウ。もちろん安全は保証するゼ！			サァ、準備ができたら言ってくれ。オレたちの飛空艇でラバナスタまで案内しヨウ。もちろん安全は保証するゼ！			ダルマスカのレジスタンス							
「ラバナスタ」へ移動しますか？			「ラバナスタ」へ移動しますか？			ダルマスカのレジスタンス							
ブワジさんたちは空賊に戻ったクポ……？			ブワジさんたちは空賊に戻ったクポ……？			ダルマスカのレジスタンス							
(-ブワジ-)いや……そうじゃネェ。それも考えたが、兄貴の……バッガモナン兄貴の最期を聞いてナ、残ったオレたち3人はもう一度ダルマスカの銃士に戻ったのサ。			(-ブワジ-)いや……そうじゃネェ。それも考えたが、兄貴の……バッガモナン兄貴の最期を聞いてナ、残ったオレたち3人はもう一度ダルマスカの銃士に戻ったのサ。			ダルマスカのレジスタンス							
もう一度……ダルマスカの銃士……？			もう一度……ダルマスカの銃士……？			ダルマスカのレジスタンス							
(-リノ-)ダルマスカのレジスタンスに参加したのサ。			(-リノ-)ダルマスカのレジスタンスに参加したのサ。			ダルマスカのレジスタンス							
(-ギジュー-)ドマの解放に触発された解放軍が蜂起したものの、第IV軍団の手にかかりラバナスタ解放に失敗したのは、アンタも知ってるヨナ？			(-ギジュー-)ドマの解放に触発された解放軍が蜂起したものの、第IV軍団の手にかかりラバナスタ解放に失敗したのは、アンタも知ってるヨナ？			ダルマスカのレジスタンス							
(-ギジュー-)解放軍の幹部は悉く捉まり、処刑された。だが、解放軍は死ンじゃアいなかったンだ。			(-ギジュー-)解放軍の幹部は悉く捉まり、処刑された。だが、解放軍は死ンじゃアいなかったンだ。			ダルマスカのレジスタンス							
(-ブワジ-)解放軍といっても、もとは、いくつかのレジスタンスグループの寄せ集め。粛正されたものの、全員を殺すのは無理ってことダ。			(-ブワジ-)解放軍といっても、もとは、いくつかのレジスタンスグループの寄せ集め。粛正されたものの、全員を殺すのは無理ってことダ。			ダルマスカのレジスタンス							
(-ブワジ-)オレたちは生き残ったレジスタンスグループのひとつ、「レンテの涙」に身を寄せたってワケサ。			(-ブワジ-)オレたちは生き残ったレジスタンスグループのひとつ、「レンテの涙」に身を寄せたってワケサ。			ダルマスカのレジスタンス							
(-ギジュー-)そしたらヨ～～、幹部のひとりがアンタに会いたいって言い出してヨ～～。			(-ギジュー-)そしたらヨ～～、幹部のひとりがアンタに会いたいって言い出してヨ～～。			ダルマスカのレジスタンス							
な、何の用件クポ……？モグはちょっと怖いクポ……！			な、何の用件クポ……？モグはちょっと怖いクポ……！			ダルマスカのレジスタンス							
(-ギジュー-)オメェじゃねーヨッ！！			(-ギジュー-)オメェじゃねーヨッ！！			ダルマスカのレジスタンス							
(-ブワジ-)マァ、聞くだけ聞いてくれないカ。力になれないと思ったら構わず断ってクレ。少なくともオレは……。			(-ブワジ-)マァ、聞くだけ聞いてくれないカ。力になれないと思ったら構わず断ってクレ。少なくともオレは……。			ダルマスカのレジスタンス							
………………？			………………？			ダルマスカのレジスタンス							
(-リノ-)サァ、ラバナスタが見えてきたヨ！			(-リノ-)サァ、ラバナスタが見えてきたヨ！			ダルマスカのレジスタンス							
(-ブワジ-)サァ、こっちだ……ちょっと歩くゾ。			(-ブワジ-)サァ、こっちだ……ちょっと歩くゾ。			ダルマスカのレジスタンス							
(-ブワジ-)姐さん、連れてきたゼ……。この人が、アラミゴ・ドマの解放者様だ……。			(-ブワジ-)姐さん、連れてきたゼ……。この人が、アラミゴ・ドマの解放者様だ……。			ダルマスカのレジスタンス							
(-姐さんと呼ばれた女-)……貴殿が噂の解放者か。			(-姐さんと呼ばれた女-)……貴殿が噂の解放者か。			ダルマスカのレジスタンス							
ヴィ、ヴィエラ……クポ！？			ヴィ、ヴィエラ……クポ！？			ダルマスカのレジスタンス							
我が名はフラン……！ダルマスカ解放のために戦うレジスタンス「レンテの涙」の幹部。			我が名はフラン……！ダルマスカ解放のために戦うレジスタンス「レンテの涙」の幹部。			ダルマスカのレジスタンス							
フフン……ヴィエラを見るのは初めてか、解放者よ？			フフン……ヴィエラを見るのは初めてか、解放者よ？			ダルマスカのレジスタンス							
解放者も同胞とは聞いていたが、その面構えからすると、氏族の掟から離れて久しいか……。			解放者も同胞とは聞いていたが、その面構えからすると、氏族の掟から離れて久しいか……。			ダルマスカのレジスタンス							
ヴィエラの大半は、その部族の掟を守って森で生活しているクポ。ただ、時々、その掟を捨てて、町で暮らす者たちもいるクポ。彼女もそうしたヴィエラのひとりに違いないクポ～～！			ヴィエラの大半は、その部族の掟を守って森で生活しているクポ。ただ、時々、その掟を捨てて、町で暮らす者たちもいるクポ。彼女もそうしたヴィエラのひとりに違いないクポ～～！			ダルマスカのレジスタンス							
……なるほど、オーボンヌ修道院か。			……なるほど、オーボンヌ修道院か。			ダルマスカのレジスタンス							
貴殿らがオーボンヌ修道院とやらの遺跡を探している、……というのは本当か？			貴殿らがオーボンヌ修道院とやらの遺跡を探している、……というのは本当か？			ダルマスカのレジスタンス							
ゴルモア大密林……彼の地は我がヴィエラの故郷にして聖地。何人たりとも踏み込むことの許されぬ地だ……。それを知った上で、行こうというのか？			ゴルモア大密林……彼の地は我がヴィエラの故郷にして聖地。何人たりとも踏み込むことの許されぬ地だ……。それを知った上で、行こうというのか？			ダルマスカのレジスタンス							
しかも、貴殿は我がダルマスカの敵、ガレアン人に協力する者だ。祖国を失った者にすれば、貴殿は侵略者の手先……。にもかかわらず、我らが聖地を蹂躙しようというのか？			しかも、貴殿は我がダルマスカの敵、ガレアン人に協力する者だ。祖国を失った者にすれば、貴殿は侵略者の手先……。にもかかわらず、我らが聖地を蹂躙しようというのか？			ダルマスカのレジスタンス							
何と答える？			何と答える？			ダルマスカのレジスタンス							
ジェノミスたちは亡命ガレアン人で敵ではない！			ジェノミスたちは亡命ガレアン人で敵ではない！			ダルマスカのレジスタンス							
敵はガレマール帝国であり、個々の人間たちではない！			敵はガレマール帝国であり、個々の人間たちではない！			ダルマスカのレジスタンス							
国を追われたとて奴らガレアン人は、我ら亡国の民にすれば怨嗟の対象。恨んでも恨んでも、それでも足りぬ輩ぞ！			国を追われたとて奴らガレアン人は、我ら亡国の民にすれば怨嗟の対象。恨んでも恨んでも、それでも足りぬ輩ぞ！			ダルマスカのレジスタンス							
国家と国民は異なると？その責任は民にまったくないと、そう言うのか？……はたして亡命ガレアン人は本当にそう考えているのかな？			国家と国民は異なると？その責任は民にまったくないと、そう言うのか？……はたして亡命ガレアン人は本当にそう考えているのかな？			ダルマスカのレジスタンス							
ま、待って欲しいクポ～～！ジェノミスさんたちはけっして悪い人たちじゃないクポ！戦争も嫌いだし、モグたちダルマスカ人の味方クポ～～！			ま、待って欲しいクポ～～！ジェノミスさんたちはけっして悪い人たちじゃないクポ！戦争も嫌いだし、モグたちダルマスカ人の味方クポ～～！			ダルマスカのレジスタンス							
たかがモーグリ族のおまえがダルマスカ人？ハッ、ダルマスカの誇りがその血に流れているとでも？			たかがモーグリ族のおまえがダルマスカ人？ハッ、ダルマスカの誇りがその血に流れているとでも？			ダルマスカのレジスタンス							
(-ブワジ-)あ、姐さん、そいつは言い過ぎですゼ……！			(-ブワジ-)あ、姐さん、そいつは言い過ぎですゼ……！			ダルマスカのレジスタンス							
……取引をしようではないか。			……取引をしようではないか。			ダルマスカのレジスタンス							
取引……クポ…………？？			取引……クポ…………？？			ダルマスカのレジスタンス							
そうだ、取引だ。			そうだ、取引だ。			ダルマスカのレジスタンス							
第一に、我々ダルマスカのレジスタンス「レンテの涙」は、エオルゼア同盟軍及び東方連合の軍事支援を得たい。……再び帝国と戦うためにな。			第一に、我々ダルマスカのレジスタンス「レンテの涙」は、エオルゼア同盟軍及び東方連合の軍事支援を得たい。……再び帝国と戦うためにな。			ダルマスカのレジスタンス							
第一に、我々ダルマスカのレジスタンス「レンテの涙」は、エオルゼア同盟軍及びドマの軍事支援を得たい。……再び帝国と戦うためにな。			第一に、我々ダルマスカのレジスタンス「レンテの涙」は、エオルゼア同盟軍及びドマの軍事支援を得たい。……再び帝国と戦うためにな。			ダルマスカのレジスタンス							
貴殿は「暁の血盟」の一員として各国とのパイプが太いと聞く。ならば、我が申し出を代表者たちに伝えて欲しい。			貴殿は「暁の血盟」の一員として各国とのパイプが太いと聞く。ならば、我が申し出を代表者たちに伝えて欲しい。			ダルマスカのレジスタンス							
第二に、帝国との開戦を前に、弱体化した組織を強化するため、資金援助を得たい。			第二に、帝国との開戦を前に、弱体化した組織を強化するため、資金援助を得たい。			ダルマスカのレジスタンス							
貴殿は東アルデナード商会とも協力体制を築いていると聞く。あの商会、裏では帝国と商売をし多額の利益を上げているとか。利益のために貴賤なし……ならば我らとも手を組めよう。			貴殿は東アルデナード商会とも協力体制を築いていると聞く。あの商会、裏では帝国と商売をし多額の利益を上げているとか。利益のために貴賤なし……ならば我らとも手を組めよう。			ダルマスカのレジスタンス							
このふたつの要求を呑むようであれば、ゴルモア大密林に眠る古代遺跡、オーボンヌ修道院とやらへ貴殿たちをこの私が案内しようぞ。			このふたつの要求を呑むようであれば、ゴルモア大密林に眠る古代遺跡、オーボンヌ修道院とやらへ貴殿たちをこの私が案内しようぞ。			ダルマスカのレジスタンス							
ジェノミスさんたちのことを許してくれるクポ……？			ジェノミスさんたちのことを許してくれるクポ……？			ダルマスカのレジスタンス							
