ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			アポサカリーの調達役							
……彼女彼と一緒に行くのは、ウヴロ、あなたですよ。			……彼女彼と一緒に行くのは、ウヴロ、あなたですよ。			息吹は尚も絶えずして							
私は店主として、あなたたちが吉報を持ち帰ってくるのを、ここで信じて待っています。			私は店主として、あなたたちが吉報を持ち帰ってくるのを、ここで信じて待っています。			息吹は尚も絶えずして							
ああ、必ず！			ああ、必ず！			息吹は尚も絶えずして							
それじゃあ、出発するとしよう。ヤクテル樹海の「マムーク」へ！			それじゃあ、出発するとしよう。ヤクテル樹海の「マムーク」へ！			息吹は尚も絶えずして							
頼りにしているのは本当ですが、「花弁」についての手がかりが得られなかったとしても、気にせずここへ帰ってきてください。			頼りにしているのは本当ですが、「花弁」についての手がかりが得られなかったとしても、気にせずここへ帰ってきてください。			息吹は尚も絶えずして							
私の憶測が根本的に間違っている可能性もありますし、当たっていたとしても、ヤクテル樹海から同じものが見つかるかどうか……。			私の憶測が根本的に間違っている可能性もありますし、当たっていたとしても、ヤクテル樹海から同じものが見つかるかどうか……。			息吹は尚も絶えずして							
無理に調査を続けて、怪我でもされてしまったら、それこそ悔やみきれません。だから……約束ですよ。			無理に調査を続けて、怪我でもされてしまったら、それこそ悔やみきれません。だから……約束ですよ。			息吹は尚も絶えずして							
ここがマムークだな。よし、「蒼碧の花弁」と似たものを見たことがないか、手あたり次第に聞いていこう。			ここがマムークだな。よし、「蒼碧の花弁」と似たものを見たことがないか、手あたり次第に聞いていこう。			息吹は尚も絶えずして							
片っ端から声をかけても警戒されるだけ？ふむ……そうか…………そうなのか……。			片っ端から声をかけても警戒されるだけ？ふむ……そうか…………そうなのか……。			息吹は尚も絶えずして							
ならば、俺はお前についていこう。誰に声をかけるかの判断は任せたぞ。			ならば、俺はお前についていこう。誰に声をかけるかの判断は任せたぞ。			息吹は尚も絶えずして							
何をする？			何をする？			息吹は尚も絶えずして							
話す			話す			息吹は尚も絶えずして							
同行状態を解除する			同行状態を解除する			息吹は尚も絶えずして							
キャンセル			キャンセル			息吹は尚も絶えずして							
「エーテライト」について話す			「エーテライト」について話す			息吹は尚も絶えずして							
「石像」について話す			「石像」について話す			息吹は尚も絶えずして							
「花弁」に似たものを見たことがないか、聞いて回ろう。この集落の事情に通じたお前がいてくれるのは、まさしく僥倖としか言いようがないな。			「花弁」に似たものを見たことがないか、聞いて回ろう。この集落の事情に通じたお前がいてくれるのは、まさしく僥倖としか言いようがないな。			息吹は尚も絶えずして							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			息吹は尚も絶えずして							
待機だな、了解だ。集落の入口あたりに戻っていよう。			待機だな、了解だ。集落の入口あたりに戻っていよう。			息吹は尚も絶えずして							
聞き込み再開だな。体力は有り余ってる、どこへなりとも行くぞ。			聞き込み再開だな。体力は有り余ってる、どこへなりとも行くぞ。			息吹は尚も絶えずして							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			息吹は尚も絶えずして							
ここは排他的な集落だったそうだが、エーテライトは設置されているんだな。			ここは排他的な集落だったそうだが、エーテライトは設置されているんだな。			息吹は尚も絶えずして							
やはりうちの里にも……設置の可否だけでも、一度調べてもらうか……？			やはりうちの里にも……設置の可否だけでも、一度調べてもらうか……？			息吹は尚も絶えずして							
いや、しかし、転送網は維持にも高い費用がかかると聞く。無理だ……なんだって里の外ではこんなにも金が要る……？			いや、しかし、転送網は維持にも高い費用がかかると聞く。無理だ……なんだって里の外ではこんなにも金が要る……？			息吹は尚も絶えずして							
不思議な形の石像があるな。察するに、マムージャ族の頭部を模したものか……？			不思議な形の石像があるな。察するに、マムージャ族の頭部を模したものか……？			息吹は尚も絶えずして							
石に特別な意味を見出すという点は、とても共感できる。ただ、これほど立派な樹木に囲まれていながら、あえて石で像を造っているのは、何故なんだろうな。			石に特別な意味を見出すという点は、とても共感できる。ただ、これほど立派な樹木に囲まれていながら、あえて石で像を造っているのは、何故なんだろうな。			息吹は尚も絶えずして							
ちょっと、いったい何の用だい！？			ちょっと、いったい何の用だい！？			息吹は尚も絶えずして							
聞き込みをするには、ウヴロもいた方がよさそうだ。彼を同行させてこよう。			聞き込みをするには、ウヴロもいた方がよさそうだ。彼を同行させてこよう。			息吹は尚も絶えずして							
ああ？　花だか石だかを探してる！？なんだい、それが何かの役に立つってのかい！？			ああ？　花だか石だかを探してる！？なんだい、それが何かの役に立つってのかい！？			息吹は尚も絶えずして							
そうじゃないなら知らないよ！生活はまだまだ厳しいんだ、余計なことに気を回してられるものかね！			そうじゃないなら知らないよ！生活はまだまだ厳しいんだ、余計なことに気を回してられるものかね！			息吹は尚も絶えずして							
しつこいね！アタシに難しいことを聞かないどくれ。……何も学ばせてもらえなかったんだから！			しつこいね！アタシに難しいことを聞かないどくれ。……何も学ばせてもらえなかったんだから！			息吹は尚も絶えずして							
うん……？どうかしたのかな？			うん……？どうかしたのかな？			息吹は尚も絶えずして							
ほうほう……ふむふむ……。ヤクテル樹海でも様々な鉱石が採れるが、加工もなしに花弁の形をしているというのは初耳だ。			ほうほう……ふむふむ……。ヤクテル樹海でも様々な鉱石が採れるが、加工もなしに花弁の形をしているというのは初耳だ。			息吹は尚も絶えずして							
結晶ができる際に、何らかの力が加わった……？あるいは、花弁そのものが硬化したという可能性もあるか。			結晶ができる際に、何らかの力が加わった……？あるいは、花弁そのものが硬化したという可能性もあるか。			息吹は尚も絶えずして							
いずれにせよ、このあたりでそういったものを見かけたことはないな。			いずれにせよ、このあたりでそういったものを見かけたことはないな。			息吹は尚も絶えずして							
ヤクテル樹海の下に眠る、セシュドロース・クレーターは、確認されている中では最大級の隕石衝突跡地だ。			ヤクテル樹海の下に眠る、セシュドロース・クレーターは、確認されている中では最大級の隕石衝突跡地だ。			息吹は尚も絶えずして							
その「花弁」が本当に隕石由来のものなのであれば、ここにも確実に類似品があるはずだがなぁ。			その「花弁」が本当に隕石由来のものなのであれば、ここにも確実に類似品があるはずだがなぁ。			息吹は尚も絶えずして							
ああ、あなたはバクージャジャ様が認めた……。			ああ、あなたはバクージャジャ様が認めた……。			息吹は尚も絶えずして							
ああ、あなたはバクージャジャ様が認めた……私に何かご用かしら？			ああ、あなたはバクージャジャ様が認めた……私に何かご用かしら？			息吹は尚も絶えずして							
花弁のような形をした、結晶らしきもの……？			花弁のような形をした、結晶らしきもの……？			息吹は尚も絶えずして							
さあ、思い当たらないわね。なんだか綺麗そうだし、私も見てみたいわ。			さあ、思い当たらないわね。なんだか綺麗そうだし、私も見てみたいわ。			息吹は尚も絶えずして							
この村の在り様が変わっていったら、もっと素敵な宝飾品なんかも入ってくるのかしら。はあ……待ち遠しいわ……！			この村の在り様が変わっていったら、もっと素敵な宝飾品なんかも入ってくるのかしら。はあ……待ち遠しいわ……！			息吹は尚も絶えずして							
うぅ、休憩中になんだよぉ。			うぅ、休憩中になんだよぉ。			息吹は尚も絶えずして							
うぅ、休憩中になんだよぉ。青っぽくて、うっすら光ってる結晶なんて、聞くまでもなくそこら中にあるだろぉ！？			うぅ、休憩中になんだよぉ。青っぽくて、うっすら光ってる結晶なんて、聞くまでもなくそこら中にあるだろぉ！？			息吹は尚も絶えずして							
……形も色もちょっと違う？知らないよぉ、ほかの奴に聞いてくれぇ！			……形も色もちょっと違う？知らないよぉ、ほかの奴に聞いてくれぇ！			息吹は尚も絶えずして							
次の当番までひと眠りするからさ、ひとりにしてくれよぉ……！			次の当番までひと眠りするからさ、ひとりにしてくれよぉ……！			息吹は尚も絶えずして							
……ここまで、これといった情報はなしか。なかなか手ごわいな。			……ここまで、これといった情報はなしか。なかなか手ごわいな。			息吹は尚も絶えずして							
Forename、ひとつ提案がある。聞き方を変えてみるのはどうだろうか？			Forename、ひとつ提案がある。聞き方を変えてみるのはどうだろうか？			息吹は尚も絶えずして							
一般的に認知されていないものなら、「珍しい石や植物を集めている者はいないか？」と聞いて、然るべき相手を紹介してもらうのがいいかもしれない。			一般的に認知されていないものなら、「珍しい石や植物を集めている者はいないか？」と聞いて、然るべき相手を紹介してもらうのがいいかもしれない。			息吹は尚も絶えずして							
決まりだな。その方針で、もう少し粘ってみるとしよう。			決まりだな。その方針で、もう少し粘ってみるとしよう。			息吹は尚も絶えずして							
大丈夫だ、「みんな知らない」ということがわかっただけ、進展しているとも言える。俺は独りで聞き込みをするとき、そう思うようにしているぞ。			大丈夫だ、「みんな知らない」ということがわかっただけ、進展しているとも言える。俺は独りで聞き込みをするとき、そう思うようにしているぞ。			息吹は尚も絶えずして							
はて、わしにご用かな……？			はて、わしにご用かな……？			息吹は尚も絶えずして							
おお……おお……この辺りで収集家を探しておるとな！			おお……おお……この辺りで収集家を探しておるとな！			息吹は尚も絶えずして							
であれば、わしの親友がそうじゃった。偵察の任務をこなしながら、あれやこれやと、森中から集めてきてなぁ……。			であれば、わしの親友がそうじゃった。偵察の任務をこなしながら、あれやこれやと、森中から集めてきてなぁ……。			息吹は尚も絶えずして							
もうずいぶん前に亡くなってしもうたが、孫がゴルマジーカ蜜園で働いておったはずじゃ。名は……はて、なんと言ったか……。			もうずいぶん前に亡くなってしもうたが、孫がゴルマジーカ蜜園で働いておったはずじゃ。名は……はて、なんと言ったか……。			息吹は尚も絶えずして							
人の名前が、てんで覚えられなくなってしもうたわ。思い出せるのは、とうに死んだ仲間たちのことばかりじゃ……。			人の名前が、てんで覚えられなくなってしもうたわ。思い出せるのは、とうに死んだ仲間たちのことばかりじゃ……。			息吹は尚も絶えずして							
聞きたいこと？……何でしょうか？			聞きたいこと？……何でしょうか？			息吹は尚も絶えずして							
珍しい石や植物を集めている人、ですか。うーん、どこかでそんな話を聞いた気が……。			珍しい石や植物を集めている人、ですか。うーん、どこかでそんな話を聞いた気が……。			息吹は尚も絶えずして							
ああ、確かゴサージャさんが言っていたんです。祖父が偵察がてら集めた品が、家にたくさんあるって。			ああ、確かゴサージャさんが言っていたんです。祖父が偵察がてら集めた品が、家にたくさんあるって。			息吹は尚も絶えずして							
彼とは最近会っていないので、今はどうなっているかわかりませんけれど……。			彼とは最近会っていないので、今はどうなっているかわかりませんけれど……。			息吹は尚も絶えずして							
ほかには心当たりがありませんね。ご期待に添えなかったとしても、どうか悪しからず。			ほかには心当たりがありませんね。ご期待に添えなかったとしても、どうか悪しからず。			息吹は尚も絶えずして							
偵察の任務についていた収集家……恐らく、さっきの話と同一人物だろうな。			偵察の任務についていた収集家……恐らく、さっきの話と同一人物だろうな。			息吹は尚も絶えずして							
次は、その人物の孫とやらを訪ねてみるか。ゴルマジーカ蜜園で「ゴサージャ」という人物を探してみよう。			次は、その人物の孫とやらを訪ねてみるか。ゴルマジーカ蜜園で「ゴサージャ」という人物を探してみよう。			息吹は尚も絶えずして							
「森」について話す			「森」について話す			息吹は尚も絶えずして							
ゴルマジーカ蜜園で「ゴサージャ」を探そう。……名前が聞けてよかった。俺はまだ、マムージャ族を姿で見分けられないんだ。			ゴルマジーカ蜜園で「ゴサージャ」を探そう。……名前が聞けてよかった。俺はまだ、マムージャ族を姿で見分けられないんだ。			息吹は尚も絶えずして							
どれもこれも、なんて立派な木々なんだ……圧巻だな……。			どれもこれも、なんて立派な木々なんだ……圧巻だな……。			息吹は尚も絶えずして							
ゴルモア大密林に暮らす、ラヴァ・ヴィエラ族であれば、こういう風景も見慣れているに違いない。			ゴルモア大密林に暮らす、ラヴァ・ヴィエラ族であれば、こういう風景も見慣れているに違いない。			息吹は尚も絶えずして							
彼らは容姿からして、森に溶け込むような色合いの者が多い。対して俺たちヴィナ・ヴィエラ族は、雪山に馴染む容姿だと言われているわけだが……			彼らは容姿からして、森に溶け込むような色合いの者が多い。対して俺たちヴィナ・ヴィエラ族は、雪山に馴染む容姿だと言われているわけだが……			息吹は尚も絶えずして							
この森であれば、俺も紛れられる気がするぞ。どうだ……どう見える……！？			この森であれば、俺も紛れられる気がするぞ。どうだ……どう見える……！？			息吹は尚も絶えずして							
うん……？どうかしたのかい？			うん……？どうかしたのかい？			息吹は尚も絶えずして							
話をするには、ウヴロもいた方がよさそうだ。彼を同行させてこよう。			話をするには、ウヴロもいた方がよさそうだ。彼を同行させてこよう。			息吹は尚も絶えずして							
うん……？キミたち、どうかしたのかい？			うん……？キミたち、どうかしたのかい？			息吹は尚も絶えずして							
お前がゴサージャで間違いないか？ご祖父様が収集家だったという……。			お前がゴサージャで間違いないか？ご祖父様が収集家だったという……。			息吹は尚も絶えずして							
そ、そりゃあ間違いないけど、いったいどこでそんな話を？			そ、そりゃあ間違いないけど、いったいどこでそんな話を？			息吹は尚も絶えずして							
なるほど、それでオレを訪ねてきたのか……。			なるほど、それでオレを訪ねてきたのか……。			息吹は尚も絶えずして							
どうだろう、ご祖父様の集めた品々の中に、「蒼碧の花弁」に似たものはなかったか？			どうだろう、ご祖父様の集めた品々の中に、「蒼碧の花弁」に似たものはなかったか？			息吹は尚も絶えずして							
……あったよ。特徴を聞くかぎり、かなり似てると思う。			……あったよ。特徴を聞くかぎり、かなり似てると思う。			息吹は尚も絶えずして							
だけど、今はもうない。オレが小さいころに持ち出して、なくしちゃったんだ。だからこそ記憶に残ってるわけなんだけど……。			だけど、今はもうない。オレが小さいころに持ち出して、なくしちゃったんだ。だからこそ記憶に残ってるわけなんだけど……。			息吹は尚も絶えずして							
そうか……。なら、本当に「花弁」と同じかどうかは、確かめられないな。			そうか……。なら、本当に「花弁」と同じかどうかは、確かめられないな。			息吹は尚も絶えずして							
祖父がそれを採ってきた場所なら、わかるかも……。			祖父がそれを採ってきた場所なら、わかるかも……。			息吹は尚も絶えずして							
キミたちが聞いてきたとおり、マムージャ族とシュバラール族が争ってた時分、祖父は偵察を任されてたんだ。			キミたちが聞いてきたとおり、マムージャ族とシュバラール族が争ってた時分、祖父は偵察を任されてたんだ。			息吹は尚も絶えずして							
祖父は泳ぎの名手でね、セノーテを辿って、こっそり森のあちこちに行ったそうだよ。			祖父は泳ぎの名手でね、セノーテを辿って、こっそり森のあちこちに行ったそうだよ。			息吹は尚も絶えずして							
セノーテとは確か、地面に開いた穴に水が溜まってできた泉だったな。それを辿って、というのは……？			セノーテとは確か、地面に開いた穴に水が溜まってできた泉だったな。それを辿って、というのは……？			息吹は尚も絶えずして							
あれには横穴があって、別のセノーテと繋がってることが多いんだよ。			あれには横穴があって、別のセノーテと繋がってることが多いんだよ。			息吹は尚も絶えずして							
祖父は、イクブラーシャの偵察に向かう際に、水底であの結晶を見つけたって言ってた。			祖父は、イクブラーシャの偵察に向かう際に、水底であの結晶を見つけたって言ってた。			息吹は尚も絶えずして							
おそらく、赤血のセノーテ……「イクラシュ・ゾユ」の底だ。当時はシュバラール族が戦死者の水葬に使っていたから、その中を泳いでくるなんて思われなかったらしい。			おそらく、赤血のセノーテ……「イクラシュ・ゾユ」の底だ。当時はシュバラール族が戦死者の水葬に使っていたから、その中を泳いでくるなんて思われなかったらしい。			息吹は尚も絶えずして							
……可能性のある話だと思う。			……可能性のある話だと思う。			息吹は尚も絶えずして							
俺たちは前回、隕石衝突直後の地層を採集した。セノーテが地面に開いた穴だとすると、くだんの地層に接していてもおかしくない。			俺たちは前回、隕石衝突直後の地層を採集した。セノーテが地面に開いた穴だとすると、くだんの地層に接していてもおかしくない。			息吹は尚も絶えずして							
地層は徐々に浸食され、そこに眠っていた隕石衝突の痕跡が、水底に積もっていくはずだ。「花弁」と同じものだって、あるいは……！			地層は徐々に浸食され、そこに眠っていた隕石衝突の痕跡が、水底に積もっていくはずだ。「花弁」と同じものだって、あるいは……！			息吹は尚も絶えずして							
ゴサージャ、貴重な話に心から感謝する。			ゴサージャ、貴重な話に心から感謝する。			息吹は尚も絶えずして							
こちらこそ！探してるものが見つかるよう、願ってるよ。			こちらこそ！探してるものが見つかるよう、願ってるよ。			息吹は尚も絶えずして							
行ってみよう、「イクラシュ・ゾユ」へ！			行ってみよう、「イクラシュ・ゾユ」へ！			息吹は尚も絶えずして							
まさか、こんな日がくるなんてなぁ。次の墓参りでは、祖父に面白い話ができそうだ！			まさか、こんな日がくるなんてなぁ。次の墓参りでは、祖父に面白い話ができそうだ！			息吹は尚も絶えずして							
イクラシュ・ゾユ……今となっては美しい場所だな……。			イクラシュ・ゾユ……今となっては美しい場所だな……。			息吹は尚も絶えずして							
ここに潜って、「蒼碧の花弁」と似たものがないか探す。			ここに潜って、「蒼碧の花弁」と似たものがないか探す。			息吹は尚も絶えずして							
わけ……なんだが…………。			わけ……なんだが…………。			息吹は尚も絶えずして							
Forename、すまない。俺は雪山育ち……泳ぎだけは訓練がまるで足りていない。			Forename、すまない。俺は雪山育ち……泳ぎだけは訓練がまるで足りていない。			息吹は尚も絶えずして							
己の不甲斐なさに恥じ入るばかりだが、もしもお前が泳ぎを得意とするならば、探索を頼まれてはくれないか……！			己の不甲斐なさに恥じ入るばかりだが、もしもお前が泳ぎを得意とするならば、探索を頼まれてはくれないか……！			息吹は尚も絶えずして							
ありがたい……。お前はすごいな、何においても、俺よりずっと……手本にさせてもらって、精進しよう。			ありがたい……。お前はすごいな、何においても、俺よりずっと……手本にさせてもらって、精進しよう。			息吹は尚も絶えずして							
では、準備ができ次第、水中の探索を始めてくれ。それらしきものを見つけたら、採集を頼む。			では、準備ができ次第、水中の探索を始めてくれ。それらしきものを見つけたら、採集を頼む。			息吹は尚も絶えずして							
泉の底に、「蒼碧の花弁」と似たものがないか探してほしい。お前に万が一のことがないよう、俺も見守っているが……くれぐれも気をつけてくれ。			泉の底に、「蒼碧の花弁」と似たものがないか探してほしい。お前に万が一のことがないよう、俺も見守っているが……くれぐれも気をつけてくれ。			息吹は尚も絶えずして							
だ、大丈夫か！？ずいぶん長いこと潜っていたから、少し焦った。よく息が続くな……。			だ、大丈夫か！？ずいぶん長いこと潜っていたから、少し焦った。よく息が続くな……。			息吹は尚も絶えずして							
それで、首尾はどうだった……！？			それで、首尾はどうだった……！？			息吹は尚も絶えずして							
これは……花弁のような形と大きさで、緑掛かった青色をして、うっすらと光を帯びている……。			これは……花弁のような形と大きさで、緑掛かった青色をして、うっすらと光を帯びている……。			息吹は尚も絶えずして							
迷いようもない。シューニェが持っている「花弁」にそっくりだ！			迷いようもない。シューニェが持っている「花弁」にそっくりだ！			息吹は尚も絶えずして							
ふたつが本当に同じものなら、「花弁」が隕石の落ちた場所に生じていたと言い切れる。そして、50年前の事件の真相もきっと……！			ふたつが本当に同じものなら、「花弁」が隕石の落ちた場所に生じていたと言い切れる。そして、50年前の事件の真相もきっと……！			息吹は尚も絶えずして							
Forename、急いで店に戻ろう。これはお前からシューニェに渡してやってくれ！			Forename、急いで店に戻ろう。これはお前からシューニェに渡してやってくれ！			息吹は尚も絶えずして							
さあ……今度こそ……！			さあ……今度こそ……！			息吹は尚も絶えずして							
どうしたんですか、ふたりとも。そんな、ただならぬ様子で帰ってきて……。			どうしたんですか、ふたりとも。そんな、ただならぬ様子で帰ってきて……。			息吹は尚も絶えずして							
…………っ！			…………っ！			息吹は尚も絶えずして							
まさか、あったんですか……ヤクテル樹海に、これが……！			まさか、あったんですか……ヤクテル樹海に、これが……！			息吹は尚も絶えずして							
セノーテの底を探しただなんて……！水温は低いし、入り組んだ場所に迷い込む可能性もある。沈殿物を巻き上げれば、たちまち視界が閉ざされて……			セノーテの底を探しただなんて……！水温は低いし、入り組んだ場所に迷い込む可能性もある。沈殿物を巻き上げれば、たちまち視界が閉ざされて……			息吹は尚も絶えずして							
……いえ、とにかく無事でよかった。やはりあなたは熟練の、この店にはもったいないほどの調達役です。			……いえ、とにかく無事でよかった。やはりあなたは熟練の、この店にはもったいないほどの調達役です。			息吹は尚も絶えずして							
採ってきてくださった結晶は、ありがたく頂戴します。「花弁」と同じものかどうか、すぐに調べはじめましょう。			採ってきてくださった結晶は、ありがたく頂戴します。「花弁」と同じものかどうか、すぐに調べはじめましょう。			息吹は尚も絶えずして							
ああ…………同じだ…………。			ああ…………同じだ…………。			息吹は尚も絶えずして							
あなたたちが持ってきてくださったものは、私が集落跡で拾った「蒼碧の花弁」と、同質のものであると言えるでしょう。			あなたたちが持ってきてくださったものは、私が集落跡で拾った「蒼碧の花弁」と、同質のものであると言えるでしょう。			息吹は尚も絶えずして							
それで確信が持てそうか？			それで確信が持てそうか？			息吹は尚も絶えずして							
「花弁」がどんなもので……50年前、どうしてお前の家族が亡くなったのか。			「花弁」がどんなもので……50年前、どうしてお前の家族が亡くなったのか。			息吹は尚も絶えずして							
要は、火山の近くで黒曜石が見つかるのと同じことなんです。			要は、火山の近くで黒曜石が見つかるのと同じことなんです。			息吹は尚も絶えずして							
高温で熔けた鉱物が、急速に冷やされることによってガラス質の塊になる……。			高温で熔けた鉱物が、急速に冷やされることによってガラス質の塊になる……。			息吹は尚も絶えずして							
これらの場合は、隕石の衝突によって高温になった大地が溶け、空中に飛び散ったのでしょう。			これらの場合は、隕石の衝突によって高温になった大地が溶け、空中に飛び散ったのでしょう。			息吹は尚も絶えずして							
その際に、こういった花弁のような……涙のような形となって、冷え固まった。			その際に、こういった花弁のような……涙のような形となって、冷え固まった。			息吹は尚も絶えずして							
……そしてもうひとつ。			……そしてもうひとつ。			息吹は尚も絶えずして							
隕石落下による衝撃と熱は、瞬く間に一帯を破壊しました。木々や動物、私の家族たち……多くの命が散って、それを成していた力が解き放たれたはずです。			隕石落下による衝撃と熱は、瞬く間に一帯を破壊しました。木々や動物、私の家族たち……多くの命が散って、それを成していた力が解き放たれたはずです。			息吹は尚も絶えずして							
命を成す力……エーテルか……。			命を成す力……エーテルか……。			息吹は尚も絶えずして							
還り切らなかったエーテルが、結晶化することがある。つまりは、クリスタルだ。			還り切らなかったエーテルが、結晶化することがある。つまりは、クリスタルだ。			息吹は尚も絶えずして							
ええ、そのとおり……。			ええ、そのとおり……。			息吹は尚も絶えずして							
これが単なるガラスではなく、わずかに輝きを帯びているのは、クリスタルと交じり合ったからだと私は考えています。			これが単なるガラスではなく、わずかに輝きを帯びているのは、クリスタルと交じり合ったからだと私は考えています。			息吹は尚も絶えずして							
……あれからもう50年、とっくにわかってはいたんです。真相を解き明かしたところで、誰が戻ってくるわけでもないと。			……あれからもう50年、とっくにわかってはいたんです。真相を解き明かしたところで、誰が戻ってくるわけでもないと。			息吹は尚も絶えずして							
ましてや隕石が原因だったなんて、明らかになったらなったで、虚しいだけだと思っていました。			ましてや隕石が原因だったなんて、明らかになったらなったで、虚しいだけだと思っていました。			息吹は尚も絶えずして							
でも…………			でも…………			息吹は尚も絶えずして							
あの事故の瞬間、ほかでもないトラルの大地が、こうして涙を流してくれていた。			あの事故の瞬間、ほかでもないトラルの大地が、こうして涙を流してくれていた。			息吹は尚も絶えずして							
だったら私は、あの子たちとの思い出を……ただ優しかった、あの日々を……			だったら私は、あの子たちとの思い出を……ただ優しかった、あの日々を……			息吹は尚も絶えずして							
これからは、笑顔で思い出したっていいのかもしれません。幸せが、確かにそこにあったのだと、物語るように。			これからは、笑顔で思い出したっていいのかもしれません。幸せが、確かにそこにあったのだと、物語るように。			息吹は尚も絶えずして							
ありがとうございます、ふたりとも。なんだか、やっと呼吸ができたような気がします。			ありがとうございます、ふたりとも。なんだか、やっと呼吸ができたような気がします。			息吹は尚も絶えずして							
私、生きてたんですねぇ。大きな大きな、巡りのうちに。			私、生きてたんですねぇ。大きな大きな、巡りのうちに。			息吹は尚も絶えずして							
シャトナ族だからな。お前は俺に、最初からそう名乗っていたぞ。			シャトナ族だからな。お前は俺に、最初からそう名乗っていたぞ。			息吹は尚も絶えずして							
久しぶりにまた、旅に出てみましょうか。			久しぶりにまた、旅に出てみましょうか。			息吹は尚も絶えずして							
新しい家族を探したいとか、そういうわけじゃありませんが……あなたたちがいつも運んできてくれた自然の息吹に、今度は自分から、会いにいきたい。			新しい家族を探したいとか、そういうわけじゃありませんが……あなたたちがいつも運んできてくれた自然の息吹に、今度は自分から、会いにいきたい。			息吹は尚も絶えずして							
空の呼ぶまま、風の向くまま、どこまでも……終わりの先の、路なき路へ。			空の呼ぶまま、風の向くまま、どこまでも……終わりの先の、路なき路へ。			息吹は尚も絶えずして							
大賛成だ！			大賛成だ！			息吹は尚も絶えずして							
俺も、アポサカリーの従業員として、然るべき働きを納められただろうか。			俺も、アポサカリーの従業員として、然るべき働きを納められただろうか。			息吹は尚も絶えずして							
そうであれば重畳だ。いっぱしの労働者としても……俺個人としても。			そうであれば重畳だ。いっぱしの労働者としても……俺個人としても。			息吹は尚も絶えずして							
さてさて……おふたりには、改めてお礼をしなければいけませんねぇ。			さてさて……おふたりには、改めてお礼をしなければいけませんねぇ。			息吹は尚も絶えずして							
店の仕事のことも、「花弁」のことについても、本当にお世話になりました。			店の仕事のことも、「花弁」のことについても、本当にお世話になりました。			息吹は尚も絶えずして							
こちらも、シャトナ族の暮らしや考えに触れられてよかった。			こちらも、シャトナ族の暮らしや考えに触れられてよかった。			息吹は尚も絶えずして							
ただ、せっかくの機会なんだ。シャトナ族の文化についてさらに知りたいし、トラル大陸にまつわるほかのことも、学べるだけ学びたい。			ただ、せっかくの機会なんだ。シャトナ族の文化についてさらに知りたいし、トラル大陸にまつわるほかのことも、学べるだけ学びたい。			息吹は尚も絶えずして							
だからシューニェ、お前がこれから旅に出るなら、俺も是非同行させてくれ。			だからシューニェ、お前がこれから旅に出るなら、俺も是非同行させてくれ。			息吹は尚も絶えずして							
旅は道連れ……とも言うしな。			旅は道連れ……とも言うしな。			息吹は尚も絶えずして							
何と言う？			何と言う？			息吹は尚も絶えずして							
自分も一緒に行きたい！			自分も一緒に行きたい！			息吹は尚も絶えずして							
三大州に渡るのはどう？			三大州に渡るのはどう？			息吹は尚も絶えずして							
おやまあ、何より心強いですねぇ。			おやまあ、何より心強いですねぇ。			息吹は尚も絶えずして							
そのときは、ウクラマト王たちに嫉妬されないよう、こっそりお願いするとしましょうか。噂を聞くかぎり、あなたは人気者のようですから。			そのときは、ウクラマト王たちに嫉妬されないよう、こっそりお願いするとしましょうか。噂を聞くかぎり、あなたは人気者のようですから。			息吹は尚も絶えずして							
なるほど……目的があるわけでもないですし、それもいいかもしれません。			なるほど……目的があるわけでもないですし、それもいいかもしれません。			息吹は尚も絶えずして							
誰かさんにトラル大陸の案内をするのであれば、その対価として、あちらでのガイドを頼めそうですしねぇ？			誰かさんにトラル大陸の案内をするのであれば、その対価として、あちらでのガイドを頼めそうですしねぇ？			息吹は尚も絶えずして							
いずれにせよ、もう少し先の話です。すぐに店を閉めるようなことはありませんよ。			いずれにせよ、もう少し先の話です。すぐに店を閉めるようなことはありませんよ。			息吹は尚も絶えずして							
……そうなのか？			……そうなのか？			息吹は尚も絶えずして							
どんな理由で始めたにせよ、ここは私の大切な店。急に放り出すつもりはありませんし、長年ご贔屓にしてくださったお客様を困らせたくもありません。			どんな理由で始めたにせよ、ここは私の大切な店。急に放り出すつもりはありませんし、長年ご贔屓にしてくださったお客様を困らせたくもありません。			息吹は尚も絶えずして							
それに何より……			それに何より……			息吹は尚も絶えずして							
ウヴロ、あなた、それっぽっちの貯えで次の旅に出るつもりですか？			ウヴロ、あなた、それっぽっちの貯えで次の旅に出るつもりですか？			息吹は尚も絶えずして							
野宿だ何だと言っても限度がある。またすぐ素寒貧になって、今度は野垂れ死にますよ？			野宿だ何だと言っても限度がある。またすぐ素寒貧になって、今度は野垂れ死にますよ？			息吹は尚も絶えずして							
いや、だが、それはその……なんとか……！			いや、だが、それはその……なんとか……！			息吹は尚も絶えずして							
ナントカもカントカもありません。あなたが恩人だからこそ、提案してるんです。			ナントカもカントカもありません。あなたが恩人だからこそ、提案してるんです。			息吹は尚も絶えずして							
