メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			王の家族							
「管理設備室」なら、この通路の反対側でしたね。行って、第二実験室を復旧させてやりましょう。			「管理設備室」なら、この通路の反対側でしたね。行って、第二実験室を復旧させてやりましょう。			保存する者たち							
よかった、こっちの部屋は端末が動いてるみたい。ちゃんと雷力が供給されてるんだね。			よかった、こっちの部屋は端末が動いてるみたい。ちゃんと雷力が供給されてるんだね。			保存する者たち							
この部屋で備品や雷力の管理をしてたんだね。レベル3のセキュリティパスがないかどうかも、調べてみようかな。			この部屋で備品や雷力の管理をしてたんだね。レベル3のセキュリティパスがないかどうかも、調べてみようかな。			保存する者たち							
第二実験室はより多くの雷力が必要だったってことかしら。いったい何の実験を……。			第二実験室はより多くの雷力が必要だったってことかしら。いったい何の実験を……。			保存する者たち							
やけに主張の強い床だなと思ったけど、よく見るとこれも装置……なのか……？			やけに主張の強い床だなと思ったけど、よく見るとこれも装置……なのか……？			保存する者たち							
供給開始、と……。			供給開始、と……。			保存する者たち							
……雷力供給の操作をしてもエラーが出てしまいますね。恐らく、何か手順があるんでしょう。			……雷力供給の操作をしてもエラーが出てしまいますね。恐らく、何か手順があるんでしょう。			保存する者たち							
エラーコードを参照してみた限りでは、長期間、雷力供給が絶たれていた場合の復旧には、「非常雷源と回路ユニットの再設定」が必要とありますが……。			エラーコードを参照してみた限りでは、長期間、雷力供給が絶たれていた場合の復旧には、「非常雷源と回路ユニットの再設定」が必要とありますが……。			保存する者たち							
……ねえ、シェール。部屋の向こう側にあるのが非常雷源だよね。			……ねえ、シェール。部屋の向こう側にあるのが非常雷源だよね。			保存する者たち							
間違いないかと。ヘリテージファウンドで用いられているのと、同型の雷源ユニットですね。			間違いないかと。ヘリテージファウンドで用いられているのと、同型の雷源ユニットですね。			保存する者たち							
そこで発生させた雷力を、どうやって第二実験室まで送るの……？			そこで発生させた雷力を、どうやって第二実験室まで送るの……？			保存する者たち							
…………ああ、なるほど。			…………ああ、なるほど。			保存する者たち							
端末わきの壁を這っている、この送雷線が、第二実験室へ続いてるみたいです。			端末わきの壁を這っている、この送雷線が、第二実験室へ続いてるみたいです。			保存する者たち							
ということは、非常雷源からその送雷線まで、雷力の通り道ができればいいのかな……？			ということは、非常雷源からその送雷線まで、雷力の通り道ができればいいのかな……？			保存する者たち							
雷源と送雷線の間には、模様の描かれた床みたいな装置があるよね。これが回路ユニットってこと……？			雷源と送雷線の間には、模様の描かれた床みたいな装置があるよね。これが回路ユニットってこと……？			保存する者たち							
恐らく、そういうことでしょうね。			恐らく、そういうことでしょうね。			保存する者たち							
それぞれの中央にある端末を操作して、雷力の通り道を正しく繋げられれば、第二実験室への供給が可能になるのではないかと。			それぞれの中央にある端末を操作して、雷力の通り道を正しく繋げられれば、第二実験室への供給が可能になるのではないかと。			保存する者たち							
正しく繋げる、かぁ……。できれば手順書みたいなものがあるといいんだけど。			正しく繋げる、かぁ……。できれば手順書みたいなものがあるといいんだけど。			保存する者たち							
僕は、この端末の中に有益な情報がないか探ってみます。ほかを調べるのと、非常雷源の操作を、お任せしても？			僕は、この端末の中に有益な情報がないか探ってみます。ほかを調べるのと、非常雷源の操作を、お任せしても？			保存する者たち							
非常雷源の操作なら任せて！あの型の装置なら、触ったことがあるから！			非常雷源の操作なら任せて！あの型の装置なら、触ったことがあるから！			保存する者たち							
じゃあ、Forenameさんには、「回路ユニットの設定」をお願いしてもいいかしら？			じゃあ、Forenameさんには、「回路ユニットの設定」をお願いしてもいいかしら？			保存する者たち							
残りのみんなで、設定の助けになる情報を探して、Forenameさんに伝えましょう。			残りのみんなで、設定の助けになる情報を探して、Forenameさんに伝えましょう。			保存する者たち							
非常雷源の方は、これといった設定も必要ないみたい。回路の方が準備できたら、すぐに雷力を送れそうだよ。			非常雷源の方は、これといった設定も必要ないみたい。回路の方が準備できたら、すぐに雷力を送れそうだよ。			保存する者たち							
そこのコンテナの隙間から、張り紙が一部分だけ見えたんだ。問題が起きた場合の注意事項が書いてあるみたいで、回路ユニットの模様が重複していないか確認せよ……って。			そこのコンテナの隙間から、張り紙が一部分だけ見えたんだ。問題が起きた場合の注意事項が書いてあるみたいで、回路ユニットの模様が重複していないか確認せよ……って。			保存する者たち							
つまり模様は、1種類につき1回ずつしか使わないということなのかな……？			つまり模様は、1種類につき1回ずつしか使わないということなのかな……？			保存する者たち							
古い時代の記録媒体かしら……。気になるラベルはあるけれど、復旧に必要な情報を探さないと。			古い時代の記録媒体かしら……。気になるラベルはあるけれど、復旧に必要な情報を探さないと。			保存する者たち							
一応、セキュリティパスも探してみたけれど見当たらなかったわ。雷力の復旧に賭けるしかなさそうね……。			一応、セキュリティパスも探してみたけれど見当たらなかったわ。雷力の復旧に賭けるしかなさそうね……。			保存する者たち							
通雷先の設定と、雷圧の調整は済んでいますので。すみませんが、回路ユニットの方はお任せします。			通雷先の設定と、雷圧の調整は済んでいますので。すみませんが、回路ユニットの方はお任せします。			保存する者たち							
あ、Forename！この紙を見てくれねぇか？			あ、Forename！この紙を見てくれねぇか？			保存する者たち							
左下に走り書きがあってさ……「回路ユニット4つを操作し、雷力パスを正常に接続せよ」って感じの内容みてぇなんだ。			左下に走り書きがあってさ……「回路ユニット4つを操作し、雷力パスを正常に接続せよ」って感じの内容みてぇなんだ。			保存する者たち							
なら、絵の部分はこの部屋の略図じゃねぇかと思ってよ。			なら、絵の部分はこの部屋の略図じゃねぇかと思ってよ。			保存する者たち							
左上の四角がシェールが見てる端末だとすると、右下がグルージャが今いる非常雷源ユニットってやつだよな？			左上の四角がシェールが見てる端末だとすると、右下がグルージャが今いる非常雷源ユニットってやつだよな？			保存する者たち							
ほかの部分は……肝心なとこが掠れててよく見えねぇが、4つある模様のうち、右下が四角で、右上は……半分消えてるな。			ほかの部分は……肝心なとこが掠れててよく見えねぇが、4つある模様のうち、右下が四角で、右上は……半分消えてるな。			保存する者たち							
これって設定のヒントになりそうか？			これって設定のヒントになりそうか？			保存する者たち							
4つのパネルを正しい状態にする必要がある。それぞれの端末を操作して、回路を設定してみよう。			4つのパネルを正しい状態にする必要がある。それぞれの端末を操作して、回路を設定してみよう。			保存する者たち							
どの形状に設定する？			どの形状に設定する？			保存する者たち							
「▽」に設定			「▽」に設定			保存する者たち							
「○」に設定			「○」に設定			保存する者たち							
「□」に設定			「□」に設定			保存する者たち							
「◇」に設定			「◇」に設定			保存する者たち							
キャンセル			キャンセル			保存する者たち							
回路の形状に変化はない。今表示されているものと同じ形状を選んだようだ。			回路の形状に変化はない。今表示されているものと同じ形状を選んだようだ。			保存する者たち							
……すべての回路が繋がったようだ！仲間たちに報告しよう。			……すべての回路が繋がったようだ！仲間たちに報告しよう。			保存する者たち							
やったあ！			やったあ！			保存する者たち							
大成功だね、Forename！			大成功だね、Forename！			保存する者たち							
これで「第二実験室」へ雷力が供給されたはずです。みなさん、ご協力ありがとうございました。			これで「第二実験室」へ雷力が供給されたはずです。みなさん、ご協力ありがとうございました。			保存する者たち							
……あの、シェールさん。移動する前にこの記録媒体を閲覧できないかしら？			……あの、シェールさん。移動する前にこの記録媒体を閲覧できないかしら？			保存する者たち							
古い記録媒体が保管されている棚を調べていたら、気になるラベルがあって……。「プリザベーション発足当時の記録」って書いてあるの。			古い記録媒体が保管されている棚を調べていたら、気になるラベルがあって……。「プリザベーション発足当時の記録」って書いてあるの。			保存する者たち							
お安い御用ですよ、ちょっと待ってくださいね。			お安い御用ですよ、ちょっと待ってくださいね。			保存する者たち							
ええと……中身は文字ベースのデータのようです。読み上げますね。			ええと……中身は文字ベースのデータのようです。読み上げますね。			保存する者たち							
アレクサンドリアの技術開発組織プリザベーションは、当時11歳の天才少年、カリュクスが発足させた組織である。			アレクサンドリアの技術開発組織プリザベーションは、当時11歳の天才少年、カリュクスが発足させた組織である。			保存する者たち							
発足当時、アレクサンドリアは雷光大戦の戦時下にあった。そこで、侵略から国を守るための技術開発を担うという名目で、国費による支援を受けることに成功した。			発足当時、アレクサンドリアは雷光大戦の戦時下にあった。そこで、侵略から国を守るための技術開発を担うという名目で、国費による支援を受けることに成功した。			保存する者たち							
戦争が激化し、戦死者が増えるなかで、最高責任者カリュクスは「記憶の保存技術」の開発に着手。			戦争が激化し、戦死者が増えるなかで、最高責任者カリュクスは「記憶の保存技術」の開発に着手。			保存する者たち							
戦争終結後も研究は続けられ、やがてカリュクスは自身の記憶を「記憶の幻想世界」に保存した。			戦争終結後も研究は続けられ、やがてカリュクスは自身の記憶を「記憶の幻想世界」に保存した。			保存する者たち							
これって……。カリュクスが永久人になる前の話よね。			これって……。カリュクスが永久人になる前の話よね。			保存する者たち							
……雷光大戦が始まる前、当時アレクサンドリア王だった父の付き添いで、一度だけカリュクスと会ったことがあるの。			……雷光大戦が始まる前、当時アレクサンドリア王だった父の付き添いで、一度だけカリュクスと会ったことがあるの。			保存する者たち							
当時の彼は10歳にも満たなかったはずだけど、生まれつきの病の治療を受けながら、いくつもの論文を発表して、その評判は王家にも伝わっていたから。			当時の彼は10歳にも満たなかったはずだけど、生まれつきの病の治療を受けながら、いくつもの論文を発表して、その評判は王家にも伝わっていたから。			保存する者たち							
「理不尽な死によって、命が失われてはならない」……そうまっすぐ語った彼の言葉を、今でも憶えてるよ。			「理不尽な死によって、命が失われてはならない」……そうまっすぐ語った彼の言葉を、今でも憶えてるよ。			保存する者たち							
だからこそ、戦争が始まったときに、カリュクスが発足させたプリザベーションを、父は国をあげて支援したんじゃないかな。			だからこそ、戦争が始まったときに、カリュクスが発足させたプリザベーションを、父は国をあげて支援したんじゃないかな。			保存する者たち							
その数年後、両親が急逝して私が王座を受け継いだ……。私にはちっとも余裕がなかったから、永久人の研究の件も、恐らく周りが報告を止めていたんだと思う。			その数年後、両親が急逝して私が王座を受け継いだ……。私にはちっとも余裕がなかったから、永久人の研究の件も、恐らく周りが報告を止めていたんだと思う。			保存する者たち							
じゃあ、スフェーンの知らないうちに、カリュクスは人が変わっちゃったんだね……。			じゃあ、スフェーンの知らないうちに、カリュクスは人が変わっちゃったんだね……。			保存する者たち							
……どうかな。私が知らなかっただけで、本当は最初から、理想のためには犠牲を厭わない人だったのかもしれない。			……どうかな。私が知らなかっただけで、本当は最初から、理想のためには犠牲を厭わない人だったのかもしれない。			保存する者たち							
あるいは……信じ続けているのかも。理不尽な死はこれでおしまいにして、新しい生き方を確立させるのが、自分の役目だって。			あるいは……信じ続けているのかも。理不尽な死はこれでおしまいにして、新しい生き方を確立させるのが、自分の役目だって。			保存する者たち							
……いずれにせよ、彼の今の行いは止めるべきものだよ。調査を続けよう！			……いずれにせよ、彼の今の行いは止めるべきものだよ。調査を続けよう！			保存する者たち							
雷圧の設定が間違っていなければ、今度こそ「第二実験室」に入れるはずです。一度僕の方で確認してみますね。			雷圧の設定が間違っていなければ、今度こそ「第二実験室」に入れるはずです。一度僕の方で確認してみますね。			保存する者たち							
雷圧は大丈夫そうですが……。念のためここの扉は僕が開けますね。			雷圧は大丈夫そうですが……。念のためここの扉は僕が開けますね。			保存する者たち							
セキュリティパスが必要そうなので、お預かりします。読み取り機にあてた瞬間、ショートして焼け死なないといいんですが。			セキュリティパスが必要そうなので、お預かりします。読み取り機にあてた瞬間、ショートして焼け死なないといいんですが。			保存する者たち							
第二実験室前のシェールは、扉を開けようとしている。			第二実験室前のシェールは、扉を開けようとしている。			進化の方程式							
Lv3セキュリティパスを探す			Lv3セキュリティパスを探す			進化の方程式							
シェールと話す			シェールと話す			進化の方程式							
所長室前の読み取り機にLv3セキュリティパスを使う			所長室前の読み取り機にLv3セキュリティパスを使う			進化の方程式							
シェールと話す			シェールと話す			進化の方程式							
所長室で情報を集める			所長室で情報を集める			進化の方程式							
シェールに走り書きの紙片を渡す			シェールに走り書きの紙片を渡す			進化の方程式							
所長の端末を調べ、正しいパスワードを選ぶ			所長の端末を調べ、正しいパスワードを選ぶ			進化の方程式							
シェールと話す			シェールと話す			進化の方程式							
バックルームのシェールと話す			バックルームのシェールと話す			進化の方程式							
ふふっ、冗談ですよ。……では、扉を開けてみますね。			ふふっ、冗談ですよ。……では、扉を開けてみますね。			進化の方程式							
よかった……問題なく作動しました。さっそく第二実験室に入ってみましょう。			よかった……問題なく作動しました。さっそく第二実験室に入ってみましょう。			進化の方程式							
え、あれって……！			え、あれって……！			進化の方程式							
「世界を繋ぐ力」の鍵！？			「世界を繋ぐ力」の鍵！？			進化の方程式							
モニターに映っているのは……「鍵」の設計図、でしょうか。			モニターに映っているのは……「鍵」の設計図、でしょうか。			進化の方程式							
隣の装置の中には、実物があるぜ。けど、Forenameが持ってる奴には、中に細長い石みてぇなのが入ってたよな？			隣の装置の中には、実物があるぜ。けど、Forenameが持ってる奴には、中に細長い石みてぇなのが入ってたよな？			進化の方程式							
ちょ、ちょっと待って……！だとすると、認識を改める必要があるかもしれないわ。			ちょ、ちょっと待って……！だとすると、認識を改める必要があるかもしれないわ。			進化の方程式							
「鍵」はもともと、ミララ族の秘宝だった。プリザベーションがそれを利用して、「世界を繋ぐ力」を制御しようとした……。			「鍵」はもともと、ミララ族の秘宝だった。プリザベーションがそれを利用して、「世界を繋ぐ力」を制御しようとした……。			進化の方程式							
そして今見ているとおり、彼らの研究室で、結晶以外のパーツが製造されている。つまり……？			そして今見ているとおり、彼らの研究室で、結晶以外のパーツが製造されている。つまり……？			進化の方程式							
何と言う？			何と言う？			進化の方程式							
中の結晶こそが「鍵」だった			中の結晶こそが「鍵」だった			進化の方程式							
外側はプリザベーションの作った制御装置だ			外側はプリザベーションの作った制御装置だ			進化の方程式							
……そうね、そう考えるのが妥当だと思う。たしかに私の両親もこう言っていたわ。			……そうね、そう考えるのが妥当だと思う。たしかに私の両親もこう言っていたわ。			進化の方程式							
「鍵」については、まだ謎が多い。プリザベーションはそこに改造を施したが、仕組みを完全に理解した上でのことではない……。			「鍵」については、まだ謎が多い。プリザベーションはそこに改造を施したが、仕組みを完全に理解した上でのことではない……。			進化の方程式							
あの「鍵」がいつ、誰によって作り出されたのか、そこからもたらされる「世界を繋ぐ力」の本質とは……。解明できた者は、ひとりとしていない、って。			あの「鍵」がいつ、誰によって作り出されたのか、そこからもたらされる「世界を繋ぐ力」の本質とは……。解明できた者は、ひとりとしていない、って。			進化の方程式							
なるほど……。プリザベーション製の制御装置がついてたから、カリュクスが「鍵」の位置を特定できたわけだな。			なるほど……。プリザベーション製の制御装置がついてたから、カリュクスが「鍵」の位置を特定できたわけだな。			進化の方程式							
もっと深く調べたいところだけれど……「鍵」についての調査は、機会を改めた方がよさそうね。今度はヤ・シュトラも、ここへ連れてきましょう。			もっと深く調べたいところだけれど……「鍵」についての調査は、機会を改めた方がよさそうね。今度はヤ・シュトラも、ここへ連れてきましょう。			進化の方程式							
そうだね……今はカリュクスの潜伏先を突き止めよう。所長室に入るためのセキュリティパスがあるといいんだけど。			そうだね……今はカリュクスの潜伏先を突き止めよう。所長室に入るためのセキュリティパスがあるといいんだけど。			進化の方程式							
この部屋は秘匿性が高い研究をしていたようですから、所長室に出入りできるような、上級職員もいたはずです。			この部屋は秘匿性が高い研究をしていたようですから、所長室に出入りできるような、上級職員もいたはずです。			進化の方程式							
必要なのはレベル3のセキュリティパス……まずは手分けして探しましょう。			必要なのはレベル3のセキュリティパス……まずは手分けして探しましょう。			進化の方程式							
机の中を探してみるね。きっとあと少し……一緒に頑張ろう！			机の中を探してみるね。きっとあと少し……一緒に頑張ろう！			進化の方程式							
セキュリティパス、セキュリティパス……。このあたりの荷物に紛れてねぇかな。			セキュリティパス、セキュリティパス……。このあたりの荷物に紛れてねぇかな。			進化の方程式							
……つい、両親の痕跡が遺っていないか探しちゃうわ。ないってわかっているんだけれどね。			……つい、両親の痕跡が遺っていないか探しちゃうわ。ないってわかっているんだけれどね。			進化の方程式							
この部屋には監視カメラが備わっているようなので、往時の様子を探ってみますね。職員たちの動きがわかれば、パスが見つかるかもしれません。			この部屋には監視カメラが備わっているようなので、往時の様子を探ってみますね。職員たちの動きがわかれば、パスが見つかるかもしれません。			進化の方程式							
「鍵」の制御装置……たくさん作ってるってことは、試作品だったのかな？			「鍵」の制御装置……たくさん作ってるってことは、試作品だったのかな？			進化の方程式							
セキュリティパスを見つけた！表面に「Lv3」と記載されている。			セキュリティパスを見つけた！表面に「Lv3」と記載されている。			進化の方程式							
もしかして、セキュリティパスが見つかったの？よかった、残っていたのね……。			もしかして、セキュリティパスが見つかったの？よかった、残っていたのね……。			進化の方程式							
念のためシェールさんに確認してもらいましょう！			念のためシェールさんに確認してもらいましょう！			進化の方程式							
資料などが入った箱が置かれている。セキュリティパスはここにはなさそうだ……。			資料などが入った箱が置かれている。セキュリティパスはここにはなさそうだ……。			進化の方程式							
車輪の付いた棚に、箱や筒状の物が置かれている。セキュリティパスはここにはなさそうだ……。			車輪の付いた棚に、箱や筒状の物が置かれている。セキュリティパスはここにはなさそうだ……。			進化の方程式							
それは……たしかにレベル3のセキュリティパスのようです。やりましたね、Forenameさん！			それは……たしかにレベル3のセキュリティパスのようです。やりましたね、Forenameさん！			進化の方程式							
やったあ、これで所長室に入れるね！			やったあ、これで所長室に入れるね！			進化の方程式							
ところでシェール。この施設の調査をはじめるときに、最終的な目標は、所長室で「ある装置」を見つけ出すことだって言ってたよね。			ところでシェール。この施設の調査をはじめるときに、最終的な目標は、所長室で「ある装置」を見つけ出すことだって言ってたよね。			進化の方程式							
その装置について、そろそろ聞いてもいい……？			その装置について、そろそろ聞いてもいい……？			進化の方程式							
そうでしたね。僕が探しているもの……それは、情報中継装置なんですよ。			そうでしたね。僕が探しているもの……それは、情報中継装置なんですよ。			進化の方程式							
この施設の存在を知ったあと、僕はまず基礎調査をしました。すると、放棄されてるはずなのに、外部のネットワークへの接続が確認できたんです。			この施設の存在を知ったあと、僕はまず基礎調査をしました。すると、放棄されてるはずなのに、外部のネットワークへの接続が確認できたんです。			進化の方程式							
ではどこへアクセスしていたかというと……エバーキープ内の監視カメラでした。			ではどこへアクセスしていたかというと……エバーキープ内の監視カメラでした。			進化の方程式							
これまでのカリュクスの動きを踏まえても、彼が監視カメラを密かに掌握し、監視体制を構築しているのは間違いない。			これまでのカリュクスの動きを踏まえても、彼が監視カメラを密かに掌握し、監視体制を構築しているのは間違いない。			進化の方程式							
「鍵」を持つあなたの動向を探るために……。			「鍵」を持つあなたの動向を探るために……。			進化の方程式							
けれどそれは逆に、彼を辿る経路でもあります。監視映像は必ず、カリュクスのもとに送信されてるんですから。			けれどそれは逆に、彼を辿る経路でもあります。監視映像は必ず、カリュクスのもとに送信されてるんですから。			進化の方程式							
僕が押さえたいのは、まさしくそれです。監視映像を集め、カリュクスに送信している装置を探し出し、送り先がどこなのかを解析できれば……			僕が押さえたいのは、まさしくそれです。監視映像を集め、カリュクスに送信している装置を探し出し、送り先がどこなのかを解析できれば……			進化の方程式							
……カリュクスの潜伏先を特定できる。			……カリュクスの潜伏先を特定できる。			進化の方程式							
とはいえ、まだ大ハズレの可能性もありますけどね。カリュクスが妨害してこないのが、少々気がかりです。			とはいえ、まだ大ハズレの可能性もありますけどね。カリュクスが妨害してこないのが、少々気がかりです。			進化の方程式							
妨害ねぇ……。する気がねぇんだか、できねぇんだか……。			妨害ねぇ……。する気がねぇんだか、できねぇんだか……。			進化の方程式							
あいつ、アンダーキープのときは、Forenameの強さを測ってるって言ってたけどさ。どうやってそれを超える強さを得るつもりなんだろうな？			あいつ、アンダーキープのときは、Forenameの強さを測ってるって言ってたけどさ。どうやってそれを超える強さを得るつもりなんだろうな？			進化の方程式							
ああ、監視カメラといえば、もうひとつ報告が。この部屋にもカメラが設置されてるんですが、施設が放棄されるよりも前に、停止させられてたようなんです。			ああ、監視カメラといえば、もうひとつ報告が。この部屋にもカメラが設置されてるんですが、施設が放棄されるよりも前に、停止させられてたようなんです。			進化の方程式							
最新の映像も不自然に削除されてましたし……。一応復元はしたんですけど、見てみますか？			最新の映像も不自然に削除されてましたし……。一応復元はしたんですけど、見てみますか？			進化の方程式							
わかりました。では、最も新しく記録された監視映像を流します。			わかりました。では、最も新しく記録された監視映像を流します。			進化の方程式							
そんな……離反者は殺されていたなんて……。			そんな……離反者は殺されていたなんて……。			進化の方程式							
……研究員データと照合してみましたが、女性を殺した男が、所長のデメトリオスのようです。ずいぶんとカリュクスに心酔していたようですね。			……研究員データと照合してみましたが、女性を殺した男が、所長のデメトリオスのようです。ずいぶんとカリュクスに心酔していたようですね。			進化の方程式							
この記録以降、監視カメラは作動してません。映像が削除されていたことを考えると、ほかの研究員には、殺害したことを隠していたのでしょう……。			この記録以降、監視カメラは作動してません。映像が削除されていたことを考えると、ほかの研究員には、殺害したことを隠していたのでしょう……。			進化の方程式							
私の両親も、たしかに言っていたわ。プリザベーションを決死の思いで離脱したって……。			私の両親も、たしかに言っていたわ。プリザベーションを決死の思いで離脱したって……。			進化の方程式							
追っ手の迫る中で、幼い私を異世界に託したんだって……。			追っ手の迫る中で、幼い私を異世界に託したんだって……。			進化の方程式							
ふたりがその後どうなったのかは、聞けなかった。でも、もし追っ手に捕まっていたとしたら……。			ふたりがその後どうなったのかは、聞けなかった。でも、もし追っ手に捕まっていたとしたら……。			進化の方程式							
何と言う？			何と言う？			進化の方程式							
……きっと逃げ切れたよ			……きっと逃げ切れたよ			進化の方程式							
後悔していなかったと思う			後悔していなかったと思う			進化の方程式							
ありがとう……。そうでなかったとしても、永久人として過ごした最後の時間が、穏やかなものであったことを願うわ。			ありがとう……。そうでなかったとしても、永久人として過ごした最後の時間が、穏やかなものであったことを願うわ。			進化の方程式							
……そっか。過去を視たあなたがそう言ってくれるなら、ふたりはやり遂げたんだって、私も信じるわ。			……そっか。過去を視たあなたがそう言ってくれるなら、ふたりはやり遂げたんだって、私も信じるわ。			進化の方程式							
クルル……。			クルル……。			進化の方程式							
大丈夫よ。両親の想いは、あの日リビング・メモリーで受け取ったもの。			大丈夫よ。両親の想いは、あの日リビング・メモリーで受け取ったもの。			進化の方程式							
……だから私は、前に進めるのよ。			……だから私は、前に進めるのよ。			進化の方程式							
……今となっては、当時のご両親とプリザベーションの間で、どんな攻防があったのかはわかりません。			……今となっては、当時のご両親とプリザベーションの間で、どんな攻防があったのかはわかりません。			進化の方程式							
ですが、優秀なご両親のことですから、原初世界に追っ手が向かわないように……			ですが、優秀なご両親のことですから、原初世界に追っ手が向かわないように……			進化の方程式							
なにより、あなたに危害が及ばないように、手がかりも自分たちの痕跡も、きれいに抹消したのでしょうね。			なにより、あなたに危害が及ばないように、手がかりも自分たちの痕跡も、きれいに抹消したのでしょうね。			進化の方程式							
……さあ、先へ進みましょう。「鍵」へ託された想いを繋ぐために。			……さあ、先へ進みましょう。「鍵」へ託された想いを繋ぐために。			進化の方程式							
いよいよ所長室だね！レベル3のセキュリティパスが使えるか試してみよう！			いよいよ所長室だね！レベル3のセキュリティパスが使えるか試してみよう！			進化の方程式							
読み取り機がある。「Lv3セキュリティパス」が使えそうだ。			読み取り機がある。「Lv3セキュリティパス」が使えそうだ。			進化の方程式							
「Lv3セキュリティパス」を読み取り機にかざした。			「Lv3セキュリティパス」を読み取り機にかざした。			進化の方程式							
よっしゃあ、開いた！さっそく入ろうぜ！			よっしゃあ、開いた！さっそく入ろうぜ！			進化の方程式							
よかった……僕は中継装置を探してみます。みなさんも室内に何か怪しいものがあれば教えてください。			よかった……僕は中継装置を探してみます。みなさんも室内に何か怪しいものがあれば教えてください。			進化の方程式							
もしかするとセキュリティパスが必要になるかもしれませんので、Forenameさんは、ひとまず僕と一緒に。さあ行きましょう。			もしかするとセキュリティパスが必要になるかもしれませんので、Forenameさんは、ひとまず僕と一緒に。さあ行きましょう。			進化の方程式							
この書類は……報告書みたい……。人をエーテルに還すと、ひとりあたり、どれくらいのエネルギーになるのかって……。			この書類は……報告書みたい……。人をエーテルに還すと、ひとりあたり、どれくらいのエネルギーになるのかって……。			進化の方程式							
あっと……ごめんなさい、「鍵」について考え込んでいたわ。今はシェールさんの報告を待ちましょうか。			あっと……ごめんなさい、「鍵」について考え込んでいたわ。今はシェールさんの報告を待ちましょうか。			進化の方程式							
こっちの棚の上には、香と花瓶と……あとは宝石を並べるプレートか？デメトリオスって奴、ちゃんと部屋を飾るタイプなんだな。			こっちの棚の上には、香と花瓶と……あとは宝石を並べるプレートか？デメトリオスって奴、ちゃんと部屋を飾るタイプなんだな。			進化の方程式							
怪しいもの……何かあるかなぁ？			怪しいもの……何かあるかなぁ？			進化の方程式							
…………違う、外部と通信してない。これは目当ての中継装置じゃありません。			…………違う、外部と通信してない。これは目当ての中継装置じゃありません。			進化の方程式							
それに、事前に得ていたマップデータと比べて、所長室がずいぶん小さいんですよ。			それに、事前に得ていたマップデータと比べて、所長室がずいぶん小さいんですよ。			進化の方程式							
場所を間違えた……？あるいは、何か見落としてるんでしょうか……。			場所を間違えた……？あるいは、何か見落としてるんでしょうか……。			進化の方程式							
すみません……ほかのみなさんと一緒に、手がかりになりそうなものを探してみていただけませんか？			すみません……ほかのみなさんと一緒に、手がかりになりそうなものを探してみていただけませんか？			進化の方程式							
すみませんが、何か手がかりが見つかったら教えてください。僕も見落としがないか調べてみます……。			すみませんが、何か手がかりが見つかったら教えてください。僕も見落としがないか調べてみます……。			進化の方程式							
想定していたよりも部屋が小さい、か……。どういうことなんだろう……？			想定していたよりも部屋が小さい、か……。どういうことなんだろう……？			進化の方程式							
ここの壁……。一瞬、ちらついて見えた気がしたけど、気のせいかしら……。			ここの壁……。一瞬、ちらついて見えた気がしたけど、気のせいかしら……。			進化の方程式							
あれ……？このプレート、もしかして……。			あれ……？このプレート、もしかして……。			進化の方程式							
机の下の箱には、難しそうな本がたくさん入ってたよ。僕だったら、本の下にこっそり宝物を隠しておくけどな。			机の下の箱には、難しそうな本がたくさん入ってたよ。僕だったら、本の下にこっそり宝物を隠しておくけどな。			進化の方程式							
……あっ、もしかして本当に何か隠されてたりするかな？よーし、怪しいものがないか、よく調べておくね！			……あっ、もしかして本当に何か隠されてたりするかな？よーし、怪しいものがないか、よく調べておくね！			進化の方程式							
ファイルの隙間に紙片が挟まっている。			ファイルの隙間に紙片が挟まっている。			進化の方程式							
(-走り書きの紙片-)機密室への昇降機使用手順。第一実験室、第二実験室、所長室のそれぞれの端末に、パスワードを同時入力。			(-走り書きの紙片-)機密室への昇降機使用手順。第一実験室、第二実験室、所長室のそれぞれの端末に、パスワードを同時入力。			進化の方程式							
……シェールに見せてみよう。			……シェールに見せてみよう。			進化の方程式							
長い眠りから目覚め、一心に自動洗浄を行っている……。特に変わったところはなさそうだ。			長い眠りから目覚め、一心に自動洗浄を行っている……。特に変わったところはなさそうだ。			進化の方程式							
所長が使っていたソウルケージだろうか。中の魂は空になっている……。			所長が使っていたソウルケージだろうか。中の魂は空になっている……。			進化の方程式							
所長デメトリオスが使っていたと思われる、携帯端末やロッカーがある。			所長デメトリオスが使っていたと思われる、携帯端末やロッカーがある。			進化の方程式							
どうする？			どうする？			進化の方程式							
携帯端末を調べる			携帯端末を調べる			進化の方程式							
ロッカーを調べる			ロッカーを調べる			進化の方程式							
携帯端末を調べてみよう。何か手がかりがあるかもしれない……。			携帯端末を調べてみよう。何か手がかりがあるかもしれない……。			進化の方程式							
どの項目を読む？			どの項目を読む？			進化の方程式							
日次報告			日次報告			進化の方程式							
施設の保存について			施設の保存について			進化の方程式							
キャンセル			キャンセル			進化の方程式							
(-とある日の報告内容-)特記事項なし。「鍵」の発動条件は依然として不明。			(-とある日の報告内容-)特記事項なし。「鍵」の発動条件は依然として不明。			進化の方程式							
