ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			娘はどこへ							
……確か、イクサル族は、厳しい階級社会でしたよね。支配階級の「天下りし者」や、騎士階級の「風乗りし者」には、労働者階級である「舞い上がりし者」は逆らえないとか。			……確か、イクサル族は、厳しい階級社会でしたよね。支配階級の「天下りし者」や、騎士階級の「風乗りし者」には、労働者階級である「舞い上がりし者」は逆らえないとか。			暴走戦艦 フラクタル・コンティニアム							
ただ、そういう風に「設計」されてたんスよッォ……。他にも、環境変化に弱く、遺伝子異常を起こしやすいとか、ご丁寧に「解説」されてたッスッゥ……。			ただ、そういう風に「設計」されてたんスよッォ……。他にも、環境変化に弱く、遺伝子異常を起こしやすいとか、ご丁寧に「解説」されてたッスッゥ……。			暴走戦艦 フラクタル・コンティニアム							
森を追われて、飛べなくなったことも道理だったんだッァ！オレたちは、アラグの工場で創られた、ただの化け物……アヤトランなんて、どこにもなかったんスよッォ！			森を追われて、飛べなくなったことも道理だったんだッァ！オレたちは、アラグの工場で創られた、ただの化け物……アヤトランなんて、どこにもなかったんスよッォ！			暴走戦艦 フラクタル・コンティニアム							
うるせェェェェェェェェッェ！！！！さっきから黙って聞いてりゃ、くだらねぇ話をベラベラとッォ！			うるせェェェェェェェェッェ！！！！さっきから黙って聞いてりゃ、くだらねぇ話をベラベラとッォ！			暴走戦艦 フラクタル・コンティニアム							
アヤトランの正体が、アラグ帝国のけったくそ悪い工場だったなら、今度は本当の楽園を探しゃいいじゃねえかッァ！！！			アヤトランの正体が、アラグ帝国のけったくそ悪い工場だったなら、今度は本当の楽園を探しゃいいじゃねえかッァ！！！			暴走戦艦 フラクタル・コンティニアム							
たとえ創られた存在だろうが、楽園を求めて空を飛びたいっつう、このオレの熱い魂だけは、創り物なんかじゃねッェ！！			たとえ創られた存在だろうが、楽園を求めて空を飛びたいっつう、このオレの熱い魂だけは、創り物なんかじゃねッェ！！			暴走戦艦 フラクタル・コンティニアム							
それともなにかッァ？合成獣が夢見ちゃいけねえってのかッァ、アアンッン！？			それともなにかッァ？合成獣が夢見ちゃいけねえってのかッァ、アアンッン！？			暴走戦艦 フラクタル・コンティニアム							
いいか、ケズルッゥ……二度と、そんなつまんねえこと言うんじゃねえぞッォ！！オレたちのでけぇ夢に、ケチがついちまうからなッァ！！！			いいか、ケズルッゥ……二度と、そんなつまんねえこと言うんじゃねえぞッォ！！オレたちのでけぇ夢に、ケチがついちまうからなッァ！！！			暴走戦艦 フラクタル・コンティニアム							
……親方、オレが間違ってたッスッゥ……。これからも、アヤトランを探して、気球作りに励むッスッゥ！！			……親方、オレが間違ってたッスッゥ……。これからも、アヤトランを探して、気球作りに励むッスッゥ！！			暴走戦艦 フラクタル・コンティニアム							
我々は、二度とフラクタル・コンティニアムに立ち入らないよう、ケズルさんにお願いしに来たのですが、その必要はなさそうですね。			我々は、二度とフラクタル・コンティニアムに立ち入らないよう、ケズルさんにお願いしに来たのですが、その必要はなさそうですね。			暴走戦艦 フラクタル・コンティニアム							
死んでも行かないッスよッォ。あんなところは、オレたちの探すアヤトランじゃないッスからッァ！			死んでも行かないッスよッォ。あんなところは、オレたちの探すアヤトランじゃないッスからッァ！			暴走戦艦 フラクタル・コンティニアム							
さて、話も終わったことだッァ……。ケズル、気球を盗んだ罰に、ボコられる覚悟はデキてんだろうなッァ！？			さて、話も終わったことだッァ……。ケズル、気球を盗んだ罰に、ボコられる覚悟はデキてんだろうなッァ！？			暴走戦艦 フラクタル・コンティニアム							
エェェェェェェェェッェ！？親方、カンベンしてくださいッスッゥー！！！			エェェェェェェェェッェ！？親方、カンベンしてくださいッスッゥー！！！			暴走戦艦 フラクタル・コンティニアム							
一件落着して何よりでした。それにしても、イクサル族のルーツには驚きましたね。彼らは、あまり気にしていないようでしたが……。			一件落着して何よりでした。それにしても、イクサル族のルーツには驚きましたね。彼らは、あまり気にしていないようでしたが……。			暴走戦艦 フラクタル・コンティニアム							
ボクは、これまで、自分が貧民出身であることに、劣等感を抱いて生きてきました……。			ボクは、これまで、自分が貧民出身であることに、劣等感を抱いて生きてきました……。			暴走戦艦 フラクタル・コンティニアム							
ですが、先ほどの彼らを見ていて、思い直しました。誰にだって、夢を追いかける資格がある、と。			ですが、先ほどの彼らを見ていて、思い直しました。誰にだって、夢を追いかける資格がある、と。			暴走戦艦 フラクタル・コンティニアム							
よーし、シドさんのような立派な機工師になれるよう、気合を入れてデッパツだッァ！！			よーし、シドさんのような立派な機工師になれるよう、気合を入れてデッパツだッァ！！			暴走戦艦 フラクタル・コンティニアム							
Surnameさん、この度は、ご協力ありがとうございました！			Surnameさん、この度は、ご協力ありがとうございました！			暴走戦艦 フラクタル・コンティニアム							
ラールガーズリーチのオートウィンは、冒険者に紹介したい修行場があるようだ。			ラールガーズリーチのオートウィンは、冒険者に紹介したい修行場があるようだ。			壊神修行 星導山寺院							
今では誰も立ち入らなくなった星導教の寺院だが、かつては、モンク僧の修行の場だったらしい。修行に挑戦したいなら、ラールガーズリーチ北側にある扉の前にいるという「マージョリー」から話を聞いてみよう。			今では誰も立ち入らなくなった星導教の寺院だが、かつては、モンク僧の修行の場だったらしい。修行に挑戦したいなら、ラールガーズリーチ北側にある扉の前にいるという「マージョリー」から話を聞いてみよう。			壊神修行 星導山寺院							
マージョリーと話した。道案内に同行するという彼女とともに、「星導山寺院」の修行に挑もう。※コンテンツファインダーから攻略に参加できます。			マージョリーと話した。道案内に同行するという彼女とともに、「星導山寺院」の修行に挑もう。※コンテンツファインダーから攻略に参加できます。			壊神修行 星導山寺院							
「星導山寺院」を攻略し、英霊イヴォンを打ち破った。ラールガーズリーチ北側にある扉の前で「マージョリー」と話そう。			「星導山寺院」を攻略し、英霊イヴォンを打ち破った。ラールガーズリーチ北側にある扉の前で「マージョリー」と話そう。			壊神修行 星導山寺院							
マージョリーは、英霊イヴォンと直接対面するため、モンクになると言って去っていった。実現するかはともかく、彼女のモンクにかける情熱は本物だろう。			マージョリーは、英霊イヴォンと直接対面するため、モンクになると言って去っていった。実現するかはともかく、彼女のモンクにかける情熱は本物だろう。			壊神修行 星導山寺院							
マージョリーと話す			マージョリーと話す			壊神修行 星導山寺院							
「壊神修行 星導山寺院」を攻略			「壊神修行 星導山寺院」を攻略			壊神修行 星導山寺院							
マージョリーに報告			マージョリーに報告			壊神修行 星導山寺院							
アラミゴ奪還に尽力してくれた英雄殿じゃないか！これは、ちょうどよいところに訪ねてきてくれた。君が興味を持ちそうな話があってね。			アラミゴ奪還に尽力してくれた英雄殿じゃないか！これは、ちょうどよいところに訪ねてきてくれた。君が興味を持ちそうな話があってね。			壊神修行 星導山寺院							
ここ「ラールガーズリーチ」は、元はと言えば、ラールガー星導教の聖地だった場所……。この岩山の頂には、総本山たる「星導教寺院」があったんだ。			ここ「ラールガーズリーチ」は、元はと言えば、ラールガー星導教の聖地だった場所……。この岩山の頂には、総本山たる「星導教寺院」があったんだ。			壊神修行 星導山寺院							
かつては、多くのモンク僧が、修行に励んだというが、廃王テオドリックによる焼き討ち以来、訪れる者すらいない。しかし、その廃墟へ赴きたいという女性が現れたんだよ……！			かつては、多くのモンク僧が、修行に励んだというが、廃王テオドリックによる焼き討ち以来、訪れる者すらいない。しかし、その廃墟へ赴きたいという女性が現れたんだよ……！			壊神修行 星導山寺院							
危険なので、要望は断っているんだけど、その話を聞いて、ふと我らの英雄である君の顔が浮かんでね……。君なら、かつての修行の道をも突破できるんじゃないかって！			危険なので、要望は断っているんだけど、その話を聞いて、ふと我らの英雄である君の顔が浮かんでね……。君なら、かつての修行の道をも突破できるんじゃないかって！			壊神修行 星導山寺院							
もしも、星導教寺院に興味があるなら、件の女性「マージョリー」に話を聞いてみてはどうだい？きっと今も、北側の星導山寺院へつづく扉の前にいるだろうから。			もしも、星導教寺院に興味があるなら、件の女性「マージョリー」に話を聞いてみてはどうだい？きっと今も、北側の星導山寺院へつづく扉の前にいるだろうから。			壊神修行 星導山寺院							
もしも、星導教寺院に興味があるなら、件の女性「マージョリー」に話を聞いてみてはどうだい？きっと今も、北側の星導山寺院へつづく扉の前にいるだろうから。			もしも、星導教寺院に興味があるなら、件の女性「マージョリー」に話を聞いてみてはどうだい？きっと今も、北側の星導山寺院へつづく扉の前にいるだろうから。			壊神修行 星導山寺院							
……えっ！　あなたも「星導山寺院」に興味があるのですか！？わぁ、まさか同好の士にお会いできるなんて！しかも、見たところかなりの凄腕さんですね……？			……えっ！　あなたも「星導山寺院」に興味があるのですか！？わぁ、まさか同好の士にお会いできるなんて！しかも、見たところかなりの凄腕さんですね……？			壊神修行 星導山寺院							
私は、エリックという史学者さんから、アラミゴ史の講演を聞き、モンクという存在を知ったんですよ。それ以来、すっかり、その教義や生き様の虜になってしまって！			私は、エリックという史学者さんから、アラミゴ史の講演を聞き、モンクという存在を知ったんですよ。それ以来、すっかり、その教義や生き様の虜になってしまって！			壊神修行 星導山寺院							
そして、ようやく帝国の支配も解けたと聞いて、かつてのモンク僧の総本山「星導山寺院」を訪ねてきたんです！でも、この人が寺院へ通じる扉を通してくれなくて……。			そして、ようやく帝国の支配も解けたと聞いて、かつてのモンク僧の総本山「星導山寺院」を訪ねてきたんです！でも、この人が寺院へ通じる扉を通してくれなくて……。			壊神修行 星導山寺院							
簡単に、総本山を見たいと言うが、この先は、モンクたちが修行に用いた仕掛けや障害だらけ。生命の危険がある場所に、一般人を通すわけにはいかんよ……。			簡単に、総本山を見たいと言うが、この先は、モンクたちが修行に用いた仕掛けや障害だらけ。生命の危険がある場所に、一般人を通すわけにはいかんよ……。			壊神修行 星導山寺院							
その仕掛けや障害こそ、私が見たいものなのに……！文献によると、それらを突破し寺院へたどり着いた者は、伝説の英霊による試練を受けることができたらしいんです。			その仕掛けや障害こそ、私が見たいものなのに……！文献によると、それらを突破し寺院へたどり着いた者は、伝説の英霊による試練を受けることができたらしいんです。			壊神修行 星導山寺院							
いったいどんな試練なのか、あなたも気になりません？……というか、ここにいらしたということは、あなたも、行く気満々なのですよね！？			いったいどんな試練なのか、あなたも気になりません？……というか、ここにいらしたということは、あなたも、行く気満々なのですよね！？			壊神修行 星導山寺院							
ええーっ！　あなたもモンクなのですか！？実際にモンクにお会いできるなんて……感激ですッ！なるほど、先達の修行に挑戦しようといらしたのですね。			ええーっ！　あなたもモンクなのですか！？実際にモンクにお会いできるなんて……感激ですッ！なるほど、先達の修行に挑戦しようといらしたのですね。			壊神修行 星導山寺院							
なるほど、ご自身の腕前を試したいと！アラミゴ解放に、大きな貢献を果たした冒険者……。その存在は私も聞いていましたが、それがあなただったとは！			なるほど、ご自身の腕前を試したいと！アラミゴ解放に、大きな貢献を果たした冒険者……。その存在は私も聞いていましたが、それがあなただったとは！			壊神修行 星導山寺院							
……そうだ、私、いいことを思いつきました！あなたが「星導山寺院」の修行に挑むのなら、どうか、私をお供に連れて行ってくださいませんか！？			……そうだ、私、いいことを思いつきました！あなたが「星導山寺院」の修行に挑むのなら、どうか、私をお供に連れて行ってくださいませんか！？			壊神修行 星導山寺院							
内部の構造などは、文献である程度頭に入ってます。どうか私を、道案内として同行させてください！もちろん修行の邪魔はいたしませんのでっ！			内部の構造などは、文献である程度頭に入ってます。どうか私を、道案内として同行させてください！もちろん修行の邪魔はいたしませんのでっ！			壊神修行 星導山寺院							
モンクの人たちが、汗滴らせ励んだ修行。そして、その先に待ち受ける英霊の試練とはいったい……！……ウフフ、張り切って行ってみましょー！			モンクの人たちが、汗滴らせ励んだ修行。そして、その先に待ち受ける英霊の試練とはいったい……！……ウフフ、張り切って行ってみましょー！			壊神修行 星導山寺院							
……あんたにとっては災難かもしれんが、武の心得がないものを、ひとりで通すわけにはいかんのでな。すまんが、彼女を同行させてやってくれ。			……あんたにとっては災難かもしれんが、武の心得がないものを、ひとりで通すわけにはいかんのでな。すまんが、彼女を同行させてやってくれ。			壊神修行 星導山寺院							
無事に帰ってくるとは、さすがの腕前だな！それで、英霊とやらには会えたのかい？			無事に帰ってくるとは、さすがの腕前だな！それで、英霊とやらには会えたのかい？			壊神修行 星導山寺院							
お帰りを、お待ちしておりました！一角の武人しか立ち入りを許されない、寺院の本殿！そこに何が待ち受けていたのか、教えてくださいっ！			お帰りを、お待ちしておりました！一角の武人しか立ち入りを許されない、寺院の本殿！そこに何が待ち受けていたのか、教えてくださいっ！			壊神修行 星導山寺院							
な、なんと！　試練を与える英霊というのが、伝説のモンク、イヴォン様だったなんて……！			な、なんと！　試練を与える英霊というのが、伝説のモンク、イヴォン様だったなんて……！			壊神修行 星導山寺院							
イヴォン様は生前、山にこもってクァール相手に修行を積み、獣の動きをもとに数々の武技を編み出した、伝説のモンク僧。だから、クァールがああも大量にいたのですね……。			イヴォン様は生前、山にこもってクァール相手に修行を積み、獣の動きをもとに数々の武技を編み出した、伝説のモンク僧。だから、クァールがああも大量にいたのですね……。			壊神修行 星導山寺院							
暴君テオドリックによる焼き討ちと、ガレマール帝国の支配による20年の空白……。それでも、イヴォン様の英霊は、挑戦者を待ち続けていた……。			暴君テオドリックによる焼き討ちと、ガレマール帝国の支配による20年の空白……。それでも、イヴォン様の英霊は、挑戦者を待ち続けていた……。			壊神修行 星導山寺院							
……よし！　冒険者さん、決めました。私は…………モンクになります！！			……よし！　冒険者さん、決めました。私は…………モンクになります！！			壊神修行 星導山寺院							
この先に、イヴォン様がいる……。彼に会うためには、英霊が待ち構える本殿まで、自分自身の力で到達しなければならない……。			この先に、イヴォン様がいる……。彼に会うためには、英霊が待ち構える本殿まで、自分自身の力で到達しなければならない……。			壊神修行 星導山寺院							
ならば、とる道はひとつ……！門前までの試練を自分で突破できるくらいの実力を身に着け、イヴォン様に会いに行くのです！			ならば、とる道はひとつ……！門前までの試練を自分で突破できるくらいの実力を身に着け、イヴォン様に会いに行くのです！			壊神修行 星導山寺院							
そうと決まれば、ノンビリしている暇はありません！星導教やモンク僧に関する、宗教書や歴史書を読み返し、もっともっと、知識を深めねば！			そうと決まれば、ノンビリしている暇はありません！星導教やモンク僧に関する、宗教書や歴史書を読み返し、もっともっと、知識を深めねば！			壊神修行 星導山寺院							
……いえ、せっかくなら引き続き現地で、星導教を現代に伝えている人物を探してみるとか……？			……いえ、せっかくなら引き続き現地で、星導教を現代に伝えている人物を探してみるとか……？			壊神修行 星導山寺院							
……冒険者さん、ありがとうございます！モンクに関する場所をまわるという夢を叶えたと思ったら、もう、新しい夢が見つかりました！			……冒険者さん、ありがとうございます！モンクに関する場所をまわるという夢を叶えたと思ったら、もう、新しい夢が見つかりました！			壊神修行 星導山寺院							
次に会うときは、私も筋骨隆々なモンクになってますので！それでは、また何処かでお会いしましょう！			次に会うときは、私も筋骨隆々なモンクになってますので！それでは、また何処かでお会いしましょう！			壊神修行 星導山寺院							
……どこまで本気なのかはわからんが、えらく遠回りな方法で、モンクを目指すお嬢ちゃんだな。			……どこまで本気なのかはわからんが、えらく遠回りな方法で、モンクを目指すお嬢ちゃんだな。			壊神修行 星導山寺院							
ラールガーズリーチの気っ風がいい行商人は、売り声をあげている。			ラールガーズリーチの気っ風がいい行商人は、売り声をあげている。			塩が紡ぐ復興							
気っ風がいい行商人から、ソルトリーの復興を見にいくよう勧められた。ギラバニア湖畔地帯のソルトリーにいる「ウィスカー」と話そう。			気っ風がいい行商人から、ソルトリーの復興を見にいくよう勧められた。ギラバニア湖畔地帯のソルトリーにいる「ウィスカー」と話そう。			塩が紡ぐ復興							
ウィスカーと話した。彼が復興した村を案内してくれるようだ。ソルトリーの「ウィスカー」と話そう。			ウィスカーと話した。彼が復興した村を案内してくれるようだ。ソルトリーの「ウィスカー」と話そう。			塩が紡ぐ復興							
ウィスカーは引き続き案内してくれるようだ。ロッホ・セル湖の「ウィスカー」と再度話そう。			ウィスカーは引き続き案内してくれるようだ。ロッホ・セル湖の「ウィスカー」と再度話そう。			塩が紡ぐ復興							
ウィスカーから、最後にワットに声をかけるよう頼まれた。ソルトリーの「ワット」と話そう。			ウィスカーから、最後にワットに声をかけるよう頼まれた。ソルトリーの「ワット」と話そう。			塩が紡ぐ復興							
ワットと話したところ、リリラに扮したナナモ・ウル・ナモとパパシャンが現れた。どうやら、お忍びでソルトリーの視察に来ていたようだ。ワットとソルトリーの人々は、必ずアラミゴの復興を成し遂げると意気込むのだった。			ワットと話したところ、リリラに扮したナナモ・ウル・ナモとパパシャンが現れた。どうやら、お忍びでソルトリーの視察に来ていたようだ。ワットとソルトリーの人々は、必ずアラミゴの復興を成し遂げると意気込むのだった。			塩が紡ぐ復興							
ソルトリーのウィスカーと話す			ソルトリーのウィスカーと話す			塩が紡ぐ復興							
ウィスカーと話す			ウィスカーと話す			塩が紡ぐ復興							
ウィスカーと再度話す			ウィスカーと再度話す			塩が紡ぐ復興							
ワットと話す			ワットと話す			塩が紡ぐ復興							
お～塩ぉ～、塩っ、おっ塩ぉ～。おいしぃ～、ソルトリーの塩はいらんかねぇ～。			お～塩ぉ～、塩っ、おっ塩ぉ～。おいしぃ～、ソルトリーの塩はいらんかねぇ～。			塩が紡ぐ復興							
おや？　アナタはもしかして……解放の英雄にして、ソルトリーの復興にも一役買った、Forenameさんでは！？			おや？　アナタはもしかして……解放の英雄にして、ソルトリーの復興にも一役買った、Forenameさんでは！？			塩が紡ぐ復興							
いやぁ～、お会いできるなんて光栄です！実はアタシ、かの村の塩をエオルゼア中に広めようと、これから国境を越えて、行商に出発するつもりなんです。			いやぁ～、お会いできるなんて光栄です！実はアタシ、かの村の塩をエオルゼア中に広めようと、これから国境を越えて、行商に出発するつもりなんです。			塩が紡ぐ復興							
以前は、ウルダハで難民生活をしていたのですが、祖国に戻れたうえに、仕事まで得ることができるなんて、それもこれも、アナタのおかげです……！			以前は、ウルダハで難民生活をしていたのですが、祖国に戻れたうえに、仕事まで得ることができるなんて、それもこれも、アナタのおかげです……！			塩が紡ぐ復興							
そうそう、ウィスカーさんから、もしアナタを見かけたら、ソルトリーに来るよう伝えてくれと頼まれていたんでした。時間があるときにでも、村の復興を見にいってやってください！			そうそう、ウィスカーさんから、もしアナタを見かけたら、ソルトリーに来るよう伝えてくれと頼まれていたんでした。時間があるときにでも、村の復興を見にいってやってください！			塩が紡ぐ復興							
Forenameさん。ぜひ、時間があるときにでも、ソルトリーの復興を見にいってやってください！			Forenameさん。ぜひ、時間があるときにでも、ソルトリーの復興を見にいってやってください！			塩が紡ぐ復興							
よく来てくれた、お若いの。まずはウィスカーに、復興した村を案内してもらってくだされ。			よく来てくれた、お若いの。まずはウィスカーに、復興した村を案内してもらってくだされ。			塩が紡ぐ復興							
おお、Forenameさんじゃないか！そうか、行商から聞いて顔を出してくれたんだな……。			おお、Forenameさんじゃないか！そうか、行商から聞いて顔を出してくれたんだな……。			塩が紡ぐ復興							
見てのとおり、ソルトリーも随分と変わっただろう。よかったら、俺に村を案内させてくれないか？			見てのとおり、ソルトリーも随分と変わっただろう。よかったら、俺に村を案内させてくれないか？			塩が紡ぐ復興							
世話になったアンタに、復興ぶりを見てもらいたいんだ。ちょっとの間でいいから、俺に付き合ってくれよ。			世話になったアンタに、復興ぶりを見てもらいたいんだ。ちょっとの間でいいから、俺に付き合ってくれよ。			塩が紡ぐ復興							
ほら見てくれよ。東アルデナード商会が大々的に売り出してくれたおかげで、評判を聞きつけた商人や料理人が買い付けにきてるんだ。			ほら見てくれよ。東アルデナード商会が大々的に売り出してくれたおかげで、評判を聞きつけた商人や料理人が買い付けにきてるんだ。			塩が紡ぐ復興							
この前は、海向こうのリムサ・ロミンサから、若いミコッテ族の調理師がやってきて、大量に注文していったぜ？			この前は、海向こうのリムサ・ロミンサから、若いミコッテ族の調理師がやってきて、大量に注文していったぜ？			塩が紡ぐ復興							
共同事業主である、東アルデナード商会の流通網のおかげで、大口注文の輸送も安定していて、業績はうなぎ登りさ。よし、次は肝心の塩の採集場を見てもらおう。			共同事業主である、東アルデナード商会の流通網のおかげで、大口注文の輸送も安定していて、業績はうなぎ登りさ。よし、次は肝心の塩の採集場を見てもらおう。			塩が紡ぐ復興							
ロッホ・セル湖の湖畔には結晶化した塩が溜まっている。それを、あんなふうに小山のように積んで、数日間、天日干しにするんだ。			ロッホ・セル湖の湖畔には結晶化した塩が溜まっている。それを、あんなふうに小山のように積んで、数日間、天日干しにするんだ。			塩が紡ぐ復興							
そして、乾燥したものを工房に運んで、不純物を取り除けば、ソルトリーの塩のできあがりだ。			そして、乾燥したものを工房に運んで、不純物を取り除けば、ソルトリーの塩のできあがりだ。			塩が紡ぐ復興							
見てのとおり、戻ってきた同胞たちは本当によく働いてくれている。皆、帝国侵攻時にザナラーンへと避難した者たちだが、祖国への想いは決して忘れてなかったのさ……。			見てのとおり、戻ってきた同胞たちは本当によく働いてくれている。皆、帝国侵攻時にザナラーンへと避難した者たちだが、祖国への想いは決して忘れてなかったのさ……。			塩が紡ぐ復興							
俺はそんな彼らを、魔物から護る警護をしている。アンタのアドバイスが役に立ってるぜ！			俺はそんな彼らを、魔物から護る警護をしている。アンタのアドバイスが役に立ってるぜ！			塩が紡ぐ復興							
ところで、最近この辺りに棲む魔物、ソブランの数が増えている。鉱石で覆われた殻が頑丈で手を焼いているんだが、何かいい倒し方はないものだろうか？			ところで、最近この辺りに棲む魔物、ソブランの数が増えている。鉱石で覆われた殻が頑丈で手を焼いているんだが、何かいい倒し方はないものだろうか？			塩が紡ぐ復興							
ソブランを倒すには？			ソブランを倒すには？			塩が紡ぐ復興							
目だ！　目を狙え！			目だ！　目を狙え！			塩が紡ぐ復興							
もちろん気合だ！			もちろん気合だ！			塩が紡ぐ復興							
目を狙うのか……何だか姑息な気がしてならないが、確かに剥き出しの目は弱点かもしれないな。よし、今度からそこを狙ってみよう！			目を狙うのか……何だか姑息な気がしてならないが、確かに剥き出しの目は弱点かもしれないな。よし、今度からそこを狙ってみよう！			塩が紡ぐ復興							
お、おう……。間違いないな、気合があれば何でもできる！そんな気がしてきたぜ……！			お、おう……。間違いないな、気合があれば何でもできる！そんな気がしてきたぜ……！			塩が紡ぐ復興							
さて、これで一通り見てもらったわけだが、最後にワット祖父さんにも声をかけてやってくれよな。			さて、これで一通り見てもらったわけだが、最後にワット祖父さんにも声をかけてやってくれよな。			塩が紡ぐ復興							
さあ、ワット祖父さんに声をかけてやってくれ。アンタが来るのを心待ちにしていたんだぜ。			さあ、ワット祖父さんに声をかけてやってくれ。アンタが来るのを心待ちにしていたんだぜ。			塩が紡ぐ復興							
よく来てくれた、お若いの。もうすぐで商談が終わるんで、ちょいと待っとくれ。			よく来てくれた、お若いの。もうすぐで商談が終わるんで、ちょいと待っとくれ。			塩が紡ぐ復興							
ウィスカーに村を案内してもらったようじゃな。おかげさまでこのとおり、ソルトリーの製塩業は復興しましたぞ。			ウィスカーに村を案内してもらったようじゃな。おかげさまでこのとおり、ソルトリーの製塩業は復興しましたぞ。			塩が紡ぐ復興							
今日もウルダハの商家の娘さんが、視察に来ておってな。おや、噂をすれば……			今日もウルダハの商家の娘さんが、視察に来ておってな。おや、噂をすれば……			塩が紡ぐ復興							
製塩業の過程を一通り見せてもらった。実に興味深いのう……			製塩業の過程を一通り見せてもらった。実に興味深いのう……			塩が紡ぐ復興							
何と言う？			何と言う？			塩が紡ぐ復興							
ナナモ様……？			ナナモ様……？			塩が紡ぐ復興							
リリラお嬢様ではありませんか			リリラお嬢様ではありませんか			塩が紡ぐ復興							
な、何を申しておる？わらわは商家の娘、リリラであるぞ……。			な、何を申しておる？わらわは商家の娘、リリラであるぞ……。			塩が紡ぐ復興							
ハッハッハ、冗談が上手いのう！じゃが、いくら復興事業の発起人とはいえ、ウルダハの女王様が、このような辺ぴな村まで、足を運ぶわけがなかろう？			ハッハッハ、冗談が上手いのう！じゃが、いくら復興事業の発起人とはいえ、ウルダハの女王様が、このような辺ぴな村まで、足を運ぶわけがなかろう？			塩が紡ぐ復興							
そ、そうじゃ、おかしなことを申すでない……。			そ、そうじゃ、おかしなことを申すでない……。			塩が紡ぐ復興							
う、うむ、わら……私の名はリリラ。そなたは、いつぞやの冒険者ではないか。こんなところで出くわすとは、奇遇じゃのう……。			う、うむ、わら……私の名はリリラ。そなたは、いつぞやの冒険者ではないか。こんなところで出くわすとは、奇遇じゃのう……。			塩が紡ぐ復興							
なんとまあ、お知り合いでしたか。お若いのも、世界を旅しているだけに顔が広いのう……。			なんとまあ、お知り合いでしたか。お若いのも、世界を旅しているだけに顔が広いのう……。			塩が紡ぐ復興							
それにしても、工房の中で試食させてもらった魚の塩漬けは、すこぶる美味であった。			それにしても、工房の中で試食させてもらった魚の塩漬けは、すこぶる美味であった。			塩が紡ぐ復興							
はい、ソルトリーは塩だけでなく、採れた塩を使った加工品もひとつの産業でした。村の名物を、ぜひウルダハの人々にも食べていただきたい。			はい、ソルトリーは塩だけでなく、採れた塩を使った加工品もひとつの産業でした。村の名物を、ぜひウルダハの人々にも食べていただきたい。			塩が紡ぐ復興							
う、うむ、わらわの商会でも取り扱うことを、前向きに検討してみよう……。			う、うむ、わらわの商会でも取り扱うことを、前向きに検討してみよう……。			塩が紡ぐ復興							
ときにご主人、このソルトリーの事業には、東アルデナード商会が関わっているらしいが……その、利益の配分はうまくいっておるのか？			ときにご主人、このソルトリーの事業には、東アルデナード商会が関わっているらしいが……その、利益の配分はうまくいっておるのか？			塩が紡ぐ復興							
は？　なんですと……？			は？　なんですと……？			塩が紡ぐ復興							
お、お嬢様は、東アルデナード商会に、不当に利益を持っていかれてないかと、お聞きになりたいのです。			お、お嬢様は、東アルデナード商会に、不当に利益を持っていかれてないかと、お聞きになりたいのです。			塩が紡ぐ復興							
は、はあ……その点につきましては、アルフィノという少年が、契約書を細かく確認してくれましたので、問題ないかと。しかし、何でまたそんなことを……？			は、はあ……その点につきましては、アルフィノという少年が、契約書を細かく確認してくれましたので、問題ないかと。しかし、何でまたそんなことを……？			塩が紡ぐ復興							
い、いや、気にするな。それならよいのじゃ、苦しゅうない。			い、いや、気にするな。それならよいのじゃ、苦しゅうない。			塩が紡ぐ復興							
これからも、帰還した難民のため、そしてアラミゴの復興のために、良きにはからえ。			これからも、帰還した難民のため、そしてアラミゴの復興のために、良きにはからえ。			塩が紡ぐ復興							
は……はい……。			は……はい……。			塩が紡ぐ復興							
やけに偉そうな商人だったが、どことなく気品があったな……。			やけに偉そうな商人だったが、どことなく気品があったな……。			塩が紡ぐ復興							
せっかく、お若いのが来てくれたのだから、皆を集めて礼を言わせてもらおうかの。			せっかく、お若いのが来てくれたのだから、皆を集めて礼を言わせてもらおうかの。			塩が紡ぐ復興							
ソルトリーは帝国との戦闘で完膚なきまでに破壊され、廃墟同然となった村じゃった。			ソルトリーは帝国との戦闘で完膚なきまでに破壊され、廃墟同然となった村じゃった。			塩が紡ぐ復興							
だが、いまはウルダハから同胞が戻ってきて、商人も訪れるようになって、こんなにも賑わいを見せておる。			だが、いまはウルダハから同胞が戻ってきて、商人も訪れるようになって、こんなにも賑わいを見せておる。			塩が紡ぐ復興							
これも、ひとえにお若いのや、ウルダハの女王様のおかげじゃ。一同感謝しておる、どうもありがとう。			これも、ひとえにお若いのや、ウルダハの女王様のおかげじゃ。一同感謝しておる、どうもありがとう。			塩が紡ぐ復興							
しかし、戦争の爪痕は簡単には消せない。製塩業のために必要なものを突貫工事で直したにすぎん。			しかし、戦争の爪痕は簡単には消せない。製塩業のために必要なものを突貫工事で直したにすぎん。			塩が紡ぐ復興							
多くの建物はまだ手つかずのまま。完全に復興させるには、まだまだ時間がかかるじゃろう……。			多くの建物はまだ手つかずのまま。完全に復興させるには、まだまだ時間がかかるじゃろう……。			塩が紡ぐ復興							
