漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
チュチュルンにウォームトラウトを納品した。チュチュルンは大層喜び、冒険者のような漁師になりたいと語った。彼の憧れを裏切ることがないよう、さらに立派な漁師を目指し努力しよう。※漁師のレベルが25以上になると、シシプから次の漁師クエストを受注することができます。			チュチュルンにウォームトラウトを納品した。チュチュルンは大層喜び、冒険者のような漁師になりたいと語った。彼の憧れを裏切ることがないよう、さらに立派な漁師を目指し努力しよう。※漁師のレベルが25以上になると、シシプから次の漁師クエストを受注することができます。			魚を騙す欺瞞の餌							
チュチュルンにウォームトラウトを納品			チュチュルンにウォームトラウトを納品			魚を騙す欺瞞の餌							
この間のチュチュルンさんのこと、覚えている？彼ってば釣ってくれたあなたに、すっごく感動してね。自分でも釣りたいって言いだして、ギルドに入ったの。			この間のチュチュルンさんのこと、覚えている？彼ってば釣ってくれたあなたに、すっごく感動してね。自分でも釣りたいって言いだして、ギルドに入ったの。			魚を騙す欺瞞の餌							
それでね、今度は川の魚を食べてみたいって言うのよ。元船乗りだけに海に出ることが多いから、川魚が珍しいのかしら。			それでね、今度は川の魚を食べてみたいって言うのよ。元船乗りだけに海に出ることが多いから、川魚が珍しいのかしら。			魚を騙す欺瞞の餌							
でも、ちょっと問題があって……。キキルン族って悪食で、何でも食べちゃうの。そのせいで、ついつい釣り餌を食べちゃうんだってさ。			でも、ちょっと問題があって……。キキルン族って悪食で、何でも食べちゃうの。そのせいで、ついつい釣り餌を食べちゃうんだってさ。			魚を騙す欺瞞の餌							
それで私は考えたのよ、食べられない釣り餌……つまりルアーを使えばいいんじゃないかって。			それで私は考えたのよ、食べられない釣り餌……つまりルアーを使えばいいんじゃないかって。			魚を騙す欺瞞の餌							
それでね、あなたが先輩として、ルアーを使った釣りのお手本を示してくれない？「ウォームトラウト」を釣れば、ルアーの良さが伝わるはず！			それでね、あなたが先輩として、ルアーを使った釣りのお手本を示してくれない？「ウォームトラウト」を釣れば、ルアーの良さが伝わるはず！			魚を騙す欺瞞の餌							
「ウォームトラウト」は水に落ちた虫を食べるから、「クロウフライ」みたいなルアーで釣るのが最適なの。5匹くらい釣って、チュチュルンさんに届けてあげてね。			「ウォームトラウト」は水に落ちた虫を食べるから、「クロウフライ」みたいなルアーで釣るのが最適なの。5匹くらい釣って、チュチュルンさんに届けてあげてね。			魚を騙す欺瞞の餌							
釣れるのは……高地ラノシアの「オークウッド」あたりかな？あのあたり、私もあんまり行ったことないんだけど。			釣れるのは……高地ラノシアの「オークウッド」あたりかな？あのあたり、私もあんまり行ったことないんだけど。			魚を騙す欺瞞の餌							
あなた、お魚、くれるっちゃ？「ウォームトラウト」、5匹もくれるっちゃ？			あなた、お魚、くれるっちゃ？「ウォームトラウト」、5匹もくれるっちゃ？			魚を騙す欺瞞の餌							
ピチピチ「ウォームトラウト」、げんきっちゃ！これ、フサフサルアーで、釣ったっちゃ？Forenameすごいっちゃ！			ピチピチ「ウォームトラウト」、げんきっちゃ！これ、フサフサルアーで、釣ったっちゃ？Forenameすごいっちゃ！			魚を騙す欺瞞の餌							
そうよ～、見事なもんでしょ？あなたのために、Forenameが釣ってくれたの。身が引き締まってて、塩焼とかにするとよさそうね。			そうよ～、見事なもんでしょ？あなたのために、Forenameが釣ってくれたの。身が引き締まってて、塩焼とかにするとよさそうね。			魚を騙す欺瞞の餌							
チュチュルンさん、ルアー釣りができるようになれば、こんなにおいしそうなお魚さんだって、自分で釣れるようになるわよ？			チュチュルンさん、ルアー釣りができるようになれば、こんなにおいしそうなお魚さんだって、自分で釣れるようになるわよ？			魚を騙す欺瞞の餌							
本当っちゃ？チュチュルン、お魚、釣りたいっちゃ！ワカダイショーみたいに、釣りたいっちゃ！			本当っちゃ？チュチュルン、お魚、釣りたいっちゃ！ワカダイショーみたいに、釣りたいっちゃ！			魚を騙す欺瞞の餌							
うふふ、そう言うと思った。じゃあワカダイショーのような腕前を目指して、ルアー釣りについて、お勉強しましょうね？			うふふ、そう言うと思った。じゃあワカダイショーのような腕前を目指して、ルアー釣りについて、お勉強しましょうね？			魚を騙す欺瞞の餌							
漁師ギルドのシシプは、冒険者に頼みごとがあるようだ。			漁師ギルドのシシプは、冒険者に頼みごとがあるようだ。			キキルン族の思い出の味							
シシプから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「チュチュルン」と話そう。			シシプから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「チュチュルン」と話そう。			キキルン族の思い出の味							
チュチュルンと話した。リムサ・ロミンサの漁師ギルドにいる「シシプ」と話そう。			チュチュルンと話した。リムサ・ロミンサの漁師ギルドにいる「シシプ」と話そう。			キキルン族の思い出の味							
シシプと話した。リムサ・ロミンサの漁師ギルドにいる「ワワラゴ」と話そう。			シシプと話した。リムサ・ロミンサの漁師ギルドにいる「ワワラゴ」と話そう。			キキルン族の思い出の味							
ワワラゴと話した。リムサ・ロミンサの漁師ギルドにいる「チュチュルン」に「リムレーンズダガー」を5匹納品しよう。「リムレーンズダガー」は特性「ガルアイ」を修得した状態で、西ラノシアのブルワーズ灯台にある釣り場で「ラットの尾」を釣り餌にして釣ることができる。			ワワラゴと話した。リムサ・ロミンサの漁師ギルドにいる「チュチュルン」に「リムレーンズダガー」を5匹納品しよう。「リムレーンズダガー」は特性「ガルアイ」を修得した状態で、西ラノシアのブルワーズ灯台にある釣り場で「ラットの尾」を釣り餌にして釣ることができる。			キキルン族の思い出の味							
チュチュルンにリムレーンズダガーを納品した。リムサ・ロミンサの漁師ギルドにいる「シシプ」に報告しよう。			チュチュルンにリムレーンズダガーを納品した。リムサ・ロミンサの漁師ギルドにいる「シシプ」に報告しよう。			キキルン族の思い出の味							
シシプに報告した。漁師ギルドのシシプは冒険者の活躍を誉めたたえ、立派な漁師ギルドの一員だと認めて、さらなる活躍を期待すると語った。彼女の期待を裏切らないよう、たゆまぬ努力を重ねよう。※漁師のレベルが20以上になると、シシプから次の漁師クエストを受注することができます。			シシプに報告した。漁師ギルドのシシプは冒険者の活躍を誉めたたえ、立派な漁師ギルドの一員だと認めて、さらなる活躍を期待すると語った。彼女の期待を裏切らないよう、たゆまぬ努力を重ねよう。※漁師のレベルが20以上になると、シシプから次の漁師クエストを受注することができます。			キキルン族の思い出の味							
チュチュルンと話す			チュチュルンと話す			キキルン族の思い出の味							
シシプと話す			シシプと話す			キキルン族の思い出の味							
ワワラゴと話す			ワワラゴと話す			キキルン族の思い出の味							
チュチュルンにリムレーンズダガーを納品			チュチュルンにリムレーンズダガーを納品			キキルン族の思い出の味							
シシプに報告			シシプに報告			キキルン族の思い出の味							
ねぇForename、お願いがあるの。漁師ギルドに来たお客さんの相手をしてくれない？			ねぇForename、お願いがあるの。漁師ギルドに来たお客さんの相手をしてくれない？			キキルン族の思い出の味							
キキルン族の船乗りさんみたいなんだけど、自分のために、お魚さんを釣ってほしいようなの。小口の仕事ってことみたい。			キキルン族の船乗りさんみたいなんだけど、自分のために、お魚さんを釣ってほしいようなの。小口の仕事ってことみたい。			キキルン族の思い出の味							
でも、今はちょうどギルドにいる仕事を受けられそうな漁師が出払っててね。Forename、あなたに引き受けてほしいの。			でも、今はちょうどギルドにいる仕事を受けられそうな漁師が出払っててね。Forename、あなたに引き受けてほしいの。			キキルン族の思い出の味							
今、漁師ギルドの入口でお魚を眺めてる「チュチュルン」さんよ……話を聞いてみてくれる？			今、漁師ギルドの入口でお魚を眺めてる「チュチュルン」さんよ……話を聞いてみてくれる？			キキルン族の思い出の味							
チュチュルン、船乗りっちゃ。アナタ、漁師っちゃ？チュチュルン、ギラギラお魚、さがしてるっちゃ。			チュチュルン、船乗りっちゃ。アナタ、漁師っちゃ？チュチュルン、ギラギラお魚、さがしてるっちゃ。			キキルン族の思い出の味							
お船ぷかぷか、チュチュルン、見たっちゃ。お魚、ぎんいろ、ギラギラっちゃ。お魚、ぴょんぴょん、飛んでたっちゃ。			お船ぷかぷか、チュチュルン、見たっちゃ。お魚、ぎんいろ、ギラギラっちゃ。お魚、ぴょんぴょん、飛んでたっちゃ。			キキルン族の思い出の味							
ギラギラお魚、どんな味っちゃ？チュチュルン、ギラギラお魚、食べたいっちゃ！			ギラギラお魚、どんな味っちゃ？チュチュルン、ギラギラお魚、食べたいっちゃ！			キキルン族の思い出の味							
アナタ、ギラギラお魚、5匹　釣る釣るっちゃ？釣り方、シシプに、聞く聞くっちゃ！			アナタ、ギラギラお魚、5匹　釣る釣るっちゃ？釣り方、シシプに、聞く聞くっちゃ！			キキルン族の思い出の味							
あらあら、チュチュルンさんは、欲しいお魚の名前がわからないのね？だったら、親分に相談してみるといいわ。			あらあら、チュチュルンさんは、欲しいお魚の名前がわからないのね？だったら、親分に相談してみるといいわ。			キキルン族の思い出の味							
ワワラゴ親分は、普段はちゃらんぽらんだけど、エオルゼアの七つの海を渡り歩いてるからね。歩く釣り手帳なのよ。			ワワラゴ親分は、普段はちゃらんぽらんだけど、エオルゼアの七つの海を渡り歩いてるからね。歩く釣り手帳なのよ。			キキルン族の思い出の味							
あ？　わしにお魚さんについて聞きたいぢやと？……なんぢや、あんまり驚かせんでくれ。てっきり、シシプちゃんからの刺客かと。			あ？　わしにお魚さんについて聞きたいぢやと？……なんぢや、あんまり驚かせんでくれ。てっきり、シシプちゃんからの刺客かと。			キキルン族の思い出の味							
シシプちゃんのソルトコッドパフを、小腹が空いたもんで、つい食べてしまったのぢや。いつバレるかビクビク……って、それはどうでもよい。			シシプちゃんのソルトコッドパフを、小腹が空いたもんで、つい食べてしまったのぢや。いつバレるかビクビク……って、それはどうでもよい。			キキルン族の思い出の味							
ともかく、そのギラギラお魚の情報ぢやな？おそらく「リムレーンズダガー」ぢやろう。「ぴょんぴょん」しよるお魚さんは、少ないでの。			ともかく、そのギラギラお魚の情報ぢやな？おそらく「リムレーンズダガー」ぢやろう。「ぴょんぴょん」しよるお魚さんは、少ないでの。			キキルン族の思い出の味							
「ぎんいろ、ギラギラ」という色合いも、まさしく「リムレーンズダガー」の特徴ぢや。			「ぎんいろ、ギラギラ」という色合いも、まさしく「リムレーンズダガー」の特徴ぢや。			キキルン族の思い出の味							
リムサ・ロミンサでは、食用にしないんぢやが、南洋諸島のほうぢや、ダシをとったり、卵を食べたりするんぢやと。			リムサ・ロミンサでは、食用にしないんぢやが、南洋諸島のほうぢや、ダシをとったり、卵を食べたりするんぢやと。			キキルン族の思い出の味							
その「リムレーンズダガー」は穴場の釣り場である、西ラノシアの「ブルワーズ灯台」におるのぢやが……スゴ腕の証、「ガルアイ」を持つチミなら釣れるハズぢや！			その「リムレーンズダガー」は穴場の釣り場である、西ラノシアの「ブルワーズ灯台」におるのぢやが……スゴ腕の証、「ガルアイ」を持つチミなら釣れるハズぢや！			キキルン族の思い出の味							
それと、「リムレーンズダガー」は好奇心旺盛な魚でな。ウネウネした「ラットの尾」なんかに興味を示すんぢや。さ、がんばって5匹くらい釣って、あいつに届けちゃれ。			それと、「リムレーンズダガー」は好奇心旺盛な魚でな。ウネウネした「ラットの尾」なんかに興味を示すんぢや。さ、がんばって5匹くらい釣って、あいつに届けちゃれ。			キキルン族の思い出の味							
ギラギラお魚……「リムレーンズダガー」っちゃ？5匹、食べるの、わくわくっちゃ！			ギラギラお魚……「リムレーンズダガー」っちゃ？5匹、食べるの、わくわくっちゃ！			キキルン族の思い出の味							
ギラギラ、ギンギン、きれいっちゃ！チュチュルン、見たの、これこれっちゃ！			ギラギラ、ギンギン、きれいっちゃ！チュチュルン、見たの、これこれっちゃ！			キキルン族の思い出の味							
やっぱり、チュチュルンさんが見たのは、「リムレーンズダガー」だったのね。それにしても、このヒレ、ほんとに翼みたい。			やっぱり、チュチュルンさんが見たのは、「リムレーンズダガー」だったのね。それにしても、このヒレ、ほんとに翼みたい。			キキルン族の思い出の味							
チュチュルン、じゅるじゅる腹減りっちゃ。ギンギン、キラキラ、食べたいっちゃ。			チュチュルン、じゅるじゅる腹減りっちゃ。ギンギン、キラキラ、食べたいっちゃ。			キキルン族の思い出の味							
あらあら、さすがはキキルン族ね。噂通りの食いしん坊さんなんだから。			あらあら、さすがはキキルン族ね。噂通りの食いしん坊さんなんだから。			キキルン族の思い出の味							
チュチュルン、ギラギラ、丸呑みっちゃ！ありがと、ありがと、ワカダイショー！チュチュルン、とっても、嬉しいっちゃ！			チュチュルン、ギラギラ、丸呑みっちゃ！ありがと、ありがと、ワカダイショー！チュチュルン、とっても、嬉しいっちゃ！			キキルン族の思い出の味							
あなたがワカダイショーですって、うふふ。こんなに喜んでもらえるなんて、すごいわ！今回のお仕事は大成功ね！			あなたがワカダイショーですって、うふふ。こんなに喜んでもらえるなんて、すごいわ！今回のお仕事は大成功ね！			キキルン族の思い出の味							
Forenameは、あとで、私のところによってね。私からも、ちゃんとお礼がいいたいの。			Forenameは、あとで、私のところによってね。私からも、ちゃんとお礼がいいたいの。			キキルン族の思い出の味							
今回は、助かっちゃった。漁師って、船に乗って遠洋まで出ることも多いじゃない？意外とギルドに動ける人がいなかったりするのよ。			今回は、助かっちゃった。漁師って、船に乗って遠洋まで出ることも多いじゃない？意外とギルドに動ける人がいなかったりするのよ。			キキルン族の思い出の味							
あなたみたいな自由に動ける冒険者が、漁師ギルドの一員として仕事を受けてくれると、すっごく助かるのよね。			あなたみたいな自由に動ける冒険者が、漁師ギルドの一員として仕事を受けてくれると、すっごく助かるのよね。			キキルン族の思い出の味							
それに、釣り上げたお魚も、ほんとうに見事だったわ！あなたの腕前は、もう「新入り」じゃないわね。「ワカダイショー」ってよばなくちゃ、うふふ。			それに、釣り上げたお魚も、ほんとうに見事だったわ！あなたの腕前は、もう「新入り」じゃないわね。「ワカダイショー」ってよばなくちゃ、うふふ。			キキルン族の思い出の味							
そういうわけだから、これからもよろしくね？どんどん仕事を回しちゃうから！			そういうわけだから、これからもよろしくね？どんどん仕事を回しちゃうから！			キキルン族の思い出の味							
漁師ギルドのシシプは、冒険者に新しい試練を課そうとしているようだ。			漁師ギルドのシシプは、冒険者に新しい試練を課そうとしているようだ。			大物を狙え！							
シシプから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「シシプ」に「プリンセストラウト」を1匹納品しよう。「プリンセストラウト」は中央ラノシアのローグ川にある釣り場で「ザリガニボール」を釣り餌にして釣ることができる。			シシプから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「シシプ」に「プリンセストラウト」を1匹納品しよう。「プリンセストラウト」は中央ラノシアのローグ川にある釣り場で「ザリガニボール」を釣り餌にして釣ることができる。			大物を狙え！							
シシプにプリンセストラウトを納品した。プリンセストラウトを納品すると、シシプは大物の魚を釣り上げるには、釣り竿と、釣りに臨む衣装を整えることが肝心だと教えてくれた。さまざまな要素に手を抜くことなく、さらなる大物を狙えるよう努力しよう。※漁師のレベルが15以上になると、シシプから次の漁師クエストを受注することができます。			シシプにプリンセストラウトを納品した。プリンセストラウトを納品すると、シシプは大物の魚を釣り上げるには、釣り竿と、釣りに臨む衣装を整えることが肝心だと教えてくれた。さまざまな要素に手を抜くことなく、さらなる大物を狙えるよう努力しよう。※漁師のレベルが15以上になると、シシプから次の漁師クエストを受注することができます。			大物を狙え！							
シシプにプリンセストラウトを納品			シシプにプリンセストラウトを納品			大物を狙え！							
あっ、Forename！どうかしら、漁師の修行には慣れてきた？お魚さんと、いい勝負ができてる？			あっ、Forename！どうかしら、漁師の修行には慣れてきた？お魚さんと、いい勝負ができてる？			大物を狙え！							
今は基礎を学ぶ時だもの、ワワラゴ親分みたいに、サボっちゃダメよ？手を抜いていると、すぐに腕が錆びついちゃうわ。			今は基礎を学ぶ時だもの、ワワラゴ親分みたいに、サボっちゃダメよ？手を抜いていると、すぐに腕が錆びついちゃうわ。			大物を狙え！							
けど、いくら基礎でも小さいお魚さんばかりを釣るのは、そろそろ飽きてきたんじゃないか、って思うの。自分の成長を実感してみたいわよね？			けど、いくら基礎でも小さいお魚さんばかりを釣るのは、そろそろ飽きてきたんじゃないか、って思うの。自分の成長を実感してみたいわよね？			大物を狙え！							
以前より、漁師の腕前が上がってきていることだし、大きい魚を狙うことだって、できるんじゃないかしら。物は試しね、ちょっと挑戦してもらっちゃいましょ。			以前より、漁師の腕前が上がってきていることだし、大きい魚を狙うことだって、できるんじゃないかしら。物は試しね、ちょっと挑戦してもらっちゃいましょ。			大物を狙え！							
……そうね、「プリンセストラウト」がいいわ。「プリンセストラウト」を1匹釣ってきなさい！中央ラノシアなら、「ローグ川」で釣れるお魚さんよ。			……そうね、「プリンセストラウト」がいいわ。「プリンセストラウト」を1匹釣ってきなさい！中央ラノシアなら、「ローグ川」で釣れるお魚さんよ。			大物を狙え！							
好きなエサは「ザリガニボール」のはず。どんなサイズのお魚さんを持ってきてもいいけど、ちゃんと準備して、でっかい獲物を狙ってみてね！			好きなエサは「ザリガニボール」のはず。どんなサイズのお魚さんを持ってきてもいいけど、ちゃんと準備して、でっかい獲物を狙ってみてね！			大物を狙え！							
「技術力」を上げると、普通の大きさの魚「ノーマルサイズ」とともに、より大きな魚「ラージサイズ」が釣れやすくなります。			「技術力」を上げると、普通の大きさの魚「ノーマルサイズ」とともに、より大きな魚「ラージサイズ」が釣れやすくなります。			大物を狙え！							
サイズの違う魚は、釣りをしているあいだのみ区別され、「所持品」に入るときは同一アイテムとなります。			サイズの違う魚は、釣りをしているあいだのみ区別され、「所持品」に入るときは同一アイテムとなります。			大物を狙え！							
「プリンセストラウト」を1匹釣ってきて。「ザリガニボール」をエサにすれば、中央ラノシアの「ローグ川」で釣れると思うわ。			「プリンセストラウト」を1匹釣ってきて。「ザリガニボール」をエサにすれば、中央ラノシアの「ローグ川」で釣れると思うわ。			大物を狙え！							
うんうん、いい感じの「プリンセストラウト」ね。これからも、お魚さんのサイズを気にしながら釣ってみるといいわ！			うんうん、いい感じの「プリンセストラウト」ね。これからも、お魚さんのサイズを気にしながら釣ってみるといいわ！			大物を狙え！							
ほお～、こいつは見事ぢや！脂もたっぷり乗ってるし、焼いて「グリルドトラウト」にしたら美味そうぢやよ！			ほお～、こいつは見事ぢや！脂もたっぷり乗ってるし、焼いて「グリルドトラウト」にしたら美味そうぢやよ！			大物を狙え！							
あっ、親分もそう思う？塩をパッパと振って、遠火でチリチリと……って、なんで、そんなに食べる気まんまんなのよ！？			あっ、親分もそう思う？塩をパッパと振って、遠火でチリチリと……って、なんで、そんなに食べる気まんまんなのよ！？			大物を狙え！							
シシプちゃん、案外けちんぼぢやの。			シシプちゃん、案外けちんぼぢやの。			大物を狙え！							
あげないモン、これは私が食べるために、Forenameに釣ってもらったんだからね。			あげないモン、これは私が食べるために、Forenameに釣ってもらったんだからね。			大物を狙え！							
……もちろん、修行の意味もあるわよ？ほら、大きなお魚さんを釣るにはね、ちゃんとコツがあることがわかったでしょ？			……もちろん、修行の意味もあるわよ？ほら、大きなお魚さんを釣るにはね、ちゃんとコツがあることがわかったでしょ？			大物を狙え！							
釣りたいお魚さんに適した道具と、それを扱える腕前。そして釣り場に見合った、釣りやすい衣装……全部が揃わないと、大物は狙えないのよ。			釣りたいお魚さんに適した道具と、それを扱える腕前。そして釣り場に見合った、釣りやすい衣装……全部が揃わないと、大物は狙えないのよ。			大物を狙え！							
そう、大きなお魚さんが釣れたときこそは、釣り竿の性能とあなたの腕前、そして適した衣装、全部に過不足がなかった証明ってわけ。			そう、大きなお魚さんが釣れたときこそは、釣り竿の性能とあなたの腕前、そして適した衣装、全部に過不足がなかった証明ってわけ。			大物を狙え！							
ふふ、もう初心者とは呼べない腕前になってきたね。これからも私の知ってることはドンドン教えてあげるから、しっかり学んでね、Forename。			ふふ、もう初心者とは呼べない腕前になってきたね。これからも私の知ってることはドンドン教えてあげるから、しっかり学んでね、Forename。			大物を狙え！							
漁師ギルドのン・ンムリカは冒険者の意志を確かめたいようだ。			漁師ギルドのン・ンムリカは冒険者の意志を確かめたいようだ。			網元代行シシプ							
ン・ンムリカから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「シシプ」に報告しよう。			ン・ンムリカから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「シシプ」に報告しよう。			網元代行シシプ							
シシプに報告した。彼女から漁師ギルドへの入門を許可された。今、渡された「ウェザードフィッシングロッド」を装備して、ふたたび彼女に声をかけよう。			シシプに報告した。彼女から漁師ギルドへの入門を許可された。今、渡された「ウェザードフィッシングロッド」を装備して、ふたたび彼女に声をかけよう。			網元代行シシプ							
シシプに報告			シシプに報告			網元代行シシプ							
おっ！どうです、漁師ギルドに入門する決心はつきました？			おっ！どうです、漁師ギルドに入門する決心はつきました？			網元代行シシプ							
あれ、違うんですか？てっきり決心したものかと……。			あれ、違うんですか？てっきり決心したものかと……。			網元代行シシプ							
とはいえ、まだ迷ってる人を無理に引きこむわけにもいきませんね。わかりました、入門したくなったらまた来てください。			とはいえ、まだ迷ってる人を無理に引きこむわけにもいきませんね。わかりました、入門したくなったらまた来てください。			網元代行シシプ							
その決心、確かに受け取りました。では、漁師ギルドの責任者にお取り次ぎしますね。			その決心、確かに受け取りました。では、漁師ギルドの責任者にお取り次ぎしますね。			網元代行シシプ							
現在、漁師ギルドでは色々理由がありまして……本来の責任者であるギルドマスター「ワワラゴ」さんが、実務を担当してないんです。			現在、漁師ギルドでは色々理由がありまして……本来の責任者であるギルドマスター「ワワラゴ」さんが、実務を担当してないんです。			網元代行シシプ							
代わりにギルドマスター代行として、「シシプ」さんが仕事を引き継いで漁師ギルドを運営しています。			代わりにギルドマスター代行として、「シシプ」さんが仕事を引き継いで漁師ギルドを運営しています。			網元代行シシプ							
その「シシプ」さんが、あなたが漁師ギルドに相応しいかどうかを見極めてくれるはずです。			その「シシプ」さんが、あなたが漁師ギルドに相応しいかどうかを見極めてくれるはずです。			網元代行シシプ							
そこの生簀を見守っている女性です。さあ、自分の気持ちを素直に伝えてみてください。			そこの生簀を見守っている女性です。さあ、自分の気持ちを素直に伝えてみてください。			網元代行シシプ							
うん、あなたが入門希望者ね。ン・ンムリカさんの話は聞こえてたから、大丈夫。私がシシプよ、よろしくね。			うん、あなたが入門希望者ね。ン・ンムリカさんの話は聞こえてたから、大丈夫。私がシシプよ、よろしくね。			網元代行シシプ							
ギルドマスターは、あくまでも親分のワワラゴさん。でも、仕事をしてくれなくって困っちゃう。だから私が代わりに仕事をやってるのよ。			ギルドマスターは、あくまでも親分のワワラゴさん。でも、仕事をしてくれなくって困っちゃう。だから私が代わりに仕事をやってるのよ。			網元代行シシプ							
当然、あなたが漁師ギルドの一員として相応しいか、それを見定めるのも私の役割ってわけ。			当然、あなたが漁師ギルドの一員として相応しいか、それを見定めるのも私の役割ってわけ。			網元代行シシプ							
……なんてね、私が見るのはやる気だけ。あなた自身にやる気があるかどうかが大事なのよ。で、どうする？　漁師ギルドに入ってくれるの？			……なんてね、私が見るのはやる気だけ。あなた自身にやる気があるかどうかが大事なのよ。で、どうする？　漁師ギルドに入ってくれるの？			網元代行シシプ							
漁師ギルドに入門しますか？			漁師ギルドに入門しますか？			網元代行シシプ							
はい			はい			網元代行シシプ							
いいえ			いいえ			網元代行シシプ							
あ、あれ？　やめちゃうの？　ホントに？ええと……あの、考え直してもいいですからね？待ってるから、また来てくださいね！			あ、あれ？　やめちゃうの？　ホントに？ええと……あの、考え直してもいいですからね？待ってるから、また来てくださいね！			網元代行シシプ							
いい返事……気持ちがいい人ね、あなた。わかりました、漁師ギルドはあなたの入門を歓迎します！			いい返事……気持ちがいい人ね、あなた。わかりました、漁師ギルドはあなたの入門を歓迎します！			網元代行シシプ							
でも、修行はあんまり甘くないですからね？立派な漁師になってもらわないと困るし。ビシビシいくから、そのつもりでね？			でも、修行はあんまり甘くないですからね？立派な漁師になってもらわないと困るし。ビシビシいくから、そのつもりでね？			網元代行シシプ							
じゃあ、まずは道具を揃えるところから始めましょ。これ、「ウェザードフィッシングロッド」よ。			じゃあ、まずは道具を揃えるところから始めましょ。これ、「ウェザードフィッシングロッド」よ。			網元代行シシプ							
入門したばかりの人には、この初心者用の竿を使ってもらうことにしているの。いきなり高価な竿を渡しても、使いこなせないしね。			入門したばかりの人には、この初心者用の竿を使ってもらうことにしているの。いきなり高価な竿を渡しても、使いこなせないしね。			網元代行シシプ							
さあ、まずはその竿を装備してみて。そうしたら、私に話しかけてくれる？ちゃんと装備できたかどうか、確かめてあげる。			さあ、まずはその竿を装備してみて。そうしたら、私に話しかけてくれる？ちゃんと装備できたかどうか、確かめてあげる。			網元代行シシプ							
新しいクラスを修得しました！受け取った道具を装備することで、クラスチェンジができます。			新しいクラスを修得しました！受け取った道具を装備することで、クラスチェンジができます。			網元代行シシプ							
クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			網元代行シシプ							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			網元代行シシプ							
漁師ギルドのシシプは、冒険者に新しい試練を課そうとしているようだ。			漁師ギルドのシシプは、冒険者に新しい試練を課そうとしているようだ。			好きな釣り餌、嫌いな釣り餌							
シシプから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「シシプ」に「ハーバーヘリング」を3匹納品しよう。「ハーバーヘリング」はリムサ・ロミンサ都市内の釣り場で「ピルバグ」を釣り餌にして釣ることができる。「ピルバグ」は道具屋で購入することが可能だ。			シシプから依頼を受けた。リムサ・ロミンサの漁師ギルドにいる「シシプ」に「ハーバーヘリング」を3匹納品しよう。「ハーバーヘリング」はリムサ・ロミンサ都市内の釣り場で「ピルバグ」を釣り餌にして釣ることができる。「ピルバグ」は道具屋で購入することが可能だ。			好きな釣り餌、嫌いな釣り餌							
シシプにハーバーヘリングを納品した。シシプは漁師とは魚あっての仕事なのだから、常に魚と真剣に向き合わねばならないと語った。彼女の言葉を胸に、魚との真剣勝負を重ねよう。※漁師のレベルが10以上になると、シシプから次の漁師クエストを受注することができます。			シシプにハーバーヘリングを納品した。シシプは漁師とは魚あっての仕事なのだから、常に魚と真剣に向き合わねばならないと語った。彼女の言葉を胸に、魚との真剣勝負を重ねよう。※漁師のレベルが10以上になると、シシプから次の漁師クエストを受注することができます。			好きな釣り餌、嫌いな釣り餌							
シシプにハーバーヘリングを納品			シシプにハーバーヘリングを納品			好きな釣り餌、嫌いな釣り餌							
うんうん、修行はサボってなかったみたいね。ニオイでわかるわ、お魚さん臭いもの！			うんうん、修行はサボってなかったみたいね。ニオイでわかるわ、お魚さん臭いもの！			好きな釣り餌、嫌いな釣り餌							
でもね、「慣れ」だけで釣れると思ってたら大間違い。釣りは奥が深いものだって、前も言ったでしょう？			でもね、「慣れ」だけで釣れると思ってたら大間違い。釣りは奥が深いものだって、前も言ったでしょう？			好きな釣り餌、嫌いな釣り餌							
お魚さんって、あなたが思ってるよりずっと賢いのよ。釣り人の気持ちなんて、簡単に見透かすんだもの。			お魚さんって、あなたが思ってるよりずっと賢いのよ。釣り人の気持ちなんて、簡単に見透かすんだもの。			好きな釣り餌、嫌いな釣り餌							
だから釣るときは、お魚さんが好きな「釣り餌」を選んで、ちゃんと誘ってあげないとダメなのよ。いわば人とお魚さんの、真剣勝負ね。			だから釣るときは、お魚さんが好きな「釣り餌」を選んで、ちゃんと誘ってあげないとダメなのよ。いわば人とお魚さんの、真剣勝負ね。			好きな釣り餌、嫌いな釣り餌							
