アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			弱き者の底意地							
ああ、懐かしい……。この道具をまた、手にする日がくるとは……。			ああ、懐かしい……。この道具をまた、手にする日がくるとは……。			復興への交路							
この辺りは、帝国のせいですっかり寂れてしまったが、この道具を使っていた頃は、実に賑やかだったものだ……。			この辺りは、帝国のせいですっかり寂れてしまったが、この道具を使っていた頃は、実に賑やかだったものだ……。			復興への交路							
ウルダハと、近東地域を結ぶ交易路だったもんで、ひっきりなしに商隊が行き交って、荷車の修理も次々と舞い込んだ。修理待ちの商人を相手にした屋台なんかも、ひしめいていた。			ウルダハと、近東地域を結ぶ交易路だったもんで、ひっきりなしに商隊が行き交って、荷車の修理も次々と舞い込んだ。修理待ちの商人を相手にした屋台なんかも、ひしめいていた。			復興への交路							
これを機に、あの活気を取り戻す……これが、私の夢だ。まずは解放軍や同盟軍の荷車を修理して、恩返しするのが先だがね。もちろん今回の礼もあるぞ、ありがとう。			これを機に、あの活気を取り戻す……これが、私の夢だ。まずは解放軍や同盟軍の荷車を修理して、恩返しするのが先だがね。もちろん今回の礼もあるぞ、ありがとう。			復興への交路							
アラギリのオドは、冒険者に大切な仕事を頼みたいようだ。			アラギリのオドは、冒険者に大切な仕事を頼みたいようだ。			英雄を探して							
黒渦団の将校に「称賛する」をする			黒渦団の将校に「称賛する」をする			英雄を探して							
隊商宿グッドブレード跡の双蛇党の将校に「称賛する」をする			隊商宿グッドブレード跡の双蛇党の将校に「称賛する」をする			英雄を探して							
アラギリの双蛇党の兵卒に「称賛する」をする			アラギリの双蛇党の兵卒に「称賛する」をする			英雄を探して							
指定地点に「祈る」をする			指定地点に「祈る」をする			英雄を探して							
オドと話す			オドと話す			英雄を探して							
あなた、冒険者でもある、Forenameさんですよね。解放軍と同盟軍を結んでくださった、あなたにこそ、お願いしたいことがあるのです……。			あなた、冒険者でもある、Forenameさんですよね。解放軍と同盟軍を結んでくださった、あなたにこそ、お願いしたいことがあるのです……。			英雄を探して							
ラールガーズリーチが帝国軍部隊の強襲を受けたときのこと。その猛攻により、多くの命が奪われていく中で、希望を捨てず、戦い続けた兵がいました。			ラールガーズリーチが帝国軍部隊の強襲を受けたときのこと。その猛攻により、多くの命が奪われていく中で、希望を捨てず、戦い続けた兵がいました。			英雄を探して							
彼は、伝令役として滞在していた同盟軍の兵士でした。敵の攻撃をかいくぐりながら、味方を安全な場所に誘導し、司令部に正確な情報を送り続け、多くの命を救ったのです。			彼は、伝令役として滞在していた同盟軍の兵士でした。敵の攻撃をかいくぐりながら、味方を安全な場所に誘導し、司令部に正確な情報を送り続け、多くの命を救ったのです。			英雄を探して							
その献身的な行動は、称賛に値するでしょう。噂で、彼がアラギリに来ていると聞いたのですが、私は任務のために、ここを離れられません。			その献身的な行動は、称賛に値するでしょう。噂で、彼がアラギリに来ていると聞いたのですが、私は任務のために、ここを離れられません。			英雄を探して							
「同盟軍の将校」に彼の居場所を聞いて、我らの気持ちを、伝えていただけませんか？そして、上官である方にも、ぜひとも「称賛」を。			「同盟軍の将校」に彼の居場所を聞いて、我らの気持ちを、伝えていただけませんか？そして、上官である方にも、ぜひとも「称賛」を。			英雄を探して							
我々の感謝の気持ちが、彼に伝わればよいのですが。			我々の感謝の気持ちが、彼に伝わればよいのですが。			英雄を探して							
冒険者殿が、なにかご用でしょうか？			冒険者殿が、なにかご用でしょうか？			英雄を探して							
突然、どうされたのですか？私は冒険者殿に、称賛されるようなことは……。			突然、どうされたのですか？私は冒険者殿に、称賛されるようなことは……。			英雄を探して							
あのとき、伝令を務めていたのは、我が部隊ではなく、「双蛇党」だったはずです。「称賛」は、隊商宿グッドブレード跡に駐留している彼らへ……。			あのとき、伝令を務めていたのは、我が部隊ではなく、「双蛇党」だったはずです。「称賛」は、隊商宿グッドブレード跡に駐留している彼らへ……。			英雄を探して							
あのとき、伝令を務めていたのは、我が部隊ではなく、「双蛇党」だったはずです。「称賛」は、隊商宿グッドブレード跡に駐留している彼らへ……。			あのとき、伝令を務めていたのは、我が部隊ではなく、「双蛇党」だったはずです。「称賛」は、隊商宿グッドブレード跡に駐留している彼らへ……。			英雄を探して							
冒険者殿、何か用かな？			冒険者殿、何か用かな？			英雄を探して							
ふむ……貴方に称賛される理由は、とくに思い至らないが。			ふむ……貴方に称賛される理由は、とくに思い至らないが。			英雄を探して							
なるほど……。確かに、我が部隊から伝令を派遣したが、私は……カストルム・オリエンスに滞在していただけだ。			なるほど……。確かに、我が部隊から伝令を派遣したが、私は……カストルム・オリエンスに滞在していただけだ。			英雄を探して							
「称賛」されるべきは、現地で任務を果たした部下たちだろう。その内のひとりが、アラギリで最後の任務についている。よかったら、今の話を聞かせてやってくれ。			「称賛」されるべきは、現地で任務を果たした部下たちだろう。その内のひとりが、アラギリで最後の任務についている。よかったら、今の話を聞かせてやってくれ。			英雄を探して							
伝令任務を果たした部下のひとりが、アラギリで最後の任務についている。「称賛」されるべきなのは、彼らだろう。			伝令任務を果たした部下のひとりが、アラギリで最後の任務についている。「称賛」されるべきなのは、彼らだろう。			英雄を探して							
すまないが、ひとりにしてくれ。			すまないが、ひとりにしてくれ。			英雄を探して							
……やめろ！俺は、称賛されるようなことは何もしていない！			……やめろ！俺は、称賛されるようなことは何もしていない！			英雄を探して							
確かに、俺たちの部隊はラールガーズリーチにいたよ。だが、生き残るのに必死で、俺は誰ひとりとして救えなかった。……あいつのことも。			確かに、俺たちの部隊はラールガーズリーチにいたよ。だが、生き残るのに必死で、俺は誰ひとりとして救えなかった。……あいつのことも。			英雄を探して							
真の英雄は、ここで眠ってるよ。最後まで前線に残って、あいつは大勢を救った。だが、数日前……あのときの傷がもとで、息を引き取ったんだ。			真の英雄は、ここで眠ってるよ。最後まで前線に残って、あいつは大勢を救った。だが、数日前……あのときの傷がもとで、息を引き取ったんだ。			英雄を探して							
奴を弔ったことで、俺の最後の任務は終わった。もしよかったら、あいつのために「祈って」くれ。残された俺たちにできるのは、それくらいしかないからな。			奴を弔ったことで、俺の最後の任務は終わった。もしよかったら、あいつのために「祈って」くれ。残された俺たちにできるのは、それくらいしかないからな。			英雄を探して							
亡くなった同盟軍の伝令が、手厚く葬られているようだ……。兵士の功績を讃えるために、墓に向かって「祈る」をしよう。			亡くなった同盟軍の伝令が、手厚く葬られているようだ……。兵士の功績を讃えるために、墓に向かって「祈る」をしよう。			英雄を探して							
「祈り」に応えるように、風が吹いたようだ。「オド」に報告しよう。			「祈り」に応えるように、風が吹いたようだ。「オド」に報告しよう。			英雄を探して							
我々の感謝の気持ちを、伝えてきてもらえましたか？			我々の感謝の気持ちを、伝えてきてもらえましたか？			英雄を探して							
そんな……あのときの傷のせいで亡くなっていたとは……。私も後で、彼に救われた人たちと共に、祈りを捧げてきます。			そんな……あのときの傷のせいで亡くなっていたとは……。私も後で、彼に救われた人たちと共に、祈りを捧げてきます。			英雄を探して							
ですが、我々にできることは、ほかにもあるはず。救われたこの命を使い、真の平和を取り戻すこと……。それが……生き残った者の責務だと思います。			ですが、我々にできることは、ほかにもあるはず。救われたこの命を使い、真の平和を取り戻すこと……。それが……生き残った者の責務だと思います。			英雄を探して							
ありがとうございました、冒険者さん。			ありがとうございました、冒険者さん。			英雄を探して							
アラギリのウェイドヘリは、人手を探しているようだ。			アラギリのウェイドヘリは、人手を探しているようだ。			勝利の美酒							
同盟軍と解放軍の兵士にアラックの酒瓶を渡す			同盟軍と解放軍の兵士にアラックの酒瓶を渡す			勝利の美酒							
ウェイドヘリと話す			ウェイドヘリと話す			勝利の美酒							
冒険者殿、届け物をお願いできないだろうか。			冒険者殿、届け物をお願いできないだろうか。			勝利の美酒							
アラギリのために戦った兵士たちを、ねぎらってやりたいんだが、大口の客のせいで手が離せないんだ。			アラギリのために戦った兵士たちを、ねぎらってやりたいんだが、大口の客のせいで手が離せないんだ。			勝利の美酒							
街を守るために働いてる彼らに、「アラックの酒瓶」を差し入れてくれないか？			街を守るために働いてる彼らに、「アラックの酒瓶」を差し入れてくれないか？			勝利の美酒							
街を守るために働いてる彼らに、「アラックの酒瓶」を差し入れてくれないか？			街を守るために働いてる彼らに、「アラックの酒瓶」を差し入れてくれないか？			勝利の美酒							
俺になにか用か？			俺になにか用か？			勝利の美酒							
へえ、ギラバニアの酒か。任務明けにでも、飲ませてもらうよ。……早く交代にならないもんかな。			へえ、ギラバニアの酒か。任務明けにでも、飲ませてもらうよ。……早く交代にならないもんかな。			勝利の美酒							
任務中なんだけど……何？			任務中なんだけど……何？			勝利の美酒							
アラックの酒瓶ね。故郷のお酒を……しかも、こんな上物を飲めるなんて、アラギリを取り戻したという実感が沸いてきたわ。			アラックの酒瓶ね。故郷のお酒を……しかも、こんな上物を飲めるなんて、アラギリを取り戻したという実感が沸いてきたわ。			勝利の美酒							
のど渇いたなぁ。			のど渇いたなぁ。			勝利の美酒							
祝い酒にアラックの酒瓶とは、いかにもギラバニアらしい。粋な計らいだぜ。			祝い酒にアラックの酒瓶とは、いかにもギラバニアらしい。粋な計らいだぜ。			勝利の美酒							
祝い酒にアラックの酒瓶とは、いかにもギラバニアらしい。粋な計らいだぜ。			祝い酒にアラックの酒瓶とは、いかにもギラバニアらしい。粋な計らいだぜ。			勝利の美酒							
おや、冒険者さん。どうしたんだい？			おや、冒険者さん。どうしたんだい？			勝利の美酒							
ありがたいけど、まだ任務中なんでね。歩哨が終わったら、飲ませてもらうよ。			ありがたいけど、まだ任務中なんでね。歩哨が終わったら、飲ませてもらうよ。			勝利の美酒							
ありがたいけど、まだ任務中なんでね。歩哨が終わったら、飲ませてもらうよ。			ありがたいけど、まだ任務中なんでね。歩哨が終わったら、飲ませてもらうよ。			勝利の美酒							
冒険者殿、ありがとよ。皆にも喜んでもらえたようで、なによりだ。			冒険者殿、ありがとよ。皆にも喜んでもらえたようで、なによりだ。			勝利の美酒							
ここは東方交易の中継地点として栄えた街だったが、帝国の支配のせいで、ずいぶん廃れてしまった。奴ら、飛空艇を使って物流を牛耳りやがって……。			ここは東方交易の中継地点として栄えた街だったが、帝国の支配のせいで、ずいぶん廃れてしまった。奴ら、飛空艇を使って物流を牛耳りやがって……。			勝利の美酒							
この20年、上等なアラックの酒瓶は、帝国兵や、市民権を手に入れた裏切り者どもの手に渡っていた。だが、それも終わりだ。			この20年、上等なアラックの酒瓶は、帝国兵や、市民権を手に入れた裏切り者どもの手に渡っていた。だが、それも終わりだ。			勝利の美酒							
正直、財布にゃ厳しかったが、仲間や同胞に飲んでもらえて、酒も喜んでるさ。			正直、財布にゃ厳しかったが、仲間や同胞に飲んでもらえて、酒も喜んでるさ。			勝利の美酒							
今だけは、勝利の味に酔いしれよう。……乾杯！			今だけは、勝利の味に酔いしれよう。……乾杯！			勝利の美酒							
アラギリのウェイドヘリは、再び冒険者に頼みたいことがあるようだ。			アラギリのウェイドヘリは、再び冒険者に頼みたいことがあるようだ。			禁じられた郷土料理							
ハイウィング・チャプリからチャプリの脚を入手			ハイウィング・チャプリからチャプリの脚を入手			禁じられた郷土料理							
ウェイドヘリにチャプリの脚を渡す			ウェイドヘリにチャプリの脚を渡す			禁じられた郷土料理							
おや、酒配りの件は、ありがとよ！客に聞いたんだが、お前さん、有名な冒険者なんだってな。だが今度こそ、正真正銘、お前さんにしか頼めない依頼がある。			おや、酒配りの件は、ありがとよ！客に聞いたんだが、お前さん、有名な冒険者なんだってな。だが今度こそ、正真正銘、お前さんにしか頼めない依頼がある。			禁じられた郷土料理							
街のすぐ外にいる「ハイウィング・チャプリ」を倒して、「チャプリの脚」を手に入れてほしいんだ。			街のすぐ外にいる「ハイウィング・チャプリ」を倒して、「チャプリの脚」を手に入れてほしいんだ。			禁じられた郷土料理							
何に使うかは、後のお楽しみさ。頼むぜ、冒険者さん。			何に使うかは、後のお楽しみさ。頼むぜ、冒険者さん。			禁じられた郷土料理							
街のすぐ外にいる「ハイウィング・チャプリ」を倒して、「チャプリの脚」を手に入れてほしいんだ。頼むぜ、冒険者さん。			街のすぐ外にいる「ハイウィング・チャプリ」を倒して、「チャプリの脚」を手に入れてほしいんだ。頼むぜ、冒険者さん。			禁じられた郷土料理							
頼んでいたものは、取ってきてくれたかい？			頼んでいたものは、取ってきてくれたかい？			禁じられた郷土料理							
おお、活きのいいチャプリの脚だな。奴らの脚は筋肉が発達してるから、煮込んでも歯ごたえ抜群よ。おまけに身体の芯から温めてくれる、うちの看板料理だったんだ。			おお、活きのいいチャプリの脚だな。奴らの脚は筋肉が発達してるから、煮込んでも歯ごたえ抜群よ。おまけに身体の芯から温めてくれる、うちの看板料理だったんだ。			禁じられた郷土料理							
ところが帝国の奴ら、虫なんか気持ち悪いって言いやがって、二度と作らないよう、お達しまで出しやがった。だが、もう気兼ねする必要はない。			ところが帝国の奴ら、虫なんか気持ち悪いって言いやがって、二度と作らないよう、お達しまで出しやがった。だが、もう気兼ねする必要はない。			禁じられた郷土料理							
これで解放軍の闘士たちに、真のアラミゴ料理を食わせてやれる。任務の最中は、冷えて固くなったパンと、塩っ辛い干し肉ばかりだったらしいからな。			これで解放軍の闘士たちに、真のアラミゴ料理を食わせてやれる。任務の最中は、冷えて固くなったパンと、塩っ辛い干し肉ばかりだったらしいからな。			禁じられた郷土料理							
お前さんも、ありがとよ。こいつは独特の風味があるし、好みも分かれるが、ほかの料理もおすすめだから、いつでも来てくれ。			お前さんも、ありがとよ。こいつは独特の風味があるし、好みも分かれるが、ほかの料理もおすすめだから、いつでも来てくれ。			禁じられた郷土料理							
ワイトロック北の断崖のグントマルは、再び冒険者に頼みたいことがあるようだ。			ワイトロック北の断崖のグントマルは、再び冒険者に頼みたいことがあるようだ。			すでに病みつき							
解放軍の女闘士にムードスードの薬茶を渡す			解放軍の女闘士にムードスードの薬茶を渡す			すでに病みつき							
すまんが、また頼みを聞いてもらいたいことがある。この前話した、「ムードスードの薬茶」ができあがったんだ。これを、アラギリの「解放軍の女闘士」に届けてくれないか？			すまんが、また頼みを聞いてもらいたいことがある。この前話した、「ムードスードの薬茶」ができあがったんだ。これを、アラギリの「解放軍の女闘士」に届けてくれないか？			すでに病みつき							
遠くにいる俺には、これくらいしかできないからな。よろしく頼むよ。			遠くにいる俺には、これくらいしかできないからな。よろしく頼むよ。			すでに病みつき							
「ムードスードの薬茶」を、アラギリの「解放軍の女闘士」に届けてくれ。遠くにいる俺には、これくらいしかできないからな。			「ムードスードの薬茶」を、アラギリの「解放軍の女闘士」に届けてくれ。遠くにいる俺には、これくらいしかできないからな。			すでに病みつき							
おや、先日はお世話になりました。あのとき負傷した兵も、快復に向かっています。それで、今回はなぜこちらへ？			おや、先日はお世話になりました。あのとき負傷した兵も、快復に向かっています。それで、今回はなぜこちらへ？			すでに病みつき							
これはグントマルのムードスードの薬茶！独特の、一度飲んだら一週間は口の中から消えない強烈な味は、病みつきになる絶品ですよ！			これはグントマルのムードスードの薬茶！独特の、一度飲んだら一週間は口の中から消えない強烈な味は、病みつきになる絶品ですよ！			すでに病みつき							
ギラバニアには古くから、動物から獲れる角や骨、ありとあらゆる部位を無駄にせず、薬茶にする文化があるんです。効果はさまざまで、疲労回復に化膿止めまで、なんでもありですよ。			ギラバニアには古くから、動物から獲れる角や骨、ありとあらゆる部位を無駄にせず、薬茶にする文化があるんです。効果はさまざまで、疲労回復に化膿止めまで、なんでもありですよ。			すでに病みつき							
そうした知識の一部は、東方交易を通じて近東地域から、流入してきたとも言われてるんです。			そうした知識の一部は、東方交易を通じて近東地域から、流入してきたとも言われてるんです。			すでに病みつき							
さっそく宿舎に戻って……ああ、考えただけで口から唾液が……。す、すみません。とにかく、ありがとうございました！			さっそく宿舎に戻って……ああ、考えただけで口から唾液が……。す、すみません。とにかく、ありがとうございました！			すでに病みつき							
アラギリのヘールは、冒険者に頼みたいことがあるようだ。			アラギリのヘールは、冒険者に頼みたいことがあるようだ。			そんな話のひとつやふたつ							
隊商宿グッドブレード跡で解放軍の闘士を探す			隊商宿グッドブレード跡で解放軍の闘士を探す			そんな話のひとつやふたつ							
形見の首飾りを入手			形見の首飾りを入手			そんな話のひとつやふたつ							
解放軍の闘士に形見の首飾りを渡す			解放軍の闘士に形見の首飾りを渡す			そんな話のひとつやふたつ							
ヘールに報告			ヘールに報告			そんな話のひとつやふたつ							
あなたは、冒険者だな。街の外でさぼっている、「解放軍の闘士」の捜索を頼めないか？			あなたは、冒険者だな。街の外でさぼっている、「解放軍の闘士」の捜索を頼めないか？			そんな話のひとつやふたつ							
解放の余韻が抜けないのか、この手の輩が後を絶たない。だが、私は隊の指揮のため、ここを離れられんのでな。			解放の余韻が抜けないのか、この手の輩が後を絶たない。だが、私は隊の指揮のため、ここを離れられんのでな。			そんな話のひとつやふたつ							
隊商宿グッドブレード跡で、暇そうな兵をよく見かけるという噂だ。まずは、そこから頼む。			隊商宿グッドブレード跡で、暇そうな兵をよく見かけるという噂だ。まずは、そこから頼む。			そんな話のひとつやふたつ							
街の外でさぼっている「解放軍の闘士」を探してくれ。隊商宿グッドブレード跡に、解放軍の兵がよくいるらしいので、まずは、そこから頼む。			街の外でさぼっている「解放軍の闘士」を探してくれ。隊商宿グッドブレード跡に、解放軍の兵がよくいるらしいので、まずは、そこから頼む。			そんな話のひとつやふたつ							
ヘールさんに言われて、探しに来てくださったんですか……。ええ、任務中なのはわかっているのですが、両親の形見を戦いの中でなくしてしまって……。			ヘールさんに言われて、探しに来てくださったんですか……。ええ、任務中なのはわかっているのですが、両親の形見を戦いの中でなくしてしまって……。			そんな話のひとつやふたつ							
よければ、「形見の首飾り」を探してもらえませんか？哨戒任務の最中に、魔物と激しくやり合いましてね。この辺りに落ちていると思うのですが……。			よければ、「形見の首飾り」を探してもらえませんか？哨戒任務の最中に、魔物と激しくやり合いましてね。この辺りに落ちていると思うのですが……。			そんな話のひとつやふたつ							
よければ、「形見の首飾り」を探してもらえませんか？哨戒任務の最中に、魔物と激しくやり合いましてね。この辺りに落ちていると思うのですが……。			よければ、「形見の首飾り」を探してもらえませんか？哨戒任務の最中に、魔物と激しくやり合いましてね。この辺りに落ちていると思うのですが……。			そんな話のひとつやふたつ							
「形見の首飾り」を探してもらえませんか？大切な両親の形見なのです……。			「形見の首飾り」を探してもらえませんか？大切な両親の形見なのです……。			そんな話のひとつやふたつ							
あ、ありがとうございます、よかった……。20年前の帝国侵攻の際に、両親は命を落としました。すべてが壊され、奪われ……残ったのは、この形見だけです。			あ、ありがとうございます、よかった……。20年前の帝国侵攻の際に、両親は命を落としました。すべてが壊され、奪われ……残ったのは、この形見だけです。			そんな話のひとつやふたつ							
ここが昔はチョコボ留だったなんて、信じられますか？アラギリに立ち寄る商人の話し声や、羽を休めるチョコボの鳴き声が、私の子守歌だったものです。			ここが昔はチョコボ留だったなんて、信じられますか？アラギリに立ち寄る商人の話し声や、羽を休めるチョコボの鳴き声が、私の子守歌だったものです。			そんな話のひとつやふたつ							
形見があれば、任務に集中できるというものです。時間がかかっても、かつての姿を取り戻せるように。では、私は任務に戻ります。			形見があれば、任務に集中できるというものです。時間がかかっても、かつての姿を取り戻せるように。では、私は任務に戻ります。			そんな話のひとつやふたつ							
兵を見つけてくれたそうで、感謝する。本人から、話は聞いた。事情を聞けば、部隊総出で探したものを……。			兵を見つけてくれたそうで、感謝する。本人から、話は聞いた。事情を聞けば、部隊総出で探したものを……。			そんな話のひとつやふたつ							
似たような話のひとつやふたつ、解放軍の者なら誰しも持っているのでな。			似たような話のひとつやふたつ、解放軍の者なら誰しも持っているのでな。			そんな話のひとつやふたつ							
冒険者よ、手間をかけてしまったな。今回の協力に、心から感謝する。これからのアラギリを担う、若い者の力になってくれ。			冒険者よ、手間をかけてしまったな。今回の協力に、心から感謝する。これからのアラギリを担う、若い者の力になってくれ。			そんな話のひとつやふたつ							
アラギリの解放軍の女闘士は、冒険者の助けを求めているようだ。			アラギリの解放軍の女闘士は、冒険者の助けを求めているようだ。			孤独な見張りの伴							
解放軍の女闘士と合流			解放軍の女闘士と合流			孤独な見張りの伴							
解放軍の女闘士と話す			解放軍の女闘士と話す			孤独な見張りの伴							
補給物資の木箱を入手			補給物資の木箱を入手			孤独な見張りの伴							
グントマルに補給物資の木箱を渡す			グントマルに補給物資の木箱を渡す			孤独な見張りの伴							
冒険者とお見受けしました。その腕を見込み、ひとつ、お願いがあります。野営地に補給物資を届けにいった兵が、いまだ戻らないのです。			冒険者とお見受けしました。その腕を見込み、ひとつ、お願いがあります。野営地に補給物資を届けにいった兵が、いまだ戻らないのです。			孤独な見張りの伴							
魔物に襲われた可能性が高いのですが、この街は、まだ解放の混乱が収まったとはいえません。憶測で兵を動かすこともできず、かといって私ひとりでは……。			魔物に襲われた可能性が高いのですが、この街は、まだ解放の混乱が収まったとはいえません。憶測で兵を動かすこともできず、かといって私ひとりでは……。			孤独な見張りの伴							
そこで、北の崖の野営地に向かった仲間を、私とともに探していただきたいのです。早速、向かいましょう！			そこで、北の崖の野営地に向かった仲間を、私とともに探していただきたいのです。早速、向かいましょう！			孤独な見張りの伴							
ありがとうございます……助かりました。彼も命に別状はありませんが、治療が必要なので、私が連れて帰ります。			ありがとうございます……助かりました。彼も命に別状はありませんが、治療が必要なので、私が連れて帰ります。			孤独な見張りの伴							
ですが、この「補給物資の木箱」を届けなければなりません。代わりに、北の崖で野営している「グントマル」に、届けていただけますか？			ですが、この「補給物資の木箱」を届けなければなりません。代わりに、北の崖で野営している「グントマル」に、届けていただけますか？			孤独な見張りの伴							
私は、彼を連れて帰ります。あなたは、この「補給物資の木箱」を、北の崖で野営している「グントマル」に届けてください。			私は、彼を連れて帰ります。あなたは、この「補給物資の木箱」を、北の崖で野営している「グントマル」に届けてください。			孤独な見張りの伴							
こんな場所に……冒険者が、何か用か？			こんな場所に……冒険者が、何か用か？			孤独な見張りの伴							
これは……補給物資じゃないか。ありがたいが、なぜアンタが？			これは……補給物資じゃないか。ありがたいが、なぜアンタが？			孤独な見張りの伴							
あいつ、魔物に襲われたのか……。だが、大きな怪我じゃなかったのなら、よかったよ。			あいつ、魔物に襲われたのか……。だが、大きな怪我じゃなかったのなら、よかったよ。			孤独な見張りの伴							
北のキキルン族の山賊もだが、ここらは凶暴な魔物も多くてな。だからこそ、辺り一帯を見回せる、この野営地が重要なんだ。街が恋しくなることもあるが、任務はやり遂げてみせる。			北のキキルン族の山賊もだが、ここらは凶暴な魔物も多くてな。だからこそ、辺り一帯を見回せる、この野営地が重要なんだ。街が恋しくなることもあるが、任務はやり遂げてみせる。			孤独な見張りの伴							
ありがとな、重かっただろ。なにせ、一週間分の食料とアラックだ。			ありがとな、重かっただろ。なにせ、一週間分の食料とアラックだ。			孤独な見張りの伴							
酔うまでは飲まないから、安心しろ。寒い夜に、身も心も温めるだけさ。			酔うまでは飲まないから、安心しろ。寒い夜に、身も心も温めるだけさ。			孤独な見張りの伴							
アラギリのズズデスは、冒険者に仕事を頼みたいようだ。			アラギリのズズデスは、冒険者に仕事を頼みたいようだ。			補給線上のズズデス							
荷物を奪ったキキルン・ミートキャリアーを探して討伐			荷物を奪ったキキルン・ミートキャリアーを探して討伐			補給線上のズズデス							
奪われた荷物を入手			奪われた荷物を入手			補給線上のズズデス							
ズズデスに奪われた荷物を渡す			ズズデスに奪われた荷物を渡す			補給線上のズズデス							
ちょっと、そこの冒険者のお姉さんお兄さん。見たところ、相当やりますね。			ちょっと、そこの冒険者のお姉さんお兄さん。見たところ、相当やりますね。			補給線上のズズデス							
ご察しのとおり、仕事の依頼ですよ。私は解放軍にいろいろと便宜を図っている、酒保商人のズズデスと申します。			ご察しのとおり、仕事の依頼ですよ。私は解放軍にいろいろと便宜を図っている、酒保商人のズズデスと申します。			補給線上のズズデス							
依頼を受けた物資を、アラギリに運ぶ途中のことです。突如現れたキキルン族の山賊に襲われ、積み荷を奪われてしまいました……。			依頼を受けた物資を、アラギリに運ぶ途中のことです。突如現れたキキルン族の山賊に襲われ、積み荷を奪われてしまいました……。			補給線上のズズデス							
ですが、奪われた荷は金属製品で、かなりの重量です。小柄な奴らでは、運ぶのにも時間がかかるでしょう。今から追いかければ、荷を取り戻せるはず……！			ですが、奪われた荷は金属製品で、かなりの重量です。小柄な奴らでは、運ぶのにも時間がかかるでしょう。今から追いかければ、荷を取り戻せるはず……！			補給線上のズズデス							
奴らが、根城である「赤の台所」に帰りつく前に、力づくで「奪われた荷物」を取り返してください！			奴らが、根城である「赤の台所」に帰りつく前に、力づくで「奪われた荷物」を取り返してください！			補給線上のズズデス							
キキルン族どもが、根城の「赤の台所」に帰りつく前に、力づくで「奪われた荷物」を取り返してください。			キキルン族どもが、根城の「赤の台所」に帰りつく前に、力づくで「奪われた荷物」を取り返してください。			補給線上のズズデス							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			補給線上のズズデス							
わたさないっちゃ！			わたさないっちゃ！			補給線上のズズデス							
奪われた荷物は、取り戻していただけましたか？			奪われた荷物は、取り戻していただけましたか？			補給線上のズズデス							
さすが、見込んだとおりのお方。私の見る目に、間違いはございませんでした。			さすが、見込んだとおりのお方。私の見る目に、間違いはございませんでした。			補給線上のズズデス							
軍が活動するためには、一にも二にも物資が必要です。武器や防具は言うに及ばず、腹が減っては何とやら。			軍が活動するためには、一にも二にも物資が必要です。武器や防具は言うに及ばず、腹が減っては何とやら。			補給線上のズズデス							
もし、あのまま積み荷を失っていたら、アラギリの部隊は、どうなってしまったことやら……。私も夜逃げするしかないかと、困り果てていたところでした。			もし、あのまま積み荷を失っていたら、アラギリの部隊は、どうなってしまったことやら……。私も夜逃げするしかないかと、困り果てていたところでした。			補給線上のズズデス							
おや、そうは見えなかったですか？お客様も、暗い顔の商人からは買いたくはないでしょう。笑顔も立派な商売道具です、ふふふ。			おや、そうは見えなかったですか？お客様も、暗い顔の商人からは買いたくはないでしょう。笑顔も立派な商売道具です、ふふふ。			補給線上のズズデス							
それでは冒険者さん、ありがとうございました。ご武運をお祈りしています。			それでは冒険者さん、ありがとうございました。ご武運をお祈りしています。			補給線上のズズデス							
アラギリの解放軍の闘士は、冒険者を探しているようだ。			アラギリの解放軍の闘士は、冒険者を探しているようだ。			心で揺らぐ影							
アラギリの住民に協議会の案内状を渡す			アラギリの住民に協議会の案内状を渡す			心で揺らぐ影							
解放軍の闘士に報告			解放軍の闘士に報告			心で揺らぐ影							
君は、冒険者だな。折り入って、頼みたいことがある。			君は、冒険者だな。折り入って、頼みたいことがある。			心で揺らぐ影							
私は、アラギリに駐屯する軍のこれからについて、住民の皆と、話をする機会を設けようと考えているんだ。			私は、アラギリに駐屯する軍のこれからについて、住民の皆と、話をする機会を設けようと考えているんだ。			心で揺らぐ影							
しかし、同じアラミゴ人でありながら、我々はどこか、距離を置かれているような気がするのだ。そこで、解放軍でも住民でもない、第三者の君に頼みたい。			しかし、同じアラミゴ人でありながら、我々はどこか、距離を置かれているような気がするのだ。そこで、解放軍でも住民でもない、第三者の君に頼みたい。			心で揺らぐ影							
軍からの一方的な通告にはしたくないのでな、冒険者の手で、この「協議会の案内状」を配ってきてほしい。そして、解放軍をどう思っているのか、聞いてくれないか。			軍からの一方的な通告にはしたくないのでな、冒険者の手で、この「協議会の案内状」を配ってきてほしい。そして、解放軍をどう思っているのか、聞いてくれないか。			心で揺らぐ影							
軍からの一方的な通告にはしたくないのでな、冒険者の手で、その「協議会の案内状」を配ってきてほしい。そして、解放軍をどう思っているのか、聞いてくれないか。			軍からの一方的な通告にはしたくないのでな、冒険者の手で、その「協議会の案内状」を配ってきてほしい。そして、解放軍をどう思っているのか、聞いてくれないか。			心で揺らぐ影							
何か用かな？			何か用かな？			心で揺らぐ影							
