シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			凄腕の狩人							
そ、そうだが……眼鏡を知らないのかい？			そ、そうだが……眼鏡を知らないのかい？			クイーキの覚醒							
眼鏡ってやつをかけてる人は見たことあったけど、単に洒落た人がつける飾りだと思ってた……。			眼鏡ってやつをかけてる人は見たことあったけど、単に洒落た人がつける飾りだと思ってた……。			クイーキの覚醒							
教えてくれ、それはどこで手に入るんだ！？			教えてくれ、それはどこで手に入るんだ！？			クイーキの覚醒							
眼鏡がほしいなら、腕のいい職人のツテがある、ヤマブキさんに頼んでみるといい。この通りにいるはずだよ。			眼鏡がほしいなら、腕のいい職人のツテがある、ヤマブキさんに頼んでみるといい。この通りにいるはずだよ。			クイーキの覚醒							
ヤマブキさんだね、どうもありがとう！			ヤマブキさんだね、どうもありがとう！			クイーキの覚醒							
ああ、勝手に話を進めてしまって、すまない。			ああ、勝手に話を進めてしまって、すまない。			クイーキの覚醒							
アタシは落ちこぼれの狩人だから、とても戦力になれそうになかったけど……それが何とかなりそうなんだよ！			アタシは落ちこぼれの狩人だから、とても戦力になれそうになかったけど……それが何とかなりそうなんだよ！			クイーキの覚醒							
店の前で長話は迷惑になりそうだから、向こうで訳を話そう。			店の前で長話は迷惑になりそうだから、向こうで訳を話そう。			クイーキの覚醒							
実を言うと、アタシが矢を外してしまう理由は……生まれつき目が悪くて、遠くがよく見えないからなんだ。			実を言うと、アタシが矢を外してしまう理由は……生まれつき目が悪くて、遠くがよく見えないからなんだ。			クイーキの覚醒							
そもそも、狩人に向いてないのさ。集落で炊事や洗濯、道具の手入れにまわされていたのは当然のこと。			そもそも、狩人に向いてないのさ。集落で炊事や洗濯、道具の手入れにまわされていたのは当然のこと。			クイーキの覚醒							
けれど……凄腕の狩人、イットカに憧れていたアタシは、狩人になることを諦められなかったんだ。			けれど……凄腕の狩人、イットカに憧れていたアタシは、狩人になることを諦められなかったんだ。			クイーキの覚醒							
だから、イットカに頼み込んで、弓の引き方から、狩りに使う特殊な射法まで、ひと通りは教わったものの……遠くが見えないせいで、肝心の狙いが外れてしまうんだよ。			だから、イットカに頼み込んで、弓の引き方から、狩りに使う特殊な射法まで、ひと通りは教わったものの……遠くが見えないせいで、肝心の狙いが外れてしまうんだよ。			クイーキの覚醒							
眼が悪いのは自然の摂理だから、どうしようもないことだと、ずっと思っていた……。			眼が悪いのは自然の摂理だから、どうしようもないことだと、ずっと思っていた……。			クイーキの覚醒							
でも、眼鏡でよく見えるようになれば、きっと矢が当たるようになって、戦力にだってなれる！			でも、眼鏡でよく見えるようになれば、きっと矢が当たるようになって、戦力にだってなれる！			クイーキの覚醒							
つまり、アタシもサミダレと戦うことができるんだ！それは擬態を暴く秘薬よりも切り札になるはず！			つまり、アタシもサミダレと戦うことができるんだ！それは擬態を暴く秘薬よりも切り札になるはず！			クイーキの覚醒							
だから、眼鏡を手に入れたいんだ……！			だから、眼鏡を手に入れたいんだ……！			クイーキの覚醒							
さっそく、「ヤマブキ」さんに頼んでみよう！			さっそく、「ヤマブキ」さんに頼んでみよう！			クイーキの覚醒							
この人が、「ヤマブキ」さんだね。早く眼鏡のことを話してみよう！			この人が、「ヤマブキ」さんだね。早く眼鏡のことを話してみよう！			クイーキの覚醒							
ふむ、眼鏡が欲しいのか。もちろん用立てることはできるが材料不足でね……再入荷には数週間かかるはずだ。			ふむ、眼鏡が欲しいのか。もちろん用立てることはできるが材料不足でね……再入荷には数週間かかるはずだ。			クイーキの覚醒							
もし急ぎだというのなら、自分たちで、「碧タイマイの甲羅」と「黄金石英」を調達してくれ。そうすれば馴染みの職人に作らせよう。			もし急ぎだというのなら、自分たちで、「碧タイマイの甲羅」と「黄金石英」を調達してくれ。そうすれば馴染みの職人に作らせよう。			クイーキの覚醒							
数週間も足踏みしていたら、ヤツを逃してしまう。悪いけど、キミも材料調達に付き合ってもらえないか？ふたりで分担すれば、早く集まるはずだ。			数週間も足踏みしていたら、ヤツを逃してしまう。悪いけど、キミも材料調達に付き合ってもらえないか？ふたりで分担すれば、早く集まるはずだ。			クイーキの覚醒							
ふむ、やる気のようだね。ならひとりは碧甲羅の里に向かうといい。交渉次第で、良質の碧タイマイの甲羅が買えるはずだ。			ふむ、やる気のようだね。ならひとりは碧甲羅の里に向かうといい。交渉次第で、良質の碧タイマイの甲羅が買えるはずだ。			クイーキの覚醒							
そちらはアタシが向かおう。碧甲羅の集落は前にも行った、ベッコウ島にあるそうだね。			そちらはアタシが向かおう。碧甲羅の集落は前にも行った、ベッコウ島にあるそうだね。			クイーキの覚醒							
では、アンタは紅玉海の「沖之岩」にある洞窟へ。この煌めく砂利を撒いてオキノ・イワムシを誘き出し、倒すことができれば、黄金石英が手に入るだろうからね。			では、アンタは紅玉海の「沖之岩」にある洞窟へ。この煌めく砂利を撒いてオキノ・イワムシを誘き出し、倒すことができれば、黄金石英が手に入るだろうからね。			クイーキの覚醒							
それじゃあ、それぞれ調達に向かうとしよう！			それじゃあ、それぞれ調達に向かうとしよう！			クイーキの覚醒							
アンタは紅玉海の「沖之岩」にある洞窟へ。煌めく砂利を撒いてオキノ・イワムシを誘き出して、倒すことができれば、黄金石英が手に入るだろうからね。			アンタは紅玉海の「沖之岩」にある洞窟へ。煌めく砂利を撒いてオキノ・イワムシを誘き出して、倒すことができれば、黄金石英が手に入るだろうからね。			クイーキの覚醒							
やっぱり、アンタが先に戻ってきたか。黄金石英は入手できたかね……？			やっぱり、アンタが先に戻ってきたか。黄金石英は入手できたかね……？			クイーキの覚醒							
うん、これなら良いレンズができるだろう。あとはお仲間の帰りを待つだけだが……			うん、これなら良いレンズができるだろう。あとはお仲間の帰りを待つだけだが……			クイーキの覚醒							
も、戻った……よ……			も、戻った……よ……			クイーキの覚醒							
いやあ、いきなり倒れてしまって面目ない。			いやあ、いきなり倒れてしまって面目ない。			クイーキの覚醒							
碧甲羅と交渉したんだけど、最近、碧タイマイの数が少なくて希少だから売れないって、断られてしまったんだ。			碧甲羅と交渉したんだけど、最近、碧タイマイの数が少なくて希少だから売れないって、断られてしまったんだ。			クイーキの覚醒							
どうしてもって食い下がったら、漁場を荒らす紅甲羅の討伐を頼まれてしまってね……。			どうしてもって食い下がったら、漁場を荒らす紅甲羅の討伐を頼まれてしまってね……。			クイーキの覚醒							
アタシは遠くからだと矢が当たらないから、至近距離で戦うしかなくてさ……まともに攻撃を受ける羽目になって、散々な目に遭ったよ。			アタシは遠くからだと矢が当たらないから、至近距離で戦うしかなくてさ……まともに攻撃を受ける羽目になって、散々な目に遭ったよ。			クイーキの覚醒							
でも、苦労の甲斐あって、どうにか甲羅は譲ってもらえた。さっそく、アタシの眼鏡を作ってくれ！			でも、苦労の甲斐あって、どうにか甲羅は譲ってもらえた。さっそく、アタシの眼鏡を作ってくれ！			クイーキの覚醒							
よしきた、まずはアンタの視力を測ってから、すぐに職人に作らせよう！			よしきた、まずはアンタの視力を測ってから、すぐに職人に作らせよう！			クイーキの覚醒							
すすすす、すごい！世界がとてもハッキリと見えるよ……！			すすすす、すごい！世界がとてもハッキリと見えるよ……！			クイーキの覚醒							
これだけ見えれば、きっとアタシの弓の狙いも変わるはず。さっそく、この辺りで試射をしてみよう！			これだけ見えれば、きっとアタシの弓の狙いも変わるはず。さっそく、この辺りで試射をしてみよう！			クイーキの覚醒							
ちょ、ちょっと待った！商店街で矢を射るなんて、そいつは穏やかじゃないな。的を用意してあげるから、人のいない場所で思い切り試すといい。			ちょ、ちょっと待った！商店街で矢を射るなんて、そいつは穏やかじゃないな。的を用意してあげるから、人のいない場所で思い切り試すといい。			クイーキの覚醒							
それは助かるよ、どうもありがとう！			それは助かるよ、どうもありがとう！			クイーキの覚醒							
やった……やったぞ！これなら、もう矢を外すこともない！			やった……やったぞ！これなら、もう矢を外すこともない！			クイーキの覚醒							
今度こそサミダレを射抜いてやる……！！			今度こそサミダレを射抜いてやる……！！			クイーキの覚醒							
長年悩まされていた弱点が克服できたよ！もうアタシは落ちこぼれ狩人なんかじゃない、戦力にだってなれるはず！			長年悩まされていた弱点が克服できたよ！もうアタシは落ちこぼれ狩人なんかじゃない、戦力にだってなれるはず！			クイーキの覚醒							
あとは、サミダレの動きを待つだけだね。次に情報が入ってきたら、そのときが最後の戦いだ！			あとは、サミダレの動きを待つだけだね。次に情報が入ってきたら、そのときが最後の戦いだ！			クイーキの覚醒							
もうひと踏ん張り、どうか協力を頼むよ。それじゃあ、またしばらくしたら様子を見に来てくれ。			もうひと踏ん張り、どうか協力を頼むよ。それじゃあ、またしばらくしたら様子を見に来てくれ。			クイーキの覚醒							
赤誠組屯所付近のクイーキは、冒険者に話があるようだ。			赤誠組屯所付近のクイーキは、冒険者に話があるようだ。			一端の狩人							
クイーキと話したところ、シリナが来ていた。彼女によると、アジムステップでサミダレが現れたようだ。サミダレの手がかりとなる争いごとを探すため、アジムステップの再会の市で情報を集めよう。			クイーキと話したところ、シリナが来ていた。彼女によると、アジムステップでサミダレが現れたようだ。サミダレの手がかりとなる争いごとを探すため、アジムステップの再会の市で情報を集めよう。			一端の狩人							
情報を集めたところ、最近、マグナイの様子がおかしいという。再会の市の「クイーキ」と話そう。			情報を集めたところ、最近、マグナイの様子がおかしいという。再会の市の「クイーキ」と話そう。			一端の狩人							
クイーキと話した。彼女はマグナイが、ひとりでバルダム覇道に出かけたと聞いたそうだ。サミダレがマグナイに擬態している。そう睨んだクイーキと共に、バルダム覇道に向かうことになった。戦いに備え準備を整えて、再会の市の「クイーキ」と話そう。			クイーキと話した。彼女はマグナイが、ひとりでバルダム覇道に出かけたと聞いたそうだ。サミダレがマグナイに擬態している。そう睨んだクイーキと共に、バルダム覇道に向かうことになった。戦いに備え準備を整えて、再会の市の「クイーキ」と話そう。			一端の狩人							
クイーキと話し、バルダム覇道に向かった。そこでは、サミダレがサドゥに擬態して、マグナイが騙されかけていた。サミダレはマグナイを気絶させ、正体を現して襲いかかってきた。冒険者はクイーキと共闘し、サミダレを討伐するのだった。			クイーキと話し、バルダム覇道に向かった。そこでは、サミダレがサドゥに擬態して、マグナイが騙されかけていた。サミダレはマグナイを気絶させ、正体を現して襲いかかってきた。冒険者はクイーキと共闘し、サミダレを討伐するのだった。			一端の狩人							
逃げようとするサミダレに、クイーキは矢を放ち、見事に命中させるのだった。サミダレはマグナイたちに連行されていった。イットカの仇を討ち、祭器を取り返したクイーキだが、集落に戻ることに負い目があるようだ。アジムステップのバルダム覇道入口にいる「クイーキ」と話そう。			逃げようとするサミダレに、クイーキは矢を放ち、見事に命中させるのだった。サミダレはマグナイたちに連行されていった。イットカの仇を討ち、祭器を取り返したクイーキだが、集落に戻ることに負い目があるようだ。アジムステップのバルダム覇道入口にいる「クイーキ」と話そう。			一端の狩人							
クイーキと話した。彼女と共に、祭器奪還の報告に行くことになった。トライヨラのシャバーブチェにいる「シャシェパ」と話そう。			クイーキと話した。彼女と共に、祭器奪還の報告に行くことになった。トライヨラのシャバーブチェにいる「シャシェパ」と話そう。			一端の狩人							
シャシェパと話した。クイーキはイットカの死と祭器奪還の報告をして、自分は故郷に帰る資格がないと語る。しかし、シャシェパはそれを否定、集落の皆が心配しているという言葉から、クイーキは故郷に戻ることにしたようだ。彼女は冒険者のおかげで、一端の狩人になれたと礼を言って、再会を約束し帰っていくのだった。			シャシェパと話した。クイーキはイットカの死と祭器奪還の報告をして、自分は故郷に帰る資格がないと語る。しかし、シャシェパはそれを否定、集落の皆が心配しているという言葉から、クイーキは故郷に戻ることにしたようだ。彼女は冒険者のおかげで、一端の狩人になれたと礼を言って、再会を約束し帰っていくのだった。			一端の狩人							
再会の市で情報を集める			再会の市で情報を集める			一端の狩人							
クイーキと話す			クイーキと話す			一端の狩人							
クイーキと再度話す			クイーキと再度話す			一端の狩人							
クイーキとさらに話す			クイーキとさらに話す			一端の狩人							
トライヨラのシャシェパと話す			トライヨラのシャシェパと話す			一端の狩人							
Forename、ちょうどよかった！キミの知り合いだって人が、話があるとかで訪ねてきてるんだ。			Forename、ちょうどよかった！キミの知り合いだって人が、話があるとかで訪ねてきてるんだ。			一端の狩人							
それも、どうやらサミダレ絡みの話らしい。下宿先で待ってもらっているから、呼んでくるね。			それも、どうやらサミダレ絡みの話らしい。下宿先で待ってもらっているから、呼んでくるね。			一端の狩人							
Forenameさん、突然押しかけてしまってすみません。どうしても、お伝えしたいことがありまして……。			Forenameさん、突然押しかけてしまってすみません。どうしても、お伝えしたいことがありまして……。			一端の狩人							
何と言う？			何と言う？			一端の狩人							
再会の市で初めて会ったとき、買いにきていたものは何？			再会の市で初めて会ったとき、買いにきていたものは何？			一端の狩人							
バルダム覇道の試練に臨む前夜に、食べたのは何の肉？			バルダム覇道の試練に臨む前夜に、食べたのは何の肉？			一端の狩人							
たしか、キンサイでしたね。あのときは手持ちがなくて、あなたにお世話になりました。			たしか、キンサイでしたね。あのときは手持ちがなくて、あなたにお世話になりました。			一端の狩人							
ええと、オオイタチの肉だったはずです。あなたやヒエンさんたちが、狩りの成果を競っていました。			ええと、オオイタチの肉だったはずです。あなたやヒエンさんたちが、狩りの成果を競っていました。			一端の狩人							
どうやら、あなたも偽者を警戒しているようですね。私が話したかったのも、その件についてなんです。			どうやら、あなたも偽者を警戒しているようですね。私が話したかったのも、その件についてなんです。			一端の狩人							
先日、モル・イローに、あなたが現れました。ヒエン様が乱心して、ドマがアジムステップを狙っていると、私たちに警告してきたのです。			先日、モル・イローに、あなたが現れました。ヒエン様が乱心して、ドマがアジムステップを狙っていると、私たちに警告してきたのです。			一端の狩人							
幸い、「他者に擬態する扇動者」について、事前にドマから警告を受けていましたので、騙されませんでした。			幸い、「他者に擬態する扇動者」について、事前にドマから警告を受けていましたので、騙されませんでした。			一端の狩人							
ところが、私たちが偽者だと見抜いて捕らえようとしたところ、その者は羊に姿を変え、群れに紛れて姿を消してしまったのです。			ところが、私たちが偽者だと見抜いて捕らえようとしたところ、その者は羊に姿を変え、群れに紛れて姿を消してしまったのです。			一端の狩人							
この件をドマに伝えたところ、烈士の方から、あなたがクガネを拠点に扇動者を追っていると聞き、こうして出向いてきたのです。			この件をドマに伝えたところ、烈士の方から、あなたがクガネを拠点に扇動者を追っていると聞き、こうして出向いてきたのです。			一端の狩人							
サミダレめ……。どうあっても諍いを煽って戦争を引き起こすつもりだな！早く見つけ出して止めないと！			サミダレめ……。どうあっても諍いを煽って戦争を引き起こすつもりだな！早く見つけ出して止めないと！			一端の狩人							
犯人の手がかりでしたら、アジムステップの民が集まる、再会の市で聞き込みを行うといいでしょう。			犯人の手がかりでしたら、アジムステップの民が集まる、再会の市で聞き込みを行うといいでしょう。			一端の狩人							
私もほかの部族のみなさんにこの件をお伝えし、警戒に努めます。それでは、くれぐれもお気をつけください。			私もほかの部族のみなさんにこの件をお伝えし、警戒に努めます。それでは、くれぐれもお気をつけください。			一端の狩人							
それじゃあ、アジムステップの「再会の市」に向かい、不審なやつを見ていないか、聞き込みをしてみよう！			それじゃあ、アジムステップの「再会の市」に向かい、不審なやつを見ていないか、聞き込みをしてみよう！			一端の狩人							
ここは、サカ・トラルの雰囲気に近いね。みんな自然と共生しているみたいで、とても居心地がいいよ。			ここは、サカ・トラルの雰囲気に近いね。みんな自然と共生しているみたいで、とても居心地がいいよ。			一端の狩人							
偽者の件、ほか部族のみなさんにもお伝えし、警戒に努めます。どうか、くれぐれもお気をつけください。			偽者の件、ほか部族のみなさんにもお伝えし、警戒に努めます。どうか、くれぐれもお気をつけください。			一端の狩人							
争いを起こそうとする扇動者だって？アジムステップでは部族間の諍いなんか、日常茶飯事だからねぇ……。			争いを起こそうとする扇動者だって？アジムステップでは部族間の諍いなんか、日常茶飯事だからねぇ……。			一端の狩人							
悪いけど、ほかをあたって。私は店の呼び込みで忙しいんだ。			悪いけど、ほかをあたって。私は店の呼び込みで忙しいんだ。			一端の狩人							
この再会の市では争いが禁じられているし、私の部族もいつもどおり平和よ。			この再会の市では争いが禁じられているし、私の部族もいつもどおり平和よ。			一端の狩人							
そういえば、噂で聞いたんだけど、最近、オロニル族の長兄、マグナイの様子がおかしいそうね。あなたが知りたいことと、何か関係があるのかしら？			そういえば、噂で聞いたんだけど、最近、オロニル族の長兄、マグナイの様子がおかしいそうね。あなたが知りたいことと、何か関係があるのかしら？			一端の狩人							
アジムステップでよくある諍いならともかく、争いごとなんてしばらく聞かないね……。			アジムステップでよくある諍いならともかく、争いごとなんてしばらく聞かないね……。			一端の狩人							
それより、オロニル族のマグナイが、こそこそと明けの玉座を抜け出しているって噂は聞いた？いったい、どこへ何しに行ってるんだかねぇ……。			それより、オロニル族のマグナイが、こそこそと明けの玉座を抜け出しているって噂は聞いた？いったい、どこへ何しに行ってるんだかねぇ……。			一端の狩人							
アジムステップでは部族間の諍いなんか、日常茶飯事だからねぇ……。悪いけど、ほかをあたって。			アジムステップでは部族間の諍いなんか、日常茶飯事だからねぇ……。悪いけど、ほかをあたって。			一端の狩人							
噂で聞いたんだけど、最近、オロニル族の長兄、マグナイの様子がおかしいそうね。あなたが知りたいことと、何か関係があるのかしら？			噂で聞いたんだけど、最近、オロニル族の長兄、マグナイの様子がおかしいそうね。あなたが知りたいことと、何か関係があるのかしら？			一端の狩人							
オロニル族のマグナイが、こそこそと明けの玉座を抜け出しているって噂は聞いた？いったい、どこへ何しに行ってるんだかねぇ……。			オロニル族のマグナイが、こそこそと明けの玉座を抜け出しているって噂は聞いた？いったい、どこへ何しに行ってるんだかねぇ……。			一端の狩人							
やあ、そちらは何か情報は聞き出せたかい？			やあ、そちらは何か情報は聞き出せたかい？			一端の狩人							
同じく、マグナイという人のうわさを聞いたよ。アタシが聞いた話では、ついさっきバルダム覇道というところへ、ひとりで出かけていく姿を見たというんだ。			同じく、マグナイという人のうわさを聞いたよ。アタシが聞いた話では、ついさっきバルダム覇道というところへ、ひとりで出かけていく姿を見たというんだ。			一端の狩人							
もしかしたら、そのマグナイに、サミダレは擬態しているのかもしれないね。			もしかしたら、そのマグナイに、サミダレは擬態しているのかもしれないね。			一端の狩人							
とにかく、バルダム覇道に行ってみよう。次こそ仕留めたいから、しっかり準備していこう。			とにかく、バルダム覇道に行ってみよう。次こそ仕留めたいから、しっかり準備していこう。			一端の狩人							
準備ができたみたいだね。サミダレは戦いとなったら必ず、武の達人や強力な魔物に擬態してくるはずだ。			準備ができたみたいだね。サミダレは戦いとなったら必ず、武の達人や強力な魔物に擬態してくるはずだ。			一端の狩人							
最近は、事前の下調べも怠っていないようだしね。擬態した相手の技や力をしっかり把握して、我がものとして使ってくるだろう。			最近は、事前の下調べも怠っていないようだしね。擬態した相手の技や力をしっかり把握して、我がものとして使ってくるだろう。			一端の狩人							
でも、アタシだってもう以前の落ちこぼれ狩人じゃない。キミと力を合わせれば、どんな相手だって負けないさ！			でも、アタシだってもう以前の落ちこぼれ狩人じゃない。キミと力を合わせれば、どんな相手だって負けないさ！			一端の狩人							
さあ、バルダム覇道へ向かおう。イットカの仇を討ち、祭器を取り戻してやる！			さあ、バルダム覇道へ向かおう。イットカの仇を討ち、祭器を取り戻してやる！			一端の狩人							
オレは……お前のことがずっと好きだったんだ。			オレは……お前のことがずっと好きだったんだ。			一端の狩人							
な、なんたる、おぞましい戯言を……。余輩を油断させ、寝首でもかこうというハラか？			な、なんたる、おぞましい戯言を……。余輩を油断させ、寝首でもかこうというハラか？			一端の狩人							
そんなわけないだろう？過去にはいろいろとあったかもしれないが、それも、好きという気持ちの裏返しだったんだよ！			そんなわけないだろう？過去にはいろいろとあったかもしれないが、それも、好きという気持ちの裏返しだったんだよ！			一端の狩人							
望まぬ婚姻を強いられて、ようやく本心に気づいたんだ！だから、恥を忍んでこの想いを伝えようと……！			望まぬ婚姻を強いられて、ようやく本心に気づいたんだ！だから、恥を忍んでこの想いを伝えようと……！			一端の狩人							
待て、婚姻だと？お前のような狂犬のごとき女を、いったい誰が……？			待て、婚姻だと？お前のような狂犬のごとき女を、いったい誰が……？			一端の狩人							
ドマのヒエンだよ。奴は、有力部族を率いるオレを娶ることで、アジムステップの支配権を手に入れようとしてるんだ！			ドマのヒエンだよ。奴は、有力部族を率いるオレを娶ることで、アジムステップの支配権を手に入れようとしてるんだ！			一端の狩人							
ヒエンめ、なんと恥ずべきことを……！			ヒエンめ、なんと恥ずべきことを……！			一端の狩人							
お、お前の世迷い言は、検討してやらんこともない……余輩のナーマである可能性も、なきにしもあらずだからな。			お、お前の世迷い言は、検討してやらんこともない……余輩のナーマである可能性も、なきにしもあらずだからな。			一端の狩人							
だが、それよりもまずは兵を集めねば……。破廉恥なヒエンを成敗すべく、ドマへ攻め込むために！			だが、それよりもまずは兵を集めねば……。破廉恥なヒエンを成敗すべく、ドマへ攻め込むために！			一端の狩人							
何と言う？			何と言う？			一端の狩人							
そのサドゥは偽者だ！			そのサドゥは偽者だ！			一端の狩人							
そいつは、キミのナーマじゃない……！			そいつは、キミのナーマじゃない……！			一端の狩人							
お、お前は……どうして、ここに……？			お、お前は……どうして、ここに……？			一端の狩人							
奴らもヒエンの仲間だからに、決まってるだろうが！ここで、ぶっ殺しちまえ！			奴らもヒエンの仲間だからに、決まってるだろうが！ここで、ぶっ殺しちまえ！			一端の狩人							
いや、しかしだな……			いや、しかしだな……			一端の狩人							
こんなところまで、邪魔しに来るとはな……。できれば避けたかったところだが、どうやら、面と向かって戦うしかないようだ。			こんなところまで、邪魔しに来るとはな……。できれば避けたかったところだが、どうやら、面と向かって戦うしかないようだ。			一端の狩人							
俺がこれまで見てきた選りすぐりの強者に擬態し、お前たちを片付けてやろう！			俺がこれまで見てきた選りすぐりの強者に擬態し、お前たちを片付けてやろう！			一端の狩人							
まずは、こいつだ……！			まずは、こいつだ……！			一端の狩人							
イットカの姿になっても、オマエなんか所詮は偽者だ！彼女の仇を討ってやる……！			イットカの姿になっても、オマエなんか所詮は偽者だ！彼女の仇を討ってやる……！			一端の狩人							
ひ、ひぃッ……！			ひ、ひぃッ……！			一端の狩人							
イットカ……仇は討ったよ……。			イットカ……仇は討ったよ……。			一端の狩人							
余輩はなぜ、こんなところに？おかしな夢を見ていた気がするが……			余輩はなぜ、こんなところに？おかしな夢を見ていた気がするが……			一端の狩人							
(-オロニル族の剣術士-)あ、えっと……その……			(-オロニル族の剣術士-)あ、えっと……その……			一端の狩人							
(-オロニル族の戦士-)こ、この男が卑怯にも、偉大なる長兄に不意打ちを食らわし、昏倒させられていたようです！			(-オロニル族の戦士-)こ、この男が卑怯にも、偉大なる長兄に不意打ちを食らわし、昏倒させられていたようです！			一端の狩人							
お前のせいで、おぞましき夢まで見せられた！神の子に苦痛を与えた罪の重さ、存分に味わわせてやろう……！			お前のせいで、おぞましき夢まで見せられた！神の子に苦痛を与えた罪の重さ、存分に味わわせてやろう……！			一端の狩人							
キミのおかげで仇討ちができて、祭器も取り返せた。力を貸してくれて、本当にありがとう。			キミのおかげで仇討ちができて、祭器も取り返せた。力を貸してくれて、本当にありがとう。			一端の狩人							
でも……集落のみんなが期待しているのは、イットカが、祭器を手に帰ってくること……。			でも……集落のみんなが期待しているのは、イットカが、祭器を手に帰ってくること……。			一端の狩人							
凄腕の狩人が死に、アタシなんかが戻ったところで、みんなは受け入れてくれるだろうか……。			凄腕の狩人が死に、アタシなんかが戻ったところで、みんなは受け入れてくれるだろうか……。			一端の狩人							
偽者の件、解決したと聞きましたよ！これでひと安心ですね、ありがとうございました！			偽者の件、解決したと聞きましたよ！これでひと安心ですね、ありがとうございました！			一端の狩人							
バルダム覇道であったことはすべて夢だった。……そうであろう？			バルダム覇道であったことはすべて夢だった。……そうであろう？			一端の狩人							
さて、長かった祭器奪還の旅もこれで終わりだ。晴々しく帰路につきたいところだけど、やっぱり憂鬱だな。			さて、長かった祭器奪還の旅もこれで終わりだ。晴々しく帰路につきたいところだけど、やっぱり憂鬱だな。			一端の狩人							
キミも「シャシェパ」から頼まれたのなら、彼女に報告するために、一緒にトライヨラまで戻ろう。			キミも「シャシェパ」から頼まれたのなら、彼女に報告するために、一緒にトライヨラまで戻ろう。			一端の狩人							
やあ、戻ってきてくれたか。アゲハの祭器を取り戻すことはできただろうか？			やあ、戻ってきてくれたか。アゲハの祭器を取り戻すことはできただろうか？			一端の狩人							
あれ、イットカは一緒じゃないの……？			あれ、イットカは一緒じゃないの……？			一端の狩人							
クイーキじゃないか！？アンタ、生きていたのか……！			クイーキじゃないか！？アンタ、生きていたのか……！			一端の狩人							
そうか、イットカは死んでしまったのか……。			そうか、イットカは死んでしまったのか……。			一端の狩人							
そう、集落イチの凄腕の狩人が死んで、祭器を盗まれる原因を作った落ちこぼれが生き残ったのさ。			そう、集落イチの凄腕の狩人が死んで、祭器を盗まれる原因を作った落ちこぼれが生き残ったのさ。			一端の狩人							
さあ、祭器を受け取って、村の聖所に戻してくれ。アタシは故郷に帰る資格はないから……。			さあ、祭器を受け取って、村の聖所に戻してくれ。アタシは故郷に帰る資格はないから……。			一端の狩人							
なにをバカなことを言ってるんだ！			なにをバカなことを言ってるんだ！			一端の狩人							
クイーキだって、生まれながらの家族なんだ！帰ってくるのに資格なんて要るものか！			クイーキだって、生まれながらの家族なんだ！帰ってくるのに資格なんて要るものか！			一端の狩人							
責任感の強いアンタが姿を消したものだから、身投げでもしたんじゃないかと、心配で心配で……。みんな総出で、三日三晩、森や湖を探し回ったんだぞ！			責任感の強いアンタが姿を消したものだから、身投げでもしたんじゃないかと、心配で心配で……。みんな総出で、三日三晩、森や湖を探し回ったんだぞ！			一端の狩人							
それになにより、クイーキは祭器を取り戻したんだ。今頃、天の森で狩りを楽しんでるイットカの魂だって、アンタを誇りに思ってるはずさ。			それになにより、クイーキは祭器を取り戻したんだ。今頃、天の森で狩りを楽しんでるイットカの魂だって、アンタを誇りに思ってるはずさ。			一端の狩人							
もしも、イットカの死に責任を感じてるなら、彼女のぶんまで、集落を守るために働けばいい。			もしも、イットカの死に責任を感じてるなら、彼女のぶんまで、集落を守るために働けばいい。			一端の狩人							
その眼鏡っていう不思議な道具を使って、な……。			その眼鏡っていう不思議な道具を使って、な……。			一端の狩人							
ありがとう……。			ありがとう……。			一端の狩人							
じゃあ、さっさと集落に帰って、心配しているみんなを、安心させてやろう。			じゃあ、さっさと集落に帰って、心配しているみんなを、安心させてやろう。			一端の狩人							
アナタにお礼を言っておかないとね。クイーキに協力し祭器を奪還してくれて、心から感謝する！			アナタにお礼を言っておかないとね。クイーキに協力し祭器を奪還してくれて、心から感謝する！			一端の狩人							
アタシはどうしようもない落ちこぼれで、凄腕の狩人のフリをしていた偽者だった……。			アタシはどうしようもない落ちこぼれで、凄腕の狩人のフリをしていた偽者だった……。			一端の狩人							
でも、キミのおかげで、凄腕とは言えないけれど、一端の狩人になれたよ。本当にどうもありがとう！			でも、キミのおかげで、凄腕とは言えないけれど、一端の狩人になれたよ。本当にどうもありがとう！			一端の狩人							
それじゃあ、Forename、またどこかで会おうね！			それじゃあ、Forename、またどこかで会おうね！			一端の狩人							
