宝杖通りのナシュは、何か手伝ってほしいようだ。			宝杖通りのナシュは、何か手伝ってほしいようだ。			事件屋を探せ							
このヒルディブランドに、お任せあれ！たちまち、不届きな犯人をエスコートしてみせますぞ！			このヒルディブランドに、お任せあれ！たちまち、不届きな犯人をエスコートしてみせますぞ！			はじめての我が家							
(-？？？？-)いい加減になさい、ヒルディちゃん。			(-？？？？-)いい加減になさい、ヒルディちゃん。			はじめての我が家							
ママ……じゃなくて母上！？ウルダハに帰ったはずでは……？			ママ……じゃなくて母上！？ウルダハに帰ったはずでは……？			はじめての我が家							
ヒルディちゃんのことが心配で、帰れたものじゃないわ。もう、くだらない事件屋ごっこや、お人形遊びはやめて、お家に帰ってパパの仕事を継いでちょうだい。			ヒルディちゃんのことが心配で、帰れたものじゃないわ。もう、くだらない事件屋ごっこや、お人形遊びはやめて、お家に帰ってパパの仕事を継いでちょうだい。			はじめての我が家							
母上、事件屋は立派な仕事ですぞ。それにギギは人形ではなく、私の息子です！			母上、事件屋は立派な仕事ですぞ。それにギギは人形ではなく、私の息子です！			はじめての我が家							
おばあ……			おばあ……			はじめての我が家							
コ、コホン……こうなったら、私の紳士的な仕事ぶりと、献身的な父親ぶりを見ていてください！遊びではないことを、証明してみせます！			コ、コホン……こうなったら、私の紳士的な仕事ぶりと、献身的な父親ぶりを見ていてください！遊びではないことを、証明してみせます！			はじめての我が家							
さあ、まずは皆で手分けして、街の乙女たちから、「蒼天騎士団詐欺」の情報を集めるのです！聞き込みが終わったら、私に報告してください！			さあ、まずは皆で手分けして、街の乙女たちから、「蒼天騎士団詐欺」の情報を集めるのです！聞き込みが終わったら、私に報告してください！			はじめての我が家							
まったく、強情なんだから……。いったい、誰に似たのかしら……？			まったく、強情なんだから……。いったい、誰に似たのかしら……？			はじめての我が家							
Forenameも大変ね。いつも息子が迷惑をかけてるみたいで、ごめんなさいね。			Forenameも大変ね。いつも息子が迷惑をかけてるみたいで、ごめんなさいね。			はじめての我が家							
はぁ……思わぬ展開に面食らいましたが、我々も情報収集に向かうとしますか……。			はぁ……思わぬ展開に面食らいましたが、我々も情報収集に向かうとしますか……。			はじめての我が家							
あまり、いい情報が聞けませんね。とにかく、皆さん怒っているようです。			あまり、いい情報が聞けませんね。とにかく、皆さん怒っているようです。			はじめての我が家							
蒼天騎士団、大人気です～。			蒼天騎士団、大人気です～。			はじめての我が家							
なんで、そんなに事件屋にこだわるのかしら。収入だって不安定でしょうに……。			なんで、そんなに事件屋にこだわるのかしら。収入だって不安定でしょうに……。			はじめての我が家							
うーむ、いまいち、いい情報がキャッチできませんなぁ……。			うーむ、いまいち、いい情報がキャッチできませんなぁ……。			はじめての我が家							
家がなくても、旅の事件屋は～！毎日が最高！　毎日がお宝！……でも、やっぱり家が欲しいな。			家がなくても、旅の事件屋は～！毎日が最高！　毎日がお宝！……でも、やっぱり家が欲しいな。			はじめての我が家							
蒼天騎士団詐欺に遭ったかって？そうそう、彼らの舞踏会に参加できるって聞いてたんだけど、似ても似つかない偽者だったのよ～。			蒼天騎士団詐欺に遭ったかって？そうそう、彼らの舞踏会に参加できるって聞いてたんだけど、似ても似つかない偽者だったのよ～。			はじめての我が家							
愛しのアデルフェル様に会いたかったのに、本っ当に最悪だったわ～。			愛しのアデルフェル様に会いたかったのに、本っ当に最悪だったわ～。			はじめての我が家							
蒼天騎士団詐欺の話ですか？なけなしのお金を叩いて、彼らの舞踏会へ行ったのに、酷い偽者だったんですよ……。			蒼天騎士団詐欺の話ですか？なけなしのお金を叩いて、彼らの舞踏会へ行ったのに、酷い偽者だったんですよ……。			はじめての我が家							
彼らが皇都を去ったという話は、やっぱり本当だったのね。いったい、私のゼフィラン様はどこへ行ってしまったのかしら……。			彼らが皇都を去ったという話は、やっぱり本当だったのね。いったい、私のゼフィラン様はどこへ行ってしまったのかしら……。			はじめての我が家							
蒼天騎士団詐欺かい？ああ、そうだよ、アタシも騙されたんだ。まったく、汚いドブネズミみたいな連中だったよ。			蒼天騎士団詐欺かい？ああ、そうだよ、アタシも騙されたんだ。まったく、汚いドブネズミみたいな連中だったよ。			はじめての我が家							
あんな奴ら、シャリベル様だったら容赦しないヨォ！			あんな奴ら、シャリベル様だったら容赦しないヨォ！			はじめての我が家							
シャ、シャリベル様……。願わくば、ずっと行方不明のままであってほしい。……あ、いや、何でもありません、こっちの話です。			シャ、シャリベル様……。願わくば、ずっと行方不明のままであってほしい。……あ、いや、何でもありません、こっちの話です。			はじめての我が家							
蒼天騎士団とは、似ても似つかない偽者だったのよ～。愛しのアデルフェル様に会いたかったのに、最悪だわ～。			蒼天騎士団とは、似ても似つかない偽者だったのよ～。愛しのアデルフェル様に会いたかったのに、最悪だわ～。			はじめての我が家							
蒼天騎士団が皇都を去ったという話は、やっぱり本当だったのね。いったい、私のゼフィラン様はどこへ行ってしまったのかしら……。			蒼天騎士団が皇都を去ったという話は、やっぱり本当だったのね。いったい、私のゼフィラン様はどこへ行ってしまったのかしら……。			はじめての我が家							
まったく、汚いドブネズミみたいな連中だったよ。あんな奴ら、シャリベル様だったら容赦しないヨォ！			まったく、汚いドブネズミみたいな連中だったよ。あんな奴ら、シャリベル様だったら容赦しないヨォ！			はじめての我が家							
ねえ、父上、おばあちゃん、ずっとこっちの方を見てるね。			ねえ、父上、おばあちゃん、ずっとこっちの方を見てるね。			はじめての我が家							
ギギ……おばあちゃんのことは、これから、お姉さんと呼ぶのですぞ。その方が紳士的で、おばあちゃんも喜びますから。			ギギ……おばあちゃんのことは、これから、お姉さんと呼ぶのですぞ。その方が紳士的で、おばあちゃんも喜びますから。			はじめての我が家							
うん、わかった。おばあちゃんは、これから、お姉さん！			うん、わかった。おばあちゃんは、これから、お姉さん！			はじめての我が家							
お姉さん、お姉さん！毎日、最高だね！			お姉さん、お姉さん！毎日、最高だね！			はじめての我が家							
あら、ギギちゃんいい子ね～。後で、おやつ作ってあげようかしら？			あら、ギギちゃんいい子ね～。後で、おやつ作ってあげようかしら？			はじめての我が家							
父上、喜んでるよ、これでいい？			父上、喜んでるよ、これでいい？			はじめての我が家							
コ、コホン……。みなさん、いかがでした？いい情報は聞き出せましたかな？			コ、コホン……。みなさん、いかがでした？いい情報は聞き出せましたかな？			はじめての我が家							
残念ながら、特にありませんでした。とにかく皆、蒼天騎士団が偽者だったことに憤慨しています。			残念ながら、特にありませんでした。とにかく皆、蒼天騎士団が偽者だったことに憤慨しています。			はじめての我が家							
蒼天騎士団、大人気なんですね～。			蒼天騎士団、大人気なんですね～。			はじめての我が家							
事件屋さん、肝心のあなたはどうなの？さぞかし、いい情報が聞き出せたんでしょうね？			事件屋さん、肝心のあなたはどうなの？さぞかし、いい情報が聞き出せたんでしょうね？			はじめての我が家							
こ、これから聞き出すところでしたぞ。すぐにでも、道行く乙女から情報をキャッチしますとも！			こ、これから聞き出すところでしたぞ。すぐにでも、道行く乙女から情報をキャッチしますとも！			はじめての我が家							
ちょいと道行くお嬢さん……！蒼天騎士団詐欺についてお聞きしたいのですが……。			ちょいと道行くお嬢さん……！蒼天騎士団詐欺についてお聞きしたいのですが……。			はじめての我が家							
お、お嬢さんて……。さすがに無理あるでしょう。			お、お嬢さんて……。さすがに無理あるでしょう。			はじめての我が家							
(-若作りの老婆-)蒼天騎士団詐欺なら、あたしも、まんまと引っかかっちまったよ！			(-若作りの老婆-)蒼天騎士団詐欺なら、あたしも、まんまと引っかかっちまったよ！			はじめての我が家							
(-若作りの老婆-)あたしゃ、ヴェルギーン様に夢中でね。彼に会えると思って、めかし込んで出かけたってのに、蒼天騎士団ならぬ、「壮年騎士団」とかいう紛い物だったのさ。			(-若作りの老婆-)あたしゃ、ヴェルギーン様に夢中でね。彼に会えると思って、めかし込んで出かけたってのに、蒼天騎士団ならぬ、「壮年騎士団」とかいう紛い物だったのさ。			はじめての我が家							
(-若作りの老婆-)でも、詐欺師どもが話しているのを盗み聞きしてやったんだ。どうやら、アイツらは「イディルシャイア」という街に、潜んでいるようだよ。			(-若作りの老婆-)でも、詐欺師どもが話しているのを盗み聞きしてやったんだ。どうやら、アイツらは「イディルシャイア」という街に、潜んでいるようだよ。			はじめての我が家							
お嬢さん、有意義な情報を感謝しますぞ！			お嬢さん、有意義な情報を感謝しますぞ！			はじめての我が家							
父上、すごい、すごい！			父上、すごい、すごい！			はじめての我が家							
ふーん……。			ふーん……。			はじめての我が家							
ハ……ハッハッハ、これぞ事件屋の勘ですぞ！それでは、イディルシャイアとかいう街へ向かいましょう！			ハ……ハッハッハ、これぞ事件屋の勘ですぞ！それでは、イディルシャイアとかいう街へ向かいましょう！			はじめての我が家							
イディルシャイア？聞いたこともありませんが……。			イディルシャイア？聞いたこともありませんが……。			はじめての我が家							
低地ドラヴァニアの北の方！？やれやれ、そんな遠くまで行かなければならないのか……。			低地ドラヴァニアの北の方！？やれやれ、そんな遠くまで行かなければならないのか……。			はじめての我が家							
はぁ……道中、何度も死ぬかと思いましたよ。			はぁ……道中、何度も死ぬかと思いましたよ。			はじめての我が家							
ゴブリンさん、可愛いです～。			ゴブリンさん、可愛いです～。			はじめての我が家							
まったく、ヒルディちゃんときたら……。			まったく、ヒルディちゃんときたら……。			はじめての我が家							
ここは、なんだか……見たことが……あるわけないか。			ここは、なんだか……見たことが……あるわけないか。			はじめての我が家							
ふむ、人とゴブリン族がともに住む街ですか……。素晴らしいですな！			ふむ、人とゴブリン族がともに住む街ですか……。素晴らしいですな！			はじめての我が家							
はぁ……道中、ドラゴン族やら、巨大虫やら、ゴブリン族やら、いろいろ襲ってきて、生きた心地がしませんでしたよ。			はぁ……道中、ドラゴン族やら、巨大虫やら、ゴブリン族やら、いろいろ襲ってきて、生きた心地がしませんでしたよ。			はじめての我が家							
ぜんぶ、ジュリアン様がやっつけてくれました～。			ぜんぶ、ジュリアン様がやっつけてくれました～。			はじめての我が家							
おばあ……お姉さん、つよい、つよい！			おばあ……お姉さん、つよい、つよい！			はじめての我が家							
まったく、私がいなかったらどうするつもりだったのかしら？Forenameは丈夫だからいいけど、ナシュちゃんや、ギギちゃんに何かあったらどうするの？			まったく、私がいなかったらどうするつもりだったのかしら？Forenameは丈夫だからいいけど、ナシュちゃんや、ギギちゃんに何かあったらどうするの？			はじめての我が家							
も、もちろん、このヒルディブランド、我が愛息子と助手は体を張って守りますぞ！			も、もちろん、このヒルディブランド、我が愛息子と助手は体を張って守りますぞ！			はじめての我が家							
あのう……。さっきから、ボクが抜けてるんですけど……。			あのう……。さっきから、ボクが抜けてるんですけど……。			はじめての我が家							
さあ、皆で手分けして、街の住人から、犯人である「壮年騎士団」の情報を集めますぞ！また聞き込みが終わったら、私に報告してください！			さあ、皆で手分けして、街の住人から、犯人である「壮年騎士団」の情報を集めますぞ！また聞き込みが終わったら、私に報告してください！			はじめての我が家							
これは、臭い……臭いですよ。			これは、臭い……臭いですよ。			はじめての我が家							
どうやら、ここは不良の溜まり場みたいね。Forenameも、グレちゃダメよ。			どうやら、ここは不良の溜まり場みたいね。Forenameも、グレちゃダメよ。			はじめての我が家							
ゴブリン族やトレジャーハンターだけでなく、冒険者もたくさん見かけますぞ……。なんとも自由で素晴らしい街ですな！			ゴブリン族やトレジャーハンターだけでなく、冒険者もたくさん見かけますぞ……。なんとも自由で素晴らしい街ですな！			はじめての我が家							
ボク、なんだか……この街……大好き！			ボク、なんだか……この街……大好き！			はじめての我が家							
市場、活気あります～。			市場、活気あります～。			はじめての我が家							
壮年騎士団　確かに　ここに住んでいるあいつら　誰とも関わらない　きっと訳あり　なんかあるでもでも　ここは自由都市　何者なのかは　詮索しない。			壮年騎士団　確かに　ここに住んでいるあいつら　誰とも関わらない　きっと訳あり　なんかあるでもでも　ここは自由都市　何者なのかは　詮索しない。			はじめての我が家							
壮年騎士団ですか？その人たちなら、しばらく前から街に滞在しています。なんでも、グブラ幻想図書館に通いつめていたようですよ。			壮年騎士団ですか？その人たちなら、しばらく前から街に滞在しています。なんでも、グブラ幻想図書館に通いつめていたようですよ。			はじめての我が家							
(-年老いたトレジャーハンター-)壮年騎士団なら、市場の南にある建物に住んでるよ。なにかと怪しい奴らさ、きっとやましいことがあるに違いないね。			(-年老いたトレジャーハンター-)壮年騎士団なら、市場の南にある建物に住んでるよ。なにかと怪しい奴らさ、きっとやましいことがあるに違いないね。			はじめての我が家							
あなたは、イシュガルドで情報をくれた方ですよね？なんでまた、こんなところにいるんですか？			あなたは、イシュガルドで情報をくれた方ですよね？なんでまた、こんなところにいるんですか？			はじめての我が家							
(-年老いたトレジャーハンター-)な、なんのことだい？まったく、若いのにボケてんじゃないよ！あたしゃ忙しいんだ……それじゃ、失礼するよ。			(-年老いたトレジャーハンター-)な、なんのことだい？まったく、若いのにボケてんじゃないよ！あたしゃ忙しいんだ……それじゃ、失礼するよ。			はじめての我が家							
絶対に、あのお婆さんでしたよね？これは、臭い……臭いですよ。			絶対に、あのお婆さんでしたよね？これは、臭い……臭いですよ。			はじめての我が家							
うーむ、やはり、この街のどこかに壮年騎士団が……。			うーむ、やはり、この街のどこかに壮年騎士団が……。			はじめての我が家							
なんと、壮年騎士団が市場の南にある建物に……？情報収集、感謝しますぞForename殿。			なんと、壮年騎士団が市場の南にある建物に……？情報収集、感謝しますぞForename殿。			はじめての我が家							
ええっと……おそらく、あの建物ですな！それでは、みなさんを呼んで、壮年騎士団の大捕り物といきますか！			ええっと……おそらく、あの建物ですな！それでは、みなさんを呼んで、壮年騎士団の大捕り物といきますか！			はじめての我が家							
呼びかけても反応がありません。どうやら、留守のようですな……。ここで帰りを待つことにしましょう。			呼びかけても反応がありません。どうやら、留守のようですな……。ここで帰りを待つことにしましょう。			はじめての我が家							
父上、父上、ボク、この街大好き！			父上、父上、ボク、この街大好き！			はじめての我が家							
ボク、ここに住みたいな。この街に家があったらいいのに……。			ボク、ここに住みたいな。この街に家があったらいいのに……。			はじめての我が家							
ハ……ハッハッハ。私も、この自由な街が気に入りましたぞ。どこかにいい……東屋でもありませんかな？			ハ……ハッハッハ。私も、この自由な街が気に入りましたぞ。どこかにいい……東屋でもありませんかな？			はじめての我が家							
シュコォ……シュコォ……これは驚き　ヒルディブランド！			シュコォ……シュコォ……これは驚き　ヒルディブランド！			はじめての我が家							
なんと、スローフィスス殿ではありませんか！			なんと、スローフィスス殿ではありませんか！			はじめての我が家							
ヒルディブランド様のお知り合いですか～？			ヒルディブランド様のお知り合いですか～？			はじめての我が家							
私が駆け出しの事件屋だった頃、初めて仕事をくれたのが、そちらのスローススス殿だったのですぞ！			私が駆け出しの事件屋だった頃、初めて仕事をくれたのが、そちらのスローススス殿だったのですぞ！			はじめての我が家							
ゴブが　ザナラーン寄ったとき　野盗に荷物盗まれたウルダハ　獣人排斥中　ゴブには冷たい　お土地柄ヒトは誰も　助けてくれない……。			ゴブが　ザナラーン寄ったとき　野盗に荷物盗まれたウルダハ　獣人排斥中　ゴブには冷たい　お土地柄ヒトは誰も　助けてくれない……。			はじめての我が家							
そんなときに　ヒルディブランド　現れたゴブの願い聞き届け　見事に荷物　見つけたゴブ！			そんなときに　ヒルディブランド　現れたゴブの願い聞き届け　見事に荷物　見つけたゴブ！			はじめての我が家							
ハッハッハ、懐かしいですなぁ。私の華麗な変装術で、野盗の奥さんに化けて、潜入捜査を成功に導いたのです！			ハッハッハ、懐かしいですなぁ。私の華麗な変装術で、野盗の奥さんに化けて、潜入捜査を成功に導いたのです！			はじめての我が家							
あれからゴブは　ヒトへの偏見　なくなったあの一件が　なかったら　ヒトとの協力　考えられない。ヒルディブランドいなければ　イディルシャイアもなかったゴブ！			あれからゴブは　ヒトへの偏見　なくなったあの一件が　なかったら　ヒトとの協力　考えられない。ヒルディブランドいなければ　イディルシャイアもなかったゴブ！			はじめての我が家							
ヒルディブランド様、立派です～！			ヒルディブランド様、立派です～！			はじめての我が家							
ふーん……。			ふーん……。			はじめての我が家							
ハッハッハ、困っている人を助けるのが事件屋の役目ですからな！それにしても、ここがスローフィクス殿が作った街だったとは、どおりで素晴らしい街です！			ハッハッハ、困っている人を助けるのが事件屋の役目ですからな！それにしても、ここがスローフィクス殿が作った街だったとは、どおりで素晴らしい街です！			はじめての我が家							
シュコォ……シュコォ……あのときゴブは　一文無し　まったく報酬払えなかった今こそ恩を返したい　何でも望みを言ってゴブ。			シュコォ……シュコォ……あのときゴブは　一文無し　まったく報酬払えなかった今こそ恩を返したい　何でも望みを言ってゴブ。			はじめての我が家							
それはありがたいですなぁ。うーむ、望みですか……。			それはありがたいですなぁ。うーむ、望みですか……。			はじめての我が家							
スローフィクス殿、この街に空き家は余ってませんかな？ぜひとも、この街で我が息子と助手とで住みたいので、家を借していただきたい。			スローフィクス殿、この街に空き家は余ってませんかな？ぜひとも、この街で我が息子と助手とで住みたいので、家を借していただきたい。			はじめての我が家							
それなら　ちょうどよかったゴブ！その家　住人　家賃滞納　ずっと立ち退き　迫ってたこれから　ほどなく　空き屋になるゴブ！			それなら　ちょうどよかったゴブ！その家　住人　家賃滞納　ずっと立ち退き　迫ってたこれから　ほどなく　空き屋になるゴブ！			はじめての我が家							
な、なんと！我々は、ここに住む壮年騎士団を、詐欺容疑で追っていたところですぞ！			な、なんと！我々は、ここに住む壮年騎士団を、詐欺容疑で追っていたところですぞ！			はじめての我が家							
それは　びっくり　おどろいた～！自由な都市でも　詐欺は禁止　逮捕当然　捕まえて～これからその家　ヒルディブランド　借家と言わず　あげるゴブ！			それは　びっくり　おどろいた～！自由な都市でも　詐欺は禁止　逮捕当然　捕まえて～これからその家　ヒルディブランド　借家と言わず　あげるゴブ！			はじめての我が家							
やったー！　ボクの家だ！			やったー！　ボクの家だ！			はじめての我が家							
スローフィクス殿、感謝いたしますぞ！			スローフィクス殿、感謝いたしますぞ！			はじめての我が家							
そんなの　全然　お安い御用ゴブリン族は　義理堅い　恩を返せて　嬉しいゴブ！それでは　壮年騎士団のことは　任せたゴブ。			そんなの　全然　お安い御用ゴブリン族は　義理堅い　恩を返せて　嬉しいゴブ！それでは　壮年騎士団のことは　任せたゴブ。			はじめての我が家							
父上、父上、ボクの家だから、「もんしょう」を描いていい？			父上、父上、ボクの家だから、「もんしょう」を描いていい？			はじめての我が家							
ハッハッハ、もちろんですとも。思う存分描きなさい！			ハッハッハ、もちろんですとも。思う存分描きなさい！			はじめての我が家							
まったく、相変わらず行き当たりばったりなんだから……。それにしても、ずっと根無し草だったヒルディちゃんが、家を持つなんて……本気で親になるつもりかしら？			まったく、相変わらず行き当たりばったりなんだから……。それにしても、ずっと根無し草だったヒルディちゃんが、家を持つなんて……本気で親になるつもりかしら？			はじめての我が家							
うーむ、壮年騎士団、なかなか現れませんなぁ……。			うーむ、壮年騎士団、なかなか現れませんなぁ……。			はじめての我が家							
イディルシャイアのヒルディブランドは、待ちくたびれているようだ。			イディルシャイアのヒルディブランドは、待ちくたびれているようだ。			時魔法の謎							
ヒルディブランドは、壮年騎士団らしき二人組を発見し追いかけていった。低地ドラヴァニアのシャーレアン学士街にいる「ヒルディブランド」と合流しよう。			ヒルディブランドは、壮年騎士団らしき二人組を発見し追いかけていった。低地ドラヴァニアのシャーレアン学士街にいる「ヒルディブランド」と合流しよう。			時魔法の謎							
ヒルディブランドと合流したところ、隠れていた壮年騎士団が姿を現した。彼らはもうろくした老人だったが、蒼天騎士団詐欺はヒルディブランドたちを誘き寄せる罠であり、本当の狙いはギギだった。一行は、まんまとギギを奪われ逃げられてしまう。シャーレアン学士街にいる「ヒルディブランド」と話そう。			ヒルディブランドと合流したところ、隠れていた壮年騎士団が姿を現した。彼らはもうろくした老人だったが、蒼天騎士団詐欺はヒルディブランドたちを誘き寄せる罠であり、本当の狙いはギギだった。一行は、まんまとギギを奪われ逃げられてしまう。シャーレアン学士街にいる「ヒルディブランド」と話そう。			時魔法の謎							
ヒルディブランドと話した。まだ近くにいるはずの、壮年騎士団を探すことになった。低地ドラヴァニアの聖モシャーヌ植物園付近にいる「ヒルディブランド」と合流しよう。			ヒルディブランドと話した。まだ近くにいるはずの、壮年騎士団を探すことになった。低地ドラヴァニアの聖モシャーヌ植物園付近にいる「ヒルディブランド」と合流しよう。			時魔法の謎							
ヒルディブランドと合流したところ、壮年騎士団を発見していた。囚われたギギを救出するため、ヒルディブランドから、オルランドの装備を「紳士的」に奪ってくることを頼まれた。ひとまず、聖モシャーヌ植物園付近の「オルランド」と話そう。			ヒルディブランドと合流したところ、壮年騎士団を発見していた。囚われたギギを救出するため、ヒルディブランドから、オルランドの装備を「紳士的」に奪ってくることを頼まれた。ひとまず、聖モシャーヌ植物園付近の「オルランド」と話そう。			時魔法の謎							
オルランドと話した。彼はこった肩をもんでほしいというので、鎧を脱がすことになった。この機会に、「オルランド」から「オイボレディフェンダーアーマー」を入手しよう。			オルランドと話した。彼はこった肩をもんでほしいというので、鎧を脱がすことになった。この機会に、「オルランド」から「オイボレディフェンダーアーマー」を入手しよう。			時魔法の謎							
オイボレディフェンダーアーマーを入手した。「オルランド」の肩をももう。			オイボレディフェンダーアーマーを入手した。「オルランド」の肩をももう。			時魔法の謎							
オルランドはもっと肩をもんでほしいようだ。再度「オルランド」の肩をももう。			オルランドはもっと肩をもんでほしいようだ。再度「オルランド」の肩をももう。			時魔法の謎							
オルランドの肩をもんだところ、様子がおかしくなった。「オルランド」と話そう。			オルランドの肩をもんだところ、様子がおかしくなった。「オルランド」と話そう。			時魔法の謎							
オルランドは眠ってしまったようだ。今のうちに、「オルランド」から「オイボレディフェンダーサバトン」を入手しよう。			オルランドは眠ってしまったようだ。今のうちに、「オルランド」から「オイボレディフェンダーサバトン」を入手しよう。			時魔法の謎							
オイボレディフェンダーサバトンを入手した。聖モシャーヌ植物園付近の「ヒルディブランド」に「オルランドの装備」を渡そう。			オイボレディフェンダーサバトンを入手した。聖モシャーヌ植物園付近の「ヒルディブランド」に「オルランドの装備」を渡そう。			時魔法の謎							
ヒルディブランドにオルランドの装備を渡した。彼はオルランドに変装して、壮年騎士団に潜入した。ギギを救出できるかに思えたそのとき、ドリスの言葉によってギギは失った記憶を取り戻した。ギギはシャーレアンの大魔導士「クワン」によって作られた「時魔法」を封じた魔法人形だった。だが、クワンをその能力で若返らせることができなかったため、捨てられたという。壮年騎士団の目的はギギの能力で若返ること。ギギは死んだクワンを生き返らせることができるかもという、ドリスの言葉に惹かれて、壮年騎士団のもとへ行ってしまうのだった。ヒルディブランドはギギを必ず取り戻すことを誓って、去っていった。聖モシャーヌ植物園付近の「キール」と話そう。			ヒルディブランドにオルランドの装備を渡した。彼はオルランドに変装して、壮年騎士団に潜入した。ギギを救出できるかに思えたそのとき、ドリスの言葉によってギギは失った記憶を取り戻した。ギギはシャーレアンの大魔導士「クワン」によって作られた「時魔法」を封じた魔法人形だった。だが、クワンをその能力で若返らせることができなかったため、捨てられたという。壮年騎士団の目的はギギの能力で若返ること。ギギは死んだクワンを生き返らせることができるかもという、ドリスの言葉に惹かれて、壮年騎士団のもとへ行ってしまうのだった。ヒルディブランドはギギを必ず取り戻すことを誓って、去っていった。聖モシャーヌ植物園付近の「キール」と話そう。			時魔法の謎							
キールと話した。彼はイシュガルドへ戻って、「時魔法」について調べるという。イシュガルドのエーテライト・プラザにいる「キール」と話そう。			キールと話した。彼はイシュガルドへ戻って、「時魔法」について調べるという。イシュガルドのエーテライト・プラザにいる「キール」と話そう。			時魔法の謎							
キールと話した。彼は異端審問局の証拠品保管庫で、シャーレアン由来の書物を調べるようだ。この先、ギギを無事に救出できればいいのだが……。			キールと話した。彼は異端審問局の証拠品保管庫で、シャーレアン由来の書物を調べるようだ。この先、ギギを無事に救出できればいいのだが……。			時魔法の謎							
シャーレアン学士街でヒルディブランドと合流			シャーレアン学士街でヒルディブランドと合流			時魔法の謎							
ヒルディブランドと話す			ヒルディブランドと話す			時魔法の謎							
聖モシャーヌ植物園前のヒルディブランドと合流			聖モシャーヌ植物園前のヒルディブランドと合流			時魔法の謎							
オルランドと話す			オルランドと話す			時魔法の謎							
オルランドからオイボレディフェンダーアーマーを入手			オルランドからオイボレディフェンダーアーマーを入手			時魔法の謎							
オルランドの肩をもむ			オルランドの肩をもむ			時魔法の謎							
オルランドの肩を再度もむ			オルランドの肩を再度もむ			時魔法の謎							
オルランドと話す			オルランドと話す			時魔法の謎							
オルランドからオイボレディフェンダーサバトンを入手			オルランドからオイボレディフェンダーサバトンを入手			時魔法の謎							
ヒルディブランドにオルランドの装備を渡す			ヒルディブランドにオルランドの装備を渡す			時魔法の謎							
キールと話す			キールと話す			時魔法の謎							
イシュガルドのキールと話す			イシュガルドのキールと話す			時魔法の謎							
壮年騎士団、現れませんね。それにしても、さっきのお婆さんが気になります……。			壮年騎士団、現れませんね。それにしても、さっきのお婆さんが気になります……。			時魔法の謎							
ギギさんの絵、かわいいです～。			ギギさんの絵、かわいいです～。			時魔法の謎							
よりにもよって、こんな不良の溜まり場に家を持つなんてね……。でも、ヒルディちゃんの働きで得たものだから、悔しいけれど、何も言えないわ。			よりにもよって、こんな不良の溜まり場に家を持つなんてね……。でも、ヒルディちゃんの働きで得たものだから、悔しいけれど、何も言えないわ。			時魔法の謎							
ボクと、父上と、ナシュさんの「もんしょう」が完成しました！これからは、この家でいっしょに暮らすんです！			ボクと、父上と、ナシュさんの「もんしょう」が完成しました！これからは、この家でいっしょに暮らすんです！			時魔法の謎							
壮年騎士団、現れませんなぁ……。せっかくなんで、新居でお茶でもしますか？			壮年騎士団、現れませんなぁ……。せっかくなんで、新居でお茶でもしますか？			時魔法の謎							
あ、なんか、二人組がこっち見てます～。			あ、なんか、二人組がこっち見てます～。			時魔法の謎							
アツい視線を感じましたな。はっ……もしかして、私のファン?			アツい視線を感じましたな。はっ……もしかして、私のファン?			時魔法の謎							
きっと、壮年騎士団ですよ！街の外へ逃げていきました！さあ、追いかけましょう！			きっと、壮年騎士団ですよ！街の外へ逃げていきました！さあ、追いかけましょう！			時魔法の謎							
はぁ、はぁ……疲れた……。上司のしごきで、雲廊を走らされたことを思い出しました……。あれ……ギギさんがいない？　どこかではぐれたのかな……？			はぁ、はぁ……疲れた……。上司のしごきで、雲廊を走らされたことを思い出しました……。あれ……ギギさんがいない？　どこかではぐれたのかな……？			時魔法の謎							
何なの、このもやしっ子は？この子も、ヒルディちゃんのお友達？			何なの、このもやしっ子は？この子も、ヒルディちゃんのお友達？			時魔法の謎							
壮年騎士団、隠れました～。			壮年騎士団、隠れました～。			時魔法の謎							
転んじゃった……。父上が心配だから、ボクに構わず行ってください！壮年騎士団は、右の出口から逃げていきました！			転んじゃった……。父上が心配だから、ボクに構わず行ってください！壮年騎士団は、右の出口から逃げていきました！			時魔法の謎							
壮年騎士団を追い詰めましたぞ！岩陰に隠れています。			壮年騎士団を追い詰めましたぞ！岩陰に隠れています。			時魔法の謎							
壮年騎士団のみなさん、観念するのです！もう逃げられませんぞ！			壮年騎士団のみなさん、観念するのです！もう逃げられませんぞ！			時魔法の謎							
竜をも貫く尖った団長！いぶし銀の竜騎士、オルランド！			竜をも貫く尖った団長！いぶし銀の竜騎士、オルランド！			時魔法の謎							
老衰以外なら何でも治せる！円熟の癒し手、ゴンスパル！			老衰以外なら何でも治せる！円熟の癒し手、ゴンスパル！			時魔法の謎							
(-オルランドとゴンスパル-)我ら、壮年騎士団！			(-オルランドとゴンスパル-)我ら、壮年騎士団！			時魔法の謎							
そ、壮年じゃなくて、老年じゃないですか……。			そ、壮年じゃなくて、老年じゃないですか……。			時魔法の謎							
イシュガルドの乙女をたぶらかし、金銭を巻き上げたのはあなたたちですね。			イシュガルドの乙女をたぶらかし、金銭を巻き上げたのはあなたたちですね。			時魔法の謎							
この事件屋ヒルディブランドが来た以上、抵抗は無駄ですぞ、大人しく投降するのです！			この事件屋ヒルディブランドが来た以上、抵抗は無駄ですぞ、大人しく投降するのです！			時魔法の謎							
