流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			帝都の獣							
……まったく。結局、面倒事に関わっちまったぜ……。			……まったく。結局、面倒事に関わっちまったぜ……。			ネルウァの帝国							
さて、私たちもキャンプ・ブロークングラスに戻ろう。塔の限界を考えれば、時間の猶予はない。すぐさま偽神獣の討伐に向かわねば。			さて、私たちもキャンプ・ブロークングラスに戻ろう。塔の限界を考えれば、時間の猶予はない。すぐさま偽神獣の討伐に向かわねば。			ネルウァの帝国							
いよいよ、偽神獣の討伐だな。カヌ・エ殿より、状況を伺いたいところだが……			いよいよ、偽神獣の討伐だな。カヌ・エ殿より、状況を伺いたいところだが……			ネルウァの帝国							
お二方とも、ご苦労さまでした。偽神獣討伐に向かう主力部隊の準備も整いました。心強い援軍も到着しておりますよ。			お二方とも、ご苦労さまでした。偽神獣討伐に向かう主力部隊の準備も整いました。心強い援軍も到着しておりますよ。			ネルウァの帝国							
どうにか偽神獣の討伐には間に合ったようだが、すまない、遅くなった。ほかで協力できなかった分、戦いで貢献させてくれ！			どうにか偽神獣の討伐には間に合ったようだが、すまない、遅くなった。ほかで協力できなかった分、戦いで貢献させてくれ！			ネルウァの帝国							
遅れてしまい、かたじけない。わしも目一杯、刀を振るわせてもらおう！			遅れてしまい、かたじけない。わしも目一杯、刀を振るわせてもらおう！			ネルウァの帝国							
ご足労いただき感謝します。			ご足労いただき感謝します。			ネルウァの帝国							
はい……ええ……ええ……。ご苦労様でした。			はい……ええ……ええ……。ご苦労様でした。			ネルウァの帝国							
ロレンス殿から、心臓の回収に成功したと、報告がありました。これで偽神獣は障壁を失ったはずです！			ロレンス殿から、心臓の回収に成功したと、報告がありました。これで偽神獣は障壁を失ったはずです！			ネルウァの帝国							
そうか！ならば、我らも直ちにバブイルの塔に乗り込もう！			そうか！ならば、我らも直ちにバブイルの塔に乗り込もう！			ネルウァの帝国							
暫定政権樹立の話し合いを進めていた、メルウィブ提督とアイメリク卿も、現地で合流する予定です。			暫定政権樹立の話し合いを進めていた、メルウィブ提督とアイメリク卿も、現地で合流する予定です。			ネルウァの帝国							
……乗りかかった船だ。オレ様も参戦してやンよ。			……乗りかかった船だ。オレ様も参戦してやンよ。			ネルウァの帝国							
魔導甲冑とガンハンマーも、たまには使ってやらねぇと、錆びちまうからな……。			魔導甲冑とガンハンマーも、たまには使ってやらねぇと、錆びちまうからな……。			ネルウァの帝国							
今回ばかりは、私も見ているだけとはいくまい。賢具持参で同行させていただこう。			今回ばかりは、私も見ているだけとはいくまい。賢具持参で同行させていただこう。			ネルウァの帝国							
何と言う？			何と言う？			ネルウァの帝国							
戦わないはずでは？			戦わないはずでは？			ネルウァの帝国							
戦えるのか？			戦えるのか？			ネルウァの帝国							
此度は、シャーレアンの頼みで各国に動いてもらった。その発起人としての責務を果たすまでだ。			此度は、シャーレアンの頼みで各国に動いてもらった。その発起人としての責務を果たすまでだ。			ネルウァの帝国							
子どもたちほどではないが、これでも若かりし頃には、賢具を手に戦いもしたのだ。支援程度なら、やってみせよう。			子どもたちほどではないが、これでも若かりし頃には、賢具を手に戦いもしたのだ。支援程度なら、やってみせよう。			ネルウァの帝国							
それでは各々、戦支度を整えて、バブイルの塔に至る「エンセラダス魔導工廠」に集まろう……！			それでは各々、戦支度を整えて、バブイルの塔に至る「エンセラダス魔導工廠」に集まろう……！			ネルウァの帝国							
さて、皆が揃い次第、突入しよう……。			さて、皆が揃い次第、突入しよう……。			ネルウァの帝国							
このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			ネルウァの帝国							
ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は削除されますので、ご注意ください。			ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は削除されますので、ご注意ください。			ネルウァの帝国							
これで揃ったようだな。			これで揃ったようだな。			ネルウァの帝国							
獣たちは偽神獣を護るように増築区画に集まっていた。そこまでは難なく進むことができるはずだ。			獣たちは偽神獣を護るように増築区画に集まっていた。そこまでは難なく進むことができるはずだ。			ネルウァの帝国							
チッ、こいつはマズいぜ！			チッ、こいつはマズいぜ！			ネルウァの帝国							
思ったより早く塔に限界がきちまってるらしい。このままじゃあ、大爆発して月への門も崩れちまう。			思ったより早く塔に限界がきちまってるらしい。このままじゃあ、大爆発して月への門も崩れちまう。			ネルウァの帝国							
止めるには、ネルウァを討伐するしかないッ！さあ、やってやンぞ！			止めるには、ネルウァを討伐するしかないッ！さあ、やってやンぞ！			ネルウァの帝国							
これで、雑魚は終わりか……？			これで、雑魚は終わりか……？			ネルウァの帝国							
まだいたか！まさか、これほどまでとは……			まだいたか！まさか、これほどまでとは……			ネルウァの帝国							
これ以上、足止めを喰らうわけにはいかぬ。ラウバーン殿、ここは我らで抑えよう！			これ以上、足止めを喰らうわけにはいかぬ。ラウバーン殿、ここは我らで抑えよう！			ネルウァの帝国							
承知した！あとは我々に任せて、フルシュノ殿らは先へ！			承知した！あとは我々に任せて、フルシュノ殿らは先へ！			ネルウァの帝国							
すまない！			すまない！			ネルウァの帝国							
デテイケ……デテイケ……ワガ、テイコクカラ……			デテイケ……デテイケ……ワガ、テイコクカラ……			ネルウァの帝国							
デテイケ……！			デテイケ……！			ネルウァの帝国							
じゃあな、愛しき祖国よ……。			じゃあな、愛しき祖国よ……。			ネルウァの帝国							
どうやら、片付いたようだが、危機は去ったのか……？			どうやら、片付いたようだが、危機は去ったのか……？			ネルウァの帝国							
偽神獣の消滅で、塔への負荷はなくなったンでな。もう爆発するおそれはないはずだぜ。ま、間一髪ってところだったがな……。			偽神獣の消滅で、塔への負荷はなくなったンでな。もう爆発するおそれはないはずだぜ。ま、間一髪ってところだったがな……。			ネルウァの帝国							
皆様のおかげで、月への門が無事に開けました。此度の尽力に感謝します。			皆様のおかげで、月への門が無事に開けました。此度の尽力に感謝します。			ネルウァの帝国							
我らシャーレアンは、「知の集積者として歴史の観察者たれ」という理念の下、徹底した非干渉主義を貫いてまいりました。			我らシャーレアンは、「知の集積者として歴史の観察者たれ」という理念の下、徹底した非干渉主義を貫いてまいりました。			ネルウァの帝国							
すべては、終末来たりしときに、星からの大撤収を敢行するという使命のため……。			すべては、終末来たりしときに、星からの大撤収を敢行するという使命のため……。			ネルウァの帝国							
いまでも、その行いが間違っていたとは思いません。			いまでも、その行いが間違っていたとは思いません。			ネルウァの帝国							
しかし、我らが理念に逆行した「暁の血盟」こそが、終末そのものを退けてみせたのは、ご存知の通り。かくて人は星を捨てずに済んだのです。			しかし、我らが理念に逆行した「暁の血盟」こそが、終末そのものを退けてみせたのは、ご存知の通り。かくて人は星を捨てずに済んだのです。			ネルウァの帝国							
ならば、我々がこれから為すべきは、彼女彼らに倣って、この星の調和を保っていくこと……。支配と拒絶ではなく、協調と対話によって進歩の道を歩むのです。			ならば、我々がこれから為すべきは、彼女彼らに倣って、この星の調和を保っていくこと……。支配と拒絶ではなく、協調と対話によって進歩の道を歩むのです。			ネルウァの帝国							
この新たな理念に賛同いただけるならば、是非とも、各国の皆様にもご協力いただきたい。			この新たな理念に賛同いただけるならば、是非とも、各国の皆様にもご協力いただきたい。			ネルウァの帝国							
もちろんです。各国で力を合わせて世界を護っていきましょう！			もちろんです。各国で力を合わせて世界を護っていきましょう！			ネルウァの帝国							
まだ、何かあンのか？オレはさっさと、月に行きたいンだがなぁ……。			まだ、何かあンのか？オレはさっさと、月に行きたいンだがなぁ……。			ネルウァの帝国							
どうにか戦いを終えることができて、正直言って、ホッとした。やはり、私は実戦向きではないらしい……。			どうにか戦いを終えることができて、正直言って、ホッとした。やはり、私は実戦向きではないらしい……。			ネルウァの帝国							
各国の盟主たちはもちろん、君の戦いぶりには、目をみはるものがあった。さすがは、エオルゼアの英雄、といったところか。			各国の盟主たちはもちろん、君の戦いぶりには、目をみはるものがあった。さすがは、エオルゼアの英雄、といったところか。			ネルウァの帝国							
すでに各国からの救援に来てくれた者たちは、帰国の途についたが、君たちには、改めて礼を言わせてくれ。			すでに各国からの救援に来てくれた者たちは、帰国の途についたが、君たちには、改めて礼を言わせてくれ。			ネルウァの帝国							
Forename殿、そしてネロ殿。此度の尽力に感謝する、本当にありがとう。			Forename殿、そしてネロ殿。此度の尽力に感謝する、本当にありがとう。			ネルウァの帝国							
ハッ、オレは目的のために、お前らを利用しただけだ。礼を言われる筋合いはないね……。			ハッ、オレは目的のために、お前らを利用しただけだ。礼を言われる筋合いはないね……。			ネルウァの帝国							
ネルウァ様を眠らせてくれたそうだな。ありがとう、これで俺たちも先に進むことができるよ……。			ネルウァ様を眠らせてくれたそうだな。ありがとう、これで俺たちも先に進むことができるよ……。			ネルウァの帝国							
やっと解決しましたか？わたくし待ちくたびれましたわ、早く月へと参りましょう！			やっと解決しましたか？わたくし待ちくたびれましたわ、早く月へと参りましょう！			ネルウァの帝国							
こちら、月の民であり、月面調査隊のオブザーバーの、リヴィングウェイ殿だ。			こちら、月の民であり、月面調査隊のオブザーバーの、リヴィングウェイ殿だ。			ネルウァの帝国							
彼らは、月への移住を希望した者たちだ。これから、どうかよろしく頼む。			彼らは、月への移住を希望した者たちだ。これから、どうかよろしく頼む。			ネルウァの帝国							
よ、よろしく……お願い……します。			よ、よろしく……お願い……します。			ネルウァの帝国							
なななななんと、ついにヒトの移住者が……！！			なななななんと、ついにヒトの移住者が……！！			ネルウァの帝国							
も、もちろん、大歓迎ですわ！月の環境は、わたくしたちレポリットが、手塩にかけてヒトの皆様のために築いてきた場所ですもの！			も、もちろん、大歓迎ですわ！月の環境は、わたくしたちレポリットが、手塩にかけてヒトの皆様のために築いてきた場所ですもの！			ネルウァの帝国							
私は護衛役のロレンス殿と合流した後、月面調査隊と彼らを連れて、月へといってくる。かなり予定が遅れてしまったがね……。			私は護衛役のロレンス殿と合流した後、月面調査隊と彼らを連れて、月へといってくる。かなり予定が遅れてしまったがね……。			ネルウァの帝国							
申し訳ないが、ラザハンの「シーラバート」殿にも、よろしく伝えておいてもらえると助かる。それでは、また会おう。			申し訳ないが、ラザハンの「シーラバート」殿にも、よろしく伝えておいてもらえると助かる。それでは、また会おう。			ネルウァの帝国							
おい、ちょっと待て、オレも月へ行くンだよ……！			おい、ちょっと待て、オレも月へ行くンだよ……！			ネルウァの帝国							
聞いたよ君……！ガレマルドの偽神獣を討ち払ってくれたんだってね。本当に、本当によくやってくれたよ……！			聞いたよ君……！ガレマルドの偽神獣を討ち払ってくれたんだってね。本当に、本当によくやってくれたよ……！			ネルウァの帝国							
報告されている終末の獣は、これにてすべて討伐された。ここで偽神獣対策を取りまとめてきた私にとっては、ようやく本当の意味で、終末が終わったのだと感じるよ。			報告されている終末の獣は、これにてすべて討伐された。ここで偽神獣対策を取りまとめてきた私にとっては、ようやく本当の意味で、終末が終わったのだと感じるよ。			ネルウァの帝国							
偽神獣の討伐に尽力してくれたこと、各国の武官と星戦士団一同を代表して、感謝を述べさせてくれ。本当にどうもありがとう、そして、お疲れさま……！！			偽神獣の討伐に尽力してくれたこと、各国の武官と星戦士団一同を代表して、感謝を述べさせてくれ。本当にどうもありがとう、そして、お疲れさま……！！			ネルウァの帝国							
