特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
アルカソーダラ族の青年に報告			アルカソーダラ族の青年に報告			アルカソーダラ族の友人							
す、すみません……あなた旅の方ですよね？よければ、里の者には内密に依頼を受けていただけませんか？私の友人の安否を確認してきてほしいのです。			す、すみません……あなた旅の方ですよね？よければ、里の者には内密に依頼を受けていただけませんか？私の友人の安否を確認してきてほしいのです。			アルカソーダラ族の友人							
ありがとうございます。私の友人は、ちょっとばかり個性的でして、この災厄を無事に乗り越えられているのか不安で……。			ありがとうございます。私の友人は、ちょっとばかり個性的でして、この災厄を無事に乗り越えられているのか不安で……。			アルカソーダラ族の友人							
かといって、里の者には頼めないし、いまの状況で私が行くのは、危険すぎるし……。なので、とても強そうな旅人さんにお願いしたいのです。			かといって、里の者には頼めないし、いまの状況で私が行くのは、危険すぎるし……。なので、とても強そうな旅人さんにお願いしたいのです。			アルカソーダラ族の友人							
友人は、きっといつもの場所……森の北西側にいると思います。地図に印を付けておきますので、そのあたりで「スシェーナ」と呼びかけてください。			友人は、きっといつもの場所……森の北西側にいると思います。地図に印を付けておきますので、そのあたりで「スシェーナ」と呼びかけてください。			アルカソーダラ族の友人							
もし怪我などしているようでしたら、この「遺烈郷の傷薬」を使ってあげてください。報酬はしっかりお渡ししますので、よろしくお願いします！			もし怪我などしているようでしたら、この「遺烈郷の傷薬」を使ってあげてください。報酬はしっかりお渡ししますので、よろしくお願いします！			アルカソーダラ族の友人							
地図に印を付けておきますので、そのあたりで「スシェーナ」と呼びかけてください。きっとなにか、反応があるはずです。			地図に印を付けておきますので、そのあたりで「スシェーナ」と呼びかけてください。きっとなにか、反応があるはずです。			アルカソーダラ族の友人							
スシェーナ			スシェーナ			アルカソーダラ族の友人							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『スシェーナ』を含む好きな言葉を入力しましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『スシェーナ』を含む好きな言葉を入力しましょう。			アルカソーダラ族の友人							
南西の方角から、弱々しい何かの鳴き声が聞こえた……。声のする方へ行ってみよう。			南西の方角から、弱々しい何かの鳴き声が聞こえた……。声のする方へ行ってみよう。			アルカソーダラ族の友人							
どうやら怪我をしているようだ。「スシェーナ」に、「遺烈郷の傷薬」を使おう。			どうやら怪我をしているようだ。「スシェーナ」に、「遺烈郷の傷薬」を使おう。			アルカソーダラ族の友人							
グガ……グガ……。			グガ……グガ……。			アルカソーダラ族の友人							
どうやらお礼を言っているようだ。これでもう大丈夫だろう。「アルカソーダラ族の青年」に報告しよう。			どうやらお礼を言っているようだ。これでもう大丈夫だろう。「アルカソーダラ族の青年」に報告しよう。			アルカソーダラ族の友人							
おかえりなさい、旅人さん！友人の様子はどうでしたか？			おかえりなさい、旅人さん！友人の様子はどうでしたか？			アルカソーダラ族の友人							
ああ……やはり怪我を……。スシェーナは、森の中でピシャーチャに襲われていた私を、勇敢にも助けてくれた大切な友人なんです。			ああ……やはり怪我を……。スシェーナは、森の中でピシャーチャに襲われていた私を、勇敢にも助けてくれた大切な友人なんです。			アルカソーダラ族の友人							
それ以来、密かに私はスシェーナと友情を育んできました。しかし、家族は危険だからと、私が森に入ることを禁じている。いったいどうすれば……！？			それ以来、密かに私はスシェーナと友情を育んできました。しかし、家族は危険だからと、私が森に入ることを禁じている。いったいどうすれば……！？			アルカソーダラ族の友人							
何と言う？			何と言う？			アルカソーダラ族の友人							
正直に家族に相談するべきだ			正直に家族に相談するべきだ			アルカソーダラ族の友人							
友人を見捨てるのか？			友人を見捨てるのか？			アルカソーダラ族の友人							
……はっ！おっしゃるとおりです。家族に真実を打ち明けて、手を貸してもらいます！			……はっ！おっしゃるとおりです。家族に真実を打ち明けて、手を貸してもらいます！			アルカソーダラ族の友人							
旅人さんは私と友人の恩人ですよ。少ないですけど、報酬をどうぞ。ありがとうございました！			旅人さんは私と友人の恩人ですよ。少ないですけど、報酬をどうぞ。ありがとうございました！			アルカソーダラ族の友人							
特殊ルール： レベルアジャストパーラカの里のケリードは、素材が足らず困っているようだ。			特殊ルール： レベルアジャストパーラカの里のケリードは、素材が足らず困っているようだ。			ピシャーチャの硬鱗							
グハーシャヤからグハーシャヤの死体を入手			グハーシャヤからグハーシャヤの死体を入手			ピシャーチャの硬鱗							
指定地点にグハーシャヤの死体を置く			指定地点にグハーシャヤの死体を置く			ピシャーチャの硬鱗							
指定地点で待機しオールド・ピシャーチャから銀色の硬鱗を入手			指定地点で待機しオールド・ピシャーチャから銀色の硬鱗を入手			ピシャーチャの硬鱗							
ケリードに銀色の硬鱗を渡す			ケリードに銀色の硬鱗を渡す			ピシャーチャの硬鱗							
あんた、あの凶悪な獣を倒していたね……。里の恩人に頼むのは心苦しいが、その強さを見込んで、仕事をしてほしいんだ、報酬は払うからさ。			あんた、あの凶悪な獣を倒していたね……。里の恩人に頼むのは心苦しいが、その強さを見込んで、仕事をしてほしいんだ、報酬は払うからさ。			ピシャーチャの硬鱗							
アタシは織物職人をやってるんだが、皆を護ってくれる星戦士たちに、防具を作ってやりたくてね。けど、「銀色の硬鱗」って素材が足りなくて、困ってたんだよ。			アタシは織物職人をやってるんだが、皆を護ってくれる星戦士たちに、防具を作ってやりたくてね。けど、「銀色の硬鱗」って素材が足りなくて、困ってたんだよ。			ピシャーチャの硬鱗							
こいつは老齢の個体からしか取れないんだが、ピシャーチャってのは、歳を重ねるごとに狡猾になって、見つけることすら難しくてね。			こいつは老齢の個体からしか取れないんだが、ピシャーチャってのは、歳を重ねるごとに狡猾になって、見つけることすら難しくてね。			ピシャーチャの硬鱗							
けれど、「グハーシャヤ」を倒し、その死体を縄張りに置けば、肉の誘惑に耐えきれず、姿を現すはずさ。危険だが、アンタならやれる……よろしく頼んだよ。			けれど、「グハーシャヤ」を倒し、その死体を縄張りに置けば、肉の誘惑に耐えきれず、姿を現すはずさ。危険だが、アンタならやれる……よろしく頼んだよ。			ピシャーチャの硬鱗							
まずは「グハーシャヤ」を倒し、死体を手に入れるんだ。そして死体を縄張りに置けば、ピシャーチャが現れるはず。危険な仕事だが、よろしく頼んだよ。			まずは「グハーシャヤ」を倒し、死体を手に入れるんだ。そして死体を縄張りに置けば、ピシャーチャが現れるはず。危険な仕事だが、よろしく頼んだよ。			ピシャーチャの硬鱗							
どうだい、「銀色の硬鱗」は手に入ったかい？			どうだい、「銀色の硬鱗」は手に入ったかい？			ピシャーチャの硬鱗							
……間違いないね、「銀色の硬鱗」だ。ピシャーチャは危険な生物、手に入れるのは大変だったろう。			……間違いないね、「銀色の硬鱗」だ。ピシャーチャは危険な生物、手に入れるのは大変だったろう。			ピシャーチャの硬鱗							
神話でもピシャーチャは、人肉を食らう悪鬼として登場してるんだ。ラグ神が眼を刺し貫いて倒したと伝えられてるんだけど、それだけ鱗が硬いってことだろうね。			神話でもピシャーチャは、人肉を食らう悪鬼として登場してるんだ。ラグ神が眼を刺し貫いて倒したと伝えられてるんだけど、それだけ鱗が硬いってことだろうね。			ピシャーチャの硬鱗							
実際、「銀色の硬鱗」は長い年月をかけて蓄積された、金属の成分が含まれていてね。砕いて糸を作り、生地に織り込むと、強靭な布ができるんだ。			実際、「銀色の硬鱗」は長い年月をかけて蓄積された、金属の成分が含まれていてね。砕いて糸を作り、生地に織り込むと、強靭な布ができるんだ。			ピシャーチャの硬鱗							
その布を使って防具を作れば、戦闘の助けになるだろう？アタシは戦えないが、身につけた職人技で、戦う人の助けになりたいのさ。			その布を使って防具を作れば、戦闘の助けになるだろう？アタシは戦えないが、身につけた職人技で、戦う人の助けになりたいのさ。			ピシャーチャの硬鱗							
……なんて、ともかくこれでお仕事完了だ。おつかれさん、まったく助かったよ。報酬を受け取っておくれ！			……なんて、ともかくこれでお仕事完了だ。おつかれさん、まったく助かったよ。報酬を受け取っておくれ！			ピシャーチャの硬鱗							
特殊ルール： レベルアジャストパーラカの里の熟練の狩人は、冒険者を狩りに誘いたいようだ。			特殊ルール： レベルアジャストパーラカの里の熟練の狩人は、冒険者を狩りに誘いたいようだ。			パーラカ流毒蛇狩猟法							
熟練の狩人と話す			熟練の狩人と話す			パーラカ流毒蛇狩猟法							
眠りに落ちたブンジャンガに丈夫な麻袋を使って捕獲し敵が現れたら討伐			眠りに落ちたブンジャンガに丈夫な麻袋を使って捕獲し敵が現れたら討伐			パーラカ流毒蛇狩猟法							
熟練の狩人にブンジャンガ入りの麻袋とブンジャンガの死体を渡す			熟練の狩人にブンジャンガ入りの麻袋とブンジャンガの死体を渡す			パーラカ流毒蛇狩猟法							
熟練の狩人と話す			熟練の狩人と話す			パーラカ流毒蛇狩猟法							
うん、噂通り……アンタ強そうだな。狩りに、興味はねぇかい？			うん、噂通り……アンタ強そうだな。狩りに、興味はねぇかい？			パーラカ流毒蛇狩猟法							
里の治療師から、危険な毒を持つ獲物を頼まれちまってな。半端なヤツじゃ返り討ちだが、アンタなら大丈夫だろ。手が足りてねぇんで、協力してほしい。			里の治療師から、危険な毒を持つ獲物を頼まれちまってな。半端なヤツじゃ返り討ちだが、アンタなら大丈夫だろ。手が足りてねぇんで、協力してほしい。			パーラカ流毒蛇狩猟法							
ありがとよ！それじゃ、俺は里の北にある狩場に向かうんで、アンタはゆっくりと、追いかけてきてくれ。			ありがとよ！それじゃ、俺は里の北にある狩場に向かうんで、アンタはゆっくりと、追いかけてきてくれ。			パーラカ流毒蛇狩猟法							
ここまで来てくれて、ありがとよ。すでに準備は済ませておいたぜ。			ここまで来てくれて、ありがとよ。すでに準備は済ませておいたぜ。			パーラカ流毒蛇狩猟法							
睡眠薬を仕込んだ肉を、3箇所に仕掛けといた。運がよければ、大蛇「ブンジャンガ」がかかってるはずだ。「丈夫な麻袋」を3枚渡すから、そいつで獲物を捕獲してくれ。			睡眠薬を仕込んだ肉を、3箇所に仕掛けといた。運がよければ、大蛇「ブンジャンガ」がかかってるはずだ。「丈夫な麻袋」を3枚渡すから、そいつで獲物を捕獲してくれ。			パーラカ流毒蛇狩猟法							
そうだ、もし眠った獲物を狙う別の獣に襲われたら、襲ってきた獣を倒して、その死体を持ってきてくれるか？人を襲う獣だ、せめて最後は人の役に立ってもらわねぇとな。			そうだ、もし眠った獲物を狙う別の獣に襲われたら、襲ってきた獣を倒して、その死体を持ってきてくれるか？人を襲う獣だ、せめて最後は人の役に立ってもらわねぇとな。			パーラカ流毒蛇狩猟法							
……説明はこんなものか。じゃ、俺は別の獲物……毒蜘蛛を狩ってくる。全部終わったら、ここで落ち合おう。			……説明はこんなものか。じゃ、俺は別の獲物……毒蜘蛛を狩ってくる。全部終わったら、ここで落ち合おう。			パーラカ流毒蛇狩猟法							
おつかれさん、こっちは無事に狩れたぜ。そっちはどうだった？獲物を渡してくれ。			おつかれさん、こっちは無事に狩れたぜ。そっちはどうだった？獲物を渡してくれ。			パーラカ流毒蛇狩猟法							
ブンジャンガの入った袋に……ブンジャンガの死体！？大人でも倒すのに3人がかりの蛇を、ひとりで……。ここまで強いとは思わなかったぜ！			ブンジャンガの入った袋に……ブンジャンガの死体！？大人でも倒すのに3人がかりの蛇を、ひとりで……。ここまで強いとは思わなかったぜ！			パーラカ流毒蛇狩猟法							
さっそく里の治療師に、届けてやらなくちゃな。お礼を用意して待ってるから、アンタも里に来てくれよ！			さっそく里の治療師に、届けてやらなくちゃな。お礼を用意して待ってるから、アンタも里に来てくれよ！			パーラカ流毒蛇狩猟法							
おう、アンタか。狩りの成果を治療師に渡したら、とても喜んでたぜ。			おう、アンタか。狩りの成果を治療師に渡したら、とても喜んでたぜ。			パーラカ流毒蛇狩猟法							
なんでも、獲物の毒を調合すると、一種の麻酔になるそうだ。大怪我を負ったヤツの縫合なんかで、役立つはずさ。狩りを手伝ってくれて、ありがとな！			なんでも、獲物の毒を調合すると、一種の麻酔になるそうだ。大怪我を負ったヤツの縫合なんかで、役立つはずさ。狩りを手伝ってくれて、ありがとな！			パーラカ流毒蛇狩猟法							
特殊ルール： レベルアジャストパーラカの里のミサジャは、冒険者のことを占いたいようだ。			特殊ルール： レベルアジャストパーラカの里のミサジャは、冒険者のことを占いたいようだ。			パーラカの里のチャイ占い							
チャイに使うスパイスを入手			チャイに使うスパイスを入手			パーラカの里のチャイ占い							
ミサジャと話す			ミサジャと話す			パーラカの里のチャイ占い							
ちょっと、そこのお姐さん旦那さん。少し疲れてはいないかな？気晴らしにチャイ占いでもしていかない？			ちょっと、そこのお姐さん旦那さん。少し疲れてはいないかな？気晴らしにチャイ占いでもしていかない？			パーラカの里のチャイ占い							
チャイ占いっていうのは、カップに残った茶葉やスパイスの欠片から、運命を視るっていう、サベネア島伝統の占いなんだけど、どう？			チャイ占いっていうのは、カップに残った茶葉やスパイスの欠片から、運命を視るっていう、サベネア島伝統の占いなんだけど、どう？			パーラカの里のチャイ占い							
そうこなくっちゃ！それじゃ、まずはチャイに使うスパイスを集めてきて。占いには、自分で摘んだスパイスを使うのが決まりなのよ。			そうこなくっちゃ！それじゃ、まずはチャイに使うスパイスを集めてきて。占いには、自分で摘んだスパイスを使うのが決まりなのよ。			パーラカの里のチャイ占い							
地図に、3種類の植物が採れる場所を記しておいてあげる。その中から、自分好みのものを2種類採ってきてくれればいいわ。スパイス選びも占いに重要だから、よろしくね！			地図に、3種類の植物が採れる場所を記しておいてあげる。その中から、自分好みのものを2種類採ってきてくれればいいわ。スパイス選びも占いに重要だから、よろしくね！			パーラカの里のチャイ占い							
地図に書かれたメモによると、サベネアンベイリーフには、胃の不調を改善する効能があるらしい。			地図に書かれたメモによると、サベネアンベイリーフには、胃の不調を改善する効能があるらしい。			パーラカの里のチャイ占い							
サベネアンベイリーフを入手しますか？			サベネアンベイリーフを入手しますか？			パーラカの里のチャイ占い							
地図に書かれたメモによると、シンガベラの根には、体温を上げて、毒気への耐性を高める効能があるらしい。			地図に書かれたメモによると、シンガベラの根には、体温を上げて、毒気への耐性を高める効能があるらしい。			パーラカの里のチャイ占い							
シンガベラの根を入手しますか？			シンガベラの根を入手しますか？			パーラカの里のチャイ占い							
地図に書かれたメモによると、魔除けの針葉には、邪気を払い、頭脳を冴え渡らせる効能があるらしい。			地図に書かれたメモによると、魔除けの針葉には、邪気を払い、頭脳を冴え渡らせる効能があるらしい。			パーラカの里のチャイ占い							
魔除けの針葉を入手しますか？			魔除けの針葉を入手しますか？			パーラカの里のチャイ占い							
スパイスは採ってこれたみたいね。じゃあ、それをもらうわ。美味しいチャイを淹れるから、ちょっと待って。			スパイスは採ってこれたみたいね。じゃあ、それをもらうわ。美味しいチャイを淹れるから、ちょっと待って。			パーラカの里のチャイ占い							
はいどうぞ、貴方の採ってきたスパイスを使ったチャイよ。ぐいっと飲み干しちゃってちょうだい。			はいどうぞ、貴方の採ってきたスパイスを使ったチャイよ。ぐいっと飲み干しちゃってちょうだい。			パーラカの里のチャイ占い							
あら、いい飲みっぷりだこと。でも占いはここから。飲み干したカップを見せてもらえる？			あら、いい飲みっぷりだこと。でも占いはここから。飲み干したカップを見せてもらえる？			パーラカの里のチャイ占い							
どれどれ、お姐さん旦那さんの運命は……			どれどれ、お姐さん旦那さんの運命は……			パーラカの里のチャイ占い							
こ、これは……大いなる秘密の開示を暗示しているわ。それもただの秘密ではない、神々に関すること……。いったいどんな謎を知ることになるのかしら？			こ、これは……大いなる秘密の開示を暗示しているわ。それもただの秘密ではない、神々に関すること……。いったいどんな謎を知ることになるのかしら？			パーラカの里のチャイ占い							
おやおや、これは大切な人との出会いを暗示しているわ。恋人、親友、戦友、師弟……関係性までは見えないけど、きっと人生の転換点となる出会いになるはずよ。			おやおや、これは大切な人との出会いを暗示しているわ。恋人、親友、戦友、師弟……関係性までは見えないけど、きっと人生の転換点となる出会いになるはずよ。			パーラカの里のチャイ占い							
素晴らしいわ、富を暗示する形が出ている！堅実な職人仕事でも、宝の地図を求めてみてもいいわね。きっと大儲けできるんじゃないかしら？			素晴らしいわ、富を暗示する形が出ている！堅実な職人仕事でも、宝の地図を求めてみてもいいわね。きっと大儲けできるんじゃないかしら？			パーラカの里のチャイ占い							
どう、少しは気晴らしになったかしら？これまで本当にいろいろあったし、私もいい気晴らしになったわ。占いにつき合ってくれてありがとうね。			どう、少しは気晴らしになったかしら？これまで本当にいろいろあったし、私もいい気晴らしになったわ。占いにつき合ってくれてありがとうね。			パーラカの里のチャイ占い							
特殊ルール： レベルアジャストパーラカの里にいる疲れた様子の星戦士は、確認したいことがあるようだ。			特殊ルール： レベルアジャストパーラカの里にいる疲れた様子の星戦士は、確認したいことがあるようだ。			聖仙アガマの武勇							
避難民を探す			避難民を探す			聖仙アガマの武勇							
パーラカの里入り口まで逃げ遅れた男を護衛			パーラカの里入り口まで逃げ遅れた男を護衛			聖仙アガマの武勇							
疲れた様子の星戦士に報告			疲れた様子の星戦士に報告			聖仙アガマの武勇							
ああ、ちょうどよかった。例の獣を倒せるというあなたに、力を貸してほしい。逃げ遅れた避難民がいないか、確認を頼みたくて……。			ああ、ちょうどよかった。例の獣を倒せるというあなたに、力を貸してほしい。逃げ遅れた避難民がいないか、確認を頼みたくて……。			聖仙アガマの武勇							
見に行ってほしいのは、聖仙アガマの墳墓周辺。混乱の折、私は逃げ遅れた民とそこに隠れていたんだけど、獣が現れて、皆、散り散りになってしまって……。			見に行ってほしいのは、聖仙アガマの墳墓周辺。混乱の折、私は逃げ遅れた民とそこに隠れていたんだけど、獣が現れて、皆、散り散りになってしまって……。			聖仙アガマの武勇							
取り残された民がいないか、すぐにでも墳墓を調べたいけど、今はこの通り、パーラカの里の防備を担っている立場。持ち場を離れて、守りを手薄にもできなくてね。			取り残された民がいないか、すぐにでも墳墓を調べたいけど、今はこの通り、パーラカの里の防備を担っている立場。持ち場を離れて、守りを手薄にもできなくてね。			聖仙アガマの武勇							
里の北西にある「聖仙アガマの墳墓」の近くに誰かいたら、護衛をして、ここまで連れてきてもらえる？お礼はするから、よろしく頼むわ。			里の北西にある「聖仙アガマの墳墓」の近くに誰かいたら、護衛をして、ここまで連れてきてもらえる？お礼はするから、よろしく頼むわ。			聖仙アガマの武勇							
里の北西にある「聖仙アガマの墳墓」の近くに誰かいたら、護衛をして、ここまで連れてきてもらえる？お礼はするから、よろしく頼むわ。			里の北西にある「聖仙アガマの墳墓」の近くに誰かいたら、護衛をして、ここまで連れてきてもらえる？お礼はするから、よろしく頼むわ。			聖仙アガマの武勇							
あ、あなたは？もしかして、救援に……？			あ、あなたは？もしかして、救援に……？			聖仙アガマの武勇							
そうか、あの星戦士さんに頼まれたのか。俺、獣に追いかけまわされてしまって、結局、ここに戻ってきてしまったんです。			そうか、あの星戦士さんに頼まれたのか。俺、獣に追いかけまわされてしまって、結局、ここに戻ってきてしまったんです。			聖仙アガマの武勇							
森を出歩くのも恐ろしいし、息をひそめて隠れることしかできず……。できれば、パーラカの里まで護衛を頼めませんか？			森を出歩くのも恐ろしいし、息をひそめて隠れることしかできず……。できれば、パーラカの里まで護衛を頼めませんか？			聖仙アガマの武勇							
ありがとうございます……！			ありがとうございます……！			聖仙アガマの武勇							
森は怖いですね…			森は怖いですね…			聖仙アガマの武勇							
ああ、そんな…			ああ、そんな…			聖仙アガマの武勇							
あ、パーラカの里へ出発するんですね。どうか、よろしくお願いします……！			あ、パーラカの里へ出発するんですね。どうか、よろしくお願いします……！			聖仙アガマの武勇							
逃げ遅れた男とはぐれてしまったため、目的を達成できません。聖仙アガマの墳墓付近に戻った逃げ遅れた男に話しかけて、もう一度、この場所まで護衛してください。			逃げ遅れた男とはぐれてしまったため、目的を達成できません。聖仙アガマの墳墓付近に戻った逃げ遅れた男に話しかけて、もう一度、この場所まで護衛してください。			聖仙アガマの武勇							
逃げ遅れた男がまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			逃げ遅れた男がまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			聖仙アガマの武勇							
本当に、なんとお礼を言ったらいいか！あなたは俺にとって、最高の英雄だよ！			本当に、なんとお礼を言ったらいいか！あなたは俺にとって、最高の英雄だよ！			聖仙アガマの武勇							
星戦士の彼女にも、無事に逃げ延びられたと伝えてください！大変お世話になりました……！			星戦士の彼女にも、無事に逃げ延びられたと伝えてください！大変お世話になりました……！			聖仙アガマの武勇							
おつかれさま。あなたが戻ってくる姿は、見えていたわ。同行者の彼は、墳墓で一緒に隠れていたひとりね。			おつかれさま。あなたが戻ってくる姿は、見えていたわ。同行者の彼は、墳墓で一緒に隠れていたひとりね。			聖仙アガマの武勇							
彼を助けてくれて、ありがとう。あなたは勇敢で、勇猛な冒険者だわ。まるで、サベネアに伝わる「アガマ」のような御仁ね。			彼を助けてくれて、ありがとう。あなたは勇敢で、勇猛な冒険者だわ。まるで、サベネアに伝わる「アガマ」のような御仁ね。			聖仙アガマの武勇							
彼は、アルカソーダラ族の修行僧でね。ヒューラン族がこの島に渡ってきて、戦いが起きた時に、種族の分け隔てなく人々を救ったと言われているの。			彼は、アルカソーダラ族の修行僧でね。ヒューラン族がこの島に渡ってきて、戦いが起きた時に、種族の分け隔てなく人々を救ったと言われているの。			聖仙アガマの武勇							
躊躇なく危機に飛び込み、他者を救う。あなたはまるで、現代に現れたアガマのようだわ……！			躊躇なく危機に飛び込み、他者を救う。あなたはまるで、現代に現れたアガマのようだわ……！			聖仙アガマの武勇							
どうか、これを受け取って。私も見張りの交代が終わったら、森の巡回に行ってみるわ。			どうか、これを受け取って。私も見張りの交代が終わったら、森の巡回に行ってみるわ。			聖仙アガマの武勇							
特殊ルール： レベルアジャストパーラカの里にいるヴィラバンは、落ち込んでいるようだ。			特殊ルール： レベルアジャストパーラカの里にいるヴィラバンは、落ち込んでいるようだ。			受け継がれる守護者の証							
ハヌマンラングールを討伐し、まれに得られる巨人石の御守を入手			ハヌマンラングールを討伐し、まれに得られる巨人石の御守を入手			受け継がれる守護者の証							
ヴィラバンに巨人石の御守を渡す			ヴィラバンに巨人石の御守を渡す			受け継がれる守護者の証							
いたた……。もう歳なのかしら、いやになるねぇ。			いたた……。もう歳なのかしら、いやになるねぇ。			受け継がれる守護者の証							
ああ、旅の方、聞いておくれよ。終末の騒ぎで森へ逃げたとき、派手に転んでねぇ。膝を痛めたうえに、大切な御守を落としてしまったんだよ。			ああ、旅の方、聞いておくれよ。終末の騒ぎで森へ逃げたとき、派手に転んでねぇ。膝を痛めたうえに、大切な御守を落としてしまったんだよ。			受け継がれる守護者の証							
しかも、光り物に目がないハヌマンラングールが、あっという間に、その御守を持ち去ってしまって！情けないかぎりだよ……。			しかも、光り物に目がないハヌマンラングールが、あっという間に、その御守を持ち去ってしまって！情けないかぎりだよ……。			受け継がれる守護者の証							
若い頃は、神獣様を祀る遺跡を護る守護者として、森の動物たちを相手に槍を振るっていたってのに。まったく、歳はとりたくないもんだねぇ……。			若い頃は、神獣様を祀る遺跡を護る守護者として、森の動物たちを相手に槍を振るっていたってのに。まったく、歳はとりたくないもんだねぇ……。			受け継がれる守護者の証							
何と言う？			何と言う？			受け継がれる守護者の証							
取り返してこよう			取り返してこよう			受け継がれる守護者の証							
今は怪我を治すことに専念して			今は怪我を治すことに専念して			受け継がれる守護者の証							
そんな、いいのかい……？			そんな、いいのかい……？			受け継がれる守護者の証							
年寄りは、怪我の治りも遅くなるしねぇ……。この足では取り戻すことも難しそうだし、もしよければ、あなたの手を貸してもらえないかい？			年寄りは、怪我の治りも遅くなるしねぇ……。この足では取り戻すことも難しそうだし、もしよければ、あなたの手を貸してもらえないかい？			受け継がれる守護者の証							
マーヤーの幻泉に住まう「ハヌマンラングール」を倒して、「巨人石の御守」を見つけたら、届けてほしいの。気が向いたときでいいから、お願いねぇ。			マーヤーの幻泉に住まう「ハヌマンラングール」を倒して、「巨人石の御守」を見つけたら、届けてほしいの。気が向いたときでいいから、お願いねぇ。			受け継がれる守護者の証							
マーヤーの幻泉に住まう「ハヌマンラングール」を倒して、「巨人石の御守」を見つけたら、届けてほしいの。気が向いたときでいいから、お願いねぇ。			マーヤーの幻泉に住まう「ハヌマンラングール」を倒して、「巨人石の御守」を見つけたら、届けてほしいの。気が向いたときでいいから、お願いねぇ。			受け継がれる守護者の証							
まあまあ、旅の方。また声をかけてくれて嬉しいよ。……おや、手に持っているそれは……。			まあまあ、旅の方。また声をかけてくれて嬉しいよ。……おや、手に持っているそれは……。			受け継がれる守護者の証							
ああ、これはまさしく「巨人石の御守」！取り返してくれて、本当にありがとう……。			ああ、これはまさしく「巨人石の御守」！取り返してくれて、本当にありがとう……。			受け継がれる守護者の証							
この御守はね、私が守護者として一人前になったとき、先達から贈ってもらった、大切な品なのよ。			この御守はね、私が守護者として一人前になったとき、先達から贈ってもらった、大切な品なのよ。			受け継がれる守護者の証							
今は老いて、戦えなくなってたけれど、先達のように、後進を育てることはできるかしら。守護者の務めを引き継ぐ若者へ、この御守を託す頃合かねぇ。			今は老いて、戦えなくなってたけれど、先達のように、後進を育てることはできるかしら。守護者の務めを引き継ぐ若者へ、この御守を託す頃合かねぇ。			受け継がれる守護者の証							
御守を受け継ぐときには、恩人であるあなたのことも伝えておくよ。世話になったねぇ、お礼にこれを受け取っておくれ。			御守を受け継ぐときには、恩人であるあなたのことも伝えておくよ。世話になったねぇ、お礼にこれを受け取っておくれ。			受け継がれる守護者の証							
特殊ルール： レベルアジャストパーラカの里にいる星戦士団の兵長は、冒険者の手を借りたいようだ。			特殊ルール： レベルアジャストパーラカの里にいる星戦士団の兵長は、冒険者の手を借りたいようだ。			星戦士団の巡回							
星戦士団の兵長と話す			星戦士団の兵長と話す			星戦士団の巡回							
周辺を見回る			周辺を見回る			星戦士団の巡回							
星戦士団の兵長に報告			星戦士団の兵長に報告			星戦士団の巡回							
星戦士団の兵長にマヌシャの彫像を渡す			星戦士団の兵長にマヌシャの彫像を渡す			星戦士団の巡回							
すまない、あなたも戦い疲れているところかもしれないが、周辺の見回りに、手を貸してはもらえないだろうか。避難民が、森で迷っている可能性があるのだ。			すまない、あなたも戦い疲れているところかもしれないが、周辺の見回りに、手を貸してはもらえないだろうか。避難民が、森で迷っている可能性があるのだ。			星戦士団の巡回							
本来ならば、星戦士団の者でこなすべき務めだが、先の混乱で多くの部下を失い、負傷者も少なくはない。情けない話だが、里の防備で手一杯という有様でな……。			本来ならば、星戦士団の者でこなすべき務めだが、先の混乱で多くの部下を失い、負傷者も少なくはない。情けない話だが、里の防備で手一杯という有様でな……。			星戦士団の巡回							
協力してくれるのだな、恩に着る。では、さっそく里の外へ向かうとしよう。			協力してくれるのだな、恩に着る。では、さっそく里の外へ向かうとしよう。			星戦士団の巡回							
改めて、助力に感謝する。見回りをしたいのは、ここから南方面……イェドリマンからの避難民が通るであろう道筋だ。			改めて、助力に感謝する。見回りをしたいのは、ここから南方面……イェドリマンからの避難民が通るであろう道筋だ。			星戦士団の巡回							
二手にわかれて、周辺を見て回ろう。もし、避難民を発見した場合は救助しつつ、落とし物の類も、見つけたら回収しておいてもらいたい。			二手にわかれて、周辺を見て回ろう。もし、避難民を発見した場合は救助しつつ、落とし物の類も、見つけたら回収しておいてもらいたい。			星戦士団の巡回							
ああ、それと……獣に遭遇した場合は、討伐してもらえると助かる。見回りを終えたら、再びここで合流しよう。			ああ、それと……獣に遭遇した場合は、討伐してもらえると助かる。見回りを終えたら、再びここで合流しよう。			星戦士団の巡回							
獣のような仮面を被った女神の彫像が落ちている。念のため、回収しておこう。			獣のような仮面を被った女神の彫像が落ちている。念のため、回収しておこう。			星戦士団の巡回							
周囲を見渡したが、特に問題は起きていないようだ。			周囲を見渡したが、特に問題は起きていないようだ。			星戦士団の巡回							
た、助けてくれてありがとう。あなたは、旅の方……？			た、助けてくれてありがとう。あなたは、旅の方……？			星戦士団の巡回							
