蒼天街のフランセルは、気になる人物を見かけたようだ。			蒼天街のフランセルは、気になる人物を見かけたようだ。			お得意様デュランデル伯爵							
実は、ロウェナさんから教えてもらった情報を頼りに、魔大陸「アジス・ラー」まで行ってきたんだよ。			実は、ロウェナさんから教えてもらった情報を頼りに、魔大陸「アジス・ラー」まで行ってきたんだよ。			改良計画の最終段階							
オールヴァエルに無茶を言って、飛空艇を出してもらってね！いやぁ……物騒だったけど、あそこは本当に興味深い場所だ。俺の計測器も、振り切れっぱなしだったよ！			オールヴァエルに無茶を言って、飛空艇を出してもらってね！いやぁ……物騒だったけど、あそこは本当に興味深い場所だ。俺の計測器も、振り切れっぱなしだったよ！			改良計画の最終段階							
残念ながら、さすがに奥地まで調べには行けなかったけど、近場でこの機械「豪腕くん」を見つけられたってわけさ！便利そうだから、こっそりくすねてきたんだ。			残念ながら、さすがに奥地まで調べには行けなかったけど、近場でこの機械「豪腕くん」を見つけられたってわけさ！便利そうだから、こっそりくすねてきたんだ。			改良計画の最終段階							
豪腕くんを調べたら、いろいろな図面が記録されていてね。改良に使う部品も、そこで見繕うことができたんだ。			豪腕くんを調べたら、いろいろな図面が記録されていてね。改良に使う部品も、そこで見繕うことができたんだ。			改良計画の最終段階							
必要な材料はアジス・ラーで手に入るもの以外に、ディアデム諸島で採れる素材も活用できそうなんだよ。			必要な材料はアジス・ラーで手に入るもの以外に、ディアデム諸島で採れる素材も活用できそうなんだよ。			改良計画の最終段階							
動作チェックも良好だ！使い方はジョエリに教えてあるから、頼りにしてくれ。			動作チェックも良好だ！使い方はジョエリに教えてあるから、頼りにしてくれ。			改良計画の最終段階							
それと、この工房分館は好きに使っていい。ディアデム諸島とも行き来しやすいし、設備もばっちりだ！使えるものは全部活用して、最後までがんばるんだぞ！			それと、この工房分館は好きに使っていい。ディアデム諸島とも行き来しやすいし、設備もばっちりだ！使えるものは全部活用して、最後までがんばるんだぞ！			改良計画の最終段階							
最後の改良作業は僕が担当するつもりなんだけど、ボンのお言葉に甘えて、こっちで作業をしようと思う。完成したての工房だから、設備はどれも最新鋭なんだよ。			最後の改良作業は僕が担当するつもりなんだけど、ボンのお言葉に甘えて、こっちで作業をしようと思う。完成したての工房だから、設備はどれも最新鋭なんだよ。			改良計画の最終段階							
ただ、僕たちはスカイスチール機工房での仕事もあるから、ここに常駐するわけにもいかないんだ……。ほら、ロウェナさんからの発注がね。			ただ、僕たちはスカイスチール機工房での仕事もあるから、ここに常駐するわけにもいかないんだ……。ほら、ロウェナさんからの発注がね。			改良計画の最終段階							
実は、この後も立て込んでいるのよ……。発注が多いのは嬉しい悲鳴でもあるのだけど、そうはいっても、工房仲間に任せてばかりはいられないわ。			実は、この後も立て込んでいるのよ……。発注が多いのは嬉しい悲鳴でもあるのだけど、そうはいっても、工房仲間に任せてばかりはいられないわ。			改良計画の最終段階							
これで改良も最後だっていうのに、慌ただしくて申し訳ない。あとのことは、エメニーとジョエリが説明してくれるから、どうか最後までよろしく頼むよ。			これで改良も最後だっていうのに、慌ただしくて申し訳ない。あとのことは、エメニーとジョエリが説明してくれるから、どうか最後までよろしく頼むよ。			改良計画の最終段階							
というわけで、ここからは私たちの出番ですね！改良も残すところあと1回ですが、よろしくお願いします！			というわけで、ここからは私たちの出番ですね！改良も残すところあと1回ですが、よろしくお願いします！			改良計画の最終段階							
先にお伝えしておきたいのですが……これまでの段階の改良作業は、ここではできません。スカイスチール機工房で、作業環境が最適化されているので。			先にお伝えしておきたいのですが……これまでの段階の改良作業は、ここではできません。スカイスチール機工房で、作業環境が最適化されているので。			改良計画の最終段階							
もし、これまでの改良作業を行われたい場合は、ネイユマルさんたちへ直接お声がけいただければと……。			もし、これまでの改良作業を行われたい場合は、ネイユマルさんたちへ直接お声がけいただければと……。			改良計画の最終段階							
それじゃあ、最後の改良に取りかかる際には、まず私に声をかけてくださいね！			それじゃあ、最後の改良に取りかかる際には、まず私に声をかけてくださいね！			改良計画の最終段階							
特殊ルール： ジョブ・クラス固定スカイスチール機工房分館付近のエメニーは、「スカイスチールツール」の改良について話したいようだ。			特殊ルール： ジョブ・クラス固定スカイスチール機工房分館付近のエメニーは、「スカイスチールツール」の改良について話したいようだ。			至高の職人道具を目指して							
※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「スカイスチールツール」の改良に必要な部品は、スカイスチール機工房分館付近の「豪腕くん」に、材料を渡すことで作ってもらえるようだ。スカイスチール機工房分館付近の「エメニー」に、装備から外して所持した「スカイスチールツール」と、部品を確認してもらい、最後の改良に取りかかろう。			※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。「スカイスチールツール」の改良に必要な部品は、スカイスチール機工房分館付近の「豪腕くん」に、材料を渡すことで作ってもらえるようだ。スカイスチール機工房分館付近の「エメニー」に、装備から外して所持した「スカイスチールツール」と、部品を確認してもらい、最後の改良に取りかかろう。			至高の職人道具を目指して							
「スカイスチールツール」がついに完成した。ネイユマルは、スカイスチール機工房にいるデニスにも完成品を見せたいようだ。スカイスチール機工房へ向かう前に、同行を申し出ている「ジョエリ」と話そう。			「スカイスチールツール」がついに完成した。ネイユマルは、スカイスチール機工房にいるデニスにも完成品を見せたいようだ。スカイスチール機工房へ向かう前に、同行を申し出ている「ジョエリ」と話そう。			至高の職人道具を目指して							
スカイソング・ソースカイソング・クロスペインハンマースカイソング・レイジングハンマースカイソング・ラピダリーハンマースカイソング・ラウンドナイフスカイソング・ニードルスカイソング・アレンビックスカイソング・フライパンスカイソング・ピックスカイソング・ハチェットスカイソング・フィッシングロッドを装備から外して、所持し木工道具の最終改良用部材を60個集め鍛冶道具の最終改良用部材を60個集め甲冑道具の最終改良用部材を60個集め彫金道具の最終改良用部材を60個集め革細工道具の最終改良用部材を60個集め裁縫道具の最終改良用部材を60個集め錬金道具の最終改良用部材を60個集め調理道具の最終改良用部材を60個集め採掘道具の最終改良用部材を250個と、園芸道具の最終改良用部材を250個と、漁道具のシャフト最終改良用部材を200個と、採掘道具の最終改良用補助部材を25個集め園芸道具の最終改良用補助部材を25個集め漁道具のリール最終改良用部材を200個集めスカイスチール機工房分館付近のエメニーに渡す			スカイソング・ソースカイソング・クロスペインハンマースカイソング・レイジングハンマースカイソング・ラピダリーハンマースカイソング・ラウンドナイフスカイソング・ニードルスカイソング・アレンビックスカイソング・フライパンスカイソング・ピックスカイソング・ハチェットスカイソング・フィッシングロッドを装備から外して、所持し木工道具の最終改良用部材を60個集め鍛冶道具の最終改良用部材を60個集め甲冑道具の最終改良用部材を60個集め彫金道具の最終改良用部材を60個集め革細工道具の最終改良用部材を60個集め裁縫道具の最終改良用部材を60個集め錬金道具の最終改良用部材を60個集め調理道具の最終改良用部材を60個集め採掘道具の最終改良用部材を250個と、園芸道具の最終改良用部材を250個と、漁道具のシャフト最終改良用部材を200個と、採掘道具の最終改良用補助部材を25個集め園芸道具の最終改良用補助部材を25個集め漁道具のリール最終改良用部材を200個集めスカイスチール機工房分館付近のエメニーに渡す			至高の職人道具を目指して							
クエスト「至高の職人道具を目指して」にて入手できる主道具は、現在のクラス「[Job]」のスカイスチールツールとなります。本クエストを、「[Job]」で受注しますか？			クエスト「至高の職人道具を目指して」にて入手できる主道具は、現在のクラス「[Job]」のスカイスチールツールとなります。本クエストを、「[Job]」で受注しますか？			至高の職人道具を目指して							
[Job]のスカイスチールツールを改良しますか？			[Job]のスカイスチールツールを改良しますか？			至高の職人道具を目指して							
もう少し悩んでみる			もう少し悩んでみる			至高の職人道具を目指して							
[Job]のスカイスチールツールを改良する			[Job]のスカイスチールツールを改良する			至高の職人道具を目指して							
「至高の職人道具を目指して」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで本クエストを受注できません。			「至高の職人道具を目指して」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのクラスで本クエストを受注できません。			至高の職人道具を目指して							
改良したいスカイスチールツールに応じたクラスとなり、再度、エメニーに話しかけてください。			改良したいスカイスチールツールに応じたクラスとなり、再度、エメニーに話しかけてください。			至高の職人道具を目指して							
「[???]」を、所持または装備していないと、クエスト「至高の職人道具を目指して」を受注できません。			「[???]」を、所持または装備していないと、クエスト「至高の職人道具を目指して」を受注できません。			至高の職人道具を目指して							
「[???]」はすでに取得済みです。ほかのクラスとなり、再度エメニーに話しかけてください。			「[???]」はすでに取得済みです。ほかのクラスとなり、再度エメニーに話しかけてください。			至高の職人道具を目指して							
最後の改良を始めるんですね！それじゃあ、張り切ってまいりましょう！			最後の改良を始めるんですね！それじゃあ、張り切ってまいりましょう！			至高の職人道具を目指して							
まさか、さらに「スカイスチールツール」の改良を？さすがは、熟練の職人さんですね……！そういうことなら、今回もがんばっちゃいましょう！			まさか、さらに「スカイスチールツール」の改良を？さすがは、熟練の職人さんですね……！そういうことなら、今回もがんばっちゃいましょう！			至高の職人道具を目指して							
今回必要になるのは、「[???]」です！			今回必要になるのは、「[???]」です！			至高の職人道具を目指して							
今回必要になるのは、「[???]」と「[???]」です！			今回必要になるのは、「[???]」と「[???]」です！			至高の職人道具を目指して							
ネイユマルさんによると、手順はいつもと同じだそうですよ。職人さんは「スカイスチールツール」を使って、部品の材料調達をお願いします！			ネイユマルさんによると、手順はいつもと同じだそうですよ。職人さんは「スカイスチールツール」を使って、部品の材料調達をお願いします！			至高の職人道具を目指して							
部品は「豪腕くん」で作ることになるので、デニスさんのところへ向かわれないよう、ご注意を。もし不明な点があれば、いつでも私に聞いてください。			部品は「豪腕くん」で作ることになるので、デニスさんのところへ向かわれないよう、ご注意を。もし不明な点があれば、いつでも私に聞いてください。			至高の職人道具を目指して							
必要なものがそろったら、まずは私に見せてくださいね！改良を始められる状態になり次第、作業担当のネイユマルさんを呼んできますので！			必要なものがそろったら、まずは私に見せてくださいね！改良を始められる状態になり次第、作業担当のネイユマルさんを呼んできますので！			至高の職人道具を目指して							
主道具と、改良に必要となる部品をそろえた状態で、スカイスチール機工房分館付近の「エメニー」に話しかけると、改良された主道具が入手できます。			主道具と、改良に必要となる部品をそろえた状態で、スカイスチール機工房分館付近の「エメニー」に話しかけると、改良された主道具が入手できます。			至高の職人道具を目指して							
主道具を改良するために必要な部品は、スカイスチール機工房分館付近の「豪腕くん」に、材料を渡すことで手に入ります。			主道具を改良するために必要な部品は、スカイスチール機工房分館付近の「豪腕くん」に、材料を渡すことで手に入ります。			至高の職人道具を目指して							
部品の交換に必要な材料は、製作手帳「スペシャルレシピ」の「サブクエスト関連」以下、「スカイスチールツール」の項目を選択することで製作できます。			部品の交換に必要な材料は、製作手帳「スペシャルレシピ」の「サブクエスト関連」以下、「スカイスチールツール」の項目を選択することで製作できます。			至高の職人道具を目指して							
また、材料を製作する際には、「スカイスチールツール」を装備している必要があります。素材の一部は「スクリップ」や「蒼天街振興券」で入手できます。			また、材料を製作する際には、「スカイスチールツール」を装備している必要があります。素材の一部は「スクリップ」や「蒼天街振興券」で入手できます。			至高の職人道具を目指して							
部品の交換と、主道具の改良に必要な材料は、採集手帳の「スカイスチールツール」の項目を選択することで、採集場所を確認できます。			部品の交換と、主道具の改良に必要な材料は、採集手帳の「スカイスチールツール」の項目を選択することで、採集場所を確認できます。			至高の職人道具を目指して							
また、材料を採集する際には、「スカイスチールツール」を装備している必要があります。			また、材料を採集する際には、「スカイスチールツール」を装備している必要があります。			至高の職人道具を目指して							
部品の交換に必要な材料は、専用の釣り餌が必要になります。釣り餌の購入は「豪腕くん」のほか、スカイスチール機工房の「デニス」からも可能です。			部品の交換に必要な材料は、専用の釣り餌が必要になります。釣り餌の購入は「豪腕くん」のほか、スカイスチール機工房の「デニス」からも可能です。			至高の職人道具を目指して							
また、材料を釣る際には、「スカイスチールツール」を装備している必要があります。			また、材料を釣る際には、「スカイスチールツール」を装備している必要があります。			至高の職人道具を目指して							
本クエストをコンプリートする際には、改良する「スカイスチールツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「スカイスチールツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			至高の職人道具を目指して							
手順確認、ですね。部品の材料を調達するときは、必ず「スカイスチールツール」を使用してください。			手順確認、ですね。部品の材料を調達するときは、必ず「スカイスチールツール」を使用してください。			至高の職人道具を目指して							
調達した材料を「豪腕くん」に渡すと、部品にしてくれます。もし手順がわからなくなったら、私に聞いてくださいね。			調達した材料を「豪腕くん」に渡すと、部品にしてくれます。もし手順がわからなくなったら、私に聞いてくださいね。			至高の職人道具を目指して							
主道具と、改良に必要となる部品をそろえた状態で、スカイスチール機工房分館付近の「エメニー」に話しかけると、改良された主道具が入手できます。			主道具と、改良に必要となる部品をそろえた状態で、スカイスチール機工房分館付近の「エメニー」に話しかけると、改良された主道具が入手できます。			至高の職人道具を目指して							
主道具を改良するために必要な部品は、スカイスチール機工房分館付近の「豪腕くん」に、材料を渡すことで手に入ります。			主道具を改良するために必要な部品は、スカイスチール機工房分館付近の「豪腕くん」に、材料を渡すことで手に入ります。			至高の職人道具を目指して							
部品の交換に必要な材料は、製作手帳「スペシャルレシピ」の「サブクエスト関連」以下、「スカイスチールツール」の項目を選択することで製作できます。			部品の交換に必要な材料は、製作手帳「スペシャルレシピ」の「サブクエスト関連」以下、「スカイスチールツール」の項目を選択することで製作できます。			至高の職人道具を目指して							
また、材料を製作する際には、「スカイスチールツール」を装備している必要があります。素材の一部は「スクリップ」や「蒼天街振興券」で入手できます。			また、材料を製作する際には、「スカイスチールツール」を装備している必要があります。素材の一部は「スクリップ」や「蒼天街振興券」で入手できます。			至高の職人道具を目指して							
部品の交換と、主道具の改良に必要な材料は、採集手帳の「スカイスチールツール」の項目を選択することで、採集場所を確認できます。			部品の交換と、主道具の改良に必要な材料は、採集手帳の「スカイスチールツール」の項目を選択することで、採集場所を確認できます。			至高の職人道具を目指して							
また、材料を採集する際には、「スカイスチールツール」を装備している必要があります。			また、材料を採集する際には、「スカイスチールツール」を装備している必要があります。			至高の職人道具を目指して							
部品の交換に必要な材料は、専用の釣り餌が必要になります。釣り餌の購入は「豪腕くん」のほか、スカイスチール機工房の「デニス」からも可能です。			部品の交換に必要な材料は、専用の釣り餌が必要になります。釣り餌の購入は「豪腕くん」のほか、スカイスチール機工房の「デニス」からも可能です。			至高の職人道具を目指して							
また、材料を釣る際には、「スカイスチールツール」を装備している必要があります。			また、材料を釣る際には、「スカイスチールツール」を装備している必要があります。			至高の職人道具を目指して							
本クエストをコンプリートする際には、改良する「スカイスチールツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			本クエストをコンプリートする際には、改良する「スカイスチールツール」を装備せずに、所持品またはアーマリーチェストに入れてください。			至高の職人道具を目指して							
おつかれさまです！もしや、準備万端ですか？では、必要なものがそろっているか、確認しますね！			おつかれさまです！もしや、準備万端ですか？では、必要なものがそろっているか、確認しますね！			至高の職人道具を目指して							
ばっちりです！さっそく、ネイユマルさんを呼んできますね！			ばっちりです！さっそく、ネイユマルさんを呼んできますね！			至高の職人道具を目指して							
お待たせしたね。今回も部品の準備に尽力してくれて、本当にありがとう。			お待たせしたね。今回も部品の準備に尽力してくれて、本当にありがとう。			至高の職人道具を目指して							
最後の改良、私も見届けにきたわ。デニスも来られたらよかったのだけど、ちょうど手が離せない案件があってね……。			最後の改良、私も見届けにきたわ。デニスも来られたらよかったのだけど、ちょうど手が離せない案件があってね……。			至高の職人道具を目指して							
……緊張してきたけど、せっかくの大役だ。改良作業担当として、しっかり務めを果たさないとね。			……緊張してきたけど、せっかくの大役だ。改良作業担当として、しっかり務めを果たさないとね。			至高の職人道具を目指して							
それじゃあ……「スカイスチールツール」と部品を、預かってもいいかな？			それじゃあ……「スカイスチールツール」と部品を、預かってもいいかな？			至高の職人道具を目指して							
たしかに、受け取ったよ。工房の中で作業をしてくるから、ここでしばらく、待っていてくれ。			たしかに、受け取ったよ。工房の中で作業をしてくるから、ここでしばらく、待っていてくれ。			至高の職人道具を目指して							
ネイユマルが最後の作業を担当したいって言ったとき、本当は私に任せたほうがいいのだろうけど、と言っていたわ。謙虚すぎるのも考えものね……。			ネイユマルが最後の作業を担当したいって言ったとき、本当は私に任せたほうがいいのだろうけど、と言っていたわ。謙虚すぎるのも考えものね……。			至高の職人道具を目指して							
彼ほどの腕前なら大丈夫よ。無事に作業が終わると信じて、待ちましょう。			彼ほどの腕前なら大丈夫よ。無事に作業が終わると信じて、待ちましょう。			至高の職人道具を目指して							
改良、大成功だ！ついに「スカイスチールツール」が、真価を発揮するときがきたんだ……！			改良、大成功だ！ついに「スカイスチールツール」が、真価を発揮するときがきたんだ……！			至高の職人道具を目指して							
性能も、どうにか限界まで引き出せた。これなら君の職人としての活躍を、さらに後押ししてくれるはずだ。			性能も、どうにか限界まで引き出せた。これなら君の職人としての活躍を、さらに後押ししてくれるはずだ。			至高の職人道具を目指して							
この完成した姿を、デニスにも見せたいんだけど、あとで、スカイスチール機工房に顔を出してもらえないかな。			この完成した姿を、デニスにも見せたいんだけど、あとで、スカイスチール機工房に顔を出してもらえないかな。			至高の職人道具を目指して							
せっかくですし、みんなでお祝いしたいですね！私たちも、完成品のお披露目にご一緒したいです！			せっかくですし、みんなでお祝いしたいですね！私たちも、完成品のお披露目にご一緒したいです！			至高の職人道具を目指して							
それなら……あなたの都合がいいときに、彼女たちへ声をかけて。一緒に、スカイスチール機工房まで来てくれると嬉しいわ。			それなら……あなたの都合がいいときに、彼女たちへ声をかけて。一緒に、スカイスチール機工房まで来てくれると嬉しいわ。			至高の職人道具を目指して							
今回も無事に、改良成功だ！何度やっても緊張する作業だけど、終わってみると、晴れやかな気分になるよ。			今回も無事に、改良成功だ！何度やっても緊張する作業だけど、終わってみると、晴れやかな気分になるよ。			至高の職人道具を目指して							
それじゃあ、完成品を受け取ってほしい。僕たちから君へ贈る、最高の職人道具……「[???]」だ！			それじゃあ、完成品を受け取ってほしい。僕たちから君へ贈る、最高の職人道具……「[???]」だ！			至高の職人道具を目指して							
特殊ルール： ジョブ・クラス固定スカイスチール機工房分館付近のジョエリは、冒険者とともにスカイスチール機工房へ行きたいようだ。			特殊ルール： ジョブ・クラス固定スカイスチール機工房分館付近のジョエリは、冒険者とともにスカイスチール機工房へ行きたいようだ。			技師たちの夢の先							
※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。ジョエリと話した。彼女たちは、でかける準備を整えてから向かうようだ。スカイスチール機工房付近の「ネイユマル」と話そう。			※本クエストには「 ジョブ・クラス固定」が、　設定されています。　受注時と同じクラスでのみ進行できます。ジョエリと話した。彼女たちは、でかける準備を整えてから向かうようだ。スカイスチール機工房付近の「ネイユマル」と話そう。			技師たちの夢の先							
ネイユマルと話した。意気揚々と立ち去ったロウェナの姿に、苦笑いする「ネイユマル」と再度話そう。			ネイユマルと話した。意気揚々と立ち去ったロウェナの姿に、苦笑いする「ネイユマル」と再度話そう。			技師たちの夢の先							
ネイユマルと再度話した。フランセルの感謝の言葉に、彼らはとても嬉しそうだ。スカイスチール機工房の技師たちは、これからも切磋琢磨を続けていくことだろう。			ネイユマルと再度話した。フランセルの感謝の言葉に、彼らはとても嬉しそうだ。スカイスチール機工房の技師たちは、これからも切磋琢磨を続けていくことだろう。			技師たちの夢の先							
最終段階まで改良したスカイスチールツールを所持、または装備し、スカイスチール機工房付近のネイユマルと話す			最終段階まで改良したスカイスチールツールを所持、または装備し、スカイスチール機工房付近のネイユマルと話す			技師たちの夢の先							
最終段階まで改良したスカイスチールツールを所持、または装備し、ネイユマルと再度話す			最終段階まで改良したスカイスチールツールを所持、または装備し、ネイユマルと再度話す			技師たちの夢の先							
クエスト「技師たちの夢の先」を受注、進行するには、最終段階まで改良したスカイスチールツールを所持、または装備し、なおかつ、対応したクラスである必要があります。			クエスト「技師たちの夢の先」を受注、進行するには、最終段階まで改良したスカイスチールツールを所持、または装備し、なおかつ、対応したクラスである必要があります。			技師たちの夢の先							
「スカイスチールツール」を、お披露目に行くんですね。豪腕くんの管理を、誰かに頼まないと……。最近ここは、子供がよく遊びにくるので。			「スカイスチールツール」を、お披露目に行くんですね。豪腕くんの管理を、誰かに頼まないと……。最近ここは、子供がよく遊びにくるので。			技師たちの夢の先							
職人さんは先に、スカイスチール機工房へ行って、「ネイユマル」さんに声をかけておいてください！私たちも、すぐに向かいますので！			職人さんは先に、スカイスチール機工房へ行って、「ネイユマル」さんに声をかけておいてください！私たちも、すぐに向かいますので！			技師たちの夢の先							
スカイスチール機工房で、「ネイユマル」さんたちと待っていてください。私たちも、出かける準備が整い次第、向かいますので……。			スカイスチール機工房で、「ネイユマル」さんたちと待っていてください。私たちも、出かける準備が整い次第、向かいますので……。			技師たちの夢の先							
ああ、来てくれてありがとう。エメニーとジョエリの姿がないようだけど……。			ああ、来てくれてありがとう。エメニーとジョエリの姿がないようだけど……。			技師たちの夢の先							
なるほど、後から来るんだね。メンテナンス済みとはいえ、豪腕くんは魔大陸での拾い物。留守にするなら、しまっておくのが得策だろうね。			なるほど、後から来るんだね。メンテナンス済みとはいえ、豪腕くんは魔大陸での拾い物。留守にするなら、しまっておくのが得策だろうね。			技師たちの夢の先							
それじゃあ、エメニーとジョエリが来たら、デニスに声を……。			それじゃあ、エメニーとジョエリが来たら、デニスに声を……。			技師たちの夢の先							
やあ、お邪魔するよ！話している声が聞こえたから、その後の進捗を確認しにきたんだけど……			やあ、お邪魔するよ！話している声が聞こえたから、その後の進捗を確認しにきたんだけど……			技師たちの夢の先							
その様子を見るに、最終段階への改良は終わったようだね！			その様子を見るに、最終段階への改良は終わったようだね！			技師たちの夢の先							
完成した「スカイスチールツール」を、ふたりにも見せてもらえるかな。			完成した「スカイスチールツール」を、ふたりにも見せてもらえるかな。			技師たちの夢の先							
倉庫で埃をかぶっていたひな形が、こんなにも立派な姿に仕上がるなんてね。機能性も意匠も、最高じゃないか……本当によくやったな！			倉庫で埃をかぶっていたひな形が、こんなにも立派な姿に仕上がるなんてね。機能性も意匠も、最高じゃないか……本当によくやったな！			技師たちの夢の先							
ふぅん……なかなかいい商材に育ったじゃないの。あのハゲにも、いい刺激になりそうだし、ここまで協力したかいがあったわね。			ふぅん……なかなかいい商材に育ったじゃないの。あのハゲにも、いい刺激になりそうだし、ここまで協力したかいがあったわね。			技師たちの夢の先							
レプリカの生産、今回も進めておいてちょうだい。あとはひな形の量産体制を整えることと、改良対応の準備もね。			レプリカの生産、今回も進めておいてちょうだい。あとはひな形の量産体制を整えることと、改良対応の準備もね。			技師たちの夢の先							
まったく、商魂たくましいことで。俺はゆっくり、機械いじりをしていたいっていうのに。			まったく、商魂たくましいことで。俺はゆっくり、機械いじりをしていたいっていうのに。			技師たちの夢の先							
アインハルト家は、資金繰りに苦労しているって聞いたけど？ここで稼いでおけば、お父上も喜ぶんじゃないかしら。せいぜい頑張りなさいな、お坊ちゃん。			アインハルト家は、資金繰りに苦労しているって聞いたけど？ここで稼いでおけば、お父上も喜ぶんじゃないかしら。せいぜい頑張りなさいな、お坊ちゃん。			技師たちの夢の先							
せっかく英雄様のお墨付きって売り出せるのだもの、しっかりと販売ルートを整えておかないとね……フフッ。			せっかく英雄様のお墨付きって売り出せるのだもの、しっかりと販売ルートを整えておかないとね……フフッ。			技師たちの夢の先							
はあ～、まいった、まいった。家の話を持ち出されると、かなわないな……。			はあ～、まいった、まいった。家の話を持ち出されると、かなわないな……。			技師たちの夢の先							
まあ、それはともかく、これはお返しするよ。いいものを見せてくれて、ありがとう！			まあ、それはともかく、これはお返しするよ。いいものを見せてくれて、ありがとう！			技師たちの夢の先							
デニスにも、それを見せるつもりなんだろう？戻りついでに、俺から声をかけておくよ。発注の件も、彼の耳に入れておかないといけないからね。			デニスにも、それを見せるつもりなんだろう？戻りついでに、俺から声をかけておくよ。発注の件も、彼の耳に入れておかないといけないからね。			技師たちの夢の先							
スカイスチール機工房で、「ネイユマル」さんたちと待っていてください。私たちも、出かける準備が整い次第、向かいますので……。			スカイスチール機工房で、「ネイユマル」さんたちと待っていてください。私たちも、出かける準備が整い次第、向かいますので……。			技師たちの夢の先							
ついに「スカイスチールツール」が完成したんだってな！良い話と悪い話、どっちから聞きたいか……なんて、ボンが言うもんだから、何事かと思ったぜ。			ついに「スカイスチールツール」が完成したんだってな！良い話と悪い話、どっちから聞きたいか……なんて、ボンが言うもんだから、何事かと思ったぜ。			技師たちの夢の先							
お待たせしましたーっ！とってもビッグなゲストと一緒に、エメニーとジョエリ、蒼天街から参上ですっ！			お待たせしましたーっ！とってもビッグなゲストと一緒に、エメニーとジョエリ、蒼天街から参上ですっ！			技師たちの夢の先							
驚かせてしまったかな。エメニーとジョエリが、声をかけてくれてね。			驚かせてしまったかな。エメニーとジョエリが、声をかけてくれてね。			技師たちの夢の先							
ステファニヴィアン兄様から、あなたがたのご活躍を常々聞いていたよ。少しだけ、僕もお披露目に同席して構わないかな。			ステファニヴィアン兄様から、あなたがたのご活躍を常々聞いていたよ。少しだけ、僕もお披露目に同席して構わないかな。			技師たちの夢の先							
さあ……みんなで作り上げた至高の職人道具を、お披露目してもらえるかい？			さあ……みんなで作り上げた至高の職人道具を、お披露目してもらえるかい？			技師たちの夢の先							
はぁ……こいつはすごいな！あのひな形から、ここまできたか。嬉しいもんだ、感無量すぎて言葉にならないな。			はぁ……こいつはすごいな！あのひな形から、ここまできたか。嬉しいもんだ、感無量すぎて言葉にならないな。			技師たちの夢の先							
復興事業の協力者でもある彼女彼に、こんなにも素晴らしい道具を提供してくれたこと、蒼天街復興の総監として、礼を言わせてほしい。			復興事業の協力者でもある彼女彼に、こんなにも素晴らしい道具を提供してくれたこと、蒼天街復興の総監として、礼を言わせてほしい。			技師たちの夢の先							
そんな……こちらこそ、ありがとうございます！フランセル様にそう言っていただけて、とても光栄です。			そんな……こちらこそ、ありがとうございます！フランセル様にそう言っていただけて、とても光栄です。			技師たちの夢の先							
復興事業を支えてくれたあなたがたに、感謝の念を伝えることができて、本当によかった。今後とも蒼天街のために、力を貸してもらえると嬉しいよ。			復興事業を支えてくれたあなたがたに、感謝の念を伝えることができて、本当によかった。今後とも蒼天街のために、力を貸してもらえると嬉しいよ。			技師たちの夢の先							
最後のほうは取引の対応に追われちまって、ろくに協力できなくて悪かったな。			最後のほうは取引の対応に追われちまって、ろくに協力できなくて悪かったな。			技師たちの夢の先							
けど、商会との取引のおかげで、ロウェナさんに魔大陸の情報料も支払えて……			けど、商会との取引のおかげで、ロウェナさんに魔大陸の情報料も支払えて……			技師たちの夢の先							
待てよ……よくよく考えてみたら、ロウェナさんのひとり勝ちになってやしないか？……あーやめやめ、この話はもう考えないでおこう！			待てよ……よくよく考えてみたら、ロウェナさんのひとり勝ちになってやしないか？……あーやめやめ、この話はもう考えないでおこう！			技師たちの夢の先							
私たちはデニスさんと逆で、お手伝いできたのが最後だけでしたけど……貴重な経験をさせてもらって、ありがとうございました！			私たちはデニスさんと逆で、お手伝いできたのが最後だけでしたけど……貴重な経験をさせてもらって、ありがとうございました！			技師たちの夢の先							
豪腕くんとの出会いは、とても刺激的でした……。あの子を通じて、アラグ文明の技術を学べたこと、本当に感謝しています。			豪腕くんとの出会いは、とても刺激的でした……。あの子を通じて、アラグ文明の技術を学べたこと、本当に感謝しています。			技師たちの夢の先							
アラグ文明もそうだけれど、あとは、ゴブリン族の技術にも触れられたわね……。改良作業も任せてもらえて、嬉しい経験ばかりだったわ。			アラグ文明もそうだけれど、あとは、ゴブリン族の技術にも触れられたわね……。改良作業も任せてもらえて、嬉しい経験ばかりだったわ。			技師たちの夢の先							
