忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
君は、世界を護って、君を護った。痛みや苦しみ、出会うが故の別れを連れて、進み続けたその先で。			君は、世界を護って、君を護った。痛みや苦しみ、出会うが故の別れを連れて、進み続けたその先で。			歩み続ける孤高の騎士へ							
それこそが、あの日の僕に差し伸べる……慰めであり、答えであり、希望になるだろう。			それこそが、あの日の僕に差し伸べる……慰めであり、答えであり、希望になるだろう。			歩み続ける孤高の騎士へ							
まったく……君って人は！			まったく……君って人は！			歩み続ける孤高の騎士へ							
さっきは、お話の途中でごめんなさい……。			さっきは、お話の途中でごめんなさい……。			歩み続ける孤高の騎士へ							
ああ、お前も戻ったか。こっちも……このとおりだ。リエルがなぜヘソを曲げたのかは、よくわからんままだがな。			ああ、お前も戻ったか。こっちも……このとおりだ。リエルがなぜヘソを曲げたのかは、よくわからんままだがな。			歩み続ける孤高の騎士へ							
それで、やっぱりあの手紙は、何か大事な用だったのか？			それで、やっぱりあの手紙は、何か大事な用だったのか？			歩み続ける孤高の騎士へ							
何と言う？			何と言う？			歩み続ける孤高の騎士へ							
おかげで、懐かしい人に会った			おかげで、懐かしい人に会った			歩み続ける孤高の騎士へ							
古い約束をひとつ、果たせた			古い約束をひとつ、果たせた			歩み続ける孤高の騎士へ							
……まあ、悪いものではなかったのだろう。お前の、その様子ではな。			……まあ、悪いものではなかったのだろう。お前の、その様子ではな。			歩み続ける孤高の騎士へ							
雲霧街のフレイは、冒険者の訪れを待っているようだ。			雲霧街のフレイは、冒険者の訪れを待っているようだ。			世界は仇なす							
フレイと再会し、さらなる儀式に挑むことになった。低地ラノシアのモラビー造船廠で「フレイ」と合流しよう。			フレイと再会し、さらなる儀式に挑むことになった。低地ラノシアのモラビー造船廠で「フレイ」と合流しよう。			世界は仇なす							
フレイと合流したが、強引な交易商人に仕事を頼まれてしまった。低地ラノシアのソルトストランドにいる「フレイ」と話そう。			フレイと合流したが、強引な交易商人に仕事を頼まれてしまった。低地ラノシアのソルトストランドにいる「フレイ」と話そう。			世界は仇なす							
フレイとともに、キキルン族から奪われた商品を取り戻した。ソルトストランドの「フレイ」と話そう。			フレイとともに、キキルン族から奪われた商品を取り戻した。ソルトストランドの「フレイ」と話そう。			世界は仇なす							
フレイから、先に戻るようにと言われた。モラビー造船廠の「強引な交易商人」に「奪われた商品」を渡そう。			フレイから、先に戻るようにと言われた。モラビー造船廠の「強引な交易商人」に「奪われた商品」を渡そう。			世界は仇なす							
強引な交易商人に、奪われた商品を渡した。交易商人の横暴な態度に怒り、フレイがどこかへ行ってしまった。モラビー造船廠で「フレイ」を探そう。			強引な交易商人に、奪われた商品を渡した。交易商人の横暴な態度に怒り、フレイがどこかへ行ってしまった。モラビー造船廠で「フレイ」を探そう。			世界は仇なす							
フレイを探し出し、儀式をすることを望まれた。モラビー造船廠の「フレイ」に交感しよう。			フレイを探し出し、儀式をすることを望まれた。モラビー造船廠の「フレイ」に交感しよう。			世界は仇なす							
フレイに交感したところ、声が聞こえた。その声の主を本当に護りたいと思うなら、自分とともにエオルゼアを出ようと、フレイは言った。彼は、いつもの場所で冒険者を待つそうだが……。※暗黒騎士のレベルが50以上になると、雲霧街のフレイから次の暗黒騎士クエストを受注することができます。			フレイに交感したところ、声が聞こえた。その声の主を本当に護りたいと思うなら、自分とともにエオルゼアを出ようと、フレイは言った。彼は、いつもの場所で冒険者を待つそうだが……。※暗黒騎士のレベルが50以上になると、雲霧街のフレイから次の暗黒騎士クエストを受注することができます。			世界は仇なす							
モラビー造船廠でフレイと合流			モラビー造船廠でフレイと合流			世界は仇なす							
ソルトストランドのフレイと話す			ソルトストランドのフレイと話す			世界は仇なす							
フレイと話す			フレイと話す			世界は仇なす							
強引な交易商人に奪われた商品を渡す			強引な交易商人に奪われた商品を渡す			世界は仇なす							
フレイを探す			フレイを探す			世界は仇なす							
フレイに交感する			フレイに交感する			世界は仇なす							
商品奪還のため、キキルン族を倒せ！			商品奪還のため、キキルン族を倒せ！			世界は仇なす							
奪われた商品を奪還しろ！			奪われた商品を奪還しろ！			世界は仇なす							
また会えましたね、Forename。前回の儀式で君に言ったこと、あれから僕も、考え直してみたんです。			また会えましたね、Forename。前回の儀式で君に言ったこと、あれから僕も、考え直してみたんです。			世界は仇なす							
君の護るべき「誰か」について、わかっていることは少ない。これでは、ひとりのために他を切り捨てろなんて言われても、腑に落ちるはずがありませんよね。			君の護るべき「誰か」について、わかっていることは少ない。これでは、ひとりのために他を切り捨てろなんて言われても、腑に落ちるはずがありませんよね。			世界は仇なす							
だったら、やはり儀式を重ねて、少しでも「声」の主について理解していくべきです。			だったら、やはり儀式を重ねて、少しでも「声」の主について理解していくべきです。			世界は仇なす							
そして君が、何よりもそれを護りたいと思えたとき、「誰か」と真に心が繋がり、正体が掴めるに違いありません。ねえ、そうです、だから、諦めずに儀式を…………			そして君が、何よりもそれを護りたいと思えたとき、「誰か」と真に心が繋がり、正体が掴めるに違いありません。ねえ、そうです、だから、諦めずに儀式を…………			世界は仇なす							
…………っ。すみません、最近少し、具合が悪くて……。			…………っ。すみません、最近少し、具合が悪くて……。			世界は仇なす							
でも大丈夫、ただの疲れです。そんなことよりも、次なる儀式を行うために、君の実力を見させてください。			でも大丈夫、ただの疲れです。そんなことよりも、次なる儀式を行うために、君の実力を見させてください。			世界は仇なす							
今回は、少し気分を変えましょうか。低地ラノシアの「モラビー造船廠」で、お待ちしています……。			今回は、少し気分を変えましょうか。低地ラノシアの「モラビー造船廠」で、お待ちしています……。			世界は仇なす							
Forename……。君は、海を見て何を思い出しますか。			Forename……。君は、海を見て何を思い出しますか。			世界は仇なす							
誘っておいてなんですが、僕は海にいい印象がないんです。前に話した、君に似た人との旅の最中、恐ろしい体験をしたもので……。			誘っておいてなんですが、僕は海にいい印象がないんです。前に話した、君に似た人との旅の最中、恐ろしい体験をしたもので……。			世界は仇なす							
……あのころ、僕と彼女彼はもうずいぶん遠くなっていて、どんなに叫んでも、船に乗り込む彼女彼を止められなかった。船は僕らを乗せて、沖へ沖へと進んでいく……。			……あのころ、僕と彼女彼はもうずいぶん遠くなっていて、どんなに叫んでも、船に乗り込む彼女彼を止められなかった。船は僕らを乗せて、沖へ沖へと進んでいく……。			世界は仇なす							
まるで、自ら死ににいくようなものでした。彼女彼は、僕にとって唯一の護るべき人だったのに、彼女彼には、僕の言葉だけが届かなかった……だから僕は……			まるで、自ら死ににいくようなものでした。彼女彼は、僕にとって唯一の護るべき人だったのに、彼女彼には、僕の言葉だけが届かなかった……だから僕は……			世界は仇なす							
(-？？？？-)そこをどうにか、頼みますよォ～。黒渦団は強いんでしょう？困ってる人を、助けてくれるんでしょう？			(-？？？？-)そこをどうにか、頼みますよォ～。黒渦団は強いんでしょう？困ってる人を、助けてくれるんでしょう？			世界は仇なす							
で、ですからッ！黒渦団は、黒渦団の役目をもって、皆様に貢献しております。盗まれた商品の奪還ならば、イエロージャケットに……			で、ですからッ！黒渦団は、黒渦団の役目をもって、皆様に貢献しております。盗まれた商品の奪還ならば、イエロージャケットに……			世界は仇なす							
ダメダメ、あいつらときたら、忙しいとか言って、何でも後回しにするんです。ほ～ら～、代わりにチョチョイとやってくださいよォ！			ダメダメ、あいつらときたら、忙しいとか言って、何でも後回しにするんです。ほ～ら～、代わりにチョチョイとやってくださいよォ！			世界は仇なす							
あ、あなたは！[GC Rank]ForenameForename様ではありませんか！			あ、あなたは！[GC Rank]ForenameForename様ではありませんか！			世界は仇なす							
蛮神「リヴァイアサン」討伐の件では、大変お世話になりましたッ！あなたの勇敢な戦いに、どれほどの民が救われたことか……。			蛮神「リヴァイアサン」討伐の件では、大変お世話になりましたッ！あなたの勇敢な戦いに、どれほどの民が救われたことか……。			世界は仇なす							
ヒョエエ～～！？もしかして、こちらさん、蛮神殺しって噂の冒険者さんですかい！？			ヒョエエ～～！？もしかして、こちらさん、蛮神殺しって噂の冒険者さんですかい！？			世界は仇なす							
こりゃあ、天の助け！ねえ英雄さん、ワタクシ、すごく困ってるんですよォ。			こりゃあ、天の助け！ねえ英雄さん、ワタクシ、すごく困ってるんですよォ。			世界は仇なす							
というのも、こっすいキキルン族に、商品を根こそぎ盗まれましてね？このままじゃ、明日から路頭に迷うしか……ヨヨヨ……。			というのも、こっすいキキルン族に、商品を根こそぎ盗まれましてね？このままじゃ、明日から路頭に迷うしか……ヨヨヨ……。			世界は仇なす							
……Forename。この前僕が言ったこと、忘れてませんよね。大事な目的があるのだから、余計な人助けはよせ、と。			……Forename。この前僕が言ったこと、忘れてませんよね。大事な目的があるのだから、余計な人助けはよせ、と。			世界は仇なす							
放っておいても、イエロージャケットなりが解決する件です。それよりも君は、儀式をするために強敵を倒し……			放っておいても、イエロージャケットなりが解決する件です。それよりも君は、儀式をするために強敵を倒し……			世界は仇なす							
英雄さん、見捨てないでくださいよォ！み～んなにタライ回されて、あなたしか頼れないんですって！			英雄さん、見捨てないでくださいよォ！み～んなにタライ回されて、あなたしか頼れないんですって！			世界は仇なす							
商品を取り返しに行く？			商品を取り返しに行く？			世界は仇なす							
……わかった			……わかった			世界は仇なす							
それはできない			それはできない			世界は仇なす							
ヒャアア～、それでこその英雄さんだ！ヨッ！　姐さん！いい男！			ヒャアア～、それでこその英雄さんだ！ヨッ！　姐さん！いい男！			世界は仇なす							
ワタクシの荷物を盗んだキキルン族は、ここいらの野盗キキルンどもの元締めみたいな奴でして、そりゃあもう、手強いって噂です。			ワタクシの荷物を盗んだキキルン族は、ここいらの野盗キキルンどもの元締めみたいな奴でして、そりゃあもう、手強いって噂です。			世界は仇なす							
奴らの根城は、南西の「ソルトストランド」！いっちょ乗り込んで、キキルン族をなぎ倒し、哀れな商人の荷物を取り戻してくださいませェ～！			奴らの根城は、南西の「ソルトストランド」！いっちょ乗り込んで、キキルン族をなぎ倒し、哀れな商人の荷物を取り戻してくださいませェ～！			世界は仇なす							
まァまァ、つれないことをおっしゃらず。今、そっちの覆面さんが、「強敵と戦いたい」ってなことを、おっしゃいませんでしたか？			まァまァ、つれないことをおっしゃらず。今、そっちの覆面さんが、「強敵と戦いたい」ってなことを、おっしゃいませんでしたか？			世界は仇なす							
幸いにも、ワタクシの荷物を盗んだキキルン族は、ここいらの野盗キキルンどもの元締めみたいな奴でして、そりゃあもう、手強いって噂されてるんですよォ！			幸いにも、ワタクシの荷物を盗んだキキルン族は、ここいらの野盗キキルンどもの元締めみたいな奴でして、そりゃあもう、手強いって噂されてるんですよォ！			世界は仇なす							
奴らの根城は、南西の「ソルトストランド」！いっちょ乗り込んで、キキルン族をなぎ倒し、哀れな商人の荷物を取り戻してくださいませェ～！			奴らの根城は、南西の「ソルトストランド」！いっちょ乗り込んで、キキルン族をなぎ倒し、哀れな商人の荷物を取り戻してくださいませェ～！			世界は仇なす							
……こんなの、「暗黒騎士」の役目でもなんでもないよ。僕も行くから、とっとと片付けましょう。			……こんなの、「暗黒騎士」の役目でもなんでもないよ。僕も行くから、とっとと片付けましょう。			世界は仇なす							
面倒事に巻き込んでしまったようで、申し訳ございません。どうぞ、無理はなさらずに……。			面倒事に巻き込んでしまったようで、申し訳ございません。どうぞ、無理はなさらずに……。			世界は仇なす							
奴らの根城は、南西の「ソルトストランド」！いっちょ乗り込んで、キキルン族をなぎ倒し、哀れな商人の荷物を取り戻してくださいませェ～！			奴らの根城は、南西の「ソルトストランド」！いっちょ乗り込んで、キキルン族をなぎ倒し、哀れな商人の荷物を取り戻してくださいませェ～！			世界は仇なす							
この先がキキルン族の根城です。盗まれた商品も、そこにあるでしょう……。			この先がキキルン族の根城です。盗まれた商品も、そこにあるでしょう……。			世界は仇なす							
せめて、この戦いで、君の実力を見させてもらいます。そうでもなければ、本当に君が戦う意味がない……。			せめて、この戦いで、君の実力を見させてもらいます。そうでもなければ、本当に君が戦う意味がない……。			世界は仇なす							
ハァ……ハァ……ッ……。商品は、取り返すことができましたね……。君は、それを、あの商人に…………。			ハァ……ハァ……ッ……。商品は、取り返すことができましたね……。君は、それを、あの商人に…………。			世界は仇なす							
僕は……すみません……疲れがまた…………。あとから追っていきますから、先に戻っていてください……。			僕は……すみません……疲れがまた…………。あとから追っていきますから、先に戻っていてください……。			世界は仇なす							
ああ……エーテルが底をつく……。このままじゃ……もう…………。			ああ……エーテルが底をつく……。このままじゃ……もう…………。			世界は仇なす							
君は、「奪われた商品」を商人のところへ……。僕は、あとから追っていきますから…………。			君は、「奪われた商品」を商人のところへ……。僕は、あとから追っていきますから…………。			世界は仇なす							
おお、お待ちしておりましたよォ！ワタクシの商品は！？もちろん無事に取り返せましたよね！？			おお、お待ちしておりましたよォ！ワタクシの商品は！？もちろん無事に取り返せましたよね！？			世界は仇なす							
これは確かに、キキルン族に盗まれたワタクシの商品！ありがたや、ありがたや……！さっそく、中身がそろっているか確認いたしますねェ！			これは確かに、キキルン族に盗まれたワタクシの商品！ありがたや、ありがたや……！さっそく、中身がそろっているか確認いたしますねェ！			世界は仇なす							
ハァ……。こりゃ、ダメダメですなァ……。			ハァ……。こりゃ、ダメダメですなァ……。			世界は仇なす							
箱の中身はそろっちゃいますが、キキルンどもが汚い手で引っ掻き回したせいで、どいつもこいつも、売り物になんてなりませんよォ……。			箱の中身はそろっちゃいますが、キキルンどもが汚い手で引っ掻き回したせいで、どいつもこいつも、売り物になんてなりませんよォ……。			世界は仇なす							
はてさて、困った……。命の次に大事な商品がおじゃんとなった今、ワタクシはどうして生きれば…………ハッ！			はてさて、困った……。命の次に大事な商品がおじゃんとなった今、ワタクシはどうして生きれば…………ハッ！			世界は仇なす							
そうだ、そうですよォ、英雄さん！あなたなら、代わりに売れそうなもののひとつくらい、ササッと用意できるんじゃないですか？			そうだ、そうですよォ、英雄さん！あなたなら、代わりに売れそうなもののひとつくらい、ササッと用意できるんじゃないですか？			世界は仇なす							
猛獣の肉でも、遺跡に残された骨董品でもいい。あっ、蛮神の一部なんてのはどうです！？ワタクシ、こう見えて多様なお客を抱えておりまして……			猛獣の肉でも、遺跡に残された骨董品でもいい。あっ、蛮神の一部なんてのはどうです！？ワタクシ、こう見えて多様なお客を抱えておりまして……			世界は仇なす							
ふざけるなッ！！！！			ふざけるなッ！！！！			世界は仇なす							
英雄、英雄って、都合よく肩書きで呼ぶな！Forenameだって人だ……戦えば傷つくし、傷がつけば痛いんだ。			英雄、英雄って、都合よく肩書きで呼ぶな！Forenameだって人だ……戦えば傷つくし、傷がつけば痛いんだ。			世界は仇なす							
痛くて、苦しくて、嫌な思いだっていっぱいして、それでもお前たちが頼るから、戦ってるんだよッ！			痛くて、苦しくて、嫌な思いだっていっぱいして、それでもお前たちが頼るから、戦ってるんだよッ！			世界は仇なす							
今回だけじゃない……あのときだって、そうだった。大海嘯を繰る蛮神を相手に、孤独な船上で戦わされたんだ！			今回だけじゃない……あのときだって、そうだった。大海嘯を繰る蛮神を相手に、孤独な船上で戦わされたんだ！			世界は仇なす							
お前らはッ……お前らは、僕らを置いてどこへ行った！？選ばれた者しか戦えないって言葉を盾に、どれだけ僕らを犠牲にしたッ！？			お前らはッ……お前らは、僕らを置いてどこへ行った！？選ばれた者しか戦えないって言葉を盾に、どれだけ僕らを犠牲にしたッ！？			世界は仇なす							
お前らが、Forenameを奪ってくんだ……。だからいつまでも、彼女彼は答えに辿りつけない。本当の「暗黒騎士」になることができないんだ……ッ！			お前らが、Forenameを奪ってくんだ……。だからいつまでも、彼女彼は答えに辿りつけない。本当の「暗黒騎士」になることができないんだ……ッ！			世界は仇なす							
ヒェェ、おっかない……！何が何だかわかりませんが、あんなに怒らなくたってェ！			ヒェェ、おっかない……！何が何だかわかりませんが、あんなに怒らなくたってェ！			世界は仇なす							
あの方、船上で蛮神と戦ったと言っていましたが……もしや、あなたとともに蛮神「リヴァイアサン」を退けた、お仲間だったのでしょうか？			あの方、船上で蛮神と戦ったと言っていましたが……もしや、あなたとともに蛮神「リヴァイアサン」を退けた、お仲間だったのでしょうか？			世界は仇なす							
だとしたら、気付かずに失礼いたしました。蛮神を討つお役目、どれほど重責であったことでしょう……。			だとしたら、気付かずに失礼いたしました。蛮神を討つお役目、どれほど重責であったことでしょう……。			世界は仇なす							
まったく、なんであんなに怒られなきゃならんのです？もういいです、あとのことは自分でどうにかしますよォ！			まったく、なんであんなに怒られなきゃならんのです？もういいです、あとのことは自分でどうにかしますよォ！			世界は仇なす							
蛮神「リヴァイアサン」討伐作戦へのご案内は、私が担当させていただきました。しかし、あのような方はいらっしゃったでしょうか……？			蛮神「リヴァイアサン」討伐作戦へのご案内は、私が担当させていただきました。しかし、あのような方はいらっしゃったでしょうか……？			世界は仇なす							
ごめん、Forename……。取り乱して、つい余計なことを言った。			ごめん、Forename……。取り乱して、つい余計なことを言った。			世界は仇なす							
そうでなくとも、「暗黒騎士」の指導者らしいことは、どんどんできなくなってきてるって、わかっています。疑いますよね、僕のこと……。			そうでなくとも、「暗黒騎士」の指導者らしいことは、どんどんできなくなってきてるって、わかっています。疑いますよね、僕のこと……。			世界は仇なす							
何と声をかける？			何と声をかける？			世界は仇なす							
あの声の主は、本当に存在するののか？			あの声の主は、本当に存在するののか？			世界は仇なす							
本当の暗黒騎士になれない？			本当の暗黒騎士になれない？			世界は仇なす							
怒ってくれて、ありがとう！			怒ってくれて、ありがとう！			世界は仇なす							
存在するよ……。今だって、君が見つけてくれるのを待っているんです。……お願いだから、いないなんて、言わないで。			存在するよ……。今だって、君が見つけてくれるのを待っているんです。……お願いだから、いないなんて、言わないで。			世界は仇なす							
でも、僕が嘘をついていたのも本当だ。……僕は、「声」の主が誰であるか知っています。			でも、僕が嘘をついていたのも本当だ。……僕は、「声」の主が誰であるか知っています。			世界は仇なす							
ただし、その答えを僕から教えることはできないんだ。君自身が、あの「声」の主を……君にとっての最も「弱き者」を見つけなければ意味がない。			ただし、その答えを僕から教えることはできないんだ。君自身が、あの「声」の主を……君にとっての最も「弱き者」を見つけなければ意味がない。			世界は仇なす							
だから、ねえ……もう一度、儀式を…………。			だから、ねえ……もう一度、儀式を…………。			世界は仇なす							
……君は、確かに「暗黒騎士」だ。その身にまとった「暗黒」の力も、鍛錬で身に着けてきた技も、偽物なんかじゃない……。			……君は、確かに「暗黒騎士」だ。その身にまとった「暗黒」の力も、鍛錬で身に着けてきた技も、偽物なんかじゃない……。			世界は仇なす							
でも、皇都で娘さんを助けにいくとき、僕が語った「暗黒騎士の最初の課題」を覚えていますか？			でも、皇都で娘さんを助けにいくとき、僕が語った「暗黒騎士の最初の課題」を覚えていますか？			世界は仇なす							
君はまだ、その課題を乗り越えていないんだ……。僕が、君に「暗黒」の力を授けられる理由だって、紐解けちゃいないでしょう……？			君はまだ、その課題を乗り越えていないんだ……。僕が、君に「暗黒」の力を授けられる理由だって、紐解けちゃいないでしょう……？			世界は仇なす							
すべては、あの「声」の主にたどり着けたらわかることです。だから、ねえ……もう一度、儀式を…………。			すべては、あの「声」の主にたどり着けたらわかることです。だから、ねえ……もう一度、儀式を…………。			世界は仇なす							
…………っ！あ、あたりまえじゃないですか……！あんなの怒ります……今までだって、怒ってました……！			…………っ！あ、あたりまえじゃないですか……！あんなの怒ります……今までだって、怒ってました……！			世界は仇なす							
僕に感謝を言うくらいなら、君が怒ればよかったんです。そんなに誰にでも優しいから、あの「声」の主だって、すねて出てこないんじゃないですか！？			僕に感謝を言うくらいなら、君が怒ればよかったんです。そんなに誰にでも優しいから、あの「声」の主だって、すねて出てこないんじゃないですか！？			世界は仇なす							
本当に、もう……君って人は…………。「暗黒騎士」に向いているんだか、いないんだか……。			本当に、もう……君って人は…………。「暗黒騎士」に向いているんだか、いないんだか……。			世界は仇なす							
……でも、そんな君だからこそ「声」の主を見つけてほしいんだ。大事なことは何ひとつ明かせない、不誠実な僕ですが、この気持ちだけは真実なんです……だから、儀式を…………。			……でも、そんな君だからこそ「声」の主を見つけてほしいんだ。大事なことは何ひとつ明かせない、不誠実な僕ですが、この気持ちだけは真実なんです……だから、儀式を…………。			世界は仇なす							
胸を焼くような思いとともに、「声」が脳裏に響いてくる……。			胸を焼くような思いとともに、「声」が脳裏に響いてくる……。			世界は仇なす							
(-？？？？-)…………声が聞こえる。誰かが助けを求める声だ……。なんて……やかましいんだろう………。			(-？？？？-)…………声が聞こえる。誰かが助けを求める声だ……。なんて……やかましいんだろう………。			世界は仇なす							
(-？？？？-)彼らの声に、自分の声はかき消されてしまう……。この痛みを……怒りを……悲しみを……どうやったら伝えられる……？			(-？？？？-)彼らの声に、自分の声はかき消されてしまう……。この痛みを……怒りを……悲しみを……どうやったら伝えられる……？			世界は仇なす							
(-？？？？-)…………ああ、そうだ。自分の声でだめなら、他人の声を使えばいい……。その声も届かないなら、同じ痛みをもって、伝えればいい……。			(-？？？？-)…………ああ、そうだ。自分の声でだめなら、他人の声を使えばいい……。その声も届かないなら、同じ痛みをもって、伝えればいい……。			世界は仇なす							
(-？？？？-)そうでしょう……？待っていて………………			(-？？？？-)そうでしょう……？待っていて………………			世界は仇なす							
ねえ……Forename Surname…………。			ねえ……Forename Surname…………。			世界は仇なす							
……「声」は、聞こえたみたいですね。			……「声」は、聞こえたみたいですね。			世界は仇なす							
君が何を聞き、何を思ったかは、あえて問いません。ただ、今度こそ、護るべき「誰か」のために、すべてを捨てる覚悟ができたなら……			君が何を聞き、何を思ったかは、あえて問いません。ただ、今度こそ、護るべき「誰か」のために、すべてを捨てる覚悟ができたなら……			世界は仇なす							
英雄として築いた地位や名声、居場所を捨てても、それを護りたいと思えたならば、僕と一緒に、このエオルゼアを出てください。			英雄として築いた地位や名声、居場所を捨てても、それを護りたいと思えたならば、僕と一緒に、このエオルゼアを出てください。			世界は仇なす							
この地では、君はたったひとりを護る存在にはなれない。離れてこそ……本当の「暗黒騎士」としての物語がはじまるんだ。			この地では、君はたったひとりを護る存在にはなれない。離れてこそ……本当の「暗黒騎士」としての物語がはじまるんだ。			世界は仇なす							
……君を、いつもの場所で待っています。ただ、僕にはあまり時間がないらしい……。遠くない再会を願っていますよ。			……君を、いつもの場所で待っています。ただ、僕にはあまり時間がないらしい……。遠くない再会を願っていますよ。			世界は仇なす							
かなりの多勢ですね……。盗人キキルンを倒してから、荷物を取り返しましょう……。			かなりの多勢ですね……。盗人キキルンを倒してから、荷物を取り返しましょう……。			世界は仇なす							
これこれ、ぜーんぶ、ヨヨルンの！ものども、こいつを追い返すっちゃ！			これこれ、ぜーんぶ、ヨヨルンの！ものども、こいつを追い返すっちゃ！			世界は仇なす							
お見事です、あとは商品の回収だけだ。Forename、お願いできますか……？			お見事です、あとは商品の回収だけだ。Forename、お願いできますか……？			世界は仇なす							
その木箱に、商品が入ってるようですね。よし……これでどうにか………………ウッ……。			その木箱に、商品が入ってるようですね。よし……これでどうにか………………ウッ……。			世界は仇なす							
ハァ……ハァ……。だめだ、体がもう……うまく動かない……！			ハァ……ハァ……。だめだ、体がもう……うまく動かない……！			世界は仇なす							
ホワイトブリム前哨地の精悍な神殿騎士は、冒険者の戦いぶりを見ていたようだ。			ホワイトブリム前哨地の精悍な神殿騎士は、冒険者の戦いぶりを見ていたようだ。			本当の暗黒騎士							
精悍な神殿騎士から、頼みたいことがあると言われた。クルザス中央高地のベヒーモスの縄張りにいる「精悍な神殿騎士」を探そう。			精悍な神殿騎士から、頼みたいことがあると言われた。クルザス中央高地のベヒーモスの縄張りにいる「精悍な神殿騎士」を探そう。			本当の暗黒騎士							
精悍な神殿騎士に声をかけたところ、仲間の神殿騎士たちが襲い掛かってきた。妨害を退けて、ベヒーモスの縄張りの「精悍な神殿騎士」と再度話そう。			精悍な神殿騎士に声をかけたところ、仲間の神殿騎士たちが襲い掛かってきた。妨害を退けて、ベヒーモスの縄張りの「精悍な神殿騎士」と再度話そう。			本当の暗黒騎士							
精悍な神殿騎士から事情を聞いていたところ、もうひとりの暗黒騎士が現れた。イシュガルドの忘れられた騎士亭にいる「シドゥルグ」と話そう。			精悍な神殿騎士から事情を聞いていたところ、もうひとりの暗黒騎士が現れた。イシュガルドの忘れられた騎士亭にいる「シドゥルグ」と話そう。			本当の暗黒騎士							
シドゥルグと話した。彼もまた、暗黒騎士として弱き者を護ろうとしているようだ。暗黒騎士として戦い続ける強い意志があるならば、再びシドゥルグのもとを訪れよう。※暗黒騎士のレベルが52以上になると、忘れられた騎士亭のシドゥルグから次の暗黒騎士クエストを受注することができます。			シドゥルグと話した。彼もまた、暗黒騎士として弱き者を護ろうとしているようだ。暗黒騎士として戦い続ける強い意志があるならば、再びシドゥルグのもとを訪れよう。※暗黒騎士のレベルが52以上になると、忘れられた騎士亭のシドゥルグから次の暗黒騎士クエストを受注することができます。			本当の暗黒騎士							
ベヒーモスの縄張りで精悍な神殿騎士を探す			ベヒーモスの縄張りで精悍な神殿騎士を探す			本当の暗黒騎士							
精悍な神殿騎士と再度話す			精悍な神殿騎士と再度話す			本当の暗黒騎士							
イシュガルドのシドゥルグと話す			イシュガルドのシドゥルグと話す			本当の暗黒騎士							
……今しがたの戦い、拝見させてもらった。貴公、かなり腕が立つようだな。			……今しがたの戦い、拝見させてもらった。貴公、かなり腕が立つようだな。			本当の暗黒騎士							
その実力を見込んで、頼みたいことがある。極秘の任務ゆえ、ここでは話しづらい……。「ベヒーモスの縄張り」あたりに来られよ。			その実力を見込んで、頼みたいことがある。極秘の任務ゆえ、ここでは話しづらい……。「ベヒーモスの縄張り」あたりに来られよ。			本当の暗黒騎士							
待っていたぞ……神意に背く、異端の騎士め！			待っていたぞ……神意に背く、異端の騎士め！			本当の暗黒騎士							
大審門の警備中、巨大な剣を背負うお前を見つけ、怪しいと思って跡をつけていたのだ。……お前、以前に皇都で暴れた「暗黒騎士」だな？			大審門の警備中、巨大な剣を背負うお前を見つけ、怪しいと思って跡をつけていたのだ。……お前、以前に皇都で暴れた「暗黒騎士」だな？			本当の暗黒騎士							
前哨地の騎兵たちに手を貸し、善人にでもなったつもりか！奴らは騙せても、我ら神に従う「真の騎士」の目は、ごまかすことができんぞ。			前哨地の騎兵たちに手を貸し、善人にでもなったつもりか！奴らは騙せても、我ら神に従う「真の騎士」の目は、ごまかすことができんぞ。			本当の暗黒騎士							
さあ、かかれ！この異端の騎士に、戦神「ハルオーネ」の裁きを！			さあ、かかれ！この異端の騎士に、戦神「ハルオーネ」の裁きを！			本当の暗黒騎士							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			本当の暗黒騎士							
お、おのれ……ッ！噂に聞く「暗黒騎士」の実力……これほどとは……！			お、おのれ……ッ！噂に聞く「暗黒騎士」の実力……これほどとは……！			本当の暗黒騎士							
だが、調子に乗るなよ……。これ以上、その力を使って目立った行動をとれば、いずれ教皇庁から、正式な追っ手がかかることになろう。			だが、調子に乗るなよ……。これ以上、その力を使って目立った行動をとれば、いずれ教皇庁から、正式な追っ手がかかることになろう。			本当の暗黒騎士							
「暗黒騎士」は、なにかと正教に楯突く悪の芽だからな。大事をしでかす前に、摘んでおかねば……！			「暗黒騎士」は、なにかと正教に楯突く悪の芽だからな。大事をしでかす前に、摘んでおかねば……！			本当の暗黒騎士							
(-？？？？-)変わった命乞いの台詞だな。それとも、立場がわからんバカか？			(-？？？？-)変わった命乞いの台詞だな。それとも、立場がわからんバカか？			本当の暗黒騎士							
(-黒甲冑の男-)どちらにせよ、くだらん。……俺なら斬る。			(-黒甲冑の男-)どちらにせよ、くだらん。……俺なら斬る。			本当の暗黒騎士							
その剣……まさか、お前も「暗黒騎士」か！？			その剣……まさか、お前も「暗黒騎士」か！？			本当の暗黒騎士							
(-黒甲冑の男-)だとしたら、どうする。……命乞いをしなおすか？			(-黒甲冑の男-)だとしたら、どうする。……命乞いをしなおすか？			本当の暗黒騎士							
