フォルタン家の執事は、ぼんやりとしている。			フォルタン家の執事は、ぼんやりとしている。			追憶行							
噂によれば　お前さん　偏屈ばあさん　知り合いゴブ？だったら　「マトーヤの洞窟」まで行ってどうにか　苦情を　伝えてくれゴブ！			噂によれば　お前さん　偏屈ばあさん　知り合いゴブ？だったら　「マトーヤの洞窟」まで行ってどうにか　苦情を　伝えてくれゴブ！			友の微笑み							
誰かと思えば、お前かい。いったい何の用があって、あわれな隠居老人の静かな暮らしを乱そうって言うんだい？			誰かと思えば、お前かい。いったい何の用があって、あわれな隠居老人の静かな暮らしを乱そうって言うんだい？			友の微笑み							
なんだい、イディルシャイアのゴブリンどもに、使い魔をけしかけるのをやめろだって？馬鹿言うんじゃないよ。			なんだい、イディルシャイアのゴブリンどもに、使い魔をけしかけるのをやめろだって？馬鹿言うんじゃないよ。			友の微笑み							
連中がウチのポロッゴどもを捕まえて、食べようとするもんだから、反撃させたまでのことさ。人様の使い魔を夕食にしようなんざ、百年早い！			連中がウチのポロッゴどもを捕まえて、食べようとするもんだから、反撃させたまでのことさ。人様の使い魔を夕食にしようなんざ、百年早い！			友の微笑み							
それに、お前もお前さね。何だって、ゴブリンどもの伝言を伝えようと思ったんだい！？			それに、お前もお前さね。何だって、ゴブリンどもの伝言を伝えようと思ったんだい！？			友の微笑み							
……フン、過去の足跡を辿る旅だって？思い出にひたるには、お前はまだ若すぎる……。これと決めた決意があるなら、ただ前を見て進めばいいのさ。			……フン、過去の足跡を辿る旅だって？思い出にひたるには、お前はまだ若すぎる……。これと決めた決意があるなら、ただ前を見て進めばいいのさ。			友の微笑み							
ルヴェユールのはな垂れ小僧だって、覚悟を決めたんだろう？過去から教訓を学ばないのは、愚かだが、過去ばかりに引きずられるのもまた、愚かってものさね。			ルヴェユールのはな垂れ小僧だって、覚悟を決めたんだろう？過去から教訓を学ばないのは、愚かだが、過去ばかりに引きずられるのもまた、愚かってものさね。			友の微笑み							
魔大陸に赴くための方法を知ろうと、初めてこの洞窟を訪ねてきたときのお前は、ただ前を見ていた。それを思い出すんだよ……シャンと背筋を伸ばしてね。			魔大陸に赴くための方法を知ろうと、初めてこの洞窟を訪ねてきたときのお前は、ただ前を見ていた。それを思い出すんだよ……シャンと背筋を伸ばしてね。			友の微笑み							
さぁ、それがわかったら、とっとと帰って独りにさせておくれ！最近はシュトラも、事あるごとに顔を見せに来るし、うるさいったら、ありゃしないよ！			さぁ、それがわかったら、とっとと帰って独りにさせておくれ！最近はシュトラも、事あるごとに顔を見せに来るし、うるさいったら、ありゃしないよ！			友の微笑み							
マトーヤとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はアジス・ラーの「ポート・ヘリックス」を訪ねよう。			マトーヤとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はアジス・ラーの「ポート・ヘリックス」を訪ねよう。			友の微笑み							
ゴブリンの能ナシどもでもわかるように、使い魔の首に、「食用禁止」の札でも下げさせるかね……。			ゴブリンの能ナシどもでもわかるように、使い魔の首に、「食用禁止」の札でも下げさせるかね……。			友の微笑み							
……何かを見つけた。近づいて、確認してみよう。			……何かを見つけた。近づいて、確認してみよう。			友の微笑み							
ニメーヤリリーの花束がある……。死者に手向ける、鎮魂の花として知られるものだ。どうやら、誰かが供えていったものらしい。			ニメーヤリリーの花束がある……。死者に手向ける、鎮魂の花として知られるものだ。どうやら、誰かが供えていったものらしい。			友の微笑み							
一陣の冷たい風が吹き抜けた。遠い空の彼方に、ダイアモンドダストの輝きが見えた気がした……。			一陣の冷たい風が吹き抜けた。遠い空の彼方に、ダイアモンドダストの輝きが見えた気がした……。			友の微笑み							
イゼルに祈りを捧げ、かつての冒険を思い出した。さらに記憶を辿るために、次は対偶の磔刑台の「ティアマット」を訪ねよう。			イゼルに祈りを捧げ、かつての冒険を思い出した。さらに記憶を辿るために、次は対偶の磔刑台の「ティアマット」を訪ねよう。			友の微笑み							
ニメーヤリリーの花束がある……。死者に手向ける、鎮魂の花として知られるものだ。どうやら、誰かが供えていったものらしい。			ニメーヤリリーの花束がある……。死者に手向ける、鎮魂の花として知られるものだ。どうやら、誰かが供えていったものらしい。			友の微笑み							
(-ティアマット-)何者かと思えば……我が父と旅するヒトの子か……。お主が去った後、一度だけニーズヘッグが飛び去る姿を見た。いったい、何があったというのだ……？			(-ティアマット-)何者かと思えば……我が父と旅するヒトの子か……。お主が去った後、一度だけニーズヘッグが飛び去る姿を見た。いったい、何があったというのだ……？			友の微笑み							
(-ティアマット-)……なんと……なんということだ。闇の使徒、アシエンと蛮神を討ったものの、竜の眼に宿った怨念が、ヒトの身体を奪い影と化したというのか？			(-ティアマット-)……なんと……なんということだ。闇の使徒、アシエンと蛮神を討ったものの、竜の眼に宿った怨念が、ヒトの身体を奪い影と化したというのか？			友の微笑み							
(-ティアマット-)だが、それも打ち払われた……と。そうか……我が兄弟、ニーズヘッグもまた散ったか……。			(-ティアマット-)だが、それも打ち払われた……と。そうか……我が兄弟、ニーズヘッグもまた散ったか……。			友の微笑み							
(-ティアマット-)安心せよ、お主を怨みはせぬ。怨みが心の目を曇らせるということは、嫌と言うほど知っているのだ……バハムートが散ったときにな。			(-ティアマット-)安心せよ、お主を怨みはせぬ。怨みが心の目を曇らせるということは、嫌と言うほど知っているのだ……バハムートが散ったときにな。			友の微笑み							
(-ティアマット-)ニーズヘッグも、かつての我と同じだったのだ。愛する妹を殺され、ヒトを怨み、復讐を成そうとした。それを責めることなど、どうしてできよう？			(-ティアマット-)ニーズヘッグも、かつての我と同じだったのだ。愛する妹を殺され、ヒトを怨み、復讐を成そうとした。それを責めることなど、どうしてできよう？			友の微笑み							
我が子、ティアマットよ……。未だヒトを怨むか？			我が子、ティアマットよ……。未だヒトを怨むか？			友の微笑み							
(-ティアマット-)我が父、ミドガルズオルム……。我が怨みは、とうに枯れ果てました。アラグが滅び去った今、残されたのは後悔と悲嘆の念のみ。			(-ティアマット-)我が父、ミドガルズオルム……。我が怨みは、とうに枯れ果てました。アラグが滅び去った今、残されたのは後悔と悲嘆の念のみ。			友の微笑み							
(-ティアマット-)仮に怨念が残されているとすれば、ヒトの欲と力を侮り、アシエンの甘言を信じた、己の愚かさに対してだけ……。			(-ティアマット-)仮に怨念が残されているとすれば、ヒトの欲と力を侮り、アシエンの甘言を信じた、己の愚かさに対してだけ……。			友の微笑み							
そうか、我が子よ……。だがそれでも、我は未だに希望を抱いている。			そうか、我が子よ……。だがそれでも、我は未だに希望を抱いている。			友の微笑み							
フレースヴェルグの眷属たちは、ふたたびヒトと融和を結び、ともに生きる道を選んだ。そうした想いこそが、闇を退ける力となり得ると信じたいのだ。			フレースヴェルグの眷属たちは、ふたたびヒトと融和を結び、ともに生きる道を選んだ。そうした想いこそが、闇を退ける力となり得ると信じたいのだ。			友の微笑み							
(-ティアマット-)……では、我は見守りましょうぞ。この時の牢獄の中で、ヒトと竜が交わる未来を……。			(-ティアマット-)……では、我は見守りましょうぞ。この時の牢獄の中で、ヒトと竜が交わる未来を……。			友の微笑み							
(-ティアマット-)さあ、ハイデリンの使徒よ……。語らいの時は終わった……行って、戦いに戻るがいい。闇の者すべてが滅んだわけではないのだから……。			(-ティアマット-)さあ、ハイデリンの使徒よ……。語らいの時は終わった……行って、戦いに戻るがいい。闇の者すべてが滅んだわけではないのだから……。			友の微笑み							
ティアマットとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はアジス・ラー旗艦島の「魔科学研究所」前を訪ねよう。			ティアマットとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はアジス・ラー旗艦島の「魔科学研究所」前を訪ねよう。			友の微笑み							
魔科学研究所での戦いを思い出した。アシエン・ラハブレアとアシエン・イゲオルム……そして、蛮神「ナイツ・オブ・ラウンド」との激闘……。			魔科学研究所での戦いを思い出した。アシエン・ラハブレアとアシエン・イゲオルム……そして、蛮神「ナイツ・オブ・ラウンド」との激闘……。			友の微笑み							
友であるエスティニアンが、ふたつの竜の眼を取り戻したことで、邪竜の影と化してしまったが、それも打ち払われた。			友であるエスティニアンが、ふたつの竜の眼を取り戻したことで、邪竜の影と化してしまったが、それも打ち払われた。			友の微笑み							
だが、救うことができた友もいれば、自分を救うために散っていった友もいる……。最後に訪れるべき場所は決まった。この旅の終着点に向かおう。			だが、救うことができた友もいれば、自分を救うために散っていった友もいる……。最後に訪れるべき場所は決まった。この旅の終着点に向かおう。			友の微笑み							
エモートアクション「イイ！」を覚えた！			エモートアクション「イイ！」を覚えた！			友の微笑み							
