ヤーンの大穴のビッグスは、一息ついたようだ。			ヤーンの大穴のビッグスは、一息ついたようだ。			翼に夢を							
アルファは、先に進むつもりのようだ。被検世界「シグマ」第二層へ、ともに突入しよう。			アルファは、先に進むつもりのようだ。被検世界「シグマ」第二層へ、ともに突入しよう。			未完成な美術品							
クエッ……？クエッ、クエーッ！			クエッ……？クエッ、クエーッ！			未完成な美術品							
悪霊もお株を奪われて散々だろうよ。ククッ、楽しい実験だったな！			悪霊もお株を奪われて散々だろうよ。ククッ、楽しい実験だったな！			未完成な美術品							
クエ……クエ……クエッ！			クエ……クエ……クエッ！			未完成な美術品							
よく戻ってくれた、Forename！色塗りしながら戦う姿には、いつも以上にハラハラしたが……文句なしの大勝利だな！			よく戻ってくれた、Forename！色塗りしながら戦う姿には、いつも以上にハラハラしたが……文句なしの大勝利だな！			未完成な美術品							
チョコボの筆も、ちゃんと動作したようで何よりだ。			チョコボの筆も、ちゃんと動作したようで何よりだ。			未完成な美術品							
動作したというか、させたというか……。ま、オレたち裏方の作業も、そこそこ楽しかったぜ？			動作したというか、させたというか……。ま、オレたち裏方の作業も、そこそこ楽しかったぜ？			未完成な美術品							
だが、そいつは対象を今回の空間と相手にかぎったから、どうにかこうにか実用できたンだ。使い回しが利くとは思うなよ。			だが、そいつは対象を今回の空間と相手にかぎったから、どうにかこうにか実用できたンだ。使い回しが利くとは思うなよ。			未完成な美術品							
っと……。ああ、俺だが……何かあったのか？			っと……。ああ、俺だが……何かあったのか？			未完成な美術品							
…………！そうか、わかった。すぐに伝えて、上に向かおう。			…………！そうか、わかった。すぐに伝えて、上に向かおう。			未完成な美術品							
ジェシーから連絡だ。ビッグスとウェッジが目を覚まして、ヤーンの大穴前まで応援に来てくれているらしい。			ジェシーから連絡だ。ビッグスとウェッジが目を覚まして、ヤーンの大穴前まで応援に来てくれているらしい。			未完成な美術品							
よかったら、休憩がてら上へ戻って、会ってやってくれないか？			よかったら、休憩がてら上へ戻って、会ってやってくれないか？			未完成な美術品							
そういうことなら、オレはパスだ。あいつらよりも大事なカワイコチャンが、データの海の中で、お待ちかねなンでね。			そういうことなら、オレはパスだ。あいつらよりも大事なカワイコチャンが、データの海の中で、お待ちかねなンでね。			未完成な美術品							
……やれやれ。それじゃ、俺たち3人だけで、地上に向かうとしよう。			……やれやれ。それじゃ、俺たち3人だけで、地上に向かうとしよう。			未完成な美術品							
ふたりとも、もう立てるんだな……！よかった……本当に……。			ふたりとも、もう立てるんだな……！よかった……本当に……。			未完成な美術品							
わっ、Surnameも来てくれたッス！？			わっ、Surnameも来てくれたッス！？			未完成な美術品							
クエッ！　クエッ！			クエッ！　クエッ！			未完成な美術品							
おつかれさまです！あちらで、ビッグスさんとウェッジさんが、お待ちのようですよ。			おつかれさまです！あちらで、ビッグスさんとウェッジさんが、お待ちのようですよ。			未完成な美術品							
親方、Surname、それにアルファも！大事な戦いの最中だってのに、呼び出しちまって、すみません……。			親方、Surname、それにアルファも！大事な戦いの最中だってのに、呼び出しちまって、すみません……。			未完成な美術品							
お前たちが起きたとなれば、駆けつけたくもなるさ。だが……もう歩いて平気なのか？			お前たちが起きたとなれば、駆けつけたくもなるさ。だが……もう歩いて平気なのか？			未完成な美術品							
いやぁ、治療師センセイのお叱りはあとで。親方たちが再度「次元の狭間」に向かったって聞いたら、いてもたってもいられなくてですね……。			いやぁ、治療師センセイのお叱りはあとで。親方たちが再度「次元の狭間」に向かったって聞いたら、いてもたってもいられなくてですね……。			未完成な美術品							
ちゃ、ちゃんと人手は足りてるッス……？無茶してないッス……！？			ちゃ、ちゃんと人手は足りてるッス……？無茶してないッス……！？			未完成な美術品							
気の利く部下がいないおかげで、ケトルに水も入れられないのかと、叱られたがな。……大丈夫、どうにかなってるさ。			気の利く部下がいないおかげで、ケトルに水も入れられないのかと、叱られたがな。……大丈夫、どうにかなってるさ。			未完成な美術品							
Forenameは強い。アルファも怖気づかずに同行してくれているし、ネロも、なんだかんだいいながら力を貸してくれてる。			Forenameは強い。アルファも怖気づかずに同行してくれているし、ネロも、なんだかんだいいながら力を貸してくれてる。			未完成な美術品							
相変わらずオメガは脅威だし、検証の相手は手ごわいが……俺たちはまだ、折れちゃいないさ。だからお前たちは、自分の治療に専念してくれ。			相変わらずオメガは脅威だし、検証の相手は手ごわいが……俺たちはまだ、折れちゃいないさ。だからお前たちは、自分の治療に専念してくれ。			未完成な美術品							
そいつを聞いて、少し安心しました。けど、もしもピンチになったら、オレたちは這ってでも来るんで、必ず呼んでくださいよ！			そいつを聞いて、少し安心しました。けど、もしもピンチになったら、オレたちは這ってでも来るんで、必ず呼んでくださいよ！			未完成な美術品							
アルファ、いいッス？その制服を着たら、お前も立派な、ガーロンド・アイアンワークスの仲間ッス。			アルファ、いいッス？その制服を着たら、お前も立派な、ガーロンド・アイアンワークスの仲間ッス。			未完成な美術品							
困ったときは周りに助けをもとめて、周りが困ってたら、助けてあげるッス。そうして独りじゃできないことをするのが、仲間ッス！			困ったときは周りに助けをもとめて、周りが困ってたら、助けてあげるッス。そうして独りじゃできないことをするのが、仲間ッス！			未完成な美術品							
オイラたちは、もう少し留守にするから……親方やSurname、仲間のことを、お前が助けてあげてほしいッス。			オイラたちは、もう少し留守にするから……親方やSurname、仲間のことを、お前が助けてあげてほしいッス。			未完成な美術品							
クエッ！			クエッ！			未完成な美術品							
そうだ、ささやかだが差し入れを持ってきたんだ。うちの社員の必需品、「元気が出るドリンク」だぞ！グビッと飲んで、必ず、勝ち抜いてくれ……！			そうだ、ささやかだが差し入れを持ってきたんだ。うちの社員の必需品、「元気が出るドリンク」だぞ！グビッと飲んで、必ず、勝ち抜いてくれ……！			未完成な美術品							
さて、お次だ……。三層の相手は、強いだろうが、それだけだ。遊び甲斐は……なしだな。			さて、お次だ……。三層の相手は、強いだろうが、それだけだ。遊び甲斐は……なしだな。			未完成な美術品							
問題は、その次……四層のヤツだ。この手の「めちゃくちゃ」に規則を見つけることにこそ、知識とセンスが発揮されるンだが……。			問題は、その次……四層のヤツだ。この手の「めちゃくちゃ」に規則を見つけることにこそ、知識とセンスが発揮されるンだが……。			未完成な美術品							
フン……突拍子もない行動、あるいは嘘まみれの行動でも、最後は必ず、世の法則に従って実行されるンだ。とすれば、そこを細緻に検知できれば……。			フン……突拍子もない行動、あるいは嘘まみれの行動でも、最後は必ず、世の法則に従って実行されるンだ。とすれば、そこを細緻に検知できれば……。			未完成な美術品							
ウエッ……！なンだこりゃ、しょっぱいぞ……！？			ウエッ……！なンだこりゃ、しょっぱいぞ……！？			未完成な美術品							
……そういや、アルファがさっき、ケトルのそばにカードを置いてやがったな。それのせいか……？			……そういや、アルファがさっき、ケトルのそばにカードを置いてやがったな。それのせいか……？			未完成な美術品							
状況……破損したアルファグループの一員に、修復の兆しあり。彼らへの負荷を維持するため、代替となるイベントの発生が望まれます。			状況……破損したアルファグループの一員に、修復の兆しあり。彼らへの負荷を維持するため、代替となるイベントの発生が望まれます。			未完成な美術品							
ラールガーズリーチのジェシーは、深刻な面持ちだ。			ラールガーズリーチのジェシーは、深刻な面持ちだ。			再び次元の狭間へ							
前回までの冒険録：ガーロンド・アイアンワークスの面々と合流した冒険者は、神龍を捕縛したのちに行方をくらませたとされる、古代兵器「オメガ」を追うことになった。異変を追って訪れたヤーンの大穴で、チョコボらしき生き物「アルファ」と出会い、ともにオメガの根城「次元の狭間」へと突入する。そこで行われていたのは、オメガの獲物となりうる強い敵を選び出すための検証だった。検証に参加することになった冒険者たちは、対戦相手である被検世界「デルタ」の強敵たちをくだす。しかし、別行動を取っていたビッグスとウェッジが、オメガの襲撃によって大けがを負ってしまった。オメガの目的は、戦闘力で劣るはずの生命が、強大な敵を打ち倒すという、歴史上くりかえされてきた矛盾の解明……。その実証者として選ばれてしまった冒険者たちは、オメガの用意した過酷な戦いを続けることになったのだった。　　　　　　　　　　　　*　*　*ジェシーたちから、再び大穴に異変が観測されたことを告げられた。ギラバニア辺境地帯のヤーンの大穴にいる「シド」と話そう。			前回までの冒険録：ガーロンド・アイアンワークスの面々と合流した冒険者は、神龍を捕縛したのちに行方をくらませたとされる、古代兵器「オメガ」を追うことになった。異変を追って訪れたヤーンの大穴で、チョコボらしき生き物「アルファ」と出会い、ともにオメガの根城「次元の狭間」へと突入する。そこで行われていたのは、オメガの獲物となりうる強い敵を選び出すための検証だった。検証に参加することになった冒険者たちは、対戦相手である被検世界「デルタ」の強敵たちをくだす。しかし、別行動を取っていたビッグスとウェッジが、オメガの襲撃によって大けがを負ってしまった。オメガの目的は、戦闘力で劣るはずの生命が、強大な敵を打ち倒すという、歴史上くりかえされてきた矛盾の解明……。その実証者として選ばれてしまった冒険者たちは、オメガの用意した過酷な戦いを続けることになったのだった。　　　　　　　　　　　　*　*　*ジェシーたちから、再び大穴に異変が観測されたことを告げられた。ギラバニア辺境地帯のヤーンの大穴にいる「シド」と話そう。			再び次元の狭間へ							
シドと話し、再びオメガのもとを目指すことになった。ヤーンの大穴から次元の狭間を目指そう。			シドと話し、再びオメガのもとを目指すことになった。ヤーンの大穴から次元の狭間を目指そう。			再び次元の狭間へ							
次元の狭間に到達し、戦闘力の再計測を終えた。次元の狭間の「シド」と話そう。一度外に出た場合は、ヤーンの大穴にいる「ガーロンド社の調査員」が、次元の狭間へ案内してくれるようだ。			次元の狭間に到達し、戦闘力の再計測を終えた。次元の狭間の「シド」と話そう。一度外に出た場合は、ヤーンの大穴にいる「ガーロンド社の調査員」が、次元の狭間へ案内してくれるようだ。			再び次元の狭間へ							
シドと話した。調査拠点の準備も整ったようだ。被検世界シグマでの戦いをはじめよう。			シドと話した。調査拠点の準備も整ったようだ。被検世界シグマでの戦いをはじめよう。			再び次元の狭間へ							
ヤーンの大穴のシドと話す			ヤーンの大穴のシドと話す			再び次元の狭間へ							
シドと話す			シドと話す			再び次元の狭間へ							
障害を排除して先へ進め！			障害を排除して先へ進め！			再び次元の狭間へ							
ポイントIIを突破しろ！			ポイントIIを突破しろ！			再び次元の狭間へ							
ポイントIIIを突破しろ！			ポイントIIIを突破しろ！			再び次元の狭間へ							
ポイントIVを突破しろ！			ポイントIVを突破しろ！			再び次元の狭間へ							
Surname……。オメガの根城「次元の狭間」と繋がっている、「ヤーンの大穴」に異変が観測されたわ。			Surname……。オメガの根城「次元の狭間」と繋がっている、「ヤーンの大穴」に異変が観測されたわ。			再び次元の狭間へ							
次の検証とやらの準備が、整ったのかもしれない……。すぐに会長たちが来るから、あなたも一緒に話を聞いていって。			次の検証とやらの準備が、整ったのかもしれない……。すぐに会長たちが来るから、あなたも一緒に話を聞いていって。			再び次元の狭間へ							
それじゃ、会長……。			それじゃ、会長……。			再び次元の狭間へ							
現地で観察にあたっていた、うちの社の調査員から、「大穴の内部に、謎の構造物が出現」との報告が入った。			現地で観察にあたっていた、うちの社の調査員から、「大穴の内部に、謎の構造物が出現」との報告が入った。			再び次元の狭間へ							
……前回の、ことの発端を思いだしてほしい。あのとき、大穴の異変を知った俺たちが現地へ向かうと、アルファとアルテ・ロイテが飛び出してきたんだったな。			……前回の、ことの発端を思いだしてほしい。あのとき、大穴の異変を知った俺たちが現地へ向かうと、アルファとアルテ・ロイテが飛び出してきたんだったな。			再び次元の狭間へ							
それが兵器オメガの思惑だとも知らず、「次元の狭間」へ進入したオレたちは、奴の検証につきあうことになった……。			それが兵器オメガの思惑だとも知らず、「次元の狭間」へ進入したオレたちは、奴の検証につきあうことになった……。			再び次元の狭間へ							
検証……ずばり、最強を決める戦いだ。相手は、オメガが観測したあらゆる歴史、伝承から再現された、奴のライバルたりえる存在たち……。			検証……ずばり、最強を決める戦いだ。相手は、オメガが観測したあらゆる歴史、伝承から再現された、奴のライバルたりえる存在たち……。			再び次元の狭間へ							
勝ち抜いたあかつきには、なンと！オメガ大先生と直接対決できるらしいぞ。嬉しいなぁ、オイ！			勝ち抜いたあかつきには、なンと！オメガ大先生と直接対決できるらしいぞ。嬉しいなぁ、オイ！			再び次元の狭間へ							
……お前にかぎっては、本当に嬉しいのかもしれないがな。			……お前にかぎっては、本当に嬉しいのかもしれないがな。			再び次元の狭間へ							
ともかく、俺たちはオメガの検証に参加しなければならない。むこうの望みがどうあれ、オメガの造る怪物を、この地上に解き放つわけにはいかないからな。			ともかく、俺たちはオメガの検証に参加しなければならない。むこうの望みがどうあれ、オメガの造る怪物を、この地上に解き放つわけにはいかないからな。			再び次元の狭間へ							
そして今回、再び大穴に異変が起きた……。前回の経験をふまえるに、まず間違いなく、オメガからの呼び出しだろう。			そして今回、再び大穴に異変が起きた……。前回の経験をふまえるに、まず間違いなく、オメガからの呼び出しだろう。			再び次元の狭間へ							
新たな検証がはじまるんだ。Forename……行けそうか？			新たな検証がはじまるんだ。Forename……行けそうか？			再び次元の狭間へ							
……でも、オメガにやられたビッグスとウェッジは、まだ動けるような状態じゃないわ。			……でも、オメガにやられたビッグスとウェッジは、まだ動けるような状態じゃないわ。			再び次元の狭間へ							
ああ……。今回は、俺とネロだけで、Forenameをサポートするしかない。			ああ……。今回は、俺とネロだけで、Forenameをサポートするしかない。			再び次元の狭間へ							
それでも、前線に立ってくれるお前のために、全力で努めさせてもらうつもりだ。……勝とう、必ず！			それでも、前線に立ってくれるお前のために、全力で努めさせてもらうつもりだ。……勝とう、必ず！			再び次元の狭間へ							
クエッ！			クエッ！			再び次元の狭間へ							
アルファも、がんばるっていってるみたいね。			アルファも、がんばるっていってるみたいね。			再び次元の狭間へ							
……あっ、そうだ！大事なことを忘れてたわ。アルファ、ちょっとこっちに来てくれる？			……あっ、そうだ！大事なことを忘れてたわ。アルファ、ちょっとこっちに来てくれる？			再び次元の狭間へ							
おっ、うちの制服を着せてもらったのか！よかったじゃないか、アルファ。			おっ、うちの制服を着せてもらったのか！よかったじゃないか、アルファ。			再び次元の狭間へ							
一緒に調査をする仲間ですからね。「次元の狭間」は危険な場所だっていうし、少しでも身を守れた方がいいかなって。			一緒に調査をする仲間ですからね。「次元の狭間」は危険な場所だっていうし、少しでも身を守れた方がいいかなって。			再び次元の狭間へ							
ああ、でかしたぞジェシー。すまない、俺はてっきり、商品化のためにアルファの採寸をしていたのかと……。			ああ、でかしたぞジェシー。すまない、俺はてっきり、商品化のためにアルファの採寸をしていたのかと……。			再び次元の狭間へ							
これは、これ。それは、それ。			これは、これ。それは、それ。			再び次元の狭間へ							
何と言う？			何と言う？			再び次元の狭間へ							
……いいなぁ			……いいなぁ			再び次元の狭間へ							
自分の装備は？			自分の装備は？			再び次元の狭間へ							
そうかぁ？こンな野暮ったい制服、自己流に改造しなきゃ、とてもじゃないが街を歩けないぜ！			そうかぁ？こンな野暮ったい制服、自己流に改造しなきゃ、とてもじゃないが街を歩けないぜ！			再び次元の狭間へ							
いいじゃない、技術者の服としては最適よ？頑丈な布地だし、機能的なデザインだし、ストレス発散がてらゴシゴシ洗うのにちょうどいいし。			いいじゃない、技術者の服としては最適よ？頑丈な布地だし、機能的なデザインだし、ストレス発散がてらゴシゴシ洗うのにちょうどいいし。			再び次元の狭間へ							
さすがに、英雄の役には立てないと思ったんだけど……もし同じものがほしいようであれば、ぜひぜひ、服飾部に連絡をとってみてね！			さすがに、英雄の役には立てないと思ったんだけど……もし同じものがほしいようであれば、ぜひぜひ、服飾部に連絡をとってみてね！			再び次元の狭間へ							
お姉お兄ちゃんでしょ、我慢しなさい！というか、あなたが今着てる装備の方が、よっぽどいい品じゃない？			お姉お兄ちゃんでしょ、我慢しなさい！というか、あなたが今着てる装備の方が、よっぽどいい品じゃない？			再び次元の狭間へ							
……っていうのは冗談としても、あなたほど激闘をする人の装備は、この制服じゃダメよ。特殊素材や専用仕様で作らないとね。			……っていうのは冗談としても、あなたほど激闘をする人の装備は、この制服じゃダメよ。特殊素材や専用仕様で作らないとね。			再び次元の狭間へ							
その準備さえ整えてくれたら、担当者たちが、一周まわっちゃった恍惚の笑みを浮かべつつ、残業代抜きで、責任もって良い品を製作するから……よろしくね！			その準備さえ整えてくれたら、担当者たちが、一周まわっちゃった恍惚の笑みを浮かべつつ、残業代抜きで、責任もって良い品を製作するから……よろしくね！			再び次元の狭間へ							
ま、なンでもいいさ。準備が整ったなら、ピーリングストーンズの南……「ヤーンの大穴」に向かうとしようぜ。			ま、なンでもいいさ。準備が整ったなら、ピーリングストーンズの南……「ヤーンの大穴」に向かうとしようぜ。			再び次元の狭間へ							
オメガ大先生が、お待ちかねだ！			オメガ大先生が、お待ちかねだ！			再び次元の狭間へ							
「ヤーンの大穴」は、ギラバニア辺境地帯……ピーリングストーンズの南よ。調査、くれぐれも気をつけてね……！			「ヤーンの大穴」は、ギラバニア辺境地帯……ピーリングストーンズの南よ。調査、くれぐれも気をつけてね……！			再び次元の狭間へ							
クク……。お前もちょっと見てみろよ。見覚えのある残骸が浮いてるぞ。			クク……。お前もちょっと見てみろよ。見覚えのある残骸が浮いてるぞ。			再び次元の狭間へ							
クエッ？……クエッ！			クエッ？……クエッ！			再び次元の狭間へ							
報告どおり、大穴内部の様子が変わっているな。オメガからの招待状か……。			報告どおり、大穴内部の様子が変わっているな。オメガからの招待状か……。			再び次元の狭間へ							
Forename、検証に臨む準備はいいか？			Forename、検証に臨む準備はいいか？			再び次元の狭間へ							
それでは、これより「次元の狭間」に向かう。大穴に飛び込むぞ！			それでは、これより「次元の狭間」に向かう。大穴に飛び込むぞ！			再び次元の狭間へ							
……再び、打って出るか。ならば我も、わずかばかり知恵と力を貸そう。			……再び、打って出るか。ならば我も、わずかばかり知恵と力を貸そう。			再び次元の狭間へ							
……来たな。「次元の狭間」ふたたびだ。			……来たな。「次元の狭間」ふたたびだ。			再び次元の狭間へ							
透けてもないし、異常もなし……と。			透けてもないし、異常もなし……と。			再び次元の狭間へ							
だが、よその様子は少し変わったか？あの卵みたいな「被検世界」の数が減っていやがる……。			だが、よその様子は少し変わったか？あの卵みたいな「被検世界」の数が減っていやがる……。			再び次元の狭間へ							
歓迎……歓迎……。アルファグループの、迅速な集合を評価します。			歓迎……歓迎……。アルファグループの、迅速な集合を評価します。			再び次元の狭間へ							
オメガ……。お前の検証は、ずいぶん進んでるようだな。			オメガ……。お前の検証は、ずいぶん進んでるようだな。			再び次元の狭間へ							
肯定……スケジュールに遅延はありません。現時点において、被検者は約半数に絞られています。			肯定……スケジュールに遅延はありません。現時点において、被検者は約半数に絞られています。			再び次元の狭間へ							
各被検世界での戦闘は継続中……今後も、より強い者が、選別されていくでしょう。			各被検世界での戦闘は継続中……今後も、より強い者が、選別されていくでしょう。			再び次元の狭間へ							
必然、果然、確然のプロセスです。ワタシの観測と予測から、外れているものはありません。			必然、果然、確然のプロセスです。ワタシの観測と予測から、外れているものはありません。			再び次元の狭間へ							
……唯一、アナタがたを除いては。			……唯一、アナタがたを除いては。			再び次元の狭間へ							
ガガガ……前回の記録です。興奮しますか？　否、しなさい。アナタがたは、ワタシの予測を越えなければならないのだから。			ガガガ……前回の記録です。興奮しますか？　否、しなさい。アナタがたは、ワタシの予測を越えなければならないのだから。			再び次元の狭間へ							
ヒト……すなわち脆弱な生命が勝利するという矛盾。それを解明し、自己に転用することで、ワタシは、ワタシをグレードアップするのです。			ヒト……すなわち脆弱な生命が勝利するという矛盾。それを解明し、自己に転用することで、ワタシは、ワタシをグレードアップするのです。			再び次元の狭間へ							
……哀れな兵器よ。我らの戦争がおわって幾星霜、なおそう在ることしかできぬ。汝の母星とて、今はどうなっているか知れぬだろうに……。			……哀れな兵器よ。我らの戦争がおわって幾星霜、なおそう在ることしかできぬ。汝の母星とて、今はどうなっているか知れぬだろうに……。			再び次元の狭間へ							
不要……その議論は無意味です。ワタシは仕様どおりに戦い、勝利し、進化して、＊＊＊＊＊に帰投…………			不要……その議論は無意味です。ワタシは仕様どおりに戦い、勝利し、進化して、＊＊＊＊＊に帰投…………			再び次元の狭間へ							
……エラー、こちらの言語形態では発音が困難です。会話を終了し、検証に復帰します。			……エラー、こちらの言語形態では発音が困難です。会話を終了し、検証に復帰します。			再び次元の狭間へ							
更新……アナタがたの装備に変更がみられます。現在の戦闘力の予測値は算出ずみですが、これより、実測を開始します。			更新……アナタがたの装備に変更がみられます。現在の戦闘力の予測値は算出ずみですが、これより、実測を開始します。			再び次元の狭間へ							
アルファグループ、前進を。障害を排除しつつ、ゴール地点を目指しなさい。			アルファグループ、前進を。障害を排除しつつ、ゴール地点を目指しなさい。			再び次元の狭間へ							
……だとよ。そンじゃ、今回も準備運動からはじめるか！			……だとよ。そンじゃ、今回も準備運動からはじめるか！			再び次元の狭間へ							
カード……？よくわからないが、お前も戦ってくれるのか？			カード……？よくわからないが、お前も戦ってくれるのか？			再び次元の狭間へ							
ふむ、すでに活動が許可されているこのロビーでなら、アルファも一緒に戦えるわけか……。なら、頼りにさせてもらうぞ！			ふむ、すでに活動が許可されているこのロビーでなら、アルファも一緒に戦えるわけか……。なら、頼りにさせてもらうぞ！			再び次元の狭間へ							
合流……って、おいおい……。お前らの方も、ずいぶン手こずってるなぁ？			合流……って、おいおい……。お前らの方も、ずいぶン手こずってるなぁ？			再び次元の狭間へ							
クク……。念のために準備していた「アレ」……試運転には、ちょうどいいじゃあないかッ！			クク……。念のために準備していた「アレ」……試運転には、ちょうどいいじゃあないかッ！			再び次元の狭間へ							
待たせたなッ！XLVIII式魔導甲冑「アイアン・ネロ」、そして、次世代ガンハンマー「マイティ・ミョルニル」だッ！			待たせたなッ！XLVIII式魔導甲冑「アイアン・ネロ」、そして、次世代ガンハンマー「マイティ・ミョルニル」だッ！			再び次元の狭間へ							
オレ様の快進撃に震えな、ガーロンドォ！			オレ様の快進撃に震えな、ガーロンドォ！			再び次元の狭間へ							
「次元の狭間」での戦い、おつかれさまです！大穴の中に降りますか？			「次元の狭間」での戦い、おつかれさまです！大穴の中に降りますか？			再び次元の狭間へ							
「次元の狭間」に移動しますか？			「次元の狭間」に移動しますか？			再び次元の狭間へ							
……もう敵は出てこないようだな。道も行き止まりになってる。			……もう敵は出てこないようだな。道も行き止まりになってる。			再び次元の狭間へ							
ふう……。今の状態じゃ、稼働時間はここらが限界か。ま、十分だろうさ……。			ふう……。今の状態じゃ、稼働時間はここらが限界か。ま、十分だろうさ……。			再び次元の狭間へ							
ネロの怪しい武装もだが……アルファ、お前の不思議なカードには驚いた。あれはいったい何なんだ？			ネロの怪しい武装もだが……アルファ、お前の不思議なカードには驚いた。あれはいったい何なんだ？			再び次元の狭間へ							
……ほかにもいくつかの道具を有していると、主張しておる。			……ほかにもいくつかの道具を有していると、主張しておる。			再び次元の狭間へ							
その者とて、ほかの被検者と同じく、オメガによって戦いのために再現された何某かなのだ。恐らく、その起源にまつわるものであろうよ。			その者とて、ほかの被検者と同じく、オメガによって戦いのために再現された何某かなのだ。恐らく、その起源にまつわるものであろうよ。			再び次元の狭間へ							
ガガガ……。戦闘力の計測……完了。			ガガガ……。戦闘力の計測……完了。			再び次元の狭間へ							
結果……現状では、予測値どおりです。そのままであれば、見どころある存在とは定義できません。とくに、ミドガルズオルム……アナタは最低です。			結果……現状では、予測値どおりです。そのままであれば、見どころある存在とは定義できません。とくに、ミドガルズオルム……アナタは最低です。			再び次元の狭間へ							
……汝ともあろうものが、我をまだ、かつてのような猛る龍と識ってか？			……汝ともあろうものが、我をまだ、かつてのような猛る龍と識ってか？			再び次元の狭間へ							
我の生は、とうの昔……子竜たちの卵を、この果ての星へと逃がしたときに、おわった。			我の生は、とうの昔……子竜たちの卵を、この果ての星へと逃がしたときに、おわった。			再び次元の狭間へ							
ハイデリンは、我らを宿命ごと受け入れた。我は対価として、要の地を守護する役を負った。以来は亡霊……星の手足よ。			ハイデリンは、我らを宿命ごと受け入れた。我は対価として、要の地を守護する役を負った。以来は亡霊……星の手足よ。			再び次元の狭間へ							
……認識に相違はありません。だからこそワタシは、この星に到達したものの目的を失った。自己修復を優先しつつ、次の標的を探すことになりました。			……認識に相違はありません。だからこそワタシは、この星に到達したものの目的を失った。自己修復を優先しつつ、次の標的を探すことになりました。			再び次元の狭間へ							
しかし、ならばなぜ、その者らに助力をするのか？			しかし、ならばなぜ、その者らに助力をするのか？			再び次元の狭間へ							
……単純な解だが、心なき汝にはわからぬか。			……単純な解だが、心なき汝にはわからぬか。			再び次元の狭間へ							
我は……我らの星は、汝らにずいぶんと鱗を剥がされたのでな。汝の音、汝の匂い、何もかもが逆鱗を撫でおる。ゆえに、我のわずかばかりの自由を貸しているだけよ。			我は……我らの星は、汝らにずいぶんと鱗を剥がされたのでな。汝の音、汝の匂い、何もかもが逆鱗を撫でおる。ゆえに、我のわずかばかりの自由を貸しているだけよ。			再び次元の狭間へ							
理解不能……ワタシを排除したいのならば、かつてのアナタと同等以上の性能が必要です。それが備えられないならば、すべては無駄な行動でしょう。			理解不能……ワタシを排除したいのならば、かつてのアナタと同等以上の性能が必要です。それが備えられないならば、すべては無駄な行動でしょう。			再び次元の狭間へ							
続行……アルファグループの今回の相手は、眼前の被検世界「シグマ」に決定されました。ただちに乗り込み、殲滅を試みなさい。			続行……アルファグループの今回の相手は、眼前の被検世界「シグマ」に決定されました。ただちに乗り込み、殲滅を試みなさい。			再び次元の狭間へ							
さて……準備はこンなもんかね。さっそく被検世界「シグマ」とやらの攻略をはじめようぜ？			さて……準備はこンなもんかね。さっそく被検世界「シグマ」とやらの攻略をはじめようぜ？			再び次元の狭間へ							
クエッ……。			クエッ……。			再び次元の狭間へ							
よし……。見てのとおり、今回の拠点の完成だ！			よし……。見てのとおり、今回の拠点の完成だ！			再び次元の狭間へ							
さっきの話……オメガの過去は気になるが、ミドガルズオルムは補足するつもりがないようだな……。なら、今は目前の相手に集中するべきだろう。			さっきの話……オメガの過去は気になるが、ミドガルズオルムは補足するつもりがないようだな……。なら、今は目前の相手に集中するべきだろう。			再び次元の狭間へ							
さあ、被検世界「シグマ」の攻略開始だ！			さあ、被検世界「シグマ」の攻略開始だ！			再び次元の狭間へ							
計測である以上、戦いは不可避……気をつけて進もう！			計測である以上、戦いは不可避……気をつけて進もう！			再び次元の狭間へ							
レベルチェッカーだな……。Forename、仕掛けるタイミングは任せる！			レベルチェッカーだな……。Forename、仕掛けるタイミングは任せる！			再び次元の狭間へ							
くっ、やはりバリアか！今回は、俺が解除する！			くっ、やはりバリアか！今回は、俺が解除する！			再び次元の狭間へ							
おい、アルファが罠に掛かっちまったぞ！しばらくは動けないか……！			おい、アルファが罠に掛かっちまったぞ！しばらくは動けないか……！			再び次元の狭間へ							
ふう、どうにかなったな……。			ふう、どうにかなったな……。			再び次元の狭間へ							
この程度の小細工じゃ、歓迎されてる気にならないがな！			この程度の小細工じゃ、歓迎されてる気にならないがな！			再び次元の狭間へ							
……油断はするなよ。先へ進もう。			……油断はするなよ。先へ進もう。			再び次元の狭間へ							
…………！？Forenameたちの姿がない！			…………！？Forenameたちの姿がない！			再び次元の狭間へ							
別々のところに飛ばされたのか……！ネロ、Forenameたちを探すぞ！			別々のところに飛ばされたのか……！ネロ、Forenameたちを探すぞ！			再び次元の狭間へ							
その前に、お客サンだ。再会は簡単じゃなさそうだぜ？			その前に、お客サンだ。再会は簡単じゃなさそうだぜ？			再び次元の狭間へ							
大勢でゴキゲンだなぁ、オイ！			大勢でゴキゲンだなぁ、オイ！			再び次元の狭間へ							
お前が、余計な挑発をするから……。			お前が、余計な挑発をするから……。			再び次元の狭間へ							
ハッ！　大型新人は、イキってなンぼ！			ハッ！　大型新人は、イキってなンぼ！			再び次元の狭間へ							
……まだだ。しばし、耐えしのげよ。			……まだだ。しばし、耐えしのげよ。			再び次元の狭間へ							
クエクエッ！			クエクエッ！			再び次元の狭間へ							
ほう……解呪の法とは……。仲間を真似たか。			ほう……解呪の法とは……。仲間を真似たか。			再び次元の狭間へ							
