調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			元冒険者の調理師							
薬代わりに毎日ピクシープラムを食べているというダイビング・ダヴは、冒険者が納品したドライプルーンを絶賛した。彼女は、「健康のために命を懸けている」という。彼女のように健康を保ちながら、調理の修練を続けよう。※調理師のレベルが25以上になると、リングサスから次の調理師クエストを受注することができます。			薬代わりに毎日ピクシープラムを食べているというダイビング・ダヴは、冒険者が納品したドライプルーンを絶賛した。彼女は、「健康のために命を懸けている」という。彼女のように健康を保ちながら、調理の修練を続けよう。※調理師のレベルが25以上になると、リングサスから次の調理師クエストを受注することができます。			癒しのレシピ							
ダイビング・ダヴにドライプルーンを納品			ダイビング・ダヴにドライプルーンを納品			癒しのレシピ							
おう、今日も元気に料理してるか？疲れってのはな、調理師にゃ禁物だぞ。料理にまで疲れが出ちまうからな。			おう、今日も元気に料理してるか？疲れってのはな、調理師にゃ禁物だぞ。料理にまで疲れが出ちまうからな。			癒しのレシピ							
とはいえ、いくら身体を鍛えてようが一日中立って調理してりゃ、疲れってのはどうしても溜まる。			とはいえ、いくら身体を鍛えてようが一日中立って調理してりゃ、疲れってのはどうしても溜まる。			癒しのレシピ							
なあ、ここはひとつその疲れを払拭する料理を作っちゃみないか。たとえば……「ドライプルーン」なんかどうだ？			なあ、ここはひとつその疲れを払拭する料理を作っちゃみないか。たとえば……「ドライプルーン」なんかどうだ？			癒しのレシピ							
「ドライプルーン」は「ピクシープラム」っていう、クルザス原産の果物を使って作る乾物だ。			「ドライプルーン」は「ピクシープラム」っていう、クルザス原産の果物を使って作る乾物だ。			癒しのレシピ							
生だとほろ苦い果実が、乾かすことで、疲れたときにゃもってこいの甘～い食い物に変わる。日持ちするから、船乗りからも愛される一品だ。			生だとほろ苦い果実が、乾かすことで、疲れたときにゃもってこいの甘～い食い物に変わる。日持ちするから、船乗りからも愛される一品だ。			癒しのレシピ							
ただピクシープラムは、ギルドショップのヨッシーは扱ってない。自力で採集するか、「西国際街商通り」の マーケットボードを見て、売りに出てないか探してみてくれ。			ただピクシープラムは、ギルドショップのヨッシーは扱ってない。自力で採集するか、「西国際街商通り」の マーケットボードを見て、売りに出てないか探してみてくれ。			癒しのレシピ							
できあがったら、厨房の窯で作業中の調理師「ダイビング・ダヴ」に1個届けてくれんか。特に、あいつが最近疲れてるみたいでな……。			できあがったら、厨房の窯で作業中の調理師「ダイビング・ダヴ」に1個届けてくれんか。特に、あいつが最近疲れてるみたいでな……。			癒しのレシピ							
へ、あたいに「ドライプルーン」を？マスター・リングサスからの差し入れだって？			へ、あたいに「ドライプルーン」を？マスター・リングサスからの差し入れだって？			癒しのレシピ							
これを食べてみればいいのかい？ふむ、ちょうど休憩の時間になったから、上に行って一口いただくさね。			これを食べてみればいいのかい？ふむ、ちょうど休憩の時間になったから、上に行って一口いただくさね。			癒しのレシピ							
こいつは、なかなかイケてる味じゃないか。程よい酸味としっかりした甘さが後引く感じさ。			こいつは、なかなかイケてる味じゃないか。程よい酸味としっかりした甘さが後引く感じさ。			癒しのレシピ							
……たしか、あんたは最近、マスター・リングサスが目をかけてる調理師だよね？			……たしか、あんたは最近、マスター・リングサスが目をかけてる調理師だよね？			癒しのレシピ							
ドライフルーツってのは、噛み千切ったとき、歯にしっとりした果肉がまとわりつく感じが決め手なんだよ。その点、あんたのは合格だ。			ドライフルーツってのは、噛み千切ったとき、歯にしっとりした果肉がまとわりつく感じが決め手なんだよ。その点、あんたのは合格だ。			癒しのレシピ							
昔からピクシープラムには、様々な薬効があると言われてるんだ。あたいも毎日、薬代わりに食べてるが、生だと渋くてね。			昔からピクシープラムには、様々な薬効があると言われてるんだ。あたいも毎日、薬代わりに食べてるが、生だと渋くてね。			癒しのレシピ							
だけど、あんたが作ったドライプルーンみたいに、乾燥させれば、甘味がぎゅっと凝縮される……。これなら、食べるのが楽しみになっちまうね。			だけど、あんたが作ったドライプルーンみたいに、乾燥させれば、甘味がぎゅっと凝縮される……。これなら、食べるのが楽しみになっちまうね。			癒しのレシピ							
にしても……なんでマスター・リングサスは、あんたに「ドライプルーン」を作らせたのかね？			にしても……なんでマスター・リングサスは、あんたに「ドライプルーン」を作らせたのかね？			癒しのレシピ							
……そういや、今朝マスター・リングサスに、最近あたいが疲れてるようだなって言われたっけ。			……そういや、今朝マスター・リングサスに、最近あたいが疲れてるようだなって言われたっけ。			癒しのレシピ							
うーん、そんなはずないんだけどねぇ。あたいは、健康のために命を懸けてるって自負してたんだけどな。			うーん、そんなはずないんだけどねぇ。あたいは、健康のために命を懸けてるって自負してたんだけどな。			癒しのレシピ							
そんなあたいの姿が、マスター・リングサスには無理してるように見えたのかねぇ。忙しいお人なのに、厨房の調理師をよく見てるもんだ。			そんなあたいの姿が、マスター・リングサスには無理してるように見えたのかねぇ。忙しいお人なのに、厨房の調理師をよく見てるもんだ。			癒しのレシピ							
あんたも、マスター・リングサスに心配かけないように、健康には気を付けなよ？調理師は、鍋を振るえるうちが旬なんだからさ。			あんたも、マスター・リングサスに心配かけないように、健康には気を付けなよ？調理師は、鍋を振るえるうちが旬なんだからさ。			癒しのレシピ							
調理師ギルドのリングサスは、冒険者に頼みたいことがあるようだ。			調理師ギルドのリングサスは、冒険者に頼みたいことがあるようだ。			起死回生のレシピ							
リングサスは、冒険者にイングハムの面倒を見てほしいのだという。落ち込んでいる調理師ギルドの「イングハム」に話を聞こう。			リングサスは、冒険者にイングハムの面倒を見てほしいのだという。落ち込んでいる調理師ギルドの「イングハム」に話を聞こう。			起死回生のレシピ							
イングハムに話を聞くと、不味い料理を出してお客様を怒らせてしまったという。レストラン「ビスマルク」のテラス席で、ご立腹のお客様「メーティマガ」に話を聞こう。			イングハムに話を聞くと、不味い料理を出してお客様を怒らせてしまったという。レストラン「ビスマルク」のテラス席で、ご立腹のお客様「メーティマガ」に話を聞こう。			起死回生のレシピ							
メーティマガはイングハムをクビにするよう、店に抗議しようとしている。彼の機嫌を直すため、「ミコッテ風山の幸串焼」を1個調理し、「メーティマガ」に届けよう。			メーティマガはイングハムをクビにするよう、店に抗議しようとしている。彼の機嫌を直すため、「ミコッテ風山の幸串焼」を1個調理し、「メーティマガ」に届けよう。			起死回生のレシピ							
メーティマガは、冒険者の作ったミコッテ風山の幸串焼に、大いに満足したようだ。調理師ギルドの「リングサス」に事の次第を報告しよう。			メーティマガは、冒険者の作ったミコッテ風山の幸串焼に、大いに満足したようだ。調理師ギルドの「リングサス」に事の次第を報告しよう。			起死回生のレシピ							
事情を聞くと、リングサスは冒険者をねぎらってくれた。リングサスはイングハムも冒険者も、一人前の調理師に育つまで見捨てないと言う。彼の期待に応えるべく、調理師としてさらなる修業を重ねよう。※調理師のレベルが20以上になると、リングサスから次の調理師クエストを受注することができます。			事情を聞くと、リングサスは冒険者をねぎらってくれた。リングサスはイングハムも冒険者も、一人前の調理師に育つまで見捨てないと言う。彼の期待に応えるべく、調理師としてさらなる修業を重ねよう。※調理師のレベルが20以上になると、リングサスから次の調理師クエストを受注することができます。			起死回生のレシピ							
イングハムと話す			イングハムと話す			起死回生のレシピ							
メーティマガと話す			メーティマガと話す			起死回生のレシピ							
メーティマガにミコッテ風山の幸串焼を納品			メーティマガにミコッテ風山の幸串焼を納品			起死回生のレシピ							
リングサスと話す			リングサスと話す			起死回生のレシピ							
おう、元気そうだな。精進も重ねてるようで、なによりだ。なあに、隠したって、調理でつけた手指の傷でわかるのさ。			おう、元気そうだな。精進も重ねてるようで、なによりだ。なあに、隠したって、調理でつけた手指の傷でわかるのさ。			起死回生のレシピ							
もっとも俺から見たら、まだまだだがな！それでも、お前さんの成長ぶりが、他の調理師へのいい刺激になってるのは事実だ。			もっとも俺から見たら、まだまだだがな！それでも、お前さんの成長ぶりが、他の調理師へのいい刺激になってるのは事実だ。			起死回生のレシピ							
イングハムなんて、お前に対抗心燃やして、頑張りまくってるぜ。だが、ちょっと張り切り過ぎて、もめ事が起きちまった。			イングハムなんて、お前に対抗心燃やして、頑張りまくってるぜ。だが、ちょっと張り切り過ぎて、もめ事が起きちまった。			起死回生のレシピ							
なのにあいつ、どうも俺には打ち明けづらいのか自分で抱え込んじまってるんだ。お前さん、あいつから話を聞いてきてくれんか？			なのにあいつ、どうも俺には打ち明けづらいのか自分で抱え込んじまってるんだ。お前さん、あいつから話を聞いてきてくれんか？			起死回生のレシピ							
お前……何だよ、用でもあるのかよ？それとも、俺を笑いに来たのか？……いや、またマスター・リングサスの差し金か！？			お前……何だよ、用でもあるのかよ？それとも、俺を笑いに来たのか？……いや、またマスター・リングサスの差し金か！？			起死回生のレシピ							
……悪ィ、お前に当たるのは筋違いだよな。いっつもドジ踏んでるのは俺だし、俺が全部悪いんだし。			……悪ィ、お前に当たるのは筋違いだよな。いっつもドジ踏んでるのは俺だし、俺が全部悪いんだし。			起死回生のレシピ							
……でも暗くもなるさ。店のお得意様を、俺のせいで怒らせたんだぜ？俺、ずっと失敗続きだったから、焦っちまって……			……でも暗くもなるさ。店のお得意様を、俺のせいで怒らせたんだぜ？俺、ずっと失敗続きだったから、焦っちまって……			起死回生のレシピ							
お得意様の前で、いいところ見せようと思ってさ好物の「ミコッテ風山の幸串焼」を試食にお出ししたら逆に機嫌を損ねちまって……。			お得意様の前で、いいところ見せようと思ってさ好物の「ミコッテ風山の幸串焼」を試食にお出ししたら逆に機嫌を損ねちまって……。			起死回生のレシピ							
なんか店に抗議するって言ってるし……。俺の勝手で、店の名に泥ぬっちまうなんて……			なんか店に抗議するって言ってるし……。俺の勝手で、店の名に泥ぬっちまうなんて……			起死回生のレシピ							
今頃、お客様の機嫌が直ってたりしないかな……？頼むから、ちょっと様子を見てきてくれないか？テラス席にいらっしゃる「メーティマガ」様だ。			今頃、お客様の機嫌が直ってたりしないかな……？頼むから、ちょっと様子を見てきてくれないか？テラス席にいらっしゃる「メーティマガ」様だ。			起死回生のレシピ							
ん、なんだいあんた？見たところ調理師のようだが……			ん、なんだいあんた？見たところ調理師のようだが……			起死回生のレシピ							
もしかして、不味い「ミコッテ風山の幸串焼」を私に押し付けてきた調理師の代わりに、ワビでも入れに来たのか？			もしかして、不味い「ミコッテ風山の幸串焼」を私に押し付けてきた調理師の代わりに、ワビでも入れに来たのか？			起死回生のレシピ							
でもダメだね、不味いものは不味いと店に抗議するよ。それは私の信条ってやつだからね。しかし、「ビスマルク」も大丈夫なのかね？			でもダメだね、不味いものは不味いと店に抗議するよ。それは私の信条ってやつだからね。しかし、「ビスマルク」も大丈夫なのかね？			起死回生のレシピ							
あの程度の腕の調理師を雇ってたら名店「ビスマルク」の看板に傷がつくだろうに。それとも、安さがウリの屋台にでも方向転換したのか？			あの程度の腕の調理師を雇ってたら名店「ビスマルク」の看板に傷がつくだろうに。それとも、安さがウリの屋台にでも方向転換したのか？			起死回生のレシピ							
……おっと、評価に不満があるのかい？だったら調理師は言葉じゃない、料理で語るべきだろう？			……おっと、評価に不満があるのかい？だったら調理師は言葉じゃない、料理で語るべきだろう？			起死回生のレシピ							
「ミコッテ風山の幸串焼」を1個、作りなおしてもらおう。あんたの料理で、この私を黙らせてみせな。それができたら、店への抗議を取りやめよう。			「ミコッテ風山の幸串焼」を1個、作りなおしてもらおう。あんたの料理で、この私を黙らせてみせな。それができたら、店への抗議を取りやめよう。			起死回生のレシピ							
「ミコッテ風山の幸串焼」はまだかい？それとも、白旗を上げるのかい？			「ミコッテ風山の幸串焼」はまだかい？それとも、白旗を上げるのかい？			起死回生のレシピ							
へぇ、できたのかい。不味かったら、マスター・リングサスにすぐ抗議できるよう、厨房の方でじっくりと味見させてもらおうじゃないか。			へぇ、できたのかい。不味かったら、マスター・リングサスにすぐ抗議できるよう、厨房の方でじっくりと味見させてもらおうじゃないか。			起死回生のレシピ							
とりあえず一口食べさせてもらったが……悔しいけど、おいしいと言わざるを得ないね。			とりあえず一口食べさせてもらったが……悔しいけど、おいしいと言わざるを得ないね。			起死回生のレシピ							
まず焼き加減が素晴らしい！淡い焼き色ながら、鉄串を使ったお陰で、ドードーの肉が内側からも、しっかりと焼けている。			まず焼き加減が素晴らしい！淡い焼き色ながら、鉄串を使ったお陰で、ドードーの肉が内側からも、しっかりと焼けている。			起死回生のレシピ							
それでいて、焼き過ぎて焦げ臭くなることなく、食欲をそそる香ばしさが、しっかりと存在した。			それでいて、焼き過ぎて焦げ臭くなることなく、食欲をそそる香ばしさが、しっかりと存在した。			起死回生のレシピ							
そして口に入れたとき、まっさきに感じたのは、肉の深い味わい！香りで膨らみきった私の期待を完全に上回っていた。			そして口に入れたとき、まっさきに感じたのは、肉の深い味わい！香りで膨らみきった私の期待を完全に上回っていた。			起死回生のレシピ							
さらにルビートマトの酸味とパプリカの甘味が、肉の旨みを、見事に引き立てていた……。これこそまさに味のアンサンブル。			さらにルビートマトの酸味とパプリカの甘味が、肉の旨みを、見事に引き立てていた……。これこそまさに味のアンサンブル。			起死回生のレシピ							
私の完敗だよ、調理師さん。約束どおり、店への抗議は取りやめよう。マスター・リングサスが不在でも、まったく問題なかったな。			私の完敗だよ、調理師さん。約束どおり、店への抗議は取りやめよう。マスター・リングサスが不在でも、まったく問題なかったな。			起死回生のレシピ							
マスター・リングサスに伝えてくれ。あんたのような腕のいい調理師をもっと育てて、「ビスマルク」の味も、さらに向上させてくれ、とね。			マスター・リングサスに伝えてくれ。あんたのような腕のいい調理師をもっと育てて、「ビスマルク」の味も、さらに向上させてくれ、とね。			起死回生のレシピ							
ああ、留守中の話は聞いてるぞ。「ビスマルク」の上得意、メーティマガ様の機嫌を直してくれたそうだな。苦労かけた。			ああ、留守中の話は聞いてるぞ。「ビスマルク」の上得意、メーティマガ様の機嫌を直してくれたそうだな。苦労かけた。			起死回生のレシピ							
実は、さっきまでイングハムと話し合ってたんだ。あいつも反省してるし、お前にも感謝してたぞ。			実は、さっきまでイングハムと話し合ってたんだ。あいつも反省してるし、お前にも感謝してたぞ。			起死回生のレシピ							
自分で伝えろって言ったんだが、対抗心を持ってるからか、気まずいらしくてな。まあ、大目に見てやってくれ。			自分で伝えろって言ったんだが、対抗心を持ってるからか、気まずいらしくてな。まあ、大目に見てやってくれ。			起死回生のレシピ							
イングハムには、きっちり伝えたんだが、俺は、一度や二度の失敗で店をクビになんかしねぇよ。お客様は大切だが、それだけが全てじゃねぇんだ。			イングハムには、きっちり伝えたんだが、俺は、一度や二度の失敗で店をクビになんかしねぇよ。お客様は大切だが、それだけが全てじゃねぇんだ。			起死回生のレシピ							
どんな奴だって一人前の調理師にする。たとえ、俺や店の名声が揺らごうとな。			どんな奴だって一人前の調理師にする。たとえ、俺や店の名声が揺らごうとな。			起死回生のレシピ							
人を預かって物を教えるっていうことはそのくらいの覚悟がいるのさ。俺が守りたいのは、調理への情熱だけだからな。			人を預かって物を教えるっていうことはそのくらいの覚悟がいるのさ。俺が守りたいのは、調理への情熱だけだからな。			起死回生のレシピ							
もしも俺が誰かをクビにするってんなら、理由はひとつ。そいつが「調理師」でなくなったときだけだ。			もしも俺が誰かをクビにするってんなら、理由はひとつ。そいつが「調理師」でなくなったときだけだ。			起死回生のレシピ							
ま、お前に関しちゃ心配はねぇよ。もう新米扱いはできねぇ腕前だぜ。俺が保証する、これからも頑張れよな！			ま、お前に関しちゃ心配はねぇよ。もう新米扱いはできねぇ腕前だぜ。俺が保証する、これからも頑張れよな！			起死回生のレシピ							
調理師ギルドのリングサスは、またしても冒険者に頼みがあるようだ。			調理師ギルドのリングサスは、またしても冒険者に頼みがあるようだ。			助けるレシピ							
イングハムは、出前に必要な料理を作り忘れているようだ。リングサスは、冒険者にイングハムの失敗の尻ぬぐいをしてほしいらしい。「ドードーのグリル」を2皿調理し、調理師ギルドの「イングハム」に渡そう。			イングハムは、出前に必要な料理を作り忘れているようだ。リングサスは、冒険者にイングハムの失敗の尻ぬぐいをしてほしいらしい。「ドードーのグリル」を2皿調理し、調理師ギルドの「イングハム」に渡そう。			助けるレシピ							
イングハムにドードーのグリルを渡した。イングハムはお客様のために、冒険者の作ったドードーのグリルを受け取った。しかし、感謝よりも屈辱の気持ちのほうが強いようだ。彼の負けん気を見習って、冒険者ギルドのチャ・モクリから受けられるギルドリーヴの「製作稼業」などを活用しながら、調理師の腕を磨いていこう。※調理師のレベルが15以上になると、リングサスから次の調理師クエストを受注することができます。			イングハムにドードーのグリルを渡した。イングハムはお客様のために、冒険者の作ったドードーのグリルを受け取った。しかし、感謝よりも屈辱の気持ちのほうが強いようだ。彼の負けん気を見習って、冒険者ギルドのチャ・モクリから受けられるギルドリーヴの「製作稼業」などを活用しながら、調理師の腕を磨いていこう。※調理師のレベルが15以上になると、リングサスから次の調理師クエストを受注することができます。			助けるレシピ							
イングハムにドードーのグリルを納品			イングハムにドードーのグリルを納品			助けるレシピ							
よう！　この前は助かったぜ。レストラン「ビスマルク」のために、すまなかったな。すまないついでに、また力を貸しちゃくれねぇか？			よう！　この前は助かったぜ。レストラン「ビスマルク」のために、すまなかったな。すまないついでに、また力を貸しちゃくれねぇか？			助けるレシピ							
この間のイングハムが、どうも焦ってるようでな。レストラン「ビスマルク」の出前料理を任せてみたんだが1品、作り忘れちまってるんだ。			この間のイングハムが、どうも焦ってるようでな。レストラン「ビスマルク」の出前料理を任せてみたんだが1品、作り忘れちまってるんだ。			助けるレシピ							
このままじゃ、お客様にご迷惑がかかっちまう。お前さん「ドードーのグリル」を2皿作って出かける前の「イングハム」に届けてくれんか？			このままじゃ、お客様にご迷惑がかかっちまう。お前さん「ドードーのグリル」を2皿作って出かける前の「イングハム」に届けてくれんか？			助けるレシピ							
ガーリックで下味をつけたドードーの笹身を、じっくり焼き上げる料理だ。お前さんの腕なら問題なく作れるはずだ、頼んだぞ。			ガーリックで下味をつけたドードーの笹身を、じっくり焼き上げる料理だ。お前さんの腕なら問題なく作れるはずだ、頼んだぞ。			助けるレシピ							
え、「ドードーのグリル」を俺にくれるって？マスター・リングサスに頼まれたから？よく話が見えないんだが……？			え、「ドードーのグリル」を俺にくれるって？マスター・リングサスに頼まれたから？よく話が見えないんだが……？			助けるレシピ							
だいたい、俺はこれから出前に出るとこなんだ。お前に付き合ってる暇は……って、確か注文の品に！			だいたい、俺はこれから出前に出るとこなんだ。お前に付き合ってる暇は……って、確か注文の品に！			助けるレシピ							
……ああ、俺としたことが出前料理の「ドードーのグリル」を作り忘れてるじゃねーか！			……ああ、俺としたことが出前料理の「ドードーのグリル」を作り忘れてるじゃねーか！			助けるレシピ							
だめだっ、もう時間がない！お前が作った「ドードーのグリル」がお客様に出せるか、見せてもらうぜ。			だめだっ、もう時間がない！お前が作った「ドードーのグリル」がお客様に出せるか、見せてもらうぜ。			助けるレシピ							
おお、なんだこの「ドードーのグリル」は！シンプルな調理法だから、腕前がそのまま出る料理だが、これは実に見事な焼き加減……。			おお、なんだこの「ドードーのグリル」は！シンプルな調理法だから、腕前がそのまま出る料理だが、これは実に見事な焼き加減……。			助けるレシピ							
肉質が柔らかく、脂身が少ない笹身を強火で焼き上げることで、肉汁を閉じ込め、柔らかさを残しつつジューシーに仕上げたのか！			肉質が柔らかく、脂身が少ない笹身を強火で焼き上げることで、肉汁を閉じ込め、柔らかさを残しつつジューシーに仕上げたのか！			助けるレシピ							
なにより、黄金色の焼き色だけで十分に食欲を誘う。さらに、ガーリックの香りが肉の臭みを消すだけでなく食欲をさらに高めている！			なにより、黄金色の焼き色だけで十分に食欲を誘う。さらに、ガーリックの香りが肉の臭みを消すだけでなく食欲をさらに高めている！			助けるレシピ							
……正直、俺だったら、ここまでできなかった。お客様にとっちゃ、お前の料理が出前された方が結果的に幸せだったな。			……正直、俺だったら、ここまでできなかった。お客様にとっちゃ、お前の料理が出前された方が結果的に幸せだったな。			助けるレシピ							
ちくしょう、俺のバカ野郎！今度こそ名誉挽回するつもりだったのにっ！また、こいつに助けられるなんて！			ちくしょう、俺のバカ野郎！今度こそ名誉挽回するつもりだったのにっ！また、こいつに助けられるなんて！			助けるレシピ							
前も言ったが、お前に借りを作りたくない。耳寄りな情報をやるから、今回の件はこれでチャラにしてくれ。			前も言ったが、お前に借りを作りたくない。耳寄りな情報をやるから、今回の件はこれでチャラにしてくれ。			助けるレシピ							
ギルドリーヴの製作稼業ってのがあるんだが、こいつが調理師の修行にもってこいなんだ。			ギルドリーヴの製作稼業ってのがあるんだが、こいつが調理師の修行にもってこいなんだ。			助けるレシピ							
冒険者ギルドのチャ・モクリから、受けられるぜ。これで、せいぜい腕を磨くんだな。			冒険者ギルドのチャ・モクリから、受けられるぜ。これで、せいぜい腕を磨くんだな。			助けるレシピ							
調理師ギルドのリングサスは、冒険者の腕を見込んで頼みがあるようだ。			調理師ギルドのリングサスは、冒険者の腕を見込んで頼みがあるようだ。			戒めるレシピ							
ヘマをしたイングハムを元気づけるため、グリルドトラウトを作って差し入れしてほしいと、リングサスに依頼された。「グリルドトラウト」を1個調達し、調理師ギルドの「イングハム」に渡そう。			ヘマをしたイングハムを元気づけるため、グリルドトラウトを作って差し入れしてほしいと、リングサスに依頼された。「グリルドトラウト」を1個調達し、調理師ギルドの「イングハム」に渡そう。			戒めるレシピ							
イングハムにグリルドトラウトを渡した。彼から見れば後輩にあたる冒険者の腕前に、イングハムは驚いたようだ。対抗心を燃やすイングハムに負けないよう、彼からもらった「アマチュアクリナリーナイフ」も活用して、修行を続けよう。※調理師のレベルが10以上になると、リングサスから次の調理師クエストを受注することができます。			イングハムにグリルドトラウトを渡した。彼から見れば後輩にあたる冒険者の腕前に、イングハムは驚いたようだ。対抗心を燃やすイングハムに負けないよう、彼からもらった「アマチュアクリナリーナイフ」も活用して、修行を続けよう。※調理師のレベルが10以上になると、リングサスから次の調理師クエストを受注することができます。			戒めるレシピ							
イングハムにグリルドトラウトを納品			イングハムにグリルドトラウトを納品			戒めるレシピ							
よく来たな、いいタイミングだぞ。なぁお前さん、簡単な料理を作ってみねぇか？			よく来たな、いいタイミングだぞ。なぁお前さん、簡単な料理を作ってみねぇか？			戒めるレシピ							
……実は、ビスマルクの若い調理師がヘマしてよ……ちょいとへこんじまってるんで、なんとか元気づけてやりてぇのさ。			……実は、ビスマルクの若い調理師がヘマしてよ……ちょいとへこんじまってるんで、なんとか元気づけてやりてぇのさ。			戒めるレシピ							
まだ下っ端だし、失敗するのは仕方ないこった。しかし、いつまでも引きずってもらうのは困るんでな。			まだ下っ端だし、失敗するのは仕方ないこった。しかし、いつまでも引きずってもらうのは困るんでな。			戒めるレシピ							
あいつの好物でも食えば、気も紛れるんだろうが……。俺が作ったんじゃ、押し付けめいててなぁ。そこで、お前さんの腕を見込んで、頼んでるってわけさ。			あいつの好物でも食えば、気も紛れるんだろうが……。俺が作ったんじゃ、押し付けめいててなぁ。そこで、お前さんの腕を見込んで、頼んでるってわけさ。			戒めるレシピ							
魚商「ハイアライン」で買える「プリンセストラウト」から、焼き魚「グリルドトラウト」を1個作って厨房にいる「イングハム」って調理師に届けてやってくれ。			魚商「ハイアライン」で買える「プリンセストラウト」から、焼き魚「グリルドトラウト」を1個作って厨房にいる「イングハム」って調理師に届けてやってくれ。			戒めるレシピ							
後輩のお前さんが作るから、意味があるんだ。「後輩でもこれだけできる」ってのを見せてやりゃ、あいつのやる気、負けん気も戻ってくるだろうよ。			後輩のお前さんが作るから、意味があるんだ。「後輩でもこれだけできる」ってのを見せてやりゃ、あいつのやる気、負けん気も戻ってくるだろうよ。			戒めるレシピ							
ええっ、オレに差し入れがあるって？「グリルドトラウト」は確かにオレの好物だけど……。どうして差し入れなんか？			ええっ、オレに差し入れがあるって？「グリルドトラウト」は確かにオレの好物だけど……。どうして差し入れなんか？			戒めるレシピ							
マスター・リングサスに頼まれたって？飯でも食って、元気出せってか……。じゃあ、お前の料理とやらを見せてもらおうじゃねーか。			マスター・リングサスに頼まれたって？飯でも食って、元気出せってか……。じゃあ、お前の料理とやらを見せてもらおうじゃねーか。			戒めるレシピ							
この「グリルドトラウト」、本当にお前が作ったのか？ただの魚の塩焼きだってのに、香ばしい匂いだけで、腹が減ってきやがる……。			この「グリルドトラウト」、本当にお前が作ったのか？ただの魚の塩焼きだってのに、香ばしい匂いだけで、腹が減ってきやがる……。			戒めるレシピ							
焼き上げた皮の照りと、焦げ目の具合がますます食欲をそそる！			焼き上げた皮の照りと、焦げ目の具合がますます食欲をそそる！			戒めるレシピ							
これだけで、マスター・リングサスなら絶賛間違いなしだな。料理は五感で味わうもんだっていう、マスターの教えを忠実に守ってるからな。			これだけで、マスター・リングサスなら絶賛間違いなしだな。料理は五感で味わうもんだっていう、マスターの教えを忠実に守ってるからな。			戒めるレシピ							
なぁ……お前、確か新人だよな？　最近ギルドに入った。なのに、もうこんなに人を魅了する料理が作れるのかよ。			なぁ……お前、確か新人だよな？　最近ギルドに入った。なのに、もうこんなに人を魅了する料理が作れるのかよ。			戒めるレシピ							
オレなんて、魚を満足に焼けるようになるまで、半年以上もかかったってのにさ。			オレなんて、魚を満足に焼けるようになるまで、半年以上もかかったってのにさ。			戒めるレシピ							
クソッ、これが才能の差ってやつなのか？なんか腹立ってきたぞ……！決めた、オレはお前みたいな奴には負けねぇ！			クソッ、これが才能の差ってやつなのか？なんか腹立ってきたぞ……！決めた、オレはお前みたいな奴には負けねぇ！			戒めるレシピ							
……いや、ちょっと待て。「グリルドトラウト」の礼だけはしとく。この「アマチュアクリナリーナイフ」を持っていけよ。			……いや、ちょっと待て。「グリルドトラウト」の礼だけはしとく。この「アマチュアクリナリーナイフ」を持っていけよ。			戒めるレシピ							
こいつは「副道具」っていう、スキレットみたいな「主道具」と合わせて使う道具だ。作業がやりやすくなるから、試してみな。			こいつは「副道具」っていう、スキレットみたいな「主道具」と合わせて使う道具だ。作業がやりやすくなるから、試してみな。			戒めるレシピ							
勘違いするなよな、あくまでも借りを返しただけだ。さっきも言ったけど、オレは絶対にお前なんかに負けねぇ。お前がそのクリナリーナイフで、どれだけ修行してもだ！			勘違いするなよな、あくまでも借りを返しただけだ。さっきも言ったけど、オレは絶対にお前なんかに負けねぇ。お前がそのクリナリーナイフで、どれだけ修行してもだ！			戒めるレシピ							
装備を変更することによって「作業精度」「加工精度」「CP」を上昇させることができます。			装備を変更することによって「作業精度」「加工精度」「CP」を上昇させることができます。			戒めるレシピ							
「作業精度」は作業の進む量がアップし、「加工精度」は品質の上がる量がアップし、「CP」はCPの最大値がアップします。			「作業精度」は作業の進む量がアップし、「加工精度」は品質の上がる量がアップし、「CP」はCPの最大値がアップします。			戒めるレシピ							
製作の目的に合わせて、装備を整えていきましょう。			製作の目的に合わせて、装備を整えていきましょう。			戒めるレシピ							
調理師ギルドへの入門を認められた冒険者。受け取ったスキレットを装備して、リングサスに声をかけよう。			調理師ギルドへの入門を認められた冒険者。受け取ったスキレットを装備して、リングサスに声をかけよう。			味覚の要							
さっそくスキレットを使ってメープルシロップを調理してこいとのこと。メープルシロップの材料となる「メープル樹液」は、調理師ギルドのヨッシーから購入できる。「メープルシロップ」を1杯ぶん調達し、調理師ギルドの「リングサス」に渡そう。			さっそくスキレットを使ってメープルシロップを調理してこいとのこと。メープルシロップの材料となる「メープル樹液」は、調理師ギルドのヨッシーから購入できる。「メープルシロップ」を1杯ぶん調達し、調理師ギルドの「リングサス」に渡そう。			味覚の要							
リングサスにメープルシロップを納品したところ、新米にしては十分な腕前だと褒められた。慢心せずに努力を重ねたら、新しい試練を与えてやるというリングサス。調理師としての腕を磨くため、努力を続けよう。※調理師のレベルが5以上になると、リングサスから次の調理師クエストを受注することができます。			リングサスにメープルシロップを納品したところ、新米にしては十分な腕前だと褒められた。慢心せずに努力を重ねたら、新しい試練を与えてやるというリングサス。調理師としての腕を磨くため、努力を続けよう。※調理師のレベルが5以上になると、リングサスから次の調理師クエストを受注することができます。			味覚の要							
