トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
でも、アルカディアで闘うことだけは楽しかった。ボクもブルートボンバーと同じで、闘士「ハウリングブレード」という生き方がすべてなんだ。			でも、アルカディアで闘うことだけは楽しかった。ボクもブルートボンバーと同じで、闘士「ハウリングブレード」という生き方がすべてなんだ。			反則王のリベンジ							
その代償が魂蝕症による死だとしたら……おとなしく受け入れて、闘い続ける覚悟だよ。			その代償が魂蝕症による死だとしたら……おとなしく受け入れて、闘い続ける覚悟だよ。			反則王のリベンジ							
……おいで。			……おいで。			反則王のリベンジ							
なんで、そんなに簡単に死を受け入れるんだよ……。			なんで、そんなに簡単に死を受け入れるんだよ……。			反則王のリベンジ							
クソッ！なんで、なんでだよッ……！			クソッ！なんで、なんでだよッ……！			反則王のリベンジ							
……取り乱してすまない。命懸けでブルートボンバーを止めようとしてくれて、本当に、ありがとう……。			……取り乱してすまない。命懸けでブルートボンバーを止めようとしてくれて、本当に、ありがとう……。			反則王のリベンジ							
ブルートボンバーの遺体はアルカディアに回収されていって、彼は敗北を機に引退して去ったことにされたよ。何もなかったことにする、オーナーの汚い手口さ。			ブルートボンバーの遺体はアルカディアに回収されていって、彼は敗北を機に引退して去ったことにされたよ。何もなかったことにする、オーナーの汚い手口さ。			反則王のリベンジ							
だから、当然クルーザー級の試合も継続される。ただ、場外戦があった関係で、王者との試合までもう少しかかるそうだ。			だから、当然クルーザー級の試合も継続される。ただ、場外戦があった関係で、王者との試合までもう少しかかるそうだ。			反則王のリベンジ							
ところで、ネユニがいないけど、どこに行ったのかな……？			ところで、ネユニがいないけど、どこに行ったのかな……？			反則王のリベンジ							
ジム・トライテールのヤーナは、ネユニのことが心配なようだ。			ジム・トライテールのヤーナは、ネユニのことが心配なようだ。			黒猫と魔女							
ネユニが持つ端末の位置情報を探ったところ、彼女はエバーキープの外にいるようだった。ヘリテージファウンドのヤースラニ荒野東部にいる「ヤーナ」と話そう。			ネユニが持つ端末の位置情報を探ったところ、彼女はエバーキープの外にいるようだった。ヘリテージファウンドのヤースラニ荒野東部にいる「ヤーナ」と話そう。			黒猫と魔女							
ネユニを見つけたところに、ユトロープが現れ襲ってきた。ヤーナが魔物の魂を注入して応戦するが、ヤーナは魂蝕症を発症してしまう。ネユニが魂蝕症の治療法を見つけたことを語ると、ユトロープは冒険者に謝罪して倒れてしまうのだった。ジム・トライテールに戻り、「ヤーナ」と話そう。			ネユニを見つけたところに、ユトロープが現れ襲ってきた。ヤーナが魔物の魂を注入して応戦するが、ヤーナは魂蝕症を発症してしまう。ネユニが魂蝕症の治療法を見つけたことを語ると、ユトロープは冒険者に謝罪して倒れてしまうのだった。ジム・トライテールに戻り、「ヤーナ」と話そう。			黒猫と魔女							
ハウリングブレードに引退の約束を取りつけるため、ヤーナの発案で、ハニー・Ｂ・ラブリーの配信番組に出ることになった。ソリューション・ナインのモザイク・コーヒー付近にいる「ハニー・Ｂ・ラブリー」と話そう。			ハウリングブレードに引退の約束を取りつけるため、ヤーナの発案で、ハニー・Ｂ・ラブリーの配信番組に出ることになった。ソリューション・ナインのモザイク・コーヒー付近にいる「ハニー・Ｂ・ラブリー」と話そう。			黒猫と魔女							
ハウリングブレードに引退の約束を取りつけた。アルカディア・ソサエティの控室に向かい、「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			ハウリングブレードに引退の約束を取りつけた。アルカディア・ソサエティの控室に向かい、「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			黒猫と魔女							
ヤーナは、あとは冒険者頼みだという。ハウリングブレードとの戦いに備えて、またヤーナに声をかけよう。			ヤーナは、あとは冒険者頼みだという。ハウリングブレードとの戦いに備えて、またヤーナに声をかけよう。			黒猫と魔女							
ヤースラニ荒野東部のヤーナと話す			ヤースラニ荒野東部のヤーナと話す			黒猫と魔女							
ヤーナと話す			ヤーナと話す			黒猫と魔女							
モザイク・コーヒー付近のハニー・Ｂ・ラブリーと話す			モザイク・コーヒー付近のハニー・Ｂ・ラブリーと話す			黒猫と魔女							
アルカディア・ソサエティの控室にいるヤーナと話す			アルカディア・ソサエティの控室にいるヤーナと話す			黒猫と魔女							
あんな出来事のあとだし、ちょっと心配だ。ネユニが持ち歩いてる端末の位置情報を探ってみるよ。			あんな出来事のあとだし、ちょっと心配だ。ネユニが持ち歩いてる端末の位置情報を探ってみるよ。			黒猫と魔女							
なんで、キープの外なんかに……。			なんで、キープの外なんかに……。			黒猫と魔女							
ネユニの端末が、ヘリテージファウンドにあるみたいなんだ。あの子が、何も告げずに外に出るなんて、絶対におかしいよ！			ネユニの端末が、ヘリテージファウンドにあるみたいなんだ。あの子が、何も告げずに外に出るなんて、絶対におかしいよ！			黒猫と魔女							
とにかく嫌な予感がするから、すまないが、一緒に探してほしい。最後に記録された位置情報は「ヤースラニ荒野東部」だ。			とにかく嫌な予感がするから、すまないが、一緒に探してほしい。最後に記録された位置情報は「ヤースラニ荒野東部」だ。			黒猫と魔女							
端末の位置情報によると、ネユニはこの辺りにいるはずなんだけど……。			端末の位置情報によると、ネユニはこの辺りにいるはずなんだけど……。			黒猫と魔女							
ネユニ……！心配した、こんなところで何してるの！？			ネユニ……！心配した、こんなところで何してるの！？			黒猫と魔女							
ごめんなさい。ユト姉から急に連絡があって、ここで落ち合う予定だったんだけど……			ごめんなさい。ユト姉から急に連絡があって、ここで落ち合う予定だったんだけど……			黒猫と魔女							
(-？？？？-)妹を利用するような真似をして、すまない……。でも、これしか方法がないんだ。			(-？？？？-)妹を利用するような真似をして、すまない……。でも、これしか方法がないんだ。			黒猫と魔女							
姉さん！人の魂を奪おうなんてことはよせ……！			姉さん！人の魂を奪おうなんてことはよせ……！			黒猫と魔女							
もう、後戻りはできないの！			もう、後戻りはできないの！			黒猫と魔女							
だったら、私は……			だったら、私は……			黒猫と魔女							
この姉妹喧嘩(キャットファイト)だけは譲れないッ！			この姉妹喧嘩(キャットファイト)だけは譲れないッ！			黒猫と魔女							
私、ずっとおかしいと思ってた。姉さんが自分の命のためだけに、人の命を狙うはずないって……。			私、ずっとおかしいと思ってた。姉さんが自分の命のためだけに、人の命を狙うはずないって……。			黒猫と魔女							
本当に救いたいのは、大事な人の……恋人の命。ハウリングブレードを助けたいんでしょう！？			本当に救いたいのは、大事な人の……恋人の命。ハウリングブレードを助けたいんでしょう！？			黒猫と魔女							
でも、彼だけじゃない。ヘビー級の闘士はみんな、すでに魂蝕症を発症しているの。			でも、彼だけじゃない。ヘビー級の闘士はみんな、すでに魂蝕症を発症しているの。			黒猫と魔女							
彼らは、それでもオーナーのことを信じているわ。人生の辛い時期に救われたり、生きる意味を与えられたり、理由は様々だけれどね……。			彼らは、それでもオーナーのことを信じているわ。人生の辛い時期に救われたり、生きる意味を与えられたり、理由は様々だけれどね……。			黒猫と魔女							
レザラも……いえ、闘士「ハウリングブレード」も、きっと私の隣よりも、アルカディアという居場所を選ぶはずよ。			レザラも……いえ、闘士「ハウリングブレード」も、きっと私の隣よりも、アルカディアという居場所を選ぶはずよ。			黒猫と魔女							
だから、私はひとりで行動することを決めたの。みんなが闘士であることを止めず、闘い続けてしまうのなら、手を汚してでも治療法を見つけてみせるって……。			だから、私はひとりで行動することを決めたの。みんなが闘士であることを止めず、闘い続けてしまうのなら、手を汚してでも治療法を見つけてみせるって……。			黒猫と魔女							
ううっ……			ううっ……			黒猫と魔女							
ヤーナ、まさかあなたまで……！？			ヤーナ、まさかあなたまで……！？			黒猫と魔女							
ネユニはちゃんと警告してくれたよ。私がそれでもユト姉を止めたかっただけ……。			ネユニはちゃんと警告してくれたよ。私がそれでもユト姉を止めたかっただけ……。			黒猫と魔女							
ほんと、ふたりとも大馬鹿者なんだから……。			ほんと、ふたりとも大馬鹿者なんだから……。			黒猫と魔女							
ネユニ……			ネユニ……			黒猫と魔女							
ネユニの言うとおりだね、ごめん……。			ネユニの言うとおりだね、ごめん……。			黒猫と魔女							
もう、喧嘩しなくていいよ。ほかの闘士のみんなも……きっと、助けられると思う。			もう、喧嘩しなくていいよ。ほかの闘士のみんなも……きっと、助けられると思う。			黒猫と魔女							
ついさっきのことだけど、やっと見つけられたかもしれないの……Forenameさんの魂を必要としない、魂蝕症の治療法を。			ついさっきのことだけど、やっと見つけられたかもしれないの……Forenameさんの魂を必要としない、魂蝕症の治療法を。			黒猫と魔女							
ま、まさか……私がデータを隈なく調べても、そんな都合のいい治療法なんて……！			ま、まさか……私がデータを隈なく調べても、そんな都合のいい治療法なんて……！			黒猫と魔女							
ユト姉が調べたのは、アルカディアに記録されていたデータでしょう？			ユト姉が調べたのは、アルカディアに記録されていたデータでしょう？			黒猫と魔女							
私はオブリビオンの人たちに協力してもらって、「再生因子」という存在について知ることができたの。			私はオブリビオンの人たちに協力してもらって、「再生因子」という存在について知ることができたの。			黒猫と魔女							
再生因子……？			再生因子……？			黒猫と魔女							
病気や怪我をした後、身体は何とか回復に向かおうとするでしょ？生命体の設計図に従って、元どおりになろうとする力……それが再生因子、と呼ばれるものみたい。			病気や怪我をした後、身体は何とか回復に向かおうとするでしょ？生命体の設計図に従って、元どおりになろうとする力……それが再生因子、と呼ばれるものみたい。			黒猫と魔女							
でね、大昔の戦争中にリンドブルムという国で、再生因子を強化するための薬が研究されていたそうよ。			でね、大昔の戦争中にリンドブルムという国で、再生因子を強化するための薬が研究されていたそうよ。			黒猫と魔女							
そんな大昔の外国の話だとしたら……アレクサンドリア国内には、存在しないんじゃないのか？			そんな大昔の外国の話だとしたら……アレクサンドリア国内には、存在しないんじゃないのか？			黒猫と魔女							
それが、ここ最近、薬の製法が発見されたという記述があったの。			それが、ここ最近、薬の製法が発見されたという記述があったの。			黒猫と魔女							
どんな材料が必要なのかも含めて、より詳細に調べていかないと。だから……ユト姉も協力してね。			どんな材料が必要なのかも含めて、より詳細に調べていかないと。だから……ユト姉も協力してね。			黒猫と魔女							
いまさら許してもらおうなんて思わないけど、どうか、これだけは言わせて……			いまさら許してもらおうなんて思わないけど、どうか、これだけは言わせて……			黒猫と魔女							
あなたの命を狙ったこと、本当にごめんなさい。			あなたの命を狙ったこと、本当にごめんなさい。			黒猫と魔女							
姉さん……！			姉さん……！			黒猫と魔女							
気を失ってるだけみたい。大分、身体が弱っているようだから、ジムに運んで寝かせてあげよう。			気を失ってるだけみたい。大分、身体が弱っているようだから、ジムに運んで寝かせてあげよう。			黒猫と魔女							
ヤーナ姉まで発症してしまうなんて……。早く再生因子を強化する薬を探らないとですね。			ヤーナ姉まで発症してしまうなんて……。早く再生因子を強化する薬を探らないとですね。			黒猫と魔女							
ユト姉は上の部屋で眠ってるよ。魂蝕症がかなり進行しているようだから、治療できるまで安静にしてもらうほかない。			ユト姉は上の部屋で眠ってるよ。魂蝕症がかなり進行しているようだから、治療できるまで安静にしてもらうほかない。			黒猫と魔女							
ヤーナ姉だって、さっき魂蝕症を発症しちゃったんだよ。身体は大丈夫なの……？			ヤーナ姉だって、さっき魂蝕症を発症しちゃったんだよ。身体は大丈夫なの……？			黒猫と魔女							
ごめん、ユト姉がForenameを襲うのを、どうしても見てられなくてさ。			ごめん、ユト姉がForenameを襲うのを、どうしても見てられなくてさ。			黒猫と魔女							
何と言う？			何と言う？			黒猫と魔女							
もう魂を注入するのは禁止			もう魂を注入するのは禁止			黒猫と魔女							
自分で倒せたのに……			自分で倒せたのに……			黒猫と魔女							
わかってる、約束するよ。そうじゃなきゃ、闘士を引退するって決断してくれたみんなにも、合わせる顔がないしさ……。			わかってる、約束するよ。そうじゃなきゃ、闘士を引退するって決断してくれたみんなにも、合わせる顔がないしさ……。			黒猫と魔女							
たしかに、Forenameの力なら、前より弱っていた姉さんをひとりで倒せたかもね。余計なことしちゃったかな……。			たしかに、Forenameの力なら、前より弱っていた姉さんをひとりで倒せたかもね。余計なことしちゃったかな……。			黒猫と魔女							
今は平気そうだけど、異変を感じたらすぐ教えてね。恐ろしい病気なんだから……。			今は平気そうだけど、異変を感じたらすぐ教えてね。恐ろしい病気なんだから……。			黒猫と魔女							
それで、今後のことだけどさ。治療法を確立するまでの間にも、対戦は進んでしまう……だから、闘士たちへの訴えも続けるべきだと思うんだ。			それで、今後のことだけどさ。治療法を確立するまでの間にも、対戦は進んでしまう……だから、闘士たちへの訴えも続けるべきだと思うんだ。			黒猫と魔女							
目下は、クルーザー級王者のハウリングブレードに……。あいつが命を落とすようなことになれば姉さんが悲しむし、私も、知り合いが魂蝕症で死ぬのはもう嫌だ。			目下は、クルーザー級王者のハウリングブレードに……。あいつが命を落とすようなことになれば姉さんが悲しむし、私も、知り合いが魂蝕症で死ぬのはもう嫌だ。			黒猫と魔女							
でも、ハウリングブレードさんは、闘士を続けて死ぬ覚悟だって……どうにか止めることができたらいいんだけど……。			でも、ハウリングブレードさんは、闘士を続けて死ぬ覚悟だって……どうにか止めることができたらいいんだけど……。			黒猫と魔女							
実は、私にいい作戦があってさ……。			実は、私にいい作戦があってさ……。			黒猫と魔女							
それはね、中継カメラを連れて彼に突撃して、「闘士の引退を賭けて試合をしよう！」って宣言するんだ。			それはね、中継カメラを連れて彼に突撃して、「闘士の引退を賭けて試合をしよう！」って宣言するんだ。			黒猫と魔女							
なるほど……アルカディアがいつもやってる中継放送みたいに、観客たちに、私たちが用意した「筋書き」を見せちゃうんだね！			なるほど……アルカディアがいつもやってる中継放送みたいに、観客たちに、私たちが用意した「筋書き」を見せちゃうんだね！			黒猫と魔女							
そうそう、ハウリングブレードも、大勢の人が見てる中継で突きつけられたら、闘士としてさすがに逃れられないだろう。			そうそう、ハウリングブレードも、大勢の人が見てる中継で突きつけられたら、闘士としてさすがに逃れられないだろう。			黒猫と魔女							
それで試合が盛り上がるなら、オーナーもきっと黙認するはず。			それで試合が盛り上がるなら、オーナーもきっと黙認するはず。			黒猫と魔女							
でも、中継カメラはどうするの？メテムさんはあれから音沙汰がないし、アルカディアの協力なんて、とても得られないよ。			でも、中継カメラはどうするの？メテムさんはあれから音沙汰がないし、アルカディアの協力なんて、とても得られないよ。			黒猫と魔女							
Ｂセンパイの力を借りるんだ。彼女は、視聴者数が多い配信番組を持ってるから、その放送で、ハウリングブレードに約束させちゃうんだよ。			Ｂセンパイの力を借りるんだ。彼女は、視聴者数が多い配信番組を持ってるから、その放送で、ハウリングブレードに約束させちゃうんだよ。			黒猫と魔女							
さっそく、彼女に連絡してみるね。			さっそく、彼女に連絡してみるね。			黒猫と魔女							
Ｂセンパイ、ノリノリで協力してくれるって！ハウリングブレードが試合前に必ず一服する場所、モザイク・コーヒーで待ち伏せすることに決まったよ。			Ｂセンパイ、ノリノリで協力してくれるって！ハウリングブレードが試合前に必ず一服する場所、モザイク・コーヒーで待ち伏せすることに決まったよ。			黒猫と魔女							
もちろん、今回の主演はアンタさ。うまいこと誘導して、次の試合に引退を賭けさせるんだ！			もちろん、今回の主演はアンタさ。うまいこと誘導して、次の試合に引退を賭けさせるんだ！			黒猫と魔女							
私はユト姉の看病があるから、ここに残ります。うまくいくことを祈ってますよ！			私はユト姉の看病があるから、ここに残ります。うまくいくことを祈ってますよ！			黒猫と魔女							
ヤーナ姉の大胆な作戦が、うまくいくことを祈ってますよ！			ヤーナ姉の大胆な作戦が、うまくいくことを祈ってますよ！			黒猫と魔女							
Ｂセンパイ、すっかり本番モードみたいだ。アンタがよければ、声をかけて作戦開始といこう。			Ｂセンパイ、すっかり本番モードみたいだ。アンタがよければ、声をかけて作戦開始といこう。			黒猫と魔女							
あ、来た来た！これで出演者はそろった感じだね～。ハート連打……じゃなくて、本番の準備はいいかぁ！？			あ、来た来た！これで出演者はそろった感じだね～。ハート連打……じゃなくて、本番の準備はいいかぁ！？			黒猫と魔女							
ハニー・Ｂ・ラブリーの「突き刺しちゃうぞ☆」超ラブリー特別版、はじまるよ～！			ハニー・Ｂ・ラブリーの「突き刺しちゃうぞ☆」超ラブリー特別版、はじまるよ～！			黒猫と魔女							
なんと、今日はゲストとしてブラックキャットちゃんと、生身の挑戦者こと、Forenameちゃんが、来てくれてま～す！			なんと、今日はゲストとしてブラックキャットちゃんと、生身の挑戦者こと、Forenameちゃんが、来てくれてま～す！			黒猫と魔女							
しかも、ヤバいスペシャル企画をやっちゃう！彼女彼が次に対戦するクルーザー級王者、そう、ハウリングブレードに、ノンアポで突撃しちゃうぞ～☆			しかも、ヤバいスペシャル企画をやっちゃう！彼女彼が次に対戦するクルーザー級王者、そう、ハウリングブレードに、ノンアポで突撃しちゃうぞ～☆			黒猫と魔女							
な、なんだい、キミたちは……？			な、なんだい、キミたちは……？			黒猫と魔女							
Forenameちゃんから、アナタにものもーす！			Forenameちゃんから、アナタにものもーす！			黒猫と魔女							
何と言う？			何と言う？			黒猫と魔女							
次の試合、引退を賭けて勝負だ！			次の試合、引退を賭けて勝負だ！			黒猫と魔女							
…………			…………			黒猫と魔女							
や、やい、ハウリングブレード！Forenameに負けたら引退しろ！			や、やい、ハウリングブレード！Forenameに負けたら引退しろ！			黒猫と魔女							
ず、ずいぶんと急だね……。まあ、ボクが生身で戦う相手に負けるわけないし……			ず、ずいぶんと急だね……。まあ、ボクが生身で戦う相手に負けるわけないし……			黒猫と魔女							
そして、なにより……引退する気はない。			そして、なにより……引退する気はない。			黒猫と魔女							
何と言う？			何と言う？			黒猫と魔女							
こちらこそ負けるわけない			こちらこそ負けるわけない			黒猫と魔女							
負けるのが怖いのか？			負けるのが怖いのか？			黒猫と魔女							
挑発して約束を取りつけようとしても……ボクはその手には乗らないよ。			挑発して約束を取りつけようとしても……ボクはその手には乗らないよ。			黒猫と魔女							
クルーザー級王者にしては情けないよな～。やっぱり、負けるのが怖いんじゃないか～？			クルーザー級王者にしては情けないよな～。やっぱり、負けるのが怖いんじゃないか～？			黒猫と魔女							
ああ、きっと自信がないんだろうぜ～。			ああ、きっと自信がないんだろうぜ～。			黒猫と魔女							
クルーザー級王者なら、王者らしく勝負を受けろ～！			クルーザー級王者なら、王者らしく勝負を受けろ～！			黒猫と魔女							
……これで乗らなければ、闘士の名折れ、か。やられたな。			……これで乗らなければ、闘士の名折れ、か。やられたな。			黒猫と魔女							
闘士はボクの生きがいなんだ。それを捨てろというなら、キミが負けた場合も、同じく生きがいを捨ててもらうのが筋だろう。			闘士はボクの生きがいなんだ。それを捨てろというなら、キミが負けた場合も、同じく生きがいを捨ててもらうのが筋だろう。			黒猫と魔女							
キミの生きがいは……？			キミの生きがいは……？			黒猫と魔女							
何と言う？			何と言う？			黒猫と魔女							
冒険			冒険			黒猫と魔女							
闘い			闘い			黒猫と魔女							
人助け			人助け			黒猫と魔女							
金稼ぎ			金稼ぎ			黒猫と魔女							
なるほど、キミは障壁の外から来たのだったね。広い世界を巡る冒険こそ生きがいということか……ボクには想像もつかないな。			なるほど、キミは障壁の外から来たのだったね。広い世界を巡る冒険こそ生きがいということか……ボクには想像もつかないな。			黒猫と魔女							
なんだ、ボクと大体一緒だね。強者と闘っているときこそ大きな喜びを感じる……よくわかるよ。			なんだ、ボクと大体一緒だね。強者と闘っているときこそ大きな喜びを感じる……よくわかるよ。			黒猫と魔女							
キミは良い人なんだね。ボクのことも助けようとしているのかもしれないが……そんな必要はないよ。			キミは良い人なんだね。ボクのことも助けようとしているのかもしれないが……そんな必要はないよ。			黒猫と魔女							
キミは……意外と俗物的な人なんだね。まあ、それもひとつの生き方だし、もちろん否定する気はないよ。			キミは……意外と俗物的な人なんだね。まあ、それもひとつの生き方だし、もちろん否定する気はないよ。			黒猫と魔女							
じゃあ、キミが負けたら、その生きがいを捨ててもらおう。それならば、この賭けに乗るよ。			じゃあ、キミが負けたら、その生きがいを捨ててもらおう。それならば、この賭けに乗るよ。			黒猫と魔女							
みんな聞いた～？お互い大事な生きがいを賭けちゃった！この試合は大注目だね～☆			みんな聞いた～？お互い大事な生きがいを賭けちゃった！この試合は大注目だね～☆			黒猫と魔女							
うまくいったみたいだね。声を上げてくれたお客さんには感謝しないと……			うまくいったみたいだね。声を上げてくれたお客さんには感謝しないと……			黒猫と魔女							
どうでした、お役に立てましたでしょうか？			どうでした、お役に立てましたでしょうか？			黒猫と魔女							
うん、バッチリだったよ～！みんな、ありがとう～☆			うん、バッチリだったよ～！みんな、ありがとう～☆			黒猫と魔女							
そ、そういうことだったの。さすがＢセンパイ……敵わないわ……。			そ、そういうことだったの。さすがＢセンパイ……敵わないわ……。			黒猫と魔女							
さぁて、アタシができることは、ここまでだよ☆ボンバーちゃんのためにも、必ず勝って彼を引退させてね～！			さぁて、アタシができることは、ここまでだよ☆ボンバーちゃんのためにも、必ず勝って彼を引退させてね～！			黒猫と魔女							
よし、あとは勝利を掴むだけ！「アルカディア・ソサエティの控室」に向かおう！			よし、あとは勝利を掴むだけ！「アルカディア・ソサエティの控室」に向かおう！			黒猫と魔女							
さあ、クルーザー級の頂上決戦だ！どうか、ハウリングブレードを打ち破ってくれ！			さあ、クルーザー級の頂上決戦だ！どうか、ハウリングブレードを打ち破ってくれ！			黒猫と魔女							
アルカディア・ソサエティの控室にいるヤーナは、クルーザー級王者を改めて紹介したいようだ。			アルカディア・ソサエティの控室にいるヤーナは、クルーザー級王者を改めて紹介したいようだ。			孤高の狼							
ヤーナからクルーザー級王者の紹介を受けた。孤高の狼「ハウリングブレード」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			ヤーナからクルーザー級王者の紹介を受けた。孤高の狼「ハウリングブレード」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			孤高の狼							
ハウリングブレードに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			ハウリングブレードに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			孤高の狼							
ヤーナと話したところに、ハウリングブレードがやって来て、引退すること、そして、オーナーと闘うことを決意した。ソリューション・ナインのジム・トライテールに戻り、「ヤーナ」と話そう。			ヤーナと話したところに、ハウリングブレードがやって来て、引退すること、そして、オーナーと闘うことを決意した。ソリューション・ナインのジム・トライテールに戻り、「ヤーナ」と話そう。			孤高の狼							
ジム・トライテールに戻ったが、ネユニとユトロープがいなくなっていた。オーナーから通信が入り、ヤーナたちの勝手を止めるため、ふたりをさらったという旨を語った。ジム・トライテール前にいる「ヤーナ」と話そう。			ジム・トライテールに戻ったが、ネユニとユトロープがいなくなっていた。オーナーから通信が入り、ヤーナたちの勝手を止めるため、ふたりをさらったという旨を語った。ジム・トライテール前にいる「ヤーナ」と話そう。			孤高の狼							
ヤーナと話した。統一王者の座を勝ち取るため、しばらくトレーニングに励もう。			ヤーナと話した。統一王者の座を勝ち取るため、しばらくトレーニングに励もう。			孤高の狼							
「至天の座アルカディア：クルーザー級4」を攻略			「至天の座アルカディア：クルーザー級4」を攻略			孤高の狼							
ヤーナと話す			ヤーナと話す			孤高の狼							
ジム・トライテールのヤーナと話す			ジム・トライテールのヤーナと話す			孤高の狼							
ジム・トライテール前のヤーナと話す			ジム・トライテール前のヤーナと話す			孤高の狼							
クルーザー級王者は、王にふさわしい別格の実力を持っている。でも、私はアンタが勝つと信じてるよ！			クルーザー級王者は、王にふさわしい別格の実力を持っている。でも、私はアンタが勝つと信じてるよ！			孤高の狼							
よし、改めて決戦の相手の紹介だ……！モニターを見て。			よし、改めて決戦の相手の紹介だ……！モニターを見て。			孤高の狼							
クルーザー級の現王者、孤高の狼「ハウリングブレード」！			クルーザー級の現王者、孤高の狼「ハウリングブレード」！			孤高の狼							
彼は、闘士になる前は駆除人をしていてね。当時から剣の腕前では、並ぶ者がいないといわれるほどで、その噂を聞いたオーナーの勧誘で、闘士になったらしい。			彼は、闘士になる前は駆除人をしていてね。当時から剣の腕前では、並ぶ者がいないといわれるほどで、その噂を聞いたオーナーの勧誘で、闘士になったらしい。			孤高の狼							
端正な顔立ちだったこともあって、デビュー直後から善玉闘士として活躍しててさ。空想物語風のリングや、光剣がトレードマークになってる。			端正な顔立ちだったこともあって、デビュー直後から善玉闘士として活躍しててさ。空想物語風のリングや、光剣がトレードマークになってる。			孤高の狼							
注入する魂は、フェンリルと呼ばれる魔狼のもの。これにより強化された肉体から繰り出される斬撃の数々は、素早さと鋭さの両方で警戒が必要だよ！			注入する魂は、フェンリルと呼ばれる魔狼のもの。これにより強化された肉体から繰り出される斬撃の数々は、素早さと鋭さの両方で警戒が必要だよ！			孤高の狼							
それじゃあ、Forename、クルーザー級王者を打ち破って、彼を引退させてくれ！			それじゃあ、Forename、クルーザー級王者を打ち破って、彼を引退させてくれ！			孤高の狼							
ほかにハウリングブレードの情報といえば、知ってのとおり、ユト姉の「大事な人」なわけだけど……それはリングの外の話だし、私が言うことじゃないかな。			ほかにハウリングブレードの情報といえば、知ってのとおり、ユト姉の「大事な人」なわけだけど……それはリングの外の話だし、私が言うことじゃないかな。			孤高の狼							
やってくれたね！アンタ、本当にとんでもないヤツだ……！			やってくれたね！アンタ、本当にとんでもないヤツだ……！			孤高の狼							
 ボクの完敗だよ……			 ボクの完敗だよ……			孤高の狼							
闘士に二言は無い。約束どおり引退しよう。			闘士に二言は無い。約束どおり引退しよう。			孤高の狼							
……これでボクは、命の危機を脱したわけだ。でも、それと同時に、生きがいを失ってしまった。			……これでボクは、命の危機を脱したわけだ。でも、それと同時に、生きがいを失ってしまった。			孤高の狼							
これからいったい、何をして生きていけばいいんだろう？本当に、わからないんだ。			これからいったい、何をして生きていけばいいんだろう？本当に、わからないんだ。			孤高の狼							
何と言う？			何と言う？			孤高の狼							
一緒にオーナーと闘おう			一緒にオーナーと闘おう			孤高の狼							
ブルートボンバーの仇討ちを手伝え			ブルートボンバーの仇討ちを手伝え			孤高の狼							
オーナーはブルートボンバーを殺したも同然だし、興行のために、多くの闘士を犠牲にしてきたことも確かだ。闘うべき相手だというのはわかるよ。			オーナーはブルートボンバーを殺したも同然だし、興行のために、多くの闘士を犠牲にしてきたことも確かだ。闘うべき相手だというのはわかるよ。			孤高の狼							
彼はオーナーに殺されたも同然だし、興行のために、多くの闘士を犠牲にしてきたことも確かだ。仇を討つべきだというのはわかるよ。			彼はオーナーに殺されたも同然だし、興行のために、多くの闘士を犠牲にしてきたことも確かだ。仇を討つべきだというのはわかるよ。			孤高の狼							
でも、前に話したとおり、ボクたちはオーナーに恩があってね。だからこそ、ボクは死に至る病さえ受け入れて、闘士として闘い続けると決めたんだ。			でも、前に話したとおり、ボクたちはオーナーに恩があってね。だからこそ、ボクは死に至る病さえ受け入れて、闘士として闘い続けると決めたんだ。			孤高の狼							
死ぬなんて自分勝手だ！ブルートボンバーは死にたくなんてなかっただろうし、ユトロープはアンタを救いたくて、ひとりで闘ってたんだよ！			死ぬなんて自分勝手だ！ブルートボンバーは死にたくなんてなかっただろうし、ユトロープはアンタを救いたくて、ひとりで闘ってたんだよ！			孤高の狼							
ユトロープが……なんだって……？			ユトロープが……なんだって……？			孤高の狼							
彼女は、例の症状が出始めた時に、何も言わずボクの前から、アルカディアからも姿を消したんだ。			彼女は、例の症状が出始めた時に、何も言わずボクの前から、アルカディアからも姿を消したんだ。			孤高の狼							
そのあと、どれだけ探しても会うことができなかった。だから、ウィケッドサンダーの特別試合が開催されたとき、本当に驚いたよ。			そのあと、どれだけ探しても会うことができなかった。だから、ウィケッドサンダーの特別試合が開催されたとき、本当に驚いたよ。			孤高の狼							
彼女の強さは鈍っていなかったから、てっきり、症状が治まって闘士を再開したのかと……。			彼女の強さは鈍っていなかったから、てっきり、症状が治まって闘士を再開したのかと……。			孤高の狼							
