採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
フォクウィダ殿が、溝の掘り方や小さなピンの形状など、内部構造を細かく見直してくれたのは、大きかったな。			フォクウィダ殿が、溝の掘り方や小さなピンの形状など、内部構造を細かく見直してくれたのは、大きかったな。			夢の証明、未来の形							
なに言ってんだい。ソイツはアンタが燃料系について、助言してくれたおかげさ。			なに言ってんだい。ソイツはアンタが燃料系について、助言してくれたおかげさ。			夢の証明、未来の形							
ちょーっと待ってよ。ボクちんとスタックブロクスが、排気系を改良したのも、思い出してほしーな。			ちょーっと待ってよ。ボクちんとスタックブロクスが、排気系を改良したのも、思い出してほしーな。			夢の証明、未来の形							
それらの改良を踏まえて設計し直した僕と、なにより、硬拳石を採ってきてくれた、採掘師さんのご協力についても、忘れないでほしいです！			それらの改良を踏まえて設計し直した僕と、なにより、硬拳石を採ってきてくれた、採掘師さんのご協力についても、忘れないでほしいです！			夢の証明、未来の形							
ヒュコォ……ヒュコォ……私がイディルシャイアに来たとき、ヒトとゴブリン族が、協力する姿を見て、未来への大きな可能性を感じたんだ。			ヒュコォ……ヒュコォ……私がイディルシャイアに来たとき、ヒトとゴブリン族が、協力する姿を見て、未来への大きな可能性を感じたんだ。			夢の証明、未来の形							
君たちは、その可能性を形にしてくれた。ありがとう、君たちと研究ができて本当によかった。			君たちは、その可能性を形にしてくれた。ありがとう、君たちと研究ができて本当によかった。			夢の証明、未来の形							
あれ、主任を見ませんでしたか？採掘師さんに、話したいことがあるみたいでしたが……。			あれ、主任を見ませんでしたか？採掘師さんに、話したいことがあるみたいでしたが……。			夢の証明、未来の形							
ヒュコォ……ヒュコォ……採掘師さん、改めてお礼を言わせてほしい。ありがとう……君がいなければ、この結果はなかったよ。			ヒュコォ……ヒュコォ……採掘師さん、改めてお礼を言わせてほしい。ありがとう……君がいなければ、この結果はなかったよ。			夢の証明、未来の形							
……私は、もともとは「青の手」の幹部でね。同胞が安全に巡礼の旅を行えるように、ゴブリモービルという乗り物を開発していたんだ。			……私は、もともとは「青の手」の幹部でね。同胞が安全に巡礼の旅を行えるように、ゴブリモービルという乗り物を開発していたんだ。			夢の証明、未来の形							
だけど、総統のクイックシンクスにその設計を奪われ、単なる兵器、「ゴブリタンク」に造りかえられてしまった。……悔しかったし、悲しかったよ。			だけど、総統のクイックシンクスにその設計を奪われ、単なる兵器、「ゴブリタンク」に造りかえられてしまった。……悔しかったし、悲しかったよ。			夢の証明、未来の形							
前々から、総統の方針が気に食わなかった私は、この件をきっかけに、「青の手」を出奔することにした。その後は……もう君は知ってるみたいだね。			前々から、総統の方針が気に食わなかった私は、この件をきっかけに、「青の手」を出奔することにした。その後は……もう君は知ってるみたいだね。			夢の証明、未来の形							
ヒュコォ……ヒュコォ……さて、これで採掘師さんへの依頼は完全に終了だ！またいつか、このイディルシャイアで会おう。			ヒュコォ……ヒュコォ……さて、これで採掘師さんへの依頼は完全に終了だ！またいつか、このイディルシャイアで会おう。			夢の証明、未来の形							
ヒュコォ……ヒュコォ……いろいろあったけど、私が信じたものは間違いじゃなかった。それを証明してくれたことが、なによりも嬉しいよ。			ヒュコォ……ヒュコォ……いろいろあったけど、私が信じたものは間違いじゃなかった。それを証明してくれたことが、なによりも嬉しいよ。			夢の証明、未来の形							
ああ、採掘師さん！これまで依頼を受けてくれて、ありがとうございました！何度もお礼を言いましたが、それでも足りないくらい感謝です！			ああ、採掘師さん！これまで依頼を受けてくれて、ありがとうございました！何度もお礼を言いましたが、それでも足りないくらい感謝です！			夢の証明、未来の形							
スチームローラーの研究開発は、ここで一区切りです！これからは実際に動かしつつ、発展機種の開発をしていくつもりです！			スチームローラーの研究開発は、ここで一区切りです！これからは実際に動かしつつ、発展機種の開発をしていくつもりです！			夢の証明、未来の形							
そしていつの日か、最技研の作った機体で、イディルシャイアを更に発展させて、人とゴブリンが手を取りあう未来を、実現させます！			そしていつの日か、最技研の作った機体で、イディルシャイアを更に発展させて、人とゴブリンが手を取りあう未来を、実現させます！			夢の証明、未来の形							
……あっ、そうだ！今回の報酬は、採掘師ギルドに送ってありますので、「アダルベルタ」さんから、受けとってくださいね！			……あっ、そうだ！今回の報酬は、採掘師ギルドに送ってありますので、「アダルベルタ」さんから、受けとってくださいね！			夢の証明、未来の形							
採掘師さん、これまでのご協力、ありがとうございました！報酬は採掘師ギルドに送付済みなので、「アダルベルタ」さんから、受け取ってください！			採掘師さん、これまでのご協力、ありがとうございました！報酬は採掘師ギルドに送付済みなので、「アダルベルタ」さんから、受け取ってください！			夢の証明、未来の形							
お帰りなさい！硬拳石は、採掘できたみたいね。スティックキクス工房から、報酬が届いているわ。			お帰りなさい！硬拳石は、採掘できたみたいね。スティックキクス工房から、報酬が届いているわ。			夢の証明、未来の形							
……これは仕事と関係ない、純粋な好奇心で聞くんだけど、キミが行ってきたイディルシャイアってどんな街だった？行ったことのない場所だから、気になるのよ。			……これは仕事と関係ない、純粋な好奇心で聞くんだけど、キミが行ってきたイディルシャイアってどんな街だった？行ったことのない場所だから、気になるのよ。			夢の証明、未来の形							
何と答える？			何と答える？			夢の証明、未来の形							
人とゴブリン族が協力する街			人とゴブリン族が協力する街			夢の証明、未来の形							
これから大きく発展していく街			これから大きく発展していく街			夢の証明、未来の形							
人とゴブリン族が協力か……獣人を排斥するウルダハとは大違い。それは、とっても素敵なことだと思う……。なんだかあたしも、行ってみたくなったわ。			人とゴブリン族が協力か……獣人を排斥するウルダハとは大違い。それは、とっても素敵なことだと思う……。なんだかあたしも、行ってみたくなったわ。			夢の証明、未来の形							
なるほど……それなら、関係を深めていこうかしら？採掘師ギルドの出張所を作ってみたり……。いろいろ考えてみるのも、面白そうね。			なるほど……それなら、関係を深めていこうかしら？採掘師ギルドの出張所を作ってみたり……。いろいろ考えてみるのも、面白そうね。			夢の証明、未来の形							
……っと、話がずれちゃったわね。ともかくお疲れさま、「伝説の採掘師」さん。また難しい仕事がきたら、紹介させてもらうわ。			……っと、話がずれちゃったわね。ともかくお疲れさま、「伝説の採掘師」さん。また難しい仕事がきたら、紹介させてもらうわ。			夢の証明、未来の形							
採掘師として、最技研と力を合わせて開発を成功させたことにより、「GP自然回復量アップ」を修得しました！			採掘師として、最技研と力を合わせて開発を成功させたことにより、「GP自然回復量アップ」を修得しました！			夢の証明、未来の形							
採掘師ギルドのアダルベルタは冒険者に仕事を依頼したいようだ。			採掘師ギルドのアダルベルタは冒険者に仕事を依頼したいようだ。			誠実さは身を助ける							
アダルベルタから依頼を受けた。ウルダハの採掘師ギルドにいる「ワイド・ガリー」と話をしよう。			アダルベルタから依頼を受けた。ウルダハの採掘師ギルドにいる「ワイド・ガリー」と話をしよう。			誠実さは身を助ける							
ワイド・ガリーと話した。ウルダハの採掘師ギルドにいる「ワイド・ガリー」に「アメジスト原石」を20個納品しよう。「アメジスト原石」は、中央森林にある芽吹の池の採掘場で採掘できる。			ワイド・ガリーと話した。ウルダハの採掘師ギルドにいる「ワイド・ガリー」に「アメジスト原石」を20個納品しよう。「アメジスト原石」は、中央森林にある芽吹の池の採掘場で採掘できる。			誠実さは身を助ける							
ワイド・ガリーにアメジスト原石を納品した。ワイド・ガリーは冒険者の採掘師としての技量に、驚きを隠せないようだ。この調子で採掘の腕を磨いていこう。※採掘師のレベルが40以上になると、アダルベルタから次の採掘師クエストを受注することができます。			ワイド・ガリーにアメジスト原石を納品した。ワイド・ガリーは冒険者の採掘師としての技量に、驚きを隠せないようだ。この調子で採掘の腕を磨いていこう。※採掘師のレベルが40以上になると、アダルベルタから次の採掘師クエストを受注することができます。			誠実さは身を助ける							
ワイド・ガリーと話す			ワイド・ガリーと話す			誠実さは身を助ける							
ワイド・ガリーにアメジスト原石を納品			ワイド・ガリーにアメジスト原石を納品			誠実さは身を助ける							
聞いたわよ、飛竜黒曜石の依頼は片付いたってね。ワイド・ガリーがディープ・キャニオンの息子ってことは知ってたわ。彼が、あたしを追い落とそうとしていることも。			聞いたわよ、飛竜黒曜石の依頼は片付いたってね。ワイド・ガリーがディープ・キャニオンの息子ってことは知ってたわ。彼が、あたしを追い落とそうとしていることも。			誠実さは身を助ける							
でも、それを理由に、ワイド・ガリーをギルドから除名するなんて、できない。ギルドは実力主義よ、あたしの時もそうだった。			でも、それを理由に、ワイド・ガリーをギルドから除名するなんて、できない。ギルドは実力主義よ、あたしの時もそうだった。			誠実さは身を助ける							
だから、あたしよりも優れた採掘師が現れたら、ギルドマスターの座を譲る覚悟はあるわ。			だから、あたしよりも優れた採掘師が現れたら、ギルドマスターの座を譲る覚悟はあるわ。			誠実さは身を助ける							
ま、今はその時ではないけどね。忙しいギルドを仕切るなんて、まだ無理だもの。特に、宝石類の扱いなんて、任せられないわ。			ま、今はその時ではないけどね。忙しいギルドを仕切るなんて、まだ無理だもの。特に、宝石類の扱いなんて、任せられないわ。			誠実さは身を助ける							
最近は、再開発による好景気のせいで、宝石の原石の需要が増えててねぇ。一人でも多くの腕利きに働いてほしいの。			最近は、再開発による好景気のせいで、宝石の原石の需要が増えててねぇ。一人でも多くの腕利きに働いてほしいの。			誠実さは身を助ける							
というわけで、キミにも「アメジスト原石」を20個採掘してほしいんだけど……「採掘場」は、あたしも詳しくないのよ。			というわけで、キミにも「アメジスト原石」を20個採掘してほしいんだけど……「採掘場」は、あたしも詳しくないのよ。			誠実さは身を助ける							
……これに詳しいのが、「ワイド・ガリー」でね。いつもどおり、ステージのあたりにいるから、なんとか彼から……話を聞き出してくれる？			……これに詳しいのが、「ワイド・ガリー」でね。いつもどおり、ステージのあたりにいるから、なんとか彼から……話を聞き出してくれる？			誠実さは身を助ける							
ギルドマスターの指示とは言え先日の件の後に、悪びれもせず顔を出すとは……。お前は大物なのかバカなのか、わからんな。			ギルドマスターの指示とは言え先日の件の後に、悪びれもせず顔を出すとは……。お前は大物なのかバカなのか、わからんな。			誠実さは身を助ける							
で、「アメジスト原石」だったか？確かに、俺は宝石や鉱石の分布は、だいぶ勉強した。			で、「アメジスト原石」だったか？確かに、俺は宝石や鉱石の分布は、だいぶ勉強した。			誠実さは身を助ける							
だがその成果を……タダで教えると思うか？聞くのもバカなら、答えるほうもバカだろう。……だが、特別に教えてやらないこともない。			だがその成果を……タダで教えると思うか？聞くのもバカなら、答えるほうもバカだろう。……だが、特別に教えてやらないこともない。			誠実さは身を助ける							
なぜなら、どうせお前では「アメジスト原石」を採掘できるはずがないからだ。			なぜなら、どうせお前では「アメジスト原石」を採掘できるはずがないからだ。			誠実さは身を助ける							
場所は黒衣森の中央森林「芽吹の池」付近に「アメジスト原石」は静かに眠っている。			場所は黒衣森の中央森林「芽吹の池」付近に「アメジスト原石」は静かに眠っている。			誠実さは身を助ける							
だが、仕事であっても、限度があろう。「アメジスト原石」20個と命だ……。引き替えにできるなら見たいものだ、はっはっは！			だが、仕事であっても、限度があろう。「アメジスト原石」20個と命だ……。引き替えにできるなら見たいものだ、はっはっは！			誠実さは身を助ける							
採掘場は、黒衣森の中央森林「芽吹の池」付近……「アメジスト原石」を、たった20個とはいえ、命と引き替えにはできんはずだ。諦めることだな。			採掘場は、黒衣森の中央森林「芽吹の池」付近……「アメジスト原石」を、たった20個とはいえ、命と引き替えにはできんはずだ。諦めることだな。			誠実さは身を助ける							
な、何っ！？このアメジスト原石を、貴様が採ってきたというのか！？			な、何っ！？このアメジスト原石を、貴様が採ってきたというのか！？			誠実さは身を助ける							
バカな、信じられん……。お前の勇気は底なしだとでもいうのか……！？			バカな、信じられん……。お前の勇気は底なしだとでもいうのか……！？			誠実さは身を助ける							
……アメジスト原石は雷の属性を帯びた宝石だが、同時に冷静さ、直感、決断力の象徴としても知られていて、冒険者に人気が高い宝石だ。			……アメジスト原石は雷の属性を帯びた宝石だが、同時に冷静さ、直感、決断力の象徴としても知られていて、冒険者に人気が高い宝石だ。			誠実さは身を助ける							
どうやら、俺はお前を見誤っていたらしい。あたかも、このアメジスト原石が象徴するように、お前には冷静さと直感、決断力が備わっているようだ。			どうやら、俺はお前を見誤っていたらしい。あたかも、このアメジスト原石が象徴するように、お前には冷静さと直感、決断力が備わっているようだ。			誠実さは身を助ける							
一見、無謀を通したように思えるが、違うのだろう？お前はできると思ったから掘りに行った、そうだな？			一見、無謀を通したように思えるが、違うのだろう？お前はできると思ったから掘りに行った、そうだな？			誠実さは身を助ける							
ふ……ふふ……大したものだ。まさか冒険者風情に、俺が後れを取るなど考えもしなかったが……間違っていたようだ。			ふ……ふふ……大したものだ。まさか冒険者風情に、俺が後れを取るなど考えもしなかったが……間違っていたようだ。			誠実さは身を助ける							
どうやらお前は、俺にとっては壁になる者らしい。俺が採掘師の頂点に立つためには、お前を屈服させねばならぬようだ……！			どうやらお前は、俺にとっては壁になる者らしい。俺が採掘師の頂点に立つためには、お前を屈服させねばならぬようだ……！			誠実さは身を助ける							
……お前の実力に敬意を表し、このアメジスト原石は責任をもって、ギルドに納めておこう。			……お前の実力に敬意を表し、このアメジスト原石は責任をもって、ギルドに納めておこう。			誠実さは身を助ける							
近いうちに、また勝負をしよう。今度こそ俺が上だと、その身に思い知らせてやる。楽しみにしておけ。			近いうちに、また勝負をしよう。今度こそ俺が上だと、その身に思い知らせてやる。楽しみにしておけ。			誠実さは身を助ける							
採掘師ギルドのアダルベルタは、冒険者に仕事を頼みたいようだが、頭を悩ませている問題があるようだ。			採掘師ギルドのアダルベルタは、冒険者に仕事を頼みたいようだが、頭を悩ませている問題があるようだ。			嵐呼ぶ流紋のきらめき							
ディープ・キャニオンを通じて、採掘師ギルドに飛竜黒曜石の採掘依頼が持ち込まれた。アダルベルタは冒険者に任せようと思っていたが、仕事に対してワイド・ガリーという採掘師が名乗りを上げたため、どちらに任せようか悩んでいたのだという。アダルベルタは冒険者自身がワイド・ガリーと相談して、どちらかが仕事するのか決めてほしいようだ。採掘師ギルドにいる「ワイド・ガリー」と話そう。			ディープ・キャニオンを通じて、採掘師ギルドに飛竜黒曜石の採掘依頼が持ち込まれた。アダルベルタは冒険者に任せようと思っていたが、仕事に対してワイド・ガリーという採掘師が名乗りを上げたため、どちらに任せようか悩んでいたのだという。アダルベルタは冒険者自身がワイド・ガリーと相談して、どちらかが仕事するのか決めてほしいようだ。採掘師ギルドにいる「ワイド・ガリー」と話そう。			嵐呼ぶ流紋のきらめき							
ワイド・ガリーは、冒険者と採掘師の腕比べで勝負を決めようと持ちかけた。しかし、自分だけ飛竜黒曜石に対して詳しい状態では不公平だと、冒険者に飛竜黒曜石について依頼主のフルドガーから話を聞くように提案してきた。剣術士ギルドにいる「フルドガー」に、話を聞きに行こう。			ワイド・ガリーは、冒険者と採掘師の腕比べで勝負を決めようと持ちかけた。しかし、自分だけ飛竜黒曜石に対して詳しい状態では不公平だと、冒険者に飛竜黒曜石について依頼主のフルドガーから話を聞くように提案してきた。剣術士ギルドにいる「フルドガー」に、話を聞きに行こう。			嵐呼ぶ流紋のきらめき							
フルドガーは、飛竜黒曜石のこと以外にも、ワイド・ガリーがディープ・キャニオンの息子であることを教えてくれた。彼はワイド・ガリーの実力を高く評価しており、冒険者とワイド・ガリーの採掘した飛竜黒曜石を比較して、品質のいいほうを、あとで採掘師ギルドに受け取りに行こうと考えているようだ。「ザルの祠」の付近で「飛竜黒曜石」を15個採掘し、採掘師ギルドにいる「ワイド・ガリー」に納品しよう。			フルドガーは、飛竜黒曜石のこと以外にも、ワイド・ガリーがディープ・キャニオンの息子であることを教えてくれた。彼はワイド・ガリーの実力を高く評価しており、冒険者とワイド・ガリーの採掘した飛竜黒曜石を比較して、品質のいいほうを、あとで採掘師ギルドに受け取りに行こうと考えているようだ。「ザルの祠」の付近で「飛竜黒曜石」を15個採掘し、採掘師ギルドにいる「ワイド・ガリー」に納品しよう。			嵐呼ぶ流紋のきらめき							
ワイド・ガリーに飛竜黒曜石を納品した。彼は冒険者が採掘した飛竜黒曜石の品質を確認すると、口惜しみながらも、敗北を認めたようだった。ワイド・ガリーにフルドガーへの報告を任せ、採掘師ギルドにいる「アダルベルタ」に事のてん末を報告しよう。			ワイド・ガリーに飛竜黒曜石を納品した。彼は冒険者が採掘した飛竜黒曜石の品質を確認すると、口惜しみながらも、敗北を認めたようだった。ワイド・ガリーにフルドガーへの報告を任せ、採掘師ギルドにいる「アダルベルタ」に事のてん末を報告しよう。			嵐呼ぶ流紋のきらめき							
アダルベルタに、事のてん末を報告した。彼女はワイド・ガリーと採掘師として勝負したことよりも、冒険者がワイド・ガリーに勝ってしまったことのほうを驚いていた。彼女を驚かせるほどの成長を遂げていた自分に甘んじることなく、より一層、採掘師の修行を積み重ねよう。※採掘師のレベルが35以上になると、アダルベルタから次の採掘師クエストを受注することができます。			アダルベルタに、事のてん末を報告した。彼女はワイド・ガリーと採掘師として勝負したことよりも、冒険者がワイド・ガリーに勝ってしまったことのほうを驚いていた。彼女を驚かせるほどの成長を遂げていた自分に甘んじることなく、より一層、採掘師の修行を積み重ねよう。※採掘師のレベルが35以上になると、アダルベルタから次の採掘師クエストを受注することができます。			嵐呼ぶ流紋のきらめき							
ワイド・ガリーと話す			ワイド・ガリーと話す			嵐呼ぶ流紋のきらめき							
フルドガーと話す			フルドガーと話す			嵐呼ぶ流紋のきらめき							
飛竜黒曜石を採掘師ギルドのワイド・ガリーに納品			飛竜黒曜石を採掘師ギルドのワイド・ガリーに納品			嵐呼ぶ流紋のきらめき							
アダルベルタと話す			アダルベルタと話す			嵐呼ぶ流紋のきらめき							
Forename、ちょっと仕事について相談したいんだけど……いい？			Forename、ちょっと仕事について相談したいんだけど……いい？			嵐呼ぶ流紋のきらめき							
あのディープ・キャニオンから連絡があってね。剣術士ギルドに納品したいものがあるから、調達してくれないかって依頼が来てるのよ。			あのディープ・キャニオンから連絡があってね。剣術士ギルドに納品したいものがあるから、調達してくれないかって依頼が来てるのよ。			嵐呼ぶ流紋のきらめき							
「飛竜黒曜石」っていうんだけど……。そう、前に採掘してもらった黒曜石よりも、もっと珍しい鉱石なの。			「飛竜黒曜石」っていうんだけど……。そう、前に採掘してもらった黒曜石よりも、もっと珍しい鉱石なの。			嵐呼ぶ流紋のきらめき							
さすがにあたしでも採掘した経験は数えるほどだし、何より現時点でギルドに在庫がまったくなくて……あらためて掘りに行かないと、ダメなのよね。			さすがにあたしでも採掘した経験は数えるほどだし、何より現時点でギルドに在庫がまったくなくて……あらためて掘りに行かないと、ダメなのよね。			嵐呼ぶ流紋のきらめき							
それで、キミにお願いしようかと思ったんだけど……一人、立候補してきた採掘師がいるの。			それで、キミにお願いしようかと思ったんだけど……一人、立候補してきた採掘師がいるの。			嵐呼ぶ流紋のきらめき							
「ワイド・ガリー」っていうんだけど、ちょっと彼もワケアリなのよね……。			「ワイド・ガリー」っていうんだけど、ちょっと彼もワケアリなのよね……。			嵐呼ぶ流紋のきらめき							
どっちにしろ、スッキリさせないまま仕事は回せない。悪いんだけど「ワイド・ガリー」と話をして、どっちが仕事を受けるのか決めてきてくれない？			どっちにしろ、スッキリさせないまま仕事は回せない。悪いんだけど「ワイド・ガリー」と話をして、どっちが仕事を受けるのか決めてきてくれない？			嵐呼ぶ流紋のきらめき							
「ワイド・ガリー」ならほら、ステージの向こうにいるわ。じゃあ任せたからね、上手くやってよね。			「ワイド・ガリー」ならほら、ステージの向こうにいるわ。じゃあ任せたからね、上手くやってよね。			嵐呼ぶ流紋のきらめき							
……Forename Surnameとは、お前だな？ふん、ギルドマスターが目をかけていて、かなり腕が立つと聞いたが……まさか冒険者だとはな。			……Forename Surnameとは、お前だな？ふん、ギルドマスターが目をかけていて、かなり腕が立つと聞いたが……まさか冒険者だとはな。			嵐呼ぶ流紋のきらめき							
このザナラーンに来てどれだけか知らんが……お前のような奴に期待を寄せるようでは、ギルドマスターも見る目がないな。			このザナラーンに来てどれだけか知らんが……お前のような奴に期待を寄せるようでは、ギルドマスターも見る目がないな。			嵐呼ぶ流紋のきらめき							
そうではないというのなら、実力で示すがいい。口先だけの輩など、俺は信じないことにしているのでな。			そうではないというのなら、実力で示すがいい。口先だけの輩など、俺は信じないことにしているのでな。			嵐呼ぶ流紋のきらめき							
俺たちは、このギルドに集う採掘師だ。ならば、ここは採掘師らしく勝負といこうじゃないか。			俺たちは、このギルドに集う採掘師だ。ならば、ここは採掘師らしく勝負といこうじゃないか。			嵐呼ぶ流紋のきらめき							
どちらが、より素晴らしい注文の品……「飛竜黒曜石」を掘るかでな。			どちらが、より素晴らしい注文の品……「飛竜黒曜石」を掘るかでな。			嵐呼ぶ流紋のきらめき							
しかし今のままでは、お前と俺の間の差は歴然だ。なぜなら、俺は「飛竜黒曜石」について、いささかながら、知っていることがあるからな。			しかし今のままでは、お前と俺の間の差は歴然だ。なぜなら、俺は「飛竜黒曜石」について、いささかながら、知っていることがあるからな。			嵐呼ぶ流紋のきらめき							
このままでは勝敗は明らかだ、平等ではない。そんな勝利は、俺も望んではおらぬ。			このままでは勝敗は明らかだ、平等ではない。そんな勝利は、俺も望んではおらぬ。			嵐呼ぶ流紋のきらめき							
そこでだ……依頼主である剣術士「フルドガー」から、「飛竜黒曜石」について、詳しい話を聞くがいい。今は、「剣術士ギルド」にいるはずだ。			そこでだ……依頼主である剣術士「フルドガー」から、「飛竜黒曜石」について、詳しい話を聞くがいい。今は、「剣術士ギルド」にいるはずだ。			嵐呼ぶ流紋のきらめき							
まぁ、たとえ「飛竜黒曜石」に詳しくなろうと、俺には勝てんだろうがな。			まぁ、たとえ「飛竜黒曜石」に詳しくなろうと、俺には勝てんだろうがな。			嵐呼ぶ流紋のきらめき							
やあ、あんたがForenameだね？話はワイド・ガリーさんから聞いてるよ。			やあ、あんたがForenameだね？話はワイド・ガリーさんから聞いてるよ。			嵐呼ぶ流紋のきらめき							
あの人から、公平な勝負がしたいから、あんたに依頼について説明してくれって、頼まれてるんだ。			あの人から、公平な勝負がしたいから、あんたに依頼について説明してくれって、頼まれてるんだ。			嵐呼ぶ流紋のきらめき							
しかし、あんたも大変だね。あのワイド・ガリーさんと、依頼で勝負するだなんて。			しかし、あんたも大変だね。あのワイド・ガリーさんと、依頼で勝負するだなんて。			嵐呼ぶ流紋のきらめき							
彼は採掘師としては、若くして達人の域にある男だ。何せ、父親がディープ・キャニオンさんだからね。小さい頃から英才教育を受けてる……勝ち目はあるかい？			彼は採掘師としては、若くして達人の域にある男だ。何せ、父親がディープ・キャニオンさんだからね。小さい頃から英才教育を受けてる……勝ち目はあるかい？			嵐呼ぶ流紋のきらめき							
もっとも、私は品物が手に入れば、それでいいからね。ワイド・ガリーさんとあんた、どっちが勝っても損はない。			もっとも、私は品物が手に入れば、それでいいからね。ワイド・ガリーさんとあんた、どっちが勝っても損はない。			嵐呼ぶ流紋のきらめき							
で、依頼についてだっけ……そうだな、何から話そう。私がなぜ「飛竜黒曜石」を求めているか、がいいかな？			で、依頼についてだっけ……そうだな、何から話そう。私がなぜ「飛竜黒曜石」を求めているか、がいいかな？			嵐呼ぶ流紋のきらめき							
……私はもともとコロセウムの「剣闘士」なんだが、怪我を負い、半ば引退状態だったんだ。			……私はもともとコロセウムの「剣闘士」なんだが、怪我を負い、半ば引退状態だったんだ。			嵐呼ぶ流紋のきらめき							
でも、そろそろ復帰するつもりでね。いい機会だから武器を新調しようと思って、「コンドルマクアフティル」を作ろうと考えたのさ。			でも、そろそろ復帰するつもりでね。いい機会だから武器を新調しようと思って、「コンドルマクアフティル」を作ろうと考えたのさ。			嵐呼ぶ流紋のきらめき							
マクアフティルとは金属の刃を持たない剣なんだが、埋め込んだ「飛竜黒曜石」はとても鋭い。使い方次第で金属の鎧だって斬り裂くんだ。			マクアフティルとは金属の刃を持たない剣なんだが、埋め込んだ「飛竜黒曜石」はとても鋭い。使い方次第で金属の鎧だって斬り裂くんだ。			嵐呼ぶ流紋のきらめき							
だからさ、復帰戦で負けないように、丈夫な「飛竜黒曜石」を15個ほど、私は必要としているんだ。			だからさ、復帰戦で負けないように、丈夫な「飛竜黒曜石」を15個ほど、私は必要としているんだ。			嵐呼ぶ流紋のきらめき							
「飛竜黒曜石」は、「ザルの祠」の付近で取れるだろう。採掘できたら、「ワイド・ガリー」さんに持っていってくれ。			「飛竜黒曜石」は、「ザルの祠」の付近で取れるだろう。採掘できたら、「ワイド・ガリー」さんに持っていってくれ。			嵐呼ぶ流紋のきらめき							
彼の掘ったものと、その場で見比べてみるんだ。あとから、私が優れているほうを受け取りに行くから。			彼の掘ったものと、その場で見比べてみるんだ。あとから、私が優れているほうを受け取りに行くから。			嵐呼ぶ流紋のきらめき							
どうした、Forename Surname？「飛竜黒曜石」はまだ見つからんのか？たった15個でいいというのに……フッフフ。			どうした、Forename Surname？「飛竜黒曜石」はまだ見つからんのか？たった15個でいいというのに……フッフフ。			嵐呼ぶ流紋のきらめき							
確かに「飛竜黒曜石」……！だが、こっ……これはっ！			確かに「飛竜黒曜石」……！だが、こっ……これはっ！			嵐呼ぶ流紋のきらめき							
俺が掘ったものよりも、明らかに質がいい……！この闇竜ダークスケールのごとき深い黒色は、石の密度が極めて高い証拠……！			俺が掘ったものよりも、明らかに質がいい……！この闇竜ダークスケールのごとき深い黒色は、石の密度が極めて高い証拠……！			嵐呼ぶ流紋のきらめき							
くっ、なぜお前のような奴が、これほどの物を！いや、俺に慢心があったというのか……？			くっ、なぜお前のような奴が、これほどの物を！いや、俺に慢心があったというのか……？			嵐呼ぶ流紋のきらめき							
……わかった、俺の掘ってきた物は、残念ながら質の点では一歩譲ることは認めよう。			……わかった、俺の掘ってきた物は、残念ながら質の点では一歩譲ることは認めよう。			嵐呼ぶ流紋のきらめき							
だが仕事には速さも重要だ。必要な物を、必要な時、必要な人間に供給する……常に好きなだけ仕事に時間をかけられるわけではない。			だが仕事には速さも重要だ。必要な物を、必要な時、必要な人間に供給する……常に好きなだけ仕事に時間をかけられるわけではない。			嵐呼ぶ流紋のきらめき							
今回は質の点で劣ったが、速さでは俺が勝っている。……引き分けということにしておこう。			今回は質の点で劣ったが、速さでは俺が勝っている。……引き分けということにしておこう。			嵐呼ぶ流紋のきらめき							
これは断じて負け惜しみではないぞ。そして約束しよう、次の機会には必ず俺が勝つ。質も、速さも、俺が完勝してみせる。			これは断じて負け惜しみではないぞ。そして約束しよう、次の機会には必ず俺が勝つ。質も、速さも、俺が完勝してみせる。			嵐呼ぶ流紋のきらめき							
フルドガーへは、俺が納品しておく。貴様はせいぜい、引き分けた幸運を噛みしめながら、ギルドマスターへと報告しておくがいい！			フルドガーへは、俺が納品しておく。貴様はせいぜい、引き分けた幸運を噛みしめながら、ギルドマスターへと報告しておくがいい！			嵐呼ぶ流紋のきらめき							
採掘師勝負を挑まれた！？ワイド・ガリーに！？			採掘師勝負を挑まれた！？ワイド・ガリーに！？			嵐呼ぶ流紋のきらめき							
ふぅ……いや、悪かったわね。そんなことになるなんて、思ってもみなかった。			ふぅ……いや、悪かったわね。そんなことになるなんて、思ってもみなかった。			嵐呼ぶ流紋のきらめき							
ワイド・ガリーは、今の採掘師ギルドでは屈指の腕利きよ。その彼に事実上、勝ってしまうなんて……。			ワイド・ガリーは、今の採掘師ギルドでは屈指の腕利きよ。その彼に事実上、勝ってしまうなんて……。			嵐呼ぶ流紋のきらめき							
その事実こそ、まさにあたしの予想外だわ。そこまでキミが成長していたなんて……。			その事実こそ、まさにあたしの予想外だわ。そこまでキミが成長していたなんて……。			嵐呼ぶ流紋のきらめき							
一人の採掘師としては複雑だけど、教える立場の者としては、嬉しくもあるわね。			一人の採掘師としては複雑だけど、教える立場の者としては、嬉しくもあるわね。			嵐呼ぶ流紋のきらめき							
