アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
そういう想いが、ずっとグルグルしてるんです。だから、自分の気持ちをはっきりさせるためにも、一度里帰りさせてもらいますので、よろしくお願いします！			そういう想いが、ずっとグルグルしてるんです。だから、自分の気持ちをはっきりさせるためにも、一度里帰りさせてもらいますので、よろしくお願いします！			暁月の未来に繋がれ、大繁盛の輪！							
まずは船でリムサ・ロミンサに行き、そこから飛空艇でラザハンに行くんでしたね。それじゃ出発しましょう！			まずは船でリムサ・ロミンサに行き、そこから飛空艇でラザハンに行くんでしたね。それじゃ出発しましょう！			暁月の未来に繋がれ、大繁盛の輪！							
この空気……間違いなくサベネア島の香りだ。久々にこの服に袖を通しましたが、やっぱりここは暑いですね！			この空気……間違いなくサベネア島の香りだ。久々にこの服に袖を通しましたが、やっぱりここは暑いですね！			暁月の未来に繋がれ、大繁盛の輪！							
うわぁ、サベネア島に帰ってきたんだね……！			うわぁ、サベネア島に帰ってきたんだね……！			暁月の未来に繋がれ、大繁盛の輪！							
と言っても、実はあたし、パーラカの里の外には滅多に出たことがなくて。ラザハンの都のことは右も左もわからないんだけど。			と言っても、実はあたし、パーラカの里の外には滅多に出たことがなくて。ラザハンの都のことは右も左もわからないんだけど。			暁月の未来に繋がれ、大繁盛の輪！							
俺たちみんなそうだよ。巡礼者の警備や、寺院の保守点検をするのが守護者の役目……里を長く離れる事態なんて、本来ありえないことだ。			俺たちみんなそうだよ。巡礼者の警備や、寺院の保守点検をするのが守護者の役目……里を長く離れる事態なんて、本来ありえないことだ。			暁月の未来に繋がれ、大繁盛の輪！							
逆にさ、ここに暮らす人たちは、寺院に詣でるために、わざわざ危険な道のりを往復しなきゃいけないわけだろ？それはそれで大変そうだな。			逆にさ、ここに暮らす人たちは、寺院に詣でるために、わざわざ危険な道のりを往復しなきゃいけないわけだろ？それはそれで大変そうだな。			暁月の未来に繋がれ、大繁盛の輪！							
都の中に寺院があれば参詣も楽だろうけど、さすがにそんなことは無理だし……。なにか皆の助けになることができたらいいね。			都の中に寺院があれば参詣も楽だろうけど、さすがにそんなことは無理だし……。なにか皆の助けになることができたらいいね。			暁月の未来に繋がれ、大繁盛の輪！							
都を出れば、あとの道のりはわかりますので、パーラカの里で落ち合いましょう！			都を出れば、あとの道のりはわかりますので、パーラカの里で落ち合いましょう！			暁月の未来に繋がれ、大繁盛の輪！							
ただいま、パーラカの里……！			ただいま、パーラカの里……！			暁月の未来に繋がれ、大繁盛の輪！							
無事に、里まで戻ってこられました。状況を知りたいので、まず里長に会いましょう。			無事に、里まで戻ってこられました。状況を知りたいので、まず里長に会いましょう。			暁月の未来に繋がれ、大繁盛の輪！							
里長！			里長！			暁月の未来に繋がれ、大繁盛の輪！							
おお……ハズダーダ、それにメジナも！シャーレアンに避難してから、ずっと心配していたが、よくぞ戻ってきた！			おお……ハズダーダ、それにメジナも！シャーレアンに避難してから、ずっと心配していたが、よくぞ戻ってきた！			暁月の未来に繋がれ、大繁盛の輪！							
みんな元気だよ！あたしたち、今はタタルさんという方に雇ってもらってて、里には仕事の関係で、一時的に帰ってこられたの。			みんな元気だよ！あたしたち、今はタタルさんという方に雇ってもらってて、里には仕事の関係で、一時的に帰ってこられたの。			暁月の未来に繋がれ、大繁盛の輪！							
そうだったか……元気でやっているのなら、なによりだ。			そうだったか……元気でやっているのなら、なによりだ。			暁月の未来に繋がれ、大繁盛の輪！							
あの終末の騒動のことから、皆の里帰りまで、あなたには、本当にお世話になりましたな……。里長として感謝を伝えさせてください。			あの終末の騒動のことから、皆の里帰りまで、あなたには、本当にお世話になりましたな……。里長として感謝を伝えさせてください。			暁月の未来に繋がれ、大繁盛の輪！							
それで、今日はどういったご用件で？			それで、今日はどういったご用件で？			暁月の未来に繋がれ、大繁盛の輪！							
ほほう、これはまた見事な品！ここは守護者の里、良質な装備は欠かせませんから、試供品ということでしたら、ありがたく頂戴しましょう。			ほほう、これはまた見事な品！ここは守護者の里、良質な装備は欠かせませんから、試供品ということでしたら、ありがたく頂戴しましょう。			暁月の未来に繋がれ、大繁盛の輪！							
何かお返しできればよいのですが、見てのとおり、もてなしとは無縁の里でしてな……。			何かお返しできればよいのですが、見てのとおり、もてなしとは無縁の里でしてな……。			暁月の未来に繋がれ、大繁盛の輪！							
里の暮らしは、ずいぶん落ち着いたみたいだね。			里の暮らしは、ずいぶん落ち着いたみたいだね。			暁月の未来に繋がれ、大繁盛の輪！							
うむ、星戦士団が護衛してくださっていることもあって、少しずつ平穏が戻りつつあるよ。			うむ、星戦士団が護衛してくださっていることもあって、少しずつ平穏が戻りつつあるよ。			暁月の未来に繋がれ、大繁盛の輪！							
よかった……。			よかった……。			暁月の未来に繋がれ、大繁盛の輪！							
あのさ、里長。俺たちがここに来た理由、実は仕事以外にもあるんだ。			あのさ、里長。俺たちがここに来た理由、実は仕事以外にもあるんだ。			暁月の未来に繋がれ、大繁盛の輪！							
心がサベネアから離れてしまったのではないかと思い、今一度、己の気持ちを確かめたい、と……。			心がサベネアから離れてしまったのではないかと思い、今一度、己の気持ちを確かめたい、と……。			暁月の未来に繋がれ、大繁盛の輪！							
ふふ、気持ちが移り変わるのは、生きていれば当たり前。それでも、こうして里のことを気にかけてくれているのなら、お前たちの心は、ちゃんとこの地と繋がっているよ。			ふふ、気持ちが移り変わるのは、生きていれば当たり前。それでも、こうして里のことを気にかけてくれているのなら、お前たちの心は、ちゃんとこの地と繋がっているよ。			暁月の未来に繋がれ、大繁盛の輪！							
でも、まだ復興はこれからなんだろう？元どおりにするためには、遠くから気にかけるだけじゃなくて、こっちに人手が必要なんじゃ……。			でも、まだ復興はこれからなんだろう？元どおりにするためには、遠くから気にかけるだけじゃなくて、こっちに人手が必要なんじゃ……。			暁月の未来に繋がれ、大繁盛の輪！							
残念だが、「元どおり」にはできん。……失われた命までは戻らないからな。			残念だが、「元どおり」にはできん。……失われた命までは戻らないからな。			暁月の未来に繋がれ、大繁盛の輪！							
復興の話が出たから言うのだが……かくいう私も、最近いろいろと悩んでいるのだ。パーラカの里の在り方についてな。			復興の話が出たから言うのだが……かくいう私も、最近いろいろと悩んでいるのだ。パーラカの里の在り方についてな。			暁月の未来に繋がれ、大繁盛の輪！							
えっ……？			えっ……？			暁月の未来に繋がれ、大繁盛の輪！							
知ってのとおり、ここは守護者たちが暮らす場所。その主な役目のひとつに神殿の維持がある。			知ってのとおり、ここは守護者たちが暮らす場所。その主な役目のひとつに神殿の維持がある。			暁月の未来に繋がれ、大繁盛の輪！							
しかし、重要なのは「訓え」を後世に伝えることであって、パーラカの里を、これまでどおり維持することではない……。			しかし、重要なのは「訓え」を後世に伝えることであって、パーラカの里を、これまでどおり維持することではない……。			暁月の未来に繋がれ、大繁盛の輪！							
別のやり方で人々の信仰が護られるのであれば、新しい在り方を目指してもよいと思わないかね？守護者も、パーラカの里も。			別のやり方で人々の信仰が護られるのであれば、新しい在り方を目指してもよいと思わないかね？守護者も、パーラカの里も。			暁月の未来に繋がれ、大繁盛の輪！							
もちろん、そのような先の未来の話だけではなく、もっと切実に、今何をすべきかという問題もある。お前たちが戻ってきてくれるなら、なおのこと考えなければな。			もちろん、そのような先の未来の話だけではなく、もっと切実に、今何をすべきかという問題もある。お前たちが戻ってきてくれるなら、なおのこと考えなければな。			暁月の未来に繋がれ、大繁盛の輪！							
里に戻るかどうか、じゃなくて、戻ったあとで何をするか、か……。			里に戻るかどうか、じゃなくて、戻ったあとで何をするか、か……。			暁月の未来に繋がれ、大繁盛の輪！							
そういうことを考えないまま、ただ戻ってくるわけにはいかないよね……。			そういうことを考えないまま、ただ戻ってくるわけにはいかないよね……。			暁月の未来に繋がれ、大繁盛の輪！							
なに、外の世界を見てきたお前さんたちなら、里の新しい在り方について、妙案が思いつくかもしれない。			なに、外の世界を見てきたお前さんたちなら、里の新しい在り方について、妙案が思いつくかもしれない。			暁月の未来に繋がれ、大繁盛の輪！							
せっかく訪ねてくれたのだし、少し里の皆とも話していかないか？それで閃いたことがあったら、是非とも教えてほしい。			せっかく訪ねてくれたのだし、少し里の皆とも話していかないか？それで閃いたことがあったら、是非とも教えてほしい。			暁月の未来に繋がれ、大繁盛の輪！							
ターンクリフのガイウスは、試供品について話を聞きたいようだ。			ターンクリフのガイウスは、試供品について話を聞きたいようだ。			彼女の夢、家族の絆							
ガイウスと話した。試供品について話すと、採用の可否を検討すると約束してくれた。その上で彼は、ウァレンスの影武者の一件で心配しているであろう子どもたちを安心させるため、声をかけてほしいと依頼してきた。ターンクリフの「アウラ族の少年」と話そう。			ガイウスと話した。試供品について話すと、採用の可否を検討すると約束してくれた。その上で彼は、ウァレンスの影武者の一件で心配しているであろう子どもたちを安心させるため、声をかけてほしいと依頼してきた。ターンクリフの「アウラ族の少年」と話そう。			彼女の夢、家族の絆							
アウラ族の少年と話した。彼と仲間の少年たちは、ウァレンスが本物ではなく、また影武者も捕縛されたと知り安心したようだ。そして孤児院で自分たちを献身的に支えてくれるアリーへの感謝の想いを伝えるために、彼女の夢を叶える手伝いをしてほしいと依頼してきた。ターンクリフの「ガイウス」と「アリー」と話そう。			アウラ族の少年と話した。彼と仲間の少年たちは、ウァレンスが本物ではなく、また影武者も捕縛されたと知り安心したようだ。そして孤児院で自分たちを献身的に支えてくれるアリーへの感謝の想いを伝えるために、彼女の夢を叶える手伝いをしてほしいと依頼してきた。ターンクリフの「ガイウス」と「アリー」と話そう。			彼女の夢、家族の絆							
ガイウスとアリーと話した。ふたりとも肖像画を描くことを了承してくれた。ターンクリフの「アヴィリナ」と話そう。			ガイウスとアリーと話した。ふたりとも肖像画を描くことを了承してくれた。ターンクリフの「アヴィリナ」と話そう。			彼女の夢、家族の絆							
アヴィリナと話した。彼女の秘策により、疑似聖石システムを用いた幻影が投射された結果、肖像画家はガイウスとアリーのみならず、その義兄弟たちの姿も描くことができた。ターンクリフの「アウラ族の少年」と話そう。			アヴィリナと話した。彼女の秘策により、疑似聖石システムを用いた幻影が投射された結果、肖像画家はガイウスとアリーのみならず、その義兄弟たちの姿も描くことができた。ターンクリフの「アウラ族の少年」と話そう。			彼女の夢、家族の絆							
アウラ族の少年と話した。子どもたちは、アリーの夢を叶えることができて満足げな様子だった。彼らはお礼として綺麗な貝殻をくれた。オールド・シャーレアンのアゴラの「メジナ」に「少年たちの贈り物」を渡そう。			アウラ族の少年と話した。子どもたちは、アリーの夢を叶えることができて満足げな様子だった。彼らはお礼として綺麗な貝殻をくれた。オールド・シャーレアンのアゴラの「メジナ」に「少年たちの贈り物」を渡そう。			彼女の夢、家族の絆							
メジナに「少年たちの贈り物」を渡した。子どもたちがくれた貝殻は、宝飾品にも用いられる貴重な品だという。メジナはネックレスを彩るために使うつもりのようだ。ウェルリトで出会った人々の幸せを願いつつ、メジナからの次なる依頼を待とう。			メジナに「少年たちの贈り物」を渡した。子どもたちがくれた貝殻は、宝飾品にも用いられる貴重な品だという。メジナはネックレスを彩るために使うつもりのようだ。ウェルリトで出会った人々の幸せを願いつつ、メジナからの次なる依頼を待とう。			彼女の夢、家族の絆							
アウラ族の少年と話す			アウラ族の少年と話す			彼女の夢、家族の絆							
ガイウスと話す			ガイウスと話す			彼女の夢、家族の絆							
アリーと話す			アリーと話す			彼女の夢、家族の絆							
アヴィリナと話す			アヴィリナと話す			彼女の夢、家族の絆							
アウラ族の少年と話す			アウラ族の少年と話す			彼女の夢、家族の絆							
オールド・シャーレアンのメジナに少年たちの贈り物を渡す			オールド・シャーレアンのメジナに少年たちの贈り物を渡す			彼女の夢、家族の絆							
さて、なぜ貴殿が装備選定用の試供品を届けに来たのか、経緯も含めて説明してもらいたい。			さて、なぜ貴殿が装備選定用の試供品を届けに来たのか、経緯も含めて説明してもらいたい。			彼女の夢、家族の絆							
ふむ、あの「暁」に所属していた者が立ち上げた、大繁盛商店なる新興商会からの依頼である、と。			ふむ、あの「暁」に所属していた者が立ち上げた、大繁盛商店なる新興商会からの依頼である、と。			彼女の夢、家族の絆							
たしかに、あの防具は一見しただけでも、品質の高さがわかる見事な品であった……。関係者にも共有し、採用の可否を検討すると約束しよう。			たしかに、あの防具は一見しただけでも、品質の高さがわかる見事な品であった……。関係者にも共有し、採用の可否を検討すると約束しよう。			彼女の夢、家族の絆							
しかし、貴殿ほどの英雄に、かような小間使い同然の仕事をさせるとは……。そのタタルなる商会の主は、なかなかの傑物に違いない。			しかし、貴殿ほどの英雄に、かような小間使い同然の仕事をさせるとは……。そのタタルなる商会の主は、なかなかの傑物に違いない。			彼女の夢、家族の絆							
何と言う？			何と言う？			彼女の夢、家族の絆							
配達も冒険者の仕事のうちだ			配達も冒険者の仕事のうちだ			彼女の夢、家族の絆							
「暁」の金庫番には逆らえない			「暁」の金庫番には逆らえない			彼女の夢、家族の絆							
それが貴殿の冒険者としての在り様というわけか。驕り高ぶらぬ姿勢は、見習わねばならんようだな。			それが貴殿の冒険者としての在り様というわけか。驕り高ぶらぬ姿勢は、見習わねばならんようだな。			彼女の夢、家族の絆							
貴殿に、そこまで言わせる人物ともなれば、商談に進むにしても、決して油断してはならんようだな。			貴殿に、そこまで言わせる人物ともなれば、商談に進むにしても、決して油断してはならんようだな。			彼女の夢、家族の絆							
ともあれ、これで用件は済んだのであろう？ならば今しばらく、顔を貸してはくれぬだろうか。			ともあれ、これで用件は済んだのであろう？ならば今しばらく、顔を貸してはくれぬだろうか。			彼女の夢、家族の絆							
子どもらに、事の顛末を伝えてやってほしいのだ。もうウァレンスの影に怯える必要はないのだ、とな。ガレアンである我よりも、貴殿から伝えた方が安心できよう。			子どもらに、事の顛末を伝えてやってほしいのだ。もうウァレンスの影に怯える必要はないのだ、とな。ガレアンである我よりも、貴殿から伝えた方が安心できよう。			彼女の夢、家族の絆							
やってくれるか、助かる。資材置き場の裏手あたりにいるであろう、「アウラ族の少年」に声をかけてやってくれ。			やってくれるか、助かる。資材置き場の裏手あたりにいるであろう、「アウラ族の少年」に声をかけてやってくれ。			彼女の夢、家族の絆							
この子たちの様子が心配で、一緒に待っていたんです。			この子たちの様子が心配で、一緒に待っていたんです。			彼女の夢、家族の絆							
俺たち、ちゃんと反省してるよ。格納庫に忍び込んでたことも、アイツに教えちゃったこともさ。			俺たち、ちゃんと反省してるよ。格納庫に忍び込んでたことも、アイツに教えちゃったこともさ。			彼女の夢、家族の絆							
姉ちゃん兄ちゃんが、Gウォリアーを動かしたってホント？すっげぇ～！			姉ちゃん兄ちゃんが、Gウォリアーを動かしたってホント？すっげぇ～！			彼女の夢、家族の絆							
手数をかける……。資材置き場の裏手あたりにいるであろう、「アウラ族の少年」に声をかけてやってくれ。			手数をかける……。資材置き場の裏手あたりにいるであろう、「アウラ族の少年」に声をかけてやってくれ。			彼女の夢、家族の絆							
お姉さんお兄さん、帰ってきてくれたんだね！あれからどうなったの！？			お姉さんお兄さん、帰ってきてくれたんだね！あれからどうなったの！？			彼女の夢、家族の絆							
あのカッコイイ魔導兵器、取り戻せたんだな！すっごいよ、お姉さんお兄さん！			あのカッコイイ魔導兵器、取り戻せたんだな！すっごいよ、お姉さんお兄さん！			彼女の夢、家族の絆							
それにアイツは偽者で、しかもちゃんと捕まえてくれたんだね。なら、ウァレンスがぼくらの前に現れることは……			それにアイツは偽者で、しかもちゃんと捕まえてくれたんだね。なら、ウァレンスがぼくらの前に現れることは……			彼女の夢、家族の絆							
ええ、もう二度とないわ。だから怯える必要もない……。			ええ、もう二度とないわ。だから怯える必要もない……。			彼女の夢、家族の絆							
よ、よかった～。			よ、よかった～。			彼女の夢、家族の絆							
今も、アイツのことを夢に見て、夜中に飛び起きちゃうこともあってさ。ぼく、怖くて怖くて、仕方がなかったんだ……。			今も、アイツのことを夢に見て、夜中に飛び起きちゃうこともあってさ。ぼく、怖くて怖くて、仕方がなかったんだ……。			彼女の夢、家族の絆							
でも、そんなこと、アリー姉ちゃんには言えなくって……。			でも、そんなこと、アリー姉ちゃんには言えなくって……。			彼女の夢、家族の絆							
ああ、Forenameさんは、ご存知ないんでしたっけ。最近、アリーさんは、この子たちが暮らしている孤児院で、お手伝いの仕事をしているんですよ。			ああ、Forenameさんは、ご存知ないんでしたっけ。最近、アリーさんは、この子たちが暮らしている孤児院で、お手伝いの仕事をしているんですよ。			彼女の夢、家族の絆							
とっても優しくしてもらってるんだ！			とっても優しくしてもらってるんだ！			彼女の夢、家族の絆							
だから心配させたくないし、今回のことも秘密にしておいてもらえないかな……。			だから心配させたくないし、今回のことも秘密にしておいてもらえないかな……。			彼女の夢、家族の絆							
アリー姉ちゃんも、ウァレンスにはひどい目に遭わされてたって聞いてるからさ。思い出させたくないんだよ。			アリー姉ちゃんも、ウァレンスにはひどい目に遭わされてたって聞いてるからさ。思い出させたくないんだよ。			彼女の夢、家族の絆							
ありがとう、お姉さんお兄さんって優しいね。			ありがとう、お姉さんお兄さんって優しいね。			彼女の夢、家族の絆							
そうだ、お姉さんお兄さんも、アリー姉ちゃんの知り合いなら、手伝ってくれないかな？ありがとうの気持ちを伝えるために、夢を叶えてあげたいんだよ！			そうだ、お姉さんお兄さんも、アリー姉ちゃんの知り合いなら、手伝ってくれないかな？ありがとうの気持ちを伝えるために、夢を叶えてあげたいんだよ！			彼女の夢、家族の絆							
この前、たまたま聞いたんだ。アリー姉ちゃんは、家族との肖像画を描いてもらうのが夢だって。だから画家の先生に頼もうと思ってさ！			この前、たまたま聞いたんだ。アリー姉ちゃんは、家族との肖像画を描いてもらうのが夢だって。だから画家の先生に頼もうと思ってさ！			彼女の夢、家族の絆							
でも……ガイウスさんはいるけど、アリー姉ちゃんのきょうだいは、もう……。			でも……ガイウスさんはいるけど、アリー姉ちゃんのきょうだいは、もう……。			彼女の夢、家族の絆							
何と答える？			何と答える？			彼女の夢、家族の絆							
アルフォンスたちの姿を画家に伝えればいい			アルフォンスたちの姿を画家に伝えればいい			彼女の夢、家族の絆							
幻影でも映し出せれば……			幻影でも映し出せれば……			彼女の夢、家族の絆							
なるほど……それは名案かもしれませんね。			なるほど……それは名案かもしれませんね。			彼女の夢、家族の絆							
私、どうにかできるかもしれません！			私、どうにかできるかもしれません！			彼女の夢、家族の絆							
ほんと……！？なら、ぼくたち、さっそく画家の先生に連絡してみるよ！			ほんと……！？なら、ぼくたち、さっそく画家の先生に連絡してみるよ！			彼女の夢、家族の絆							
それじゃあ、お姉さんお兄さんは、アリー姉ちゃんとガイウスさんに伝えてきてくれませんか？肖像画を描くから展望台に集まってほしいって……。			それじゃあ、お姉さんお兄さんは、アリー姉ちゃんとガイウスさんに伝えてきてくれませんか？肖像画を描くから展望台に集まってほしいって……。			彼女の夢、家族の絆							
では、私もネロさんに倣って秘策を用意しつつ、先に展望台の方に行っていますね！おふたりへのお声がけが終わったら来てくださいね！			では、私もネロさんに倣って秘策を用意しつつ、先に展望台の方に行っていますね！おふたりへのお声がけが終わったら来てくださいね！			彼女の夢、家族の絆							
子どもたちへの報告は済んだか？			子どもたちへの報告は済んだか？			彼女の夢、家族の絆							
そうか、安心した様子だったと聞いて、ホッとしている。ウァレンスの外道な行いは、その被害を受けた者たちの心に、深すぎる傷跡を残しているからな。			そうか、安心した様子だったと聞いて、ホッとしている。ウァレンスの外道な行いは、その被害を受けた者たちの心に、深すぎる傷跡を残しているからな。			彼女の夢、家族の絆							
それにしても、あの子らがアリーのために肖像画を……。			それにしても、あの子らがアリーのために肖像画を……。			彼女の夢、家族の絆							
わかった。準備を整えてから展望台へ向かわせてもらおう。			わかった。準備を整えてから展望台へ向かわせてもらおう。			彼女の夢、家族の絆							
英雄さん……！？			英雄さん……！？			彼女の夢、家族の絆							
会えるなんて思ってなかったから、ちょっと驚いた。でも、どうして私のところに来てくれたの？			会えるなんて思ってなかったから、ちょっと驚いた。でも、どうして私のところに来てくれたの？			彼女の夢、家族の絆							
あの子たちが、私のために……。たしかに家族で肖像画を描いてもらうのが夢だって、話したことはあったけど……。			あの子たちが、私のために……。たしかに家族で肖像画を描いてもらうのが夢だって、話したことはあったけど……。			彼女の夢、家族の絆							
……私が描いてもらいたかったのは、「家族みんな」がそろった肖像画だった。			……私が描いてもらいたかったのは、「家族みんな」がそろった肖像画だった。			彼女の夢、家族の絆							
でも、せっかく子どもたちが準備していてくれたのなら、無下にはできない……。わかった、展望台に行かせてもらうね。			でも、せっかく子どもたちが準備していてくれたのなら、無下にはできない……。わかった、展望台に行かせてもらうね。			彼女の夢、家族の絆							
おふたりへのお声がけ、無事に終わったようですね！こちらも秘策の準備は完了してます！			おふたりへのお声がけ、無事に終わったようですね！こちらも秘策の準備は完了してます！			彼女の夢、家族の絆							
あとは画家の先生と、モデルさんたちの到着を待つばかりですね。			あとは画家の先生と、モデルさんたちの到着を待つばかりですね。			彼女の夢、家族の絆							
さあ、ガイウス様、アリーさん、そちらで描きましょうか。			さあ、ガイウス様、アリーさん、そちらで描きましょうか。			彼女の夢、家族の絆							
画家の先生、アリー姉ちゃんを綺麗に描いてくれよな！			画家の先生、アリー姉ちゃんを綺麗に描いてくれよな！			彼女の夢、家族の絆							
これで、アリー姉ちゃんの夢が叶うんだよな？家族と一緒に、肖像画を描いてもらうってさ……。			これで、アリー姉ちゃんの夢が叶うんだよな？家族と一緒に、肖像画を描いてもらうってさ……。			彼女の夢、家族の絆							
今のままでも、喜んでくれるとは思うわ。でも、彼女にとっての家族は、ガイウス様だけじゃない。			今のままでも、喜んでくれるとは思うわ。でも、彼女にとっての家族は、ガイウス様だけじゃない。			彼女の夢、家族の絆							
でも、アリー姉ちゃんのきょうだいは……。			でも、アリー姉ちゃんのきょうだいは……。			彼女の夢、家族の絆							
本当に大丈夫なの？			本当に大丈夫なの？			彼女の夢、家族の絆							
大丈夫、これでも天才機工師の下で働いていたのよ。ちゃんと秘策を用意しているんだから……。			大丈夫、これでも天才機工師の下で働いていたのよ。ちゃんと秘策を用意しているんだから……。			彼女の夢、家族の絆							
これは……！			これは……！			彼女の夢、家族の絆							
アルフォンス兄さん、みんな……			アルフォンス兄さん、みんな……			彼女の夢、家族の絆							
おふたりさん、モデルが動いてしまったら、画家の先生が困ってしまうわ。もう少し、じっとしていなくっちゃ！			おふたりさん、モデルが動いてしまったら、画家の先生が困ってしまうわ。もう少し、じっとしていなくっちゃ！			彼女の夢、家族の絆							
夢が叶ったよ。……ありがとう。			夢が叶ったよ。……ありがとう。			彼女の夢、家族の絆							
素敵な肖像画が仕上がりましたね。このような形でミリサンディアの姿を見ることができて、私も感無量です……。			素敵な肖像画が仕上がりましたね。このような形でミリサンディアの姿を見ることができて、私も感無量です……。			彼女の夢、家族の絆							
ありがとう……。まさか夢を叶えることができるだなんて……宝物として、いつまでも大切にするね。			ありがとう……。まさか夢を叶えることができるだなんて……宝物として、いつまでも大切にするね。			彼女の夢、家族の絆							
……すまない、この胸に宿る想いをいかに表現すべきか、今の我には皆目わからぬのだ。ただ、感謝しよう、貴殿らの行いに……。			……すまない、この胸に宿る想いをいかに表現すべきか、今の我には皆目わからぬのだ。ただ、感謝しよう、貴殿らの行いに……。			彼女の夢、家族の絆							
アリー姉ちゃんの夢、叶えられて本当によかったよ！お姉さんお兄さん、協力してくれてありがとう！			アリー姉ちゃんの夢、叶えられて本当によかったよ！お姉さんお兄さん、協力してくれてありがとう！			彼女の夢、家族の絆							
いろいろ助けてくれたからさ、お礼ってわけじゃないけど、お姉さんお兄さんにも贈り物を用意したんだ。			いろいろ助けてくれたからさ、お礼ってわけじゃないけど、お姉さんお兄さんにも贈り物を用意したんだ。			彼女の夢、家族の絆							
孤児院の仲間たちと海岸で拾った貝殻なんだけど、ピンク色で、すっごい綺麗なんだ！よかったら受け取ってね！			孤児院の仲間たちと海岸で拾った貝殻なんだけど、ピンク色で、すっごい綺麗なんだ！よかったら受け取ってね！			彼女の夢、家族の絆							
それじゃ、またね！			それじゃ、またね！			彼女の夢、家族の絆							
もらった貝殻は、ネックレスを仕立て直すために使えそうだ。オールド・シャーレアンのメジナに声をかけ、「少年たちの贈り物」を渡そう。			もらった貝殻は、ネックレスを仕立て直すために使えそうだ。オールド・シャーレアンのメジナに声をかけ、「少年たちの贈り物」を渡そう。			彼女の夢、家族の絆							
Forenameさん、お疲れ様です！ガイウス氏への試供品のお届け、いかがでしたか？			Forenameさん、お疲れ様です！ガイウス氏への試供品のお届け、いかがでしたか？			彼女の夢、家族の絆							
魔導兵器の強奪事件を解決した上に、孤児たちと一緒に、義娘さんの夢を叶えてきたですって？			魔導兵器の強奪事件を解決した上に、孤児たちと一緒に、義娘さんの夢を叶えてきたですって？			彼女の夢、家族の絆							
すべての問題を解決してしまう力もさることながら、行く先々で事件に遭遇する悪運には、驚かされてしまいます。これが一流の冒険者と言うべきでしょうか。			すべての問題を解決してしまう力もさることながら、行く先々で事件に遭遇する悪運には、驚かされてしまいます。これが一流の冒険者と言うべきでしょうか。			彼女の夢、家族の絆							
そうとなると、ネックレスを仕立て直すための素材についても、もちろん手に入れて……			そうとなると、ネックレスを仕立て直すための素材についても、もちろん手に入れて……			彼女の夢、家族の絆							
わぁ、美しい貝殻ですね！ウェルリト産のローズシェルと言えば、宝飾品にも用いられる貴重な品と聞いたことがあります。			わぁ、美しい貝殻ですね！ウェルリト産のローズシェルと言えば、宝飾品にも用いられる貴重な品と聞いたことがあります。			彼女の夢、家族の絆							
整形した上で磨き上げれば、ネックレスを彩ることができそうですよ！			整形した上で磨き上げれば、ネックレスを彩ることができそうですよ！			彼女の夢、家族の絆							
それから……包みには肖像画の写しも入っていますね。これは、あなたへの贈り物ということでしょう。どうかお受け取りください。			それから……包みには肖像画の写しも入っていますね。これは、あなたへの贈り物ということでしょう。どうかお受け取りください。			彼女の夢、家族の絆							
ウェルリト国防軍の装備選定にも、参加できそうですし、大繁盛商店としても大満足の結果ですよ。本当に、ありがとうございました！			ウェルリト国防軍の装備選定にも、参加できそうですし、大繁盛商店としても大満足の結果ですよ。本当に、ありがとうございました！			彼女の夢、家族の絆							
パーラカの里のハズダーダは、里長の言葉を反芻しているようだ。			パーラカの里のハズダーダは、里長の言葉を反芻しているようだ。			大繁盛の輪よ、永遠に							
里が抱える問題について、人々から話を聞くことになった。サベネア島のパーラカの里にいる「ハズダーダ」と話そう。			里が抱える問題について、人々から話を聞くことになった。サベネア島のパーラカの里にいる「ハズダーダ」と話そう。			大繁盛の輪よ、永遠に							
ハズダーダとメジナとともに、パーラカの里の人々と話そう。※同行状態が解除された場合、再度「ハズダーダ」に話しかけることで同行を再開できます。			ハズダーダとメジナとともに、パーラカの里の人々と話そう。※同行状態が解除された場合、再度「ハズダーダ」に話しかけることで同行を再開できます。			大繁盛の輪よ、永遠に							
人々から、里が抱える問題について聞いた。ハズダーダとメジナを連れてサベネア島の「プルシャ寺院」へ行こう。			人々から、里が抱える問題について聞いた。ハズダーダとメジナを連れてサベネア島の「プルシャ寺院」へ行こう。			大繁盛の輪よ、永遠に							
ハズダーダとメジナは、大繁盛商店の新商品によって里の未来を作ることを思いついた。パーラカの里の「イェルヴェット」と話そう。			ハズダーダとメジナは、大繁盛商店の新商品によって里の未来を作ることを思いついた。パーラカの里の「イェルヴェット」と話そう。			大繁盛の輪よ、永遠に							
ハズダーダとメジナは、今後もシャーレアンに残って働く意思を伝えた。オールド・シャーレアンのアゴラにいる「メジナ」と話そう。			ハズダーダとメジナは、今後もシャーレアンに残って働く意思を伝えた。オールド・シャーレアンのアゴラにいる「メジナ」と話そう。			大繁盛の輪よ、永遠に							
タタルに新商品の提案をし、修復されたネックレスをプレゼントした。アゴラの「メジナ」と再度話そう。			タタルに新商品の提案をし、修復されたネックレスをプレゼントした。アゴラの「メジナ」と再度話そう。			大繁盛の輪よ、永遠に							
