リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
ありがとう！「姿見の湖」の「魚たちの街」にあたる辺りで、古地図の示す場所に何があるのか、調べてきておくれ！			ありがとう！「姿見の湖」の「魚たちの街」にあたる辺りで、古地図の示す場所に何があるのか、調べてきておくれ！			姿見に眠る悪事							
水中を探す手立てがあるのかい？「姿見の湖」の「魚たちの街」で、古地図の示す場所に何があるのか、調べてきておくれ！			水中を探す手立てがあるのかい？「姿見の湖」の「魚たちの街」で、古地図の示す場所に何があるのか、調べてきておくれ！			姿見に眠る悪事							
地図の示す場所で、何か見つかったかい？			地図の示す場所で、何か見つかったかい？			姿見に眠る悪事							
これは……「フッブート様式の小箱」のようだね。アマロの口では開けられそうにないや、中身を取り出してもらえるかい？			これは……「フッブート様式の小箱」のようだね。アマロの口では開けられそうにないや、中身を取り出してもらえるかい？			姿見に眠る悪事							
箱の中から、古びた手紙を見つけた。小箱に守られ、奇跡的に中身を読むことができそうだ。			箱の中から、古びた手紙を見つけた。小箱に守られ、奇跡的に中身を読むことができそうだ。			姿見に眠る悪事							
この印は、フッブート王国の宮廷魔道士のもの……そして宛先は、国王に反発していた派閥の有力貴族だね。王位簒奪を狙った魔道士が、貴族と交わそうとした密約か……。			この印は、フッブート王国の宮廷魔道士のもの……そして宛先は、国王に反発していた派閥の有力貴族だね。王位簒奪を狙った魔道士が、貴族と交わそうとした密約か……。			姿見に眠る悪事							
どうやら、国を揺るがす大事件が起きようとしていたみたいだ。この書簡を当時、僕の主人が見つけていたなら、魔道士たちを訴追すべく、目の色を変えて駆け回っていたかな。			どうやら、国を揺るがす大事件が起きようとしていたみたいだ。この書簡を当時、僕の主人が見つけていたなら、魔道士たちを訴追すべく、目の色を変えて駆け回っていたかな。			姿見に眠る悪事							
いずれにせよ、「光の氾濫」によって、主人も貴族たちも、そしてフッブート王国も失われてしまった。			いずれにせよ、「光の氾濫」によって、主人も貴族たちも、そしてフッブート王国も失われてしまった。			姿見に眠る悪事							
事件の重大な証拠だったろうこの手紙も、今は、主人の思い出としてだけ、意味があるのかな。100年湖底にあった彼の未練を救えたようだよ……ありがとう。			事件の重大な証拠だったろうこの手紙も、今は、主人の思い出としてだけ、意味があるのかな。100年湖底にあった彼の未練を救えたようだよ……ありがとう。			姿見に眠る悪事							
特殊ルール： レベルアジャストヴォレクドルフのエオ＝アンは、付き合ってほしいことがあるようだ。			特殊ルール： レベルアジャストヴォレクドルフのエオ＝アンは、付き合ってほしいことがあるようだ。			取引への飢え							
ヤラ＝オールと話す			ヤラ＝オールと話す			取引への飢え							
フッブートハーブを集める			フッブートハーブを集める			取引への飢え							
ヤラ＝オールにフッブートハーブを渡す			ヤラ＝オールにフッブートハーブを渡す			取引への飢え							
エオ＝アンと話す			エオ＝アンと話す			取引への飢え							
ねえ、ちょっと付き合ってくれないかしら？実は少し前から、仲間の体調が良くなくて心配なの。			ねえ、ちょっと付き合ってくれないかしら？実は少し前から、仲間の体調が良くなくて心配なの。			取引への飢え							
何があったのか、話を聞いてみたら、どうやら、間違って毒草を食べてしまったみたいなのよ。それからというもの、気分が優れないらしくて……。			何があったのか、話を聞いてみたら、どうやら、間違って毒草を食べてしまったみたいなのよ。それからというもの、気分が優れないらしくて……。			取引への飢え							
そこでお願いなのだけれど、プラ・エンニ茸窟にいる、「ヤラ＝オール」から、薬を貰ってきてくれないかしら？私は、看病に残らないとならないから……よろしくね。			そこでお願いなのだけれど、プラ・エンニ茸窟にいる、「ヤラ＝オール」から、薬を貰ってきてくれないかしら？私は、看病に残らないとならないから……よろしくね。			取引への飢え							
プラ・エンニ茸窟にいる、「ヤラ＝オール」から、薬を貰ってきてくれないかしら？私は、看病に残らないとならないから……よろしくね。			プラ・エンニ茸窟にいる、「ヤラ＝オール」から、薬を貰ってきてくれないかしら？私は、看病に残らないとならないから……よろしくね。			取引への飢え							
なになに、薬が欲しくて困ってるアマロがいるだって？困ってるのに、ン・モゥもアマロも関係ありません、喜んで協力いたしましょう。			なになに、薬が欲しくて困ってるアマロがいるだって？困ってるのに、ン・モゥもアマロも関係ありません、喜んで協力いたしましょう。			取引への飢え							
ただし、何事にも対価は必要。代わりに薬の材料になる薬草集めを手伝っていただきたい。それなら、公正な取引といえるでしょう。			ただし、何事にも対価は必要。代わりに薬の材料になる薬草集めを手伝っていただきたい。それなら、公正な取引といえるでしょう。			取引への飢え							
私が欲する薬草「フッブートハーブ」は、フッブーテンブルクで採れるはずだよ。4つほど集めてきてね。			私が欲する薬草「フッブートハーブ」は、フッブーテンブルクで採れるはずだよ。4つほど集めてきてね。			取引への飢え							
私が欲する薬草「フッブートハーブ」は、フッブーテンブルクで採れるはずだよ。4つほど集めてきてね。			私が欲する薬草「フッブートハーブ」は、フッブーテンブルクで採れるはずだよ。4つほど集めてきてね。			取引への飢え							
どうだい、フッブートハーブは集まったかな？			どうだい、フッブートハーブは集まったかな？			取引への飢え							
たしかにフッブートハーブが4つ、ご苦労さまでした。そうそう、急いだほうがよかろうと、作った薬の方は、ヴォレクドルフに届けておいたよ。			たしかにフッブートハーブが4つ、ご苦労さまでした。そうそう、急いだほうがよかろうと、作った薬の方は、ヴォレクドルフに届けておいたよ。			取引への飢え							
ただ……薬を渡したアマロは、どことなく他人行儀な印象がしたのですが、なんでだろう？……ともかく、これにて取引は完了、素晴らしい公正さでしたね。			ただ……薬を渡したアマロは、どことなく他人行儀な印象がしたのですが、なんでだろう？……ともかく、これにて取引は完了、素晴らしい公正さでしたね。			取引への飢え							
ともかく、これにて取引は完了……素晴らしい公正さでしたね。			ともかく、これにて取引は完了……素晴らしい公正さでしたね。			取引への飢え							
先ほどいらしたン・モゥ族の方から、お話はうかがったわ。薬草集めをしてくださったそうね……わざわざ、ありがとう。			先ほどいらしたン・モゥ族の方から、お話はうかがったわ。薬草集めをしてくださったそうね……わざわざ、ありがとう。			取引への飢え							
いただいた薬を飲ませたら、仲間の具合もよくなってきて、一安心よ。ところで、あの方とのやりとりは、問題なく行ったかしら？			いただいた薬を飲ませたら、仲間の具合もよくなってきて、一安心よ。ところで、あの方とのやりとりは、問題なく行ったかしら？			取引への飢え							
すごいのね、あなた！ン・モゥ族と普通に話せるだなんて……！			すごいのね、あなた！ン・モゥ族と普通に話せるだなんて……！			取引への飢え							
あの方ったら、会うたびに、「何か困ったことはない？」って必ず聞いてくるのよ。なんだか「取引」することに、たいそう飢えているみたいでね。			あの方ったら、会うたびに、「何か困ったことはない？」って必ず聞いてくるのよ。なんだか「取引」することに、たいそう飢えているみたいでね。			取引への飢え							
本当に何も困ってないのに、困ってることはないかと、問い詰められることもあってね……もはや、それが困り事よ。だから、あまり顔を見せないように距離感を保っていたの……。			本当に何も困ってないのに、困ってることはないかと、問い詰められることもあってね……もはや、それが困り事よ。だから、あまり顔を見せないように距離感を保っていたの……。			取引への飢え							
とにかく付き合ってくれて、助かったわ。あなたも、しつこく絡まれないよう気をつけるといいわよ。			とにかく付き合ってくれて、助かったわ。あなたも、しつこく絡まれないよう気をつけるといいわよ。			取引への飢え							
特殊ルール： レベルアジャストヴォレクドルフのリスパは、「卵の欠片」を探しているようだ。			特殊ルール： レベルアジャストヴォレクドルフのリスパは、「卵の欠片」を探しているようだ。			卵の集いし地							
卵の欠片を入手			卵の欠片を入手			卵の集いし地							
リスパに卵の欠片を渡す			リスパに卵の欠片を渡す			卵の集いし地							
旅人さん、ちょうどいい！頼みたいことがあったんだ。付近の「卵の欠片」を探してきて欲しいと思ってね。			旅人さん、ちょうどいい！頼みたいことがあったんだ。付近の「卵の欠片」を探してきて欲しいと思ってね。			卵の集いし地							
いやいや……あなたは随分、過酷な戦いに巻き込まれたりだとか、たくさん厄介な頼まれごとを引き受けているみたいだから。たまには、こんな散歩気分のものも、いいだろう？			いやいや……あなたは随分、過酷な戦いに巻き込まれたりだとか、たくさん厄介な頼まれごとを引き受けているみたいだから。たまには、こんな散歩気分のものも、いいだろう？			卵の集いし地							
何と答える？			何と答える？			卵の集いし地							
手伝って欲しいんでしょう？			手伝って欲しいんでしょう？			卵の集いし地							
気遣いありがとう			気遣いありがとう			卵の集いし地							
はは、昔あなたと似た旅人にも、同じように頼んでみたら、「ようは、老いて体を動かすのも億劫だから手伝えってことだろう」……なんて、ずいぶん直球に返されてしまったけどね。			はは、昔あなたと似た旅人にも、同じように頼んでみたら、「ようは、老いて体を動かすのも億劫だから手伝えってことだろう」……なんて、ずいぶん直球に返されてしまったけどね。			卵の集いし地							
足腰が鈍くて、力を借りたいのは本当さ。「ダメルン巡礼教会跡」にある、アマロの「卵の欠片」を探してきてもらえるかい？			足腰が鈍くて、力を借りたいのは本当さ。「ダメルン巡礼教会跡」にある、アマロの「卵の欠片」を探してきてもらえるかい？			卵の集いし地							
「ダメルン巡礼教会跡」にある、アマロの「卵の欠片」を探してきてもらえるかい？			「ダメルン巡礼教会跡」にある、アマロの「卵の欠片」を探してきてもらえるかい？			卵の集いし地							
「卵の欠片」、見つけてきてくれたかい？			「卵の欠片」、見つけてきてくれたかい？			卵の集いし地							
立派なものを持ってきてくれたね、ありがとう！ン・モゥ族から伝え聞いたところによれば、卵の欠片には、骨を強める効能があるらしくてね。			立派なものを持ってきてくれたね、ありがとう！ン・モゥ族から伝え聞いたところによれば、卵の欠片には、骨を強める効能があるらしくてね。			卵の集いし地							
年老いて足腰が弱ってきたから、こいつを食べて、もう一度ひとりで遠出できるようになろうと思ってさ。			年老いて足腰が弱ってきたから、こいつを食べて、もう一度ひとりで遠出できるようになろうと思ってさ。			卵の集いし地							
ところで同じ辺りで、ひときわ大きな卵を見かけただろう？あれは、アマロのものと似ているが、別種のものらしい。実のところ、その正体は謎でね。			ところで同じ辺りで、ひときわ大きな卵を見かけただろう？あれは、アマロのものと似ているが、別種のものらしい。実のところ、その正体は謎でね。			卵の集いし地							
我々、古の血が表に出たトゥパク・アマロが、この地にやって来た時には、すでに存在していたらしい。いったい何が生まれ、どこに行ったというのか……。			我々、古の血が表に出たトゥパク・アマロが、この地にやって来た時には、すでに存在していたらしい。いったい何が生まれ、どこに行ったというのか……。			卵の集いし地							
だが、卵を孵すには、この土地のように地脈や風脈が交差した、エーテルの濃い場所が適しているからね。そのため、あの卵の親も、かつてここで産卵と孵化を行ったのだろう。			だが、卵を孵すには、この土地のように地脈や風脈が交差した、エーテルの濃い場所が適しているからね。そのため、あの卵の親も、かつてここで産卵と孵化を行ったのだろう。			卵の集いし地							
私らがここで暮らし続けているのも、それが理由なのさ。おっと……年寄りは話が長くなりがちで困るね。さぁ、礼を受け取ってくれよ。			私らがここで暮らし続けているのも、それが理由なのさ。おっと……年寄りは話が長くなりがちで困るね。さぁ、礼を受け取ってくれよ。			卵の集いし地							
特殊ルール： レベルアジャストヴォレクドルフの怒った様子のアマロは、とても腹が立っているようだ。			特殊ルール： レベルアジャストヴォレクドルフの怒った様子のアマロは、とても腹が立っているようだ。			姿見の湖の底から							
指定地点で待機し、現れた敵を討伐			指定地点で待機し、現れた敵を討伐			姿見の湖の底から							
怒った様子のアマロと話す			怒った様子のアマロと話す			姿見の湖の底から							
怒った様子のアマロと再度話す			怒った様子のアマロと再度話す			姿見の湖の底から							
急ですが、すこしばかり、お付き合いいただけませんか！？ぜひあなたに、お手伝いいただきたいことがあるのです！			急ですが、すこしばかり、お付き合いいただけませんか！？ぜひあなたに、お手伝いいただきたいことがあるのです！			姿見の湖の底から							
「フーア族」のやつらを懲らしめてやろうと思ってるんです！あいつら、近頃は水辺に近づく「ヒト」が少ないからって、僕らアマロにちょっかいを出すようになってるんですよ。			「フーア族」のやつらを懲らしめてやろうと思ってるんです！あいつら、近頃は水辺に近づく「ヒト」が少ないからって、僕らアマロにちょっかいを出すようになってるんですよ。			姿見の湖の底から							
先日なんか、「卵」を盗んでいったんですよ！？もう黙っているわけにはいきません、近づくと痛い目に合うって、思い知らせてやらないと！			先日なんか、「卵」を盗んでいったんですよ！？もう黙っているわけにはいきません、近づくと痛い目に合うって、思い知らせてやらないと！			姿見の湖の底から							
「姿見の湖」の付近にいて、ヤツらをおびき寄せるので、物陰に隠れていてくれませんか？僕を水の中へ引き込もうとするフーア族を退治してください！			「姿見の湖」の付近にいて、ヤツらをおびき寄せるので、物陰に隠れていてくれませんか？僕を水の中へ引き込もうとするフーア族を退治してください！			姿見の湖の底から							
ささっ、物陰に隠れてください！僕を水の中へ引き込もうとするフーア族が現れたら、ヤツらを退治してやってください！			ささっ、物陰に隠れてください！僕を水の中へ引き込もうとするフーア族が現れたら、ヤツらを退治してやってください！			姿見の湖の底から							
へへっ、アマロ発見！			へへっ、アマロ発見！			姿見の湖の底から							
こっちにおいで～！			こっちにおいで～！			姿見の湖の底から							
どうもありがとうございました！これで、ヤツらも懲りたことでしょう……！			どうもありがとうございました！これで、ヤツらも懲りたことでしょう……！			姿見の湖の底から							
フーア族は、今みたいに、水中に生物を引き込んで、自分たちの仲間にしようとするんですよ。卵を盗んだのも、命が宿っていることを知ってのはずです。			フーア族は、今みたいに、水中に生物を引き込んで、自分たちの仲間にしようとするんですよ。卵を盗んだのも、命が宿っていることを知ってのはずです。			姿見の湖の底から							
あいつらには気を付けたほうがいいですよ。あなたみたいに優しいヒトは、すぐにヤツらの手の中に引き込まれてしまうでしょうからね……。			あいつらには気を付けたほうがいいですよ。あなたみたいに優しいヒトは、すぐにヤツらの手の中に引き込まれてしまうでしょうからね……。			姿見の湖の底から							
さあ、懲らしめ終わったことですし、「ヴォレクドルフ」に戻るとしましょう。ささやかですが、お礼をさせてください。			さあ、懲らしめ終わったことですし、「ヴォレクドルフ」に戻るとしましょう。ささやかですが、お礼をさせてください。			姿見の湖の底から							
これでしばらくは、ヤツらもここに来たりしないでしょう。あなたが、ガッツリ懲らしめてくれたことですからね。			これでしばらくは、ヤツらもここに来たりしないでしょう。あなたが、ガッツリ懲らしめてくれたことですからね。			姿見の湖の底から							
さてさて、どうぞこちらをお受け取りください。当分ヤツらを警戒せずに済むのであれば、安いぐらいかもしれませんが。			さてさて、どうぞこちらをお受け取りください。当分ヤツらを警戒せずに済むのであれば、安いぐらいかもしれませんが。			姿見の湖の底から							
特殊ルール： レベルアジャストヴォレクドルフのニンバスは、冒険者に頼みたいことがあるようだ。			特殊ルール： レベルアジャストヴォレクドルフのニンバスは、冒険者に頼みたいことがあるようだ。			主人を悼んで							
花を摘む			花を摘む			主人を悼んで							
ニンバスに摘んだ花を渡す			ニンバスに摘んだ花を渡す			主人を悼んで							
グルル……ヒトよー！よかったら、ちょっと頼みを聞いてくれないかー？			グルル……ヒトよー！よかったら、ちょっと頼みを聞いてくれないかー？			主人を悼んで							
こうしてヒトに会える機会なんて、次はいつになるかわからないからさ！			こうしてヒトに会える機会なんて、次はいつになるかわからないからさ！			主人を悼んで							
「姿見の湖」に咲いている「花」を、どれか1種類、摘んできてほしいんだー！どの花にするかは、直感に任せるぞー。			「姿見の湖」に咲いている「花」を、どれか1種類、摘んできてほしいんだー！どの花にするかは、直感に任せるぞー。			主人を悼んで							
アマロのアゴだと、どうにもうまく花を摘めなくて、噛みちぎってしまうんだよなー……。よろしくなー！			アマロのアゴだと、どうにもうまく花を摘めなくて、噛みちぎってしまうんだよなー……。よろしくなー！			主人を悼んで							
アマロのアゴだと、どうにもうまく花を摘めなくて、噛みちぎってしまうんだよなー……。よろしくなー！			アマロのアゴだと、どうにもうまく花を摘めなくて、噛みちぎってしまうんだよなー……。よろしくなー！			主人を悼んで							
上品な青色の花を摘みますか？			上品な青色の花を摘みますか？			主人を悼んで							
清潔な黄色の花を摘みますか？			清潔な黄色の花を摘みますか？			主人を悼んで							
愛らしい薄紅色の花を摘みますか？			愛らしい薄紅色の花を摘みますか？			主人を悼んで							
おぉ、ありがとうー！　この花は、主人に捧げるとするよ。彼女と旅したレイクランドの湖畔を思い出させるからなー。			おぉ、ありがとうー！　この花は、主人に捧げるとするよ。彼女と旅したレイクランドの湖畔を思い出させるからなー。			主人を悼んで							
おぉ、ありがとうー！　この花は、主人に捧げるとするよ。彼女とアム・アレーンを旅したときに見た、光の波を、ふと思い出したからなー。			おぉ、ありがとうー！　この花は、主人に捧げるとするよ。彼女とアム・アレーンを旅したときに見た、光の波を、ふと思い出したからなー。			主人を悼んで							
おぉ、ありがとうー！　この花は、主人に捧げるとするよ。彼女と旅したアム・アレーンの大地を思い出させるからなー。			おぉ、ありがとうー！　この花は、主人に捧げるとするよ。彼女と旅したアム・アレーンの大地を思い出させるからなー。			主人を悼んで							
オレの主人は、会話ができるアマロを、気味悪く思うこともなく接してくれる人でね。それはそれは、いろんなところを旅して回ったんだよなー！			オレの主人は、会話ができるアマロを、気味悪く思うこともなく接してくれる人でね。それはそれは、いろんなところを旅して回ったんだよなー！			主人を悼んで							
……けど、ヒトとアマロの寿命には、大きすぎる差がある。そのことを感じたのか、自らが病に冒されているとわかったとき、死にゆく姿を見せたくないと、オレの元から去っていったのさ。			……けど、ヒトとアマロの寿命には、大きすぎる差がある。そのことを感じたのか、自らが病に冒されているとわかったとき、死にゆく姿を見せたくないと、オレの元から去っていったのさ。			主人を悼んで							
けど、いつか彼女が戻ってきてくれるんじゃないか、また旅に連れていってくれるんじゃないか。そんな風に、未だに淡い期待をしているオレがいてなー……。			けど、いつか彼女が戻ってきてくれるんじゃないか、また旅に連れていってくれるんじゃないか。そんな風に、未だに淡い期待をしているオレがいてなー……。			主人を悼んで							
だから、最後に彼女と別れた、ここに留まっているんだ。かれこれ、すでに30年が過ぎようとしてるから、おそらくもう、亡くなっているんだろうなー……。			だから、最後に彼女と別れた、ここに留まっているんだ。かれこれ、すでに30年が過ぎようとしてるから、おそらくもう、亡くなっているんだろうなー……。			主人を悼んで							
どこでどう最期を迎えたのかは、わからないけど、美しいものを愛していた彼女のために、せめて、この花を捧げて悼むとするさー。			どこでどう最期を迎えたのかは、わからないけど、美しいものを愛していた彼女のために、せめて、この花を捧げて悼むとするさー。			主人を悼んで							
特殊ルール： レベルアジャストヴォレクドルフのアン＝スールは、何やら心配事があるようだ。			特殊ルール： レベルアジャストヴォレクドルフのアン＝スールは、何やら心配事があるようだ。			ピクシーもさまざま							
話し好きのアマロと話す			話し好きのアマロと話す			ピクシーもさまざま							
ダエン＝ケンと話してン・モゥ織の膝掛を入手			ダエン＝ケンと話してン・モゥ織の膝掛を入手			ピクシーもさまざま							
話し好きのアマロにン・モゥ織の膝掛を渡す			話し好きのアマロにン・モゥ織の膝掛を渡す			ピクシーもさまざま							
アン＝スールに報告			アン＝スールに報告			ピクシーもさまざま							
旅の最中に、すまないのですが、私の話を聞いてはいただけないでしょうか？少し心配な事がありまして……。			旅の最中に、すまないのですが、私の話を聞いてはいただけないでしょうか？少し心配な事がありまして……。			ピクシーもさまざま							
実は、知り合いのアマロが、毎日毎日、ピクシーたちと密会しているようなのです。もしや、イタズラをされ続けていないかと不安でして……。			実は、知り合いのアマロが、毎日毎日、ピクシーたちと密会しているようなのです。もしや、イタズラをされ続けていないかと不安でして……。			ピクシーもさまざま							
自分が何度聞いても、大丈夫の一点張りなのですが、本当に何もされていないか、気になっているのです。そこで第三者のあなたに、調査をお願いしたいのです。			自分が何度聞いても、大丈夫の一点張りなのですが、本当に何もされていないか、気になっているのです。そこで第三者のあなたに、調査をお願いしたいのです。			ピクシーもさまざま							
「話し好きのアマロ」は「リェー・ギア城」にいるはずです。どうか、よろしくお願いいたしますね。			「話し好きのアマロ」は「リェー・ギア城」にいるはずです。どうか、よろしくお願いいたしますね。			ピクシーもさまざま							
「話し好きのアマロ」は「リェー・ギア城」にいるはずです。どうか、よろしくお願いいたしますね。			「話し好きのアマロ」は「リェー・ギア城」にいるはずです。どうか、よろしくお願いいたしますね。			ピクシーもさまざま							
おや、ヒトとは珍しい。私に何かご用でも？			おや、ヒトとは珍しい。私に何かご用でも？			ピクシーもさまざま							
ハッハッハ！ピクシーたちに、イタズラされているのかと思ったのかい？違うよ、違うよ！			ハッハッハ！ピクシーたちに、イタズラされているのかと思ったのかい？違うよ、違うよ！			ピクシーもさまざま							
僕は、この子たちに昔話を聞かせてあげているのさ。今回も、いつの間にか、みんな寝てしまったみたいだけどね。			僕は、この子たちに昔話を聞かせてあげているのさ。今回も、いつの間にか、みんな寝てしまったみたいだけどね。			ピクシーもさまざま							
そうだ、ン・モゥ族の「ダエン＝ケン」から、この子たちにかけてあげる毛布を借りてきてくれないかい？風邪でも引いちゃったら大変だろう、お願いだよ。			そうだ、ン・モゥ族の「ダエン＝ケン」から、この子たちにかけてあげる毛布を借りてきてくれないかい？風邪でも引いちゃったら大変だろう、お願いだよ。			ピクシーもさまざま							
ン・モゥ族の「ダエン＝ケン」から、この子たちにかけてあげる毛布を借りてきてくれないかい？風邪でも引いちゃったら大変だろう、お願いだよ。			ン・モゥ族の「ダエン＝ケン」から、この子たちにかけてあげる毛布を借りてきてくれないかい？風邪でも引いちゃったら大変だろう、お願いだよ。			ピクシーもさまざま							
おぉ、ヒトではないか。何か用でもありそうな顔をして。			おぉ、ヒトではないか。何か用でもありそうな顔をして。			ピクシーもさまざま							
なるほど……では「ン・モゥ織の膝掛」をお貸ししよう。対価は、そうだな……彼に、今度、私を滝の上に連れて行ってくれるよう、伝えてくれい。			なるほど……では「ン・モゥ織の膝掛」をお貸ししよう。対価は、そうだな……彼に、今度、私を滝の上に連れて行ってくれるよう、伝えてくれい。			ピクシーもさまざま							
膝掛の対価として、彼に、今度、私を滝の上に連れて行ってくれるよう、伝えてくれい。			膝掛の対価として、彼に、今度、私を滝の上に連れて行ってくれるよう、伝えてくれい。			ピクシーもさまざま							
どうだい、毛布は借りれたかな？			どうだい、毛布は借りれたかな？			ピクシーもさまざま							
よかった、これでこの子たちが風邪を引いたりせずに済むよ。わざわざ手間をかけさせちゃって、すまないね。			よかった、これでこの子たちが風邪を引いたりせずに済むよ。わざわざ手間をかけさせちゃって、すまないね。			ピクシーもさまざま							
えっ、滝の上に連れて行ってほしいと言ってたって？何であんなところに行きたいんだろう……でもわかった、今度連れていってあげるとするよ。			えっ、滝の上に連れて行ってほしいと言ってたって？何であんなところに行きたいんだろう……でもわかった、今度連れていってあげるとするよ。			ピクシーもさまざま							
リダ・ラーンのピクシーは、イタズラ好きで、油断できない子が多いのは僕も知っているよ。僕も、なるべく関わるのを避けるようにしているからね。			リダ・ラーンのピクシーは、イタズラ好きで、油断できない子が多いのは僕も知っているよ。僕も、なるべく関わるのを避けるようにしているからね。			ピクシーもさまざま							
けどね、この子たちは別の場所に棲んでいて、ただただ話が好きなだけなんだ。いつも、僕の昔話を聞きに、こうして来てくれるのさ。			けどね、この子たちは別の場所に棲んでいて、ただただ話が好きなだけなんだ。いつも、僕の昔話を聞きに、こうして来てくれるのさ。			ピクシーもさまざま							
だから大丈夫、悪いことは何も起きてないし、イタズラをされたりもしていないよ。「アン＝スール」にも、そのことを伝えて安心させてあげてね。			だから大丈夫、悪いことは何も起きてないし、イタズラをされたりもしていないよ。「アン＝スール」にも、そのことを伝えて安心させてあげてね。			ピクシーもさまざま							
大丈夫、悪いことは何も起きてないし、イタズラをされたりもしていないよ。「アン＝スール」にも、そのことを伝えて安心させてあげてね。			大丈夫、悪いことは何も起きてないし、イタズラをされたりもしていないよ。「アン＝スール」にも、そのことを伝えて安心させてあげてね。			ピクシーもさまざま							
え、あなたも一緒にピクシー族と会っていたんですか！？大丈夫ですか、何か悪いことをされていませんか……？			え、あなたも一緒にピクシー族と会っていたんですか！？大丈夫ですか、何か悪いことをされていませんか……？			ピクシーもさまざま							
でも、あなたにもそのように言っていたのなら、きっと大丈夫なのでしょう。一安心しました、協力いただいたお礼としてこちらをどうぞ。			でも、あなたにもそのように言っていたのなら、きっと大丈夫なのでしょう。一安心しました、協力いただいたお礼としてこちらをどうぞ。			ピクシーもさまざま							
特殊ルール： レベルアジャストヴォレクドルフのケン＝ベークは、老いを感じているようだ。			特殊ルール： レベルアジャストヴォレクドルフのケン＝ベークは、老いを感じているようだ。			尻尾にまつわる思い出							
グリーングライダーからグリーングライダーの尻尾を入手			グリーングライダーからグリーングライダーの尻尾を入手			尻尾にまつわる思い出							
ケン＝ベークにグリーングライダーの尻尾を渡す			ケン＝ベークにグリーングライダーの尻尾を渡す			尻尾にまつわる思い出							
活力に溢れている若き人よ。老いぼれの頼みを聞いてやってはくれぬか？			活力に溢れている若き人よ。老いぼれの頼みを聞いてやってはくれぬか？			尻尾にまつわる思い出							
ここから南の方にいる、グリーングライダーから、「グリーングライダーの尻尾」を入手してきてほしいのだよ。老いが進んだせいか、近頃は思うように動けなくてねぇ。			ここから南の方にいる、グリーングライダーから、「グリーングライダーの尻尾」を入手してきてほしいのだよ。老いが進んだせいか、近頃は思うように動けなくてねぇ。			尻尾にまつわる思い出							
忙しいだろう中すまないが、報酬はやるからさ。よろしく頼むよ。			忙しいだろう中すまないが、報酬はやるからさ。よろしく頼むよ。			尻尾にまつわる思い出							
ここから南の方にいる、グリーングライダーから、「グリーングライダーの尻尾」を入手してきてほしい。忙しいだろう中すまないが、よろしく頼むよ。			ここから南の方にいる、グリーングライダーから、「グリーングライダーの尻尾」を入手してきてほしい。忙しいだろう中すまないが、よろしく頼むよ。			尻尾にまつわる思い出							
どうだろう、手に入れられたかい？			どうだろう、手に入れられたかい？			尻尾にまつわる思い出							
おお、まさしくグリーングライダーの尻尾じゃないか。実は、こいつが大の好物でねぇ……昔はよく、とあるヒトに貰ったんだよ。			おお、まさしくグリーングライダーの尻尾じゃないか。実は、こいつが大の好物でねぇ……昔はよく、とあるヒトに貰ったんだよ。			尻尾にまつわる思い出							
私は、ここに来る前はレイクランドにいてね。かなりの期間、ヒトと一緒に暮らしていたのだよ。			私は、ここに来る前はレイクランドにいてね。かなりの期間、ヒトと一緒に暮らしていたのだよ。			尻尾にまつわる思い出							
「光の氾濫」の前、あの湖畔では大きな戦いがあってねぇ。当時の主だったエルフ族の騎士に従って、私も「影の王」の軍勢との戦いに参加したもんだよ。			「光の氾濫」の前、あの湖畔では大きな戦いがあってねぇ。当時の主だったエルフ族の騎士に従って、私も「影の王」の軍勢との戦いに参加したもんだよ。			尻尾にまつわる思い出							
その際、狼の如き姿に変異した敵兵との戦いで、私は、大きな怪我を負ってしまってね……。戦場に赴くことはおろか、命さえ危ぶまれるほどだったんだ。			その際、狼の如き姿に変異した敵兵との戦いで、私は、大きな怪我を負ってしまってね……。戦場に赴くことはおろか、命さえ危ぶまれるほどだったんだ。			尻尾にまつわる思い出							
そんなとき私の主人が、生命力をつけるためにと、滋養のある、こうした飛び蜥蜴の尻尾を食べさせてくれたのだよ。そのおかげか、私は回復し、今に至るのだがね。			そんなとき私の主人が、生命力をつけるためにと、滋養のある、こうした飛び蜥蜴の尻尾を食べさせてくれたのだよ。そのおかげか、私は回復し、今に至るのだがね。			尻尾にまつわる思い出							
彼らエルフ族たちとの日々を、輝かしく感じるよ。尻尾と共に、懐かしい過去も思い出させてくれてありがとう。礼を受け取ってくれ。			彼らエルフ族たちとの日々を、輝かしく感じるよ。尻尾と共に、懐かしい過去も思い出させてくれてありがとう。礼を受け取ってくれ。			尻尾にまつわる思い出							
特殊ルール： レベルアジャストフッブーテンブルクのトナティウは、冒険者に伝言を頼みたいようだ。			特殊ルール： レベルアジャストフッブーテンブルクのトナティウは、冒険者に伝言を頼みたいようだ。			イル・メグで暮らす約束事							
※本クエストには「 レベルアジャスト」が、　設定されています。トナティウから伝言を頼まれた。イル・メグのヴォレクドルフに戻り、「ザントマン」に報告しよう。			※本クエストには「 レベルアジャスト」が、　設定されています。トナティウから伝言を頼まれた。イル・メグのヴォレクドルフに戻り、「ザントマン」に報告しよう。			イル・メグで暮らす約束事							
