テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
分かたれしグナース族に助けを求められた。高地ドラヴァニアのヴァスの塚の「ストーリーテラー」に話してみよう。			分かたれしグナース族に助けを求められた。高地ドラヴァニアのヴァスの塚の「ストーリーテラー」に話してみよう。			分かたれた者							
ストーリーテラーに話すと、すぐにヴァスの塚に来させるよう言われた。兵站穴の「分かたれしグナース族」に伝えよう。			ストーリーテラーに話すと、すぐにヴァスの塚に来させるよう言われた。兵站穴の「分かたれしグナース族」に伝えよう。			分かたれた者							
分かたれしグナース族にストーリーテラーの言葉を伝えた。分かたれしグナース族は、喜んでヴァスの塚へと向かっていった。彼は「分かたれし者たち」の一員となれただろうか。			分かたれしグナース族にストーリーテラーの言葉を伝えた。分かたれしグナース族は、喜んでヴァスの塚へと向かっていった。彼は「分かたれし者たち」の一員となれただろうか。			分かたれた者							
ストーリーテラーと話す			ストーリーテラーと話す			分かたれた者							
分かたれしグナース族に報告			分かたれしグナース族に報告			分かたれた者							
シシシシシ……ここは、どこ？　わたしは、だれ？何も指示が聞こえないので、待っているのです……。……どうしたらいいのでしょう？			シシシシシ……ここは、どこ？　わたしは、だれ？何も指示が聞こえないので、待っているのです……。……どうしたらいいのでしょう？			分かたれた者							
……あの、ヒトに頼むのも妙な話ですが、誰かこの状況に詳しい方に、話を聞いて来ていただけませんか？わたしは、何をどうすればいいのか、わからないのです……。			……あの、ヒトに頼むのも妙な話ですが、誰かこの状況に詳しい方に、話を聞いて来ていただけませんか？わたしは、何をどうすればいいのか、わからないのです……。			分かたれた者							
……あの、ヒトに頼むのも妙な話ですが、誰かこの状況に詳しい方に、話を聞いて来ていただけませんか？わたしは、何をどうすればいいのか、わからないのです……。			……あの、ヒトに頼むのも妙な話ですが、誰かこの状況に詳しい方に、話を聞いて来ていただけませんか？わたしは、何をどうすればいいのか、わからないのです……。			分かたれた者							
シシシシシ……「グナースの塚」に、混乱しきった者がいたと？おそらく、精神の繋がりを失ってしまった新たな同胞だろう。……狩人よ、ここに来るように伝えてはくれぬか？			シシシシシ……「グナースの塚」に、混乱しきった者がいたと？おそらく、精神の繋がりを失ってしまった新たな同胞だろう。……狩人よ、ここに来るように伝えてはくれぬか？			分かたれた者							
シシシシシ……「グナースの塚」に、混乱しきった者がいたと？おそらく、精神の繋がりを失ってしまった新たな同胞だろう。……狩人よ、ここに来るように伝えてはくれぬか？			シシシシシ……「グナースの塚」に、混乱しきった者がいたと？おそらく、精神の繋がりを失ってしまった新たな同胞だろう。……狩人よ、ここに来るように伝えてはくれぬか？			分かたれた者							
シシシシシ……「分かたれし者たち」……？なんと、わたしも、あの者たちと同様に分かたれたと？あぁ……これではもう、わたしは群れで生きてはいけない……。			シシシシシ……「分かたれし者たち」……？なんと、わたしも、あの者たちと同様に分かたれたと？あぁ……これではもう、わたしは群れで生きてはいけない……。			分かたれた者							
わかりました……「ヴァスの塚」に向かいましょう。このままでは、「繋がりし者たち」に排除される運命ですから。お世話になりました、ヒトの方よ……シシシシシ。			わかりました……「ヴァスの塚」に向かいましょう。このままでは、「繋がりし者たち」に排除される運命ですから。お世話になりました、ヒトの方よ……シシシシシ。			分かたれた者							
ヴァスの塚のイダテンは、周囲を警戒しているようだ。			ヴァスの塚のイダテンは、周囲を警戒しているようだ。			守りたい想い							
イダテンに、進軍中の「繋がりし者たち」の兵を倒すよう頼まれた。高地ドラヴァニアの邪竜の彫像で、「繋がりし者たち」の兵を3体討伐しよう。			イダテンに、進軍中の「繋がりし者たち」の兵を倒すよう頼まれた。高地ドラヴァニアの邪竜の彫像で、「繋がりし者たち」の兵を3体討伐しよう。			守りたい想い							
「繋がりし者たち」の兵を討伐した。ヴァスの塚の「イダテン」に報告しよう。			「繋がりし者たち」の兵を討伐した。ヴァスの塚の「イダテン」に報告しよう。			守りたい想い							
イダテンに、進軍中の「繋がりし者たち」の兵を倒したことを伝えた。かつて「繋がりし者たち」は、意識の繋がらないグナース族を不純物扱いして処分していたそうだ。だからこそ、ストーリーテラーが築いたヴァスの塚という居場所を、イダテンは守りたいと思っているらしい。			イダテンに、進軍中の「繋がりし者たち」の兵を倒したことを伝えた。かつて「繋がりし者たち」は、意識の繋がらないグナース族を不純物扱いして処分していたそうだ。だからこそ、ストーリーテラーが築いたヴァスの塚という居場所を、イダテンは守りたいと思っているらしい。			守りたい想い							
邪竜の彫像で「繋がりし者たち」の兵を討伐			邪竜の彫像で「繋がりし者たち」の兵を討伐			守りたい想い							
イダテンに報告			イダテンに報告			守りたい想い							
シシシシシ……我々のナワバリに、「繋がりし者たち」の兵が、侵入してきているようだ……。いつになく数も多く、嫌な予感がするぞ。			シシシシシ……我々のナワバリに、「繋がりし者たち」の兵が、侵入してきているようだ……。いつになく数も多く、嫌な予感がするぞ。			守りたい想い							
ヒトの狩人よ、「邪竜の彫像」辺りまでの安全を確保したい。進軍中の「繋がりし者たち」の兵を探し、撃退してくれないか？よろしく頼むぞ……シシシシシ。			ヒトの狩人よ、「邪竜の彫像」辺りまでの安全を確保したい。進軍中の「繋がりし者たち」の兵を探し、撃退してくれないか？よろしく頼むぞ……シシシシシ。			守りたい想い							
ヒトの狩人よ、「邪竜の彫像」辺りまでの安全を確保したい。進軍中の「繋がりし者たち」の兵を探し、撃退してくれないか？よろしく頼むぞ……シシシシシ。			ヒトの狩人よ、「邪竜の彫像」辺りまでの安全を確保したい。進軍中の「繋がりし者たち」の兵を探し、撃退してくれないか？よろしく頼むぞ……シシシシシ。			守りたい想い							
シシシシシ……よくやってくれた、感謝するぞ狩人よ！「繋がりし者たち」からすれば、我々は異質なのだ。そのため、かつては不純物として処分されていた……。			シシシシシ……よくやってくれた、感謝するぞ狩人よ！「繋がりし者たち」からすれば、我々は異質なのだ。そのため、かつては不純物として処分されていた……。			守りたい想い							
ストーリーテラーが「ヴァスの塚」を築いてくれたお陰で、今の我ら……「分かたれし者」がある……。だから、この場所を絶対に守りたいのだ……シシシシシ。			ストーリーテラーが「ヴァスの塚」を築いてくれたお陰で、今の我ら……「分かたれし者」がある……。だから、この場所を絶対に守りたいのだ……シシシシシ。			守りたい想い							
ヴァスの塚の影のあるグナース族は、宙を見つめているようだ。			ヴァスの塚の影のあるグナース族は、宙を見つめているようだ。			意思の囁き							
影のあるグナース族に、声の主を探すよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで、声の主を探そう。			影のあるグナース族に、声の主を探すよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで、声の主を探そう。			意思の囁き							
見つけた彷徨えるグナース族に、ドラヴァニアン・ワイバーンの討伐を頼まれた。アヴァロニア・フォールンで「ドラヴァニアン・ワイバーン」を討伐しよう。			見つけた彷徨えるグナース族に、ドラヴァニアン・ワイバーンの討伐を頼まれた。アヴァロニア・フォールンで「ドラヴァニアン・ワイバーン」を討伐しよう。			意思の囁き							
ドラヴァニアン・ワイバーンを討伐した。アヴァロニア・フォールンの「彷徨えるグナース族」に報告しよう。			ドラヴァニアン・ワイバーンを討伐した。アヴァロニア・フォールンの「彷徨えるグナース族」に報告しよう。			意思の囁き							
彷徨えるグナース族に報告した。彷徨えるグナース族は、どこに行けばいいかわからないようだったが、ヴァスの塚を教えると行ってしまった。ヴァスの塚の「影のあるグナース族」に報告しよう。			彷徨えるグナース族に報告した。彷徨えるグナース族は、どこに行けばいいかわからないようだったが、ヴァスの塚を教えると行ってしまった。ヴァスの塚の「影のあるグナース族」に報告しよう。			意思の囁き							
影のあるグナース族に報告した。どうやら、彷徨えるグナース族は来ていないようだ。ウィロームリバーで、「彷徨えるグナース族」を探そう。			影のあるグナース族に報告した。どうやら、彷徨えるグナース族は来ていないようだ。ウィロームリバーで、「彷徨えるグナース族」を探そう。			意思の囁き							
彷徨えるグナース族を見つけた。彷徨えるグナース族は、独り言をつぶやきながらグナースの塚へ向かってしまった。ヴァスの塚の「影のあるグナース族」に報告しよう。			彷徨えるグナース族を見つけた。彷徨えるグナース族は、独り言をつぶやきながらグナースの塚へ向かってしまった。ヴァスの塚の「影のあるグナース族」に報告しよう。			意思の囁き							
影のあるグナース族に報告した。彷徨えるグナース族は、「繋ぎ止めし者」の精神感応を受け、「繋がりし者たち」に戻ってしまったようだ。影のあるグナース族は、自分にもその可能性があることを不安がっていた。			影のあるグナース族に報告した。彷徨えるグナース族は、「繋ぎ止めし者」の精神感応を受け、「繋がりし者たち」に戻ってしまったようだ。影のあるグナース族は、自分にもその可能性があることを不安がっていた。			意思の囁き							
彷徨えるグナース族と話す			彷徨えるグナース族と話す			意思の囁き							
ドラヴァニアン・ワイバーンを討伐			ドラヴァニアン・ワイバーンを討伐			意思の囁き							
彷徨えるグナース族に報告			彷徨えるグナース族に報告			意思の囁き							
影のあるグナース族に報告			影のあるグナース族に報告			意思の囁き							
彷徨えるグナース族と話す			彷徨えるグナース族と話す			意思の囁き							
影のあるグナース族に報告			影のあるグナース族に報告			意思の囁き							
シシシシシ……意思の囁きが聞こえる。どうやら「不浄の三塔」の方に、新たな同胞がいるみたい。探して「ヴァスの塚」に導いてあげて……。			シシシシシ……意思の囁きが聞こえる。どうやら「不浄の三塔」の方に、新たな同胞がいるみたい。探して「ヴァスの塚」に導いてあげて……。			意思の囁き							
シシシシシ……意思の囁きが聞こえる。どうやら「不浄の三塔」の方に、新たな同胞がいるみたい。探して「ヴァスの塚」に導いてあげて……。			シシシシシ……意思の囁きが聞こえる。どうやら「不浄の三塔」の方に、新たな同胞がいるみたい。探して「ヴァスの塚」に導いてあげて……。			意思の囁き							
シシシシシ……ここ、どこだろう？それに、ワイバーンがウヨウヨしてて……不安……。居なくなってくれないかな……シシシシシ。			シシシシシ……ここ、どこだろう？それに、ワイバーンがウヨウヨしてて……不安……。居なくなってくれないかな……シシシシシ。			意思の囁き							
シシシシシ……ここ、どこだろう？それに、ワイバーンがウヨウヨしてて……不安……。居なくなってくれないかな……シシシシシ。			シシシシシ……ここ、どこだろう？それに、ワイバーンがウヨウヨしてて……不安……。居なくなってくれないかな……シシシシシ。			意思の囁き							
シシシシシ……意思の囁きが聞こえる。どうやら「不浄の三塔」の方に、新たな同胞がいるみたい。探して「ヴァスの塚」に導いてあげて……。			シシシシシ……意思の囁きが聞こえる。どうやら「不浄の三塔」の方に、新たな同胞がいるみたい。探して「ヴァスの塚」に導いてあげて……。			意思の囁き							
シシシシシ……ワイバーンいなくなった……安心……。でも、どこに行けばいいのだろう……指示が聞こえない……。何をすればいいのかわからない……。			シシシシシ……ワイバーンいなくなった……安心……。でも、どこに行けばいいのだろう……指示が聞こえない……。何をすればいいのかわからない……。			意思の囁き							
……「ヴァスの塚」に行け？そこに行けば、同胞に会うことができる……。それは親切にありがとう、行ってみるとします……シシシシシ。			……「ヴァスの塚」に行け？そこに行けば、同胞に会うことができる……。それは親切にありがとう、行ってみるとします……シシシシシ。			意思の囁き							
シシシシシ……彷徨えるグナース族を導いたと……？しかし、新たな同胞は来ていない……嫌な予感がする……。「グナースの塚」辺りを探してくれる？			シシシシシ……彷徨えるグナース族を導いたと……？しかし、新たな同胞は来ていない……嫌な予感がする……。「グナースの塚」辺りを探してくれる？			意思の囁き							
シシシシシ……彷徨えるグナース族を導いたと……？しかし、新たな同胞は来ていない……嫌な予感がする……。「グナースの塚」辺りを探してくれる？			シシシシシ……彷徨えるグナース族を導いたと……？しかし、新たな同胞は来ていない……嫌な予感がする……。「グナースの塚」辺りを探してくれる？			意思の囁き							
……塚に……帰らねば……？……繋ぎ止めし者の下で……働かねば……！……シシシシシ……。			……塚に……帰らねば……？……繋ぎ止めし者の下で……働かねば……！……シシシシシ……。			意思の囁き							
シシシシシ……そうか「グナースの塚」に戻ったんだね……。おそらく、ふたたび「繋ぎ止めし者」の精神感応を感じ取り、「繋がりし者たち」に戻ったんだろう……残念だ……。			シシシシシ……そうか「グナースの塚」に戻ったんだね……。おそらく、ふたたび「繋ぎ止めし者」の精神感応を感じ取り、「繋がりし者たち」に戻ったんだろう……残念だ……。			意思の囁き							
僕も時々、同族の「意思の囁き」が聞こえることがあるんだ。もし何かの拍子に、「繋ぎ止めし者」の強い感応を受けたら、この自我も消えてしまうと思うと、少し怖いね……シシシシシ。			僕も時々、同族の「意思の囁き」が聞こえることがあるんだ。もし何かの拍子に、「繋ぎ止めし者」の強い感応を受けたら、この自我も消えてしまうと思うと、少し怖いね……シシシシシ。			意思の囁き							
不浄の三塔の雄々しき翼の飛竜は、何かを探しているようだ。			不浄の三塔の雄々しき翼の飛竜は、何かを探しているようだ。			はぐれた弟							
雄々しき翼の飛竜は、弟を探しているようだ。高地ドラヴァニアのモーン大岩窟で、「小さき翼の子竜」を探そう。			雄々しき翼の飛竜は、弟を探しているようだ。高地ドラヴァニアのモーン大岩窟で、「小さき翼の子竜」を探そう。			はぐれた弟							
小さき翼の子竜を見つけた。彼は兄の元へと戻ったようだ。不浄の三塔の「雄々しき翼の飛竜」に報告しよう。			小さき翼の子竜を見つけた。彼は兄の元へと戻ったようだ。不浄の三塔の「雄々しき翼の飛竜」に報告しよう。			はぐれた弟							
雄々しき翼の飛竜に報告した。小さき翼の子竜は、無事戻ってきたが、ふらふらと去ってしまった。小さき翼の子竜を追って、雄々しき翼の飛竜も去っていった。			雄々しき翼の飛竜に報告した。小さき翼の子竜は、無事戻ってきたが、ふらふらと去ってしまった。小さき翼の子竜を追って、雄々しき翼の飛竜も去っていった。			はぐれた弟							
小さき翼の子竜を探す			小さき翼の子竜を探す			はぐれた弟							
雄々しき翼の飛竜に報告			雄々しき翼の飛竜に報告			はぐれた弟							
ヒトか……いや、今は誰でもかまわん。そなた、「小さき翼の子竜」を見かけなかったか？私の弟なのだが、不意に姿を消してしまったのだ……。			ヒトか……いや、今は誰でもかまわん。そなた、「小さき翼の子竜」を見かけなかったか？私の弟なのだが、不意に姿を消してしまったのだ……。			はぐれた弟							
弟は、まだ鱗も柔らかい子竜だというのに、フラフラと飛び回る癖があり、ほとほと困っているのだ。すまないが、「モーン大岩窟」辺りを見てきてくれないか。			弟は、まだ鱗も柔らかい子竜だというのに、フラフラと飛び回る癖があり、ほとほと困っているのだ。すまないが、「モーン大岩窟」辺りを見てきてくれないか。			はぐれた弟							
弟は、まだ鱗も柔らかい子竜だというのに、フラフラと飛び回る癖があり、ほとほと困っているのだ。すまないが、「モーン大岩窟」辺りを見てきてくれないか。			弟は、まだ鱗も柔らかい子竜だというのに、フラフラと飛び回る癖があり、ほとほと困っているのだ。すまないが、「モーン大岩窟」辺りを見てきてくれないか。			はぐれた弟							
んにゅ～？　暖かいから寝ちゃってた……。ふぁ……もうご飯……って、あれ？　ヒトだ。			んにゅ～？　暖かいから寝ちゃってた……。ふぁ……もうご飯……って、あれ？　ヒトだ。			はぐれた弟							
え、兄ちゃんが僕を探してたの？あい、じゃあ帰るね。			え、兄ちゃんが僕を探してたの？あい、じゃあ帰るね。			はぐれた弟							
おお、弟を見つけてくれて感謝するぞ。……ほら、お前も礼を言わないか！			おお、弟を見つけてくれて感謝するぞ。……ほら、お前も礼を言わないか！			はぐれた弟							
……って、おい！　どこへ行く！？こら待て……！！す、すまないな、私は弟を追わせてもらうよ。			……って、おい！　どこへ行く！？こら待て……！！す、すまないな、私は弟を追わせてもらうよ。			はぐれた弟							
不浄の三塔のエス・カースは、不動のまま佇んでいる。			不浄の三塔のエス・カースは、不動のまま佇んでいる。			聖地として							
エス・カースの話を聞いた。「モーン大岩窟」に邪竜の眷属が蔓延っているようだ。高地ドラヴァニアのモーン大岩窟で、「シリクタ」、「ビネガロン」、「ティラノサウルス」のいずれかを5体討伐しよう。			エス・カースの話を聞いた。「モーン大岩窟」に邪竜の眷属が蔓延っているようだ。高地ドラヴァニアのモーン大岩窟で、「シリクタ」、「ビネガロン」、「ティラノサウルス」のいずれかを5体討伐しよう。			聖地として							
モーン大岩窟で邪竜の眷属を討伐した。不浄の三塔の「エス・カース」に報告しよう。			モーン大岩窟で邪竜の眷属を討伐した。不浄の三塔の「エス・カース」に報告しよう。			聖地として							
エス・カースに報告した。冒険者の倒した眷属たちは、ニーズヘッグ配下の竜たちが、尖兵として利用するために集めたものらしい。モーン大岩窟はドラゴン族が生涯を終える聖地であるため、静かな場所であってほしいと、エス・カースは考えているようだ。			エス・カースに報告した。冒険者の倒した眷属たちは、ニーズヘッグ配下の竜たちが、尖兵として利用するために集めたものらしい。モーン大岩窟はドラゴン族が生涯を終える聖地であるため、静かな場所であってほしいと、エス・カースは考えているようだ。			聖地として							
モーン大岩窟の邪竜の眷属を討伐			モーン大岩窟の邪竜の眷属を討伐			聖地として							
エス・カースに報告			エス・カースに報告			聖地として							
霊峰ソーム・アルの下に広がる「モーン大岩窟」は、我らドラゴン族にとって、眠りの地に至る聖なる場所……。それにも関わらず、邪竜の眷属が蔓延り、騒々しくて敵わん。			霊峰ソーム・アルの下に広がる「モーン大岩窟」は、我らドラゴン族にとって、眠りの地に至る聖なる場所……。それにも関わらず、邪竜の眷属が蔓延り、騒々しくて敵わん。			聖地として							
「シリクタ」、「ビネガロン」、「ティラノサウルス」……。どれでもいい、5体ほど狩り、静けさを取り戻してくれぬか。			「シリクタ」、「ビネガロン」、「ティラノサウルス」……。どれでもいい、5体ほど狩り、静けさを取り戻してくれぬか。			聖地として							
「シリクタ」、「ビネガロン」、「ティラノサウルス」……。どれでもいい、5体ほど狩り、静けさを取り戻してくれぬか。			「シリクタ」、「ビネガロン」、「ティラノサウルス」……。どれでもいい、5体ほど狩り、静けさを取り戻してくれぬか。			聖地として							
貴公であれば容易であると思っていた、感謝する。あれらの眷属は、いずれも邪竜配下のドラゴンたちが、尖兵として利用するために集めたもの……。			貴公であれば容易であると思っていた、感謝する。あれらの眷属は、いずれも邪竜配下のドラゴンたちが、尖兵として利用するために集めたもの……。			聖地として							
かの地は、静かな場所であるべきだ……。ドラゴン族がその生涯を終える聖地なのだから……。			かの地は、静かな場所であるべきだ……。ドラゴン族がその生涯を終える聖地なのだから……。			聖地として							
不浄の三塔付近のカル・ミークはとても慌てているようだ。			不浄の三塔付近のカル・ミークはとても慌てているようだ。			こわいヒト？							
カル・ミークと話した。怪我をした同族のために、狩りに協力してほしいと頼まれた。高地ドラヴァニアのウィロームリバーで、「カル・ミーク」と合流しよう。			カル・ミークと話した。怪我をした同族のために、狩りに協力してほしいと頼まれた。高地ドラヴァニアのウィロームリバーで、「カル・ミーク」と合流しよう。			こわいヒト？							
カル・ミークと合流した。ウィロームリバーの「指定地点」で見渡し、現れた「フルグロウン・ロフタン」を討伐して、食糧となる肉を入手しよう。			カル・ミークと合流した。ウィロームリバーの「指定地点」で見渡し、現れた「フルグロウン・ロフタン」を討伐して、食糧となる肉を入手しよう。			こわいヒト？							
ロフタンの肩ロースを入手した。ウィロームリバーにいる「カル・ミーク」に報告しよう。			ロフタンの肩ロースを入手した。ウィロームリバーにいる「カル・ミーク」に報告しよう。			こわいヒト？							
カル・ミークに報告した。高地ドラヴァニアのモーン大岩窟に向かった「カル・ミーク」と再び合流し、そこで「ロフタンの肩ロース」を渡そう。			カル・ミークに報告した。高地ドラヴァニアのモーン大岩窟に向かった「カル・ミーク」と再び合流し、そこで「ロフタンの肩ロース」を渡そう。			こわいヒト？							
カル・ミークにロフタンの肩ロースを渡したが、オル・アースには食べてもらえなかった。怪我をさせたのがヒトの騎兵だと聞き、カル・ミークは恐れを抱いてしまったようだ。高地ドラヴァニアの不浄の三塔付近に戻り、「カル・ミーク」と話そう。			カル・ミークにロフタンの肩ロースを渡したが、オル・アースには食べてもらえなかった。怪我をさせたのがヒトの騎兵だと聞き、カル・ミークは恐れを抱いてしまったようだ。高地ドラヴァニアの不浄の三塔付近に戻り、「カル・ミーク」と話そう。			こわいヒト？							
カル・ミークと話した。カル・ミークは、オル・アースから聞いた話に、まだ動揺しているようだが……。			カル・ミークと話した。カル・ミークは、オル・アースから聞いた話に、まだ動揺しているようだが……。			こわいヒト？							
カル・ミークと合流			カル・ミークと合流			こわいヒト？							
指定地点で見渡し、現れたフルグロウン・ロフタンから肉を入手			指定地点で見渡し、現れたフルグロウン・ロフタンから肉を入手			こわいヒト？							
カル・ミークと再び合流			カル・ミークと再び合流			こわいヒト？							
カル・ミークにロフタンの肩ロースを渡す			カル・ミークにロフタンの肩ロースを渡す			こわいヒト？							
カル・ミークと話す			カル・ミークと話す			こわいヒト？							
あっ！　Forename！たいへんだよ、助けて助けて！！			あっ！　Forename！たいへんだよ、助けて助けて！！			こわいヒト？							
いつも遊んでくれてる、知り合いのにいちゃんが、すごいケガをして帰ってきたんだよ～！なんだか、あまり元気もなさそうだし……。			いつも遊んでくれてる、知り合いのにいちゃんが、すごいケガをして帰ってきたんだよ～！なんだか、あまり元気もなさそうだし……。			こわいヒト？							
元気になるには、おなかいっぱい食べるのが一番だよ！だから、ごはんをたっくさん集めてあげようと思うんだ！ボクも狩りをするから、Forenameも手伝ってよ！			元気になるには、おなかいっぱい食べるのが一番だよ！だから、ごはんをたっくさん集めてあげようと思うんだ！ボクも狩りをするから、Forenameも手伝ってよ！			こわいヒト？							
先に、こないだの川のそばに行ってるから、Forenameも来てね！　待ってるからね！			先に、こないだの川のそばに行ってるから、Forenameも来てね！　待ってるからね！			こわいヒト？							
よーし、じゃあさっそく始めよーう！「グナースの塚」のそばに、フルグロウン・ロフタンがいるはずだから、Forenameは、そいつの「おにく」をお願い！			よーし、じゃあさっそく始めよーう！「グナースの塚」のそばに、フルグロウン・ロフタンがいるはずだから、Forenameは、そいつの「おにく」をお願い！			こわいヒト？							
ボク、川の向こうには行っちゃダメだって言われてるから、このあたりで、狩りをすることにするよ！じゃ、おねがいね！　がんばるぞ～、オーッ！！			ボク、川の向こうには行っちゃダメだって言われてるから、このあたりで、狩りをすることにするよ！じゃ、おねがいね！　がんばるぞ～、オーッ！！			こわいヒト？							
「グナースの塚」のそばに、フルグロウン・ロフタンがいるはずだから、Forenameは、そいつの「おにく」をお願い！			「グナースの塚」のそばに、フルグロウン・ロフタンがいるはずだから、Forenameは、そいつの「おにく」をお願い！			こわいヒト？							
おぉ、フルグロウン・ロフタンを狩れたみたいだね！さっすがForename！ボクも、狩り、ちゃんとしてきたよ！			おぉ、フルグロウン・ロフタンを狩れたみたいだね！さっすがForename！ボクも、狩り、ちゃんとしてきたよ！			こわいヒト？							
よしっ、さっそく、にいちゃんに持っていこ～う！にいちゃんは、「モーン大岩窟」ってトコにいるんだ！先に行ってるから、「おにく」はそっちでちょうだいね！			よしっ、さっそく、にいちゃんに持っていこ～う！にいちゃんは、「モーン大岩窟」ってトコにいるんだ！先に行ってるから、「おにく」はそっちでちょうだいね！			こわいヒト？							
くそっ、痛ぇ……！			くそっ、痛ぇ……！			こわいヒト？							
Forename、「おにく」をくれる？			Forename、「おにく」をくれる？			こわいヒト？							
オルにいちゃん、これあげる！にいちゃんのすきな、「おにく」だよ！たくさんあるから、おなかいっぱい食べて元気になってね！			オルにいちゃん、これあげる！にいちゃんのすきな、「おにく」だよ！たくさんあるから、おなかいっぱい食べて元気になってね！			こわいヒト？							
……いいか、カル、肉を食べても怪我は治らねぇ。ゆっくり寝て、体力を回復させるのが……って、おい。まさか、そのヒトが獲った肉ではないだろうな？			……いいか、カル、肉を食べても怪我は治らねぇ。ゆっくり寝て、体力を回復させるのが……って、おい。まさか、そのヒトが獲った肉ではないだろうな？			こわいヒト？							
そんなもん、食えるわけねぇだろ！この怪我、誰にやられたと思ってるんだ！？……ヒトの騎兵どもにやられたんだぞ！			そんなもん、食えるわけねぇだろ！この怪我、誰にやられたと思ってるんだ！？……ヒトの騎兵どもにやられたんだぞ！			こわいヒト？							
俺は獲物を追って、クルザスに行っただけなのに……ヒトどもめ、狩りをしていた俺を襲ってきやがったんだ！			俺は獲物を追って、クルザスに行っただけなのに……ヒトどもめ、狩りをしていた俺を襲ってきやがったんだ！			こわいヒト？							
カルよ、ヒトなんかとつるむのは、今すぐやめろ！そいつだって、いつお前のことを襲うかわからねぇぞ！？くっそ……傷が痛むぜ、まったく……！			カルよ、ヒトなんかとつるむのは、今すぐやめろ！そいつだって、いつお前のことを襲うかわからねぇぞ！？くっそ……傷が痛むぜ、まったく……！			こわいヒト？							
……えっ、そうなの？ヒトって……やっぱりこわい生き物なの……？			……えっ、そうなの？ヒトって……やっぱりこわい生き物なの……？			こわいヒト？							
そ、そういえば、ボク、友だちと遊ぶ約束をしてた気が……。…………じゃ、じゃあね……。			そ、そういえば、ボク、友だちと遊ぶ約束をしてた気が……。…………じゃ、じゃあね……。			こわいヒト？							
てめぇ……カルに手を出そうだなんて、思うなよ！？			てめぇ……カルに手を出そうだなんて、思うなよ！？			こわいヒト？							
あっ、Forename……。またオルにいちゃんに怒られるし、それに……。「おにく」、どうもありがとうね……。			あっ、Forename……。またオルにいちゃんに怒られるし、それに……。「おにく」、どうもありがとうね……。			こわいヒト？							
不浄の三塔のグリンカムビは、不快そうに喉を鳴らしている。			不浄の三塔のグリンカムビは、不快そうに喉を鳴らしている。			和らぐ花							
グリンカムビにグロン・マールを採ってくるよう頼まれた。高地ドラヴァニアのエース・ダイで、「グロン・マール」を入手しよう。			グリンカムビにグロン・マールを採ってくるよう頼まれた。高地ドラヴァニアのエース・ダイで、「グロン・マール」を入手しよう。			和らぐ花							
グロン・マールを入手した。不浄の三塔の「グリンカムビ」に「グロン・マール」を渡そう。			グロン・マールを入手した。不浄の三塔の「グリンカムビ」に「グロン・マール」を渡そう。			和らぐ花							
グリンカムビにグロン・マールを渡した。タマゴを温めるために、長い間動かずにいてイライラしてたらしい。グロン・マールの香りで、不快感も和らいだようだ。			グリンカムビにグロン・マールを渡した。タマゴを温めるために、長い間動かずにいてイライラしてたらしい。グロン・マールの香りで、不快感も和らいだようだ。			和らぐ花							
グロン・マールを入手			グロン・マールを入手			和らぐ花							
グリンカムビにグロン・マールを渡す			グリンカムビにグロン・マールを渡す			和らぐ花							
ええい、なんだか無性にイライラするねぇ……。グナース族を蹴散らしてもらったというのに、こうイライラしたら世話がない。			ええい、なんだか無性にイライラするねぇ……。グナース族を蹴散らしてもらったというのに、こうイライラしたら世話がない。			和らぐ花							
冒険者よ……。「エース・ダイ」に「グロン・マール」の花が咲いてるはず。それを摘んできてくれないかい？			冒険者よ……。「エース・ダイ」に「グロン・マール」の花が咲いてるはず。それを摘んできてくれないかい？			和らぐ花							
冒険者よ……。「エース・ダイ」に「グロン・マール」の花が咲いてるはず。それを摘んできてくれないかい？			冒険者よ……。「エース・ダイ」に「グロン・マール」の花が咲いてるはず。それを摘んできてくれないかい？			和らぐ花							
冒険者よ……。「エース・ダイ」に「グロン・マール」の花が咲いてるはず。それを摘んできてくれないかい？			冒険者よ……。「エース・ダイ」に「グロン・マール」の花が咲いてるはず。それを摘んできてくれないかい？			和らぐ花							
……ありがとうね、助かった。ああ、いい香りだねぇ……不快感も和らぐよ。			……ありがとうね、助かった。ああ、いい香りだねぇ……不快感も和らぐよ。			和らぐ花							
長い間、タマゴを温めて動かないでいると、イライラしてしまってね。これでしばらくは、静かにできそうだよ。			長い間、タマゴを温めて動かないでいると、イライラしてしまってね。これでしばらくは、静かにできそうだよ。			和らぐ花							
不浄の三塔付近のカル・ミークは、「ヒト」に恐れを抱いてしまったようだ。			不浄の三塔付近のカル・ミークは、「ヒト」に恐れを抱いてしまったようだ。			なおさなきゃ！							
カル・ミークと話した。高地ドラヴァニアの不浄の三塔付近にいる「カル・ミーク」に、エモート「なだめる」をしよう。			カル・ミークと話した。高地ドラヴァニアの不浄の三塔付近にいる「カル・ミーク」に、エモート「なだめる」をしよう。			なおさなきゃ！							
