聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			蒼天の下、笑顔で							
人々に疑いをかけられ、異国に追いやられてもめげず……。相容れないはずの存在とすら対話し、平和へ導いて……。境遇に似たものはあるけれど、僕とキミとじゃ大違いだ。			人々に疑いをかけられ、異国に追いやられてもめげず……。相容れないはずの存在とすら対話し、平和へ導いて……。境遇に似たものはあるけれど、僕とキミとじゃ大違いだ。			みんなに暖かい家を							
いまの僕の言葉は、民に届けるには軽いだろう。それはアインハルト家、そして僕自身の、力不足のせいにほかならない。			いまの僕の言葉は、民に届けるには軽いだろう。それはアインハルト家、そして僕自身の、力不足のせいにほかならない。			みんなに暖かい家を							
けれど、そんな僕の未熟さのために、蒼天街の事業を失敗させるようなことは、あっちゃダメだ。たくさんの人の「笑顔」が、かかっているんだから。			けれど、そんな僕の未熟さのために、蒼天街の事業を失敗させるようなことは、あっちゃダメだ。たくさんの人の「笑顔」が、かかっているんだから。			みんなに暖かい家を							
だから……蒼天街の運営について、力を貸してくれないか？キミと一緒なら、大丈夫な気がするんだ。			だから……蒼天街の運営について、力を貸してくれないか？キミと一緒なら、大丈夫な気がするんだ。			みんなに暖かい家を							
もしいい返事をくれるなら、もう一度、声をかけてほしい。			もしいい返事をくれるなら、もう一度、声をかけてほしい。			みんなに暖かい家を							
ほ、本当に力を貸してくれるのかい？ああ、ありがとう……！キミが手伝ってくれるなら、百人力だよ！			ほ、本当に力を貸してくれるのかい？ああ、ありがとう……！キミが手伝ってくれるなら、百人力だよ！			みんなに暖かい家を							
じゃあ、もしよかったら……この手紙を、皇都の顔役方に渡してくれないか？			じゃあ、もしよかったら……この手紙を、皇都の顔役方に渡してくれないか？			みんなに暖かい家を							
復興事業への協力を、依頼する内容でね。本当は、僕が渡しに行く予定だったけど……彼らもきっと、久しぶりにキミと話したいと思うんだ。			復興事業への協力を、依頼する内容でね。本当は、僕が渡しに行く予定だったけど……彼らもきっと、久しぶりにキミと話したいと思うんだ。			みんなに暖かい家を							
手紙は、酒場「忘れられた騎士亭」にいる「ジブリオン」氏と、神殿騎士団本部の「アンドゥルー」殿、それに宝杖通りの「エレイズ」氏へ、お願いするよ。			手紙は、酒場「忘れられた騎士亭」にいる「ジブリオン」氏と、神殿騎士団本部の「アンドゥルー」殿、それに宝杖通りの「エレイズ」氏へ、お願いするよ。			みんなに暖かい家を							
じゃあ、僕はさっきの親子の様子を見てくるよ。お互いあとで、「蒼天街」で落ちあおう。			じゃあ、僕はさっきの親子の様子を見てくるよ。お互いあとで、「蒼天街」で落ちあおう。			みんなに暖かい家を							
やあ、Forename。キミもさっきの親子の様子が気になるのかい？彼女たちなら、移住の手続きも済んだから心配しないで。			やあ、Forename。キミもさっきの親子の様子が気になるのかい？彼女たちなら、移住の手続きも済んだから心配しないで。			みんなに暖かい家を							
おかえりなさいませ、Surname様。おかげさまで、フランセル坊ちゃんが無事に戻られました。心より感謝申しあげます。			おかえりなさいませ、Surname様。おかげさまで、フランセル坊ちゃんが無事に戻られました。心より感謝申しあげます。			みんなに暖かい家を							
よう、姉さん兄さん。久しぶりに、一杯ひっかけに来たのかい？			よう、姉さん兄さん。久しぶりに、一杯ひっかけに来たのかい？			みんなに暖かい家を							
こりゃ、フランセル坊ちゃんからの手紙かい！あんたが持ってくるなんて、どういう風の吹き回しだ？どれどれ……			こりゃ、フランセル坊ちゃんからの手紙かい！あんたが持ってくるなんて、どういう風の吹き回しだ？どれどれ……			みんなに暖かい家を							
(-フランセルからの手紙-)「ストーンヴィジルで負った怪我は、もう痛まないだろうか？　兵役を退いてなお、人々から信頼されているあなたのことだ、　蒼天街の噂は、すでに耳に入っているかもしれない」			(-フランセルからの手紙-)「ストーンヴィジルで負った怪我は、もう痛まないだろうか？　兵役を退いてなお、人々から信頼されているあなたのことだ、　蒼天街の噂は、すでに耳に入っているかもしれない」			みんなに暖かい家を							
(-フランセルからの手紙-)「この街の復興には、多くの平民や兵が参加している。　美味しくて腹の満ちる仕出しを、発注させてもらえないだろうか。　炊き出しだけでは、足りなくなってきているんだ」			(-フランセルからの手紙-)「この街の復興には、多くの平民や兵が参加している。　美味しくて腹の満ちる仕出しを、発注させてもらえないだろうか。　炊き出しだけでは、足りなくなってきているんだ」			みんなに暖かい家を							
……昔お仕えしてた家の末の坊ちゃんに、こんなこと頼まれちゃ、断れないじゃねぇか。手軽に食える弁当を、すぐに用意しなくちゃな！			……昔お仕えしてた家の末の坊ちゃんに、こんなこと頼まれちゃ、断れないじゃねぇか。手軽に食える弁当を、すぐに用意しなくちゃな！			みんなに暖かい家を							
姉さん兄さんもありがとよ。これを持ってきたってことは、復興事業に協力してるんだろ？フランセル坊ちゃんのこと、よろしく頼むな。			姉さん兄さんもありがとよ。これを持ってきたってことは、復興事業に協力してるんだろ？フランセル坊ちゃんのこと、よろしく頼むな。			みんなに暖かい家を							
Forename殿ではないか！本日は、いかような用件で？			Forename殿ではないか！本日は、いかような用件で？			みんなに暖かい家を							
ふむ、フランセル卿からの書簡とは。拝見させていただこう。			ふむ、フランセル卿からの書簡とは。拝見させていただこう。			みんなに暖かい家を							
(-フランセルからの手紙-)「神殿騎士団コマンド、アンドゥルー殿。　皇都の治安を守るための日頃よりのご尽力、感謝申しあげます。　蒼天街復興事業の総監として公的に、協力要請させてください」			(-フランセルからの手紙-)「神殿騎士団コマンド、アンドゥルー殿。　皇都の治安を守るための日頃よりのご尽力、感謝申しあげます。　蒼天街復興事業の総監として公的に、協力要請させてください」			みんなに暖かい家を							
(-フランセルからの手紙-)「蒼天街の復興には、今後も多くの人手が必要になります。　どうか、神殿騎士団の工兵を派遣していただけないでしょうか。　皇都の民のため、どうかご検討ください」			(-フランセルからの手紙-)「蒼天街の復興には、今後も多くの人手が必要になります。　どうか、神殿騎士団の工兵を派遣していただけないでしょうか。　皇都の民のため、どうかご検討ください」			みんなに暖かい家を							
なるほど、承った。私の一存では決められないが、必ずや、よき返事ができるように努力しよう。			なるほど、承った。私の一存では決められないが、必ずや、よき返事ができるように努力しよう。			みんなに暖かい家を							
蒼天街の復興は、個人的にも感慨深い。我が家はかつてあの地にあってな。戦災でやむを得ず転居したが、眺めがよく住みよい土地なのだ。			蒼天街の復興は、個人的にも感慨深い。我が家はかつてあの地にあってな。戦災でやむを得ず転居したが、眺めがよく住みよい土地なのだ。			みんなに暖かい家を							
あら英雄様、いらっしゃいませ。今日も宝杖通りは賑わっておりますよ。お好きなお店を、ご覧になってくださいね。			あら英雄様、いらっしゃいませ。今日も宝杖通りは賑わっておりますよ。お好きなお店を、ご覧になってくださいね。			みんなに暖かい家を							
まぁ、フランセル卿から直々のお手紙……？拝読いたしますわね。			まぁ、フランセル卿から直々のお手紙……？拝読いたしますわね。			みんなに暖かい家を							
(-フランセルからの手紙-)「麗しのエレイズ氏、突然失礼いたします。　諸外国からの職人の手に馴染む、　外国製の大型工具の発注を、お願いできませんでしょうか？」			(-フランセルからの手紙-)「麗しのエレイズ氏、突然失礼いたします。　諸外国からの職人の手に馴染む、　外国製の大型工具の発注を、お願いできませんでしょうか？」			みんなに暖かい家を							
(-フランセルからの手紙-)「我が家が管轄するスカイスチール機工房の工具では、　彼らは慣れるところから、始めなければならないでしょう」			(-フランセルからの手紙-)「我が家が管轄するスカイスチール機工房の工具では、　彼らは慣れるところから、始めなければならないでしょう」			みんなに暖かい家を							
(-フランセルからの手紙-)「かねてより、積極的に異国と取引しているあなたであれば、　独自のルートで仕入れることができるはずです。　どうかご検討いただけないでしょうか」			(-フランセルからの手紙-)「かねてより、積極的に異国と取引しているあなたであれば、　独自のルートで仕入れることができるはずです。　どうかご検討いただけないでしょうか」			みんなに暖かい家を							
あら、まぁ……。諸外国の職人方が使う大型工具を用立てるだなんて、商人の腕がなりますわね。			あら、まぁ……。諸外国の職人方が使う大型工具を用立てるだなんて、商人の腕がなりますわね。			みんなに暖かい家を							
幼い頃は、お兄様たちとお買い物にいらしていたフランセル卿が、こんな立派で丁寧なお手紙を、お書きになるなんて……私も年をとるはずですわ。			幼い頃は、お兄様たちとお買い物にいらしていたフランセル卿が、こんな立派で丁寧なお手紙を、お書きになるなんて……私も年をとるはずですわ。			みんなに暖かい家を							
「もちろんお任せください」と、フランセル卿にお伝えくださいまし。			「もちろんお任せください」と、フランセル卿にお伝えくださいまし。			みんなに暖かい家を							
フランセル坊ちゃんに、「近いうちに顔を出す」と伝えておいてくれ。			フランセル坊ちゃんに、「近いうちに顔を出す」と伝えておいてくれ。			みんなに暖かい家を							
フランセル卿からの手紙の件、承った。私の一存では決められないが、必ずや、よき返事ができるように努力しよう。			フランセル卿からの手紙の件、承った。私の一存では決められないが、必ずや、よき返事ができるように努力しよう。			みんなに暖かい家を							
「もちろんお任せください」と、フランセル卿にお伝えくださいまし。			「もちろんお任せください」と、フランセル卿にお伝えくださいまし。			みんなに暖かい家を							
おかえり、Forename。顔役方に手紙を渡してくれただろうか？どんな反応だったか、ぜひとも教えてほしいな。			おかえり、Forename。顔役方に手紙を渡してくれただろうか？どんな反応だったか、ぜひとも教えてほしいな。			みんなに暖かい家を							
イシュガルド下層の街中に、見慣れぬ求人広告が貼られている。			イシュガルド下層の街中に、見慣れぬ求人広告が貼られている。			蒼天を仰ぐ街							
求人広告によると、イシュガルド復興事業における就労者を募集しているようだ。雲霧街にいる案内役の「トメリン」に詳細を聞こう。			求人広告によると、イシュガルド復興事業における就労者を募集しているようだ。雲霧街にいる案内役の「トメリン」に詳細を聞こう。			蒼天を仰ぐ街							
トメリンと話し、イシュガルド復興事業の総監であるフランセルから就労の許可を得た。イシュガルドの人々が新たな街に求めていることを聞き込みするため、イシュガルドの上層の「宝杖通り」へ向かおう。			トメリンと話し、イシュガルド復興事業の総監であるフランセルから就労の許可を得た。イシュガルドの人々が新たな街に求めていることを聞き込みするため、イシュガルドの上層の「宝杖通り」へ向かおう。			蒼天を仰ぐ街							
ヒルダ、ブリアルディアン、エマネランたちから、それぞれ違う意見を聞いた。宝杖通りで、ともに話を聞いていた「フランセル」に声をかけよう。			ヒルダ、ブリアルディアン、エマネランたちから、それぞれ違う意見を聞いた。宝杖通りで、ともに話を聞いていた「フランセル」に声をかけよう。			蒼天を仰ぐ街							
フランセルが、復興事業の対象である蒼天街を案内してくれるらしい。雲霧街にいる案内役の「トメリン」へ「ホットワイン」を差し入れし、蒼天街へ連れて行ってもらおう。			フランセルが、復興事業の対象である蒼天街を案内してくれるらしい。雲霧街にいる案内役の「トメリン」へ「ホットワイン」を差し入れし、蒼天街へ連れて行ってもらおう。			蒼天を仰ぐ街							
トメリンは差し入れに感謝し、蒼天街へ案内してくれた。名も無き者たちの広場にいる「フランセル」と話そう。			トメリンは差し入れに感謝し、蒼天街へ案内してくれた。名も無き者たちの広場にいる「フランセル」と話そう。			蒼天を仰ぐ街							
フランセルは蒼天街の運用について悩んでいたが、冒険者とエドモン・ド・フォルタン元伯爵と話したことで、解決の糸口をつかんだようだ。今後もフランセルに協力し、蒼天街をよい街にしていこう。			フランセルは蒼天街の運用について悩んでいたが、冒険者とエドモン・ド・フォルタン元伯爵と話したことで、解決の糸口をつかんだようだ。今後もフランセルに協力し、蒼天街をよい街にしていこう。			蒼天を仰ぐ街							
トメリンと話す			トメリンと話す			蒼天を仰ぐ街							
宝杖通りの指定地点で待機			宝杖通りの指定地点で待機			蒼天を仰ぐ街							
フランセルと話す			フランセルと話す			蒼天を仰ぐ街							
雲霧街のトメリンにホットワインを渡す			雲霧街のトメリンにホットワインを渡す			蒼天を仰ぐ街							
名も無き者たちの広場のフランセルと話す			名も無き者たちの広場のフランセルと話す			蒼天を仰ぐ街							
「蒼天街にて職人募集」と大きく書かれた、張り紙がある。イシュガルドの公共事業について、書かれているようだ……。			「蒼天街にて職人募集」と大きく書かれた、張り紙がある。イシュガルドの公共事業について、書かれているようだ……。			蒼天を仰ぐ街							
此度、「イシュガルド復興」の事業計画が、貴族院、庶民院の両議院で承認された。			此度、「イシュガルド復興」の事業計画が、貴族院、庶民院の両議院で承認された。			蒼天を仰ぐ街							
事業計画の中心区域に指定されたのは、かつて、竜の襲撃で壊滅的な被害を受け、立ち入りが禁止されていた「蒼天街」である。			事業計画の中心区域に指定されたのは、かつて、竜の襲撃で壊滅的な被害を受け、立ち入りが禁止されていた「蒼天街」である。			蒼天を仰ぐ街							
上記を開発特区とし、身分出身を問わず、就労者を大々的に募集する。			上記を開発特区とし、身分出身を問わず、就労者を大々的に募集する。			蒼天を仰ぐ街							
土木作業に自信のある者、資源採集の知識を有する者、専門的技能を有する職人など、ありとあらゆる人材を求む。			土木作業に自信のある者、資源採集の知識を有する者、専門的技能を有する職人など、ありとあらゆる人材を求む。			蒼天を仰ぐ街							
功労者には、特別な褒賞あり。腕や体力に自信のある者は「蒼天街」へ。			功労者には、特別な褒賞あり。腕や体力に自信のある者は「蒼天街」へ。			蒼天を仰ぐ街							
張り紙に記載されている要項によると、雲霧街にいる「トメリン」が、「蒼天街」へ案内してくれるようだ……。			張り紙に記載されている要項によると、雲霧街にいる「トメリン」が、「蒼天街」へ案内してくれるようだ……。			蒼天を仰ぐ街							
「蒼天街にて職人募集」と大きく書かれた、張り紙がある……。雲霧街にいる「トメリン」が、「蒼天街」へ案内してくれるようだ。			「蒼天街にて職人募集」と大きく書かれた、張り紙がある……。雲霧街にいる「トメリン」が、「蒼天街」へ案内してくれるようだ。			蒼天を仰ぐ街							
「蒼天街」へは、こちらからご案内していますよー！傭人や、技術指導にいらした職人さん方は、就労査証をご提示くださいね！			「蒼天街」へは、こちらからご案内していますよー！傭人や、技術指導にいらした職人さん方は、就労査証をご提示くださいね！			蒼天を仰ぐ街							
…………って、あれっ！？あなたは、救国の英雄殿！？			…………って、あれっ！？あなたは、救国の英雄殿！？			蒼天を仰ぐ街							
ま、まさか、蒼天街での公共事業に、興味がおありで……！？			ま、まさか、蒼天街での公共事業に、興味がおありで……！？			蒼天を仰ぐ街							
何と言う？			何と言う？			蒼天を仰ぐ街							
事業に参加したい！			事業に参加したい！			蒼天を仰ぐ街							
求人広告が目に留まって……			求人広告が目に留まって……			蒼天を仰ぐ街							
それは、ありがたい限りです……！竜詩戦争を終結に導いてくださったばかりか、蒼天街を再建する事業にも、ご協力いただけるとは……！			それは、ありがたい限りです……！竜詩戦争を終結に導いてくださったばかりか、蒼天街を再建する事業にも、ご協力いただけるとは……！			蒼天を仰ぐ街							
ただ、外部からの就労には査証が必要で……そちらはご用意されていますか？			ただ、外部からの就労には査証が必要で……そちらはご用意されていますか？			蒼天を仰ぐ街							
そうですか……。でも英雄殿なら、フォルタン家の御客人でありますし、査証は必要ないかもしれないけど、うーん、どうしたものか……。			そうですか……。でも英雄殿なら、フォルタン家の御客人でありますし、査証は必要ないかもしれないけど、うーん、どうしたものか……。			蒼天を仰ぐ街							
(-？？？？-)彼女彼が我らの事業に参加してくれるのなら、それほどありがたい話はない。無論、査証など必要ないよ。			(-？？？？-)彼女彼が我らの事業に参加してくれるのなら、それほどありがたい話はない。無論、査証など必要ないよ。			蒼天を仰ぐ街							
総監殿……！今日もこのようなところまで、ご足労いただいて……！			総監殿……！今日もこのようなところまで、ご足労いただいて……！			蒼天を仰ぐ街							
やあ、Forename、久しぶり。キミが復興事業に興味を持ってくれたなんて、すごく嬉しいよ。ええと、僕のことは覚えてるかな……？			やあ、Forename、久しぶり。キミが復興事業に興味を持ってくれたなんて、すごく嬉しいよ。ええと、僕のことは覚えてるかな……？			蒼天を仰ぐ街							
何と言う？			何と言う？			蒼天を仰ぐ街							
もちろん！			もちろん！			蒼天を仰ぐ街							
ごめん、誰だっけ……			ごめん、誰だっけ……			蒼天を仰ぐ街							
そうか、忘れずにいてくれて嬉しいよ。竜詩戦争が終わって、この国も大きく変わって……キミに窮地を救われたのが、なんだか遠い昔のようでさ。			そうか、忘れずにいてくれて嬉しいよ。竜詩戦争が終わって、この国も大きく変わって……キミに窮地を救われたのが、なんだか遠い昔のようでさ。			蒼天を仰ぐ街							
いいんだ、気にしないでくれ。雪深いアートボルグ砦群に駐在していて、なかなか皇都へは顔を出せなかったから、無理もないよ。			いいんだ、気にしないでくれ。雪深いアートボルグ砦群に駐在していて、なかなか皇都へは顔を出せなかったから、無理もないよ。			蒼天を仰ぐ街							
かつてキミに窮地を救われた、アインハルト家の末子、フランセルさ。			かつてキミに窮地を救われた、アインハルト家の末子、フランセルさ。			蒼天を仰ぐ街							
当時、一介の冒険者だったキミが、オルシュファンと共に、異端の嫌疑をかけられた僕を救ってくれたこと、そして、後に祖国をも救ってくれたこと……			当時、一介の冒険者だったキミが、オルシュファンと共に、異端の嫌疑をかけられた僕を救ってくれたこと、そして、後に祖国をも救ってくれたこと……			蒼天を仰ぐ街							
いくら礼を尽くしても足りないよ。キミは、国の英雄でもあり、僕の英雄でもあるんだ。			いくら礼を尽くしても足りないよ。キミは、国の英雄でもあり、僕の英雄でもあるんだ。			蒼天を仰ぐ街							
だからこそ、キミやオルシュファンが、イシュガルドにもたらしてくれた、人々の笑顔を……今度は僕が、守っていく番だと思っている。			だからこそ、キミやオルシュファンが、イシュガルドにもたらしてくれた、人々の笑顔を……今度は僕が、守っていく番だと思っている。			蒼天を仰ぐ街							
そんな決意もあって、貴族院で復興事業の統括人事を決める際、アインハルト家の代表として、迷わずに名乗りをあげたんだ。ほら、うちは機工房や工兵部隊も有しているしね。			そんな決意もあって、貴族院で復興事業の統括人事を決める際、アインハルト家の代表として、迷わずに名乗りをあげたんだ。ほら、うちは機工房や工兵部隊も有しているしね。			蒼天を仰ぐ街							
そして満場一致とはいかないが、総監を任せてもらえることになって……家名挽回のチャンスをもらえたともいえる。			そして満場一致とはいかないが、総監を任せてもらえることになって……家名挽回のチャンスをもらえたともいえる。			蒼天を仰ぐ街							
ただ、落ち目貴族の末っ子の人望なんて、たかが知れていてね。未だ協力者は少なく、外部から職人や労働者を募集したり、僕自身も、できることから動いている状態なのさ。			ただ、落ち目貴族の末っ子の人望なんて、たかが知れていてね。未だ協力者は少なく、外部から職人や労働者を募集したり、僕自身も、できることから動いている状態なのさ。			蒼天を仰ぐ街							
ありがたいことに、外部からの職人たちのおかげで、復興事業の方は滞りないんだが……街の運用については、未だに協力者が少ない状態でね。			ありがたいことに、外部からの職人たちのおかげで、復興事業の方は滞りないんだが……街の運用については、未だに協力者が少ない状態でね。			蒼天を仰ぐ街							
ありがたいことに、外部からの職人たちのおかげで、復興事業はつつがなく完了したんだが……街の運用については、未だに協力者が少ない状態でね。			ありがたいことに、外部からの職人たちのおかげで、復興事業はつつがなく完了したんだが……街の運用については、未だに協力者が少ない状態でね。			蒼天を仰ぐ街							
いまもこれから、新しい街に求めることを、人々に聞いて回ろうとしていたんだ。			いまもこれから、新しい街に求めることを、人々に聞いて回ろうとしていたんだ。			蒼天を仰ぐ街							
そうだ、よかったら一緒にきてくれないかい？冒険者として、様々な街を見てきたキミの見解も気になるし、みんなも、キミだからこそ話してくれることがあるかもしれない。			そうだ、よかったら一緒にきてくれないかい？冒険者として、様々な街を見てきたキミの見解も気になるし、みんなも、キミだからこそ話してくれることがあるかもしれない。			蒼天を仰ぐ街							
ああ、ありがとう、Forename……！じゃあ「宝杖通り」へ行ってみようか。あそこは人通りが多いから、いろんな人に話が聞けると思うんだ。			ああ、ありがとう、Forename……！じゃあ「宝杖通り」へ行ってみようか。あそこは人通りが多いから、いろんな人に話が聞けると思うんだ。			蒼天を仰ぐ街							
英雄殿、「宝杖通り」に向かわなくてよろしいのですか？フランセル卿がお待ちなのでは……。			英雄殿、「宝杖通り」に向かわなくてよろしいのですか？フランセル卿がお待ちなのでは……。			蒼天を仰ぐ街							
うん、このあたりがいいんじゃないかな。			うん、このあたりがいいんじゃないかな。			蒼天を仰ぐ街							
新しい街に求めることを街行く人に聞くため、フランセルと共に、この場所で待機しましょう。			新しい街に求めることを街行く人に聞くため、フランセルと共に、この場所で待機しましょう。			蒼天を仰ぐ街							
イベントには数分の時間がかかりますので、コンテンツファインダー申請中の場合などは、ご注意ください。			イベントには数分の時間がかかりますので、コンテンツファインダー申請中の場合などは、ご注意ください。			蒼天を仰ぐ街							
この場所で待機しますか？			この場所で待機しますか？			蒼天を仰ぐ街							
自警団の備品の発注にきたら、なんとまあ、見知った顔があるじゃないか！			自警団の備品の発注にきたら、なんとまあ、見知った顔があるじゃないか！			蒼天を仰ぐ街							
銃士隊の備品の発注にきたら、なんとまあ、見知った顔があるじゃないか！			銃士隊の備品の発注にきたら、なんとまあ、見知った顔があるじゃないか！			蒼天を仰ぐ街							
可愛らしい貴族の坊ちゃんと一緒とは、Forenameもやるねぇ。こんなところで逢瀬かい？			可愛らしい貴族の坊ちゃんと一緒とは、Forenameもやるねぇ。こんなところで逢瀬かい？			蒼天を仰ぐ街							
何と言う？			何と言う？			蒼天を仰ぐ街							
ばれたか			ばれたか			蒼天を仰ぐ街							
冗談はよせ			冗談はよせ			蒼天を仰ぐ街							
ふっ、冗談だよ。変わらず元気そうで、なによりだ。それにしてもこんなところで、なにしてたんだい？			ふっ、冗談だよ。変わらず元気そうで、なによりだ。それにしてもこんなところで、なにしてたんだい？			蒼天を仰ぐ街							
ヒルダ嬢、お噂はかねがね。僕たちはいま、理想とする蒼天街像を聞いて回っています。よければあなたのご意見を、お聞かせ願えませんか。			ヒルダ嬢、お噂はかねがね。僕たちはいま、理想とする蒼天街像を聞いて回っています。よければあなたのご意見を、お聞かせ願えませんか。			蒼天を仰ぐ街							
ああ、あんたもしかして、蒼天街の新しい総監になったっていう坊ちゃんかい。なるほど、そういうことか。			ああ、あんたもしかして、蒼天街の新しい総監になったっていう坊ちゃんかい。なるほど、そういうことか。			蒼天を仰ぐ街							
それなら遠慮なく言わせてもらうが、そりゃあもちろん、平民たちの誰もが、「暖かい家と、滋養のつく飯」にありつけることだよ。			それなら遠慮なく言わせてもらうが、そりゃあもちろん、平民たちの誰もが、「暖かい家と、滋養のつく飯」にありつけることだよ。			蒼天を仰ぐ街							
俺たち平民のなかには、戦争が終わったいまでも、そんなものが手に入らないやつらがいるんだ。お貴族様の目に、入っているかはわからんが。			俺たち平民のなかには、戦争が終わったいまでも、そんなものが手に入らないやつらがいるんだ。お貴族様の目に、入っているかはわからんが。			蒼天を仰ぐ街							
この国はもう、聖職者や貴族たちだけのものじゃない。本当にいい街をつくっていきたいなら、そこんとこを忘れるんじゃないよ。			この国はもう、聖職者や貴族たちだけのものじゃない。本当にいい街をつくっていきたいなら、そこんとこを忘れるんじゃないよ。			蒼天を仰ぐ街							
じゃあアタシたちは、これで失礼するよ。警備なんかに人員がほしくなったら、声をかけな。待遇次第では考えてやろうじゃないか。			じゃあアタシたちは、これで失礼するよ。警備なんかに人員がほしくなったら、声をかけな。待遇次第では考えてやろうじゃないか。			蒼天を仰ぐ街							
じゃあアタシたちは、これで失礼するよ。警備なんかに人員がほしくなったら、声をかけな。皇都の治安を守るのが、銃士隊の役目だからね。			じゃあアタシたちは、これで失礼するよ。警備なんかに人員がほしくなったら、声をかけな。皇都の治安を守るのが、銃士隊の役目だからね。			蒼天を仰ぐ街							
あの人は……かの有名な事件屋男爵、ブリアルディアン卿だ。エオルゼア各地で事件を解決していると聞いていたけど、イシュガルドに帰ってきていたんだね。			あの人は……かの有名な事件屋男爵、ブリアルディアン卿だ。エオルゼア各地で事件を解決していると聞いていたけど、イシュガルドに帰ってきていたんだね。			蒼天を仰ぐ街							
諸国を見て回っている彼にも、話を聞いてみたいんだけど、声をかけられそうかな……？			諸国を見て回っている彼にも、話を聞いてみたいんだけど、声をかけられそうかな……？			蒼天を仰ぐ街							
何と言う？			何と言う？			蒼天を仰ぐ街							
久しぶり、事件屋男爵！			久しぶり、事件屋男爵！			蒼天を仰ぐ街							
おーい、事件屋男爵！			おーい、事件屋男爵！			蒼天を仰ぐ街							
ちょっとそこのメガネの人ー			ちょっとそこのメガネの人ー			蒼天を仰ぐ街							
Forenameじゃないか。こんな場所で会うとは、奇遇だな。ずいぶん忙しそうにしていると、巷で聞いたが……			Forenameじゃないか。こんな場所で会うとは、奇遇だな。ずいぶん忙しそうにしていると、巷で聞いたが……			蒼天を仰ぐ街							
いかにも、エオルゼアを守る「事件屋」とは、ぼくのことだ。同じく「事件屋」を名乗る珍妙な奴らもいて、困っているがね。			いかにも、エオルゼアを守る「事件屋」とは、ぼくのことだ。同じく「事件屋」を名乗る珍妙な奴らもいて、困っているがね。			蒼天を仰ぐ街							
エオルゼアを守る「事件屋」のこのぼくを、メガネの人呼ばわりとは……。嵩高な人だな、君は。			エオルゼアを守る「事件屋」のこのぼくを、メガネの人呼ばわりとは……。嵩高な人だな、君は。			蒼天を仰ぐ街							
初めまして、ブリアルディアン卿。エオルゼア諸国に通じ、多数の都市をご存知の貴方に、お聞きしたいことがあるのです。			初めまして、ブリアルディアン卿。エオルゼア諸国に通じ、多数の都市をご存知の貴方に、お聞きしたいことがあるのです。			蒼天を仰ぐ街							
復興計画の対象となり、生まれ変わる蒼天街について……あなたが必要だと思うものは、なんでしょうか？			復興計画の対象となり、生まれ変わる蒼天街について……あなたが必要だと思うものは、なんでしょうか？			蒼天を仰ぐ街							
ふむ……それは無論「活発な経済活動」だろうな。物や人の往来が多ければ、街や人々が活気づくのは、諸都市を見ても明らかだ。			ふむ……それは無論「活発な経済活動」だろうな。物や人の往来が多ければ、街や人々が活気づくのは、諸都市を見ても明らかだ。			蒼天を仰ぐ街							
この国は閉鎖的で辟易するが、ようやく変革の兆しが見えた。これからは人々が豊かに生きられる国になるよう、願うばかりだ。			この国は閉鎖的で辟易するが、ようやく変革の兆しが見えた。これからは人々が豊かに生きられる国になるよう、願うばかりだ。			蒼天を仰ぐ街							
なにか事件が起こって困っていたら、ぜひ依頼をよこしてくれたまえ。ではな。			なにか事件が起こって困っていたら、ぜひ依頼をよこしてくれたまえ。ではな。			蒼天を仰ぐ街							
Forename。そういえば「あいつ」はどうしている……？相変わらず、愚かだが実直に、事件を解決しているんだろうか？			Forename。そういえば「あいつ」はどうしている……？相変わらず、愚かだが実直に、事件を解決しているんだろうか？			蒼天を仰ぐ街							
いや、すまない。聞かなかったことにしてくれ。きっと言わずもがな、だろうからな。			いや、すまない。聞かなかったことにしてくれ。きっと言わずもがな、だろうからな。			蒼天を仰ぐ街							
何と言う？			何と言う？			蒼天を仰ぐ街							
よっ、相棒！			よっ、相棒！			蒼天を仰ぐ街							
もし、麗しのエマネラン様			もし、麗しのエマネラン様			蒼天を仰ぐ街							
…………			…………			蒼天を仰ぐ街							
Forename！お前から声かけてくれるなんて嬉しいぜー！			Forename！お前から声かけてくれるなんて嬉しいぜー！			蒼天を仰ぐ街							
なんだ、どこぞの令嬢かと思ったらお前か、相棒！紛らわしいことするなよなー！			なんだ、どこぞの令嬢かと思ったらお前か、相棒！紛らわしいことするなよなー！			蒼天を仰ぐ街							
おいおいおいおい！こっちを見てるの気づいてたぜ！？声をかけてくれないとはつれないな、相棒！			おいおいおいおい！こっちを見てるの気づいてたぜ！？声をかけてくれないとはつれないな、相棒！			蒼天を仰ぐ街							
それにフランセルじゃねぇか！ラニエット姉さんは、元気にしてるか？オレがかっこいいとか、オレが好きとか、なんか言ってない？			それにフランセルじゃねぇか！ラニエット姉さんは、元気にしてるか？オレがかっこいいとか、オレが好きとか、なんか言ってない？			蒼天を仰ぐ街							
いや、姉上は特になにも……。			いや、姉上は特になにも……。			蒼天を仰ぐ街							
そんなことより、聞きたいことがあるんです。エマネランさんは、復興した蒼天街に、なにか求めることはありますか？			そんなことより、聞きたいことがあるんです。エマネランさんは、復興した蒼天街に、なにか求めることはありますか？			蒼天を仰ぐ街							
