潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
仕事をお願いしたのだから、謝礼を支払うのは当然です。これでも、私は商売人を目指しているのですからね。異国の旅の方……ありがとうございました。			仕事をお願いしたのだから、謝礼を支払うのは当然です。これでも、私は商売人を目指しているのですからね。異国の旅の方……ありがとうございました。			一人前の商売人							
クガネの異国の貿易商は、人探しを手伝ってほしいようだ。			クガネの異国の貿易商は、人探しを手伝ってほしいようだ。			理想の女							
無地鼓座の関係者を探す			無地鼓座の関係者を探す			理想の女							
異国の貿易商と話す			異国の貿易商と話す			理想の女							
無地鼓座の役者を探す			無地鼓座の役者を探す			理想の女							
異国の貿易商と話す			異国の貿易商と話す			理想の女							
異国の貿易商と再度話す			異国の貿易商と再度話す			理想の女							
おや……あなた、もしや冒険者なのでは？エオルゼアから来て日も浅く、誰も頼れる人がいなかったんです。どうか、私の話を聞いていただけませんか。			おや……あなた、もしや冒険者なのでは？エオルゼアから来て日も浅く、誰も頼れる人がいなかったんです。どうか、私の話を聞いていただけませんか。			理想の女							
冒険者さんは、クガネ名物の芝居ってものを、ご覧になったことはありますか？私は一目見た瞬間から、すっかり虜になってしまいましたよ。			冒険者さんは、クガネ名物の芝居ってものを、ご覧になったことはありますか？私は一目見た瞬間から、すっかり虜になってしまいましたよ。			理想の女							
それからはもう毎日、劇場の「無地鼓座」に通っていましたが、仕事の都合で、そろそろクガネを発つことになりまして……。その前にどうしても、会っておきたい人がいるんです。			それからはもう毎日、劇場の「無地鼓座」に通っていましたが、仕事の都合で、そろそろクガネを発つことになりまして……。その前にどうしても、会っておきたい人がいるんです。			理想の女							
その人は、ある芝居で姫役を演じている女性なのですが、クガネで……いや、エオルゼアを含めても、いちばんの美女に違いありません！			その人は、ある芝居で姫役を演じている女性なのですが、クガネで……いや、エオルゼアを含めても、いちばんの美女に違いありません！			理想の女							
私もこうして毎日出待ちをしているのですが、一向に会えません。情報を集めようにも、その隙に行き違いになったらと思うと……。			私もこうして毎日出待ちをしているのですが、一向に会えません。情報を集めようにも、その隙に行き違いになったらと思うと……。			理想の女							
冒険者さん、お願いです。無地鼓座の関係者が、公演後に立ち寄るという「潮風亭」で、彼女について話を聞いてきてもらえませんか？			冒険者さん、お願いです。無地鼓座の関係者が、公演後に立ち寄るという「潮風亭」で、彼女について話を聞いてきてもらえませんか？			理想の女							
冒険者さん、お願いです。無地鼓座の関係者が、公演後に立ち寄るという「潮風亭」で、彼女について話を聞いてきてもらえませんか？			冒険者さん、お願いです。無地鼓座の関係者が、公演後に立ち寄るという「潮風亭」で、彼女について話を聞いてきてもらえませんか？			理想の女							
なんだ、お前さん。俺になにか用かい？			なんだ、お前さん。俺になにか用かい？			理想の女							
クガネでいちばんの美女とは、傑作だな。教えてやりたいところだが、芝居の舞台ってのは、演者たちが作り出した夢みたいなもんでな。			クガネでいちばんの美女とは、傑作だな。教えてやりたいところだが、芝居の舞台ってのは、演者たちが作り出した夢みたいなもんでな。			理想の女							
知ったとしても、いいことなんかありゃしねえよ。まあ、そいつの気持ちもわからんではないがな。俺でさえ、あの「甘い香水の香り」を嗅ぐと、クラッと……。			知ったとしても、いいことなんかありゃしねえよ。まあ、そいつの気持ちもわからんではないがな。俺でさえ、あの「甘い香水の香り」を嗅ぐと、クラッと……。			理想の女							
おっと……酒のせいで、口が滑らかになっちまったみたいだな。お前さんも仕事だろうが、内緒で頼むぜ？			おっと……酒のせいで、口が滑らかになっちまったみたいだな。お前さんも仕事だろうが、内緒で頼むぜ？			理想の女							
おっと……酒のせいで、口が滑らかになっちまったみたいだな。お前さんも仕事だろうが、内緒で頼むぜ？			おっと……酒のせいで、口が滑らかになっちまったみたいだな。お前さんも仕事だろうが、内緒で頼むぜ？			理想の女							
ああ……先ほど、最後の舞台が終わってしまいました。たくさんの役者が、そこの扉から出て行くのを見送りましたが、彼女らしき人は、やはり見つけられませんでした。			ああ……先ほど、最後の舞台が終わってしまいました。たくさんの役者が、そこの扉から出て行くのを見送りましたが、彼女らしき人は、やはり見つけられませんでした。			理想の女							
甘い香りの香水……ですか。確かに客席にいるとき、何度か感じたことがあります……。彼らは二手に分かれたので、こちらも手分けして探しましょう！			甘い香りの香水……ですか。確かに客席にいるとき、何度か感じたことがあります……。彼らは二手に分かれたので、こちらも手分けして探しましょう！			理想の女							
冒険者さんは「小金通り」に向かった3人を探してください。私は、楽座街に向かいます。			冒険者さんは「小金通り」に向かった3人を探してください。私は、楽座街に向かいます。			理想の女							
それと、役者の見分け方ですが、首元を見てください。化粧は落としていますが、少しは白粉が残っているはずです。			それと、役者の見分け方ですが、首元を見てください。化粧は落としていますが、少しは白粉が残っているはずです。			理想の女							
これも、出待ちを続けた成果でしょうね。彼女を知ってそうな役者たちから情報を集めた後は、潮風亭の前で落ち合いましょう！			これも、出待ちを続けた成果でしょうね。彼女を知ってそうな役者たちから情報を集めた後は、潮風亭の前で落ち合いましょう！			理想の女							
お客さんですかい？申し訳ございませんが、仕事あがりなもんでね。このまま家へ、帰らせてはもらえませんかね。			お客さんですかい？申し訳ございませんが、仕事あがりなもんでね。このまま家へ、帰らせてはもらえませんかね。			理想の女							
おっと、舞台を降りたら、俺はただの町人さ。話しかけてもらっちゃぁ困るな。俺に会いたけりゃ、また舞台に来なよ。			おっと、舞台を降りたら、俺はただの町人さ。話しかけてもらっちゃぁ困るな。俺に会いたけりゃ、また舞台に来なよ。			理想の女							
お前さん、俺が役者だってこと、よくわかったじゃないか。客席で見かけたことは、一度もない顔なのにさ。			お前さん、俺が役者だってこと、よくわかったじゃないか。客席で見かけたことは、一度もない顔なのにさ。			理想の女							
さて……そんな女は知らないねえ。そいつは、きっと夢でも見たんだよ。			さて……そんな女は知らないねえ。そいつは、きっと夢でも見たんだよ。			理想の女							
風流な役者の首元から、甘い香りが漂った……。			風流な役者の首元から、甘い香りが漂った……。			理想の女							
さて……そんな女は知らないねえ。そいつは、きっと夢でも見たんだよ。			さて……そんな女は知らないねえ。そいつは、きっと夢でも見たんだよ。			理想の女							
あ、冒険者さん！こちらはダメでしたが、そちらはどうでした？			あ、冒険者さん！こちらはダメでしたが、そちらはどうでした？			理想の女							
異人街の方で、甘い香水の匂いがする人と出会ったんですね！？ひょっとしたら、彼女と親しい人かもしれません……。行って、話を聞いてみましょう！			異人街の方で、甘い香水の匂いがする人と出会ったんですね！？ひょっとしたら、彼女と親しい人かもしれません……。行って、話を聞いてみましょう！			理想の女							
はぁ……あんたまで来たとあっちゃ、仕方ない。そろそろ、本当のことを話してやろうかね。			はぁ……あんたまで来たとあっちゃ、仕方ない。そろそろ、本当のことを話してやろうかね。			理想の女							
お願いです、彼女に会わせてください！この香水の匂いは、絶対に彼女のものです！あなた、知っているんでしょう！？			お願いです、彼女に会わせてください！この香水の匂いは、絶対に彼女のものです！あなた、知っているんでしょう！？			理想の女							
やれやれ……本当のことを話さない限り、帰しちゃくれそうにないね。ようござんす、あたしがその……女形なのさ。			やれやれ……本当のことを話さない限り、帰しちゃくれそうにないね。ようござんす、あたしがその……女形なのさ。			理想の女							
まさか……その声……。いや、その艶っぽい表情も……。			まさか……その声……。いや、その艶っぽい表情も……。			理想の女							
女形ってのはね、どんな女よりも、男ってものを理解してるんだ。だからこそ、男の理想とする女らしさを演じられるのさ。あたしが男だって知って、幻滅したかい？			女形ってのはね、どんな女よりも、男ってものを理解してるんだ。だからこそ、男の理想とする女らしさを演じられるのさ。あたしが男だって知って、幻滅したかい？			理想の女							
いいえ……幻滅なんて、するわけがありません。あなたへの想いが、いっそう強くなりました！私は近々クガネを発ちますが、必ず舞台を観に戻ってきます！			いいえ……幻滅なんて、するわけがありません。あなたへの想いが、いっそう強くなりました！私は近々クガネを発ちますが、必ず舞台を観に戻ってきます！			理想の女							
それならあたしは、今よりもっと女を磨いておくよ。			それならあたしは、今よりもっと女を磨いておくよ。			理想の女							
クガネという街も、その文化も……なんと奥深いのでしょう。私は、必ずこの街に戻ってきます。冒険者さん、ありがとうございました！			クガネという街も、その文化も……なんと奥深いのでしょう。私は、必ずこの街に戻ってきます。冒険者さん、ありがとうございました！			理想の女							
クガネの引き締まった荷運び人は、肩を痛めてしまったようだ。			クガネの引き締まった荷運び人は、肩を痛めてしまったようだ。			肩に担ぐは米と夢							
腕利きの薬師と話す			腕利きの薬師と話す			肩に担ぐは米と夢							
引き締まった荷運び人に匂い立つ生姜湿布を渡す			引き締まった荷運び人に匂い立つ生姜湿布を渡す			肩に担ぐは米と夢							
アンタ、クガネのもんじゃないな？もしよかったら、頼みを聞いてくれないか。米俵を運ぶ途中、肩を痛めちまって、ここから動けねえんだ。			アンタ、クガネのもんじゃないな？もしよかったら、頼みを聞いてくれないか。米俵を運ぶ途中、肩を痛めちまって、ここから動けねえんだ。			肩に担ぐは米と夢							
仲間たちには内緒で、小金通りの裏にいる「腕利きの薬師」から、「匂い立つ生姜湿布」をもらってきてくれねぇか。顔なじみだから、事情を説明すりゃ、わかってくれる。			仲間たちには内緒で、小金通りの裏にいる「腕利きの薬師」から、「匂い立つ生姜湿布」をもらってきてくれねぇか。顔なじみだから、事情を説明すりゃ、わかってくれる。			肩に担ぐは米と夢							
仲間たちには内緒で、小金通りの裏にいる「腕利きの薬師」から、「匂い立つ生姜湿布」をもらってきてくれねぇか。顔なじみだから、事情を説明すりゃ、わかってくれる。			仲間たちには内緒で、小金通りの裏にいる「腕利きの薬師」から、「匂い立つ生姜湿布」をもらってきてくれねぇか。顔なじみだから、事情を説明すりゃ、わかってくれる。			肩に担ぐは米と夢							
「匂い立つ生姜湿布」だと？そんなもん欲しがるのは、あいつしかいねえな。また頑張りすぎて、肩でも痛めちまったんだろうよ。			「匂い立つ生姜湿布」だと？そんなもん欲しがるのは、あいつしかいねえな。また頑張りすぎて、肩でも痛めちまったんだろうよ。			肩に担ぐは米と夢							
ほれ、もっていきな。金は後でいいから、「引き締まった荷運び人」に伝えてくれ。身体が元手なんだから、無理はすんなってよ。			ほれ、もっていきな。金は後でいいから、「引き締まった荷運び人」に伝えてくれ。身体が元手なんだから、無理はすんなってよ。			肩に担ぐは米と夢							
金は後でいいから、「引き締まった荷運び人」に伝えてくれ。身体が元手なんだから、無理はすんなってよ。			金は後でいいから、「引き締まった荷運び人」に伝えてくれ。身体が元手なんだから、無理はすんなってよ。			肩に担ぐは米と夢							
「匂い立つ生姜湿布」は、もらってきてくれたか？			「匂い立つ生姜湿布」は、もらってきてくれたか？			肩に担ぐは米と夢							
小間使いみたいな真似をさしちまって、すまねえな。口は減らねえが、薬師としては一流の爺さんがこさえたんだ。こいつがあれば、すぐに仕事に戻れる。			小間使いみたいな真似をさしちまって、すまねえな。口は減らねえが、薬師としては一流の爺さんがこさえたんだ。こいつがあれば、すぐに仕事に戻れる。			肩に担ぐは米と夢							
最近は、米を買い付ける異国の商人もいてな……。飯や餅が大人気って話で、オレたち運び屋も大忙しさ。仲間にバレたら、休めってうるせぇから、アンタに頼んだんだ。			最近は、米を買い付ける異国の商人もいてな……。飯や餅が大人気って話で、オレたち運び屋も大忙しさ。仲間にバレたら、休めってうるせぇから、アンタに頼んだんだ。			肩に担ぐは米と夢							
俺には夢があるから、この稼ぎ時に、少し体を痛めたぐらいで、休むわけにはいかねえ。若い内にべっぴんな嫁さんをもらって、将来は料亭を持つんだ。			俺には夢があるから、この稼ぎ時に、少し体を痛めたぐらいで、休むわけにはいかねえ。若い内にべっぴんな嫁さんをもらって、将来は料亭を持つんだ。			肩に担ぐは米と夢							
次の届け先には、若くてきれいなお嬢さんがいるらしいから、俵を運ぶ腕にも力が入るってもんよ。アンタ、ありがとよ。			次の届け先には、若くてきれいなお嬢さんがいるらしいから、俵を運ぶ腕にも力が入るってもんよ。アンタ、ありがとよ。			肩に担ぐは米と夢							
クガネの負傷した赤誠組の隊士は、痛みに顔を歪めている。			クガネの負傷した赤誠組の隊士は、痛みに顔を歪めている。			クガネの守護者							
赤誠組の隊士と話す			赤誠組の隊士と話す			クガネの守護者							
負傷した赤誠組の隊士に乳白色の軟膏を使う			負傷した赤誠組の隊士に乳白色の軟膏を使う			クガネの守護者							
くっ……はぁ……はぁ……。早く、あいつにも知らせてやらなければ……。だが、この傷では……。			くっ……はぁ……はぁ……。早く、あいつにも知らせてやらなければ……。だが、この傷では……。			クガネの守護者							
お前……奴らの仲間では……なさそうだな。信用するのは、賭けになるが……時間が惜しい。すまないが……頼みを聞いてくれ。			お前……奴らの仲間では……なさそうだな。信用するのは、賭けになるが……時間が惜しい。すまないが……頼みを聞いてくれ。			クガネの守護者							
俺は……赤誠組の隊士だ……。警邏の最中に、異国の暴漢に襲われた……。仲間が……あいつも、襲われるかもしれないんだ……。			俺は……赤誠組の隊士だ……。警邏の最中に、異国の暴漢に襲われた……。仲間が……あいつも、襲われるかもしれないんだ……。			クガネの守護者							
俺は、大丈夫だ……。だが……小金通りの裏道にいる「赤誠組の隊士」に……俺が襲われたことを伝えてくれ……頼む。			俺は、大丈夫だ……。だが……小金通りの裏道にいる「赤誠組の隊士」に……俺が襲われたことを伝えてくれ……頼む。			クガネの守護者							
俺は、大丈夫だ……。だが……小金通りの裏道にいる「赤誠組の隊士」に……俺が襲われたことを伝えてくれ……頼む。			俺は、大丈夫だ……。だが……小金通りの裏道にいる「赤誠組の隊士」に……俺が襲われたことを伝えてくれ……頼む。			クガネの守護者							
お前さん、俺に何か用かい？			お前さん、俺に何か用かい？			クガネの守護者							
なに？　仲間が異国の暴漢に襲われた？しかも……赤誠組でも指折りの剣士が、怪我を負うほどの腕前か。俺ひとりで追ったところで、返り討ちだな。			なに？　仲間が異国の暴漢に襲われた？しかも……赤誠組でも指折りの剣士が、怪我を負うほどの腕前か。俺ひとりで追ったところで、返り討ちだな。			クガネの守護者							
お前さん、「乳白色の軟膏」を、「負傷した赤誠組の隊士」に使ってやってくれないか？俺は、屯所に応援を呼びに行く。			お前さん、「乳白色の軟膏」を、「負傷した赤誠組の隊士」に使ってやってくれないか？俺は、屯所に応援を呼びに行く。			クガネの守護者							
相棒には……伝えてくれたか？			相棒には……伝えてくれたか？			クガネの守護者							
この乳白色の軟膏は……。よかった……あいつは無事だったんだな。			この乳白色の軟膏は……。よかった……あいつは無事だったんだな。			クガネの守護者							
大丈夫……痛みもだいぶ和らいできたよ。面倒なことに巻き込んでしまって、すまなかったな。だが、お前を信じてよかった。			大丈夫……痛みもだいぶ和らいできたよ。面倒なことに巻き込んでしまって、すまなかったな。だが、お前を信じてよかった。			クガネの守護者							
さっきも言ったが、俺を襲ったのは、異国から来たならず者だ。クガネじゃ喧嘩は御法度だが、外の連中はお構いなしさ……。			さっきも言ったが、俺を襲ったのは、異国から来たならず者だ。クガネじゃ喧嘩は御法度だが、外の連中はお構いなしさ……。			クガネの守護者							
奴ら、俺と相棒に違法な取引を邪魔されたのが、よほど気に食わなかったらしい。金を積んで、腕の立つ用心棒を雇ったようだ。			奴ら、俺と相棒に違法な取引を邪魔されたのが、よほど気に食わなかったらしい。金を積んで、腕の立つ用心棒を雇ったようだ。			クガネの守護者							
だが、赤誠組には、化け物みたいな隊士が大勢いる。同志に追い詰められて、今頃は牢屋の中だろう。			だが、赤誠組には、化け物みたいな隊士が大勢いる。同志に追い詰められて、今頃は牢屋の中だろう。			クガネの守護者							
とにかく、助かった。赤誠組の羽織を背負う者として、感謝する……。			とにかく、助かった。赤誠組の羽織を背負う者として、感謝する……。			クガネの守護者							
