ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			蛮神の真なる力							
蛮神の祭器をすべて集めることができた。レヴナンツトールの「ラレナ」に届けよう。			蛮神の祭器をすべて集めることができた。レヴナンツトールの「ラレナ」に届けよう。			極まりし蛮神たち							
ラレナへ蛮神の祭器を届け、「ロウェナの手形:祭器」を手に入れた。さらに「ロウェナの手形:祭器」がほしいならば、しばしの休憩ののち、再度、蛮神の祭器を手に入れよう。			ラレナへ蛮神の祭器を届け、「ロウェナの手形:祭器」を手に入れた。さらに「ロウェナの手形:祭器」がほしいならば、しばしの休憩ののち、再度、蛮神の祭器を手に入れよう。			極まりし蛮神たち							
「極ガルーダ討滅戦」を攻略し嵐神の祭器を入手			「極ガルーダ討滅戦」を攻略し嵐神の祭器を入手			極まりし蛮神たち							
「極タイタン討滅戦」を攻略し岩神の祭器を入手			「極タイタン討滅戦」を攻略し岩神の祭器を入手			極まりし蛮神たち							
「極イフリート討滅戦」を攻略し焔神の祭器を入手			「極イフリート討滅戦」を攻略し焔神の祭器を入手			極まりし蛮神たち							
レヴナンツトールのラレナに集めた品を渡す			レヴナンツトールのラレナに集めた品を渡す			極まりし蛮神たち							
やぁ、よくばり冒険者！……アタシにひと声かけたってことは、また「ロウェナの手形:祭器」がほしいんだね？			やぁ、よくばり冒険者！……アタシにひと声かけたってことは、また「ロウェナの手形:祭器」がほしいんだね？			極まりし蛮神たち							
ちょうど、例の悪趣味な祭器の問い合わせがきてるんだ。アンタが祭器を調達してくれると助かるよ。さあ、早いとこ、きっちり揃えて持ってきな！			ちょうど、例の悪趣味な祭器の問い合わせがきてるんだ。アンタが祭器を調達してくれると助かるよ。さあ、早いとこ、きっちり揃えて持ってきな！			極まりし蛮神たち							
例の悪趣味な祭器の問い合わせが来てるんだ。アンタが祭器を調達してくれると助かるよ。さあ、早いとこ、きっちり揃えて持ってきな！			例の悪趣味な祭器の問い合わせが来てるんだ。アンタが祭器を調達してくれると助かるよ。さあ、早いとこ、きっちり揃えて持ってきな！			極まりし蛮神たち							
フン、さすがだね……どうやら本物みたいじゃないか。ほらよ、約束の「ロウェナの手形:祭器」だ。この調子で、また頼んだよ！			フン、さすがだね……どうやら本物みたいじゃないか。ほらよ、約束の「ロウェナの手形:祭器」だ。この調子で、また頼んだよ！			極まりし蛮神たち							
……ふふふ、こうやってロウェナの顧客を奪ってやるんだ。ここで顔を売って、いつか自分の店を持ったときに、全員かっさらってみせるさ！			……ふふふ、こうやってロウェナの顧客を奪ってやるんだ。ここで顔を売って、いつか自分の店を持ったときに、全員かっさらってみせるさ！			極まりし蛮神たち							
ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし氷神シヴァ							
砂の家のウリエンジェと話した。異端者によって、蛮神「シヴァ」が再召喚されてしまったらしい。クルザス中央高地のホワイトブリム前哨地にいる「ドリユモン」から話を聞こう。			砂の家のウリエンジェと話した。異端者によって、蛮神「シヴァ」が再召喚されてしまったらしい。クルザス中央高地のホワイトブリム前哨地にいる「ドリユモン」から話を聞こう。			極まりし氷神シヴァ							
ドリユモンから話を聞いた。大氷壁に姿を現した「氷の巫女」らにより、工兵隊は大きな損害をうけたらしい。蛮神「シヴァ」を討伐するため、クルザス中央高地のスノークローク大氷壁にいる「屈強な神殿騎士」に話しかけよう。			ドリユモンから話を聞いた。大氷壁に姿を現した「氷の巫女」らにより、工兵隊は大きな損害をうけたらしい。蛮神「シヴァ」を討伐するため、クルザス中央高地のスノークローク大氷壁にいる「屈強な神殿騎士」に話しかけよう。			極まりし氷神シヴァ							
屈強な神殿騎士と話した。氷壁の内部に潜入し、再召喚された蛮神「シヴァ」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			屈強な神殿騎士と話した。氷壁の内部に潜入し、再召喚された蛮神「シヴァ」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			極まりし氷神シヴァ							
再召喚された蛮神「シヴァ」を討伐した。ホワイトブリム前哨地の「ドリユモン」に報告しよう。			再召喚された蛮神「シヴァ」を討伐した。ホワイトブリム前哨地の「ドリユモン」に報告しよう。			極まりし氷神シヴァ							
ドリユモンに「シヴァ」討伐を報告した。彼は、今後の異端者対策の在り方について、再検討が必要だと考えたようだ。砂の家の「ウリエンジェ」にも討伐の報告をしよう。			ドリユモンに「シヴァ」討伐を報告した。彼は、今後の異端者対策の在り方について、再検討が必要だと考えたようだ。砂の家の「ウリエンジェ」にも討伐の報告をしよう。			極まりし氷神シヴァ							
ウリエンジェに「シヴァ」討伐を報告した。召喚された蛮神をことごとく打ち倒すことができた意義は大きい。これ以上蛮神に極まりし力を与えぬよう、ウリエンジェはアシエン対策を進める決意を新たにするのだった。			ウリエンジェに「シヴァ」討伐を報告した。召喚された蛮神をことごとく打ち倒すことができた意義は大きい。これ以上蛮神に極まりし力を与えぬよう、ウリエンジェはアシエン対策を進める決意を新たにするのだった。			極まりし氷神シヴァ							
ホワイトブリム前哨地のドリユモンと話す			ホワイトブリム前哨地のドリユモンと話す			極まりし氷神シヴァ							
屈強な神殿騎士と話す			屈強な神殿騎士と話す			極まりし氷神シヴァ							
「極シヴァ討滅戦」を攻略			「極シヴァ討滅戦」を攻略			極まりし氷神シヴァ							
ホワイトブリム前哨地のドリユモンに報告			ホワイトブリム前哨地のドリユモンに報告			極まりし氷神シヴァ							
砂の家のウリエンジェに報告			砂の家のウリエンジェに報告			極まりし氷神シヴァ							
我らが英雄の奮戦により、蛮神「シヴァ」は討伐され、北方の地は、一時の安寧を得ました……。			我らが英雄の奮戦により、蛮神「シヴァ」は討伐され、北方の地は、一時の安寧を得ました……。			極まりし氷神シヴァ							
しかし、大地を凍てつかせんとする脅威は、未だ去ってはいないようです……。デュランデル家のドリユモン卿より、要請が届きました……。			しかし、大地を凍てつかせんとする脅威は、未だ去ってはいないようです……。デュランデル家のドリユモン卿より、要請が届きました……。			極まりし氷神シヴァ							
クルザスの地にて、再び「氷の巫女」が現れたのです。彼女に率いられし一団が、デュランデル家の工兵隊を襲い、大量のクリスタルを強奪したとのこと……。			クルザスの地にて、再び「氷の巫女」が現れたのです。彼女に率いられし一団が、デュランデル家の工兵隊を襲い、大量のクリスタルを強奪したとのこと……。			極まりし氷神シヴァ							
その量は、前回の輸送隊襲撃を、はるかに凌ぐといいます。蛮神「シヴァ」の再召喚は、必定と言えましょう……。			その量は、前回の輸送隊襲撃を、はるかに凌ぐといいます。蛮神「シヴァ」の再召喚は、必定と言えましょう……。			極まりし氷神シヴァ							
クルザス中央高地の「ホワイトブリム前哨地」へ出向き、現地を守る「ドリユモン」卿に仔細をお尋ねください。「神狩る白き剣」にクリスタルの導きあらんことを……。			クルザス中央高地の「ホワイトブリム前哨地」へ出向き、現地を守る「ドリユモン」卿に仔細をお尋ねください。「神狩る白き剣」にクリスタルの導きあらんことを……。			極まりし氷神シヴァ							
クルザス中央高地の「ホワイトブリム前哨地」へ出向き、現地を守る「ドリユモン」卿に仔細をお尋ねください。「神狩る白き剣」にクリスタルの導きあらんことを……。			クルザス中央高地の「ホワイトブリム前哨地」へ出向き、現地を守る「ドリユモン」卿に仔細をお尋ねください。「神狩る白き剣」にクリスタルの導きあらんことを……。			極まりし氷神シヴァ							
来てくれたのだな……感謝する。貴公の力を、こうも早く借りねばならぬとは……。			来てくれたのだな……感謝する。貴公の力を、こうも早く借りねばならぬとは……。			極まりし氷神シヴァ							
我々は、異端者の拠点を突き止めるべく、スノークローク大氷壁を越え、クルザス西部高地を探索する計画を進めていた。			我々は、異端者の拠点を突き止めるべく、スノークローク大氷壁を越え、クルザス西部高地を探索する計画を進めていた。			極まりし氷神シヴァ							
そのためには、現地に橋頭堡となる拠点が必要。我らは工兵隊を差し向け、放棄された集落の再整備に乗り出したのだ。			そのためには、現地に橋頭堡となる拠点が必要。我らは工兵隊を差し向け、放棄された集落の再整備に乗り出したのだ。			極まりし氷神シヴァ							
ところが、この部隊が「氷の巫女」らに襲われ、建材とともに、製作作業用のクリスタルを奪われたのだ！奴らは、蛮神「シヴァ」を再召喚するつもりだろう……。			ところが、この部隊が「氷の巫女」らに襲われ、建材とともに、製作作業用のクリスタルを奪われたのだ！奴らは、蛮神「シヴァ」を再召喚するつもりだろう……。			極まりし氷神シヴァ							
テンパードにされ、異端者を増やすわけにも行かず……工兵隊は、撤退することしかできなかった。……戦死した者たちを、打ち捨てたままにしてな。			テンパードにされ、異端者を増やすわけにも行かず……工兵隊は、撤退することしかできなかった。……戦死した者たちを、打ち捨てたままにしてな。			極まりし氷神シヴァ							
冒険者よ……頼む！異端者がすがる蛮神「シヴァ」を討滅し、我が部下の無念を晴らしてくれ！			冒険者よ……頼む！異端者がすがる蛮神「シヴァ」を討滅し、我が部下の無念を晴らしてくれ！			極まりし氷神シヴァ							
己の無力さが歯がゆいが……蛮神「シヴァ」と交戦経験のある貴公が、力を貸してくれるとあらば、百人力だ！			己の無力さが歯がゆいが……蛮神「シヴァ」と交戦経験のある貴公が、力を貸してくれるとあらば、百人力だ！			極まりし氷神シヴァ							
スノークローク大氷壁の前に、神殿騎士が待機しておられる。彼に声をかければ、蛮風エーテライトまで案内してくれよう。イシュガルドの民を守るため……どうか頼んだぞ！			スノークローク大氷壁の前に、神殿騎士が待機しておられる。彼に声をかければ、蛮風エーテライトまで案内してくれよう。イシュガルドの民を守るため……どうか頼んだぞ！			極まりし氷神シヴァ							
スノークローク大氷壁の前に、神殿騎士が待機しておられる。彼に声をかければ、蛮風エーテライトまで案内してくれよう。イシュガルドの民を守るため……どうか頼んだぞ！			スノークローク大氷壁の前に、神殿騎士が待機しておられる。彼に声をかければ、蛮風エーテライトまで案内してくれよう。イシュガルドの民を守るため……どうか頼んだぞ！			極まりし氷神シヴァ							
ドリユモン卿より、お話は伺っております。秘密坑道の内部は我々が固めておりますゆえ、安心して、蛮風エーテライトをお使いください。			ドリユモン卿より、お話は伺っております。秘密坑道の内部は我々が固めておりますゆえ、安心して、蛮風エーテライトをお使いください。			極まりし氷神シヴァ							
「氷の巫女」どもは既に「シヴァ」を召喚した様子……。どうかお気をつけて……。戦神ハルオーネの加護あらんことを！			「氷の巫女」どもは既に「シヴァ」を召喚した様子……。どうかお気をつけて……。戦神ハルオーネの加護あらんことを！			極まりし氷神シヴァ							
「氷の巫女」どもは既に「シヴァ」を召喚した様子……。どうかお気をつけて……。戦神ハルオーネの加護あらんことを！			「氷の巫女」どもは既に「シヴァ」を召喚した様子……。どうかお気をつけて……。戦神ハルオーネの加護あらんことを！			極まりし氷神シヴァ							
その勇ましいお顔、「シヴァ」を討伐したのですね！散っていった者達の魂もこれで安らぎましょう……。			その勇ましいお顔、「シヴァ」を討伐したのですね！散っていった者達の魂もこれで安らぎましょう……。			極まりし氷神シヴァ							
おお、冒険者よ……戻ったか！その様子だと、無事に務めを果たしたようだな！			おお、冒険者よ……戻ったか！その様子だと、無事に務めを果たしたようだな！			極まりし氷神シヴァ							
やはり蛮神「シヴァ」を再召喚したか……。しかも、以前より数段上の力を有していたとはな。			やはり蛮神「シヴァ」を再召喚したか……。しかも、以前より数段上の力を有していたとはな。			極まりし氷神シヴァ							
この度は、貴公の協力があったから良かったようなものの、今後の異端者対策の在り方を、再検討せねばなるまい。イシュガルドの力だけで対処できぬのなら、尚更な。			この度は、貴公の協力があったから良かったようなものの、今後の異端者対策の在り方を、再検討せねばなるまい。イシュガルドの力だけで対処できぬのなら、尚更な。			極まりし氷神シヴァ							
さて、貴公ら「暁」には、本当に世話になった……。ウリエンジェ殿にも、感謝の意を伝えてくれるか？			さて、貴公ら「暁」には、本当に世話になった……。ウリエンジェ殿にも、感謝の意を伝えてくれるか？			極まりし氷神シヴァ							
貴公ら「暁」には、本当に世話になった……。ウリエンジェ殿にも、感謝の意を伝えてくれるか？			貴公ら「暁」には、本当に世話になった……。ウリエンジェ殿にも、感謝の意を伝えてくれるか？			極まりし氷神シヴァ							
さあ、英雄の凱旋です……。よくぞ無事に戻られました……。蛮神「シヴァ」を打ち倒したようですね。			さあ、英雄の凱旋です……。よくぞ無事に戻られました……。蛮神「シヴァ」を打ち倒したようですね。			極まりし氷神シヴァ							
……なるほど、氷神もまた、極まりし力を得ていましたか。これもアシエンの暗躍によるものと考えるのが筋、対策を急ぎ進めねばなりません……。			……なるほど、氷神もまた、極まりし力を得ていましたか。これもアシエンの暗躍によるものと考えるのが筋、対策を急ぎ進めねばなりません……。			極まりし氷神シヴァ							
しかし、降臨せし蛮神を、ことごとく討滅できた意義は、とてつもなく大きい……。蛮神が絶対の存在ではなき事を、証明したのですから……。			しかし、降臨せし蛮神を、ことごとく討滅できた意義は、とてつもなく大きい……。蛮神が絶対の存在ではなき事を、証明したのですから……。			極まりし氷神シヴァ							
これで「氷の巫女」も、蛮神を召喚するという考えを、捨て去ってくれれば良いのですが……。			これで「氷の巫女」も、蛮神を召喚するという考えを、捨て去ってくれれば良いのですが……。			極まりし氷神シヴァ							
光の戦士よ……。その輝きは、いつかアシエンの闇をも消し去ることでしょう。あなたの英雄譚がどこまで続くのか……私も楽しみです。			光の戦士よ……。その輝きは、いつかアシエンの闇をも消し去ることでしょう。あなたの英雄譚がどこまで続くのか……私も楽しみです。			極まりし氷神シヴァ							
ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし水神リヴァイアサン							
ウリエンジェによると、冒険者が討伐した蛮神「リヴァイアサン」が、早くも再召喚される兆しがあるらしい。リムサ・ロミンサの黒渦団：軍令部に向かい、「ル・アシャ大甲佐」に状況を確認しよう。			ウリエンジェによると、冒険者が討伐した蛮神「リヴァイアサン」が、早くも再召喚される兆しがあるらしい。リムサ・ロミンサの黒渦団：軍令部に向かい、「ル・アシャ大甲佐」に状況を確認しよう。			極まりし水神リヴァイアサン							
ル・アシャ大甲佐と話した。蛮神「リヴァイアサン」は再召喚され、すでに被害を受けた船があるという。討伐作戦に参加するため、低地ラノシアの「モラビー造船廠」にいる「スティルンロナ甲曹長」と話そう。			ル・アシャ大甲佐と話した。蛮神「リヴァイアサン」は再召喚され、すでに被害を受けた船があるという。討伐作戦に参加するため、低地ラノシアの「モラビー造船廠」にいる「スティルンロナ甲曹長」と話そう。			極まりし水神リヴァイアサン							
スティルンロナ甲曹長から、間もなく作戦の準備が整うことを告げられた。双胴船に乗り込み、再召喚された蛮神「リヴァイアサン」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			スティルンロナ甲曹長から、間もなく作戦の準備が整うことを告げられた。双胴船に乗り込み、再召喚された蛮神「リヴァイアサン」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			極まりし水神リヴァイアサン							
黒渦団：軍令部のル・アシャ大甲佐と話す			黒渦団：軍令部のル・アシャ大甲佐と話す			極まりし水神リヴァイアサン							
モラビー造船廠のスティルンロナ甲曹長と話す			モラビー造船廠のスティルンロナ甲曹長と話す			極まりし水神リヴァイアサン							
託されし英雄譚に……新たな勝利が刻まれん……。……蛮神「リヴァイアサン」の討伐、お見事でした。			託されし英雄譚に……新たな勝利が刻まれん……。……蛮神「リヴァイアサン」の討伐、お見事でした。			極まりし水神リヴァイアサン							
しかし、蒼茫洋の大渦は、未だ消えておらぬ様子……。……蛮神「リヴァイアサン」再召喚の兆しを受け、黒渦団から協力要請が届いています……。			しかし、蒼茫洋の大渦は、未だ消えておらぬ様子……。……蛮神「リヴァイアサン」再召喚の兆しを受け、黒渦団から協力要請が届いています……。			極まりし水神リヴァイアサン							
再召喚が真のことなれば、それは大変に奇異なる事態……。蛮神「リヴァイアサン」は、すべてを呑み込む飽食の神。召喚に要するクリスタル量は莫大です……。			再召喚が真のことなれば、それは大変に奇異なる事態……。蛮神「リヴァイアサン」は、すべてを呑み込む飽食の神。召喚に要するクリスタル量は莫大です……。			極まりし水神リヴァイアサン							
それを、この短期間に集めたとは、到底思えません……。なればサハギン族が、ほかの蛮族たちと同様に、新たな召喚法にすがったと考えるのが理。			それを、この短期間に集めたとは、到底思えません……。なればサハギン族が、ほかの蛮族たちと同様に、新たな召喚法にすがったと考えるのが理。			極まりし水神リヴァイアサン							
それを、この短期間に集めたとは、到底思えません……。よからぬ者の導き……アシエンの介在は必定……。			それを、この短期間に集めたとは、到底思えません……。よからぬ者の導き……アシエンの介在は必定……。			極まりし水神リヴァイアサン							
海都に未曾有の危機は迫らん……。「黒渦団：軍令部」へ向かい、状況を確認してください。あなたが、海上に輝く、救いの星たらんことを……。			海都に未曾有の危機は迫らん……。「黒渦団：軍令部」へ向かい、状況を確認してください。あなたが、海上に輝く、救いの星たらんことを……。			極まりし水神リヴァイアサン							
[GC Rank]Forename！大変だ、悪い兆しが現実になった……蛮神「リヴァイアサン」が再召喚されたんだよっ！			[GC Rank]Forename！大変だ、悪い兆しが現実になった……蛮神「リヴァイアサン」が再召喚されたんだよっ！			極まりし水神リヴァイアサン							
こんなに短時間で再召喚されるなんて、信じられないよ。あたしたちも、まさかと思ってたんだけど……。			こんなに短時間で再召喚されるなんて、信じられないよ。あたしたちも、まさかと思ってたんだけど……。			極まりし水神リヴァイアサン							
今しがた、このリムサ・ロミンサへ向かっていた商船団が、沖合いで奴の襲撃を受けたという報告が入ったんだ。商船団は壊滅、入港できたのは一隻のみ……。			今しがた、このリムサ・ロミンサへ向かっていた商船団が、沖合いで奴の襲撃を受けたという報告が入ったんだ。商船団は壊滅、入港できたのは一隻のみ……。			極まりし水神リヴァイアサン							
その乗組員の証言から推測したところ、蛮神「リヴァイアサン」の繰る大波は、先日の召喚時より、ずっと大規模になっているらしい！			その乗組員の証言から推測したところ、蛮神「リヴァイアサン」の繰る大波は、先日の召喚時より、ずっと大規模になっているらしい！			極まりし水神リヴァイアサン							
まずいよ、このまま「大海嘯」でも起こされたら……！奴の討伐経験があるキミには、至急、討伐作戦へ参加してほしいんだ！			まずいよ、このまま「大海嘯」でも起こされたら……！奴の討伐経験があるキミには、至急、討伐作戦へ参加してほしいんだ！			極まりし水神リヴァイアサン							
作戦は前回と一緒だよ。すでにエインザル大甲将の指示で、双胴船の準備が進んでる。			作戦は前回と一緒だよ。すでにエインザル大甲将の指示で、双胴船の準備が進んでる。			極まりし水神リヴァイアサン							
キミは準備を整えて、「モラビー造船廠」へ！現地で待機中の「スティルンロナ甲曹長」に声をかけ、双胴船に乗り込んでほしい……よろしく頼むね！			キミは準備を整えて、「モラビー造船廠」へ！現地で待機中の「スティルンロナ甲曹長」に声をかけ、双胴船に乗り込んでほしい……よろしく頼むね！			極まりし水神リヴァイアサン							
蛮神「リヴァイアサン」の討伐は一刻を争うんだ。モラビー造船廠で「スティルンロナ甲曹長」に声をかけ、双胴船に乗り込んでほしい……よろしく頼むね！			蛮神「リヴァイアサン」の討伐は一刻を争うんだ。モラビー造船廠で「スティルンロナ甲曹長」に声をかけ、双胴船に乗り込んでほしい……よろしく頼むね！			極まりし水神リヴァイアサン							
お疲れさまですッ！蛮神「リヴァイアサン」討伐作戦は、準備の最終段階にさしかかっております！			お疲れさまですッ！蛮神「リヴァイアサン」討伐作戦は、準備の最終段階にさしかかっております！			極まりし水神リヴァイアサン							
牽引船、双胴船ともに出港準備が完了。[GC Rank]Forenameあなたの乗船後、沖合いの標的に向けて出港いたしますッ！			牽引船、双胴船ともに出港準備が完了。[GC Rank]Forenameあなたの乗船後、沖合いの標的に向けて出港いたしますッ！			極まりし水神リヴァイアサン							
船員一同、決死の覚悟で、あなたの乗る双胴船を送り届けましょう。……どうか、我らに勝利をッ！			船員一同、決死の覚悟で、あなたの乗る双胴船を送り届けましょう。……どうか、我らに勝利をッ！			極まりし水神リヴァイアサン							
双蛇党のスカーレット少牙士は、冒険者に蛮神問題に関する依頼をしたいようだ。			双蛇党のスカーレット少牙士は、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雷神ラムウ							
蛮神「ラムウ」が再召喚されたようだ。東部森林のシルフの仮宿にいる「デレシア」と話し、フリクシオを呼んでもらって事情を聞こう。			蛮神「ラムウ」が再召喚されたようだ。東部森林のシルフの仮宿にいる「デレシア」と話し、フリクシオを呼んでもらって事情を聞こう。			極まりし雷神ラムウ							
フリクシオから、蛮神「ラムウ」について話を聞いた。蛮神「ラムウ」がいる「古木の神判地」に向かうため、シルフ領の奥にある「シルフランド・エーテライト」に触れよう。			フリクシオから、蛮神「ラムウ」について話を聞いた。蛮神「ラムウ」がいる「古木の神判地」に向かうため、シルフ領の奥にある「シルフランド・エーテライト」に触れよう。			極まりし雷神ラムウ							
シルフランド・エーテライトに触れた。仲間と共に、再召喚された蛮神「ラムウ」を倒そう！※コンテンツファインダーから攻略に参加できます。			シルフランド・エーテライトに触れた。仲間と共に、再召喚された蛮神「ラムウ」を倒そう！※コンテンツファインダーから攻略に参加できます。			極まりし雷神ラムウ							
再召喚された蛮神「ラムウ」を討伐した。ベスパーベイの砂の家にいる「ウリエンジェ」に報告しよう。			再召喚された蛮神「ラムウ」を討伐した。ベスパーベイの砂の家にいる「ウリエンジェ」に報告しよう。			極まりし雷神ラムウ							
ウリエンジェに蛮神「ラムウ」討伐の状況を報告した。あまりに早い動きにウリエンジェは、アシエンの介在を疑っているようだ。蛮神の再召喚が早まっている背景には、いったい何があるのだろうか……。			ウリエンジェに蛮神「ラムウ」討伐の状況を報告した。あまりに早い動きにウリエンジェは、アシエンの介在を疑っているようだ。蛮神の再召喚が早まっている背景には、いったい何があるのだろうか……。			極まりし雷神ラムウ							
シルフの仮宿のデレシアと話す			シルフの仮宿のデレシアと話す			極まりし雷神ラムウ							
シルフ領のシルフランド・エーテライトに触れる			シルフ領のシルフランド・エーテライトに触れる			極まりし雷神ラムウ							
「極ラムウ討滅戦」を攻略			「極ラムウ討滅戦」を攻略			極まりし雷神ラムウ							
砂の家のウリエンジェに報告			砂の家のウリエンジェに報告			極まりし雷神ラムウ							
おお、貴官君は……蛮神「ラムウ」を討った冒険者殿か！よかった、ちょうど探していたところだったんだ。			おお、貴官君は……蛮神「ラムウ」を討った冒険者殿か！よかった、ちょうど探していたところだったんだ。			極まりし雷神ラムウ							
仮宿のシルフ族から、悪い報せが届いた。……どうやら、蛮神「ラムウ」が再召喚されたらしい。			仮宿のシルフ族から、悪い報せが届いた。……どうやら、蛮神「ラムウ」が再召喚されたらしい。			極まりし雷神ラムウ							
カヌ・エ様から伺った話によれば、先の一件では、貴官君と蛮神「ラムウ」との戦いはあったものの、大局でみれば、平和的な解決をみせたという。			カヌ・エ様から伺った話によれば、先の一件では、貴官君と蛮神「ラムウ」との戦いはあったものの、大局でみれば、平和的な解決をみせたという。			極まりし雷神ラムウ							
ではなぜ、この状況で再召喚されたのか……。いずれにせよ、調査するしかなさそうだ。			ではなぜ、この状況で再召喚されたのか……。いずれにせよ、調査するしかなさそうだ。			極まりし雷神ラムウ							
仮宿の長であるフリクシオが、この件で貴官君に話があるらしい。「デレシア」というシルフ族と話せば、つないでもらえるはず。仮宿に向かい、詳しい話を聞いてみてもらえるだろうか。			仮宿の長であるフリクシオが、この件で貴官君に話があるらしい。「デレシア」というシルフ族と話せば、つないでもらえるはず。仮宿に向かい、詳しい話を聞いてみてもらえるだろうか。			極まりし雷神ラムウ							
……あぁ、それから。この件については、「暁」とも情報を共有しておきたい。			……あぁ、それから。この件については、「暁」とも情報を共有しておきたい。			極まりし雷神ラムウ							
もし、進展があったようならば、「暁」の方々にも、ぜひ報告しておいてほしい。どうか、よろしく頼む。			もし、進展があったようならば、「暁」の方々にも、ぜひ報告しておいてほしい。どうか、よろしく頼む。			極まりし雷神ラムウ							
あなた！　探していたのでふっち！ラムウちゃまのことは、もう聞いてるでふっち？			あなた！　探していたのでふっち！ラムウちゃまのことは、もう聞いてるでふっち？			極まりし雷神ラムウ							
それなら、話は早いのでふっち！長ちゃまを呼んでくるから、ちょっとここで待ってるでふっち～！			それなら、話は早いのでふっち！長ちゃまを呼んでくるから、ちょっとここで待ってるでふっち～！			極まりし雷神ラムウ							
冒険者どの、よくいらしたでぶっち。ラムウちゃまとの一件では、ご苦労さまだったのでぶっち。あの場の状況は、森の気配で伝わっていたでぶっち。			冒険者どの、よくいらしたでぶっち。ラムウちゃまとの一件では、ご苦労さまだったのでぶっち。あの場の状況は、森の気配で伝わっていたでぶっち。			極まりし雷神ラムウ							
あのラムウちゃまに、力を認めさせるとは……まったくもって、お見事なのでぶっち！きっとラムウちゃまも、納得してお帰りになったでぶっち。			あのラムウちゃまに、力を認めさせるとは……まったくもって、お見事なのでぶっち！きっとラムウちゃまも、納得してお帰りになったでぶっち。			極まりし雷神ラムウ							
仮宿のみんなが、驚いていたのでふっち！もっとも、うわさに聞くあなたの腕前なら、ラムウちゃまに認められるのも、頷けるのでふっち。			仮宿のみんなが、驚いていたのでふっち！もっとも、うわさに聞くあなたの腕前なら、ラムウちゃまに認められるのも、頷けるのでふっち。			極まりし雷神ラムウ							
……ところがなのでぶっち！悪い子シルフたちが、またもや神降ろしをしたのでぶっち！しかも今度は、大量のクリスタルを捧げたようなのでぶっち！			……ところがなのでぶっち！悪い子シルフたちが、またもや神降ろしをしたのでぶっち！しかも今度は、大量のクリスタルを捧げたようなのでぶっち！			極まりし雷神ラムウ							
おそらく、ラムウちゃま自身は、グリダニアに攻め込む気はないのでぶっち。冒険者どのとの、約束もあるのでぶっち。			おそらく、ラムウちゃま自身は、グリダニアに攻め込む気はないのでぶっち。冒険者どのとの、約束もあるのでぶっち。			極まりし雷神ラムウ							
でも、悪い子シルフたちは、そうは思ってないのでぶっち。今でもヒトに怯え、憎んでいるのでぶっち……。			でも、悪い子シルフたちは、そうは思ってないのでぶっち。今でもヒトに怯え、憎んでいるのでぶっち……。			極まりし雷神ラムウ							
それに、ラムウちゃまにその気がなくても、神降ろしされて存在し続けるだけで、どんどんクリスタルを食べてしまうのでぶっち。			それに、ラムウちゃまにその気がなくても、神降ろしされて存在し続けるだけで、どんどんクリスタルを食べてしまうのでぶっち。			極まりし雷神ラムウ							
……このままでは、グリダニアに限らず、エオルゼア全体の地が枯れてしまうのでぶっち。			……このままでは、グリダニアに限らず、エオルゼア全体の地が枯れてしまうのでぶっち。			極まりし雷神ラムウ							
そうなれば、ラムウちゃまの意思に反して、あちこちで食料や資源を巡って、争いが起こってしまうでぶっち！			そうなれば、ラムウちゃまの意思に反して、あちこちで食料や資源を巡って、争いが起こってしまうでぶっち！			極まりし雷神ラムウ							
冒険者どの、お願いでぶっち！もう一度、ラムウちゃまと手合わせしてほしいのでぶっち！			冒険者どの、お願いでぶっち！もう一度、ラムウちゃまと手合わせしてほしいのでぶっち！			極まりし雷神ラムウ							
ラムウちゃまに、お前さんの真の力を示してお帰り願うことで、悪い子シルフたちに、安易な神降ろしがいかに愚かな行為なのか、教えてやるでぶっち！			ラムウちゃまに、お前さんの真の力を示してお帰り願うことで、悪い子シルフたちに、安易な神降ろしがいかに愚かな行為なのか、教えてやるでぶっち！			極まりし雷神ラムウ							
ありがとうでぶっち。冒険者どのは、いつも頼りになるのでぶっち！			ありがとうでぶっち。冒険者どのは、いつも頼りになるのでぶっち！			極まりし雷神ラムウ							
ラムウちゃまがいる「古木の神判地」に向かうには、「シルフ領」の奥にある「シルフランド・エーテライト」を使うといいのでぶっち。			ラムウちゃまがいる「古木の神判地」に向かうには、「シルフ領」の奥にある「シルフランド・エーテライト」を使うといいのでぶっち。			極まりし雷神ラムウ							
ワチシらは、ここでラムウちゃまの気配が消えるのを、心待ちにしているのでぶっち！			ワチシらは、ここでラムウちゃまの気配が消えるのを、心待ちにしているのでぶっち！			極まりし雷神ラムウ							
