流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
彼らの選択は、決して正しいものではなかった。だが千年のあいだ彼らを敬い、信じていた民の想いを、歴史の闇に葬っていいとは思えないのだ。			彼らの選択は、決して正しいものではなかった。だが千年のあいだ彼らを敬い、信じていた民の想いを、歴史の闇に葬っていいとは思えないのだ。			戦神よ、我らを導き給え							
平和な未来を勝ち取ったいま、どう過去に向きあっていくべきなのか……。皇都の民も、私も、試されている。			平和な未来を勝ち取ったいま、どう過去に向きあっていくべきなのか……。皇都の民も、私も、試されている。			戦神よ、我らを導き給え							
すまない、思いに耽ってしまった。さあ「イシュガルド教皇庁」へ向かおう。「クレム助祭」が待っているはずだ。			すまない、思いに耽ってしまった。さあ「イシュガルド教皇庁」へ向かおう。「クレム助祭」が待っているはずだ。			戦神よ、我らを導き給え							
おや、アイメリク卿はご一緒ではないので？アルトアレール卿は、おふたり揃っていらっしゃると、おっしゃっていましたが……。			おや、アイメリク卿はご一緒ではないので？アルトアレール卿は、おふたり揃っていらっしゃると、おっしゃっていましたが……。			戦神よ、我らを導き給え							
公会議の開催には、まだ少しお時間がありますよ。もしまだお話があるようでしたら、そのあとでお越しいただいて大丈夫です。			公会議の開催には、まだ少しお時間がありますよ。もしまだお話があるようでしたら、そのあとでお越しいただいて大丈夫です。			戦神よ、我らを導き給え							
アイメリク卿、Surname様。さあ、公会議が開催される玉座の間へまいりましょう。			アイメリク卿、Surname様。さあ、公会議が開催される玉座の間へまいりましょう。			戦神よ、我らを導き給え							
人々を教え導く聖職者と、異端審問官。そして敬虔なる信徒を含む、イシュガルド正教に連なる諸君。急な呼びかけに応じていただいたことを、感謝する。			人々を教え導く聖職者と、異端審問官。そして敬虔なる信徒を含む、イシュガルド正教に連なる諸君。急な呼びかけに応じていただいたことを、感謝する。			戦神よ、我らを導き給え							
いま、この星を襲った「終末」によって、聖職者たちが獣化するという痛ましい事態が起きていることは、皆も知ってのとおりだろう。			いま、この星を襲った「終末」によって、聖職者たちが獣化するという痛ましい事態が起きていることは、皆も知ってのとおりだろう。			戦神よ、我らを導き給え							
さらなる悲劇を食い止めるには、民の心と、それに寄り添うべき聖職者たちの心の平穏が必要である。そのためにこそ、正教は変革の道を歩まねばならない。			さらなる悲劇を食い止めるには、民の心と、それに寄り添うべき聖職者たちの心の平穏が必要である。そのためにこそ、正教は変革の道を歩まねばならない。			戦神よ、我らを導き給え							
イシュガルド正教の新たな在り方を、市民を含めた皆で模索していただきたい。			イシュガルド正教の新たな在り方を、市民を含めた皆で模索していただきたい。			戦神よ、我らを導き給え							
イシュガルド正教には、古くからふたつの側面がございました。竜との戦いを導く、戦神の「槍」としての側面と、人の心を守り育む、戦神の「盾」としての側面。			イシュガルド正教には、古くからふたつの側面がございました。竜との戦いを導く、戦神の「槍」としての側面と、人の心を守り育む、戦神の「盾」としての側面。			戦神よ、我らを導き給え							
「槍」の役割が、千年を経て終わりを告げたからこそ、「盾」としての役割もまた、考え直す良い機会かと……。			「槍」の役割が、千年を経て終わりを告げたからこそ、「盾」としての役割もまた、考え直す良い機会かと……。			戦神よ、我らを導き給え							
それなら、正教の階級制度をなくすべきだ。権力のある高位聖職者たちこそ、隠蔽体質の温床だろう。悪しき教えを説いてきた責任を取るべきではないのか？			それなら、正教の階級制度をなくすべきだ。権力のある高位聖職者たちこそ、隠蔽体質の温床だろう。悪しき教えを説いてきた責任を取るべきではないのか？			戦神よ、我らを導き給え							
聖徒評議会の一員たる、我らを排せば満足か？我々は千年の教えを守るべく、常に文献を保護し、解釈と議論を重ねてきたのだぞ。			聖徒評議会の一員たる、我らを排せば満足か？我々は千年の教えを守るべく、常に文献を保護し、解釈と議論を重ねてきたのだぞ。			戦神よ、我らを導き給え							
古き教えを失えば、もはやそれはイシュガルド正教とはいえまい。			古き教えを失えば、もはやそれはイシュガルド正教とはいえまい。			戦神よ、我らを導き給え							
ああ……！私たちはこれから、なにを信じたらいいの？			ああ……！私たちはこれから、なにを信じたらいいの？			戦神よ、我らを導き給え							
まずいな……。このまま不安が広まれば、新たに獣と化す者が現れてもおかしくない……！			まずいな……。このまま不安が広まれば、新たに獣と化す者が現れてもおかしくない……！			戦神よ、我らを導き給え							
竜詩戦争の終結以降、イシュガルド正教は岐路に立たされ、人々は心の拠りどころを失いかけている。			竜詩戦争の終結以降、イシュガルド正教は岐路に立たされ、人々は心の拠りどころを失いかけている。			戦神よ、我らを導き給え							
聖徒評議会のヴァルティノア主教ほどの者でも、古き教えに固執するあまり、禁忌を犯し……絶望の果てに獣に転じてしまった。			聖徒評議会のヴァルティノア主教ほどの者でも、古き教えに固執するあまり、禁忌を犯し……絶望の果てに獣に転じてしまった。			戦神よ、我らを導き給え							
千年……千年もの間、受け入れてきた歴史と信仰を、我々はそう易々と忘れられはしないだろう。			千年……千年もの間、受け入れてきた歴史と信仰を、我々はそう易々と忘れられはしないだろう。			戦神よ、我らを導き給え							
だが、だからこそ、歴史の過ちを受け入れ、しかと省みて、その先を歩むことを考えるべきではないのか。			だが、だからこそ、歴史の過ちを受け入れ、しかと省みて、その先を歩むことを考えるべきではないのか。			戦神よ、我らを導き給え							
この千年の歴史と信仰と、悲しみを忘れてしまったら、我々はいつか、千年前と同じ過ちを犯すのだから。			この千年の歴史と信仰と、悲しみを忘れてしまったら、我々はいつか、千年前と同じ過ちを犯すのだから。			戦神よ、我らを導き給え							
ええ、わたくしたちは固く正教を信じてきたからこそ、正教の欺瞞を受け入れがたく、変化を拒むのでしょう。			ええ、わたくしたちは固く正教を信じてきたからこそ、正教の欺瞞を受け入れがたく、変化を拒むのでしょう。			戦神よ、我らを導き給え							
いっそすべて捨てて、忘れて進んでいけたら、身軽で、楽かもしれない。			いっそすべて捨てて、忘れて進んでいけたら、身軽で、楽かもしれない。			戦神よ、我らを導き給え							
でも……正教はわたくしたちをずっと支えてきてくれました。重いかもしれないけど、痛みを伴うかもしれないけれど、先人たちの想いを忘れずに、みんなで抱えて歩みましょう。			でも……正教はわたくしたちをずっと支えてきてくれました。重いかもしれないけど、痛みを伴うかもしれないけれど、先人たちの想いを忘れずに、みんなで抱えて歩みましょう。			戦神よ、我らを導き給え							
伝えられた歴史には偽りがあり、教えは、人の驕りと裏切りに成り立つものだった。それを彼女彼が、命がけで我々に教えてくれた。			伝えられた歴史には偽りがあり、教えは、人の驕りと裏切りに成り立つものだった。それを彼女彼が、命がけで我々に教えてくれた。			戦神よ、我らを導き給え							
だが、揺るがぬこともあったはずだ。たとえば戦神ハルオーネへの信仰の始まりは、否定されていない。祖先がクルザスに入植した頃に、その信仰は確かにあったのだ。			だが、揺るがぬこともあったはずだ。たとえば戦神ハルオーネへの信仰の始まりは、否定されていない。祖先がクルザスに入植した頃に、その信仰は確かにあったのだ。			戦神よ、我らを導き給え							
それに長い歴史の中で築かれた、生活に即した教えも存在する。イシュガルド正教の過ちを正しく伝えつつ、より古い本質に立ち返ることもできるのではないだろうか。			それに長い歴史の中で築かれた、生活に即した教えも存在する。イシュガルド正教の過ちを正しく伝えつつ、より古い本質に立ち返ることもできるのではないだろうか。			戦神よ、我らを導き給え							
皇都の人々「みんな」で、か……。			皇都の人々「みんな」で、か……。			戦神よ、我らを導き給え							
さすれば、古き考えの過ちを正しく後世に伝えていくため、歴史書や経典の再読と再検討が必要であろうな。			さすれば、古き考えの過ちを正しく後世に伝えていくため、歴史書や経典の再読と再検討が必要であろうな。			戦神よ、我らを導き給え							
ええ、その際には、教えをよく知るあなた方の知識が助けになるでしょう。文献の参照には多くの人手もいる。			ええ、その際には、教えをよく知るあなた方の知識が助けになるでしょう。文献の参照には多くの人手もいる。			戦神よ、我らを導き給え							
聖職者や異端審問官の中には、職にあぶれた者もおりますし、公会議の結果が受け入れられれば、彼らも新たな仕事に就けるのでは……！			聖職者や異端審問官の中には、職にあぶれた者もおりますし、公会議の結果が受け入れられれば、彼らも新たな仕事に就けるのでは……！			戦神よ、我らを導き給え							
いつの日か、言い返せなかった父上の言葉……皇都の人々はすでに、その返答を持ち合わせていたようだな。			いつの日か、言い返せなかった父上の言葉……皇都の人々はすでに、その返答を持ち合わせていたようだな。			戦神よ、我らを導き給え							
アイメリク卿の言葉には、重みがあったな……。			アイメリク卿の言葉には、重みがあったな……。			戦神よ、我らを導き給え							
新たな時代のイシュガルド正教の……その一歩でありましたね。			新たな時代のイシュガルド正教の……その一歩でありましたね。			戦神よ、我らを導き給え							
…………無事に公会議が終わったな。			…………無事に公会議が終わったな。			戦神よ、我らを導き給え							
ええ、課題は残るが、有意義な会議となったといえるでしょう。			ええ、課題は残るが、有意義な会議となったといえるでしょう。			戦神よ、我らを導き給え							
アイメリク卿、アルトアレール卿。あなた方の言葉で、みなが同じ方向を向けました。どう感謝を申し上げたらいいか……。			アイメリク卿、アルトアレール卿。あなた方の言葉で、みなが同じ方向を向けました。どう感謝を申し上げたらいいか……。			戦神よ、我らを導き給え							
Forenameの存在があればこそだろう。痛みを伴いながらも、彼女彼が決して立ち止まらずに歩み続けたことを、この国の人々は、みな覚えているのだ。			Forenameの存在があればこそだろう。痛みを伴いながらも、彼女彼が決して立ち止まらずに歩み続けたことを、この国の人々は、みな覚えているのだ。			戦神よ、我らを導き給え							
たしかに……あなたが竜の背に乗り、皇都に凱旋してきた日のことを、よく覚えています。あの不可能を可能とできたのであれば、わたくしたちだって……			たしかに……あなたが竜の背に乗り、皇都に凱旋してきた日のことを、よく覚えています。あの不可能を可能とできたのであれば、わたくしたちだって……			戦神よ、我らを導き給え							
凛々しく前へと歩み続けるハルオーネ様に倣い、未来のために、これからの信仰はみなで考えてまいります。			凛々しく前へと歩み続けるハルオーネ様に倣い、未来のために、これからの信仰はみなで考えてまいります。			戦神よ、我らを導き給え							
それでも、悲しみゆえに未来を拒絶する者がいれば、その悲しみに寄り添い、言葉を尽くしましょう。己の境遇を嘆く者がいれば、ともに幸せを祈りましょう。			それでも、悲しみゆえに未来を拒絶する者がいれば、その悲しみに寄り添い、言葉を尽くしましょう。己の境遇を嘆く者がいれば、ともに幸せを祈りましょう。			戦神よ、我らを導き給え							
信仰とは、人の心を救うべきものである。わたくしはそう信じて、生きてきましたから。			信仰とは、人の心を救うべきものである。わたくしはそう信じて、生きてきましたから。			戦神よ、我らを導き給え							
では、わたくしは聖レマノー大聖堂へと戻ります。これから、忙しくなりますからね！			では、わたくしは聖レマノー大聖堂へと戻ります。これから、忙しくなりますからね！			戦神よ、我らを導き給え							
ああ、言い忘れるところでした。アイメリク卿、ご依頼の品はすでに発見しております。少々、修復が必要となりますので、もうしばらくお待ちを……。			ああ、言い忘れるところでした。アイメリク卿、ご依頼の品はすでに発見しております。少々、修復が必要となりますので、もうしばらくお待ちを……。			戦神よ、我らを導き給え							
クレム助祭には、「あるもの」を探すように依頼していたのだ。残された課題である偽神獣「ファーヴニル」の討伐に備え、ぜひとも用意しておきたい品でね。			クレム助祭には、「あるもの」を探すように依頼していたのだ。残された課題である偽神獣「ファーヴニル」の討伐に備え、ぜひとも用意しておきたい品でね。			戦神よ、我らを導き給え							
だが、彼によれば無事に発見できたらしい。その準備が完了次第、打って出ることができるだろう。			だが、彼によれば無事に発見できたらしい。その準備が完了次第、打って出ることができるだろう。			戦神よ、我らを導き給え							
たしかに、正教の改革という未来を示せた今、さらなる獣化発生のリスクは、抑えられたように思います。いよいよ、最後の戦いですね……。			たしかに、正教の改革という未来を示せた今、さらなる獣化発生のリスクは、抑えられたように思います。いよいよ、最後の戦いですね……。			戦神よ、我らを導き給え							
古き正教の呪縛から、彼を解き放ってやろう。そのときが来るまでしばし身体を休めておいてくれ。			古き正教の呪縛から、彼を解き放ってやろう。そのときが来るまでしばし身体を休めておいてくれ。			戦神よ、我らを導き給え							
偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			戦神よ、我らを導き給え							
「作戦立案室」へ移動しますか？			「作戦立案室」へ移動しますか？			戦神よ、我らを導き給え							
イシュガルドの作戦立案室のアルトアレールは、最後の戦いに向けて準備を進めている。			イシュガルドの作戦立案室のアルトアレールは、最後の戦いに向けて準備を進めている。			蒼天を仰ぎ、歩み続ける							
アイメリク、アルトアレールと話し、偽神獣ファーヴニルの討伐作戦を共有した。最後の蒼天騎士ヴァンドローの魂を古き正教の教えから解放しよう。イシュガルドの上層、イシュガルド教皇庁前で「アイメリク」が待っている。			アイメリク、アルトアレールと話し、偽神獣ファーヴニルの討伐作戦を共有した。最後の蒼天騎士ヴァンドローの魂を古き正教の教えから解放しよう。イシュガルドの上層、イシュガルド教皇庁前で「アイメリク」が待っている。			蒼天を仰ぎ、歩み続ける							
アイメリクと話した。古きイシュガルド正教に囚われた偽神獣ファーヴニルを討伐しよう。			アイメリクと話した。古きイシュガルド正教に囚われた偽神獣ファーヴニルを討伐しよう。			蒼天を仰ぎ、歩み続ける							
偽神獣ファーヴニルを討伐した。アイメリクはヴァンドローを悼み、胸の内を明かした。作戦立案室に戻って、「アルトアレール」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			偽神獣ファーヴニルを討伐した。アイメリクはヴァンドローを悼み、胸の内を明かした。作戦立案室に戻って、「アルトアレール」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			蒼天を仰ぎ、歩み続ける							
アルトアレールは、冒険者に感謝の念と抱負を述べた。次は作戦立案室の「クレム」助祭と話そう。			アルトアレールは、冒険者に感謝の念と抱負を述べた。次は作戦立案室の「クレム」助祭と話そう。			蒼天を仰ぎ、歩み続ける							
クレム助祭も冒険者に感謝と、祈りの言葉を述べた。作戦立案室の「アイメリク」と話そう。			クレム助祭も冒険者に感謝と、祈りの言葉を述べた。作戦立案室の「アイメリク」と話そう。			蒼天を仰ぎ、歩み続ける							
アイメリクは、イシュガルドの終末の収束を宣言し、冒険者に心からの感謝を述べた。数々の困難を乗り越えたイシュガルドの人々は、これからも悩み、過去を立ちかえりつつ、それでも前を向いて歩んでいけるだろう。ラザハンの流星の間にいる「イシュガルドの駐在武官」にも、終末の収束を報告しよう。			アイメリクは、イシュガルドの終末の収束を宣言し、冒険者に心からの感謝を述べた。数々の困難を乗り越えたイシュガルドの人々は、これからも悩み、過去を立ちかえりつつ、それでも前を向いて歩んでいけるだろう。ラザハンの流星の間にいる「イシュガルドの駐在武官」にも、終末の収束を報告しよう。			蒼天を仰ぎ、歩み続ける							
流星の間のイシュガルドの駐在武官に、皇都における終末の収束を報告した。冒険者の信奉者であるという彼に、いつか冒険譚を語ってあげよう。			流星の間のイシュガルドの駐在武官に、皇都における終末の収束を報告した。冒険者の信奉者であるという彼に、いつか冒険譚を語ってあげよう。			蒼天を仰ぎ、歩み続ける							
イシュガルド教皇庁前のアイメリクと話す			イシュガルド教皇庁前のアイメリクと話す			蒼天を仰ぎ、歩み続ける							
作戦立案室のアルトアレールと話す			作戦立案室のアルトアレールと話す			蒼天を仰ぎ、歩み続ける							
クレムと話す			クレムと話す			蒼天を仰ぎ、歩み続ける							
アイメリクと話す			アイメリクと話す			蒼天を仰ぎ、歩み続ける							
流星の間のイシュガルドの駐在武官と話す			流星の間のイシュガルドの駐在武官と話す			蒼天を仰ぎ、歩み続ける							
Forename殿、朗報だ。公会議の内容が皇都に広まってからというもの、新たな獣化は、1件たりとも発生していない。			Forename殿、朗報だ。公会議の内容が皇都に広まってからというもの、新たな獣化は、1件たりとも発生していない。			蒼天を仰ぎ、歩み続ける							
皇都の安全が確保されている今、もうひとつの目標、偽神獣の討伐に臨みたいところだが……			皇都の安全が確保されている今、もうひとつの目標、偽神獣の討伐に臨みたいところだが……			蒼天を仰ぎ、歩み続ける							
Forenameも来てたのか。ちょうどよかった、クレム助祭に依頼していた、とある品が用意できたらしい。			Forenameも来てたのか。ちょうどよかった、クレム助祭に依頼していた、とある品が用意できたらしい。			蒼天を仰ぎ、歩み続ける							
さっそくだが、偽神獣ファーヴニルの討伐について、作戦を共有しよう。			さっそくだが、偽神獣ファーヴニルの討伐について、作戦を共有しよう。			蒼天を仰ぎ、歩み続ける							
以前にクルザス中央高地で発見した彼は、教皇座乗艇「ソレイユ号」を守るように潜んでいた。			以前にクルザス中央高地で発見した彼は、教皇座乗艇「ソレイユ号」を守るように潜んでいた。			蒼天を仰ぎ、歩み続ける							
おそらく、記憶の残滓が、教皇にゆかりあるものを守るような行動をとらせているのだろう。			おそらく、記憶の残滓が、教皇にゆかりあるものを守るような行動をとらせているのだろう。			蒼天を仰ぎ、歩み続ける							
さすれば、たびたび皇都上空を飛び回っていたのは、教皇の座所である教皇庁を見回っていたのだと解釈できる。			さすれば、たびたび皇都上空を飛び回っていたのは、教皇の座所である教皇庁を見回っていたのだと解釈できる。			蒼天を仰ぎ、歩み続ける							
そこで、「あるもの」を使って、ファーヴニルをイシュガルド教皇庁最上部……「氷天宮礼拝堂」へおびき出す。			そこで、「あるもの」を使って、ファーヴニルをイシュガルド教皇庁最上部……「氷天宮礼拝堂」へおびき出す。			蒼天を仰ぎ、歩み続ける							
「あるもの」とは、いったい……？			「あるもの」とは、いったい……？			蒼天を仰ぎ、歩み続ける							
歴代教皇のみが持つことを許される宝杖「戦神の慈悲」だ。ヴァルティノア主教が、魔大陸に赴いたのであれば、回収していたのではと踏んでな。			歴代教皇のみが持つことを許される宝杖「戦神の慈悲」だ。ヴァルティノア主教が、魔大陸に赴いたのであれば、回収していたのではと踏んでな。			蒼天を仰ぎ、歩み続ける							
クレム助祭に頼み、主教の私室を探してもらったところ、無事に発見され、修復も完了したとのことだ。			クレム助祭に頼み、主教の私室を探してもらったところ、無事に発見され、修復も完了したとのことだ。			蒼天を仰ぎ、歩み続ける							
その杖をもって、私が偽神獣ファーヴニルをおびき寄せる囮となろう。			その杖をもって、私が偽神獣ファーヴニルをおびき寄せる囮となろう。			蒼天を仰ぎ、歩み続ける							
それは……！あまりにも危険すぎます！			それは……！あまりにも危険すぎます！			蒼天を仰ぎ、歩み続ける							
イシュガルド正教が変わりつつあるいま、ファーヴニルがどう動くかは不透明だ。そのとき戦う術を持たない者が襲われれば、どうなるか……。			イシュガルド正教が変わりつつあるいま、ファーヴニルがどう動くかは不透明だ。そのとき戦う術を持たない者が襲われれば、どうなるか……。			蒼天を仰ぎ、歩み続ける							
蒼天騎士が教皇を護るための存在であれば、神殿騎士は、イシュガルド正教の信徒すべてを護る存在……。その長たる私が、リスクを負うのは当然のことだ。			蒼天騎士が教皇を護るための存在であれば、神殿騎士は、イシュガルド正教の信徒すべてを護る存在……。その長たる私が、リスクを負うのは当然のことだ。			蒼天を仰ぎ、歩み続ける							
教皇と共に魔大陸へ赴いた蒼天騎士たちは、すべて斃れた。ヴァンドローは、いわば最後の蒼天騎士……。			教皇と共に魔大陸へ赴いた蒼天騎士たちは、すべて斃れた。ヴァンドローは、いわば最後の蒼天騎士……。			蒼天を仰ぎ、歩み続ける							
彼の、いや彼らの嘆きを……			彼の、いや彼らの嘆きを……			蒼天を仰ぎ、歩み続ける							
私たちが打ち払おう。			私たちが打ち払おう。			蒼天を仰ぎ、歩み続ける							
では準備が整い次第「イシュガルド教皇庁」の前へ来てくれ。偽神獣「ファーヴニル」の討伐作戦を決行する！			では準備が整い次第「イシュガルド教皇庁」の前へ来てくれ。偽神獣「ファーヴニル」の討伐作戦を決行する！			蒼天を仰ぎ、歩み続ける							
Forename殿、前衛は任せてくれ。貴殿は、アイメリク卿と私が守る。			Forename殿、前衛は任せてくれ。貴殿は、アイメリク卿と私が守る。			蒼天を仰ぎ、歩み続ける							
Forename。これから我々は偽神獣「ファーヴニル」の討伐作戦を決行する。準備はいいか？			Forename。これから我々は偽神獣「ファーヴニル」の討伐作戦を決行する。準備はいいか？			蒼天を仰ぎ、歩み続ける							
上空に偽神獣の姿を確認した！今です！			上空に偽神獣の姿を確認した！今です！			蒼天を仰ぎ、歩み続ける							
任せてくれ。			任せてくれ。			蒼天を仰ぎ、歩み続ける							
私はここだ！			私はここだ！			蒼天を仰ぎ、歩み続ける							
ト……ルダン……。トル……ダンノ……ナノモ、トニ……。			ト……ルダン……。トル……ダンノ……ナノモ、トニ……。			蒼天を仰ぎ、歩み続ける							
ゲイカ……ゲイカ、ジャナイ……！！			ゲイカ……ゲイカ、ジャナイ……！！			蒼天を仰ぎ、歩み続ける							
ヴァンドロー……最後の蒼天騎士よ！未来を歩む皇都のため、討たせてもらう！			ヴァンドロー……最後の蒼天騎士よ！未来を歩む皇都のため、討たせてもらう！			蒼天を仰ぎ、歩み続ける							
終わったのだな……。			終わったのだな……。			蒼天を仰ぎ、歩み続ける							
最後の蒼天騎士、ヴァンドローの想いは……彼に宿った蒼天騎士たちの想いと行いとともに、私は必ず、後世に伝えていこうと思う。			最後の蒼天騎士、ヴァンドローの想いは……彼に宿った蒼天騎士たちの想いと行いとともに、私は必ず、後世に伝えていこうと思う。			蒼天を仰ぎ、歩み続ける							
竜への裏切りという真実を知りながら、隠蔽し、教皇に加担していた蒼天騎士の在り方は、決して正しいものではなかった。			竜への裏切りという真実を知りながら、隠蔽し、教皇に加担していた蒼天騎士の在り方は、決して正しいものではなかった。			蒼天を仰ぎ、歩み続ける							
だが、召喚された彼の想いに触れ、改めて認識させられた。彼らの魂は、蛮神によって歪められたものであり、そのひとりひとりは、たしかにイシュガルドの民であったのだと。			だが、召喚された彼の想いに触れ、改めて認識させられた。彼らの魂は、蛮神によって歪められたものであり、そのひとりひとりは、たしかにイシュガルドの民であったのだと。			蒼天を仰ぎ、歩み続ける							
私には、己の正義を貫いて勝ち取った、未来への責任がある。この国に生きる人々が抱えていた「想い」は、あまねく拾いあげて歩んでいく。			私には、己の正義を貫いて勝ち取った、未来への責任がある。この国に生きる人々が抱えていた「想い」は、あまねく拾いあげて歩んでいく。			蒼天を仰ぎ、歩み続ける							
私が選択をひとつでも違えていたら。Forename、君がもし……騎神トールダンを討滅できていなかったら。			私が選択をひとつでも違えていたら。Forename、君がもし……騎神トールダンを討滅できていなかったら。			蒼天を仰ぎ、歩み続ける							
望まぬ未来に絶望して、偽神獣になっていたのは私かもしれないのだから。			望まぬ未来に絶望して、偽神獣になっていたのは私かもしれないのだから。			蒼天を仰ぎ、歩み続ける							
何と言う？			何と言う？			蒼天を仰ぎ、歩み続ける							
それでも、アイメリクは偽神獣にならなかったと思う			それでも、アイメリクは偽神獣にならなかったと思う			蒼天を仰ぎ、歩み続ける							
仮定の話はしても仕方ない			仮定の話はしても仕方ない			蒼天を仰ぎ、歩み続ける							
……ありがとう。我が友、Forename。			……ありがとう。我が友、Forename。			蒼天を仰ぎ、歩み続ける							
すまない、いまのは私的な話だったな。忘れてくれ。			すまない、いまのは私的な話だったな。忘れてくれ。			蒼天を仰ぎ、歩み続ける							
さあ、「作戦立案室」へ戻りましょう。皆に無事に討伐が完了したことを伝えなければ。			さあ、「作戦立案室」へ戻りましょう。皆に無事に討伐が完了したことを伝えなければ。			蒼天を仰ぎ、歩み続ける							
私のことはいいから、アルトアレール卿とクレム助祭と話してやってくれ。ふたりとも、君に礼を言いたいようだぞ。			私のことはいいから、アルトアレール卿とクレム助祭と話してやってくれ。ふたりとも、君に礼を言いたいようだぞ。			蒼天を仰ぎ、歩み続ける							
偽神獣の討伐も無事に完了したと聞き、馳せ参じました。			偽神獣の討伐も無事に完了したと聞き、馳せ参じました。			蒼天を仰ぎ、歩み続ける							
Forename殿。偽神獣討伐と、皇都の民の獣化対策への協力、まことに感謝する。			Forename殿。偽神獣討伐と、皇都の民の獣化対策への協力、まことに感謝する。			蒼天を仰ぎ、歩み続ける							
此度の件で……貴族と平民、聖職者と騎士など、身分や立場の垣根を取り払った皇都の人々の心は、みなそれぞれ違うのだと知った。			此度の件で……貴族と平民、聖職者と騎士など、身分や立場の垣根を取り払った皇都の人々の心は、みなそれぞれ違うのだと知った。			蒼天を仰ぎ、歩み続ける							
考えてみれば当たり前のことだが、私も未だ古い考えが抜けないな。この国の在り方を見つめる際、無意識に楽をしようとして、人を型にはめて分類していたのかもしれない。			考えてみれば当たり前のことだが、私も未だ古い考えが抜けないな。この国の在り方を見つめる際、無意識に楽をしようとして、人を型にはめて分類していたのかもしれない。			蒼天を仰ぎ、歩み続ける							
身分の狭間で悩み苦しむ者が、生まれぬ国とするために……歩み続けると、私はこのフォルタンの盾に誓おう。貴殿はその証人となってほしい。			身分の狭間で悩み苦しむ者が、生まれぬ国とするために……歩み続けると、私はこのフォルタンの盾に誓おう。貴殿はその証人となってほしい。			蒼天を仰ぎ、歩み続ける							
私と同様に「クレム」助祭も、礼を言いたいそうだ。貴殿から声をかけてやってくれないか。			私と同様に「クレム」助祭も、礼を言いたいそうだ。貴殿から声をかけてやってくれないか。			蒼天を仰ぎ、歩み続ける							
私と同様に「クレム」助祭も、礼を言いたいそうだ。貴殿から声をかけてやってくれないか。			私と同様に「クレム」助祭も、礼を言いたいそうだ。貴殿から声をかけてやってくれないか。			蒼天を仰ぎ、歩み続ける							
Surname様！ご無事でなによりでございます！			Surname様！ご無事でなによりでございます！			蒼天を仰ぎ、歩み続ける							
偽神獣となった者がどんな人物であったのか、アイメリク卿から伺っております。			偽神獣となった者がどんな人物であったのか、アイメリク卿から伺っております。			蒼天を仰ぎ、歩み続ける							
正教の歪みが生み出した獣を、無事に討伐してくださったこと……。イシュガルド正教を信ずる者として、お礼を言わせてください。			正教の歪みが生み出した獣を、無事に討伐してくださったこと……。イシュガルド正教を信ずる者として、お礼を言わせてください。			蒼天を仰ぎ、歩み続ける							
蒼天騎士や、ヴァルティノア主教をはじめとする、獣に転じてしまったすべての者の心は、わたくしたちが引き継いでゆきます。			蒼天騎士や、ヴァルティノア主教をはじめとする、獣に転じてしまったすべての者の心は、わたくしたちが引き継いでゆきます。			蒼天を仰ぎ、歩み続ける							
あなた様のこれからの旅路にどうか、どうか……ハルオーネ様の加護があらんことを。			あなた様のこれからの旅路にどうか、どうか……ハルオーネ様の加護があらんことを。			蒼天を仰ぎ、歩み続ける							
ああ、あまり長く貴方様をお引止めしてはいけませんね。「アイメリク」卿もお待ちでしょうから。			ああ、あまり長く貴方様をお引止めしてはいけませんね。「アイメリク」卿もお待ちでしょうから。			蒼天を仰ぎ、歩み続ける							
「アイメリク」卿も、貴方様をお待ちのようですよ。			「アイメリク」卿も、貴方様をお待ちのようですよ。			蒼天を仰ぎ、歩み続ける							
「アイメリク」卿が待っておられるぞ。			「アイメリク」卿が待っておられるぞ。			蒼天を仰ぎ、歩み続ける							
Forename、アルトアレール卿。此度の偽神獣討伐作戦、ご苦労だった。無事に討伐ができたのは、ふたりの協力のおかげだ。			Forename、アルトアレール卿。此度の偽神獣討伐作戦、ご苦労だった。無事に討伐ができたのは、ふたりの協力のおかげだ。			蒼天を仰ぎ、歩み続ける							
貴殿の戦いぶりは、いつも見事だな。Forename殿。			貴殿の戦いぶりは、いつも見事だな。Forename殿。			蒼天を仰ぎ、歩み続ける							
これにより、クルザス地方より終末の獣は一掃された。公会議以降、新たな獣化現象が発生していない点を踏まえれば、これにて問題は解決されたと言えるだろう。			これにより、クルザス地方より終末の獣は一掃された。公会議以降、新たな獣化現象が発生していない点を踏まえれば、これにて問題は解決されたと言えるだろう。			蒼天を仰ぎ、歩み続ける							
ええ、これ以上、絶望に堕ちる者が出ぬよう……わたくしは戦神ハルオーネに仕える聖職者として、これからも人々のため、武器によらぬ戦いを続けようと思います。			ええ、これ以上、絶望に堕ちる者が出ぬよう……わたくしは戦神ハルオーネに仕える聖職者として、これからも人々のため、武器によらぬ戦いを続けようと思います。			蒼天を仰ぎ、歩み続ける							
