潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
ドタール・カーのクーランは、マウシを気にかけているようだ。			ドタール・カーのクーランは、マウシを気にかけているようだ。			マウシの活路							
クーランと話した。クーランの勧めにより、マウシは頭を冷やしにいくようだ。川べりへ行く前に、ナーマ砂漠北端の「マウシ」と話そう。			クーランと話した。クーランの勧めにより、マウシは頭を冷やしにいくようだ。川べりへ行く前に、ナーマ砂漠北端の「マウシ」と話そう。			マウシの活路							
マウシと話した。剣を置いたマウシは、冒険者に護衛を頼みたいようだ。護衛の準備ができたら、ナーマ砂漠北端の「マウシ」と再度話そう。			マウシと話した。剣を置いたマウシは、冒険者に護衛を頼みたいようだ。護衛の準備ができたら、ナーマ砂漠北端の「マウシ」と再度話そう。			マウシの活路							
マウシと話した。川べりまで「マウシ」の護衛をし、「高台の外灯」に触れよう。※はぐれてしまった場合、ナーマ砂漠北端にいる「マウシ」に話しかけることで護衛を再開できます。			マウシと話した。川べりまで「マウシ」の護衛をし、「高台の外灯」に触れよう。※はぐれてしまった場合、ナーマ砂漠北端にいる「マウシ」に話しかけることで護衛を再開できます。			マウシの活路							
川べりの高台の外灯までマウシの護衛をすることができた。どうやらマウシは、自分が勇猛果敢なドタール族の一員であるという証になる、強さがほしいようだ。帰ろうとすると、突如マンザシリに襲われたが、マウシの拳が敵を下した。自分の力に驚く、ナーマ砂漠北端の「マウシ」と話そう。			川べりの高台の外灯までマウシの護衛をすることができた。どうやらマウシは、自分が勇猛果敢なドタール族の一員であるという証になる、強さがほしいようだ。帰ろうとすると、突如マンザシリに襲われたが、マウシの拳が敵を下した。自分の力に驚く、ナーマ砂漠北端の「マウシ」と話そう。			マウシの活路							
マウシと話した。剣術よりも格闘術のほうが向いているのではと、マウシは思っているようだ。鍛錬に行ったマウシの代わりに、起こったことついて、ドタール・カーの「クーラン」に話そう。			マウシと話した。剣術よりも格闘術のほうが向いているのではと、マウシは思っているようだ。鍛錬に行ったマウシの代わりに、起こったことついて、ドタール・カーの「クーラン」に話そう。			マウシの活路							
クーランと話した。マウシが格闘術に目覚めたことを知り、クーランはマウシが「七剣」でないと確信を抱き始めたのだった。マウシの出生の真実を見つけるため、クーランと協力しよう。			クーランと話した。マウシが格闘術に目覚めたことを知り、クーランはマウシが「七剣」でないと確信を抱き始めたのだった。マウシの出生の真実を見つけるため、クーランと協力しよう。			マウシの活路							
マウシと話す			マウシと話す			マウシの活路							
マウシと再度話す			マウシと再度話す			マウシの活路							
高台の外灯までマウシを護衛			高台の外灯までマウシを護衛			マウシの活路							
マウシと話す			マウシと話す			マウシの活路							
クーランと話す			クーランと話す			マウシの活路							
ドタール族では、赤子が生まれると、まず族長が抱き上げ、誰の生まれ変わりなのかを見極めるんだ。			ドタール族では、赤子が生まれると、まず族長が抱き上げ、誰の生まれ変わりなのかを見極めるんだ。			マウシの活路							
そうそう間違えることなんてないが、こいつの場合は、数少ない例外だとしか思えないよ。さすがにあんな酷い剣さばき、「七剣」ではありえないからな。			そうそう間違えることなんてないが、こいつの場合は、数少ない例外だとしか思えないよ。さすがにあんな酷い剣さばき、「七剣」ではありえないからな。			マウシの活路							
だというのに、諦め悪く、剣に執着している。そのせいで、自分のことを追い詰めてるってのに……。			だというのに、諦め悪く、剣に執着している。そのせいで、自分のことを追い詰めてるってのに……。			マウシの活路							
うっ、うるさいな、お前は！俺は……っ！			うっ、うるさいな、お前は！俺は……っ！			マウシの活路							
……負けたばかりだし、気が立っているんだろう？剣を置き、泉で水浴びでもして、少し頭を冷やしてきな。			……負けたばかりだし、気が立っているんだろう？剣を置き、泉で水浴びでもして、少し頭を冷やしてきな。			マウシの活路							
……いや、川べりで風に当たってくるよ。Forenameさん、一緒に来てくれないか？少し、話したいことがあるからさ……集落の外で待ってる。			……いや、川べりで風に当たってくるよ。Forenameさん、一緒に来てくれないか？少し、話したいことがあるからさ……集落の外で待ってる。			マウシの活路							
あいつも思い悩んでいるみたいだな……。私には言えない話もあるようだし、あんたが、気晴らしに付き合ってあげてくれるか。			あいつも思い悩んでいるみたいだな……。私には言えない話もあるようだし、あんたが、気晴らしに付き合ってあげてくれるか。			マウシの活路							
…………。			…………。			マウシの活路							
付き合ってもらって悪いな……。北のほうに、川音が聞けて、景色もいい場所があるんだが、さすがに丸腰で、ひとり砂漠を歩くのは避けたいからね。			付き合ってもらって悪いな……。北のほうに、川音が聞けて、景色もいい場所があるんだが、さすがに丸腰で、ひとり砂漠を歩くのは避けたいからね。			マウシの活路							
もしも、危険な獣に出くわしたときは、頼んでもいいかい？準備ができたら、声をかけてくれ。すまないが、よろしく頼むよ……。			もしも、危険な獣に出くわしたときは、頼んでもいいかい？準備ができたら、声をかけてくれ。すまないが、よろしく頼むよ……。			マウシの活路							
あいつも思い悩んでいるみたいだな……。Forename、気晴らしに付き合ってあげてくれ。集落の中には、相談できる奴はいないみたいだから……。			あいつも思い悩んでいるみたいだな……。Forename、気晴らしに付き合ってあげてくれ。集落の中には、相談できる奴はいないみたいだから……。			マウシの活路							
準備ができたんだな。そうしたら、ここから北へ行った、川べりまでお願いするよ。「高台の外灯」の辺りなら、安全なはずさ。			準備ができたんだな。そうしたら、ここから北へ行った、川べりまでお願いするよ。「高台の外灯」の辺りなら、安全なはずさ。			マウシの活路							
丸腰で出歩くのは久しぶりだな…			丸腰で出歩くのは久しぶりだな…			マウシの活路							
俺がもっと強ければ…			俺がもっと強ければ…			マウシの活路							
マウシとはぐれてしまったため、目的を達成できません。ドタール・カーに戻ったマウシに話しかけて、もう一度、この場所まで護衛してください。			マウシとはぐれてしまったため、目的を達成できません。ドタール・カーに戻ったマウシに話しかけて、もう一度、この場所まで護衛してください。			マウシの活路							
マウシがまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			マウシがまだ到着していません。近くまで迎えにいって、この場所まで護衛してください。			マウシの活路							
(-七剣のマウシ-)ありがとう。手間をかけさせたが、おかげで無事に着いたよ。凶悪な魔物もそれほど多くないようだし、ここで少し話そう。			(-七剣のマウシ-)ありがとう。手間をかけさせたが、おかげで無事に着いたよ。凶悪な魔物もそれほど多くないようだし、ここで少し話そう。			マウシの活路							
どうだい、砂に囲まれていない、緑と水の景色。俺はここに来ると、不思議と気持ちが落ち着くんだ……。			どうだい、砂に囲まれていない、緑と水の景色。俺はここに来ると、不思議と気持ちが落ち着くんだ……。			マウシの活路							
……クーランが気にかけてくれてるのは嬉しい。でも、あいつは、生まれ変わる前と今の姿が違っていない。俺の勝手な嫉妬だけど、素直になれなくて……。			……クーランが気にかけてくれてるのは嬉しい。でも、あいつは、生まれ変わる前と今の姿が違っていない。俺の勝手な嫉妬だけど、素直になれなくて……。			マウシの活路							
俺だって、本当は上達の兆しもない剣術なんてやめたいさ。けれど、一族のみんな、誰も彼もが期待の目を向けてくる。マウシは最強の剣豪、「七剣」だって……。			俺だって、本当は上達の兆しもない剣術なんてやめたいさ。けれど、一族のみんな、誰も彼もが期待の目を向けてくる。マウシは最強の剣豪、「七剣」だって……。			マウシの活路							
期待さえなければ、俺だって剣に執着はしない。そして、ドタール族の一員だって証になる強さを、俺自身の手で、探してみたいんだ……。			期待さえなければ、俺だって剣に執着はしない。そして、ドタール族の一員だって証になる強さを、俺自身の手で、探してみたいんだ……。			マウシの活路							
……愚痴ばっかりでごめん、Forenameさん。鍛錬もしなくちゃいけないし、そろそろ集落まで戻らなきゃな。			……愚痴ばっかりでごめん、Forenameさん。鍛錬もしなくちゃいけないし、そろそろ集落まで戻らなきゃな。			マウシの活路							
危ないっ！！			危ないっ！！			マウシの活路							
お、俺……拳だけで、こいつを倒せたぞ……！？			お、俺……拳だけで、こいつを倒せたぞ……！？			マウシの活路							
剣はうまく扱えなかったのに、拳だけで戦ったら……もしや、俺が進むべきは、格闘術の道なのか？			剣はうまく扱えなかったのに、拳だけで戦ったら……もしや、俺が進むべきは、格闘術の道なのか？			マウシの活路							
Forenameさん、ごめん！俺は、この疑念を晴らすために、少し試したいことがあるから、先に集落まで戻ってくれるか？			Forenameさん、ごめん！俺は、この疑念を晴らすために、少し試したいことがあるから、先に集落まで戻ってくれるか？			マウシの活路							
そして、「クーラン」に伝えてほしい。「活路が見つかったかもしれない」ってね。よろしく頼むよ！			そして、「クーラン」に伝えてほしい。「活路が見つかったかもしれない」ってね。よろしく頼むよ！			マウシの活路							
おいっ、Forename、ひとりで戻ってきて、マウシはどうしたんだ！？剣も持たず、置き去りなんて、危険すぎるだろ！			おいっ、Forename、ひとりで戻ってきて、マウシはどうしたんだ！？剣も持たず、置き去りなんて、危険すぎるだろ！			マウシの活路							
なに、格闘術に目覚めただって？しかも、いきなりマンザシリを拳ひとつで倒したのか……それは相当なものだな。			なに、格闘術に目覚めただって？しかも、いきなりマンザシリを拳ひとつで倒したのか……それは相当なものだな。			マウシの活路							
つまりは、あいつが剣聖の生まれ変わりでない可能性が、さらに高まったってことだよな。となると……。			つまりは、あいつが剣聖の生まれ変わりでない可能性が、さらに高まったってことだよな。となると……。			マウシの活路							
なあ、もう少し協力してくれないか。あいつの出生の真実を突き止めて、楽にしてやりたいんだ！			なあ、もう少し協力してくれないか。あいつの出生の真実を突き止めて、楽にしてやりたいんだ！			マウシの活路							
ドタール・カーのマウシは、修行に付き合ってほしいようだ。			ドタール・カーのマウシは、修行に付き合ってほしいようだ。			弱すぎる剣聖							
マウシと話した。マウシの前で魔物を倒すことで、ドタール族以外の人間の戦い方を参考にしたいようだ。ナーマ砂漠北端で「マウシ」と話し、「ナーマ・アナラ」を討伐しよう。			マウシと話した。マウシの前で魔物を倒すことで、ドタール族以外の人間の戦い方を参考にしたいようだ。ナーマ砂漠北端で「マウシ」と話し、「ナーマ・アナラ」を討伐しよう。			弱すぎる剣聖							
ナーマ・アナラを討伐した。ナーマ砂漠北端の「マウシ」と話そう。			ナーマ・アナラを討伐した。ナーマ砂漠北端の「マウシ」と話そう。			弱すぎる剣聖							
マウシと話した。冒険者の戦いぶりは参考になったらしい。マウシはドタール・カーに戻り、行なわれている訓練試合に参加するようだ。ドタール・カーの「マウシ」と再度話そう。			マウシと話した。冒険者の戦いぶりは参考になったらしい。マウシはドタール・カーに戻り、行なわれている訓練試合に参加するようだ。ドタール・カーの「マウシ」と再度話そう。			弱すぎる剣聖							
マウシと話した。マウシは、試合に大敗したが、周囲の人々はマウシが「七剣」であると信じきっている。マウシの幼馴染であるクーランは、マウシを周囲のプレッシャーから解放したいようだ。マウシの未来のため、クーランと協力しよう。			マウシと話した。マウシは、試合に大敗したが、周囲の人々はマウシが「七剣」であると信じきっている。マウシの幼馴染であるクーランは、マウシを周囲のプレッシャーから解放したいようだ。マウシの未来のため、クーランと協力しよう。			弱すぎる剣聖							
マウシと話し、ナーマ・アナラを討伐			マウシと話し、ナーマ・アナラを討伐			弱すぎる剣聖							
マウシと話す			マウシと話す			弱すぎる剣聖							
マウシと再度話す			マウシと再度話す			弱すぎる剣聖							
旅人さん、修行に付き合ってくれるのかい？恩に着るよ、ありがとう！それで……ええっと、名前を教えてくれるかい？			旅人さん、修行に付き合ってくれるのかい？恩に着るよ、ありがとう！それで……ええっと、名前を教えてくれるかい？			弱すぎる剣聖							
それじゃ、Forenameさん、さっそくだけど、実際に戦ってみてくれないか？君の戦う姿を見て、戦闘のコツを学びたいんだ。			それじゃ、Forenameさん、さっそくだけど、実際に戦ってみてくれないか？君の戦う姿を見て、戦闘のコツを学びたいんだ。			弱すぎる剣聖							
今の俺に足りないものに、気づけるかもしれないからね。戦う相手は、砂漠にいる火の精にしてもらおうかな。おびき寄せておくから、外で落ち合おう！			今の俺に足りないものに、気づけるかもしれないからね。戦う相手は、砂漠にいる火の精にしてもらおうかな。おびき寄せておくから、外で落ち合おう！			弱すぎる剣聖							
突き当りに、食べ残しの家畜の脂身をばら撒いておいたよ。よく燃える脂は、火の精である、「ナーマ・アナラ」の好物でね……。			突き当りに、食べ残しの家畜の脂身をばら撒いておいたよ。よく燃える脂は、火の精である、「ナーマ・アナラ」の好物でね……。			弱すぎる剣聖							
俺はここで、見学させてもらうよ。さあ、さっそくのお出ましのようだ、倒してくれ！			俺はここで、見学させてもらうよ。さあ、さっそくのお出ましのようだ、倒してくれ！			弱すぎる剣聖							
なるほど、なるほど……。流儀は違えど、間合いの取り方や、敵との呼吸の合わせ方、いろいろと参考になったよ、ありがとう。			なるほど、なるほど……。流儀は違えど、間合いの取り方や、敵との呼吸の合わせ方、いろいろと参考になったよ、ありがとう。			弱すぎる剣聖							
よし、学んだことは、さっそく実践しないとな！そろそろ、ドタール・カーで訓練試合の時間だから、久しぶりに参加してくるよ！			よし、学んだことは、さっそく実践しないとな！そろそろ、ドタール・カーで訓練試合の時間だから、久しぶりに参加してくるよ！			弱すぎる剣聖							
いたたた……Forenameさん……。ごめん、ご覧のとおり、あっさりと負けちまったよ……。これじゃあ誰も、俺が「七剣」だなんて思ってくれないよな……。			いたたた……Forenameさん……。ごめん、ご覧のとおり、あっさりと負けちまったよ……。これじゃあ誰も、俺が「七剣」だなんて思ってくれないよな……。			弱すぎる剣聖							
(-ドタール族の女-)まさか、「七剣」マウシが、こうもあっさり負けるとはね……。			(-ドタール族の女-)まさか、「七剣」マウシが、こうもあっさり負けるとはね……。			弱すぎる剣聖							
(-ドタール族の男-)……そ、そうか！「七剣」マウシは、あまりに強すぎるから、あえて負けて、相手に自信をつけさせてやったんだな！？			(-ドタール族の男-)……そ、そうか！「七剣」マウシは、あまりに強すぎるから、あえて負けて、相手に自信をつけさせてやったんだな！？			弱すぎる剣聖							
(-ドタール族の戦士-)うーむ、格下相手に優しくしたいのはわかるが、今度は手加減せず、戦ってくれよ！そうじゃないと、訓練の意味がないからな！			(-ドタール族の戦士-)うーむ、格下相手に優しくしたいのはわかるが、今度は手加減せず、戦ってくれよ！そうじゃないと、訓練の意味がないからな！			弱すぎる剣聖							
あんたら、マウシのこと全然わかってない！こいつは本当に弱いんだよ！それなのに、みんな圧力ばっかりかけて……。			あんたら、マウシのこと全然わかってない！こいつは本当に弱いんだよ！それなのに、みんな圧力ばっかりかけて……。			弱すぎる剣聖							
……あんたは、こいつの知り合い？私の名はクーラン、マウシとは幼馴染でね。真の実力は、よく知ってるつもりさ……。			……あんたは、こいつの知り合い？私の名はクーラン、マウシとは幼馴染でね。真の実力は、よく知ってるつもりさ……。			弱すぎる剣聖							
あんたも、マウシが本当は弱いってこと、聞いてるんだろ？それならさ、私の手伝いをしてくれないか。こいつの将来、どうにか良くしてやりたいんだよ……。			あんたも、マウシが本当は弱いってこと、聞いてるんだろ？それならさ、私の手伝いをしてくれないか。こいつの将来、どうにか良くしてやりたいんだよ……。			弱すぎる剣聖							
ドタール・カーのクーランは、行きたい場所があるようだ。			ドタール・カーのクーランは、行きたい場所があるようだ。			「七剣」マウシの真実							
クーランと話した。クーランからマウシの前代を、百一の啓示にいるシャーマンに視てもらおうと提案を受けた。百一の啓示の「イバクハ」と話そう。			クーランと話した。クーランからマウシの前代を、百一の啓示にいるシャーマンに視てもらおうと提案を受けた。百一の啓示の「イバクハ」と話そう。			「七剣」マウシの真実							
イバクハと話した。イバクハはマウシの悩みを見抜いたが、前代については視えないらしい。「今を受けいれる」という言葉を聞き、マウシは思うところがあるようだ。百一の啓示の「マウシ」と話そう。			イバクハと話した。イバクハはマウシの悩みを見抜いたが、前代については視えないらしい。「今を受けいれる」という言葉を聞き、マウシは思うところがあるようだ。百一の啓示の「マウシ」と話そう。			「七剣」マウシの真実							
マウシと話した。マウシは、自分が「七剣」マウシではないこと、剣術ではなく格闘術を究めたいことを、一族へ伝えることにしたそうだ。クーランの助言により、マウシは格闘の腕を示すため、北東にいるマタンガを倒すことになった。ナーマ砂漠北端の「マウシ」と再度話そう。			マウシと話した。マウシは、自分が「七剣」マウシではないこと、剣術ではなく格闘術を究めたいことを、一族へ伝えることにしたそうだ。クーランの助言により、マウシは格闘の腕を示すため、北東にいるマタンガを倒すことになった。ナーマ砂漠北端の「マウシ」と再度話そう。			「七剣」マウシの真実							
マウシと話した。マウシがひとりでマタンガに立ち向かう間、邪魔が入らないように見張っていてほしいと頼まれた。風止めの大岩周辺の「指定地点」で見渡し、敵が現れたら討伐しよう。			マウシと話した。マウシがひとりでマタンガに立ち向かう間、邪魔が入らないように見張っていてほしいと頼まれた。風止めの大岩周辺の「指定地点」で見渡し、敵が現れたら討伐しよう。			「七剣」マウシの真実							
辺りを見渡した。風止めの大岩周辺の「指定地点」で再度見渡し、敵が現れたら討伐しよう。			辺りを見渡した。風止めの大岩周辺の「指定地点」で再度見渡し、敵が現れたら討伐しよう。			「七剣」マウシの真実							
辺りを見渡し、敵を討伐した。マウシはマタンガを倒したようだ。ウヤギルの古巣穴の「マウシ」と話そう。			辺りを見渡し、敵を討伐した。マウシはマタンガを倒したようだ。ウヤギルの古巣穴の「マウシ」と話そう。			「七剣」マウシの真実							
マウシと話した。マウシから、先に戻ってクーランへ成功を伝えてほしいと頼まれた。ドタール・カーの「クーラン」と話そう。			マウシと話した。マウシから、先に戻ってクーランへ成功を伝えてほしいと頼まれた。ドタール・カーの「クーラン」と話そう。			「七剣」マウシの真実							
ドタール・カーのクーランと話した。マウシは、一族の人々に、決死の覚悟で格闘術を究めたいことなどを伝えた。しかし、どうやら歴代のマウシは移り気で、前代の武術とは違う才能が芽吹くのはままあることらしい。集落の人々は、格闘の才を見出したマウシのことを笑って受け入れた。拍子抜けしている、ドタール・カーの「マウシ」と話そう。			ドタール・カーのクーランと話した。マウシは、一族の人々に、決死の覚悟で格闘術を究めたいことなどを伝えた。しかし、どうやら歴代のマウシは移り気で、前代の武術とは違う才能が芽吹くのはままあることらしい。集落の人々は、格闘の才を見出したマウシのことを笑って受け入れた。拍子抜けしている、ドタール・カーの「マウシ」と話そう。			「七剣」マウシの真実							
マウシと話した。予想外の結果となってしまったが、マウシにとって新たな道が拓けたのは確かだと、冒険者に感謝した。今までのぶんも含めて修行するというマウシに負けないよう、冒険者も鍛錬に励もう。			マウシと話した。予想外の結果となってしまったが、マウシにとって新たな道が拓けたのは確かだと、冒険者に感謝した。今までのぶんも含めて修行するというマウシに負けないよう、冒険者も鍛錬に励もう。			「七剣」マウシの真実							
イバクハと話す			イバクハと話す			「七剣」マウシの真実							
マウシと話す			マウシと話す			「七剣」マウシの真実							
マウシと再度話す			マウシと再度話す			「七剣」マウシの真実							
指定地点で見渡し、敵が現れたら討伐			指定地点で見渡し、敵が現れたら討伐			「七剣」マウシの真実							
2箇所目の指定地点で見渡し、敵が現れたら討伐			2箇所目の指定地点で見渡し、敵が現れたら討伐			「七剣」マウシの真実							
マウシと話す			マウシと話す			「七剣」マウシの真実							
クーランと話す			クーランと話す			「七剣」マウシの真実							
マウシと話す			マウシと話す			「七剣」マウシの真実							
マウシが剣聖の生まれ変わりでないと証明したいんだ。けどな、族長の名づけが間違っていたなんてこと、一族の者は簡単に認めてはくれないだろう。			マウシが剣聖の生まれ変わりでないと証明したいんだ。けどな、族長の名づけが間違っていたなんてこと、一族の者は簡単に認めてはくれないだろう。			「七剣」マウシの真実							
……そうだ、ウヤギル族には凄腕のシャーマンがいるんだ！彼女に過去を視てもらえば、マウシの前代がハッキリするはずさ。			……そうだ、ウヤギル族には凄腕のシャーマンがいるんだ！彼女に過去を視てもらえば、マウシの前代がハッキリするはずさ。			「七剣」マウシの真実							
あんたは、西にある洞穴、百一の啓示に向かって、「イバクハ」に話を通してくれないか？私は、マウシを探して、連れてくるからさ。			あんたは、西にある洞穴、百一の啓示に向かって、「イバクハ」に話を通してくれないか？私は、マウシを探して、連れてくるからさ。			「七剣」マウシの真実							
……異邦の旅人よ、この薄暗い洞穴に、よくぞ参った。だが、今はまだ何も語る必要はない……。語るべき者は、これから来るのであろう？			……異邦の旅人よ、この薄暗い洞穴に、よくぞ参った。だが、今はまだ何も語る必要はない……。語るべき者は、これから来るのであろう？			「七剣」マウシの真実							
Forename、待たせたな。もう、話をつけておいてくれたのかい？			Forename、待たせたな。もう、話をつけておいてくれたのかい？			「七剣」マウシの真実							
さすが、瞑想を続けるウヤギル族のシャーマンだな……。相談事をしたいのが、俺だって見抜いてたとは……。			さすが、瞑想を続けるウヤギル族のシャーマンだな……。相談事をしたいのが、俺だって見抜いてたとは……。			「七剣」マウシの真実							
それだけではない……。若きドタールの者よ、お前の悩み事とやらも知っておる。ただお前は、尋ねたいことだけを語ればよい。			それだけではない……。若きドタールの者よ、お前の悩み事とやらも知っておる。ただお前は、尋ねたいことだけを語ればよい。			「七剣」マウシの真実							
……それならば、単刀直入に聞かせてもらう。俺は、「七剣」の生まれ変わりではないのか？			……それならば、単刀直入に聞かせてもらう。俺は、「七剣」の生まれ変わりではないのか？			「七剣」マウシの真実							
……………………知らん。			……………………知らん。			「七剣」マウシの真実							
ウヤギルのシャーマンは、過去ではなく未来を視る。ゆえに、お前の前代が「七剣」であるか否かは答えられぬが、お前が未来、武の達人として名を馳せることは視えておる。			ウヤギルのシャーマンは、過去ではなく未来を視る。ゆえに、お前の前代が「七剣」であるか否かは答えられぬが、お前が未来、武の達人として名を馳せることは視えておる。			「七剣」マウシの真実							
……さあ、語るべきことは語った。欲を捨て去りしウヤギルは、礼の言葉も必要とせぬ。お前たちも今を受け入れ、ただ未来に歩み続けるがいい。			……さあ、語るべきことは語った。欲を捨て去りしウヤギルは、礼の言葉も必要とせぬ。お前たちも今を受け入れ、ただ未来に歩み続けるがいい。			「七剣」マウシの真実							
今を受け入れる、か……。それなら、きちんと「七剣」ではないと、一族の者たちに伝えたほうがいいんだろうな。			今を受け入れる、か……。それなら、きちんと「七剣」ではないと、一族の者たちに伝えたほうがいいんだろうな。			「七剣」マウシの真実							
たとえ、族長の誤りを声高に叫ぶことで、集落を追放されようと、俺は「七剣」として剣を振るうより、拳で戦う術を究めたい。			たとえ、族長の誤りを声高に叫ぶことで、集落を追放されようと、俺は「七剣」として剣を振るうより、拳で戦う術を究めたい。			「七剣」マウシの真実							
Forenameさんと別れたあと、砂漠の獣相手に戦ってみて、はっきりとわかったんだ。これが自分の道だってね……。			Forenameさんと別れたあと、砂漠の獣相手に戦ってみて、はっきりとわかったんだ。これが自分の道だってね……。			「七剣」マウシの真実							
そうか……意志は固いんだな。ならば、お前の腕前を示したほうがいいんじゃないか。剣ではなく、格闘術の才があることを示し、皆を納得させるんだ。			そうか……意志は固いんだな。ならば、お前の腕前を示したほうがいいんじゃないか。剣ではなく、格闘術の才があることを示し、皆を納得させるんだ。			「七剣」マウシの真実							
北にいる、マタンガを格闘術で倒して、牙のひとつでも持って帰ってくるといい。そうすれば、族長だって真実を認めざるを得ないだろう？			北にいる、マタンガを格闘術で倒して、牙のひとつでも持って帰ってくるといい。そうすれば、族長だって真実を認めざるを得ないだろう？			「七剣」マウシの真実							
ありがとう、クーラン。そうさせてもらうよ。			ありがとう、クーラン。そうさせてもらうよ。			「七剣」マウシの真実							
俺はひとりでマタンガを倒すから、Forenameさんは、その手伝いをしてくれないか？北で待っているから、よろしく頼むな。			俺はひとりでマタンガを倒すから、Forenameさんは、その手伝いをしてくれないか？北で待っているから、よろしく頼むな。			「七剣」マウシの真実							
……マウシのやつ、前よりずっといい目になったな。じゃあ私は、オアシスでふたりの帰りを待つよ。立派なマタンガの牙、楽しみにしているぞ。			……マウシのやつ、前よりずっといい目になったな。じゃあ私は、オアシスでふたりの帰りを待つよ。立派なマタンガの牙、楽しみにしているぞ。			「七剣」マウシの真実							
大昔、強欲だったウヤギル族は、その罪を悟り、この洞穴の中で、瞑想修行を続ける道を選んだそうだ。とはいえ、シャーマンにも得手不得手があるもんなんだな。			大昔、強欲だったウヤギル族は、その罪を悟り、この洞穴の中で、瞑想修行を続ける道を選んだそうだ。とはいえ、シャーマンにも得手不得手があるもんなんだな。			「七剣」マウシの真実							
私の視た未来に沿うか、新たなる未来を拓くのか……。それは、あの若者次第さ。			私の視た未来に沿うか、新たなる未来を拓くのか……。それは、あの若者次第さ。			「七剣」マウシの真実							
手伝いを引き受けてくれるんだな、ありがとう。それじゃあ、俺はこの洞窟に入って、マタンガを倒してくるよ。その間、誰も近づかないように、辺りを「見渡し」てくれ。			手伝いを引き受けてくれるんだな、ありがとう。それじゃあ、俺はこの洞窟に入って、マタンガを倒してくるよ。その間、誰も近づかないように、辺りを「見渡し」てくれ。			「七剣」マウシの真実							
それと、この辺りには、スプラウリング・カオチューが出るんだ。洞窟の中であいつのツタが絡まったら命取りだから、申し訳ないが、見つけたら追っ払っておいてくれ！			それと、この辺りには、スプラウリング・カオチューが出るんだ。洞窟の中であいつのツタが絡まったら命取りだから、申し訳ないが、見つけたら追っ払っておいてくれ！			「七剣」マウシの真実							
この辺りに、敵はいないようだ……。			この辺りに、敵はいないようだ……。			「七剣」マウシの真実							
(-マウシの声-)Forenameさーん！俺、マタンガを倒したぞ！こっちまで来てくれ！			(-マウシの声-)Forenameさーん！俺、マタンガを倒したぞ！こっちまで来てくれ！			「七剣」マウシの真実							
見てくれ、俺、この拳だけでマタンガを倒したんだ！あんたが戦いに集中させてくれたから、大きなケガをすることもなく倒せたよ、ありがとう！			見てくれ、俺、この拳だけでマタンガを倒したんだ！あんたが戦いに集中させてくれたから、大きなケガをすることもなく倒せたよ、ありがとう！			「七剣」マウシの真実							
それじゃあ、集落に戻ろう。俺は牙をいただいてから帰るから、先に戻って、「クーラン」に成功したって伝えてくれ。			それじゃあ、集落に戻ろう。俺は牙をいただいてから帰るから、先に戻って、「クーラン」に成功したって伝えてくれ。			「七剣」マウシの真実							
お前が帰ってきたってことは、あいつは、マタンガの討伐に成功したんだな。良かったよ。			お前が帰ってきたってことは、あいつは、マタンガの討伐に成功したんだな。良かったよ。			「七剣」マウシの真実							
一族の者たちには、マウシから大切な話があると言って、集まってもらうように手筈を整えたよ。さすがに全員は集められなかったけどね。			一族の者たちには、マウシから大切な話があると言って、集まってもらうように手筈を整えたよ。さすがに全員は集められなかったけどね。			「七剣」マウシの真実							
マウシがこの集落からいなくなるかもって考えると、寂しいけれど……仕方ないよな。さあ、あいつが帰ってくるのを待とう。			マウシがこの集落からいなくなるかもって考えると、寂しいけれど……仕方ないよな。さあ、あいつが帰ってくるのを待とう。			「七剣」マウシの真実							
みんな、集まってくれてありがとう！そして、よく聞いてくれ！			みんな、集まってくれてありがとう！そして、よく聞いてくれ！			「七剣」マウシの真実							
実は、俺は……剣聖の生まれ変わりではない！			実は、俺は……剣聖の生まれ変わりではない！			「七剣」マウシの真実							
いくら鍛錬しようとも、剣の才は片鱗さえ見せず、格闘術こそが、己の進むべき道だということに気づいた……！その証拠に俺は、マタンガをこの拳で倒した！			いくら鍛錬しようとも、剣の才は片鱗さえ見せず、格闘術こそが、己の進むべき道だということに気づいた……！その証拠に俺は、マタンガをこの拳で倒した！			「七剣」マウシの真実							
それだけではなく、オアシスの近くにいる、マンザシリを倒すことをも成功している！そこにいる旅人さんも、証明してくれるはずだ！			それだけではなく、オアシスの近くにいる、マンザシリを倒すことをも成功している！そこにいる旅人さんも、証明してくれるはずだ！			「七剣」マウシの真実							
これは、俺を「七剣」の生まれ変わりだと見極めた族長を、心ならずも否定することになるだろう……。だが、たとえ集落を追放されたとしても、俺は己の道を進みたい！			これは、俺を「七剣」の生まれ変わりだと見極めた族長を、心ならずも否定することになるだろう……。だが、たとえ集落を追放されたとしても、俺は己の道を進みたい！			「七剣」マウシの真実							
(-ドタール族の男-)なんだぁ……今回は、格闘術の才が出たのか。しかし、その若さでひとりマタンガを狩るとは、やっぱりマウシだな！			(-ドタール族の男-)なんだぁ……今回は、格闘術の才が出たのか。しかし、その若さでひとりマタンガを狩るとは、やっぱりマウシだな！			「七剣」マウシの真実							
