シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			荒野の掟							
あ、あの子は気にしないと思うけど……どうしてもって言うなら、店で売れるものを渡した方が喜ぶんじゃないかしら。			あ、あの子は気にしないと思うけど……どうしてもって言うなら、店で売れるものを渡した方が喜ぶんじゃないかしら。			大きな巡りと、小さな人と							
ペルペル族の知り合いから、オルコ・パチャの高地では、珍しい植物や鉱石が採れると聞いたことがあるわ。数十年に一度しか咲かない花や、模様入りの翠玉……。			ペルペル族の知り合いから、オルコ・パチャの高地では、珍しい植物や鉱石が採れると聞いたことがあるわ。数十年に一度しか咲かない花や、模様入りの翠玉……。			大きな巡りと、小さな人と							
つまり「アポサカリーの稀少商品」だな！承知した、すぐに急いで即刻調達してこよう。			つまり「アポサカリーの稀少商品」だな！承知した、すぐに急いで即刻調達してこよう。			大きな巡りと、小さな人と							
Forename、すまない……。すべては俺の不徳の致すところだが、この身ひとつの働きでは、不敬を埋め合わせることができないだろう。			Forename、すまない……。すべては俺の不徳の致すところだが、この身ひとつの働きでは、不敬を埋め合わせることができないだろう。			大きな巡りと、小さな人と							
どうか、調達に手を貸してはくれないか……！？			どうか、調達に手を貸してはくれないか……！？			大きな巡りと、小さな人と							
恩に着る！では、調達を済ませたのちに、また店で……！			恩に着る！では、調達を済ませたのちに、また店で……！			大きな巡りと、小さな人と							
よくわからないけど、若いわねぇ。シューニェも、あの勢いにつられて踏み出してくれないかしら。			よくわからないけど、若いわねぇ。シューニェも、あの勢いにつられて踏み出してくれないかしら。			大きな巡りと、小さな人と							
調達した商品は、シューニェに渡してくれ。……俺のことは気にするな、東方で学んだドゲザなる謝罪法を実践したところだ。			調達した商品は、シューニェに渡してくれ。……俺のことは気にするな、東方で学んだドゲザなる謝罪法を実践したところだ。			大きな巡りと、小さな人と							
……なるほど。つまりウヴロ、あなたはまた先走ったと？			……なるほど。つまりウヴロ、あなたはまた先走ったと？			大きな巡りと、小さな人と							
ああ、おかえりなさい。帰りが遅かった理由は、ウヴロから聞きましたよ。			ああ、おかえりなさい。帰りが遅かった理由は、ウヴロから聞きましたよ。			大きな巡りと、小さな人と							
言いたいことはいろいろとありますが……せっかく採ってきてくださったんです、商品は商品として、ありがたく頂戴しましょう。			言いたいことはいろいろとありますが……せっかく採ってきてくださったんです、商品は商品として、ありがたく頂戴しましょう。			大きな巡りと、小さな人と							
おやまあ……。ウヴロから渡された分も相当なものでしたが、こちらもまた、珍しい品ですねぇ。			おやまあ……。ウヴロから渡された分も相当なものでしたが、こちらもまた、珍しい品ですねぇ。			大きな巡りと、小さな人と							
あなたたちだから調達できたようなもので、普通はおいそれと採ってこられるものじゃありませんよ。まったく……。			あなたたちだから調達できたようなもので、普通はおいそれと採ってこられるものじゃありませんよ。まったく……。			大きな巡りと、小さな人と							
いいですか、ウヴロ。ワポタも言っていたと思いますが、シャトナ族の子どもは、自立するまで母親と暮らします。			いいですか、ウヴロ。ワポタも言っていたと思いますが、シャトナ族の子どもは、自立するまで母親と暮らします。			大きな巡りと、小さな人と							
必然、生きるのに必要な知識や技術は母から習うことになる。あなたのところのような、男性同士の師弟関係や上下関係はないんです。			必然、生きるのに必要な知識や技術は母から習うことになる。あなたのところのような、男性同士の師弟関係や上下関係はないんです。			大きな巡りと、小さな人と							
敬意を払ってもらえるのはありがたいですが、今さらですし、面倒なので、これまでどおりにしてください。			敬意を払ってもらえるのはありがたいですが、今さらですし、面倒なので、これまでどおりにしてください。			大きな巡りと、小さな人と							
しかし……それでは…………			しかし……それでは…………			大きな巡りと、小さな人と							
…………承知した。			…………承知した。			大きな巡りと、小さな人と							
なら、これでこの話はおしまいです。商いに戻るとしましょうか。			なら、これでこの話はおしまいです。商いに戻るとしましょうか。			大きな巡りと、小さな人と							
いや……態度を改める必要がなかったとしても、お前の過去について詮索してしまったことには違いない。			いや……態度を改める必要がなかったとしても、お前の過去について詮索してしまったことには違いない。			大きな巡りと、小さな人と							
無神経な真似をして、すまなかった。			無神経な真似をして、すまなかった。			大きな巡りと、小さな人と							
別に……隠していたわけでもありませんしねぇ……。			別に……隠していたわけでもありませんしねぇ……。			大きな巡りと、小さな人と							
50年前、確かに私は家族を喪い、旅をやめた。			50年前、確かに私は家族を喪い、旅をやめた。			大きな巡りと、小さな人と							
シャトナ族にとって、死は穢れたものじゃない……大きな巡り、自然の一環です。どこかで受け入れて、新たな家族を探しに行くべきだった。			シャトナ族にとって、死は穢れたものじゃない……大きな巡り、自然の一環です。どこかで受け入れて、新たな家族を探しに行くべきだった。			大きな巡りと、小さな人と							
それでも……私は……家族がなぜ死んだのかもわからないまま、はいそうですかと過去にはできなかったんですよ。			それでも……私は……家族がなぜ死んだのかもわからないまま、はいそうですかと過去にはできなかったんですよ。			大きな巡りと、小さな人と							
本当に原因がわからないのか……？集落がひとつ壊滅したほどの、大事件なのに……。			本当に原因がわからないのか……？集落がひとつ壊滅したほどの、大事件なのに……。			大きな巡りと、小さな人と							
集落といっても、住居は片手で数えられるほど。最寄りの村に行くにも山をふたつ越えるような、辺境の地でしたから……。			集落といっても、住居は片手で数えられるほど。最寄りの村に行くにも山をふたつ越えるような、辺境の地でしたから……。			大きな巡りと、小さな人と							
そこで何が起きたのか、目撃した者はいなかった。大地まで抉れるほどの破壊ぶりは、およそ賊の仕業と思えず、トラルヴィドラールが出たんじゃないかと言われました。			そこで何が起きたのか、目撃した者はいなかった。大地まで抉れるほどの破壊ぶりは、およそ賊の仕業と思えず、トラルヴィドラールが出たんじゃないかと言われました。			大きな巡りと、小さな人と							
ですが、私は最寄りの村で聞いたんです。			ですが、私は最寄りの村で聞いたんです。			大きな巡りと、小さな人と							
事が発覚する数日前に、昼間でもはっきりわかるほど眩い、一条の光が空を流れていったと。			事が発覚する数日前に、昼間でもはっきりわかるほど眩い、一条の光が空を流れていったと。			大きな巡りと、小さな人と							
それは山間に消え、直後、地が震える音がした。山も樹々もざわめき、風に乗って粉塵がやってきた……と。			それは山間に消え、直後、地が震える音がした。山も樹々もざわめき、風に乗って粉塵がやってきた……と。			大きな巡りと、小さな人と							
何と言う？			何と言う？			大きな巡りと、小さな人と							
……もしかして、隕石？			……もしかして、隕石？			大きな巡りと、小さな人と							
星を降らせる魔法があるが……			星を降らせる魔法があるが……			大きな巡りと、小さな人と							
はい、私もそう考えています。集落を破壊したのは……落下した隕石かもしれない、と。			はい、私もそう考えています。集落を破壊したのは……落下した隕石かもしれない、と。			大きな巡りと、小さな人と							
そういった可能性についても調べはしました。ですが宮廷賢士や、外つ国帰りの傭兵でも、魔法ではそれほどの被害を及ぼせないだろうと見立てたんです。			そういった可能性についても調べはしました。ですが宮廷賢士や、外つ国帰りの傭兵でも、魔法ではそれほどの被害を及ぼせないだろうと見立てたんです。			大きな巡りと、小さな人と							
だから、私は考えました。集落を破壊したのは……落下した隕石かもしれない、と。			だから、私は考えました。集落を破壊したのは……落下した隕石かもしれない、と。			大きな巡りと、小さな人と							
とはいえ、それもまた憶測にすぎません。			とはいえ、それもまた憶測にすぎません。			大きな巡りと、小さな人と							
断定できるだけの証拠が、あるようで、ないんです。			断定できるだけの証拠が、あるようで、ないんです。			大きな巡りと、小さな人と							
……少しお待ちを。			……少しお待ちを。			大きな巡りと、小さな人と							
これは……？			これは……？			大きな巡りと、小さな人と							
集落があった場所に落ちていたものです。点々と……まるで花弁をまき散らすように……。			集落があった場所に落ちていたものです。点々と……まるで花弁をまき散らすように……。			大きな巡りと、小さな人と							
だから私は、「蒼碧の花弁」と呼んでいます。			だから私は、「蒼碧の花弁」と呼んでいます。			大きな巡りと、小さな人と							
長年この商いを続けてきた結果、これがどういうものなのか、ある程度は推測ができている……。			長年この商いを続けてきた結果、これがどういうものなのか、ある程度は推測ができている……。			大きな巡りと、小さな人と							
集落が本当に隕石によって破壊されたのだとすれば、この「花弁」の存在こそが、証拠となるはずなんです。			集落が本当に隕石によって破壊されたのだとすれば、この「花弁」の存在こそが、証拠となるはずなんです。			大きな巡りと、小さな人と							
……と考えているものの、これが推測どおりの物質なのか、いまだに裏付けが取れていません。			……と考えているものの、これが推測どおりの物質なのか、いまだに裏付けが取れていません。			大きな巡りと、小さな人と							
なんでもいいから答えがほしいと思って、こじつけようとしているだけかもしれませんねぇ。			なんでもいいから答えがほしいと思って、こじつけようとしているだけかもしれませんねぇ。			大きな巡りと、小さな人と							
本当に……救いがたい…………。			本当に……救いがたい…………。			大きな巡りと、小さな人と							
「園芸師／採掘師」のいずれかがレベル98以上になると、ワチュメキメキ万貨街の「シューニェ」から、次のクエストが受注可能です。			「園芸師／採掘師」のいずれかがレベル98以上になると、ワチュメキメキ万貨街の「シューニェ」から、次のクエストが受注可能です。			大きな巡りと、小さな人と							
ワチュメキメキ万貨街のパメカは、やる気に満ちているようだ。			ワチュメキメキ万貨街のパメカは、やる気に満ちているようだ。			文字では伝わらない想い							
パメカと話した。彼女は自分の一族について調べるため、実家へ帰るようだ。トライヨラのエクワーヤ広場で待ち合わせすべく、「指定地点」で待機しよう。			パメカと話した。彼女は自分の一族について調べるため、実家へ帰るようだ。トライヨラのエクワーヤ広場で待ち合わせすべく、「指定地点」で待機しよう。			文字では伝わらない想い							
パメカの曽祖父が遺していた石板が見つかった。描かれた内容を知るため、オルコ・パチャのウォーラーの残響にいる「パメカ」と話そう。			パメカの曽祖父が遺していた石板が見つかった。描かれた内容を知るため、オルコ・パチャのウォーラーの残響にいる「パメカ」と話そう。			文字では伝わらない想い							
パメカを連れてウォーラーの残響にいる人々と話し、石板に描かれた内容を教えてもらおう。※同行状態が解除された場合、再度「パメカ」に話しかけることで同行を再開できます。			パメカを連れてウォーラーの残響にいる人々と話し、石板に描かれた内容を教えてもらおう。※同行状態が解除された場合、再度「パメカ」に話しかけることで同行を再開できます。			文字では伝わらない想い							
80年ほど前にパメカの曽祖父と会った人物がいるかもしれない。パメカを連れてウォーラーの残響にいる「ヨカフイ族の石工」を探そう。			80年ほど前にパメカの曽祖父と会った人物がいるかもしれない。パメカを連れてウォーラーの残響にいる「ヨカフイ族の石工」を探そう。			文字では伝わらない想い							
ヨカフイ族の石工と話した。ウォーラーの残響にいる「パメカ」と話そう。			ヨカフイ族の石工と話した。ウォーラーの残響にいる「パメカ」と話そう。			文字では伝わらない想い							
パメカの一族に関する物語を製本することになった。「ヨカフイの伝統素材」をもとに「ヨカフイ様式の装丁」を製作し、ウォーラーの残響にいる「パメカ」に納品しよう。※「ヨカフイの伝統素材」を失った場合は、ウォーラーの残響にいるヨカフイ族の石工に話しかけましょう。材料を入手し、再挑戦が可能になります。			パメカの一族に関する物語を製本することになった。「ヨカフイの伝統素材」をもとに「ヨカフイ様式の装丁」を製作し、ウォーラーの残響にいる「パメカ」に納品しよう。※「ヨカフイの伝統素材」を失った場合は、ウォーラーの残響にいるヨカフイ族の石工に話しかけましょう。材料を入手し、再挑戦が可能になります。			文字では伝わらない想い							
パメカにヨカフイ様式の装丁を納品し、本を完成させた。ワチュメキメキ万貨街の「パメカ」と話そう。			パメカにヨカフイ様式の装丁を納品し、本を完成させた。ワチュメキメキ万貨街の「パメカ」と話そう。			文字では伝わらない想い							
パメカと話した。彼女はできあがった本をデモウェニにも読んでもらいたいようだ。次の依頼が来るのを心待ちにしよう。			パメカと話した。彼女はできあがった本をデモウェニにも読んでもらいたいようだ。次の依頼が来るのを心待ちにしよう。			文字では伝わらない想い							
指定地点で待機			指定地点で待機			文字では伝わらない想い							
ウォーラーの残響のパメカと話して同行させる			ウォーラーの残響のパメカと話して同行させる			文字では伝わらない想い							
パメカを連れてヨカフイ族と話す			パメカを連れてヨカフイ族と話す			文字では伝わらない想い							
パメカを連れてヨカフイ族の石工を探す			パメカを連れてヨカフイ族の石工を探す			文字では伝わらない想い							
パメカと話す			パメカと話す			文字では伝わらない想い							
製作手帳 万貨街取引：ヨカフイ様式の装丁を製作パメカにヨカフイ様式の装丁を納品			製作手帳 万貨街取引：ヨカフイ様式の装丁を製作パメカにヨカフイ様式の装丁を納品			文字では伝わらない想い							
トライヨラのパメカと話す			トライヨラのパメカと話す			文字では伝わらない想い							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ウクラマトの平和」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ウクラマトの平和」を完了する必要があります。			文字では伝わらない想い							
デモウェニ君の一族が、自分たちだけの伝承を語り継いでいるというお話を聞いて……私の一族にも何か伝わる物語がないか、興味が湧きました。			デモウェニ君の一族が、自分たちだけの伝承を語り継いでいるというお話を聞いて……私の一族にも何か伝わる物語がないか、興味が湧きました。			文字では伝わらない想い							
ちょうど通常の業務もすべて片づいてるので、店を閉めて、両親に話を聞きにいこうかと。内容次第では、そのまま街の外に調べに出掛けるかもしれません。			ちょうど通常の業務もすべて片づいてるので、店を閉めて、両親に話を聞きにいこうかと。内容次第では、そのまま街の外に調べに出掛けるかもしれません。			文字では伝わらない想い							
ただ、トライヨラの外には不慣れでして、キミについてきてもらえると助かるのですが……。			ただ、トライヨラの外には不慣れでして、キミについてきてもらえると助かるのですが……。			文字では伝わらない想い							
ありがとうございます！では、ひとまず実家で話を聞いてきますので、のちほど「エクワーヤ広場」で待ち合わせましょう！			ありがとうございます！では、ひとまず実家で話を聞いてきますので、のちほど「エクワーヤ広場」で待ち合わせましょう！			文字では伝わらない想い							
店を閉めてから、実家へ向かいます。のちほど、「エクワーヤ広場」で待ち合わせましょう！			店を閉めてから、実家へ向かいます。のちほど、「エクワーヤ広場」で待ち合わせましょう！			文字では伝わらない想い							
お待たせしました。私の御先祖様について、いくつかわかったことがあります。			お待たせしました。私の御先祖様について、いくつかわかったことがあります。			文字では伝わらない想い							
うちの一族は曽祖父の代に、トライヨラ建国とともにサカ・トラルから移住してきたそうです。ただ、それ以前のことは、両親も知らないようでした。			うちの一族は曽祖父の代に、トライヨラ建国とともにサカ・トラルから移住してきたそうです。ただ、それ以前のことは、両親も知らないようでした。			文字では伝わらない想い							
そこで、何か手がかりがないか蔵の中を探してみたら、絵文字が描かれた、出どころ不明の石板が見つかりましてね。			そこで、何か手がかりがないか蔵の中を探してみたら、絵文字が描かれた、出どころ不明の石板が見つかりましてね。			文字では伝わらない想い							
曽祖父は王宮に仕える役人だったそうですが、職務の秘密を家族に話すような人ではなく……この石板の由来も不明なのだとか。			曽祖父は王宮に仕える役人だったそうですが、職務の秘密を家族に話すような人ではなく……この石板の由来も不明なのだとか。			文字では伝わらない想い							
何と言う？			何と言う？			文字では伝わらない想い							
絵文字といえば叙事詩の石塔……			絵文字といえば叙事詩の石塔……			文字では伝わらない想い							
石といえばヨカフイ族の文化だ			石といえばヨカフイ族の文化だ			文字では伝わらない想い							
金煌なる旅程の石塔ですね。あの絵文字を描いたのはマムージャ族ですが、元を辿ればヨカフイ族の文化だったはず……。			金煌なる旅程の石塔ですね。あの絵文字を描いたのはマムージャ族ですが、元を辿ればヨカフイ族の文化だったはず……。			文字では伝わらない想い							
たしかに、石を記録媒体としていることからも、ヨカフイ族の手によるものと考えるのが自然ですね。			たしかに、石を記録媒体としていることからも、ヨカフイ族の手によるものと考えるのが自然ですね。			文字では伝わらない想い							
石板をヨカフイ族に見せれば、曽祖父の仕事について、何かしらの手がかりが得られるかもしれません。			石板をヨカフイ族に見せれば、曽祖父の仕事について、何かしらの手がかりが得られるかもしれません。			文字では伝わらない想い							
ならばこれから、私をヨカフイ族たちが暮らす集落、「ウォーラーの残響」に連れていってくれませんか！？			ならばこれから、私をヨカフイ族たちが暮らす集落、「ウォーラーの残響」に連れていってくれませんか！？			文字では伝わらない想い							
ありがとうございます！さっそくですが出発しましょう！			ありがとうございます！さっそくですが出発しましょう！			文字では伝わらない想い							
着きましたね。ここがヨカフイ族たちが暮らす場所……！			着きましたね。ここがヨカフイ族たちが暮らす場所……！			文字では伝わらない想い							
石柱に彫られている絵文字は、うちの石板に描かれたものと同じ系統のように見えます。			石柱に彫られている絵文字は、うちの石板に描かれたものと同じ系統のように見えます。			文字では伝わらない想い							
こちらの集落の皆さんなら、この石板に込められた意味も読み解けるはず。さっそく声をかけて、協力を仰いでみましょう。			こちらの集落の皆さんなら、この石板に込められた意味も読み解けるはず。さっそく声をかけて、協力を仰いでみましょう。			文字では伝わらない想い							
とはいえ不慣れな私では、知らずに失礼を働きかねません。ヨカフイ族とも交流した経験のあるキミに、先導をお願いさせてください！			とはいえ不慣れな私では、知らずに失礼を働きかねません。ヨカフイ族とも交流した経験のあるキミに、先導をお願いさせてください！			文字では伝わらない想い							
何をする？			何をする？			文字では伝わらない想い							
話す			話す			文字では伝わらない想い							
同行状態を解除する			同行状態を解除する			文字では伝わらない想い							
キャンセル			キャンセル			文字では伝わらない想い							
ヨカフイ族には、今も独自の言葉を使う方々もいるそうですが、ここの皆さんはトラル公用語を使うみたいです。			ヨカフイ族には、今も独自の言葉を使う方々もいるそうですが、ここの皆さんはトラル公用語を使うみたいです。			文字では伝わらない想い							
公用語の文字も読み書きできるのかもしれませんが、それでも絵文字という文化を大事に継承しているのでしょうね。			公用語の文字も読み書きできるのかもしれませんが、それでも絵文字という文化を大事に継承しているのでしょうね。			文字では伝わらない想い							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			文字では伝わらない想い							
えっ、ここで私をひとりにするんですか……！？では、さっきのところで待ってますので、必ず迎えに来てくださいね……！			えっ、ここで私をひとりにするんですか……！？では、さっきのところで待ってますので、必ず迎えに来てくださいね……！			文字では伝わらない想い							
ほかの用事は済んだんですか？それでは出発しましょう。			ほかの用事は済んだんですか？それでは出発しましょう。			文字では伝わらない想い							
「カーリョーザー祭拝殿」について話す			「カーリョーザー祭拝殿」について話す			文字では伝わらない想い							
ここが、ヴァリガルマンダが封印されていた拝殿ですか……。かの「生ける天災」に関する逸話はあまりに有名、まさに物語を持った建物と言えるでしょう。			ここが、ヴァリガルマンダが封印されていた拝殿ですか……。かの「生ける天災」に関する逸話はあまりに有名、まさに物語を持った建物と言えるでしょう。			文字では伝わらない想い							
しかし、ここにかぎらず、建物とはどのようなものであれ、何かしらの目的をもって造られています。			しかし、ここにかぎらず、建物とはどのようなものであれ、何かしらの目的をもって造られています。			文字では伝わらない想い							
中には、今では遺跡となった用途不明の建物もありますが、考古学者たちは、立地や間取り、建材や装飾などから、その正体を……固有の物語を解き明かすのだとか。			中には、今では遺跡となった用途不明の建物もありますが、考古学者たちは、立地や間取り、建材や装飾などから、その正体を……固有の物語を解き明かすのだとか。			文字では伝わらない想い							
文字などなくても、人は歴史を紡げるんですね。うーん、私には想像できない世界です……！			文字などなくても、人は歴史を紡げるんですね。うーん、私には想像できない世界です……！			文字では伝わらない想い							
私に見てもらいたいものがある、と。少しの間でよければ構いませんが、実物はどこに……？			私に見てもらいたいものがある、と。少しの間でよければ構いませんが、実物はどこに……？			文字では伝わらない想い							
継承の儀の試練は終わったはずだが。わざわざトライヨラから、いったいどうしてまた？			継承の儀の試練は終わったはずだが。わざわざトライヨラから、いったいどうしてまた？			文字では伝わらない想い							
ふわぁ……石板の絵文字を読んでほしい？……いいけど、それじゃあ見せてよ。			ふわぁ……石板の絵文字を読んでほしい？……いいけど、それじゃあ見せてよ。			文字では伝わらない想い							
このクエストを進行させるには、パメカが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、パメカが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			文字では伝わらない想い							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			文字では伝わらない想い							
ふむ、先祖伝来の石板を解読したい、と……？立て込んでるので、少しであれば構いませんよ。			ふむ、先祖伝来の石板を解読したい、と……？立て込んでるので、少しであれば構いませんよ。			文字では伝わらない想い							
これは……比較的新しいものですね。今から80年ほど前の日付が描かれています。			これは……比較的新しいものですね。今から80年ほど前の日付が描かれています。			文字では伝わらない想い							
この石板を持つ者は連王の家臣であることから、客分として、ここに滞在中の便宜を図るべし……と。なんというか、滞在許可証のようなものでしょう。			この石板を持つ者は連王の家臣であることから、客分として、ここに滞在中の便宜を図るべし……と。なんというか、滞在許可証のようなものでしょう。			文字では伝わらない想い							
あのころは、まだ戦争が終わったばかりで、今ほど自由に人々が往来してはいなかったと聞きます。だから、このような石板が必要だったのかもしれませんね。			あのころは、まだ戦争が終わったばかりで、今ほど自由に人々が往来してはいなかったと聞きます。だから、このような石板が必要だったのかもしれませんね。			文字では伝わらない想い							
この石板を持っていた人は、客分としてこの集落に滞在していたようですね。当時のことは、自分はよくわからず……すみません。			この石板を持っていた人は、客分としてこの集落に滞在していたようですね。当時のことは、自分はよくわからず……すみません。			文字では伝わらない想い							
こんなところまで来るとは、ずいぶんと暇なようだ。用があるなら、さっさと済ませてくれ。			こんなところまで来るとは、ずいぶんと暇なようだ。用があるなら、さっさと済ませてくれ。			文字では伝わらない想い							
この石板の持ち主についていろいろと描かれているな。トライヨラから来たとかなんとか、お前たちも知っていそうなことは飛ばそう。			この石板の持ち主についていろいろと描かれているな。トライヨラから来たとかなんとか、お前たちも知っていそうなことは飛ばそう。			文字では伝わらない想い							
ハッキリとはわからんが、どうも新しい文字を作り出すため、トラル大陸中の文化を学んでいる男だということらしい。新しい文字とは、いったい何のことだろうか……。			ハッキリとはわからんが、どうも新しい文字を作り出すため、トラル大陸中の文化を学んでいる男だということらしい。新しい文字とは、いったい何のことだろうか……。			文字では伝わらない想い							
石板の持ち主は、新しい文字を作ろうとした男らしいが……何のことだかサッパリわからん。私も忙しいので、これくらいでいいかね。			石板の持ち主は、新しい文字を作ろうとした男らしいが……何のことだかサッパリわからん。私も忙しいので、これくらいでいいかね。			文字では伝わらない想い							
ふわぁ……石板の絵文字を読んでみてほしい？今すごい眠いんだけど、しょうがないなぁ……。			ふわぁ……石板の絵文字を読んでみてほしい？今すごい眠いんだけど、しょうがないなぁ……。			文字では伝わらない想い							
う～ん……どうやら、この石板の持ち主も、今の君たちのように絵文字を学びに来たようだ。			う～ん……どうやら、この石板の持ち主も、今の君たちのように絵文字を学びに来たようだ。			文字では伝わらない想い							
ヨカフイ族の石工を訪ねるのが目的だったみたい。ここの者なら誰でも絵文字を描けるけど、石に刻んで記録を残すのは、専門の石工の仕事だから……。			ヨカフイ族の石工を訪ねるのが目的だったみたい。ここの者なら誰でも絵文字を描けるけど、石に刻んで記録を残すのは、専門の石工の仕事だから……。			文字では伝わらない想い							
石工から何をどう学んだのか……その内容までは全然わからないなぁ。ごめん、こんなところでいい……？			石工から何をどう学んだのか……その内容までは全然わからないなぁ。ごめん、こんなところでいい……？			文字では伝わらない想い							
ふわぁ……とりあえず、石工を訪ねたと描いてあるね。それ以上のことは、ほかの人に聞いて……。			ふわぁ……とりあえず、石工を訪ねたと描いてあるね。それ以上のことは、ほかの人に聞いて……。			文字では伝わらない想い							
お話をまとめると……私の曽祖父は、連王の家臣として、客分の扱いを受けてこちらの集落に滞在していた、と。			お話をまとめると……私の曽祖父は、連王の家臣として、客分の扱いを受けてこちらの集落に滞在していた、と。			文字では伝わらない想い							
そして、どうも新しい文字とやらを作るため、各地を巡っており、ヨカフイ族の絵文字のことも学ぼうとしていた……。			そして、どうも新しい文字とやらを作るため、各地を巡っており、ヨカフイ族の絵文字のことも学ぼうとしていた……。			文字では伝わらない想い							
80年ほど前のことなら、もしかすると当時応対した方が、まだこの集落にいるかもしれませんね。「ヨカフイ族の石工」さんを探して聞いてみましょう！			80年ほど前のことなら、もしかすると当時応対した方が、まだこの集落にいるかもしれませんね。「ヨカフイ族の石工」さんを探して聞いてみましょう！			文字では伝わらない想い							
おや、私に何か御用ですか？作業中につき、用がないなら失礼しますよ。			おや、私に何か御用ですか？作業中につき、用がないなら失礼しますよ。			文字では伝わらない想い							
ええ、私は80年以上前から石工をしていますが……。何が知りたいのです？			ええ、私は80年以上前から石工をしていますが……。何が知りたいのです？			文字では伝わらない想い							
……ああ、思い出しました。トライヨラ建国の直後のこと、この石板を持った男性が、こちらに滞在していたことがありましたね。			……ああ、思い出しました。トライヨラ建国の直後のこと、この石板を持った男性が、こちらに滞在していたことがありましたね。			文字では伝わらない想い							
やはりそうでしたか。私の曽祖父は、なぜ絵文字を学ぼうとしたのでしょう？			やはりそうでしたか。私の曽祖父は、なぜ絵文字を学ぼうとしたのでしょう？			文字では伝わらない想い							
それは、彼が新しい文字を作ろうとしていたからですよ。当時、トライヨラでは理王グルージャジャのもとで、「公用語」を作ろうとしていましたから……。			それは、彼が新しい文字を作ろうとしていたからですよ。当時、トライヨラでは理王グルージャジャのもとで、「公用語」を作ろうとしていましたから……。			文字では伝わらない想い							
そのころは、グルージャジャ様が大陸統一を成し遂げたばかり。様々な部族がトライヨラに集まっていましたから、言葉の違いによる問題も多かったのだとか。			そのころは、グルージャジャ様が大陸統一を成し遂げたばかり。様々な部族がトライヨラに集まっていましたから、言葉の違いによる問題も多かったのだとか。			文字では伝わらない想い							
そこであなたの曽祖父殿は、公用語に合わせた新たな文字を作るよう提案しました。しかしその案は採用されず、外つ国の文字を借用することに……。			そこであなたの曽祖父殿は、公用語に合わせた新たな文字を作るよう提案しました。しかしその案は採用されず、外つ国の文字を借用することに……。			文字では伝わらない想い							
そればかりか、グルージャジャ様は彼に対し、「各部族の文化について学んでこい」と命じられたそうです。			そればかりか、グルージャジャ様は彼に対し、「各部族の文化について学んでこい」と命じられたそうです。			文字では伝わらない想い							
彼はいくつもの部族を回ったのち、ここにやってきました。我々の文化といえば、もちろん絵文字。			彼はいくつもの部族を回ったのち、ここにやってきました。我々の文化といえば、もちろん絵文字。			文字では伝わらない想い							
ただし、彼が学ぼうとしたのは、読み書きだけではなかった。我々がどのような意図で石に絵を彫るのか、絵柄の決め方から、彫る順番まで過程を知ろうとしたのです。			ただし、彼が学ぼうとしたのは、読み書きだけではなかった。我々がどのような意図で石に絵を彫るのか、絵柄の決め方から、彫る順番まで過程を知ろうとしたのです。			文字では伝わらない想い							
そうして我々の文化について理解を深めた後……曽祖父殿は「連王様の言わんとすることが理解できた」と、満足してトライヨラへと戻っていきました。			そうして我々の文化について理解を深めた後……曽祖父殿は「連王様の言わんとすることが理解できた」と、満足してトライヨラへと戻っていきました。			文字では伝わらない想い							
なんと、私の曽祖父とグルージャジャ様の間に、そのようなことがあったとは、全然知りませんでした。			なんと、私の曽祖父とグルージャジャ様の間に、そのようなことがあったとは、全然知りませんでした。			文字では伝わらない想い							
グルージャジャ様が新たな文字を不要と断じ、曽祖父もまた、同じ結論に至ったその理由……。私にもわかる気がします。			グルージャジャ様が新たな文字を不要と断じ、曽祖父もまた、同じ結論に至ったその理由……。私にもわかる気がします。			文字では伝わらない想い							
ほう、それはいったいどういう理由でしょうか？			ほう、それはいったいどういう理由でしょうか？			文字では伝わらない想い							
公用語は、各部族の文化とは関係なく、あくまでも利便性のために制定されました。			公用語は、各部族の文化とは関係なく、あくまでも利便性のために制定されました。			文字では伝わらない想い							
それに対応した文字を作ったとしたら……？公用語が「自分たちの作った言葉」になり、受け継いできた文化が上書きされてしまうんです。			それに対応した文字を作ったとしたら……？公用語が「自分たちの作った言葉」になり、受け継いできた文化が上書きされてしまうんです。			文字では伝わらない想い							
けれど、エオルゼア文字を借用しておけば、公用語は誰にとっても「借り物の言葉」であり続ける。			けれど、エオルゼア文字を借用しておけば、公用語は誰にとっても「借り物の言葉」であり続ける。			文字では伝わらない想い							
つまり、トラル公用語を「自分たちの言葉にしない」ことで、各部族が受け継いできた文化を護りたかったんです！			つまり、トラル公用語を「自分たちの言葉にしない」ことで、各部族が受け継いできた文化を護りたかったんです！			文字では伝わらない想い							
……それが、文字を不要と断じた理由かと。			……それが、文字を不要と断じた理由かと。			文字では伝わらない想い							
