空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			魂を扱う者たち							
それじゃあ、さっそくみんなで出発しよっか。せっかくだから、途中の場所も説明しながら移動するね。			それじゃあ、さっそくみんなで出発しよっか。せっかくだから、途中の場所も説明しながら移動するね。			理王のガイドツアー							
何をする？			何をする？			理王のガイドツアー							
話す			話す			理王のガイドツアー							
同行状態を解除する			同行状態を解除する			理王のガイドツアー							
キャンセル			キャンセル			理王のガイドツアー							
ところで、ふたりは知り合って長いの？ラマチがキミのこと、すごく信頼してるように見えるから……頼れる相手がいて、ちょっと羨ましいなって……。			ところで、ふたりは知り合って長いの？ラマチがキミのこと、すごく信頼してるように見えるから……頼れる相手がいて、ちょっと羨ましいなって……。			理王のガイドツアー							
さっきの缶詰、うまかったなぁ……。片が付いたら、トライヨラのみんなにも食わせてやりてぇぜ！			さっきの缶詰、うまかったなぁ……。片が付いたら、トライヨラのみんなにも食わせてやりてぇぜ！			理王のガイドツアー							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			理王のガイドツアー							
はーい、いってらっしゃい！ラマチとネクサスアーケードで待ってるから、急がなくても大丈夫だよ。			はーい、いってらっしゃい！ラマチとネクサスアーケードで待ってるから、急がなくても大丈夫だよ。			理王のガイドツアー							
お、用事か？んじゃ、さっき食い物もらった場所で待ってるぜ！			お、用事か？んじゃ、さっき食い物もらった場所で待ってるぜ！			理王のガイドツアー							
おかえりなさい。よーし、それじゃあ、案内を再開するね。			おかえりなさい。よーし、それじゃあ、案内を再開するね。			理王のガイドツアー							
準備はいいみてぇだな！よっしゃ、出発しようぜ！			準備はいいみてぇだな！よっしゃ、出発しようぜ！			理王のガイドツアー							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			理王のガイドツアー							
ここは「モザイク・コーヒー」っていうお店だよ。飲み物を買って、そこのソファでゆっくりくつろげるんだ。			ここは「モザイク・コーヒー」っていうお店だよ。飲み物を買って、そこのソファでゆっくりくつろげるんだ。			理王のガイドツアー							
なるほどな……トライヨラのシャバーブチェみてぇだ。ところで、なんで「モザイク」なんだ？			なるほどな……トライヨラのシャバーブチェみてぇだ。ところで、なんで「モザイク」なんだ？			理王のガイドツアー							
私たちの大陸では、種族の名称を石の名前から取っていたの。トラル大陸のトナワータ族と似た「ヒューネ族」、それから、長身の「エレダイト族」……小柄な「ミララ族」って。			私たちの大陸では、種族の名称を石の名前から取っていたの。トラル大陸のトナワータ族と似た「ヒューネ族」、それから、長身の「エレダイト族」……小柄な「ミララ族」って。			理王のガイドツアー							
それで、ここに集う人たちを、ひとつひとつ特徴の異なる、色とりどりの石に見立てて、「モザイク・コーヒー」と名付けたって聞いたことがあるよ。			それで、ここに集う人たちを、ひとつひとつ特徴の異なる、色とりどりの石に見立てて、「モザイク・コーヒー」と名付けたって聞いたことがあるよ。			理王のガイドツアー							
へえ、たしかにぴったりな名前だぜ。これでタコスが食えれば最高だな！			へえ、たしかにぴったりな名前だぜ。これでタコスが食えれば最高だな！			理王のガイドツアー							
タコス……？			タコス……？			理王のガイドツアー							
ああ、アタシの国の伝統料理なんだ。いつかお前にも食わせてやるよ！			ああ、アタシの国の伝統料理なんだ。いつかお前にも食わせてやるよ！			理王のガイドツアー							
それは……うん、楽しみだなぁ……！			それは……うん、楽しみだなぁ……！			理王のガイドツアー							
そのためにも、早くトライヨラに平和を取り戻さねぇとな。んじゃ、目的地まで案内してくれ！			そのためにも、早くトライヨラに平和を取り戻さねぇとな。んじゃ、目的地まで案内してくれ！			理王のガイドツアー							
タコスは、キミも食べたことあるの？ラマチのお勧めなら、きっと美味しいんだろうな……。			タコスは、キミも食べたことあるの？ラマチのお勧めなら、きっと美味しいんだろうな……。			理王のガイドツアー							
シャバーブチェに連れてってやらねぇとな！いつかスフェーンと3人で、タコス食おうぜ！			シャバーブチェに連れてってやらねぇとな！いつかスフェーンと3人で、タコス食おうぜ！			理王のガイドツアー							
この辺りに建っている構造物が、みんなの居住施設で……一帯の区画をレジデンシャルセクターっていうんだ。			この辺りに建っている構造物が、みんなの居住施設で……一帯の区画をレジデンシャルセクターっていうんだ。			理王のガイドツアー							
これがひとつの家！？連王宮よりもでけぇ……！			これがひとつの家！？連王宮よりもでけぇ……！			理王のガイドツアー							
ううん、建物の中がいくつもの部屋に分かれてて、そのひとつひとつに、それぞれの家族が住んでるんだよ。			ううん、建物の中がいくつもの部屋に分かれてて、そのひとつひとつに、それぞれの家族が住んでるんだよ。			理王のガイドツアー							
私が訪ねたい人たちは、「9-14居住殻」……正面左側にある建物に住んでるの。			私が訪ねたい人たちは、「9-14居住殻」……正面左側にある建物に住んでるの。			理王のガイドツアー							
きゅーいちよん、きょじゅうかく……？			きゅーいちよん、きょじゅうかく……？			理王のガイドツアー							
ちょっと難しい名前だよね……。南東側に入口があるから、そこから中に入ろう。			ちょっと難しい名前だよね……。南東側に入口があるから、そこから中に入ろう。			理王のガイドツアー							
この街のこと、気に入ってくれたら嬉しいな。みんなが細部までこだわって、一生懸命に造ってくれた街だからさ！			この街のこと、気に入ってくれたら嬉しいな。みんなが細部までこだわって、一生懸命に造ってくれた街だからさ！			理王のガイドツアー							
スフェーンの奴、活き活きしてるよな。この国が好きだっていう気持ちが伝わってくるぜ！			スフェーンの奴、活き活きしてるよな。この国が好きだっていう気持ちが伝わってくるぜ！			理王のガイドツアー							
「居住施設」について話す			「居住施設」について話す			理王のガイドツアー							
居住施設にはこういうラウンジがあって、建物の住人たちの共同スペースになってるんだ。			居住施設にはこういうラウンジがあって、建物の住人たちの共同スペースになってるんだ。			理王のガイドツアー							
なるほどなあ……。そこの機械兵は何やってんだ？			なるほどなあ……。そこの機械兵は何やってんだ？			理王のガイドツアー							
あの子は、コンシェルジュ。この居住区の管理人みたいなもので、わからないことがあれば、いろいろ教えてくれるよ。			あの子は、コンシェルジュ。この居住区の管理人みたいなもので、わからないことがあれば、いろいろ教えてくれるよ。			理王のガイドツアー							
へえ……わからねぇことだらけだが、とりあえず今は、スフェーンに聞くことにするぜ……。			へえ……わからねぇことだらけだが、とりあえず今は、スフェーンに聞くことにするぜ……。			理王のガイドツアー							
そうだね、今は私がふたりのコンシェルジュ。なんでも聞いて、いろんなことを知ってほしいな。			そうだね、今は私がふたりのコンシェルジュ。なんでも聞いて、いろんなことを知ってほしいな。			理王のガイドツアー							
なあ、スフェーン。ここは誰でも住めるのか？			なあ、スフェーン。ここは誰でも住めるのか？			理王のガイドツアー							
もちろん、生粋のアレクサンドリア人だけじゃなくて、トライヨラ出身の人たちもたくさん住んでるよ。			もちろん、生粋のアレクサンドリア人だけじゃなくて、トライヨラ出身の人たちもたくさん住んでるよ。			理王のガイドツアー							
出身も部族も、仕事やレギュレーターの有無も関係なく、アレクサンドリアの国民だったら、誰でも等しく入居可能。それこそ、アウトスカーツで働いてる人たちも住んでるしね。			出身も部族も、仕事やレギュレーターの有無も関係なく、アレクサンドリアの国民だったら、誰でも等しく入居可能。それこそ、アウトスカーツで働いてる人たちも住んでるしね。			理王のガイドツアー							
……そいつは、本当にありがてぇことだ。お前のおかげで、30年間みんなが護られてきたんだな。			……そいつは、本当にありがてぇことだ。お前のおかげで、30年間みんなが護られてきたんだな。			理王のガイドツアー							
着いたよ、ここが目的地。ここに住んでいる親子に会いに来たの……。			着いたよ、ここが目的地。ここに住んでいる親子に会いに来たの……。			理王のガイドツアー							
イサドラ、お邪魔するね！			イサドラ、お邪魔するね！			理王のガイドツアー							
スフェーン様！いらしてくださったんですね！			スフェーン様！いらしてくださったんですね！			理王のガイドツアー							
大勢で押しかけてごめんね。今日は私のお客さんも一緒なんだけど、大丈夫……？			大勢で押しかけてごめんね。今日は私のお客さんも一緒なんだけど、大丈夫……？			理王のガイドツアー							
もちろんです！みなさん、ゆっくりしていってくださいね。			もちろんです！みなさん、ゆっくりしていってくださいね。			理王のガイドツアー							
それで……ミロス君の様子はどう？			それで……ミロス君の様子はどう？			理王のガイドツアー							
……変わりありません。今日は穏やかな方ですよ。			……変わりありません。今日は穏やかな方ですよ。			理王のガイドツアー							
ミロス君、こんにちは。スフェーンお姉ちゃんが遊びに来たぞー。			ミロス君、こんにちは。スフェーンお姉ちゃんが遊びに来たぞー。			理王のガイドツアー							
息子は、生まれつき体内のエーテルバランスが、雷属性に偏っていましてね……。			息子は、生まれつき体内のエーテルバランスが、雷属性に偏っていましてね……。			理王のガイドツアー							
重篤な進行性の麻痺があるせいで、歩くこともできなければ、ほとんど喋ることもできません。			重篤な進行性の麻痺があるせいで、歩くこともできなければ、ほとんど喋ることもできません。			理王のガイドツアー							
でも、ちゃんとこちらの声は聞こえているし、声を出すのがつらいときでも、視線や瞬きで応えてくれるんです。			でも、ちゃんとこちらの声は聞こえているし、声を出すのがつらいときでも、視線や瞬きで応えてくれるんです。			理王のガイドツアー							
そうだったのか……。スフェーンは、よくここに来るのか？			そうだったのか……。スフェーンは、よくここに来るのか？			理王のガイドツアー							
ええ、頻繁に訪ねてきてくださいます。ミロスはスフェーン様のことが大好きみたいで……ときどき、ほんの少しですが笑うこともあるんですよ。			ええ、頻繁に訪ねてきてくださいます。ミロスはスフェーン様のことが大好きみたいで……ときどき、ほんの少しですが笑うこともあるんですよ。			理王のガイドツアー							
イサドラの方は大丈夫？疲れてない？			イサドラの方は大丈夫？疲れてない？			理王のガイドツアー							
はい、私の方は心配ありません。こうしてスフェーン様が話し相手になってくださいますし、この街は本当に住みやすいですから。			はい、私の方は心配ありません。こうしてスフェーン様が話し相手になってくださいますし、この街は本当に住みやすいですから。			理王のガイドツアー							
よかった。でも、無理は禁物だからね！			よかった。でも、無理は禁物だからね！			理王のガイドツアー							
なあ、それって……この国の技術で治せないのか？魂だってあるんだろ……？			なあ、それって……この国の技術で治せないのか？魂だってあるんだろ……？			理王のガイドツアー							
魂では、不慮の事故による死を防ぐことはできても、病気を治療することはできないの。			魂では、不慮の事故による死を防ぐことはできても、病気を治療することはできないの。			理王のガイドツアー							
実を言うと、この病気を持って生まれてきた子は、ミロス君のほかにもいてね……。大昔からある病気だけど、治療法は未だに見つかっていない。			実を言うと、この病気を持って生まれてきた子は、ミロス君のほかにもいてね……。大昔からある病気だけど、治療法は未だに見つかっていない。			理王のガイドツアー							
恐らく、雷属性が強い環境に起因する病気だと思う。ここ30年で、発症率が格段に高くなってるから……。			恐らく、雷属性が強い環境に起因する病気だと思う。ここ30年で、発症率が格段に高くなってるから……。			理王のガイドツアー							
私のせいだ……。			私のせいだ……。			理王のガイドツアー							
何か言ったか？			何か言ったか？			理王のガイドツアー							
イサドラ、今日は顔を出すだけになっちゃってごめんね。今度は差し入れも持って遊びにくるから、たくさんお喋りしよ！			イサドラ、今日は顔を出すだけになっちゃってごめんね。今度は差し入れも持って遊びにくるから、たくさんお喋りしよ！			理王のガイドツアー							
そんな、謝らないでください。スフェーン様のおかげで、私もミロスも救われているんですから。			そんな、謝らないでください。スフェーン様のおかげで、私もミロスも救われているんですから。			理王のガイドツアー							
ス……おねえ……ちゃ……。ありが……おう……。			ス……おねえ……ちゃ……。ありが……おう……。			理王のガイドツアー							
うん……うんっ……！また来るから、いい子で待っててね。			うん……うんっ……！また来るから、いい子で待っててね。			理王のガイドツアー							
……こんな問題も抱えてたんだな。			……こんな問題も抱えてたんだな。			理王のガイドツアー							
ふたりとも、付き合ってくれてありがとう。			ふたりとも、付き合ってくれてありがとう。			理王のガイドツアー							
アレクサンドリアにはこういう一面もあるんだって、キミたちには、余さず知ってほしかったんだ。			アレクサンドリアにはこういう一面もあるんだって、キミたちには、余さず知ってほしかったんだ。			理王のガイドツアー							
今はまだ治療法がみつからなくても、いつか必ず見つけだす……！あの子たちの笑顔を見るまで、諦めたくないんだ！			今はまだ治療法がみつからなくても、いつか必ず見つけだす……！あの子たちの笑顔を見るまで、諦めたくないんだ！			理王のガイドツアー							
ヴァンガード付近のエレンヴィルは、呆然とした様子で故郷を見つめている。			ヴァンガード付近のエレンヴィルは、呆然とした様子で故郷を見つめている。			雷雲に覆われた地							
状況を把握するためには情報が必要だ。ヘリテージファウンドのヴァンガード付近にいる「アリゼー」と話そう。			状況を把握するためには情報が必要だ。ヘリテージファウンドのヴァンガード付近にいる「アリゼー」と話そう。			雷雲に覆われた地							
アリゼーと話した。ヘリテージファウンドのヤースラニ駅付近にいる「ウクラマト」と話そう。			アリゼーと話した。ヘリテージファウンドのヤースラニ駅付近にいる「ウクラマト」と話そう。			雷雲に覆われた地							
ウクラマトと話した。仲間たちと手分けして、ヤースラニ駅で情報を集めよう。			ウクラマトと話した。仲間たちと手分けして、ヤースラニ駅で情報を集めよう。			雷雲に覆われた地							
情報を集めた。ヤースラニ駅の「ウクラマト」と話そう。			情報を集めた。ヤースラニ駅の「ウクラマト」と話そう。			雷雲に覆われた地							
仲間たちと情報を共有した。ヤースラニ駅付近の「グ・ラハ・ティア」と話そう。			仲間たちと情報を共有した。ヤースラニ駅付近の「グ・ラハ・ティア」と話そう。			雷雲に覆われた地							
グ・ラハ・ティアと避雷針について話した。避雷針に近づき、ヤースラニ駅付近の「グ・ラハ・ティア」と再度話そう。			グ・ラハ・ティアと避雷針について話した。避雷針に近づき、ヤースラニ駅付近の「グ・ラハ・ティア」と再度話そう。			雷雲に覆われた地							
グ・ラハ・ティアと未知の技術について話した。ヘリテージファウンドのテッシャ・パニ廃村の「エレンヴィル」と話そう。			グ・ラハ・ティアと未知の技術について話した。ヘリテージファウンドのテッシャ・パニ廃村の「エレンヴィル」と話そう。			雷雲に覆われた地							
エレンヴィルたちと調査をしていると、スフェーンと名乗る女性が現れた。テッシャ・パニ廃村の「アリゼー」と話そう。			エレンヴィルたちと調査をしていると、スフェーンと名乗る女性が現れた。テッシャ・パニ廃村の「アリゼー」と話そう。			雷雲に覆われた地							
アリゼーはスフェーンを警戒しているようだ。彼女が信頼できる人物かどうか、慎重に見極める必要がありそうだ。			アリゼーはスフェーンを警戒しているようだ。彼女が信頼できる人物かどうか、慎重に見極める必要がありそうだ。			雷雲に覆われた地							
アリゼーと話す			アリゼーと話す			雷雲に覆われた地							
ウクラマトと話す			ウクラマトと話す			雷雲に覆われた地							
ヤースラニ駅で情報を集める			ヤースラニ駅で情報を集める			雷雲に覆われた地							
ウクラマトと話す			ウクラマトと話す			雷雲に覆われた地							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			雷雲に覆われた地							
グ・ラハ・ティアと再度話す			グ・ラハ・ティアと再度話す			雷雲に覆われた地							
エレンヴィルと話す			エレンヴィルと話す			雷雲に覆われた地							
アリゼーと話す			アリゼーと話す			雷雲に覆われた地							
ここがヤースラニ荒野……なの……？			ここがヤースラニ荒野……なの……？			雷雲に覆われた地							
外の荒野と環境が違いすぎる。まるで鏡像世界に転移したみたいな……だが、次元の壁を超えた感覚は……。			外の荒野と環境が違いすぎる。まるで鏡像世界に転移したみたいな……だが、次元の壁を超えた感覚は……。			雷雲に覆われた地							
天井がよく見えないけど、ここ、ドームの中で間違いないわよね……？			天井がよく見えないけど、ここ、ドームの中で間違いないわよね……？			雷雲に覆われた地							
くそっ、理解が追いつかねえ……！			くそっ、理解が追いつかねえ……！			雷雲に覆われた地							
いったいどうなってるんだ……。			いったいどうなってるんだ……。			雷雲に覆われた地							
……一応聞いておくけど、あの塔、ヤースラニ荒野にあったものなの？			……一応聞いておくけど、あの塔、ヤースラニ荒野にあったものなの？			雷雲に覆われた地							
いや、あんな代物は存在しなかった。塔だけじゃない、あの壁もそうだ……。			いや、あんな代物は存在しなかった。塔だけじゃない、あの壁もそうだ……。			雷雲に覆われた地							
あの素材は、明らかにトラル大陸のものじゃねぇ……。むしろ天深きセノーテで見た遺跡とか、機械仕掛けの兵士とかに近くねぇか？			あの素材は、明らかにトラル大陸のものじゃねぇ……。むしろ天深きセノーテで見た遺跡とか、機械仕掛けの兵士とかに近くねぇか？			雷雲に覆われた地							
でも、ドームが現れてからの短期間で、あれほど巨大な建造物を造れるとは思えないわ。			でも、ドームが現れてからの短期間で、あれほど巨大な建造物を造れるとは思えないわ。			雷雲に覆われた地							
だとすれば、もともと塔があったどこか遠い場所に、オレたちが転移してきたとか……？あるいは……			だとすれば、もともと塔があったどこか遠い場所に、オレたちが転移してきたとか……？あるいは……			雷雲に覆われた地							
……いや、推測ばかりしていても仕方ないか。何にせよ、もっと情報を得てからだな。			……いや、推測ばかりしていても仕方ないか。何にせよ、もっと情報を得てからだな。			雷雲に覆われた地							
そうね。とりあえず、用心しながら奥に進んでみましょう……！			そうね。とりあえず、用心しながら奥に進んでみましょう……！			雷雲に覆われた地							
ドーム内なのに、この天候……雷属性の力が濃すぎるわ……。			ドーム内なのに、この天候……雷属性の力が濃すぎるわ……。			雷雲に覆われた地							
周辺の地形には見覚えがある。たしかにヤースラニ荒野と同じなんだ……。			周辺の地形には見覚えがある。たしかにヤースラニ荒野と同じなんだ……。			雷雲に覆われた地							
ここまで住民らしき人には出会わなかったな……。			ここまで住民らしき人には出会わなかったな……。			雷雲に覆われた地							
やっぱり、なにか「不自然」だ……。			やっぱり、なにか「不自然」だ……。			雷雲に覆われた地							
あの丘の上に見える建物って……駅かしら……？線路が続いているし……。			あの丘の上に見える建物って……駅かしら……？線路が続いているし……。			雷雲に覆われた地							
……ヤースラニ駅！一番列車が停車して、乗客たちを降ろしたはずの場所だ！			……ヤースラニ駅！一番列車が停車して、乗客たちを降ろしたはずの場所だ！			雷雲に覆われた地							
行ってみましょう！誰かいるかもしれないわ！			行ってみましょう！誰かいるかもしれないわ！			雷雲に覆われた地							
このエーテライトは……トライヨラが設置したものに見えるわ……。			このエーテライトは……トライヨラが設置したものに見えるわ……。			雷雲に覆われた地							
朽ちてる……。まるで何十年も放置されたみたいに……。			朽ちてる……。まるで何十年も放置されたみたいに……。			雷雲に覆われた地							
見たこともないような巨大建造物があったかと思えば、今度は見覚えのある様式の鉄道駅か……。			見たこともないような巨大建造物があったかと思えば、今度は見覚えのある様式の鉄道駅か……。			雷雲に覆われた地							
青燐機関車用の給水塔、よね……？			青燐機関車用の給水塔、よね……？			雷雲に覆われた地							
なあ……入口の看板を見てくれよ。ヤースラニ駅のものだと思うんだけど……			なあ……入口の看板を見てくれよ。ヤースラニ駅のものだと思うんだけど……			雷雲に覆われた地							
なんだって、こんなにボロボロなんだ？			なんだって、こんなにボロボロなんだ？			雷雲に覆われた地							
わからねぇことだらけだ……。ひとまず、手分けして調べるしかねぇな……何かわかったことがあれば教えてくれ。			わからねぇことだらけだ……。ひとまず、手分けして調べるしかねぇな……何かわかったことがあれば教えてくれ。			雷雲に覆われた地							
こいつ……動かねぇぞ……？			こいつ……動かねぇぞ……？			雷雲に覆われた地							
列車の進行方向を変えるための転車台だ。錆びついていて動きそうにない……。			列車の進行方向を変えるための転車台だ。錆びついていて動きそうにない……。			雷雲に覆われた地							
敷かれた線路は錆びついている。しばらくメンテナンスはされていないようだ……。			敷かれた線路は錆びついている。しばらくメンテナンスはされていないようだ……。			雷雲に覆われた地							
家屋が朽ち果てている。住人が去ってから、かなりの年月が経過しているようだ。			家屋が朽ち果てている。住人が去ってから、かなりの年月が経過しているようだ。			雷雲に覆われた地							
なあ、Forename……。ちょっとこいつを見てもらえるか？			なあ、Forename……。ちょっとこいつを見てもらえるか？			雷雲に覆われた地							
トライヨラを襲った機械仕掛けの兵士を見つけたんだ。壊れてるのか、動く気配がねぇんだけどさ……。			トライヨラを襲った機械仕掛けの兵士を見つけたんだ。壊れてるのか、動く気配がねぇんだけどさ……。			雷雲に覆われた地							
ゾラージャが率いてた機械があるってことは、この場所に、奴の影響が及んでるのは確かだよな。駅としては使われてないみてぇだけどよ。			ゾラージャが率いてた機械があるってことは、この場所に、奴の影響が及んでるのは確かだよな。駅としては使われてないみてぇだけどよ。			雷雲に覆われた地							
みんなも気づいたことがあったら教えてくれ。			みんなも気づいたことがあったら教えてくれ。			雷雲に覆われた地							
転車台に線路……やっぱりここが、シャーローニ駅と通じていた、XTRR社のヤースラニ駅ということで、いいのよね……？			転車台に線路……やっぱりここが、シャーローニ駅と通じていた、XTRR社のヤースラニ駅ということで、いいのよね……？			雷雲に覆われた地							
少なくとも、ヤースラニ荒野であることは間違いない……。だが、Forenameも言っていたように、ここらの建物は、どこもかしこも朽ちている。			少なくとも、ヤースラニ荒野であることは間違いない……。だが、Forenameも言っていたように、ここらの建物は、どこもかしこも朽ちている。			雷雲に覆われた地							
つい1年前に開通したばかりの駅が、まるで、何十年も放置されたみたいにな……！			つい1年前に開通したばかりの駅が、まるで、何十年も放置されたみたいにな……！			雷雲に覆われた地							
つまり、ここは確かにヤースラニ荒野だけど……真新しかった駅舎が朽ち果てて、巨大な塔が建つほどに、時間がズレてる、っていうこと？			つまり、ここは確かにヤースラニ荒野だけど……真新しかった駅舎が朽ち果てて、巨大な塔が建つほどに、時間がズレてる、っていうこと？			雷雲に覆われた地							
時間が……ズレる……そんなことがあり得るのか……？			時間が……ズレる……そんなことがあり得るのか……？			雷雲に覆われた地							
オレたちは、以前にも時間のズレを経験したことがある。「鏡像世界」という場所に渡ったときだ。			オレたちは、以前にも時間のズレを経験したことがある。「鏡像世界」という場所に渡ったときだ。			雷雲に覆われた地							
信じられないかもしれないが、この世界はひとつじゃない……まるで鏡のように似て非なる世界が存在し、それをオレたちは鏡像世界と呼んでいるんだ。			信じられないかもしれないが、この世界はひとつじゃない……まるで鏡のように似て非なる世界が存在し、それをオレたちは鏡像世界と呼んでいるんだ。			雷雲に覆われた地							
世界を隔てる「次元の狭間」は、時と空間の狭間……時間の流れも不安定だから、数十年のズレくらい容易に起こり得る。			世界を隔てる「次元の狭間」は、時と空間の狭間……時間の流れも不安定だから、数十年のズレくらい容易に起こり得る。			雷雲に覆われた地							
でも、ここはヤースラニ荒野であって異界ではないのよね。つまり、次元の狭間を経過したわけではないのだから、やっぱり時間がズレるというのは、考えにくいわ……。			でも、ここはヤースラニ荒野であって異界ではないのよね。つまり、次元の狭間を経過したわけではないのだから、やっぱり時間がズレるというのは、考えにくいわ……。			雷雲に覆われた地							
な、なんだそれ……頭がこんがらがるなんてもんじゃねぇ……！			な、なんだそれ……頭がこんがらがるなんてもんじゃねぇ……！			雷雲に覆われた地							
とにかく、もっと調べてみないことにはって状況なんだよな？だとしたら……			とにかく、もっと調べてみないことにはって状況なんだよな？だとしたら……			雷雲に覆われた地							
エレンヴィル、お前の故郷って、たしかこの先にあったよな？			エレンヴィル、お前の故郷って、たしかこの先にあったよな？			雷雲に覆われた地							
おい、エレンヴィル……！			おい、エレンヴィル……！			雷雲に覆われた地							
はっ……！			はっ……！			雷雲に覆われた地							
……あ、ああ。俺の故郷はここから北西にある、小さな集落だ……。			……あ、ああ。俺の故郷はここから北西にある、小さな集落だ……。			雷雲に覆われた地							
……よし、みんなで行ってみよう。わからないことを、あれこれ議論してたって始まらねぇからな。			……よし、みんなで行ってみよう。わからないことを、あれこれ議論してたって始まらねぇからな。			雷雲に覆われた地							
(-？？？？-)ジジ……ジ……何かお困りですか？			(-？？？？-)ジジ……ジ……何かお困りですか？			雷雲に覆われた地							
うおっ！？な、なんだこいつ……急に喋りやがって！			うおっ！？な、なんだこいつ……急に喋りやがって！			雷雲に覆われた地							
うーん……襲ってくる様子はなさそうね。見た目は機械仕掛けの兵士そっくりだけど、妙に礼儀正しいし……魔法人形みたいなものかしら……？			うーん……襲ってくる様子はなさそうね。見た目は機械仕掛けの兵士そっくりだけど、妙に礼儀正しいし……魔法人形みたいなものかしら……？			雷雲に覆われた地							
ねえ、あなた会話できる？ここはどこなの？			ねえ、あなた会話できる？ここはどこなの？			雷雲に覆われた地							
(-機械仕掛けの人形-)ジジ……国民IDをスキャンできません。ただちに国民IDを提示してください。			(-機械仕掛けの人形-)ジジ……国民IDをスキャンできません。ただちに国民IDを提示してください。			雷雲に覆われた地							
(-機械仕掛けの人形-)国民IDをスキャンできません。ただちに……ただちに……ジジ……。			(-機械仕掛けの人形-)国民IDをスキャンできません。ただちに……ただちに……ジジ……。			雷雲に覆われた地							
何よこれ……やっぱ壊れてるの……？			何よこれ……やっぱ壊れてるの……？			雷雲に覆われた地							
な、なんだよ、気味悪いな……。とっととエレンヴィルの故郷に向かおうぜ……北西だったよな！？			な、なんだよ、気味悪いな……。とっととエレンヴィルの故郷に向かおうぜ……北西だったよな！？			雷雲に覆われた地							
……ん？あれは……避雷針か何かか？			……ん？あれは……避雷針か何かか？			雷雲に覆われた地							
なあ、少し付き合ってもらってもいいか？調べれば、わかることがあるかもしれない。			なあ、少し付き合ってもらってもいいか？調べれば、わかることがあるかもしれない。			雷雲に覆われた地							
やっぱり……。あっちに立ってる棒状の構造物を、しばらく眺めてみてくれ。そこめがけて雷が落ちてるんだ。			やっぱり……。あっちに立ってる棒状の構造物を、しばらく眺めてみてくれ。そこめがけて雷が落ちてるんだ。			雷雲に覆われた地							
あれは、避雷針のようなもので間違いなさそうだ。意図的に落雷を集めているように見える。			あれは、避雷針のようなもので間違いなさそうだ。意図的に落雷を集めているように見える。			雷雲に覆われた地							
……もう少し近づいて確認してみよう。			……もう少し近づいて確認してみよう。			雷雲に覆われた地							
この材質……恐らく、例の機械仕掛けの兵士や、飛空戦艦に使われていたものと同じだ……。			この材質……恐らく、例の機械仕掛けの兵士や、飛空戦艦に使われていたものと同じだ……。			雷雲に覆われた地							
よく見ると、細かい文様が描かれているな。これは装飾のためというよりも、もっと機能的な……そう魔法陣みたいなものに見える。			よく見ると、細かい文様が描かれているな。これは装飾のためというよりも、もっと機能的な……そう魔法陣みたいなものに見える。			雷雲に覆われた地							
雷からエネルギーを集める装置、といったところか。誰が造ったにせよ、かなり高度な技術だぞ。			雷からエネルギーを集める装置、といったところか。誰が造ったにせよ、かなり高度な技術だぞ。			雷雲に覆われた地							
……ここで得た情報は、ヤ・シュトラにも適宜共有しておくよ。ドーム内のエーテライトが機能してるなら、リンクパール通信も繋がるはずだ。			……ここで得た情報は、ヤ・シュトラにも適宜共有しておくよ。ドーム内のエーテライトが機能してるなら、リンクパール通信も繋がるはずだ。			雷雲に覆われた地							
付き合ってくれてありがとな。あまり遅れてもみんなを心配させるし、エレンヴィルが言っていた集落に向かうとしよう。			付き合ってくれてありがとな。あまり遅れてもみんなを心配させるし、エレンヴィルが言っていた集落に向かうとしよう。			雷雲に覆われた地							
どういう……ことだ……？			どういう……ことだ……？			雷雲に覆われた地							
ここが、エレンヴィルさんの故郷だそうなんだけれど……。			ここが、エレンヴィルさんの故郷だそうなんだけれど……。			雷雲に覆われた地							
エレンヴィル……。			エレンヴィル……。			雷雲に覆われた地							
……注意して進みましょう。			……注意して進みましょう。			雷雲に覆われた地							
人影はなし、か……。			人影はなし、か……。			雷雲に覆われた地							
わかってるとは思うけど……彼女のこと、簡単に信用しない方がいいでしょうね。			わかってるとは思うけど……彼女のこと、簡単に信用しない方がいいでしょうね。			雷雲に覆われた地							
突然現れた、理王を名乗る存在……偶然にしては出来すぎてるもの。			突然現れた、理王を名乗る存在……偶然にしては出来すぎてるもの。			雷雲に覆われた地							
シャーローニ駅のワーリカは、気合を入れているようだ。			シャーローニ駅のワーリカは、気合を入れているようだ。			ドーンブレイザー							
ワーリカと話した。シャーローニ駅付近の「指定地点」で、爆弾列車の改造が終わるまで待機しよう。			ワーリカと話した。シャーローニ駅付近の「指定地点」で、爆弾列車の改造が終わるまで待機しよう。			ドーンブレイザー							
爆弾列車の完成を待った。事態に備えよう。			爆弾列車の完成を待った。事態に備えよう。			ドーンブレイザー							
