潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
だが、その前に恩人殿に、礼の品を渡したい。いったん村に戻るから、一緒に来てくれ。			だが、その前に恩人殿に、礼の品を渡したい。いったん村に戻るから、一緒に来てくれ。			希望のイサリ							
おう、来てくれたか。持ち物も少ないもんで、旅支度もあっという間に終わったよ。			おう、来てくれたか。持ち物も少ないもんで、旅支度もあっという間に終わったよ。			希望のイサリ							
これで俺は村を去るが、最後にひとつだけ……。コルリに会ったら、達者でな、と伝えてくれ。それじゃ、礼の品を受けとってくれ。			これで俺は村を去るが、最後にひとつだけ……。コルリに会ったら、達者でな、と伝えてくれ。それじゃ、礼の品を受けとってくれ。			希望のイサリ							
(-漁師の叫び声-)コルリが溺れたぞ！！小屋の囲炉裏の火を起こせ！！			(-漁師の叫び声-)コルリが溺れたぞ！！小屋の囲炉裏の火を起こせ！！			希望のイサリ							
バカな、あの素潜り上手のコルリが！？小屋に運ばれたみたいだ……見にいこう！！			バカな、あの素潜り上手のコルリが！？小屋に運ばれたみたいだ……見にいこう！！			希望のイサリ							
ああ、ナヨシ……コルリが、コルリが……			ああ、ナヨシ……コルリが、コルリが……			希望のイサリ							
あのコルリちゃんが、溺れるだなんて……。			あのコルリちゃんが、溺れるだなんて……。			希望のイサリ							
本当に、コルリが溺れちまったらしい！今、この小屋で、手当を受けてるそうだ。			本当に、コルリが溺れちまったらしい！今、この小屋で、手当を受けてるそうだ。			希望のイサリ							
ああ、ナヨシ……コルリが、コルリが……。こんなことで溺れるはずないのに！！今日は、何だか心ここにあらずって感じで……。			ああ、ナヨシ……コルリが、コルリが……。こんなことで溺れるはずないのに！！今日は、何だか心ここにあらずって感じで……。			希望のイサリ							
なっ……まさかコルリが溺れたのは俺のせいか！？俺が村を出て行くなんて言ったから……。			なっ……まさかコルリが溺れたのは俺のせいか！？俺が村を出て行くなんて言ったから……。			希望のイサリ							
コルリの体温が上がらなくて、危ないらしいの！囲炉裏の火を強めたいんだけど、薪が足りなくって……ねえ、ナヨシ、どうしよう！？			コルリの体温が上がらなくて、危ないらしいの！囲炉裏の火を強めたいんだけど、薪が足りなくって……ねえ、ナヨシ、どうしよう！？			希望のイサリ							
と、と、とにかく燃やす物を集めよう！恩人殿も、何か燃やせる物があったら、出してくれ！			と、と、とにかく燃やす物を集めよう！恩人殿も、何か燃やせる物があったら、出してくれ！			希望のイサリ							
何を燃やす？			何を燃やす？			希望のイサリ							
ハリセンボムの脂			ハリセンボムの脂			希望のイサリ							
…………			…………			希望のイサリ							
はっ、確かに、あの魔物をぶち込んだら、燃えさしの樽が燃え盛った……！こいつは、使える……使えるぞ！！			はっ、確かに、あの魔物をぶち込んだら、燃えさしの樽が燃え盛った……！こいつは、使える……使えるぞ！！			希望のイサリ							
はっ、そうだハリセンボムがあるじゃないか！あれを燃えさしの樽の残骸にぶち込んだら、消えかけの種火が燃え盛った！！			はっ、そうだハリセンボムがあるじゃないか！あれを燃えさしの樽の残骸にぶち込んだら、消えかけの種火が燃え盛った！！			希望のイサリ							
燃料は俺に任せろ、心当たりがある。急いで用意するから、それまでなんとか持ちこたえさせろ！			燃料は俺に任せろ、心当たりがある。急いで用意するから、それまでなんとか持ちこたえさせろ！			希望のイサリ							
恩人殿、また助けてほしい！樽を燃やした場所で、俺がハリセンボムを釣り上げるから、そいつを倒して、「ハリセンボムの脂」を集めてくれ！			恩人殿、また助けてほしい！樽を燃やした場所で、俺がハリセンボムを釣り上げるから、そいつを倒して、「ハリセンボムの脂」を集めてくれ！			希望のイサリ							
コルリのことは、任せておいて……！だから、ふたりともお願いね……！！			コルリのことは、任せておいて……！だから、ふたりともお願いね……！！			希望のイサリ							
私も、火を起こせるものをかき集めておくよ。			私も、火を起こせるものをかき集めておくよ。			希望のイサリ							
おっしゃー、大急ぎで魔物を釣り上げるぜ！			おっしゃー、大急ぎで魔物を釣り上げるぜ！			希望のイサリ							
よし、ハリセンボムを釣り上げたぞ！恩人殿、退治して、脂を集めてくれ！！			よし、ハリセンボムを釣り上げたぞ！恩人殿、退治して、脂を集めてくれ！！			希望のイサリ							
やったぜ、恩人殿！急いで戻って、こいつを届けようぜ！			やったぜ、恩人殿！急いで戻って、こいつを届けようぜ！			希望のイサリ							
恩人殿！こいつに「ハリセンボムの脂」を渡してやってくれ。			恩人殿！こいつに「ハリセンボムの脂」を渡してやってくれ。			希望のイサリ							
コルリちゃんは、まだ目を覚まさないんだよ……。			コルリちゃんは、まだ目を覚まさないんだよ……。			希望のイサリ							
話は、ナヨシから聞いたわ。コルリが、危ない状況なの！早く、とっておきの燃料とやらを！！			話は、ナヨシから聞いたわ。コルリが、危ない状況なの！早く、とっておきの燃料とやらを！！			希望のイサリ							
うわ、予想以上にギットギト！この脂が燃えるのね？すぐに試してみるわ！			うわ、予想以上にギットギト！この脂が燃えるのね？すぐに試してみるわ！			希望のイサリ							
コルリが目を覚ましたわ！！			コルリが目を覚ましたわ！！			希望のイサリ							
コルリ、動いて大丈夫なのか！？			コルリ、動いて大丈夫なのか！？			希望のイサリ							
うん、心配かけてごめんなさい。恩人様、それからナヨシ、ありがとう。助かったのは、ふたりのおかげって聞いたわ。			うん、心配かけてごめんなさい。恩人様、それからナヨシ、ありがとう。助かったのは、ふたりのおかげって聞いたわ。			希望のイサリ							
ナヨシに雑念を捨てろって説教したくせに、このザマよ……。漁をしている間に、ナヨシが出てっちゃうかもって思ったら、心配で心配で……。			ナヨシに雑念を捨てろって説教したくせに、このザマよ……。漁をしている間に、ナヨシが出てっちゃうかもって思ったら、心配で心配で……。			希望のイサリ							
危険な目にあわせちまって、すまなかった。こっそり出ていくつもりだったけど、こうなったら仕方ない。			危険な目にあわせちまって、すまなかった。こっそり出ていくつもりだったけど、こうなったら仕方ない。			希望のイサリ							
コルリ、みんな、今まで迷惑ばかりかけてすまん。俺は村を出て、海のない地に行く……達者でな！			コルリ、みんな、今まで迷惑ばかりかけてすまん。俺は村を出て、海のない地に行く……達者でな！			希望のイサリ							
ならん、ならんぞ、ナヨシ。おまえは、この村でやるべきことがある。			ならん、ならんぞ、ナヨシ。おまえは、この村でやるべきことがある。			希望のイサリ							
でも、釣りひとつできない毎日なぞ耐えられない！			でも、釣りひとつできない毎日なぞ耐えられない！			希望のイサリ							
もちろん、ぞんぶんに釣りをしてもらうぞ。コルリを救った「ハリセンボムの脂」で魚油を作り、念願だった漁火漁(いさりびりょう)を再開するんじゃ！			もちろん、ぞんぶんに釣りをしてもらうぞ。コルリを救った「ハリセンボムの脂」で魚油を作り、念願だった漁火漁(いさりびりょう)を再開するんじゃ！			希望のイサリ							
漁火漁！？確かに、実現できれば漁獲量は一気に増えて、この村にも余裕ができるわ！			漁火漁！？確かに、実現できれば漁獲量は一気に増えて、この村にも余裕ができるわ！			希望のイサリ							
やったじゃない、ナヨシ！アンタにしかできない仕事だわ！			やったじゃない、ナヨシ！アンタにしかできない仕事だわ！			希望のイサリ							
だが……魔物は危険なんだぞ！？村が襲われでもしたらどうするんだ！？			だが……魔物は危険なんだぞ！？村が襲われでもしたらどうするんだ！？			希望のイサリ							
予め釣り上げるとわかっておれば、罠なり何なり考えて、どうにでもするわい！			予め釣り上げるとわかっておれば、罠なり何なり考えて、どうにでもするわい！			希望のイサリ							
そうじゃろう、皆の衆？			そうじゃろう、皆の衆？			希望のイサリ							
(-村人たち-)応ッ！！			(-村人たち-)応ッ！！			希望のイサリ							
じゃあ、俺は、この村で漁を続けられるのか……？			じゃあ、俺は、この村で漁を続けられるのか……？			希望のイサリ							
ほれ、さっさと荷をほどいて、釣り支度をせんかい！皆の衆にも、さっそく漁火漁にでてもらうぞい。			ほれ、さっさと荷をほどいて、釣り支度をせんかい！皆の衆にも、さっそく漁火漁にでてもらうぞい。			希望のイサリ							
やったーーー！！！よーし、腕を振るって、ハリセンボムを釣りまくってやる！！			やったーーー！！！よーし、腕を振るって、ハリセンボムを釣りまくってやる！！			希望のイサリ							
恩人殿……！恩人殿に出会ったおかげで、俺の願いがかなったぜ！ありがとうって言葉じゃ足りねえぐらい、感謝してるぞ。			恩人殿……！恩人殿に出会ったおかげで、俺の願いがかなったぜ！ありがとうって言葉じゃ足りねえぐらい、感謝してるぞ。			希望のイサリ							
これからは、釣り三昧の毎日で、漁火を焚き続けてやる！じゃあ、今度こそ礼の品を……。			これからは、釣り三昧の毎日で、漁火を焚き続けてやる！じゃあ、今度こそ礼の品を……。			希望のイサリ							
ちょっとナヨシ、早く漁に出なさいよ！恩人様には、私からしっかりお礼をしておくから、安心して。だって、恩人様は、私の恩人様でもあるんだから、ね？			ちょっとナヨシ、早く漁に出なさいよ！恩人様には、私からしっかりお礼をしておくから、安心して。だって、恩人様は、私の恩人様でもあるんだから、ね？			希望のイサリ							
コルリちゃんが無事でよかった……。しかも、漁火漁まで始められるなんて。ありがとうございます！			コルリちゃんが無事でよかった……。しかも、漁火漁まで始められるなんて。ありがとうございます！			希望のイサリ							
恩人様、私のために、ありがとうございました。そればかりでなく、ナヨシやこの村までも、助けていただき、本当に感謝してもしきれません。			恩人様、私のために、ありがとうございました。そればかりでなく、ナヨシやこの村までも、助けていただき、本当に感謝してもしきれません。			希望のイサリ							
私のために取ってきていただいた、「ハリセンボムの脂」の残りで、早速、漁火漁が始まりました！			私のために取ってきていただいた、「ハリセンボムの脂」の残りで、早速、漁火漁が始まりました！			希望のイサリ							
ナヨシも、漁火漁のために、念願の釣りにあけくれる生活に追われることでしょう。			ナヨシも、漁火漁のために、念願の釣りにあけくれる生活に追われることでしょう。			希望のイサリ							
私たちに今できる精一杯の礼を受け取ってください。いつか漁火漁で村が潤ったときには、また、改めてお礼をさせてくださいね！			私たちに今できる精一杯の礼を受け取ってください。いつか漁火漁で村が潤ったときには、また、改めてお礼をさせてくださいね！			希望のイサリ							
イサリ村のナヨシは、擬似餌を試そうとしているようだ。			イサリ村のナヨシは、擬似餌を試そうとしているようだ。			燃えさしは夢か魔物か							
ナヨシから、擬似餌を使った釣りの特訓への協力を依頼された。イサリ村の北東の崖にいる「ナヨシ」と合流しよう。			ナヨシから、擬似餌を使った釣りの特訓への協力を依頼された。イサリ村の北東の崖にいる「ナヨシ」と合流しよう。			燃えさしは夢か魔物か							
ナヨシと合流したところ、釣竿が擬似餌もろとも魚に奪われていた。イサリ村付近の海中にて「ナヨシの釣竿」を探そう。			ナヨシと合流したところ、釣竿が擬似餌もろとも魚に奪われていた。イサリ村付近の海中にて「ナヨシの釣竿」を探そう。			燃えさしは夢か魔物か							
ナヨシの釣竿を発見した。イサリ村の北東の崖にいる「ナヨシ」に「ナヨシの釣竿」を渡そう。			ナヨシの釣竿を発見した。イサリ村の北東の崖にいる「ナヨシ」に「ナヨシの釣竿」を渡そう。			燃えさしは夢か魔物か							
ナヨシにナヨシの釣竿を渡した。釣りを再開する準備を整えたら、「ナヨシ」と話し、魔物を釣り上げられた場合は、討伐して死骸を入手しよう。			ナヨシにナヨシの釣竿を渡した。釣りを再開する準備を整えたら、「ナヨシ」と話し、魔物を釣り上げられた場合は、討伐して死骸を入手しよう。			燃えさしは夢か魔物か							
釣られたハリセンボムを討伐して、ハリセンボムの死骸を手に入れた。魔物を釣り上げた「ナヨシ」と話そう。			釣られたハリセンボムを討伐して、ハリセンボムの死骸を手に入れた。魔物を釣り上げた「ナヨシ」と話そう。			燃えさしは夢か魔物か							
ナヨシと話した。コルリに指示されたとおり、壊れた樽を燃やそうとしたが燃えなかった。「樽の残骸」に、「ハリセンボムの死骸」を置こう。			ナヨシと話した。コルリに指示されたとおり、壊れた樽を燃やそうとしたが燃えなかった。「樽の残骸」に、「ハリセンボムの死骸」を置こう。			燃えさしは夢か魔物か							
樽の残骸にハリセンボムの死骸を置いたところ、消えかけていた火が勢いよく燃え上がった。ナヨシと話そう。			樽の残骸にハリセンボムの死骸を置いたところ、消えかけていた火が勢いよく燃え上がった。ナヨシと話そう。			燃えさしは夢か魔物か							
ナヨシと話した。火が強まったのは、ハリセンボムの脂のせいだったようだ。樽とともに、ナヨシの夢も燃え尽きたようで、彼はイサリ村を出ていくと宣言した。それを引き留めたいコルリは、後ろ髪を引かれる思いで漁に出た。果たしてナヨシは、新しい道を切り開くことができるのだろうか……。			ナヨシと話した。火が強まったのは、ハリセンボムの脂のせいだったようだ。樽とともに、ナヨシの夢も燃え尽きたようで、彼はイサリ村を出ていくと宣言した。それを引き留めたいコルリは、後ろ髪を引かれる思いで漁に出た。果たしてナヨシは、新しい道を切り開くことができるのだろうか……。			燃えさしは夢か魔物か							
ナヨシと話す			ナヨシと話す			燃えさしは夢か魔物か							
海中でナヨシの釣竿を探す			海中でナヨシの釣竿を探す			燃えさしは夢か魔物か							
ナヨシにナヨシの釣竿を渡す			ナヨシにナヨシの釣竿を渡す			燃えさしは夢か魔物か							
ナヨシと話し、魔物が現れたら討伐して死骸を入手			ナヨシと話し、魔物が現れたら討伐して死骸を入手			燃えさしは夢か魔物か							
ナヨシと話す			ナヨシと話す			燃えさしは夢か魔物か							
樽の残骸にハリセンボムの死骸を使う			樽の残骸にハリセンボムの死骸を使う			燃えさしは夢か魔物か							
ナヨシと話す			ナヨシと話す			燃えさしは夢か魔物か							
口うるさいコルリに、水を差されちまったが……さっそく、譲り受けた擬似餌で漁をしてみよう。……例によって、恩人殿も立ち会ってくれるよな？			口うるさいコルリに、水を差されちまったが……さっそく、譲り受けた擬似餌で漁をしてみよう。……例によって、恩人殿も立ち会ってくれるよな？			燃えさしは夢か魔物か							
ありがとう、恩に着るぜ。魔物を釣り上げちまったときは、よろしく頼む。今度は、村の対岸で釣ってみるつもりだ、行こう！			ありがとう、恩に着るぜ。魔物を釣り上げちまったときは、よろしく頼む。今度は、村の対岸で釣ってみるつもりだ、行こう！			燃えさしは夢か魔物か							
恩人殿、聞いてくれ！擬似餌を軽く試してみたら、大物のアタリが来たんだ！			恩人殿、聞いてくれ！擬似餌を軽く試してみたら、大物のアタリが来たんだ！			燃えさしは夢か魔物か							
かなり、長いこと競り合ってよ……。見てのとおり、釣り上げた魚を入れるための樽を、蹴飛ばしちまうほど激しかったんだ……。			かなり、長いこと競り合ってよ……。見てのとおり、釣り上げた魚を入れるための樽を、蹴飛ばしちまうほど激しかったんだ……。			燃えさしは夢か魔物か							
だが、結局、競り負けて釣竿ごと持っていかれちまってよ……。海の中を探せば、見つかるかもしれないが……。			だが、結局、競り負けて釣竿ごと持っていかれちまってよ……。海の中を探せば、見つかるかもしれないが……。			燃えさしは夢か魔物か							
素潜りができるコルリに頼むか……。いや、アイツは俺が漁をすることに反対だから、たとえ見つけても、持ってきてくれないだろうしな……。			素潜りができるコルリに頼むか……。いや、アイツは俺が漁をすることに反対だから、たとえ見つけても、持ってきてくれないだろうしな……。			燃えさしは夢か魔物か							
とはいえ俺じゃ、泳ぎはともかく息が続かない……。なあ恩人殿は、潜水はできるか？			とはいえ俺じゃ、泳ぎはともかく息が続かない……。なあ恩人殿は、潜水はできるか？			燃えさしは夢か魔物か							
なんと、恩人殿は潜水までできるのか！？す、すまないが、ひと潜りして釣竿を探してきてくれ！			なんと、恩人殿は潜水までできるのか！？す、すまないが、ひと潜りして釣竿を探してきてくれ！			燃えさしは夢か魔物か							
恩人殿、頼んだぞ。ここで漁を諦めたくないんだ……！			恩人殿、頼んだぞ。ここで漁を諦めたくないんだ……！			燃えさしは夢か魔物か							
恩人殿……釣竿は見つかったか！？			恩人殿……釣竿は見つかったか！？			燃えさしは夢か魔物か							
はあ～なんと礼を言ったらいいのやら！？これで釣りを諦めずに済むぞ、本当にありがとう！			はあ～なんと礼を言ったらいいのやら！？これで釣りを諦めずに済むぞ、本当にありがとう！			燃えさしは夢か魔物か							
早速、特訓の再開だ！！今度こそ、大物を釣り上げてみせるぜ！恩人殿の心の準備ができたら、声をかけてくれ。			早速、特訓の再開だ！！今度こそ、大物を釣り上げてみせるぜ！恩人殿の心の準備ができたら、声をかけてくれ。			燃えさしは夢か魔物か							
もしも……もしも、また魔物を釣り上げちまったら、擬似餌を飲み込まれちまってるかもしれない。だから、倒した魔物の死骸を預かっていてくれ。			もしも……もしも、また魔物を釣り上げちまったら、擬似餌を飲み込まれちまってるかもしれない。だから、倒した魔物の死骸を預かっていてくれ。			燃えさしは夢か魔物か							
でも、大物を釣り上げたら、受け止めてくれよな！よーし、今度こそ、大物を釣り上げるぞ！ソレッ！！			でも、大物を釣り上げたら、受け止めてくれよな！よーし、今度こそ、大物を釣り上げるぞ！ソレッ！！			燃えさしは夢か魔物か							
くっ……大物は大物でも、やっぱり魔物……。しかも、なんだが妙にギトギトしてやがる……！恩人殿、頼ってばかりで、すまねえ……。			くっ……大物は大物でも、やっぱり魔物……。しかも、なんだが妙にギトギトしてやがる……！恩人殿、頼ってばかりで、すまねえ……。			燃えさしは夢か魔物か							
はあ……これが最後の希望だったのに……。擬似餌は飲み込まれずにすんだけど、2回も試して、2回ともダメってことは、もう……。			はあ……これが最後の希望だったのに……。擬似餌は飲み込まれずにすんだけど、2回も試して、2回ともダメってことは、もう……。			燃えさしは夢か魔物か							
(-怒った女の声-)こぉ～らぁ～ナヨシ～！！また、魔物を釣り上げたのね！？			(-怒った女の声-)こぉ～らぁ～ナヨシ～！！また、魔物を釣り上げたのね！？			燃えさしは夢か魔物か							
倒してもらえたのはよかったけど、ちゃんと片付けなさいよ？腐敗が進めば、臭いにつられて、どんな魔物や獣が寄ってくるか、わかったもんじゃないんだから……。			倒してもらえたのはよかったけど、ちゃんと片付けなさいよ？腐敗が進めば、臭いにつられて、どんな魔物や獣が寄ってくるか、わかったもんじゃないんだから……。			燃えさしは夢か魔物か							
わかったよ、全部焼き尽くしてやる！魔物も……夢も、何もかも……！			わかったよ、全部焼き尽くしてやる！魔物も……夢も、何もかも……！			燃えさしは夢か魔物か							
え、燃やすって、油もないのにどうやって？釣ったばかりの濡れた魔物に、火はつかないでしょ？			え、燃やすって、油もないのにどうやって？釣ったばかりの濡れた魔物に、火はつかないでしょ？			燃えさしは夢か魔物か							
釣果を入れるつもりだったけど、壊れちまった、この樽に火をつけるのさ。			釣果を入れるつもりだったけど、壊れちまった、この樽に火をつけるのさ。			燃えさしは夢か魔物か							
あのねぇ……ついさっきまで水を張ってた樽が、そう簡単に燃えるわけないでしょ？もう種火が消えかけてるじゃない……。			あのねぇ……ついさっきまで水を張ってた樽が、そう簡単に燃えるわけないでしょ？もう種火が消えかけてるじゃない……。			燃えさしは夢か魔物か							
くそっ、じゃあ村のたき火を持ってくるよ！！			くそっ、じゃあ村のたき火を持ってくるよ！！			燃えさしは夢か魔物か							
その前に、恩人殿！！さっき討伐してくれた、ギットギトの魔物を、この燃えさしの樽の残骸に叩きつけてくれ！！			その前に、恩人殿！！さっき討伐してくれた、ギットギトの魔物を、この燃えさしの樽の残骸に叩きつけてくれ！！			燃えさしは夢か魔物か							
魔物なら、村のたき火で処分してやるさ……。その前に、恩人殿が討伐してくれたギットギトの魔物を、この燃えさしの樽の残骸に叩きつけてくれ！！			魔物なら、村のたき火で処分してやるさ……。その前に、恩人殿が討伐してくれたギットギトの魔物を、この燃えさしの樽の残骸に叩きつけてくれ！！			燃えさしは夢か魔物か							
まったくナヨシったら、カッカッしちゃって……。それにしても、その魔物……本当にギットギトね。			まったくナヨシったら、カッカッしちゃって……。それにしても、その魔物……本当にギットギトね。			燃えさしは夢か魔物か							
どういうこと！？消えかけていた樽の種火が燃え上がるなんて……！			どういうこと！？消えかけていた樽の種火が燃え上がるなんて……！			燃えさしは夢か魔物か							
うわわわわ！？消えかけてた樽の火が燃え上がりやがった！？			うわわわわ！？消えかけてた樽の火が燃え上がりやがった！？			燃えさしは夢か魔物か							
それにしても、すごい燃えっぷり……。あっという間に、樽も魔物も黒焦げじゃない……。妙にギットギトだと思ったら、脂だったのね。			それにしても、すごい燃えっぷり……。あっという間に、樽も魔物も黒焦げじゃない……。妙にギットギトだと思ったら、脂だったのね。			燃えさしは夢か魔物か							
へっ、これで、跡形もなく燃え尽きそうだな。魔物も……俺の夢も……。			へっ、これで、跡形もなく燃え尽きそうだな。魔物も……俺の夢も……。			燃えさしは夢か魔物か							
コルリ、今まで迷惑かけてすまない。俺は、金輪際、釣りをやめて、村を出ていく！			コルリ、今まで迷惑かけてすまない。俺は、金輪際、釣りをやめて、村を出ていく！			燃えさしは夢か魔物か							
ちょっと待って、釣りをやめるのはいいとして、イサリ村から出ていくって、どういうこと！？逃げ出すつもりなの！？			ちょっと待って、釣りをやめるのはいいとして、イサリ村から出ていくって、どういうこと！？逃げ出すつもりなの！？			燃えさしは夢か魔物か							
俺は、海が好きで、魚が好きだ！！だから、村の誰にも負けない立派な漁師になりたかった……。でも、俺にはその才能がないらしい。			俺は、海が好きで、魚が好きだ！！だから、村の誰にも負けない立派な漁師になりたかった……。でも、俺にはその才能がないらしい。			燃えさしは夢か魔物か							
船大工として村に残っても、漁にも出れず、毎日、海と向き合うだけだなんて、俺は耐えられない。だから、いっそ海が見えない山間の村にでも移り住むさ。			船大工として村に残っても、漁にも出れず、毎日、海と向き合うだけだなんて、俺は耐えられない。だから、いっそ海が見えない山間の村にでも移り住むさ。			燃えさしは夢か魔物か							
落ち着いて考えなさいよ！よく考えれば、もっといい解決法があるはずよ！？			落ち着いて考えなさいよ！よく考えれば、もっといい解決法があるはずよ！？			燃えさしは夢か魔物か							
ああ……もう、漁に出なきゃいけない時間だわ。私が戻ったら、また一緒に考えましょ？それまで、いつもの場所で待ってなさいよ！！			ああ……もう、漁に出なきゃいけない時間だわ。私が戻ったら、また一緒に考えましょ？それまで、いつもの場所で待ってなさいよ！！			燃えさしは夢か魔物か							
イサリ村のナヨシは、頼みたいことがあるようだ。			イサリ村のナヨシは、頼みたいことがあるようだ。			釣りあげるは夢か魔物か							
ナヨシから、釣りの特訓に同行するよう依頼された。イサリ村の「ナヨシ」と合流して、魔物が釣り上げられた場合は、討伐しよう。			ナヨシから、釣りの特訓に同行するよう依頼された。イサリ村の「ナヨシ」と合流して、魔物が釣り上げられた場合は、討伐しよう。			釣りあげるは夢か魔物か							
ナヨシが釣り上げた魔物を討伐した。魔物に怯える「ナヨシ」を救助しよう。			ナヨシが釣り上げた魔物を討伐した。魔物に怯える「ナヨシ」を救助しよう。			釣りあげるは夢か魔物か							
魔物に怯えるナヨシを救助した。イサリ村の「ナヨシ」と話して、魔物が釣り上げられた場合は、討伐しよう。			魔物に怯えるナヨシを救助した。イサリ村の「ナヨシ」と話して、魔物が釣り上げられた場合は、討伐しよう。			釣りあげるは夢か魔物か							
ナヨシが釣り上げた魔物を討伐した。再び魔物を釣り上げた「ナヨシ」と話そう。			ナヨシが釣り上げた魔物を討伐した。再び魔物を釣り上げた「ナヨシ」と話そう。			釣りあげるは夢か魔物か							
ナヨシと話して、村人から釣りのコツを聞き出すことになった。イサリ村のナヨシが選んだ「漁師」と話そう。			ナヨシと話して、村人から釣りのコツを聞き出すことになった。イサリ村のナヨシが選んだ「漁師」と話そう。			釣りあげるは夢か魔物か							
熟練の老漁師から、釣りのコツを聞き出した。新たな釣りのコツを聞き出すため、イサリ村のナヨシが選んだ「漁師」と話そう。			熟練の老漁師から、釣りのコツを聞き出した。新たな釣りのコツを聞き出すため、イサリ村のナヨシが選んだ「漁師」と話そう。			釣りあげるは夢か魔物か							
器用そうな漁師と話して、木彫りの擬似餌を譲られた。イサリ村の「ナヨシ」に「木彫りの擬似餌」を渡そう。			器用そうな漁師と話して、木彫りの擬似餌を譲られた。イサリ村の「ナヨシ」に「木彫りの擬似餌」を渡そう。			釣りあげるは夢か魔物か							
ナヨシとさらに話したところ、コルリから、ナヨシは雑念にとらわれ過ぎているせいで釣りがうまくいかないのだと、指摘された。果たして、ナヨシは、今回学んだ様々なコツを生かして魚を釣れるようになるだろうか……。			ナヨシとさらに話したところ、コルリから、ナヨシは雑念にとらわれ過ぎているせいで釣りがうまくいかないのだと、指摘された。果たして、ナヨシは、今回学んだ様々なコツを生かして魚を釣れるようになるだろうか……。			釣りあげるは夢か魔物か							
ナヨシと合流			ナヨシと合流			釣りあげるは夢か魔物か							
ナヨシを救助			ナヨシを救助			釣りあげるは夢か魔物か							
ナヨシと話して魔物が現れたら討伐			ナヨシと話して魔物が現れたら討伐			釣りあげるは夢か魔物か							
ナヨシと話す			ナヨシと話す			釣りあげるは夢か魔物か							
漁師と話す			漁師と話す			釣りあげるは夢か魔物か							
次の漁師と話す			次の漁師と話す			釣りあげるは夢か魔物か							
ナヨシに木彫りの擬似餌を渡す			ナヨシに木彫りの擬似餌を渡す			釣りあげるは夢か魔物か							
特訓に付き合ってくれるのか、ありがたい、感謝するぜ！俺が釣りをして、魔物を釣り上げちまったときには、片っ端から倒してくれ。			特訓に付き合ってくれるのか、ありがたい、感謝するぜ！俺が釣りをして、魔物を釣り上げちまったときには、片っ端から倒してくれ。			釣りあげるは夢か魔物か							
人目は避けたいし、村を危険に巻き込みたくないから、さらに村から離れたところで特訓するつもりだ。村の北側の浜辺に来てくれ。			人目は避けたいし、村を危険に巻き込みたくないから、さらに村から離れたところで特訓するつもりだ。村の北側の浜辺に来てくれ。			釣りあげるは夢か魔物か							
恩人殿、来てくれたか！試しに釣り糸を垂らしてみただけで、このザマだ！すまねえが、魔物を片付けてくれぃ！			恩人殿、来てくれたか！試しに釣り糸を垂らしてみただけで、このザマだ！すまねえが、魔物を片付けてくれぃ！			釣りあげるは夢か魔物か							
ひゃ～、また助けてもらっちまったな、ありがとう。き、きっと釣り場が悪かったにちがいない、うん。			ひゃ～、また助けてもらっちまったな、ありがとう。き、きっと釣り場が悪かったにちがいない、うん。			釣りあげるは夢か魔物か							
今度は南の浜で、心機一転もう一度、釣ってみる。今度こそ恩人殿が来るまで待ってるから、すぐ来てくれよ。			今度は南の浜で、心機一転もう一度、釣ってみる。今度こそ恩人殿が来るまで待ってるから、すぐ来てくれよ。			釣りあげるは夢か魔物か							
おお、来てくれたか。そんじゃ、早速、釣り糸を垂らしてみるぞ！			おお、来てくれたか。そんじゃ、早速、釣り糸を垂らしてみるぞ！			釣りあげるは夢か魔物か							
くそっ、くそっ……また、魔物か……。恩人殿、何度も手間掛けちまって申し訳ねえ……。			くそっ、くそっ……また、魔物か……。恩人殿、何度も手間掛けちまって申し訳ねえ……。			釣りあげるは夢か魔物か							
ああああ、場所を変えても、魔物しか釣れねえ！なあ、恩人殿、俺はどうしたらいいんだ！？			ああああ、場所を変えても、魔物しか釣れねえ！なあ、恩人殿、俺はどうしたらいいんだ！？			釣りあげるは夢か魔物か							
どんな助言をする？			どんな助言をする？			釣りあげるは夢か魔物か							
ほかの村人に教えを乞え			ほかの村人に教えを乞え			釣りあげるは夢か魔物か							
コルリに教えを乞え			コルリに教えを乞え			釣りあげるは夢か魔物か							
…………			…………			釣りあげるは夢か魔物か							
確かに、ひとりで試行錯誤しても、壁を越えられそうにないな。ここは、素直に、ほかの村人に教えを乞うてみよう。ただ、ひとつ問題があるんだ……。			確かに、ひとりで試行錯誤しても、壁を越えられそうにないな。ここは、素直に、ほかの村人に教えを乞うてみよう。ただ、ひとつ問題があるんだ……。			釣りあげるは夢か魔物か							
コルリは確かに、漁の腕前は村いちばんだ。だが、あいつが得意なのは銛を手にした素潜り漁……一本釣りを極めようとしてる、俺とは違う。			コルリは確かに、漁の腕前は村いちばんだ。だが、あいつが得意なのは銛を手にした素潜り漁……一本釣りを極めようとしてる、俺とは違う。			釣りあげるは夢か魔物か							
となると、ここは、やっぱり意地を張らずに、ほかの村人に教えを乞うしかないか……。ただ、ひとつ問題があるんだ……。			となると、ここは、やっぱり意地を張らずに、ほかの村人に教えを乞うしかないか……。ただ、ひとつ問題があるんだ……。			釣りあげるは夢か魔物か							
