赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
Forename殿、ご苦労だったのう。事の次第は、ハンサクから聞いたが、いやはや何から何まで、かたじけない……。			Forename殿、ご苦労だったのう。事の次第は、ハンサクから聞いたが、いやはや何から何まで、かたじけない……。			勘定方の新天地							
おお、これはまた立派なヒレじゃ！おかげで、キキモ殿の期待を上回る品を納められよう。			おお、これはまた立派なヒレじゃ！おかげで、キキモ殿の期待を上回る品を納められよう。			勘定方の新天地							
それでは、集めた品々を手土産代わりに、キキモ殿との打ち合わせを、お膳立てするとしようかの。押収品の受け渡し方法などを、詰めてしまわねばならん。			それでは、集めた品々を手土産代わりに、キキモ殿との打ち合わせを、お膳立てするとしようかの。押収品の受け渡し方法などを、詰めてしまわねばならん。			勘定方の新天地							
それじゃあ、アタシは押収品を、船に運び入れる準備をしておくよ。			それじゃあ、アタシは押収品を、船に運び入れる準備をしておくよ。			勘定方の新天地							
おおスズメよ、気が利くな、頼んだぞ。			おおスズメよ、気が利くな、頼んだぞ。			勘定方の新天地							
……だが、やはり少し元気がないようじゃ……。スズメに、いったい何があったんじゃ……？			……だが、やはり少し元気がないようじゃ……。スズメに、いったい何があったんじゃ……？			勘定方の新天地							
姉さん、珍しく、真珠の調達にも手こずってたようですぜ。ところで親分、海賊衆はクガネには行けないってのに、どうやってキキモ殿と打ち合わせをするんで？			姉さん、珍しく、真珠の調達にも手こずってたようですぜ。ところで親分、海賊衆はクガネには行けないってのに、どうやってキキモ殿と打ち合わせをするんで？			勘定方の新天地							
サカズキ島のツキカゲは、心配事があるようだ。			サカズキ島のツキカゲは、心配事があるようだ。			大シケ勘定方							
ツキカゲは、スズメがハンサクに仇討するつもりだと予想している。紅玉海のサカズキ島にいる「スズメ」と話し、仇討を止めよう。			ツキカゲは、スズメがハンサクに仇討するつもりだと予想している。紅玉海のサカズキ島にいる「スズメ」と話し、仇討を止めよう。			大シケ勘定方							
スズメと話して、仇討を思いとどまらせた。取引場所の安全を確保するため、サカズキ島の「指定地点」で見渡そう。			スズメと話して、仇討を思いとどまらせた。取引場所の安全を確保するため、サカズキ島の「指定地点」で見渡そう。			大シケ勘定方							
指定地点の安全を確認した。サカズキ島の北にいる「スズメ」と合流しよう。			指定地点の安全を確認した。サカズキ島の北にいる「スズメ」と合流しよう。			大シケ勘定方							
スズメを襲う魔物を討伐した。サカズキ島の北にいる「スズメ」を救助しよう。			スズメを襲う魔物を討伐した。サカズキ島の北にいる「スズメ」を救助しよう。			大シケ勘定方							
スズメを救助し、キキモへの荷の引き渡しも無事に終わりそうだ。紅玉海の筋違砦にいる「ツキカゲ」と話そう。			スズメを救助し、キキモへの荷の引き渡しも無事に終わりそうだ。紅玉海の筋違砦にいる「ツキカゲ」と話そう。			大シケ勘定方							
ツキカゲと話した。冒険者の協力によって、海賊衆の財政難は解決の方向に向かう兆しが見えた。勘定方の海賊衆の絆も深まり、海賊衆はさらなる活躍をみせることだろう。			ツキカゲと話した。冒険者の協力によって、海賊衆の財政難は解決の方向に向かう兆しが見えた。勘定方の海賊衆の絆も深まり、海賊衆はさらなる活躍をみせることだろう。			大シケ勘定方							
サカズキ島のスズメと話す			サカズキ島のスズメと話す			大シケ勘定方							
指定地点で見渡す			指定地点で見渡す			大シケ勘定方							
スズメと合流			スズメと合流			大シケ勘定方							
スズメを救助			スズメを救助			大シケ勘定方							
筋違砦のツキカゲと話す			筋違砦のツキカゲと話す			大シケ勘定方							
スズメは、ハンサクに仇討するために、取引場所の安全確保に向かったのやもしれん……！			スズメは、ハンサクに仇討するために、取引場所の安全確保に向かったのやもしれん……！			大シケ勘定方							
海賊衆は、様々な過去を背負った者たちの集団じゃ。ゆえに、ひとたび海賊衆に入ったのであれば過去を捨て、たとえ親の仇と言えど、身内同士の私闘は禁止じゃ。			海賊衆は、様々な過去を背負った者たちの集団じゃ。ゆえに、ひとたび海賊衆に入ったのであれば過去を捨て、たとえ親の仇と言えど、身内同士の私闘は禁止じゃ。			大シケ勘定方							
スズメめ……海賊衆をも捨てる覚悟か！？何とかして、ふたりを護らねば！！			スズメめ……海賊衆をも捨てる覚悟か！？何とかして、ふたりを護らねば！！			大シケ勘定方							
だが、そろそろ船を出港させねば、取引に間に合わん。船はわしが指揮せにゃならんが、取引場所につくころには、スズメが仇討を果たしてしまう！			だが、そろそろ船を出港させねば、取引に間に合わん。船はわしが指揮せにゃならんが、取引場所につくころには、スズメが仇討を果たしてしまう！			大シケ勘定方							
Forename殿、急ぎハンサクのもとへ向かい、スズメを止めてくれ！			Forename殿、急ぎハンサクのもとへ向かい、スズメを止めてくれ！			大シケ勘定方							
Forename殿、急ぎハンサクのもとへ向かい、スズメを止めてくれ！			Forename殿、急ぎハンサクのもとへ向かい、スズメを止めてくれ！			大シケ勘定方							
スズメさんが、昔の仲間たちが襲った村の出だったなんて……。オレは……オレは……。			スズメさんが、昔の仲間たちが襲った村の出だったなんて……。オレは……オレは……。			大シケ勘定方							
Forename殿、止めてくれるな！でないと、貴方にも刃を向けることになっちまう！誰も、アタシの仇討の邪魔はさせないよ！			Forename殿、止めてくれるな！でないと、貴方にも刃を向けることになっちまう！誰も、アタシの仇討の邪魔はさせないよ！			大シケ勘定方							
スズメに何と言う？			スズメに何と言う？			大シケ勘定方							
海賊衆どうしの仇討は禁止だ			海賊衆どうしの仇討は禁止だ			大シケ勘定方							
海賊衆入りしたときに、過去は捨てたはず			海賊衆入りしたときに、過去は捨てたはず			大シケ勘定方							
海賊衆同士の仇討が禁じられてるのはわかってる！でも、頑固者の父ちゃんも、優しかった母ちゃんも……。こいつらのせいで、こいつらのせいで……！			海賊衆同士の仇討が禁じられてるのはわかってる！でも、頑固者の父ちゃんも、優しかった母ちゃんも……。こいつらのせいで、こいつらのせいで……！			大シケ勘定方							
そう簡単に、捨てられるものかよ！？頑固者の父ちゃんも、優しかった母ちゃんも……こいつらのせいで、こいつらのせいで……！			そう簡単に、捨てられるものかよ！？頑固者の父ちゃんも、優しかった母ちゃんも……こいつらのせいで、こいつらのせいで……！			大シケ勘定方							
仇討しなきゃ、気が済まない！あの世の両親に顔向けができないじゃないか！			仇討しなきゃ、気が済まない！あの世の両親に顔向けができないじゃないか！			大シケ勘定方							
(-響き渡る声-)この、大うつけがぁ！！海賊衆を抜けるんは、船に乗れなくなったときのみじゃ！			(-響き渡る声-)この、大うつけがぁ！！海賊衆を抜けるんは、船に乗れなくなったときのみじゃ！			大シケ勘定方							
海賊衆は、みな家族！その家族に手をかけたもんは、例外なく死罪じゃ！うぬに、その覚悟はあるんじゃろな！？			海賊衆は、みな家族！その家族に手をかけたもんは、例外なく死罪じゃ！うぬに、その覚悟はあるんじゃろな！？			大シケ勘定方							
もちろんです……！そのつもりで、ここに来ました……！！			もちろんです……！そのつもりで、ここに来ました……！！			大シケ勘定方							
フン、そこまで言うなら、承知した。スズメの納得いくようにすればいい。だが、落とし前をつけるのは、キキモ殿との取引の後にせい！			フン、そこまで言うなら、承知した。スズメの納得いくようにすればいい。だが、落とし前をつけるのは、キキモ殿との取引の後にせい！			大シケ勘定方							
この取引には、海賊衆すべての未来がかかっとる！うぬの手前勝手な理由で、海賊衆を総崩れにさせるつもりか！？			この取引には、海賊衆すべての未来がかかっとる！うぬの手前勝手な理由で、海賊衆を総崩れにさせるつもりか！？			大シケ勘定方							
う……世話になったみなに、迷惑をかけるわけには……。取引が終わるまでは、しかと役目を果たします……。			う……世話になったみなに、迷惑をかけるわけには……。取引が終わるまでは、しかと役目を果たします……。			大シケ勘定方							
よし、ならば、さっさと取引場所周辺の安全を確保せい！いけ、スズメ、ハンサク！！			よし、ならば、さっさと取引場所周辺の安全を確保せい！いけ、スズメ、ハンサク！！			大シケ勘定方							
(-スズメとハンサク-)合点承知！！			(-スズメとハンサク-)合点承知！！			大シケ勘定方							
スズメ、抜け駆けは許さんぞ！！すべてが終わるまで、ハンサクへの手出しは一切厳禁じゃ！			スズメ、抜け駆けは許さんぞ！！すべてが終わるまで、ハンサクへの手出しは一切厳禁じゃ！			大シケ勘定方							
も、もちろんです！			も、もちろんです！			大シケ勘定方							
ふぅ……間一髪間に合ったな。Forename殿が、スズメを止めてくれたおかげじゃ、かたじけない！			ふぅ……間一髪間に合ったな。Forename殿が、スズメを止めてくれたおかげじゃ、かたじけない！			大シケ勘定方							
わしは積荷の見張りに戻るが、予断は許さん状況じゃ。Forename殿も、島の北側で辺りを見回し、安全を確認してくれ。			わしは積荷の見張りに戻るが、予断は許さん状況じゃ。Forename殿も、島の北側で辺りを見回し、安全を確認してくれ。			大シケ勘定方							
それが済んだら、スズメの様子も見てやってほしい。よろしく頼んだぞ。			それが済んだら、スズメの様子も見てやってほしい。よろしく頼んだぞ。			大シケ勘定方							
お前さんは、島の北側の安全を確認してくれ。それが済んだら、スズメの様子も見てやってほしい。よろしく頼んだぞ。			お前さんは、島の北側の安全を確認してくれ。それが済んだら、スズメの様子も見てやってほしい。よろしく頼んだぞ。			大シケ勘定方							
ちくしょー、ちくしょー！魔物もハンサクも、みんな仕留めてやる！			ちくしょー、ちくしょー！魔物もハンサクも、みんな仕留めてやる！			大シケ勘定方							
この付近には、魔物がいないようだ。スズメの様子を確認しよう。			この付近には、魔物がいないようだ。スズメの様子を確認しよう。			大シケ勘定方							
Forename殿……ハンサクが駆けつけてくれたが、ふたりしてこのザマだ。まだ魔物が残ってる……ブッ倒してくれ……。			Forename殿……ハンサクが駆けつけてくれたが、ふたりしてこのザマだ。まだ魔物が残ってる……ブッ倒してくれ……。			大シケ勘定方							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			大シケ勘定方							
スズメさんをかばって、このザマだ……。じきに動けるようになる……。			スズメさんをかばって、このザマだ……。じきに動けるようになる……。			大シケ勘定方							
Forename殿……気張ってくれ。すまないが、アタシらはまだ動けそうにない。			Forename殿……気張ってくれ。すまないが、アタシらはまだ動けそうにない。			大シケ勘定方							
また助けてもらっちまったな……。俺は、これぐらい、どうってことない……。先に、スズメさんを見てやってくれ……。			また助けてもらっちまったな……。俺は、これぐらい、どうってことない……。先に、スズメさんを見てやってくれ……。			大シケ勘定方							
Forename殿……。危ないところを、ありがとう。			Forename殿……。危ないところを、ありがとう。			大シケ勘定方							
怒りのあまり、背後の魔物に気付くのが遅れちまった。ハンサクが盾になってくれたおかげで、命拾いしたが……これは罪滅ぼしのつもりか！？			怒りのあまり、背後の魔物に気付くのが遅れちまった。ハンサクが盾になってくれたおかげで、命拾いしたが……これは罪滅ぼしのつもりか！？			大シケ勘定方							
そ、そんなんじゃない……。とっさのことで、考えるヒマさえなかった。身体が勝手に動いただけで……ともかく、無事でよかった。			そ、そんなんじゃない……。とっさのことで、考えるヒマさえなかった。身体が勝手に動いただけで……ともかく、無事でよかった。			大シケ勘定方							
ハッ……。確かに、そそっかしいハンサクが、後先なんて、考えるはずもないか……。			ハッ……。確かに、そそっかしいハンサクが、後先なんて、考えるはずもないか……。			大シケ勘定方							
照れるな、褒めちゃいないぞ！自分を殺そうとしているヤツを助ける野郎なんざ、やっぱり、ハンサクじゃなくてヌケサクだ……。			照れるな、褒めちゃいないぞ！自分を殺そうとしているヤツを助ける野郎なんざ、やっぱり、ハンサクじゃなくてヌケサクだ……。			大シケ勘定方							
ハァ……あほらしい……。今を生きようと必死に駆けずりまわるハンサクを見ていたら、変えられない過去にこだわる自分が、ちっぽけに思えてきたよ。			ハァ……あほらしい……。今を生きようと必死に駆けずりまわるハンサクを見ていたら、変えられない過去にこだわる自分が、ちっぽけに思えてきたよ。			大シケ勘定方							
ようやく気付いたか、スズメよ。ならば、ハンサクとわしに何を言うべきかわかるじゃろ？			ようやく気付いたか、スズメよ。ならば、ハンサクとわしに何を言うべきかわかるじゃろ？			大シケ勘定方							
ハンサク、すまない……。そして、助けてくれて、ありがとう。こんなアタシだが……海賊衆に残っててもいいか？			ハンサク、すまない……。そして、助けてくれて、ありがとう。こんなアタシだが……海賊衆に残っててもいいか？			大シケ勘定方							
残るもなにも……スズメさんの居場所は、海賊衆だけだ！			残るもなにも……スズメさんの居場所は、海賊衆だけだ！			大シケ勘定方							
親分、お願いします……。ハンサクよりも、ずっとうつけ者ですが、これからもアタシを海賊衆においてください！			親分、お願いします……。ハンサクよりも、ずっとうつけ者ですが、これからもアタシを海賊衆においてください！			大シケ勘定方							
はっ、もとより、そのつもりじゃ。海賊衆は、家柄にも、過去の栄光にも、ましてや国にも頼らん。ただ家族たる仲間との絆にのみ頼り、生きていくんじゃ！			はっ、もとより、そのつもりじゃ。海賊衆は、家柄にも、過去の栄光にも、ましてや国にも頼らん。ただ家族たる仲間との絆にのみ頼り、生きていくんじゃ！			大シケ勘定方							
(-スズメとハンサク-)はいッ！			(-スズメとハンサク-)はいッ！			大シケ勘定方							
と、ところで、親分……キキモ殿が、そろそろ到着する頃合いじゃないんですかい？大切な取引相手を、ほっぽり出しておくのはマズいんじゃ……。			と、ところで、親分……キキモ殿が、そろそろ到着する頃合いじゃないんですかい？大切な取引相手を、ほっぽり出しておくのはマズいんじゃ……。			大シケ勘定方							
これで取引がご破算になったとしても、大切な家族を同時にふたりも失うよりマシじゃ！家族がおれば、力を合わせて難局を打破できるからのう！			これで取引がご破算になったとしても、大切な家族を同時にふたりも失うよりマシじゃ！家族がおれば、力を合わせて難局を打破できるからのう！			大シケ勘定方							
(-呼びかける声-)誰が、取引をご破算にするですって？			(-呼びかける声-)誰が、取引をご破算にするですって？			大シケ勘定方							
取引場所に着いても、荷を見張る配下の者のみで、ツキカゲ殿がいないと荷は渡せぬと言われ、捜しにきました。ひとまずご無事のようで安心しました。			取引場所に着いても、荷を見張る配下の者のみで、ツキカゲ殿がいないと荷は渡せぬと言われ、捜しにきました。ひとまずご無事のようで安心しました。			大シケ勘定方							
こ、これは、キキモ殿……身内の恥をさらしてしまったようじゃのう……。			こ、これは、キキモ殿……身内の恥をさらしてしまったようじゃのう……。			大シケ勘定方							
いえいえ、むしろ取引相手を見極めるいい機会でしたわ。海賊衆が結束力に優れた、信頼に値する組織だとわかりました。ぜひとも我が商会との独占契約を結ばせてください。			いえいえ、むしろ取引相手を見極めるいい機会でしたわ。海賊衆が結束力に優れた、信頼に値する組織だとわかりました。ぜひとも我が商会との独占契約を結ばせてください。			大シケ勘定方							
さあ、まずは最初の取引を完了させましょう。あれほどの荷を、船に運びこむのは大変難儀ですので。			さあ、まずは最初の取引を完了させましょう。あれほどの荷を、船に運びこむのは大変難儀ですので。			大シケ勘定方							
は、はい、すぐに運び入れます！			は、はい、すぐに運び入れます！			大シケ勘定方							
ハンサク、行くぞ！			ハンサク、行くぞ！			大シケ勘定方							
Forename殿……何から何まで、世話になった。荷の受け渡しに戻るゆえ、のちほど筋違砦で会おう！			Forename殿……何から何まで、世話になった。荷の受け渡しに戻るゆえ、のちほど筋違砦で会おう！			大シケ勘定方							
Forename殿……取引も無事に終わり、紅玉海産の贅沢品と、押収品の買い取りの継続的な契約まで取り付けたんじゃ。			Forename殿……取引も無事に終わり、紅玉海産の贅沢品と、押収品の買い取りの継続的な契約まで取り付けたんじゃ。			大シケ勘定方							
スズメとハンサクも家族同然に、協力して仕事に励んでおってな。これで、海賊衆の窮状も、どうにか持ちなおせるじゃろう。			スズメとハンサクも家族同然に、協力して仕事に励んでおってな。これで、海賊衆の窮状も、どうにか持ちなおせるじゃろう。			大シケ勘定方							
すべては、Forename殿が、わしらに力を貸して、絆を結んでくれたおかげじゃ。本当に、ありがとう。			すべては、Forename殿が、わしらに力を貸して、絆を結んでくれたおかげじゃ。本当に、ありがとう。			大シケ勘定方							
お前さんも、わしら海賊衆の一員じゃと思っとる。好きなときに、顔を出してくれ。いつでも歓迎するぞ。			お前さんも、わしら海賊衆の一員じゃと思っとる。好きなときに、顔を出してくれ。いつでも歓迎するぞ。			大シケ勘定方							
筋違砦のカイザンは、度胸ある者を探しているようだ。			筋違砦のカイザンは、度胸ある者を探しているようだ。			海賊衆の仕置							
弱らせたオオウミヘビに大きな麻袋を使い捕獲			弱らせたオオウミヘビに大きな麻袋を使い捕獲			海賊衆の仕置							
カイザンに捕獲したオオウミヘビを渡す			カイザンに捕獲したオオウミヘビを渡す			海賊衆の仕置							
なあ、姉ちゃん兄ちゃん。ひとつ、度胸がいる仕事を引き受けてくれないか？			なあ、姉ちゃん兄ちゃん。ひとつ、度胸がいる仕事を引き受けてくれないか？			海賊衆の仕置							
沖之岩の西に、「オオウミヘビ」がいる。そいつを3匹、ある程度弱らせてから、「大きな麻袋」を使って捕獲してくれ。			沖之岩の西に、「オオウミヘビ」がいる。そいつを3匹、ある程度弱らせてから、「大きな麻袋」を使って捕獲してくれ。			海賊衆の仕置							
うちの腕利きたちに頼んだが、揃いも揃って、オオウミヘビの毒を怖れて、首を縦にふらねぇんだよ。まったく、度胸のない奴らだぜ……。			うちの腕利きたちに頼んだが、揃いも揃って、オオウミヘビの毒を怖れて、首を縦にふらねぇんだよ。まったく、度胸のない奴らだぜ……。			海賊衆の仕置							
沖之岩の西に、「オオウミヘビ」がいる。そいつを3匹、ある程度弱らせてから、「大きな麻袋」を使って捕獲してくれ。			沖之岩の西に、「オオウミヘビ」がいる。そいつを3匹、ある程度弱らせてから、「大きな麻袋」を使って捕獲してくれ。			海賊衆の仕置							
「オオウミヘビ」を3匹、生け捕りできたか？			「オオウミヘビ」を3匹、生け捕りできたか？			海賊衆の仕置							
ありがとな、姉ちゃん兄ちゃん。精鋭でも1匹がやっとなオオウミヘビを、あっという間に3匹獲ってくるとは、驚きだぜ。			ありがとな、姉ちゃん兄ちゃん。精鋭でも1匹がやっとなオオウミヘビを、あっという間に3匹獲ってくるとは、驚きだぜ。			海賊衆の仕置							
オオウミヘビは、すぐに捌かないと肉質が落ちるんだ。その上、牙は武器の、肝は丸薬の材料にってな具合で、余すところなく使える役立つ存在なのさ。			オオウミヘビは、すぐに捌かないと肉質が落ちるんだ。その上、牙は武器の、肝は丸薬の材料にってな具合で、余すところなく使える役立つ存在なのさ。			海賊衆の仕置							
そのほかにも、海賊衆特有の使い方もあるぞ。重大な掟破りが出たときに、ソイツに、オオウミヘビの毒を混ぜた酒を呑ませるんだよ。			そのほかにも、海賊衆特有の使い方もあるぞ。重大な掟破りが出たときに、ソイツに、オオウミヘビの毒を混ぜた酒を呑ませるんだよ。			海賊衆の仕置							
十中八九死ぬが、運良く生き残ったら、掟破りの罪を許され、再び同胞として、受け入れてもらえる。まあ……俺も、その悪運の強いひとりだったりしてな。			十中八九死ぬが、運良く生き残ったら、掟破りの罪を許され、再び同胞として、受け入れてもらえる。まあ……俺も、その悪運の強いひとりだったりしてな。			海賊衆の仕置							
筋違砦のハヤセは、周囲を警戒しているようだ。			筋違砦のハヤセは、周囲を警戒しているようだ。			狙われた海賊							
海賊衆の様子を確認する			海賊衆の様子を確認する			狙われた海賊							
ハヤセに報告			ハヤセに報告			狙われた海賊							
……お前は……いや、違うな。余所者ではあるが、お前には動機がない……。			……お前は……いや、違うな。余所者ではあるが、お前には動機がない……。			狙われた海賊							
いや、実は最近、仲間が何者かに殺されてな。下手人を見つけ出そうと、ピリピリしていたんだ。			いや、実は最近、仲間が何者かに殺されてな。下手人を見つけ出そうと、ピリピリしていたんだ。			狙われた海賊							
遺体の背にあった刀傷から見て、相手は魔物じゃない。だが、殺された仲間は、背中を取られるマヌケでもねぇ……。かなり油断しているところを、やられたんだろう。			遺体の背にあった刀傷から見て、相手は魔物じゃない。だが、殺された仲間は、背中を取られるマヌケでもねぇ……。かなり油断しているところを、やられたんだろう。			狙われた海賊							
犠牲を増やさないためにも、ひとつ手を貸してくれねえか？俺の目の届かないところにいる仲間を見回って、もしも誰かが襲われていたら、助けてやってくれ。			犠牲を増やさないためにも、ひとつ手を貸してくれねえか？俺の目の届かないところにいる仲間を見回って、もしも誰かが襲われていたら、助けてやってくれ。			狙われた海賊							
俺の目の届かないところにいる仲間を見回って、もしも誰かが襲われていたら、助けてやってくれ。			俺の目の届かないところにいる仲間を見回って、もしも誰かが襲われていたら、助けてやってくれ。			狙われた海賊							
ハヤセさんに頼まれて、見回りをしているだって？なるほど、こっちは大丈夫、怪しい人影も見てないぞ。あんな一件の後だものな、警戒してくれてありがとよ。			ハヤセさんに頼まれて、見回りをしているだって？なるほど、こっちは大丈夫、怪しい人影も見てないぞ。あんな一件の後だものな、警戒してくれてありがとよ。			狙われた海賊							
こっちは大丈夫、怪しい人影も見てないぞ。あんな一件の後だものな、警戒してくれてありがとよ。			こっちは大丈夫、怪しい人影も見てないぞ。あんな一件の後だものな、警戒してくれてありがとよ。			狙われた海賊							
酒の肴の貝拾いをしていたんだ……。問題は起きちゃいないよ。			酒の肴の貝拾いをしていたんだ……。問題は起きちゃいないよ。			狙われた海賊							
酒の肴の貝拾いをしていたんだ……。問題は起きちゃいないよ。			酒の肴の貝拾いをしていたんだ……。問題は起きちゃいないよ。			狙われた海賊							
異常な～し！物見の訓練をしてるところだ。悪いが、集中させてくれないか？			異常な～し！物見の訓練をしてるところだ。悪いが、集中させてくれないか？			狙われた海賊							
物見の訓練をしてるところだ。悪いが、集中させてくれないか？			物見の訓練をしてるところだ。悪いが、集中させてくれないか？			狙われた海賊							
ハヤセに言われて来てくれたのか、ありがとよ……。漁師だと名乗る男に、ここで商談しようと言われて、ノコノコ出向いたところを、まんまと襲われたんだ。			ハヤセに言われて来てくれたのか、ありがとよ……。漁師だと名乗る男に、ここで商談しようと言われて、ノコノコ出向いたところを、まんまと襲われたんだ。			狙われた海賊							
俺は、戻って怪我の手当てをしてもらうとするよ。お前も早く、ここから立ち去ったほうがいいぞ。まだ、残党が潜んでるかもしれねえからな……。			俺は、戻って怪我の手当てをしてもらうとするよ。お前も早く、ここから立ち去ったほうがいいぞ。まだ、残党が潜んでるかもしれねえからな……。			狙われた海賊							
聞いたぞ、仲間を助けてくれてありがとよ。漁師に襲われたと聞いたが、腕前からして、素人じゃなかろう。			聞いたぞ、仲間を助けてくれてありがとよ。漁師に襲われたと聞いたが、腕前からして、素人じゃなかろう。			狙われた海賊							
犯人の正体を考えてみたんだが……襲われたふたりに、共通点があったんだ。			犯人の正体を考えてみたんだが……襲われたふたりに、共通点があったんだ。			狙われた海賊							
ふたりは、以前、とある船を襲ったことがあってな。クガネから来たという、数人の浪人が乗った船で、帆別銭の支払いを拒まれて、斬り合いになったらしい。			ふたりは、以前、とある船を襲ったことがあってな。クガネから来たという、数人の浪人が乗った船で、帆別銭の支払いを拒まれて、斬り合いになったらしい。			狙われた海賊							
もしかすると、そのときの浪人が報復に来たのかもしれないな。どうせ、抗争に敗れたヤクザ者か、赤誠組に追われた罪人だろう。斬り捨てて構わない悪党だったが、相手が悪すぎたな。			もしかすると、そのときの浪人が報復に来たのかもしれないな。どうせ、抗争に敗れたヤクザ者か、赤誠組に追われた罪人だろう。斬り捨てて構わない悪党だったが、相手が悪すぎたな。			狙われた海賊							
こうして監視しているとはいえ、漁師を装われては、こちらの対応も遅くなってしまう。今回は、お前に助けられたな、礼を言うぞ。			こうして監視しているとはいえ、漁師を装われては、こちらの対応も遅くなってしまう。今回は、お前に助けられたな、礼を言うぞ。			狙われた海賊							
筋違砦のヤナは、仲間を心配しているようだ。			筋違砦のヤナは、仲間を心配しているようだ。			シラヌイの正体							
大柄の海賊と話す			大柄の海賊と話す			シラヌイの正体							
指定地点で見渡し、毒気に当てられた海賊を弱らせ特製の痺れ粉を使う			指定地点で見渡し、毒気に当てられた海賊を弱らせ特製の痺れ粉を使う			シラヌイの正体							
大柄の海賊と話す			大柄の海賊と話す			シラヌイの正体							
ヤナと話す			ヤナと話す			シラヌイの正体							
アンタ、強そうだね。その腕を、どうか貸しちゃくれないか？私たちだけじゃ、手におえない事態が起きてるんだ。			アンタ、強そうだね。その腕を、どうか貸しちゃくれないか？私たちだけじゃ、手におえない事態が起きてるんだ。			シラヌイの正体							
うちの新米たちが、シラヌイにやられてね。ヤツの持つ妙な毒にあてられて錯乱しちまって、私たちを魔物と間違えて、襲ってくるんだよ。			うちの新米たちが、シラヌイにやられてね。ヤツの持つ妙な毒にあてられて錯乱しちまって、私たちを魔物と間違えて、襲ってくるんだよ。			シラヌイの正体							
今、この砦の北東で「大柄の海賊」が毒気に当てられた新米たちを止めてる。どうか、加勢してやってくれ。			今、この砦の北東で「大柄の海賊」が毒気に当てられた新米たちを止めてる。どうか、加勢してやってくれ。			シラヌイの正体							
今、この砦の北東で「大柄の海賊」が毒気に当てられた新米たちを止めてる。どうか、加勢してやってくれ。			今、この砦の北東で「大柄の海賊」が毒気に当てられた新米たちを止めてる。どうか、加勢してやってくれ。			シラヌイの正体							
おお、手伝ってくれるとは、ありがたい！ひとり抑えるだけでも、てこずったってのに、沖之岩周辺に、暴れているやつが、まだふたりいるらしくてよ。			おお、手伝ってくれるとは、ありがたい！ひとり抑えるだけでも、てこずったってのに、沖之岩周辺に、暴れているやつが、まだふたりいるらしくてよ。			シラヌイの正体							
毒気に当てられた新米の海賊ふたりを探して、見つけたら、この「特製の痺れ粉」を使って、動きを封じてくれ。そのあとは、俺たちでなんとかするからさ！			毒気に当てられた新米の海賊ふたりを探して、見つけたら、この「特製の痺れ粉」を使って、動きを封じてくれ。そのあとは、俺たちでなんとかするからさ！			シラヌイの正体							
だが、薬を使うスキを作るためには、新米たちを弱らせなくちゃなんねえ。くれぐれも、手を滑らせて、殺しちまったりしないでくれよ！			だが、薬を使うスキを作るためには、新米たちを弱らせなくちゃなんねえ。くれぐれも、手を滑らせて、殺しちまったりしないでくれよ！			シラヌイの正体							
沖之岩周辺で毒気に当てられた新米ふたりを探してくれ。見つけたら、殺さない程度に弱らせた上で、「特製の痺れ粉」を使って、動きを封じてくれ。			沖之岩周辺で毒気に当てられた新米ふたりを探してくれ。見つけたら、殺さない程度に弱らせた上で、「特製の痺れ粉」を使って、動きを封じてくれ。			シラヌイの正体							
暴れてる新米たちを、頼んだよ！			暴れてる新米たちを、頼んだよ！			シラヌイの正体							
おお、うまくいったか！早速、毒気に当てられたふたりの手当に行くとするよ。			おお、うまくいったか！早速、毒気に当てられたふたりの手当に行くとするよ。			シラヌイの正体							
「ヤナ」にも、状況を伝えておいてくれ。さぞかし心配してるだろうからな。じゃあ、協力してくれて、ありがとよ！			「ヤナ」にも、状況を伝えておいてくれ。さぞかし心配してるだろうからな。じゃあ、協力してくれて、ありがとよ！			シラヌイの正体							
ふう、新米たちは無事だったようだね、ありがとよ。だいたい、シラヌイには近づくなってのが、海賊衆の常識なんだ。			ふう、新米たちは無事だったようだね、ありがとよ。だいたい、シラヌイには近づくなってのが、海賊衆の常識なんだ。			シラヌイの正体							
シラヌイには、海で死に、まともに弔われなかった魂が宿るっていう伝承があってね。現世に執着してる魂だと、毒で生者を冒すといわれてるんだ。			シラヌイには、海で死に、まともに弔われなかった魂が宿るっていう伝承があってね。現世に執着してる魂だと、毒で生者を冒すといわれてるんだ。			シラヌイの正体							
新米たちは、コウシュウの山間部出身だからね……。この伝承を知らずに、舐めてかかったんだろう。			新米たちは、コウシュウの山間部出身だからね……。この伝承を知らずに、舐めてかかったんだろう。			シラヌイの正体							
それじゃあ、礼を受け取ってくれ。アンタも、このあたりを旅するなら、紅玉海の伝承は、覚えておくのが身のためだよ。			それじゃあ、礼を受け取ってくれ。アンタも、このあたりを旅するなら、紅玉海の伝承は、覚えておくのが身のためだよ。			シラヌイの正体							
筋違砦のヒラセは、献立の思案をしているようだ。			筋違砦のヒラセは、献立の思案をしているようだ。			海賊衆の料理番							
ギュウキからギュウキの肝を入手			ギュウキからギュウキの肝を入手			海賊衆の料理番							
ヒラセにギュウキの肝を渡す			ヒラセにギュウキの肝を渡す			海賊衆の料理番							
