アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			不可視の脅威							
止めないでくれ！私の同僚は、雑犬一家に殺されたんだ！こいつは死んで当然の極悪人、なぜそんな奴を護る……！？			止めないでくれ！私の同僚は、雑犬一家に殺されたんだ！こいつは死んで当然の極悪人、なぜそんな奴を護る……！？			悪因悪果？ 犯罪組織の首領を護れ！							
私はその人を護ると誓った。護衛を引き受けた以上、顧客を護るのがガンブレイカーだ。			私はその人を護ると誓った。護衛を引き受けた以上、顧客を護るのがガンブレイカーだ。			悪因悪果？ 犯罪組織の首領を護れ！							
そして、かつて悪人であっても、善行を働こうとしている者を、黙って殺させるわけにはいかない。			そして、かつて悪人であっても、善行を働こうとしている者を、黙って殺させるわけにはいかない。			悪因悪果？ 犯罪組織の首領を護れ！							
グルドウェイツが法廷で証言し、犯罪組織が摘発されれば、きっと多くの者が救われるはずだ……。			グルドウェイツが法廷で証言し、犯罪組織が摘発されれば、きっと多くの者が救われるはずだ……。			悪因悪果？ 犯罪組織の首領を護れ！							
どうか、どうか、その機会を奪わないでくれ……。			どうか、どうか、その機会を奪わないでくれ……。			悪因悪果？ 犯罪組織の首領を護れ！							
よ、よかった、彼女を止めてくれたんですね……。上層部に確認したら、命令なんて出してないことがわかり、急いで後を追ってきました。			よ、よかった、彼女を止めてくれたんですね……。上層部に確認したら、命令なんて出してないことがわかり、急いで後を追ってきました。			悪因悪果？ 犯罪組織の首領を護れ！							
イエロージャケットにも、グルドウェイツに恨みを持つ者は多い。しかし、まさか暗殺まで企てるとは……迂闊でした。			イエロージャケットにも、グルドウェイツに恨みを持つ者は多い。しかし、まさか暗殺まで企てるとは……迂闊でした。			悪因悪果？ 犯罪組織の首領を護れ！							
かの警備兵は、イエロージャケットで連行しておきました。それでは、護送を再開しましょう。			かの警備兵は、イエロージャケットで連行しておきました。それでは、護送を再開しましょう。			悪因悪果？ 犯罪組織の首領を護れ！							
その前に、礼を言わせてくれ。死んで当然の私を護ってくれて……どうもありがとう。			その前に、礼を言わせてくれ。死んで当然の私を護ってくれて……どうもありがとう。			悪因悪果？ 犯罪組織の首領を護れ！							
どのみち、私は重い病に冒されているので、余命いくばくかもないのだがな……。			どのみち、私は重い病に冒されているので、余命いくばくかもないのだがな……。			悪因悪果？ 犯罪組織の首領を護れ！							
一家の首領のまま、死を迎えることもできたろうに。いったいなぜ、自首して司法取引を……？			一家の首領のまま、死を迎えることもできたろうに。いったいなぜ、自首して司法取引を……？			悪因悪果？ 犯罪組織の首領を護れ！							
年端もいかぬ頃から悪行を重ねてきた。そういう生き方しか知らなかった私だが、死が目前に迫ると、そんな人生に後悔が押し寄せてきてな……。			年端もいかぬ頃から悪行を重ねてきた。そういう生き方しか知らなかった私だが、死が目前に迫ると、そんな人生に後悔が押し寄せてきてな……。			悪因悪果？ 犯罪組織の首領を護れ！							
今更、許されようとは思っておらぬが、死ぬ前にひとつだけでも、善いことをしたくなったのだ……。			今更、許されようとは思っておらぬが、死ぬ前にひとつだけでも、善いことをしたくなったのだ……。			悪因悪果？ 犯罪組織の首領を護れ！							
そうか……。やはり、あなたの護衛を引き受けたこと……間違いではなかった。			そうか……。やはり、あなたの護衛を引き受けたこと……間違いではなかった。			悪因悪果？ 犯罪組織の首領を護れ！							
さあ、早く法廷へと連れていってくれ。			さあ、早く法廷へと連れていってくれ。			悪因悪果？ 犯罪組織の首領を護れ！							
やっと着いたね。グルドウェイツの証言で、たくさんの人が救われるといいな。			やっと着いたね。グルドウェイツの証言で、たくさんの人が救われるといいな。			悪因悪果？ 犯罪組織の首領を護れ！							
どうもありがとうございました。			どうもありがとうございました。			悪因悪果？ 犯罪組織の首領を護れ！							
護衛に感謝する……。			護衛に感謝する……。			悪因悪果？ 犯罪組織の首領を護れ！							
よし、リムサ・ロミンサまでたどり着けたな。ここまでくれば、もう大丈夫だろう。			よし、リムサ・ロミンサまでたどり着けたな。ここまでくれば、もう大丈夫だろう。			悪因悪果？ 犯罪組織の首領を護れ！							
あとは、グルドウェイツを街中の法廷に連れていくだけです。この度は、本当にありがとうございました。			あとは、グルドウェイツを街中の法廷に連れていくだけです。この度は、本当にありがとうございました。			悪因悪果？ 犯罪組織の首領を護れ！							
護衛に感謝する……。			護衛に感謝する……。			悪因悪果？ 犯罪組織の首領を護れ！							
危ういところもあったが、最後まで護衛できてよかった。それでは、次なる都市へ向かうとするか。			危ういところもあったが、最後まで護衛できてよかった。それでは、次なる都市へ向かうとするか。			悪因悪果？ 犯罪組織の首領を護れ！							
エオルゼア三都市は周ったし、アラミゴは通ってきたからね。そうなるともう、イシュガルドしかないわけか……。アタシ、寒いの苦手なんだけどな～。			エオルゼア三都市は周ったし、アラミゴは通ってきたからね。そうなるともう、イシュガルドしかないわけか……。アタシ、寒いの苦手なんだけどな～。			悪因悪果？ 犯罪組織の首領を護れ！							
きっと、その地にも護衛を必要としている人はいるはず。さあ、イシュガルドへと向かおう。			きっと、その地にも護衛を必要としている人はいるはず。さあ、イシュガルドへと向かおう。			悪因悪果？ 犯罪組織の首領を護れ！							
うう～、寒い！いち早くこの防寒着を買ったけど、それでも寒いよ……！			うう～、寒い！いち早くこの防寒着を買ったけど、それでも寒いよ……！			悪因悪果？ 犯罪組織の首領を護れ！							
イシュガルドとは、想像以上に極寒の地なのだな。幸い私は寒さに強いので、何てことないが……。			イシュガルドとは、想像以上に極寒の地なのだな。幸い私は寒さに強いので、何てことないが……。			悪因悪果？ 犯罪組織の首領を護れ！							
寒すぎるよ！いち早くこの防寒着を買ったけど、それでも寒い……！			寒すぎるよ！いち早くこの防寒着を買ったけど、それでも寒い……！			悪因悪果？ 犯罪組織の首領を護れ！							
この地には冒険者ギルドがないようだが、代わりに、神殿騎士団リーヴというものがあった。			この地には冒険者ギルドがないようだが、代わりに、神殿騎士団リーヴというものがあった。			悪因悪果？ 犯罪組織の首領を護れ！							
だが、護衛の依頼はきてないようなので、仕事が入るまで、君にはしばらく力をつけておいてほしい。			だが、護衛の依頼はきてないようなので、仕事が入るまで、君にはしばらく力をつけておいてほしい。			悪因悪果？ 犯罪組織の首領を護れ！							
ナル回廊のナシュメラは、新たな国へ興行に向かいたいようだ。			ナル回廊のナシュメラは、新たな国へ興行に向かいたいようだ。			黒衣森に広がる不安							
グリダニアで問題が起きていないか、先に確認することになった。グリダニアの双蛇党：統合司令部前で「ナシュメラ」と落ち合おう。			グリダニアで問題が起きていないか、先に確認することになった。グリダニアの双蛇党：統合司令部前で「ナシュメラ」と落ち合おう。			黒衣森に広がる不安							
黒衣森のシェーダー族も、森で騒ぎを起こしているらしい。今度は冒険者とラナー・ミーゴだけでなく、ナシュメラも調査に向かうことになった。南部森林の酒房「バスカロンドラザーズ」で「ナシュメラ」と話そう。			黒衣森のシェーダー族も、森で騒ぎを起こしているらしい。今度は冒険者とラナー・ミーゴだけでなく、ナシュメラも調査に向かうことになった。南部森林の酒房「バスカロンドラザーズ」で「ナシュメラ」と話そう。			黒衣森に広がる不安							
シェーダー族も、奇妙な舞を踊っていたらしい。南部森林のアッパーパスの「指定地点」で周囲を見渡し、シェーダー族を探そう。			シェーダー族も、奇妙な舞を踊っていたらしい。南部森林のアッパーパスの「指定地点」で周囲を見渡し、シェーダー族を探そう。			黒衣森に広がる不安							
ナシュメラがシェーダー族に舞を踊ってみせると、シェーダー族の身体からエーテル体が現れた。アッパーパスで、「謎めいたエーテル体」を討伐しよう。			ナシュメラがシェーダー族に舞を踊ってみせると、シェーダー族の身体からエーテル体が現れた。アッパーパスで、「謎めいたエーテル体」を討伐しよう。			黒衣森に広がる不安							
謎めいたエーテル体を討伐した。アッパーパスで「ナシュメラ」を救助しよう。			謎めいたエーテル体を討伐した。アッパーパスで「ナシュメラ」を救助しよう。			黒衣森に広がる不安							
ひとまず、目撃した内容を双蛇党に報告することになった。双蛇党：統合司令部にいる将校に話を伝えよう。			ひとまず、目撃した内容を双蛇党に報告することになった。双蛇党：統合司令部にいる将校に話を伝えよう。			黒衣森に広がる不安							
ナシュメラから、死の舞踏「トーテンタンツ」の秘密を聞いた。ガヴィン少牙士も、各国に協力を要請してくれるという。死の舞踏によって現れた心の闇を打ち倒すため、武の舞踏の技を磨いておこう。※踊り子のレベルが68以上になると、双蛇党：統合司令部前のナシュメラから次の踊り子クエストを受注することができます。			ナシュメラから、死の舞踏「トーテンタンツ」の秘密を聞いた。ガヴィン少牙士も、各国に協力を要請してくれるという。死の舞踏によって現れた心の闇を打ち倒すため、武の舞踏の技を磨いておこう。※踊り子のレベルが68以上になると、双蛇党：統合司令部前のナシュメラから次の踊り子クエストを受注することができます。			黒衣森に広がる不安							
双蛇党：統合司令部前のナシュメラと話す			双蛇党：統合司令部前のナシュメラと話す			黒衣森に広がる不安							
酒房「バスカロンドラザーズ」のナシュメラと話す			酒房「バスカロンドラザーズ」のナシュメラと話す			黒衣森に広がる不安							
指定地点で見渡す			指定地点で見渡す			黒衣森に広がる不安							
謎めいたエーテル体を討伐			謎めいたエーテル体を討伐			黒衣森に広がる不安							
ナシュメラを救助			ナシュメラを救助			黒衣森に広がる不安							
双蛇党：統合司令部にいる将校に報告			双蛇党：統合司令部にいる将校に報告			黒衣森に広がる不安							
迷惑かけちゃって、ごめんね。もう二度と、おなじ失態を繰り返さないよう、ウルダハでの公演を全力でやりきって、心構えを学び直すよ。			迷惑かけちゃって、ごめんね。もう二度と、おなじ失態を繰り返さないよう、ウルダハでの公演を全力でやりきって、心構えを学び直すよ。			黒衣森に広がる不安							
旅の一座にとって、お客様とは一期一会。失敗を取り返す二度目がない分、すべては観客のために、という気持ちが特に大切なんです。			旅の一座にとって、お客様とは一期一会。失敗を取り返す二度目がない分、すべては観客のために、という気持ちが特に大切なんです。			黒衣森に広がる不安							
ようこそ、ウルダハでの興行も一段落したところよ！ラナーも奮起して、驕ることなく全力を尽くしてくれたわ。			ようこそ、ウルダハでの興行も一段落したところよ！ラナーも奮起して、驕ることなく全力を尽くしてくれたわ。			黒衣森に広がる不安							
最初に巡ると決めた三ヶ国も、あとはグリダニアを残すのみ。さっそく、現地へ向かいたいのだけれど……あちらでも、問題が起きていないとも限らない。			最初に巡ると決めた三ヶ国も、あとはグリダニアを残すのみ。さっそく、現地へ向かいたいのだけれど……あちらでも、問題が起きていないとも限らない。			黒衣森に広がる不安							
まずは、グリダニアのグランドカンパニー、双蛇党の「統合司令部」というところに向かって、話を聞いてみましょう。			まずは、グリダニアのグランドカンパニー、双蛇党の「統合司令部」というところに向かって、話を聞いてみましょう。			黒衣森に広がる不安							
なんだか、また問題が起きているみたい……。			なんだか、また問題が起きているみたい……。			黒衣森に広がる不安							
ふむ？　問題続きだというのに、座長はずいぶんと落ち着いていますね……。			ふむ？　問題続きだというのに、座長はずいぶんと落ち着いていますね……。			黒衣森に広がる不安							
普段なら、森の精霊をいたずらに刺激しなければ、興行を行っていただいて構わないのですが……。			普段なら、森の精霊をいたずらに刺激しなければ、興行を行っていただいて構わないのですが……。			黒衣森に広がる不安							
Forename、嫌な予想が当たったわ……。グリダニアでも、やはり問題が起きているらしいの。			Forename、嫌な予想が当たったわ……。グリダニアでも、やはり問題が起きているらしいの。			黒衣森に広がる不安							
ええ……最近になって、都市の掟に従わないシェーダー族たちが徒党を組み、森の外れで、怪しげな集会を開いているようなのです。			ええ……最近になって、都市の掟に従わないシェーダー族たちが徒党を組み、森の外れで、怪しげな集会を開いているようなのです。			黒衣森に広がる不安							
シェーダー族とは、グリダニア建国時に精霊に従うことを拒み、地下洞窟での生活を選んだ者たちの末裔です。			シェーダー族とは、グリダニア建国時に精霊に従うことを拒み、地下洞窟での生活を選んだ者たちの末裔です。			黒衣森に広がる不安							
よく言えば自由を好む者たち、悪く言えば無法者の集団……。中には盗賊まがいの生き方を続ける者もいるため、元より、都市民との折り合いは良くありません。			よく言えば自由を好む者たち、悪く言えば無法者の集団……。中には盗賊まがいの生き方を続ける者もいるため、元より、都市民との折り合いは良くありません。			黒衣森に広がる不安							
そんな連中が集まり、騒ぎ始めたとあって、反乱を起こすつもりなのではないかと疑われていまして……。			そんな連中が集まり、騒ぎ始めたとあって、反乱を起こすつもりなのではないかと疑われていまして……。			黒衣森に広がる不安							
しかも、彼らの集団が目撃されているのが、公演予定地の近くらしく、興行の許可が降りないのよ。			しかも、彼らの集団が目撃されているのが、公演予定地の近くらしく、興行の許可が降りないのよ。			黒衣森に広がる不安							
Forename、ラナー。あなたたちが力を貸してくれるというのなら……この一件、私たちの一座で解決してみない？			Forename、ラナー。あなたたちが力を貸してくれるというのなら……この一件、私たちの一座で解決してみない？			黒衣森に広がる不安							
もちろん……！ウルダハでの汚名、必ず返上してみせます。ですからどうか、シェーダー族を鎮める役目を任せてください！			もちろん……！ウルダハでの汚名、必ず返上してみせます。ですからどうか、シェーダー族を鎮める役目を任せてください！			黒衣森に広がる不安							
ありがとう、ふたりとも……。シェーダー族が抱える不安、踊り子の舞で消し去りましょう。			ありがとう、ふたりとも……。シェーダー族が抱える不安、踊り子の舞で消し去りましょう。			黒衣森に広がる不安							
たしかに、グリダニアの民が接触したところで、逆効果にしかならないでしょうが、あなた方なら……。しかし、くれぐれも気をつけてくださいね？			たしかに、グリダニアの民が接触したところで、逆効果にしかならないでしょうが、あなた方なら……。しかし、くれぐれも気をつけてくださいね？			黒衣森に広がる不安							
ええ、もちろん。今回は、彼らふたりに加えて、座長である私も同行します。監督役の意味もあるし……この目で確かめたいこともあるので。			ええ、もちろん。今回は、彼らふたりに加えて、座長である私も同行します。監督役の意味もあるし……この目で確かめたいこともあるので。			黒衣森に広がる不安							
さあ、さっそく出発するわよ。シェーダー族の無法者たちが集まるのは南部森林だとか。近くにある酒房「バスカロンドラザーズ」に集合しましょう。			さあ、さっそく出発するわよ。シェーダー族の無法者たちが集まるのは南部森林だとか。近くにある酒房「バスカロンドラザーズ」に集合しましょう。			黒衣森に広がる不安							
ザナラーン各地で、ともに公演を行った私が保証します。ラナーの嬢ちゃんは、もう大丈夫ですよ。しかし……座長が一緒に出向くとは意外でしたね。			ザナラーン各地で、ともに公演を行った私が保証します。ラナーの嬢ちゃんは、もう大丈夫ですよ。しかし……座長が一緒に出向くとは意外でしたね。			黒衣森に広がる不安							
ナシュメラ先生、確かめたいことって何だろう……。監督役って言ってたけど、そんな雰囲気でもないんだよね。			ナシュメラ先生、確かめたいことって何だろう……。監督役って言ってたけど、そんな雰囲気でもないんだよね。			黒衣森に広がる不安							
いま、酒房で聞いてきたんだけど、シェーダー族は、北東の方角で目撃されたそうよ。それと……彼らは森の中で「奇妙な舞」を踊っていたらしいわ。			いま、酒房で聞いてきたんだけど、シェーダー族は、北東の方角で目撃されたそうよ。それと……彼らは森の中で「奇妙な舞」を踊っていたらしいわ。			黒衣森に広がる不安							
ザナラーンで起きた現象と一緒……。これは、詳しく確認する必要がありそうね。さあ、北東に向い、シェーダー族を探しましょう。			ザナラーンで起きた現象と一緒……。これは、詳しく確認する必要がありそうね。さあ、北東に向い、シェーダー族を探しましょう。			黒衣森に広がる不安							
ザナラーンで見た過激派の舞と、シェーダー族の舞。このふたつは、同じものなのかなあ……。ナシュメラ先生は、なにか心当たりがあるみたいだけど。			ザナラーンで見た過激派の舞と、シェーダー族の舞。このふたつは、同じものなのかなあ……。ナシュメラ先生は、なにか心当たりがあるみたいだけど。			黒衣森に広がる不安							
シェーダー族が目撃されたのは、この辺りのはずよ。			シェーダー族が目撃されたのは、この辺りのはずよ。			黒衣森に広がる不安							
Forename、ナシュメラ先生……！茂みの向こう、いま人影が見えた……。こっそり、近づいてみよう。			Forename、ナシュメラ先生……！茂みの向こう、いま人影が見えた……。こっそり、近づいてみよう。			黒衣森に広がる不安							
あの気持ち悪い動き。ザナラーンで、私が見た舞と同じだ……！			あの気持ち悪い動き。ザナラーンで、私が見た舞と同じだ……！			黒衣森に広がる不安							
やはり、ね。あれこそ、「死の舞踏」……。			やはり、ね。あれこそ、「死の舞踏」……。			黒衣森に広がる不安							
細かい説明は後でするとして、ここは私に任せてくれない？試したいことがあるの……。			細かい説明は後でするとして、ここは私に任せてくれない？試したいことがあるの……。			黒衣森に広がる不安							
なんだ、テメエ。俺たちが踊るのをジャマ、するナ……。			なんだ、テメエ。俺たちが踊るのをジャマ、するナ……。			黒衣森に広がる不安							
こ、これは……！？カラダ……いや、胸の奥が、アツイ……。			こ、これは……！？カラダ……いや、胸の奥が、アツイ……。			黒衣森に広がる不安							
あっ……！？ナシュメラ先生ッ！！			あっ……！？ナシュメラ先生ッ！！			黒衣森に広がる不安							
ナシュメラ先生は、私が！Forenameは、あの黒いモヤモヤをお願い！			ナシュメラ先生は、私が！Forenameは、あの黒いモヤモヤをお願い！			黒衣森に広がる不安							
くっ……不覚を、とったわ……。			くっ……不覚を、とったわ……。			黒衣森に広がる不安							
倒してくれてありがとう。今のは、いったい……。			倒してくれてありがとう。今のは、いったい……。			黒衣森に広がる不安							
助けてくれて、ありがとう。この体たらくじゃ、ラナーのことを言えないわね。引退した身でも、もう少しやれると思ったのだけど……。			助けてくれて、ありがとう。この体たらくじゃ、ラナーのことを言えないわね。引退した身でも、もう少しやれると思ったのだけど……。			黒衣森に広がる不安							
私みたいに調子に乗って先走ったわけじゃないですから。それより、シェーダー族が踊っていた奇妙な舞と、彼らから現れた、あの黒いエーテル……。			私みたいに調子に乗って先走ったわけじゃないですから。それより、シェーダー族が踊っていた奇妙な舞と、彼らから現れた、あの黒いエーテル……。			黒衣森に広がる不安							
ナシュメラ先生は、いま起きたことの真相を知っているんですよね……？			ナシュメラ先生は、いま起きたことの真相を知っているんですよね……？			黒衣森に広がる不安							
ええ、この目で確認できた以上、すべてを話すつもりよ。けれど、それは気絶している彼らを、双蛇党に引き渡してからにしましょう……。			ええ、この目で確認できた以上、すべてを話すつもりよ。けれど、それは気絶している彼らを、双蛇党に引き渡してからにしましょう……。			黒衣森に広がる不安							
……そうですね。ナシュメラ先生の怪我も手当しないといけませんし。			……そうですね。ナシュメラ先生の怪我も手当しないといけませんし。			黒衣森に広がる不安							
Forename、グリダニアに戻って、双蛇党の「統合司令部」で、将校の方に報告を頼める？私は、先生の手当と、シェーダー族の見張りをしておくよ。			Forename、グリダニアに戻って、双蛇党の「統合司令部」で、将校の方に報告を頼める？私は、先生の手当と、シェーダー族の見張りをしておくよ。			黒衣森に広がる不安							
しかし、引退してから、ここまで鈍っていたなんて……。もう一度、鍛えなおそうかしら。			しかし、引退してから、ここまで鈍っていたなんて……。もう一度、鍛えなおそうかしら。			黒衣森に広がる不安							
グリダニアに戻って、双蛇党の「統合司令部」で、将校の方に報告を頼める？私は、先生の手当と、シェーダー族の見張りをしておくよ。			グリダニアに戻って、双蛇党の「統合司令部」で、将校の方に報告を頼める？私は、先生の手当と、シェーダー族の見張りをしておくよ。			黒衣森に広がる不安							
ラナーの嬢ちゃんと座長はどうしました？			ラナーの嬢ちゃんと座長はどうしました？			黒衣森に広がる不安							
なんと、暴れていたシェーダー族を捕らえたと！？わかった、すぐに隊士を南部森林に派遣しよう。協力、まことに感謝する！			なんと、暴れていたシェーダー族を捕らえたと！？わかった、すぐに隊士を南部森林に派遣しよう。協力、まことに感謝する！			黒衣森に広がる不安							
お待たせ、双蛇党にシェーダー族を引き渡してきたわよ。怪我の方も、ラナーが応急手当をしてくれて、大事には至らなかったわ。			お待たせ、双蛇党にシェーダー族を引き渡してきたわよ。怪我の方も、ラナーが応急手当をしてくれて、大事には至らなかったわ。			黒衣森に広がる不安							
だからって、まだ無茶は禁物ですからね……？引き渡しの間も、休んでいてよかったのに。			だからって、まだ無茶は禁物ですからね……？引き渡しの間も、休んでいてよかったのに。			黒衣森に広がる不安							
彼らが目覚めたときの様子を見ておきたかったから。予想通り、徒党を組んで騒いでいたことも、奇妙な舞を踊った理由も、何もわからないと証言していた……。			彼らが目覚めたときの様子を見ておきたかったから。予想通り、徒党を組んで騒いでいたことも、奇妙な舞を踊った理由も、何もわからないと証言していた……。			黒衣森に広がる不安							
シェーダー族に関しては、引き続き尋問を行っていく。聞けば、ウルダハでも同様に、急に過激な思想を持ち、奇妙な舞を踊る者たちと出くわしたとか……。			シェーダー族に関しては、引き続き尋問を行っていく。聞けば、ウルダハでも同様に、急に過激な思想を持ち、奇妙な舞を踊る者たちと出くわしたとか……。			黒衣森に広がる不安							
あれは……死の舞踏「トーテンタンツ」。あの「現象」を封じることが、私たち踊り子の真の使命なの。			あれは……死の舞踏「トーテンタンツ」。あの「現象」を封じることが、私たち踊り子の真の使命なの。			黒衣森に広がる不安							
踊り子の使命って……社会的不安を抱えた人々を、武の舞踏「クリークタンツ」で鼓舞して、心の不安を鎮めることじゃないんですか？			踊り子の使命って……社会的不安を抱えた人々を、武の舞踏「クリークタンツ」で鼓舞して、心の不安を鎮めることじゃないんですか？			黒衣森に広がる不安							
そのとおり……でも、重要な真実がひとつ。踊り子が真に鎮めようとしてきたのは、ただの精神的な不安ではなく、脅威となり得る「現象」なの。			そのとおり……でも、重要な真実がひとつ。踊り子が真に鎮めようとしてきたのは、ただの精神的な不安ではなく、脅威となり得る「現象」なの。			黒衣森に広がる不安							
霊災や戦争により、社会不安が極限に達したとき、人々の「心の闇」とでもいうべき暗い感情が溢れ出し、地脈や風脈といった環境エーテルの流れに乗り、急速に広がるの。			霊災や戦争により、社会不安が極限に達したとき、人々の「心の闇」とでもいうべき暗い感情が溢れ出し、地脈や風脈といった環境エーテルの流れに乗り、急速に広がるの。			黒衣森に広がる不安							
特に貧民や難民といった、日頃から不満を抱いている人ほど、「闇」に蝕まれ、「闇」を増幅し、さらに「闇」を撒き散らす……。			特に貧民や難民といった、日頃から不満を抱いている人ほど、「闇」に蝕まれ、「闇」を増幅し、さらに「闇」を撒き散らす……。			黒衣森に広がる不安							
こうして、社会の中で増幅された「心の闇」に飲まれた人々は、理性のタガが壊れ、奇妙な舞を踊り、欲望のままに行動し始める。これこそが、死の舞踏「トーテンタンツ」という現象よ。			こうして、社会の中で増幅された「心の闇」に飲まれた人々は、理性のタガが壊れ、奇妙な舞を踊り、欲望のままに行動し始める。これこそが、死の舞踏「トーテンタンツ」という現象よ。			黒衣森に広がる不安							
だ、だが、ちょっと待ってくれ……。社会不安が「トーテンタンツ」とやらの原因であれば、霊災や戦争が生じた直後にこそ、起きているべきなのでは？			だ、だが、ちょっと待ってくれ……。社会不安が「トーテンタンツ」とやらの原因であれば、霊災や戦争が生じた直後にこそ、起きているべきなのでは？			黒衣森に広がる不安							
……ううん、わかる気が、する。災厄に直面したときは、みんな、その日を生き抜くのに必死で、明日の生活を「不安」に思う余裕もないから……。			……ううん、わかる気が、する。災厄に直面したときは、みんな、その日を生き抜くのに必死で、明日の生活を「不安」に思う余裕もないから……。			黒衣森に広がる不安							
その指摘は正しいわ。帝国との戦いや第七霊災から年月を経た今だからこそ、エオルゼアは、死の舞踏が起こりやすい時期を迎えているのよ。			その指摘は正しいわ。帝国との戦いや第七霊災から年月を経た今だからこそ、エオルゼアは、死の舞踏が起こりやすい時期を迎えているのよ。			黒衣森に広がる不安							
……私たち踊り子が舞う「クリークタンツ」は、死の舞踏を鎮めるために、編み出されたものだったんですね。			……私たち踊り子が舞う「クリークタンツ」は、死の舞踏を鎮めるために、編み出されたものだったんですね。			黒衣森に広がる不安							
ええ、この真実は一座の座長だけに、代々受け継がれてきたの。私がシェーダー族相手にやってみせたように、人の心を揺さぶり、その闇を引き出し具現化させる舞も、そのひとつよ。			ええ、この真実は一座の座長だけに、代々受け継がれてきたの。私がシェーダー族相手にやってみせたように、人の心を揺さぶり、その闇を引き出し具現化させる舞も、そのひとつよ。			黒衣森に広がる不安							
けれど、最後に「トーテンタンツ」が起きたのは数百年前……。万が一に備えて、エオルゼア巡業を決めたものの、実際に起きるかは、私も半信半疑だったわ。			けれど、最後に「トーテンタンツ」が起きたのは数百年前……。万が一に備えて、エオルゼア巡業を決めたものの、実際に起きるかは、私も半信半疑だったわ。			黒衣森に広がる不安							
でも、実際にこの目で確認した今、踊り子の技を受け継ぐ者として、私は行動を起こしたい……！これまで黙っていたことは謝る……どうか、力を貸して。			でも、実際にこの目で確認した今、踊り子の技を受け継ぐ者として、私は行動を起こしたい……！これまで黙っていたことは謝る……どうか、力を貸して。			黒衣森に広がる不安							
何と答える？			何と答える？			黒衣森に広がる不安							
もちろんだ			もちろんだ			黒衣森に広がる不安							
今後、もう秘密はなしだ			今後、もう秘密はなしだ			黒衣森に広がる不安							
ええ、私もForenameも踊り子なんです……！使命を果たすため、「トーテンタンツ」に立ち向かいましょう。その代わり、もう独りで抱え込まないでください……。			ええ、私もForenameも踊り子なんです……！使命を果たすため、「トーテンタンツ」に立ち向かいましょう。その代わり、もう独りで抱え込まないでください……。			黒衣森に広がる不安							
ラナー、Forename、それにみんな……ありがとう……。			ラナー、Forename、それにみんな……ありがとう……。			黒衣森に広がる不安							
ふむ……実際の対処は、君たちに託すとしても、どの国でも「トーテンタンツ」が起きる可能性があるなら、各国も連携して、解決に動くべきだろう。			ふむ……実際の対処は、君たちに託すとしても、どの国でも「トーテンタンツ」が起きる可能性があるなら、各国も連携して、解決に動くべきだろう。			黒衣森に広がる不安							
この件、同盟各国にも情報を共有したうえで、一座への協力を呼びかけようと思うのだが、構わぬか？			この件、同盟各国にも情報を共有したうえで、一座への協力を呼びかけようと思うのだが、構わぬか？			黒衣森に広がる不安							
ええ、こちらこそお願いしたいわ！各国の支援が得られれば、私たちも心強いもの。			ええ、こちらこそお願いしたいわ！各国の支援が得られれば、私たちも心強いもの。			黒衣森に広がる不安							
残るは、イシュガルドとアラミゴの二ヶ国……。竜詩戦争の終結から、多少の月日を経たイシュガルドから、優先的に公演に行きたいけれど……。			残るは、イシュガルドとアラミゴの二ヶ国……。竜詩戦争の終結から、多少の月日を経たイシュガルドから、優先的に公演に行きたいけれど……。			黒衣森に広がる不安							
残るは、イシュガルドとアラミゴの二ヶ国……。けれど、帝国占領下のアラミゴに向かう手段はまだない。となれば、優先すべきはイシュガルドね……。			残るは、イシュガルドとアラミゴの二ヶ国……。けれど、帝国占領下のアラミゴに向かう手段はまだない。となれば、優先すべきはイシュガルドね……。			黒衣森に広がる不安							
残るは、イシュガルドとアラミゴの二ヶ国……。けれど、どちらも民間の旅一座が潜り込める情勢にはない。双蛇党の呼びかけに答えてくれることを期待するしかないかしら。			残るは、イシュガルドとアラミゴの二ヶ国……。けれど、どちらも民間の旅一座が潜り込める情勢にはない。双蛇党の呼びかけに答えてくれることを期待するしかないかしら。			黒衣森に広がる不安							
ただ、いずれにせよ、少し時間が必要よ。ラナー、あなたには双蛇党からの連絡を待つ間に、公演を続けながら、心の闇を引き出す舞を継承してもらうわ。			ただ、いずれにせよ、少し時間が必要よ。ラナー、あなたには双蛇党からの連絡を待つ間に、公演を続けながら、心の闇を引き出す舞を継承してもらうわ。			黒衣森に広がる不安							
わかりました、先生ッ！			わかりました、先生ッ！			黒衣森に広がる不安							
そして、Forename……。あなたは実戦経験をさらに積んで、武の技を磨いてほしい。			そして、Forename……。あなたは実戦経験をさらに積んで、武の技を磨いてほしい。			黒衣森に広がる不安							
「クリークタンツ」によって、心の闇を引き出せても、それを打ち倒せなくちゃ、鎮めたことにはならない……。戦闘センスが光る、あなたに討伐の役目を任せたいの。			「クリークタンツ」によって、心の闇を引き出せても、それを打ち倒せなくちゃ、鎮めたことにはならない……。戦闘センスが光る、あなたに討伐の役目を任せたいの。			黒衣森に広がる不安							
では、限られた時間を最大限に活用しましょう。これからが、正念場なのだから……。			では、限られた時間を最大限に活用しましょう。これからが、正念場なのだから……。			黒衣森に広がる不安							
モル・イローのニゲンは、夫の心配をしているようだ。			モル・イローのニゲンは、夫の心配をしているようだ。			夫も心配な姉							
