シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			本当の自分							
インク＝ダエンと話した。これからも、巡礼路の探索をする際は見守ってくれるそうだ。妖精王が多くを語らなかった、異形エミネントグリーフの存在や、その先で見た部屋について、真実を知ることができるかどうかは冒険者次第らしい。これからどこへ向かうにせよ、かわいい若木には美しい枝が伴うことだろう。			インク＝ダエンと話した。これからも、巡礼路の探索をする際は見守ってくれるそうだ。妖精王が多くを語らなかった、異形エミネントグリーフの存在や、その先で見た部屋について、真実を知ることができるかどうかは冒険者次第らしい。これからどこへ向かうにせよ、かわいい若木には美しい枝が伴うことだろう。			若木と枝に							
指定地点で待機			指定地点で待機			若木と枝に							
インク＝ダエンと話す			インク＝ダエンと話す			若木と枝に							
ちょっとあんた……ずいぶん長いこと巡礼路を探索していたようですが、妙なものに憑かれちゃいないでしょうね……？			ちょっとあんた……ずいぶん長いこと巡礼路を探索していたようですが、妙なものに憑かれちゃいないでしょうね……？			若木と枝に							
正気の沙汰、それも好きでやってるってんなら、構いやせん。ただ、前回あたしが思わせぶりなことを言ったばかりに、探索を止められなくなっていたら悪いなと…………			正気の沙汰、それも好きでやってるってんなら、構いやせん。ただ、前回あたしが思わせぶりなことを言ったばかりに、探索を止められなくなっていたら悪いなと…………			若木と枝に							
……巡礼路の果てに辿り着いて、いかにも危険そうな異形を倒したァ？			……巡礼路の果てに辿り着いて、いかにも危険そうな異形を倒したァ？			若木と枝に							
グゲェーッ！あの妖精王にして、この若木！歯止めの利かないクソ度胸でさァ！！			グゲェーッ！あの妖精王にして、この若木！歯止めの利かないクソ度胸でさァ！！			若木と枝に							
あァ～いやいや、勘違い召されぬよう。今のはこの長い舌が奏上しうる、至上の賛辞にほかならず……。			あァ～いやいや、勘違い召されぬよう。今のはこの長い舌が奏上しうる、至上の賛辞にほかならず……。			若木と枝に							
そんなことより、ほら、あんたが脅威を倒したことで、今度こそ教会の様子が変わっているかもしれやせん。			そんなことより、ほら、あんたが脅威を倒したことで、今度こそ教会の様子が変わっているかもしれやせん。			若木と枝に							
ダメルン巡礼教会跡の転送魔紋を、見に行きやしょう。あたしは妖精王にお声がけしてから向かいますゆえ、あんたは先に行ってくださいな。			ダメルン巡礼教会跡の転送魔紋を、見に行きやしょう。あたしは妖精王にお声がけしてから向かいますゆえ、あんたは先に行ってくださいな。			若木と枝に							
ダメルン巡礼教会跡で、しばしお待ちを……妖精王と、諸々の妖精たちを連れて行きまさァ！			ダメルン巡礼教会跡で、しばしお待ちを……妖精王と、諸々の妖精たちを連れて行きまさァ！			若木と枝に							
……確かに、妖精除けのまじないが消えているのだわ。			……確かに、妖精除けのまじないが消えているのだわ。			若木と枝に							
じゃあ、今度こそ葬儀は済んだということで？			じゃあ、今度こそ葬儀は済んだということで？			若木と枝に							
ええ、巡礼路の先に潜んでいた脅威が葬られたことで、そうみなされたようね。			ええ、巡礼路の先に潜んでいた脅威が葬られたことで、そうみなされたようね。			若木と枝に							
どこまでが大司教の願いだったのか……あるいは最初からすべて偶然だったのか、真実を知る由はないわ。			どこまでが大司教の願いだったのか……あるいは最初からすべて偶然だったのか、真実を知る由はないわ。			若木と枝に							
だから、ほかの誰でもなく私から言わせてね。			だから、ほかの誰でもなく私から言わせてね。			若木と枝に							
この『虹の国』に降りかかる凶事を、未然に防いでくれたこと、妖精王ティターニアとして感謝します。			この『虹の国』に降りかかる凶事を、未然に防いでくれたこと、妖精王ティターニアとして感謝します。			若木と枝に							
しかし、いったい何だったんだ？若木が倒した化け物は。			しかし、いったい何だったんだ？若木が倒した化け物は。			若木と枝に							
白と黒とがごっちゃになった、複雑怪奇な脅威らしいが。			白と黒とがごっちゃになった、複雑怪奇な脅威らしいが。			若木と枝に							
それに、その先で見たっていう部屋も不思議よね～。聞いた感じ、教会の一室とは思えないけれど。			それに、その先で見たっていう部屋も不思議よね～。聞いた感じ、教会の一室とは思えないけれど。			若木と枝に							
そうね……まず化け物の方については……。			そうね……まず化け物の方については……。			若木と枝に							
その昔、闇満ちる世界からこちらの世界に渡ってきて、「光の戦士」の仲間となった越境者がいたでしょう？彼女なら、心あたりがあるんじゃないかしら。			その昔、闇満ちる世界からこちらの世界に渡ってきて、「光の戦士」の仲間となった越境者がいたでしょう？彼女なら、心あたりがあるんじゃないかしら。			若木と枝に							
当時は重たい荷物を抱えていたようだから、零れ落ちてしまったものがあっても不思議ではないのだわ。……気になるなら、あとで会いに行ってごらんなさいな。			当時は重たい荷物を抱えていたようだから、零れ落ちてしまったものがあっても不思議ではないのだわ。……気になるなら、あとで会いに行ってごらんなさいな。			若木と枝に							
あなたが冒険していた、闇満ちる彼方の世界。そこにいた者たちと似ているように感じたけれど、どうしてこちらにやってきたやら……。			あなたが冒険していた、闇満ちる彼方の世界。そこにいた者たちと似ているように感じたけれど、どうしてこちらにやってきたやら……。			若木と枝に							
いろいろな依頼を通じて、出会いを重ねていけば、いつかわかるときが来るかもしれないのだわ。			いろいろな依頼を通じて、出会いを重ねていけば、いつかわかるときが来るかもしれないのだわ。			若木と枝に							
闇の化身が、罪喰いを取り込んだように思えるのだわ。ただ、今のノルヴラントでは、強い闇を宿した存在が、自然に生じることはないはず。			闇の化身が、罪喰いを取り込んだように思えるのだわ。ただ、今のノルヴラントでは、強い闇を宿した存在が、自然に生じることはないはず。			若木と枝に							
別の世界からの来訪者と言われた方が、前例もあることだし、まだしも信じられるというものよ。			別の世界からの来訪者と言われた方が、前例もあることだし、まだしも信じられるというものよ。			若木と枝に							
あなたがもっと世界の真実に迫っていけば、自ずとこの謎も解けるのかもしれない。……楽しみにしているわね？			あなたがもっと世界の真実に迫っていけば、自ずとこの謎も解けるのかもしれない。……楽しみにしているわね？			若木と枝に							
闇の化身が、罪喰いを取り込んだように思えるのだわ。ただ、今のノルヴラントでは、強い闇を宿した存在が、自然に生じることはないはず。			闇の化身が、罪喰いを取り込んだように思えるのだわ。ただ、今のノルヴラントでは、強い闇を宿した存在が、自然に生じることはないはず。			若木と枝に							
だから、あれが何で、どうしてあそこにいたのか、正確なところはわからないの。			だから、あれが何で、どうしてあそこにいたのか、正確なところはわからないの。			若木と枝に							
でも、あなたがあちこちで冒険を続けていれば、いつか必ず……この謎の答えだって、舞い込んでくるでしょう。			でも、あなたがあちこちで冒険を続けていれば、いつか必ず……この謎の答えだって、舞い込んでくるでしょう。			若木と枝に							
最後に見た部屋についても、私が今ここで語るべき言葉はなさそうよ。			最後に見た部屋についても、私が今ここで語るべき言葉はなさそうよ。			若木と枝に							
化け物が散った直後、そのエーテルが充満する中で転移を行ったことで、刹那、そこに刻まれた記憶を垣間見たのかもしれない……。			化け物が散った直後、そのエーテルが充満する中で転移を行ったことで、刹那、そこに刻まれた記憶を垣間見たのかもしれない……。			若木と枝に							
あるはずのない風景……優しいまぼろし……そして振り出しに戻されるだなんて、まるで私たちの悪戯だわ！			あるはずのない風景……優しいまぼろし……そして振り出しに戻されるだなんて、まるで私たちの悪戯だわ！			若木と枝に							
だけど、転送魔紋はまだ動いてるみたい……。こっちは葬儀が終わっても止まってくれないんだね……。			だけど、転送魔紋はまだ動いてるみたい……。こっちは葬儀が終わっても止まってくれないんだね……。			若木と枝に							
危険そうな罪喰いは倒してもらったから、このままにしておいても脅威にはならないはずよ。			危険そうな罪喰いは倒してもらったから、このままにしておいても脅威にはならないはずよ。			若木と枝に							
……とはいえ、妖精たちが興味本位で使いかねないのだわ。今度は私の力で、妖精除けのまじないを掛けておきましょう。			……とはいえ、妖精たちが興味本位で使いかねないのだわ。今度は私の力で、妖精除けのまじないを掛けておきましょう。			若木と枝に							
それで、すっかり終わりになるわけだけど……ねえ、今回の冒険はどうだったかしら？			それで、すっかり終わりになるわけだけど……ねえ、今回の冒険はどうだったかしら？			若木と枝に							
何と言う？			何と言う？			若木と枝に							
すごく楽しかった！			すごく楽しかった！			若木と枝に							
そこそこ興味深かった			そこそこ興味深かった			若木と枝に							
本当に大変だった……			本当に大変だった……			若木と枝に							
ふふ……。今度、『私の友』に自慢しちゃうのだわ！			ふふ……。今度、『私の友』に自慢しちゃうのだわ！			若木と枝に							
さあ、まじないを掛けましょう。皆、そのまま離れていて頂戴な。			さあ、まじないを掛けましょう。皆、そのまま離れていて頂戴な。			若木と枝に							
巡礼路の果てに着いても、あなたの旅路はまだまだ続く……。			巡礼路の果てに着いても、あなたの旅路はまだまだ続く……。			若木と枝に							
いつか本当の終点に至るまで、どうか契りを覚えていてね。			いつか本当の終点に至るまで、どうか契りを覚えていてね。			若木と枝に							
あなたは私の『かわいい若木』……私はあなたの『美しい枝』……。			あなたは私の『かわいい若木』……私はあなたの『美しい枝』……。			若木と枝に							
ふたつのあいだに継ぎ目はないのよ！どんな境界だって、一緒に越えていけるんだから！			ふたつのあいだに継ぎ目はないのよ！どんな境界だって、一緒に越えていけるんだから！			若木と枝に							
これですべては丸く収まり、あたしもやっと、お役御免だ！あんたには今一度、水底より深くお礼をば。			これですべては丸く収まり、あたしもやっと、お役御免だ！あんたには今一度、水底より深くお礼をば。			若木と枝に							
もっとも、これきりの別れじゃありやせん。妖精王が帰り際に、しばらくここへ残るようにと、あたしらにお命じになったんでさァ。			もっとも、これきりの別れじゃありやせん。妖精王が帰り際に、しばらくここへ残るようにと、あたしらにお命じになったんでさァ。			若木と枝に							
本当にもう問題が起きないかを観察しつつ、あんたが再び巡礼路の探索に乗り出すようなら、引き続き手を貸すように、と……。			本当にもう問題が起きないかを観察しつつ、あんたが再び巡礼路の探索に乗り出すようなら、引き続き手を貸すように、と……。			若木と枝に							
そんなわけで、今後もお付き合いさせていただきやすが……入れ込みすぎないようにだけ、くれぐれもご用心くださいな。			そんなわけで、今後もお付き合いさせていただきやすが……入れ込みすぎないようにだけ、くれぐれもご用心くださいな。			若木と枝に							
なにせあそこは死せる巡礼路、そしてあたしらは妖精ゆえ。いつあんたを「向こう側」へと誘っちまうやら……ねェ！			なにせあそこは死せる巡礼路、そしてあたしらは妖精ゆえ。いつあんたを「向こう側」へと誘っちまうやら……ねェ！			若木と枝に							
ピルグリム・トラバースの完全踏破、おめでとうございます！			ピルグリム・トラバースの完全踏破、おめでとうございます！			若木と枝に							
最深部で回収した「光耀聖典」を、「オセ＝ウィド」に渡すことで、4種類のアクセサリと交換できます。			最深部で回収した「光耀聖典」を、「オセ＝ウィド」に渡すことで、4種類のアクセサリと交換できます。			若木と枝に							
それらのアクセサリをすべて所持、もしくは装備し、「インク＝ダエン」に話しかけることで、アチーブメントと、特別なアイテムを入手できます。			それらのアクセサリをすべて所持、もしくは装備し、「インク＝ダエン」に話しかけることで、アチーブメントと、特別なアイテムを入手できます。			若木と枝に							
また、巡礼路の終点に到達したことで、「詩想エミネントグリーフ討滅戦」に、挑戦できるようになりました。			また、巡礼路の終点に到達したことで、「詩想エミネントグリーフ討滅戦」に、挑戦できるようになりました。			若木と枝に							
これは、ピルグリム・トラバースの踏破状況に関わらず、エミネントグリーフ戦だけを遊ぶことができるコンテンツです。			これは、ピルグリム・トラバースの踏破状況に関わらず、エミネントグリーフ戦だけを遊ぶことができるコンテンツです。			若木と枝に							
通常の「エミネントグリーフ討滅戦」とは異なり、「詩想」されたエミネントグリーフは、独自の強さを有しているようです。			通常の「エミネントグリーフ討滅戦」とは異なり、「詩想」されたエミネントグリーフは、独自の強さを有しているようです。			若木と枝に							
ヴァンサウに話しかけ、「説明を見る」から遊び方を確認したのち、「詩想エミネントグリーフ討滅戦に挑戦する」で突入しましょう！			ヴァンサウに話しかけ、「説明を見る」から遊び方を確認したのち、「詩想エミネントグリーフ討滅戦に挑戦する」で突入しましょう！			若木と枝に							
……なに？光耀教会の巡礼路を辿った果てで、罪喰いを取り込んだ妖異らしきものを討ってきた、だと？			……なに？光耀教会の巡礼路を辿った果てで、罪喰いを取り込んだ妖異らしきものを討ってきた、だと？			巡礼路の解明							
ここだと、どうにも騒がしい。向こうで詳しく聞かせてもらえるか？			ここだと、どうにも騒がしい。向こうで詳しく聞かせてもらえるか？			巡礼路の解明							
さて、いかなる存在と戦い、何を見てきたのか、教えてもらえるだろうか？			さて、いかなる存在と戦い、何を見てきたのか、教えてもらえるだろうか？			巡礼路の解明							
……まったく、君というヤツは、どうしてこうも人が忘れたがっている過去ばかりを、暴いてしまうんだ？			……まったく、君というヤツは、どうしてこうも人が忘れたがっている過去ばかりを、暴いてしまうんだ？			巡礼路の解明							
いや、君に当たるのは筋違いだな。すまない、感謝しているんだ、これでもな……。			いや、君に当たるのは筋違いだな。すまない、感謝しているんだ、これでもな……。			巡礼路の解明							
おそらく、君が倒した存在は、私が第十三世界において「最初の死」を経験する前に、討伐した大妖異の成れの果てだと思う。			おそらく、君が倒した存在は、私が第十三世界において「最初の死」を経験する前に、討伐した大妖異の成れの果てだと思う。			巡礼路の解明							
当時、私はメモリア使いのひとりとして、各地を旅し、人に仇なす存在を狩ってまわっていた。			当時、私はメモリア使いのひとりとして、各地を旅し、人に仇なす存在を狩ってまわっていた。			巡礼路の解明							
そのうちの一体が、君が戦った存在と酷似しているんだ。			そのうちの一体が、君が戦った存在と酷似しているんだ。			巡礼路の解明							
私は、そいつを倒したとき「メモリア」に封印した。放置しておけば、いずれ復活してしまうからな。			私は、そいつを倒したとき「メモリア」に封印した。放置しておけば、いずれ復活してしまうからな。			巡礼路の解明							
そして、アシエンによって魂を引き上げられ、第一世界に渡って「闇の英雄」となる使命を与えられたとき、件のメモリアのことを思い出したんだ。			そして、アシエンによって魂を引き上げられ、第一世界に渡って「闇の英雄」となる使命を与えられたとき、件のメモリアのことを思い出したんだ。			巡礼路の解明							
強力な妖異を封じられたそれには、莫大な闇の力が宿っている。切り札になり得るんじゃないか、とね……。			強力な妖異を封じられたそれには、莫大な闇の力が宿っている。切り札になり得るんじゃないか、とね……。			巡礼路の解明							
君も知っているだろう？メモリア使いは、メモリアから力を引き出すことができる。			君も知っているだろう？メモリア使いは、メモリアから力を引き出すことができる。			巡礼路の解明							
だが私は、これを第一世界に持ち込みはしたものの、レイクランドに築いた拠点に秘匿したまま、手を付けることはなかった。			だが私は、これを第一世界に持ち込みはしたものの、レイクランドに築いた拠点に秘匿したまま、手を付けることはなかった。			巡礼路の解明							
本気でアルバートたちに勝ちたかったのであれば、使うべき武器だったのかもしれないが……。			本気でアルバートたちに勝ちたかったのであれば、使うべき武器だったのかもしれないが……。			巡礼路の解明							
結局、恐れたんだろうな。自分が闇のメモリア使いたちと同じように、異形に成り果ててしまうことを……。			結局、恐れたんだろうな。自分が闇のメモリア使いたちと同じように、異形に成り果ててしまうことを……。			巡礼路の解明							
笑えるだろう？とっくにアシエンの使徒となって、人から外れた異形者になっているというのに……。			笑えるだろう？とっくにアシエンの使徒となって、人から外れた異形者になっているというのに……。			巡礼路の解明							
何と答える？			何と答える？			巡礼路の解明							
今でもサイエラは「人」だ			今でもサイエラは「人」だ			巡礼路の解明							
本心ではアルバートたちに負けたかった？			本心ではアルバートたちに負けたかった？			巡礼路の解明							
…………			…………			巡礼路の解明							
そう言ってくれるのか。君は優しいな……。			そう言ってくれるのか。君は優しいな……。			巡礼路の解明							
……そう言い切れるなら、私は私を憎まずにいられたのかもしれないな。複雑なんだよ、心というやつは……。			……そう言い切れるなら、私は私を憎まずにいられたのかもしれないな。複雑なんだよ、心というやつは……。			巡礼路の解明							
反応に困るのも無理はないさ。			反応に困るのも無理はないさ。			巡礼路の解明							
……とにかくだ。今や入る手段もなくなった私室なら、メモリアの保管場所としては十分だろうと油断していた。			……とにかくだ。今や入る手段もなくなった私室なら、メモリアの保管場所としては十分だろうと油断していた。			巡礼路の解明							
膨大な闇の力を感知した罪喰いが集まり、光を注いだことで、メモリアの封印が破れてしまったのだろう。そして罪喰いを取り込み、狂える復讐鬼と化してしまった……。			膨大な闇の力を感知した罪喰いが集まり、光を注いだことで、メモリアの封印が破れてしまったのだろう。そして罪喰いを取り込み、狂える復讐鬼と化してしまった……。			巡礼路の解明							
君が討ち果たしてくれなければ、いかなる被害が出ていたのかもわからない。			君が討ち果たしてくれなければ、いかなる被害が出ていたのかもわからない。			巡礼路の解明							
大罪人たる影の王として、心からの謝罪を……。そして、ノルヴラントに生きる者のひとりとして、感謝をさせてくれ。			大罪人たる影の王として、心からの謝罪を……。そして、ノルヴラントに生きる者のひとりとして、感謝をさせてくれ。			巡礼路の解明							
ありがとう、闇の戦士にして、光の戦士たる者よ。			ありがとう、闇の戦士にして、光の戦士たる者よ。			巡礼路の解明							
