イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
一本気なホウキと話し、隠されたホウキが、彼らの妹にあたる存在だと知った。マトーヤの洞窟の「二枚目なホウキ」からも話を聞こう。			一本気なホウキと話し、隠されたホウキが、彼らの妹にあたる存在だと知った。マトーヤの洞窟の「二枚目なホウキ」からも話を聞こう。			フシギナジュモン							
二枚目なホウキと話し、呪文はマトーヤの大事なものらしいと知った。マトーヤの洞窟の「三下りなホウキ」からも話を聞こう。			二枚目なホウキと話し、呪文はマトーヤの大事なものらしいと知った。マトーヤの洞窟の「三下りなホウキ」からも話を聞こう。			フシギナジュモン							
三下りなホウキに、マトーヤの大事なものについて聞いた。心当たりがありすぎて選べないそうだが、反対に、嫌いなものは弟子の「シュトラ」だそうだ。マトーヤの洞窟の「サロ・ロッゴ」と話そう。			三下りなホウキに、マトーヤの大事なものについて聞いた。心当たりがありすぎて選べないそうだが、反対に、嫌いなものは弟子の「シュトラ」だそうだ。マトーヤの洞窟の「サロ・ロッゴ」と話そう。			フシギナジュモン							
サロ・ロッゴと話した。これまでの証言や、サロ・ロッゴの言葉から、隠されたホウキを呼び出す呪文を推理しよう。呪文がわかったら、低地ドラヴァニアのマトーヤの洞窟東にある「指定地点」に向かい、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			サロ・ロッゴと話した。これまでの証言や、サロ・ロッゴの言葉から、隠されたホウキを呼び出す呪文を推理しよう。呪文がわかったら、低地ドラヴァニアのマトーヤの洞窟東にある「指定地点」に向かい、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			フシギナジュモン							
呪文を告げたところ、近くで物音と声がした。マトーヤの洞窟東にある橋付近で、「四つ葉なホウキ」と話そう。			呪文を告げたところ、近くで物音と声がした。マトーヤの洞窟東にある橋付近で、「四つ葉なホウキ」と話そう。			フシギナジュモン							
四つ葉なホウキと話したが、彼女が持っている知識は、シュトラにまつわる思い出だけだった。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			四つ葉なホウキと話したが、彼女が持っている知識は、シュトラにまつわる思い出だけだった。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			フシギナジュモン							
サロ・ロッゴに報告した。いよいよマトーヤの望みを知るすべがなくなって、サロ・ロッゴは大いに落胆しているようだ。			サロ・ロッゴに報告した。いよいよマトーヤの望みを知るすべがなくなって、サロ・ロッゴは大いに落胆しているようだ。			フシギナジュモン							
一本気なホウキと話す			一本気なホウキと話す			フシギナジュモン							
二枚目なホウキと話す			二枚目なホウキと話す			フシギナジュモン							
三下りなホウキと話す			三下りなホウキと話す			フシギナジュモン							
サロ・ロッゴと話す			サロ・ロッゴと話す			フシギナジュモン							
マトーヤの洞窟東の指定地点周辺に向かいチャットの「Say」モードで呪文を告げる			マトーヤの洞窟東の指定地点周辺に向かいチャットの「Say」モードで呪文を告げる			フシギナジュモン							
四つ葉なホウキと話す			四つ葉なホウキと話す			フシギナジュモン							
サロ・ロッゴに報告			サロ・ロッゴに報告			フシギナジュモン							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			フシギナジュモン							
ゲコゲコォ……。いかがでしたか、お客人様。マトーヤ様の望みについて、ホウキから聞けたでしょうか？			ゲコゲコォ……。いかがでしたか、お客人様。マトーヤ様の望みについて、ホウキから聞けたでしょうか？			フシギナジュモン							
おお、なんと！まさか誰も知らないとは……。知りたがりのホウキのくせに、どうにもスカスカ頭ケロ。			おお、なんと！まさか誰も知らないとは……。知りたがりのホウキのくせに、どうにもスカスカ頭ケロ。			フシギナジュモン							
お客人様、手を煩わせてすみませんケロ。けれど、あとひとつ……最後の希望に賭けたいケロ！			お客人様、手を煩わせてすみませんケロ。けれど、あとひとつ……最後の希望に賭けたいケロ！			フシギナジュモン							
……実は、1本だけ、洞窟の外に隠されたホウキがいるケロ。以前、マトーヤ様が「呪文」を唱えて、そのホウキを呼び出しているのを見ましたケロ。			……実は、1本だけ、洞窟の外に隠されたホウキがいるケロ。以前、マトーヤ様が「呪文」を唱えて、そのホウキを呼び出しているのを見ましたケロ。			フシギナジュモン							
あれが特別なホウキなら、何でも知ってるに違いないケロ。肝心の呪文が聞き取れませんでしたが……ホウキのことなら、今度こそホウキが知ってるはずケロ！			あれが特別なホウキなら、何でも知ってるに違いないケロ。肝心の呪文が聞き取れませんでしたが……ホウキのことなら、今度こそホウキが知ってるはずケロ！			フシギナジュモン							
洞窟の外にいる、特別なホウキを呼ぶための呪文……。ホウキのことなら、今度こそホウキが知ってるはずケロ！			洞窟の外にいる、特別なホウキを呼ぶための呪文……。ホウキのことなら、今度こそホウキが知ってるはずケロ！			フシギナジュモン							
マタマタ、ゴヨウデ、サッサカサ！さっきはどうもアリガトウ。聞きたいことがあるのなら、今ならサッサと答えまショウ！			マタマタ、ゴヨウデ、サッサカサ！さっきはどうもアリガトウ。聞きたいことがあるのなら、今ならサッサと答えまショウ！			フシギナジュモン							
……ナルホド、ショウチデ、サッサカサ！呪文については知らないけれど、確かに外にもホウキはいるヨ！			……ナルホド、ショウチデ、サッサカサ！呪文については知らないけれど、確かに外にもホウキはいるヨ！			フシギナジュモン							
ボクらと同じ木から作られた、柄のツヤツヤした妹チャン。ほかの兄弟たちならば、最近会っているかもネ！			ボクらと同じ木から作られた、柄のツヤツヤした妹チャン。ほかの兄弟たちならば、最近会っているかもネ！			フシギナジュモン							
確かに外にもホウキはいるヨ！ボクらと同じ木から作られた、柄のツヤツヤした妹チャン。ほかの兄弟たちならば、最近会っているかもネ！			確かに外にもホウキはいるヨ！ボクらと同じ木から作られた、柄のツヤツヤした妹チャン。ほかの兄弟たちならば、最近会っているかもネ！			フシギナジュモン							
ボクニモ、ゴヨウデ、サッサカサ！……妹ちゃんに興味があるノ？彼女はとっても可愛いけれど、手を出さないなら教えてアゲル。			ボクニモ、ゴヨウデ、サッサカサ！……妹ちゃんに興味があるノ？彼女はとっても可愛いけれど、手を出さないなら教えてアゲル。			フシギナジュモン							
妹ちゃんは外にいて、ボクらでさえも、まず会えナイ。それでもどうにか一度だけ、穂のお手入れで会えたから、会う方法を聞いたのサ。			妹ちゃんは外にいて、ボクらでさえも、まず会えナイ。それでもどうにか一度だけ、穂のお手入れで会えたから、会う方法を聞いたのサ。			フシギナジュモン							
マトーヤ様の大事なモノ……それを告げてくれたなら、また会えるって彼女は言ッタ。ボクにはわからないけれど、ほかの兄弟はどうカシラ？			マトーヤ様の大事なモノ……それを告げてくれたなら、また会えるって彼女は言ッタ。ボクにはわからないけれど、ほかの兄弟はどうカシラ？			フシギナジュモン							
マトーヤ様の大事なモノ……それを告げてくれたなら、また会えるって彼女は言ッタ。ボクにはわからないけれど、ほかの兄弟はどうカシラ？			マトーヤ様の大事なモノ……それを告げてくれたなら、また会えるって彼女は言ッタ。ボクにはわからないけれど、ほかの兄弟はどうカシラ？			フシギナジュモン							
コンドハ、ナニカナ、サッサカサ！……マトーヤ様の大事なモノ？研究成果や、秘宝にお茶……いっぱいあって大混乱！			コンドハ、ナニカナ、サッサカサ！……マトーヤ様の大事なモノ？研究成果や、秘宝にお茶……いっぱいあって大混乱！			フシギナジュモン							
いちばん嫌いなものならば、すぐにわかるんだけれどネ。ほらほら、ご存じ、最後のお弟子……「シュトラ」のことに決まってル！			いちばん嫌いなものならば、すぐにわかるんだけれどネ。ほらほら、ご存じ、最後のお弟子……「シュトラ」のことに決まってル！			フシギナジュモン							
今でもブツクサ文句を言って、あれは相当嫌いだネ！何かにつけて、やれ「シュトラ」！まったくもって……サッサカサ！			今でもブツクサ文句を言って、あれは相当嫌いだネ！何かにつけて、やれ「シュトラ」！まったくもって……サッサカサ！			フシギナジュモン							
いちばん嫌いなものならば、すぐにわかるんだけれどネ。ほらほら、ご存じ、最後のお弟子……「シュトラ」のことに決まってル！			いちばん嫌いなものならば、すぐにわかるんだけれどネ。ほらほら、ご存じ、最後のお弟子……「シュトラ」のことに決まってル！			フシギナジュモン							
ゲコゲーコ！特別なホウキを呼ぶ呪文、無事に判明したのでしょうか……？			ゲコゲーコ！特別なホウキを呼ぶ呪文、無事に判明したのでしょうか……？			フシギナジュモン							
ふむふむ、なるほど、ケロケロケロ……。マトーヤ様の大事なもの……。「シュトラ」が嫌いで……サッ……サカサ……。			ふむふむ、なるほど、ケロケロケロ……。マトーヤ様の大事なもの……。「シュトラ」が嫌いで……サッ……サカサ……。			フシギナジュモン							
……ゲコゲゴゲコォ！ち～～～っともわからないケロ！			……ゲコゲゴゲコォ！ち～～～っともわからないケロ！			フシギナジュモン							
お客人様、もしも呪文がわかったならば、ここより東の橋のあたりで、叫んでみてほしいケロ。前に見たマトーヤ様は、そこでホウキと会っていたケロ。			お客人様、もしも呪文がわかったならば、ここより東の橋のあたりで、叫んでみてほしいケロ。前に見たマトーヤ様は、そこでホウキと会っていたケロ。			フシギナジュモン							
マトーヤの洞窟の東にある「指定地点」周辺で、呪文を唱える必要がありそうだ……。			マトーヤの洞窟の東にある「指定地点」周辺で、呪文を唱える必要がありそうだ……。			フシギナジュモン							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			フシギナジュモン							
マトーヤ様の大事なもの……。「シュトラ」が嫌いで……サッ……サカサ……。…………ゲコォ、ちっともわからないケロ！			マトーヤ様の大事なもの……。「シュトラ」が嫌いで……サッ……サカサ……。…………ゲコォ、ちっともわからないケロ！			フシギナジュモン							
お客人様、もしも呪文がわかったならば、ここより東の橋のあたりで、叫んでみてほしいケロ。前に見たマトーヤ様は、そこでホウキと会っていたケロ。			お客人様、もしも呪文がわかったならば、ここより東の橋のあたりで、叫んでみてほしいケロ。前に見たマトーヤ様は、そこでホウキと会っていたケロ。			フシギナジュモン							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで呪文を入力しよう。			フシギナジュモン							
呪文を告げると、近くで物音がした……。			呪文を告げると、近くで物音がした……。			フシギナジュモン							
(-？？？？-)……フシギナ、ジュモン、サ、サッサカサ。ワタシのことを、お呼びですカ……？			(-？？？？-)……フシギナ、ジュモン、サ、サッサカサ。ワタシのことを、お呼びですカ……？			フシギナジュモン							
オヨビ、デシタカ、サッサカサ……。見たところ、旅のお方のようですネ。			オヨビ、デシタカ、サッサカサ……。見たところ、旅のお方のようですネ。			フシギナジュモン							
ワタシは何も望みませんから、どうか、ワタシに望みませんヨウ……。お役にたてる知識など、これっぽっちもないのデス。			ワタシは何も望みませんから、どうか、ワタシに望みませんヨウ……。お役にたてる知識など、これっぽっちもないのデス。			フシギナジュモン							
ワタシがマトーヤ様から授かったのは、「思い出」という名の知識……。			ワタシがマトーヤ様から授かったのは、「思い出」という名の知識……。			フシギナジュモン							
小さなシュトラのあたたかな手や、彼女の起こした失敗のコト……成長のコト……。使命を負って旅立つまでの、他愛もない会話の記録……。			小さなシュトラのあたたかな手や、彼女の起こした失敗のコト……成長のコト……。使命を負って旅立つまでの、他愛もない会話の記録……。			フシギナジュモン							
マトーヤ様は、それらを傍に置けないお方。ゆえにワタシは洞窟を出て、この知識を、ひっそり守っているのデス。			マトーヤ様は、それらを傍に置けないお方。ゆえにワタシは洞窟を出て、この知識を、ひっそり守っているのデス。			フシギナジュモン							
……わかっていただけましたでしょうカ。どうかどうか、ササッとお引き取りくださいマセ……。			……わかっていただけましたでしょうカ。どうかどうか、ササッとお引き取りくださいマセ……。			フシギナジュモン							
ワタシがマトーヤ様から授かったのは、「思い出」という名の知識……。お役にたてる知識など、これっぽっちもないのデス。			ワタシがマトーヤ様から授かったのは、「思い出」という名の知識……。お役にたてる知識など、これっぽっちもないのデス。			フシギナジュモン							
ゲ、ゲコォ！？まさか、ホウキと会えたのですか！さすがケロ……それで、そのホウキは何と？			ゲ、ゲコォ！？まさか、ホウキと会えたのですか！さすがケロ……それで、そのホウキは何と？			フシギナジュモン							
……な、なんてことケロ。わたくしめでは、シュトラ様には到底なれない……。ゲコォ……完全に行き詰まったケロ！			……な、なんてことケロ。わたくしめでは、シュトラ様には到底なれない……。ゲコォ……完全に行き詰まったケロ！			フシギナジュモン							
ゲコゲコゲーコ、もうだめだ……！わたくしめは、何の役にも立てない、能なしポロッゴ！きっと今に、ただのトードに戻されるケロ～～～ッ！			ゲコゲコゲーコ、もうだめだ……！わたくしめは、何の役にも立てない、能なしポロッゴ！きっと今に、ただのトードに戻されるケロ～～～ッ！			フシギナジュモン							
シュトラ			シュトラ			フシギナジュモン							
ラトュシ			ラトュシ			フシギナジュモン							
第IV転送リング付近の狩猟システムは、静かに佇んでいる。			第IV転送リング付近の狩猟システムは、静かに佇んでいる。			狩るか、狩られるか							
狩猟システムからエンプーサの狩猟を勧められた。アジス・ラーのベータ管区にいる「エンプーサ」を4体討伐しよう。			狩猟システムからエンプーサの狩猟を勧められた。アジス・ラーのベータ管区にいる「エンプーサ」を4体討伐しよう。			狩るか、狩られるか							
エンプーサを討伐した。第IV転送リング付近の「狩猟システム」に報告しよう。			エンプーサを討伐した。第IV転送リング付近の「狩猟システム」に報告しよう。			狩るか、狩られるか							
狩猟システムに報告した。どうやら、冒険者はハンティングする側ではなく、ハンティングされる側だったようだ……。			狩猟システムに報告した。どうやら、冒険者はハンティングする側ではなく、ハンティングされる側だったようだ……。			狩るか、狩られるか							
エンプーサを討伐			エンプーサを討伐			狩るか、狩られるか							
狩猟システムに報告			狩猟システムに報告			狩るか、狩られるか							
……ザザ……こちらは、「魔科学研究所」福利厚生部門です！気晴らしにスリリングな、ハンティングはいかがですか？			……ザザ……こちらは、「魔科学研究所」福利厚生部門です！気晴らしにスリリングな、ハンティングはいかがですか？			狩るか、狩られるか							
健康的な市民生活は、日々の適度な運動から！本日のターゲットは、「エンプーサ」4体です！さあ、己の限界に挑戦してみましょう！			健康的な市民生活は、日々の適度な運動から！本日のターゲットは、「エンプーサ」4体です！さあ、己の限界に挑戦してみましょう！			狩るか、狩られるか							
健康的な市民生活は、日々の適度な運動から！本日のターゲットは、「エンプーサ」4体です！さあ、己の限界に挑戦してみましょう！			健康的な市民生活は、日々の適度な運動から！本日のターゲットは、「エンプーサ」4体です！さあ、己の限界に挑戦してみましょう！			狩るか、狩られるか							
ザ……ザザ……業務連絡、業務連絡、主任研究員……ザザ……の、新型対人生体兵器「エンプーサ」が排除された模様……。			ザ……ザザ……業務連絡、業務連絡、主任研究員……ザザ……の、新型対人生体兵器「エンプーサ」が排除された模様……。			狩るか、狩られるか							
まことに遺憾です。ところで……ハンティング対象であるあなたが、なぜ、生きているのでしょうか……ザザ……。			まことに遺憾です。ところで……ハンティング対象であるあなたが、なぜ、生きているのでしょうか……ザザ……。			狩るか、狩られるか							
ポート・ヘリックスのシドは、何やら考えがあるようだ。			ポート・ヘリックスのシドは、何やら考えがあるようだ。			アラグの遺産							
まずは、中枢施設に繋がる情報端末を探すことになった。ポート・ヘリックス周辺にある「指定地点」3箇所で見渡そう。			まずは、中枢施設に繋がる情報端末を探すことになった。ポート・ヘリックス周辺にある「指定地点」3箇所で見渡そう。			アラグの遺産							
操作できそうな装置を探してみたが、発見できなかった。ポート・ヘリックスの「シド」と話そう。			操作できそうな装置を探してみたが、発見できなかった。ポート・ヘリックスの「シド」と話そう。			アラグの遺産							
シドから、姿の見当たらないウェッジを探すよう頼まれた。ポート・ヘリックス付近にある「指定地点」で見渡そう。			シドから、姿の見当たらないウェッジを探すよう頼まれた。ポート・ヘリックス付近にある「指定地点」で見渡そう。			アラグの遺産							
ウェッジを発見した。彼が発見した誘導システムに、アカウントを登録した。ポート・ヘリックスの「シド」と話そう。			ウェッジを発見した。彼が発見した誘導システムに、アカウントを登録した。ポート・ヘリックスの「シド」と話そう。			アラグの遺産							
シドの思惑どおり、誘導システムが装置から情報を引き出してくれた。ひとまず、旗艦島の魔科学研究所を目指すことにした一行。三闘神とは、そして教皇が求めるものとは、何なのだろうか……？			シドの思惑どおり、誘導システムが装置から情報を引き出してくれた。ひとまず、旗艦島の魔科学研究所を目指すことにした一行。三闘神とは、そして教皇が求めるものとは、何なのだろうか……？			アラグの遺産							
指定地点で見渡す			指定地点で見渡す			アラグの遺産							
シドと話す			シドと話す			アラグの遺産							
指定地点で見渡す			指定地点で見渡す			アラグの遺産							
シドと話す			シドと話す			アラグの遺産							
まずは、ここをベースキャンプとして、教皇ご一行様の行方を捜すのがいいと思うんだが、どうだ？闇雲に歩いても、効率的じゃないだろう？			まずは、ここをベースキャンプとして、教皇ご一行様の行方を捜すのがいいと思うんだが、どうだ？闇雲に歩いても、効率的じゃないだろう？			アラグの遺産							
確かに、この広い「魔大陸」を、あてどもなく探し回るのは、いかにも具合が悪い……。だが、どうやって教皇たちを探そうというんだ？			確かに、この広い「魔大陸」を、あてどもなく探し回るのは、いかにも具合が悪い……。だが、どうやって教皇たちを探そうというんだ？			アラグの遺産							
おそらく、ここは古代の飛空艇発着場だ。これだけの規模の施設となれば、魔大陸の中枢施設と繋がる、情報端末があるはずだ……そいつを探す。			おそらく、ここは古代の飛空艇発着場だ。これだけの規模の施設となれば、魔大陸の中枢施設と繋がる、情報端末があるはずだ……そいつを探す。			アラグの遺産							
みんな、手分けして辺りを探し、人が操作できそうな装置がないか見て回ってくれ。			みんな、手分けして辺りを探し、人が操作できそうな装置がないか見て回ってくれ。			アラグの遺産							
そいつは機能を停止しているようでな。皆といっしょに、ほかに情報端末がないか探してくれ。			そいつは機能を停止しているようでな。皆といっしょに、ほかに情報端末がないか探してくれ。			アラグの遺産							
こいつは驚いたな。まだ設備が生きているぞ……。			こいつは驚いたな。まだ設備が生きているぞ……。			アラグの遺産							
すごいところッス……。			すごいところッス……。			アラグの遺産							
確かにシドの言うとおりだ……。悲しくとも、今はただ進むのみか……。			確かにシドの言うとおりだ……。悲しくとも、今はただ進むのみか……。			アラグの遺産							
禍々しい気配を感じるぜ……。			禍々しい気配を感じるぜ……。			アラグの遺産							
私たちには、果たすべき目的があるわ。もう一度、気を引き締めていきましょう。			私たちには、果たすべき目的があるわ。もう一度、気を引き締めていきましょう。			アラグの遺産							
なんて巨大なんだ……。聖コイナク財団のレポートにあった「ラグナロク級拘束艦」すら、着艦できそうな規模だぞ……。			なんて巨大なんだ……。聖コイナク財団のレポートにあった「ラグナロク級拘束艦」すら、着艦できそうな規模だぞ……。			アラグの遺産							
なんて巨大なんだ……。古代アラグ文明は、いったいどんな規模の飛空艇を、運用していたというのだろう……。			なんて巨大なんだ……。古代アラグ文明は、いったいどんな規模の飛空艇を、運用していたというのだろう……。			アラグの遺産							
エオルゼアの空に、このような巨大施設が、浮かんでいたとは、夢にも思わなかったよ。			エオルゼアの空に、このような巨大施設が、浮かんでいたとは、夢にも思わなかったよ。			アラグの遺産							
ガレマール帝国の魔導技術の中には、古代アラグ文明の技術を、再現したものも少なくないんだ。端末さえ見つかれば、どうにか動かせると思うんだが……。			ガレマール帝国の魔導技術の中には、古代アラグ文明の技術を、再現したものも少なくないんだ。端末さえ見つかれば、どうにか動かせると思うんだが……。			アラグの遺産							
こんな時じゃなけりゃ、喜んで研究のために、調べ回るんだがなぁ……。			こんな時じゃなけりゃ、喜んで研究のために、調べ回るんだがなぁ……。			アラグの遺産							
悪いが、俺は機械には疎いんでな……。それよりも、気になるのは竜の気配を感じることだ。この「魔大陸」に、ドラゴン族がいるとでもいうのか？			悪いが、俺は機械には疎いんでな……。それよりも、気になるのは竜の気配を感じることだ。この「魔大陸」に、ドラゴン族がいるとでもいうのか？			アラグの遺産							
不気味な気配を感じる……。何者だ……？			不気味な気配を感じる……。何者だ……？			アラグの遺産							
ダメね……この辺りには、何もないみたい。			ダメね……この辺りには、何もないみたい。			アラグの遺産							
そうか、何も見つからなかったか。こっちは一応、見つけたものの……どうにも起動しなくてな。機工師としての俺の勘も、いよいよ鈍ってきたか？			そうか、何も見つからなかったか。こっちは一応、見つけたものの……どうにも起動しなくてな。機工師としての俺の勘も、いよいよ鈍ってきたか？			アラグの遺産							
……ところで、ウェッジの姿を見なかったか？ついさっきまで、俺の側にいたと思ったんだが……。			……ところで、ウェッジの姿を見なかったか？ついさっきまで、俺の側にいたと思ったんだが……。			アラグの遺産							
すまない、Forename。ウェッジの奴、施設の外まで行ったのかもしれない。周辺を探してきてくれないか？			すまない、Forename。ウェッジの奴、施設の外まで行ったのかもしれない。周辺を探してきてくれないか？			アラグの遺産							
すまない、Forename。ウェッジの奴、施設の外まで行ったのかもしれない。周辺を探してきてくれないか？			すまない、Forename。ウェッジの奴、施設の外まで行ったのかもしれない。周辺を探してきてくれないか？			アラグの遺産							
あいたたたたッス……。			あいたたたたッス……。			アラグの遺産							
どうした！？　何があった！			どうした！？　何があった！			アラグの遺産							
あっ、親方ッ……。面白そうな玩具がないか探していたら、ガラクタに足を取られて……。			あっ、親方ッ……。面白そうな玩具がないか探していたら、ガラクタに足を取られて……。			アラグの遺産							
馬鹿野郎、遊びでやってんじゃないんだぞ！アラグの防衛兵器が、ウロウロしているような場所まで、ひとりで出てくるなんて、何を考えてやがるんだ！			馬鹿野郎、遊びでやってんじゃないんだぞ！アラグの防衛兵器が、ウロウロしているような場所まで、ひとりで出てくるなんて、何を考えてやがるんだ！			アラグの遺産							
す、すんませんッス……。でも、お陰でいいモン見つけたッス！			す、すんませんッス……。でも、お陰でいいモン見つけたッス！			アラグの遺産							
……なんだ、防衛兵器の残骸か？			……なんだ、防衛兵器の残骸か？			アラグの遺産							
残骸なんかじゃないッス。コイツ、まだ生きてるッス！			残骸なんかじゃないッス。コイツ、まだ生きてるッス！			アラグの遺産							
ほらねッス！			ほらねッス！			アラグの遺産							
ピピ……「誘導システム」起動……。……初回セットアップを行いマス……。ライセンス条項を確認してくだサイ。			ピピ……「誘導システム」起動……。……初回セットアップを行いマス……。ライセンス条項を確認してくだサイ。			アラグの遺産							
ライセンス条項に同意する？			ライセンス条項に同意する？			アラグの遺産							
同意する！			同意する！			アラグの遺産							
同意する…			同意する…			アラグの遺産							
ライセンス条項への同意を確認……。新規アカウントを登録しマス。お客様のお名前を、音声で入力してくだサイ。			ライセンス条項への同意を確認……。新規アカウントを登録しマス。お客様のお名前を、音声で入力してくだサイ。			アラグの遺産							
オイラは「ウェッジ」。それから、こっちは「Surname」ッス！			オイラは「ウェッジ」。それから、こっちは「Surname」ッス！			アラグの遺産							
ピピ……新規アカウントの登録が完了しまシタ。ウェッジ様、Surname様……。ようこそ「アジス・ラー」へ！　ガイドをスタートしマス！			ピピ……新規アカウントの登録が完了しまシタ。ウェッジ様、Surname様……。ようこそ「アジス・ラー」へ！　ガイドをスタートしマス！			アラグの遺産							
まったく、野良犬じゃないんだぞ？……だが、案外使えるかもしれないな。			まったく、野良犬じゃないんだぞ？……だが、案外使えるかもしれないな。			アラグの遺産							
ウェッジ、その玉っころを、こっちに連れてきてくれ。試してみたいことがあるんだ。			ウェッジ、その玉っころを、こっちに連れてきてくれ。試してみたいことがあるんだ。			アラグの遺産							
おい、玉っころ！この施設のシステムを解析できるか！			おい、玉っころ！この施設のシステムを解析できるか！			アラグの遺産							
コラ！親方の命令に逆らうと、おやつ抜きッスよ？			コラ！親方の命令に逆らうと、おやつ抜きッスよ？			アラグの遺産							
よしよし、やればできる子ッス。			よしよし、やればできる子ッス。			アラグの遺産							
なになに……人工浮遊大陸「アジス・ラー」……ポート・ヘリックス……再稼働フェーズを実行中？			なになに……人工浮遊大陸「アジス・ラー」……ポート・ヘリックス……再稼働フェーズを実行中？			アラグの遺産							
再稼働……ということは、最近になって目覚めたということか。			再稼働……ということは、最近になって目覚めたということか。			アラグの遺産							
おそらく、教皇が「鍵」を使った影響だろうな。			おそらく、教皇が「鍵」を使った影響だろうな。			アラグの遺産							
おい、玉っころ！俺たち以外に「人」がいる施設はどこだ。			おい、玉っころ！俺たち以外に「人」がいる施設はどこだ。			アラグの遺産							
アジス・ラー旗艦島の「魔科学研究所」……および「博物戦艦」が職員の制御下にあり……			アジス・ラー旗艦島の「魔科学研究所」……および「博物戦艦」が職員の制御下にあり……			アラグの遺産							
ガンマ管区に不法侵入者の存在を確認。迎撃システムが対応中……ね。			ガンマ管区に不法侵入者の存在を確認。迎撃システムが対応中……ね。			アラグの遺産							
その不法侵入者は、帝国軍の兵力と見て間違いないでしょう。問題は、教皇がどこに向かったのかだけど……。			その不法侵入者は、帝国軍の兵力と見て間違いないでしょう。問題は、教皇がどこに向かったのかだけど……。			アラグの遺産							
稼働中の施設のうち、もっともエネルギー量が多いのはどこだ？おそらく、そこに教皇はいる。			稼働中の施設のうち、もっともエネルギー量が多いのはどこだ？おそらく、そこに教皇はいる。			アラグの遺産							
……魔科学研究所内……「三闘神制御区」だと？			……魔科学研究所内……「三闘神制御区」だと？			アラグの遺産							
三闘神……なんだそれは……。			三闘神……なんだそれは……。			アラグの遺産							
最重要軍事機密に該当。情報開示には、執政官級の機密コードが必要……だとさ。			最重要軍事機密に該当。情報開示には、執政官級の機密コードが必要……だとさ。			アラグの遺産							
悪い予感がするわ……。ひとまず旗艦島に渡るルートを見つけて、その「魔科学研究所」とやらを目指しましょう。			悪い予感がするわ……。ひとまず旗艦島に渡るルートを見つけて、その「魔科学研究所」とやらを目指しましょう。			アラグの遺産							
ああ、そうだな。教皇たちが何の理由もなく、逃げ込んだとは考えにくい。			ああ、そうだな。教皇たちが何の理由もなく、逃げ込んだとは考えにくい。			アラグの遺産							
アルテマウェポンをはじめとする対蛮神兵器を生みだし、蛮神「バハムート」を衛星内にとらえた古代アラグ文明……その研究施設に、教皇が求める何かがあるはずだ。			アルテマウェポンをはじめとする対蛮神兵器を生みだし、蛮神「バハムート」を衛星内にとらえた古代アラグ文明……その研究施設に、教皇が求める何かがあるはずだ。			アラグの遺産							
まったく、どれだけ心配したことか。ウェッジのヤツめ……。			まったく、どれだけ心配したことか。ウェッジのヤツめ……。			アラグの遺産							
つ、つい、ガラクタに夢中になってたッス。ごめんなさいッス……。			つ、つい、ガラクタに夢中になってたッス。ごめんなさいッス……。			アラグの遺産							
ピピ……何か、お調べいたしましょウカ？			ピピ……何か、お調べいたしましょウカ？			アラグの遺産							
この装置は、エーテライトとして使えるようだよ。それにしても、このようなものをクリスタルからではなく、人工的に造り出すとは、古代アラグの技術はすごいな……。			この装置は、エーテライトとして使えるようだよ。それにしても、このようなものをクリスタルからではなく、人工的に造り出すとは、古代アラグの技術はすごいな……。			アラグの遺産							
何か見つかったのか？			何か見つかったのか？			アラグの遺産							
ダメね、こっちにはめぼしい物はないみたい……。			ダメね、こっちにはめぼしい物はないみたい……。			アラグの遺産							
第IV転送リング付近の保全システムは、静かに佇んでいる。			第IV転送リング付近の保全システムは、静かに佇んでいる。			胞子汚染							
保全システムによると、コープスフラワーによって大気が汚染されているらしい。アジス・ラーのベータ管区にいる「コープスフラワー」を4体討伐しよう。			保全システムによると、コープスフラワーによって大気が汚染されているらしい。アジス・ラーのベータ管区にいる「コープスフラワー」を4体討伐しよう。			胞子汚染							
コープスフラワーを倒した。第IV転送リング付近の「保全システム」に報告しよう。			コープスフラワーを倒した。第IV転送リング付近の「保全システム」に報告しよう。			胞子汚染							
保全システムに報告した。胞子の異常放出は、コープスフラワーが合成生物用の培養液を吸い上げたことが原因だったそうだ。			保全システムに報告した。胞子の異常放出は、コープスフラワーが合成生物用の培養液を吸い上げたことが原因だったそうだ。			胞子汚染							
コープスフラワーを討伐			コープスフラワーを討伐			胞子汚染							
