リトルシャーレアンのウリエンジェは、一息ついたようだ。			リトルシャーレアンのウリエンジェは、一息ついたようだ。			右往左往そして……							
彼らにとっては初めてのアーテリスですので、見るもの聞くもの、すべてが新鮮に感じられるはず。はぐれたりしていないと良いのですが……。			彼らにとっては初めてのアーテリスですので、見るもの聞くもの、すべてが新鮮に感じられるはず。はぐれたりしていないと良いのですが……。			入口前に僕らは集った							
否定しなかったということは、やはり「逆さの塔」に代わる施設があるようね。……マトーヤとも、いずれ話し合ってもらえるといいけれど。			否定しなかったということは、やはり「逆さの塔」に代わる施設があるようね。……マトーヤとも、いずれ話し合ってもらえるといいけれど。			入口前に僕らは集った							
歴史を追ってると、よくぶつかる壁なんだが、時間って、遠くなるほど正確に把握するのが難しくなるんだよ。			歴史を追ってると、よくぶつかる壁なんだが、時間って、遠くなるほど正確に把握するのが難しくなるんだよ。			入口前に僕らは集った							
「星暦」のような年数の数え方も文化とともに変わるし、そもそも何日を1年とみなすかさえ、違っていたりする……。			「星暦」のような年数の数え方も文化とともに変わるし、そもそも何日を1年とみなすかさえ、違っていたりする……。			入口前に僕らは集った							
ヴェーネスが、あんたから聞いた断片的な話をもとに、終末が「今からどれだけ先に起こるか」を判断するのは、相当難しかったはずだ。			ヴェーネスが、あんたから聞いた断片的な話をもとに、終末が「今からどれだけ先に起こるか」を判断するのは、相当難しかったはずだ。			入口前に僕らは集った							
ましてや、歴史が繋がるかどうかわからない状況じゃな……。哲学者議会の方舟製造が、性能不足であれ間に合ってるのは、奇跡的な偉業なんじゃないか？			ましてや、歴史が繋がるかどうかわからない状況じゃな……。哲学者議会の方舟製造が、性能不足であれ間に合ってるのは、奇跡的な偉業なんじゃないか？			入口前に僕らは集った							
月への移送手段か……。幻龍の本体が動ける状態だったら、いくらか頼めたかもしれないが……			月への移送手段か……。幻龍の本体が動ける状態だったら、いくらか頼めたかもしれないが……			入口前に僕らは集った							
加えて、ほかの七大天竜が星外を飛べたとしても、結局は焼け石に水だろうな。			加えて、ほかの七大天竜が星外を飛べたとしても、結局は焼け石に水だろうな。			入口前に僕らは集った							
ふぅ……。私、ちゃんと進行できてたかしら？ものすごく緊張したわ……。			ふぅ……。私、ちゃんと進行できてたかしら？ものすごく緊張したわ……。			入口前に僕らは集った							
だけど、こういうときくらい、率先して力になりたいもの！アルフィノくんが上手く繋げてくれたし、名乗り出た甲斐があったわ。			だけど、こういうときくらい、率先して力になりたいもの！アルフィノくんが上手く繋げてくれたし、名乗り出た甲斐があったわ。			入口前に僕らは集った							
では、哲学者議会の決定に基づき、お前たちを「エーテル縮退炉」開発の現場に連れていく。			では、哲学者議会の決定に基づき、お前たちを「エーテル縮退炉」開発の現場に連れていく。			入口前に僕らは集った							
ひとまず、ラヴィリンソスの、アルケイオン保管院まで来なさい。			ひとまず、ラヴィリンソスの、アルケイオン保管院まで来なさい。			入口前に僕らは集った							
ラヴィリンソス……あの場所で方舟が……？とにかく行ってみよう。			ラヴィリンソス……あの場所で方舟が……？とにかく行ってみよう。			入口前に僕らは集った							
前に来たときは、大整理中だということを理由に、利用を断られたが……さて……。			前に来たときは、大整理中だということを理由に、利用を断られたが……さて……。			入口前に僕らは集った							
みんなでラヴィリンソスを探索しにきたのが、ずいぶん前のことみたいに感じるわ。			みんなでラヴィリンソスを探索しにきたのが、ずいぶん前のことみたいに感じるわ。			入口前に僕らは集った							
哲学者議会がシャーレアン市民にすら隠してきた真実、しかと拝見させてもらうとするか。			哲学者議会がシャーレアン市民にすら隠してきた真実、しかと拝見させてもらうとするか。			入口前に僕らは集った							
かつて哲学者議会から月に送られた資料の中には、アルケイオン保管院の目録もありました。			かつて哲学者議会から月に送られた資料の中には、アルケイオン保管院の目録もありました。			入口前に僕らは集った							
アーテリスを理解するために必要なものは、おおよそここに収められているという、自負があったのでしょう。			アーテリスを理解するために必要なものは、おおよそここに収められているという、自負があったのでしょう。			入口前に僕らは集った							
ラヴィリンソスの下層についての話を覚えていて？哲学者議会に指名された研究員のみが立ち入れる区画……まさに、うってつけじゃない。			ラヴィリンソスの下層についての話を覚えていて？哲学者議会に指名された研究員のみが立ち入れる区画……まさに、うってつけじゃない。			入口前に僕らは集った							
あんたたちが調査に来たときは同行できなかったから、ここに来るのは、すごく久々だ。増えてるんだろうな……いろんな史料……。			あんたたちが調査に来たときは同行できなかったから、ここに来るのは、すごく久々だ。増えてるんだろうな……いろんな史料……。			入口前に僕らは集った							
こんな場所を、わざわざ地下に造る意味がわからん。「屋外のようにする」なら、最初から屋外でいいだろう……。			こんな場所を、わざわざ地下に造る意味がわからん。「屋外のようにする」なら、最初から屋外でいいだろう……。			入口前に僕らは集った							
保管院に収容されているものは、すべて月へ運ぶつもりなのかしら？荷の積み込みは始めているって言ってたけれど……。			保管院に収容されているものは、すべて月へ運ぶつもりなのかしら？荷の積み込みは始めているって言ってたけれど……。			入口前に僕らは集った							
目的の場所は、さらに下の階層にある。			目的の場所は、さらに下の階層にある。			入口前に僕らは集った							
お前たちには、特例として、保管院内にある昇降機の利用を許可しよう。			お前たちには、特例として、保管院内にある昇降機の利用を許可しよう。			入口前に僕らは集った							
中に入り、昇降機番の「オフィリーヌ」に声をかけて、ミディアルサーキットまで下りてくるがいい。			中に入り、昇降機番の「オフィリーヌ」に声をかけて、ミディアルサーキットまで下りてくるがいい。			入口前に僕らは集った							
昇降機を利用し、ミディアルサーキットへ向かいますか？			昇降機を利用し、ミディアルサーキットへ向かいますか？			入口前に僕らは集った							
「ミディアルサーキット」へ移動しますか？			「ミディアルサーキット」へ移動しますか？			入口前に僕らは集った							
お前で最後だな。ほかの者たちには、メリオール実験農場を抜けてさらに南……「ロジスティコン・アルファ」まで進むよう言った。			お前で最後だな。ほかの者たちには、メリオール実験農場を抜けてさらに南……「ロジスティコン・アルファ」まで進むよう言った。			入口前に僕らは集った							
ときに、お前は、うちの…………			ときに、お前は、うちの…………			入口前に僕らは集った							
いや、なんでもない。我々も、「ロジスティコン・アルファ」に向かわねば。			いや、なんでもない。我々も、「ロジスティコン・アルファ」に向かわねば。			入口前に僕らは集った							
父なら、奥にある昇降機の使用申請をしてくるそうだ。この場で待機しているようにと言われたよ。			父なら、奥にある昇降機の使用申請をしてくるそうだ。この場で待機しているようにと言われたよ。			入口前に僕らは集った							
ここは、ロジスティコン・アルファ……ラヴィリンソスの気象を管理する施設のひとつだ。			ここは、ロジスティコン・アルファ……ラヴィリンソスの気象を管理する施設のひとつだ。			入口前に僕らは集った							
地下水を汲み上げて水蒸気として放出することで、人工の雲や雨を作り出している……。			地下水を汲み上げて水蒸気として放出することで、人工の雲や雨を作り出している……。			入口前に僕らは集った							
そんな風に湿度や気流を操ることで、資料の保管をするのに最適な環境を構築、維持しているそうだ。			そんな風に湿度や気流を操ることで、資料の保管をするのに最適な環境を構築、維持しているそうだ。			入口前に僕らは集った							
ずいぶん詳しいのね。私なんて、何の施設かすら知らなかったのに。			ずいぶん詳しいのね。私なんて、何の施設かすら知らなかったのに。			入口前に僕らは集った							
幼いころ、父が見学に連れてきてくれたんだ。			幼いころ、父が見学に連れてきてくれたんだ。			入口前に僕らは集った							
ええっ、何よそれ、知らない！私を置いていったわけ！？			ええっ、何よそれ、知らない！私を置いていったわけ！？			入口前に僕らは集った							
違う違う、私が置いていかれたんだよ。君は、お祖父様と別の場所に出かけていたんだ。			違う違う、私が置いていかれたんだよ。君は、お祖父様と別の場所に出かけていたんだ。			入口前に僕らは集った							
前の晩に、雲ができる理屈について、父に聞いたから……ここを見せようと思い立ったのだろうね。説明を聞いて、自分がいたく感動したのを覚えているよ。			前の晩に、雲ができる理屈について、父に聞いたから……ここを見せようと思い立ったのだろうね。説明を聞いて、自分がいたく感動したのを覚えているよ。			入口前に僕らは集った							
大気の巡りや、自然を織り成す数多の要素……我々が意識することは稀ですが、それらはいずれも神秘と呼ぶにふさわしきものです。			大気の巡りや、自然を織り成す数多の要素……我々が意識することは稀ですが、それらはいずれも神秘と呼ぶにふさわしきものです。			入口前に僕らは集った							
私も、レポリットたちが環境整備に手を尽くしているのを見て、そういったものが当たり前ではないのだと実感いたしました。			私も、レポリットたちが環境整備に手を尽くしているのを見て、そういったものが当たり前ではないのだと実感いたしました。			入口前に僕らは集った							
地下の空洞を、生ける資料のために整えたラヴィリンソス……荒涼たるゾディアークの檻を、人のために整えた月……その在り方は、似ているのかもしれません。			地下の空洞を、生ける資料のために整えたラヴィリンソス……荒涼たるゾディアークの檻を、人のために整えた月……その在り方は、似ているのかもしれません。			入口前に僕らは集った							
……その所感は、あながち間違ってはいないだろう。			……その所感は、あながち間違ってはいないだろう。			入口前に僕らは集った							
ハイデリンの予言を聞いて以来、ラヴィリンソスには、月へと運び出すための資料が集められてきた……。			ハイデリンの予言を聞いて以来、ラヴィリンソスには、月へと運び出すための資料が集められてきた……。			入口前に僕らは集った							
同時に、この施設全体が、未知の環境を人が暮らせる場所へと変える技術……その実験場でもあったのだ。			同時に、この施設全体が、未知の環境を人が暮らせる場所へと変える技術……その実験場でもあったのだ。			入口前に僕らは集った							
「協力者」たちが月を整備していることは知っていたが、異星へ移り住むとなれば、環境を改変する技術は必要不可欠だろうからな。			「協力者」たちが月を整備していることは知っていたが、異星へ移り住むとなれば、環境を改変する技術は必要不可欠だろうからな。			入口前に僕らは集った							
さて……お前たちを、さらに下の階層、「セントラルサーキット」に入場させる手続きが完了した。			さて……お前たちを、さらに下の階層、「セントラルサーキット」に入場させる手続きが完了した。			入口前に僕らは集った							
そこでは、星外への大撤収に向けた、より直接的な研究が行われてきた……。方舟の製造も、そのひとつだ。			そこでは、星外への大撤収に向けた、より直接的な研究が行われてきた……。方舟の製造も、そのひとつだ。			入口前に僕らは集った							
本来は軽々しく出入りできる場所ではないが、すでに大撤収の計画が市民に公表されていることと、哲学者議会での決定を受け、自由な通行を認めるものとする。			本来は軽々しく出入りできる場所ではないが、すでに大撤収の計画が市民に公表されていることと、哲学者議会での決定を受け、自由な通行を認めるものとする。			入口前に僕らは集った							
ありがとうございます。必ずや、そこで成果をあげてみせましょう。私たちのやり方で……。			ありがとうございます。必ずや、そこで成果をあげてみせましょう。私たちのやり方で……。			入口前に僕らは集った							
順に、そこの昇降機で、下へと降りるがいい。			順に、そこの昇降機で、下へと降りるがいい。			入口前に僕らは集った							
「暁の血盟」には通行の許可が出ている。「セントラルサーキット」へ向かうのならば、昇降機を動かそう。			「暁の血盟」には通行の許可が出ている。「セントラルサーキット」へ向かうのならば、昇降機を動かそう。			入口前に僕らは集った							
「セントラルサーキット」へ移動しますか？			「セントラルサーキット」へ移動しますか？			入口前に僕らは集った							
ここが、セントラルサーキット……！			ここが、セントラルサーキット……！			入口前に僕らは集った							
エーテル縮退炉を作ってる場所は、まだ遠いのかしら？いよいよここまで乗りこんできたんだと思うと、早くなんとかしなくちゃって、気が急くわ！			エーテル縮退炉を作ってる場所は、まだ遠いのかしら？いよいよここまで乗りこんできたんだと思うと、早くなんとかしなくちゃって、気が急くわ！			入口前に僕らは集った							
これだけ低い位置からだと、空が広く感じるな……。			これだけ低い位置からだと、空が広く感じるな……。			入口前に僕らは集った							
あの人工の空が燃えることはないだろうが、世界は刻一刻と、終末の脅威に蝕まれてる。……急がなくちゃな。			あの人工の空が燃えることはないだろうが、世界は刻一刻と、終末の脅威に蝕まれてる。……急がなくちゃな。			入口前に僕らは集った							
ふむ……ここも適度にあたたかですね。気候としては、嘆きの海に創られた環境と似ていますが……生きた植物があるからでしょうか、香りが違うように感じます。			ふむ……ここも適度にあたたかですね。気候としては、嘆きの海に創られた環境と似ていますが……生きた植物があるからでしょうか、香りが違うように感じます。			入口前に僕らは集った							
大撤収に向けた研究の中心地……ここで、どんなものが見られるかしらね。			大撤収に向けた研究の中心地……ここで、どんなものが見られるかしらね。			入口前に僕らは集った							
よし、これで全員だな。フルシュノさんに声をかけて、案内してもらうとしよう。オレたちの、次の戦場へ！			よし、これで全員だな。フルシュノさんに声をかけて、案内してもらうとしよう。オレたちの、次の戦場へ！			入口前に僕らは集った							
来たはいいが、何ができるやらだな……。とにもかくにも、現場の様子を見ないことには始まらないか。			来たはいいが、何ができるやらだな……。とにもかくにも、現場の様子を見ないことには始まらないか。			入口前に僕らは集った							
ここで無事に、エーテル縮退炉を完成させて、ハイデリンに会えるといいわね。必ずそうなると……信じましょう！			ここで無事に、エーテル縮退炉を完成させて、ハイデリンに会えるといいわね。必ずそうなると……信じましょう！			入口前に僕らは集った							
「セントラルサーキット」へ向かうのならば、昇降機を動かそう。			「セントラルサーキット」へ向かうのならば、昇降機を動かそう。			入口前に僕らは集った							
エーテル縮退炉の開発は、ここから南にある「ククロの工房」で行われている。			エーテル縮退炉の開発は、ここから南にある「ククロの工房」で行われている。			入口前に僕らは集った							
作業の指揮を執っているのは、技師の「ククロ・ダンクロ」殿だ。			作業の指揮を執っているのは、技師の「ククロ・ダンクロ」殿だ。			入口前に僕らは集った							
行って、彼にお前たちを紹介するとしよう。……そこからは、お前たち次第だ。			行って、彼にお前たちを紹介するとしよう。……そこからは、お前たち次第だ。			入口前に僕らは集った							
ひとまず声をかけてみるとしようか。			ひとまず声をかけてみるとしようか。			入口前に僕らは集った							
この人……何かブツブツ言ってるわよ？			この人……何かブツブツ言ってるわよ？			入口前に僕らは集った							
重要機密が扱われている工房にしては、ずいぶん開けているようだが……なるほど、あの魔法障壁で、不法侵入を防いでいるわけか。			重要機密が扱われている工房にしては、ずいぶん開けているようだが……なるほど、あの魔法障壁で、不法侵入を防いでいるわけか。			入口前に僕らは集った							
哲学者議会は、レポリットたちにも意見を求めたのでしょうか？であれば、その結果も気になるところですが……。			哲学者議会は、レポリットたちにも意見を求めたのでしょうか？であれば、その結果も気になるところですが……。			入口前に僕らは集った							
ああ、なるほど……。ミディアルサーキットとはかなり距離があるけれど、一般人に見せるべきでないものは、屋内に隠しているようね。			ああ、なるほど……。ミディアルサーキットとはかなり距離があるけれど、一般人に見せるべきでないものは、屋内に隠しているようね。			入口前に僕らは集った							
考えごとをしてるんだな……。オレたちに気づいてないみたいだ。			考えごとをしてるんだな……。オレたちに気づいてないみたいだ。			入口前に僕らは集った							
アインハルトの機工房みたいなものを想像していたが……さっぱりしたものだな。			アインハルトの機工房みたいなものを想像していたが……さっぱりしたものだな。			入口前に僕らは集った							
何か悩んでいるみたい……どんな難題が来るのかしら……！			何か悩んでいるみたい……どんな難題が来るのかしら……！			入口前に僕らは集った							
彼が、ククロ・ダンクロ殿だ。			彼が、ククロ・ダンクロ殿だ。			入口前に僕らは集った							
派遣団にいた彼らとは、何か契約を交わしたわけじゃない。クリスタルブレイブのときよりも、形のない繋がりだ……。			派遣団にいた彼らとは、何か契約を交わしたわけじゃない。クリスタルブレイブのときよりも、形のない繋がりだ……。			入口前に僕らは集った							
だけど、どうしてか、断られる気がしなかったんだ。きっとこれこそが……あのときの私に足りなかったものなのだろうね。			だけど、どうしてか、断られる気がしなかったんだ。きっとこれこそが……あのときの私に足りなかったものなのだろうね。			入口前に僕らは集った							
もう拘束艦の先にバハムートはいないけれど……あのとき閉ざした大迷宮が、賑やかになっちゃいそうね。			もう拘束艦の先にバハムートはいないけれど……あのとき閉ざした大迷宮が、賑やかになっちゃいそうね。			入口前に僕らは集った							
だけど、ええ……今の彼らならきっと、どんな真成を前にしたって、蛮神による再生にすがったりしないわ。			だけど、ええ……今の彼らならきっと、どんな真成を前にしたって、蛮神による再生にすがったりしないわ。			入口前に僕らは集った							
彼らに任せて、待ちましょう。お祖父様だって、きっと笑って見守ってくれるはずよ！			彼らに任せて、待ちましょう。お祖父様だって、きっと笑って見守ってくれるはずよ！			入口前に僕らは集った							
さーて、私たちは何をする？終末が迫ってるのに、ただ待ってるなんてできないわ。少しでも助けになりそうなこと、やってやろうじゃない！			さーて、私たちは何をする？終末が迫ってるのに、ただ待ってるなんてできないわ。少しでも助けになりそうなこと、やってやろうじゃない！			入口前に僕らは集った							
派遣団の奴ら、終末の災厄を前にしながら、あの調子とはな。帝国との未来のためにガレマルドまで向かうような奴らは、そう簡単に俯かないらしい……。			派遣団の奴ら、終末の災厄を前にしながら、あの調子とはな。帝国との未来のためにガレマルドまで向かうような奴らは、そう簡単に俯かないらしい……。			入口前に僕らは集った							
だがな、Forename。あいつらだって、最初からああだったわけじゃない。			だがな、Forename。あいつらだって、最初からああだったわけじゃない。			入口前に僕らは集った							
お前や、アルフィノたち……いろんな出会いが変化をもたらしたからこそ、今があるんだ。昔のエオルゼアを知る身として、そこは断言しよう。			お前や、アルフィノたち……いろんな出会いが変化をもたらしたからこそ、今があるんだ。昔のエオルゼアを知る身として、そこは断言しよう。			入口前に僕らは集った							
第七霊災の折、エオルゼアを壊滅せしめたダラガブが、やがて終末から星を救う鍵にならん……。ああ、我が師よ……星海から見ておいでか……。			第七霊災の折、エオルゼアを壊滅せしめたダラガブが、やがて終末から星を救う鍵にならん……。ああ、我が師よ……星海から見ておいでか……。			入口前に僕らは集った							
イルサバード派遣団に加わっていた、数多くの国の人々……その力を結集するとなれば、アラグの防衛機構だって、打ち破れるに違いないわ。			イルサバード派遣団に加わっていた、数多くの国の人々……その力を結集するとなれば、アラグの防衛機構だって、打ち破れるに違いないわ。			入口前に僕らは集った							
……私たちも負けていられないわね、Forename？			……私たちも負けていられないわね、Forename？			入口前に僕らは集った							
アラグの知識が、まさかこんなところで役立つなんてな。かの帝国においても、宇宙進出はまさに技術の集大成……			アラグの知識が、まさかこんなところで役立つなんてな。かの帝国においても、宇宙進出はまさに技術の集大成……			入口前に僕らは集った							
……いや、待てよ。あの計画を推し進めたのは、確か…………。			……いや、待てよ。あの計画を推し進めたのは、確か…………。			入口前に僕らは集った							
フッ……まったく……小さな焚火を起こすための薪さえ、ろくに集められなかった坊ちゃんが、言うようになったもんだ。			フッ……まったく……小さな焚火を起こすための薪さえ、ろくに集められなかった坊ちゃんが、言うようになったもんだ。			入口前に僕らは集った							
俺、悩みすぎて夢でも見てるんじゃねぇだろうな！？ほほほ、本当にエクスアダマントが集まるってのかよ！？			俺、悩みすぎて夢でも見てるんじゃねぇだろうな！？ほほほ、本当にエクスアダマントが集まるってのかよ！？			入口前に僕らは集った							
ふふ、アルフィノくんったら、すっかり世界各地に頼れる仲間が増えちゃって……あなたと一緒に駆けずりまわったおかげね！			ふふ、アルフィノくんったら、すっかり世界各地に頼れる仲間が増えちゃって……あなたと一緒に駆けずりまわったおかげね！			入口前に僕らは集った							
……さて、そうと決まれば、私は先に地上に戻るわ。各地から届くであろうエクスアダマントを、しっかり受け取れるように準備しなくちゃいけないもの！			……さて、そうと決まれば、私は先に地上に戻るわ。各地から届くであろうエクスアダマントを、しっかり受け取れるように準備しなくちゃいけないもの！			入口前に僕らは集った							
それに……私にも少し、頼れそうなツテがあってね？急いで連絡をとってみるわ。			それに……私にも少し、頼れそうなツテがあってね？急いで連絡をとってみるわ。			入口前に僕らは集った							
クルルさんのツテ？それは、いったい……。			クルルさんのツテ？それは、いったい……。			入口前に僕らは集った							
ナイショ！でも、こういうときに活躍してくれる人よ！			ナイショ！でも、こういうときに活躍してくれる人よ！			入口前に僕らは集った							
それじゃあ、またあとで！世界からの届けもの、きっと楽しみにしていてね！			それじゃあ、またあとで！世界からの届けもの、きっと楽しみにしていてね！			入口前に僕らは集った							
キャンプ・ブロークングラスのルキアは、一同の安否を確認しているようだ。			キャンプ・ブロークングラスのルキアは、一同の安否を確認しているようだ。			きっかけと提案							
ウリエンジェと話す			ウリエンジェと話す			きっかけと提案							
メインホールに向かう			メインホールに向かう			きっかけと提案							
哲学者の広場前の哲学者議会の連絡官と話す			哲学者の広場前の哲学者議会の連絡官と話す			きっかけと提案							
指定地点で待機			指定地点で待機			きっかけと提案							
アルフィノと話す			アルフィノと話す			きっかけと提案							
ガレマルドで空が燃えだすのを見たときは、さすがにどうしたものかと思ったよ……。			ガレマルドで空が燃えだすのを見たときは、さすがにどうしたものかと思ったよ……。			きっかけと提案							
けれど、ユルスたちが駆けつけてくれて、君も帰ってきてくれた。こんなに支えてくれる仲間がいたら、絶望なんてできないさ。			けれど、ユルスたちが駆けつけてくれて、君も帰ってきてくれた。こんなに支えてくれる仲間がいたら、絶望なんてできないさ。			きっかけと提案							
一段落したところで、あなたの話も聞きたいわね。戻ってきたということは、何か報告があるんでしょう？			一段落したところで、あなたの話も聞きたいわね。戻ってきたということは、何か報告があるんでしょう？			きっかけと提案							
なあ、詳しい話はあとだって、ちゃんとわかってるんだが……ひとつだけ、どうしても今、聞かせてくれないか。			なあ、詳しい話はあとだって、ちゃんとわかってるんだが……ひとつだけ、どうしても今、聞かせてくれないか。			きっかけと提案							
ライナたちは……クリスタリウムのみんなは、無事だったか……？			ライナたちは……クリスタリウムのみんなは、無事だったか……？			きっかけと提案							
張り切るのはいいけど、根を詰めすぎないように……？ライナや、ベーク＝ラグがそう言ってたのか？			張り切るのはいいけど、根を詰めすぎないように……？ライナや、ベーク＝ラグがそう言ってたのか？			きっかけと提案							
ハハ、なんだよそれ！まったく……あいつらが、無事でよかった……。			ハハ、なんだよそれ！まったく……あいつらが、無事でよかった……。			きっかけと提案							
あれだけの騒動だ、護れなかった奴はいる。だが、こいつらの奮闘で、被害はかなり抑えられたんじゃないか？			あれだけの騒動だ、護れなかった奴はいる。だが、こいつらの奮闘で、被害はかなり抑えられたんじゃないか？			きっかけと提案							
ここぞというところで、参戦してきた奴もいたしな。……待ちくたびれたぞ、相棒。			ここぞというところで、参戦してきた奴もいたしな。……待ちくたびれたぞ、相棒。			きっかけと提案							
私は、イルサバード派遣団の代表と話をしにきた。それだけだ……。			私は、イルサバード派遣団の代表と話をしにきた。それだけだ……。			きっかけと提案							
……俺なら大丈夫だ。今はもう、気持ちも落ち着いてる。			……俺なら大丈夫だ。今はもう、気持ちも落ち着いてる。			きっかけと提案							
治療してくれた奴やルキアから、あの夜……テルティウム駅から避難してきた夜に何があったか、教えてもらった。			治療してくれた奴やルキアから、あの夜……テルティウム駅から避難してきた夜に何があったか、教えてもらった。			きっかけと提案							
お前たちが、大事なときに戦力をわけてまで、俺たちを助けようとしてくれたことも……。			お前たちが、大事なときに戦力をわけてまで、俺たちを助けようとしてくれたことも……。			きっかけと提案							
…………感謝してる。まだ割り切れてない部分もあるし、今さらかもしれないが、それだけは、ちゃんと言っておきたかったんだ。			…………感謝してる。まだ割り切れてない部分もあるし、今さらかもしれないが、それだけは、ちゃんと言っておきたかったんだ。			きっかけと提案							
ご移動、大変おつかれさまでした。レポリットたちは、ひとまず哲学者議会と話すそうなので、フルシュノ様にお任せいたしました。			ご移動、大変おつかれさまでした。レポリットたちは、ひとまず哲学者議会と話すそうなので、フルシュノ様にお任せいたしました。			きっかけと提案							
他方で私たちは、バルデシオン分館に戻り、互いの近況を共有し合おう……とのことです。			他方で私たちは、バルデシオン分館に戻り、互いの近況を共有し合おう……とのことです。			きっかけと提案							
そのように集まって話すのは、久方ぶりのように感じます。では……ともに参りましょう。			そのように集まって話すのは、久方ぶりのように感じます。では……ともに参りましょう。			きっかけと提案							
……よう。まさか、このタイミングで、お前とも再会できるとはな。			……よう。まさか、このタイミングで、お前とも再会できるとはな。			きっかけと提案							
ええ……。レポリットたちの意向次第ではありますが、今はただ、皆さんとともに、終末に抗うすべを追い求めましょう……。			ええ……。レポリットたちの意向次第ではありますが、今はただ、皆さんとともに、終末に抗うすべを追い求めましょう……。			きっかけと提案							
私たちも、クルルから報せを受けて、ついさっき帰還したのよ。			私たちも、クルルから報せを受けて、ついさっき帰還したのよ。			きっかけと提案							
調査していた星海まわりについて、報告があるのだけれど……まずは何より、あなたの話を聞きたいわ。			調査していた星海まわりについて、報告があるのだけれど……まずは何より、あなたの話を聞きたいわ。			きっかけと提案							
第一世界の様子はどうだったの？エルピスの花について、何か突き止められた……？			第一世界の様子はどうだったの？エルピスの花について、何か突き止められた……？			きっかけと提案							
つまり……終末の災厄は、「デュナミス」と呼ばれた力によるものだった。			つまり……終末の災厄は、「デュナミス」と呼ばれた力によるものだった。			きっかけと提案							
それは、ラザハン錬金術における、アーカーシャと同じもの。想いによって作用する力……。			それは、ラザハン錬金術における、アーカーシャと同じもの。想いによって作用する力……。			きっかけと提案							
普段はさながら湖のように穏やかだが、想いという流れを得れば、ときにエーテルを圧倒するほどの激流となる……か。			普段はさながら湖のように穏やかだが、想いという流れを得れば、ときにエーテルを圧倒するほどの激流となる……か。			きっかけと提案							
……で、そのデュナミスの力を使って、この星を外から終わらせようとしてる奴がいるってわけね。			……で、そのデュナミスの力を使って、この星を外から終わらせようとしてる奴がいるってわけね。			きっかけと提案							
それが、メーティオン……。			それが、メーティオン……。			きっかけと提案							
より正しく言うのであれば、想いを通わせる中で彼女の心に蓄積されてしまった、すでに亡き星々の恨みつらみ……ってところか。			より正しく言うのであれば、想いを通わせる中で彼女の心に蓄積されてしまった、すでに亡き星々の恨みつらみ……ってところか。			きっかけと提案							
計り知れないほどの絶望や苦しみ、憎悪や悲嘆が、デュナミスを動かして……アーテリスにも、終わりをもたらそうとしている……。			計り知れないほどの絶望や苦しみ、憎悪や悲嘆が、デュナミスを動かして……アーテリスにも、終わりをもたらそうとしている……。			きっかけと提案							
馬鹿げた規模の話だが、災厄なんていう形のないものを相手にするよりは、目標がはっきりしたな。			馬鹿げた規模の話だが、災厄なんていう形のないものを相手にするよりは、目標がはっきりしたな。			きっかけと提案							
方法はともかくとして、そのメーティオンとかいう奴を倒せばいいわけだろう？			方法はともかくとして、そのメーティオンとかいう奴を倒せばいいわけだろう？			きっかけと提案							
簡単に言ってくれるじゃない……。			簡単に言ってくれるじゃない……。			きっかけと提案							
メーティオンを倒せば終末を退けられるとして……それを成し遂げるために必要なことが、最低でもふたつあるわ。			メーティオンを倒せば終末を退けられるとして……それを成し遂げるために必要なことが、最低でもふたつあるわ。			きっかけと提案							
ひとつ目は、メーティオンの居場所を特定すること。			ひとつ目は、メーティオンの居場所を特定すること。			きっかけと提案							
それを知っている可能性があるのは、彼女に追跡の魔法をかけたヴェーネス……つまり今のハイデリンだけよ。			それを知っている可能性があるのは、彼女に追跡の魔法をかけたヴェーネス……つまり今のハイデリンだけよ。			きっかけと提案							
彼女が、あなたの見た過去の彼女と、別人だとは思えない……事実の齟齬もないし、これまでの発言からしてもね。歴史は恐らく、繋がったんだわ。			彼女が、あなたの見た過去の彼女と、別人だとは思えない……事実の齟齬もないし、これまでの発言からしてもね。歴史は恐らく、繋がったんだわ。			きっかけと提案							
ただ、それはそれとして、今の彼女がメーティオンの居場所を知っているのか、知っていたとして教える気があるのかは、わからない……。			ただ、それはそれとして、今の彼女がメーティオンの居場所を知っているのか、知っていたとして教える気があるのかは、わからない……。			きっかけと提案							
現実としてハイデリンから下されている指令は、「月に乗って星から逃げろ」だもの。			現実としてハイデリンから下されている指令は、「月に乗って星から逃げろ」だもの。			きっかけと提案							
Forenameさん……ハイデリンは、メーティオンに追いつくのを諦めたのだと思う？			Forenameさん……ハイデリンは、メーティオンに追いつくのを諦めたのだと思う？			きっかけと提案							
何と言う？			何と言う？			きっかけと提案							
あの人は、絶対に諦めない			あの人は、絶対に諦めない			きっかけと提案							
諦めたくもなるだろう……			諦めたくもなるだろう……			きっかけと提案							
私も、そう思う。でなければ、自分が苦しいときに、私の身体を借りてまで、エルピスの花というヒントを託しに来ないはずだもの。			私も、そう思う。でなければ、自分が苦しいときに、私の身体を借りてまで、エルピスの花というヒントを託しに来ないはずだもの。			きっかけと提案							
そうかしら……。だって、自分が苦しいときに、私の身体を借りてまで、エルピスの花というヒントを託しに来たのよ？			そうかしら……。だって、自分が苦しいときに、私の身体を借りてまで、エルピスの花というヒントを託しに来たのよ？			きっかけと提案							
