クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
そろそろか……鉄くずになる前に止まってくれよ！			そろそろか……鉄くずになる前に止まってくれよ！			魔導アーマーを奪取せよ！							
すまん……でしゃばりすぎたか……。			すまん……でしゃばりすぎたか……。			魔導アーマーを奪取せよ！							
灰の陣営のハムジ・ガーは、冒険者に依頼したいことがあるようだ。			灰の陣営のハムジ・ガーは、冒険者に依頼したいことがあるようだ。			孤独なる復讐							
前回までの冒険録：不滅隊より、南ザナラーンで激化しつつあるアマルジャ族の人拐いについての調査を依頼された冒険者。現場へと赴くと、早速、アマルジャ族が商人を襲撃する場面に遭遇する。しかし、そこに現れた新たなアマルジャ族。その一党は、同胞であるはずのアマルジャ族を鎧袖一触する。彼らは「灰の一党」と呼ばれる孤高の戦闘集団で、ザンラクを拠点とするアマルジャ族とは対立しているらしい。その長「ハムジ・ガー」に戦士としての素質を見出された冒険者は、彼らのアジトである「灰の陣営」に招待される。そこで出会った灰の一党の戦士、ミコッテ族の少女「ルーン・ガー」とともに、ザンラクの人拐い部隊「炎牙衆」の野望を潰した冒険者。その活躍により、ハムジ・ガーは改めて冒険者を灰の一党の盟友として歓待するのだった。　　　　　　　　　　　　*　*　*「炎牙衆」がミコッテ族を襲って拐ったそうだ。彼女たちを助けるため、まずは灰の陣営の南西にいる「ルーン・ガー」と合流しよう。			前回までの冒険録：不滅隊より、南ザナラーンで激化しつつあるアマルジャ族の人拐いについての調査を依頼された冒険者。現場へと赴くと、早速、アマルジャ族が商人を襲撃する場面に遭遇する。しかし、そこに現れた新たなアマルジャ族。その一党は、同胞であるはずのアマルジャ族を鎧袖一触する。彼らは「灰の一党」と呼ばれる孤高の戦闘集団で、ザンラクを拠点とするアマルジャ族とは対立しているらしい。その長「ハムジ・ガー」に戦士としての素質を見出された冒険者は、彼らのアジトである「灰の陣営」に招待される。そこで出会った灰の一党の戦士、ミコッテ族の少女「ルーン・ガー」とともに、ザンラクの人拐い部隊「炎牙衆」の野望を潰した冒険者。その活躍により、ハムジ・ガーは改めて冒険者を灰の一党の盟友として歓待するのだった。　　　　　　　　　　　　*　*　*「炎牙衆」がミコッテ族を襲って拐ったそうだ。彼女たちを助けるため、まずは灰の陣営の南西にいる「ルーン・ガー」と合流しよう。			孤独なる復讐							
ミコッテ族を助けるためには、アマルジャ族を混乱させる必要がある。キャバルリー・ドレイクに騎乗した状態で、ザンラク脇本陣の「燃油の樽」にキャバルリー・ドレイクの「炎の息」を使おう。※灰の陣営の南西にいる「ルーン・ガー」に話しかけると「キャバルリー・ドレイク」に騎乗できます。			ミコッテ族を助けるためには、アマルジャ族を混乱させる必要がある。キャバルリー・ドレイクに騎乗した状態で、ザンラク脇本陣の「燃油の樽」にキャバルリー・ドレイクの「炎の息」を使おう。※灰の陣営の南西にいる「ルーン・ガー」に話しかけると「キャバルリー・ドレイク」に騎乗できます。			孤独なる復讐							
炎の息を使って、燃油の樽を爆破した。ザンラク脇本陣の南東にいる「ルーン・ガー」と合流しよう。			炎の息を使って、燃油の樽を爆破した。ザンラク脇本陣の南東にいる「ルーン・ガー」と合流しよう。			孤独なる復讐							
ルーン・ガーは去っていってしまった。ミコッテ族の狩人「ウ・ナパ」に話しかけよう。			ルーン・ガーは去っていってしまった。ミコッテ族の狩人「ウ・ナパ」に話しかけよう。			孤独なる復讐							
ウ・ナパは、冒険者に話があるらしい。「忘れられたオアシス」にいる「ウ・ナパ」に話しかけよう。			ウ・ナパは、冒険者に話があるらしい。「忘れられたオアシス」にいる「ウ・ナパ」に話しかけよう。			孤独なる復讐							
ルーン・ガーは忘れられたオアシスの出身のようだ。忘れられたオアシスのミコッテ族から、ルーン・ガーについての情報を集めよう。			ルーン・ガーは忘れられたオアシスの出身のようだ。忘れられたオアシスのミコッテ族から、ルーン・ガーについての情報を集めよう。			孤独なる復讐							
忘れられたオアシスのミコッテ族から、ルーン・ガーについて意外な話を聞くことができた。「灰の陣営」に戻り、「ルーン・ガー」と話そう。			忘れられたオアシスのミコッテ族から、ルーン・ガーについて意外な話を聞くことができた。「灰の陣営」に戻り、「ルーン・ガー」と話そう。			孤独なる復讐							
ルーン・ガーの過去について話を聞くことができた。「灰の陣営」の「ハムジ・ガー」に報告をしよう。			ルーン・ガーの過去について話を聞くことができた。「灰の陣営」の「ハムジ・ガー」に報告をしよう。			孤独なる復讐							
冒険者の活躍で、ミコッテ族を助けることができた。しかし、「炎牙衆」の勢いは衰えていない。アマルジャ族と連携して、彼らの動きに備えよう。			冒険者の活躍で、ミコッテ族を助けることができた。しかし、「炎牙衆」の勢いは衰えていない。アマルジャ族と連携して、彼らの動きに備えよう。			孤独なる復讐							
灰の陣営の南西のルーン・ガーと話す			灰の陣営の南西のルーン・ガーと話す			孤独なる復讐							
キャバルリー・ドレイクに騎乗してザンラク脇本陣の燃油の樽に炎の息を使う			キャバルリー・ドレイクに騎乗してザンラク脇本陣の燃油の樽に炎の息を使う			孤独なる復讐							
ザンラク脇本陣の南東のルーン・ガーと合流			ザンラク脇本陣の南東のルーン・ガーと合流			孤独なる復讐							
ウ・ナパと話す			ウ・ナパと話す			孤独なる復讐							
忘れられたオアシスのウ・ナパと話す			忘れられたオアシスのウ・ナパと話す			孤独なる復讐							
忘れられたオアシスでルーン・ガーについて聞く			忘れられたオアシスでルーン・ガーについて聞く			孤独なる復讐							
灰の陣営のルーン・ガーと話す			灰の陣営のルーン・ガーと話す			孤独なる復讐							
ハムジ・ガーに報告			ハムジ・ガーに報告			孤独なる復讐							
……貴君。南方のサゴリー砂漠に「忘れられたオアシス」なる、猫どもの隠れ里があるのをご存知か？			……貴君。南方のサゴリー砂漠に「忘れられたオアシス」なる、猫どもの隠れ里があるのをご存知か？			孤独なる復讐							
先刻、戦士ルーン・ガーより急報あり。オアシスの猫どもが、卑怯なるザハラク勢の強襲を受け、その多くが打ち倒され、連れ拐われたとのこと。			先刻、戦士ルーン・ガーより急報あり。オアシスの猫どもが、卑怯なるザハラク勢の強襲を受け、その多くが打ち倒され、連れ拐われたとのこと。			孤独なる復讐							
猫どもはその殆どが鏖殺され、連れ拐われたり。だがしかし、九死一生、遁走に成功せるもの有りと聞く。			猫どもはその殆どが鏖殺され、連れ拐われたり。だがしかし、九死一生、遁走に成功せるもの有りと聞く。			孤独なる復讐							
……我らに猫どもを助ける義理はなし。なれど、敵が「炎牙衆」とあらば、これ看過できぬ憂患。勇み立ちて干戈を交えること、やぶさかでなし。			……我らに猫どもを助ける義理はなし。なれど、敵が「炎牙衆」とあらば、これ看過できぬ憂患。勇み立ちて干戈を交えること、やぶさかでなし。			孤独なる復讐							
そこで貴君に頼みたい。ここより南西、敵地ザンラクに急ぎ向かいて、ルーン・ガーと合同し、死に損ないの猫を助けよ！			そこで貴君に頼みたい。ここより南西、敵地ザンラクに急ぎ向かいて、ルーン・ガーと合同し、死に損ないの猫を助けよ！			孤独なる復讐							
オイオイオイオイ！確かに「応援を頼む」って報せを送ったが……よりにもよって、オメェかよっ！？			オイオイオイオイ！確かに「応援を頼む」って報せを送ったが……よりにもよって、オメェかよっ！？			孤独なる復讐							
……だが、一足遅かったようだぜ。隠れていたはずのミコッテ族が、いなくなっちまった。「炎牙衆」どもに見つかり、連れ拐われちまったんだ……。			……だが、一足遅かったようだぜ。隠れていたはずのミコッテ族が、いなくなっちまった。「炎牙衆」どもに見つかり、連れ拐われちまったんだ……。			孤独なる復讐							
拐われた先は、きっと「ザンラク脇本陣」。奴らの前線基地だ。			拐われた先は、きっと「ザンラク脇本陣」。奴らの前線基地だ。			孤独なる復讐							
……フン、いい作戦を思いついたぜ。オメェに、このドレイクを貸してやるよ。こいつに乗って「ザンラク脇本陣」に向かえ。			……フン、いい作戦を思いついたぜ。オメェに、このドレイクを貸してやるよ。こいつに乗って「ザンラク脇本陣」に向かえ。			孤独なる復讐							
アマルジャ族は、かがり火を焚くのに油を使う。「燃油の樽」に、ドレイクの炎の息を吹きかけて燃やすんだ。			アマルジャ族は、かがり火を焚くのに油を使う。「燃油の樽」に、ドレイクの炎の息を吹きかけて燃やすんだ。			孤独なる復讐							
相手が爆発に気をとられている隙に、俺は囚われたミコッテ族を助け出す。陽動作戦が成功したら、砂漠の入口あたりに集合だ！			相手が爆発に気をとられている隙に、俺は囚われたミコッテ族を助け出す。陽動作戦が成功したら、砂漠の入口あたりに集合だ！			孤独なる復讐							
なんだオメェ、ドレイクにもう一度乗りたいってか？ホラよ、さっさと行きな！「燃油の樽」を、ドレイクの炎の息で燃やすんだ！			なんだオメェ、ドレイクにもう一度乗りたいってか？ホラよ、さっさと行きな！「燃油の樽」を、ドレイクの炎の息で燃やすんだ！			孤独なる復讐							
ああ、助かった……。狩猟中に突然襲われ、反撃する間もありませんでした。それにしても、助けてくれた彼女……もしかして……。			ああ、助かった……。狩猟中に突然襲われ、反撃する間もありませんでした。それにしても、助けてくれた彼女……もしかして……。			孤独なる復讐							
フン、遅かったな。てっきり火に巻かれて、燃えカスになったかと思ったぜ。……まぁ、俺としては、その方が清々するけどな。			フン、遅かったな。てっきり火に巻かれて、燃えカスになったかと思ったぜ。……まぁ、俺としては、その方が清々するけどな。			孤独なる復讐							
ル、ルーンちゃん？……あなた、もしかして……ウ・ルーンちゃんじゃない！？生きてたなんて……てっきり死んだかと……。			ル、ルーンちゃん？……あなた、もしかして……ウ・ルーンちゃんじゃない！？生きてたなんて……てっきり死んだかと……。			孤独なる復讐							
…………フン。			…………フン。			孤独なる復讐							
間違いないわ、その声……私を憶えてないの？オアシスで一緒に育ったお姉ちゃんよ！			間違いないわ、その声……私を憶えてないの？オアシスで一緒に育ったお姉ちゃんよ！			孤独なる復讐							
……うるせぇ、誰だオマエ？俺はルーン・ガー、誇り高き「灰の一党」の戦士だ。			……うるせぇ、誰だオマエ？俺はルーン・ガー、誇り高き「灰の一党」の戦士だ。			孤独なる復讐							
姿はミコッテ族でも、心はアマルジャ族。……悪いが人違いだな。			姿はミコッテ族でも、心はアマルジャ族。……悪いが人違いだな。			孤独なる復讐							
俺は陣営に戻るぜ。……オメェはコイツをなんとかしな。終わったら、道草しないで帰ってくんだぞ！			俺は陣営に戻るぜ。……オメェはコイツをなんとかしな。終わったら、道草しないで帰ってくんだぞ！			孤独なる復讐							
ありがとうございました、もう大丈夫です。私も、誇り高きウ族の狩人。ひとりで家路につくことくらいはできます。			ありがとうございました、もう大丈夫です。私も、誇り高きウ族の狩人。ひとりで家路につくことくらいはできます。			孤独なる復讐							
……冒険者さん、よろしければ、この後、オアシスにいらしていただけませんか？彼女……ウ・ルーンちゃんのことでお願いがあるのです。			……冒険者さん、よろしければ、この後、オアシスにいらしていただけませんか？彼女……ウ・ルーンちゃんのことでお願いがあるのです。			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
冒険者さん、お待ちしておりました。……あれは間違いなく私の知るルーンちゃん。きっと彼女の行動には、何らかの理由があるはず……。			冒険者さん、お待ちしておりました。……あれは間違いなく私の知るルーンちゃん。きっと彼女の行動には、何らかの理由があるはず……。			孤独なる復讐							
彼女はこのオアシスの出身……仲間たちからなら、ルーンちゃんについて、何か話を聞けるかもしれません。どうか、彼女の力になってあげてください……。			彼女はこのオアシスの出身……仲間たちからなら、ルーンちゃんについて、何か話を聞けるかもしれません。どうか、彼女の力になってあげてください……。			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
オアシスの仲間からなら、ルーンちゃんについて、何か話を聞けるかもしれません。どうか、彼女の力になってあげてください……。			オアシスの仲間からなら、ルーンちゃんについて、何か話を聞けるかもしれません。どうか、彼女の力になってあげてください……。			孤独なる復讐							
ウ・ルーン？　知っているわ、姉妹だもの……。私たちは先代族長の娘。ほかにもたくさんの姉妹がいるし、母親は違うんだけど。			ウ・ルーン？　知っているわ、姉妹だもの……。私たちは先代族長の娘。ほかにもたくさんの姉妹がいるし、母親は違うんだけど。			孤独なる復讐							
でも、ウ・ルーンに会おうとしても無駄よ。彼女は5年前、不幸な事件で母親とともに亡くなったの。今でも忘れない、あれは悲しい出来事だったわ……。			でも、ウ・ルーンに会おうとしても無駄よ。彼女は5年前、不幸な事件で母親とともに亡くなったの。今でも忘れない、あれは悲しい出来事だったわ……。			孤独なる復讐							
5年前といっても、まだ私の記憶には新しい……あれは悲しい出来事だったわ……。			5年前といっても、まだ私の記憶には新しい……あれは悲しい出来事だったわ……。			孤独なる復讐							
我々オアシスのウ族は、アマルジャ族と、何度も小競り合いをしているの。			我々オアシスのウ族は、アマルジャ族と、何度も小競り合いをしているの。			孤独なる復讐							
奴らは、私たちの大切な狩場に入ってきては、何かと邪魔をするからね。まったく迷惑な連中よ。			奴らは、私たちの大切な狩場に入ってきては、何かと邪魔をするからね。まったく迷惑な連中よ。			孤独なる復讐							
我々オアシスのウ族は、アマルジャ族と、何度も小競り合いをしているの。まったく迷惑な連中よ。			我々オアシスのウ族は、アマルジャ族と、何度も小競り合いをしているの。まったく迷惑な連中よ。			孤独なる復讐							
狩りに出ていた仲間が、アマルジャ族に襲われたらしいの。まだ帰ってきていない者も多いらしいわ……なんてヒドイ。まるで、5年前の悲劇の再来ね……。			狩りに出ていた仲間が、アマルジャ族に襲われたらしいの。まだ帰ってきていない者も多いらしいわ……なんてヒドイ。まるで、5年前の悲劇の再来ね……。			孤独なる復讐							
狩りに出ていた仲間が、アマルジャ族に襲われたらしいの。まだ帰ってきていない者も多いらしいわ……なんてヒドイ。まるで、5年前の悲劇の再来ね……。			狩りに出ていた仲間が、アマルジャ族に襲われたらしいの。まだ帰ってきていない者も多いらしいわ……なんてヒドイ。まるで、5年前の悲劇の再来ね……。			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
ウ・ルーン？　ええ、憶えてますとも……。虫も殺せない、それはもう大人しい女の子だったわ。あの子を奪ったアマルジャ族を、私は許さない……。			ウ・ルーン？　ええ、憶えてますとも……。虫も殺せない、それはもう大人しい女の子だったわ。あの子を奪ったアマルジャ族を、私は許さない……。			孤独なる復讐							
ルーンちゃん……生きていれば、さぞや美しいミコッテ族の女性になったでしょうに……。			ルーンちゃん……生きていれば、さぞや美しいミコッテ族の女性になったでしょうに……。			孤独なる復讐							
……遅かったな。さては、オアシスのミコッテ族から何かくだらねぇ噂話を聞いたんだな？　フン！			……遅かったな。さては、オアシスのミコッテ族から何かくだらねぇ噂話を聞いたんだな？　フン！			孤独なる復讐							
俺の顔を見な……。この仮面は、ハムジ・ガーより授かったアマルジャ族の面。そして誇り高き戦士の象徴だ。			俺の顔を見な……。この仮面は、ハムジ・ガーより授かったアマルジャ族の面。そして誇り高き戦士の象徴だ。			孤独なる復讐							
あのとき……5年前、アマルジャ族に襲われたときのこと。死にかけて砂漠を彷徨っていた俺の前に、ハムジ・ガーは突然現れ、そして言った……。			あのとき……5年前、アマルジャ族に襲われたときのこと。死にかけて砂漠を彷徨っていた俺の前に、ハムジ・ガーは突然現れ、そして言った……。			孤独なる復讐							
「死ぬなら捨ておく、だが生きるなら戦え」……と。			「死ぬなら捨ておく、だが生きるなら戦え」……と。			孤独なる復讐							
それ以来、俺は家族を、氏族を……いや、種族をも捨て、過去のすべてを捨て去ったんだ。そして生まれ変わった、復讐に燃える戦の鬼として……。			それ以来、俺は家族を、氏族を……いや、種族をも捨て、過去のすべてを捨て去ったんだ。そして生まれ変わった、復讐に燃える戦の鬼として……。			孤独なる復讐							
この仮面はその証。俺が誇り高きアマルジャ族の戦士として、生きていくための……。			この仮面はその証。俺が誇り高きアマルジャ族の戦士として、生きていくための……。			孤独なる復讐							
……フン、くだらない無駄話をしちまったな。感傷は弱さ、弱さは戦士の大敵……俺もまだまだ未熟か。さっさとハムジ・ガーの親父に報告してきなっ！			……フン、くだらない無駄話をしちまったな。感傷は弱さ、弱さは戦士の大敵……俺もまだまだ未熟か。さっさとハムジ・ガーの親父に報告してきなっ！			孤独なる復讐							
強き者よ、我ら「灰の一党」は、古のアマルジャ族の有り様を今に伝える者なり。			強き者よ、我ら「灰の一党」は、古のアマルジャ族の有り様を今に伝える者なり。			孤独なる復讐							
古の有り様……すなわち己を鍛え、誇り高く死すこと。神にすがらず、弱きを攻めず、己の魂と肉体を磨きて、ひたすらに至強を求むる。			古の有り様……すなわち己を鍛え、誇り高く死すこと。神にすがらず、弱きを攻めず、己の魂と肉体を磨きて、ひたすらに至強を求むる。			孤独なる復讐							
我らは戦鬼、修羅の道を歩む者。神を敬いこそすれ、すがり頼るを拒む者。その決意、しかとその魂に刻みつけるべし！			我らは戦鬼、修羅の道を歩む者。神を敬いこそすれ、すがり頼るを拒む者。その決意、しかとその魂に刻みつけるべし！			孤独なる復讐							
敵の気配を感じた！！			敵の気配を感じた！！			孤独なる復讐							
(カット)			(カット)			孤独なる復讐							
「アマルジャ族：灰の一党」との友好関係が「認定」になりました。目的や過去を知ることで、彼らに認められたようです。			「アマルジャ族：灰の一党」との友好関係が「認定」になりました。目的や過去を知ることで、彼らに認められたようです。			孤独なる復讐							
これ以降、灰の陣営にいる「ナルジ・ボー」より、新たな「友好部族デイリークエスト」を受注することができます。			これ以降、灰の陣営にいる「ナルジ・ボー」より、新たな「友好部族デイリークエスト」を受注することができます。			孤独なる復讐							
また、「アマルジャ族のよろず屋」より、「友好関係：認定」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「アマルジャ族のよろず屋」より、「友好関係：認定」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			孤独なる復讐							
ノォヴの育成地のノォヴは、冒険者に頼みたい仕事があるらしい。			ノォヴの育成地のノォヴは、冒険者に頼みたい仕事があるらしい。			海魔の名は潮騒に乗って							
前回までの冒険録：黒渦団からの依頼で、サハギン族に襲われて沈没した民間船の乗客を救助することになった冒険者。ブラッドショアでの救助活動中、サハギン族が遭難した子どもを連れてくる。子どもを助けたのは、西ラノシアにある「ノォヴの育成地」に暮らすサハギン族だった。冒険者は育成地を訪ね、そこに棲むサハギン族全員の父であり、育成地の長でもある「ノォヴ」と邂逅する。サハギン族の過激派「珊瑚の銛」に襲われていた彼の息子を助けたことで、ノォヴと打ち解けた冒険者。種として絶滅に瀕しているサハギン族の現状を聞き、人とサハギン族の共存共栄を目指すため、「ノォヴ一味」への協力を約束したのだった……。　　　　　　　　　　　　*　*　*ノォヴの掴んだ情報によると、「珊瑚の銛」が再び民間船を襲っているらしい。商船「スワロー号」に乗りこむには、特別なエルブストに乗る必要がある。ノォヴの育成地の「海獣使いのパァア」と話し、エルブストに騎乗しよう。			前回までの冒険録：黒渦団からの依頼で、サハギン族に襲われて沈没した民間船の乗客を救助することになった冒険者。ブラッドショアでの救助活動中、サハギン族が遭難した子どもを連れてくる。子どもを助けたのは、西ラノシアにある「ノォヴの育成地」に暮らすサハギン族だった。冒険者は育成地を訪ね、そこに棲むサハギン族全員の父であり、育成地の長でもある「ノォヴ」と邂逅する。サハギン族の過激派「珊瑚の銛」に襲われていた彼の息子を助けたことで、ノォヴと打ち解けた冒険者。種として絶滅に瀕しているサハギン族の現状を聞き、人とサハギン族の共存共栄を目指すため、「ノォヴ一味」への協力を約束したのだった……。　　　　　　　　　　　　*　*　*ノォヴの掴んだ情報によると、「珊瑚の銛」が再び民間船を襲っているらしい。商船「スワロー号」に乗りこむには、特別なエルブストに乗る必要がある。ノォヴの育成地の「海獣使いのパァア」と話し、エルブストに騎乗しよう。			海魔の名は潮騒に乗って							
商船「スワロー号」に乗りこんだ。「スワロー号の船長」と話し状況を把握しよう。			商船「スワロー号」に乗りこんだ。「スワロー号の船長」と話し状況を把握しよう。			海魔の名は潮騒に乗って							
冒険者はスワロー号の船長に、乗員を避難させる間の時間稼ぎを頼まれた。商船「スワロー号」船上にいる「珊瑚の銛」の一味を、種類を問わず、5体倒そう。			冒険者はスワロー号の船長に、乗員を避難させる間の時間稼ぎを頼まれた。商船「スワロー号」船上にいる「珊瑚の銛」の一味を、種類を問わず、5体倒そう。			海魔の名は潮騒に乗って							
「珊瑚の銛」の一味を倒した。「スワロー号の船長」と話そう。			「珊瑚の銛」の一味を倒した。「スワロー号の船長」と話そう。			海魔の名は潮騒に乗って							
冒険者の働きで、スワロー号の乗員は全員無事にエールポートへ到着した。エールポートの酒場にいる「スワロー号の船長」と話そう。			冒険者の働きで、スワロー号の乗員は全員無事にエールポートへ到着した。エールポートの酒場にいる「スワロー号の船長」と話そう。			海魔の名は潮騒に乗って							
スワロー号の船長が聞いたところによると、「珊瑚の銛」を率いているのは「紅珊瑚の海魔」というサハギン族らしい。同席したウルツ・コグルツ少甲士によれば、紅珊瑚の海魔は、15年前に西ラノシアを震撼させた大海賊とのこと。スワロー号の船長は、「珊瑚の銛」から救ってくれた礼として、冒険者に極上のラノシアオレンジを渡した。ノォヴの育成地に戻り、「ノォヴ」に「極上のラノシアオレンジ」を渡そう。			スワロー号の船長が聞いたところによると、「珊瑚の銛」を率いているのは「紅珊瑚の海魔」というサハギン族らしい。同席したウルツ・コグルツ少甲士によれば、紅珊瑚の海魔は、15年前に西ラノシアを震撼させた大海賊とのこと。スワロー号の船長は、「珊瑚の銛」から救ってくれた礼として、冒険者に極上のラノシアオレンジを渡した。ノォヴの育成地に戻り、「ノォヴ」に「極上のラノシアオレンジ」を渡そう。			海魔の名は潮騒に乗って							
ノォヴに極上のラノシアオレンジを渡した。育成地の子どもたちはお土産を喜び、冒険者とノォヴ一味の相互理解が進んだ。ノォヴは、紅珊瑚の海魔について心当たりがあるようだが……。今後もノォヴ一味に加勢し、サハギン族への理解を深めていこう。			ノォヴに極上のラノシアオレンジを渡した。育成地の子どもたちはお土産を喜び、冒険者とノォヴ一味の相互理解が進んだ。ノォヴは、紅珊瑚の海魔について心当たりがあるようだが……。今後もノォヴ一味に加勢し、サハギン族への理解を深めていこう。			海魔の名は潮騒に乗って							
ノォヴの育成地の海獣使いのパァアと話す			ノォヴの育成地の海獣使いのパァアと話す			海魔の名は潮騒に乗って							
商船「スワロー号」のスワロー号の船長と話す			商船「スワロー号」のスワロー号の船長と話す			海魔の名は潮騒に乗って							
商船「スワロー号」で珊瑚の銛の一味を倒す			商船「スワロー号」で珊瑚の銛の一味を倒す			海魔の名は潮騒に乗って							
商船「スワロー号」のスワロー号の船長と話す			商船「スワロー号」のスワロー号の船長と話す			海魔の名は潮騒に乗って							
エールポートのスワロー号の船長と話す			エールポートのスワロー号の船長と話す			海魔の名は潮騒に乗って							
ノォヴの育成地のノォヴに極上のラノシアオレンジを渡す			ノォヴの育成地のノォヴに極上のラノシアオレンジを渡す			海魔の名は潮騒に乗って							
フスィーッ……Forename、聞いてくれ。「珊瑚の銛」と、奴らに従う海賊団「海蛇の舌」が、西ラノシアの沖合で、再びヒトの船を襲撃したらしい。			フスィーッ……Forename、聞いてくれ。「珊瑚の銛」と、奴らに従う海賊団「海蛇の舌」が、西ラノシアの沖合で、再びヒトの船を襲撃したらしい。			海魔の名は潮騒に乗って							
前回は奴らに後れをとり、まんまと船を沈められたが……今回こそは、なんとしても阻止しなくてはならん。			前回は奴らに後れをとり、まんまと船を沈められたが……今回こそは、なんとしても阻止しなくてはならん。			海魔の名は潮騒に乗って							
フスィーッ……これ以上、ヒト勢力を刺激すれば、ヒトの長も黙ってはおるまい。……このままでは、いよいよ全面戦争となろう！			フスィーッ……これ以上、ヒト勢力を刺激すれば、ヒトの長も黙ってはおるまい。……このままでは、いよいよ全面戦争となろう！			海魔の名は潮騒に乗って							
フスィーッ……そうなる前に「珊瑚の銛」の愚挙を防ぐのだ。Forenameよ、急ぎ商船「スワロー号」に向かい、「珊瑚の銛」の一味を退けてきてくれ。			フスィーッ……そうなる前に「珊瑚の銛」の愚挙を防ぐのだ。Forenameよ、急ぎ商船「スワロー号」に向かい、「珊瑚の銛」の一味を退けてきてくれ。			海魔の名は潮騒に乗って							
我らは海を泳ぎ、海中の敵と対する。しかし、ヒレもエラも持たぬお前は、そうも行くまい。我が息子、「海獣使いのパァア」の力を借りるがいい。			我らは海を泳ぎ、海中の敵と対する。しかし、ヒレもエラも持たぬお前は、そうも行くまい。我が息子、「海獣使いのパァア」の力を借りるがいい。			海魔の名は潮騒に乗って							
海獣使いのパァアの飼っている「エルブスト」は、ヒトを乗せて海洋を巡航できる、特別に訓練された個体だ。フスィーッ……頼んだぞ！			海獣使いのパァアの飼っている「エルブスト」は、ヒトを乗せて海洋を巡航できる、特別に訓練された個体だ。フスィーッ……頼んだぞ！			海魔の名は潮騒に乗って							
フスィーッ……育成地にいる我が息子のひとり、「海獣使いのパァア」に話しかけ、エルブストで商船「スワロー号」に乗りこむのだ。			フスィーッ……育成地にいる我が息子のひとり、「海獣使いのパァア」に話しかけ、エルブストで商船「スワロー号」に乗りこむのだ。			海魔の名は潮騒に乗って							
フスィーッ……ノォヴの親父から話は聞いている。こいつは、俺が育てたエルブストでも、格別に強く大きい。あんた程度なら、背中に乗せて外海に出ることができる。			フスィーッ……ノォヴの親父から話は聞いている。こいつは、俺が育てたエルブストでも、格別に強く大きい。あんた程度なら、背中に乗せて外海に出ることができる。			海魔の名は潮騒に乗って							
「珊瑚の銛」は、「海蛇の舌」の海賊たちを従えるうえ、凶暴な戦闘用のエルブストを何匹も飼ってる。敵は多勢、戦の準備は万全にして望めよ。			「珊瑚の銛」は、「海蛇の舌」の海賊たちを従えるうえ、凶暴な戦闘用のエルブストを何匹も飼ってる。敵は多勢、戦の準備は万全にして望めよ。			海魔の名は潮騒に乗って							
フスィーッ……俺のエルブストに乗って、沖合の商船「スワロー号」に向かうか？			フスィーッ……俺のエルブストに乗って、沖合の商船「スワロー号」に向かうか？			海魔の名は潮騒に乗って							
エルブストに乗る？			エルブストに乗る？			海魔の名は潮騒に乗って							
はい			はい			海魔の名は潮騒に乗って							
いいえ			いいえ			海魔の名は潮騒に乗って							
フスィーッ……準備が整ったら、いつでも声をかけてくれ。俺のかわいいエルブストは、いつでも快調だぜ。			フスィーッ……準備が整ったら、いつでも声をかけてくれ。俺のかわいいエルブストは、いつでも快調だぜ。			海魔の名は潮騒に乗って							
「ノォヴの育成地」へ戻る？			「ノォヴの育成地」へ戻る？			海魔の名は潮騒に乗って							
はい			はい			海魔の名は潮騒に乗って							
いいえ			いいえ			海魔の名は潮騒に乗って							
な、何者ですかぁ！？まさか襲ってきた海賊の一味！？			な、何者ですかぁ！？まさか襲ってきた海賊の一味！？			海魔の名は潮騒に乗って							
……えっ？　我々を助けに来てくれたのですって！？船も無しでこんな沖合まで、いったいどうやって……。いや、今はそんな話をしているべき時ではないですね。			……えっ？　我々を助けに来てくれたのですって！？船も無しでこんな沖合まで、いったいどうやって……。いや、今はそんな話をしているべき時ではないですね。			海魔の名は潮騒に乗って							
私は、商船「スワロー号」の船長。……現在、乗組員たちに脱出用のボートを用意させているところです……。			私は、商船「スワロー号」の船長。……現在、乗組員たちに脱出用のボートを用意させているところです……。			海魔の名は潮騒に乗って							
……しかし、避難完了には、まだ時間がかかります。どうか、甲板にいる敵を討伐し、足止めをしてくれませんか！どの敵でも構いません、とにかく数を減らしてください！			……しかし、避難完了には、まだ時間がかかります。どうか、甲板にいる敵を討伐し、足止めをしてくれませんか！どの敵でも構いません、とにかく数を減らしてください！			海魔の名は潮騒に乗って							
私は、ここで船倉を見張っています！どうか、甲板にいる敵を討伐してくれませんか！どの敵でも構いません、とにかく数を減らしてください！			私は、ここで船倉を見張っています！どうか、甲板にいる敵を討伐してくれませんか！どの敵でも構いません、とにかく数を減らしてください！			海魔の名は潮騒に乗って							
