朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
だとしたら、小舟に乗って挑発してきた海賊衆は、争いを引き起こしたかったとしか思えない。			だとしたら、小舟に乗って挑発してきた海賊衆は、争いを引き起こしたかったとしか思えない。			海域を巡る争い							
ということは、その海賊衆が、祭器を盗んだ犯人が擬態していた可能性があるね。			ということは、その海賊衆が、祭器を盗んだ犯人が擬態していた可能性があるね。			海域を巡る争い							
もちろん、これは推測にすぎないから、証拠がない以上、台場の人に伝えてもきっと通じない。			もちろん、これは推測にすぎないから、証拠がない以上、台場の人に伝えてもきっと通じない。			海域を巡る争い							
だから、今度は海賊衆の人たちから、紅玉台場に近づいた者がいないか探ってみようよ。Forename、彼らの集落を知ってたりしない？			だから、今度は海賊衆の人たちから、紅玉台場に近づいた者がいないか探ってみようよ。Forename、彼らの集落を知ってたりしない？			海域を巡る争い							
あれが、「サカズキ島」という海賊衆の拠点なのか。さっそく、そこで聞き取りしよう！この距離だったら泳いだ方が早そうだね！			あれが、「サカズキ島」という海賊衆の拠点なのか。さっそく、そこで聞き取りしよう！この距離だったら泳いだ方が早そうだね！			海域を巡る争い							
また海賊衆の船が接近してきたら、今度は間違いなく砲撃することになるだろう。そうなったら、大きな争いに発展しかねない……。			また海賊衆の船が接近してきたら、今度は間違いなく砲撃することになるだろう。そうなったら、大きな争いに発展しかねない……。			海域を巡る争い							
小舟で紅玉台場に近づいた仲間を知らないか……？			小舟で紅玉台場に近づいた仲間を知らないか……？			海域を巡る争い							
なんだって？無許可で台場に近づくのは、海賊衆の間ではご法度だ。そんなことする奴がいるわけねぇ！			なんだって？無許可で台場に近づくのは、海賊衆の間ではご法度だ。そんなことする奴がいるわけねぇ！			海域を巡る争い							
大方、防人の連中が言いがかりをつけてるんじゃないか？きっとそうに違いねぇ……！			大方、防人の連中が言いがかりをつけてるんじゃないか？きっとそうに違いねぇ……！			海域を巡る争い							
紅玉台場の連中がそんなこと言ってんのか？こちとら、ひんがしの国の海域なんざ興味ないぜ！			紅玉台場の連中がそんなこと言ってんのか？こちとら、ひんがしの国の海域なんざ興味ないぜ！			海域を巡る争い							
防人の船こそ最近、海賊衆の海域に侵入したことがあったんだ！奴らは俺たちにケンカでも売ってんのか……！？			防人の船こそ最近、海賊衆の海域に侵入したことがあったんだ！奴らは俺たちにケンカでも売ってんのか……！？			海域を巡る争い							
無許可で台場に近づくのは、海賊衆の間ではご法度だ。そんなことする奴がいるわけねぇ！大方、防人の連中が言いがかりをつけてるんだろうよ！			無許可で台場に近づくのは、海賊衆の間ではご法度だ。そんなことする奴がいるわけねぇ！大方、防人の連中が言いがかりをつけてるんだろうよ！			海域を巡る争い							
こちとら、ひんがしの国の海域なんか興味ないぜ！防人の船こそ最近、海賊衆の海域に侵入したことがあったんだ！奴らは俺たちにケンカでも売ってんのか……！？			こちとら、ひんがしの国の海域なんか興味ないぜ！防人の船こそ最近、海賊衆の海域に侵入したことがあったんだ！奴らは俺たちにケンカでも売ってんのか……！？			海域を巡る争い							
Forename、この人の話を聞いてよ。なんだか、マズイことになってるみたいだ……。			Forename、この人の話を聞いてよ。なんだか、マズイことになってるみたいだ……。			海域を巡る争い							
ああ、頼りになりそうな人がいてよかった……！			ああ、頼りになりそうな人がいてよかった……！			海域を巡る争い							
つい先ほど、ここに頭領のラショウさんが来たんですよ。いつも、タンスイさんを始めとした部下を連れているのに、そのときは珍しくひとりでね。			つい先ほど、ここに頭領のラショウさんが来たんですよ。いつも、タンスイさんを始めとした部下を連れているのに、そのときは珍しくひとりでね。			海域を巡る争い							
なんでも、火急の仕事だとサカズキ島の海賊衆数人に、ベッコウ島の南に集まるよう声をかけていたんです。			なんでも、火急の仕事だとサカズキ島の海賊衆数人に、ベッコウ島の南に集まるよう声をかけていたんです。			海域を巡る争い							
あたしも誘われたんですが、どうにも様子がおかしいもんで、何をする気か尋ねたら……なんと、紅玉台場に乗り込むと言うじゃありませんか！			あたしも誘われたんですが、どうにも様子がおかしいもんで、何をする気か尋ねたら……なんと、紅玉台場に乗り込むと言うじゃありませんか！			海域を巡る争い							
必死で止めようとしたんですが、頭領は聞く耳を持たず、臆病者は必要ないと言って去っていきました。			必死で止めようとしたんですが、頭領は聞く耳を持たず、臆病者は必要ないと言って去っていきました。			海域を巡る争い							
どうか、ベッコウ島の南に向かい、頭領や仲間たちを止めてやってくれませんか……！？			どうか、ベッコウ島の南に向かい、頭領や仲間たちを止めてやってくれませんか……！？			海域を巡る争い							
本来なら考えられないような行動……祭器を盗んだ犯人が、ラショウという人に擬態しているのは、間違いなさそうだね。そのベッコウ島は、どこにあるんだい？			本来なら考えられないような行動……祭器を盗んだ犯人が、ラショウという人に擬態しているのは、間違いなさそうだね。そのベッコウ島は、どこにあるんだい？			海域を巡る争い							
よし、急いで「ベッコウ島」の南に向かおう！			よし、急いで「ベッコウ島」の南に向かおう！			海域を巡る争い							
ベッコウ島に行ってないかだと？俺はずっとここにいるが、何かの間違いじゃないか……？			ベッコウ島に行ってないかだと？俺はずっとここにいるが、何かの間違いじゃないか……？			海域を巡る争い							
人の声が聞こえてきたよ。どうやら、この先に海賊衆がいるようだね……。			人の声が聞こえてきたよ。どうやら、この先に海賊衆がいるようだね……。			海域を巡る争い							
俺たちの海域を侵されて黙っちゃいられねぇ！海賊衆の面子を守るため、台場に乗り込んでやるぞ！			俺たちの海域を侵されて黙っちゃいられねぇ！海賊衆の面子を守るため、台場に乗り込んでやるぞ！			海域を巡る争い							
ほ、本気ですか！？そんなことしたら、大事になっちまいますよ！			ほ、本気ですか！？そんなことしたら、大事になっちまいますよ！			海域を巡る争い							
さっきから、頭領らしくない……いったい、どうしたっていうんです！？			さっきから、頭領らしくない……いったい、どうしたっていうんです！？			海域を巡る争い							
う、うるせぇ！テメェ、俺の言うことが聞けねぇってのかッ！？			う、うるせぇ！テメェ、俺の言うことが聞けねぇってのかッ！？			海域を巡る争い							
防人はこっちが海域を侵してると濡れ衣まで着せてきたんだ！舐めた真似した奴らをやっちまいましょう！			防人はこっちが海域を侵してると濡れ衣まで着せてきたんだ！舐めた真似した奴らをやっちまいましょう！			海域を巡る争い							
か、堅気がこんなところで何してる！？命が惜しかったらとっとと失せやがれッ……！			か、堅気がこんなところで何してる！？命が惜しかったらとっとと失せやがれッ……！			海域を巡る争い							
何と言う？			何と言う？			海域を巡る争い							
偽者だ！			偽者だ！			海域を巡る争い							
ラショウじゃない！			ラショウじゃない！			海域を巡る争い							
(-忍者風の男性-)あっさり見破られるとはな……まさか、海賊衆の頭領と付き合いでも？			(-忍者風の男性-)あっさり見破られるとはな……まさか、海賊衆の頭領と付き合いでも？			海域を巡る争い							
オマエの目的はなんだ！人を争わせてどうするつもりだ！？			オマエの目的はなんだ！人を争わせてどうするつもりだ！？			海域を巡る争い							
(-忍者風の男性-)目的だって？まあ、「自由の扉」は国家転覆を掲げてるが、俺のやりたいことはそんな大それたもんじゃない……。			(-忍者風の男性-)目的だって？まあ、「自由の扉」は国家転覆を掲げてるが、俺のやりたいことはそんな大それたもんじゃない……。			海域を巡る争い							
(-忍者風の男性-)強いて言えば、人の本性を暴いてやりたいのさ。普段は建前という擬態をしているが、その本性はみんな獣……			(-忍者風の男性-)強いて言えば、人の本性を暴いてやりたいのさ。普段は建前という擬態をしているが、その本性はみんな獣……			海域を巡る争い							
(-忍者風の男性-)ちょっと騙してやるだけで、途端に牙をむいて、醜い争いを始めるもんだ。それは、なかなか見ものだぞ。			(-忍者風の男性-)ちょっと騙してやるだけで、途端に牙をむいて、醜い争いを始めるもんだ。それは、なかなか見ものだぞ。			海域を巡る争い							
し、潮風のせいか、弓の弦の調子が悪いな……。			し、潮風のせいか、弓の弦の調子が悪いな……。			海域を巡る争い							
どんな者にでも擬態できるとは脅威ですね。筋違砦にいる頭領にもこのことを伝えて、海賊衆による紅玉海の警備を強化します。			どんな者にでも擬態できるとは脅威ですね。筋違砦にいる頭領にもこのことを伝えて、海賊衆による紅玉海の警備を強化します。			海域を巡る争い							
偽者だなんて知らず、防人に舐められてると思って、つい、頭に血が上っちまった。アタシたちを止めてくれて本当に助かったよ。			偽者だなんて知らず、防人に舐められてると思って、つい、頭に血が上っちまった。アタシたちを止めてくれて本当に助かったよ。			海域を巡る争い							
人の本性を暴いてやりたいだって？ふざけやがって……			人の本性を暴いてやりたいだって？ふざけやがって……			海域を巡る争い							
とにかく、クガネに戻るとしよう。			とにかく、クガネに戻るとしよう。			海域を巡る争い							
俺の偽者の暴挙を止めてくれたらしく、感謝する。紅玉海で二度と勝手な真似をさせないよう、警備を強化するから安心してくれ。			俺の偽者の暴挙を止めてくれたらしく、感謝する。紅玉海で二度と勝手な真似をさせないよう、警備を強化するから安心してくれ。			海域を巡る争い							
海賊衆から文が届いて、海域侵犯の騒ぎが偽者の仕業だと知った。とにかく、大事に至らなくてよかった。			海賊衆から文が届いて、海域侵犯の騒ぎが偽者の仕業だと知った。とにかく、大事に至らなくてよかった。			海域を巡る争い							
ちくしょう、あんなヤツに……			ちくしょう、あんなヤツに……			海域を巡る争い							
ああ、ゴメンよ。犯人の動機が、あまりにふざけたものだったから、怒りが収まらなくてさ……。			ああ、ゴメンよ。犯人の動機が、あまりにふざけたものだったから、怒りが収まらなくてさ……。			海域を巡る争い							
アイツが去っていった方角……。クガネではなく、紅玉海からまた別の地域へと向かったようだね。			アイツが去っていった方角……。クガネではなく、紅玉海からまた別の地域へと向かったようだね。			海域を巡る争い							
せっかく海賊衆とも知り合えたんだ。彼らにも協力を頼んで、付近の陸地にある集落で、不可解な「争いごと」が起きてないか調べてみるよ。			せっかく海賊衆とも知り合えたんだ。彼らにも協力を頼んで、付近の陸地にある集落で、不可解な「争いごと」が起きてないか調べてみるよ。			海域を巡る争い							
そ、それと弓の手入れも、しっかりしておこう……今度こそアイツを仕留めるから、どうか、また協力してほしい。			そ、それと弓の手入れも、しっかりしておこう……今度こそアイツを仕留めるから、どうか、また協力してほしい。			海域を巡る争い							
アースンシャイアのコーナは、ウクラマトを探しに行きたいようだ。			アースンシャイアのコーナは、ウクラマトを探しに行きたいようだ。			消えた王女							
モブリン族の門番と話す			モブリン族の門番と話す			消えた王女							
ペルペル族の行商人と話す			ペルペル族の行商人と話す			消えた王女							
コーナと話し、先導に従って移動			コーナと話し、先導に従って移動			消えた王女							
優しげなシュバラール族の男性に「すごく喜ぶ」をする			優しげなシュバラール族の男性に「すごく喜ぶ」をする			消えた王女							
コーナと話し、先導に従って移動			コーナと話し、先導に従って移動			消えた王女							
ノリの良いモブリン族に「すごく喜ぶ」をする			ノリの良いモブリン族に「すごく喜ぶ」をする			消えた王女							
コーナと話し、先導に従って移動			コーナと話し、先導に従って移動			消えた王女							
元気なペルペル族の男性に「すごく喜ぶ」をする			元気なペルペル族の男性に「すごく喜ぶ」をする			消えた王女							
コーナと話す			コーナと話す			消えた王女							
ウクラマト王女　心配よ～！情報あったら　すぐに知らせる～！			ウクラマト王女　心配よ～！情報あったら　すぐに知らせる～！			消えた王女							
ラマチが西側からアースンシャイアへと戻ってきたなら、確実にこの道を通るはず。しかし、レディロクは会っていないと言う。			ラマチが西側からアースンシャイアへと戻ってきたなら、確実にこの道を通るはず。しかし、レディロクは会っていないと言う。			消えた王女							
となると、彼女はそもそも、アースンシャイアに戻ってこなかった可能性が高い。			となると、彼女はそもそも、アースンシャイアに戻ってこなかった可能性が高い。			消えた王女							
そのことを確かめるためにも、反対側にある集落入口で、「モブリン族の門番」から話を聞いてみましょう。			そのことを確かめるためにも、反対側にある集落入口で、「モブリン族の門番」から話を聞いてみましょう。			消えた王女							
「モブリン族の門番」が目撃していなければ、この集落に戻ってきた彼女を見た者はいないことになる。さあ、話を聞いてみましょう。			「モブリン族の門番」が目撃していなければ、この集落に戻ってきた彼女を見た者はいないことになる。さあ、話を聞いてみましょう。			消えた王女							
フゴォ……フゴォ……ウクラマト王女　戻ってきたかと？モブはずっと　ここにいた　でもでもモブは　見てないモブ！			フゴォ……フゴォ……ウクラマト王女　戻ってきたかと？モブはずっと　ここにいた　でもでもモブは　見てないモブ！			消えた王女							
ならば、トナワータ族の男はどうですか？派手な色の髪をしている人物です。			ならば、トナワータ族の男はどうですか？派手な色の髪をしている人物です。			消えた王女							
それなら　気になる　ことがある！ペルペル族の行商人　朋友の灯火に　行ったとき派手髪　盗賊　襲われて　怖い思いを　したらしい！			それなら　気になる　ことがある！ペルペル族の行商人　朋友の灯火に　行ったとき派手髪　盗賊　襲われて　怖い思いを　したらしい！			消えた王女							
盗賊ですか……。わかりました、ありがとうございます。			盗賊ですか……。わかりました、ありがとうございます。			消えた王女							
考えたくはないですが、ラマチが集落に戻ってきていない以上、彼女を呼んだ男と、その派手髪の盗賊が同一人物で、よからぬ事態になっている恐れがある……。			考えたくはないですが、ラマチが集落に戻ってきていない以上、彼女を呼んだ男と、その派手髪の盗賊が同一人物で、よからぬ事態になっている恐れがある……。			消えた王女							
朋友の灯火に行って、「ペルペル族の行商人」から話を聞いてみましょう。			朋友の灯火に行って、「ペルペル族の行商人」から話を聞いてみましょう。			消えた王女							
この方が盗賊被害に遭った、「ペルペル族の行商人」で間違いないようです。			この方が盗賊被害に遭った、「ペルペル族の行商人」で間違いないようです。			消えた王女							
フゴォ……フゴォ……盗賊に備えて　警備を強化　しなくては！			フゴォ……フゴォ……盗賊に備えて　警備を強化　しなくては！			消えた王女							
ういうい、それで私に聞きたいこととは？			ういうい、それで私に聞きたいこととは？			消えた王女							
あなたが盗賊被害に遭われたと聞きましてね。詳しい話を聞かせていただけないでしょうか？			あなたが盗賊被害に遭われたと聞きましてね。詳しい話を聞かせていただけないでしょうか？			消えた王女							
おや、見覚えがあると思ったら、第二王子のコーナ様ではありませんか！もちろん、すべてお話ししましょう。			おや、見覚えがあると思ったら、第二王子のコーナ様ではありませんか！もちろん、すべてお話ししましょう。			消えた王女							
私を襲ったのは、ワーケサという名の男ですよ、ええ。			私を襲ったのは、ワーケサという名の男ですよ、ええ。			消えた王女							
名前までわかっているのですか？			名前までわかっているのですか？			消えた王女							
ええ、見間違えるはずはありません、派手な髪ですから。行商人の間では、この辺りの盗賊の頭として、悪名が轟いていますよ。			ええ、見間違えるはずはありません、派手な髪ですから。行商人の間では、この辺りの盗賊の頭として、悪名が轟いていますよ。			消えた王女							
ワーケサが率いる盗賊団は、カネのためならばどんな汚いことにも手を染める悪党ども。大階段が壊れて獲物の減ってる今は、なおさらでしょう。			ワーケサが率いる盗賊団は、カネのためならばどんな汚いことにも手を染める悪党ども。大階段が壊れて獲物の減ってる今は、なおさらでしょう。			消えた王女							
カネ、か……わざわざラマチを名指しで連れ出したということは、身代金目当ての誘拐の可能性が高い。			カネ、か……わざわざラマチを名指しで連れ出したということは、身代金目当ての誘拐の可能性が高い。			消えた王女							
そうなれば向こうから接触してくるはずだが……悠長に待ってなどいられるものか。こちらから探し出して、報いを受けさせてやる……。			そうなれば向こうから接触してくるはずだが……悠長に待ってなどいられるものか。こちらから探し出して、報いを受けさせてやる……。			消えた王女							
こういうのはどうでしょう。僕が羽振りの良さそうな行商人に化けておびき寄せ、餌に食いついてきたところを捕らえるのです。			こういうのはどうでしょう。僕が羽振りの良さそうな行商人に化けておびき寄せ、餌に食いついてきたところを捕らえるのです。			消えた王女							
それならお譲りいたしましょう、行商人に扮するための服を。もちろん、特別価格ですよ。			それならお譲りいたしましょう、行商人に扮するための服を。もちろん、特別価格ですよ。			消えた王女							
何とも商魂たくましいことですね。とはいえ好都合だ、取引に応じましょう。			何とも商魂たくましいことですね。とはいえ好都合だ、取引に応じましょう。			消えた王女							
さあ、餌を撒くとしましょう。			さあ、餌を撒くとしましょう。			消えた王女							
僕はこれから、朋友の灯火を歩き回ります。あなたはそのあとをついて回りながら、通りがかった人に、僕から希少な原石を大金で買い取ったと吹聴してください。			僕はこれから、朋友の灯火を歩き回ります。あなたはそのあとをついて回りながら、通りがかった人に、僕から希少な原石を大金で買い取ったと吹聴してください。			消えた王女							
もしもワーケサがさらなるカネを欲しているなら、大金を手にした行商人を放っておくはずがありません。あえて襲わせて、盗賊行為を押さえた上で確保しましょう。			もしもワーケサがさらなるカネを欲しているなら、大金を手にした行商人を放っておくはずがありません。あえて襲わせて、盗賊行為を押さえた上で確保しましょう。			消えた王女							
祈っていますよ、あなたがたの作戦が上手くいくことを。			祈っていますよ、あなたがたの作戦が上手くいくことを。			消えた王女							
最近、何か良いことあったかい？			最近、何か良いことあったかい？			消えた王女							
フゴォ……フゴォ……壺匠　お世話は好きだけど　少し疲れるときもある気晴らし　聞きたい　景気いい　とっておきのお話を！			フゴォ……フゴォ……壺匠　お世話は好きだけど　少し疲れるときもある気晴らし　聞きたい　景気いい　とっておきのお話を！			消えた王女							
探してるんだ、商機をね。成功するには情報収集が不可欠だからさ！			探してるんだ、商機をね。成功するには情報収集が不可欠だからさ！			消えた王女							
では、行動開始です。			では、行動開始です。			消えた王女							
最初の相手は、あそこに見えるシュバラール族の男性にしましょう。			最初の相手は、あそこに見えるシュバラール族の男性にしましょう。			消えた王女							
彼に「すごく喜び」ながら、架空の商談話を吹聴するのです。僕はここで待っていますので、十分に注目を集めたところで戻ってきてください。			彼に「すごく喜び」ながら、架空の商談話を吹聴するのです。僕はここで待っていますので、十分に注目を集めたところで戻ってきてください。			消えた王女							
ワーケサが食いつくように、しっかりとアピールしてくださいね。			ワーケサが食いつくように、しっかりとアピールしてくださいね。			消えた王女							
おや、俺に何か用かい？			おや、俺に何か用かい？			消えた王女							
優しげなシュバラール族の男性に、エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			優しげなシュバラール族の男性に、エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			消えた王女							
あのヘイザ・アロ族の商人から、珍しい原石を買い取ったって？なんともまぁ、羽振りの良い話で羨ましいよ！こっちは、大階段が壊れてからろくに行商に行けてないのにさ！			あのヘイザ・アロ族の商人から、珍しい原石を買い取ったって？なんともまぁ、羽振りの良い話で羨ましいよ！こっちは、大階段が壊れてからろくに行商に行けてないのにさ！			消えた王女							
それはどういう意味だい……？			それはどういう意味だい……？			消えた王女							
優しげなシュバラール族の男性は、困惑しているようだ。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			優しげなシュバラール族の男性は、困惑しているようだ。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			消えた王女							
それにしても、石を売った商人は気をつけないとね。そんな大金を持って歩いていたら、盗賊たちの良い餌だ。			それにしても、石を売った商人は気をつけないとね。そんな大金を持って歩いていたら、盗賊たちの良い餌だ。			消えた王女							
ワーケサの目を引くように、もっと注目を集めましょう。ついてきてください。			ワーケサの目を引くように、もっと注目を集めましょう。ついてきてください。			消えた王女							
次は、奥にいるモブリン族を相手に、「すごく喜び」ながら、架空の商談話を吹聴してきてください。			次は、奥にいるモブリン族を相手に、「すごく喜び」ながら、架空の商談話を吹聴してきてください。			消えた王女							
あちらのモブリン族の商人にも、商談の話をお願いします。噂が出回って、ワーケサのもとまで届くようにね。			あちらのモブリン族の商人にも、商談の話をお願いします。噂が出回って、ワーケサのもとまで届くようにね。			消えた王女							
フゴォ……フゴォ……おやおや　モブに何か御用？			フゴォ……フゴォ……おやおや　モブに何か御用？			消えた王女							
ノリの良いモブリン族は、こちらに注目している。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			ノリの良いモブリン族は、こちらに注目している。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			消えた王女							
フゴォ……フゴォ……ヘイザ・アロ族　商人から　値の張る原石　買い取った！？			フゴォ……フゴォ……ヘイザ・アロ族　商人から　値の張る原石　買い取った！？			消えた王女							
それは　とてとて景気いい！貴重な原石買い取った　あなたの成功　羨ましい！大金せしめた商人も　たくさん儲けて　羨ましい！			それは　とてとて景気いい！貴重な原石買い取った　あなたの成功　羨ましい！大金せしめた商人も　たくさん儲けて　羨ましい！			消えた王女							
フゴォ……フゴォ……いったい　ぜんたい　何のこと！？			フゴォ……フゴォ……いったい　ぜんたい　何のこと！？			消えた王女							
ノリの良いモブリン族は、困惑しているようだ。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			ノリの良いモブリン族は、困惑しているようだ。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			消えた王女							
フゴォ……フゴォ……このあたり　強欲　凶悪　盗賊団とてとてたくさん　気をつけて！			フゴォ……フゴォ……このあたり　強欲　凶悪　盗賊団とてとてたくさん　気をつけて！			消えた王女							
もう十分かもしれませんが、念押ししておきたいですね。あとひとり探しましょう。			もう十分かもしれませんが、念押ししておきたいですね。あとひとり探しましょう。			消えた王女							
最後は、あそこにいるペルペル族を相手に、「すごく喜び」ながら、架空の商談話を語ってください。それでこの作戦の仕上げとしましょう。			最後は、あそこにいるペルペル族を相手に、「すごく喜び」ながら、架空の商談話を語ってください。それでこの作戦の仕上げとしましょう。			消えた王女							
さあ、もうひと仕事お願いします。			さあ、もうひと仕事お願いします。			消えた王女							
ういうい。誰だか知らないが、退屈してたところだ。面白い話でも聞かせてくれよ。			ういうい。誰だか知らないが、退屈してたところだ。面白い話でも聞かせてくれよ。			消えた王女							
元気なペルペル族の男性は、こちらに注目している。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			元気なペルペル族の男性は、こちらに注目している。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			消えた王女							
たまたま通りがかった行商人から、希少な原石を買い取ることができたって！？なんて運が良い奴なんだ、お前は！			たまたま通りがかった行商人から、希少な原石を買い取ることができたって！？なんて運が良い奴なんだ、お前は！			消えた王女							
それに、そのヘイザ・アロ族の行商人も上手くやったな。きっと、懐はすごいことになってるんだろうぜ。負けてられないな、俺も！			それに、そのヘイザ・アロ族の行商人も上手くやったな。きっと、懐はすごいことになってるんだろうぜ。負けてられないな、俺も！			消えた王女							
そうと決まれば、こうしちゃいられない！俺もお前みたいに掴んでみせるぜ、商機を！			そうと決まれば、こうしちゃいられない！俺もお前みたいに掴んでみせるぜ、商機を！			消えた王女							
いやあ、先程はありがとうございました。あなたが支払ってくださった、例の原石の代金のおかげで、しばらく遊んで暮らせそうですよ。			いやあ、先程はありがとうございました。あなたが支払ってくださった、例の原石の代金のおかげで、しばらく遊んで暮らせそうですよ。			消えた王女							
傭兵も連れずに、こんな大金を持ち歩くのは少々不安ですから、アースンシャイアに寄ったら、すぐトライヨラに戻るつもりです。			傭兵も連れずに、こんな大金を持ち歩くのは少々不安ですから、アースンシャイアに寄ったら、すぐトライヨラに戻るつもりです。			消えた王女							
どうやら、野良犬が餌に食いついてきたようです。			どうやら、野良犬が餌に食いついてきたようです。			消えた王女							
んっ！？どう反応したらいいんだよ、俺は！？			んっ！？どう反応したらいいんだよ、俺は！？			消えた王女							
元気なペルペル族の男性は、困惑しているようだ。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			元気なペルペル族の男性は、困惑しているようだ。エモート「すごく喜ぶ」をしながら、希少な原石を大金で買い取ったことを吹聴しよう。			消えた王女							
あなたの仕込みは完璧でした。サンクレッドたちが仲間と慕うほどのことはありますね。			あなたの仕込みは完璧でした。サンクレッドたちが仲間と慕うほどのことはありますね。			消えた王女							
さて、次はいよいよワーケサを引きずり出しましょう。			さて、次はいよいよワーケサを引きずり出しましょう。			消えた王女							
朋友の灯火のコーナは、作戦の仕上げを行いたいようだ。			朋友の灯火のコーナは、作戦の仕上げを行いたいようだ。			兄として							
指定地点で待機			指定地点で待機			兄として							
盗賊たちを討伐			盗賊たちを討伐			兄として							
コーナと話す			コーナと話す			兄として							
指定地点で見渡す			指定地点で見渡す			兄として							
ワーケサを密かに尾行			ワーケサを密かに尾行			兄として							
怪しげなフビゴ族を密かに尾行			怪しげなフビゴ族を密かに尾行			兄として							
コーナと話す			コーナと話す			兄として							
では作戦の仕上げといきましょう。			では作戦の仕上げといきましょう。			兄として							
これから僕は、アースンシャイアを目指して歩きます。ワーケサがいつでも襲えるように、たったひとりでね。おそらくひとけのないところを狙って仕掛けてくるでしょう。			これから僕は、アースンシャイアを目指して歩きます。ワーケサがいつでも襲えるように、たったひとりでね。おそらくひとけのないところを狙って仕掛けてくるでしょう。			兄として							
今の僕は行商人を装うため、武器を持っていません。ですから、あなたに奴を制圧してもらいたいのです。街道の途中で身を隠し、奴が現れるのをお待ちください。			今の僕は行商人を装うため、武器を持っていません。ですから、あなたに奴を制圧してもらいたいのです。街道の途中で身を隠し、奴が現れるのをお待ちください。			兄として							
ワーケサを追い詰めて、ラマチの行方を吐かせましょう。			ワーケサを追い詰めて、ラマチの行方を吐かせましょう。			兄として							
ククク……ずいぶん羽振りが良いみたいだな、旦那。俺たちにも分けてくれよ。			ククク……ずいぶん羽振りが良いみたいだな、旦那。俺たちにも分けてくれよ。			兄として							
まあ……有り金全部いただくんだがなぁ！			まあ……有り金全部いただくんだがなぁ！			兄として							
て、てめぇはこの商人の取引相手の……！？まさか、俺たちをハメやがったのか！			て、てめぇはこの商人の取引相手の……！？まさか、俺たちをハメやがったのか！			兄として							
チッ！お前ら、ここは任せたぜ！			チッ！お前ら、ここは任せたぜ！			兄として							
逃げ足だけは早いようですね。ならば、お仲間に話を聞くまでです。			逃げ足だけは早いようですね。ならば、お仲間に話を聞くまでです。			兄として							
Forenameさん、彼らと話ができる程度に大人しくさせてください。			Forenameさん、彼らと話ができる程度に大人しくさせてください。			兄として							
あいにく、武器を持っていないのでね。戦闘はお任せしますよ。			あいにく、武器を持っていないのでね。戦闘はお任せしますよ。			兄として							
なんて強さだ…			なんて強さだ…			兄として							
痛いねぇ…！			痛いねぇ…！			兄として							
もう動けん…			もう動けん…			兄として							
ワーケサに逃げられてしまいましたので、あなたがたからお話を伺うとしましょうか。			ワーケサに逃げられてしまいましたので、あなたがたからお話を伺うとしましょうか。			兄として							
なっ……よく見たらてめぇ、トライヨラの王子じゃねぇか！あたいたちをどうするつもりだ！			なっ……よく見たらてめぇ、トライヨラの王子じゃねぇか！あたいたちをどうするつもりだ！			兄として							
王族だろうが関係ねぇ！この借りはてめぇの命で返させてやる！			王族だろうが関係ねぇ！この借りはてめぇの命で返させてやる！			兄として							
あなたがたがラマチを連れ去ったことはわかっています。彼女は今どこにいる？			あなたがたがラマチを連れ去ったことはわかっています。彼女は今どこにいる？			兄として							
ケッ！バーカ、誰が言うかよ！			ケッ！バーカ、誰が言うかよ！			兄として							
俺らはてめぇの召使いじゃねぇんだ！			俺らはてめぇの召使いじゃねぇんだ！			兄として							
ぐだぐだ言ってないで、さっさと吐けよ！妹はどこにいるんだ！！			ぐだぐだ言ってないで、さっさと吐けよ！妹はどこにいるんだ！！			兄として							
……今の僕は、とても冷静でいられる自信がありません。無事に生きて帰りたいのなら、話してください。			……今の僕は、とても冷静でいられる自信がありません。無事に生きて帰りたいのなら、話してください。			兄として							
お、俺たちは王女をさらうよう依頼されただけだ。居場所までは知らねぇ……。			お、俺たちは王女をさらうよう依頼されただけだ。居場所までは知らねぇ……。			兄として							
頼まれた……誰に？			頼まれた……誰に？			兄として							
依頼主の素性は聞かされてねぇ。ワーケサなら知ってるだろうが……。			依頼主の素性は聞かされてねぇ。ワーケサなら知ってるだろうが……。			兄として							
やはり、彼に聞かねばならないということか……。			やはり、彼に聞かねばならないということか……。			兄として							
