自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
隣の家の婆さんは、貧しいオレたちによく野菜を分けてくれた。木こりのおっさんは、冬になると家まで薪を届けてくれた。オレの目の前で、世話になった連中が化け物へと変異していく。			隣の家の婆さんは、貧しいオレたちによく野菜を分けてくれた。木こりのおっさんは、冬になると家まで薪を届けてくれた。オレの目の前で、世話になった連中が化け物へと変異していく。			あの忘れえぬ日々							
何が起こっているのか理解する前に、オレは無意識にミリンダを探していた。			何が起こっているのか理解する前に、オレは無意識にミリンダを探していた。			あの忘れえぬ日々							
視界の端にミリンダの姿を確認すると、彼女もオレに気づいて、こちらに向かって走り出した。			視界の端にミリンダの姿を確認すると、彼女もオレに気づいて、こちらに向かって走り出した。			あの忘れえぬ日々							
だが、ミリンダはオレの目の前で化け物へと変えられた。			だが、ミリンダはオレの目の前で化け物へと変えられた。			あの忘れえぬ日々							
ディカイオシュネーは、ミリンダが落とした「双頭狼の牙」を拾い上げると、罪喰い化した連中を連れて、どこかへと消え去った。			ディカイオシュネーは、ミリンダが落とした「双頭狼の牙」を拾い上げると、罪喰い化した連中を連れて、どこかへと消え去った。			あの忘れえぬ日々							
ミリンダは、ディカイオシュネーとともに行くわけでもなく、罪喰いの姿のまま、オレを見下ろすように立ち尽くしていた。			ミリンダは、ディカイオシュネーとともに行くわけでもなく、罪喰いの姿のまま、オレを見下ろすように立ち尽くしていた。			あの忘れえぬ日々							
まるで……「私を殺してくれ」と言っているかのようにな……。			まるで……「私を殺してくれ」と言っているかのようにな……。			あの忘れえぬ日々							
オレは背中の剣に手をかけながら、ミリンダと過ごした日々を思い返していた。			オレは背中の剣に手をかけながら、ミリンダと過ごした日々を思い返していた。			あの忘れえぬ日々							
だらしのないオレを、叱ってくれたミリンダ。猟で体の冷えたオレを、温かなスープで迎えてくれたミリンダ。くだらないオレの冗談に、笑顔を向けてくれたミリンダ。			だらしのないオレを、叱ってくれたミリンダ。猟で体の冷えたオレを、温かなスープで迎えてくれたミリンダ。くだらないオレの冗談に、笑顔を向けてくれたミリンダ。			あの忘れえぬ日々							
オレは、そんなミリンダを……この手で殺した。			オレは、そんなミリンダを……この手で殺した。			あの忘れえぬ日々							
真っ白な亡骸と化したミリンダを前に、オレは復讐を誓った。ブランデン、ディカイオシュネー……名前なんてどうでもいい。ミリンダを奪ったあの野郎だけは、オレがこの手で殺してやる……。			真っ白な亡骸と化したミリンダを前に、オレは復讐を誓った。ブランデン、ディカイオシュネー……名前なんてどうでもいい。ミリンダを奪ったあの野郎だけは、オレがこの手で殺してやる……。			あの忘れえぬ日々							
オレの顔の傷は、あの野郎への復讐心が途切れないように自ら刻んだものでね。傷の疼きだけが、オレに生きる目的を思い起こさせてくれるのさ。			オレの顔の傷は、あの野郎への復讐心が途切れないように自ら刻んだものでね。傷の疼きだけが、オレに生きる目的を思い起こさせてくれるのさ。			あの忘れえぬ日々							
おっと、辛気くさい話に付き合わせちまったな。だが、オレがあの野郎を追う理由はわかったはずだ。そういうことだから、悪いけど付き合ってくれるかい？			おっと、辛気くさい話に付き合わせちまったな。だが、オレがあの野郎を追う理由はわかったはずだ。そういうことだから、悪いけど付き合ってくれるかい？			あの忘れえぬ日々							
ありがとよ、相棒。オレはこの村に残って、引き続きあの野郎の行方を調べてみるぜ。少しの間、別行動といこう。			ありがとよ、相棒。オレはこの村に残って、引き続きあの野郎の行方を調べてみるぜ。少しの間、別行動といこう。			あの忘れえぬ日々							
リダ・ラーンのスール＝ウィンは、笑みを浮かべている。			リダ・ラーンのスール＝ウィンは、笑みを浮かべている。			スール＝ウィンのお願い							
指定地点に常春草の種を使う			指定地点に常春草の種を使う			スール＝ウィンのお願い							
スール＝ウィンと話す			スール＝ウィンと話す			スール＝ウィンのお願い							
それじゃあ、ワタシからもお願いをしようかしら？			それじゃあ、ワタシからもお願いをしようかしら？			スール＝ウィンのお願い							
ここリダ・ラーンは、私たちピクシー族のお気に入りの場所。だから、いつでも一番かわいくしておかなくちゃならないわ。			ここリダ・ラーンは、私たちピクシー族のお気に入りの場所。だから、いつでも一番かわいくしておかなくちゃならないわ。			スール＝ウィンのお願い							
アナタに「常春草の種」を渡すから、リダ・ラーンのあちこちに撒いてもらえるかしら？よろしくね！			アナタに「常春草の種」を渡すから、リダ・ラーンのあちこちに撒いてもらえるかしら？よろしくね！			スール＝ウィンのお願い							
リダ・ラーンをかわいくするために、「常春草の種」を撒いてきてね！			リダ・ラーンをかわいくするために、「常春草の種」を撒いてきてね！			スール＝ウィンのお願い							
(-興味津々のピクシー族-)あらあらっ？お花の種を撒いてくれたのね！素敵、この建物ももっとキレイになるでしょうね！			(-興味津々のピクシー族-)あらあらっ？お花の種を撒いてくれたのね！素敵、この建物ももっとキレイになるでしょうね！			スール＝ウィンのお願い							
(-興味津々のピクシー族-)ここにはもともと、フッブート王国っていう名前の、大きなヒトの街があったのよ。だけど、罪喰いに襲われて、みーんなどこかにいっちゃった！			(-興味津々のピクシー族-)ここにはもともと、フッブート王国っていう名前の、大きなヒトの街があったのよ。だけど、罪喰いに襲われて、みーんなどこかにいっちゃった！			スール＝ウィンのお願い							
(-興味津々のピクシー族-)だから私たちが住むことにしたの。こうして、建物をキレイにかざりつけて……ね！			(-興味津々のピクシー族-)だから私たちが住むことにしたの。こうして、建物をキレイにかざりつけて……ね！			スール＝ウィンのお願い							
(-陽気なピクシー族-)わぁい、どんな花が芽吹くかなー。大きな葉をもつなら、カーテンにもできるよね。楽しみだなー！			(-陽気なピクシー族-)わぁい、どんな花が芽吹くかなー。大きな葉をもつなら、カーテンにもできるよね。楽しみだなー！			スール＝ウィンのお願い							
種を撒いてきてくれたのね、ありがとう。やっぱりたくさんの花が咲いてこそ、私たちのリダ・ラーン……『花々の館』だわ！			種を撒いてきてくれたのね、ありがとう。やっぱりたくさんの花が咲いてこそ、私たちのリダ・ラーン……『花々の館』だわ！			スール＝ウィンのお願い							
昔々に住んでいた深い森も、とってもキレイだったのだけど、ほとんどが「光の氾濫」に呑み込まれてしまったの。			昔々に住んでいた深い森も、とってもキレイだったのだけど、ほとんどが「光の氾濫」に呑み込まれてしまったの。			スール＝ウィンのお願い							
それでさまよっていたら、ヒトが捨ててしまった街があったから、ほかの妖精と一緒に、住むことにしたというわけ。			それでさまよっていたら、ヒトが捨ててしまった街があったから、ほかの妖精と一緒に、住むことにしたというわけ。			スール＝ウィンのお願い							
今では、すっごくお気に入りよ！アナタもこの、とこしえの春が続く国で、ずっと、ずーっと、いつまでも幸せに暮らしましょう……？			今では、すっごくお気に入りよ！アナタもこの、とこしえの春が続く国で、ずっと、ずーっと、いつまでも幸せに暮らしましょう……？			スール＝ウィンのお願い							
リダ・ラーンのオール＝シグンは、冒険者に甘えたいようだ。			リダ・ラーンのオール＝シグンは、冒険者に甘えたいようだ。			オール＝シグンのお仕事							
指定地点から姿見の清水を入手			指定地点から姿見の清水を入手			オール＝シグンのお仕事							
草人に姿見の清水を使う			草人に姿見の清水を使う			オール＝シグンのお仕事							
オール＝シグンと話す			オール＝シグンと話す			オール＝シグンのお仕事							
ねえねえ、ワタシのことも手伝ってよ～。大事な「草人」に、お水をあげなきゃいけないんだ。			ねえねえ、ワタシのことも手伝ってよ～。大事な「草人」に、お水をあげなきゃいけないんだ。			オール＝シグンのお仕事							
「草人」っていうのは、そこにいるような、葉っぱだらけの子たちのことだよ。とってもかわいいでしょ～？			「草人」っていうのは、そこにいるような、葉っぱだらけの子たちのことだよ。とってもかわいいでしょ～？			オール＝シグンのお仕事							
特別に、何となく場所が掴めるようにしてあげるから、「姿見の湖」まで行って水を汲んで、草人たちにかけてあげてね。			特別に、何となく場所が掴めるようにしてあげるから、「姿見の湖」まで行って水を汲んで、草人たちにかけてあげてね。			オール＝シグンのお仕事							
……あ、水辺といえば、いじわるなフーア族の領分だから、気をつけてねぇ～。			……あ、水辺といえば、いじわるなフーア族の領分だから、気をつけてねぇ～。			オール＝シグンのお仕事							
草人たちにも、結構個性があるんだよ。かわいいよねぇ～。			草人たちにも、結構個性があるんだよ。かわいいよねぇ～。			オール＝シグンのお仕事							
ヒトだ！			ヒトだ！			オール＝シグンのお仕事							
遊ぼう～！			遊ぼう～！			オール＝シグンのお仕事							
あ～、草人にお水をあげてくれたんだねぇ！どうもありがと～！			あ～、草人にお水をあげてくれたんだねぇ！どうもありがと～！			オール＝シグンのお仕事							
うふふ、みんなかわいかったでしょ～？あれはね、イル・メグに入り込んできたヒトたちなんだ。帰っちゃうと寂しいから、ワタシたちが形を変えたの～。			うふふ、みんなかわいかったでしょ～？あれはね、イル・メグに入り込んできたヒトたちなんだ。帰っちゃうと寂しいから、ワタシたちが形を変えたの～。			オール＝シグンのお仕事							
……アナタも、最初にもっと深く術にかかってくれたら、かわいい草人にできたんだけどなぁ。残念だよぅ……。			……アナタも、最初にもっと深く術にかかってくれたら、かわいい草人にできたんだけどなぁ。残念だよぅ……。			オール＝シグンのお仕事							
リダ・ラーンのイス＝ヤラは、何やら悶えている。			リダ・ラーンのイス＝ヤラは、何やら悶えている。			イス＝ヤラの呻き							
釣り鐘の木から釣り鐘の実を入手			釣り鐘の木から釣り鐘の実を入手			イス＝ヤラの呻き							
イス＝ヤラに釣り鐘の実を渡す			イス＝ヤラに釣り鐘の実を渡す			イス＝ヤラの呻き							
うぅぅぅ……助けて……お腹がすいて、フラフラだよぅ……。			うぅぅぅ……助けて……お腹がすいて、フラフラだよぅ……。			イス＝ヤラの呻き							
私たちはヒトと違って、少しばかりの木の実なんかがあれば十分なの。だから、お願い……取ってきて……！			私たちはヒトと違って、少しばかりの木の実なんかがあれば十分なの。だから、お願い……取ってきて……！			イス＝ヤラの呻き							
リダ・ラーンを出てすぐのところに小さな丘があって、大きな「釣り鐘の木」が2本生えてるんだ。それを揺らせば、「釣り鐘の実」が落ちてくるはずだから！			リダ・ラーンを出てすぐのところに小さな丘があって、大きな「釣り鐘の木」が2本生えてるんだ。それを揺らせば、「釣り鐘の実」が落ちてくるはずだから！			イス＝ヤラの呻き							
近くの丘の上にある木を揺らして、「釣り鐘の実」を持ってきて！　お願い！			近くの丘の上にある木を揺らして、「釣り鐘の実」を持ってきて！　お願い！			イス＝ヤラの呻き							
実と一緒に、虫が落ちてきた！			実と一緒に、虫が落ちてきた！			イス＝ヤラの呻き							
ううぅ……「釣り鐘の実」は手に入った？			ううぅ……「釣り鐘の実」は手に入った？			イス＝ヤラの呻き							
ありがとう……ぅ…………ぅふふ、ふふ、うふふふー。			ありがとう……ぅ…………ぅふふ、ふふ、うふふふー。			イス＝ヤラの呻き							
あーはっはっはっ！虫が落ちてきて、ビックリしたでしょー！大きな木の実かと思った？　ふふ、ふひひひひ……。			あーはっはっはっ！虫が落ちてきて、ビックリしたでしょー！大きな木の実かと思った？　ふふ、ふひひひひ……。			イス＝ヤラの呻き							
ひー……おもしろかった！覚えておいてね、私たちは、楽しいことが大好きなの。			ひー……おもしろかった！覚えておいてね、私たちは、楽しいことが大好きなの。			イス＝ヤラの呻き							
反対に、苦しいことやつらいこと、つまらないのは大嫌い。たまに紛れ込んでくる罪喰いも嫌いよ。悪食のいやしんぼで、遊び相手にもならないんだもん！			反対に、苦しいことやつらいこと、つまらないのは大嫌い。たまに紛れ込んでくる罪喰いも嫌いよ。悪食のいやしんぼで、遊び相手にもならないんだもん！			イス＝ヤラの呻き							
まあ、ヒトみたいに、好んで戦いにいったりはしないけどね。だってそんなの「つらいだけ」だわ！			まあ、ヒトみたいに、好んで戦いにいったりはしないけどね。だってそんなの「つらいだけ」だわ！			イス＝ヤラの呻き							
リダ・ラーンのサンクレッドは、妖精の手伝いが一段落したようだ。			リダ・ラーンのサンクレッドは、妖精の手伝いが一段落したようだ。			真実を顕すは							
サンクレッドたちと相談し、手伝いに終止符を打つため、助っ人を呼ぶことになった。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『フェオ』を含む言葉を入力し、リダ・ラーンにある「指定地点」周辺でフェオ＝ウルを呼ぼう。			サンクレッドたちと相談し、手伝いに終止符を打つため、助っ人を呼ぶことになった。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『フェオ』を含む言葉を入力し、リダ・ラーンにある「指定地点」周辺でフェオ＝ウルを呼ぼう。			真実を顕すは							
フェオ＝ウルから、そっけないと言われた。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『フェオちゃん助けて』を含む言葉を入力し、リダ・ラーンにある「指定地点」周辺でフェオ＝ウルを呼ぼう。			フェオ＝ウルから、そっけないと言われた。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『フェオちゃん助けて』を含む言葉を入力し、リダ・ラーンにある「指定地点」周辺でフェオ＝ウルを呼ぼう。			真実を顕すは							
フェオ＝ウルから、熱意が足りないと言われた。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『かわいくて美しい我が枝フェオちゃん』を含む言葉を入力し、リダ・ラーンにある「指定地点」周辺でフェオ＝ウルを呼ぼう。			フェオ＝ウルから、熱意が足りないと言われた。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『かわいくて美しい我が枝フェオちゃん』を含む言葉を入力し、リダ・ラーンにある「指定地点」周辺でフェオ＝ウルを呼ぼう。			真実を顕すは							
やっと来てくれたフェオ＝ウルの説得によって、惑わしの術が解かれた。リダ・ラーンの「サンクレッド」と話そう。			やっと来てくれたフェオ＝ウルの説得によって、惑わしの術が解かれた。リダ・ラーンの「サンクレッド」と話そう。			真実を顕すは							
サンクレッドと話した。リダ・ラーンの篤学者の荘園にいる「サンクレッド」と話そう。			サンクレッドと話した。リダ・ラーンの篤学者の荘園にいる「サンクレッド」と話そう。			真実を顕すは							
サンクレッドの案内で、ウリエンジェと合流した。彼が重々しく語ったのは、次元の狭間で垣間見た第八霊災の光景と、光と闇の真実だった。悲劇を現実のものとしないため、改めて、次なる大罪喰いの討伐に乗り出そう！			サンクレッドの案内で、ウリエンジェと合流した。彼が重々しく語ったのは、次元の狭間で垣間見た第八霊災の光景と、光と闇の真実だった。悲劇を現実のものとしないため、改めて、次なる大罪喰いの討伐に乗り出そう！			真実を顕すは							
指定地点にてチャットの「Say」モードで『フェオ』と入力			指定地点にてチャットの「Say」モードで『フェオ』と入力			真実を顕すは							
指定地点にてチャットの「Say」モードで『フェオちゃん助けて』と入力			指定地点にてチャットの「Say」モードで『フェオちゃん助けて』と入力			真実を顕すは							
指定地点にてチャットの「Say」モードで『かわいくて美しい我が枝フェオちゃん』と入力			指定地点にてチャットの「Say」モードで『かわいくて美しい我が枝フェオちゃん』と入力			真実を顕すは							
サンクレッドと話す			サンクレッドと話す			真実を顕すは							
サンクレッドと再度話す			サンクレッドと再度話す			真実を顕すは							
どうだ、そっちの様子は？			どうだ、そっちの様子は？			真実を顕すは							
なるほど、いくつか手伝いをしてみたが……というところか。			なるほど、いくつか手伝いをしてみたが……というところか。			真実を顕すは							
こっちも似たようなものさ。連中め、本当に困っているのかどうかも怪しいところだな……。			こっちも似たようなものさ。連中め、本当に困っているのかどうかも怪しいところだな……。			真実を顕すは							
はぁ……ねえ、この手伝いっていつまで続ければいいの？力を貸してるっていうより、おちょくられてる気分なんだけど。			はぁ……ねえ、この手伝いっていつまで続ければいいの？力を貸してるっていうより、おちょくられてる気分なんだけど。			真実を顕すは							
ピクシー族に、あとどれくらい手伝えばいいのか聞いてみたが、どの子も「まだまだ」の一点張りでね。あれは、当分私たちを解放する気がないのかもしれない。			ピクシー族に、あとどれくらい手伝えばいいのか聞いてみたが、どの子も「まだまだ」の一点張りでね。あれは、当分私たちを解放する気がないのかもしれない。			真実を顕すは							
前に、ウリエンジェから教えてもらったことなのですが……。			前に、ウリエンジェから教えてもらったことなのですが……。			真実を顕すは							
ピクシー族は、生まれる前、あるいは幼くして亡くなった、子どもの魂から生じるという説があるそうです。			ピクシー族は、生まれる前、あるいは幼くして亡くなった、子どもの魂から生じるという説があるそうです。			真実を顕すは							
もちろん、前世の記憶があるわけじゃないけれど、生を謳歌したかった、遊びたかったという想いが、その魂を縛っている……。			もちろん、前世の記憶があるわけじゃないけれど、生を謳歌したかった、遊びたかったという想いが、その魂を縛っている……。			真実を顕すは							
だからとにかく遊びたがりで、領土に招いた人を、何年、何十年と、帰さないこともあるのだとか……。			だからとにかく遊びたがりで、領土に招いた人を、何年、何十年と、帰さないこともあるのだとか……。			真実を顕すは							
ふむ……。以前、死霊の正体を学術的に明らかにしようと思ったときに、魂にまつわる、よく似た話を読んだことがある。			ふむ……。以前、死霊の正体を学術的に明らかにしようと思ったときに、魂にまつわる、よく似た話を読んだことがある。			真実を顕すは							
魂とは、エーテルの中にある核のような存在。精霊や使い魔といったエーテル体と、私たち生物をわけるのは、その核の有無だとも言われている。			魂とは、エーテルの中にある核のような存在。精霊や使い魔といったエーテル体と、私たち生物をわけるのは、その核の有無だとも言われている。			真実を顕すは							
普通、肉体が死ぬと、魂もエーテルとともに霧散するんだ。しかし、何か強い想いや、特殊な術などに縛られていると、魂だけが残ってしまうことがある。			普通、肉体が死ぬと、魂もエーテルとともに霧散するんだ。しかし、何か強い想いや、特殊な術などに縛られていると、魂だけが残ってしまうことがある。			真実を顕すは							
それがさまよううちに、再びエーテルを纏ったり、生じたばかりの生命の内に宿ったりする事例もあるらしい。ピクシー族も、そういったものなのかもしれないね。			それがさまよううちに、再びエーテルを纏ったり、生じたばかりの生命の内に宿ったりする事例もあるらしい。ピクシー族も、そういったものなのかもしれないね。			真実を顕すは							
その理屈で言うなら、魂だけで第一世界にきて、こっちのエーテルを纏ってる私たちも、アルフィノの大っ嫌いな死霊とほぼ同類よね。			その理屈で言うなら、魂だけで第一世界にきて、こっちのエーテルを纏ってる私たちも、アルフィノの大っ嫌いな死霊とほぼ同類よね。			真実を顕すは							
どうあれ、ピクシー族の感覚に任せていたら、いつまで付き合わされるかわからないということだな。			どうあれ、ピクシー族の感覚に任せていたら、いつまで付き合わされるかわからないということだな。			真実を顕すは							
となれば、改めて交渉すべきだろうが……ふむ……。ひとりくらい、こちらに味方をしてくれる、話の通じるピクシー族がいれば、風向きも変えやすい。			となれば、改めて交渉すべきだろうが……ふむ……。ひとりくらい、こちらに味方をしてくれる、話の通じるピクシー族がいれば、風向きも変えやすい。			真実を顕すは							
誰か、手伝っている中で、そういう奴を見かけなかったか？			誰か、手伝っている中で、そういう奴を見かけなかったか？			真実を顕すは							
何と言う？			何と言う？			真実を顕すは							
どこかで出会っているような……？			どこかで出会っているような……？			真実を顕すは							
フェオ＝ウルとか……？			フェオ＝ウルとか……？			真実を顕すは							
心当たりがあるのか？詳しく聞かせてくれ。			心当たりがあるのか？詳しく聞かせてくれ。			真実を顕すは							
なるほど、お前と契約しているピクシー族か！そいつは頼ってみる価値があるかもしれないな。			なるほど、お前と契約しているピクシー族か！そいつは頼ってみる価値があるかもしれないな。			真実を顕すは							
よし、Forename。そのフェオ＝ウルとやらを、ここに呼んでみてくれ。			よし、Forename。そのフェオ＝ウルとやらを、ここに呼んでみてくれ。			真実を顕すは							
指定地点にて、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『フェオ』と呼びかけましょう。			指定地点にて、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『フェオ』と呼びかけましょう。			真実を顕すは							
私たちも死霊と同じようなもの……そうか……そうか。			私たちも死霊と同じようなもの……そうか……そうか。			真実を顕すは							
ピクシー族と契約してるなんて、すごいじゃない。			ピクシー族と契約してるなんて、すごいじゃない。			真実を顕すは							
そのフェオ＝ウルとやらを呼んでみてくれ。素直に来てくれるとありがたいんだが……。			そのフェオ＝ウルとやらを呼んでみてくれ。素直に来てくれるとありがたいんだが……。			真実を顕すは							
えっと……フェオさんが、突破口になるといいですね。			えっと……フェオさんが、突破口になるといいですね。			真実を顕すは							
フェオ			フェオ			真実を顕すは							
どこからともなく、声が聞こえてくる……。			どこからともなく、声が聞こえてくる……。			真実を顕すは							
(-フェオ＝ウル-)フーンだっ！若木ったら私のこと、すっかり忘れていたでしょう。			(-フェオ＝ウル-)フーンだっ！若木ったら私のこと、すっかり忘れていたでしょう。			真実を顕すは							
(-フェオ＝ウル-)そのそっけない呼び方も、私を頼りにしてない証なのだわ！そんな若木のことなんて、しーらないっ！　だわ！			(-フェオ＝ウル-)そのそっけない呼び方も、私を頼りにしてない証なのだわ！そんな若木のことなんて、しーらないっ！　だわ！			真実を顕すは							
指定地点にて、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『フェオ』と呼びかけましょう。			指定地点にて、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『フェオ』と呼びかけましょう。			真実を顕すは							
フェオちゃん助けて			フェオちゃん助けて			真実を顕すは							
(-フェオ＝ウル-)……し、知らないったら知らないのだわ！呼びかけにだって、ぜんっぜん熱意が足りてないしっ！			(-フェオ＝ウル-)……し、知らないったら知らないのだわ！呼びかけにだって、ぜんっぜん熱意が足りてないしっ！			真実を顕すは							
指定地点にて、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『フェオちゃん助けて』と呼びかけましょう。			指定地点にて、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『フェオちゃん助けて』と呼びかけましょう。			真実を顕すは							
かわいくて美しい我が枝フェオちゃん			かわいくて美しい我が枝フェオちゃん			真実を顕すは							
指定地点にて、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『かわいくて美しい我が枝フェオちゃん』と呼びかけましょう。			指定地点にて、チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『かわいくて美しい我が枝フェオちゃん』と呼びかけましょう。			真実を顕すは							
私たちは、約束に従って、ここで君たちの帰りを待つよ。大丈夫、加減を見極めながら、ピクシー族と遊んでいるさ。			私たちは、約束に従って、ここで君たちの帰りを待つよ。大丈夫、加減を見極めながら、ピクシー族と遊んでいるさ。			真実を顕すは							
ウリエンジェによろしくね。こんな会いに来づらい場所に籠ってないで、とっとと合流しなさいって伝えておいて。			ウリエンジェによろしくね。こんな会いに来づらい場所に籠ってないで、とっとと合流しなさいって伝えておいて。			真実を顕すは							
館への道のり、私もちゃんと思い出せました。フェオさんと、Forenameさんのおかげです。			館への道のり、私もちゃんと思い出せました。フェオさんと、Forenameさんのおかげです。			真実を顕すは							
よし、アルフィノとアリゼーが遊び倒されるまえに、俺たちでウリエンジェに会いに行くとしよう。			よし、アルフィノとアリゼーが遊び倒されるまえに、俺たちでウリエンジェに会いに行くとしよう。			真実を顕すは							
あいつが借りているのは、かつてフッブートの物好きな荘園領主が暮らした場所……通称「篤学者(とくがくしゃ)の荘園」だ。			あいつが借りているのは、かつてフッブートの物好きな荘園領主が暮らした場所……通称「篤学者(とくがくしゃ)の荘園」だ。			真実を顕すは							
ここから北へ、道なりに進めば見えてくるだろう。さっそく出発といくか。			ここから北へ、道なりに進めば見えてくるだろう。さっそく出発といくか。			真実を顕すは							
この家、懐かしいです。ウリエンジェは、元気かな……？			この家、懐かしいです。ウリエンジェは、元気かな……？			真実を顕すは							
少し時間はかかったが、やっと到着だな。ここがウリエンジェが妖精たちから借りている家だ。			少し時間はかかったが、やっと到着だな。ここがウリエンジェが妖精たちから借りている家だ。			真実を顕すは							
どうしてこんな場所に住んでいるかは……まあ、せっかく再会するんだ、あとで本人に聞いてくれ。さ、中に入るぞ。			どうしてこんな場所に住んでいるかは……まあ、せっかく再会するんだ、あとで本人に聞いてくれ。さ、中に入るぞ。			真実を顕すは							
篤学者の荘園のウリエンジェは、冒険者をじっと見ている。			篤学者の荘園のウリエンジェは、冒険者をじっと見ている。			篤学者は問う							
弱らせたホーカーに北洋風の秘密箱を使い捕獲			弱らせたホーカーに北洋風の秘密箱を使い捕獲			篤学者は問う							
ウリエンジェにホーカー入りの秘密箱を渡す			ウリエンジェにホーカー入りの秘密箱を渡す			篤学者は問う							
スール＝ウィンと話す			スール＝ウィンと話す			篤学者は問う							
今のところ、こちらは問題ないよ。……概ねはね。			今のところ、こちらは問題ないよ。……概ねはね。			篤学者は問う							
あら、ウリエンジェには会えたの？			あら、ウリエンジェには会えたの？			篤学者は問う							
水晶公からの指令、ひとつ目はクリアだな。			水晶公からの指令、ひとつ目はクリアだな。			篤学者は問う							
あ……えっと……私のことなら大丈夫です。この家の周りだったら、よく知っているので……。			あ……えっと……私のことなら大丈夫です。この家の周りだったら、よく知っているので……。			篤学者は問う							
サンクレッドに連れられて、いろんな場所を転々としましたが、中でも一番長く……半年以上いた場所なんです。ソイルに魔力を込める作業は、決まってここでしていました。			サンクレッドに連れられて、いろんな場所を転々としましたが、中でも一番長く……半年以上いた場所なんです。ソイルに魔力を込める作業は、決まってここでしていました。			篤学者は問う							
ときに、Forenameさん。本題に入る前に、ひとつ、伺っておきたいことがあります。			ときに、Forenameさん。本題に入る前に、ひとつ、伺っておきたいことがあります。			篤学者は問う							
私のこの装い……どう、思われますか？			私のこの装い……どう、思われますか？			篤学者は問う							
何と言う？			何と言う？			篤学者は問う							
もしや占星術師に……？			もしや占星術師に……？			篤学者は問う							
ずいぶん身軽になった			ずいぶん身軽になった			篤学者は問う							
誰だかわからなかった			誰だかわからなかった			篤学者は問う							
ご明察です。夜闇こそ失われれども、空を覆う光の先には、今なお星々が輝いている……。			ご明察です。夜闇こそ失われれども、空を覆う光の先には、今なお星々が輝いている……。			篤学者は問う							
なればこそ、私は先行き不安な流れの中で、運命を読み、切り開くために、この力を研鑽いたしました。一応は、本場シャーレアンの理論を修めておりましたので……。			なればこそ、私は先行き不安な流れの中で、運命を読み、切り開くために、この力を研鑽いたしました。一応は、本場シャーレアンの理論を修めておりましたので……。			篤学者は問う							
はて……足元などはむしろ、原初世界での衣装の方が、軽やかだったように思いますが……。			はて……足元などはむしろ、原初世界での衣装の方が、軽やかだったように思いますが……。			篤学者は問う							
こちらは、今の私の戦い方に適した装束なのです。光りし空にも星は在り……我はそれを読み解きて、この不穏なる運命を切り開くことを願わん……。			こちらは、今の私の戦い方に適した装束なのです。光りし空にも星は在り……我はそれを読み解きて、この不穏なる運命を切り開くことを願わん……。			篤学者は問う							
なんと……それは…………朗報です。賢人たるもの、纏うのは謎と神秘であるべきと心得ます。故に、つね顔をさらすのはどうかとも思いましたが……フフ。			なんと……それは…………朗報です。賢人たるもの、纏うのは謎と神秘であるべきと心得ます。故に、つね顔をさらすのはどうかとも思いましたが……フフ。			篤学者は問う							
こちらは、今の私の戦い方に適した装束なのです。光りし空にも星は在り……我はそれを読み解きて、この不穏なる運命を切り開くことを願わん……。			こちらは、今の私の戦い方に適した装束なのです。光りし空にも星は在り……我はそれを読み解きて、この不穏なる運命を切り開くことを願わん……。			篤学者は問う							
今後は、占星術師ウリエンジェとして、どうぞよしなに。……では、そろそろ本題に移るといたしましょう。			今後は、占星術師ウリエンジェとして、どうぞよしなに。……では、そろそろ本題に移るといたしましょう。			篤学者は問う							
先ほども申し上げたとおり、大罪喰いのいるリェー・ギア城へ入るには、ピクシー族の協力が必要不可欠です。			先ほども申し上げたとおり、大罪喰いのいるリェー・ギア城へ入るには、ピクシー族の協力が必要不可欠です。			篤学者は問う							
では、どうやって協力を取り付けるのか……。その解は簡潔です、彼らの望む贈り物をすればいい。			では、どうやって協力を取り付けるのか……。その解は簡潔です、彼らの望む贈り物をすればいい。			篤学者は問う							
私は、ピクシー族が嗜好品とする食材をそろえましょう。サンクレッドにも、いくつか調達を手伝っていただきます。			私は、ピクシー族が嗜好品とする食材をそろえましょう。サンクレッドにも、いくつか調達を手伝っていただきます。			篤学者は問う							
