双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
上層階に移動しますか？			上層階に移動しますか？			掛けられた問い							
え、え、ええ……！？まさかこんなところで、ヴェーネス様にお会いするなんて！			え、え、ええ……！？まさかこんなところで、ヴェーネス様にお会いするなんて！			掛けられた問い							
驚かせてごめんなさい。六洋院に勤めている、ガレネーに会いたいのです。あなたは、彼女をご存知ですか？			驚かせてごめんなさい。六洋院に勤めている、ガレネーに会いたいのです。あなたは、彼女をご存知ですか？			掛けられた問い							
ああ、はい、もちろん！すぐにここへ呼んできますね。			ああ、はい、もちろん！すぐにここへ呼んできますね。			掛けられた問い							
……ですが、観察の状況によっては、少しお待たせしてしまうかもしれません。それでもよろしいですか……？			……ですが、観察の状況によっては、少しお待たせしてしまうかもしれません。それでもよろしいですか……？			掛けられた問い							
ええ、大丈夫です。この景色を眺めながら待っていますから、どうか焦らずに。			ええ、大丈夫です。この景色を眺めながら待っていますから、どうか焦らずに。			掛けられた問い							
あなたの答えは聞けずじまいになってしまいましたが……またひとつ、ヘルメスたちの情報を得ることができましたね。			あなたの答えは聞けずじまいになってしまいましたが……またひとつ、ヘルメスたちの情報を得ることができましたね。			掛けられた問い							
彼は、デュナミスやエンテレケイアの研究について、周囲の人々にも話していなかった……その推測は、もはやほぼ確実かと。			彼は、デュナミスやエンテレケイアの研究について、周囲の人々にも話していなかった……その推測は、もはやほぼ確実かと。			掛けられた問い							
となると、誰かが彼の研究結果を利用するか……あるいは、ヘルメス自身が終末に関与することになる……。			となると、誰かが彼の研究結果を利用するか……あるいは、ヘルメス自身が終末に関与することになる……。			掛けられた問い							
どちらなのかを判断するためには、知らなければなりません。ヘルメスに、終末を望む動機があるのかを……。			どちらなのかを判断するためには、知らなければなりません。ヘルメスに、終末を望む動機があるのかを……。			掛けられた問い							
レーテー海のヒュトロダエウスは、思案している。			レーテー海のヒュトロダエウスは、思案している。			声を追い、彷徨っては躓く							
エメトセルクを連れて探索地点でメーティオンを探す			エメトセルクを連れて探索地点でメーティオンを探す			声を追い、彷徨っては躓く							
エメトセルクを連れて探索地点で再度メーティオンを探す			エメトセルクを連れて探索地点で再度メーティオンを探す			声を追い、彷徨っては躓く							
エメトセルクを連れて探索地点で見渡す			エメトセルクを連れて探索地点で見渡す			声を追い、彷徨っては躓く							
エメトセルクを連れて次の探索地点で見渡す			エメトセルクを連れて次の探索地点で見渡す			声を追い、彷徨っては躓く							
エメトセルクと話す			エメトセルクと話す			声を追い、彷徨っては躓く							
ただ探すだけでは、後手にまわるだけだ。何か、別の手を……。			ただ探すだけでは、後手にまわるだけだ。何か、別の手を……。			声を追い、彷徨っては躓く							
終末の災厄は、星の外からの、デュナミスによるエーテルの侵食……絶望、恐怖、不安……負の感情がそれを促進する……。			終末の災厄は、星の外からの、デュナミスによるエーテルの侵食……絶望、恐怖、不安……負の感情がそれを促進する……。			声を追い、彷徨っては躓く							
嫌なピースがそろってきたものですね……。ともかく、あの子の確保を急ぎましょう……！			嫌なピースがそろってきたものですね……。ともかく、あの子の確保を急ぎましょう……！			声を追い、彷徨っては躓く							
ああ、すまない……こんなときに考えごとなど……。とにかく、まずはメーティオンを探すとしよう。			ああ、すまない……こんなときに考えごとなど……。とにかく、まずはメーティオンを探すとしよう。			声を追い、彷徨っては躓く							
ふと思ったのだけど、メーティオンが見えなくなっているのは、「体内のエーテル量を調節して、環境と同化する迷彩」を使っているからなんだよね？			ふと思ったのだけど、メーティオンが見えなくなっているのは、「体内のエーテル量を調節して、環境と同化する迷彩」を使っているからなんだよね？			声を追い、彷徨っては躓く							
それなら、彼女にエーテルを分け与えれば、迷彩を解除することができるんじゃないかな。ほら、最初にキミの存在を補強したときみたいにさ！			それなら、彼女にエーテルを分け与えれば、迷彩を解除することができるんじゃないかな。ほら、最初にキミの存在を補強したときみたいにさ！			声を追い、彷徨っては躓く							
簡単に言ってくれるな。さすがに、どこにいるかもわからない相手に、あの術は使えないぞ。			簡単に言ってくれるな。さすがに、どこにいるかもわからない相手に、あの術は使えないぞ。			声を追い、彷徨っては躓く							
だから、キミとForenameで協力するのさ。			だから、キミとForenameで協力するのさ。			声を追い、彷徨っては躓く							
Forenameがさっきと同じ方法で、メーティオンの大まかな位置を探しあてる。キミはそれに同行して、エーテルを注ぎ迷彩を破るんだ。			Forenameがさっきと同じ方法で、メーティオンの大まかな位置を探しあてる。キミはそれに同行して、エーテルを注ぎ迷彩を破るんだ。			声を追い、彷徨っては躓く							
名案ですね。幸い、彼女が逃げ込んだこの先は、行き止まりの「レーテー海」……			名案ですね。幸い、彼女が逃げ込んだこの先は、行き止まりの「レーテー海」……			声を追い、彷徨っては躓く							
姿さえ見えるようになれば、行き先に回り込むようなことも、容易でしょう。			姿さえ見えるようになれば、行き先に回り込むようなことも、容易でしょう。			声を追い、彷徨っては躓く							
だったら決まりだね。Forenameとエメトセルクは、メーティオンを追いかけ、姿を露わにする係。			だったら決まりだね。Forenameとエメトセルクは、メーティオンを追いかけ、姿を露わにする係。			声を追い、彷徨っては躓く							
そのほかは、彼女の移動経路が見え次第、先回りをする係だ。ワタシとエメトセルクが互いのエーテルを視て、連携をとるよ。それじゃあ、頼んだからね！			そのほかは、彼女の移動経路が見え次第、先回りをする係だ。ワタシとエメトセルクが互いのエーテルを視て、連携をとるよ。それじゃあ、頼んだからね！			声を追い、彷徨っては躓く							
仕方ない……ふたりでメーティオンを追うぞ。まずはどちらの方向に行ったのかを、さっきの要領で探し出せ。			仕方ない……ふたりでメーティオンを追うぞ。まずはどちらの方向に行ったのかを、さっきの要領で探し出せ。			声を追い、彷徨っては躓く							
私は、メーティオンに即座に魔法をかけられるようにしておく。道中で有象無象に絡まれたときには、お前が相手をしろ。……任せたぞ。			私は、メーティオンに即座に魔法をかけられるようにしておく。道中で有象無象に絡まれたときには、お前が相手をしろ。……任せたぞ。			声を追い、彷徨っては躓く							
何をする？			何をする？			声を追い、彷徨っては躓く							
話す			話す			声を追い、彷徨っては躓く							
同行状態を解除する			同行状態を解除する			声を追い、彷徨っては躓く							
キャンセル			キャンセル			声を追い、彷徨っては躓く							
メーティオンが直進して桟橋の方に行ったのか、はたまた脇道にそれたのか……まずはそれを調べる必要がある。			メーティオンが直進して桟橋の方に行ったのか、はたまた脇道にそれたのか……まずはそれを調べる必要がある。			声を追い、彷徨っては躓く							
今の奴の声はお前にしか聞こえないんだ、先導は任せるぞ。			今の奴の声はお前にしか聞こえないんだ、先導は任せるぞ。			声を追い、彷徨っては躓く							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			声を追い、彷徨っては躓く							
この緊急事態に何だ！まったく……「レーテー海」の入口で待っているぞ……。			この緊急事態に何だ！まったく……「レーテー海」の入口で待っているぞ……。			声を追い、彷徨っては躓く							
さあ、今度こそメーティオンを追い込むぞ。			さあ、今度こそメーティオンを追い込むぞ。			声を追い、彷徨っては躓く							
同行者がまだ到着していない。近くまで迎えにいって、ともに行動しよう。			同行者がまだ到着していない。近くまで迎えにいって、ともに行動しよう。			声を追い、彷徨っては躓く							
エメトセルクがいなければ、メーティオンを見つけても魔法をかけられない……！彼を同行させてこよう。			エメトセルクがいなければ、メーティオンを見つけても魔法をかけられない……！彼を同行させてこよう。			声を追い、彷徨っては躓く							
意識を研ぎ澄ませ、メーティオンの気配を探る……。			意識を研ぎ澄ませ、メーティオンの気配を探る……。			声を追い、彷徨っては躓く							
……メーティオンの声は聞こえてこない。この周辺にはいないようだ。			……メーティオンの声は聞こえてこない。この周辺にはいないようだ。			声を追い、彷徨っては躓く							
聞こえないか……。つまりこの桟橋の方にはいないな。別の方面を当たるぞ。			聞こえないか……。つまりこの桟橋の方にはいないな。別の方面を当たるぞ。			声を追い、彷徨っては躓く							
(-メーティオン-)翔べない……！自我のシャットダウンが近いから……！？			(-メーティオン-)翔べない……！自我のシャットダウンが近いから……！？			声を追い、彷徨っては躓く							
(-メーティオン-)だったら、隠れなきゃ……みんなに見つからないところへ……！			(-メーティオン-)だったら、隠れなきゃ……みんなに見つからないところへ……！			声を追い、彷徨っては躓く							
苦悶に満ちたメーティオンの心の声は、水辺へと遠ざかっていった……。			苦悶に満ちたメーティオンの心の声は、水辺へと遠ざかっていった……。			声を追い、彷徨っては躓く							
泉の中に入ったというのか！？まったく、どこまでも手を焼かせる……！			泉の中に入ったというのか！？まったく、どこまでも手を焼かせる……！			声を追い、彷徨っては躓く							
だが、あれだけ開けていれば、そうそう隠れられる場所などないはずだ。次こそは捕らえるぞ……！			だが、あれだけ開けていれば、そうそう隠れられる場所などないはずだ。次こそは捕らえるぞ……！			声を追い、彷徨っては躓く							
「足場」について話す			「足場」について話す			声を追い、彷徨っては躓く							
ええい、ここまで来て水に入るなど……！アゼムに知られてたまるか、ヒュトロダエウスを徹底的に口留めしなくては……。			ええい、ここまで来て水に入るなど……！アゼムに知られてたまるか、ヒュトロダエウスを徹底的に口留めしなくては……。			声を追い、彷徨っては躓く							
だが、それもこれも後回しだ！今は泉に隠れたメーティオンを探すぞ！			だが、それもこれも後回しだ！今は泉に隠れたメーティオンを探すぞ！			声を追い、彷徨っては躓く							
ああ、ここから岸沿いの岩を伝っていけば、難なく滝の下と行き来できそうだな。			ああ、ここから岸沿いの岩を伝っていけば、難なく滝の下と行き来できそうだな。			声を追い、彷徨っては躓く							
……いいか、飛び降りるだなんて真似、絶対にするなよ。非常時でも、やっていいことと悪いことがある。全身ずぶ濡れだなんて、私は御免だ！			……いいか、飛び降りるだなんて真似、絶対にするなよ。非常時でも、やっていいことと悪いことがある。全身ずぶ濡れだなんて、私は御免だ！			声を追い、彷徨っては躓く							
お願い……気づかないで……通り過ぎて……！			お願い……気づかないで……通り過ぎて……！			声を追い、彷徨っては躓く							
そこか……ッ！			そこか……ッ！			声を追い、彷徨っては躓く							
姿が……消せない……！？			姿が……消せない……！？			声を追い、彷徨っては躓く							
何と言う？			何と言う？			声を追い、彷徨っては躓く							
逃げなくて大丈夫だ、メーティオン！			逃げなくて大丈夫だ、メーティオン！			声を追い、彷徨っては躓く							
どんな話でも、自分たちは聞く！			どんな話でも、自分たちは聞く！			声を追い、彷徨っては躓く							
Forename……何か言ったの……？もう、よく聞こえない……。			Forename……何か言ったの……？もう、よく聞こえない……。			声を追い、彷徨っては躓く							
私じゃ「これ」を止められないの……。だからどうか、逃げさせて……私とみんなを、引き離して……。			私じゃ「これ」を止められないの……。だからどうか、逃げさせて……私とみんなを、引き離して……。			声を追い、彷徨っては躓く							
せめて告げないことでしか……私は……みんなを…………。			せめて告げないことでしか……私は……みんなを…………。			声を追い、彷徨っては躓く							
これでヒュトロダエウスたちにも、メーティオンが捕捉できるようになった……！			これでヒュトロダエウスたちにも、メーティオンが捕捉できるようになった……！			声を追い、彷徨っては躓く							
あとはあいつらが回り込んで、私たちがそこまでメーティオンを追い込むだけだ！			あとはあいつらが回り込んで、私たちがそこまでメーティオンを追い込むだけだ！			声を追い、彷徨っては躓く							
「ナビらしき魔法装置」について話す			「ナビらしき魔法装置」について話す			声を追い、彷徨っては躓く							
ひとまずメーティオンを追いかけるぞ！ヒュトロダエウスたちの位置は、私が適宜、確かめる！			ひとまずメーティオンを追いかけるぞ！ヒュトロダエウスたちの位置は、私が適宜、確かめる！			声を追い、彷徨っては躓く							
これは……ナビのようだな……。ほかのものと比べて、手入れがされていない。あまり使われていないのか……？			これは……ナビのようだな……。ほかのものと比べて、手入れがされていない。あまり使われていないのか……？			声を追い、彷徨っては躓く							
何にせよ、メーティオンがこれを使った形跡はない。今は無視して、あいつを追うぞ！			何にせよ、メーティオンがこれを使った形跡はない。今は無視して、あいつを追うぞ！			声を追い、彷徨っては躓く							
エメトセルクがいなくては、メーティオンを追い込もうにも、ヒュトロダエウスたちと連携がとれない。彼を同行させてこよう。			エメトセルクがいなくては、メーティオンを追い込もうにも、ヒュトロダエウスたちと連携がとれない。彼を同行させてこよう。			声を追い、彷徨っては躓く							
いたぞ、あそこだ！			いたぞ、あそこだ！			声を追い、彷徨っては躓く							
さあ、どこだ……どこに追い込めばいい……！			さあ、どこだ……どこに追い込めばいい……！			声を追い、彷徨っては躓く							
………………。			………………。			声を追い、彷徨っては躓く							
……ヘルメスがメーティオンの報告を聞き届けるだけなら、それは、彼に許された時間といえるでしょう。			……ヘルメスがメーティオンの報告を聞き届けるだけなら、それは、彼に許された時間といえるでしょう。			声を追い、彷徨っては躓く							
しかし、報告を受けて何らかの判断を下すとき……それは世界の命運を分かつ瞬間となりかねない。私たちは、必ずそこに立ち会わなければなりません。			しかし、報告を受けて何らかの判断を下すとき……それは世界の命運を分かつ瞬間となりかねない。私たちは、必ずそこに立ち会わなければなりません。			声を追い、彷徨っては躓く							
ヘルメス、どうしてだ……！何故お前は、「それだけのもの」を捨て置けない……！			ヘルメス、どうしてだ……！何故お前は、「それだけのもの」を捨て置けない……！			声を追い、彷徨っては躓く							
創造生物をエーテルに戻すことを悼み、よその星の生命が生きる理由を聞き届けようとする……			創造生物をエーテルに戻すことを悼み、よその星の生命が生きる理由を聞き届けようとする……			声を追い、彷徨っては躓く							
そんなことをしなければ、お前は、この善き世界から零れ落ちることはなかった。誰もがそうであるように、幸せでいられたろうに……！			そんなことをしなければ、お前は、この善き世界から零れ落ちることはなかった。誰もがそうであるように、幸せでいられたろうに……！			声を追い、彷徨っては躓く							
メタバシス六洋院のヴェーネスは、さらに調査を進めるようだ。			メタバシス六洋院のヴェーネスは、さらに調査を進めるようだ。			前代アゼムの手ほどき							
目撃地点を探す			目撃地点を探す			前代アゼムの手ほどき							
ヴェーネスと話す			ヴェーネスと話す			前代アゼムの手ほどき							
ヴェーネスと再度話す			ヴェーネスと再度話す			前代アゼムの手ほどき							
ヘルメスの考えを知るためにも、彼がメーティオンたちを翔ばしていたという浮島に、行ってみたいところですが……			ヘルメスの考えを知るためにも、彼がメーティオンたちを翔ばしていたという浮島に、行ってみたいところですが……			前代アゼムの手ほどき							
ガレネーは、ここから南東の方角、島の端からそれを見たと言っていましたね。			ガレネーは、ここから南東の方角、島の端からそれを見たと言っていましたね。			前代アゼムの手ほどき							
まずは、それらしき場所を探し出し、どんな島が見えるか確認してみましょうか。行きましょう、Forename。			まずは、それらしき場所を探し出し、どんな島が見えるか確認してみましょうか。行きましょう、Forename。			前代アゼムの手ほどき							
南東の島の端というと、確かにこの辺りですね。ここから見える島といえば……			南東の島の端というと、確かにこの辺りですね。ここから見える島といえば……			前代アゼムの手ほどき							
……あれかしら？			……あれかしら？			前代アゼムの手ほどき							
行くには、空を渡らないといけませんね。そちらはすぐに飛べそうですか？			行くには、空を渡らないといけませんね。そちらはすぐに飛べそうですか？			前代アゼムの手ほどき							
でしたら……私の相棒に頼むのがよさそうですね。			でしたら……私の相棒に頼むのがよさそうですね。			前代アゼムの手ほどき							
来て、アルゴス！			来て、アルゴス！			前代アゼムの手ほどき							
アルゴス、分身して、私と彼女彼を向こうの島まで運んでもらえるかしら？			アルゴス、分身して、私と彼女彼を向こうの島まで運んでもらえるかしら？			前代アゼムの手ほどき							
…………。			…………。			前代アゼムの手ほどき							
あら、困った子……。私と世界を駆けまわってきた、頼れる相棒なのですが、ちょっと人見知りが激しくて……。			あら、困った子……。私と世界を駆けまわってきた、頼れる相棒なのですが、ちょっと人見知りが激しくて……。			前代アゼムの手ほどき							
認めた相手でないと、決して懐こうとしないんです。			認めた相手でないと、決して懐こうとしないんです。			前代アゼムの手ほどき							
アルゴスに乗ったことがある？あなたの時代で……？			アルゴスに乗ったことがある？あなたの時代で……？			前代アゼムの手ほどき							
ああ……なるほど……。そういう可能性も、確かにゼロではないか……。			ああ……なるほど……。そういう可能性も、確かにゼロではないか……。			前代アゼムの手ほどき							
では、Forename。ここはひとつ、私と手合わせをしませんか？			では、Forename。ここはひとつ、私と手合わせをしませんか？			前代アゼムの手ほどき							
アルゴスは賢い子です。私と武術で渡り合える猛者であれば、敬意を払うべき相手として認めるでしょう。			アルゴスは賢い子です。私と武術で渡り合える猛者であれば、敬意を払うべき相手として認めるでしょう。			前代アゼムの手ほどき							
それに私との戦いの経験は……あなたへの、手土産になるかもしれません。			それに私との戦いの経験は……あなたへの、手土産になるかもしれません。			前代アゼムの手ほどき							
役立てる機会が訪れなければ、それはそれ。遥かな過去での、思い出のひとつということで。			役立てる機会が訪れなければ、それはそれ。遥かな過去での、思い出のひとつということで。			前代アゼムの手ほどき							
……いかがですか、未来の旅人さん？			……いかがですか、未来の旅人さん？			前代アゼムの手ほどき							
何と言う？			何と言う？			前代アゼムの手ほどき							
望むところだ！			望むところだ！			前代アゼムの手ほどき							
それで解決するのなら			それで解決するのなら			前代アゼムの手ほどき							
悪い思い出にならない……？			悪い思い出にならない……？			前代アゼムの手ほどき							
ふふ、いい返事！			ふふ、いい返事！			前代アゼムの手ほどき							
ええ、悪い選択ではないと思いますよ。あなたには、いいところを見せてもらう必要がありますが。			ええ、悪い選択ではないと思いますよ。あなたには、いいところを見せてもらう必要がありますが。			前代アゼムの手ほどき							
大丈夫、あなたが勝てばいいんですから！			大丈夫、あなたが勝てばいいんですから！			前代アゼムの手ほどき							
それでは、あちらの空き地でお待ちしています。戦う準備を整えてから、来てくださいね。			それでは、あちらの空き地でお待ちしています。戦う準備を整えてから、来てくださいね。			前代アゼムの手ほどき							
「嘆きの海」で出会ったのと、そっくり同じアルゴスだ。しかし、こちらを徹底的に無視している……！			「嘆きの海」で出会ったのと、そっくり同じアルゴスだ。しかし、こちらを徹底的に無視している……！			前代アゼムの手ほどき							
手合わせを始める準備はいいですか？私はいつでも、大丈夫ですよ。			手合わせを始める準備はいいですか？私はいつでも、大丈夫ですよ。			前代アゼムの手ほどき							
本クエストを進行するためには、現在のクラス・ジョブが、レベル87以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル87以上の、ファイター、もしくはソーサラーである必要があります。			前代アゼムの手ほどき							
これで空を渡る準備は万全ですね。ヘルメスがメーティオンを翔ばした島……そこで彼の想いを窺い知ることはできるのでしょうか。			これで空を渡る準備は万全ですね。ヘルメスがメーティオンを翔ばした島……そこで彼の想いを窺い知ることはできるのでしょうか。			前代アゼムの手ほどき							
願わくは、彼自身が災厄を望んでいませんよう……。そうであれば、終末の謎を前に手を取り合い、彼の叡智を借りることも……きっと……。			願わくは、彼自身が災厄を望んでいませんよう……。そうであれば、終末の謎を前に手を取り合い、彼の叡智を借りることも……きっと……。			前代アゼムの手ほどき							
ナビ・エウロスのエメトセルクは、静かにときを待っている。			ナビ・エウロスのエメトセルクは、静かにときを待っている。			音なき言葉							
探索地点でメーティオンを探す			探索地点でメーティオンを探す			音なき言葉							
探索地点で再度メーティオンを探す			探索地点で再度メーティオンを探す			音なき言葉							
探索地点でさらにメーティオンを探す			探索地点でさらにメーティオンを探す			音なき言葉							
探索地点でもう一度メーティオンを探す			探索地点でもう一度メーティオンを探す			音なき言葉							
ヘルメスと話す			ヘルメスと話す			音なき言葉							
えっ？　ワタシはいつでも善良だよ？おもしろいことを、めいっぱい愉しむ主義なだけさ！			えっ？　ワタシはいつでも善良だよ？おもしろいことを、めいっぱい愉しむ主義なだけさ！			音なき言葉							
必要そうなら助っ人に入ろうと思っていましたが、危険な生物の相手も、手慣れたものですね。大変お見事でした。			必要そうなら助っ人に入ろうと思っていましたが、危険な生物の相手も、手慣れたものですね。大変お見事でした。			音なき言葉							
ヘルメスと話せたようだな。それならこのまま、あいつが出てくるのを待つとしよう。			ヘルメスと話せたようだな。それならこのまま、あいつが出てくるのを待つとしよう。			音なき言葉							
チィッ、本当に視えん……！Forename、お前は奴の心の声を頼りに探せ！			チィッ、本当に視えん……！Forename、お前は奴の心の声を頼りに探せ！			音なき言葉							
ああもう、エーテルを追えなかったら、ワタシはただの愉快な局長になっちゃうんだけど！？ヘルメスってば、本当にいい腕してるね……！			ああもう、エーテルを追えなかったら、ワタシはただの愉快な局長になっちゃうんだけど！？ヘルメスってば、本当にいい腕してるね……！			音なき言葉							
物理的に確認できる範囲では、こちらに異常はありません……！Forename、心を静めて……彼女の音なき声を、聞いて、感じて……！			物理的に確認できる範囲では、こちらに異常はありません……！Forename、心を静めて……彼女の音なき声を、聞いて、感じて……！			音なき言葉							
メーティオン、どこだ！　返事をしてくれッ！君に……君たちに、いったい何が……！			メーティオン、どこだ！　返事をしてくれッ！君に……君たちに、いったい何が……！			音なき言葉							
意識を研ぎ澄ませ、メーティオンの気配を探る……。			意識を研ぎ澄ませ、メーティオンの気配を探る……。			音なき言葉							
……メーティオンの声は聞こえてこない。この周辺にはいないようだ。			……メーティオンの声は聞こえてこない。この周辺にはいないようだ。			音なき言葉							
(-メーティオン-)あぁ……心に……意識に……滲んでくる……姉妹(わたし)たちの声……報告が……！			(-メーティオン-)あぁ……心に……意識に……滲んでくる……姉妹(わたし)たちの声……報告が……！			音なき言葉							
(-メーティオン-)ダメ、こんな報告、ヘルメスたちに聞かせられない……！逃げなきゃ……どこかへ……どこかへ行かなくちゃ……！			(-メーティオン-)ダメ、こんな報告、ヘルメスたちに聞かせられない……！逃げなきゃ……どこかへ……どこかへ行かなくちゃ……！			音なき言葉							
苦悶に満ちたメーティオンの心の声は、坂の下へと遠ざかっていった……。			苦悶に満ちたメーティオンの心の声は、坂の下へと遠ざかっていった……。			音なき言葉							
……メーティオンの声は聞こえてこない。この周辺にはいないようだ。			……メーティオンの声は聞こえてこない。この周辺にはいないようだ。			音なき言葉							
(-？？？？-)こんにちは……こんにちは……。			(-？？？？-)こんにちは……こんにちは……。			音なき言葉							
私たちの報告を、お伝えします……。			私たちの報告を、お伝えします……。			音なき言葉							
嫌……報告なんて、しない……！その人から離れて…………離れなさい……ッ！			嫌……報告なんて、しない……！その人から離れて…………離れなさい……ッ！			音なき言葉							
お願い……追ってこないで……誰も……！			お願い……追ってこないで……誰も……！			音なき言葉							
苦悶に満ちたメーティオンの心の声は、崖の上へと駆け上っていった……。			苦悶に満ちたメーティオンの心の声は、崖の上へと駆け上っていった……。			音なき言葉							
(-メーティオン-)これは何……？どうして、こんなことになってしまったの……？			(-メーティオン-)これは何……？どうして、こんなことになってしまったの……？			音なき言葉							
(-メーティオン-)姉妹(わたし)たちは宇宙を翔んでいた……知的生命を探して……生きる意味を問うために……。			(-メーティオン-)姉妹(わたし)たちは宇宙を翔んでいた……知的生命を探して……生きる意味を問うために……。			音なき言葉							
(-メーティオン-)これが……こんなものが、答えなの……？違う……違う……そんなはずない……！			(-メーティオン-)これが……こんなものが、答えなの……？違う……違う……そんなはずない……！			音なき言葉							
苦悶に満ちたメーティオンの心の声は、南の方向へ遠ざかっていった……。			苦悶に満ちたメーティオンの心の声は、南の方向へ遠ざかっていった……。			音なき言葉							
(-？？？？-)アーテリスに残った姉妹(わたし)に、ヘルメスに、あの星に住む、すべての人にお知らせします……。			(-？？？？-)アーテリスに残った姉妹(わたし)に、ヘルメスに、あの星に住む、すべての人にお知らせします……。			音なき言葉							
私はいくつもの星々を渡り、予定どおりに知的生命との邂逅を果たしました。			私はいくつもの星々を渡り、予定どおりに知的生命との邂逅を果たしました。			音なき言葉							
彼らの答えを、この心で受け止めました……。			彼らの答えを、この心で受け止めました……。			音なき言葉							
さあ、私から、わたしから、ワタシから、報告をさせてください……。			さあ、私から、わたしから、ワタシから、報告をさせてください……。			音なき言葉							
こんな報告したくない……。Forename……聞いちゃダメ……！			こんな報告したくない……。Forename……聞いちゃダメ……！			音なき言葉							
私は……どうしたら…………みんな…………。			私は……どうしたら…………みんな…………。			音なき言葉							
苦悶に満ちたメーティオンの心の声は、泉の方へと遠ざかっていった……。			苦悶に満ちたメーティオンの心の声は、泉の方へと遠ざかっていった……。			音なき言葉							
どうだ、メーティオンは見つかったか！			どうだ、メーティオンは見つかったか！			音なき言葉							
厄介だな……。どこかへ向かっているわけではなく、ただ闇雲に逃げているだけとは……！			厄介だな……。どこかへ向かっているわけではなく、ただ闇雲に逃げているだけとは……！			音なき言葉							
ヘルメス、今の状況をどう見ますか？			ヘルメス、今の状況をどう見ますか？			音なき言葉							
宇宙に放たれているものも含め、すべてのメーティオンは、共有意識というひとつの精神に繋がっている……。そこに何らかの異常が発生したのかもしれない……。			宇宙に放たれているものも含め、すべてのメーティオンは、共有意識というひとつの精神に繋がっている……。そこに何らかの異常が発生したのかもしれない……。			音なき言葉							
その共有意識を、こちらから操作する方法は？			その共有意識を、こちらから操作する方法は？			音なき言葉							
共有意識は、メーティオンたちの心に等しい。			共有意識は、メーティオンたちの心に等しい。			音なき言葉							
他人ができることは、いずれかの個体を通じて、呼びかけることくらいだ……。			他人ができることは、いずれかの個体を通じて、呼びかけることくらいだ……。			音なき言葉							
では、あの個体を逃がしてしまった場合、こちらから共有意識に働きかけるすべはなくなる……			では、あの個体を逃がしてしまった場合、こちらから共有意識に働きかけるすべはなくなる……			音なき言葉							
メーティオンたちに何が起きたのかを知ることも、今後について指示を出すことも、できなくなるのですね？			メーティオンたちに何が起きたのかを知ることも、今後について指示を出すことも、できなくなるのですね？			音なき言葉							
なら、もたもたしている暇はない……！どうにかして奴を捕獲するぞ！			なら、もたもたしている暇はない……！どうにかして奴を捕獲するぞ！			音なき言葉							
ただ探すだけでは、後手にまわるだけだ。何か、別の手を……。			ただ探すだけでは、後手にまわるだけだ。何か、別の手を……。			音なき言葉							
こんなことになるなら、先にメーティオンのイデアを登録してもらえばよかったよ。あとから創った個体を共有意識に繋げる方法があれば、だけど！			こんなことになるなら、先にメーティオンのイデアを登録してもらえばよかったよ。あとから創った個体を共有意識に繋げる方法があれば、だけど！			音なき言葉							
終末の災厄は、星の外からの、デュナミスによるエーテルの侵食……絶望、恐怖、不安……負の感情がそれを促進する……。			終末の災厄は、星の外からの、デュナミスによるエーテルの侵食……絶望、恐怖、不安……負の感情がそれを促進する……。			音なき言葉							
嫌なピースがそろってきたものですね……。ともかく、あの子の確保を急ぎましょう……！			嫌なピースがそろってきたものですね……。ともかく、あの子の確保を急ぎましょう……！			音なき言葉							
メーティオン……君は……他の星の生命から、どんな想いを受け取ったんだ……？			メーティオン……君は……他の星の生命から、どんな想いを受け取ったんだ……？			音なき言葉							
どうしてそれを聞かせるのを拒む……？自分は……本当にそれを聞き届けなくていいのだろうか……。			どうしてそれを聞かせるのを拒む……？自分は……本当にそれを聞き届けなくていいのだろうか……。			音なき言葉							
ゼピュロスの喝采のヴェーネスは、アルゴスを従えている。			ゼピュロスの喝采のヴェーネスは、アルゴスを従えている。			いつの日か、君に花を							
ヴェーネスとともに、ヘルメスたちがいた浮島に向かうことになった。ゼピュロスの喝采の南東にいる「アルゴス」と話そう。			ヴェーネスとともに、ヘルメスたちがいた浮島に向かうことになった。ゼピュロスの喝采の南東にいる「アルゴス」と話そう。			いつの日か、君に花を							
アルゴスに乗って浮島へ向かい、ヘルメスたちの過去を視た。ゼピュロスの喝采の南東にいる「ヴェーネス」と話そう。			アルゴスに乗って浮島へ向かい、ヘルメスたちの過去を視た。ゼピュロスの喝采の南東にいる「ヴェーネス」と話そう。			いつの日か、君に花を							
ヒュペルボレア造物院を目指すことになった。ポイエテーン・オイコスの北にあるナビ・北ゼピュロスから、「ナビ・南ボレアース」に移動しよう。			ヒュペルボレア造物院を目指すことになった。ポイエテーン・オイコスの北にあるナビ・北ゼピュロスから、「ナビ・南ボレアース」に移動しよう。			いつの日か、君に花を							
ボレアースの黙劇にやってきた。ナビ・南ボレアースの「ヴェーネス」と話そう。			ボレアースの黙劇にやってきた。ナビ・南ボレアースの「ヴェーネス」と話そう。			いつの日か、君に花を							
