オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			ギルドシップのモブハント（中級）							
よほど必死だったんだわ、ハイデリンもクルルも……。この状況、必ず私たちで何とかしてみせましょう。			よほど必死だったんだわ、ハイデリンもクルルも……。この状況、必ず私たちで何とかしてみせましょう。			神の門							
あの転移装置……やっぱり……。			あの転移装置……やっぱり……。			神の門							
起きたことを悔やんでいる時間はないだろう。とっととケリをつけるぞ、お互いにな。			起きたことを悔やんでいる時間はないだろう。とっととケリをつけるぞ、お互いにな。			神の門							
………………。			………………。			神の門							
暴走がすべてのテンパードに及んでいるなら、ユルスも、恐らく……。			暴走がすべてのテンパードに及んでいるなら、ユルスも、恐らく……。			神の門							
……いいや、どんな状態でも必ず救ってみせる。君との約束、そして私の信念に誓って。			……いいや、どんな状態でも必ず救ってみせる。君との約束、そして私の信念に誓って。			神の門							
互いに健闘を……Forename！			互いに健闘を……Forename！			神の門							
「魔導神門 バブイルの塔」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			「魔導神門 バブイルの塔」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			神の門							
テルティウム駅のユルスは、思いつめたような面持ちだ。			テルティウム駅のユルスは、思いつめたような面持ちだ。			かけがえのないもの							
ユルスから伝言を頼まれた。テルティウム駅の「マルケリヌス」と「オクタウィア」と話そう。			ユルスから伝言を頼まれた。テルティウム駅の「マルケリヌス」と「オクタウィア」と話そう。			かけがえのないもの							
ふたりに伝言を伝えた。テルティウム駅の出口にいる「ユルス」と話そう。			ふたりに伝言を伝えた。テルティウム駅の出口にいる「ユルス」と話そう。			かけがえのないもの							
ユルスとともに出発することになった。ウルバニッシマ区にある「指定地点」で待機しよう。			ユルスとともに出発することになった。ウルバニッシマ区にある「指定地点」で待機しよう。			かけがえのないもの							
第I軍団とイルサバード派遣団の交渉が行われた。ガレマルドのキャンプ・ブロークングラスにいる「ルキア」と話そう。			第I軍団とイルサバード派遣団の交渉が行われた。ガレマルドのキャンプ・ブロークングラスにいる「ルキア」と話そう。			かけがえのないもの							
ルキアに無事だったことを安堵された。ユルスたちの未来は、どうなるのだろうか……。			ルキアに無事だったことを安堵された。ユルスたちの未来は、どうなるのだろうか……。			かけがえのないもの							
マルケリヌスと話す			マルケリヌスと話す			かけがえのないもの							
オクタウィアと話す			オクタウィアと話す			かけがえのないもの							
ユルスと話す			ユルスと話す			かけがえのないもの							
指定地点で待機			指定地点で待機			かけがえのないもの							
ルキアと話す			ルキアと話す			かけがえのないもの							
どうした「英雄」、俺たちを無様だと思ってるのか？ちくしょうめ……！			どうした「英雄」、俺たちを無様だと思ってるのか？ちくしょうめ……！			かけがえのないもの							
お前には、俺と一緒に、派遣団のキャンプへ向かってもらう。条件を伝えて、あちらと交渉する役目だ。			お前には、俺と一緒に、派遣団のキャンプへ向かってもらう。条件を伝えて、あちらと交渉する役目だ。			かけがえのないもの							
……俺が出発の準備をしてくる間、ひとつ頼まれごとをしてくれ。			……俺が出発の準備をしてくる間、ひとつ頼まれごとをしてくれ。			かけがえのないもの							
派遣団との交渉が成立し、物資を残して撤退させることができた場合、その物資をここまで運んでくる必要がある。			派遣団との交渉が成立し、物資を残して撤退させることができた場合、その物資をここまで運んでくる必要がある。			かけがえのないもの							
そこで、第I軍団兵の「マルケリヌス」と「オクタウィア」に、魔導アーマーに乗る準備をしておくよう伝えてくれ。			そこで、第I軍団兵の「マルケリヌス」と「オクタウィア」に、魔導アーマーに乗る準備をしておくよう伝えてくれ。			かけがえのないもの							
『詳しいことはイルに聞け』と……そう言ってくれれば、すべて伝わるはずだ……。			『詳しいことはイルに聞け』と……そう言ってくれれば、すべて伝わるはずだ……。			かけがえのないもの							
それが済んだら駅の入口で合流しよう。……頼んだぞ。			それが済んだら駅の入口で合流しよう。……頼んだぞ。			かけがえのないもの							
またお前か、俺に何の用だ？			またお前か、俺に何の用だ？			かけがえのないもの							
『詳しいことはイルに聞け』と……本当にそう伝えるよう、命じられたのか？			『詳しいことはイルに聞け』と……本当にそう伝えるよう、命じられたのか？			かけがえのないもの							
ああ……そうか……。ついに、それを聞く日がきちまったのか……。			ああ……そうか……。ついに、それを聞く日がきちまったのか……。			かけがえのないもの							
お前からの伝言だったのは、あまりに皮肉ってもんだ。だが、命令は了解した……。			お前からの伝言だったのは、あまりに皮肉ってもんだ。だが、命令は了解した……。			かけがえのないもの							
諸々、準備をしておくさ。魔導アーマーのことも……もしものときのこともな……。			諸々、準備をしておくさ。魔導アーマーのことも……もしものときのこともな……。			かけがえのないもの							
近寄るな……！私には、お前と話すようなことなんてない！			近寄るな……！私には、お前と話すようなことなんてない！			かけがえのないもの							
『詳しいことはイルに聞け』だと！？では、クイントゥス様のご意向は……！			『詳しいことはイルに聞け』だと！？では、クイントゥス様のご意向は……！			かけがえのないもの							
ああ……賛成だ……賛成だとも……！これ以上、お前や蛮族どもに無様な姿をさらすなど、到底あってはならないことだからね……。			ああ……賛成だ……賛成だとも……！これ以上、お前や蛮族どもに無様な姿をさらすなど、到底あってはならないことだからね……。			かけがえのないもの							
やってやるさ……。ヴァリス様に、戦友たちに懸けて……！ガレマール帝国のために……！			やってやるさ……。ヴァリス様に、戦友たちに懸けて……！ガレマール帝国のために……！			かけがえのないもの							
……ああ、来たか。ふたりには、ちゃんと伝えてもらえたか？			……ああ、来たか。ふたりには、ちゃんと伝えてもらえたか？			かけがえのないもの							
何と言う？			何と言う？			かけがえのないもの							
本当に、物資運搬の命令だったのか？			本当に、物資運搬の命令だったのか？			かけがえのないもの							
『詳しいことはイルに聞け』の意味は？			『詳しいことはイルに聞け』の意味は？			かけがえのないもの							
…………そうだ。ただ、派遣団との交渉がうまくいかなければ、必然的に任務の内容は変わることになる。			…………そうだ。ただ、派遣団との交渉がうまくいかなければ、必然的に任務の内容は変わることになる。			かけがえのないもの							
…………お前に話す理由はない。派遣団との交渉がうまくいかなかった場合も含め、俺たちは、いろいろと想定をしてるんだ。			…………お前に話す理由はない。派遣団との交渉がうまくいかなかった場合も含め、俺たちは、いろいろと想定をしてるんだ。			かけがえのないもの							
何にせよ、交渉が成立するに越したことはない。お前も、うまく運ぶように協力してくれ。			何にせよ、交渉が成立するに越したことはない。お前も、うまく運ぶように協力してくれ。			かけがえのないもの							
では、派遣団のキャンプに向けて出発する……が、途中、どうしても寄っておきたい場所があるんだ。			では、派遣団のキャンプに向けて出発する……が、途中、どうしても寄っておきたい場所があるんだ。			かけがえのないもの							
ウルバニッシマ区の外れで、一度止まってくれ。……どうか頼む。			ウルバニッシマ区の外れで、一度止まってくれ。……どうか頼む。			かけがえのないもの							
……ここで間違いない。少しだけ、俺に時間をくれ。			……ここで間違いない。少しだけ、俺に時間をくれ。			かけがえのないもの							
ここでユルスの用事が済めば、彼とともにキャンプ・ブロークングラスに向かい、派遣団との交渉を見届けることになるだろう……。			ここでユルスの用事が済めば、彼とともにキャンプ・ブロークングラスに向かい、派遣団との交渉を見届けることになるだろう……。			かけがえのないもの							
このまま待機しますか？			このまま待機しますか？			かけがえのないもの							
……キャンプを襲った者は、これで全員だ。抵抗はしない。			……キャンプを襲った者は、これで全員だ。抵抗はしない。			かけがえのないもの							
Forename殿……貴公も無事に戻ってくれて、本当によかった。			Forename殿……貴公も無事に戻ってくれて、本当によかった。			かけがえのないもの							
ひとまず、ユルス殿が襲撃に加わっていた者を集めてくれた。彼らの今後については、誠意をもって検討したいと思う。クイントゥス殿とも、相談をしながらな……。			ひとまず、ユルス殿が襲撃に加わっていた者を集めてくれた。彼らの今後については、誠意をもって検討したいと思う。クイントゥス殿とも、相談をしながらな……。			かけがえのないもの							
キャンプ・ブロークングラスのルキアは、着実にことを進めているようだ。			キャンプ・ブロークングラスのルキアは、着実にことを進めているようだ。			寒夜のこと							
ルキアから休んでいるように促された。キャンプ・ブロークングラスの「ヤ・シュトラ」と話そう。			ルキアから休んでいるように促された。キャンプ・ブロークングラスの「ヤ・シュトラ」と話そう。			寒夜のこと							
ヤ・シュトラと話し、休憩することにした。テルティウム駅から帝都市民を受け入れたが、テロフォロイによって平穏だったはずの時間は奪われた。どうにかキャンプ・ブロークングラスに戻ろう。			ヤ・シュトラと話し、休憩することにした。テルティウム駅から帝都市民を受け入れたが、テロフォロイによって平穏だったはずの時間は奪われた。どうにかキャンプ・ブロークングラスに戻ろう。			寒夜のこと							
仲間たちのもとに帰還した。キャンプ・ブロークングラスの「アリゼー」と話そう。			仲間たちのもとに帰還した。キャンプ・ブロークングラスの「アリゼー」と話そう。			寒夜のこと							
アリゼーはとても憤っているようだった。彼女の言うとおり、テロフォロイがさらなる被害をもたらす事態は看過できない。仲間たちとともに、彼らの野望を打ち砕きに行こう！			アリゼーはとても憤っているようだった。彼女の言うとおり、テロフォロイがさらなる被害をもたらす事態は看過できない。仲間たちとともに、彼らの野望を打ち砕きに行こう！			寒夜のこと							
ヤ・シュトラと話す			ヤ・シュトラと話す			寒夜のこと							
アリゼーと話す			アリゼーと話す			寒夜のこと							
あら、戻っていたのね。ひと息つける状況になったということかしら？			あら、戻っていたのね。ひと息つける状況になったということかしら？			寒夜のこと							
こちらの状況だが、職人たちによる、ストーブの製作が順調に進んでいる。			こちらの状況だが、職人たちによる、ストーブの製作が順調に進んでいる。			寒夜のこと							
また、タッパーズデンから青燐水の提供があったので、もとから家屋に備え付けられていた暖房器具も、修理できたものは稼働させた。			また、タッパーズデンから青燐水の提供があったので、もとから家屋に備え付けられていた暖房器具も、修理できたものは稼働させた。			寒夜のこと							
食事も、まもなく提供できるだろう。あとはテルティウム駅からの移送を待つばかり、ということだ。			食事も、まもなく提供できるだろう。あとはテルティウム駅からの移送を待つばかり、ということだ。			寒夜のこと							
貴公は、食事まで、キャンプでゆっくりしているといい。あれだけあちこち奔走してもらったのだ、残りの準備くらいは、私たちに任せてくれ。			貴公は、食事まで、キャンプでゆっくりしているといい。あれだけあちこち奔走してもらったのだ、残りの準備くらいは、私たちに任せてくれ。			寒夜のこと							
……そういえば、先ほどこの広場で、ヤ・シュトラ殿を見かけた。彼女も、治療の合間に小休止をしているのかもしれないな。			……そういえば、先ほどこの広場で、ヤ・シュトラ殿を見かけた。彼女も、治療の合間に小休止をしているのかもしれないな。			寒夜のこと							
あとのことはこちらに任せてくれていい。アルフィノ殿とアリゼー殿を連れ、無事に帰還してくれたこと、改めて感謝を申し上げる。			あとのことはこちらに任せてくれていい。アルフィノ殿とアリゼー殿を連れ、無事に帰還してくれたこと、改めて感謝を申し上げる。			寒夜のこと							
おかえりなさい。私が治療に専念している間に、大変な事態になっていたそうね。三人とも無事で何よりよ……。			おかえりなさい。私が治療に専念している間に、大変な事態になっていたそうね。三人とも無事で何よりよ……。			寒夜のこと							
テンパード化の治療はもちろん、負傷した第I軍団の兵士たちも看たけれど、身体と同じくらい、心も傷を負っているように感じたわ。			テンパード化の治療はもちろん、負傷した第I軍団の兵士たちも看たけれど、身体と同じくらい、心も傷を負っているように感じたわ。			寒夜のこと							
その傷に各々が向き合いながら、ガレマール帝国は、次の１歩を踏み出すのでしょうね……。			その傷に各々が向き合いながら、ガレマール帝国は、次の１歩を踏み出すのでしょうね……。			寒夜のこと							
彼らのそばにいるからこそ、私たちも今だけは、先へ先へと焦らないようにしておきましょう。どのみち、皆がそろわないと次の作戦には移れないもの。			彼らのそばにいるからこそ、私たちも今だけは、先へ先へと焦らないようにしておきましょう。どのみち、皆がそろわないと次の作戦には移れないもの。			寒夜のこと							
本クエストを進行するためには、現在のクラス・ジョブが、レベル83以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル83以上の、ファイター、もしくはソーサラーである必要があります。			寒夜のこと							
これより物語が大きく進展するため、カットシーンが連続して再生されます。			これより物語が大きく進展するため、カットシーンが連続して再生されます。			寒夜のこと							
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			寒夜のこと							
ひと休みしますか？			ひと休みしますか？			寒夜のこと							
もう少し休んでいなくて大丈夫かい……？ヤ・シュトラの言ったとおりではあるが、くれぐれも、身体を第一にしてくれ。			もう少し休んでいなくて大丈夫かい……？ヤ・シュトラの言ったとおりではあるが、くれぐれも、身体を第一にしてくれ。			寒夜のこと							
……まあ待て、何も言わなくていい。敵に身体をのっとられ、仲間に危害を加えようとしたのは、お前だけじゃないからな。			……まあ待て、何も言わなくていい。敵に身体をのっとられ、仲間に危害を加えようとしたのは、お前だけじゃないからな。			寒夜のこと							
お目覚めになって、安心いたしました……。どこか、不調を感じるところはございませんか？			お目覚めになって、安心いたしました……。どこか、不調を感じるところはございませんか？			寒夜のこと							
「バブイルの塔」が強烈なエーテルを放ったことで、視界が少し乱れていてね……。			「バブイルの塔」が強烈なエーテルを放ったことで、視界が少し乱れていてね……。			寒夜のこと							
一時的なものでしょうけれど、あなたのことにすぐ気がつけなかったのは悔しいわ。			一時的なものでしょうけれど、あなたのことにすぐ気がつけなかったのは悔しいわ。			寒夜のこと							
……よかった。今度こそ、オレの知ってるあんただ。			……よかった。今度こそ、オレの知ってるあんただ。			寒夜のこと							
緊急事態だったからな……多少ぞんざいに運んだが、大目に見ろよ。			緊急事態だったからな……多少ぞんざいに運んだが、大目に見ろよ。			寒夜のこと							
貴公の身に何があったのか、聞きたいことは山ほどある。派遣団として報告をしたいこともな。			貴公の身に何があったのか、聞きたいことは山ほどある。派遣団として報告をしたいこともな。			寒夜のこと							
しかしまずは、その帰還を称えよう。あの状況で、よくぞ戻ってきてくれたな。			しかしまずは、その帰還を称えよう。あの状況で、よくぞ戻ってきてくれたな。			寒夜のこと							
あなたが駆けつけた際に使っていたという身体は、まもなく冷たくなりました……。身体に戻るべき魂が、すでになかったのでしょう。			あなたが駆けつけた際に使っていたという身体は、まもなく冷たくなりました……。身体に戻るべき魂が、すでになかったのでしょう。			寒夜のこと							
遺体は、丁重に弔いたいと思います。あの者がどういった経緯で利用されたのかはわかりませんが、安らかに眠れることを願いましょう……。			遺体は、丁重に弔いたいと思います。あの者がどういった経緯で利用されたのかはわかりませんが、安らかに眠れることを願いましょう……。			寒夜のこと							
もう痛いところはない？苦しいとか、違和感があるとかも？			もう痛いところはない？苦しいとか、違和感があるとかも？			寒夜のこと							
だったらいいけど……けど……なんなのよテロフォロイの奴らッ！			だったらいいけど……けど……なんなのよテロフォロイの奴らッ！			寒夜のこと							
帝都で暮らしてた人たちを、どれだけ弄んだら気が済むのよ！せっかく合流してくれたテルティウム駅の人たちだって、ほとんどがテンパードにされて……			帝都で暮らしてた人たちを、どれだけ弄んだら気が済むのよ！せっかく合流してくれたテルティウム駅の人たちだって、ほとんどがテンパードにされて……			寒夜のこと							
その上、あなたの身体まで、ろくでもないことに利用されかけたのよ！？			その上、あなたの身体まで、ろくでもないことに利用されかけたのよ！？			寒夜のこと							
あったまきた……もう絶対に許さないんだから……！終末の幕開けだかなんだか知らないけど、これ以上好き勝手する前に、止めてやるわ！			あったまきた……もう絶対に許さないんだから……！終末の幕開けだかなんだか知らないけど、これ以上好き勝手する前に、止めてやるわ！			寒夜のこと							
キャンプ・ブロークングラスのルキアは、状況を整理したいようだ。			キャンプ・ブロークングラスのルキアは、状況を整理したいようだ。			冬はまだ続けども							
アリゼーと話す			アリゼーと話す			冬はまだ続けども							
サビニアヌスと話す			サビニアヌスと話す			冬はまだ続けども							
カエソーと話す			カエソーと話す			冬はまだ続けども							
フラウィウスと話す			フラウィウスと話す			冬はまだ続けども							
アルフィノと話す			アルフィノと話す			冬はまだ続けども							
指定地点で見渡して敵が現れたら対応			指定地点で見渡して敵が現れたら対応			冬はまだ続けども							
サンクレッドと話す			サンクレッドと話す			冬はまだ続けども							
ルキアと話す			ルキアと話す			冬はまだ続けども							
……キャンプを襲った者は、これで全員だ。抵抗はしない。			……キャンプを襲った者は、これで全員だ。抵抗はしない。			冬はまだ続けども							
さっそくの質問になってしまうが、貴公らが滞在していたテルティウム駅は、どのような状況だっただろうか……？			さっそくの質問になってしまうが、貴公らが滞在していたテルティウム駅は、どのような状況だっただろうか……？			冬はまだ続けども							
……なるほど。そこまで切迫しているとなると、一刻も早く、住民たちの保護をした方がよさそうだ。			……なるほど。そこまで切迫しているとなると、一刻も早く、住民たちの保護をした方がよさそうだ。			冬はまだ続けども							
とはいえ、派遣団が大挙して押し寄せれば、彼らを怯えさせてしまうに違いない。			とはいえ、派遣団が大挙して押し寄せれば、彼らを怯えさせてしまうに違いない。			冬はまだ続けども							
申し訳ないのだが、貴公とユルス殿でテルティウム駅へ戻り、保護を希望する者をこちらへ誘導してもらえないだろうか？			申し訳ないのだが、貴公とユルス殿でテルティウム駅へ戻り、保護を希望する者をこちらへ誘導してもらえないだろうか？			冬はまだ続けども							
アルフィノ殿とアリゼー殿も、救助にあたった偵察隊を連れて、駅に向かっているらしい。ほか、近くを探索している部隊も、補助に向かわせよう。			アルフィノ殿とアリゼー殿も、救助にあたった偵察隊を連れて、駅に向かっているらしい。ほか、近くを探索している部隊も、補助に向かわせよう。			冬はまだ続けども							
……俺に異論はない。テルティウム駅に向かい、保護を希望する者を誘導する。			……俺に異論はない。テルティウム駅に向かい、保護を希望する者を誘導する。			冬はまだ続けども							
私はまず、この者たちの手当てと、彼らにあたたかい食事を提供できるように段取りをしよう。テルティウム駅の方は、どうか、よろしく頼む。			私はまず、この者たちの手当てと、彼らにあたたかい食事を提供できるように段取りをしよう。テルティウム駅の方は、どうか、よろしく頼む。			冬はまだ続けども							
Forenameさん、あなたもよくぞご無事で……。ままならない状況の中で孤軍奮闘されていたこと、聞き及んでおります。			Forenameさん、あなたもよくぞご無事で……。ままならない状況の中で孤軍奮闘されていたこと、聞き及んでおります。			冬はまだ続けども							
あんたも来たのか！実は、予想外の事態になってるんだ……。			あんたも来たのか！実は、予想外の事態になってるんだ……。			冬はまだ続けども							
お前は……！ユルスたちはどうなったんだ！？			お前は……！ユルスたちはどうなったんだ！？			冬はまだ続けども							
あ……。Forename……ユルスも……！			あ……。Forename……ユルスも……！			冬はまだ続けども							
大変なの……。私たち、さっきここについたんだけど、そしたら……クイントゥスさんが……。			大変なの……。私たち、さっきここについたんだけど、そしたら……クイントゥスさんが……。			冬はまだ続けども							
クイントゥス様が、どうかしたのか……？			クイントゥス様が、どうかしたのか……？			冬はまだ続けども							
……自害なされたんだ。			……自害なされたんだ。			冬はまだ続けども							
第X軍団の顛末を聞いて、保護を受け入れたあと……部下たちに下がるよう命じ、おひとりになったところで……。			第X軍団の顛末を聞いて、保護を受け入れたあと……部下たちに下がるよう命じ、おひとりになったところで……。			冬はまだ続けども							
そ、んな……嘘だろ…………。			そ、んな……嘘だろ…………。			冬はまだ続けども							
遺体はサンクレッドたちが確認し、第I軍団の方の手をお借りして、運び出しました。			遺体はサンクレッドたちが確認し、第I軍団の方の手をお借りして、運び出しました。			冬はまだ続けども							
駅の中には、幼子たちもいる様子……。遺体をそのままにはしておけないと、そちらの方々が、協力してくださったのです。			駅の中には、幼子たちもいる様子……。遺体をそのままにはしておけないと、そちらの方々が、協力してくださったのです。			冬はまだ続けども							
あの方は、最期にこうおっしゃったそうだ。			あの方は、最期にこうおっしゃったそうだ。			冬はまだ続けども							
生きたくば生きよ。皆にも、そう伝えるがよい……って。			生きたくば生きよ。皆にも、そう伝えるがよい……って。			冬はまだ続けども							
クイントゥス様……あなたは……ッ！			クイントゥス様……あなたは……ッ！			冬はまだ続けども							
入れ違いになったみたいだが、今しがた、ルキアにも連絡をいれたんだ。			入れ違いになったみたいだが、今しがた、ルキアにも連絡をいれたんだ。			冬はまだ続けども							
派遣団としては、テルティウム駅に遺された人たちが望むなら、予定どおりに受け入れを行うつもりだそうだ。			派遣団としては、テルティウム駅に遺された人たちが望むなら、予定どおりに受け入れを行うつもりだそうだ。			冬はまだ続けども							
知ってのとおり、ここには怪我人が多い。そうでなくとも、みんな弱ってる……。			知ってのとおり、ここには怪我人が多い。そうでなくとも、みんな弱ってる……。			冬はまだ続けども							
すぐには気持ちの整理をつけられない奴もいるだろうが、本当は助かりたいって……生きたいって思ってる奴のこと、どうか……！			すぐには気持ちの整理をつけられない奴もいるだろうが、本当は助かりたいって……生きたいって思ってる奴のこと、どうか……！			冬はまだ続けども							
……行きましょう。みんなで、テルティウム駅の人ひとりひとりに、どうしたいか意思を聞くの。			……行きましょう。みんなで、テルティウム駅の人ひとりひとりに、どうしたいか意思を聞くの。			冬はまだ続けども							
ここに残りたいって人には、ひとまず必要なものを持ってくる。キャンプに向かう人たちは、必ず無事に送り届けましょう。			ここに残りたいって人には、ひとまず必要なものを持ってくる。キャンプに向かう人たちは、必ず無事に送り届けましょう。			冬はまだ続けども							
俺は…………。			俺は…………。			冬はまだ続けども							
ユルスの奴は、どうするんだろう……。家族もあんなことになって、第I軍団の使命を心の支えみたいにしててさ。			ユルスの奴は、どうするんだろう……。家族もあんなことになって、第I軍団の使命を心の支えみたいにしててさ。			冬はまだ続けども							
俺だって、どうしたいとか、どうすべきとか、まったく心が追いついてないさ。けど……。			俺だって、どうしたいとか、どうすべきとか、まったく心が追いついてないさ。けど……。			冬はまだ続けども							
Forename……。彼のことは、少し……そっとしておこう……。			Forename……。彼のことは、少し……そっとしておこう……。			冬はまだ続けども							
……そっちも大変だったみたいだな。いろいろと話はあるが、まずは目の前の用件からだ。			……そっちも大変だったみたいだな。いろいろと話はあるが、まずは目の前の用件からだ。			冬はまだ続けども							
…………そう、か。我々だけでの勝利は……潰えたのか……。			…………そう、か。我々だけでの勝利は……潰えたのか……。			冬はまだ続けども							
それでも……私は……。属州に、妻と娘が避難している……。彼女たちに、もう一度……会って……。			それでも……私は……。属州に、妻と娘が避難している……。彼女たちに、もう一度……会って……。			冬はまだ続けども							
だから……保護を頼む……。それから、移動のときには誰か……肩を貸してくれると、助かるよ。			だから……保護を頼む……。それから、移動のときには誰か……肩を貸してくれると、助かるよ。			冬はまだ続けども							
大丈夫……どうにか立ち上がれるさ……。もう一度、彼女たちに会えるなら……。			大丈夫……どうにか立ち上がれるさ……。もう一度、彼女たちに会えるなら……。			冬はまだ続けども							
おお、お前か！見てくれよ、エーテライトを使える状態に戻したんだ。			おお、お前か！見てくれよ、エーテライトを使える状態に戻したんだ。			冬はまだ続けども							
ラテルム村……じゃなくて、キャンプ・ブロークングラスか。ともかく、派遣団の拠点と行き来することが増えるなら、そっちの方が大事だと思ってな。			ラテルム村……じゃなくて、キャンプ・ブロークングラスか。ともかく、派遣団の拠点と行き来することが増えるなら、そっちの方が大事だと思ってな。			冬はまだ続けども							
……俺か？　そりゃあもちろん、キャンプに合流するぜ。きっとそれが、ガレマルドを復興させるための、近道になるだろうからな。			……俺か？　そりゃあもちろん、キャンプに合流するぜ。きっとそれが、ガレマルドを復興させるための、近道になるだろうからな。			冬はまだ続けども							
せっかくこのエーテライトを使えるようにしたんだ、お前も存分に活用してくれよ！			せっかくこのエーテライトを使えるようにしたんだ、お前も存分に活用してくれよ！			冬はまだ続けども							
あなたは……もしや……この前、私を介抱してくださった方ではありませんか……？			あなたは……もしや……この前、私を介抱してくださった方ではありませんか……？			冬はまだ続けども							
派遣団……そうか……異国の方、だったのですね。てっきり、同じ帝都市民かと……手だけでは……わからないものですね……。			派遣団……そうか……異国の方、だったのですね。てっきり、同じ帝都市民かと……手だけでは……わからないものですね……。			冬はまだ続けども							
……私は生粋のガレアン人で……他国のことは、敵としてしか、知りません……。			……私は生粋のガレアン人で……他国のことは、敵としてしか、知りません……。			冬はまだ続けども							
ですが、あなたがくれた優しさを、信じます……。保護を……どうかよろしくお願いします……。			ですが、あなたがくれた優しさを、信じます……。保護を……どうかよろしくお願いします……。			冬はまだ続けども							
あの、よければあなたの、お名前を……。			あの、よければあなたの、お名前を……。			冬はまだ続けども							
Forename Surnameさん……。忘れません、私を二度も救ってくれた、恩人のお名前です……。			Forename Surnameさん……。忘れません、私を二度も救ってくれた、恩人のお名前です……。			冬はまだ続けども							
Forename、私は……たくさんの、本当にたくさんのことを、話したいんだ。			Forename、私は……たくさんの、本当にたくさんのことを、話したいんだ。			冬はまだ続けども							
人質になってしまったこと……キャンプ・ブロークングラスが襲われたと聞いたこと。			人質になってしまったこと……キャンプ・ブロークングラスが襲われたと聞いたこと。			冬はまだ続けども							
アリゼーと一緒に考えたこと……そして、クイントゥス殿に話そうとしていたこと。			アリゼーと一緒に考えたこと……そして、クイントゥス殿に話そうとしていたこと。			冬はまだ続けども							
どれも大事なことだ。でも、彼の背中を前にして、どうして話せるだろう……。			どれも大事なことだ。でも、彼の背中を前にして、どうして話せるだろう……。			冬はまだ続けども							
だから今は、必要なことだけ聞くよ。……住民の皆は、キャンプへ合流してくれそうだろうか？			だから今は、必要なことだけ聞くよ。……住民の皆は、キャンプへ合流してくれそうだろうか？			冬はまだ続けども							
そうか……よかった……。彼らの声を聞いてきてくれて、ありがとう。			そうか……よかった……。彼らの声を聞いてきてくれて、ありがとう。			冬はまだ続けども							
そうと決まれば、俺とお前は先行して、キャンプまでの移動経路の安全を確保するとしよう。			そうと決まれば、俺とお前は先行して、キャンプまでの移動経路の安全を確保するとしよう。			冬はまだ続けども							
お前も遭遇しただろうが、このあたりは、野生の獣に加えてテンパードも多いからな……。			お前も遭遇しただろうが、このあたりは、野生の獣に加えてテンパードも多いからな……。			冬はまだ続けども							
これを持っていけ。海都から来た連中が持ってきてくれた「魔縛鎖」だ。テンパードに遭遇した場合、動きを鈍らせてから使うといい。			これを持っていけ。海都から来た連中が持ってきてくれた「魔縛鎖」だ。テンパードに遭遇した場合、動きを鈍らせてから使うといい。			冬はまだ続けども							
見回るべきポイントは、お前の地図に書き込んでおく。ひととおり安全を確保したら、キャンプのそばで落ち合おう。			見回るべきポイントは、お前の地図に書き込んでおく。ひととおり安全を確保したら、キャンプのそばで落ち合おう。			冬はまだ続けども							
私もこれから、移送の手伝いにまわるよ。君が話を聞いてくれた3名についても、責任をもって連れていこう。			私もこれから、移送の手伝いにまわるよ。君が話を聞いてくれた3名についても、責任をもって連れていこう。			冬はまだ続けども							
君は、サンクレッドとともに、経路の安全確保を頼む。あとでまた……彼らも連れて、あたたかい場所で会おう。			君は、サンクレッドとともに、経路の安全確保を頼む。あとでまた……彼らも連れて、あたたかい場所で会おう。			冬はまだ続けども							
魅了された帝国兵が現れた！膝をつかせて「魔縛鎖」を使え！			魅了された帝国兵が現れた！膝をつかせて「魔縛鎖」を使え！			冬はまだ続けども							
こちらに襲い掛かってくるような敵はいない。この場所の安全は、確保されているようだ。			こちらに襲い掛かってくるような敵はいない。この場所の安全は、確保されているようだ。			冬はまだ続けども							
おつかれ。全部の地点を見回れたようだな。			おつかれ。全部の地点を見回れたようだな。			冬はまだ続けども							
こっちも、危険そうな獣は倒しておいた。魔縛鎖で動きを封じたテンパードたちは、移送の道すがら保護してもらうように頼むとしよう。			こっちも、危険そうな獣は倒しておいた。魔縛鎖で動きを封じたテンパードたちは、移送の道すがら保護してもらうように頼むとしよう。			冬はまだ続けども							
さて、俺はキャンプで必要な物資をわけてもらってから、もう一度テルティウム駅に戻る。			さて、俺はキャンプで必要な物資をわけてもらってから、もう一度テルティウム駅に戻る。			冬はまだ続けども							
お前は、ルキアへの報告を頼めるか？受け入れの準備をするにも、聞きたいことがあるだろうしな。			お前は、ルキアへの報告を頼めるか？受け入れの準備をするにも、聞きたいことがあるだろうしな。			冬はまだ続けども							
