トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
逃げる時間は稼げたか……それじゃあな、お嬢ちゃん。			逃げる時間は稼げたか……それじゃあな、お嬢ちゃん。			追跡！ 盗賊を暴け							
今から追っても、シャルトフィットたちには追いつけないよね。説得できなかったし、逃がしちゃって申し訳ないけど、ひとまずアラギリの解放軍の闘士さんに報告しよっか。			今から追っても、シャルトフィットたちには追いつけないよね。説得できなかったし、逃がしちゃって申し訳ないけど、ひとまずアラギリの解放軍の闘士さんに報告しよっか。			追跡！ 盗賊を暴け							
多分この人でいいと思うー！			多分この人でいいと思うー！			追跡！ 盗賊を暴け							
おふたりが、尾行調査に協力してくれた方ですね。ご協力に感謝します。			おふたりが、尾行調査に協力してくれた方ですね。ご協力に感謝します。			追跡！ 盗賊を暴け							
こちらのお嬢さんから報告を受けましたが、敵方のマムージャ族と、あわや交戦という状況になったとか。			こちらのお嬢さんから報告を受けましたが、敵方のマムージャ族と、あわや交戦という状況になったとか。			追跡！ 盗賊を暴け							
ご無事でなによりでした。捜査協力とはいえ、危険なところへ送り込んで申し訳ない。			ご無事でなによりでした。捜査協力とはいえ、危険なところへ送り込んで申し訳ない。			追跡！ 盗賊を暴け							
ウチがついていきたいって言ったんだから、気にしないで！これからもウチらは盗賊団を追うから、協力しあお！			ウチがついていきたいって言ったんだから、気にしないで！これからもウチらは盗賊団を追うから、協力しあお！			追跡！ 盗賊を暴け							
それに盗賊団って、普段は行商人のふりをしているような、狡い人たちだってわかったし！			それに盗賊団って、普段は行商人のふりをしているような、狡い人たちだってわかったし！			追跡！ 盗賊を暴け							
ええ、自分も近辺の闘士たちに情報を共有して、彼らのことは留意しておきます。おふたりもお気をつけて！			ええ、自分も近辺の闘士たちに情報を共有して、彼らのことは留意しておきます。おふたりもお気をつけて！			追跡！ 盗賊を暴け							
Forenameちゃん、改めて……。尾行調査の協力、お疲れさま！			Forenameちゃん、改めて……。尾行調査の協力、お疲れさま！			追跡！ 盗賊を暴け							
ウチらに声をかけてきた行商人さんたちが盗賊だったなんて……。村にきたときもみんなを騙してたし、シャルトフィットってそういう狡いことが得意なんだね。			ウチらに声をかけてきた行商人さんたちが盗賊だったなんて……。村にきたときもみんなを騙してたし、シャルトフィットってそういう狡いことが得意なんだね。			追跡！ 盗賊を暴け							
でも、あの部下の人たちの怯えっぷりは演技じゃなくて、本当に怖がっているように見えたの。			でも、あの部下の人たちの怯えっぷりは演技じゃなくて、本当に怖がっているように見えたの。			追跡！ 盗賊を暴け							
頭目のシャルトフィットは、部下の人たちに横柄な態度をとってたし、怯えるのも当然だよ！			頭目のシャルトフィットは、部下の人たちに横柄な態度をとってたし、怯えるのも当然だよ！			追跡！ 盗賊を暴け							
カクージャのおじさんも刃を向けてきたけど、最終的に見逃してくれたし……盗賊の人たちでも、話が通じそうな人がいると思うの！			カクージャのおじさんも刃を向けてきたけど、最終的に見逃してくれたし……盗賊の人たちでも、話が通じそうな人がいると思うの！			追跡！ 盗賊を暴け							
何と言う？			何と言う？			追跡！ 盗賊を暴け							
自分もそう思う			自分もそう思う			追跡！ 盗賊を暴け							
お人好しすぎでは？			お人好しすぎでは？			追跡！ 盗賊を暴け							
そうだよね！ウチ、戦ったりするのは得意じゃないかわりに、人のことをよく見るようにしてるんだ！			そうだよね！ウチ、戦ったりするのは得意じゃないかわりに、人のことをよく見るようにしてるんだ！			追跡！ 盗賊を暴け							
そうかな？ウチ、戦ったりするのは得意じゃないかわりに、人のことをよく見るようにしてるの。			そうかな？ウチ、戦ったりするのは得意じゃないかわりに、人のことをよく見るようにしてるの。			追跡！ 盗賊を暴け							
ウチって、ずっと森の奥で暮らしてたからさ、旅に出るまで、一族以外の人に会ったことほとんどなくて……。だから知らない人と話すの、最初は怖かったんだよね。			ウチって、ずっと森の奥で暮らしてたからさ、旅に出るまで、一族以外の人に会ったことほとんどなくて……。だから知らない人と話すの、最初は怖かったんだよね。			追跡！ 盗賊を暴け							
でも、ちゃんと知り合えば、いいところも見えてきて、大丈夫になるっていうか、育った環境や文化が違っても、わかりあえるって思ったの！			でも、ちゃんと知り合えば、いいところも見えてきて、大丈夫になるっていうか、育った環境や文化が違っても、わかりあえるって思ったの！			追跡！ 盗賊を暴け							
完璧な人なんていないから、悪いところは誰しもあるけど……いいところがない人だって絶対いない。案外みんな、普通の人だって！			完璧な人なんていないから、悪いところは誰しもあるけど……いいところがない人だって絶対いない。案外みんな、普通の人だって！			追跡！ 盗賊を暴け							
だからウチは、ちゃんと話して、相手のことを知って、できるだけ仲良くなりたいんだー。			だからウチは、ちゃんと話して、相手のことを知って、できるだけ仲良くなりたいんだー。			追跡！ 盗賊を暴け							
えへへ、ケンカになっちゃったら、絶対勝てないからさ！			えへへ、ケンカになっちゃったら、絶対勝てないからさ！			追跡！ 盗賊を暴け							
でもねー、シャルトフィットはどうかなぁ。ああいう最初から仲良くなる気のない、聞く耳を持たない人とは、どこかでぶつかり合うしかないかも。			でもねー、シャルトフィットはどうかなぁ。ああいう最初から仲良くなる気のない、聞く耳を持たない人とは、どこかでぶつかり合うしかないかも。			追跡！ 盗賊を暴け							
とはいえ、部下の人は仲良くなれそうな気がする！おしゃべりできる機会が持てないか作戦考えてみるから、ちょっと待っててー！			とはいえ、部下の人は仲良くなれそうな気がする！おしゃべりできる機会が持てないか作戦考えてみるから、ちょっと待っててー！			追跡！ 盗賊を暴け							
八分儀広場南のローシュカナは、浮かない顔をしている。			八分儀広場南のローシュカナは、浮かない顔をしている。			毒と暮らす人々							
ローシュカナと話した。エルレットたちの行方を探るため、低地ラノシアのモラビー造船廠で「ローシュカナ」と話そう。			ローシュカナと話した。エルレットたちの行方を探るため、低地ラノシアのモラビー造船廠で「ローシュカナ」と話そう。			毒と暮らす人々							
ローシュカナたちと話した。弟がいなくなって困っている船大工の青年を手助けすることになった。モラビー造船廠で「赤髪の少年」を探そう。			ローシュカナたちと話した。弟がいなくなって困っている船大工の青年を手助けすることになった。モラビー造船廠で「赤髪の少年」を探そう。			毒と暮らす人々							
赤髪の少年と話した。モラビー造船廠の「船大工の青年」と話そう。			赤髪の少年と話した。モラビー造船廠の「船大工の青年」と話そう。			毒と暮らす人々							
船大工の青年と話した。モラビー造船廠の「ローシュカナ」と話そう。			船大工の青年と話した。モラビー造船廠の「ローシュカナ」と話そう。			毒と暮らす人々							
ローシュカナと話した。彼女の集落での暮らしぶりや、部族がどのように祭器を扱ってきたのかなど、いろいろな話を聞いた。故郷のことを話しているうちに、彼女も元気を取り戻せたようだ。リムサ・ロミンサへ戻り、八分儀広場南の「ローシュカナ」と話そう。			ローシュカナと話した。彼女の集落での暮らしぶりや、部族がどのように祭器を扱ってきたのかなど、いろいろな話を聞いた。故郷のことを話しているうちに、彼女も元気を取り戻せたようだ。リムサ・ロミンサへ戻り、八分儀広場南の「ローシュカナ」と話そう。			毒と暮らす人々							
ローシュカナたちと話した。エールポートで助けたウィスルムとゼリグが、エルレットたちの捜索に協力してくれるという。新たな情報が入るのを待って、再びローシュカナのもとを訪ねよう。※いずれかのHEALERジョブのレベルが96以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			ローシュカナたちと話した。エールポートで助けたウィスルムとゼリグが、エルレットたちの捜索に協力してくれるという。新たな情報が入るのを待って、再びローシュカナのもとを訪ねよう。※いずれかのHEALERジョブのレベルが96以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			毒と暮らす人々							
モラビー造船廠のローシュカナと話す			モラビー造船廠のローシュカナと話す			毒と暮らす人々							
赤髪の少年を探す			赤髪の少年を探す			毒と暮らす人々							
船大工の青年と話す			船大工の青年と話す			毒と暮らす人々							
ローシュカナと話す			ローシュカナと話す			毒と暮らす人々							
リムサ・ロミンサのローシュカナと話す			リムサ・ロミンサのローシュカナと話す			毒と暮らす人々							
ああ、Forename……。			ああ、Forename……。			毒と暮らす人々							
祭器を盗んだ犯人の容姿と名前がわかって、これで追跡しやすくなったと思ったんだけど……。			祭器を盗んだ犯人の容姿と名前がわかって、これで追跡しやすくなったと思ったんだけど……。			毒と暮らす人々							
西ラノシアでの一件以来、エルレットたちの目撃情報がまったくないの！			西ラノシアでの一件以来、エルレットたちの目撃情報がまったくないの！			毒と暮らす人々							
祭器を取り戻しに来たワタシと遭遇したから、この都市の外で、身を潜めているのかもしれないわ……。			祭器を取り戻しに来たワタシと遭遇したから、この都市の外で、身を潜めているのかもしれないわ……。			毒と暮らす人々							
街の人に聞いたんだけど、この近くに「モラビー造船廠」って場所があるのよね？調べたことがない場所だから、今度はそこで探ってみましょう。			街の人に聞いたんだけど、この近くに「モラビー造船廠」って場所があるのよね？調べたことがない場所だから、今度はそこで探ってみましょう。			毒と暮らす人々							
うう、困ったなぁ……。			うう、困ったなぁ……。			毒と暮らす人々							
Forename！アナタを待ってたら急に声をかけられたんだけど、この人、なんだか困ってるみたいなのよ。			Forename！アナタを待ってたら急に声をかけられたんだけど、この人、なんだか困ってるみたいなのよ。			毒と暮らす人々							
いきなり、すみません！どなたかを待っているようなご様子だったので、少しでもお時間があれば、人探しを手伝ってほしかったんです。			いきなり、すみません！どなたかを待っているようなご様子だったので、少しでもお時間があれば、人探しを手伝ってほしかったんです。			毒と暮らす人々							
その、探してほしいのは俺の弟なんです。船を造っているところを見たいと言うので連れてきたのですが、気づいたら姿が見えなくなっていて……。			その、探してほしいのは俺の弟なんです。船を造っているところを見たいと言うので連れてきたのですが、気づいたら姿が見えなくなっていて……。			毒と暮らす人々							
Forename、予定変更になっちゃうけど、彼の弟さんを探すお手伝いをしてあげてもいいかしら……？			Forename、予定変更になっちゃうけど、彼の弟さんを探すお手伝いをしてあげてもいいかしら……？			毒と暮らす人々							
ありがとう！さっそく手分けして、弟さんの行方を追いましょう。			ありがとう！さっそく手分けして、弟さんの行方を追いましょう。			毒と暮らす人々							
ああ、本当にありがとうございます……！弟は怖がりな子なので、街の外には出ていないはずです。俺と同じ「赤色の髪」を目印に探してもらえると助かります！			ああ、本当にありがとうございます……！弟は怖がりな子なので、街の外には出ていないはずです。俺と同じ「赤色の髪」を目印に探してもらえると助かります！			毒と暮らす人々							
わかったわ！もしかしたら弟さんが戻ってくるかもしれないし、お兄さんはここで待っててもらえる？			わかったわ！もしかしたら弟さんが戻ってくるかもしれないし、お兄さんはここで待っててもらえる？			毒と暮らす人々							
それじゃあ、Forename。この造船廠の中で「赤髪の少年」を探してみましょう。			それじゃあ、Forename。この造船廠の中で「赤髪の少年」を探してみましょう。			毒と暮らす人々							
弟は怖がりな子なので、街の外には出ていないはずです。「赤髪の少年」がいたら弟かもしれないので、声をかけてみてもらえると助かります……！			弟は怖がりな子なので、街の外には出ていないはずです。「赤髪の少年」がいたら弟かもしれないので、声をかけてみてもらえると助かります……！			毒と暮らす人々							
ううっ……。お兄ちゃん……どこなのぉ……。			ううっ……。お兄ちゃん……どこなのぉ……。			毒と暮らす人々							
お、お兄ちゃんに頼まれて、僕のこと、迎えにきてくれたの……？			お、お兄ちゃんに頼まれて、僕のこと、迎えにきてくれたの……？			毒と暮らす人々							
よかった、見つかったのね！怪我もないみたいだし、なによりだわ。			よかった、見つかったのね！怪我もないみたいだし、なによりだわ。			毒と暮らす人々							
僕、もっと高いところに行ったら、お兄ちゃんが造ってる船がよく見えるかもって……。でも、思ってた場所に行けなくて、迷っちゃったんだ。			僕、もっと高いところに行ったら、お兄ちゃんが造ってる船がよく見えるかもって……。でも、思ってた場所に行けなくて、迷っちゃったんだ。			毒と暮らす人々							
あら、それは大冒険だったわね！			あら、それは大冒険だったわね！			毒と暮らす人々							
実はお姉さんもね、初めての場所はよく迷子になるのよ！道は歩いて覚えるほうだから、地図を見ておいても、どこがどこだか、わからなくなっちゃって！			実はお姉さんもね、初めての場所はよく迷子になるのよ！道は歩いて覚えるほうだから、地図を見ておいても、どこがどこだか、わからなくなっちゃって！			毒と暮らす人々							
お姉ちゃんも、迷子になるの……？			お姉ちゃんも、迷子になるの……？			毒と暮らす人々							
大人なのに、迷子になっちゃうんだ。僕と一緒だね！			大人なのに、迷子になっちゃうんだ。僕と一緒だね！			毒と暮らす人々							
ふふ、元気が出たみたいでよかった。でもね、アナタのお兄さんがすっごく心配してたから、今後はひとりでふらっといなくなっちゃダメよ？			ふふ、元気が出たみたいでよかった。でもね、アナタのお兄さんがすっごく心配してたから、今後はひとりでふらっといなくなっちゃダメよ？			毒と暮らす人々							
うん、ごめんなさい……。お兄ちゃんにも、ちゃんと謝らないと。			うん、ごめんなさい……。お兄ちゃんにも、ちゃんと謝らないと。			毒と暮らす人々							
それじゃあ、「船大工の青年」のところに戻りましょう。			それじゃあ、「船大工の青年」のところに戻りましょう。			毒と暮らす人々							
海に落ちたりしていなくて、本当に安心したわ。			海に落ちたりしていなくて、本当に安心したわ。			毒と暮らす人々							
お兄ちゃん、ここにいたんだ……！			お兄ちゃん、ここにいたんだ……！			毒と暮らす人々							
急なお願いにもかかわらず、弟を見つけてくださって、ありがとうございます！何かお礼を……ああでも、持ち合わせが……。			急なお願いにもかかわらず、弟を見つけてくださって、ありがとうございます！何かお礼を……ああでも、持ち合わせが……。			毒と暮らす人々							
それなら、情報をもらいたいわ。もともと人を探しにここへ来たから、手がかりがほしいの。			それなら、情報をもらいたいわ。もともと人を探しにここへ来たから、手がかりがほしいの。			毒と暮らす人々							
最近ここで、動く人形を連れたトナワータ族……ではなくて、ヒューラン族の女性とララフェル族の男性の二人組を見ていない？			最近ここで、動く人形を連れたトナワータ族……ではなくて、ヒューラン族の女性とララフェル族の男性の二人組を見ていない？			毒と暮らす人々							
もしくは、何かを食べたり飲んだりしたとき、体に異常が起きた、なんて話を聞いたりは……？			もしくは、何かを食べたり飲んだりしたとき、体に異常が起きた、なんて話を聞いたりは……？			毒と暮らす人々							
うーん……心当たりはないですね。すみません、お役に立てなくて。			うーん……心当たりはないですね。すみません、お役に立てなくて。			毒と暮らす人々							
いいのよ、気にしないで！ここにはいないって情報がもらえただけでも十分よ。			いいのよ、気にしないで！ここにはいないって情報がもらえただけでも十分よ。			毒と暮らす人々							
おふたりが探している人が、はやく見つかることを祈っています。			おふたりが探している人が、はやく見つかることを祈っています。			毒と暮らす人々							
おっと、そろそろ家に戻らないと……。それでは、本当にお世話になりました！			おっと、そろそろ家に戻らないと……。それでは、本当にお世話になりました！			毒と暮らす人々							
ふぅ……。エルレットたちの足取りはつかめなかったけど、迷子になっていた弟さんが見つかってよかったわ。			ふぅ……。エルレットたちの足取りはつかめなかったけど、迷子になっていた弟さんが見つかってよかったわ。			毒と暮らす人々							
小さい子はしっかり見ていても、好奇心の赴くままに、ふらっといなくなるから……。お兄さんもずいぶん心配したでしょうね。			小さい子はしっかり見ていても、好奇心の赴くままに、ふらっといなくなるから……。お兄さんもずいぶん心配したでしょうね。			毒と暮らす人々							
何と言う？			何と言う？			毒と暮らす人々							
ローシュカナは、子どもが好きなの？			ローシュカナは、子どもが好きなの？			毒と暮らす人々							
その話しぶり、年下の世話に慣れていそうだ			その話しぶり、年下の世話に慣れていそうだ			毒と暮らす人々							
そうね、好きだし世話を焼きたくなっちゃう！お節介にならないようにって、いつも戒めているぐらいよ。			そうね、好きだし世話を焼きたくなっちゃう！お節介にならないようにって、いつも戒めているぐらいよ。			毒と暮らす人々							
なんといっても、ワタシは長女だからね！弟妹たちの扱いには慣れているわよ。			なんといっても、ワタシは長女だからね！弟妹たちの扱いには慣れているわよ。			毒と暮らす人々							
そういえば、あまり自分のことや部族のことを、アナタに話していなかったわね……。			そういえば、あまり自分のことや部族のことを、アナタに話していなかったわね……。			毒と暮らす人々							
せっかくだから、海でも眺めながら、少しお話ししましょうか。			せっかくだから、海でも眺めながら、少しお話ししましょうか。			毒と暮らす人々							
ワタシたちの部族は、サカ・トラルの辺境で動物を狩りながら暮らしていてね。			ワタシたちの部族は、サカ・トラルの辺境で動物を狩りながら暮らしていてね。			毒と暮らす人々							
集落で生まれた子どもは、歩くことを覚えるより前に自分の槍を与えられる。そうして幼いころから、狩人としての鍛錬が始まるの。			集落で生まれた子どもは、歩くことを覚えるより前に自分の槍を与えられる。そうして幼いころから、狩人としての鍛錬が始まるの。			毒と暮らす人々							
ふふ、アナタもそんな顔をするのね。ワタシにとっては、それが当たり前だったから、ここに来ていろいろな生き方があると知って、本当に驚いた。			ふふ、アナタもそんな顔をするのね。ワタシにとっては、それが当たり前だったから、ここに来ていろいろな生き方があると知って、本当に驚いた。			毒と暮らす人々							
でもね、厳しい鍛錬には理由があるの。ワタシたちが暮らす土地には、毒性のある動植物が多くて、狩りで負った、ちょっとした怪我が死に繋がってしまうのよ。			でもね、厳しい鍛錬には理由があるの。ワタシたちが暮らす土地には、毒性のある動植物が多くて、狩りで負った、ちょっとした怪我が死に繋がってしまうのよ。			毒と暮らす人々							
とはいえ、どんなに鍛錬しても怪我を負うことはある。そこで役立つのが「サソリの祭器」よ。			とはいえ、どんなに鍛錬しても怪我を負うことはある。そこで役立つのが「サソリの祭器」よ。			毒と暮らす人々							
あの祭器には、毒を付与するだけではなく、逆に「無毒化」するという神秘の力が備わってる……。			あの祭器には、毒を付与するだけではなく、逆に「無毒化」するという神秘の力が備わってる……。			毒と暮らす人々							
毒に冒された人を救えるだけじゃないわ。食べたら確実に死ぬと言われている「石虫」の触手ですら、無毒化して食料とすることができるほどよ。			毒に冒された人を救えるだけじゃないわ。食べたら確実に死ぬと言われている「石虫」の触手ですら、無毒化して食料とすることができるほどよ。			毒と暮らす人々							
つまり、故郷で暮らせるのは祭器のおかげ。その恩恵を受けているワタシたち以外は寄り付かない土地だから、よその部族との戦とは無縁の場所だったわ。			つまり、故郷で暮らせるのは祭器のおかげ。その恩恵を受けているワタシたち以外は寄り付かない土地だから、よその部族との戦とは無縁の場所だったわ。			毒と暮らす人々							
だから、エルレットたちのような異国の民が、祭器を盗みに来るなんて、思ってもみなくって……。			だから、エルレットたちのような異国の民が、祭器を盗みに来るなんて、思ってもみなくって……。			毒と暮らす人々							
今、故郷では備蓄してある食料でどうにか凌いでいるわ。だから、一刻もはやく祭器を取り戻したい……育ち盛りの弟妹たちが、お腹を空かせる前にね。			今、故郷では備蓄してある食料でどうにか凌いでいるわ。だから、一刻もはやく祭器を取り戻したい……育ち盛りの弟妹たちが、お腹を空かせる前にね。			毒と暮らす人々							
あの赤髪の少年みたいに、集落のみんなに安心してもらいたいから、がんばらないと！			あの赤髪の少年みたいに、集落のみんなに安心してもらいたいから、がんばらないと！			毒と暮らす人々							
アナタに自分のことや一族のことを話していたら、なんだか元気が戻ってきたわ！			アナタに自分のことや一族のことを話していたら、なんだか元気が戻ってきたわ！			毒と暮らす人々							
長くなっちゃったけど、話につきあってくれてありがとう。そろそろ「リムサ・ロミンサ」に引き揚げましょうか。			長くなっちゃったけど、話につきあってくれてありがとう。そろそろ「リムサ・ロミンサ」に引き揚げましょうか。			毒と暮らす人々							
さて……！気を取り直して、これからどう動くべきか考えるとしましょう。			さて……！気を取り直して、これからどう動くべきか考えるとしましょう。			毒と暮らす人々							
よう、あんたら！			よう、あんたら！			毒と暮らす人々							
あら、また会えて嬉しいわ。ふたりとも、リムサ・ロミンサに来てたのね。			あら、また会えて嬉しいわ。ふたりとも、リムサ・ロミンサに来てたのね。			毒と暮らす人々							
ちっと買い出しにな！そしたら、あんたらを見かけたもんで挨拶しようと思ってよ。			ちっと買い出しにな！そしたら、あんたらを見かけたもんで挨拶しようと思ってよ。			毒と暮らす人々							
魔法人形に襲われたときは世話になったな。おかげさんで、護衛の依頼も無事に果たすことができたぜ。			魔法人形に襲われたときは世話になったな。おかげさんで、護衛の依頼も無事に果たすことができたぜ。			毒と暮らす人々							
あのときの醜態を思い出すと気が遠くなるが……駆けつけてくれたことには、心から感謝してる。			あのときの醜態を思い出すと気が遠くなるが……駆けつけてくれたことには、心から感謝してる。			毒と暮らす人々							
そういえば、ふたりは、エルレットとココノワを追ってきたと言っていたよな。			そういえば、ふたりは、エルレットとココノワを追ってきたと言っていたよな。			毒と暮らす人々							
ええ、そうなの。部族の宝を彼女たちに盗られてしまったから、それを取り戻すために追っているのよ。			ええ、そうなの。部族の宝を彼女たちに盗られてしまったから、それを取り戻すために追っているのよ。			毒と暮らす人々							
へぇ、そんな事情があったのか。あれっきり、エールポートでは見かけてねぇんだよなぁ……似たような事件も、起きたって話は聞かないしよ。			へぇ、そんな事情があったのか。あれっきり、エールポートでは見かけてねぇんだよなぁ……似たような事件も、起きたって話は聞かないしよ。			毒と暮らす人々							
ま、俺たちも連中を野放しにしとくのは我慢ならねぇし、もし足取りがつかめたら、あんたらに連絡するぜ。世話になった分、恩返しはしねぇと。			ま、俺たちも連中を野放しにしとくのは我慢ならねぇし、もし足取りがつかめたら、あんたらに連絡するぜ。世話になった分、恩返しはしねぇと。			毒と暮らす人々							
ありがとう、そう言ってもらえると助かるわ！ワタシはここを拠点にしているから、どうかよろしくね。			ありがとう、そう言ってもらえると助かるわ！ワタシはここを拠点にしているから、どうかよろしくね。			毒と暮らす人々							
今回はエルレットたちを見つけられなかったけど、アナタとゆっくり話せたし、協力者も増えてよかったわ。			今回はエルレットたちを見つけられなかったけど、アナタとゆっくり話せたし、協力者も増えてよかったわ。			毒と暮らす人々							
彼らと連絡を取り合いつつ、引き続き行方を探ってみるから、折を見て、また声をかけてちょうだいね！			彼らと連絡を取り合いつつ、引き続き行方を探ってみるから、折を見て、また声をかけてちょうだいね！			毒と暮らす人々							
イェドリマンのテペケは、調査について提案があるようだ。			イェドリマンのテペケは、調査について提案があるようだ。			人気の秘訣を追え							
ジャスティス・Ｒが倒したのは、島の植生にはそぐわない魔物らしい。植物の魔物について調べるため、サベネア島のギガントガル採石場付近にいる「テペケ」と話そう。			ジャスティス・Ｒが倒したのは、島の植生にはそぐわない魔物らしい。植物の魔物について調べるため、サベネア島のギガントガル採石場付近にいる「テペケ」と話そう。			人気の秘訣を追え							
テペケから魔物の捕獲を頼まれた。ギガントガル採石場の東側で魔物を探し、弱らせて「特製の編み縄」を使い捕獲しよう。			テペケから魔物の捕獲を頼まれた。ギガントガル採石場の東側で魔物を探し、弱らせて「特製の編み縄」を使い捕獲しよう。			人気の秘訣を追え							
魔物を捕獲した。ギガントガル採石場付近にいる「テペケ」に「捕獲したスポーン・モルボルバルブ」を見せよう。			魔物を捕獲した。ギガントガル採石場付近にいる「テペケ」に「捕獲したスポーン・モルボルバルブ」を見せよう。			人気の秘訣を追え							
捕獲したスポーン・モルボルバルブをテペケに見せた。サベネア島のデミールの遺烈郷にいる「柔和な錬金術師」に「捕獲したスポーン・モルボルバルブ」を渡して調査してもらおう。			捕獲したスポーン・モルボルバルブをテペケに見せた。サベネア島のデミールの遺烈郷にいる「柔和な錬金術師」に「捕獲したスポーン・モルボルバルブ」を渡して調査してもらおう。			人気の秘訣を追え							
魔物は、製作するのに相当な資金を要する錬金薬によって人工的に作り出されたそうだ。イェドリマンで情報を持っていそうな者たちから話を聞こう。			魔物は、製作するのに相当な資金を要する錬金薬によって人工的に作り出されたそうだ。イェドリマンで情報を持っていそうな者たちから話を聞こう。			人気の秘訣を追え							
情報を集めた。イェドリマンの「テペケ」と話そう。			情報を集めた。イェドリマンの「テペケ」と話そう。			人気の秘訣を追え							
ジャスティス・Ｒの本名であるヴィラザーンのことを、彼の父親から聞いた。彼の気持ちがわかると言ったテペケは、なんとしても止めると決意する。彼女がその思いを果たせるように協力を続けよう。※いずれかの遠隔魔法DPSジョブのレベルが96以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			ジャスティス・Ｒの本名であるヴィラザーンのことを、彼の父親から聞いた。彼の気持ちがわかると言ったテペケは、なんとしても止めると決意する。彼女がその思いを果たせるように協力を続けよう。※いずれかの遠隔魔法DPSジョブのレベルが96以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			人気の秘訣を追え							
テペケと話す			テペケと話す			人気の秘訣を追え							
弱らせた魔物に特製の編み縄を使い捕獲			弱らせた魔物に特製の編み縄を使い捕獲			人気の秘訣を追え							
テペケに捕獲したスポーン・モルボルバルブを見せる			テペケに捕獲したスポーン・モルボルバルブを見せる			人気の秘訣を追え							
錬金術師に捕獲したスポーン・モルボルバルブを渡す			錬金術師に捕獲したスポーン・モルボルバルブを渡す			人気の秘訣を追え							
イェドリマンで情報を集める			イェドリマンで情報を集める			人気の秘訣を追え							
テペケと話す			テペケと話す			人気の秘訣を追え							
ようこそ、Forenameさん。最近、ジャスティス・Ｒが次々と魔物退治を行ってるようで、かなりの数の証言が集まっていますよ。			ようこそ、Forenameさん。最近、ジャスティス・Ｒが次々と魔物退治を行ってるようで、かなりの数の証言が集まっていますよ。			人気の秘訣を追え							
中には「空中に岩石が出現する瞬間」を見たという人もいたんです。やはり、落石は自然現象ではなく、祭器の力を利用した、魔法的な現象と見て間違いなさそうですね。			中には「空中に岩石が出現する瞬間」を見たという人もいたんです。やはり、落石は自然現象ではなく、祭器の力を利用した、魔法的な現象と見て間違いなさそうですね。			人気の秘訣を追え							
また彼が退治しているのが、いずれも植物の魔物だということもわかってきました。何故、特定の魔物ばかり退治しているのかはまだ謎ですが……。			また彼が退治しているのが、いずれも植物の魔物だということもわかってきました。何故、特定の魔物ばかり退治しているのかはまだ謎ですが……。			人気の秘訣を追え							
加えて、最近のジャスティス・Ｒは、誰かが魔物に襲われている現場に限って現れるようなんです。			加えて、最近のジャスティス・Ｒは、誰かが魔物に襲われている現場に限って現れるようなんです。			人気の秘訣を追え							
一方で、魔物に襲われながらも、彼が助けに来なかったという事例は皆無でした……。これって、あまりにも不自然ですよね？			一方で、魔物に襲われながらも、彼が助けに来なかったという事例は皆無でした……。これって、あまりにも不自然ですよね？			人気の秘訣を追え							
ですから、星戦士団の中でも、魔物の出現は仕組まれたものだと疑う声も出ていまして。この辺りを調べてみる必要があると思うんです！			ですから、星戦士団の中でも、魔物の出現は仕組まれたものだと疑う声も出ていまして。この辺りを調べてみる必要があると思うんです！			人気の秘訣を追え							
ギガントガル採石場周辺の街道は、特に魔物の襲撃事件が多いとか。あそこでなら、討伐前の魔物が見つかるかもしれません。そちらで、植物の魔物を探してみましょう！			ギガントガル採石場周辺の街道は、特に魔物の襲撃事件が多いとか。あそこでなら、討伐前の魔物が見つかるかもしれません。そちらで、植物の魔物を探してみましょう！			人気の秘訣を追え							
植物の特徴を持つ魔物……うーん、見当たりませんね。私はここから、西側の街道を探してみますので、Forenameさんは東側をお願いできますか？			植物の特徴を持つ魔物……うーん、見当たりませんね。私はここから、西側の街道を探してみますので、Forenameさんは東側をお願いできますか？			人気の秘訣を追え							
魔物を見つけたら、討伐するのではなく、弱らせて、この「特製の編み縄」で捕獲をお願いします！その正体を見極めようと思いますので。			魔物を見つけたら、討伐するのではなく、弱らせて、この「特製の編み縄」で捕獲をお願いします！その正体を見極めようと思いますので。			人気の秘訣を追え							
植物の魔物を見つけたら、討伐ではなく、弱らせて「特製の編み縄」で捕獲をお願いします！			植物の魔物を見つけたら、討伐ではなく、弱らせて「特製の編み縄」で捕獲をお願いします！			人気の秘訣を追え							
モ…ワ…			モ…ワ…			人気の秘訣を追え							
うーん、それらしき魔物はいませんね……。襲撃自体にジャスティス・Ｒが関与しているという推測は、的外れだったのでしょうか。			うーん、それらしき魔物はいませんね……。襲撃自体にジャスティス・Ｒが関与しているという推測は、的外れだったのでしょうか。			人気の秘訣を追え							
これは……過去の目撃情報にもあった魔物です！本当に現れるなんて……！			これは……過去の目撃情報にもあった魔物です！本当に現れるなんて……！			人気の秘訣を追え							
