ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
クイックサンドのモモディと話す			クイックサンドのモモディと話す			海都と森都と							
ウルダハ・ランディングのエリエノラと話す			ウルダハ・ランディングのエリエノラと話す			海都と森都と							
飛空艇搭乗タラップで飛空艇を待つ			飛空艇搭乗タラップで飛空艇を待つ			海都と森都と							
黒渦団の儀仗兵と話す			黒渦団の儀仗兵と話す			海都と森都と							
ブルワークホールのザントヘール甲軍曹に親書を見せる			ブルワークホールのザントヘール甲軍曹に親書を見せる			海都と森都と							
リムサ・ロミンサ・ランディングのリ・ノフロと話す			リムサ・ロミンサ・ランディングのリ・ノフロと話す			海都と森都と							
飛空艇搭乗タラップで飛空艇を待つ			飛空艇搭乗タラップで飛空艇を待つ			海都と森都と							
双蛇党の儀仗兵と話す			双蛇党の儀仗兵と話す			海都と森都と							
豊穣神祭壇の物静かな道士に親書を見せる			豊穣神祭壇の物静かな道士に親書を見せる			海都と森都と							
それでは、くわしいことを話そう。楽にして聞いてくれ。			それでは、くわしいことを話そう。楽にして聞いてくれ。			海都と森都と							
これは吾輩がしたためた、同盟国への親書だ。			これは吾輩がしたためた、同盟国への親書だ。			海都と森都と							
第七霊災、そして「カルテノーの戦い」で、我々は多くの民、仲間を失った。			第七霊災、そして「カルテノーの戦い」で、我々は多くの民、仲間を失った。			海都と森都と							
あれから5年。大地や人々の傷は、未だ癒えきってはいない。			あれから5年。大地や人々の傷は、未だ癒えきってはいない。			海都と森都と							
我々のために命を賭して戦った、英雄「光の戦士たち」も、何処へと消えたまま……。			我々のために命を賭して戦った、英雄「光の戦士たち」も、何処へと消えたまま……。			海都と森都と							
……だが、我々は前に進まなくてはならない。			……だが、我々は前に進まなくてはならない。			海都と森都と							
エオルゼア諸国は、この5年を節目として、近く「カルテノー戦没者追悼式典」の開催を予定しているのだ。			エオルゼア諸国は、この5年を節目として、近く「カルテノー戦没者追悼式典」の開催を予定しているのだ。			海都と森都と							
この親書には、その式典にまつわる取り決めが書かれている。			この親書には、その式典にまつわる取り決めが書かれている。			海都と森都と							
吾輩の代理として、ウルダハの同盟国の盟主へ、この親書を届けてもらえないだろうか。			吾輩の代理として、ウルダハの同盟国の盟主へ、この親書を届けてもらえないだろうか。			海都と森都と							
5年前の戦いに従軍した冒険者たちのように、貴様もまた、ウルダハに尽くしてくれた。だからこそ、この任を任せたいのだ。			5年前の戦いに従軍した冒険者たちのように、貴様もまた、ウルダハに尽くしてくれた。だからこそ、この任を任せたいのだ。			海都と森都と							
ありがたい。感謝する。			ありがたい。感謝する。			海都と森都と							
同盟国である「リムサ・ロミンサ」、そして「グリダニア」は、ウルダハから遠く離れた地にある。			同盟国である「リムサ・ロミンサ」、そして「グリダニア」は、ウルダハから遠く離れた地にある。			海都と森都と							
移動への「足」には、これを使うと良いだろう。			移動への「足」には、これを使うと良いだろう。			海都と森都と							
ウルダハ公認の「飛空艇搭乗許可証」だ。遠慮無く使うといい。			ウルダハ公認の「飛空艇搭乗許可証」だ。遠慮無く使うといい。			海都と森都と							
ウェルヘッドリフトから、同盟国間を行き来する「循環飛空便」に乗れる。詳しいことは、モモディに聞くとよいだろう。			ウェルヘッドリフトから、同盟国間を行き来する「循環飛空便」に乗れる。詳しいことは、モモディに聞くとよいだろう。			海都と森都と							
この許可証は、本来そう簡単に渡せるものではない。帝国の目を警戒し、飛空艇の便数も減っているからな。			この許可証は、本来そう簡単に渡せるものではない。帝国の目を警戒し、飛空艇の便数も減っているからな。			海都と森都と							
しかし、貴様のウルダハでの活躍は認められるべき行い。			しかし、貴様のウルダハでの活躍は認められるべき行い。			海都と森都と							
貴様の噂を聞いた「ある組織」から、ぜひにと推薦もあったのでな。			貴様の噂を聞いた「ある組織」から、ぜひにと推薦もあったのでな。			海都と森都と							
それに……。			それに……。			海都と森都と							
貴様の持つ「可能性」に、吾輩も期待してみたいと思ったのだ。			貴様の持つ「可能性」に、吾輩も期待してみたいと思ったのだ。			海都と森都と							
ナナモ女王陛下の名代として、我がウルダハを代表し、冒険者へ伝える。			ナナモ女王陛下の名代として、我がウルダハを代表し、冒険者へ伝える。			海都と森都と							
世界を渡り歩き、世界を見てくるといい。			世界を渡り歩き、世界を見てくるといい。			海都と森都と							
勝敗は早さと速さが別つ。その判断にも、見聞は広いほうが良い。冒険者としての力を磨いてくるのだ。			勝敗は早さと速さが別つ。その判断にも、見聞は広いほうが良い。冒険者としての力を磨いてくるのだ。			海都と森都と							
マザークリスタルに導かれし「超える力」を持つ、貴様にしかできないことが、きっとあるはずだからな。			マザークリスタルに導かれし「超える力」を持つ、貴様にしかできないことが、きっとあるはずだからな。			海都と森都と							
行け、冒険者よ。世界を見てくるがいい。貴様の持つ「可能性」に、期待しているぞ！			行け、冒険者よ。世界を見てくるがいい。貴様の持つ「可能性」に、期待しているぞ！			海都と森都と							
あら、お帰りなさい。ラウバーン局長には会えた？			あら、お帰りなさい。ラウバーン局長には会えた？			海都と森都と							
それは本当なの！？			それは本当なの！？			海都と森都と							
ラウバーン局長の親書を、同盟国へ届けることを任されただなんて。			ラウバーン局長の親書を、同盟国へ届けることを任されただなんて。			海都と森都と							
あなたの活躍が、ラウバーン局長に……。ウルダハに認められた証よ。			あなたの活躍が、ラウバーン局長に……。ウルダハに認められた証よ。			海都と森都と							
本当に良かった。わたしも自分のことのように嬉しいわ！			本当に良かった。わたしも自分のことのように嬉しいわ！			海都と森都と							
あなたが、ウルダハを訪れてくれたことを誇りに思うわ。			あなたが、ウルダハを訪れてくれたことを誇りに思うわ。			海都と森都と							
飛空艇搭乗許可証を手にしたということはあなたは、一介の冒険者でありながら、エオルゼア全土を旅する権利を得たということ。			飛空艇搭乗許可証を手にしたということはあなたは、一介の冒険者でありながら、エオルゼア全土を旅する権利を得たということ。			海都と森都と							
エオルゼアは広い。			エオルゼアは広い。			海都と森都と							
同盟国である「海の都リムサ・ロミンサ」、そして「森の都グリダニア」。ウルダハ以外にも、多くの人々が住んでいるわ。			同盟国である「海の都リムサ・ロミンサ」、そして「森の都グリダニア」。ウルダハ以外にも、多くの人々が住んでいるわ。			海都と森都と							
それに、まだまだ未開の地も数多いの。			それに、まだまだ未開の地も数多いの。			海都と森都と							
冒険者のあなたにとって、すばらしい体験が待っているはずよ。			冒険者のあなたにとって、すばらしい体験が待っているはずよ。			海都と森都と							
でも、それだけじゃない……。			でも、それだけじゃない……。			海都と森都と							
ウルダハに限らず、どこの国も問題を抱えているわ。国家の内訌や、蛮族、蛮神のこと。……嫌な場面に遭遇することもあるでしょうね。			ウルダハに限らず、どこの国も問題を抱えているわ。国家の内訌や、蛮族、蛮神のこと。……嫌な場面に遭遇することもあるでしょうね。			海都と森都と							
それでも、わたしは……。あなたなら何かをやり遂げると思っているわよ。			それでも、わたしは……。あなたなら何かをやり遂げると思っているわよ。			海都と森都と							
第七霊災から5年。人々は、ようやく前を向いて歩みはじめた。			第七霊災から5年。人々は、ようやく前を向いて歩みはじめた。			海都と森都と							
あなた自身の目で、しっかりと見てきなさい。この新しい世界を！			あなた自身の目で、しっかりと見てきなさい。この新しい世界を！			海都と森都と							
こちらはハイウィンド飛空社、リムサ・ロミンサ行き循環飛空便の搭乗受付窓口となっております。			こちらはハイウィンド飛空社、リムサ・ロミンサ行き循環飛空便の搭乗受付窓口となっております。			海都と森都と							
……これはForename Surname様！ラウバーン局長より承っております。ご苦労さまです！さっそく、ご搭乗の手続きをされますか？			……これはForename Surname様！ラウバーン局長より承っております。ご苦労さまです！さっそく、ご搭乗の手続きをされますか？			海都と森都と							
搭乗手続きをする？			搭乗手続きをする？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			海都と森都と							
飛空艇に乗る？			飛空艇に乗る？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
ウルダハ・ランディングのラウンジにお戻りになられますか？			ウルダハ・ランディングのラウンジにお戻りになられますか？			海都と森都と							
ラウンジに戻る？			ラウンジに戻る？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
かしこまりました。それでは、お気をつけて、いってらっしゃいませ。			かしこまりました。それでは、お気をつけて、いってらっしゃいませ。			海都と森都と							
これは、Forename Surname様。ご準備はおすみでしょうか？リムサ・ロミンサ行き循環飛空便、まもなく出航します。			これは、Forename Surname様。ご準備はおすみでしょうか？リムサ・ロミンサ行き循環飛空便、まもなく出航します。			海都と森都と							
ウルダハ・ランディングをご利用頂き、ありがとうございます。グリダニア行き循環飛空便、まもなく出航します。			ウルダハ・ランディングをご利用頂き、ありがとうございます。グリダニア行き循環飛空便、まもなく出航します。			海都と森都と							
搭乗手続きをする？			搭乗手続きをする？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			海都と森都と							
ハイウィンド飛空社、リムサ・ロミンサ行き循環飛空便。定刻どおり、まもなく離陸いたします。			ハイウィンド飛空社、リムサ・ロミンサ行き循環飛空便。定刻どおり、まもなく離陸いたします。			海都と森都と							
今にして思えば、ササガン大王樹で会った時から、不思議な感じのする冒険者であった。あの者の行く末が楽しみじゃな、ラウバーン。			今にして思えば、ササガン大王樹で会った時から、不思議な感じのする冒険者であった。あの者の行く末が楽しみじゃな、ラウバーン。			海都と森都と							
いってらっしゃい。			いってらっしゃい。			海都と森都と							
いつの日か、あなたの名自体が、英雄の意味を成すと信じているわ。			いつの日か、あなたの名自体が、英雄の意味を成すと信じているわ。			海都と森都と							
クリスタルの導きがあらんことを……。			クリスタルの導きがあらんことを……。			海都と森都と							
ウルダハからの使者の方ですね！海の都「リムサ・ロミンサ」へようこそ！「メルウィブ提督」がお待ちですよ！			ウルダハからの使者の方ですね！海の都「リムサ・ロミンサ」へようこそ！「メルウィブ提督」がお待ちですよ！			海都と森都と							
搭乗ロビーから出る？			搭乗ロビーから出る？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			海都と森都と							
ウルダハからの使者様ですね？お待ちしておりました。メルウィブ提督がお待ちです。			ウルダハからの使者様ですね？お待ちしておりました。メルウィブ提督がお待ちです。			海都と森都と							
我らが提督も、あなたとの面会を楽しみになさっておいでです。			我らが提督も、あなたとの面会を楽しみになさっておいでです。			海都と森都と							
そちらにございますクロウズリフトより、ブルワークホールへおいでください。			そちらにございますクロウズリフトより、ブルワークホールへおいでください。			海都と森都と							
ブルワークホールの「ザントヘール甲軍曹」が、面会場所のアドミラルブリッジ「提督室」まであなたをご案内いたします。			ブルワークホールの「ザントヘール甲軍曹」が、面会場所のアドミラルブリッジ「提督室」まであなたをご案内いたします。			海都と森都と							
提督のもとへは、ブルワークホールにいる「ザントヘール甲軍曹」がご案内いたします。いってらっしゃいませ。			提督のもとへは、ブルワークホールにいる「ザントヘール甲軍曹」がご案内いたします。いってらっしゃいませ。			海都と森都と							
客人よ。遠路はるばるよくぞ来た。この先が、メルウィブ提督のおわす「提督室」だ。念のため、親書が本物か確認させてもらおう。			客人よ。遠路はるばるよくぞ来た。この先が、メルウィブ提督のおわす「提督室」だ。念のため、親書が本物か確認させてもらおう。			海都と森都と							
うむ。確かにラウバーン殿の紋章が捺されているな。よし！　中へ案内しよう。提督がお待ちだ。			うむ。確かにラウバーン殿の紋章が捺されているな。よし！　中へ案内しよう。提督がお待ちだ。			海都と森都と							
(-？？？？-)入れ。			(-？？？？-)入れ。			海都と森都と							
(-？？？？-)ウルダハより使者が来るとは聞いていたが、……まさか冒険者とはな。よほど信頼されていると見える。			(-？？？？-)ウルダハより使者が来るとは聞いていたが、……まさか冒険者とはな。よほど信頼されていると見える。			海都と森都と							
(-？？？？-)こちらへ。			(-？？？？-)こちらへ。			海都と森都と							
(-？？？？-)ようこそ。「海の都リムサ・ロミンサ」へ。			(-？？？？-)ようこそ。「海の都リムサ・ロミンサ」へ。			海都と森都と							
この国のグランドカンパニー「黒渦団」の最高司令官、都督のメルウィブ・ブルーフィスウィンだ。			この国のグランドカンパニー「黒渦団」の最高司令官、都督のメルウィブ・ブルーフィスウィンだ。			海都と森都と							
さっそく用件を聞こうか。			さっそく用件を聞こうか。			海都と森都と							
……その前に。貴公、名を何という？			……その前に。貴公、名を何という？			海都と森都と							
ふむ……貴公の名、そして顔……。古い友人に似ていた気がしたのでな。			ふむ……貴公の名、そして顔……。古い友人に似ていた気がしたのでな。			海都と森都と							
友人……顔も思い出せぬようでは、私の方が友人として失格だな……。			友人……顔も思い出せぬようでは、私の方が友人として失格だな……。			海都と森都と							
時間をとらせた。さあ、話を聞こう。			時間をとらせた。さあ、話を聞こう。			海都と森都と							
ふむ。「カルテノー戦没者追悼式典」の取り決めについてか。			ふむ。「カルテノー戦没者追悼式典」の取り決めについてか。			海都と森都と							
あれから、5年か。			あれから、5年か。			海都と森都と							
事の発端は、北方の大国「ガレマール帝国」がこのエオルゼアに侵略戦争を仕掛けてきたことにある。			事の発端は、北方の大国「ガレマール帝国」がこのエオルゼアに侵略戦争を仕掛けてきたことにある。			海都と森都と							
帝国軍の「メテオ計劃(けいかく)」に対し、エオルゼアの都市国家群は、「グランドカンパニー」を創設して対抗した。			帝国軍の「メテオ計劃(けいかく)」に対し、エオルゼアの都市国家群は、「グランドカンパニー」を創設して対抗した。			海都と森都と							
そして5年前……我々、エオルゼア同盟軍は、帝国の野望を阻止すべく、カルテノー平原でガレマール帝国と戦ったのだ。			そして5年前……我々、エオルゼア同盟軍は、帝国の野望を阻止すべく、カルテノー平原でガレマール帝国と戦ったのだ。			海都と森都と							
敵将ネール配下の帝国軍第VII軍団と冒険者を加えたエオルゼア同盟軍との決戦だった。これが「カルテノーの戦い」と呼ばれる戦(いくさ)だ。			敵将ネール配下の帝国軍第VII軍団と冒険者を加えたエオルゼア同盟軍との決戦だった。これが「カルテノーの戦い」と呼ばれる戦(いくさ)だ。			海都と森都と							
もっとも、その戦局は、到底「戦い」と呼べるものではなかったがね。……君も聞いたことがあるだろう。			もっとも、その戦局は、到底「戦い」と呼べるものではなかったがね。……君も聞いたことがあるだろう。			海都と森都と							
カルテノーに現れた漆黒の巨龍……。古の蛮神「バハムート」が、すべてを焼き尽くしたのだ。			カルテノーに現れた漆黒の巨龍……。古の蛮神「バハムート」が、すべてを焼き尽くしたのだ。			海都と森都と							
結果、帝国軍第VII軍団は壊滅。エオルゼア同盟軍も、多大な被害を受けた。あの惨状は、とてもではないが名状し難い。			結果、帝国軍第VII軍団は壊滅。エオルゼア同盟軍も、多大な被害を受けた。あの惨状は、とてもではないが名状し難い。			海都と森都と							
……しかし、我々は生き延びた。理由は解らない。			……しかし、我々は生き延びた。理由は解らない。			海都と森都と							
全滅をも覚悟したとき、光に包まれたのだ。神々しい光に……。あれこそが召喚された「十二神」の力だったのか……。			全滅をも覚悟したとき、光に包まれたのだ。神々しい光に……。あれこそが召喚された「十二神」の力だったのか……。			海都と森都と							
気が付いた時には、そこに蛮神「バハムート」の姿は無く、焼き尽くされたはずの大地も、様変わりをしていた。			気が付いた時には、そこに蛮神「バハムート」の姿は無く、焼き尽くされたはずの大地も、様変わりをしていた。			海都と森都と							
「救世詩盟」の賢者ルイゾワさえ存命ならば、その理由もわかっただろうが……。今となっては、真実を知るものは、もう居ない。			「救世詩盟」の賢者ルイゾワさえ存命ならば、その理由もわかっただろうが……。今となっては、真実を知るものは、もう居ない。			海都と森都と							
しかし、各国には甚大な被害が出た。加えて、再び始まった蛮神騒ぎだ。……我々には、それを探求する余裕は無かった。			しかし、各国には甚大な被害が出た。加えて、再び始まった蛮神騒ぎだ。……我々には、それを探求する余裕は無かった。			海都と森都と							
各国は、今もさまざまな問題を抱えている……。この状態が長引けば、この先の戦いに、耐えることはできないだろう。			各国は、今もさまざまな問題を抱えている……。この状態が長引けば、この先の戦いに、耐えることはできないだろう。			海都と森都と							
このエオルゼアは、現在もなお、帝国と戦争状態にあるのだからな……。			このエオルゼアは、現在もなお、帝国と戦争状態にあるのだからな……。			海都と森都と							
不可能は人が作り出す……。			不可能は人が作り出す……。			海都と森都と							
この追悼式典を契機に、3国の絆を、再び強固にする必要があるのかもしれないな。			この追悼式典を契機に、3国の絆を、再び強固にする必要があるのかもしれないな。			海都と森都と							
よかろう。ラウバーン局長殿の提案に乗ろう。君にも、その絆の楔となる役目をお願いしたい。			よかろう。ラウバーン局長殿の提案に乗ろう。君にも、その絆の楔となる役目をお願いしたい。			海都と森都と							
ラウバーン局長殿へは、私から直接返事をしておこう。			ラウバーン局長殿へは、私から直接返事をしておこう。			海都と森都と							
冒険者。君の次の目的地は、グリダニアか？			冒険者。君の次の目的地は、グリダニアか？			海都と森都と							
なら、カヌ・エ・センナ殿に伝えてくれ。メルウィブが「よろしく」言っていたと。			なら、カヌ・エ・センナ殿に伝えてくれ。メルウィブが「よろしく」言っていたと。			海都と森都と							
この度の使者の任、ご苦労だった。			この度の使者の任、ご苦労だった。			海都と森都と							
こちらはハイウィンド飛空社、グリダニア行き循環飛空便の搭乗受付窓口となっております。			こちらはハイウィンド飛空社、グリダニア行き循環飛空便の搭乗受付窓口となっております。			海都と森都と							
Forename Surname様。次のご訪問先は「グリダニア」となっております。さっそく、ご搭乗の手続きをされますか？			Forename Surname様。次のご訪問先は「グリダニア」となっております。さっそく、ご搭乗の手続きをされますか？			海都と森都と							
搭乗手続きをする？			搭乗手続きをする？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			海都と森都と							
飛空艇に乗る？			飛空艇に乗る？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
リムサ・ロミンサ・ランディングのラウンジへお戻りになられますか？			リムサ・ロミンサ・ランディングのラウンジへお戻りになられますか？			海都と森都と							
ラウンジに戻る？			ラウンジに戻る？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
かしこまりました。それでは、お気をつけて、いってらっしゃいませ。			かしこまりました。それでは、お気をつけて、いってらっしゃいませ。			海都と森都と							
これは、Forename Surname様。ご準備はおすみでしょうか？グリダニア行き循環飛空便、まもなく出航します。			これは、Forename Surname様。ご準備はおすみでしょうか？グリダニア行き循環飛空便、まもなく出航します。			海都と森都と							
搭乗手続きをする？			搭乗手続きをする？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			海都と森都と							
ウルダハからの使者の方ですね！森の都「グリダニア」へようこそ！「カヌ・エ様」がお待ちですよ！			ウルダハからの使者の方ですね！森の都「グリダニア」へようこそ！「カヌ・エ様」がお待ちですよ！			海都と森都と							
搭乗ロビーから出る？			搭乗ロビーから出る？			海都と森都と							
はい			はい			海都と森都と							
いいえ			いいえ			海都と森都と							
かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			かしこまりました。ご準備がおすみになりましたら、お声がけくださいませ。			海都と森都と							
ウルダハからの使者様とお見受けします。グリダニアにようこそいらっしゃいました。			ウルダハからの使者様とお見受けします。グリダニアにようこそいらっしゃいました。			海都と森都と							
カヌ・エ・センナ様が「不語仙の座卓」にてお待ちです。			カヌ・エ・センナ様が「不語仙の座卓」にてお待ちです。			海都と森都と							
まずは旧市街へおいでいただき、「豊穣神祭壇」に控えております道士にお声がけください。			まずは旧市街へおいでいただき、「豊穣神祭壇」に控えております道士にお声がけください。			海都と森都と							
すでに道士には話を通しております。まずは「豊穣神祭壇」においでいただきますよう、よろしくお願いします。			すでに道士には話を通しております。まずは「豊穣神祭壇」においでいただきますよう、よろしくお願いします。			海都と森都と							
ウルダハからの使者とは貴殿か？失礼ながらご用の件、改めさせていただきたい。			ウルダハからの使者とは貴殿か？失礼ながらご用の件、改めさせていただきたい。			海都と森都と							
ふむ……ラウバーン局長の親書に相違ない。それでは、こちらへ参られよ。			ふむ……ラウバーン局長の親書に相違ない。それでは、こちらへ参られよ。			海都と森都と							
(-？？？？-)お待ちしておりました。			(-？？？？-)お待ちしておりました。			海都と森都と							
(-？？？？-)あなたがウルダハからの使者ですね。話は聞いています。			(-？？？？-)あなたがウルダハからの使者ですね。話は聞いています。			海都と森都と							
(-？？？？-)こちらへどうぞ。			(-？？？？-)こちらへどうぞ。			海都と森都と							
(-？？？？-)ようこそ。「森の都グリダニア」へ。			(-？？？？-)ようこそ。「森の都グリダニア」へ。			海都と森都と							
この国のグランドカンパニー「双蛇党」の最高司令官、党首のカヌ・エ・センナです。			この国のグランドカンパニー「双蛇党」の最高司令官、党首のカヌ・エ・センナです。			海都と森都と							
ラウバーン局長からのご用件を伺いましょう。			ラウバーン局長からのご用件を伺いましょう。			海都と森都と							
冒険者殿……。今一度、お顔を拝見させてください……。			冒険者殿……。今一度、お顔を拝見させてください……。			海都と森都と							
いえ、そんなことはないですね……。知人に似ている気がしたもので……。			いえ、そんなことはないですね……。知人に似ている気がしたもので……。			海都と森都と							
お手間を取らせました。お話を伺います。			お手間を取らせました。お話を伺います。			海都と森都と							
「カルテノー戦没者追悼式典」の取り決めについてですね。			「カルテノー戦没者追悼式典」の取り決めについてですね。			海都と森都と							
冒険者殿。このエオルゼアとガレマール帝国の状況をご理解されていますか？			冒険者殿。このエオルゼアとガレマール帝国の状況をご理解されていますか？			海都と森都と							
あら、メルウィブ提督にお聞きになったのですね。さすが「鋼鉄の提督」……ぬかりありませんね。			あら、メルウィブ提督にお聞きになったのですね。さすが「鋼鉄の提督」……ぬかりありませんね。			海都と森都と							
メルウィブ提督に「よろしく」伝えろと言い付かったのですね？……そうですか、わかりました。			メルウィブ提督に「よろしく」伝えろと言い付かったのですね？……そうですか、わかりました。			海都と森都と							
あなたも、そのガレマール帝国について、知っておいたほうがよろしいでしょう。			あなたも、そのガレマール帝国について、知っておいたほうがよろしいでしょう。			海都と森都と							
ガレマール帝国……。この北方の大帝国も、つい50年前までは、北州の辺境国のひとつに過ぎなかったのです。			ガレマール帝国……。この北方の大帝国も、つい50年前までは、北州の辺境国のひとつに過ぎなかったのです。			海都と森都と							
しかし「魔導技術」によって北州を統一すると、今度はエオルゼアへの侵略戦争を仕掛けてきました。			しかし「魔導技術」によって北州を統一すると、今度はエオルゼアへの侵略戦争を仕掛けてきました。			海都と森都と							
ガレマール帝国は、現皇帝が一代で築き上げた国。その皇帝も齢80歳を超え、帝国内は今、跡継ぎ問題で揺れています。			ガレマール帝国は、現皇帝が一代で築き上げた国。その皇帝も齢80歳を超え、帝国内は今、跡継ぎ問題で揺れています。			海都と森都と							
天与の資質を持つ主導者です。跡継ぎに失敗すれば、国が滅ぶ可能性すらあります。先の戦い以降、帝国の動きが鈍いのはそれが理由なのです。			天与の資質を持つ主導者です。跡継ぎに失敗すれば、国が滅ぶ可能性すらあります。先の戦い以降、帝国の動きが鈍いのはそれが理由なのです。			海都と森都と							
……そのお陰で、エオルゼア諸国は、霊災被害からの復興に集中できているのですけどね。			……そのお陰で、エオルゼア諸国は、霊災被害からの復興に集中できているのですけどね。			海都と森都と							
しかし、エオルゼア侵攻軍には、まだ帝国第XIV軍団が残っています……。			しかし、エオルゼア侵攻軍には、まだ帝国第XIV軍団が残っています……。			海都と森都と							
軍団長、ガイウス・ヴァン・バエサル。その存在は確かに脅威です。			軍団長、ガイウス・ヴァン・バエサル。その存在は確かに脅威です。			海都と森都と							
グリダニアを始めとするエオルゼア諸国は、霊災からの復興で手一杯。帝国との戦いは後回しにしたい……というのが本音です。			グリダニアを始めとするエオルゼア諸国は、霊災からの復興で手一杯。帝国との戦いは後回しにしたい……というのが本音です。			海都と森都と							
それにエオルゼアの脅威は帝国だけではありません。各国ともに、蛮族、蛮神問題を抱えています。			それにエオルゼアの脅威は帝国だけではありません。各国ともに、蛮族、蛮神問題を抱えています。			海都と森都と							
ある意味で、帝国と同じかもしれません……。エオルゼア諸国は目下、管轄の蛮神対策を優先しています。外へ目を向ける余裕が無いのですから。			ある意味で、帝国と同じかもしれません……。エオルゼア諸国は目下、管轄の蛮神対策を優先しています。外へ目を向ける余裕が無いのですから。			海都と森都と							
メルウィブ提督は、「よろしく」と言った……。			メルウィブ提督は、「よろしく」と言った……。			海都と森都と							
それは、提督の放っていた草が刈られたと言うこと。帝国に近く動きがあるかもしれない……。			それは、提督の放っていた草が刈られたと言うこと。帝国に近く動きがあるかもしれない……。			海都と森都と							
ガレマール帝国……帝国第XIV軍団が動けば、蛮神優先とも言っていられなくなりましょう。			ガレマール帝国……帝国第XIV軍団が動けば、蛮神優先とも言っていられなくなりましょう。			海都と森都と							
そうですね。ラウバーン局長の言うとおりかもしれません。			そうですね。ラウバーン局長の言うとおりかもしれません。			海都と森都と							
3国による追悼式典を催し、今一度あの戦いを振り返りましょう。皆で一丸となるためにも。			3国による追悼式典を催し、今一度あの戦いを振り返りましょう。皆で一丸となるためにも。			海都と森都と							
この件は了解しました。ラウバーン局長へは、私から直接返事をしておきます。			この件は了解しました。ラウバーン局長へは、私から直接返事をしておきます。			海都と森都と							
この度の使者の任、ご苦労さまでした。			この度の使者の任、ご苦労さまでした。			海都と森都と							
三都市を結ぶ飛空艇、「循環飛空便」が開放されました。以後、各都市にある飛空艇発着場「ランディング」から、有料で三都市間を行き来することができます。			三都市を結ぶ飛空艇、「循環飛空便」が開放されました。以後、各都市にある飛空艇発着場「ランディング」から、有料で三都市間を行き来することができます。			海都と森都と							
クイックサンドのモモディは、冒険者の腕を見込んで頼みたいことがあるようだ。			クイックサンドのモモディは、冒険者の腕を見込んで頼みたいことがあるようだ。			至宝の影で蠢く闇							
モモディが言うには、最近、王宮から王冠が盗まれる事件が起こったらしい。封書の宛先にあるオワインとは、事件の原因だと噂されている人物だそうだ。モモディは信頼する冒険者に、手紙を銀冑団まで届けてほしいようだ。銀冑団総長室にいる「オワイン」に「オワイン宛の封書」を届けに行こう。			モモディが言うには、最近、王宮から王冠が盗まれる事件が起こったらしい。封書の宛先にあるオワインとは、事件の原因だと噂されている人物だそうだ。モモディは信頼する冒険者に、手紙を銀冑団まで届けてほしいようだ。銀冑団総長室にいる「オワイン」に「オワイン宛の封書」を届けに行こう。			至宝の影で蠢く闇							
封書には王冠を奪った賊からの伝言が記されていたようだ。賊との取り引きを成功させるためには、オワインを護衛する必要がある。「アンホーリーエアー」に向かい、オワインを待とう。			封書には王冠を奪った賊からの伝言が記されていたようだ。賊との取り引きを成功させるためには、オワインを護衛する必要がある。「アンホーリーエアー」に向かい、オワインを待とう。			至宝の影で蠢く闇							
無事に賊を討伐することができた。			無事に賊を討伐することができた。			至宝の影で蠢く闇							
「天使い」だという魔道士の近くに落ちていた水晶、異邦シャーレアンの民だというサンクレッド……。不思議に思う点は多いが、ともあれ事件は解決を見たようだ。銀冑団総長室の「パパシャン」に報告しよう。			「天使い」だという魔道士の近くに落ちていた水晶、異邦シャーレアンの民だというサンクレッド……。不思議に思う点は多いが、ともあれ事件は解決を見たようだ。銀冑団総長室の「パパシャン」に報告しよう。			至宝の影で蠢く闇							
