トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
要は「知ること」に幸せを感じるタイプって言うのかな。もしかしたらそれが、よかったのかもしれないね。			要は「知ること」に幸せを感じるタイプって言うのかな。もしかしたらそれが、よかったのかもしれないね。			優しくて残酷な世界							
なんていうかさ、ほかの永久人たちは、リビング・メモリーの暮らしに満足しちまうんだよ。だから、この幸せが詰まった場所から出ようなんて思わない。			なんていうかさ、ほかの永久人たちは、リビング・メモリーの暮らしに満足しちまうんだよ。だから、この幸せが詰まった場所から出ようなんて思わない。			優しくて残酷な世界							
だけど、あたしは違う。死んだ後の世界のことまで知りたくて、ハッキングを覚えてまで、機械の身体で抜け出したのさ！			だけど、あたしは違う。死んだ後の世界のことまで知りたくて、ハッキングを覚えてまで、機械の身体で抜け出したのさ！			優しくて残酷な世界							
ハッハッハ！型破りなやつだなカフキワも。			ハッハッハ！型破りなやつだなカフキワも。			優しくて残酷な世界							
ま、あたしの話はこのくらいにしといてくれよ。クルルちゃんとエレネッシパを待ってる間、生きてるあんたたちに頼みたいことがあるんだ。			ま、あたしの話はこのくらいにしといてくれよ。クルルちゃんとエレネッシパを待ってる間、生きてるあんたたちに頼みたいことがあるんだ。			優しくて残酷な世界							
ここの噴水、止まってるだろ？なにせ数百年前の娯楽施設を再利用したものだから、綺麗にみせかけてるだけで、実はオンボロなのさ。			ここの噴水、止まってるだろ？なにせ数百年前の娯楽施設を再利用したものだから、綺麗にみせかけてるだけで、実はオンボロなのさ。			優しくて残酷な世界							
昔は中央の大きな泉で、噴水ショーなんかもやってたらしくてさ。よければ、あんたたちで直してくれないかい？			昔は中央の大きな泉で、噴水ショーなんかもやってたらしくてさ。よければ、あんたたちで直してくれないかい？			優しくて残酷な世界							
調べた限り、劣化した制御装置に、外からエーテルを流してやればスイッチが入りそうなんだけど……永久人のあたしにはそれができなくってさ。			調べた限り、劣化した制御装置に、外からエーテルを流してやればスイッチが入りそうなんだけど……永久人のあたしにはそれができなくってさ。			優しくて残酷な世界							
ワガママに付き合わせるようで悪いんだけど……最期に、このエリアの永久人たちに見せてやりたいんだ。			ワガママに付き合わせるようで悪いんだけど……最期に、このエリアの永久人たちに見せてやりたいんだ。			優しくて残酷な世界							
任せてくれよ！その噴水ショーってやつ、アタシも見てみてぇしな！			任せてくれよ！その噴水ショーってやつ、アタシも見てみてぇしな！			優しくて残酷な世界							
ありがとね、助かるよ！噴水の制御装置は、景観に溶け込ませるために、周囲の街灯に仕込まれてるんだ。			ありがとね、助かるよ！噴水の制御装置は、景観に溶け込ませるために、周囲の街灯に仕込まれてるんだ。			優しくて残酷な世界							
無事に直ったら、ショーを見ながら、このエリアのターミナルに向かおう。クルルちゃんとエレネッシパも、じき戻ってくるだろうしね。			無事に直ったら、ショーを見ながら、このエリアのターミナルに向かおう。クルルちゃんとエレネッシパも、じき戻ってくるだろうしね。			優しくて残酷な世界							
本当に最期の時間ってわけか……了解だ。街灯はいくつかあるみたいだから、手分けしてやってみよう！			本当に最期の時間ってわけか……了解だ。街灯はいくつかあるみたいだから、手分けしてやってみよう！			優しくて残酷な世界							
この辺りにエレクトロープの回路がありそうだな。エーテルを注いで……っと。			この辺りにエレクトロープの回路がありそうだな。エーテルを注いで……っと。			優しくて残酷な世界							
これ、普通の石材でできてるように見えるけど、中身はエレクトロープなんだもんな……頭が混乱するぜ。			これ、普通の石材でできてるように見えるけど、中身はエレクトロープなんだもんな……頭が混乱するぜ。			優しくて残酷な世界							
付き合わせちまって悪いね。でも、カナルタウンの噴水ショーはすごいって噂だから、……エレネッシパの記憶にも、残るといいな。			付き合わせちまって悪いね。でも、カナルタウンの噴水ショーはすごいって噂だから、……エレネッシパの記憶にも、残るといいな。			優しくて残酷な世界							
……噴水ショー、綺麗だったな。			……噴水ショー、綺麗だったな。			優しくて残酷な世界							
ありがとね、おかげであたしにも最高の思い出が増えたよ。			ありがとね、おかげであたしにも最高の思い出が増えたよ。			優しくて残酷な世界							
ナミーカさん、幸せそうだったわ……。			ナミーカさん、幸せそうだったわ……。			優しくて残酷な世界							
…………。			…………。			優しくて残酷な世界							
……一応確認しておくが、ここをシャットダウンしても、カフキワは消えないんだよな？			……一応確認しておくが、ここをシャットダウンしても、カフキワは消えないんだよな？			優しくて残酷な世界							
ああ、あたしの記憶はこの先、北西エリアのウィンドターミナルに保存されてるからね。			ああ、あたしの記憶はこの先、北西エリアのウィンドターミナルに保存されてるからね。			優しくて残酷な世界							
…………。			…………。			優しくて残酷な世界							
シャットダウンの方法は、ウクラマトに伝えてあるよ。さっきの制御装置と同じ要領さ。			シャットダウンの方法は、ウクラマトに伝えてあるよ。さっきの制御装置と同じ要領さ。			優しくて残酷な世界							
シャットダウンのタイミングはあんたたちに任せる。一度ターミナルを落とせば大半の永久人は消えるし、この美しい光景も見られなくなるからね。			シャットダウンのタイミングはあんたたちに任せる。一度ターミナルを落とせば大半の永久人は消えるし、この美しい光景も見られなくなるからね。			優しくて残酷な世界							
もしまだ見てない場所や話したりない永久人がいれば、今のうちに行ってくるといい。十分なら、このままシャットダウンしてくれ。			もしまだ見てない場所や話したりない永久人がいれば、今のうちに行ってくるといい。十分なら、このままシャットダウンしてくれ。			優しくて残酷な世界							
ウォーターターミナルをシャットダウンすると、カナルタウンの景観が変化し、元には戻せなくなります。			ウォーターターミナルをシャットダウンすると、カナルタウンの景観が変化し、元には戻せなくなります。			優しくて残酷な世界							
本当にシャットダウンしますか？			本当にシャットダウンしますか？			優しくて残酷な世界							
わかってはいたが、永久人を消すって……こういうことなんだな。			わかってはいたが、永久人を消すって……こういうことなんだな。			優しくて残酷な世界							
ありがとね……。			ありがとね……。			優しくて残酷な世界							
これが、リビング・メモリーの本来の姿なのね……。			これが、リビング・メモリーの本来の姿なのね……。			優しくて残酷な世界							
…………。			…………。			優しくて残酷な世界							
……覚悟してやったことだが、悲しくないって言ったら嘘になるぜ。			……覚悟してやったことだが、悲しくないって言ったら嘘になるぜ。			優しくて残酷な世界							
だけど、前に進む……そう決めてここへ来たんだ……。			だけど、前に進む……そう決めてここへ来たんだ……。			優しくて残酷な世界							
ウォーターターミナル前のカフキワは、冒険者たちの様子を見守っている。			ウォーターターミナル前のカフキワは、冒険者たちの様子を見守っている。			希望のテーマパーク							
イェスタランドの警備員と話す			イェスタランドの警備員と話す			希望のテーマパーク							
星河の鏡で情報を集める			星河の鏡で情報を集める			希望のテーマパーク							
指定地点で見渡す			指定地点で見渡す			希望のテーマパーク							
魔物を討伐			魔物を討伐			希望のテーマパーク							
古風な王国騎士と話す			古風な王国騎士と話す			希望のテーマパーク							
ウクラマトと話す			ウクラマトと話す			希望のテーマパーク							
わかってはいたが、永久人を消すって……こういうことなんだな。			わかってはいたが、永久人を消すって……こういうことなんだな。			希望のテーマパーク							
これが、リビング・メモリーの本来の姿なのね……。			これが、リビング・メモリーの本来の姿なのね……。			希望のテーマパーク							
…………。			…………。			希望のテーマパーク							
これはアタシが決めた路だ……。前に進んでみせるさ。			これはアタシが決めた路だ……。前に進んでみせるさ。			希望のテーマパーク							
無理もないかもしれないけど……あんまり気を落とさないでくれよ。全責任は、あんたたちに依頼したあたしにある！			無理もないかもしれないけど……あんまり気を落とさないでくれよ。全責任は、あんたたちに依頼したあたしにある！			希望のテーマパーク							
前にも言ったけど、あたしたち永久人は記憶の残滓に過ぎない。消すことに罪悪感を覚える必要はないんだ。			前にも言ったけど、あたしたち永久人は記憶の残滓に過ぎない。消すことに罪悪感を覚える必要はないんだ。			希望のテーマパーク							
そうは言っても……やっぱりお別れは寂しいわ。			そうは言っても……やっぱりお別れは寂しいわ。			希望のテーマパーク							
ああ、だけど永久人たちを知ることはやめねぇ。それが命あるアタシたちの役目なんだ……！			ああ、だけど永久人たちを知ることはやめねぇ。それが命あるアタシたちの役目なんだ……！			希望のテーマパーク							
気持ちを切り替えていこうぜ。永久人たちとは、笑顔で接してぇからな！			気持ちを切り替えていこうぜ。永久人たちとは、笑顔で接してぇからな！			希望のテーマパーク							
ありがとね……！ならこのまま、次のエリアに行っちゃおうか。			ありがとね……！ならこのまま、次のエリアに行っちゃおうか。			希望のテーマパーク							
次は南東にあるイェスタランドってとこさ。リメンバー・ゲートに戻って、ジップラインで来てくれるかい？			次は南東にあるイェスタランドってとこさ。リメンバー・ゲートに戻って、ジップラインで来てくれるかい？			希望のテーマパーク							
そうそう、ターミナルに保存されていた記憶が消えたことで、大半の永久人も消滅してるはずなんだけど……			そうそう、ターミナルに保存されていた記憶が消えたことで、大半の永久人も消滅してるはずなんだけど……			希望のテーマパーク							
もしかしたら、強い「未練」を持っている永久人は、まだ実体を保っていて……シャットダウン後もしばらく存在してるかもしれない。			もしかしたら、強い「未練」を持っている永久人は、まだ実体を保っていて……シャットダウン後もしばらく存在してるかもしれない。			希望のテーマパーク							
そういう永久人がいたら、よければ話を聞いてやってよ。記憶の残滓ではあっても、その想いは、彼らが生きていた証だからさ。			そういう永久人がいたら、よければ話を聞いてやってよ。記憶の残滓ではあっても、その想いは、彼らが生きていた証だからさ。			希望のテーマパーク							
エリアごとに雰囲気がガラッと変わりそうね……。次は、ここから見えている部分だけでも楽しそうな場所だわ。			エリアごとに雰囲気がガラッと変わりそうね……。次は、ここから見えている部分だけでも楽しそうな場所だわ。			希望のテーマパーク							
カフキワさんみたいにエリアを跨ぐ永久人は珍しいのかもな。ある程度は記憶の傾向を読み解いて、保存する場所を決めているんだろうか……。			カフキワさんみたいにエリアを跨ぐ永久人は珍しいのかもな。ある程度は記憶の傾向を読み解いて、保存する場所を決めているんだろうか……。			希望のテーマパーク							
……俺も歩みを止めるつもりはない。行こう、Forename。			……俺も歩みを止めるつもりはない。行こう、Forename。			希望のテーマパーク							
……よし、行こうぜ。カフキワとはイェスタランドで合流だ。			……よし、行こうぜ。カフキワとはイェスタランドで合流だ。			希望のテーマパーク							
起動、成功……ビープ、ビープ、エラー、エラー……利用者登録を……確認、し、し、しました。			起動、成功……ビープ、ビープ、エラー、エラー……利用者登録を……確認、し、し、しました。			希望のテーマパーク							
こんにちは、ジップラインに5名様だね。希望にあふれたテーマパーク、イェスタランドへいってらっしゃーい！			こんにちは、ジップラインに5名様だね。希望にあふれたテーマパーク、イェスタランドへいってらっしゃーい！			希望のテーマパーク							
すげえ……。ここもかつて存在した場所を再現してるのか？			すげえ……。ここもかつて存在した場所を再現してるのか？			希望のテーマパーク							
そうさ、彼らの世界が「雷光大戦」に突入する前……まだ平和だったころの姿をモチーフにしているらしい。			そうさ、彼らの世界が「雷光大戦」に突入する前……まだ平和だったころの姿をモチーフにしているらしい。			希望のテーマパーク							
アレクサンドリアを始めとする国々が、もっとも栄え輝いていた、まさしく黄金時代！それをとびきり楽しく再現したエリアさ。			アレクサンドリアを始めとする国々が、もっとも栄え輝いていた、まさしく黄金時代！それをとびきり楽しく再現したエリアさ。			希望のテーマパーク							
へえ……！これはまた大がかりな娯楽施設だな。			へえ……！これはまた大がかりな娯楽施設だな。			希望のテーマパーク							
何と言う？			何と言う？			希望のテーマパーク							
楽しそう！			楽しそう！			希望のテーマパーク							
見てるだけで疲れる……			見てるだけで疲れる……			希望のテーマパーク							
ゴールドソーサーみたいだ			ゴールドソーサーみたいだ			希望のテーマパーク							
リェー・メグみたいだ			リェー・メグみたいだ			希望のテーマパーク							
……同感だ！きっとそうあれと願って造られた場所なんだろう。			……同感だ！きっとそうあれと願って造られた場所なんだろう。			希望のテーマパーク							
まあ、こういう賑やかな場所はな……。せめてもの救いは、あまり混み合ってないことか。			まあ、こういう賑やかな場所はな……。せめてもの救いは、あまり混み合ってないことか。			希望のテーマパーク							
ああ、確かに！あそこは入場するだけでも、無性にワクワクしちゃうよな。ここもそうあれと願って造られた場所なのかもしれない。			ああ、確かに！あそこは入場するだけでも、無性にワクワクしちゃうよな。ここもそうあれと願って造られた場所なのかもしれない。			希望のテーマパーク							
妖精語で「夢の園」……さてはピクシー族の領域に立ち入ったな……！？			妖精語で「夢の園」……さてはピクシー族の領域に立ち入ったな……！？			希望のテーマパーク							
戻ってこられて何よりだが、気をつけてくれよ。こういう楽しそうな場所だったならなおのこと……外に出たら云十年後だった、なんてことになりかねない。			戻ってこられて何よりだが、気をつけてくれよ。こういう楽しそうな場所だったならなおのこと……外に出たら云十年後だった、なんてことになりかねない。			希望のテーマパーク							
まあ、このエリアも……ある意味では同じかもしれないが……。			まあ、このエリアも……ある意味では同じかもしれないが……。			希望のテーマパーク							
ここ「イェスタランド」のターミナルは、一番奥にある城、プロト・アレクサンドリアの地下だ。			ここ「イェスタランド」のターミナルは、一番奥にある城、プロト・アレクサンドリアの地下だ。			希望のテーマパーク							
あたしは先に行って待ってるから、気が済むまで永久人たちと話をしておいで。			あたしは先に行って待ってるから、気が済むまで永久人たちと話をしておいで。			希望のテーマパーク							
そんじゃ、またねえ！			そんじゃ、またねえ！			希望のテーマパーク							
永久人たちと話そう。そして知るんだ……彼らの想いを。			永久人たちと話そう。そして知るんだ……彼らの想いを。			希望のテーマパーク							
さあ、進もうぜ！まずはここがどんな場所か、知るところからだ！			さあ、進もうぜ！まずはここがどんな場所か、知るところからだ！			希望のテーマパーク							
渦巻く星々のような美しい飾り床だ。かつてのアレクサンドリアでは、このような星空が見えたのだろうか……。			渦巻く星々のような美しい飾り床だ。かつてのアレクサンドリアでは、このような星空が見えたのだろうか……。			希望のテーマパーク							
水没した旧市街にあった建物と同じ様式に見えるが、窓枠には色とりどりのステンドグラスが嵌められている。子どもたちが喜びそうだ。			水没した旧市街にあった建物と同じ様式に見えるが、窓枠には色とりどりのステンドグラスが嵌められている。子どもたちが喜びそうだ。			希望のテーマパーク							
今ね、オーティスのこと話してるんだよ！お姉ちゃんお兄ちゃんも知ってる？			今ね、オーティスのこと話してるんだよ！お姉ちゃんお兄ちゃんも知ってる？			希望のテーマパーク							
ちょっと頭が固くてジョーダンが通じないっていうか、怒りっぽいとこもあるけど、すんごい強くてさ！マモノだってやっつけちゃうんだ！			ちょっと頭が固くてジョーダンが通じないっていうか、怒りっぽいとこもあるけど、すんごい強くてさ！マモノだってやっつけちゃうんだ！			希望のテーマパーク							
オーティスに会ってみたいなら、まだその辺でマモノと戦ってるんじゃないかな？			オーティスに会ってみたいなら、まだその辺でマモノと戦ってるんじゃないかな？			希望のテーマパーク							
僕も大きくなったら、オーティスみたいな王国騎士になるよ！「スフェーンさまを、おまもりするのだー！」			僕も大きくなったら、オーティスみたいな王国騎士になるよ！「スフェーンさまを、おまもりするのだー！」			希望のテーマパーク							
子どもが話していた「オーティス」という人物を探してみよう。ヘリテージファウンドで出会った旧型機械兵と、関係があるのだろうか……。			子どもが話していた「オーティス」という人物を探してみよう。ヘリテージファウンドで出会った旧型機械兵と、関係があるのだろうか……。			希望のテーマパーク							
誰かが魔物と戦っているようだ。助太刀しよう。			誰かが魔物と戦っているようだ。助太刀しよう。			希望のテーマパーク							
腕に自信があるようだな！ワタシは子どもたちを守る故、残りの魔物を討伐してもらえるとありがたい！			腕に自信があるようだな！ワタシは子どもたちを守る故、残りの魔物を討伐してもらえるとありがたい！			希望のテーマパーク							
さすがに驚いたぜ……。まさか、こんなところでオーティスに会うなんてさ！			さすがに驚いたぜ……。まさか、こんなところでオーティスに会うなんてさ！			希望のテーマパーク							
……だけど、Forenameの言うとおり、アタシたちがヘリテージファウンドで会った旧型機械兵とは、持ってる記憶が違うって考えた方がよさそうだよな。			……だけど、Forenameの言うとおり、アタシたちがヘリテージファウンドで会った旧型機械兵とは、持ってる記憶が違うって考えた方がよさそうだよな。			希望のテーマパーク							
そういえばあいつ、みんなで飯食ってる最中に、なんかそれっぽいことも言ってた気がするし……。			そういえばあいつ、みんなで飯食ってる最中に、なんかそれっぽいことも言ってた気がするし……。			希望のテーマパーク							
とにかく、こっちのオーティスともっと話してみてぇ！あいつに伝えたいこともあるしよ。			とにかく、こっちのオーティスともっと話してみてぇ！あいつに伝えたいこともあるしよ。			希望のテーマパーク							
ラウンダバウト・ベルクメアのウクラマトは、オーティスと話したいようだ。			ラウンダバウト・ベルクメアのウクラマトは、オーティスと話したいようだ。			アレクサンドリアの王国騎士							
ウクラマトと話し、オーティスを追いかけることにした。リビング・メモリーのエアキャブ乗り場付近で「オーティス」を探そう。			ウクラマトと話し、オーティスを追いかけることにした。リビング・メモリーのエアキャブ乗り場付近で「オーティス」を探そう。			アレクサンドリアの王国騎士							
オーティスの手伝いをすることになった。エアキャブ乗り場にいる「オーティス」と話し、着ぐるみに着替えよう。			オーティスの手伝いをすることになった。エアキャブ乗り場にいる「オーティス」と話し、着ぐるみに着替えよう。			アレクサンドリアの王国騎士							
オーティスに着ぐるみを貸してもらった。着ぐるみを着た状態で、エアキャブ乗り場付近にいる「子ども」たちと話そう。※衣替状態が解除された場合、再度「オーティス」に話しかけることで衣替状態になれます。			オーティスに着ぐるみを貸してもらった。着ぐるみを着た状態で、エアキャブ乗り場付近にいる「子ども」たちと話そう。※衣替状態が解除された場合、再度「オーティス」に話しかけることで衣替状態になれます。			アレクサンドリアの王国騎士							
子どもたちに建国祭の劇の開催を伝えた。エアキャブ乗り場にいる「オーティス」と話そう。			子どもたちに建国祭の劇の開催を伝えた。エアキャブ乗り場にいる「オーティス」と話そう。			アレクサンドリアの王国騎士							
ウクラマトと一緒に建国祭の劇に出演することになった。リビング・メモリーの「プロト・アレクサンドリア」付近の「指定地点」で案内を待とう。			ウクラマトと一緒に建国祭の劇に出演することになった。リビング・メモリーの「プロト・アレクサンドリア」付近の「指定地点」で案内を待とう。			アレクサンドリアの王国騎士							
建国祭の劇はどうにか成功し、ウクラマトはオーティスの想いを受け継いだようだ。プロト・アレクサンドリアの地下にあるアースターミナル前で「ウクラマト」と話そう。			建国祭の劇はどうにか成功し、ウクラマトはオーティスの想いを受け継いだようだ。プロト・アレクサンドリアの地下にあるアースターミナル前で「ウクラマト」と話そう。			アレクサンドリアの王国騎士							
イェスタランドをシャットダウンした。アースターミナル前にいる「ウクラマト」と再度話そう。			イェスタランドをシャットダウンした。アースターミナル前にいる「ウクラマト」と再度話そう。			アレクサンドリアの王国騎士							
ウクラマトたちと話した。アースターミナルに保存されていた永久人たちは消滅し、二度と戻ることはない……。			ウクラマトたちと話した。アースターミナルに保存されていた永久人たちは消滅し、二度と戻ることはない……。			アレクサンドリアの王国騎士							
オーティスを探す			オーティスを探す			アレクサンドリアの王国騎士							
オーティスと話す			オーティスと話す			アレクサンドリアの王国騎士							
衣替状態で子どもと話す			衣替状態で子どもと話す			アレクサンドリアの王国騎士							
オーティスと話す			オーティスと話す			アレクサンドリアの王国騎士							
指定地点で待機			指定地点で待機			アレクサンドリアの王国騎士							
ウクラマトと話す			ウクラマトと話す			アレクサンドリアの王国騎士							
ウクラマトと再度話す			ウクラマトと再度話す			アレクサンドリアの王国騎士							
もう一度オーティスと話してみようぜ！昔のアレクサンドリアのこととか、生前のスフェーンのことも、いろいろ知ってそうだしさ。			もう一度オーティスと話してみようぜ！昔のアレクサンドリアのこととか、生前のスフェーンのことも、いろいろ知ってそうだしさ。			アレクサンドリアの王国騎士							
とはいえ、普通に話しかけたんじゃ追い返されそうだし……いっそのこと、建国祭とやらの手伝いを申し出てみるか。			とはいえ、普通に話しかけたんじゃ追い返されそうだし……いっそのこと、建国祭とやらの手伝いを申し出てみるか。			アレクサンドリアの王国騎士							
たしか北西の方に歩いてったはずだ！追いかけよう！			たしか北西の方に歩いてったはずだ！追いかけよう！			アレクサンドリアの王国騎士							
「スフェーン様、大丈夫ですか？」……違うな。ええと、「スフェーン様、ご無事ですか？」……うむ。			「スフェーン様、大丈夫ですか？」……違うな。ええと、「スフェーン様、ご無事ですか？」……うむ。			アレクサンドリアの王国騎士							
この台詞のあと、スフェーン様が愛らしい笑顔で……			この台詞のあと、スフェーン様が愛らしい笑顔で……			アレクサンドリアの王国騎士							
「ありがとう、私のオーティス！！」			「ありがとう、私のオーティス！！」			アレクサンドリアの王国騎士							
や、ややややや……！お主はさっきの……！！			や、ややややや……！お主はさっきの……！！			アレクサンドリアの王国騎士							
何と言う？			何と言う？			アレクサンドリアの王国騎士							
邪魔してごめん……			邪魔してごめん……			アレクサンドリアの王国騎士							
スフェーン役、やろうか？			スフェーン役、やろうか？			アレクサンドリアの王国騎士							
まあよい……本番までにはなんとかなるだろう。なにせこのワタシが考えた脚本だからな！			まあよい……本番までにはなんとかなるだろう。なにせこのワタシが考えた脚本だからな！			アレクサンドリアの王国騎士							
む……厚意はありがたいが、その必要はない。スフェーン様の台詞ならば自分の台詞よりも完璧……なにせこのワタシが考えた脚本だからな！			む……厚意はありがたいが、その必要はない。スフェーン様の台詞ならば自分の台詞よりも完璧……なにせこのワタシが考えた脚本だからな！			アレクサンドリアの王国騎士							
むしろいつも躓く場面は……			むしろいつも躓く場面は……			アレクサンドリアの王国騎士							
なんだなんだ？楽しそうじゃねぇか、アタシも混ぜてくれよ！			なんだなんだ？楽しそうじゃねぇか、アタシも混ぜてくれよ！			アレクサンドリアの王国騎士							
……お主まで来たのか。忙しいと言ったばかりであろう！			……お主まで来たのか。忙しいと言ったばかりであろう！			アレクサンドリアの王国騎士							
いやいや、アタシたちは手伝いに来たんだって。その建国祭ってやつの準備、人手が足りてないんじゃないか？			いやいや、アタシたちは手伝いに来たんだって。その建国祭ってやつの準備、人手が足りてないんじゃないか？			アレクサンドリアの王国騎士							
む…………。正直なところ、その申し出は非常に助かる。			む…………。正直なところ、その申し出は非常に助かる。			アレクサンドリアの王国騎士							
建国祭はこのイェスタランドで毎年行われるちょっとした催しだ。今回はその余興として、王国の歴史を題材とした、子ども向けの劇を披露する予定なのだが……			建国祭はこのイェスタランドで毎年行われるちょっとした催しだ。今回はその余興として、王国の歴史を題材とした、子ども向けの劇を披露する予定なのだが……			アレクサンドリアの王国騎士							
ここ最近、実体化している永久人も減る一方でな。裏方は言うに及ばず、演者も客も、まったく足りておらんのだ！ワタシが脚本に加えて本人役をやる羽目になったのも……			ここ最近、実体化している永久人も減る一方でな。裏方は言うに及ばず、演者も客も、まったく足りておらんのだ！ワタシが脚本に加えて本人役をやる羽目になったのも……			アレクサンドリアの王国騎士							
まあまあ、手伝うから落ち着けって。で、まずは何をやればいいんだ？			まあまあ、手伝うから落ち着けって。で、まずは何をやればいいんだ？			アレクサンドリアの王国騎士							
そうだな……では、お主らには客寄せを頼みたい！イェスタランドにいる子どもらに、劇の開催を報せるのだ！			そうだな……では、お主らには客寄せを頼みたい！イェスタランドにいる子どもらに、劇の開催を報せるのだ！			アレクサンドリアの王国騎士							
おうよ！子どもに声をかけてくればいいのか？			おうよ！子どもに声をかけてくればいいのか？			アレクサンドリアの王国騎士							
ただ声をかけるだけでは、劇の面白さは伝わらんだろう。こちらが用意した動物の着ぐるみ姿になり、明るく楽しく声をかけるのだ！			ただ声をかけるだけでは、劇の面白さは伝わらんだろう。こちらが用意した動物の着ぐるみ姿になり、明るく楽しく声をかけるのだ！			アレクサンドリアの王国騎士							
いいぜ、それで永久人の子どもたちが喜んでくれるなら、着ぐるみくらいお安い御用だ！さっそく着させてくれよ！			いいぜ、それで永久人の子どもたちが喜んでくれるなら、着ぐるみくらいお安い御用だ！さっそく着させてくれよ！			アレクサンドリアの王国騎士							
うむ、ならばお主にはこれを……。			うむ、ならばお主にはこれを……。			アレクサンドリアの王国騎士							
こ、これも、エレクトロープが作り出した幻影なのか……！妙な装置をつけたら、見た目が変わったぞ！？			こ、これも、エレクトロープが作り出した幻影なのか……！妙な装置をつけたら、見た目が変わったぞ！？			アレクサンドリアの王国騎士							
お主の着ぐるみも、しっかり決めてあるぞ！姿を変える準備ができたら声をかけてくれ。多少の心構えが必要だろうからな。			お主の着ぐるみも、しっかり決めてあるぞ！姿を変える準備ができたら声をかけてくれ。多少の心構えが必要だろうからな。			アレクサンドリアの王国騎士							
お前の着ぐるみは、どんなのだろうな？			お前の着ぐるみは、どんなのだろうな？			アレクサンドリアの王国騎士							
うむ、心の準備ができたようだな。ならば、お主にはコレを着てもらうとしよう！			うむ、心の準備ができたようだな。ならば、お主にはコレを着てもらうとしよう！			アレクサンドリアの王国騎士							
おお、よく似合っておるな！これなら子どもたちも喜ぶにちがいない！			おお、よく似合っておるな！これなら子どもたちも喜ぶにちがいない！			アレクサンドリアの王国騎士							
こいつは傑作だな……！なかなか、似合ってるじゃねぇか！			こいつは傑作だな……！なかなか、似合ってるじゃねぇか！			アレクサンドリアの王国騎士							
では、お主らふたりには、「エアキャブ乗り場」近辺での客寄せを任せたい。子どもたちに、劇の開催を楽しげに伝えるのだ！			では、お主らふたりには、「エアキャブ乗り場」近辺での客寄せを任せたい。子どもたちに、劇の開催を楽しげに伝えるのだ！			アレクサンドリアの王国騎士							
ワタシはここで台詞の練習を続けているから、もしも着ぐるみの幻影が解けた場合は声をかけてくれ。			ワタシはここで台詞の練習を続けているから、もしも着ぐるみの幻影が解けた場合は声をかけてくれ。			アレクサンドリアの王国騎士							
幻影が解けてしまったようだな。装置の替えはあるから心配はいらぬぞ！			幻影が解けてしまったようだな。装置の替えはあるから心配はいらぬぞ！			アレクサンドリアの王国騎士							
むむ、幻影が解けそうなのか？ならばこっちの装置に替えるとよい！			むむ、幻影が解けそうなのか？ならばこっちの装置に替えるとよい！			アレクサンドリアの王国騎士							
建国祭の劇が始まるぞぉ～！王国騎士役は、なんとオーティス本人だ！			建国祭の劇が始まるぞぉ～！王国騎士役は、なんとオーティス本人だ！			アレクサンドリアの王国騎士							
おっ、ウサギのマモノだ！俺がやっつけてやるぜー！			おっ、ウサギのマモノだ！俺がやっつけてやるぜー！			アレクサンドリアの王国騎士							
けんこくさいのげき……？知らないけど、王国騎士が出るなら楽しそうじゃん！			けんこくさいのげき……？知らないけど、王国騎士が出るなら楽しそうじゃん！			アレクサンドリアの王国騎士							
エアキャブはいつでも乗れるし、行ってみようぜ！			エアキャブはいつでも乗れるし、行ってみようぜ！			アレクサンドリアの王国騎士							
うーん……今どうやったらマモノをやっつけられるか、真剣にギロンしてるとこなんだよなー。			うーん……今どうやったらマモノをやっつけられるか、真剣にギロンしてるとこなんだよなー。			アレクサンドリアの王国騎士							
えっ、ウサギさん？どうしたの……？			えっ、ウサギさん？どうしたの……？			アレクサンドリアの王国騎士							
建国祭の劇……うん、知ってるよ！ときどきお城の方でやってるお芝居だよね？			建国祭の劇……うん、知ってるよ！ときどきお城の方でやってるお芝居だよね？			アレクサンドリアの王国騎士							
前にも観たことがあるから、もういいかなぁって思ってたけど……ウサギさんのオススメなら、行ってみよっかな！			前にも観たことがあるから、もういいかなぁって思ってたけど……ウサギさんのオススメなら、行ってみよっかな！			アレクサンドリアの王国騎士							
建国祭の劇かぁ……前にも観たことがあるし、どうしようかなぁ……。			建国祭の劇かぁ……前にも観たことがあるし、どうしようかなぁ……。			アレクサンドリアの王国騎士							
わっ、見て！かわいいウサギさんだー！			わっ、見て！かわいいウサギさんだー！			アレクサンドリアの王国騎士							
なになに？あなたも一緒にお喋りしたいの？			なになに？あなたも一緒にお喋りしたいの？			アレクサンドリアの王国騎士							
えーっ！　スフェーン様がお話に出てくるお芝居？観たい、観たい！			えーっ！　スフェーン様がお話に出てくるお芝居？観たい、観たい！			アレクサンドリアの王国騎士							
お城の方行ってみるね！教えてくれてありがとう！			お城の方行ってみるね！教えてくれてありがとう！			アレクサンドリアの王国騎士							
……でね、そのときお父さん私を見てなんて言ったと思う？「かあさん……？」だってさ！			……でね、そのときお父さん私を見てなんて言ったと思う？「かあさん……？」だってさ！			アレクサンドリアの王国騎士							
あら？ウサギさんもスフェーン様が気になるの……？			あら？ウサギさんもスフェーン様が気になるの……？			アレクサンドリアの王国騎士							
