東龍鱗橋付近のイッセは、落ち着かない様子だ。			東龍鱗橋付近のイッセは、落ち着かない様子だ。			踏み出す一歩							
このあたりに、黄色のお花が咲いてるはずなんだけど……おねえちゃんおにいちゃんは、見かけませんでしたか？			このあたりに、黄色のお花が咲いてるはずなんだけど……おねえちゃんおにいちゃんは、見かけませんでしたか？			声なき痛哭							
茂みを探してると、ときどき危ない虫がでてきちゃうの。おねえちゃんおにいちゃんも、気を付けて！			茂みを探してると、ときどき危ない虫がでてきちゃうの。おねえちゃんおにいちゃんも、気を付けて！			声なき痛哭							
見当たらないなぁ……。お母さんの好きなお花だったから、あれがいいんだけど……。			見当たらないなぁ……。お母さんの好きなお花だったから、あれがいいんだけど……。			声なき痛哭							
わっ、摘んできてくれたの！？どうもありがとう、おねえちゃんおにいちゃん！			わっ、摘んできてくれたの！？どうもありがとう、おねえちゃんおにいちゃん！			声なき痛哭							
あのっ、よかったら、おねえちゃんおにいちゃんも一緒に、お墓参りしてくれませんか？この人が助けてくれましたって、お父さんたちに言わなきゃ！			あのっ、よかったら、おねえちゃんおにいちゃんも一緒に、お墓参りしてくれませんか？この人が助けてくれましたって、お父さんたちに言わなきゃ！			声なき痛哭							
お墓は、ナマイ村の上の方！棚田のそばの坂道を、ずーっと上がったところだよ。待ってるから、きっと来てね！			お墓は、ナマイ村の上の方！棚田のそばの坂道を、ずーっと上がったところだよ。待ってるから、きっと来てね！			声なき痛哭							
あっ、来てくれた！それじゃあ、摘んでもらったお花をそなえるから、目をつぶって、ご挨拶してね。			あっ、来てくれた！それじゃあ、摘んでもらったお花をそなえるから、目をつぶって、ご挨拶してね。			声なき痛哭							
お父さんとお母さん、旅人さんが大好きで、よくうちにも連れてきたから、喜んでると思う。……ありがとう、おねえちゃんおにいちゃん。			お父さんとお母さん、旅人さんが大好きで、よくうちにも連れてきたから、喜んでると思う。……ありがとう、おねえちゃんおにいちゃん。			声なき痛哭							
(-？？？？-)おーい、アザミー！そこにいるのかー？			(-？？？？-)おーい、アザミー！そこにいるのかー？			声なき痛哭							
あんた、この前の……！？うちの妹と、何してるんだよ……！			あんた、この前の……！？うちの妹と、何してるんだよ……！			声なき痛哭							
イッセにい、あのね、このおねえちゃんおにいちゃんが、虫をやっつけて、お花を探してきてくれたんだよ！			イッセにい、あのね、このおねえちゃんおにいちゃんが、虫をやっつけて、お花を探してきてくれたんだよ！			声なき痛哭							
……アザミ、お前は村の中に戻ってろ。			……アザミ、お前は村の中に戻ってろ。			声なき痛哭							
ど、どうして？イッセにい、なんで怒ってるの……？			ど、どうして？イッセにい、なんで怒ってるの……？			声なき痛哭							
なんでもいいから！ほら、早くしろ……ッ！			なんでもいいから！ほら、早くしろ……ッ！			声なき痛哭							
……妹を助けてくれたことには、感謝する。けど、村には関わらないでくれって、言っただろ……！			……妹を助けてくれたことには、感謝する。けど、村には関わらないでくれって、言っただろ……！			声なき痛哭							
あんたたちのこと、タレ込んだりはしない。だから、何もせずに立ち去ってくれよ。それで、もう二度と……来ないでくれ……！			あんたたちのこと、タレ込んだりはしない。だから、何もせずに立ち去ってくれよ。それで、もう二度と……来ないでくれ……！			声なき痛哭							
何と言う？			何と言う？			声なき痛哭							
それが本音か？			それが本音か？			声なき痛哭							
両親を亡くしたののか？			両親を亡くしたののか？			声なき痛哭							
そうだよ……それ以外、何があるっていうんだよッ！見つかったら、俺たちは、また……ッ！			そうだよ……それ以外、何があるっていうんだよッ！見つかったら、俺たちは、また……ッ！			声なき痛哭							
ッ……ここまで来たなら、聞くまでもないだろ……！アザミだって、ちゃんとわかってて花を供えてるんだ……！			ッ……ここまで来たなら、聞くまでもないだろ……！アザミだって、ちゃんとわかってて花を供えてるんだ……！			声なき痛哭							
……うちの親は、1年前、反乱軍に賛同して立ちあがった。俺と妹に、本当のドマを見せてやるって言って出ていって、戻ってきたのは、青白い遺体だけだった。			……うちの親は、1年前、反乱軍に賛同して立ちあがった。俺と妹に、本当のドマを見せてやるって言って出ていって、戻ってきたのは、青白い遺体だけだった。			声なき痛哭							
遺体をもってきた帝国兵は言った。この重罪人どもの親類や友人は前に出ろ……しらをきれば、村ごと焼き尽くすぞって。			遺体をもってきた帝国兵は言った。この重罪人どもの親類や友人は前に出ろ……しらをきれば、村ごと焼き尽くすぞって。			声なき痛哭							
そこで、俺は……遺された村のみんなは…………ッ！			そこで、俺は……遺された村のみんなは…………ッ！			声なき痛哭							
殴られて、蹴られて、泣きながら許しを乞うた……。両親のことを、間違いを犯した大馬鹿でしたって、何度も……何度も……復唱させられて…………。			殴られて、蹴られて、泣きながら許しを乞うた……。両親のことを、間違いを犯した大馬鹿でしたって、何度も……何度も……復唱させられて…………。			声なき痛哭							
せせら笑うあいつらの顔を、見上げることもできなかった。抵抗したら、次は妹が何をされるかわからない……。怖かった……ただ、怖かった…………。			せせら笑うあいつらの顔を、見上げることもできなかった。抵抗したら、次は妹が何をされるかわからない……。怖かった……ただ、怖かった…………。			声なき痛哭							
監視が去った今も、また制裁を受けるんじゃないかって怯えて、父さんと母さんに、まともな墓すら作ってやれない……！			監視が去った今も、また制裁を受けるんじゃないかって怯えて、父さんと母さんに、まともな墓すら作ってやれない……！			声なき痛哭							
これで、わかっただろ……。俺たちはもう、あんたたちの求めてる、気高いドマ人じゃない。死ぬほど惨めで恥ずかしい何かに、成り下がったんだ……！			これで、わかっただろ……。俺たちはもう、あんたたちの求めてる、気高いドマ人じゃない。死ぬほど惨めで恥ずかしい何かに、成り下がったんだ……！			声なき痛哭							
浅ましくても服従して、俺たちは生きるよ……。それでいい……それでいいんだから、放っておいてくれ……！			浅ましくても服従して、俺たちは生きるよ……。それでいい……それでいいんだから、放っておいてくれ……！			声なき痛哭							
Forename……？何か、話は聞けたの？			Forename……？何か、話は聞けたの？			声なき痛哭							
ああ、ちょうどよいところに。こちらは聞き込みが終わったのだが……貴殿は？			ああ、ちょうどよいところに。こちらは聞き込みが終わったのだが……貴殿は？			声なき痛哭							
イッセという青年が、そんな話を……？それは……それほどの卑劣が、まかり通ったというのか……ッ！			イッセという青年が、そんな話を……？それは……それほどの卑劣が、まかり通ったというのか……ッ！			声なき痛哭							
暴力を振るわれ、身体の痛みもつらかろう。だが、それ以上に……両親を……卑下させるなど……！何故だッ、帝国の者であれ、人の子ではないのかッ！？			暴力を振るわれ、身体の痛みもつらかろう。だが、それ以上に……両親を……卑下させるなど……！何故だッ、帝国の者であれ、人の子ではないのかッ！？			声なき痛哭							
……すまない、つい、頭に血がのぼった。帝国の非道も、民の現状も、おかげで把握できたと思う。			……すまない、つい、頭に血がのぼった。帝国の非道も、民の現状も、おかげで把握できたと思う。			声なき痛哭							
我が主君は、もはや民が戦わぬと予期したからこそ、諦めて首を差し出そうとなさったのだろうか……。ヒエン様ともあろうお方が、本当に……？			我が主君は、もはや民が戦わぬと予期したからこそ、諦めて首を差し出そうとなさったのだろうか……。ヒエン様ともあろうお方が、本当に……？			声なき痛哭							
ドマ反乱軍の門兵は、ゴウセツから話を聞いているようだ。			ドマ反乱軍の門兵は、ゴウセツから話を聞いているようだ。			烈士庵の反乱軍							
仲間たちと話す			仲間たちと話す			烈士庵の反乱軍							
ユウギリと話す			ユウギリと話す			烈士庵の反乱軍							
ドマ反乱軍の門兵と話す			ドマ反乱軍の門兵と話す			烈士庵の反乱軍							
仲間たちと話す			仲間たちと話す			烈士庵の反乱軍							
ユウギリと話す			ユウギリと話す			烈士庵の反乱軍							
ささ、中に入るでござる！			ささ、中に入るでござる！			烈士庵の反乱軍							
協力者の、Forename殿ですね。お話は伺っております！			協力者の、Forename殿ですね。お話は伺っております！			烈士庵の反乱軍							
遠くエオルゼアより、助太刀に来てくださったとのこと、我らドマ反乱軍一同、感謝にたえません……！どうぞ、お入りになってください！			遠くエオルゼアより、助太刀に来てくださったとのこと、我らドマ反乱軍一同、感謝にたえません……！どうぞ、お入りになってください！			烈士庵の反乱軍							
この中が我らの「烈士庵」です。どうぞ、お入りになってください！			この中が我らの「烈士庵」です。どうぞ、お入りになってください！			烈士庵の反乱軍							
「烈士庵」に入りますか？			「烈士庵」に入りますか？			烈士庵の反乱軍							
物資にはとぼしいが、ここは安全だ。しばし休んで、旅の疲れを癒してくれ。			物資にはとぼしいが、ここは安全だ。しばし休んで、旅の疲れを癒してくれ。			烈士庵の反乱軍							
あなた方にお力添えいただけること、感謝いたします。これから、どうぞよろしくお願いいたします！			あなた方にお力添えいただけること、感謝いたします。これから、どうぞよろしくお願いいたします！			烈士庵の反乱軍							
エーテライト、停止してるわね……。聞いたところによると、1年前の反乱で負けが濃くなった際、帝国軍に利用されるのを避けるために壊したらしいわ。			エーテライト、停止してるわね……。聞いたところによると、1年前の反乱で負けが濃くなった際、帝国軍に利用されるのを避けるために壊したらしいわ。			烈士庵の反乱軍							
……とはいえ、見た感じ部品はそろってる。私ひとりじゃ難しいけれど、アルフィノを呼べば直せるかも……今後の作戦次第では、検討しておくわ。			……とはいえ、見た感じ部品はそろってる。私ひとりじゃ難しいけれど、アルフィノを呼べば直せるかも……今後の作戦次第では、検討しておくわ。			烈士庵の反乱軍							
エーテライトといえば、ムーンブリダの専門分野だった。私とアルフィノが、お祖父様のところにきていた彼女から、聞きかじった知識……役に立てたいものね。			エーテライトといえば、ムーンブリダの専門分野だった。私とアルフィノが、お祖父様のところにきていた彼女から、聞きかじった知識……役に立てたいものね。			烈士庵の反乱軍							
ふぅ……拙者もやっと一息でござる。昔なら重傷であれ気合でピンピンしておったものだが、寄る年波か、傷の治りがすこぉし遅くなりおったわ……。			ふぅ……拙者もやっと一息でござる。昔なら重傷であれ気合でピンピンしておったものだが、寄る年波か、傷の治りがすこぉし遅くなりおったわ……。			烈士庵の反乱軍							
……して、どうでござるか、我らが「烈士庵」は？エオルゼア同盟軍の威勢を知るおぬしからすると、たいそう貧弱に見えるかもしれぬな。			……して、どうでござるか、我らが「烈士庵」は？エオルゼア同盟軍の威勢を知るおぬしからすると、たいそう貧弱に見えるかもしれぬな。			烈士庵の反乱軍							
ドマの反乱軍が発足したのは、今から約10年前のこと。国をおとされてから、そこまで再起するのに、15年かかったのでござる……。			ドマの反乱軍が発足したのは、今から約10年前のこと。国をおとされてから、そこまで再起するのに、15年かかったのでござる……。			烈士庵の反乱軍							
以来10年、何度か小規模な反乱運動を起こしてきたが、いずれも成果は上がらなかった。			以来10年、何度か小規模な反乱運動を起こしてきたが、いずれも成果は上がらなかった。			烈士庵の反乱軍							
されど1年前は、ようやっと勝機の見える戦でござった。忍びの里で内乱が起き、さらにヨツユの売った情報をもとに、悪鬼ゼノスめが攻め込んでくるまではな……。			されど1年前は、ようやっと勝機の見える戦でござった。忍びの里で内乱が起き、さらにヨツユの売った情報をもとに、悪鬼ゼノスめが攻め込んでくるまではな……。			烈士庵の反乱軍							
烈士庵は、以前から馴染みの我らが拠点。先の反乱で敗北を喫した際も、奇跡的に位置を知られずにすんだゆえ、再利用しておるのだ。			烈士庵は、以前から馴染みの我らが拠点。先の反乱で敗北を喫した際も、奇跡的に位置を知られずにすんだゆえ、再利用しておるのだ。			烈士庵の反乱軍							
Forename、ちょうどよかった。これから、1年前の戦での、ゼノスの様子について、話してもらうところだったんだ。			Forename、ちょうどよかった。これから、1年前の戦での、ゼノスの様子について、話してもらうところだったんだ。			烈士庵の反乱軍							
皇太子ゼノス……あの男の戦いぶりは、異様のひとことに尽きました。			皇太子ゼノス……あの男の戦いぶりは、異様のひとことに尽きました。			烈士庵の反乱軍							
着任してすぐ、奴は劣勢だった帝国軍を再編成し、我々の作戦を逆手にとって、戦況を逆転させました。……しかし、そのまま押し切ることはしなかった。			着任してすぐ、奴は劣勢だった帝国軍を再編成し、我々の作戦を逆手にとって、戦況を逆転させました。……しかし、そのまま押し切ることはしなかった。			烈士庵の反乱軍							
ゼノスは、窮鼠となった我らの前に姿をあらわし、仕留めてみせよと、単身で戦いはじめたのです。			ゼノスは、窮鼠となった我らの前に姿をあらわし、仕留めてみせよと、単身で戦いはじめたのです。			烈士庵の反乱軍							
もののふたちが、次々と挑んでは死んでいきました。卑怯者の誹りも恐れず、あらゆる手で奴の首を狙いましたが……我らの刀は届かなかった。			もののふたちが、次々と挑んでは死んでいきました。卑怯者の誹りも恐れず、あらゆる手で奴の首を狙いましたが……我らの刀は届かなかった。			烈士庵の反乱軍							
ゼノスは、圧倒的な強さで、ドマを蹂躙し尽くしたのです。最後まで……あますことなく、戦を堪能するかのように。			ゼノスは、圧倒的な強さで、ドマを蹂躙し尽くしたのです。最後まで……あますことなく、戦を堪能するかのように。			烈士庵の反乱軍							
虐殺を、楽しんでいたってこと……？			虐殺を、楽しんでいたってこと……？			烈士庵の反乱軍							
……私には、少し違うように思えました。奴は、大義や目的を持っていなかった。同時に、敵をより多く殺すという結果を求めてもいなかった。			……私には、少し違うように思えました。奴は、大義や目的を持っていなかった。同時に、敵をより多く殺すという結果を求めてもいなかった。			烈士庵の反乱軍							
ただひたすら、向かってくる者を己の技能で圧倒する……。多勢に無勢を、最大効率で駆逐する……。			ただひたすら、向かってくる者を己の技能で圧倒する……。多勢に無勢を、最大効率で駆逐する……。			烈士庵の反乱軍							
降伏を申しでる者の前で家族を殺し、勇む者の志を卑下しては逆鱗に触れ、より凶暴な敵を造りだしては……また倒す。			降伏を申しでる者の前で家族を殺し、勇む者の志を卑下しては逆鱗に触れ、より凶暴な敵を造りだしては……また倒す。			烈士庵の反乱軍							
信念をもって戦場に挑む者にとっては、あまりにむごい……それは、どこまでも、遊戯としての「狩り」だったのです。			信念をもって戦場に挑む者にとっては、あまりにむごい……それは、どこまでも、遊戯としての「狩り」だったのです。			烈士庵の反乱軍							
結局、屍の山を築きあげて、ゼノスは帰っていきました。かろうじて生きのびた同胞によると、去り際にひとこと……「退屈だ」とつぶやいて。			結局、屍の山を築きあげて、ゼノスは帰っていきました。かろうじて生きのびた同胞によると、去り際にひとこと……「退屈だ」とつぶやいて。			烈士庵の反乱軍							
しかし、戦の中で奪った獲物……侍が扱う「刀」には、何か惹かれるものがあったのでしょう。			しかし、戦の中で奪った獲物……侍が扱う「刀」には、何か惹かれるものがあったのでしょう。			烈士庵の反乱軍							
ゼノスは以降も刀を使い続け、このドマからも、多くの名刀や妖刀が徴収されています。			ゼノスは以降も刀を使い続け、このドマからも、多くの名刀や妖刀が徴収されています。			烈士庵の反乱軍							
なによ、それ……！あいつの単なる遊びに巻き込まれて、みんな苦しんで、命まで奪われてるっていうの……！？			なによ、それ……！あいつの単なる遊びに巻き込まれて、みんな苦しんで、命まで奪われてるっていうの……！？			烈士庵の反乱軍							
我々も、その現実に憤慨しました。……ですが、リセ殿。			我々も、その現実に憤慨しました。……ですが、リセ殿。			烈士庵の反乱軍							
戦場において、戦う理由に貴賤はない。ただ強き者が勝ち、勝った者が正となり英雄となる。私たちドマの民は、敗北の末にそれを思い知ったのです。			戦場において、戦う理由に貴賤はない。ただ強き者が勝ち、勝った者が正となり英雄となる。私たちドマの民は、敗北の末にそれを思い知ったのです。			烈士庵の反乱軍							
ゆえに、強くならねばならない。何としてでも、強く、ならねばならないのです……！			ゆえに、強くならねばならない。何としてでも、強く、ならねばならないのです……！			烈士庵の反乱軍							
彼らの決意は、よくわかったよ。アタシも強くなりたい……もっと……！			彼らの決意は、よくわかったよ。アタシも強くなりたい……もっと……！			烈士庵の反乱軍							
ああ、Forename殿。さきほどは、到着早々、見苦しいところをすまなかった。……少しは休憩できただろうか？			ああ、Forename殿。さきほどは、到着早々、見苦しいところをすまなかった。……少しは休憩できただろうか？			烈士庵の反乱軍							
そうか、皆から話を聞いて回ったのだな。であれば、こちらの状況も粗方わかってもらえたか。			そうか、皆から話を聞いて回ったのだな。であれば、こちらの状況も粗方わかってもらえたか。			烈士庵の反乱軍							
ドマの解放運動は、アラミゴと同様……いや、すでに大敗北を喫している以上、アラミゴよりも厳しい状況にあるかもしれぬ。			ドマの解放運動は、アラミゴと同様……いや、すでに大敗北を喫している以上、アラミゴよりも厳しい状況にあるかもしれぬ。			烈士庵の反乱軍							
故郷においてまでも貴殿に頼ろうとは、厚顔無恥もはなはだしい。だが、その力、どうかお貸しいただきたい……ッ！			故郷においてまでも貴殿に頼ろうとは、厚顔無恥もはなはだしい。だが、その力、どうかお貸しいただきたい……ッ！			烈士庵の反乱軍							
ユウギリたちに応える？			ユウギリたちに応える？			烈士庵の反乱軍							
任せろ、絶対勝つ！			任せろ、絶対勝つ！			烈士庵の反乱軍							
ゼノスを倒すのが楽しみだ			ゼノスを倒すのが楽しみだ			烈士庵の反乱軍							
報酬に期待してる			報酬に期待してる			烈士庵の反乱軍							
その言葉、何より心強い……。ともに、必ずやドマの帝国軍を討ち果たそう！			その言葉、何より心強い……。ともに、必ずやドマの帝国軍を討ち果たそう！			烈士庵の反乱軍							
驚いたな……。かの悪鬼相手に、まったく物怖じしていないとは。さすが西の英雄殿だ、これからもよろしく頼む！			驚いたな……。かの悪鬼相手に、まったく物怖じしていないとは。さすが西の英雄殿だ、これからもよろしく頼む！			烈士庵の反乱軍							
……ありがとう。時間はかかるかもしれないが、必ずや、貴殿たちに報いよう。改めて、これからよろしく頼む！			……ありがとう。時間はかかるかもしれないが、必ずや、貴殿たちに報いよう。改めて、これからよろしく頼む！			烈士庵の反乱軍							
酔いどれ蛙の船小屋のセンテイは、また冒険者に頼みたいことがあるようだ。			酔いどれ蛙の船小屋のセンテイは、また冒険者に頼みたいことがあるようだ。			玄水連山の天然水							
切り出された薪を入手			切り出された薪を入手			玄水連山の天然水							
センテイの罠から活きのいい川魚を入手			センテイの罠から活きのいい川魚を入手			玄水連山の天然水							
コハギに切り出された薪と活きのいい川魚を渡す			コハギに切り出された薪と活きのいい川魚を渡す			玄水連山の天然水							
こんな俺を助けてくれる、優しい姉ちゃん兄ちゃんに、もうひとつ、お願いしたいことがあるんだ。聞いてくれねぇか？			こんな俺を助けてくれる、優しい姉ちゃん兄ちゃんに、もうひとつ、お願いしたいことがあるんだ。聞いてくれねぇか？			玄水連山の天然水							
ナマイ村にいる、俺の嫁さんの「コハギ」に、ふたつ、届けてほしいものがあるんだ。ひとつは、俺の後ろに置いてある、「切り出された薪」だ。			ナマイ村にいる、俺の嫁さんの「コハギ」に、ふたつ、届けてほしいものがあるんだ。ひとつは、俺の後ろに置いてある、「切り出された薪」だ。			玄水連山の天然水							
ふたつ目は、小川の途中に俺がしかけた罠を調べて、「活きのいい川魚」でも引っかかっていたら、それを持っていってやってほしい……頼んだぜ。			ふたつ目は、小川の途中に俺がしかけた罠を調べて、「活きのいい川魚」でも引っかかっていたら、それを持っていってやってほしい……頼んだぜ。			玄水連山の天然水							
ナマイ村にいる、俺の嫁さんの「コハギ」に、「切り出された薪」と、「活きのいい川魚」を、持っていってやってくれ。			ナマイ村にいる、俺の嫁さんの「コハギ」に、「切り出された薪」と、「活きのいい川魚」を、持っていってやってくれ。			玄水連山の天然水							
まあ、ミズヘビの件はありがとうございました。私に何かご用でも？			まあ、ミズヘビの件はありがとうございました。私に何かご用でも？			玄水連山の天然水							
あら、ウチの旦那のお使いを引き受けてくださったと？わざわざ、ありがとうございます……。			あら、ウチの旦那のお使いを引き受けてくださったと？わざわざ、ありがとうございます……。			玄水連山の天然水							
この薪と魚は、お米と交換してもらうんです。ウチは田んぼを持っていませんから、ナマイ村の人たちが、必要としている物を集めてきて、生計を立てているんですよ。			この薪と魚は、お米と交換してもらうんです。ウチは田んぼを持っていませんから、ナマイ村の人たちが、必要としている物を集めてきて、生計を立てているんですよ。			玄水連山の天然水							
それにしても、この魚もお米も、全部、玄水連山の綺麗な湧き水の賜物……。この恵みがなければ、私たちは生きていけませんわ。			それにしても、この魚もお米も、全部、玄水連山の綺麗な湧き水の賜物……。この恵みがなければ、私たちは生きていけませんわ。			玄水連山の天然水							
酔いどれ蛙の船小屋のセンテイは、罠の仕掛けを手伝ってくれる者を探しているようだ。			酔いどれ蛙の船小屋のセンテイは、罠の仕掛けを手伝ってくれる者を探しているようだ。			センテイの罠							
指定地点にトラバサミを置く			指定地点にトラバサミを置く			センテイの罠							
センテイに報告			センテイに報告			センテイの罠							
ミズヘビの肝を届けてくれたあんた、旅の人かい？時間があるなら、ちょっと手伝ってほしいことがあるんだ。			ミズヘビの肝を届けてくれたあんた、旅の人かい？時間があるなら、ちょっと手伝ってほしいことがあるんだ。			センテイの罠							
実は、小屋の中から「トラバサミ」を見つけてな。久々に、コイツを使って、狩りをしようと思ったんだよ。			実は、小屋の中から「トラバサミ」を見つけてな。久々に、コイツを使って、狩りをしようと思ったんだよ。			センテイの罠							
だが、設置しようにも、古傷が痛むもんでよ……。そこで、代わりにトラバサミを設置してくれないか？			だが、設置しようにも、古傷が痛むもんでよ……。そこで、代わりにトラバサミを設置してくれないか？			センテイの罠							
地図に印を付けておくから、置いてきてくれればいい。間違っても自分が挟まれちまわないよう、気をつけてくれよな。			地図に印を付けておくから、置いてきてくれればいい。間違っても自分が挟まれちまわないよう、気をつけてくれよな。			センテイの罠							
地図に印を付けておくから、置いてきてくれればいい。間違っても自分が挟まれちまわないよう、気をつけてくれよな。			地図に印を付けておくから、置いてきてくれればいい。間違っても自分が挟まれちまわないよう、気をつけてくれよな。			センテイの罠							
その様子だと、無事にトラバサミの設置が終わったようだな。どうもありがとうよ。			その様子だと、無事にトラバサミの設置が終わったようだな。どうもありがとうよ。			センテイの罠							
以前なら、トラバサミに頼らなくても、斧一本さえあれば、野獣でもなんでも倒せたんだ。帝国がやってきたときも、そりゃあド派手に抵抗したもんさ。			以前なら、トラバサミに頼らなくても、斧一本さえあれば、野獣でもなんでも倒せたんだ。帝国がやってきたときも、そりゃあド派手に抵抗したもんさ。			センテイの罠							
だが、脚に銃弾を受けちまってな……。それ以来、時折こうして、古傷が痛み出して動けなくなっちまう。しばらく休んで痛みが引いたら、罠を確認に行ってみるさ。			だが、脚に銃弾を受けちまってな……。それ以来、時折こうして、古傷が痛み出して動けなくなっちまう。しばらく休んで痛みが引いたら、罠を確認に行ってみるさ。			センテイの罠							
ほら、これが手伝ってくれたお礼だ。あんたも、あまり無茶はするもんじゃないぜ。			ほら、これが手伝ってくれたお礼だ。あんたも、あまり無茶はするもんじゃないぜ。			センテイの罠							
ナマイ村のシンデンは、イボイノシシ退治に向かった仲間を心配している。			ナマイ村のシンデンは、イボイノシシ退治に向かった仲間を心配している。			武の心得							
玄水連山でイボイノシシを討伐			玄水連山でイボイノシシを討伐			武の心得							
ナマイ村の青年と話す			ナマイ村の青年と話す			武の心得							
シンデンに報告			シンデンに報告			武の心得							
あんた、武人か！？もしそうなら、急ぎで助けてほしいことがあるんだよ！			あんた、武人か！？もしそうなら、急ぎで助けてほしいことがあるんだよ！			武の心得							
東にあるオレたちの大事な水田に、「イボイノシシ」が来やがってな。放っておくと、せっかくの収穫物を食い荒らされちまうもんだから、村のヤツが、威勢よく退治に向かっちまったんだ……！			東にあるオレたちの大事な水田に、「イボイノシシ」が来やがってな。放っておくと、せっかくの収穫物を食い荒らされちまうもんだから、村のヤツが、威勢よく退治に向かっちまったんだ……！			武の心得							
刀を持っていったが、アイツは戦えるようなヤツじゃねぇ。大事にならないうちに、「イボイノシシ」を退治してくれねぇか？終わったら、仲間の無事も確認してくれ、頼む！			刀を持っていったが、アイツは戦えるようなヤツじゃねぇ。大事にならないうちに、「イボイノシシ」を退治してくれねぇか？終わったら、仲間の無事も確認してくれ、頼む！			武の心得							
大事にならないうちに、「イボイノシシ」を退治してくれねぇか？終わったら、仲間の無事も確認してくれ、頼む！			大事にならないうちに、「イボイノシシ」を退治してくれねぇか？終わったら、仲間の無事も確認してくれ、頼む！			武の心得							
こうして近くで見ると、結構大きいな……。足がすくんで動けない……くそうっ……！			こうして近くで見ると、結構大きいな……。足がすくんで動けない……くそうっ……！			武の心得							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			武の心得							
イボイノシシを仕留めてくれて、本当に助かりました！あなたが来てくださる前に、手を出していたら、今頃、どうなっていたことか……。			イボイノシシを仕留めてくれて、本当に助かりました！あなたが来てくださる前に、手を出していたら、今頃、どうなっていたことか……。			武の心得							
出現したと聞いて、小刀を持って出てきたものの、いざ目の前にすると、足がすくんで動くことができず……我ながら、恥ずかしいばかりです。			出現したと聞いて、小刀を持って出てきたものの、いざ目の前にすると、足がすくんで動くことができず……我ながら、恥ずかしいばかりです。			武の心得							
そんな自分に比べ、一切物怖じすることなく、戦いはじめられるなんて、さすが武人の方は違いますね……。とにかく助かりました、俺は先に村に戻るとします。			そんな自分に比べ、一切物怖じすることなく、戦いはじめられるなんて、さすが武人の方は違いますね……。とにかく助かりました、俺は先に村に戻るとします。			武の心得							
イボイノシシ退治に向かった仲間は無事か……！？			イボイノシシ退治に向かった仲間は無事か……！？			武の心得							
ありがとう！戻ってきたアイツから、全部聞いたよ。			ありがとう！戻ってきたアイツから、全部聞いたよ。			武の心得							
今、この村には武の心得がある者がいないんだよ。腕が立つ者は、みんな帝国に徴兵されて、見知らぬ土地に連れて行かれちまったからな……。			今、この村には武の心得がある者がいないんだよ。腕が立つ者は、みんな帝国に徴兵されて、見知らぬ土地に連れて行かれちまったからな……。			武の心得							
みんなが、無事に帰ってきてくれるといいんだが……。おっと、助けてくれたのに、なんだか暗い話をしちまって、すまないな。			みんなが、無事に帰ってきてくれるといいんだが……。おっと、助けてくれたのに、なんだか暗い話をしちまって、すまないな。			武の心得							
ナマイ村のコハギは、冒険者に頼みたいことがあるようだ。			ナマイ村のコハギは、冒険者に頼みたいことがあるようだ。			変わる棲息地							
ミズヘビからミズヘビの肝を入手			ミズヘビからミズヘビの肝を入手			変わる棲息地							
センテイにミズヘビの肝を渡す			センテイにミズヘビの肝を渡す			変わる棲息地							
よろしければ、頼まれごとを引き受けてくれませんか？実は「無二江」に、ミズヘビが棲みついてしまったようなのです。			よろしければ、頼まれごとを引き受けてくれませんか？実は「無二江」に、ミズヘビが棲みついてしまったようなのです。			変わる棲息地							
以前は、もっと西の方が棲息地だったんですけれど、天敵が出たのか、逃げてきたようでして……。			以前は、もっと西の方が棲息地だったんですけれど、天敵が出たのか、逃げてきたようでして……。			変わる棲息地							
食べると美味しいので、うれしくもあるのですが、あまり増えてしまっても、それはそれで困るもの……。そこで、3匹ほど「ミズヘビ」を倒していただきたいのです。			食べると美味しいので、うれしくもあるのですが、あまり増えてしまっても、それはそれで困るもの……。そこで、3匹ほど「ミズヘビ」を倒していただきたいのです。			変わる棲息地							
もし、倒した際に「ミズヘビの肝」を手に入れたら、私の旦那の「センテイ」に届けていただけないでしょうか？あの人の大好物なんです。			もし、倒した際に「ミズヘビの肝」を手に入れたら、私の旦那の「センテイ」に届けていただけないでしょうか？あの人の大好物なんです。			変わる棲息地							
この村の東にある、酔いどれ蛙の船小屋にいるはずですから。手間をかけさせてしまいますが、よろしくお願いいたします。			この村の東にある、酔いどれ蛙の船小屋にいるはずですから。手間をかけさせてしまいますが、よろしくお願いいたします。			変わる棲息地							
無二江にいる「ミズヘビ」を3匹倒していただけますか？また、その際に「ミズヘビの肝」が手に入ったら、村の東の小屋にいる「センテイ」に届けてあげてください。			無二江にいる「ミズヘビ」を3匹倒していただけますか？また、その際に「ミズヘビの肝」が手に入ったら、村の東の小屋にいる「センテイ」に届けてあげてください。			変わる棲息地							
なんだい？俺に何か用でも？			なんだい？俺に何か用でも？			変わる棲息地							
おっ、こいつはミズヘビの肝じゃねえか！どうしてこれを俺にくれるんだい？			おっ、こいつはミズヘビの肝じゃねえか！どうしてこれを俺にくれるんだい？			変わる棲息地							
なるほど、コハギがあんたに頼んでたってわけか。そいつはありがたい。鍋で煮て食うのが大好きなんだよ。			なるほど、コハギがあんたに頼んでたってわけか。そいつはありがたい。鍋で煮て食うのが大好きなんだよ。			変わる棲息地							
